context: Do you believe in the urban legend? response:	You can retrieve what you once lost inside the gate.
context: What about it?\Tell me everything you know.\To be honest, the details are unknown.\However, a similar substance was confirmed before the disappearance of South America,\so it's believed that collecting data on it will be invaluable when it comes to solving the mystery behind the gate.\I don't know why the CIA is trying to steal it, but...\This isn't part of the job, is it?\Excuse me. If anything else comes up, I'll contact you. response:	Sorry for the late introduction. My name is Mina Khandar Swami.
context: Tell me everything you know.\To be honest, the details are unknown.\However, a similar substance was confirmed before the disappearance of South America,\so it's believed that collecting data on it will be invaluable when it comes to solving the mystery behind the gate.\I don't know why the CIA is trying to steal it, but...\This isn't part of the job, is it?\Excuse me. If anything else comes up, I'll contact you.\Sorry for the late introduction. My name is Mina Khandar Swami. response:	By the way, that sticker doesn't serve much of a purpose.
context: To be honest, the details are unknown.\However, a similar substance was confirmed before the disappearance of South America,\so it's believed that collecting data on it will be invaluable when it comes to solving the mystery behind the gate.\I don't know why the CIA is trying to steal it, but...\This isn't part of the job, is it?\Excuse me. If anything else comes up, I'll contact you.\Sorry for the late introduction. My name is Mina Khandar Swami.\By the way, that sticker doesn't serve much of a purpose. response:	There isn't any way to identify a contractor.
context: However, a similar substance was confirmed before the disappearance of South America,\so it's believed that collecting data on it will be invaluable when it comes to solving the mystery behind the gate.\I don't know why the CIA is trying to steal it, but...\This isn't part of the job, is it?\Excuse me. If anything else comes up, I'll contact you.\Sorry for the late introduction. My name is Mina Khandar Swami.\By the way, that sticker doesn't serve much of a purpose.\There isn't any way to identify a contractor. response:	Don't touch it.
context: so it's believed that collecting data on it will be invaluable when it comes to solving the mystery behind the gate.\I don't know why the CIA is trying to steal it, but...\This isn't part of the job, is it?\Excuse me. If anything else comes up, I'll contact you.\Sorry for the late introduction. My name is Mina Khandar Swami.\By the way, that sticker doesn't serve much of a purpose.\There isn't any way to identify a contractor.\Don't touch it. response:	I'm in the middle of an experiment.
context: I don't know why the CIA is trying to steal it, but...\This isn't part of the job, is it?\Excuse me. If anything else comes up, I'll contact you.\Sorry for the late introduction. My name is Mina Khandar Swami.\By the way, that sticker doesn't serve much of a purpose.\There isn't any way to identify a contractor.\Don't touch it.\I'm in the middle of an experiment. response:	I thought my instructions explicitly stated not to have this room cleaned.
context: This isn't part of the job, is it?\Excuse me. If anything else comes up, I'll contact you.\Sorry for the late introduction. My name is Mina Khandar Swami.\By the way, that sticker doesn't serve much of a purpose.\There isn't any way to identify a contractor.\Don't touch it.\I'm in the middle of an experiment.\I thought my instructions explicitly stated not to have this room cleaned. response:	I'm sorry. I noticed it was the same model as the one I used to have.
context: Excuse me. If anything else comes up, I'll contact you.\Sorry for the late introduction. My name is Mina Khandar Swami.\By the way, that sticker doesn't serve much of a purpose.\There isn't any way to identify a contractor.\Don't touch it.\I'm in the middle of an experiment.\I thought my instructions explicitly stated not to have this room cleaned.\I'm sorry. I noticed it was the same model as the one I used to have. response:	Satake?
context: Sorry for the late introduction. My name is Mina Khandar Swami.\By the way, that sticker doesn't serve much of a purpose.\There isn't any way to identify a contractor.\Don't touch it.\I'm in the middle of an experiment.\I thought my instructions explicitly stated not to have this room cleaned.\I'm sorry. I noticed it was the same model as the one I used to have.\Satake? response:	Do you also gaze at the stars?
context: By the way, that sticker doesn't serve much of a purpose.\There isn't any way to identify a contractor.\Don't touch it.\I'm in the middle of an experiment.\I thought my instructions explicitly stated not to have this room cleaned.\I'm sorry. I noticed it was the same model as the one I used to have.\Satake?\Do you also gaze at the stars? response:	I did before the stars became what they are now.
context: There isn't any way to identify a contractor.\Don't touch it.\I'm in the middle of an experiment.\I thought my instructions explicitly stated not to have this room cleaned.\I'm sorry. I noticed it was the same model as the one I used to have.\Satake?\Do you also gaze at the stars?\I did before the stars became what they are now. response:	Your name?
context: Don't touch it.\I'm in the middle of an experiment.\I thought my instructions explicitly stated not to have this room cleaned.\I'm sorry. I noticed it was the same model as the one I used to have.\Satake?\Do you also gaze at the stars?\I did before the stars became what they are now.\Your name? response:	Li Shun Sheng.
context: I'm in the middle of an experiment.\I thought my instructions explicitly stated not to have this room cleaned.\I'm sorry. I noticed it was the same model as the one I used to have.\Satake?\Do you also gaze at the stars?\I did before the stars became what they are now.\Your name?\Li Shun Sheng. response:	Li-kun?
context: I thought my instructions explicitly stated not to have this room cleaned.\I'm sorry. I noticed it was the same model as the one I used to have.\Satake?\Do you also gaze at the stars?\I did before the stars became what they are now.\Your name?\Li Shun Sheng.\Li-kun? response:	Yes.
context: I'm sorry. I noticed it was the same model as the one I used to have.\Satake?\Do you also gaze at the stars?\I did before the stars became what they are now.\Your name?\Li Shun Sheng.\Li-kun?\Yes. response:	How would you like to see a real star?
context: Satake?\Do you also gaze at the stars?\I did before the stars became what they are now.\Your name?\Li Shun Sheng.\Li-kun?\Yes.\How would you like to see a real star? response:	Episode Eleven When One Takes Back What Was Lost Within the Wall... (Part One)
context: Do you also gaze at the stars?\I did before the stars became what they are now.\Your name?\Li Shun Sheng.\Li-kun?\Yes.\How would you like to see a real star?\Episode Eleven When One Takes Back What Was Lost Within the Wall... (Part One) response:	Satake may be new as a domestic manufacturer,
context: I did before the stars became what they are now.\Your name?\Li Shun Sheng.\Li-kun?\Yes.\How would you like to see a real star?\Episode Eleven When One Takes Back What Was Lost Within the Wall... (Part One)\Satake may be new as a domestic manufacturer, response:	but their products come equipped with an inexpensive, high-performance lens.
context: Your name?\Li Shun Sheng.\Li-kun?\Yes.\How would you like to see a real star?\Episode Eleven When One Takes Back What Was Lost Within the Wall... (Part One)\Satake may be new as a domestic manufacturer,\but their products come equipped with an inexpensive, high-performance lens. response:	There are limits to the magnifying capabilities of an ML800, though.
context: Li Shun Sheng.\Li-kun?\Yes.\How would you like to see a real star?\Episode Eleven When One Takes Back What Was Lost Within the Wall... (Part One)\Satake may be new as a domestic manufacturer,\but their products come equipped with an inexpensive, high-performance lens.\There are limits to the magnifying capabilities of an ML800, though. response:	Did you use a Barlow lens?
context: Li-kun?\Yes.\How would you like to see a real star?\Episode Eleven When One Takes Back What Was Lost Within the Wall... (Part One)\Satake may be new as a domestic manufacturer,\but their products come equipped with an inexpensive, high-performance lens.\There are limits to the magnifying capabilities of an ML800, though.\Did you use a Barlow lens? response:	No. Compatible lenses were too expensive.
context: Yes.\How would you like to see a real star?\Episode Eleven When One Takes Back What Was Lost Within the Wall... (Part One)\Satake may be new as a domestic manufacturer,\but their products come equipped with an inexpensive, high-performance lens.\There are limits to the magnifying capabilities of an ML800, though.\Did you use a Barlow lens?\No. Compatible lenses were too expensive. response:	I see. Your wishes will be answered in ten years time, then.
context: How would you like to see a real star?\Episode Eleven When One Takes Back What Was Lost Within the Wall... (Part One)\Satake may be new as a domestic manufacturer,\but their products come equipped with an inexpensive, high-performance lens.\There are limits to the magnifying capabilities of an ML800, though.\Did you use a Barlow lens?\No. Compatible lenses were too expensive.\I see. Your wishes will be answered in ten years time, then. response:	Um... What are you doing?
context: Episode Eleven When One Takes Back What Was Lost Within the Wall... (Part One)\Satake may be new as a domestic manufacturer,\but their products come equipped with an inexpensive, high-performance lens.\There are limits to the magnifying capabilities of an ML800, though.\Did you use a Barlow lens?\No. Compatible lenses were too expensive.\I see. Your wishes will be answered in ten years time, then.\Um... What are you doing? response:	I'm looking at the stars. What else would I be doing?
context: Satake may be new as a domestic manufacturer,\but their products come equipped with an inexpensive, high-performance lens.\There are limits to the magnifying capabilities of an ML800, though.\Did you use a Barlow lens?\No. Compatible lenses were too expensive.\I see. Your wishes will be answered in ten years time, then.\Um... What are you doing?\I'm looking at the stars. What else would I be doing? response:	But...
context: but their products come equipped with an inexpensive, high-performance lens.\There are limits to the magnifying capabilities of an ML800, though.\Did you use a Barlow lens?\No. Compatible lenses were too expensive.\I see. Your wishes will be answered in ten years time, then.\Um... What are you doing?\I'm looking at the stars. What else would I be doing?\But... response:	Are you going to give up because you know the sky is just a fabrication?
context: There are limits to the magnifying capabilities of an ML800, though.\Did you use a Barlow lens?\No. Compatible lenses were too expensive.\I see. Your wishes will be answered in ten years time, then.\Um... What are you doing?\I'm looking at the stars. What else would I be doing?\But...\Are you going to give up because you know the sky is just a fabrication? response:	I won't.
context: Did you use a Barlow lens?\No. Compatible lenses were too expensive.\I see. Your wishes will be answered in ten years time, then.\Um... What are you doing?\I'm looking at the stars. What else would I be doing?\But...\Are you going to give up because you know the sky is just a fabrication?\I won't. response:	My entire life changed when this sky appeared.
context: No. Compatible lenses were too expensive.\I see. Your wishes will be answered in ten years time, then.\Um... What are you doing?\I'm looking at the stars. What else would I be doing?\But...\Are you going to give up because you know the sky is just a fabrication?\I won't.\My entire life changed when this sky appeared. response:	I don't have any intention of giving up this hobby of mine, though.
context: I see. Your wishes will be answered in ten years time, then.\Um... What are you doing?\I'm looking at the stars. What else would I be doing?\But...\Are you going to give up because you know the sky is just a fabrication?\I won't.\My entire life changed when this sky appeared.\I don't have any intention of giving up this hobby of mine, though. response:	You should take a look.
context: Um... What are you doing?\I'm looking at the stars. What else would I be doing?\But...\Are you going to give up because you know the sky is just a fabrication?\I won't.\My entire life changed when this sky appeared.\I don't have any intention of giving up this hobby of mine, though.\You should take a look. response:	I can't see anything.
context: I'm looking at the stars. What else would I be doing?\But...\Are you going to give up because you know the sky is just a fabrication?\I won't.\My entire life changed when this sky appeared.\I don't have any intention of giving up this hobby of mine, though.\You should take a look.\I can't see anything. response:	Forget about everything.
context: But...\Are you going to give up because you know the sky is just a fabrication?\I won't.\My entire life changed when this sky appeared.\I don't have any intention of giving up this hobby of mine, though.\You should take a look.\I can't see anything.\Forget about everything. response:	Forget that the moon has vanished.
context: Are you going to give up because you know the sky is just a fabrication?\I won't.\My entire life changed when this sky appeared.\I don't have any intention of giving up this hobby of mine, though.\You should take a look.\I can't see anything.\Forget about everything.\Forget that the moon has vanished. response:	Forget about all the rockets that have gone missing beyond the stratosphere.
context: I won't.\My entire life changed when this sky appeared.\I don't have any intention of giving up this hobby of mine, though.\You should take a look.\I can't see anything.\Forget about everything.\Forget that the moon has vanished.\Forget about all the rockets that have gone missing beyond the stratosphere. response:	You have to believe that these stars are the ones you were gazing at in the past.
context: My entire life changed when this sky appeared.\I don't have any intention of giving up this hobby of mine, though.\You should take a look.\I can't see anything.\Forget about everything.\Forget that the moon has vanished.\Forget about all the rockets that have gone missing beyond the stratosphere.\You have to believe that these stars are the ones you were gazing at in the past. response:	Why?
context: I don't have any intention of giving up this hobby of mine, though.\You should take a look.\I can't see anything.\Forget about everything.\Forget that the moon has vanished.\Forget about all the rockets that have gone missing beyond the stratosphere.\You have to believe that these stars are the ones you were gazing at in the past.\Why? response:	There was nothing there a moment ago.
context: You should take a look.\I can't see anything.\Forget about everything.\Forget that the moon has vanished.\Forget about all the rockets that have gone missing beyond the stratosphere.\You have to believe that these stars are the ones you were gazing at in the past.\Why?\There was nothing there a moment ago. response:	We're within the gate.
context: I can't see anything.\Forget about everything.\Forget that the moon has vanished.\Forget about all the rockets that have gone missing beyond the stratosphere.\You have to believe that these stars are the ones you were gazing at in the past.\Why?\There was nothing there a moment ago.\We're within the gate. response:	The impossible becomes possible is the best explanation I can come up with at the moment.
context: Forget about everything.\Forget that the moon has vanished.\Forget about all the rockets that have gone missing beyond the stratosphere.\You have to believe that these stars are the ones you were gazing at in the past.\Why?\There was nothing there a moment ago.\We're within the gate.\The impossible becomes possible is the best explanation I can come up with at the moment. response:	The explanation is a little subpar coming from a scientist, isn't it?
context: Forget that the moon has vanished.\Forget about all the rockets that have gone missing beyond the stratosphere.\You have to believe that these stars are the ones you were gazing at in the past.\Why?\There was nothing there a moment ago.\We're within the gate.\The impossible becomes possible is the best explanation I can come up with at the moment.\The explanation is a little subpar coming from a scientist, isn't it? response:	I can assert that what you've witnessed is the beginning of a likely scenario for the future of this planet, though.
context: Forget about all the rockets that have gone missing beyond the stratosphere.\You have to believe that these stars are the ones you were gazing at in the past.\Why?\There was nothing there a moment ago.\We're within the gate.\The impossible becomes possible is the best explanation I can come up with at the moment.\The explanation is a little subpar coming from a scientist, isn't it?\I can assert that what you've witnessed is the beginning of a likely scenario for the future of this planet, though. response:	Li-kun, what do you think will happen if everyone in the world experiences what we just did?
context: You have to believe that these stars are the ones you were gazing at in the past.\Why?\There was nothing there a moment ago.\We're within the gate.\The impossible becomes possible is the best explanation I can come up with at the moment.\The explanation is a little subpar coming from a scientist, isn't it?\I can assert that what you've witnessed is the beginning of a likely scenario for the future of this planet, though.\Li-kun, what do you think will happen if everyone in the world experiences what we just did? response:	I have a feeling we'll regain a genuine starry sky when that happens.
context: Why?\There was nothing there a moment ago.\We're within the gate.\The impossible becomes possible is the best explanation I can come up with at the moment.\The explanation is a little subpar coming from a scientist, isn't it?\I can assert that what you've witnessed is the beginning of a likely scenario for the future of this planet, though.\Li-kun, what do you think will happen if everyone in the world experiences what we just did?\I have a feeling we'll regain a genuine starry sky when that happens. response:	You're an honest person.
context: There was nothing there a moment ago.\We're within the gate.\The impossible becomes possible is the best explanation I can come up with at the moment.\The explanation is a little subpar coming from a scientist, isn't it?\I can assert that what you've witnessed is the beginning of a likely scenario for the future of this planet, though.\Li-kun, what do you think will happen if everyone in the world experiences what we just did?\I have a feeling we'll regain a genuine starry sky when that happens.\You're an honest person. response:	Your facial expression says no way.
context: We're within the gate.\The impossible becomes possible is the best explanation I can come up with at the moment.\The explanation is a little subpar coming from a scientist, isn't it?\I can assert that what you've witnessed is the beginning of a likely scenario for the future of this planet, though.\Li-kun, what do you think will happen if everyone in the world experiences what we just did?\I have a feeling we'll regain a genuine starry sky when that happens.\You're an honest person.\Your facial expression says no way. response:	Well, that's okay.
context: The impossible becomes possible is the best explanation I can come up with at the moment.\The explanation is a little subpar coming from a scientist, isn't it?\I can assert that what you've witnessed is the beginning of a likely scenario for the future of this planet, though.\Li-kun, what do you think will happen if everyone in the world experiences what we just did?\I have a feeling we'll regain a genuine starry sky when that happens.\You're an honest person.\Your facial expression says no way.\Well, that's okay. response:	You should join our group someday.
context: The explanation is a little subpar coming from a scientist, isn't it?\I can assert that what you've witnessed is the beginning of a likely scenario for the future of this planet, though.\Li-kun, what do you think will happen if everyone in the world experiences what we just did?\I have a feeling we'll regain a genuine starry sky when that happens.\You're an honest person.\Your facial expression says no way.\Well, that's okay.\You should join our group someday. response:	It only consists of my sister and me, though.
context: I can assert that what you've witnessed is the beginning of a likely scenario for the future of this planet, though.\Li-kun, what do you think will happen if everyone in the world experiences what we just did?\I have a feeling we'll regain a genuine starry sky when that happens.\You're an honest person.\Your facial expression says no way.\Well, that's okay.\You should join our group someday.\It only consists of my sister and me, though. response:	Sister?
context: Li-kun, what do you think will happen if everyone in the world experiences what we just did?\I have a feeling we'll regain a genuine starry sky when that happens.\You're an honest person.\Your facial expression says no way.\Well, that's okay.\You should join our group someday.\It only consists of my sister and me, though.\Sister? response:	Yeah. She can't move her appendages right now, but...
context: I have a feeling we'll regain a genuine starry sky when that happens.\You're an honest person.\Your facial expression says no way.\Well, that's okay.\You should join our group someday.\It only consists of my sister and me, though.\Sister?\Yeah. She can't move her appendages right now, but... response:	If only for a day,
context: You're an honest person.\Your facial expression says no way.\Well, that's okay.\You should join our group someday.\It only consists of my sister and me, though.\Sister?\Yeah. She can't move her appendages right now, but...\If only for a day, response:	I want to remove this fabricated sky and take her into outer space.
context: Your facial expression says no way.\Well, that's okay.\You should join our group someday.\It only consists of my sister and me, though.\Sister?\Yeah. She can't move her appendages right now, but...\If only for a day,\I want to remove this fabricated sky and take her into outer space. response:	That's my dream.
context: Well, that's okay.\You should join our group someday.\It only consists of my sister and me, though.\Sister?\Yeah. She can't move her appendages right now, but...\If only for a day,\I want to remove this fabricated sky and take her into outer space.\That's my dream. response:	That dream... I hope it becomes a reality.
context: You should join our group someday.\It only consists of my sister and me, though.\Sister?\Yeah. She can't move her appendages right now, but...\If only for a day,\I want to remove this fabricated sky and take her into outer space.\That's my dream.\That dream... I hope it becomes a reality. response:	Yeah.
context: It only consists of my sister and me, though.\Sister?\Yeah. She can't move her appendages right now, but...\If only for a day,\I want to remove this fabricated sky and take her into outer space.\That's my dream.\That dream... I hope it becomes a reality.\Yeah. response:	May I sit here?
context: Sister?\Yeah. She can't move her appendages right now, but...\If only for a day,\I want to remove this fabricated sky and take her into outer space.\That's my dream.\That dream... I hope it becomes a reality.\Yeah.\May I sit here? response:	Is everything all right now?
context: Yeah. She can't move her appendages right now, but...\If only for a day,\I want to remove this fabricated sky and take her into outer space.\That's my dream.\That dream... I hope it becomes a reality.\Yeah.\May I sit here?\Is everything all right now? response:	I can see things that I've lost.
context: If only for a day,\I want to remove this fabricated sky and take her into outer space.\That's my dream.\That dream... I hope it becomes a reality.\Yeah.\May I sit here?\Is everything all right now?\I can see things that I've lost. response:	Two, three...
context: I want to remove this fabricated sky and take her into outer space.\That's my dream.\That dream... I hope it becomes a reality.\Yeah.\May I sit here?\Is everything all right now?\I can see things that I've lost.\Two, three... response:	Everywhere.
context: That's my dream.\That dream... I hope it becomes a reality.\Yeah.\May I sit here?\Is everything all right now?\I can see things that I've lost.\Two, three...\Everywhere. response:	I've decided to leave this place.
context: That dream... I hope it becomes a reality.\Yeah.\May I sit here?\Is everything all right now?\I can see things that I've lost.\Two, three...\Everywhere.\I've decided to leave this place. response:	Leave? How?
context: Yeah.\May I sit here?\Is everything all right now?\I can see things that I've lost.\Two, three...\Everywhere.\I've decided to leave this place.\Leave? How? response:	If I hand it to that man, I'll be able to...
context: May I sit here?\Is everything all right now?\I can see things that I've lost.\Two, three...\Everywhere.\I've decided to leave this place.\Leave? How?\If I hand it to that man, I'll be able to... response:	I told you it's none of your business!
context: Is everything all right now?\I can see things that I've lost.\Two, three...\Everywhere.\I've decided to leave this place.\Leave? How?\If I hand it to that man, I'll be able to...\I told you it's none of your business! response:	How long are you going to chase me?
context: I can see things that I've lost.\Two, three...\Everywhere.\I've decided to leave this place.\Leave? How?\If I hand it to that man, I'll be able to...\I told you it's none of your business!\How long are you going to chase me? response:	You're already dead!
context: Two, three...\Everywhere.\I've decided to leave this place.\Leave? How?\If I hand it to that man, I'll be able to...\I told you it's none of your business!\How long are you going to chase me?\You're already dead! response:	Whether I betray the country or Mama, I won't take any more of this from you!
context: Everywhere.\I've decided to leave this place.\Leave? How?\If I hand it to that man, I'll be able to...\I told you it's none of your business!\How long are you going to chase me?\You're already dead!\Whether I betray the country or Mama, I won't take any more of this from you! response:	If you go that far, it might be difficult to return to society.
context: I've decided to leave this place.\Leave? How?\If I hand it to that man, I'll be able to...\I told you it's none of your business!\How long are you going to chase me?\You're already dead!\Whether I betray the country or Mama, I won't take any more of this from you!\If you go that far, it might be difficult to return to society. response:	She's thinking about leaving this place.
context: Leave? How?\If I hand it to that man, I'll be able to...\I told you it's none of your business!\How long are you going to chase me?\You're already dead!\Whether I betray the country or Mama, I won't take any more of this from you!\If you go that far, it might be difficult to return to society.\She's thinking about leaving this place. response:	Without waiting a month?
context: If I hand it to that man, I'll be able to...\I told you it's none of your business!\How long are you going to chase me?\You're already dead!\Whether I betray the country or Mama, I won't take any more of this from you!\If you go that far, it might be difficult to return to society.\She's thinking about leaving this place.\Without waiting a month? response:	How?
context: I told you it's none of your business!\How long are you going to chase me?\You're already dead!\Whether I betray the country or Mama, I won't take any more of this from you!\If you go that far, it might be difficult to return to society.\She's thinking about leaving this place.\Without waiting a month?\How? response:	Well, I don't know.
context: How long are you going to chase me?\You're already dead!\Whether I betray the country or Mama, I won't take any more of this from you!\If you go that far, it might be difficult to return to society.\She's thinking about leaving this place.\Without waiting a month?\How?\Well, I don't know. response:	Oh.
context: You're already dead!\Whether I betray the country or Mama, I won't take any more of this from you!\If you go that far, it might be difficult to return to society.\She's thinking about leaving this place.\Without waiting a month?\How?\Well, I don't know.\Oh. response:	That's a cause for concern.
context: Whether I betray the country or Mama, I won't take any more of this from you!\If you go that far, it might be difficult to return to society.\She's thinking about leaving this place.\Without waiting a month?\How?\Well, I don't know.\Oh.\That's a cause for concern. response:	What happened?
context: If you go that far, it might be difficult to return to society.\She's thinking about leaving this place.\Without waiting a month?\How?\Well, I don't know.\Oh.\That's a cause for concern.\What happened? response:	That crazy woman named Corinna was murdered.
context: She's thinking about leaving this place.\Without waiting a month?\How?\Well, I don't know.\Oh.\That's a cause for concern.\What happened?\That crazy woman named Corinna was murdered. response:	The security camera was out of order when it happened.
context: Without waiting a month?\How?\Well, I don't know.\Oh.\That's a cause for concern.\What happened?\That crazy woman named Corinna was murdered.\The security camera was out of order when it happened. response:	Are you sure?
context: How?\Well, I don't know.\Oh.\That's a cause for concern.\What happened?\That crazy woman named Corinna was murdered.\The security camera was out of order when it happened.\Are you sure? response:	Yes, I saw it with my very own eyes.
context: Well, I don't know.\Oh.\That's a cause for concern.\What happened?\That crazy woman named Corinna was murdered.\The security camera was out of order when it happened.\Are you sure?\Yes, I saw it with my very own eyes. response:	It's him.
context: Oh.\That's a cause for concern.\What happened?\That crazy woman named Corinna was murdered.\The security camera was out of order when it happened.\Are you sure?\Yes, I saw it with my very own eyes.\It's him. response:	I heard you two were close.
context: That's a cause for concern.\What happened?\That crazy woman named Corinna was murdered.\The security camera was out of order when it happened.\Are you sure?\Yes, I saw it with my very own eyes.\It's him.\I heard you two were close. response:	Too many improbable occurrences have taken place here.
context: What happened?\That crazy woman named Corinna was murdered.\The security camera was out of order when it happened.\Are you sure?\Yes, I saw it with my very own eyes.\It's him.\I heard you two were close.\Too many improbable occurrences have taken place here. response:	For example, a crime of passion involving two people who just met each other.
context: That crazy woman named Corinna was murdered.\The security camera was out of order when it happened.\Are you sure?\Yes, I saw it with my very own eyes.\It's him.\I heard you two were close.\Too many improbable occurrences have taken place here.\For example, a crime of passion involving two people who just met each other. response:	Did she tell you anything before she was killed?
context: The security camera was out of order when it happened.\Are you sure?\Yes, I saw it with my very own eyes.\It's him.\I heard you two were close.\Too many improbable occurrences have taken place here.\For example, a crime of passion involving two people who just met each other.\Did she tell you anything before she was killed? response:	Nothing.
context: Are you sure?\Yes, I saw it with my very own eyes.\It's him.\I heard you two were close.\Too many improbable occurrences have taken place here.\For example, a crime of passion involving two people who just met each other.\Did she tell you anything before she was killed?\Nothing. response:	Keep an eye on him.
context: Yes, I saw it with my very own eyes.\It's him.\I heard you two were close.\Too many improbable occurrences have taken place here.\For example, a crime of passion involving two people who just met each other.\Did she tell you anything before she was killed?\Nothing.\Keep an eye on him. response:	Roger!
context: It's him.\I heard you two were close.\Too many improbable occurrences have taken place here.\For example, a crime of passion involving two people who just met each other.\Did she tell you anything before she was killed?\Nothing.\Keep an eye on him.\Roger! response:	Yes, it's me.
context: I heard you two were close.\Too many improbable occurrences have taken place here.\For example, a crime of passion involving two people who just met each other.\Did she tell you anything before she was killed?\Nothing.\Keep an eye on him.\Roger!\Yes, it's me. response:	Was it really not you?
context: Too many improbable occurrences have taken place here.\For example, a crime of passion involving two people who just met each other.\Did she tell you anything before she was killed?\Nothing.\Keep an eye on him.\Roger!\Yes, it's me.\Was it really not you? response:	I had no reason to kill her.
context: For example, a crime of passion involving two people who just met each other.\Did she tell you anything before she was killed?\Nothing.\Keep an eye on him.\Roger!\Yes, it's me.\Was it really not you?\I had no reason to kill her. response:	Do you need one,
context: Did she tell you anything before she was killed?\Nothing.\Keep an eye on him.\Roger!\Yes, it's me.\Was it really not you?\I had no reason to kill her.\Do you need one, response:	even if you're a contractor?
context: Nothing.\Keep an eye on him.\Roger!\Yes, it's me.\Was it really not you?\I had no reason to kill her.\Do you need one,\even if you're a contractor? response:	Is that all you had to say?
context: Keep an eye on him.\Roger!\Yes, it's me.\Was it really not you?\I had no reason to kill her.\Do you need one,\even if you're a contractor?\Is that all you had to say? response:	If you have no further business...
context: Roger!\Yes, it's me.\Was it really not you?\I had no reason to kill her.\Do you need one,\even if you're a contractor?\Is that all you had to say?\If you have no further business... response:	Could you be... upset?
context: Yes, it's me.\Was it really not you?\I had no reason to kill her.\Do you need one,\even if you're a contractor?\Is that all you had to say?\If you have no further business...\Could you be... upset? response:	I'm sorry. I'm surprised.
context: Was it really not you?\I had no reason to kill her.\Do you need one,\even if you're a contractor?\Is that all you had to say?\If you have no further business...\Could you be... upset?\I'm sorry. I'm surprised. response:	I thought contractors were people who lost their emotions.
context: I had no reason to kill her.\Do you need one,\even if you're a contractor?\Is that all you had to say?\If you have no further business...\Could you be... upset?\I'm sorry. I'm surprised.\I thought contractors were people who lost their emotions. response:	If you didn't do it, then who...
context: Do you need one,\even if you're a contractor?\Is that all you had to say?\If you have no further business...\Could you be... upset?\I'm sorry. I'm surprised.\I thought contractors were people who lost their emotions.\If you didn't do it, then who... response:	There I go again. I'm sorry, I was out of line.
context: even if you're a contractor?\Is that all you had to say?\If you have no further business...\Could you be... upset?\I'm sorry. I'm surprised.\I thought contractors were people who lost their emotions.\If you didn't do it, then who...\There I go again. I'm sorry, I was out of line. response:	You can make all the assumptions you want,
context: Is that all you had to say?\If you have no further business...\Could you be... upset?\I'm sorry. I'm surprised.\I thought contractors were people who lost their emotions.\If you didn't do it, then who...\There I go again. I'm sorry, I was out of line.\You can make all the assumptions you want, response:	but don't act on your own.
context: If you have no further business...\Could you be... upset?\I'm sorry. I'm surprised.\I thought contractors were people who lost their emotions.\If you didn't do it, then who...\There I go again. I'm sorry, I was out of line.\You can make all the assumptions you want,\but don't act on your own. response:	That is... If you want to continue with your research. Is that clear?
context: Could you be... upset?\I'm sorry. I'm surprised.\I thought contractors were people who lost their emotions.\If you didn't do it, then who...\There I go again. I'm sorry, I was out of line.\You can make all the assumptions you want,\but don't act on your own.\That is... If you want to continue with your research. Is that clear? response:	Y-Yes.
context: I'm sorry. I'm surprised.\I thought contractors were people who lost their emotions.\If you didn't do it, then who...\There I go again. I'm sorry, I was out of line.\You can make all the assumptions you want,\but don't act on your own.\That is... If you want to continue with your research. Is that clear?\Y-Yes. response:	The female victim was a courier sent by the CIA.
context: I thought contractors were people who lost their emotions.\If you didn't do it, then who...\There I go again. I'm sorry, I was out of line.\You can make all the assumptions you want,\but don't act on your own.\That is... If you want to continue with your research. Is that clear?\Y-Yes.\The female victim was a courier sent by the CIA. response:	She was planning on handing us the meteor fragment in exchange for her release from the facility.
context: If you didn't do it, then who...\There I go again. I'm sorry, I was out of line.\You can make all the assumptions you want,\but don't act on your own.\That is... If you want to continue with your research. Is that clear?\Y-Yes.\The female victim was a courier sent by the CIA.\She was planning on handing us the meteor fragment in exchange for her release from the facility. response:	Unfortunately, she didn't mention its location.
context: There I go again. I'm sorry, I was out of line.\You can make all the assumptions you want,\but don't act on your own.\That is... If you want to continue with your research. Is that clear?\Y-Yes.\The female victim was a courier sent by the CIA.\She was planning on handing us the meteor fragment in exchange for her release from the facility.\Unfortunately, she didn't mention its location. response:	I understand. I'll do my best.
context: You can make all the assumptions you want,\but don't act on your own.\That is... If you want to continue with your research. Is that clear?\Y-Yes.\The female victim was a courier sent by the CIA.\She was planning on handing us the meteor fragment in exchange for her release from the facility.\Unfortunately, she didn't mention its location.\I understand. I'll do my best. response:	We will now commence an area search using the surveillance camera operated by Dr. Sergei's Third Sector team.
context: but don't act on your own.\That is... If you want to continue with your research. Is that clear?\Y-Yes.\The female victim was a courier sent by the CIA.\She was planning on handing us the meteor fragment in exchange for her release from the facility.\Unfortunately, she didn't mention its location.\I understand. I'll do my best.\We will now commence an area search using the surveillance camera operated by Dr. Sergei's Third Sector team. response:	All personnel with corresponding ID numbers, please proceed to Conference Room Two.
