context: Takeshi, you've received an invitation from the Schuberstein Competition. response:	It's in Germany... You're finally going overseas!
context: Hmm, but I think Igawa-san's been struggling a little lately.\An honorable mention at the Kumagai Competition,\third place at the Tanizaki Music Festival,\and the other day, she didn't even make it past the preliminaries.\Sounds like she's been running hot and cold.\To think that those three always used to be a lock for the Top 3...\Pardon me.\Oh, response:	Mr. Takayanagi.
context: An honorable mention at the Kumagai Competition,\third place at the Tanizaki Music Festival,\and the other day, she didn't even make it past the preliminaries.\Sounds like she's been running hot and cold.\To think that those three always used to be a lock for the Top 3...\Pardon me.\Oh,\Mr. Takayanagi. response:	Hello, Ms. Ochiai.
context: third place at the Tanizaki Music Festival,\and the other day, she didn't even make it past the preliminaries.\Sounds like she's been running hot and cold.\To think that those three always used to be a lock for the Top 3...\Pardon me.\Oh,\Mr. Takayanagi.\Hello, Ms. Ochiai. response:	Tell me...
context: and the other day, she didn't even make it past the preliminaries.\Sounds like she's been running hot and cold.\To think that those three always used to be a lock for the Top 3...\Pardon me.\Oh,\Mr. Takayanagi.\Hello, Ms. Ochiai.\Tell me... response:	How's it going with your student, Igawa-san?
context: Sounds like she's been running hot and cold.\To think that those three always used to be a lock for the Top 3...\Pardon me.\Oh,\Mr. Takayanagi.\Hello, Ms. Ochiai.\Tell me...\How's it going with your student, Igawa-san? response:	What a snide man.
context: To think that those three always used to be a lock for the Top 3...\Pardon me.\Oh,\Mr. Takayanagi.\Hello, Ms. Ochiai.\Tell me...\How's it going with your student, Igawa-san?\What a snide man. response:	Aiza-kun's performance was masterful.
context: Pardon me.\Oh,\Mr. Takayanagi.\Hello, Ms. Ochiai.\Tell me...\How's it going with your student, Igawa-san?\What a snide man.\Aiza-kun's performance was masterful. response:	I'm sure it's all due to your instruction.
context: Oh,\Mr. Takayanagi.\Hello, Ms. Ochiai.\Tell me...\How's it going with your student, Igawa-san?\What a snide man.\Aiza-kun's performance was masterful.\I'm sure it's all due to your instruction. response:	Well... thank you very much.
context: Mr. Takayanagi.\Hello, Ms. Ochiai.\Tell me...\How's it going with your student, Igawa-san?\What a snide man.\Aiza-kun's performance was masterful.\I'm sure it's all due to your instruction.\Well... thank you very much. response:	In my case, the student has surpassed the master!
context: Hello, Ms. Ochiai.\Tell me...\How's it going with your student, Igawa-san?\What a snide man.\Aiza-kun's performance was masterful.\I'm sure it's all due to your instruction.\Well... thank you very much.\In my case, the student has surpassed the master! response:	But I do believe it's time for him to start thinking globally.
context: Tell me...\How's it going with your student, Igawa-san?\What a snide man.\Aiza-kun's performance was masterful.\I'm sure it's all due to your instruction.\Well... thank you very much.\In my case, the student has surpassed the master!\But I do believe it's time for him to start thinking globally. response:	Since there probably isn't anything left for him to accomplish domestically.
context: How's it going with your student, Igawa-san?\What a snide man.\Aiza-kun's performance was masterful.\I'm sure it's all due to your instruction.\Well... thank you very much.\In my case, the student has surpassed the master!\But I do believe it's time for him to start thinking globally.\Since there probably isn't anything left for him to accomplish domestically. response:	No one can challenge him anymore in Japan.
context: What a snide man.\Aiza-kun's performance was masterful.\I'm sure it's all due to your instruction.\Well... thank you very much.\In my case, the student has surpassed the master!\But I do believe it's time for him to start thinking globally.\Since there probably isn't anything left for him to accomplish domestically.\No one can challenge him anymore in Japan. response:	You saw that yourself, didn't you?
context: Aiza-kun's performance was masterful.\I'm sure it's all due to your instruction.\Well... thank you very much.\In my case, the student has surpassed the master!\But I do believe it's time for him to start thinking globally.\Since there probably isn't anything left for him to accomplish domestically.\No one can challenge him anymore in Japan.\You saw that yourself, didn't you? response:	In everyone's eyes, Takeshi is No. 1!
context: I'm sure it's all due to your instruction.\Well... thank you very much.\In my case, the student has surpassed the master!\But I do believe it's time for him to start thinking globally.\Since there probably isn't anything left for him to accomplish domestically.\No one can challenge him anymore in Japan.\You saw that yourself, didn't you?\In everyone's eyes, Takeshi is No. 1! response:	Today, he'll destroy Arima, and head overseas!
context: Well... thank you very much.\In my case, the student has surpassed the master!\But I do believe it's time for him to start thinking globally.\Since there probably isn't anything left for him to accomplish domestically.\No one can challenge him anymore in Japan.\You saw that yourself, didn't you?\In everyone's eyes, Takeshi is No. 1!\Today, he'll destroy Arima, and head overseas! response:	Feel free.
context: In my case, the student has surpassed the master!\But I do believe it's time for him to start thinking globally.\Since there probably isn't anything left for him to accomplish domestically.\No one can challenge him anymore in Japan.\You saw that yourself, didn't you?\In everyone's eyes, Takeshi is No. 1!\Today, he'll destroy Arima, and head overseas!\Feel free. response:	So how's she doing? Igawa-san?
context: But I do believe it's time for him to start thinking globally.\Since there probably isn't anything left for him to accomplish domestically.\No one can challenge him anymore in Japan.\You saw that yourself, didn't you?\In everyone's eyes, Takeshi is No. 1!\Today, he'll destroy Arima, and head overseas!\Feel free.\So how's she doing? Igawa-san? response:	That girl... Emi can be so temperamental, you see.
context: Since there probably isn't anything left for him to accomplish domestically.\No one can challenge him anymore in Japan.\You saw that yourself, didn't you?\In everyone's eyes, Takeshi is No. 1!\Today, he'll destroy Arima, and head overseas!\Feel free.\So how's she doing? Igawa-san?\That girl... Emi can be so temperamental, you see. response:	The most trivial thing can have a drastic effect on her performance.
context: No one can challenge him anymore in Japan.\You saw that yourself, didn't you?\In everyone's eyes, Takeshi is No. 1!\Today, he'll destroy Arima, and head overseas!\Feel free.\So how's she doing? Igawa-san?\That girl... Emi can be so temperamental, you see.\The most trivial thing can have a drastic effect on her performance. response:	Like her new shoes pinching her toes,
context: You saw that yourself, didn't you?\In everyone's eyes, Takeshi is No. 1!\Today, he'll destroy Arima, and head overseas!\Feel free.\So how's she doing? Igawa-san?\That girl... Emi can be so temperamental, you see.\The most trivial thing can have a drastic effect on her performance.\Like her new shoes pinching her toes, response:	or her neighbor humming in a bizarre way...
context: In everyone's eyes, Takeshi is No. 1!\Today, he'll destroy Arima, and head overseas!\Feel free.\So how's she doing? Igawa-san?\That girl... Emi can be so temperamental, you see.\The most trivial thing can have a drastic effect on her performance.\Like her new shoes pinching her toes,\or her neighbor humming in a bizarre way... response:	She can even be swayed by the weather that day.
context: Today, he'll destroy Arima, and head overseas!\Feel free.\So how's she doing? Igawa-san?\That girl... Emi can be so temperamental, you see.\The most trivial thing can have a drastic effect on her performance.\Like her new shoes pinching her toes,\or her neighbor humming in a bizarre way...\She can even be swayed by the weather that day. response:	For the last two years,
context: Feel free.\So how's she doing? Igawa-san?\That girl... Emi can be so temperamental, you see.\The most trivial thing can have a drastic effect on her performance.\Like her new shoes pinching her toes,\or her neighbor humming in a bizarre way...\She can even be swayed by the weather that day.\For the last two years, response:	it's been so hectic for everyone, trying to keep her motivated...
context: So how's she doing? Igawa-san?\That girl... Emi can be so temperamental, you see.\The most trivial thing can have a drastic effect on her performance.\Like her new shoes pinching her toes,\or her neighbor humming in a bizarre way...\She can even be swayed by the weather that day.\For the last two years,\it's been so hectic for everyone, trying to keep her motivated... response:	Because the goal she should have vanquished had disappeared.
context: That girl... Emi can be so temperamental, you see.\The most trivial thing can have a drastic effect on her performance.\Like her new shoes pinching her toes,\or her neighbor humming in a bizarre way...\She can even be swayed by the weather that day.\For the last two years,\it's been so hectic for everyone, trying to keep her motivated...\Because the goal she should have vanquished had disappeared. response:	But... it's different today.
context: The most trivial thing can have a drastic effect on her performance.\Like her new shoes pinching her toes,\or her neighbor humming in a bizarre way...\She can even be swayed by the weather that day.\For the last two years,\it's been so hectic for everyone, trying to keep her motivated...\Because the goal she should have vanquished had disappeared.\But... it's different today. response:	The last two years... The goal she should have vanquished...
context: Like her new shoes pinching her toes,\or her neighbor humming in a bizarre way...\She can even be swayed by the weather that day.\For the last two years,\it's been so hectic for everyone, trying to keep her motivated...\Because the goal she should have vanquished had disappeared.\But... it's different today.\The last two years... The goal she should have vanquished... response:	The goal she should have vanquished!
context: or her neighbor humming in a bizarre way...\She can even be swayed by the weather that day.\For the last two years,\it's been so hectic for everyone, trying to keep her motivated...\Because the goal she should have vanquished had disappeared.\But... it's different today.\The last two years... The goal she should have vanquished...\The goal she should have vanquished! response:	Are you implying that she doesn't see Takeshi as her goal?
context: She can even be swayed by the weather that day.\For the last two years,\it's been so hectic for everyone, trying to keep her motivated...\Because the goal she should have vanquished had disappeared.\But... it's different today.\The last two years... The goal she should have vanquished...\The goal she should have vanquished!\Are you implying that she doesn't see Takeshi as her goal? response:	Well, Aiza-kun doesn't see Emi as a rival either.
context: For the last two years,\it's been so hectic for everyone, trying to keep her motivated...\Because the goal she should have vanquished had disappeared.\But... it's different today.\The last two years... The goal she should have vanquished...\The goal she should have vanquished!\Are you implying that she doesn't see Takeshi as her goal?\Well, Aiza-kun doesn't see Emi as a rival either. response:	The results speak for themselves... It's written all over your face.
context: it's been so hectic for everyone, trying to keep her motivated...\Because the goal she should have vanquished had disappeared.\But... it's different today.\The last two years... The goal she should have vanquished...\The goal she should have vanquished!\Are you implying that she doesn't see Takeshi as her goal?\Well, Aiza-kun doesn't see Emi as a rival either.\The results speak for themselves... It's written all over your face. response:	Are you trying to pick a fight with me, Ms. Ochiai?
context: Because the goal she should have vanquished had disappeared.\But... it's different today.\The last two years... The goal she should have vanquished...\The goal she should have vanquished!\Are you implying that she doesn't see Takeshi as her goal?\Well, Aiza-kun doesn't see Emi as a rival either.\The results speak for themselves... It's written all over your face.\Are you trying to pick a fight with me, Ms. Ochiai? response:	You're the one who threw down the gauntlet, Mr. Takayanagi.
context: But... it's different today.\The last two years... The goal she should have vanquished...\The goal she should have vanquished!\Are you implying that she doesn't see Takeshi as her goal?\Well, Aiza-kun doesn't see Emi as a rival either.\The results speak for themselves... It's written all over your face.\Are you trying to pick a fight with me, Ms. Ochiai?\You're the one who threw down the gauntlet, Mr. Takayanagi. response:	We women are combative creatures. Do you understand?
context: The last two years... The goal she should have vanquished...\The goal she should have vanquished!\Are you implying that she doesn't see Takeshi as her goal?\Well, Aiza-kun doesn't see Emi as a rival either.\The results speak for themselves... It's written all over your face.\Are you trying to pick a fight with me, Ms. Ochiai?\You're the one who threw down the gauntlet, Mr. Takayanagi.\We women are combative creatures. Do you understand? response:	Little boy?
context: The goal she should have vanquished!\Are you implying that she doesn't see Takeshi as her goal?\Well, Aiza-kun doesn't see Emi as a rival either.\The results speak for themselves... It's written all over your face.\Are you trying to pick a fight with me, Ms. Ochiai?\You're the one who threw down the gauntlet, Mr. Takayanagi.\We women are combative creatures. Do you understand?\Little boy? response:	We will now resume judging.
context: Are you implying that she doesn't see Takeshi as her goal?\Well, Aiza-kun doesn't see Emi as a rival either.\The results speak for themselves... It's written all over your face.\Are you trying to pick a fight with me, Ms. Ochiai?\You're the one who threw down the gauntlet, Mr. Takayanagi.\We women are combative creatures. Do you understand?\Little boy?\We will now resume judging. response:	Aiza-kun's reign will end today. Emi will bring an end to it.
context: Well, Aiza-kun doesn't see Emi as a rival either.\The results speak for themselves... It's written all over your face.\Are you trying to pick a fight with me, Ms. Ochiai?\You're the one who threw down the gauntlet, Mr. Takayanagi.\We women are combative creatures. Do you understand?\Little boy?\We will now resume judging.\Aiza-kun's reign will end today. Emi will bring an end to it. response:	Ugh, goosebumps.
context: The results speak for themselves... It's written all over your face.\Are you trying to pick a fight with me, Ms. Ochiai?\You're the one who threw down the gauntlet, Mr. Takayanagi.\We women are combative creatures. Do you understand?\Little boy?\We will now resume judging.\Aiza-kun's reign will end today. Emi will bring an end to it.\Ugh, goosebumps. response:	It's turning red!
context: Are you trying to pick a fight with me, Ms. Ochiai?\You're the one who threw down the gauntlet, Mr. Takayanagi.\We women are combative creatures. Do you understand?\Little boy?\We will now resume judging.\Aiza-kun's reign will end today. Emi will bring an end to it.\Ugh, goosebumps.\It's turning red! response:	It's been a while since I felt this way.
context: You're the one who threw down the gauntlet, Mr. Takayanagi.\We women are combative creatures. Do you understand?\Little boy?\We will now resume judging.\Aiza-kun's reign will end today. Emi will bring an end to it.\Ugh, goosebumps.\It's turning red!\It's been a while since I felt this way. response:	That's right...
context: We women are combative creatures. Do you understand?\Little boy?\We will now resume judging.\Aiza-kun's reign will end today. Emi will bring an end to it.\Ugh, goosebumps.\It's turning red!\It's been a while since I felt this way.\That's right... response:	It's been two years.
context: Little boy?\We will now resume judging.\Aiza-kun's reign will end today. Emi will bring an end to it.\Ugh, goosebumps.\It's turning red!\It's been a while since I felt this way.\That's right...\It's been two years. response:	When I was five,
context: We will now resume judging.\Aiza-kun's reign will end today. Emi will bring an end to it.\Ugh, goosebumps.\It's turning red!\It's been a while since I felt this way.\That's right...\It's been two years.\When I was five, response:	I went to a piano recital to cheer on a friend.
context: Aiza-kun's reign will end today. Emi will bring an end to it.\Ugh, goosebumps.\It's turning red!\It's been a while since I felt this way.\That's right...\It's been two years.\When I was five,\I went to a piano recital to cheer on a friend. response:	Just when I was about to fall asleep from boredom,
context: Ugh, goosebumps.\It's turning red!\It's been a while since I felt this way.\That's right...\It's been two years.\When I was five,\I went to a piano recital to cheer on a friend.\Just when I was about to fall asleep from boredom, response:	He appeared onstage.
context: It's turning red!\It's been a while since I felt this way.\That's right...\It's been two years.\When I was five,\I went to a piano recital to cheer on a friend.\Just when I was about to fall asleep from boredom,\He appeared onstage. response:	He was such a bundle of nerves,
context: It's been a while since I felt this way.\That's right...\It's been two years.\When I was five,\I went to a piano recital to cheer on a friend.\Just when I was about to fall asleep from boredom,\He appeared onstage.\He was such a bundle of nerves, response:	my heart started pounding.
context: That's right...\It's been two years.\When I was five,\I went to a piano recital to cheer on a friend.\Just when I was about to fall asleep from boredom,\He appeared onstage.\He was such a bundle of nerves,\my heart started pounding. response:	That Arima-kun was? Hmm...
context: It's been two years.\When I was five,\I went to a piano recital to cheer on a friend.\Just when I was about to fall asleep from boredom,\He appeared onstage.\He was such a bundle of nerves,\my heart started pounding.\That Arima-kun was? Hmm... response:	I found out later that...
context: When I was five,\I went to a piano recital to cheer on a friend.\Just when I was about to fall asleep from boredom,\He appeared onstage.\He was such a bundle of nerves,\my heart started pounding.\That Arima-kun was? Hmm...\I found out later that... response:	that was the first time he'd ever performed in front of other people.
context: I went to a piano recital to cheer on a friend.\Just when I was about to fall asleep from boredom,\He appeared onstage.\He was such a bundle of nerves,\my heart started pounding.\That Arima-kun was? Hmm...\I found out later that...\that was the first time he'd ever performed in front of other people. response:	That moment of silence before his fingers touched the keys...
context: Just when I was about to fall asleep from boredom,\He appeared onstage.\He was such a bundle of nerves,\my heart started pounding.\That Arima-kun was? Hmm...\I found out later that...\that was the first time he'd ever performed in front of other people.\That moment of silence before his fingers touched the keys... response:	The time he took to bid his hesitation and confusion farewell...
context: He appeared onstage.\He was such a bundle of nerves,\my heart started pounding.\That Arima-kun was? Hmm...\I found out later that...\that was the first time he'd ever performed in front of other people.\That moment of silence before his fingers touched the keys...\The time he took to bid his hesitation and confusion farewell... response:	The moment his fingers touched the keys,
context: He was such a bundle of nerves,\my heart started pounding.\That Arima-kun was? Hmm...\I found out later that...\that was the first time he'd ever performed in front of other people.\That moment of silence before his fingers touched the keys...\The time he took to bid his hesitation and confusion farewell...\The moment his fingers touched the keys, response:	my future was decided.
context: my heart started pounding.\That Arima-kun was? Hmm...\I found out later that...\that was the first time he'd ever performed in front of other people.\That moment of silence before his fingers touched the keys...\The time he took to bid his hesitation and confusion farewell...\The moment his fingers touched the keys,\my future was decided. response:	I did it! Oops!
context: That Arima-kun was? Hmm...\I found out later that...\that was the first time he'd ever performed in front of other people.\That moment of silence before his fingers touched the keys...\The time he took to bid his hesitation and confusion farewell...\The moment his fingers touched the keys,\my future was decided.\I did it! Oops! response:	What, you started bawling?
context: I found out later that...\that was the first time he'd ever performed in front of other people.\That moment of silence before his fingers touched the keys...\The time he took to bid his hesitation and confusion farewell...\The moment his fingers touched the keys,\my future was decided.\I did it! Oops!\What, you started bawling? response:	Embarrassing, I know.
context: that was the first time he'd ever performed in front of other people.\That moment of silence before his fingers touched the keys...\The time he took to bid his hesitation and confusion farewell...\The moment his fingers touched the keys,\my future was decided.\I did it! Oops!\What, you started bawling?\Embarrassing, I know. response:	I'm sure it was awkward for young Arima!
context: That moment of silence before his fingers touched the keys...\The time he took to bid his hesitation and confusion farewell...\The moment his fingers touched the keys,\my future was decided.\I did it! Oops!\What, you started bawling?\Embarrassing, I know.\I'm sure it was awkward for young Arima! response:	He was crestfallen, and beat it out of there.
context: The time he took to bid his hesitation and confusion farewell...\The moment his fingers touched the keys,\my future was decided.\I did it! Oops!\What, you started bawling?\Embarrassing, I know.\I'm sure it was awkward for young Arima!\He was crestfallen, and beat it out of there. response:	My heart wouldn't stop pounding, and tears were filling my eyes.
context: The moment his fingers touched the keys,\my future was decided.\I did it! Oops!\What, you started bawling?\Embarrassing, I know.\I'm sure it was awkward for young Arima!\He was crestfallen, and beat it out of there.\My heart wouldn't stop pounding, and tears were filling my eyes. response:	All of my emotions came gushing out at once.
context: my future was decided.\I did it! Oops!\What, you started bawling?\Embarrassing, I know.\I'm sure it was awkward for young Arima!\He was crestfallen, and beat it out of there.\My heart wouldn't stop pounding, and tears were filling my eyes.\All of my emotions came gushing out at once. response:	I was just so moved.
context: I did it! Oops!\What, you started bawling?\Embarrassing, I know.\I'm sure it was awkward for young Arima!\He was crestfallen, and beat it out of there.\My heart wouldn't stop pounding, and tears were filling my eyes.\All of my emotions came gushing out at once.\I was just so moved. response:	As if I was embodying all the pleasure music brings.
context: What, you started bawling?\Embarrassing, I know.\I'm sure it was awkward for young Arima!\He was crestfallen, and beat it out of there.\My heart wouldn't stop pounding, and tears were filling my eyes.\All of my emotions came gushing out at once.\I was just so moved.\As if I was embodying all the pleasure music brings. response:	But he, on the other hand... Kousei Arima changed.
context: Embarrassing, I know.\I'm sure it was awkward for young Arima!\He was crestfallen, and beat it out of there.\My heart wouldn't stop pounding, and tears were filling my eyes.\All of my emotions came gushing out at once.\I was just so moved.\As if I was embodying all the pleasure music brings.\But he, on the other hand... Kousei Arima changed. response:	Like a machine.
context: I'm sure it was awkward for young Arima!\He was crestfallen, and beat it out of there.\My heart wouldn't stop pounding, and tears were filling my eyes.\All of my emotions came gushing out at once.\I was just so moved.\As if I was embodying all the pleasure music brings.\But he, on the other hand... Kousei Arima changed.\Like a machine. response:	His mother's puppet.
context: He was crestfallen, and beat it out of there.\My heart wouldn't stop pounding, and tears were filling my eyes.\All of my emotions came gushing out at once.\I was just so moved.\As if I was embodying all the pleasure music brings.\But he, on the other hand... Kousei Arima changed.\Like a machine.\His mother's puppet. response:	A slave to the sheet music.
context: My heart wouldn't stop pounding, and tears were filling my eyes.\All of my emotions came gushing out at once.\I was just so moved.\As if I was embodying all the pleasure music brings.\But he, on the other hand... Kousei Arima changed.\Like a machine.\His mother's puppet.\A slave to the sheet music. response:	A pianist made only for competitions.
context: All of my emotions came gushing out at once.\I was just so moved.\As if I was embodying all the pleasure music brings.\But he, on the other hand... Kousei Arima changed.\Like a machine.\His mother's puppet.\A slave to the sheet music.\A pianist made only for competitions. response:	So Kousei Arima's mother, Saki Arima, was dreaming.
context: I was just so moved.\As if I was embodying all the pleasure music brings.\But he, on the other hand... Kousei Arima changed.\Like a machine.\His mother's puppet.\A slave to the sheet music.\A pianist made only for competitions.\So Kousei Arima's mother, Saki Arima, was dreaming. response:	I can understand that.
context: As if I was embodying all the pleasure music brings.\But he, on the other hand... Kousei Arima changed.\Like a machine.\His mother's puppet.\A slave to the sheet music.\A pianist made only for competitions.\So Kousei Arima's mother, Saki Arima, was dreaming.\I can understand that. response:	She entered her son in that competition to test him,
context: But he, on the other hand... Kousei Arima changed.\Like a machine.\His mother's puppet.\A slave to the sheet music.\A pianist made only for competitions.\So Kousei Arima's mother, Saki Arima, was dreaming.\I can understand that.\She entered her son in that competition to test him, response:	and her dreams for him began with his magnificent performance.
context: Like a machine.\His mother's puppet.\A slave to the sheet music.\A pianist made only for competitions.\So Kousei Arima's mother, Saki Arima, was dreaming.\I can understand that.\She entered her son in that competition to test him,\and her dreams for him began with his magnificent performance. response:	The dreams that she could never realize for herself.
context: His mother's puppet.\A slave to the sheet music.\A pianist made only for competitions.\So Kousei Arima's mother, Saki Arima, was dreaming.\I can understand that.\She entered her son in that competition to test him,\and her dreams for him began with his magnificent performance.\The dreams that she could never realize for herself. response:	And so she drilled him...
context: A slave to the sheet music.\A pianist made only for competitions.\So Kousei Arima's mother, Saki Arima, was dreaming.\I can understand that.\She entered her son in that competition to test him,\and her dreams for him began with his magnificent performance.\The dreams that she could never realize for herself.\And so she drilled him... response:	to give performances that would leave results, that could win competitions.
context: A pianist made only for competitions.\So Kousei Arima's mother, Saki Arima, was dreaming.\I can understand that.\She entered her son in that competition to test him,\and her dreams for him began with his magnificent performance.\The dreams that she could never realize for herself.\And so she drilled him...\to give performances that would leave results, that could win competitions. response:	Exactly what the score calls for. Like a machine.
context: So Kousei Arima's mother, Saki Arima, was dreaming.\I can understand that.\She entered her son in that competition to test him,\and her dreams for him began with his magnificent performance.\The dreams that she could never realize for herself.\And so she drilled him...\to give performances that would leave results, that could win competitions.\Exactly what the score calls for. Like a machine. response:	I get it.
context: I can understand that.\She entered her son in that competition to test him,\and her dreams for him began with his magnificent performance.\The dreams that she could never realize for herself.\And so she drilled him...\to give performances that would leave results, that could win competitions.\Exactly what the score calls for. Like a machine.\I get it. response:	As an instructor, it's painful not to be able to deny that.
context: She entered her son in that competition to test him,\and her dreams for him began with his magnificent performance.\The dreams that she could never realize for herself.\And so she drilled him...\to give performances that would leave results, that could win competitions.\Exactly what the score calls for. Like a machine.\I get it.\As an instructor, it's painful not to be able to deny that. response:	But you're different, aren't you?
context: and her dreams for him began with his magnificent performance.\The dreams that she could never realize for herself.\And so she drilled him...\to give performances that would leave results, that could win competitions.\Exactly what the score calls for. Like a machine.\I get it.\As an instructor, it's painful not to be able to deny that.\But you're different, aren't you? response:	Because you're a strong child.
context: The dreams that she could never realize for herself.\And so she drilled him...\to give performances that would leave results, that could win competitions.\Exactly what the score calls for. Like a machine.\I get it.\As an instructor, it's painful not to be able to deny that.\But you're different, aren't you?\Because you're a strong child. response:	You know, she can be unfriendly, and she says stuff that sounds pretty mean,
context: And so she drilled him...\to give performances that would leave results, that could win competitions.\Exactly what the score calls for. Like a machine.\I get it.\As an instructor, it's painful not to be able to deny that.\But you're different, aren't you?\Because you're a strong child.\You know, she can be unfriendly, and she says stuff that sounds pretty mean, response:	but she really has a thing for you, you know, Arima.
context: to give performances that would leave results, that could win competitions.\Exactly what the score calls for. Like a machine.\I get it.\As an instructor, it's painful not to be able to deny that.\But you're different, aren't you?\Because you're a strong child.\You know, she can be unfriendly, and she says stuff that sounds pretty mean,\but she really has a thing for you, you know, Arima. response:	For me?
context: Exactly what the score calls for. Like a machine.\I get it.\As an instructor, it's painful not to be able to deny that.\But you're different, aren't you?\Because you're a strong child.\You know, she can be unfriendly, and she says stuff that sounds pretty mean,\but she really has a thing for you, you know, Arima.\For me? response:	Yeah, I swear, it's like she's in love with you.
context: I get it.\As an instructor, it's painful not to be able to deny that.\But you're different, aren't you?\Because you're a strong child.\You know, she can be unfriendly, and she says stuff that sounds pretty mean,\but she really has a thing for you, you know, Arima.\For me?\Yeah, I swear, it's like she's in love with you. response:	I mean, she was always telling me...
context: As an instructor, it's painful not to be able to deny that.\But you're different, aren't you?\Because you're a strong child.\You know, she can be unfriendly, and she says stuff that sounds pretty mean,\but she really has a thing for you, you know, Arima.\For me?\Yeah, I swear, it's like she's in love with you.\I mean, she was always telling me... response:	Takeshi, you don't know the real Arima, do you?
context: But you're different, aren't you?\Because you're a strong child.\You know, she can be unfriendly, and she says stuff that sounds pretty mean,\but she really has a thing for you, you know, Arima.\For me?\Yeah, I swear, it's like she's in love with you.\I mean, she was always telling me...\Takeshi, you don't know the real Arima, do you? response:	So beautiful...
context: Because you're a strong child.\You know, she can be unfriendly, and she says stuff that sounds pretty mean,\but she really has a thing for you, you know, Arima.\For me?\Yeah, I swear, it's like she's in love with you.\I mean, she was always telling me...\Takeshi, you don't know the real Arima, do you?\So beautiful... response:	Pretty!
context: You know, she can be unfriendly, and she says stuff that sounds pretty mean,\but she really has a thing for you, you know, Arima.\For me?\Yeah, I swear, it's like she's in love with you.\I mean, she was always telling me...\Takeshi, you don't know the real Arima, do you?\So beautiful...\Pretty! response:	She just takes my breath away. Her, and the black piano...
context: but she really has a thing for you, you know, Arima.\For me?\Yeah, I swear, it's like she's in love with you.\I mean, she was always telling me...\Takeshi, you don't know the real Arima, do you?\So beautiful...\Pretty!\She just takes my breath away. Her, and the black piano... response:	I mean, really... what a sight!
context: For me?\Yeah, I swear, it's like she's in love with you.\I mean, she was always telling me...\Takeshi, you don't know the real Arima, do you?\So beautiful...\Pretty!\She just takes my breath away. Her, and the black piano...\I mean, really... what a sight! response:	What a lovely sound. But...
context: Yeah, I swear, it's like she's in love with you.\I mean, she was always telling me...\Takeshi, you don't know the real Arima, do you?\So beautiful...\Pretty!\She just takes my breath away. Her, and the black piano...\I mean, really... what a sight!\What a lovely sound. But... response:	If that's all she's got...
context: I mean, she was always telling me...\Takeshi, you don't know the real Arima, do you?\So beautiful...\Pretty!\She just takes my breath away. Her, and the black piano...\I mean, really... what a sight!\What a lovely sound. But...\If that's all she's got... response:	It's true that Emi can be erratic.
context: Takeshi, you don't know the real Arima, do you?\So beautiful...\Pretty!\She just takes my breath away. Her, and the black piano...\I mean, really... what a sight!\What a lovely sound. But...\If that's all she's got...\It's true that Emi can be erratic. response:	Like a stormy sea,
context: So beautiful...\Pretty!\She just takes my breath away. Her, and the black piano...\I mean, really... what a sight!\What a lovely sound. But...\If that's all she's got...\It's true that Emi can be erratic.\Like a stormy sea, response:	the waves of her emotions are surging unsteadily.
context: Pretty!\She just takes my breath away. Her, and the black piano...\I mean, really... what a sight!\What a lovely sound. But...\If that's all she's got...\It's true that Emi can be erratic.\Like a stormy sea,\the waves of her emotions are surging unsteadily. response:	That being the case - today...
context: She just takes my breath away. Her, and the black piano...\I mean, really... what a sight!\What a lovely sound. But...\If that's all she's got...\It's true that Emi can be erratic.\Like a stormy sea,\the waves of her emotions are surging unsteadily.\That being the case - today... response:	It wouldn't be a surprise to see those waves reach their crest.
context: I mean, really... what a sight!\What a lovely sound. But...\If that's all she's got...\It's true that Emi can be erratic.\Like a stormy sea,\the waves of her emotions are surging unsteadily.\That being the case - today...\It wouldn't be a surprise to see those waves reach their crest. response:	Hey, hey...
context: What a lovely sound. But...\If that's all she's got...\It's true that Emi can be erratic.\Like a stormy sea,\the waves of her emotions are surging unsteadily.\That being the case - today...\It wouldn't be a surprise to see those waves reach their crest.\Hey, hey... response:	I'm in sync with the piano. My fingers feel light.
context: If that's all she's got...\It's true that Emi can be erratic.\Like a stormy sea,\the waves of her emotions are surging unsteadily.\That being the case - today...\It wouldn't be a surprise to see those waves reach their crest.\Hey, hey...\I'm in sync with the piano. My fingers feel light. response:	Today, I'm in the zone. It's probably...
context: It's true that Emi can be erratic.\Like a stormy sea,\the waves of her emotions are surging unsteadily.\That being the case - today...\It wouldn't be a surprise to see those waves reach their crest.\Hey, hey...\I'm in sync with the piano. My fingers feel light.\Today, I'm in the zone. It's probably... response:	Because my new dress looks good on me. Because I'm having a good hair day.
context: Like a stormy sea,\the waves of her emotions are surging unsteadily.\That being the case - today...\It wouldn't be a surprise to see those waves reach their crest.\Hey, hey...\I'm in sync with the piano. My fingers feel light.\Today, I'm in the zone. It's probably...\Because my new dress looks good on me. Because I'm having a good hair day. response:	That's got to be it.
context: the waves of her emotions are surging unsteadily.\That being the case - today...\It wouldn't be a surprise to see those waves reach their crest.\Hey, hey...\I'm in sync with the piano. My fingers feel light.\Today, I'm in the zone. It's probably...\Because my new dress looks good on me. Because I'm having a good hair day.\That's got to be it. response:	No, of course that's not it!
