context: A Village Out in the Boonies: Hage response:	Here we go again...
context: Like you used to be. Remember how you two were always together when you were little?\Yuno used to be such a crybaby,\but ever since the day he brought Asta back with those terrible injuries,\Yuno hasn't cried at all.\I can't be nicer to him.\Come to think of it, Asta has come home covered in mud ever since that day, too.\I wonder what he's doing out there...\994... 995, 996, response:	997, 998, 999... 1,000!
context: Yuno used to be such a crybaby,\but ever since the day he brought Asta back with those terrible injuries,\Yuno hasn't cried at all.\I can't be nicer to him.\Come to think of it, Asta has come home covered in mud ever since that day, too.\I wonder what he's doing out there...\994... 995, 996,\997, 998, 999... 1,000! response:	And now for this moguro leaf juice, which is supposed to be
context: but ever since the day he brought Asta back with those terrible injuries,\Yuno hasn't cried at all.\I can't be nicer to him.\Come to think of it, Asta has come home covered in mud ever since that day, too.\I wonder what he's doing out there...\994... 995, 996,\997, 998, 999... 1,000!\And now for this moguro leaf juice, which is supposed to be response:	good for increasing magical powers!
context: Yuno hasn't cried at all.\I can't be nicer to him.\Come to think of it, Asta has come home covered in mud ever since that day, too.\I wonder what he's doing out there...\994... 995, 996,\997, 998, 999... 1,000!\And now for this moguro leaf juice, which is supposed to be\good for increasing magical powers! response:	I'm going to become the Wizard King.
context: I can't be nicer to him.\Come to think of it, Asta has come home covered in mud ever since that day, too.\I wonder what he's doing out there...\994... 995, 996,\997, 998, 999... 1,000!\And now for this moguro leaf juice, which is supposed to be\good for increasing magical powers!\I'm going to become the Wizard King. response:	That's the one thing I'll never give up on!
context: Come to think of it, Asta has come home covered in mud ever since that day, too.\I wonder what he's doing out there...\994... 995, 996,\997, 998, 999... 1,000!\And now for this moguro leaf juice, which is supposed to be\good for increasing magical powers!\I'm going to become the Wizard King.\That's the one thing I'll never give up on! response:	But before that, I need to build myself up!
context: I wonder what he's doing out there...\994... 995, 996,\997, 998, 999... 1,000!\And now for this moguro leaf juice, which is supposed to be\good for increasing magical powers!\I'm going to become the Wizard King.\That's the one thing I'll never give up on!\But before that, I need to build myself up! response:	March... When firefly dandelion fluff starts to dance through the air.
context: 994... 995, 996,\997, 998, 999... 1,000!\And now for this moguro leaf juice, which is supposed to be\good for increasing magical powers!\I'm going to become the Wizard King.\That's the one thing I'll never give up on!\But before that, I need to build myself up!\March... When firefly dandelion fluff starts to dance through the air. response:	Once a year, all around the Clover Kingdom, all of the 15-year-olds are gathered,
context: 997, 998, 999... 1,000!\And now for this moguro leaf juice, which is supposed to be\good for increasing magical powers!\I'm going to become the Wizard King.\That's the one thing I'll never give up on!\But before that, I need to build myself up!\March... When firefly dandelion fluff starts to dance through the air.\Once a year, all around the Clover Kingdom, all of the 15-year-olds are gathered, response:	Grimoire Tower
context: And now for this moguro leaf juice, which is supposed to be\good for increasing magical powers!\I'm going to become the Wizard King.\That's the one thing I'll never give up on!\But before that, I need to build myself up!\March... When firefly dandelion fluff starts to dance through the air.\Once a year, all around the Clover Kingdom, all of the 15-year-olds are gathered,\Grimoire Tower response:	and an awarding ceremony is held, where they receive
context: good for increasing magical powers!\I'm going to become the Wizard King.\That's the one thing I'll never give up on!\But before that, I need to build myself up!\March... When firefly dandelion fluff starts to dance through the air.\Once a year, all around the Clover Kingdom, all of the 15-year-olds are gathered,\Grimoire Tower\and an awarding ceremony is held, where they receive response:	their own grimoires, which enhance their magical powers.
context: I'm going to become the Wizard King.\That's the one thing I'll never give up on!\But before that, I need to build myself up!\March... When firefly dandelion fluff starts to dance through the air.\Once a year, all around the Clover Kingdom, all of the 15-year-olds are gathered,\Grimoire Tower\and an awarding ceremony is held, where they receive\their own grimoires, which enhance their magical powers. response:	Wow!
context: That's the one thing I'll never give up on!\But before that, I need to build myself up!\March... When firefly dandelion fluff starts to dance through the air.\Once a year, all around the Clover Kingdom, all of the 15-year-olds are gathered,\Grimoire Tower\and an awarding ceremony is held, where they receive\their own grimoires, which enhance their magical powers.\Wow! response:	A-Are all of these grimoires?
context: But before that, I need to build myself up!\March... When firefly dandelion fluff starts to dance through the air.\Once a year, all around the Clover Kingdom, all of the 15-year-olds are gathered,\Grimoire Tower\and an awarding ceremony is held, where they receive\their own grimoires, which enhance their magical powers.\Wow!\A-Are all of these grimoires? response:	Which one is mine?
context: March... When firefly dandelion fluff starts to dance through the air.\Once a year, all around the Clover Kingdom, all of the 15-year-olds are gathered,\Grimoire Tower\and an awarding ceremony is held, where they receive\their own grimoires, which enhance their magical powers.\Wow!\A-Are all of these grimoires?\Which one is mine? response:	Once I get my grimoire, I'm sure I'll be able to use magic, too.
context: Once a year, all around the Clover Kingdom, all of the 15-year-olds are gathered,\Grimoire Tower\and an awarding ceremony is held, where they receive\their own grimoires, which enhance their magical powers.\Wow!\A-Are all of these grimoires?\Which one is mine?\Once I get my grimoire, I'm sure I'll be able to use magic, too. response:	I'll catch up to Yuno in no time!
context: Grimoire Tower\and an awarding ceremony is held, where they receive\their own grimoires, which enhance their magical powers.\Wow!\A-Are all of these grimoires?\Which one is mine?\Once I get my grimoire, I'm sure I'll be able to use magic, too.\I'll catch up to Yuno in no time! response:	Hmph. I guess today's the day I become a full-fledged mage.
context: and an awarding ceremony is held, where they receive\their own grimoires, which enhance their magical powers.\Wow!\A-Are all of these grimoires?\Which one is mine?\Once I get my grimoire, I'm sure I'll be able to use magic, too.\I'll catch up to Yuno in no time!\Hmph. I guess today's the day I become a full-fledged mage. response:	Hey, look over there.
context: their own grimoires, which enhance their magical powers.\Wow!\A-Are all of these grimoires?\Which one is mine?\Once I get my grimoire, I'm sure I'll be able to use magic, too.\I'll catch up to Yuno in no time!\Hmph. I guess today's the day I become a full-fledged mage.\Hey, look over there. response:	Pathetic, isn't it? They shouldn't have to give grimoires to dregs like that.
context: Wow!\A-Are all of these grimoires?\Which one is mine?\Once I get my grimoire, I'm sure I'll be able to use magic, too.\I'll catch up to Yuno in no time!\Hmph. I guess today's the day I become a full-fledged mage.\Hey, look over there.\Pathetic, isn't it? They shouldn't have to give grimoires to dregs like that. response:	You said it.
context: A-Are all of these grimoires?\Which one is mine?\Once I get my grimoire, I'm sure I'll be able to use magic, too.\I'll catch up to Yuno in no time!\Hmph. I guess today's the day I become a full-fledged mage.\Hey, look over there.\Pathetic, isn't it? They shouldn't have to give grimoires to dregs like that.\You said it. response:	Don't tell me they're
context: Which one is mine?\Once I get my grimoire, I'm sure I'll be able to use magic, too.\I'll catch up to Yuno in no time!\Hmph. I guess today's the day I become a full-fledged mage.\Hey, look over there.\Pathetic, isn't it? They shouldn't have to give grimoires to dregs like that.\You said it.\Don't tell me they're response:	actually planning on taking the Magic Knights' entrance exams, too.
context: Once I get my grimoire, I'm sure I'll be able to use magic, too.\I'll catch up to Yuno in no time!\Hmph. I guess today's the day I become a full-fledged mage.\Hey, look over there.\Pathetic, isn't it? They shouldn't have to give grimoires to dregs like that.\You said it.\Don't tell me they're\actually planning on taking the Magic Knights' entrance exams, too. response:	Only nobles born with immense magical power or ties to the royal family ever get in.
context: I'll catch up to Yuno in no time!\Hmph. I guess today's the day I become a full-fledged mage.\Hey, look over there.\Pathetic, isn't it? They shouldn't have to give grimoires to dregs like that.\You said it.\Don't tell me they're\actually planning on taking the Magic Knights' entrance exams, too.\Only nobles born with immense magical power or ties to the royal family ever get in. response:	Besides, I heard that shrimp can't even use magic!
context: Hmph. I guess today's the day I become a full-fledged mage.\Hey, look over there.\Pathetic, isn't it? They shouldn't have to give grimoires to dregs like that.\You said it.\Don't tell me they're\actually planning on taking the Magic Knights' entrance exams, too.\Only nobles born with immense magical power or ties to the royal family ever get in.\Besides, I heard that shrimp can't even use magic! response:	Wow... Then we need to take good care of him.
context: Hey, look over there.\Pathetic, isn't it? They shouldn't have to give grimoires to dregs like that.\You said it.\Don't tell me they're\actually planning on taking the Magic Knights' entrance exams, too.\Only nobles born with immense magical power or ties to the royal family ever get in.\Besides, I heard that shrimp can't even use magic!\Wow... Then we need to take good care of him. response:	He's like a national treasure, since he's probably
context: Pathetic, isn't it? They shouldn't have to give grimoires to dregs like that.\You said it.\Don't tell me they're\actually planning on taking the Magic Knights' entrance exams, too.\Only nobles born with immense magical power or ties to the royal family ever get in.\Besides, I heard that shrimp can't even use magic!\Wow... Then we need to take good care of him.\He's like a national treasure, since he's probably response:	the only one in this whole kingdom who can't use magic.
context: You said it.\Don't tell me they're\actually planning on taking the Magic Knights' entrance exams, too.\Only nobles born with immense magical power or ties to the royal family ever get in.\Besides, I heard that shrimp can't even use magic!\Wow... Then we need to take good care of him.\He's like a national treasure, since he's probably\the only one in this whole kingdom who can't use magic. response:	You all begin a new journey today.
context: Don't tell me they're\actually planning on taking the Magic Knights' entrance exams, too.\Only nobles born with immense magical power or ties to the royal family ever get in.\Besides, I heard that shrimp can't even use magic!\Wow... Then we need to take good care of him.\He's like a national treasure, since he's probably\the only one in this whole kingdom who can't use magic.\You all begin a new journey today. response:	I wish you all faith, hope, and love.
context: actually planning on taking the Magic Knights' entrance exams, too.\Only nobles born with immense magical power or ties to the royal family ever get in.\Besides, I heard that shrimp can't even use magic!\Wow... Then we need to take good care of him.\He's like a national treasure, since he's probably\the only one in this whole kingdom who can't use magic.\You all begin a new journey today.\I wish you all faith, hope, and love. response:	I am the master of this grimoire tower.
context: Only nobles born with immense magical power or ties to the royal family ever get in.\Besides, I heard that shrimp can't even use magic!\Wow... Then we need to take good care of him.\He's like a national treasure, since he's probably\the only one in this whole kingdom who can't use magic.\You all begin a new journey today.\I wish you all faith, hope, and love.\I am the master of this grimoire tower. response:	We've never had a Wizard King from this area,
context: Besides, I heard that shrimp can't even use magic!\Wow... Then we need to take good care of him.\He's like a national treasure, since he's probably\the only one in this whole kingdom who can't use magic.\You all begin a new journey today.\I wish you all faith, hope, and love.\I am the master of this grimoire tower.\We've never had a Wizard King from this area, response:	nor anyone who's actually achieved greatness in the Magic Knights.
context: Wow... Then we need to take good care of him.\He's like a national treasure, since he's probably\the only one in this whole kingdom who can't use magic.\You all begin a new journey today.\I wish you all faith, hope, and love.\I am the master of this grimoire tower.\We've never had a Wizard King from this area,\nor anyone who's actually achieved greatness in the Magic Knights. response:	I sincerely hope that one of you will become the Wizard King someday.
context: He's like a national treasure, since he's probably\the only one in this whole kingdom who can't use magic.\You all begin a new journey today.\I wish you all faith, hope, and love.\I am the master of this grimoire tower.\We've never had a Wizard King from this area,\nor anyone who's actually achieved greatness in the Magic Knights.\I sincerely hope that one of you will become the Wizard King someday. response:	No, really! Seriously!
context: the only one in this whole kingdom who can't use magic.\You all begin a new journey today.\I wish you all faith, hope, and love.\I am the master of this grimoire tower.\We've never had a Wizard King from this area,\nor anyone who's actually achieved greatness in the Magic Knights.\I sincerely hope that one of you will become the Wizard King someday.\No, really! Seriously! response:	Ahem.
context: You all begin a new journey today.\I wish you all faith, hope, and love.\I am the master of this grimoire tower.\We've never had a Wizard King from this area,\nor anyone who's actually achieved greatness in the Magic Knights.\I sincerely hope that one of you will become the Wizard King someday.\No, really! Seriously!\Ahem. response:	Now it's time
context: I wish you all faith, hope, and love.\I am the master of this grimoire tower.\We've never had a Wizard King from this area,\nor anyone who's actually achieved greatness in the Magic Knights.\I sincerely hope that one of you will become the Wizard King someday.\No, really! Seriously!\Ahem.\Now it's time response:	for the awarding... of the grimoires!
context: I am the master of this grimoire tower.\We've never had a Wizard King from this area,\nor anyone who's actually achieved greatness in the Magic Knights.\I sincerely hope that one of you will become the Wizard King someday.\No, really! Seriously!\Ahem.\Now it's time\for the awarding... of the grimoires! response:	This is my grimoire?
context: We've never had a Wizard King from this area,\nor anyone who's actually achieved greatness in the Magic Knights.\I sincerely hope that one of you will become the Wizard King someday.\No, really! Seriously!\Ahem.\Now it's time\for the awarding... of the grimoires!\This is my grimoire? response:	Check it out! Mine's bigger!
context: nor anyone who's actually achieved greatness in the Magic Knights.\I sincerely hope that one of you will become the Wizard King someday.\No, really! Seriously!\Ahem.\Now it's time\for the awarding... of the grimoires!\This is my grimoire?\Check it out! Mine's bigger! response:	Mine's thicker, though.
context: I sincerely hope that one of you will become the Wizard King someday.\No, really! Seriously!\Ahem.\Now it's time\for the awarding... of the grimoires!\This is my grimoire?\Check it out! Mine's bigger!\Mine's thicker, though. response:	All right! Now I can leave this town and go to the city.
context: No, really! Seriously!\Ahem.\Now it's time\for the awarding... of the grimoires!\This is my grimoire?\Check it out! Mine's bigger!\Mine's thicker, though.\All right! Now I can leave this town and go to the city. response:	I'm gonna take over the family business.
context: Ahem.\Now it's time\for the awarding... of the grimoires!\This is my grimoire?\Check it out! Mine's bigger!\Mine's thicker, though.\All right! Now I can leave this town and go to the city.\I'm gonna take over the family business. response:	This is my grimoire?
context: Now it's time\for the awarding... of the grimoires!\This is my grimoire?\Check it out! Mine's bigger!\Mine's thicker, though.\All right! Now I can leave this town and go to the city.\I'm gonna take over the family business.\This is my grimoire? response:	Mine's like...
context: for the awarding... of the grimoires!\This is my grimoire?\Check it out! Mine's bigger!\Mine's thicker, though.\All right! Now I can leave this town and go to the city.\I'm gonna take over the family business.\This is my grimoire?\Mine's like... response:	I'll... think about my future more once my grimoire has more pages filled in.
context: This is my grimoire?\Check it out! Mine's bigger!\Mine's thicker, though.\All right! Now I can leave this town and go to the city.\I'm gonna take over the family business.\This is my grimoire?\Mine's like...\I'll... think about my future more once my grimoire has more pages filled in. response:	We'll be taking the Magic Knights' entrance exams in six months.
context: Check it out! Mine's bigger!\Mine's thicker, though.\All right! Now I can leave this town and go to the city.\I'm gonna take over the family business.\This is my grimoire?\Mine's like...\I'll... think about my future more once my grimoire has more pages filled in.\We'll be taking the Magic Knights' entrance exams in six months. response:	We'll be sure to get in.
context: Mine's thicker, though.\All right! Now I can leave this town and go to the city.\I'm gonna take over the family business.\This is my grimoire?\Mine's like...\I'll... think about my future more once my grimoire has more pages filled in.\We'll be taking the Magic Knights' entrance exams in six months.\We'll be sure to get in. response:	Good, good. I look forward to it.
context: All right! Now I can leave this town and go to the city.\I'm gonna take over the family business.\This is my grimoire?\Mine's like...\I'll... think about my future more once my grimoire has more pages filled in.\We'll be taking the Magic Knights' entrance exams in six months.\We'll be sure to get in.\Good, good. I look forward to it. response:	Um...
context: I'm gonna take over the family business.\This is my grimoire?\Mine's like...\I'll... think about my future more once my grimoire has more pages filled in.\We'll be taking the Magic Knights' entrance exams in six months.\We'll be sure to get in.\Good, good. I look forward to it.\Um... response:	My grimoire's not coming.
context: This is my grimoire?\Mine's like...\I'll... think about my future more once my grimoire has more pages filled in.\We'll be taking the Magic Knights' entrance exams in six months.\We'll be sure to get in.\Good, good. I look forward to it.\Um...\My grimoire's not coming. response:	Um...
context: Mine's like...\I'll... think about my future more once my grimoire has more pages filled in.\We'll be taking the Magic Knights' entrance exams in six months.\We'll be sure to get in.\Good, good. I look forward to it.\Um...\My grimoire's not coming.\Um... response:	My grimoire's not coming.
context: I'll... think about my future more once my grimoire has more pages filled in.\We'll be taking the Magic Knights' entrance exams in six months.\We'll be sure to get in.\Good, good. I look forward to it.\Um...\My grimoire's not coming.\Um...\My grimoire's not coming. response:	Er...
context: We'll be taking the Magic Knights' entrance exams in six months.\We'll be sure to get in.\Good, good. I look forward to it.\Um...\My grimoire's not coming.\Um...\My grimoire's not coming.\Er... response:	Try again next year.
context: We'll be sure to get in.\Good, good. I look forward to it.\Um...\My grimoire's not coming.\Um...\My grimoire's not coming.\Er...\Try again next year. response:	What?!
context: Good, good. I look forward to it.\Um...\My grimoire's not coming.\Um...\My grimoire's not coming.\Er...\Try again next year.\What?! response:	What the heck?!
context: Um...\My grimoire's not coming.\Um...\My grimoire's not coming.\Er...\Try again next year.\What?!\What the heck?! response:	That's actually amazing!
context: My grimoire's not coming.\Um...\My grimoire's not coming.\Er...\Try again next year.\What?!\What the heck?!\That's actually amazing! response:	That's way too funny!
context: Um...\My grimoire's not coming.\Er...\Try again next year.\What?!\What the heck?!\That's actually amazing!\That's way too funny! response:	Seriously?
context: My grimoire's not coming.\Er...\Try again next year.\What?!\What the heck?!\That's actually amazing!\That's way too funny!\Seriously? response:	I can't believe it.
context: Er...\Try again next year.\What?!\What the heck?!\That's actually amazing!\That's way too funny!\Seriously?\I can't believe it. response:	If we competed to see who was most pathetic, we'd be no match for that guy.
context: Try again next year.\What?!\What the heck?!\That's actually amazing!\That's way too funny!\Seriously?\I can't believe it.\If we competed to see who was most pathetic, we'd be no match for that guy. response:	A four-leaf clover...
context: What?!\What the heck?!\That's actually amazing!\That's way too funny!\Seriously?\I can't believe it.\If we competed to see who was most pathetic, we'd be no match for that guy.\A four-leaf clover... response:	A four-leaf? You mean the legendary...
context: What the heck?!\That's actually amazing!\That's way too funny!\Seriously?\I can't believe it.\If we competed to see who was most pathetic, we'd be no match for that guy.\A four-leaf clover...\A four-leaf? You mean the legendary... response:	H-Hey...
context: That's actually amazing!\That's way too funny!\Seriously?\I can't believe it.\If we competed to see who was most pathetic, we'd be no match for that guy.\A four-leaf clover...\A four-leaf? You mean the legendary...\H-Hey... response:	The one that the first Wizard King received?
context: That's way too funny!\Seriously?\I can't believe it.\If we competed to see who was most pathetic, we'd be no match for that guy.\A four-leaf clover...\A four-leaf? You mean the legendary...\H-Hey...\The one that the first Wizard King received? response:	The grimoire said to be filled with immense power and good luck?
context: Seriously?\I can't believe it.\If we competed to see who was most pathetic, we'd be no match for that guy.\A four-leaf clover...\A four-leaf? You mean the legendary...\H-Hey...\The one that the first Wizard King received?\The grimoire said to be filled with immense power and good luck? response:	Him?
context: I can't believe it.\If we competed to see who was most pathetic, we'd be no match for that guy.\A four-leaf clover...\A four-leaf? You mean the legendary...\H-Hey...\The one that the first Wizard King received?\The grimoire said to be filled with immense power and good luck?\Him? response:	That peasant?
context: If we competed to see who was most pathetic, we'd be no match for that guy.\A four-leaf clover...\A four-leaf? You mean the legendary...\H-Hey...\The one that the first Wizard King received?\The grimoire said to be filled with immense power and good luck?\Him?\That peasant? response:	Wow!
context: A four-leaf clover...\A four-leaf? You mean the legendary...\H-Hey...\The one that the first Wizard King received?\The grimoire said to be filled with immense power and good luck?\Him?\That peasant?\Wow! response:	I'm going to become the Wizard King.
context: A four-leaf? You mean the legendary...\H-Hey...\The one that the first Wizard King received?\The grimoire said to be filled with immense power and good luck?\Him?\That peasant?\Wow!\I'm going to become the Wizard King. response:	Awesome!
context: H-Hey...\The one that the first Wizard King received?\The grimoire said to be filled with immense power and good luck?\Him?\That peasant?\Wow!\I'm going to become the Wizard King.\Awesome! response:	He's the shining star of Hage!
context: The one that the first Wizard King received?\The grimoire said to be filled with immense power and good luck?\Him?\That peasant?\Wow!\I'm going to become the Wizard King.\Awesome!\He's the shining star of Hage! response:	You're amazing, Yuno!
context: The grimoire said to be filled with immense power and good luck?\Him?\That peasant?\Wow!\I'm going to become the Wizard King.\Awesome!\He's the shining star of Hage!\You're amazing, Yuno! response:	He's so cool.
context: Him?\That peasant?\Wow!\I'm going to become the Wizard King.\Awesome!\He's the shining star of Hage!\You're amazing, Yuno!\He's so cool. response:	Yuno...
context: That peasant?\Wow!\I'm going to become the Wizard King.\Awesome!\He's the shining star of Hage!\You're amazing, Yuno!\He's so cool.\Yuno... response:	Just you wait.
context: Wow!\I'm going to become the Wizard King.\Awesome!\He's the shining star of Hage!\You're amazing, Yuno!\He's so cool.\Yuno...\Just you wait. response:	I'll catch up to you in no time.
context: I'm going to become the Wizard King.\Awesome!\He's the shining star of Hage!\You're amazing, Yuno!\He's so cool.\Yuno...\Just you wait.\I'll catch up to you in no time. response:	Because I'm your rival!
context: Awesome!\He's the shining star of Hage!\You're amazing, Yuno!\He's so cool.\Yuno...\Just you wait.\I'll catch up to you in no time.\Because I'm your rival! response:	Did he just say rival?
context: He's the shining star of Hage!\You're amazing, Yuno!\He's so cool.\Yuno...\Just you wait.\I'll catch up to you in no time.\Because I'm your rival!\Did he just say rival? response:	He didn't even get a grimoire. What is he thinking?
context: You're amazing, Yuno!\He's so cool.\Yuno...\Just you wait.\I'll catch up to you in no time.\Because I'm your rival!\Did he just say rival?\He didn't even get a grimoire. What is he thinking? response:	Not possible.
context: He's so cool.\Yuno...\Just you wait.\I'll catch up to you in no time.\Because I'm your rival!\Did he just say rival?\He didn't even get a grimoire. What is he thinking?\Not possible. response:	All right, kids! We're heading home to prepare for the feast!
context: Yuno...\Just you wait.\I'll catch up to you in no time.\Because I'm your rival!\Did he just say rival?\He didn't even get a grimoire. What is he thinking?\Not possible.\All right, kids! We're heading home to prepare for the feast! response:	You can each have three tatoes today!
context: Just you wait.\I'll catch up to you in no time.\Because I'm your rival!\Did he just say rival?\He didn't even get a grimoire. What is he thinking?\Not possible.\All right, kids! We're heading home to prepare for the feast!\You can each have three tatoes today! response:	Yay!
context: I'll catch up to you in no time.\Because I'm your rival!\Did he just say rival?\He didn't even get a grimoire. What is he thinking?\Not possible.\All right, kids! We're heading home to prepare for the feast!\You can each have three tatoes today!\Yay! response:	I sure would like to eat something else once in a while.
context: Because I'm your rival!\Did he just say rival?\He didn't even get a grimoire. What is he thinking?\Not possible.\All right, kids! We're heading home to prepare for the feast!\You can each have three tatoes today!\Yay!\I sure would like to eat something else once in a while. response:	What an amazing thing to find in a crummy little town like this.
context: Did he just say rival?\He didn't even get a grimoire. What is he thinking?\Not possible.\All right, kids! We're heading home to prepare for the feast!\You can each have three tatoes today!\Yay!\I sure would like to eat something else once in a while.\What an amazing thing to find in a crummy little town like this. response:	I thought that once I got my grimoire,
context: He didn't even get a grimoire. What is he thinking?\Not possible.\All right, kids! We're heading home to prepare for the feast!\You can each have three tatoes today!\Yay!\I sure would like to eat something else once in a while.\What an amazing thing to find in a crummy little town like this.\I thought that once I got my grimoire, response:	I'd be able to use magic, but...
context: Not possible.\All right, kids! We're heading home to prepare for the feast!\You can each have three tatoes today!\Yay!\I sure would like to eat something else once in a while.\What an amazing thing to find in a crummy little town like this.\I thought that once I got my grimoire,\I'd be able to use magic, but... response:	I never thought I wouldn't even get one.
context: All right, kids! We're heading home to prepare for the feast!\You can each have three tatoes today!\Yay!\I sure would like to eat something else once in a while.\What an amazing thing to find in a crummy little town like this.\I thought that once I got my grimoire,\I'd be able to use magic, but...\I never thought I wouldn't even get one. response:	But... like hell I'm gonna give up!
context: You can each have three tatoes today!\Yay!\I sure would like to eat something else once in a while.\What an amazing thing to find in a crummy little town like this.\I thought that once I got my grimoire,\I'd be able to use magic, but...\I never thought I wouldn't even get one.\But... like hell I'm gonna give up! response:	Don't you dare underestimate me, fate!
context: Yay!\I sure would like to eat something else once in a while.\What an amazing thing to find in a crummy little town like this.\I thought that once I got my grimoire,\I'd be able to use magic, but...\I never thought I wouldn't even get one.\But... like hell I'm gonna give up!\Don't you dare underestimate me, fate! response:	I'll show you!
context: I sure would like to eat something else once in a while.\What an amazing thing to find in a crummy little town like this.\I thought that once I got my grimoire,\I'd be able to use magic, but...\I never thought I wouldn't even get one.\But... like hell I'm gonna give up!\Don't you dare underestimate me, fate!\I'll show you! response:	Even if it takes one, two, ten, or a hundred years!
context: What an amazing thing to find in a crummy little town like this.\I thought that once I got my grimoire,\I'd be able to use magic, but...\I never thought I wouldn't even get one.\But... like hell I'm gonna give up!\Don't you dare underestimate me, fate!\I'll show you!\Even if it takes one, two, ten, or a hundred years! response:	I'll keep working hard until I get my grimoire!
context: I thought that once I got my grimoire,\I'd be able to use magic, but...\I never thought I wouldn't even get one.\But... like hell I'm gonna give up!\Don't you dare underestimate me, fate!\I'll show you!\Even if it takes one, two, ten, or a hundred years!\I'll keep working hard until I get my grimoire! response:	I'll become the Wizard King, and prove to everyone that anyone can be awesome,
context: I'd be able to use magic, but...\I never thought I wouldn't even get one.\But... like hell I'm gonna give up!\Don't you dare underestimate me, fate!\I'll show you!\Even if it takes one, two, ten, or a hundred years!\I'll keep working hard until I get my grimoire!\I'll become the Wizard King, and prove to everyone that anyone can be awesome, response:	even if they're poor or just some orphan!
context: I never thought I wouldn't even get one.\But... like hell I'm gonna give up!\Don't you dare underestimate me, fate!\I'll show you!\Even if it takes one, two, ten, or a hundred years!\I'll keep working hard until I get my grimoire!\I'll become the Wizard King, and prove to everyone that anyone can be awesome,\even if they're poor or just some orphan! response:	You jerk!
context: But... like hell I'm gonna give up!\Don't you dare underestimate me, fate!\I'll show you!\Even if it takes one, two, ten, or a hundred years!\I'll keep working hard until I get my grimoire!\I'll become the Wizard King, and prove to everyone that anyone can be awesome,\even if they're poor or just some orphan!\You jerk! response:	Just you wait, Yuno!
context: Don't you dare underestimate me, fate!\I'll show you!\Even if it takes one, two, ten, or a hundred years!\I'll keep working hard until I get my grimoire!\I'll become the Wizard King, and prove to everyone that anyone can be awesome,\even if they're poor or just some orphan!\You jerk!\Just you wait, Yuno! response:	H-Hey, you don't have to go that far.
context: I'll show you!\Even if it takes one, two, ten, or a hundred years!\I'll keep working hard until I get my grimoire!\I'll become the Wizard King, and prove to everyone that anyone can be awesome,\even if they're poor or just some orphan!\You jerk!\Just you wait, Yuno!\H-Hey, you don't have to go that far. response:	We should've been the stars today.
context: Even if it takes one, two, ten, or a hundred years!\I'll keep working hard until I get my grimoire!\I'll become the Wizard King, and prove to everyone that anyone can be awesome,\even if they're poor or just some orphan!\You jerk!\Just you wait, Yuno!\H-Hey, you don't have to go that far.\We should've been the stars today. response:	And yet... this peasant receives a four-leaf clover?!
context: I'll keep working hard until I get my grimoire!\I'll become the Wizard King, and prove to everyone that anyone can be awesome,\even if they're poor or just some orphan!\You jerk!\Just you wait, Yuno!\H-Hey, you don't have to go that far.\We should've been the stars today.\And yet... this peasant receives a four-leaf clover?! response:	I'll just...
context: I'll become the Wizard King, and prove to everyone that anyone can be awesome,\even if they're poor or just some orphan!\You jerk!\Just you wait, Yuno!\H-Hey, you don't have to go that far.\We should've been the stars today.\And yet... this peasant receives a four-leaf clover?!\I'll just... response:	Hey!
context: even if they're poor or just some orphan!\You jerk!\Just you wait, Yuno!\H-Hey, you don't have to go that far.\We should've been the stars today.\And yet... this peasant receives a four-leaf clover?!\I'll just...\Hey! response:	I'll just have to turn it into ash!
context: You jerk!\Just you wait, Yuno!\H-Hey, you don't have to go that far.\We should've been the stars today.\And yet... this peasant receives a four-leaf clover?!\I'll just...\Hey!\I'll just have to turn it into ash! response:	He held back my flames without even using his grimoire?!
context: Just you wait, Yuno!\H-Hey, you don't have to go that far.\We should've been the stars today.\And yet... this peasant receives a four-leaf clover?!\I'll just...\Hey!\I'll just have to turn it into ash!\He held back my flames without even using his grimoire?! response:	D-Do something!
context: H-Hey, you don't have to go that far.\We should've been the stars today.\And yet... this peasant receives a four-leaf clover?!\I'll just...\Hey!\I'll just have to turn it into ash!\He held back my flames without even using his grimoire?!\D-Do something! response:	But...
context: We should've been the stars today.\And yet... this peasant receives a four-leaf clover?!\I'll just...\Hey!\I'll just have to turn it into ash!\He held back my flames without even using his grimoire?!\D-Do something!\But... response:	Do it!
context: And yet... this peasant receives a four-leaf clover?!\I'll just...\Hey!\I'll just have to turn it into ash!\He held back my flames without even using his grimoire?!\D-Do something!\But...\Do it! response:	I can't let you go and burn that.
context: I'll just...\Hey!\I'll just have to turn it into ash!\He held back my flames without even using his grimoire?!\D-Do something!\But...\Do it!\I can't let you go and burn that. response:	Don't bother to resist.
context: Hey!\I'll just have to turn it into ash!\He held back my flames without even using his grimoire?!\D-Do something!\But...\Do it!\I can't let you go and burn that.\Don't bother to resist. response:	My Creation Magic: Binding Iron Chain
context: I'll just have to turn it into ash!\He held back my flames without even using his grimoire?!\D-Do something!\But...\Do it!\I can't let you go and burn that.\Don't bother to resist.\My Creation Magic: Binding Iron Chain response:	restricts the magic and movements of the one it captures.
context: He held back my flames without even using his grimoire?!\D-Do something!\But...\Do it!\I can't let you go and burn that.\Don't bother to resist.\My Creation Magic: Binding Iron Chain\restricts the magic and movements of the one it captures. response:	Who are you?
