context: At times, he'll use his spiritual powers to help people. response:	At others, he'll use his Wind Tunnel to subjugate demons.
context: into buying worthless charms at exorbitant prices!\So you ended up buying them?\And there's more!\Uh... Monk...\What is it?\Won't you stop eating and begin the exorcism?\Oh... That's right.\Evil spirit begone! response:	Huh?
context: So you ended up buying them?\And there's more!\Uh... Monk...\What is it?\Won't you stop eating and begin the exorcism?\Oh... That's right.\Evil spirit begone!\Huh? response:	Okay, done.
context: And there's more!\Uh... Monk...\What is it?\Won't you stop eating and begin the exorcism?\Oh... That's right.\Evil spirit begone!\Huh?\Okay, done. response:	T- That's all?
context: Uh... Monk...\What is it?\Won't you stop eating and begin the exorcism?\Oh... That's right.\Evil spirit begone!\Huh?\Okay, done.\T- That's all? response:	At my house, he made us feel beholden with his fake exorcism,
context: What is it?\Won't you stop eating and begin the exorcism?\Oh... That's right.\Evil spirit begone!\Huh?\Okay, done.\T- That's all?\At my house, he made us feel beholden with his fake exorcism, response:	then ate and slept like there was no tomorrow!
context: Won't you stop eating and begin the exorcism?\Oh... That's right.\Evil spirit begone!\Huh?\Okay, done.\T- That's all?\At my house, he made us feel beholden with his fake exorcism,\then ate and slept like there was no tomorrow! response:	Not only that!
context: Oh... That's right.\Evil spirit begone!\Huh?\Okay, done.\T- That's all?\At my house, he made us feel beholden with his fake exorcism,\then ate and slept like there was no tomorrow!\Not only that! response:	There's more?
context: Evil spirit begone!\Huh?\Okay, done.\T- That's all?\At my house, he made us feel beholden with his fake exorcism,\then ate and slept like there was no tomorrow!\Not only that!\There's more? response:	Every time he came to the village, he flirted with the girls!
context: Huh?\Okay, done.\T- That's all?\At my house, he made us feel beholden with his fake exorcism,\then ate and slept like there was no tomorrow!\Not only that!\There's more?\Every time he came to the village, he flirted with the girls! response:	MasterMonk!
context: Okay, done.\T- That's all?\At my house, he made us feel beholden with his fake exorcism,\then ate and slept like there was no tomorrow!\Not only that!\There's more?\Every time he came to the village, he flirted with the girls!\MasterMonk! response:	- How nice! How nice! - This way! This way!
context: T- That's all?\At my house, he made us feel beholden with his fake exorcism,\then ate and slept like there was no tomorrow!\Not only that!\There's more?\Every time he came to the village, he flirted with the girls!\MasterMonk!\- How nice! How nice! - This way! This way! response:	Hurry, come this way!
context: At my house, he made us feel beholden with his fake exorcism,\then ate and slept like there was no tomorrow!\Not only that!\There's more?\Every time he came to the village, he flirted with the girls!\MasterMonk!\- How nice! How nice! - This way! This way!\Hurry, come this way! response:	Is he really a high-ranking monk?
context: then ate and slept like there was no tomorrow!\Not only that!\There's more?\Every time he came to the village, he flirted with the girls!\MasterMonk!\- How nice! How nice! - This way! This way!\Hurry, come this way!\Is he really a high-ranking monk? response:	Thanks to him, all the girls are... Look foryourself!
context: Not only that!\There's more?\Every time he came to the village, he flirted with the girls!\MasterMonk!\- How nice! How nice! - This way! This way!\Hurry, come this way!\Is he really a high-ranking monk?\Thanks to him, all the girls are... Look foryourself! response:	Oh Miroku... Even under arrest, you're so divine!
context: There's more?\Every time he came to the village, he flirted with the girls!\MasterMonk!\- How nice! How nice! - This way! This way!\Hurry, come this way!\Is he really a high-ranking monk?\Thanks to him, all the girls are... Look foryourself!\Oh Miroku... Even under arrest, you're so divine! response:	Hurry and release Miroku!
context: Every time he came to the village, he flirted with the girls!\MasterMonk!\- How nice! How nice! - This way! This way!\Hurry, come this way!\Is he really a high-ranking monk?\Thanks to him, all the girls are... Look foryourself!\Oh Miroku... Even under arrest, you're so divine!\Hurry and release Miroku! response:	Oh well... It's no different from how Miroku always acts.
context: MasterMonk!\- How nice! How nice! - This way! This way!\Hurry, come this way!\Is he really a high-ranking monk?\Thanks to him, all the girls are... Look foryourself!\Oh Miroku... Even under arrest, you're so divine!\Hurry and release Miroku!\Oh well... It's no different from how Miroku always acts. response:	But he's neverbeen this popular.
context: - How nice! How nice! - This way! This way!\Hurry, come this way!\Is he really a high-ranking monk?\Thanks to him, all the girls are... Look foryourself!\Oh Miroku... Even under arrest, you're so divine!\Hurry and release Miroku!\Oh well... It's no different from how Miroku always acts.\But he's neverbeen this popular. response:	You're wrong about that, Sango.
context: Hurry, come this way!\Is he really a high-ranking monk?\Thanks to him, all the girls are... Look foryourself!\Oh Miroku... Even under arrest, you're so divine!\Hurry and release Miroku!\Oh well... It's no different from how Miroku always acts.\But he's neverbeen this popular.\You're wrong about that, Sango. response:	Wrong about what?
context: Is he really a high-ranking monk?\Thanks to him, all the girls are... Look foryourself!\Oh Miroku... Even under arrest, you're so divine!\Hurry and release Miroku!\Oh well... It's no different from how Miroku always acts.\But he's neverbeen this popular.\You're wrong about that, Sango.\Wrong about what? response:	Well, you're wrong about me not being so popular.
context: Thanks to him, all the girls are... Look foryourself!\Oh Miroku... Even under arrest, you're so divine!\Hurry and release Miroku!\Oh well... It's no different from how Miroku always acts.\But he's neverbeen this popular.\You're wrong about that, Sango.\Wrong about what?\Well, you're wrong about me not being so popular. response:	But it's even more wrong that I'm tied up.
context: Oh Miroku... Even under arrest, you're so divine!\Hurry and release Miroku!\Oh well... It's no different from how Miroku always acts.\But he's neverbeen this popular.\You're wrong about that, Sango.\Wrong about what?\Well, you're wrong about me not being so popular.\But it's even more wrong that I'm tied up. response:	Whaddya mean?
context: Hurry and release Miroku!\Oh well... It's no different from how Miroku always acts.\But he's neverbeen this popular.\You're wrong about that, Sango.\Wrong about what?\Well, you're wrong about me not being so popular.\But it's even more wrong that I'm tied up.\Whaddya mean? response:	Well... because...
context: Oh well... It's no different from how Miroku always acts.\But he's neverbeen this popular.\You're wrong about that, Sango.\Wrong about what?\Well, you're wrong about me not being so popular.\But it's even more wrong that I'm tied up.\Whaddya mean?\Well... because... response:	This is the first time I've been to this village.
context: But he's neverbeen this popular.\You're wrong about that, Sango.\Wrong about what?\Well, you're wrong about me not being so popular.\But it's even more wrong that I'm tied up.\Whaddya mean?\Well... because...\This is the first time I've been to this village. response:	Stop your lying!
context: You're wrong about that, Sango.\Wrong about what?\Well, you're wrong about me not being so popular.\But it's even more wrong that I'm tied up.\Whaddya mean?\Well... because...\This is the first time I've been to this village.\Stop your lying! response:	How can you look so smug and lie before all these witnesses?!
context: Wrong about what?\Well, you're wrong about me not being so popular.\But it's even more wrong that I'm tied up.\Whaddya mean?\Well... because...\This is the first time I've been to this village.\Stop your lying!\How can you look so smug and lie before all these witnesses?! response:	But it's the truth, so I can't help it.
context: Well, you're wrong about me not being so popular.\But it's even more wrong that I'm tied up.\Whaddya mean?\Well... because...\This is the first time I've been to this village.\Stop your lying!\How can you look so smug and lie before all these witnesses?!\But it's the truth, so I can't help it. response:	Yesterday and now today... all lies!
context: But it's even more wrong that I'm tied up.\Whaddya mean?\Well... because...\This is the first time I've been to this village.\Stop your lying!\How can you look so smug and lie before all these witnesses?!\But it's the truth, so I can't help it.\Yesterday and now today... all lies! response:	How can you tell such bold-faced lies?
context: Whaddya mean?\Well... because...\This is the first time I've been to this village.\Stop your lying!\How can you look so smug and lie before all these witnesses?!\But it's the truth, so I can't help it.\Yesterday and now today... all lies!\How can you tell such bold-faced lies? response:	Huh?
context: Well... because...\This is the first time I've been to this village.\Stop your lying!\How can you look so smug and lie before all these witnesses?!\But it's the truth, so I can't help it.\Yesterday and now today... all lies!\How can you tell such bold-faced lies?\Huh? response:	Let's throw him in the river!
context: This is the first time I've been to this village.\Stop your lying!\How can you look so smug and lie before all these witnesses?!\But it's the truth, so I can't help it.\Yesterday and now today... all lies!\How can you tell such bold-faced lies?\Huh?\Let's throw him in the river! response:	Just a minute!
context: Stop your lying!\How can you look so smug and lie before all these witnesses?!\But it's the truth, so I can't help it.\Yesterday and now today... all lies!\How can you tell such bold-faced lies?\Huh?\Let's throw him in the river!\Just a minute! response:	What's the matter?
context: How can you look so smug and lie before all these witnesses?!\But it's the truth, so I can't help it.\Yesterday and now today... all lies!\How can you tell such bold-faced lies?\Huh?\Let's throw him in the river!\Just a minute!\What's the matter? response:	He just said, yesterday and now today.
context: But it's the truth, so I can't help it.\Yesterday and now today... all lies!\How can you tell such bold-faced lies?\Huh?\Let's throw him in the river!\Just a minute!\What's the matter?\He just said, yesterday and now today. response:	What about it?
context: Yesterday and now today... all lies!\How can you tell such bold-faced lies?\Huh?\Let's throw him in the river!\Just a minute!\What's the matter?\He just said, yesterday and now today.\What about it? response:	Yesterday and today... Miroku has been with us all along.
context: How can you tell such bold-faced lies?\Huh?\Let's throw him in the river!\Just a minute!\What's the matter?\He just said, yesterday and now today.\What about it?\Yesterday and today... Miroku has been with us all along. response:	Huh? Oh yeah!
context: Huh?\Let's throw him in the river!\Just a minute!\What's the matter?\He just said, yesterday and now today.\What about it?\Yesterday and today... Miroku has been with us all along.\Huh? Oh yeah! response:	Then...
context: Let's throw him in the river!\Just a minute!\What's the matter?\He just said, yesterday and now today.\What about it?\Yesterday and today... Miroku has been with us all along.\Huh? Oh yeah!\Then... response:	You finally understand?
context: Just a minute!\What's the matter?\He just said, yesterday and now today.\What about it?\Yesterday and today... Miroku has been with us all along.\Huh? Oh yeah!\Then...\You finally understand? response:	Then just who was this other Miroku?
context: What's the matter?\He just said, yesterday and now today.\What about it?\Yesterday and today... Miroku has been with us all along.\Huh? Oh yeah!\Then...\You finally understand?\Then just who was this other Miroku? response:	Oh, so you are the famous MasterMiroku.
context: He just said, yesterday and now today.\What about it?\Yesterday and today... Miroku has been with us all along.\Huh? Oh yeah!\Then...\You finally understand?\Then just who was this other Miroku?\Oh, so you are the famous MasterMiroku. response:	Yes... Well...
context: What about it?\Yesterday and today... Miroku has been with us all along.\Huh? Oh yeah!\Then...\You finally understand?\Then just who was this other Miroku?\Oh, so you are the famous MasterMiroku.\Yes... Well... response:	So, MasterMiroku...
context: Yesterday and today... Miroku has been with us all along.\Huh? Oh yeah!\Then...\You finally understand?\Then just who was this other Miroku?\Oh, so you are the famous MasterMiroku.\Yes... Well...\So, MasterMiroku... response:	What are you doing in a village like ours?
context: Huh? Oh yeah!\Then...\You finally understand?\Then just who was this other Miroku?\Oh, so you are the famous MasterMiroku.\Yes... Well...\So, MasterMiroku...\What are you doing in a village like ours? response:	Well...
context: Then...\You finally understand?\Then just who was this other Miroku?\Oh, so you are the famous MasterMiroku.\Yes... Well...\So, MasterMiroku...\What are you doing in a village like ours?\Well... response:	I was passing nearthis village during my journey
context: You finally understand?\Then just who was this other Miroku?\Oh, so you are the famous MasterMiroku.\Yes... Well...\So, MasterMiroku...\What are you doing in a village like ours?\Well...\I was passing nearthis village during my journey response:	and I felt a very suspicious aura.
context: Then just who was this other Miroku?\Oh, so you are the famous MasterMiroku.\Yes... Well...\So, MasterMiroku...\What are you doing in a village like ours?\Well...\I was passing nearthis village during my journey\and I felt a very suspicious aura. response:	Ohh!
context: Oh, so you are the famous MasterMiroku.\Yes... Well...\So, MasterMiroku...\What are you doing in a village like ours?\Well...\I was passing nearthis village during my journey\and I felt a very suspicious aura.\Ohh! response:	So you did, after all?
context: Yes... Well...\So, MasterMiroku...\What are you doing in a village like ours?\Well...\I was passing nearthis village during my journey\and I felt a very suspicious aura.\Ohh!\So you did, after all? response:	Huh?
context: So, MasterMiroku...\What are you doing in a village like ours?\Well...\I was passing nearthis village during my journey\and I felt a very suspicious aura.\Ohh!\So you did, after all?\Huh? response:	You are amazing, Miroku.
context: What are you doing in a village like ours?\Well...\I was passing nearthis village during my journey\and I felt a very suspicious aura.\Ohh!\So you did, after all?\Huh?\You are amazing, Miroku. response:	That you would sense the presence of the demon from the outskirts.
context: Well...\I was passing nearthis village during my journey\and I felt a very suspicious aura.\Ohh!\So you did, after all?\Huh?\You are amazing, Miroku.\That you would sense the presence of the demon from the outskirts. response:	Then we must ask you to exterminate the demon immediately.
context: I was passing nearthis village during my journey\and I felt a very suspicious aura.\Ohh!\So you did, after all?\Huh?\You are amazing, Miroku.\That you would sense the presence of the demon from the outskirts.\Then we must ask you to exterminate the demon immediately. response:	Huh? It looked for a second that you grew bigger.
context: and I felt a very suspicious aura.\Ohh!\So you did, after all?\Huh?\You are amazing, Miroku.\That you would sense the presence of the demon from the outskirts.\Then we must ask you to exterminate the demon immediately.\Huh? It looked for a second that you grew bigger. response:	Uh... err... it must be yourimagination.
context: Ohh!\So you did, after all?\Huh?\You are amazing, Miroku.\That you would sense the presence of the demon from the outskirts.\Then we must ask you to exterminate the demon immediately.\Huh? It looked for a second that you grew bigger.\Uh... err... it must be yourimagination. response:	Afake?!
context: So you did, after all?\Huh?\You are amazing, Miroku.\That you would sense the presence of the demon from the outskirts.\Then we must ask you to exterminate the demon immediately.\Huh? It looked for a second that you grew bigger.\Uh... err... it must be yourimagination.\Afake?! response:	Yes.
context: Huh?\You are amazing, Miroku.\That you would sense the presence of the demon from the outskirts.\Then we must ask you to exterminate the demon immediately.\Huh? It looked for a second that you grew bigger.\Uh... err... it must be yourimagination.\Afake?!\Yes. response:	Someone is using my identity and is up to no good in this region.
context: You are amazing, Miroku.\That you would sense the presence of the demon from the outskirts.\Then we must ask you to exterminate the demon immediately.\Huh? It looked for a second that you grew bigger.\Uh... err... it must be yourimagination.\Afake?!\Yes.\Someone is using my identity and is up to no good in this region. response:	Why must you look at me like that?!
context: That you would sense the presence of the demon from the outskirts.\Then we must ask you to exterminate the demon immediately.\Huh? It looked for a second that you grew bigger.\Uh... err... it must be yourimagination.\Afake?!\Yes.\Someone is using my identity and is up to no good in this region.\Why must you look at me like that?! response:	Think about it... That's the only explanation!
context: Then we must ask you to exterminate the demon immediately.\Huh? It looked for a second that you grew bigger.\Uh... err... it must be yourimagination.\Afake?!\Yes.\Someone is using my identity and is up to no good in this region.\Why must you look at me like that?!\Think about it... That's the only explanation! response:	- But... - I'll say!
context: Huh? It looked for a second that you grew bigger.\Uh... err... it must be yourimagination.\Afake?!\Yes.\Someone is using my identity and is up to no good in this region.\Why must you look at me like that?!\Think about it... That's the only explanation!\- But... - I'll say! response:	What good does it do to impersonate you?
context: Uh... err... it must be yourimagination.\Afake?!\Yes.\Someone is using my identity and is up to no good in this region.\Why must you look at me like that?!\Think about it... That's the only explanation!\- But... - I'll say!\What good does it do to impersonate you? response:	I'd pick someone else to impersonate.
context: Afake?!\Yes.\Someone is using my identity and is up to no good in this region.\Why must you look at me like that?!\Think about it... That's the only explanation!\- But... - I'll say!\What good does it do to impersonate you?\I'd pick someone else to impersonate. response:	That's why I'm suggesting that we check this out!
context: Yes.\Someone is using my identity and is up to no good in this region.\Why must you look at me like that?!\Think about it... That's the only explanation!\- But... - I'll say!\What good does it do to impersonate you?\I'd pick someone else to impersonate.\That's why I'm suggesting that we check this out! response:	What are you all babbling about?!
context: Someone is using my identity and is up to no good in this region.\Why must you look at me like that?!\Think about it... That's the only explanation!\- But... - I'll say!\What good does it do to impersonate you?\I'd pick someone else to impersonate.\That's why I'm suggesting that we check this out!\What are you all babbling about?! response:	Throw him in the river!
context: Why must you look at me like that?!\Think about it... That's the only explanation!\- But... - I'll say!\What good does it do to impersonate you?\I'd pick someone else to impersonate.\That's why I'm suggesting that we check this out!\What are you all babbling about?!\Throw him in the river! response:	J-Just a minute!
context: Think about it... That's the only explanation!\- But... - I'll say!\What good does it do to impersonate you?\I'd pick someone else to impersonate.\That's why I'm suggesting that we check this out!\What are you all babbling about?!\Throw him in the river!\J-Just a minute! response:	We understand how you feel, but this man denies it.
context: - But... - I'll say!\What good does it do to impersonate you?\I'd pick someone else to impersonate.\That's why I'm suggesting that we check this out!\What are you all babbling about?!\Throw him in the river!\J-Just a minute!\We understand how you feel, but this man denies it. response:	Hey, hey!
context: What good does it do to impersonate you?\I'd pick someone else to impersonate.\That's why I'm suggesting that we check this out!\What are you all babbling about?!\Throw him in the river!\J-Just a minute!\We understand how you feel, but this man denies it.\Hey, hey! response:	You can throw him in the river afterwe learn the truth.
context: I'd pick someone else to impersonate.\That's why I'm suggesting that we check this out!\What are you all babbling about?!\Throw him in the river!\J-Just a minute!\We understand how you feel, but this man denies it.\Hey, hey!\You can throw him in the river afterwe learn the truth. response:	Well whatever! Just untie me!
context: That's why I'm suggesting that we check this out!\What are you all babbling about?!\Throw him in the river!\J-Just a minute!\We understand how you feel, but this man denies it.\Hey, hey!\You can throw him in the river afterwe learn the truth.\Well whatever! Just untie me! response:	Don't try to talk your way outta this!
context: What are you all babbling about?!\Throw him in the river!\J-Just a minute!\We understand how you feel, but this man denies it.\Hey, hey!\You can throw him in the river afterwe learn the truth.\Well whatever! Just untie me!\Don't try to talk your way outta this! response:	I'm not!
context: Throw him in the river!\J-Just a minute!\We understand how you feel, but this man denies it.\Hey, hey!\You can throw him in the river afterwe learn the truth.\Well whatever! Just untie me!\Don't try to talk your way outta this!\I'm not! response:	If you're someone else, show us proof!
context: J-Just a minute!\We understand how you feel, but this man denies it.\Hey, hey!\You can throw him in the river afterwe learn the truth.\Well whatever! Just untie me!\Don't try to talk your way outta this!\I'm not!\If you're someone else, show us proof! response:	Proof?
context: We understand how you feel, but this man denies it.\Hey, hey!\You can throw him in the river afterwe learn the truth.\Well whatever! Just untie me!\Don't try to talk your way outta this!\I'm not!\If you're someone else, show us proof!\Proof? response:	Geez! Will you cut all this racket?!
context: Hey, hey!\You can throw him in the river afterwe learn the truth.\Well whatever! Just untie me!\Don't try to talk your way outta this!\I'm not!\If you're someone else, show us proof!\Proof?\Geez! Will you cut all this racket?! response:	Hey you!
context: You can throw him in the river afterwe learn the truth.\Well whatever! Just untie me!\Don't try to talk your way outta this!\I'm not!\If you're someone else, show us proof!\Proof?\Geez! Will you cut all this racket?!\Hey you! response:	If you insist that Miroku is guilty...
context: Well whatever! Just untie me!\Don't try to talk your way outta this!\I'm not!\If you're someone else, show us proof!\Proof?\Geez! Will you cut all this racket?!\Hey you!\If you insist that Miroku is guilty... response:	then YOU show us proof!
context: Don't try to talk your way outta this!\I'm not!\If you're someone else, show us proof!\Proof?\Geez! Will you cut all this racket?!\Hey you!\If you insist that Miroku is guilty...\then YOU show us proof! response:	W-Why's he so rough?
context: I'm not!\If you're someone else, show us proof!\Proof?\Geez! Will you cut all this racket?!\Hey you!\If you insist that Miroku is guilty...\then YOU show us proof!\W-Why's he so rough? response:	I knew you'd say that!
context: If you're someone else, show us proof!\Proof?\Geez! Will you cut all this racket?!\Hey you!\If you insist that Miroku is guilty...\then YOU show us proof!\W-Why's he so rough?\I knew you'd say that! response:	Then we'll show you.
context: Proof?\Geez! Will you cut all this racket?!\Hey you!\If you insist that Miroku is guilty...\then YOU show us proof!\W-Why's he so rough?\I knew you'd say that!\Then we'll show you. response:	Here's...
context: Geez! Will you cut all this racket?!\Hey you!\If you insist that Miroku is guilty...\then YOU show us proof!\W-Why's he so rough?\I knew you'd say that!\Then we'll show you.\Here's... response:	The proof!
context: Hey you!\If you insist that Miroku is guilty...\then YOU show us proof!\W-Why's he so rough?\I knew you'd say that!\Then we'll show you.\Here's...\The proof! response:	Huh?!
context: If you insist that Miroku is guilty...\then YOU show us proof!\W-Why's he so rough?\I knew you'd say that!\Then we'll show you.\Here's...\The proof!\Huh?! response:	What's the matter, Miroku?
context: then YOU show us proof!\W-Why's he so rough?\I knew you'd say that!\Then we'll show you.\Here's...\The proof!\Huh?!\What's the matter, Miroku? response:	Has he finally lost it?
context: W-Why's he so rough?\I knew you'd say that!\Then we'll show you.\Here's...\The proof!\Huh?!\What's the matter, Miroku?\Has he finally lost it? response:	I see. So that's what it is.
context: I knew you'd say that!\Then we'll show you.\Here's...\The proof!\Huh?!\What's the matter, Miroku?\Has he finally lost it?\I see. So that's what it is. response:	Huh?
context: Then we'll show you.\Here's...\The proof!\Huh?!\What's the matter, Miroku?\Has he finally lost it?\I see. So that's what it is.\Huh? response:	I have unraveled the mystery.
context: Here's...\The proof!\Huh?!\What's the matter, Miroku?\Has he finally lost it?\I see. So that's what it is.\Huh?\I have unraveled the mystery. response:	But... in that position...
context: The proof!\Huh?!\What's the matter, Miroku?\Has he finally lost it?\I see. So that's what it is.\Huh?\I have unraveled the mystery.\But... in that position... response:	He doesn't look too convincing.
context: Huh?!\What's the matter, Miroku?\Has he finally lost it?\I see. So that's what it is.\Huh?\I have unraveled the mystery.\But... in that position...\He doesn't look too convincing. response:	That's why I keep asking you... to untie me!
context: What's the matter, Miroku?\Has he finally lost it?\I see. So that's what it is.\Huh?\I have unraveled the mystery.\But... in that position...\He doesn't look too convincing.\That's why I keep asking you... to untie me! response:	Let's hurry!
context: Has he finally lost it?\I see. So that's what it is.\Huh?\I have unraveled the mystery.\But... in that position...\He doesn't look too convincing.\That's why I keep asking you... to untie me!\Let's hurry! response:	The impostor is heading forthe next village!
context: I see. So that's what it is.\Huh?\I have unraveled the mystery.\But... in that position...\He doesn't look too convincing.\That's why I keep asking you... to untie me!\Let's hurry!\The impostor is heading forthe next village! response:	And?
context: Huh?\I have unraveled the mystery.\But... in that position...\He doesn't look too convincing.\That's why I keep asking you... to untie me!\Let's hurry!\The impostor is heading forthe next village!\And? response:	Just who is this impostor, Miroku?
context: I have unraveled the mystery.\But... in that position...\He doesn't look too convincing.\That's why I keep asking you... to untie me!\Let's hurry!\The impostor is heading forthe next village!\And?\Just who is this impostor, Miroku? response:	You'll see when we get there.
context: But... in that position...\He doesn't look too convincing.\That's why I keep asking you... to untie me!\Let's hurry!\The impostor is heading forthe next village!\And?\Just who is this impostor, Miroku?\You'll see when we get there. response:	He knows me well and can imitate me.
context: He doesn't look too convincing.\That's why I keep asking you... to untie me!\Let's hurry!\The impostor is heading forthe next village!\And?\Just who is this impostor, Miroku?\You'll see when we get there.\He knows me well and can imitate me. response:	That leaf gave him away.
context: That's why I keep asking you... to untie me!\Let's hurry!\The impostor is heading forthe next village!\And?\Just who is this impostor, Miroku?\You'll see when we get there.\He knows me well and can imitate me.\That leaf gave him away. response:	Now then, MasterMiroku.
context: Let's hurry!\The impostor is heading forthe next village!\And?\Just who is this impostor, Miroku?\You'll see when we get there.\He knows me well and can imitate me.\That leaf gave him away.\Now then, MasterMiroku. response:	Oh yes...
context: The impostor is heading forthe next village!\And?\Just who is this impostor, Miroku?\You'll see when we get there.\He knows me well and can imitate me.\That leaf gave him away.\Now then, MasterMiroku.\Oh yes... response:	There's a shrine deep in this cave.
context: And?\Just who is this impostor, Miroku?\You'll see when we get there.\He knows me well and can imitate me.\That leaf gave him away.\Now then, MasterMiroku.\Oh yes...\There's a shrine deep in this cave. response:	A raccoon dog demon now haunts the interior of the shrine.
context: Just who is this impostor, Miroku?\You'll see when we get there.\He knows me well and can imitate me.\That leaf gave him away.\Now then, MasterMiroku.\Oh yes...\There's a shrine deep in this cave.\A raccoon dog demon now haunts the interior of the shrine. response:	Oh well... A raccoon dog should listen to reason.
context: You'll see when we get there.\He knows me well and can imitate me.\That leaf gave him away.\Now then, MasterMiroku.\Oh yes...\There's a shrine deep in this cave.\A raccoon dog demon now haunts the interior of the shrine.\Oh well... A raccoon dog should listen to reason. response:	It'd be okay if it kept to feeding on mountain prey.
context: He knows me well and can imitate me.\That leaf gave him away.\Now then, MasterMiroku.\Oh yes...\There's a shrine deep in this cave.\A raccoon dog demon now haunts the interior of the shrine.\Oh well... A raccoon dog should listen to reason.\It'd be okay if it kept to feeding on mountain prey. response:	But now it attacks our livestock and fields.
context: That leaf gave him away.\Now then, MasterMiroku.\Oh yes...\There's a shrine deep in this cave.\A raccoon dog demon now haunts the interior of the shrine.\Oh well... A raccoon dog should listen to reason.\It'd be okay if it kept to feeding on mountain prey.\But now it attacks our livestock and fields. response:	With the illustrious Miroku here, we're not too worried.
context: Now then, MasterMiroku.\Oh yes...\There's a shrine deep in this cave.\A raccoon dog demon now haunts the interior of the shrine.\Oh well... A raccoon dog should listen to reason.\It'd be okay if it kept to feeding on mountain prey.\But now it attacks our livestock and fields.\With the illustrious Miroku here, we're not too worried. response:	But please do be careful.
context: Oh yes...\There's a shrine deep in this cave.\A raccoon dog demon now haunts the interior of the shrine.\Oh well... A raccoon dog should listen to reason.\It'd be okay if it kept to feeding on mountain prey.\But now it attacks our livestock and fields.\With the illustrious Miroku here, we're not too worried.\But please do be careful. response:	Yes, just leave it to me.
context: There's a shrine deep in this cave.\A raccoon dog demon now haunts the interior of the shrine.\Oh well... A raccoon dog should listen to reason.\It'd be okay if it kept to feeding on mountain prey.\But now it attacks our livestock and fields.\With the illustrious Miroku here, we're not too worried.\But please do be careful.\Yes, just leave it to me. response:	Hey, raccoon dog!
context: A raccoon dog demon now haunts the interior of the shrine.\Oh well... A raccoon dog should listen to reason.\It'd be okay if it kept to feeding on mountain prey.\But now it attacks our livestock and fields.\With the illustrious Miroku here, we're not too worried.\But please do be careful.\Yes, just leave it to me.\Hey, raccoon dog! response:	If you're here, show yourself!
context: Oh well... A raccoon dog should listen to reason.\It'd be okay if it kept to feeding on mountain prey.\But now it attacks our livestock and fields.\With the illustrious Miroku here, we're not too worried.\But please do be careful.\Yes, just leave it to me.\Hey, raccoon dog!\If you're here, show yourself! response:	Huh?!
context: It'd be okay if it kept to feeding on mountain prey.\But now it attacks our livestock and fields.\With the illustrious Miroku here, we're not too worried.\But please do be careful.\Yes, just leave it to me.\Hey, raccoon dog!\If you're here, show yourself!\Huh?! response:	That must be the shrine.
context: But now it attacks our livestock and fields.\With the illustrious Miroku here, we're not too worried.\But please do be careful.\Yes, just leave it to me.\Hey, raccoon dog!\If you're here, show yourself!\Huh?!\That must be the shrine. response:	What do you want?!
context: With the illustrious Miroku here, we're not too worried.\But please do be careful.\Yes, just leave it to me.\Hey, raccoon dog!\If you're here, show yourself!\Huh?!\That must be the shrine.\What do you want?! response:	No need to worry. It's just a raccoon dog, too.
context: But please do be careful.\Yes, just leave it to me.\Hey, raccoon dog!\If you're here, show yourself!\Huh?!\That must be the shrine.\What do you want?!\No need to worry. It's just a raccoon dog, too. response:	Are you the demon?!
context: Yes, just leave it to me.\Hey, raccoon dog!\If you're here, show yourself!\Huh?!\That must be the shrine.\What do you want?!\No need to worry. It's just a raccoon dog, too.\Are you the demon?! response:	What does a mortal want with me?
context: Hey, raccoon dog!\If you're here, show yourself!\Huh?!\That must be the shrine.\What do you want?!\No need to worry. It's just a raccoon dog, too.\Are you the demon?!\What does a mortal want with me? response:	So you ARE a raccoon dog.
context: If you're here, show yourself!\Huh?!\That must be the shrine.\What do you want?!\No need to worry. It's just a raccoon dog, too.\Are you the demon?!\What does a mortal want with me?\So you ARE a raccoon dog. response:	I'm a weasel!
context: Huh?!\That must be the shrine.\What do you want?!\No need to worry. It's just a raccoon dog, too.\Are you the demon?!\What does a mortal want with me?\So you ARE a raccoon dog.\I'm a weasel! response:	Huh? You look like a raccoon dog to me.
context: That must be the shrine.\What do you want?!\No need to worry. It's just a raccoon dog, too.\Are you the demon?!\What does a mortal want with me?\So you ARE a raccoon dog.\I'm a weasel!\Huh? You look like a raccoon dog to me. response:	We're totally different!
context: What do you want?!\No need to worry. It's just a raccoon dog, too.\Are you the demon?!\What does a mortal want with me?\So you ARE a raccoon dog.\I'm a weasel!\Huh? You look like a raccoon dog to me.\We're totally different! response:	Although, I love eating raccoon dogs.
context: No need to worry. It's just a raccoon dog, too.\Are you the demon?!\What does a mortal want with me?\So you ARE a raccoon dog.\I'm a weasel!\Huh? You look like a raccoon dog to me.\We're totally different!\Although, I love eating raccoon dogs. response:	Huh?
context: Are you the demon?!\What does a mortal want with me?\So you ARE a raccoon dog.\I'm a weasel!\Huh? You look like a raccoon dog to me.\We're totally different!\Although, I love eating raccoon dogs.\Huh? response:	Are you really human?
context: What does a mortal want with me?\So you ARE a raccoon dog.\I'm a weasel!\Huh? You look like a raccoon dog to me.\We're totally different!\Although, I love eating raccoon dogs.\Huh?\Are you really human? response:	Uhh!
