context: Nothing lets you call the students of Seika flies. response:	I demand an apology from you.
context: This is all bean curd? Wow.\Bean curd is cheap and full of nutrition.\We're poor, so we need to be creative with our food like this.\I'm sorry for making you go through hard times, too.\It's not your fault, Sis.\It's our Dad's fault for disappearing on us.\Besides, cooking is fun.\Itadakimasu. response:	Itadakimasu.
context: Bean curd is cheap and full of nutrition.\We're poor, so we need to be creative with our food like this.\I'm sorry for making you go through hard times, too.\It's not your fault, Sis.\It's our Dad's fault for disappearing on us.\Besides, cooking is fun.\Itadakimasu.\Itadakimasu. response:	It's good.
context: We're poor, so we need to be creative with our food like this.\I'm sorry for making you go through hard times, too.\It's not your fault, Sis.\It's our Dad's fault for disappearing on us.\Besides, cooking is fun.\Itadakimasu.\Itadakimasu.\It's good. response:	Hey, Suzuna. Would you want to go to Miyabigaoka?
context: I'm sorry for making you go through hard times, too.\It's not your fault, Sis.\It's our Dad's fault for disappearing on us.\Besides, cooking is fun.\Itadakimasu.\Itadakimasu.\It's good.\Hey, Suzuna. Would you want to go to Miyabigaoka? response:	What? Isn't that a school for rich and smart people?
context: It's not your fault, Sis.\It's our Dad's fault for disappearing on us.\Besides, cooking is fun.\Itadakimasu.\Itadakimasu.\It's good.\Hey, Suzuna. Would you want to go to Miyabigaoka?\What? Isn't that a school for rich and smart people? response:	What if you could go?
context: It's our Dad's fault for disappearing on us.\Besides, cooking is fun.\Itadakimasu.\Itadakimasu.\It's good.\Hey, Suzuna. Would you want to go to Miyabigaoka?\What? Isn't that a school for rich and smart people?\What if you could go? response:	If we had the money to go there, I would buy a real king crab instead.
context: Besides, cooking is fun.\Itadakimasu.\Itadakimasu.\It's good.\Hey, Suzuna. Would you want to go to Miyabigaoka?\What? Isn't that a school for rich and smart people?\What if you could go?\If we had the money to go there, I would buy a real king crab instead. response:	Why are you asking?
context: Itadakimasu.\Itadakimasu.\It's good.\Hey, Suzuna. Would you want to go to Miyabigaoka?\What? Isn't that a school for rich and smart people?\What if you could go?\If we had the money to go there, I would buy a real king crab instead.\Why are you asking? response:	No real reason.
context: Itadakimasu.\It's good.\Hey, Suzuna. Would you want to go to Miyabigaoka?\What? Isn't that a school for rich and smart people?\What if you could go?\If we had the money to go there, I would buy a real king crab instead.\Why are you asking?\No real reason. response:	Anyways, they all taste like bean curd.
context: It's good.\Hey, Suzuna. Would you want to go to Miyabigaoka?\What? Isn't that a school for rich and smart people?\What if you could go?\If we had the money to go there, I would buy a real king crab instead.\Why are you asking?\No real reason.\Anyways, they all taste like bean curd. response:	Desserts are the top-notch cakes brought by the students of the Ayuzawa School.
context: Hey, Suzuna. Would you want to go to Miyabigaoka?\What? Isn't that a school for rich and smart people?\What if you could go?\If we had the money to go there, I would buy a real king crab instead.\Why are you asking?\No real reason.\Anyways, they all taste like bean curd.\Desserts are the top-notch cakes brought by the students of the Ayuzawa School. response:	I said they're not from the Ayuzawa School.
context: What? Isn't that a school for rich and smart people?\What if you could go?\If we had the money to go there, I would buy a real king crab instead.\Why are you asking?\No real reason.\Anyways, they all taste like bean curd.\Desserts are the top-notch cakes brought by the students of the Ayuzawa School.\I said they're not from the Ayuzawa School. response:	Where did Misaki go?
context: What if you could go?\If we had the money to go there, I would buy a real king crab instead.\Why are you asking?\No real reason.\Anyways, they all taste like bean curd.\Desserts are the top-notch cakes brought by the students of the Ayuzawa School.\I said they're not from the Ayuzawa School.\Where did Misaki go? response:	I don't think Misaki-san would go to shows like that.
context: If we had the money to go there, I would buy a real king crab instead.\Why are you asking?\No real reason.\Anyways, they all taste like bean curd.\Desserts are the top-notch cakes brought by the students of the Ayuzawa School.\I said they're not from the Ayuzawa School.\Where did Misaki go?\I don't think Misaki-san would go to shows like that. response:	Honestly, I'd like to pass, too.
context: Why are you asking?\No real reason.\Anyways, they all taste like bean curd.\Desserts are the top-notch cakes brought by the students of the Ayuzawa School.\I said they're not from the Ayuzawa School.\Where did Misaki go?\I don't think Misaki-san would go to shows like that.\Honestly, I'd like to pass, too. response:	I swear! If you see them once, you'll love them, too!
context: No real reason.\Anyways, they all taste like bean curd.\Desserts are the top-notch cakes brought by the students of the Ayuzawa School.\I said they're not from the Ayuzawa School.\Where did Misaki go?\I don't think Misaki-san would go to shows like that.\Honestly, I'd like to pass, too.\I swear! If you see them once, you'll love them, too! response:	Look!
context: Anyways, they all taste like bean curd.\Desserts are the top-notch cakes brought by the students of the Ayuzawa School.\I said they're not from the Ayuzawa School.\Where did Misaki go?\I don't think Misaki-san would go to shows like that.\Honestly, I'd like to pass, too.\I swear! If you see them once, you'll love them, too!\Look! response:	He's so hot!
context: Desserts are the top-notch cakes brought by the students of the Ayuzawa School.\I said they're not from the Ayuzawa School.\Where did Misaki go?\I don't think Misaki-san would go to shows like that.\Honestly, I'd like to pass, too.\I swear! If you see them once, you'll love them, too!\Look!\He's so hot! response:	Is that a girl?
context: I said they're not from the Ayuzawa School.\Where did Misaki go?\I don't think Misaki-san would go to shows like that.\Honestly, I'd like to pass, too.\I swear! If you see them once, you'll love them, too!\Look!\He's so hot!\Is that a girl? response:	U cross Mishi?
context: Where did Misaki go?\I don't think Misaki-san would go to shows like that.\Honestly, I'd like to pass, too.\I swear! If you see them once, you'll love them, too!\Look!\He's so hot!\Is that a girl?\U cross Mishi? response:	It's Umemishi. Was that on purpose?
context: I don't think Misaki-san would go to shows like that.\Honestly, I'd like to pass, too.\I swear! If you see them once, you'll love them, too!\Look!\He's so hot!\Is that a girl?\U cross Mishi?\It's Umemishi. Was that on purpose? response:	Seriously, I don't have any interest.
context: Honestly, I'd like to pass, too.\I swear! If you see them once, you'll love them, too!\Look!\He's so hot!\Is that a girl?\U cross Mishi?\It's Umemishi. Was that on purpose?\Seriously, I don't have any interest. response:	I guess I'll give her a ring.
context: I swear! If you see them once, you'll love them, too!\Look!\He's so hot!\Is that a girl?\U cross Mishi?\It's Umemishi. Was that on purpose?\Seriously, I don't have any interest.\I guess I'll give her a ring. response:	Hey, Misaki?
context: Look!\He's so hot!\Is that a girl?\U cross Mishi?\It's Umemishi. Was that on purpose?\Seriously, I don't have any interest.\I guess I'll give her a ring.\Hey, Misaki? response:	Sakura?
context: He's so hot!\Is that a girl?\U cross Mishi?\It's Umemishi. Was that on purpose?\Seriously, I don't have any interest.\I guess I'll give her a ring.\Hey, Misaki?\Sakura? response:	Where are you?
context: Is that a girl?\U cross Mishi?\It's Umemishi. Was that on purpose?\Seriously, I don't have any interest.\I guess I'll give her a ring.\Hey, Misaki?\Sakura?\Where are you? response:	I'm at Miyabigaoka.
context: U cross Mishi?\It's Umemishi. Was that on purpose?\Seriously, I don't have any interest.\I guess I'll give her a ring.\Hey, Misaki?\Sakura?\Where are you?\I'm at Miyabigaoka. response:	Miyabigaoka? Why?
context: It's Umemishi. Was that on purpose?\Seriously, I don't have any interest.\I guess I'll give her a ring.\Hey, Misaki?\Sakura?\Where are you?\I'm at Miyabigaoka.\Miyabigaoka? Why? response:	Sakura... I'm sorry, but I'll call you back.
context: Seriously, I don't have any interest.\I guess I'll give her a ring.\Hey, Misaki?\Sakura?\Where are you?\I'm at Miyabigaoka.\Miyabigaoka? Why?\Sakura... I'm sorry, but I'll call you back. response:	Hey, Misaki!
context: I guess I'll give her a ring.\Hey, Misaki?\Sakura?\Where are you?\I'm at Miyabigaoka.\Miyabigaoka? Why?\Sakura... I'm sorry, but I'll call you back.\Hey, Misaki! response:	Misaki?
context: Hey, Misaki?\Sakura?\Where are you?\I'm at Miyabigaoka.\Miyabigaoka? Why?\Sakura... I'm sorry, but I'll call you back.\Hey, Misaki!\Misaki? response:	Then person you are trying to reach is unable to answer the phone.
context: Sakura?\Where are you?\I'm at Miyabigaoka.\Miyabigaoka? Why?\Sakura... I'm sorry, but I'll call you back.\Hey, Misaki!\Misaki?\Then person you are trying to reach is unable to answer the phone. response:	What did Misaki-san say?
context: Where are you?\I'm at Miyabigaoka.\Miyabigaoka? Why?\Sakura... I'm sorry, but I'll call you back.\Hey, Misaki!\Misaki?\Then person you are trying to reach is unable to answer the phone.\What did Misaki-san say? response:	I can't get through to her.
context: I'm at Miyabigaoka.\Miyabigaoka? Why?\Sakura... I'm sorry, but I'll call you back.\Hey, Misaki!\Misaki?\Then person you are trying to reach is unable to answer the phone.\What did Misaki-san say?\I can't get through to her. response:	She's at Miyabigaoka Academy, isn't she?
context: Miyabigaoka? Why?\Sakura... I'm sorry, but I'll call you back.\Hey, Misaki!\Misaki?\Then person you are trying to reach is unable to answer the phone.\What did Misaki-san say?\I can't get through to her.\She's at Miyabigaoka Academy, isn't she? response:	What is Misaki planning on doing?
context: Sakura... I'm sorry, but I'll call you back.\Hey, Misaki!\Misaki?\Then person you are trying to reach is unable to answer the phone.\What did Misaki-san say?\I can't get through to her.\She's at Miyabigaoka Academy, isn't she?\What is Misaki planning on doing? response:	Why is she making such an important decision alone?
context: Hey, Misaki!\Misaki?\Then person you are trying to reach is unable to answer the phone.\What did Misaki-san say?\I can't get through to her.\She's at Miyabigaoka Academy, isn't she?\What is Misaki planning on doing?\Why is she making such an important decision alone? response:	Don't worry.
context: Misaki?\Then person you are trying to reach is unable to answer the phone.\What did Misaki-san say?\I can't get through to her.\She's at Miyabigaoka Academy, isn't she?\What is Misaki planning on doing?\Why is she making such an important decision alone?\Don't worry. response:	I'll figure it out.
context: Then person you are trying to reach is unable to answer the phone.\What did Misaki-san say?\I can't get through to her.\She's at Miyabigaoka Academy, isn't she?\What is Misaki planning on doing?\Why is she making such an important decision alone?\Don't worry.\I'll figure it out. response:	It's not bad to graduate from a renowned school.
context: What did Misaki-san say?\I can't get through to her.\She's at Miyabigaoka Academy, isn't she?\What is Misaki planning on doing?\Why is she making such an important decision alone?\Don't worry.\I'll figure it out.\It's not bad to graduate from a renowned school. response:	Misaki might become Tora's wife?
context: I can't get through to her.\She's at Miyabigaoka Academy, isn't she?\What is Misaki planning on doing?\Why is she making such an important decision alone?\Don't worry.\I'll figure it out.\It's not bad to graduate from a renowned school.\Misaki might become Tora's wife? response:	She could become the Igarashi Foundation's celebrity madam!
context: She's at Miyabigaoka Academy, isn't she?\What is Misaki planning on doing?\Why is she making such an important decision alone?\Don't worry.\I'll figure it out.\It's not bad to graduate from a renowned school.\Misaki might become Tora's wife?\She could become the Igarashi Foundation's celebrity madam! response:	No fret. Misaki-san will take care of him.
context: What is Misaki planning on doing?\Why is she making such an important decision alone?\Don't worry.\I'll figure it out.\It's not bad to graduate from a renowned school.\Misaki might become Tora's wife?\She could become the Igarashi Foundation's celebrity madam!\No fret. Misaki-san will take care of him. response:	We've been relying on Misaki-san so much.
context: Why is she making such an important decision alone?\Don't worry.\I'll figure it out.\It's not bad to graduate from a renowned school.\Misaki might become Tora's wife?\She could become the Igarashi Foundation's celebrity madam!\No fret. Misaki-san will take care of him.\We've been relying on Misaki-san so much. response:	We didn't ask about her feelings at all.
context: Don't worry.\I'll figure it out.\It's not bad to graduate from a renowned school.\Misaki might become Tora's wife?\She could become the Igarashi Foundation's celebrity madam!\No fret. Misaki-san will take care of him.\We've been relying on Misaki-san so much.\We didn't ask about her feelings at all. response:	We weren't discussing any of the important things.
context: I'll figure it out.\It's not bad to graduate from a renowned school.\Misaki might become Tora's wife?\She could become the Igarashi Foundation's celebrity madam!\No fret. Misaki-san will take care of him.\We've been relying on Misaki-san so much.\We didn't ask about her feelings at all.\We weren't discussing any of the important things. response:	Are you really all right even if Misaki goes to Miyabigaoka?
context: It's not bad to graduate from a renowned school.\Misaki might become Tora's wife?\She could become the Igarashi Foundation's celebrity madam!\No fret. Misaki-san will take care of him.\We've been relying on Misaki-san so much.\We didn't ask about her feelings at all.\We weren't discussing any of the important things.\Are you really all right even if Misaki goes to Miyabigaoka? response:	Wouldn't you be lonely?
context: Misaki might become Tora's wife?\She could become the Igarashi Foundation's celebrity madam!\No fret. Misaki-san will take care of him.\We've been relying on Misaki-san so much.\We didn't ask about her feelings at all.\We weren't discussing any of the important things.\Are you really all right even if Misaki goes to Miyabigaoka?\Wouldn't you be lonely? response:	Sakura-san.
context: She could become the Igarashi Foundation's celebrity madam!\No fret. Misaki-san will take care of him.\We've been relying on Misaki-san so much.\We didn't ask about her feelings at all.\We weren't discussing any of the important things.\Are you really all right even if Misaki goes to Miyabigaoka?\Wouldn't you be lonely?\Sakura-san. response:	If we are going to get Misaki-san back, we need to fight seriously, too.
context: No fret. Misaki-san will take care of him.\We've been relying on Misaki-san so much.\We didn't ask about her feelings at all.\We weren't discussing any of the important things.\Are you really all right even if Misaki goes to Miyabigaoka?\Wouldn't you be lonely?\Sakura-san.\If we are going to get Misaki-san back, we need to fight seriously, too. response:	Yeah.
context: We've been relying on Misaki-san so much.\We didn't ask about her feelings at all.\We weren't discussing any of the important things.\Are you really all right even if Misaki goes to Miyabigaoka?\Wouldn't you be lonely?\Sakura-san.\If we are going to get Misaki-san back, we need to fight seriously, too.\Yeah. response:	How do you do?
context: We didn't ask about her feelings at all.\We weren't discussing any of the important things.\Are you really all right even if Misaki goes to Miyabigaoka?\Wouldn't you be lonely?\Sakura-san.\If we are going to get Misaki-san back, we need to fight seriously, too.\Yeah.\How do you do? response:	How is your mother doing?
context: We weren't discussing any of the important things.\Are you really all right even if Misaki goes to Miyabigaoka?\Wouldn't you be lonely?\Sakura-san.\If we are going to get Misaki-san back, we need to fight seriously, too.\Yeah.\How do you do?\How is your mother doing? response:	Where will you be going on the next vacation?
context: Are you really all right even if Misaki goes to Miyabigaoka?\Wouldn't you be lonely?\Sakura-san.\If we are going to get Misaki-san back, we need to fight seriously, too.\Yeah.\How do you do?\How is your mother doing?\Where will you be going on the next vacation? response:	I didn't notice last time I was here, but this definitely is Miyabigaoka.
context: Wouldn't you be lonely?\Sakura-san.\If we are going to get Misaki-san back, we need to fight seriously, too.\Yeah.\How do you do?\How is your mother doing?\Where will you be going on the next vacation?\I didn't notice last time I was here, but this definitely is Miyabigaoka. response:	The atmosphere is completely different from our school.
context: Sakura-san.\If we are going to get Misaki-san back, we need to fight seriously, too.\Yeah.\How do you do?\How is your mother doing?\Where will you be going on the next vacation?\I didn't notice last time I was here, but this definitely is Miyabigaoka.\The atmosphere is completely different from our school. response:	Prez. Seika High School's Ayuzawa Misaki is here.
context: If we are going to get Misaki-san back, we need to fight seriously, too.\Yeah.\How do you do?\How is your mother doing?\Where will you be going on the next vacation?\I didn't notice last time I was here, but this definitely is Miyabigaoka.\The atmosphere is completely different from our school.\Prez. Seika High School's Ayuzawa Misaki is here. response:	Okay.
context: Yeah.\How do you do?\How is your mother doing?\Where will you be going on the next vacation?\I didn't notice last time I was here, but this definitely is Miyabigaoka.\The atmosphere is completely different from our school.\Prez. Seika High School's Ayuzawa Misaki is here.\Okay. response:	She's the first woman that you've really been into.
context: How do you do?\How is your mother doing?\Where will you be going on the next vacation?\I didn't notice last time I was here, but this definitely is Miyabigaoka.\The atmosphere is completely different from our school.\Prez. Seika High School's Ayuzawa Misaki is here.\Okay.\She's the first woman that you've really been into. response:	Maki. I bet you're thinking there are no women out there that will satisfy me, right?
context: How is your mother doing?\Where will you be going on the next vacation?\I didn't notice last time I was here, but this definitely is Miyabigaoka.\The atmosphere is completely different from our school.\Prez. Seika High School's Ayuzawa Misaki is here.\Okay.\She's the first woman that you've really been into.\Maki. I bet you're thinking there are no women out there that will satisfy me, right? response:	I always thought so myself, too.
context: Where will you be going on the next vacation?\I didn't notice last time I was here, but this definitely is Miyabigaoka.\The atmosphere is completely different from our school.\Prez. Seika High School's Ayuzawa Misaki is here.\Okay.\She's the first woman that you've really been into.\Maki. I bet you're thinking there are no women out there that will satisfy me, right?\I always thought so myself, too. response:	President Ayuzawa. I had faith that you would come.
context: I didn't notice last time I was here, but this definitely is Miyabigaoka.\The atmosphere is completely different from our school.\Prez. Seika High School's Ayuzawa Misaki is here.\Okay.\She's the first woman that you've really been into.\Maki. I bet you're thinking there are no women out there that will satisfy me, right?\I always thought so myself, too.\President Ayuzawa. I had faith that you would come. response:	President Igarashi...
context: The atmosphere is completely different from our school.\Prez. Seika High School's Ayuzawa Misaki is here.\Okay.\She's the first woman that you've really been into.\Maki. I bet you're thinking there are no women out there that will satisfy me, right?\I always thought so myself, too.\President Ayuzawa. I had faith that you would come.\President Igarashi... response:	I assume you're here to accept our offer?
context: Prez. Seika High School's Ayuzawa Misaki is here.\Okay.\She's the first woman that you've really been into.\Maki. I bet you're thinking there are no women out there that will satisfy me, right?\I always thought so myself, too.\President Ayuzawa. I had faith that you would come.\President Igarashi...\I assume you're here to accept our offer? response:	Regarding that...
context: Okay.\She's the first woman that you've really been into.\Maki. I bet you're thinking there are no women out there that will satisfy me, right?\I always thought so myself, too.\President Ayuzawa. I had faith that you would come.\President Igarashi...\I assume you're here to accept our offer?\Regarding that... response:	Why isn't Misa-chan here today?!
context: She's the first woman that you've really been into.\Maki. I bet you're thinking there are no women out there that will satisfy me, right?\I always thought so myself, too.\President Ayuzawa. I had faith that you would come.\President Igarashi...\I assume you're here to accept our offer?\Regarding that...\Why isn't Misa-chan here today?! response:	So much for-
context: Maki. I bet you're thinking there are no women out there that will satisfy me, right?\I always thought so myself, too.\President Ayuzawa. I had faith that you would come.\President Igarashi...\I assume you're here to accept our offer?\Regarding that...\Why isn't Misa-chan here today?!\So much for- response:	-today being Shiroyan's birthday!
context: I always thought so myself, too.\President Ayuzawa. I had faith that you would come.\President Igarashi...\I assume you're here to accept our offer?\Regarding that...\Why isn't Misa-chan here today?!\So much for-\-today being Shiroyan's birthday! response:	I wanted her to celebrate it!
context: President Ayuzawa. I had faith that you would come.\President Igarashi...\I assume you're here to accept our offer?\Regarding that...\Why isn't Misa-chan here today?!\So much for-\-today being Shiroyan's birthday!\I wanted her to celebrate it! response:	Ikkun. Kurotatsu. My life just ended.
context: President Igarashi...\I assume you're here to accept our offer?\Regarding that...\Why isn't Misa-chan here today?!\So much for-\-today being Shiroyan's birthday!\I wanted her to celebrate it!\Ikkun. Kurotatsu. My life just ended. response:	Shiroyan.
context: I assume you're here to accept our offer?\Regarding that...\Why isn't Misa-chan here today?!\So much for-\-today being Shiroyan's birthday!\I wanted her to celebrate it!\Ikkun. Kurotatsu. My life just ended.\Shiroyan. response:	Lift your head up.
context: Regarding that...\Why isn't Misa-chan here today?!\So much for-\-today being Shiroyan's birthday!\I wanted her to celebrate it!\Ikkun. Kurotatsu. My life just ended.\Shiroyan.\Lift your head up. response:	Hey, Shiroyan.
context: Why isn't Misa-chan here today?!\So much for-\-today being Shiroyan's birthday!\I wanted her to celebrate it!\Ikkun. Kurotatsu. My life just ended.\Shiroyan.\Lift your head up.\Hey, Shiroyan. response:	Masters.
context: So much for-\-today being Shiroyan's birthday!\I wanted her to celebrate it!\Ikkun. Kurotatsu. My life just ended.\Shiroyan.\Lift your head up.\Hey, Shiroyan.\Masters. response:	We can't replace Misa-chan,
context: -today being Shiroyan's birthday!\I wanted her to celebrate it!\Ikkun. Kurotatsu. My life just ended.\Shiroyan.\Lift your head up.\Hey, Shiroyan.\Masters.\We can't replace Misa-chan, response:	But can we celebrate?
context: I wanted her to celebrate it!\Ikkun. Kurotatsu. My life just ended.\Shiroyan.\Lift your head up.\Hey, Shiroyan.\Masters.\We can't replace Misa-chan,\But can we celebrate? response:	We have a cake ready, too.
context: Ikkun. Kurotatsu. My life just ended.\Shiroyan.\Lift your head up.\Hey, Shiroyan.\Masters.\We can't replace Misa-chan,\But can we celebrate?\We have a cake ready, too. response:	It's Maid Latte's special birthday cake.
context: Shiroyan.\Lift your head up.\Hey, Shiroyan.\Masters.\We can't replace Misa-chan,\But can we celebrate?\We have a cake ready, too.\It's Maid Latte's special birthday cake. response:	Don't worry. It's on the house for your continued patronage.
context: Lift your head up.\Hey, Shiroyan.\Masters.\We can't replace Misa-chan,\But can we celebrate?\We have a cake ready, too.\It's Maid Latte's special birthday cake.\Don't worry. It's on the house for your continued patronage. response:	We're so happy.
context: Hey, Shiroyan.\Masters.\We can't replace Misa-chan,\But can we celebrate?\We have a cake ready, too.\It's Maid Latte's special birthday cake.\Don't worry. It's on the house for your continued patronage.\We're so happy. response:	But, it says Moron Trio on it.
context: Masters.\We can't replace Misa-chan,\But can we celebrate?\We have a cake ready, too.\It's Maid Latte's special birthday cake.\Don't worry. It's on the house for your continued patronage.\We're so happy.\But, it says Moron Trio on it. response:	Yeah, it's hard to be really happy.
context: We can't replace Misa-chan,\But can we celebrate?\We have a cake ready, too.\It's Maid Latte's special birthday cake.\Don't worry. It's on the house for your continued patronage.\We're so happy.\But, it says Moron Trio on it.\Yeah, it's hard to be really happy. response:	Who cares, it's free.
context: But can we celebrate?\We have a cake ready, too.\It's Maid Latte's special birthday cake.\Don't worry. It's on the house for your continued patronage.\We're so happy.\But, it says Moron Trio on it.\Yeah, it's hard to be really happy.\Who cares, it's free. response:	Excuse us.
context: We have a cake ready, too.\It's Maid Latte's special birthday cake.\Don't worry. It's on the house for your continued patronage.\We're so happy.\But, it says Moron Trio on it.\Yeah, it's hard to be really happy.\Who cares, it's free.\Excuse us. response:	I'm sorry for Shizuko's intrusion.
context: It's Maid Latte's special birthday cake.\Don't worry. It's on the house for your continued patronage.\We're so happy.\But, it says Moron Trio on it.\Yeah, it's hard to be really happy.\Who cares, it's free.\Excuse us.\I'm sorry for Shizuko's intrusion. response:	Will anyone here go to Miyabigaoka with us?
context: Don't worry. It's on the house for your continued patronage.\We're so happy.\But, it says Moron Trio on it.\Yeah, it's hard to be really happy.\Who cares, it's free.\Excuse us.\I'm sorry for Shizuko's intrusion.\Will anyone here go to Miyabigaoka with us? response:	Misaki-san has gone to Miyabigaoka by herself.
context: We're so happy.\But, it says Moron Trio on it.\Yeah, it's hard to be really happy.\Who cares, it's free.\Excuse us.\I'm sorry for Shizuko's intrusion.\Will anyone here go to Miyabigaoka with us?\Misaki-san has gone to Miyabigaoka by herself. response:	Prez did?
context: But, it says Moron Trio on it.\Yeah, it's hard to be really happy.\Who cares, it's free.\Excuse us.\I'm sorry for Shizuko's intrusion.\Will anyone here go to Miyabigaoka with us?\Misaki-san has gone to Miyabigaoka by herself.\Prez did? response:	If Prez ends up going to Miyabigaoka, then it's partly our fault for not stopping her!
context: Yeah, it's hard to be really happy.\Who cares, it's free.\Excuse us.\I'm sorry for Shizuko's intrusion.\Will anyone here go to Miyabigaoka with us?\Misaki-san has gone to Miyabigaoka by herself.\Prez did?\If Prez ends up going to Miyabigaoka, then it's partly our fault for not stopping her! response:	This could just be us being selfish, but I want Misaki to be at Seika.
context: Who cares, it's free.\Excuse us.\I'm sorry for Shizuko's intrusion.\Will anyone here go to Miyabigaoka with us?\Misaki-san has gone to Miyabigaoka by herself.\Prez did?\If Prez ends up going to Miyabigaoka, then it's partly our fault for not stopping her!\This could just be us being selfish, but I want Misaki to be at Seika. response:	Isn't it the same for all of you?
context: Excuse us.\I'm sorry for Shizuko's intrusion.\Will anyone here go to Miyabigaoka with us?\Misaki-san has gone to Miyabigaoka by herself.\Prez did?\If Prez ends up going to Miyabigaoka, then it's partly our fault for not stopping her!\This could just be us being selfish, but I want Misaki to be at Seika.\Isn't it the same for all of you? response:	I can't imagine anyone else other than her being the President!
context: I'm sorry for Shizuko's intrusion.\Will anyone here go to Miyabigaoka with us?\Misaki-san has gone to Miyabigaoka by herself.\Prez did?\If Prez ends up going to Miyabigaoka, then it's partly our fault for not stopping her!\This could just be us being selfish, but I want Misaki to be at Seika.\Isn't it the same for all of you?\I can't imagine anyone else other than her being the President! response:	Let's go get Prez!
context: Will anyone here go to Miyabigaoka with us?\Misaki-san has gone to Miyabigaoka by herself.\Prez did?\If Prez ends up going to Miyabigaoka, then it's partly our fault for not stopping her!\This could just be us being selfish, but I want Misaki to be at Seika.\Isn't it the same for all of you?\I can't imagine anyone else other than her being the President!\Let's go get Prez! response:	Yeah, that's right. Let's go get her.
context: Misaki-san has gone to Miyabigaoka by herself.\Prez did?\If Prez ends up going to Miyabigaoka, then it's partly our fault for not stopping her!\This could just be us being selfish, but I want Misaki to be at Seika.\Isn't it the same for all of you?\I can't imagine anyone else other than her being the President!\Let's go get Prez!\Yeah, that's right. Let's go get her. response:	Count us in.
context: Prez did?\If Prez ends up going to Miyabigaoka, then it's partly our fault for not stopping her!\This could just be us being selfish, but I want Misaki to be at Seika.\Isn't it the same for all of you?\I can't imagine anyone else other than her being the President!\Let's go get Prez!\Yeah, that's right. Let's go get her.\Count us in. response:	Yeah.
context: If Prez ends up going to Miyabigaoka, then it's partly our fault for not stopping her!\This could just be us being selfish, but I want Misaki to be at Seika.\Isn't it the same for all of you?\I can't imagine anyone else other than her being the President!\Let's go get Prez!\Yeah, that's right. Let's go get her.\Count us in.\Yeah. response:	Let us go, everyone!
context: This could just be us being selfish, but I want Misaki to be at Seika.\Isn't it the same for all of you?\I can't imagine anyone else other than her being the President!\Let's go get Prez!\Yeah, that's right. Let's go get her.\Count us in.\Yeah.\Let us go, everyone! response:	Yeah!
context: Isn't it the same for all of you?\I can't imagine anyone else other than her being the President!\Let's go get Prez!\Yeah, that's right. Let's go get her.\Count us in.\Yeah.\Let us go, everyone!\Yeah! response:	As expected from the rich school.
context: I can't imagine anyone else other than her being the President!\Let's go get Prez!\Yeah, that's right. Let's go get her.\Count us in.\Yeah.\Let us go, everyone!\Yeah!\As expected from the rich school. response:	A shower room attached to the Student Council Room is just unreal.
context: Let's go get Prez!\Yeah, that's right. Let's go get her.\Count us in.\Yeah.\Let us go, everyone!\Yeah!\As expected from the rich school.\A shower room attached to the Student Council Room is just unreal. response:	More like, why am I doing this?
context: Yeah, that's right. Let's go get her.\Count us in.\Yeah.\Let us go, everyone!\Yeah!\As expected from the rich school.\A shower room attached to the Student Council Room is just unreal.\More like, why am I doing this? response:	It's gone! I'm sure I put it here.
context: Count us in.\Yeah.\Let us go, everyone!\Yeah!\As expected from the rich school.\A shower room attached to the Student Council Room is just unreal.\More like, why am I doing this?\It's gone! I'm sure I put it here. response:	Was it another locker?
context: Yeah.\Let us go, everyone!\Yeah!\As expected from the rich school.\A shower room attached to the Student Council Room is just unreal.\More like, why am I doing this?\It's gone! I'm sure I put it here.\Was it another locker? response:	It's not even this.
context: Let us go, everyone!\Yeah!\As expected from the rich school.\A shower room attached to the Student Council Room is just unreal.\More like, why am I doing this?\It's gone! I'm sure I put it here.\Was it another locker?\It's not even this. response:	There it is!
context: Yeah!\As expected from the rich school.\A shower room attached to the Student Council Room is just unreal.\More like, why am I doing this?\It's gone! I'm sure I put it here.\Was it another locker?\It's not even this.\There it is! response:	This is...
context: As expected from the rich school.\A shower room attached to the Student Council Room is just unreal.\More like, why am I doing this?\It's gone! I'm sure I put it here.\Was it another locker?\It's not even this.\There it is!\This is... response:	Ayuzawa-san, are you all right?
context: A shower room attached to the Student Council Room is just unreal.\More like, why am I doing this?\It's gone! I'm sure I put it here.\Was it another locker?\It's not even this.\There it is!\This is...\Ayuzawa-san, are you all right? response:	Um, I can't seem to find my uniform.
context: More like, why am I doing this?\It's gone! I'm sure I put it here.\Was it another locker?\It's not even this.\There it is!\This is...\Ayuzawa-san, are you all right?\Um, I can't seem to find my uniform. response:	Ah. I asked a girl to take it to the dry cleaning so it doesn't get stained.
context: It's gone! I'm sure I put it here.\Was it another locker?\It's not even this.\There it is!\This is...\Ayuzawa-san, are you all right?\Um, I can't seem to find my uniform.\Ah. I asked a girl to take it to the dry cleaning so it doesn't get stained. response:	Um, then what am I supposed to wear?
context: Was it another locker?\It's not even this.\There it is!\This is...\Ayuzawa-san, are you all right?\Um, I can't seem to find my uniform.\Ah. I asked a girl to take it to the dry cleaning so it doesn't get stained.\Um, then what am I supposed to wear? response:	There's something there for you, isn't there?
