context: If I saw everyone again right now... response:	I know that I'd depend on them just as much as I did back then.
context: What are you doing?\Citron bath salts.\They have a great scent, don't you think?\You don't need to worry so much. I'm fine now.\It's hot...\I put out a towel for you, young master.\Nana...\There are so many things I wanna talk to you about now. response:	But in this apartment, all I can see are memories.
context: Citron bath salts.\They have a great scent, don't you think?\You don't need to worry so much. I'm fine now.\It's hot...\I put out a towel for you, young master.\Nana...\There are so many things I wanna talk to you about now.\But in this apartment, all I can see are memories. response:	- What's this?! It's awesome! - Super view!
context: They have a great scent, don't you think?\You don't need to worry so much. I'm fine now.\It's hot...\I put out a towel for you, young master.\Nana...\There are so many things I wanna talk to you about now.\But in this apartment, all I can see are memories.\- What's this?! It's awesome! - Super view! response:	If we can see them from the room,
context: You don't need to worry so much. I'm fine now.\It's hot...\I put out a towel for you, young master.\Nana...\There are so many things I wanna talk to you about now.\But in this apartment, all I can see are memories.\- What's this?! It's awesome! - Super view!\If we can see them from the room, response:	I guess there was no need for the disguises.
context: It's hot...\I put out a towel for you, young master.\Nana...\There are so many things I wanna talk to you about now.\But in this apartment, all I can see are memories.\- What's this?! It's awesome! - Super view!\If we can see them from the room,\I guess there was no need for the disguises. response:	Yeah.
context: I put out a towel for you, young master.\Nana...\There are so many things I wanna talk to you about now.\But in this apartment, all I can see are memories.\- What's this?! It's awesome! - Super view!\If we can see them from the room,\I guess there was no need for the disguises.\Yeah. response:	Hey! Where's Hachiko?! Why isn't she here?!
context: Nana...\There are so many things I wanna talk to you about now.\But in this apartment, all I can see are memories.\- What's this?! It's awesome! - Super view!\If we can see them from the room,\I guess there was no need for the disguises.\Yeah.\Hey! Where's Hachiko?! Why isn't she here?! response:	Maybe Takumi found out and told her not to come.
context: There are so many things I wanna talk to you about now.\But in this apartment, all I can see are memories.\- What's this?! It's awesome! - Super view!\If we can see them from the room,\I guess there was no need for the disguises.\Yeah.\Hey! Where's Hachiko?! Why isn't she here?!\Maybe Takumi found out and told her not to come. response:	Nah. That guy's not one to fuss over something like going to see fireworks.
context: But in this apartment, all I can see are memories.\- What's this?! It's awesome! - Super view!\If we can see them from the room,\I guess there was no need for the disguises.\Yeah.\Hey! Where's Hachiko?! Why isn't she here?!\Maybe Takumi found out and told her not to come.\Nah. That guy's not one to fuss over something like going to see fireworks. response:	She'll be here eventually. No news is proof that she's safe.
context: - What's this?! It's awesome! - Super view!\If we can see them from the room,\I guess there was no need for the disguises.\Yeah.\Hey! Where's Hachiko?! Why isn't she here?!\Maybe Takumi found out and told her not to come.\Nah. That guy's not one to fuss over something like going to see fireworks.\She'll be here eventually. No news is proof that she's safe. response:	No, it's proof that something's wrong!
context: If we can see them from the room,\I guess there was no need for the disguises.\Yeah.\Hey! Where's Hachiko?! Why isn't she here?!\Maybe Takumi found out and told her not to come.\Nah. That guy's not one to fuss over something like going to see fireworks.\She'll be here eventually. No news is proof that she's safe.\No, it's proof that something's wrong! response:	I have to get going. Everyone's waiting.
context: I guess there was no need for the disguises.\Yeah.\Hey! Where's Hachiko?! Why isn't she here?!\Maybe Takumi found out and told her not to come.\Nah. That guy's not one to fuss over something like going to see fireworks.\She'll be here eventually. No news is proof that she's safe.\No, it's proof that something's wrong!\I have to get going. Everyone's waiting. response:	If I break this promise, I will be a traitor for sure this time.
context: Yeah.\Hey! Where's Hachiko?! Why isn't she here?!\Maybe Takumi found out and told her not to come.\Nah. That guy's not one to fuss over something like going to see fireworks.\She'll be here eventually. No news is proof that she's safe.\No, it's proof that something's wrong!\I have to get going. Everyone's waiting.\If I break this promise, I will be a traitor for sure this time. response:	But I can't stop crying.
context: Hey! Where's Hachiko?! Why isn't she here?!\Maybe Takumi found out and told her not to come.\Nah. That guy's not one to fuss over something like going to see fireworks.\She'll be here eventually. No news is proof that she's safe.\No, it's proof that something's wrong!\I have to get going. Everyone's waiting.\If I break this promise, I will be a traitor for sure this time.\But I can't stop crying. response:	Bye.
context: Maybe Takumi found out and told her not to come.\Nah. That guy's not one to fuss over something like going to see fireworks.\She'll be here eventually. No news is proof that she's safe.\No, it's proof that something's wrong!\I have to get going. Everyone's waiting.\If I break this promise, I will be a traitor for sure this time.\But I can't stop crying.\Bye. response:	I thought I'd feel better once we talked things over.
context: Nah. That guy's not one to fuss over something like going to see fireworks.\She'll be here eventually. No news is proof that she's safe.\No, it's proof that something's wrong!\I have to get going. Everyone's waiting.\If I break this promise, I will be a traitor for sure this time.\But I can't stop crying.\Bye.\I thought I'd feel better once we talked things over. response:	But now I realize that
context: She'll be here eventually. No news is proof that she's safe.\No, it's proof that something's wrong!\I have to get going. Everyone's waiting.\If I break this promise, I will be a traitor for sure this time.\But I can't stop crying.\Bye.\I thought I'd feel better once we talked things over.\But now I realize that response:	I felt the most comfortable when I was with Shoji.
context: No, it's proof that something's wrong!\I have to get going. Everyone's waiting.\If I break this promise, I will be a traitor for sure this time.\But I can't stop crying.\Bye.\I thought I'd feel better once we talked things over.\But now I realize that\I felt the most comfortable when I was with Shoji. response:	We were good friends before we went out.
context: I have to get going. Everyone's waiting.\If I break this promise, I will be a traitor for sure this time.\But I can't stop crying.\Bye.\I thought I'd feel better once we talked things over.\But now I realize that\I felt the most comfortable when I was with Shoji.\We were good friends before we went out. response:	I thought that once the break-up drama died down
context: If I break this promise, I will be a traitor for sure this time.\But I can't stop crying.\Bye.\I thought I'd feel better once we talked things over.\But now I realize that\I felt the most comfortable when I was with Shoji.\We were good friends before we went out.\I thought that once the break-up drama died down response:	things could go back to the way they used to be.
context: But I can't stop crying.\Bye.\I thought I'd feel better once we talked things over.\But now I realize that\I felt the most comfortable when I was with Shoji.\We were good friends before we went out.\I thought that once the break-up drama died down\things could go back to the way they used to be. response:	But now I've really lost him forever.
context: Bye.\I thought I'd feel better once we talked things over.\But now I realize that\I felt the most comfortable when I was with Shoji.\We were good friends before we went out.\I thought that once the break-up drama died down\things could go back to the way they used to be.\But now I've really lost him forever. response:	I should've treasured him more back then.
context: I thought I'd feel better once we talked things over.\But now I realize that\I felt the most comfortable when I was with Shoji.\We were good friends before we went out.\I thought that once the break-up drama died down\things could go back to the way they used to be.\But now I've really lost him forever.\I should've treasured him more back then. response:	SHIN
context: But now I realize that\I felt the most comfortable when I was with Shoji.\We were good friends before we went out.\I thought that once the break-up drama died down\things could go back to the way they used to be.\But now I've really lost him forever.\I should've treasured him more back then.\SHIN response:	What should I do?
context: I felt the most comfortable when I was with Shoji.\We were good friends before we went out.\I thought that once the break-up drama died down\things could go back to the way they used to be.\But now I've really lost him forever.\I should've treasured him more back then.\SHIN\What should I do? response:	If I see Nobu now,
context: We were good friends before we went out.\I thought that once the break-up drama died down\things could go back to the way they used to be.\But now I've really lost him forever.\I should've treasured him more back then.\SHIN\What should I do?\If I see Nobu now, response:	there's no way I could talk to him and act normal.
context: I thought that once the break-up drama died down\things could go back to the way they used to be.\But now I've really lost him forever.\I should've treasured him more back then.\SHIN\What should I do?\If I see Nobu now,\there's no way I could talk to him and act normal. response:	I'll get sad and start crying all over again.
context: things could go back to the way they used to be.\But now I've really lost him forever.\I should've treasured him more back then.\SHIN\What should I do?\If I see Nobu now,\there's no way I could talk to him and act normal.\I'll get sad and start crying all over again. response:	Those with a record must refrain, you know.
context: But now I've really lost him forever.\I should've treasured him more back then.\SHIN\What should I do?\If I see Nobu now,\there's no way I could talk to him and act normal.\I'll get sad and start crying all over again.\Those with a record must refrain, you know. response:	What should I do?
context: I should've treasured him more back then.\SHIN\What should I do?\If I see Nobu now,\there's no way I could talk to him and act normal.\I'll get sad and start crying all over again.\Those with a record must refrain, you know.\What should I do? response:	But I don't ever wanna betray them again without saying anything.
context: SHIN\What should I do?\If I see Nobu now,\there's no way I could talk to him and act normal.\I'll get sad and start crying all over again.\Those with a record must refrain, you know.\What should I do?\But I don't ever wanna betray them again without saying anything. response:	If I can't go, then I've gotta tell them that.
context: What should I do?\If I see Nobu now,\there's no way I could talk to him and act normal.\I'll get sad and start crying all over again.\Those with a record must refrain, you know.\What should I do?\But I don't ever wanna betray them again without saying anything.\If I can't go, then I've gotta tell them that. response:	Hello, Hachiko?
context: If I see Nobu now,\there's no way I could talk to him and act normal.\I'll get sad and start crying all over again.\Those with a record must refrain, you know.\What should I do?\But I don't ever wanna betray them again without saying anything.\If I can't go, then I've gotta tell them that.\Hello, Hachiko? response:	Nana?
context: there's no way I could talk to him and act normal.\I'll get sad and start crying all over again.\Those with a record must refrain, you know.\What should I do?\But I don't ever wanna betray them again without saying anything.\If I can't go, then I've gotta tell them that.\Hello, Hachiko?\Nana? response:	Where are you?
context: I'll get sad and start crying all over again.\Those with a record must refrain, you know.\What should I do?\But I don't ever wanna betray them again without saying anything.\If I can't go, then I've gotta tell them that.\Hello, Hachiko?\Nana?\Where are you? response:	Near Jackson's.
context: Those with a record must refrain, you know.\What should I do?\But I don't ever wanna betray them again without saying anything.\If I can't go, then I've gotta tell them that.\Hello, Hachiko?\Nana?\Where are you?\Near Jackson's. response:	I see. Well, hurry up! The fireworks have already started.
context: What should I do?\But I don't ever wanna betray them again without saying anything.\If I can't go, then I've gotta tell them that.\Hello, Hachiko?\Nana?\Where are you?\Near Jackson's.\I see. Well, hurry up! The fireworks have already started. response:	I'm sorry. I don't think... I can go...
context: But I don't ever wanna betray them again without saying anything.\If I can't go, then I've gotta tell them that.\Hello, Hachiko?\Nana?\Where are you?\Near Jackson's.\I see. Well, hurry up! The fireworks have already started.\I'm sorry. I don't think... I can go... response:	Why not?!
context: If I can't go, then I've gotta tell them that.\Hello, Hachiko?\Nana?\Where are you?\Near Jackson's.\I see. Well, hurry up! The fireworks have already started.\I'm sorry. I don't think... I can go...\Why not?! response:	Hey, why are you crying? Is something wrong?
context: Hello, Hachiko?\Nana?\Where are you?\Near Jackson's.\I see. Well, hurry up! The fireworks have already started.\I'm sorry. I don't think... I can go...\Why not?!\Hey, why are you crying? Is something wrong? response:	I'm so,.,
context: Nana?\Where are you?\Near Jackson's.\I see. Well, hurry up! The fireworks have already started.\I'm sorry. I don't think... I can go...\Why not?!\Hey, why are you crying? Is something wrong?\I'm so,., response:	It's all right. Nobuo isn't here.
context: Where are you?\Near Jackson's.\I see. Well, hurry up! The fireworks have already started.\I'm sorry. I don't think... I can go...\Why not?!\Hey, why are you crying? Is something wrong?\I'm so,.,\It's all right. Nobuo isn't here. response:	You know, that guy's got no guts.
context: Near Jackson's.\I see. Well, hurry up! The fireworks have already started.\I'm sorry. I don't think... I can go...\Why not?!\Hey, why are you crying? Is something wrong?\I'm so,.,\It's all right. Nobuo isn't here.\You know, that guy's got no guts. response:	He backed out at the last minute. What a chicken.
context: I see. Well, hurry up! The fireworks have already started.\I'm sorry. I don't think... I can go...\Why not?!\Hey, why are you crying? Is something wrong?\I'm so,.,\It's all right. Nobuo isn't here.\You know, that guy's got no guts.\He backed out at the last minute. What a chicken. response:	THAT'S TRUE He backed out at the last minute. What a chicken.
context: I'm sorry. I don't think... I can go...\Why not?!\Hey, why are you crying? Is something wrong?\I'm so,.,\It's all right. Nobuo isn't here.\You know, that guy's got no guts.\He backed out at the last minute. What a chicken.\THAT'S TRUE He backed out at the last minute. What a chicken. response:	He backed out at the last minute. What a chicken.
context: Why not?!\Hey, why are you crying? Is something wrong?\I'm so,.,\It's all right. Nobuo isn't here.\You know, that guy's got no guts.\He backed out at the last minute. What a chicken.\THAT'S TRUE He backed out at the last minute. What a chicken.\He backed out at the last minute. What a chicken. response:	So you've got nothing to worry about. Hurry on over.
context: Hey, why are you crying? Is something wrong?\I'm so,.,\It's all right. Nobuo isn't here.\You know, that guy's got no guts.\He backed out at the last minute. What a chicken.\THAT'S TRUE He backed out at the last minute. What a chicken.\He backed out at the last minute. What a chicken.\So you've got nothing to worry about. Hurry on over. response:	Shin and Yasu are really looking forward to seeing you!
context: I'm so,.,\It's all right. Nobuo isn't here.\You know, that guy's got no guts.\He backed out at the last minute. What a chicken.\THAT'S TRUE He backed out at the last minute. What a chicken.\He backed out at the last minute. What a chicken.\So you've got nothing to worry about. Hurry on over.\Shin and Yasu are really looking forward to seeing you! response:	Don't be so cold by telling us you can't come now.
context: It's all right. Nobuo isn't here.\You know, that guy's got no guts.\He backed out at the last minute. What a chicken.\THAT'S TRUE He backed out at the last minute. What a chicken.\He backed out at the last minute. What a chicken.\So you've got nothing to worry about. Hurry on over.\Shin and Yasu are really looking forward to seeing you!\Don't be so cold by telling us you can't come now. response:	I wanna see you, Hachiko. So hurry.
context: You know, that guy's got no guts.\He backed out at the last minute. What a chicken.\THAT'S TRUE He backed out at the last minute. What a chicken.\He backed out at the last minute. What a chicken.\So you've got nothing to worry about. Hurry on over.\Shin and Yasu are really looking forward to seeing you!\Don't be so cold by telling us you can't come now.\I wanna see you, Hachiko. So hurry. response:	Okay.
context: He backed out at the last minute. What a chicken.\THAT'S TRUE He backed out at the last minute. What a chicken.\He backed out at the last minute. What a chicken.\So you've got nothing to worry about. Hurry on over.\Shin and Yasu are really looking forward to seeing you!\Don't be so cold by telling us you can't come now.\I wanna see you, Hachiko. So hurry.\Okay. response:	Where are you going, Nobuo?
context: THAT'S TRUE He backed out at the last minute. What a chicken.\He backed out at the last minute. What a chicken.\So you've got nothing to worry about. Hurry on over.\Shin and Yasu are really looking forward to seeing you!\Don't be so cold by telling us you can't come now.\I wanna see you, Hachiko. So hurry.\Okay.\Where are you going, Nobuo? response:	I'm going home.
context: He backed out at the last minute. What a chicken.\So you've got nothing to worry about. Hurry on over.\Shin and Yasu are really looking forward to seeing you!\Don't be so cold by telling us you can't come now.\I wanna see you, Hachiko. So hurry.\Okay.\Where are you going, Nobuo?\I'm going home. response:	If she says she doesn't wanna see me, then I can't stay.
context: So you've got nothing to worry about. Hurry on over.\Shin and Yasu are really looking forward to seeing you!\Don't be so cold by telling us you can't come now.\I wanna see you, Hachiko. So hurry.\Okay.\Where are you going, Nobuo?\I'm going home.\If she says she doesn't wanna see me, then I can't stay. response:	She didn't say that!
context: Shin and Yasu are really looking forward to seeing you!\Don't be so cold by telling us you can't come now.\I wanna see you, Hachiko. So hurry.\Okay.\Where are you going, Nobuo?\I'm going home.\If she says she doesn't wanna see me, then I can't stay.\She didn't say that! response:	She says she's scared to see you. Hachi's still in love with you!
context: Don't be so cold by telling us you can't come now.\I wanna see you, Hachiko. So hurry.\Okay.\Where are you going, Nobuo?\I'm going home.\If she says she doesn't wanna see me, then I can't stay.\She didn't say that!\She says she's scared to see you. Hachi's still in love with you! response:	Stop twisting things around to how you want them to be!
context: I wanna see you, Hachiko. So hurry.\Okay.\Where are you going, Nobuo?\I'm going home.\If she says she doesn't wanna see me, then I can't stay.\She didn't say that!\She says she's scared to see you. Hachi's still in love with you!\Stop twisting things around to how you want them to be! response:	No, I just know what it's like to be so scared
context: Okay.\Where are you going, Nobuo?\I'm going home.\If she says she doesn't wanna see me, then I can't stay.\She didn't say that!\She says she's scared to see you. Hachi's still in love with you!\Stop twisting things around to how you want them to be!\No, I just know what it's like to be so scared response:	of being swept away again!!
context: Where are you going, Nobuo?\I'm going home.\If she says she doesn't wanna see me, then I can't stay.\She didn't say that!\She says she's scared to see you. Hachi's still in love with you!\Stop twisting things around to how you want them to be!\No, I just know what it's like to be so scared\of being swept away again!! response:	She's marrying Takumi in two weeks.
context: I'm going home.\If she says she doesn't wanna see me, then I can't stay.\She didn't say that!\She says she's scared to see you. Hachi's still in love with you!\Stop twisting things around to how you want them to be!\No, I just know what it's like to be so scared\of being swept away again!!\She's marrying Takumi in two weeks. response:	It's right around the corner.
context: If she says she doesn't wanna see me, then I can't stay.\She didn't say that!\She says she's scared to see you. Hachi's still in love with you!\Stop twisting things around to how you want them to be!\No, I just know what it's like to be so scared\of being swept away again!!\She's marrying Takumi in two weeks.\It's right around the corner. response:	But if you two fell back in love now,
context: She didn't say that!\She says she's scared to see you. Hachi's still in love with you!\Stop twisting things around to how you want them to be!\No, I just know what it's like to be so scared\of being swept away again!!\She's marrying Takumi in two weeks.\It's right around the corner.\But if you two fell back in love now, response:	Hachi would be stuck in an impossible situation!
context: She says she's scared to see you. Hachi's still in love with you!\Stop twisting things around to how you want them to be!\No, I just know what it's like to be so scared\of being swept away again!!\She's marrying Takumi in two weeks.\It's right around the corner.\But if you two fell back in love now,\Hachi would be stuck in an impossible situation! response:	Of course she's scared!
context: Stop twisting things around to how you want them to be!\No, I just know what it's like to be so scared\of being swept away again!!\She's marrying Takumi in two weeks.\It's right around the corner.\But if you two fell back in love now,\Hachi would be stuck in an impossible situation!\Of course she's scared! response:	All the more reason why I shouldn't see her.
context: No, I just know what it's like to be so scared\of being swept away again!!\She's marrying Takumi in two weeks.\It's right around the corner.\But if you two fell back in love now,\Hachi would be stuck in an impossible situation!\Of course she's scared!\All the more reason why I shouldn't see her. response:	Can't you just get stuck with her?!
context: of being swept away again!!\She's marrying Takumi in two weeks.\It's right around the corner.\But if you two fell back in love now,\Hachi would be stuck in an impossible situation!\Of course she's scared!\All the more reason why I shouldn't see her.\Can't you just get stuck with her?! response:	Forget it.
context: She's marrying Takumi in two weeks.\It's right around the corner.\But if you two fell back in love now,\Hachi would be stuck in an impossible situation!\Of course she's scared!\All the more reason why I shouldn't see her.\Can't you just get stuck with her?!\Forget it. response:	After all, you probably just wanted to comfort Hachi
context: It's right around the corner.\But if you two fell back in love now,\Hachi would be stuck in an impossible situation!\Of course she's scared!\All the more reason why I shouldn't see her.\Can't you just get stuck with her?!\Forget it.\After all, you probably just wanted to comfort Hachi response:	who had been dumped by her old boyfriend
context: But if you two fell back in love now,\Hachi would be stuck in an impossible situation!\Of course she's scared!\All the more reason why I shouldn't see her.\Can't you just get stuck with her?!\Forget it.\After all, you probably just wanted to comfort Hachi\who had been dumped by her old boyfriend response:	and was being used by Takumi.
context: Hachi would be stuck in an impossible situation!\Of course she's scared!\All the more reason why I shouldn't see her.\Can't you just get stuck with her?!\Forget it.\After all, you probably just wanted to comfort Hachi\who had been dumped by her old boyfriend\and was being used by Takumi. response:	- You never really loved her. - I do love her!
context: Of course she's scared!\All the more reason why I shouldn't see her.\Can't you just get stuck with her?!\Forget it.\After all, you probably just wanted to comfort Hachi\who had been dumped by her old boyfriend\and was being used by Takumi.\- You never really loved her. - I do love her! response:	What do you know?!
context: All the more reason why I shouldn't see her.\Can't you just get stuck with her?!\Forget it.\After all, you probably just wanted to comfort Hachi\who had been dumped by her old boyfriend\and was being used by Takumi.\- You never really loved her. - I do love her!\What do you know?! response:	But now you love that girl next door, right?
context: Can't you just get stuck with her?!\Forget it.\After all, you probably just wanted to comfort Hachi\who had been dumped by her old boyfriend\and was being used by Takumi.\- You never really loved her. - I do love her!\What do you know?!\But now you love that girl next door, right? response:	I hear that girl has the same condition as me.
context: Forget it.\After all, you probably just wanted to comfort Hachi\who had been dumped by her old boyfriend\and was being used by Takumi.\- You never really loved her. - I do love her!\What do you know?!\But now you love that girl next door, right?\I hear that girl has the same condition as me. response:	She can't even go to work without her medication.
context: After all, you probably just wanted to comfort Hachi\who had been dumped by her old boyfriend\and was being used by Takumi.\- You never really loved her. - I do love her!\What do you know?!\But now you love that girl next door, right?\I hear that girl has the same condition as me.\She can't even go to work without her medication. response:	So what? She's trying her best in spite of that!
context: who had been dumped by her old boyfriend\and was being used by Takumi.\- You never really loved her. - I do love her!\What do you know?!\But now you love that girl next door, right?\I hear that girl has the same condition as me.\She can't even go to work without her medication.\So what? She's trying her best in spite of that! response:	Since long ago, you've always loved helping girls
context: and was being used by Takumi.\- You never really loved her. - I do love her!\What do you know?!\But now you love that girl next door, right?\I hear that girl has the same condition as me.\She can't even go to work without her medication.\So what? She's trying her best in spite of that!\Since long ago, you've always loved helping girls response:	who are stuck in some sort of situation you had absolutely nothing to do with.
context: - You never really loved her. - I do love her!\What do you know?!\But now you love that girl next door, right?\I hear that girl has the same condition as me.\She can't even go to work without her medication.\So what? She's trying her best in spite of that!\Since long ago, you've always loved helping girls\who are stuck in some sort of situation you had absolutely nothing to do with. response:	That way, you can always play the part of the hero, right?
context: What do you know?!\But now you love that girl next door, right?\I hear that girl has the same condition as me.\She can't even go to work without her medication.\So what? She's trying her best in spite of that!\Since long ago, you've always loved helping girls\who are stuck in some sort of situation you had absolutely nothing to do with.\That way, you can always play the part of the hero, right? response:	Nana, cut it out.
context: But now you love that girl next door, right?\I hear that girl has the same condition as me.\She can't even go to work without her medication.\So what? She's trying her best in spite of that!\Since long ago, you've always loved helping girls\who are stuck in some sort of situation you had absolutely nothing to do with.\That way, you can always play the part of the hero, right?\Nana, cut it out. response:	But then, the moment you feel you're being pulled in,
context: I hear that girl has the same condition as me.\She can't even go to work without her medication.\So what? She's trying her best in spite of that!\Since long ago, you've always loved helping girls\who are stuck in some sort of situation you had absolutely nothing to do with.\That way, you can always play the part of the hero, right?\Nana, cut it out.\But then, the moment you feel you're being pulled in, response:	you let go of her hand.
context: She can't even go to work without her medication.\So what? She's trying her best in spite of that!\Since long ago, you've always loved helping girls\who are stuck in some sort of situation you had absolutely nothing to do with.\That way, you can always play the part of the hero, right?\Nana, cut it out.\But then, the moment you feel you're being pulled in,\you let go of her hand. response:	Nobu, she's just provoking you. Don't mind her.
context: So what? She's trying her best in spite of that!\Since long ago, you've always loved helping girls\who are stuck in some sort of situation you had absolutely nothing to do with.\That way, you can always play the part of the hero, right?\Nana, cut it out.\But then, the moment you feel you're being pulled in,\you let go of her hand.\Nobu, she's just provoking you. Don't mind her. response:	What an easygoing form of love.
context: Since long ago, you've always loved helping girls\who are stuck in some sort of situation you had absolutely nothing to do with.\That way, you can always play the part of the hero, right?\Nana, cut it out.\But then, the moment you feel you're being pulled in,\you let go of her hand.\Nobu, she's just provoking you. Don't mind her.\What an easygoing form of love. response:	Nana can be really cruel.
context: who are stuck in some sort of situation you had absolutely nothing to do with.\That way, you can always play the part of the hero, right?\Nana, cut it out.\But then, the moment you feel you're being pulled in,\you let go of her hand.\Nobu, she's just provoking you. Don't mind her.\What an easygoing form of love.\Nana can be really cruel. response:	She's purposely trying to push them into an impossible situation.
context: That way, you can always play the part of the hero, right?\Nana, cut it out.\But then, the moment you feel you're being pulled in,\you let go of her hand.\Nobu, she's just provoking you. Don't mind her.\What an easygoing form of love.\Nana can be really cruel.\She's purposely trying to push them into an impossible situation. response:	Of course, Nobu would react
context: Nana, cut it out.\But then, the moment you feel you're being pulled in,\you let go of her hand.\Nobu, she's just provoking you. Don't mind her.\What an easygoing form of love.\Nana can be really cruel.\She's purposely trying to push them into an impossible situation.\Of course, Nobu would react response:	and get serious from the way he was confronted.
context: But then, the moment you feel you're being pulled in,\you let go of her hand.\Nobu, she's just provoking you. Don't mind her.\What an easygoing form of love.\Nana can be really cruel.\She's purposely trying to push them into an impossible situation.\Of course, Nobu would react\and get serious from the way he was confronted. response:	Hachi's gonna end up suffering even more.
context: you let go of her hand.\Nobu, she's just provoking you. Don't mind her.\What an easygoing form of love.\Nana can be really cruel.\She's purposely trying to push them into an impossible situation.\Of course, Nobu would react\and get serious from the way he was confronted.\Hachi's gonna end up suffering even more. response:	Nobu is a pacifist. He's always tried his hardest to choose
context: Nobu, she's just provoking you. Don't mind her.\What an easygoing form of love.\Nana can be really cruel.\She's purposely trying to push them into an impossible situation.\Of course, Nobu would react\and get serious from the way he was confronted.\Hachi's gonna end up suffering even more.\Nobu is a pacifist. He's always tried his hardest to choose response:	the path that would make everyone happy.
context: What an easygoing form of love.\Nana can be really cruel.\She's purposely trying to push them into an impossible situation.\Of course, Nobu would react\and get serious from the way he was confronted.\Hachi's gonna end up suffering even more.\Nobu is a pacifist. He's always tried his hardest to choose\the path that would make everyone happy. response:	I don't think trying to avoid conflict is the same as being easygoing.
context: Nana can be really cruel.\She's purposely trying to push them into an impossible situation.\Of course, Nobu would react\and get serious from the way he was confronted.\Hachi's gonna end up suffering even more.\Nobu is a pacifist. He's always tried his hardest to choose\the path that would make everyone happy.\I don't think trying to avoid conflict is the same as being easygoing. response:	I agree.
context: She's purposely trying to push them into an impossible situation.\Of course, Nobu would react\and get serious from the way he was confronted.\Hachi's gonna end up suffering even more.\Nobu is a pacifist. He's always tried his hardest to choose\the path that would make everyone happy.\I don't think trying to avoid conflict is the same as being easygoing.\I agree. response:	After all, it's a battle against his own desires.
context: Of course, Nobu would react\and get serious from the way he was confronted.\Hachi's gonna end up suffering even more.\Nobu is a pacifist. He's always tried his hardest to choose\the path that would make everyone happy.\I don't think trying to avoid conflict is the same as being easygoing.\I agree.\After all, it's a battle against his own desires. response:	What would you like?
context: and get serious from the way he was confronted.\Hachi's gonna end up suffering even more.\Nobu is a pacifist. He's always tried his hardest to choose\the path that would make everyone happy.\I don't think trying to avoid conflict is the same as being easygoing.\I agree.\After all, it's a battle against his own desires.\What would you like? response:	Miss? How many do you want?
context: Hachi's gonna end up suffering even more.\Nobu is a pacifist. He's always tried his hardest to choose\the path that would make everyone happy.\I don't think trying to avoid conflict is the same as being easygoing.\I agree.\After all, it's a battle against his own desires.\What would you like?\Miss? How many do you want? response:	Three.
context: Nobu is a pacifist. He's always tried his hardest to choose\the path that would make everyone happy.\I don't think trying to avoid conflict is the same as being easygoing.\I agree.\After all, it's a battle against his own desires.\What would you like?\Miss? How many do you want?\Three. response:	I'll do everything I can to make you happy.
context: the path that would make everyone happy.\I don't think trying to avoid conflict is the same as being easygoing.\I agree.\After all, it's a battle against his own desires.\What would you like?\Miss? How many do you want?\Three.\I'll do everything I can to make you happy. response:	I wanna see you, Hachiko.
context: I don't think trying to avoid conflict is the same as being easygoing.\I agree.\After all, it's a battle against his own desires.\What would you like?\Miss? How many do you want?\Three.\I'll do everything I can to make you happy.\I wanna see you, Hachiko. response:	So hurry.
context: I agree.\After all, it's a battle against his own desires.\What would you like?\Miss? How many do you want?\Three.\I'll do everything I can to make you happy.\I wanna see you, Hachiko.\So hurry. response:	If you two fell back in love now,
context: After all, it's a battle against his own desires.\What would you like?\Miss? How many do you want?\Three.\I'll do everything I can to make you happy.\I wanna see you, Hachiko.\So hurry.\If you two fell back in love now, response:	Hachi would be stuck in an impossible situation.
context: What would you like?\Miss? How many do you want?\Three.\I'll do everything I can to make you happy.\I wanna see you, Hachiko.\So hurry.\If you two fell back in love now,\Hachi would be stuck in an impossible situation. response:	It's been a while since I've watched fireworks.
context: Miss? How many do you want?\Three.\I'll do everything I can to make you happy.\I wanna see you, Hachiko.\So hurry.\If you two fell back in love now,\Hachi would be stuck in an impossible situation.\It's been a while since I've watched fireworks. response:	They sure are pretty.
context: Three.\I'll do everything I can to make you happy.\I wanna see you, Hachiko.\So hurry.\If you two fell back in love now,\Hachi would be stuck in an impossible situation.\It's been a while since I've watched fireworks.\They sure are pretty. response:	This is the first time I've ever had food from a food stand.
context: I'll do everything I can to make you happy.\I wanna see you, Hachiko.\So hurry.\If you two fell back in love now,\Hachi would be stuck in an impossible situation.\It's been a while since I've watched fireworks.\They sure are pretty.\This is the first time I've ever had food from a food stand. response:	It's pretty good!
context: I wanna see you, Hachiko.\So hurry.\If you two fell back in love now,\Hachi would be stuck in an impossible situation.\It's been a while since I've watched fireworks.\They sure are pretty.\This is the first time I've ever had food from a food stand.\It's pretty good! response:	But it's hard to eat with chopsticks.
context: So hurry.\If you two fell back in love now,\Hachi would be stuck in an impossible situation.\It's been a while since I've watched fireworks.\They sure are pretty.\This is the first time I've ever had food from a food stand.\It's pretty good!\But it's hard to eat with chopsticks. response:	I wonder if any of the stands have forks.
context: If you two fell back in love now,\Hachi would be stuck in an impossible situation.\It's been a while since I've watched fireworks.\They sure are pretty.\This is the first time I've ever had food from a food stand.\It's pretty good!\But it's hard to eat with chopsticks.\I wonder if any of the stands have forks. response:	D-Don't spoil him!
