context: Did you not hear me? I said to let me pass. response:	I have no business with you, Assassin.
context: You son of a...\How does that feel, Archer?\Even the three knight classes cannot move if space itself is immobilized.\This would appear to be checkmate.\I don't know which land's hero you were, but this is farewell.\What was that, Archer? If you wish to beg for your life, I can\Imbecile! I said, Dodge this, Caster!\That's... response:	I am the bone of my sword.
context: How does that feel, Archer?\Even the three knight classes cannot move if space itself is immobilized.\This would appear to be checkmate.\I don't know which land's hero you were, but this is farewell.\What was that, Archer? If you wish to beg for your life, I can\Imbecile! I said, Dodge this, Caster!\That's...\I am the bone of my sword. response:	Caladbolg!
context: Even the three knight classes cannot move if space itself is immobilized.\This would appear to be checkmate.\I don't know which land's hero you were, but this is farewell.\What was that, Archer? If you wish to beg for your life, I can\Imbecile! I said, Dodge this, Caster!\That's...\I am the bone of my sword.\Caladbolg! response:	It seems that matters do not progress as planned up there.
context: This would appear to be checkmate.\I don't know which land's hero you were, but this is farewell.\What was that, Archer? If you wish to beg for your life, I can\Imbecile! I said, Dodge this, Caster!\That's...\I am the bone of my sword.\Caladbolg!\It seems that matters do not progress as planned up there. response:	My Master is in peril, so I no longer have the luxury of concealing my true skill.
context: I don't know which land's hero you were, but this is farewell.\What was that, Archer? If you wish to beg for your life, I can\Imbecile! I said, Dodge this, Caster!\That's...\I am the bone of my sword.\Caladbolg!\It seems that matters do not progress as planned up there.\My Master is in peril, so I no longer have the luxury of concealing my true skill. response:	Even now, you will not reveal your Noble Phantasm.
context: What was that, Archer? If you wish to beg for your life, I can\Imbecile! I said, Dodge this, Caster!\That's...\I am the bone of my sword.\Caladbolg!\It seems that matters do not progress as planned up there.\My Master is in peril, so I no longer have the luxury of concealing my true skill.\Even now, you will not reveal your Noble Phantasm. response:	Your Master is unskilled, so you count on the strength of his luck?
context: Imbecile! I said, Dodge this, Caster!\That's...\I am the bone of my sword.\Caladbolg!\It seems that matters do not progress as planned up there.\My Master is in peril, so I no longer have the luxury of concealing my true skill.\Even now, you will not reveal your Noble Phantasm.\Your Master is unskilled, so you count on the strength of his luck? response:	Your trust in him is admirable.
context: That's...\I am the bone of my sword.\Caladbolg!\It seems that matters do not progress as planned up there.\My Master is in peril, so I no longer have the luxury of concealing my true skill.\Even now, you will not reveal your Noble Phantasm.\Your Master is unskilled, so you count on the strength of his luck?\Your trust in him is admirable. response:	I see that halfhearted measures cannot break it.
context: I am the bone of my sword.\Caladbolg!\It seems that matters do not progress as planned up there.\My Master is in peril, so I no longer have the luxury of concealing my true skill.\Even now, you will not reveal your Noble Phantasm.\Your Master is unskilled, so you count on the strength of his luck?\Your trust in him is admirable.\I see that halfhearted measures cannot break it. response:	However, that simply will not do.
context: Caladbolg!\It seems that matters do not progress as planned up there.\My Master is in peril, so I no longer have the luxury of concealing my true skill.\Even now, you will not reveal your Noble Phantasm.\Your Master is unskilled, so you count on the strength of his luck?\Your trust in him is admirable.\I see that halfhearted measures cannot break it.\However, that simply will not do. response:	You yield the advantage of higher ground? What are you playing at?
context: It seems that matters do not progress as planned up there.\My Master is in peril, so I no longer have the luxury of concealing my true skill.\Even now, you will not reveal your Noble Phantasm.\Your Master is unskilled, so you count on the strength of his luck?\Your trust in him is admirable.\I see that halfhearted measures cannot break it.\However, that simply will not do.\You yield the advantage of higher ground? What are you playing at? response:	I may have no true name, but I have devoted my life to the sword.
context: My Master is in peril, so I no longer have the luxury of concealing my true skill.\Even now, you will not reveal your Noble Phantasm.\Your Master is unskilled, so you count on the strength of his luck?\Your trust in him is admirable.\I see that halfhearted measures cannot break it.\However, that simply will not do.\You yield the advantage of higher ground? What are you playing at?\I may have no true name, but I have devoted my life to the sword. response:	If giving all for this fight is not an option,
context: Even now, you will not reveal your Noble Phantasm.\Your Master is unskilled, so you count on the strength of his luck?\Your trust in him is admirable.\I see that halfhearted measures cannot break it.\However, that simply will not do.\You yield the advantage of higher ground? What are you playing at?\I may have no true name, but I have devoted my life to the sword.\If giving all for this fight is not an option, response:	shall I break open that belief with brute force?
context: Your Master is unskilled, so you count on the strength of his luck?\Your trust in him is admirable.\I see that halfhearted measures cannot break it.\However, that simply will not do.\You yield the advantage of higher ground? What are you playing at?\I may have no true name, but I have devoted my life to the sword.\If giving all for this fight is not an option,\shall I break open that belief with brute force? response:	Concealed Sword!
context: Your trust in him is admirable.\I see that halfhearted measures cannot break it.\However, that simply will not do.\You yield the advantage of higher ground? What are you playing at?\I may have no true name, but I have devoted my life to the sword.\If giving all for this fight is not an option,\shall I break open that belief with brute force?\Concealed Sword! response:	Swallow Reversal!
context: I see that halfhearted measures cannot break it.\However, that simply will not do.\You yield the advantage of higher ground? What are you playing at?\I may have no true name, but I have devoted my life to the sword.\If giving all for this fight is not an option,\shall I break open that belief with brute force?\Concealed Sword!\Swallow Reversal! response:	Too late!
context: However, that simply will not do.\You yield the advantage of higher ground? What are you playing at?\I may have no true name, but I have devoted my life to the sword.\If giving all for this fight is not an option,\shall I break open that belief with brute force?\Concealed Sword!\Swallow Reversal!\Too late! response:	Archer, why do you not finish me off?
context: You yield the advantage of higher ground? What are you playing at?\I may have no true name, but I have devoted my life to the sword.\If giving all for this fight is not an option,\shall I break open that belief with brute force?\Concealed Sword!\Swallow Reversal!\Too late!\Archer, why do you not finish me off? response:	I said I would test you with a single blow, didn't I?
context: I may have no true name, but I have devoted my life to the sword.\If giving all for this fight is not an option,\shall I break open that belief with brute force?\Concealed Sword!\Swallow Reversal!\Too late!\Archer, why do you not finish me off?\I said I would test you with a single blow, didn't I? response:	You do not intend to kill me, then?
context: If giving all for this fight is not an option,\shall I break open that belief with brute force?\Concealed Sword!\Swallow Reversal!\Too late!\Archer, why do you not finish me off?\I said I would test you with a single blow, didn't I?\You do not intend to kill me, then? response:	My objective was this boy.
context: shall I break open that belief with brute force?\Concealed Sword!\Swallow Reversal!\Too late!\Archer, why do you not finish me off?\I said I would test you with a single blow, didn't I?\You do not intend to kill me, then?\My objective was this boy. response:	My policy is to avoid unnecessary fighting.
context: Concealed Sword!\Swallow Reversal!\Too late!\Archer, why do you not finish me off?\I said I would test you with a single blow, didn't I?\You do not intend to kill me, then?\My objective was this boy.\My policy is to avoid unnecessary fighting. response:	Hey...
context: Swallow Reversal!\Too late!\Archer, why do you not finish me off?\I said I would test you with a single blow, didn't I?\You do not intend to kill me, then?\My objective was this boy.\My policy is to avoid unnecessary fighting.\Hey... response:	I see.
context: Too late!\Archer, why do you not finish me off?\I said I would test you with a single blow, didn't I?\You do not intend to kill me, then?\My objective was this boy.\My policy is to avoid unnecessary fighting.\Hey...\I see. response:	You two are quite alike, then.
context: Archer, why do you not finish me off?\I said I would test you with a single blow, didn't I?\You do not intend to kill me, then?\My objective was this boy.\My policy is to avoid unnecessary fighting.\Hey...\I see.\You two are quite alike, then. response:	That boy cannot abide a Servant like me, who feeds on the innocent.
context: I said I would test you with a single blow, didn't I?\You do not intend to kill me, then?\My objective was this boy.\My policy is to avoid unnecessary fighting.\Hey...\I see.\You two are quite alike, then.\That boy cannot abide a Servant like me, who feeds on the innocent. response:	And you dislike senseless slaughter.
context: You do not intend to kill me, then?\My objective was this boy.\My policy is to avoid unnecessary fighting.\Hey...\I see.\You two are quite alike, then.\That boy cannot abide a Servant like me, who feeds on the innocent.\And you dislike senseless slaughter. response:	See? You are completely the same.
context: My objective was this boy.\My policy is to avoid unnecessary fighting.\Hey...\I see.\You two are quite alike, then.\That boy cannot abide a Servant like me, who feeds on the innocent.\And you dislike senseless slaughter.\See? You are completely the same. response:	How am I anything like this jerk?
context: My policy is to avoid unnecessary fighting.\Hey...\I see.\You two are quite alike, then.\That boy cannot abide a Servant like me, who feeds on the innocent.\And you dislike senseless slaughter.\See? You are completely the same.\How am I anything like this jerk? response:	Agreed.
context: Hey...\I see.\You two are quite alike, then.\That boy cannot abide a Servant like me, who feeds on the innocent.\And you dislike senseless slaughter.\See? You are completely the same.\How am I anything like this jerk?\Agreed. response:	I admit we may both be pacifists, but for different reasons.
context: I see.\You two are quite alike, then.\That boy cannot abide a Servant like me, who feeds on the innocent.\And you dislike senseless slaughter.\See? You are completely the same.\How am I anything like this jerk?\Agreed.\I admit we may both be pacifists, but for different reasons. response:	You call yourself a pacifist?!
context: You two are quite alike, then.\That boy cannot abide a Servant like me, who feeds on the innocent.\And you dislike senseless slaughter.\See? You are completely the same.\How am I anything like this jerk?\Agreed.\I admit we may both be pacifists, but for different reasons.\You call yourself a pacifist?! response:	I haven't forgotten. You tried to destroy Saber along with Berserker!
context: That boy cannot abide a Servant like me, who feeds on the innocent.\And you dislike senseless slaughter.\See? You are completely the same.\How am I anything like this jerk?\Agreed.\I admit we may both be pacifists, but for different reasons.\You call yourself a pacifist?!\I haven't forgotten. You tried to destroy Saber along with Berserker! response:	That was before we entered into an alliance.
context: And you dislike senseless slaughter.\See? You are completely the same.\How am I anything like this jerk?\Agreed.\I admit we may both be pacifists, but for different reasons.\You call yourself a pacifist?!\I haven't forgotten. You tried to destroy Saber along with Berserker!\That was before we entered into an alliance. response:	Surely you don't expect me to save everything in sight.
context: See? You are completely the same.\How am I anything like this jerk?\Agreed.\I admit we may both be pacifists, but for different reasons.\You call yourself a pacifist?!\I haven't forgotten. You tried to destroy Saber along with Berserker!\That was before we entered into an alliance.\Surely you don't expect me to save everything in sight. response:	Thinking that way, even Berserker would be something to save, not defeat.
context: How am I anything like this jerk?\Agreed.\I admit we may both be pacifists, but for different reasons.\You call yourself a pacifist?!\I haven't forgotten. You tried to destroy Saber along with Berserker!\That was before we entered into an alliance.\Surely you don't expect me to save everything in sight.\Thinking that way, even Berserker would be something to save, not defeat. response:	I like you two!
context: Agreed.\I admit we may both be pacifists, but for different reasons.\You call yourself a pacifist?!\I haven't forgotten. You tried to destroy Saber along with Berserker!\That was before we entered into an alliance.\Surely you don't expect me to save everything in sight.\Thinking that way, even Berserker would be something to save, not defeat.\I like you two! response:	Your strengths and the ways you use them are unique.
context: I admit we may both be pacifists, but for different reasons.\You call yourself a pacifist?!\I haven't forgotten. You tried to destroy Saber along with Berserker!\That was before we entered into an alliance.\Surely you don't expect me to save everything in sight.\Thinking that way, even Berserker would be something to save, not defeat.\I like you two!\Your strengths and the ways you use them are unique. response:	Join forces with me.
context: You call yourself a pacifist?!\I haven't forgotten. You tried to destroy Saber along with Berserker!\That was before we entered into an alliance.\Surely you don't expect me to save everything in sight.\Thinking that way, even Berserker would be something to save, not defeat.\I like you two!\Your strengths and the ways you use them are unique.\Join forces with me. response:	I have a means to put an end to this war.
context: I haven't forgotten. You tried to destroy Saber along with Berserker!\That was before we entered into an alliance.\Surely you don't expect me to save everything in sight.\Thinking that way, even Berserker would be something to save, not defeat.\I like you two!\Your strengths and the ways you use them are unique.\Join forces with me.\I have a means to put an end to this war. response:	Never!
context: That was before we entered into an alliance.\Surely you don't expect me to save everything in sight.\Thinking that way, even Berserker would be something to save, not defeat.\I like you two!\Your strengths and the ways you use them are unique.\Join forces with me.\I have a means to put an end to this war.\Never! response:	I won't work with people like you!
context: Surely you don't expect me to save everything in sight.\Thinking that way, even Berserker would be something to save, not defeat.\I like you two!\Your strengths and the ways you use them are unique.\Join forces with me.\I have a means to put an end to this war.\Never!\I won't work with people like you! response:	Damn it, Archer! Hey!
context: Thinking that way, even Berserker would be something to save, not defeat.\I like you two!\Your strengths and the ways you use them are unique.\Join forces with me.\I have a means to put an end to this war.\Never!\I won't work with people like you!\Damn it, Archer! Hey! response:	I'll pass.
context: I like you two!\Your strengths and the ways you use them are unique.\Join forces with me.\I have a means to put an end to this war.\Never!\I won't work with people like you!\Damn it, Archer! Hey!\I'll pass. response:	Your team has limited fighting potential.
context: Your strengths and the ways you use them are unique.\Join forces with me.\I have a means to put an end to this war.\Never!\I won't work with people like you!\Damn it, Archer! Hey!\I'll pass.\Your team has limited fighting potential. response:	No matter how much power you gain, you are no match for Berserker.
context: Join forces with me.\I have a means to put an end to this war.\Never!\I won't work with people like you!\Damn it, Archer! Hey!\I'll pass.\Your team has limited fighting potential.\No matter how much power you gain, you are no match for Berserker. response:	What you offer isn't enough to ally myself with you.
context: I have a means to put an end to this war.\Never!\I won't work with people like you!\Damn it, Archer! Hey!\I'll pass.\Your team has limited fighting potential.\No matter how much power you gain, you are no match for Berserker.\What you offer isn't enough to ally myself with you. response:	I see. Negotiations have broken down, then.
context: Never!\I won't work with people like you!\Damn it, Archer! Hey!\I'll pass.\Your team has limited fighting potential.\No matter how much power you gain, you are no match for Berserker.\What you offer isn't enough to ally myself with you.\I see. Negotiations have broken down, then. response:	Correct. Besides, I've come here of my own volition.
context: I won't work with people like you!\Damn it, Archer! Hey!\I'll pass.\Your team has limited fighting potential.\No matter how much power you gain, you are no match for Berserker.\What you offer isn't enough to ally myself with you.\I see. Negotiations have broken down, then.\Correct. Besides, I've come here of my own volition. response:	My Master did not send me, so I have no reason to kill you.
context: Damn it, Archer! Hey!\I'll pass.\Your team has limited fighting potential.\No matter how much power you gain, you are no match for Berserker.\What you offer isn't enough to ally myself with you.\I see. Negotiations have broken down, then.\Correct. Besides, I've come here of my own volition.\My Master did not send me, so I have no reason to kill you. response:	Shall we call this a draw due to injury?
context: I'll pass.\Your team has limited fighting potential.\No matter how much power you gain, you are no match for Berserker.\What you offer isn't enough to ally myself with you.\I see. Negotiations have broken down, then.\Correct. Besides, I've come here of my own volition.\My Master did not send me, so I have no reason to kill you.\Shall we call this a draw due to injury? response:	Hey, now...
context: Your team has limited fighting potential.\No matter how much power you gain, you are no match for Berserker.\What you offer isn't enough to ally myself with you.\I see. Negotiations have broken down, then.\Correct. Besides, I've come here of my own volition.\My Master did not send me, so I have no reason to kill you.\Shall we call this a draw due to injury?\Hey, now... response:	I'm surprised.
context: No matter how much power you gain, you are no match for Berserker.\What you offer isn't enough to ally myself with you.\I see. Negotiations have broken down, then.\Correct. Besides, I've come here of my own volition.\My Master did not send me, so I have no reason to kill you.\Shall we call this a draw due to injury?\Hey, now...\I'm surprised. response:	Your Master has been hunting me, has she not?
context: What you offer isn't enough to ally myself with you.\I see. Negotiations have broken down, then.\Correct. Besides, I've come here of my own volition.\My Master did not send me, so I have no reason to kill you.\Shall we call this a draw due to injury?\Hey, now...\I'm surprised.\Your Master has been hunting me, has she not? response:	But still, you would let me go?
context: I see. Negotiations have broken down, then.\Correct. Besides, I've come here of my own volition.\My Master did not send me, so I have no reason to kill you.\Shall we call this a draw due to injury?\Hey, now...\I'm surprised.\Your Master has been hunting me, has she not?\But still, you would let me go? response:	Yes, it is no concern of mine how many you kill here.
context: Correct. Besides, I've come here of my own volition.\My Master did not send me, so I have no reason to kill you.\Shall we call this a draw due to injury?\Hey, now...\I'm surprised.\Your Master has been hunting me, has she not?\But still, you would let me go?\Yes, it is no concern of mine how many you kill here. response:	What a terrible man you are.
context: My Master did not send me, so I have no reason to kill you.\Shall we call this a draw due to injury?\Hey, now...\I'm surprised.\Your Master has been hunting me, has she not?\But still, you would let me go?\Yes, it is no concern of mine how many you kill here.\What a terrible man you are. response:	Wait a minute, Caster!
context: Shall we call this a draw due to injury?\Hey, now...\I'm surprised.\Your Master has been hunting me, has she not?\But still, you would let me go?\Yes, it is no concern of mine how many you kill here.\What a terrible man you are.\Wait a minute, Caster! response:	Archer, why did you let Caster go?
context: Hey, now...\I'm surprised.\Your Master has been hunting me, has she not?\But still, you would let me go?\Yes, it is no concern of mine how many you kill here.\What a terrible man you are.\Wait a minute, Caster!\Archer, why did you let Caster go? response:	Even if I'd struck her down, she'd have simply made her escape.
context: I'm surprised.\Your Master has been hunting me, has she not?\But still, you would let me go?\Yes, it is no concern of mine how many you kill here.\What a terrible man you are.\Wait a minute, Caster!\Archer, why did you let Caster go?\Even if I'd struck her down, she'd have simply made her escape. response:	To defeat Caster, we must get to her Master.
context: Your Master has been hunting me, has she not?\But still, you would let me go?\Yes, it is no concern of mine how many you kill here.\What a terrible man you are.\Wait a minute, Caster!\Archer, why did you let Caster go?\Even if I'd struck her down, she'd have simply made her escape.\To defeat Caster, we must get to her Master. response:	But all the problems happening in town are her doing.
context: But still, you would let me go?\Yes, it is no concern of mine how many you kill here.\What a terrible man you are.\Wait a minute, Caster!\Archer, why did you let Caster go?\Even if I'd struck her down, she'd have simply made her escape.\To defeat Caster, we must get to her Master.\But all the problems happening in town are her doing. response:	Until we stop her, victims will keep piling up.
context: Yes, it is no concern of mine how many you kill here.\What a terrible man you are.\Wait a minute, Caster!\Archer, why did you let Caster go?\Even if I'd struck her down, she'd have simply made her escape.\To defeat Caster, we must get to her Master.\But all the problems happening in town are her doing.\Until we stop her, victims will keep piling up. response:	On the contrary, I want to let her continue.
context: What a terrible man you are.\Wait a minute, Caster!\Archer, why did you let Caster go?\Even if I'd struck her down, she'd have simply made her escape.\To defeat Caster, we must get to her Master.\But all the problems happening in town are her doing.\Until we stop her, victims will keep piling up.\On the contrary, I want to let her continue. response:	Caster will keep draining people of life force, and will use that power to defeat Berserker.
context: Wait a minute, Caster!\Archer, why did you let Caster go?\Even if I'd struck her down, she'd have simply made her escape.\To defeat Caster, we must get to her Master.\But all the problems happening in town are her doing.\Until we stop her, victims will keep piling up.\On the contrary, I want to let her continue.\Caster will keep draining people of life force, and will use that power to defeat Berserker. response:	We'll deal with Caster afterward.
context: Archer, why did you let Caster go?\Even if I'd struck her down, she'd have simply made her escape.\To defeat Caster, we must get to her Master.\But all the problems happening in town are her doing.\Until we stop her, victims will keep piling up.\On the contrary, I want to let her continue.\Caster will keep draining people of life force, and will use that power to defeat Berserker.\We'll deal with Caster afterward. response:	Tohsaka would never agree to such a plan!
context: Even if I'd struck her down, she'd have simply made her escape.\To defeat Caster, we must get to her Master.\But all the problems happening in town are her doing.\Until we stop her, victims will keep piling up.\On the contrary, I want to let her continue.\Caster will keep draining people of life force, and will use that power to defeat Berserker.\We'll deal with Caster afterward.\Tohsaka would never agree to such a plan! response:	You're right, which is why I'd like Caster to settle matters as soon as possible.
context: To defeat Caster, we must get to her Master.\But all the problems happening in town are her doing.\Until we stop her, victims will keep piling up.\On the contrary, I want to let her continue.\Caster will keep draining people of life force, and will use that power to defeat Berserker.\We'll deal with Caster afterward.\Tohsaka would never agree to such a plan!\You're right, which is why I'd like Caster to settle matters as soon as possible. response:	I don't know how many will die, but humans are mortal, after all.
context: But all the problems happening in town are her doing.\Until we stop her, victims will keep piling up.\On the contrary, I want to let her continue.\Caster will keep draining people of life force, and will use that power to defeat Berserker.\We'll deal with Caster afterward.\Tohsaka would never agree to such a plan!\You're right, which is why I'd like Caster to settle matters as soon as possible.\I don't know how many will die, but humans are mortal, after all. response:	However they die, and at whose hands, the result is the same.
context: Until we stop her, victims will keep piling up.\On the contrary, I want to let her continue.\Caster will keep draining people of life force, and will use that power to defeat Berserker.\We'll deal with Caster afterward.\Tohsaka would never agree to such a plan!\You're right, which is why I'd like Caster to settle matters as soon as possible.\I don't know how many will die, but humans are mortal, after all.\However they die, and at whose hands, the result is the same. response:	You withstood my Concealed Sword.
context: On the contrary, I want to let her continue.\Caster will keep draining people of life force, and will use that power to defeat Berserker.\We'll deal with Caster afterward.\Tohsaka would never agree to such a plan!\You're right, which is why I'd like Caster to settle matters as soon as possible.\I don't know how many will die, but humans are mortal, after all.\However they die, and at whose hands, the result is the same.\You withstood my Concealed Sword. response:	It is not all that special as tricks go.
context: Caster will keep draining people of life force, and will use that power to defeat Berserker.\We'll deal with Caster afterward.\Tohsaka would never agree to such a plan!\You're right, which is why I'd like Caster to settle matters as soon as possible.\I don't know how many will die, but humans are mortal, after all.\However they die, and at whose hands, the result is the same.\You withstood my Concealed Sword.\It is not all that special as tricks go. response:	It's simply something I mastered when I thought to slay a sparrow.
context: We'll deal with Caster afterward.\Tohsaka would never agree to such a plan!\You're right, which is why I'd like Caster to settle matters as soon as possible.\I don't know how many will die, but humans are mortal, after all.\However they die, and at whose hands, the result is the same.\You withstood my Concealed Sword.\It is not all that special as tricks go.\It's simply something I mastered when I thought to slay a sparrow. response:	A flying swallow will not be caught by my sword, which is but a single line.
context: Tohsaka would never agree to such a plan!\You're right, which is why I'd like Caster to settle matters as soon as possible.\I don't know how many will die, but humans are mortal, after all.\However they die, and at whose hands, the result is the same.\You withstood my Concealed Sword.\It is not all that special as tricks go.\It's simply something I mastered when I thought to slay a sparrow.\A flying swallow will not be caught by my sword, which is but a single line. response:	But with two or three lines, matters change somewhat.
context: You're right, which is why I'd like Caster to settle matters as soon as possible.\I don't know how many will die, but humans are mortal, after all.\However they die, and at whose hands, the result is the same.\You withstood my Concealed Sword.\It is not all that special as tricks go.\It's simply something I mastered when I thought to slay a sparrow.\A flying swallow will not be caught by my sword, which is but a single line.\But with two or three lines, matters change somewhat. response:	However, swallows are swift little things.
context: I don't know how many will die, but humans are mortal, after all.\However they die, and at whose hands, the result is the same.\You withstood my Concealed Sword.\It is not all that special as tricks go.\It's simply something I mastered when I thought to slay a sparrow.\A flying swallow will not be caught by my sword, which is but a single line.\But with two or three lines, matters change somewhat.\However, swallows are swift little things. response:	To accomplish the feat, one must strike repeatedly within a single breath.
context: However they die, and at whose hands, the result is the same.\You withstood my Concealed Sword.\It is not all that special as tricks go.\It's simply something I mastered when I thought to slay a sparrow.\A flying swallow will not be caught by my sword, which is but a single line.\But with two or three lines, matters change somewhat.\However, swallows are swift little things.\To accomplish the feat, one must strike repeatedly within a single breath. response:	But that is beyond ordinary men's ability.
context: You withstood my Concealed Sword.\It is not all that special as tricks go.\It's simply something I mastered when I thought to slay a sparrow.\A flying swallow will not be caught by my sword, which is but a single line.\But with two or three lines, matters change somewhat.\However, swallows are swift little things.\To accomplish the feat, one must strike repeatedly within a single breath.\But that is beyond ordinary men's ability. response:	But unfortunately for you, I had nothing better to do.
context: It is not all that special as tricks go.\It's simply something I mastered when I thought to slay a sparrow.\A flying swallow will not be caught by my sword, which is but a single line.\But with two or three lines, matters change somewhat.\However, swallows are swift little things.\To accomplish the feat, one must strike repeatedly within a single breath.\But that is beyond ordinary men's ability.\But unfortunately for you, I had nothing better to do. response:	Mastery through endless repetition.
context: It's simply something I mastered when I thought to slay a sparrow.\A flying swallow will not be caught by my sword, which is but a single line.\But with two or three lines, matters change somewhat.\However, swallows are swift little things.\To accomplish the feat, one must strike repeatedly within a single breath.\But that is beyond ordinary men's ability.\But unfortunately for you, I had nothing better to do.\Mastery through endless repetition. response:	The next thing I knew, I had accomplished it.
context: A flying swallow will not be caught by my sword, which is but a single line.\But with two or three lines, matters change somewhat.\However, swallows are swift little things.\To accomplish the feat, one must strike repeatedly within a single breath.\But that is beyond ordinary men's ability.\But unfortunately for you, I had nothing better to do.\Mastery through endless repetition.\The next thing I knew, I had accomplished it. response:	That isn't right. Strike repeatedly within a single breath?
context: But with two or three lines, matters change somewhat.\However, swallows are swift little things.\To accomplish the feat, one must strike repeatedly within a single breath.\But that is beyond ordinary men's ability.\But unfortunately for you, I had nothing better to do.\Mastery through endless repetition.\The next thing I knew, I had accomplished it.\That isn't right. Strike repeatedly within a single breath? response:	Those blows were simultaneous.
context: However, swallows are swift little things.\To accomplish the feat, one must strike repeatedly within a single breath.\But that is beyond ordinary men's ability.\But unfortunately for you, I had nothing better to do.\Mastery through endless repetition.\The next thing I knew, I had accomplished it.\That isn't right. Strike repeatedly within a single breath?\Those blows were simultaneous. response:	At that instant, three swords existed.
context: To accomplish the feat, one must strike repeatedly within a single breath.\But that is beyond ordinary men's ability.\But unfortunately for you, I had nothing better to do.\Mastery through endless repetition.\The next thing I knew, I had accomplished it.\That isn't right. Strike repeatedly within a single breath?\Those blows were simultaneous.\At that instant, three swords existed. response:	As difficult as it is to believe...
context: But that is beyond ordinary men's ability.\But unfortunately for you, I had nothing better to do.\Mastery through endless repetition.\The next thing I knew, I had accomplished it.\That isn't right. Strike repeatedly within a single breath?\Those blows were simultaneous.\At that instant, three swords existed.\As difficult as it is to believe... response:	That was a dimensional-refraction phenomenon.
context: But unfortunately for you, I had nothing better to do.\Mastery through endless repetition.\The next thing I knew, I had accomplished it.\That isn't right. Strike repeatedly within a single breath?\Those blows were simultaneous.\At that instant, three swords existed.\As difficult as it is to believe...\That was a dimensional-refraction phenomenon. response:	A Servant who uses only sword skills to achieve what a Noble Phantasm would...
context: Mastery through endless repetition.\The next thing I knew, I had accomplished it.\That isn't right. Strike repeatedly within a single breath?\Those blows were simultaneous.\At that instant, three swords existed.\As difficult as it is to believe...\That was a dimensional-refraction phenomenon.\A Servant who uses only sword skills to achieve what a Noble Phantasm would... response:	Caster is a soft-hearted. She should have taken their lives while she had the chance.
context: The next thing I knew, I had accomplished it.\That isn't right. Strike repeatedly within a single breath?\Those blows were simultaneous.\At that instant, three swords existed.\As difficult as it is to believe...\That was a dimensional-refraction phenomenon.\A Servant who uses only sword skills to achieve what a Noble Phantasm would...\Caster is a soft-hearted. She should have taken their lives while she had the chance. response:	If everyone in the city dies, fighting would be easier.
context: That isn't right. Strike repeatedly within a single breath?\Those blows were simultaneous.\At that instant, three swords existed.\As difficult as it is to believe...\That was a dimensional-refraction phenomenon.\A Servant who uses only sword skills to achieve what a Noble Phantasm would...\Caster is a soft-hearted. She should have taken their lives while she had the chance.\If everyone in the city dies, fighting would be easier. response:	You...
context: Those blows were simultaneous.\At that instant, three swords existed.\As difficult as it is to believe...\That was a dimensional-refraction phenomenon.\A Servant who uses only sword skills to achieve what a Noble Phantasm would...\Caster is a soft-hearted. She should have taken their lives while she had the chance.\If everyone in the city dies, fighting would be easier.\You... response:	I thought we had an alliance.
context: At that instant, three swords existed.\As difficult as it is to believe...\That was a dimensional-refraction phenomenon.\A Servant who uses only sword skills to achieve what a Noble Phantasm would...\Caster is a soft-hearted. She should have taken their lives while she had the chance.\If everyone in the city dies, fighting would be easier.\You...\I thought we had an alliance. response:	That's a load of crap!
context: As difficult as it is to believe...\That was a dimensional-refraction phenomenon.\A Servant who uses only sword skills to achieve what a Noble Phantasm would...\Caster is a soft-hearted. She should have taken their lives while she had the chance.\If everyone in the city dies, fighting would be easier.\You...\I thought we had an alliance.\That's a load of crap! response:	I'm nothing like you.
context: That was a dimensional-refraction phenomenon.\A Servant who uses only sword skills to achieve what a Noble Phantasm would...\Caster is a soft-hearted. She should have taken their lives while she had the chance.\If everyone in the city dies, fighting would be easier.\You...\I thought we had an alliance.\That's a load of crap!\I'm nothing like you. response:	Like I'd ever sacrifice those around me to achieve victory or a goal!
context: A Servant who uses only sword skills to achieve what a Noble Phantasm would...\Caster is a soft-hearted. She should have taken their lives while she had the chance.\If everyone in the city dies, fighting would be easier.\You...\I thought we had an alliance.\That's a load of crap!\I'm nothing like you.\Like I'd ever sacrifice those around me to achieve victory or a goal! response:	I feel the same way, Emiya Shirou.
context: Caster is a soft-hearted. She should have taken their lives while she had the chance.\If everyone in the city dies, fighting would be easier.\You...\I thought we had an alliance.\That's a load of crap!\I'm nothing like you.\Like I'd ever sacrifice those around me to achieve victory or a goal!\I feel the same way, Emiya Shirou. response:	But it is impossible to save everyone.
context: If everyone in the city dies, fighting would be easier.\You...\I thought we had an alliance.\That's a load of crap!\I'm nothing like you.\Like I'd ever sacrifice those around me to achieve victory or a goal!\I feel the same way, Emiya Shirou.\But it is impossible to save everyone. response:	If Caster wins the Grail, the damage won't be limited to this city alone.
context: You...\I thought we had an alliance.\That's a load of crap!\I'm nothing like you.\Like I'd ever sacrifice those around me to achieve victory or a goal!\I feel the same way, Emiya Shirou.\But it is impossible to save everyone.\If Caster wins the Grail, the damage won't be limited to this city alone. response:	If we fail to win, the damage will be even greater.
context: I thought we had an alliance.\That's a load of crap!\I'm nothing like you.\Like I'd ever sacrifice those around me to achieve victory or a goal!\I feel the same way, Emiya Shirou.\But it is impossible to save everyone.\If Caster wins the Grail, the damage won't be limited to this city alone.\If we fail to win, the damage will be even greater. response:	Therefore, the only choice is to sacrifice this city's people.
