context: Thank you, Lucy-san! response:	I can't hold a candle to Cancer, but I'm pretty good if I do say so myself!
context: What's with that old lady?!\She used to be Gramps' girlfriend!\Wrong, moron!\And so...\I'm going to introduce the next master to you now.\Are you serious?!\Wait. I'm not mentally prepared yet...\It ain't gonna be you! response:	The fifth Fairy Tail master...
context: She used to be Gramps' girlfriend!\Wrong, moron!\And so...\I'm going to introduce the next master to you now.\Are you serious?!\Wait. I'm not mentally prepared yet...\It ain't gonna be you!\The fifth Fairy Tail master... response:	Gildarts Clive!
context: Wrong, moron!\And so...\I'm going to introduce the next master to you now.\Are you serious?!\Wait. I'm not mentally prepared yet...\It ain't gonna be you!\The fifth Fairy Tail master...\Gildarts Clive! response:	Where's Gildarts?!
context: And so...\I'm going to introduce the next master to you now.\Are you serious?!\Wait. I'm not mentally prepared yet...\It ain't gonna be you!\The fifth Fairy Tail master...\Gildarts Clive!\Where's Gildarts?! response:	He left a letter.
context: I'm going to introduce the next master to you now.\Are you serious?!\Wait. I'm not mentally prepared yet...\It ain't gonna be you!\The fifth Fairy Tail master...\Gildarts Clive!\Where's Gildarts?!\He left a letter. response:	Master, as well as everyone in the guild,
context: Are you serious?!\Wait. I'm not mentally prepared yet...\It ain't gonna be you!\The fifth Fairy Tail master...\Gildarts Clive!\Where's Gildarts?!\He left a letter.\Master, as well as everyone in the guild, response:	I'm sorry, but I'm not cut out to be a master.
context: Wait. I'm not mentally prepared yet...\It ain't gonna be you!\The fifth Fairy Tail master...\Gildarts Clive!\Where's Gildarts?!\He left a letter.\Master, as well as everyone in the guild,\I'm sorry, but I'm not cut out to be a master. response:	Well... I will take the opportunity to give two orders as the fifth master.
context: It ain't gonna be you!\The fifth Fairy Tail master...\Gildarts Clive!\Where's Gildarts?!\He left a letter.\Master, as well as everyone in the guild,\I'm sorry, but I'm not cut out to be a master.\Well... I will take the opportunity to give two orders as the fifth master. response:	The first: accept Laxus as a member of Fairy Tail.
context: The fifth Fairy Tail master...\Gildarts Clive!\Where's Gildarts?!\He left a letter.\Master, as well as everyone in the guild,\I'm sorry, but I'm not cut out to be a master.\Well... I will take the opportunity to give two orders as the fifth master.\The first: accept Laxus as a member of Fairy Tail. response:	That's taking liberties!
context: Gildarts Clive!\Where's Gildarts?!\He left a letter.\Master, as well as everyone in the guild,\I'm sorry, but I'm not cut out to be a master.\Well... I will take the opportunity to give two orders as the fifth master.\The first: accept Laxus as a member of Fairy Tail.\That's taking liberties! response:	Old man...
context: Where's Gildarts?!\He left a letter.\Master, as well as everyone in the guild,\I'm sorry, but I'm not cut out to be a master.\Well... I will take the opportunity to give two orders as the fifth master.\The first: accept Laxus as a member of Fairy Tail.\That's taking liberties!\Old man... response:	Isn't that great, Laxus?
context: He left a letter.\Master, as well as everyone in the guild,\I'm sorry, but I'm not cut out to be a master.\Well... I will take the opportunity to give two orders as the fifth master.\The first: accept Laxus as a member of Fairy Tail.\That's taking liberties!\Old man...\Isn't that great, Laxus? response:	Now the Raijinshuu is complete again!
context: Master, as well as everyone in the guild,\I'm sorry, but I'm not cut out to be a master.\Well... I will take the opportunity to give two orders as the fifth master.\The first: accept Laxus as a member of Fairy Tail.\That's taking liberties!\Old man...\Isn't that great, Laxus?\Now the Raijinshuu is complete again! response:	Um...
context: I'm sorry, but I'm not cut out to be a master.\Well... I will take the opportunity to give two orders as the fifth master.\The first: accept Laxus as a member of Fairy Tail.\That's taking liberties!\Old man...\Isn't that great, Laxus?\Now the Raijinshuu is complete again!\Um... response:	Gildarts... What a guy...
context: Well... I will take the opportunity to give two orders as the fifth master.\The first: accept Laxus as a member of Fairy Tail.\That's taking liberties!\Old man...\Isn't that great, Laxus?\Now the Raijinshuu is complete again!\Um...\Gildarts... What a guy... response:	If that's what the fifth master rules, we have no choice but to obey.
context: The first: accept Laxus as a member of Fairy Tail.\That's taking liberties!\Old man...\Isn't that great, Laxus?\Now the Raijinshuu is complete again!\Um...\Gildarts... What a guy...\If that's what the fifth master rules, we have no choice but to obey. response:	The second: I appoint Mr. Makarov Dreyar the sixth Fairy Tail master.
context: That's taking liberties!\Old man...\Isn't that great, Laxus?\Now the Raijinshuu is complete again!\Um...\Gildarts... What a guy...\If that's what the fifth master rules, we have no choice but to obey.\The second: I appoint Mr. Makarov Dreyar the sixth Fairy Tail master. response:	Me again?!
context: Old man...\Isn't that great, Laxus?\Now the Raijinshuu is complete again!\Um...\Gildarts... What a guy...\If that's what the fifth master rules, we have no choice but to obey.\The second: I appoint Mr. Makarov Dreyar the sixth Fairy Tail master.\Me again?! response:	After all is said and done, we're back to normal...
context: Isn't that great, Laxus?\Now the Raijinshuu is complete again!\Um...\Gildarts... What a guy...\If that's what the fifth master rules, we have no choice but to obey.\The second: I appoint Mr. Makarov Dreyar the sixth Fairy Tail master.\Me again?!\After all is said and done, we're back to normal... response:	Nothing wrong with that.
context: Now the Raijinshuu is complete again!\Um...\Gildarts... What a guy...\If that's what the fifth master rules, we have no choice but to obey.\The second: I appoint Mr. Makarov Dreyar the sixth Fairy Tail master.\Me again?!\After all is said and done, we're back to normal...\Nothing wrong with that. response:	Old mustache man!
context: Um...\Gildarts... What a guy...\If that's what the fifth master rules, we have no choice but to obey.\The second: I appoint Mr. Makarov Dreyar the sixth Fairy Tail master.\Me again?!\After all is said and done, we're back to normal...\Nothing wrong with that.\Old mustache man! response:	That old man is incredibly strong.
context: Gildarts... What a guy...\If that's what the fifth master rules, we have no choice but to obey.\The second: I appoint Mr. Makarov Dreyar the sixth Fairy Tail master.\Me again?!\After all is said and done, we're back to normal...\Nothing wrong with that.\Old mustache man!\That old man is incredibly strong. response:	I'm going to travel for a while. But I'll come back when I'm in the mood.
context: If that's what the fifth master rules, we have no choice but to obey.\The second: I appoint Mr. Makarov Dreyar the sixth Fairy Tail master.\Me again?!\After all is said and done, we're back to normal...\Nothing wrong with that.\Old mustache man!\That old man is incredibly strong.\I'm going to travel for a while. But I'll come back when I'm in the mood. response:	Until then, take care.
context: The second: I appoint Mr. Makarov Dreyar the sixth Fairy Tail master.\Me again?!\After all is said and done, we're back to normal...\Nothing wrong with that.\Old mustache man!\That old man is incredibly strong.\I'm going to travel for a while. But I'll come back when I'm in the mood.\Until then, take care. response:	Here you go.
context: Me again?!\After all is said and done, we're back to normal...\Nothing wrong with that.\Old mustache man!\That old man is incredibly strong.\I'm going to travel for a while. But I'll come back when I'm in the mood.\Until then, take care.\Here you go. response:	And Cana...
context: After all is said and done, we're back to normal...\Nothing wrong with that.\Old mustache man!\That old man is incredibly strong.\I'm going to travel for a while. But I'll come back when I'm in the mood.\Until then, take care.\Here you go.\And Cana... response:	I apologize for going off again without warning.
context: Nothing wrong with that.\Old mustache man!\That old man is incredibly strong.\I'm going to travel for a while. But I'll come back when I'm in the mood.\Until then, take care.\Here you go.\And Cana...\I apologize for going off again without warning. response:	But anytime you want to meet me, just make the wish on that card.
context: Old mustache man!\That old man is incredibly strong.\I'm going to travel for a while. But I'll come back when I'm in the mood.\Until then, take care.\Here you go.\And Cana...\I apologize for going off again without warning.\But anytime you want to meet me, just make the wish on that card. response:	It'll get through to the card I have and I'll rush right over to you.
context: That old man is incredibly strong.\I'm going to travel for a while. But I'll come back when I'm in the mood.\Until then, take care.\Here you go.\And Cana...\I apologize for going off again without warning.\But anytime you want to meet me, just make the wish on that card.\It'll get through to the card I have and I'll rush right over to you. response:	I don't need it!
context: I'm going to travel for a while. But I'll come back when I'm in the mood.\Until then, take care.\Here you go.\And Cana...\I apologize for going off again without warning.\But anytime you want to meet me, just make the wish on that card.\It'll get through to the card I have and I'll rush right over to you.\I don't need it! response:	Cana...
context: Until then, take care.\Here you go.\And Cana...\I apologize for going off again without warning.\But anytime you want to meet me, just make the wish on that card.\It'll get through to the card I have and I'll rush right over to you.\I don't need it!\Cana... response:	I already told you things were fine the way they were between us, old man!
context: Here you go.\And Cana...\I apologize for going off again without warning.\But anytime you want to meet me, just make the wish on that card.\It'll get through to the card I have and I'll rush right over to you.\I don't need it!\Cana...\I already told you things were fine the way they were between us, old man! response:	Fairy Tail is my home.
context: And Cana...\I apologize for going off again without warning.\But anytime you want to meet me, just make the wish on that card.\It'll get through to the card I have and I'll rush right over to you.\I don't need it!\Cana...\I already told you things were fine the way they were between us, old man!\Fairy Tail is my home. response:	I will return.
context: I apologize for going off again without warning.\But anytime you want to meet me, just make the wish on that card.\It'll get through to the card I have and I'll rush right over to you.\I don't need it!\Cana...\I already told you things were fine the way they were between us, old man!\Fairy Tail is my home.\I will return. response:	I pray that by then, Fairy Tail will once again be Fiore's number one guild.
context: But anytime you want to meet me, just make the wish on that card.\It'll get through to the card I have and I'll rush right over to you.\I don't need it!\Cana...\I already told you things were fine the way they were between us, old man!\Fairy Tail is my home.\I will return.\I pray that by then, Fairy Tail will once again be Fiore's number one guild. response:	But that's not my duty.
context: It'll get through to the card I have and I'll rush right over to you.\I don't need it!\Cana...\I already told you things were fine the way they were between us, old man!\Fairy Tail is my home.\I will return.\I pray that by then, Fairy Tail will once again be Fiore's number one guild.\But that's not my duty. response:	It's yours.
context: I don't need it!\Cana...\I already told you things were fine the way they were between us, old man!\Fairy Tail is my home.\I will return.\I pray that by then, Fairy Tail will once again be Fiore's number one guild.\But that's not my duty.\It's yours. response:	Master, that's your last job.
context: Cana...\I already told you things were fine the way they were between us, old man!\Fairy Tail is my home.\I will return.\I pray that by then, Fairy Tail will once again be Fiore's number one guild.\But that's not my duty.\It's yours.\Master, that's your last job. response:	To make Fairy Tail Fiore's number one guild again!
context: I already told you things were fine the way they were between us, old man!\Fairy Tail is my home.\I will return.\I pray that by then, Fairy Tail will once again be Fiore's number one guild.\But that's not my duty.\It's yours.\Master, that's your last job.\To make Fairy Tail Fiore's number one guild again! response:	My last job, you say?! Jackass!
context: Fairy Tail is my home.\I will return.\I pray that by then, Fairy Tail will once again be Fiore's number one guild.\But that's not my duty.\It's yours.\Master, that's your last job.\To make Fairy Tail Fiore's number one guild again!\My last job, you say?! Jackass! response:	Since it's come to this, I'm not gonna let anyone else be master!
context: I will return.\I pray that by then, Fairy Tail will once again be Fiore's number one guild.\But that's not my duty.\It's yours.\Master, that's your last job.\To make Fairy Tail Fiore's number one guild again!\My last job, you say?! Jackass!\Since it's come to this, I'm not gonna let anyone else be master! response:	I'll be Master'til the day I die!
context: I pray that by then, Fairy Tail will once again be Fiore's number one guild.\But that's not my duty.\It's yours.\Master, that's your last job.\To make Fairy Tail Fiore's number one guild again!\My last job, you say?! Jackass!\Since it's come to this, I'm not gonna let anyone else be master!\I'll be Master'til the day I die! response:	Booze! Bring out the booze!
context: But that's not my duty.\It's yours.\Master, that's your last job.\To make Fairy Tail Fiore's number one guild again!\My last job, you say?! Jackass!\Since it's come to this, I'm not gonna let anyone else be master!\I'll be Master'til the day I die!\Booze! Bring out the booze! response:	Alright, alright.
context: It's yours.\Master, that's your last job.\To make Fairy Tail Fiore's number one guild again!\My last job, you say?! Jackass!\Since it's come to this, I'm not gonna let anyone else be master!\I'll be Master'til the day I die!\Booze! Bring out the booze!\Alright, alright. response:	Boy, he's being a grump...
context: Master, that's your last job.\To make Fairy Tail Fiore's number one guild again!\My last job, you say?! Jackass!\Since it's come to this, I'm not gonna let anyone else be master!\I'll be Master'til the day I die!\Booze! Bring out the booze!\Alright, alright.\Boy, he's being a grump... response:	Well, that settles that.
context: To make Fairy Tail Fiore's number one guild again!\My last job, you say?! Jackass!\Since it's come to this, I'm not gonna let anyone else be master!\I'll be Master'til the day I die!\Booze! Bring out the booze!\Alright, alright.\Boy, he's being a grump...\Well, that settles that. response:	Man!
context: My last job, you say?! Jackass!\Since it's come to this, I'm not gonna let anyone else be master!\I'll be Master'til the day I die!\Booze! Bring out the booze!\Alright, alright.\Boy, he's being a grump...\Well, that settles that.\Man! response:	As always, you say that at any old time...
context: Since it's come to this, I'm not gonna let anyone else be master!\I'll be Master'til the day I die!\Booze! Bring out the booze!\Alright, alright.\Boy, he's being a grump...\Well, that settles that.\Man!\As always, you say that at any old time... response:	I swear that I won't tell anyone about what you showed me in the basement.
context: I'll be Master'til the day I die!\Booze! Bring out the booze!\Alright, alright.\Boy, he's being a grump...\Well, that settles that.\Man!\As always, you say that at any old time...\I swear that I won't tell anyone about what you showed me in the basement. response:	That goes without saying, idiot!
context: Booze! Bring out the booze!\Alright, alright.\Boy, he's being a grump...\Well, that settles that.\Man!\As always, you say that at any old time...\I swear that I won't tell anyone about what you showed me in the basement.\That goes without saying, idiot! response:	Who's the one that suggested going to see Poluchka-san?!
context: Alright, alright.\Boy, he's being a grump...\Well, that settles that.\Man!\As always, you say that at any old time...\I swear that I won't tell anyone about what you showed me in the basement.\That goes without saying, idiot!\Who's the one that suggested going to see Poluchka-san?! response:	Lucy...
context: Boy, he's being a grump...\Well, that settles that.\Man!\As always, you say that at any old time...\I swear that I won't tell anyone about what you showed me in the basement.\That goes without saying, idiot!\Who's the one that suggested going to see Poluchka-san?!\Lucy... response:	That woman's a force of nature.
context: Well, that settles that.\Man!\As always, you say that at any old time...\I swear that I won't tell anyone about what you showed me in the basement.\That goes without saying, idiot!\Who's the one that suggested going to see Poluchka-san?!\Lucy...\That woman's a force of nature. response:	I heard she was a misanthrope, but I didn't realize it was that bad...
context: Man!\As always, you say that at any old time...\I swear that I won't tell anyone about what you showed me in the basement.\That goes without saying, idiot!\Who's the one that suggested going to see Poluchka-san?!\Lucy...\That woman's a force of nature.\I heard she was a misanthrope, but I didn't realize it was that bad... response:	Why should I count? I'm a cat...
context: As always, you say that at any old time...\I swear that I won't tell anyone about what you showed me in the basement.\That goes without saying, idiot!\Who's the one that suggested going to see Poluchka-san?!\Lucy...\That woman's a force of nature.\I heard she was a misanthrope, but I didn't realize it was that bad...\Why should I count? I'm a cat... response:	What's wrong, Wendy?
context: I swear that I won't tell anyone about what you showed me in the basement.\That goes without saying, idiot!\Who's the one that suggested going to see Poluchka-san?!\Lucy...\That woman's a force of nature.\I heard she was a misanthrope, but I didn't realize it was that bad...\Why should I count? I'm a cat...\What's wrong, Wendy? response:	Were you scared?
context: That goes without saying, idiot!\Who's the one that suggested going to see Poluchka-san?!\Lucy...\That woman's a force of nature.\I heard she was a misanthrope, but I didn't realize it was that bad...\Why should I count? I'm a cat...\What's wrong, Wendy?\Were you scared? response:	Hey, what's wrong?!
context: Who's the one that suggested going to see Poluchka-san?!\Lucy...\That woman's a force of nature.\I heard she was a misanthrope, but I didn't realize it was that bad...\Why should I count? I'm a cat...\What's wrong, Wendy?\Were you scared?\Hey, what's wrong?! response:	That old lady made Wendy cry!
context: Lucy...\That woman's a force of nature.\I heard she was a misanthrope, but I didn't realize it was that bad...\Why should I count? I'm a cat...\What's wrong, Wendy?\Were you scared?\Hey, what's wrong?!\That old lady made Wendy cry! response:	No, that's not it...
context: That woman's a force of nature.\I heard she was a misanthrope, but I didn't realize it was that bad...\Why should I count? I'm a cat...\What's wrong, Wendy?\Were you scared?\Hey, what's wrong?!\That old lady made Wendy cry!\No, that's not it... response:	I felt so nostalgic...
context: I heard she was a misanthrope, but I didn't realize it was that bad...\Why should I count? I'm a cat...\What's wrong, Wendy?\Were you scared?\Hey, what's wrong?!\That old lady made Wendy cry!\No, that's not it...\I felt so nostalgic... response:	Have you met her before?
context: Why should I count? I'm a cat...\What's wrong, Wendy?\Were you scared?\Hey, what's wrong?!\That old lady made Wendy cry!\No, that's not it...\I felt so nostalgic...\Have you met her before? response:	Uh-uh...
context: What's wrong, Wendy?\Were you scared?\Hey, what's wrong?!\That old lady made Wendy cry!\No, that's not it...\I felt so nostalgic...\Have you met her before?\Uh-uh... response:	I'm sure this was my first time... but it gave me such a familiar feeling...
context: Were you scared?\Hey, what's wrong?!\That old lady made Wendy cry!\No, that's not it...\I felt so nostalgic...\Have you met her before?\Uh-uh...\I'm sure this was my first time... but it gave me such a familiar feeling... response:	Her voice... Her smell...
context: Hey, what's wrong?!\That old lady made Wendy cry!\No, that's not it...\I felt so nostalgic...\Have you met her before?\Uh-uh...\I'm sure this was my first time... but it gave me such a familiar feeling...\Her voice... Her smell... response:	They're the same as Grandine!
context: That old lady made Wendy cry!\No, that's not it...\I felt so nostalgic...\Have you met her before?\Uh-uh...\I'm sure this was my first time... but it gave me such a familiar feeling...\Her voice... Her smell...\They're the same as Grandine! response:	That Gildarts... Fiore's number one guild, he says...
context: No, that's not it...\I felt so nostalgic...\Have you met her before?\Uh-uh...\I'm sure this was my first time... but it gave me such a familiar feeling...\Her voice... Her smell...\They're the same as Grandine!\That Gildarts... Fiore's number one guild, he says... response:	That's being way too optimistic!
context: I felt so nostalgic...\Have you met her before?\Uh-uh...\I'm sure this was my first time... but it gave me such a familiar feeling...\Her voice... Her smell...\They're the same as Grandine!\That Gildarts... Fiore's number one guild, he says...\That's being way too optimistic! response:	Oh, no, it's not. It's good to be ambitious.
context: Have you met her before?\Uh-uh...\I'm sure this was my first time... but it gave me such a familiar feeling...\Her voice... Her smell...\They're the same as Grandine!\That Gildarts... Fiore's number one guild, he says...\That's being way too optimistic!\Oh, no, it's not. It's good to be ambitious. response:	Yeah, if this were seven years ago...
context: Uh-uh...\I'm sure this was my first time... but it gave me such a familiar feeling...\Her voice... Her smell...\They're the same as Grandine!\That Gildarts... Fiore's number one guild, he says...\That's being way too optimistic!\Oh, no, it's not. It's good to be ambitious.\Yeah, if this were seven years ago... response:	But things are different now.
context: I'm sure this was my first time... but it gave me such a familiar feeling...\Her voice... Her smell...\They're the same as Grandine!\That Gildarts... Fiore's number one guild, he says...\That's being way too optimistic!\Oh, no, it's not. It's good to be ambitious.\Yeah, if this were seven years ago...\But things are different now. response:	Of course, there's Sabertooth...
context: Her voice... Her smell...\They're the same as Grandine!\That Gildarts... Fiore's number one guild, he says...\That's being way too optimistic!\Oh, no, it's not. It's good to be ambitious.\Yeah, if this were seven years ago...\But things are different now.\Of course, there's Sabertooth... response:	But Lamia and Pegasus too,
context: They're the same as Grandine!\That Gildarts... Fiore's number one guild, he says...\That's being way too optimistic!\Oh, no, it's not. It's good to be ambitious.\Yeah, if this were seven years ago...\But things are different now.\Of course, there's Sabertooth...\But Lamia and Pegasus too, response:	they're powerful guilds that can't even be compared to what they were seven years ago.
context: That Gildarts... Fiore's number one guild, he says...\That's being way too optimistic!\Oh, no, it's not. It's good to be ambitious.\Yeah, if this were seven years ago...\But things are different now.\Of course, there's Sabertooth...\But Lamia and Pegasus too,\they're powerful guilds that can't even be compared to what they were seven years ago. response:	They're huge guilds!
context: That's being way too optimistic!\Oh, no, it's not. It's good to be ambitious.\Yeah, if this were seven years ago...\But things are different now.\Of course, there's Sabertooth...\But Lamia and Pegasus too,\they're powerful guilds that can't even be compared to what they were seven years ago.\They're huge guilds! response:	Standing next to them, even with our main members back...
context: Oh, no, it's not. It's good to be ambitious.\Yeah, if this were seven years ago...\But things are different now.\Of course, there's Sabertooth...\But Lamia and Pegasus too,\they're powerful guilds that can't even be compared to what they were seven years ago.\They're huge guilds!\Standing next to them, even with our main members back... response:	The Tenrou group isn't any stronger than they were seven years ago.
context: Yeah, if this were seven years ago...\But things are different now.\Of course, there's Sabertooth...\But Lamia and Pegasus too,\they're powerful guilds that can't even be compared to what they were seven years ago.\They're huge guilds!\Standing next to them, even with our main members back...\The Tenrou group isn't any stronger than they were seven years ago. response:	It's okay! We'll protect you, Levy!
context: But things are different now.\Of course, there's Sabertooth...\But Lamia and Pegasus too,\they're powerful guilds that can't even be compared to what they were seven years ago.\They're huge guilds!\Standing next to them, even with our main members back...\The Tenrou group isn't any stronger than they were seven years ago.\It's okay! We'll protect you, Levy! response:	There's no way to make up for the seven-year gap.
context: Of course, there's Sabertooth...\But Lamia and Pegasus too,\they're powerful guilds that can't even be compared to what they were seven years ago.\They're huge guilds!\Standing next to them, even with our main members back...\The Tenrou group isn't any stronger than they were seven years ago.\It's okay! We'll protect you, Levy!\There's no way to make up for the seven-year gap. response:	Whether we're talkin' individual magic power or the guild's overall strength,
context: But Lamia and Pegasus too,\they're powerful guilds that can't even be compared to what they were seven years ago.\They're huge guilds!\Standing next to them, even with our main members back...\The Tenrou group isn't any stronger than they were seven years ago.\It's okay! We'll protect you, Levy!\There's no way to make up for the seven-year gap.\Whether we're talkin' individual magic power or the guild's overall strength, response:	becomin' Fiore's number one guild is impossible!
context: they're powerful guilds that can't even be compared to what they were seven years ago.\They're huge guilds!\Standing next to them, even with our main members back...\The Tenrou group isn't any stronger than they were seven years ago.\It's okay! We'll protect you, Levy!\There's no way to make up for the seven-year gap.\Whether we're talkin' individual magic power or the guild's overall strength,\becomin' Fiore's number one guild is impossible! response:	I see.
context: They're huge guilds!\Standing next to them, even with our main members back...\The Tenrou group isn't any stronger than they were seven years ago.\It's okay! We'll protect you, Levy!\There's no way to make up for the seven-year gap.\Whether we're talkin' individual magic power or the guild's overall strength,\becomin' Fiore's number one guild is impossible!\I see. response:	It sounds like it'll take some time before we can get back to the way we were then.
context: Standing next to them, even with our main members back...\The Tenrou group isn't any stronger than they were seven years ago.\It's okay! We'll protect you, Levy!\There's no way to make up for the seven-year gap.\Whether we're talkin' individual magic power or the guild's overall strength,\becomin' Fiore's number one guild is impossible!\I see.\It sounds like it'll take some time before we can get back to the way we were then. response:	I've already waited seven years!
context: The Tenrou group isn't any stronger than they were seven years ago.\It's okay! We'll protect you, Levy!\There's no way to make up for the seven-year gap.\Whether we're talkin' individual magic power or the guild's overall strength,\becomin' Fiore's number one guild is impossible!\I see.\It sounds like it'll take some time before we can get back to the way we were then.\I've already waited seven years! response:	I don't wanna take any more time, Erza-nee!
context: It's okay! We'll protect you, Levy!\There's no way to make up for the seven-year gap.\Whether we're talkin' individual magic power or the guild's overall strength,\becomin' Fiore's number one guild is impossible!\I see.\It sounds like it'll take some time before we can get back to the way we were then.\I've already waited seven years!\I don't wanna take any more time, Erza-nee! response:	Romeo!
context: There's no way to make up for the seven-year gap.\Whether we're talkin' individual magic power or the guild's overall strength,\becomin' Fiore's number one guild is impossible!\I see.\It sounds like it'll take some time before we can get back to the way we were then.\I've already waited seven years!\I don't wanna take any more time, Erza-nee!\Romeo! response:	There's just one way to become number one in a hurry!
context: Whether we're talkin' individual magic power or the guild's overall strength,\becomin' Fiore's number one guild is impossible!\I see.\It sounds like it'll take some time before we can get back to the way we were then.\I've already waited seven years!\I don't wanna take any more time, Erza-nee!\Romeo!\There's just one way to become number one in a hurry! response:	Y-You don't mean...
context: becomin' Fiore's number one guild is impossible!\I see.\It sounds like it'll take some time before we can get back to the way we were then.\I've already waited seven years!\I don't wanna take any more time, Erza-nee!\Romeo!\There's just one way to become number one in a hurry!\Y-You don't mean... response:	But that's...
context: I see.\It sounds like it'll take some time before we can get back to the way we were then.\I've already waited seven years!\I don't wanna take any more time, Erza-nee!\Romeo!\There's just one way to become number one in a hurry!\Y-You don't mean...\But that's... response:	Forget it! I already decided we wouldn't be participating in that!
context: It sounds like it'll take some time before we can get back to the way we were then.\I've already waited seven years!\I don't wanna take any more time, Erza-nee!\Romeo!\There's just one way to become number one in a hurry!\Y-You don't mean...\But that's...\Forget it! I already decided we wouldn't be participating in that! response:	What do you mean by that, Number Four?
context: I've already waited seven years!\I don't wanna take any more time, Erza-nee!\Romeo!\There's just one way to become number one in a hurry!\Y-You don't mean...\But that's...\Forget it! I already decided we wouldn't be participating in that!\What do you mean by that, Number Four? response:	Would you not call me that, Number Six?
context: I don't wanna take any more time, Erza-nee!\Romeo!\There's just one way to become number one in a hurry!\Y-You don't mean...\But that's...\Forget it! I already decided we wouldn't be participating in that!\What do you mean by that, Number Four?\Would you not call me that, Number Six? response:	That old woman is Grandine?!
context: Romeo!\There's just one way to become number one in a hurry!\Y-You don't mean...\But that's...\Forget it! I already decided we wouldn't be participating in that!\What do you mean by that, Number Four?\Would you not call me that, Number Six?\That old woman is Grandine?! response:	The same voice as the dragon Wendy is looking for?
context: There's just one way to become number one in a hurry!\Y-You don't mean...\But that's...\Forget it! I already decided we wouldn't be participating in that!\What do you mean by that, Number Four?\Would you not call me that, Number Six?\That old woman is Grandine?!\The same voice as the dragon Wendy is looking for? response:	What does that mean?
context: Y-You don't mean...\But that's...\Forget it! I already decided we wouldn't be participating in that!\What do you mean by that, Number Four?\Would you not call me that, Number Six?\That old woman is Grandine?!\The same voice as the dragon Wendy is looking for?\What does that mean? response:	Don't ask me!
context: But that's...\Forget it! I already decided we wouldn't be participating in that!\What do you mean by that, Number Four?\Would you not call me that, Number Six?\That old woman is Grandine?!\The same voice as the dragon Wendy is looking for?\What does that mean?\Don't ask me! response:	Wendy, is that true?
context: Forget it! I already decided we wouldn't be participating in that!\What do you mean by that, Number Four?\Would you not call me that, Number Six?\That old woman is Grandine?!\The same voice as the dragon Wendy is looking for?\What does that mean?\Don't ask me!\Wendy, is that true? response:	I don't know!
context: What do you mean by that, Number Four?\Would you not call me that, Number Six?\That old woman is Grandine?!\The same voice as the dragon Wendy is looking for?\What does that mean?\Don't ask me!\Wendy, is that true?\I don't know! response:	But... that smell... that voice...
context: Would you not call me that, Number Six?\That old woman is Grandine?!\The same voice as the dragon Wendy is looking for?\What does that mean?\Don't ask me!\Wendy, is that true?\I don't know!\But... that smell... that voice... response:	They're the same as my mother, the Sky Dragon, Grandine...
context: That old woman is Grandine?!\The same voice as the dragon Wendy is looking for?\What does that mean?\Don't ask me!\Wendy, is that true?\I don't know!\But... that smell... that voice...\They're the same as my mother, the Sky Dragon, Grandine... response:	This needs to be checked out!
context: The same voice as the dragon Wendy is looking for?\What does that mean?\Don't ask me!\Wendy, is that true?\I don't know!\But... that smell... that voice...\They're the same as my mother, the Sky Dragon, Grandine...\This needs to be checked out! response:	Wait!
context: What does that mean?\Don't ask me!\Wendy, is that true?\I don't know!\But... that smell... that voice...\They're the same as my mother, the Sky Dragon, Grandine...\This needs to be checked out!\Wait! response:	Even if Grandine really has turned into a human,
context: Don't ask me!\Wendy, is that true?\I don't know!\But... that smell... that voice...\They're the same as my mother, the Sky Dragon, Grandine...\This needs to be checked out!\Wait!\Even if Grandine really has turned into a human, response:	this wouldn't make any sense.
context: Wendy, is that true?\I don't know!\But... that smell... that voice...\They're the same as my mother, the Sky Dragon, Grandine...\This needs to be checked out!\Wait!\Even if Grandine really has turned into a human,\this wouldn't make any sense. response:	That's right. Natsu, Wendy, Gajeel, too...
context: I don't know!\But... that smell... that voice...\They're the same as my mother, the Sky Dragon, Grandine...\This needs to be checked out!\Wait!\Even if Grandine really has turned into a human,\this wouldn't make any sense.\That's right. Natsu, Wendy, Gajeel, too... response:	Your dragons disappeared seven years ago...
context: But... that smell... that voice...\They're the same as my mother, the Sky Dragon, Grandine...\This needs to be checked out!\Wait!\Even if Grandine really has turned into a human,\this wouldn't make any sense.\That's right. Natsu, Wendy, Gajeel, too...\Your dragons disappeared seven years ago... response:	More precisely, 14 years ago, in 777...
context: They're the same as my mother, the Sky Dragon, Grandine...\This needs to be checked out!\Wait!\Even if Grandine really has turned into a human,\this wouldn't make any sense.\That's right. Natsu, Wendy, Gajeel, too...\Your dragons disappeared seven years ago...\More precisely, 14 years ago, in 777... response:	Poluchka-san has known Master for a lot longer than that.
context: This needs to be checked out!\Wait!\Even if Grandine really has turned into a human,\this wouldn't make any sense.\That's right. Natsu, Wendy, Gajeel, too...\Your dragons disappeared seven years ago...\More precisely, 14 years ago, in 777...\Poluchka-san has known Master for a lot longer than that. response:	In other words, when the dragons were around, Poluchka-san was around.
context: Wait!\Even if Grandine really has turned into a human,\this wouldn't make any sense.\That's right. Natsu, Wendy, Gajeel, too...\Your dragons disappeared seven years ago...\More precisely, 14 years ago, in 777...\Poluchka-san has known Master for a lot longer than that.\In other words, when the dragons were around, Poluchka-san was around. response:	That contradicts. They can't be one and the same.
