context: Kiss Him, Not Me response:	On a Journey to the Holy Land of Kachu Rabu
context: But, only his headless corpse is there.\Sametora once fought a battle against his own son.\And after he won,\he appealed to have his son's life saved, even though he was in the enemy army.\His appeal was accepted,\but, in exchange, he was ordered to commit seppuku.\However, just before he cut his own stomach,\he learned that his son was already dead. response:	My lord!
context: Sametora once fought a battle against his own son.\And after he won,\he appealed to have his son's life saved, even though he was in the enemy army.\His appeal was accepted,\but, in exchange, he was ordered to commit seppuku.\However, just before he cut his own stomach,\he learned that his son was already dead.\My lord! response:	How cruel!
context: And after he won,\he appealed to have his son's life saved, even though he was in the enemy army.\His appeal was accepted,\but, in exchange, he was ordered to commit seppuku.\However, just before he cut his own stomach,\he learned that his son was already dead.\My lord!\How cruel! response:	In a fit of rage, Sametora cut down a group of generals,
context: he appealed to have his son's life saved, even though he was in the enemy army.\His appeal was accepted,\but, in exchange, he was ordered to commit seppuku.\However, just before he cut his own stomach,\he learned that his son was already dead.\My lord!\How cruel!\In a fit of rage, Sametora cut down a group of generals, response:	and he was severely injured by their vassals.
context: His appeal was accepted,\but, in exchange, he was ordered to commit seppuku.\However, just before he cut his own stomach,\he learned that his son was already dead.\My lord!\How cruel!\In a fit of rage, Sametora cut down a group of generals,\and he was severely injured by their vassals. response:	But, he just would not die.
context: but, in exchange, he was ordered to commit seppuku.\However, just before he cut his own stomach,\he learned that his son was already dead.\My lord!\How cruel!\In a fit of rage, Sametora cut down a group of generals,\and he was severely injured by their vassals.\But, he just would not die. response:	Ka
context: However, just before he cut his own stomach,\he learned that his son was already dead.\My lord!\How cruel!\In a fit of rage, Sametora cut down a group of generals,\and he was severely injured by their vassals.\But, he just would not die.\Ka response:	Ni
context: he learned that his son was already dead.\My lord!\How cruel!\In a fit of rage, Sametora cut down a group of generals,\and he was severely injured by their vassals.\But, he just would not die.\Ka\Ni response:	Iga
context: My lord!\How cruel!\In a fit of rage, Sametora cut down a group of generals,\and he was severely injured by their vassals.\But, he just would not die.\Ka\Ni\Iga response:	My lord!
context: How cruel!\In a fit of rage, Sametora cut down a group of generals,\and he was severely injured by their vassals.\But, he just would not die.\Ka\Ni\Iga\My lord! response:	Nana
context: In a fit of rage, Sametora cut down a group of generals,\and he was severely injured by their vassals.\But, he just would not die.\Ka\Ni\Iga\My lord!\Nana response:	Unforgivable!
context: and he was severely injured by their vassals.\But, he just would not die.\Ka\Ni\Iga\My lord!\Nana\Unforgivable! response:	In the end, they cut off his head.
context: But, he just would not die.\Ka\Ni\Iga\My lord!\Nana\Unforgivable!\In the end, they cut off his head. response:	And that head, laughing a laugh that sounded more like a scream,
context: Ka\Ni\Iga\My lord!\Nana\Unforgivable!\In the end, they cut off his head.\And that head, laughing a laugh that sounded more like a scream, response:	flew to a small, local island.
context: Ni\Iga\My lord!\Nana\Unforgivable!\In the end, they cut off his head.\And that head, laughing a laugh that sounded more like a scream,\flew to a small, local island. response:	Specifically, that one over there.
context: Iga\My lord!\Nana\Unforgivable!\In the end, they cut off his head.\And that head, laughing a laugh that sounded more like a scream,\flew to a small, local island.\Specifically, that one over there. response:	This is a ghost story?!
context: My lord!\Nana\Unforgivable!\In the end, they cut off his head.\And that head, laughing a laugh that sounded more like a scream,\flew to a small, local island.\Specifically, that one over there.\This is a ghost story?! response:	There's apparently a burial mound for the head there.
context: Nana\Unforgivable!\In the end, they cut off his head.\And that head, laughing a laugh that sounded more like a scream,\flew to a small, local island.\Specifically, that one over there.\This is a ghost story?!\There's apparently a burial mound for the head there. response:	Nothing less from our Senpai! You're full of insights.
context: Unforgivable!\In the end, they cut off his head.\And that head, laughing a laugh that sounded more like a scream,\flew to a small, local island.\Specifically, that one over there.\This is a ghost story?!\There's apparently a burial mound for the head there.\Nothing less from our Senpai! You're full of insights. response:	Well, we're done with lunch, after all.
context: In the end, they cut off his head.\And that head, laughing a laugh that sounded more like a scream,\flew to a small, local island.\Specifically, that one over there.\This is a ghost story?!\There's apparently a burial mound for the head there.\Nothing less from our Senpai! You're full of insights.\Well, we're done with lunch, after all. response:	Why not go?
context: And that head, laughing a laugh that sounded more like a scream,\flew to a small, local island.\Specifically, that one over there.\This is a ghost story?!\There's apparently a burial mound for the head there.\Nothing less from our Senpai! You're full of insights.\Well, we're done with lunch, after all.\Why not go? response:	Yup!
context: flew to a small, local island.\Specifically, that one over there.\This is a ghost story?!\There's apparently a burial mound for the head there.\Nothing less from our Senpai! You're full of insights.\Well, we're done with lunch, after all.\Why not go?\Yup! response:	What?!
context: Specifically, that one over there.\This is a ghost story?!\There's apparently a burial mound for the head there.\Nothing less from our Senpai! You're full of insights.\Well, we're done with lunch, after all.\Why not go?\Yup!\What?! response:	I wouldn't, if I were you.
context: This is a ghost story?!\There's apparently a burial mound for the head there.\Nothing less from our Senpai! You're full of insights.\Well, we're done with lunch, after all.\Why not go?\Yup!\What?!\I wouldn't, if I were you. response:	There's a rumor that the island is cursed.
context: There's apparently a burial mound for the head there.\Nothing less from our Senpai! You're full of insights.\Well, we're done with lunch, after all.\Why not go?\Yup!\What?!\I wouldn't, if I were you.\There's a rumor that the island is cursed. response:	Folks from around here won't go near it.
context: Nothing less from our Senpai! You're full of insights.\Well, we're done with lunch, after all.\Why not go?\Yup!\What?!\I wouldn't, if I were you.\There's a rumor that the island is cursed.\Folks from around here won't go near it. response:	Let's not, Serinuma
context: Well, we're done with lunch, after all.\Why not go?\Yup!\What?!\I wouldn't, if I were you.\There's a rumor that the island is cursed.\Folks from around here won't go near it.\Let's not, Serinuma response:	That curse sounds perfect!
context: Why not go?\Yup!\What?!\I wouldn't, if I were you.\There's a rumor that the island is cursed.\Folks from around here won't go near it.\Let's not, Serinuma\That curse sounds perfect! response:	I hope I get cursed by my lord!
context: Yup!\What?!\I wouldn't, if I were you.\There's a rumor that the island is cursed.\Folks from around here won't go near it.\Let's not, Serinuma\That curse sounds perfect!\I hope I get cursed by my lord! response:	It'd be the best if we could be with the lord 24/7!
context: What?!\I wouldn't, if I were you.\There's a rumor that the island is cursed.\Folks from around here won't go near it.\Let's not, Serinuma\That curse sounds perfect!\I hope I get cursed by my lord!\It'd be the best if we could be with the lord 24/7! response:	A-Are these the only boats they have?
context: I wouldn't, if I were you.\There's a rumor that the island is cursed.\Folks from around here won't go near it.\Let's not, Serinuma\That curse sounds perfect!\I hope I get cursed by my lord!\It'd be the best if we could be with the lord 24/7!\A-Are these the only boats they have? response:	They're so old and worn out!
context: There's a rumor that the island is cursed.\Folks from around here won't go near it.\Let's not, Serinuma\That curse sounds perfect!\I hope I get cursed by my lord!\It'd be the best if we could be with the lord 24/7!\A-Are these the only boats they have?\They're so old and worn out! response:	Why swans?
context: Folks from around here won't go near it.\Let's not, Serinuma\That curse sounds perfect!\I hope I get cursed by my lord!\It'd be the best if we could be with the lord 24/7!\A-Are these the only boats they have?\They're so old and worn out!\Why swans? response:	They're two-seaters.
context: Let's not, Serinuma\That curse sounds perfect!\I hope I get cursed by my lord!\It'd be the best if we could be with the lord 24/7!\A-Are these the only boats they have?\They're so old and worn out!\Why swans?\They're two-seaters. response:	We'll split into pairs.
context: That curse sounds perfect!\I hope I get cursed by my lord!\It'd be the best if we could be with the lord 24/7!\A-Are these the only boats they have?\They're so old and worn out!\Why swans?\They're two-seaters.\We'll split into pairs. response:	Pairs?!
context: I hope I get cursed by my lord!\It'd be the best if we could be with the lord 24/7!\A-Are these the only boats they have?\They're so old and worn out!\Why swans?\They're two-seaters.\We'll split into pairs.\Pairs?! response:	There are six of us, so let's decide by doing rock, paper, scissors!
context: It'd be the best if we could be with the lord 24/7!\A-Are these the only boats they have?\They're so old and worn out!\Why swans?\They're two-seaters.\We'll split into pairs.\Pairs?!\There are six of us, so let's decide by doing rock, paper, scissors! response:	Ready, and...
context: A-Are these the only boats they have?\They're so old and worn out!\Why swans?\They're two-seaters.\We'll split into pairs.\Pairs?!\There are six of us, so let's decide by doing rock, paper, scissors!\Ready, and... response:	No grudges!
context: They're so old and worn out!\Why swans?\They're two-seaters.\We'll split into pairs.\Pairs?!\There are six of us, so let's decide by doing rock, paper, scissors!\Ready, and...\No grudges! response:	Rock, paper, scissors!
context: Why swans?\They're two-seaters.\We'll split into pairs.\Pairs?!\There are six of us, so let's decide by doing rock, paper, scissors!\Ready, and...\No grudges!\Rock, paper, scissors! response:	I did it!
context: They're two-seaters.\We'll split into pairs.\Pairs?!\There are six of us, so let's decide by doing rock, paper, scissors!\Ready, and...\No grudges!\Rock, paper, scissors!\I did it! response:	Happy to be with you.
context: We'll split into pairs.\Pairs?!\There are six of us, so let's decide by doing rock, paper, scissors!\Ready, and...\No grudges!\Rock, paper, scissors!\I did it!\Happy to be with you. response:	Y-Yes!
context: Pairs?!\There are six of us, so let's decide by doing rock, paper, scissors!\Ready, and...\No grudges!\Rock, paper, scissors!\I did it!\Happy to be with you.\Y-Yes! response:	Happy to be with you, Serinuma-san.
context: There are six of us, so let's decide by doing rock, paper, scissors!\Ready, and...\No grudges!\Rock, paper, scissors!\I did it!\Happy to be with you.\Y-Yes!\Happy to be with you, Serinuma-san. response:	Well...
context: Ready, and...\No grudges!\Rock, paper, scissors!\I did it!\Happy to be with you.\Y-Yes!\Happy to be with you, Serinuma-san.\Well... response:	Let's have fun!
context: No grudges!\Rock, paper, scissors!\I did it!\Happy to be with you.\Y-Yes!\Happy to be with you, Serinuma-san.\Well...\Let's have fun! response:	I haven't done this since elementary school.
context: Rock, paper, scissors!\I did it!\Happy to be with you.\Y-Yes!\Happy to be with you, Serinuma-san.\Well...\Let's have fun!\I haven't done this since elementary school. response:	Yeah, same here.
context: I did it!\Happy to be with you.\Y-Yes!\Happy to be with you, Serinuma-san.\Well...\Let's have fun!\I haven't done this since elementary school.\Yeah, same here. response:	You know, Serinuma-san.
context: Happy to be with you.\Y-Yes!\Happy to be with you, Serinuma-san.\Well...\Let's have fun!\I haven't done this since elementary school.\Yeah, same here.\You know, Serinuma-san. response:	Um, sorry about last night.
context: Y-Yes!\Happy to be with you, Serinuma-san.\Well...\Let's have fun!\I haven't done this since elementary school.\Yeah, same here.\You know, Serinuma-san.\Um, sorry about last night. response:	Seriously, it wasn't on purpose.
context: Happy to be with you, Serinuma-san.\Well...\Let's have fun!\I haven't done this since elementary school.\Yeah, same here.\You know, Serinuma-san.\Um, sorry about last night.\Seriously, it wasn't on purpose. response:	Uh, yeah! I know that! I'm okay!
context: Well...\Let's have fun!\I haven't done this since elementary school.\Yeah, same here.\You know, Serinuma-san.\Um, sorry about last night.\Seriously, it wasn't on purpose.\Uh, yeah! I know that! I'm okay! response:	But, Serinuma-san...
context: Let's have fun!\I haven't done this since elementary school.\Yeah, same here.\You know, Serinuma-san.\Um, sorry about last night.\Seriously, it wasn't on purpose.\Uh, yeah! I know that! I'm okay!\But, Serinuma-san... response:	Have you been avoiding me?
context: I haven't done this since elementary school.\Yeah, same here.\You know, Serinuma-san.\Um, sorry about last night.\Seriously, it wasn't on purpose.\Uh, yeah! I know that! I'm okay!\But, Serinuma-san...\Have you been avoiding me? response:	Do you dislike being close to me?
context: Yeah, same here.\You know, Serinuma-san.\Um, sorry about last night.\Seriously, it wasn't on purpose.\Uh, yeah! I know that! I'm okay!\But, Serinuma-san...\Have you been avoiding me?\Do you dislike being close to me? response:	I do
context: You know, Serinuma-san.\Um, sorry about last night.\Seriously, it wasn't on purpose.\Uh, yeah! I know that! I'm okay!\But, Serinuma-san...\Have you been avoiding me?\Do you dislike being close to me?\I do response:	No, I m-mean, I don't dislike it!
context: Um, sorry about last night.\Seriously, it wasn't on purpose.\Uh, yeah! I know that! I'm okay!\But, Serinuma-san...\Have you been avoiding me?\Do you dislike being close to me?\I do\No, I m-mean, I don't dislike it! response:	I-I'm just not used to someone being that close.
context: Seriously, it wasn't on purpose.\Uh, yeah! I know that! I'm okay!\But, Serinuma-san...\Have you been avoiding me?\Do you dislike being close to me?\I do\No, I m-mean, I don't dislike it!\I-I'm just not used to someone being that close. response:	So I was surprised!
context: Uh, yeah! I know that! I'm okay!\But, Serinuma-san...\Have you been avoiding me?\Do you dislike being close to me?\I do\No, I m-mean, I don't dislike it!\I-I'm just not used to someone being that close.\So I was surprised! response:	Then...
context: But, Serinuma-san...\Have you been avoiding me?\Do you dislike being close to me?\I do\No, I m-mean, I don't dislike it!\I-I'm just not used to someone being that close.\So I was surprised!\Then... response:	Get used to it.
context: Have you been avoiding me?\Do you dislike being close to me?\I do\No, I m-mean, I don't dislike it!\I-I'm just not used to someone being that close.\So I was surprised!\Then...\Get used to it. response:	Okay?
context: Do you dislike being close to me?\I do\No, I m-mean, I don't dislike it!\I-I'm just not used to someone being that close.\So I was surprised!\Then...\Get used to it.\Okay? response:	Okay.
context: I do\No, I m-mean, I don't dislike it!\I-I'm just not used to someone being that close.\So I was surprised!\Then...\Get used to it.\Okay?\Okay. response:	Something's...
context: No, I m-mean, I don't dislike it!\I-I'm just not used to someone being that close.\So I was surprised!\Then...\Get used to it.\Okay?\Okay.\Something's... response:	Let's go, Nishina!
context: I-I'm just not used to someone being that close.\So I was surprised!\Then...\Get used to it.\Okay?\Okay.\Something's...\Let's go, Nishina! response:	Yeah!
context: So I was surprised!\Then...\Get used to it.\Okay?\Okay.\Something's...\Let's go, Nishina!\Yeah! response:	Bloodlust!
context: Then...\Get used to it.\Okay?\Okay.\Something's...\Let's go, Nishina!\Yeah!\Bloodlust! response:	You goddamn pervert!
context: Get used to it.\Okay?\Okay.\Something's...\Let's go, Nishina!\Yeah!\Bloodlust!\You goddamn pervert! response:	I know you did something!
context: Okay?\Okay.\Something's...\Let's go, Nishina!\Yeah!\Bloodlust!\You goddamn pervert!\I know you did something! response:	Fall overboard, Igarashi!
context: Okay.\Something's...\Let's go, Nishina!\Yeah!\Bloodlust!\You goddamn pervert!\I know you did something!\Fall overboard, Igarashi! response:	Wait!
context: Something's...\Let's go, Nishina!\Yeah!\Bloodlust!\You goddamn pervert!\I know you did something!\Fall overboard, Igarashi!\Wait! response:	Cut it out, it's dangerous! We'll fall!
context: Let's go, Nishina!\Yeah!\Bloodlust!\You goddamn pervert!\I know you did something!\Fall overboard, Igarashi!\Wait!\Cut it out, it's dangerous! We'll fall! response:	Don't forget Serinuma-san's in here, too!
context: Yeah!\Bloodlust!\You goddamn pervert!\I know you did something!\Fall overboard, Igarashi!\Wait!\Cut it out, it's dangerous! We'll fall!\Don't forget Serinuma-san's in here, too! response:	What are they doing?
context: Bloodlust!\You goddamn pervert!\I know you did something!\Fall overboard, Igarashi!\Wait!\Cut it out, it's dangerous! We'll fall!\Don't forget Serinuma-san's in here, too!\What are they doing? response:	Shinomiya-kun, feel free to take a break.
context: You goddamn pervert!\I know you did something!\Fall overboard, Igarashi!\Wait!\Cut it out, it's dangerous! We'll fall!\Don't forget Serinuma-san's in here, too!\What are they doing?\Shinomiya-kun, feel free to take a break. response:	Let's take our time.
context: I know you did something!\Fall overboard, Igarashi!\Wait!\Cut it out, it's dangerous! We'll fall!\Don't forget Serinuma-san's in here, too!\What are they doing?\Shinomiya-kun, feel free to take a break.\Let's take our time. response:	Shenpai...
context: Fall overboard, Igarashi!\Wait!\Cut it out, it's dangerous! We'll fall!\Don't forget Serinuma-san's in here, too!\What are they doing?\Shinomiya-kun, feel free to take a break.\Let's take our time.\Shenpai... response:	Ba-dump
context: Wait!\Cut it out, it's dangerous! We'll fall!\Don't forget Serinuma-san's in here, too!\What are they doing?\Shinomiya-kun, feel free to take a break.\Let's take our time.\Shenpai...\Ba-dump response:	You're right.
context: Cut it out, it's dangerous! We'll fall!\Don't forget Serinuma-san's in here, too!\What are they doing?\Shinomiya-kun, feel free to take a break.\Let's take our time.\Shenpai...\Ba-dump\You're right. response:	Look how nice the weather is!
context: Don't forget Serinuma-san's in here, too!\What are they doing?\Shinomiya-kun, feel free to take a break.\Let's take our time.\Shenpai...\Ba-dump\You're right.\Look how nice the weather is! response:	Huh?
context: What are they doing?\Shinomiya-kun, feel free to take a break.\Let's take our time.\Shenpai...\Ba-dump\You're right.\Look how nice the weather is!\Huh? response:	Where did this come from?!
context: Shinomiya-kun, feel free to take a break.\Let's take our time.\Shenpai...\Ba-dump\You're right.\Look how nice the weather is!\Huh?\Where did this come from?! response:	This is bad!
context: Let's take our time.\Shenpai...\Ba-dump\You're right.\Look how nice the weather is!\Huh?\Where did this come from?!\This is bad! response:	Wh-What's that?
context: Shenpai...\Ba-dump\You're right.\Look how nice the weather is!\Huh?\Where did this come from?!\This is bad!\Wh-What's that? response:	A whirlpool?!
context: Ba-dump\You're right.\Look how nice the weather is!\Huh?\Where did this come from?!\This is bad!\Wh-What's that?\A whirlpool?! response:	No way! Isn't this a lake?!
context: You're right.\Look how nice the weather is!\Huh?\Where did this come from?!\This is bad!\Wh-What's that?\A whirlpool?!\No way! Isn't this a lake?! response:	Help me!
context: Look how nice the weather is!\Huh?\Where did this come from?!\This is bad!\Wh-What's that?\A whirlpool?!\No way! Isn't this a lake?!\Help me! response:	I can't breathe!
context: Huh?\Where did this come from?!\This is bad!\Wh-What's that?\A whirlpool?!\No way! Isn't this a lake?!\Help me!\I can't breathe! response:	Kiss Him, Not Me
context: Where did this come from?!\This is bad!\Wh-What's that?\A whirlpool?!\No way! Isn't this a lake?!\Help me!\I can't breathe!\Kiss Him, Not Me response:	Kiss Him, Not Me
context: This is bad!\Wh-What's that?\A whirlpool?!\No way! Isn't this a lake?!\Help me!\I can't breathe!\Kiss Him, Not Me\Kiss Him, Not Me response:	Senpai!
context: Wh-What's that?\A whirlpool?!\No way! Isn't this a lake?!\Help me!\I can't breathe!\Kiss Him, Not Me\Kiss Him, Not Me\Senpai! response:	Igarashi-senpai!
context: A whirlpool?!\No way! Isn't this a lake?!\Help me!\I can't breathe!\Kiss Him, Not Me\Kiss Him, Not Me\Senpai!\Igarashi-senpai! response:	Thank goodness.
context: No way! Isn't this a lake?!\Help me!\I can't breathe!\Kiss Him, Not Me\Kiss Him, Not Me\Senpai!\Igarashi-senpai!\Thank goodness. response:	Is this that island?
context: Help me!\I can't breathe!\Kiss Him, Not Me\Kiss Him, Not Me\Senpai!\Igarashi-senpai!\Thank goodness.\Is this that island? response:	Where's Serinuma-san?!
context: I can't breathe!\Kiss Him, Not Me\Kiss Him, Not Me\Senpai!\Igarashi-senpai!\Thank goodness.\Is this that island?\Where's Serinuma-san?! response:	Not here.
context: Kiss Him, Not Me\Kiss Him, Not Me\Senpai!\Igarashi-senpai!\Thank goodness.\Is this that island?\Where's Serinuma-san?!\Not here. response:	Same with Mutsumi-senpai.
context: Kiss Him, Not Me\Senpai!\Igarashi-senpai!\Thank goodness.\Is this that island?\Where's Serinuma-san?!\Not here.\Same with Mutsumi-senpai. response:	Dammit.
context: Senpai!\Igarashi-senpai!\Thank goodness.\Is this that island?\Where's Serinuma-san?!\Not here.\Same with Mutsumi-senpai.\Dammit. response:	No good. It's broken.
context: Igarashi-senpai!\Thank goodness.\Is this that island?\Where's Serinuma-san?!\Not here.\Same with Mutsumi-senpai.\Dammit.\No good. It's broken. response:	Nanashima-senpai!
context: Thank goodness.\Is this that island?\Where's Serinuma-san?!\Not here.\Same with Mutsumi-senpai.\Dammit.\No good. It's broken.\Nanashima-senpai! response:	Nana!
context: Is this that island?\Where's Serinuma-san?!\Not here.\Same with Mutsumi-senpai.\Dammit.\No good. It's broken.\Nanashima-senpai!\Nana! response:	Nana.
context: Where's Serinuma-san?!\Not here.\Same with Mutsumi-senpai.\Dammit.\No good. It's broken.\Nanashima-senpai!\Nana!\Nana. response:	Nana!
context: Not here.\Same with Mutsumi-senpai.\Dammit.\No good. It's broken.\Nanashima-senpai!\Nana!\Nana.\Nana! response:	Nana!
context: Same with Mutsumi-senpai.\Dammit.\No good. It's broken.\Nanashima-senpai!\Nana!\Nana.\Nana!\Nana! response:	He's not breathing!
context: Dammit.\No good. It's broken.\Nanashima-senpai!\Nana!\Nana.\Nana!\Nana!\He's not breathing! response:	If he goes on like this...
context: No good. It's broken.\Nanashima-senpai!\Nana!\Nana.\Nana!\Nana!\He's not breathing!\If he goes on like this... response:	At this point, our only choice is mouth-to-mouth!
context: Nanashima-senpai!\Nana!\Nana.\Nana!\Nana!\He's not breathing!\If he goes on like this...\At this point, our only choice is mouth-to-mouth! response:	Do your best, Igarashi-senpai!
context: Nana!\Nana.\Nana!\Nana!\He's not breathing!\If he goes on like this...\At this point, our only choice is mouth-to-mouth!\Do your best, Igarashi-senpai! response:	Huh?!
context: Nana.\Nana!\Nana!\He's not breathing!\If he goes on like this...\At this point, our only choice is mouth-to-mouth!\Do your best, Igarashi-senpai!\Huh?! response:	S-Serinuma-san.
context: Nana!\Nana!\He's not breathing!\If he goes on like this...\At this point, our only choice is mouth-to-mouth!\Do your best, Igarashi-senpai!\Huh?!\S-Serinuma-san. response:	Serinuma-san?
context: Nana!\He's not breathing!\If he goes on like this...\At this point, our only choice is mouth-to-mouth!\Do your best, Igarashi-senpai!\Huh?!\S-Serinuma-san.\Serinuma-san? response:	She's not breathing!
context: He's not breathing!\If he goes on like this...\At this point, our only choice is mouth-to-mouth!\Do your best, Igarashi-senpai!\Huh?!\S-Serinuma-san.\Serinuma-san?\She's not breathing! response:	Do your best!
context: If he goes on like this...\At this point, our only choice is mouth-to-mouth!\Do your best, Igarashi-senpai!\Huh?!\S-Serinuma-san.\Serinuma-san?\She's not breathing!\Do your best! response:	Looking good!
context: At this point, our only choice is mouth-to-mouth!\Do your best, Igarashi-senpai!\Huh?!\S-Serinuma-san.\Serinuma-san?\She's not breathing!\Do your best!\Looking good! response:	Deeper!
context: Do your best, Igarashi-senpai!\Huh?!\S-Serinuma-san.\Serinuma-san?\She's not breathing!\Do your best!\Looking good!\Deeper! response:	Let's try a different angle, here. Now!
context: Huh?!\S-Serinuma-san.\Serinuma-san?\She's not breathing!\Do your best!\Looking good!\Deeper!\Let's try a different angle, here. Now! response:	Nishina! Why the hell are you taking pictures?!
context: S-Serinuma-san.\Serinuma-san?\She's not breathing!\Do your best!\Looking good!\Deeper!\Let's try a different angle, here. Now!\Nishina! Why the hell are you taking pictures?! response:	And on your smartphone! So it's working!
context: Serinuma-san?\She's not breathing!\Do your best!\Looking good!\Deeper!\Let's try a different angle, here. Now!\Nishina! Why the hell are you taking pictures?!\And on your smartphone! So it's working! response:	Nana!
context: She's not breathing!\Do your best!\Looking good!\Deeper!\Let's try a different angle, here. Now!\Nishina! Why the hell are you taking pictures?!\And on your smartphone! So it's working!\Nana! response:	Priceless! Memories! Yes! Completely waterproof!
context: Do your best!\Looking good!\Deeper!\Let's try a different angle, here. Now!\Nishina! Why the hell are you taking pictures?!\And on your smartphone! So it's working!\Nana!\Priceless! Memories! Yes! Completely waterproof! response:	Where are we?
context: Looking good!\Deeper!\Let's try a different angle, here. Now!\Nishina! Why the hell are you taking pictures?!\And on your smartphone! So it's working!\Nana!\Priceless! Memories! Yes! Completely waterproof!\Where are we? response:	What a relief. Are you okay?
context: Deeper!\Let's try a different angle, here. Now!\Nishina! Why the hell are you taking pictures?!\And on your smartphone! So it's working!\Nana!\Priceless! Memories! Yes! Completely waterproof!\Where are we?\What a relief. Are you okay? response:	You were drowning and lost consciousness.
context: Let's try a different angle, here. Now!\Nishina! Why the hell are you taking pictures?!\And on your smartphone! So it's working!\Nana!\Priceless! Memories! Yes! Completely waterproof!\Where are we?\What a relief. Are you okay?\You were drowning and lost consciousness. response:	Do you want to see how you were saved?!
context: Nishina! Why the hell are you taking pictures?!\And on your smartphone! So it's working!\Nana!\Priceless! Memories! Yes! Completely waterproof!\Where are we?\What a relief. Are you okay?\You were drowning and lost consciousness.\Do you want to see how you were saved?! response:	Forget that! Call the police!
context: And on your smartphone! So it's working!\Nana!\Priceless! Memories! Yes! Completely waterproof!\Where are we?\What a relief. Are you okay?\You were drowning and lost consciousness.\Do you want to see how you were saved?!\Forget that! Call the police! response:	No reception!
context: Nana!\Priceless! Memories! Yes! Completely waterproof!\Where are we?\What a relief. Are you okay?\You were drowning and lost consciousness.\Do you want to see how you were saved?!\Forget that! Call the police!\No reception! response:	No Reception
context: Priceless! Memories! Yes! Completely waterproof!\Where are we?\What a relief. Are you okay?\You were drowning and lost consciousness.\Do you want to see how you were saved?!\Forget that! Call the police!\No reception!\No Reception response:	Serinuma-san.
context: Where are we?\What a relief. Are you okay?\You were drowning and lost consciousness.\Do you want to see how you were saved?!\Forget that! Call the police!\No reception!\No Reception\Serinuma-san. response:	Serinuma-san!
context: What a relief. Are you okay?\You were drowning and lost consciousness.\Do you want to see how you were saved?!\Forget that! Call the police!\No reception!\No Reception\Serinuma-san.\Serinuma-san! response:	Wake up!
context: You were drowning and lost consciousness.\Do you want to see how you were saved?!\Forget that! Call the police!\No reception!\No Reception\Serinuma-san.\Serinuma-san!\Wake up! response:	I've got no choice.
context: Do you want to see how you were saved?!\Forget that! Call the police!\No reception!\No Reception\Serinuma-san.\Serinuma-san!\Wake up!\I've got no choice. response:	I need to use mouth-to-mouth.
context: Forget that! Call the police!\No reception!\No Reception\Serinuma-san.\Serinuma-san!\Wake up!\I've got no choice.\I need to use mouth-to-mouth. response:	Squirt
context: No reception!\No Reception\Serinuma-san.\Serinuma-san!\Wake up!\I've got no choice.\I need to use mouth-to-mouth.\Squirt response:	Senpai!
context: No Reception\Serinuma-san.\Serinuma-san!\Wake up!\I've got no choice.\I need to use mouth-to-mouth.\Squirt\Senpai! response:	Good, you're awake.
context: Serinuma-san.\Serinuma-san!\Wake up!\I've got no choice.\I need to use mouth-to-mouth.\Squirt\Senpai!\Good, you're awake. response:	Huh? Wh-What happened?
context: Serinuma-san!\Wake up!\I've got no choice.\I need to use mouth-to-mouth.\Squirt\Senpai!\Good, you're awake.\Huh? Wh-What happened? response:	What?! Th-Then we have to find everyone!
context: Wake up!\I've got no choice.\I need to use mouth-to-mouth.\Squirt\Senpai!\Good, you're awake.\Huh? Wh-What happened?\What?! Th-Then we have to find everyone! response:	Hey!
context: I've got no choice.\I need to use mouth-to-mouth.\Squirt\Senpai!\Good, you're awake.\Huh? Wh-What happened?\What?! Th-Then we have to find everyone!\Hey! response:	Senpai!
context: I need to use mouth-to-mouth.\Squirt\Senpai!\Good, you're awake.\Huh? Wh-What happened?\What?! Th-Then we have to find everyone!\Hey!\Senpai! response:	Senpai!
context: Squirt\Senpai!\Good, you're awake.\Huh? Wh-What happened?\What?! Th-Then we have to find everyone!\Hey!\Senpai!\Senpai! response:	Hey!
context: Senpai!\Good, you're awake.\Huh? Wh-What happened?\What?! Th-Then we have to find everyone!\Hey!\Senpai!\Senpai!\Hey! response:	Hey!
context: Good, you're awake.\Huh? Wh-What happened?\What?! Th-Then we have to find everyone!\Hey!\Senpai!\Senpai!\Hey!\Hey! response:	That's Serinuma-san's voice!
context: Huh? Wh-What happened?\What?! Th-Then we have to find everyone!\Hey!\Senpai!\Senpai!\Hey!\Hey!\That's Serinuma-san's voice! response:	Over there!
context: What?! Th-Then we have to find everyone!\Hey!\Senpai!\Senpai!\Hey!\Hey!\That's Serinuma-san's voice!\Over there! response:	Over there!
context: Hey!\Senpai!\Senpai!\Hey!\Hey!\That's Serinuma-san's voice!\Over there!\Over there! response:	They sounded like they were close, and yet...
context: Senpai!\Senpai!\Hey!\Hey!\That's Serinuma-san's voice!\Over there!\Over there!\They sounded like they were close, and yet... response:	Did we get lost?
context: Senpai!\Hey!\Hey!\That's Serinuma-san's voice!\Over there!\Over there!\They sounded like they were close, and yet...\Did we get lost? response:	No, we should be going in the right direction.
context: Hey!\Hey!\That's Serinuma-san's voice!\Over there!\Over there!\They sounded like they were close, and yet...\Did we get lost?\No, we should be going in the right direction. response:	I know.
