context: So what if you brought them over? So what if you have Drifters? response:	No matter how many of those idiots you transport here...
context: Will you truly act, Black Majesty?\Of course.\Goblins, Kobolds, and Dragons are all my brethren.\I will save as many as I can.\You are merciful, Black Majesty.\Ouch... Ouch...\I'm grateful.\Well done. You fought hard. response:	Next.
context: Of course.\Goblins, Kobolds, and Dragons are all my brethren.\I will save as many as I can.\You are merciful, Black Majesty.\Ouch... Ouch...\I'm grateful.\Well done. You fought hard.\Next. response:	Inform everybody of the fall of the Northern Wall.
context: Goblins, Kobolds, and Dragons are all my brethren.\I will save as many as I can.\You are merciful, Black Majesty.\Ouch... Ouch...\I'm grateful.\Well done. You fought hard.\Next.\Inform everybody of the fall of the Northern Wall. response:	Then, those who feared humans
context: I will save as many as I can.\You are merciful, Black Majesty.\Ouch... Ouch...\I'm grateful.\Well done. You fought hard.\Next.\Inform everybody of the fall of the Northern Wall.\Then, those who feared humans response:	and didn't believe the human world would come to an end
context: You are merciful, Black Majesty.\Ouch... Ouch...\I'm grateful.\Well done. You fought hard.\Next.\Inform everybody of the fall of the Northern Wall.\Then, those who feared humans\and didn't believe the human world would come to an end response:	will fill our ranks.
context: Ouch... Ouch...\I'm grateful.\Well done. You fought hard.\Next.\Inform everybody of the fall of the Northern Wall.\Then, those who feared humans\and didn't believe the human world would come to an end\will fill our ranks. response:	I was going to save humans,
context: I'm grateful.\Well done. You fought hard.\Next.\Inform everybody of the fall of the Northern Wall.\Then, those who feared humans\and didn't believe the human world would come to an end\will fill our ranks.\I was going to save humans, response:	but they rejected me.
context: Well done. You fought hard.\Next.\Inform everybody of the fall of the Northern Wall.\Then, those who feared humans\and didn't believe the human world would come to an end\will fill our ranks.\I was going to save humans,\but they rejected me. response:	Therefore, I have no choice but to save demihumans and destroy humans.
context: Next.\Inform everybody of the fall of the Northern Wall.\Then, those who feared humans\and didn't believe the human world would come to an end\will fill our ranks.\I was going to save humans,\but they rejected me.\Therefore, I have no choice but to save demihumans and destroy humans. response:	That is terrifying, Black Majesty.
context: Inform everybody of the fall of the Northern Wall.\Then, those who feared humans\and didn't believe the human world would come to an end\will fill our ranks.\I was going to save humans,\but they rejected me.\Therefore, I have no choice but to save demihumans and destroy humans.\That is terrifying, Black Majesty. response:	Go after the escaped Drifters.
context: Then, those who feared humans\and didn't believe the human world would come to an end\will fill our ranks.\I was going to save humans,\but they rejected me.\Therefore, I have no choice but to save demihumans and destroy humans.\That is terrifying, Black Majesty.\Go after the escaped Drifters. response:	Search... Search...
context: and didn't believe the human world would come to an end\will fill our ranks.\I was going to save humans,\but they rejected me.\Therefore, I have no choice but to save demihumans and destroy humans.\That is terrifying, Black Majesty.\Go after the escaped Drifters.\Search... Search... response:	Find out where those magicians dropped them off...
context: will fill our ranks.\I was going to save humans,\but they rejected me.\Therefore, I have no choice but to save demihumans and destroy humans.\That is terrifying, Black Majesty.\Go after the escaped Drifters.\Search... Search...\Find out where those magicians dropped them off... response:	Don't let them unite.
context: I was going to save humans,\but they rejected me.\Therefore, I have no choice but to save demihumans and destroy humans.\That is terrifying, Black Majesty.\Go after the escaped Drifters.\Search... Search...\Find out where those magicians dropped them off...\Don't let them unite. response:	No enemy but the Drifters exists before us.
context: but they rejected me.\Therefore, I have no choice but to save demihumans and destroy humans.\That is terrifying, Black Majesty.\Go after the escaped Drifters.\Search... Search...\Find out where those magicians dropped them off...\Don't let them unite.\No enemy but the Drifters exists before us. response:	Leave no stone unturned.
context: Therefore, I have no choice but to save demihumans and destroy humans.\That is terrifying, Black Majesty.\Go after the escaped Drifters.\Search... Search...\Find out where those magicians dropped them off...\Don't let them unite.\No enemy but the Drifters exists before us.\Leave no stone unturned. response:	Find them. Chase them. Kill them.
context: That is terrifying, Black Majesty.\Go after the escaped Drifters.\Search... Search...\Find out where those magicians dropped them off...\Don't let them unite.\No enemy but the Drifters exists before us.\Leave no stone unturned.\Find them. Chase them. Kill them. response:	Let me see... What am I going to do?
context: Go after the escaped Drifters.\Search... Search...\Find out where those magicians dropped them off...\Don't let them unite.\No enemy but the Drifters exists before us.\Leave no stone unturned.\Find them. Chase them. Kill them.\Let me see... What am I going to do? response:	I'll side with the one that interests me more.
context: Search... Search...\Find out where those magicians dropped them off...\Don't let them unite.\No enemy but the Drifters exists before us.\Leave no stone unturned.\Find them. Chase them. Kill them.\Let me see... What am I going to do?\I'll side with the one that interests me more. response:	I am inexorable...
context: Find out where those magicians dropped them off...\Don't let them unite.\No enemy but the Drifters exists before us.\Leave no stone unturned.\Find them. Chase them. Kill them.\Let me see... What am I going to do?\I'll side with the one that interests me more.\I am inexorable... response:	The Inexorable Tribulation who wanders and bellows.
context: Don't let them unite.\No enemy but the Drifters exists before us.\Leave no stone unturned.\Find them. Chase them. Kill them.\Let me see... What am I going to do?\I'll side with the one that interests me more.\I am inexorable...\The Inexorable Tribulation who wanders and bellows. response:	The eradication of mankind won't be over until...
context: No enemy but the Drifters exists before us.\Leave no stone unturned.\Find them. Chase them. Kill them.\Let me see... What am I going to do?\I'll side with the one that interests me more.\I am inexorable...\The Inexorable Tribulation who wanders and bellows.\The eradication of mankind won't be over until... response:	and the salvation of every single demihuman is at hand.
context: Leave no stone unturned.\Find them. Chase them. Kill them.\Let me see... What am I going to do?\I'll side with the one that interests me more.\I am inexorable...\The Inexorable Tribulation who wanders and bellows.\The eradication of mankind won't be over until...\and the salvation of every single demihuman is at hand. response:	Stand together!
context: Find them. Chase them. Kill them.\Let me see... What am I going to do?\I'll side with the one that interests me more.\I am inexorable...\The Inexorable Tribulation who wanders and bellows.\The eradication of mankind won't be over until...\and the salvation of every single demihuman is at hand.\Stand together! response:	Don't die on me, you piece of shit!
context: Let me see... What am I going to do?\I'll side with the one that interests me more.\I am inexorable...\The Inexorable Tribulation who wanders and bellows.\The eradication of mankind won't be over until...\and the salvation of every single demihuman is at hand.\Stand together!\Don't die on me, you piece of shit! response:	Pull up... you fuckin' jackass!
context: I'll side with the one that interests me more.\I am inexorable...\The Inexorable Tribulation who wanders and bellows.\The eradication of mankind won't be over until...\and the salvation of every single demihuman is at hand.\Stand together!\Don't die on me, you piece of shit!\Pull up... you fuckin' jackass! response:	Damn, this hurts!
context: I am inexorable...\The Inexorable Tribulation who wanders and bellows.\The eradication of mankind won't be over until...\and the salvation of every single demihuman is at hand.\Stand together!\Don't die on me, you piece of shit!\Pull up... you fuckin' jackass!\Damn, this hurts! response:	Who the hell are you?! You wanna try me, bastards?!
context: The Inexorable Tribulation who wanders and bellows.\The eradication of mankind won't be over until...\and the salvation of every single demihuman is at hand.\Stand together!\Don't die on me, you piece of shit!\Pull up... you fuckin' jackass!\Damn, this hurts!\Who the hell are you?! You wanna try me, bastards?! response:	What should we do next?
context: The eradication of mankind won't be over until...\and the salvation of every single demihuman is at hand.\Stand together!\Don't die on me, you piece of shit!\Pull up... you fuckin' jackass!\Damn, this hurts!\Who the hell are you?! You wanna try me, bastards?!\What should we do next? response:	It's too late to talk about that.
context: and the salvation of every single demihuman is at hand.\Stand together!\Don't die on me, you piece of shit!\Pull up... you fuckin' jackass!\Damn, this hurts!\Who the hell are you?! You wanna try me, bastards?!\What should we do next?\It's too late to talk about that. response:	We killed the lord's knight. There is no turning back.
context: Stand together!\Don't die on me, you piece of shit!\Pull up... you fuckin' jackass!\Damn, this hurts!\Who the hell are you?! You wanna try me, bastards?!\What should we do next?\It's too late to talk about that.\We killed the lord's knight. There is no turning back. response:	But those Drifters...!
context: Don't die on me, you piece of shit!\Pull up... you fuckin' jackass!\Damn, this hurts!\Who the hell are you?! You wanna try me, bastards?!\What should we do next?\It's too late to talk about that.\We killed the lord's knight. There is no turning back.\But those Drifters...! response:	The lord is not going to listen to such excuses, is he?!
context: Pull up... you fuckin' jackass!\Damn, this hurts!\Who the hell are you?! You wanna try me, bastards?!\What should we do next?\It's too late to talk about that.\We killed the lord's knight. There is no turning back.\But those Drifters...!\The lord is not going to listen to such excuses, is he?! response:	Also, more than half of the wheat field was burned down.
context: Damn, this hurts!\Who the hell are you?! You wanna try me, bastards?!\What should we do next?\It's too late to talk about that.\We killed the lord's knight. There is no turning back.\But those Drifters...!\The lord is not going to listen to such excuses, is he?!\Also, more than half of the wheat field was burned down. response:	There's not enough left to pay the tax to the lord.
context: Who the hell are you?! You wanna try me, bastards?!\What should we do next?\It's too late to talk about that.\We killed the lord's knight. There is no turning back.\But those Drifters...!\The lord is not going to listen to such excuses, is he?!\Also, more than half of the wheat field was burned down.\There's not enough left to pay the tax to the lord. response:	Even if the lord forgives us, he will confiscate the whole harvest.
context: What should we do next?\It's too late to talk about that.\We killed the lord's knight. There is no turning back.\But those Drifters...!\The lord is not going to listen to such excuses, is he?!\Also, more than half of the wheat field was burned down.\There's not enough left to pay the tax to the lord.\Even if the lord forgives us, he will confiscate the whole harvest. response:	We will be unable to feed the village!
context: It's too late to talk about that.\We killed the lord's knight. There is no turning back.\But those Drifters...!\The lord is not going to listen to such excuses, is he?!\Also, more than half of the wheat field was burned down.\There's not enough left to pay the tax to the lord.\Even if the lord forgives us, he will confiscate the whole harvest.\We will be unable to feed the village! response:	We have no choice but to rebel.
context: We killed the lord's knight. There is no turning back.\But those Drifters...!\The lord is not going to listen to such excuses, is he?!\Also, more than half of the wheat field was burned down.\There's not enough left to pay the tax to the lord.\Even if the lord forgives us, he will confiscate the whole harvest.\We will be unable to feed the village!\We have no choice but to rebel. response:	The punitive forces are approaching the village as we speak!
context: But those Drifters...!\The lord is not going to listen to such excuses, is he?!\Also, more than half of the wheat field was burned down.\There's not enough left to pay the tax to the lord.\Even if the lord forgives us, he will confiscate the whole harvest.\We will be unable to feed the village!\We have no choice but to rebel.\The punitive forces are approaching the village as we speak! response:	If we don't act now, we'll end up being
context: The lord is not going to listen to such excuses, is he?!\Also, more than half of the wheat field was burned down.\There's not enough left to pay the tax to the lord.\Even if the lord forgives us, he will confiscate the whole harvest.\We will be unable to feed the village!\We have no choice but to rebel.\The punitive forces are approaching the village as we speak!\If we don't act now, we'll end up being response:	killed or dying from hunger, guaranteed!
context: Also, more than half of the wheat field was burned down.\There's not enough left to pay the tax to the lord.\Even if the lord forgives us, he will confiscate the whole harvest.\We will be unable to feed the village!\We have no choice but to rebel.\The punitive forces are approaching the village as we speak!\If we don't act now, we'll end up being\killed or dying from hunger, guaranteed! response:	That's right. We can't take this any longer.
context: There's not enough left to pay the tax to the lord.\Even if the lord forgives us, he will confiscate the whole harvest.\We will be unable to feed the village!\We have no choice but to rebel.\The punitive forces are approaching the village as we speak!\If we don't act now, we'll end up being\killed or dying from hunger, guaranteed!\That's right. We can't take this any longer. response:	We have no choice but to overthrow the lord.
context: Even if the lord forgives us, he will confiscate the whole harvest.\We will be unable to feed the village!\We have no choice but to rebel.\The punitive forces are approaching the village as we speak!\If we don't act now, we'll end up being\killed or dying from hunger, guaranteed!\That's right. We can't take this any longer.\We have no choice but to overthrow the lord. response:	Don't be foolish! We don't stand a chance!
context: We will be unable to feed the village!\We have no choice but to rebel.\The punitive forces are approaching the village as we speak!\If we don't act now, we'll end up being\killed or dying from hunger, guaranteed!\That's right. We can't take this any longer.\We have no choice but to overthrow the lord.\Don't be foolish! We don't stand a chance! response:	Yea, do, yea, do.
context: We have no choice but to rebel.\The punitive forces are approaching the village as we speak!\If we don't act now, we'll end up being\killed or dying from hunger, guaranteed!\That's right. We can't take this any longer.\We have no choice but to overthrow the lord.\Don't be foolish! We don't stand a chance!\Yea, do, yea, do. response:	Yea, do. Yea, do. You...
context: The punitive forces are approaching the village as we speak!\If we don't act now, we'll end up being\killed or dying from hunger, guaranteed!\That's right. We can't take this any longer.\We have no choice but to overthrow the lord.\Don't be foolish! We don't stand a chance!\Yea, do, yea, do.\Yea, do. Yea, do. You... response:	win chance, yea, yea, do. You rebel. That so awesome!
context: If we don't act now, we'll end up being\killed or dying from hunger, guaranteed!\That's right. We can't take this any longer.\We have no choice but to overthrow the lord.\Don't be foolish! We don't stand a chance!\Yea, do, yea, do.\Yea, do. Yea, do. You...\win chance, yea, yea, do. You rebel. That so awesome! response:	We Nobu Nobu, Yoicchii, Toyo Toyo,
context: killed or dying from hunger, guaranteed!\That's right. We can't take this any longer.\We have no choice but to overthrow the lord.\Don't be foolish! We don't stand a chance!\Yea, do, yea, do.\Yea, do. Yea, do. You...\win chance, yea, yea, do. You rebel. That so awesome!\We Nobu Nobu, Yoicchii, Toyo Toyo, response:	-Hey! What the...?!
context: That's right. We can't take this any longer.\We have no choice but to overthrow the lord.\Don't be foolish! We don't stand a chance!\Yea, do, yea, do.\Yea, do. Yea, do. You...\win chance, yea, yea, do. You rebel. That so awesome!\We Nobu Nobu, Yoicchii, Toyo Toyo,\-Hey! What the...?! response:	-all have power power.
context: We have no choice but to overthrow the lord.\Don't be foolish! We don't stand a chance!\Yea, do, yea, do.\Yea, do. Yea, do. You...\win chance, yea, yea, do. You rebel. That so awesome!\We Nobu Nobu, Yoicchii, Toyo Toyo,\-Hey! What the...?!\-all have power power. response:	Damn. They have no idea what he's talking about.
context: Don't be foolish! We don't stand a chance!\Yea, do, yea, do.\Yea, do. Yea, do. You...\win chance, yea, yea, do. You rebel. That so awesome!\We Nobu Nobu, Yoicchii, Toyo Toyo,\-Hey! What the...?!\-all have power power.\Damn. They have no idea what he's talking about. response:	Hey!
context: Yea, do, yea, do.\Yea, do. Yea, do. You...\win chance, yea, yea, do. You rebel. That so awesome!\We Nobu Nobu, Yoicchii, Toyo Toyo,\-Hey! What the...?!\-all have power power.\Damn. They have no idea what he's talking about.\Hey! response:	Mutter mutter mutter
context: Yea, do. Yea, do. You...\win chance, yea, yea, do. You rebel. That so awesome!\We Nobu Nobu, Yoicchii, Toyo Toyo,\-Hey! What the...?!\-all have power power.\Damn. They have no idea what he's talking about.\Hey!\Mutter mutter mutter response:	You, wait!
context: win chance, yea, yea, do. You rebel. That so awesome!\We Nobu Nobu, Yoicchii, Toyo Toyo,\-Hey! What the...?!\-all have power power.\Damn. They have no idea what he's talking about.\Hey!\Mutter mutter mutter\You, wait! response:	Oh, no! Here he goes!
context: We Nobu Nobu, Yoicchii, Toyo Toyo,\-Hey! What the...?!\-all have power power.\Damn. They have no idea what he's talking about.\Hey!\Mutter mutter mutter\You, wait!\Oh, no! Here he goes! response:	How can you speak our language?!
context: -Hey! What the...?!\-all have power power.\Damn. They have no idea what he's talking about.\Hey!\Mutter mutter mutter\You, wait!\Oh, no! Here he goes!\How can you speak our language?! response:	Umm... We are a magician organization.
context: -all have power power.\Damn. They have no idea what he's talking about.\Hey!\Mutter mutter mutter\You, wait!\Oh, no! Here he goes!\How can you speak our language?!\Umm... We are a magician organization. response:	All this time, we've been investigating you...
context: Damn. They have no idea what he's talking about.\Hey!\Mutter mutter mutter\You, wait!\Oh, no! Here he goes!\How can you speak our language?!\Umm... We are a magician organization.\All this time, we've been investigating you... response:	Grand Master created this convenient charm.
context: Hey!\Mutter mutter mutter\You, wait!\Oh, no! Here he goes!\How can you speak our language?!\Umm... We are a magician organization.\All this time, we've been investigating you...\Grand Master created this convenient charm. response:	Applying it grants you instant fluency.
context: Mutter mutter mutter\You, wait!\Oh, no! Here he goes!\How can you speak our language?!\Umm... We are a magician organization.\All this time, we've been investigating you...\Grand Master created this convenient charm.\Applying it grants you instant fluency. response:	Isn't our Grand Master great?
context: You, wait!\Oh, no! Here he goes!\How can you speak our language?!\Umm... We are a magician organization.\All this time, we've been investigating you...\Grand Master created this convenient charm.\Applying it grants you instant fluency.\Isn't our Grand Master great? response:	If I'd known such a convenient thing existed...
context: Oh, no! Here he goes!\How can you speak our language?!\Umm... We are a magician organization.\All this time, we've been investigating you...\Grand Master created this convenient charm.\Applying it grants you instant fluency.\Isn't our Grand Master great?\If I'd known such a convenient thing existed... response:	Hey, you! Do you know how hard it was for Yoichi to learn their language?!
context: How can you speak our language?!\Umm... We are a magician organization.\All this time, we've been investigating you...\Grand Master created this convenient charm.\Applying it grants you instant fluency.\Isn't our Grand Master great?\If I'd known such a convenient thing existed...\Hey, you! Do you know how hard it was for Yoichi to learn their language?! response:	How should I know that?!
context: Umm... We are a magician organization.\All this time, we've been investigating you...\Grand Master created this convenient charm.\Applying it grants you instant fluency.\Isn't our Grand Master great?\If I'd known such a convenient thing existed...\Hey, you! Do you know how hard it was for Yoichi to learn their language?!\How should I know that?! response:	Apologize to Yoichi. Apologize!
context: All this time, we've been investigating you...\Grand Master created this convenient charm.\Applying it grants you instant fluency.\Isn't our Grand Master great?\If I'd known such a convenient thing existed...\Hey, you! Do you know how hard it was for Yoichi to learn their language?!\How should I know that?!\Apologize to Yoichi. Apologize! response:	Wh-Why should I?
context: Grand Master created this convenient charm.\Applying it grants you instant fluency.\Isn't our Grand Master great?\If I'd known such a convenient thing existed...\Hey, you! Do you know how hard it was for Yoichi to learn their language?!\How should I know that?!\Apologize to Yoichi. Apologize!\Wh-Why should I? response:	Just apologize to him. Don't you feel sympathy for him?!
context: Applying it grants you instant fluency.\Isn't our Grand Master great?\If I'd known such a convenient thing existed...\Hey, you! Do you know how hard it was for Yoichi to learn their language?!\How should I know that?!\Apologize to Yoichi. Apologize!\Wh-Why should I?\Just apologize to him. Don't you feel sympathy for him?! response:	All right. I'm sorry... So sorry.
context: Isn't our Grand Master great?\If I'd known such a convenient thing existed...\Hey, you! Do you know how hard it was for Yoichi to learn their language?!\How should I know that?!\Apologize to Yoichi. Apologize!\Wh-Why should I?\Just apologize to him. Don't you feel sympathy for him?!\All right. I'm sorry... So sorry. response:	Hand over that charm to me now.
context: If I'd known such a convenient thing existed...\Hey, you! Do you know how hard it was for Yoichi to learn their language?!\How should I know that?!\Apologize to Yoichi. Apologize!\Wh-Why should I?\Just apologize to him. Don't you feel sympathy for him?!\All right. I'm sorry... So sorry.\Hand over that charm to me now. response:	Well... please wait for a moment...
context: Hey, you! Do you know how hard it was for Yoichi to learn their language?!\How should I know that?!\Apologize to Yoichi. Apologize!\Wh-Why should I?\Just apologize to him. Don't you feel sympathy for him?!\All right. I'm sorry... So sorry.\Hand over that charm to me now.\Well... please wait for a moment... response:	For a Far Eastern samurai-looking person...
context: How should I know that?!\Apologize to Yoichi. Apologize!\Wh-Why should I?\Just apologize to him. Don't you feel sympathy for him?!\All right. I'm sorry... So sorry.\Hand over that charm to me now.\Well... please wait for a moment...\For a Far Eastern samurai-looking person... response:	Let's see... this might be it.
context: Apologize to Yoichi. Apologize!\Wh-Why should I?\Just apologize to him. Don't you feel sympathy for him?!\All right. I'm sorry... So sorry.\Hand over that charm to me now.\Well... please wait for a moment...\For a Far Eastern samurai-looking person...\Let's see... this might be it. response:	Good afternoon. Good afternoon.
context: Wh-Why should I?\Just apologize to him. Don't you feel sympathy for him?!\All right. I'm sorry... So sorry.\Hand over that charm to me now.\Well... please wait for a moment...\For a Far Eastern samurai-looking person...\Let's see... this might be it.\Good afternoon. Good afternoon. response:	Good afternoon... Good afternoon...
context: Just apologize to him. Don't you feel sympathy for him?!\All right. I'm sorry... So sorry.\Hand over that charm to me now.\Well... please wait for a moment...\For a Far Eastern samurai-looking person...\Let's see... this might be it.\Good afternoon. Good afternoon.\Good afternoon... Good afternoon... response:	You! He looks like a weird zombie.
context: All right. I'm sorry... So sorry.\Hand over that charm to me now.\Well... please wait for a moment...\For a Far Eastern samurai-looking person...\Let's see... this might be it.\Good afternoon. Good afternoon.\Good afternoon... Good afternoon...\You! He looks like a weird zombie. response:	Think about where you put those things, moron!
context: Hand over that charm to me now.\Well... please wait for a moment...\For a Far Eastern samurai-looking person...\Let's see... this might be it.\Good afternoon. Good afternoon.\Good afternoon... Good afternoon...\You! He looks like a weird zombie.\Think about where you put those things, moron! response:	Yes, sir! I'm sorry! I'm sorry!
context: Well... please wait for a moment...\For a Far Eastern samurai-looking person...\Let's see... this might be it.\Good afternoon. Good afternoon.\Good afternoon... Good afternoon...\You! He looks like a weird zombie.\Think about where you put those things, moron!\Yes, sir! I'm sorry! I'm sorry! response:	These resemble the charms created by the Onmyodo cosmologists in Kyoto.
context: For a Far Eastern samurai-looking person...\Let's see... this might be it.\Good afternoon. Good afternoon.\Good afternoon... Good afternoon...\You! He looks like a weird zombie.\Think about where you put those things, moron!\Yes, sir! I'm sorry! I'm sorry!\These resemble the charms created by the Onmyodo cosmologists in Kyoto. response:	Who the hell is this Grand Master of the Octobrist Organization?
context: Let's see... this might be it.\Good afternoon. Good afternoon.\Good afternoon... Good afternoon...\You! He looks like a weird zombie.\Think about where you put those things, moron!\Yes, sir! I'm sorry! I'm sorry!\These resemble the charms created by the Onmyodo cosmologists in Kyoto.\Who the hell is this Grand Master of the Octobrist Organization? response:	Hey, Four-Eyed Boobs.
context: Good afternoon. Good afternoon.\Good afternoon... Good afternoon...\You! He looks like a weird zombie.\Think about where you put those things, moron!\Yes, sir! I'm sorry! I'm sorry!\These resemble the charms created by the Onmyodo cosmologists in Kyoto.\Who the hell is this Grand Master of the Octobrist Organization?\Hey, Four-Eyed Boobs. response:	I am Olminu! That's not even close to my real name.
context: Good afternoon... Good afternoon...\You! He looks like a weird zombie.\Think about where you put those things, moron!\Yes, sir! I'm sorry! I'm sorry!\These resemble the charms created by the Onmyodo cosmologists in Kyoto.\Who the hell is this Grand Master of the Octobrist Organization?\Hey, Four-Eyed Boobs.\I am Olminu! That's not even close to my real name. response:	Explain to me the situation with the Long Ears.
context: You! He looks like a weird zombie.\Think about where you put those things, moron!\Yes, sir! I'm sorry! I'm sorry!\These resemble the charms created by the Onmyodo cosmologists in Kyoto.\Who the hell is this Grand Master of the Octobrist Organization?\Hey, Four-Eyed Boobs.\I am Olminu! That's not even close to my real name.\Explain to me the situation with the Long Ears. response:	What?! You mean now?
context: Think about where you put those things, moron!\Yes, sir! I'm sorry! I'm sorry!\These resemble the charms created by the Onmyodo cosmologists in Kyoto.\Who the hell is this Grand Master of the Octobrist Organization?\Hey, Four-Eyed Boobs.\I am Olminu! That's not even close to my real name.\Explain to me the situation with the Long Ears.\What?! You mean now? response:	I can imagine most of it myself, so do it briefly.
context: Yes, sir! I'm sorry! I'm sorry!\These resemble the charms created by the Onmyodo cosmologists in Kyoto.\Who the hell is this Grand Master of the Octobrist Organization?\Hey, Four-Eyed Boobs.\I am Olminu! That's not even close to my real name.\Explain to me the situation with the Long Ears.\What?! You mean now?\I can imagine most of it myself, so do it briefly. response:	Yes, sir. Those people are called Elves.
context: These resemble the charms created by the Onmyodo cosmologists in Kyoto.\Who the hell is this Grand Master of the Octobrist Organization?\Hey, Four-Eyed Boobs.\I am Olminu! That's not even close to my real name.\Explain to me the situation with the Long Ears.\What?! You mean now?\I can imagine most of it myself, so do it briefly.\Yes, sir. Those people are called Elves. response:	Decades ago, the humans attacked, defeated, and subjugated them.
context: Who the hell is this Grand Master of the Octobrist Organization?\Hey, Four-Eyed Boobs.\I am Olminu! That's not even close to my real name.\Explain to me the situation with the Long Ears.\What?! You mean now?\I can imagine most of it myself, so do it briefly.\Yes, sir. Those people are called Elves.\Decades ago, the humans attacked, defeated, and subjugated them. response:	Since then, they live their lives as serfs.
context: Hey, Four-Eyed Boobs.\I am Olminu! That's not even close to my real name.\Explain to me the situation with the Long Ears.\What?! You mean now?\I can imagine most of it myself, so do it briefly.\Yes, sir. Those people are called Elves.\Decades ago, the humans attacked, defeated, and subjugated them.\Since then, they live their lives as serfs. response:	I see. What kind of creatures are Elves?
context: I am Olminu! That's not even close to my real name.\Explain to me the situation with the Long Ears.\What?! You mean now?\I can imagine most of it myself, so do it briefly.\Yes, sir. Those people are called Elves.\Decades ago, the humans attacked, defeated, and subjugated them.\Since then, they live their lives as serfs.\I see. What kind of creatures are Elves? response:	Umm... they have a long life expectancy.
context: Explain to me the situation with the Long Ears.\What?! You mean now?\I can imagine most of it myself, so do it briefly.\Yes, sir. Those people are called Elves.\Decades ago, the humans attacked, defeated, and subjugated them.\Since then, they live their lives as serfs.\I see. What kind of creatures are Elves?\Umm... they have a long life expectancy. response:	Also, I heard that they were naturally proud.
context: What?! You mean now?\I can imagine most of it myself, so do it briefly.\Yes, sir. Those people are called Elves.\Decades ago, the humans attacked, defeated, and subjugated them.\Since then, they live their lives as serfs.\I see. What kind of creatures are Elves?\Umm... they have a long life expectancy.\Also, I heard that they were naturally proud. response:	That's more than enough.
context: I can imagine most of it myself, so do it briefly.\Yes, sir. Those people are called Elves.\Decades ago, the humans attacked, defeated, and subjugated them.\Since then, they live their lives as serfs.\I see. What kind of creatures are Elves?\Umm... they have a long life expectancy.\Also, I heard that they were naturally proud.\That's more than enough. response:	Toyohisa, tell them.
context: Yes, sir. Those people are called Elves.\Decades ago, the humans attacked, defeated, and subjugated them.\Since then, they live their lives as serfs.\I see. What kind of creatures are Elves?\Umm... they have a long life expectancy.\Also, I heard that they were naturally proud.\That's more than enough.\Toyohisa, tell them. response:	-Huh? -Stand next to me and say what I tell you.
context: Decades ago, the humans attacked, defeated, and subjugated them.\Since then, they live their lives as serfs.\I see. What kind of creatures are Elves?\Umm... they have a long life expectancy.\Also, I heard that they were naturally proud.\That's more than enough.\Toyohisa, tell them.\-Huh? -Stand next to me and say what I tell you. response:	You should be the one to speak up in a situation like this.
context: Since then, they live their lives as serfs.\I see. What kind of creatures are Elves?\Umm... they have a long life expectancy.\Also, I heard that they were naturally proud.\That's more than enough.\Toyohisa, tell them.\-Huh? -Stand next to me and say what I tell you.\You should be the one to speak up in a situation like this. response:	Toyo, tell them what you told me earlier.
context: I see. What kind of creatures are Elves?\Umm... they have a long life expectancy.\Also, I heard that they were naturally proud.\That's more than enough.\Toyohisa, tell them.\-Huh? -Stand next to me and say what I tell you.\You should be the one to speak up in a situation like this.\Toyo, tell them what you told me earlier. response:	Tell them like this... Then, like that...
context: Umm... they have a long life expectancy.\Also, I heard that they were naturally proud.\That's more than enough.\Toyohisa, tell them.\-Huh? -Stand next to me and say what I tell you.\You should be the one to speak up in a situation like this.\Toyo, tell them what you told me earlier.\Tell them like this... Then, like that... response:	You really are underhanded. No wonder you were betrayed.
context: Also, I heard that they were naturally proud.\That's more than enough.\Toyohisa, tell them.\-Huh? -Stand next to me and say what I tell you.\You should be the one to speak up in a situation like this.\Toyo, tell them what you told me earlier.\Tell them like this... Then, like that...\You really are underhanded. No wonder you were betrayed. response:	Shut up! Tell them.
context: That's more than enough.\Toyohisa, tell them.\-Huh? -Stand next to me and say what I tell you.\You should be the one to speak up in a situation like this.\Toyo, tell them what you told me earlier.\Tell them like this... Then, like that...\You really are underhanded. No wonder you were betrayed.\Shut up! Tell them. response:	Hey, you all!
context: Toyohisa, tell them.\-Huh? -Stand next to me and say what I tell you.\You should be the one to speak up in a situation like this.\Toyo, tell them what you told me earlier.\Tell them like this... Then, like that...\You really are underhanded. No wonder you were betrayed.\Shut up! Tell them.\Hey, you all! response:	Aren't you a disgrace to your forefathers?
context: -Huh? -Stand next to me and say what I tell you.\You should be the one to speak up in a situation like this.\Toyo, tell them what you told me earlier.\Tell them like this... Then, like that...\You really are underhanded. No wonder you were betrayed.\Shut up! Tell them.\Hey, you all!\Aren't you a disgrace to your forefathers? response:	Do you not bring humiliation to your children?
context: You should be the one to speak up in a situation like this.\Toyo, tell them what you told me earlier.\Tell them like this... Then, like that...\You really are underhanded. No wonder you were betrayed.\Shut up! Tell them.\Hey, you all!\Aren't you a disgrace to your forefathers?\Do you not bring humiliation to your children? response:	Don't you wish to have your own state?
context: Toyo, tell them what you told me earlier.\Tell them like this... Then, like that...\You really are underhanded. No wonder you were betrayed.\Shut up! Tell them.\Hey, you all!\Aren't you a disgrace to your forefathers?\Do you not bring humiliation to your children?\Don't you wish to have your own state? response:	Will you grovel and die with regret?
