context: Hey, Amara... response:	Have you ever thought the wind felt good?
context: Toshiaki-san...\Where is Daichi?\Does your head still hurt?\I'm fine now.\Hey, Hana...\Do you remember the first time we met?\Yup.\And what you said then? response:	Yup.
context: Where is Daichi?\Does your head still hurt?\I'm fine now.\Hey, Hana...\Do you remember the first time we met?\Yup.\And what you said then?\Yup. response:	A voice that resounds throughout infinity
context: Does your head still hurt?\I'm fine now.\Hey, Hana...\Do you remember the first time we met?\Yup.\And what you said then?\Yup.\A voice that resounds throughout infinity response:	sings a melody of gentle memories.
context: I'm fine now.\Hey, Hana...\Do you remember the first time we met?\Yup.\And what you said then?\Yup.\A voice that resounds throughout infinity\sings a melody of gentle memories. response:	The light of the promise I know we once shared.
context: Hey, Hana...\Do you remember the first time we met?\Yup.\And what you said then?\Yup.\A voice that resounds throughout infinity\sings a melody of gentle memories.\The light of the promise I know we once shared. response:	Is it you?
context: Do you remember the first time we met?\Yup.\And what you said then?\Yup.\A voice that resounds throughout infinity\sings a melody of gentle memories.\The light of the promise I know we once shared.\Is it you? response:	What did that mean?
context: Yup.\And what you said then?\Yup.\A voice that resounds throughout infinity\sings a melody of gentle memories.\The light of the promise I know we once shared.\Is it you?\What did that mean? response:	I've been here for a long time, but I'm not from this island.
context: And what you said then?\Yup.\A voice that resounds throughout infinity\sings a melody of gentle memories.\The light of the promise I know we once shared.\Is it you?\What did that mean?\I've been here for a long time, but I'm not from this island. response:	They created me to fire the Livlaster.
context: Yup.\A voice that resounds throughout infinity\sings a melody of gentle memories.\The light of the promise I know we once shared.\Is it you?\What did that mean?\I've been here for a long time, but I'm not from this island.\They created me to fire the Livlaster. response:	But I couldn't do it.
context: A voice that resounds throughout infinity\sings a melody of gentle memories.\The light of the promise I know we once shared.\Is it you?\What did that mean?\I've been here for a long time, but I'm not from this island.\They created me to fire the Livlaster.\But I couldn't do it. response:	In the distant past...
context: sings a melody of gentle memories.\The light of the promise I know we once shared.\Is it you?\What did that mean?\I've been here for a long time, but I'm not from this island.\They created me to fire the Livlaster.\But I couldn't do it.\In the distant past... response:	I was in a world where everything was veiled by darkness.
context: The light of the promise I know we once shared.\Is it you?\What did that mean?\I've been here for a long time, but I'm not from this island.\They created me to fire the Livlaster.\But I couldn't do it.\In the distant past...\I was in a world where everything was veiled by darkness. response:	Darkness surrounded me on all sides,
context: Is it you?\What did that mean?\I've been here for a long time, but I'm not from this island.\They created me to fire the Livlaster.\But I couldn't do it.\In the distant past...\I was in a world where everything was veiled by darkness.\Darkness surrounded me on all sides, response:	and the only thing they wanted me to do was to fire that gun.
context: What did that mean?\I've been here for a long time, but I'm not from this island.\They created me to fire the Livlaster.\But I couldn't do it.\In the distant past...\I was in a world where everything was veiled by darkness.\Darkness surrounded me on all sides,\and the only thing they wanted me to do was to fire that gun. response:	I wasn't even sure if I wanted to give them what they desired or not...
context: I've been here for a long time, but I'm not from this island.\They created me to fire the Livlaster.\But I couldn't do it.\In the distant past...\I was in a world where everything was veiled by darkness.\Darkness surrounded me on all sides,\and the only thing they wanted me to do was to fire that gun.\I wasn't even sure if I wanted to give them what they desired or not... response:	But then, I thought I saw a light.
context: They created me to fire the Livlaster.\But I couldn't do it.\In the distant past...\I was in a world where everything was veiled by darkness.\Darkness surrounded me on all sides,\and the only thing they wanted me to do was to fire that gun.\I wasn't even sure if I wanted to give them what they desired or not...\But then, I thought I saw a light. response:	It felt like someone's voice calling to me.
context: But I couldn't do it.\In the distant past...\I was in a world where everything was veiled by darkness.\Darkness surrounded me on all sides,\and the only thing they wanted me to do was to fire that gun.\I wasn't even sure if I wanted to give them what they desired or not...\But then, I thought I saw a light.\It felt like someone's voice calling to me. response:	I thought that I needed to meet that person...
context: In the distant past...\I was in a world where everything was veiled by darkness.\Darkness surrounded me on all sides,\and the only thing they wanted me to do was to fire that gun.\I wasn't even sure if I wanted to give them what they desired or not...\But then, I thought I saw a light.\It felt like someone's voice calling to me.\I thought that I needed to meet that person... response:	That I wanted to meet that person.
context: I was in a world where everything was veiled by darkness.\Darkness surrounded me on all sides,\and the only thing they wanted me to do was to fire that gun.\I wasn't even sure if I wanted to give them what they desired or not...\But then, I thought I saw a light.\It felt like someone's voice calling to me.\I thought that I needed to meet that person...\That I wanted to meet that person. response:	So I broke free of their grasp, and ran toward the light.
context: Darkness surrounded me on all sides,\and the only thing they wanted me to do was to fire that gun.\I wasn't even sure if I wanted to give them what they desired or not...\But then, I thought I saw a light.\It felt like someone's voice calling to me.\I thought that I needed to meet that person...\That I wanted to meet that person.\So I broke free of their grasp, and ran toward the light. response:	And this is the place I ran to.
context: and the only thing they wanted me to do was to fire that gun.\I wasn't even sure if I wanted to give them what they desired or not...\But then, I thought I saw a light.\It felt like someone's voice calling to me.\I thought that I needed to meet that person...\That I wanted to meet that person.\So I broke free of their grasp, and ran toward the light.\And this is the place I ran to. response:	By them, do you mean those Planetary Gear guys?
context: I wasn't even sure if I wanted to give them what they desired or not...\But then, I thought I saw a light.\It felt like someone's voice calling to me.\I thought that I needed to meet that person...\That I wanted to meet that person.\So I broke free of their grasp, and ran toward the light.\And this is the place I ran to.\By them, do you mean those Planetary Gear guys? response:	As Planetary Gears, our real bodies are constructed
context: But then, I thought I saw a light.\It felt like someone's voice calling to me.\I thought that I needed to meet that person...\That I wanted to meet that person.\So I broke free of their grasp, and ran toward the light.\And this is the place I ran to.\By them, do you mean those Planetary Gear guys?\As Planetary Gears, our real bodies are constructed response:	from a material called Ego Blocks.
context: It felt like someone's voice calling to me.\I thought that I needed to meet that person...\That I wanted to meet that person.\So I broke free of their grasp, and ran toward the light.\And this is the place I ran to.\By them, do you mean those Planetary Gear guys?\As Planetary Gears, our real bodies are constructed\from a material called Ego Blocks. response:	They are crystallized, digitized souls.
context: I thought that I needed to meet that person...\That I wanted to meet that person.\So I broke free of their grasp, and ran toward the light.\And this is the place I ran to.\By them, do you mean those Planetary Gear guys?\As Planetary Gears, our real bodies are constructed\from a material called Ego Blocks.\They are crystallized, digitized souls. response:	Unless they're destroyed, we are theoretically immortal.
context: That I wanted to meet that person.\So I broke free of their grasp, and ran toward the light.\And this is the place I ran to.\By them, do you mean those Planetary Gear guys?\As Planetary Gears, our real bodies are constructed\from a material called Ego Blocks.\They are crystallized, digitized souls.\Unless they're destroyed, we are theoretically immortal. response:	We believe that we are the only true people in this galaxy.
context: So I broke free of their grasp, and ran toward the light.\And this is the place I ran to.\By them, do you mean those Planetary Gear guys?\As Planetary Gears, our real bodies are constructed\from a material called Ego Blocks.\They are crystallized, digitized souls.\Unless they're destroyed, we are theoretically immortal.\We believe that we are the only true people in this galaxy. response:	That everyone else is nothing but a tool for our use.
context: And this is the place I ran to.\By them, do you mean those Planetary Gear guys?\As Planetary Gears, our real bodies are constructed\from a material called Ego Blocks.\They are crystallized, digitized souls.\Unless they're destroyed, we are theoretically immortal.\We believe that we are the only true people in this galaxy.\That everyone else is nothing but a tool for our use. response:	I don't have an Ego Block body.
context: By them, do you mean those Planetary Gear guys?\As Planetary Gears, our real bodies are constructed\from a material called Ego Blocks.\They are crystallized, digitized souls.\Unless they're destroyed, we are theoretically immortal.\We believe that we are the only true people in this galaxy.\That everyone else is nothing but a tool for our use.\I don't have an Ego Block body. response:	I'm not one of them.
context: As Planetary Gears, our real bodies are constructed\from a material called Ego Blocks.\They are crystallized, digitized souls.\Unless they're destroyed, we are theoretically immortal.\We believe that we are the only true people in this galaxy.\That everyone else is nothing but a tool for our use.\I don't have an Ego Block body.\I'm not one of them. response:	I was created as a tool, to fire the Livlaster.
context: from a material called Ego Blocks.\They are crystallized, digitized souls.\Unless they're destroyed, we are theoretically immortal.\We believe that we are the only true people in this galaxy.\That everyone else is nothing but a tool for our use.\I don't have an Ego Block body.\I'm not one of them.\I was created as a tool, to fire the Livlaster. response:	You're not a tool... You're a person.
context: They are crystallized, digitized souls.\Unless they're destroyed, we are theoretically immortal.\We believe that we are the only true people in this galaxy.\That everyone else is nothing but a tool for our use.\I don't have an Ego Block body.\I'm not one of them.\I was created as a tool, to fire the Livlaster.\You're not a tool... You're a person. response:	They don't think so.
context: Unless they're destroyed, we are theoretically immortal.\We believe that we are the only true people in this galaxy.\That everyone else is nothing but a tool for our use.\I don't have an Ego Block body.\I'm not one of them.\I was created as a tool, to fire the Livlaster.\You're not a tool... You're a person.\They don't think so. response:	But Teppei's different.
context: We believe that we are the only true people in this galaxy.\That everyone else is nothing but a tool for our use.\I don't have an Ego Block body.\I'm not one of them.\I was created as a tool, to fire the Livlaster.\You're not a tool... You're a person.\They don't think so.\But Teppei's different. response:	Teppei, do you still have your personality and memories
context: That everyone else is nothing but a tool for our use.\I don't have an Ego Block body.\I'm not one of them.\I was created as a tool, to fire the Livlaster.\You're not a tool... You're a person.\They don't think so.\But Teppei's different.\Teppei, do you still have your personality and memories response:	from when you were Albion, one of the Planetary Gears?
context: I don't have an Ego Block body.\I'm not one of them.\I was created as a tool, to fire the Livlaster.\You're not a tool... You're a person.\They don't think so.\But Teppei's different.\Teppei, do you still have your personality and memories\from when you were Albion, one of the Planetary Gears? response:	What does the world look like to you?
context: I'm not one of them.\I was created as a tool, to fire the Livlaster.\You're not a tool... You're a person.\They don't think so.\But Teppei's different.\Teppei, do you still have your personality and memories\from when you were Albion, one of the Planetary Gears?\What does the world look like to you? response:	We Planetary Gears might be like the glass bead
context: I was created as a tool, to fire the Livlaster.\You're not a tool... You're a person.\They don't think so.\But Teppei's different.\Teppei, do you still have your personality and memories\from when you were Albion, one of the Planetary Gears?\What does the world look like to you?\We Planetary Gears might be like the glass bead response:	in this Ramune soda bottle.
context: You're not a tool... You're a person.\They don't think so.\But Teppei's different.\Teppei, do you still have your personality and memories\from when you were Albion, one of the Planetary Gears?\What does the world look like to you?\We Planetary Gears might be like the glass bead\in this Ramune soda bottle. response:	Even when you've drunk it all, and the bottle's job is done,
context: They don't think so.\But Teppei's different.\Teppei, do you still have your personality and memories\from when you were Albion, one of the Planetary Gears?\What does the world look like to you?\We Planetary Gears might be like the glass bead\in this Ramune soda bottle.\Even when you've drunk it all, and the bottle's job is done, response:	the bead still cannot leave it.
context: But Teppei's different.\Teppei, do you still have your personality and memories\from when you were Albion, one of the Planetary Gears?\What does the world look like to you?\We Planetary Gears might be like the glass bead\in this Ramune soda bottle.\Even when you've drunk it all, and the bottle's job is done,\the bead still cannot leave it. response:	Eternal life...
context: Teppei, do you still have your personality and memories\from when you were Albion, one of the Planetary Gears?\What does the world look like to you?\We Planetary Gears might be like the glass bead\in this Ramune soda bottle.\Even when you've drunk it all, and the bottle's job is done,\the bead still cannot leave it.\Eternal life... response:	Does it mean eternal happiness?
context: from when you were Albion, one of the Planetary Gears?\What does the world look like to you?\We Planetary Gears might be like the glass bead\in this Ramune soda bottle.\Even when you've drunk it all, and the bottle's job is done,\the bead still cannot leave it.\Eternal life...\Does it mean eternal happiness? response:	Or is it an eternal prison for the soul?
context: What does the world look like to you?\We Planetary Gears might be like the glass bead\in this Ramune soda bottle.\Even when you've drunk it all, and the bottle's job is done,\the bead still cannot leave it.\Eternal life...\Does it mean eternal happiness?\Or is it an eternal prison for the soul? response:	I'm hungry.
context: We Planetary Gears might be like the glass bead\in this Ramune soda bottle.\Even when you've drunk it all, and the bottle's job is done,\the bead still cannot leave it.\Eternal life...\Does it mean eternal happiness?\Or is it an eternal prison for the soul?\I'm hungry. response:	Let's eat lunch.
context: in this Ramune soda bottle.\Even when you've drunk it all, and the bottle's job is done,\the bead still cannot leave it.\Eternal life...\Does it mean eternal happiness?\Or is it an eternal prison for the soul?\I'm hungry.\Let's eat lunch. response:	I'll make something good.
context: Even when you've drunk it all, and the bottle's job is done,\the bead still cannot leave it.\Eternal life...\Does it mean eternal happiness?\Or is it an eternal prison for the soul?\I'm hungry.\Let's eat lunch.\I'll make something good. response:	What should I make?
context: the bead still cannot leave it.\Eternal life...\Does it mean eternal happiness?\Or is it an eternal prison for the soul?\I'm hungry.\Let's eat lunch.\I'll make something good.\What should I make? response:	You spend a lot of time alone in the computer room.
context: Eternal life...\Does it mean eternal happiness?\Or is it an eternal prison for the soul?\I'm hungry.\Let's eat lunch.\I'll make something good.\What should I make?\You spend a lot of time alone in the computer room. response:	Yes, I like to think by myself.
context: Does it mean eternal happiness?\Or is it an eternal prison for the soul?\I'm hungry.\Let's eat lunch.\I'll make something good.\What should I make?\You spend a lot of time alone in the computer room.\Yes, I like to think by myself. response:	It's my very own sanctuary...
context: Or is it an eternal prison for the soul?\I'm hungry.\Let's eat lunch.\I'll make something good.\What should I make?\You spend a lot of time alone in the computer room.\Yes, I like to think by myself.\It's my very own sanctuary... response:	The lock to that room won't open without my biometric data.
context: I'm hungry.\Let's eat lunch.\I'll make something good.\What should I make?\You spend a lot of time alone in the computer room.\Yes, I like to think by myself.\It's my very own sanctuary...\The lock to that room won't open without my biometric data. response:	I am the only one who can talk to Puck.
context: Let's eat lunch.\I'll make something good.\What should I make?\You spend a lot of time alone in the computer room.\Yes, I like to think by myself.\It's my very own sanctuary...\The lock to that room won't open without my biometric data.\I am the only one who can talk to Puck. response:	This weak security isn't even a challenge.
context: I'll make something good.\What should I make?\You spend a lot of time alone in the computer room.\Yes, I like to think by myself.\It's my very own sanctuary...\The lock to that room won't open without my biometric data.\I am the only one who can talk to Puck.\This weak security isn't even a challenge. response:	How have you been, Puck?
context: What should I make?\You spend a lot of time alone in the computer room.\Yes, I like to think by myself.\It's my very own sanctuary...\The lock to that room won't open without my biometric data.\I am the only one who can talk to Puck.\This weak security isn't even a challenge.\How have you been, Puck? response:	Masaki Kube hasn't figured out who we are yet, right?
context: You spend a lot of time alone in the computer room.\Yes, I like to think by myself.\It's my very own sanctuary...\The lock to that room won't open without my biometric data.\I am the only one who can talk to Puck.\This weak security isn't even a challenge.\How have you been, Puck?\Masaki Kube hasn't figured out who we are yet, right? response:	He's a very self-centered man.
context: Yes, I like to think by myself.\It's my very own sanctuary...\The lock to that room won't open without my biometric data.\I am the only one who can talk to Puck.\This weak security isn't even a challenge.\How have you been, Puck?\Masaki Kube hasn't figured out who we are yet, right?\He's a very self-centered man. response:	That limits what he can see, and makes him easy to deal with.
context: It's my very own sanctuary...\The lock to that room won't open without my biometric data.\I am the only one who can talk to Puck.\This weak security isn't even a challenge.\How have you been, Puck?\Masaki Kube hasn't figured out who we are yet, right?\He's a very self-centered man.\That limits what he can see, and makes him easy to deal with. response:	And you have no complaints about life here?
context: The lock to that room won't open without my biometric data.\I am the only one who can talk to Puck.\This weak security isn't even a challenge.\How have you been, Puck?\Masaki Kube hasn't figured out who we are yet, right?\He's a very self-centered man.\That limits what he can see, and makes him easy to deal with.\And you have no complaints about life here? response:	My sole joy in life is being a useful tool to the Planetary Gears.
context: I am the only one who can talk to Puck.\This weak security isn't even a challenge.\How have you been, Puck?\Masaki Kube hasn't figured out who we are yet, right?\He's a very self-centered man.\That limits what he can see, and makes him easy to deal with.\And you have no complaints about life here?\My sole joy in life is being a useful tool to the Planetary Gears. response:	Glad to hear it...
context: This weak security isn't even a challenge.\How have you been, Puck?\Masaki Kube hasn't figured out who we are yet, right?\He's a very self-centered man.\That limits what he can see, and makes him easy to deal with.\And you have no complaints about life here?\My sole joy in life is being a useful tool to the Planetary Gears.\Glad to hear it... response:	Useful tools will be treated well.
context: How have you been, Puck?\Masaki Kube hasn't figured out who we are yet, right?\He's a very self-centered man.\That limits what he can see, and makes him easy to deal with.\And you have no complaints about life here?\My sole joy in life is being a useful tool to the Planetary Gears.\Glad to hear it...\Useful tools will be treated well. response:	I want you to prove that you're useful.
context: Masaki Kube hasn't figured out who we are yet, right?\He's a very self-centered man.\That limits what he can see, and makes him easy to deal with.\And you have no complaints about life here?\My sole joy in life is being a useful tool to the Planetary Gears.\Glad to hear it...\Useful tools will be treated well.\I want you to prove that you're useful. response:	I think you understand this,
context: He's a very self-centered man.\That limits what he can see, and makes him easy to deal with.\And you have no complaints about life here?\My sole joy in life is being a useful tool to the Planetary Gears.\Glad to hear it...\Useful tools will be treated well.\I want you to prove that you're useful.\I think you understand this, response:	but her presence is vital to the Kivotos Plan.
context: That limits what he can see, and makes him easy to deal with.\And you have no complaints about life here?\My sole joy in life is being a useful tool to the Planetary Gears.\Glad to hear it...\Useful tools will be treated well.\I want you to prove that you're useful.\I think you understand this,\but her presence is vital to the Kivotos Plan. response:	Over.
context: And you have no complaints about life here?\My sole joy in life is being a useful tool to the Planetary Gears.\Glad to hear it...\Useful tools will be treated well.\I want you to prove that you're useful.\I think you understand this,\but her presence is vital to the Kivotos Plan.\Over. response:	Understood.
context: My sole joy in life is being a useful tool to the Planetary Gears.\Glad to hear it...\Useful tools will be treated well.\I want you to prove that you're useful.\I think you understand this,\but her presence is vital to the Kivotos Plan.\Over.\Understood. response:	I'll put the flower in her vase.
context: Glad to hear it...\Useful tools will be treated well.\I want you to prove that you're useful.\I think you understand this,\but her presence is vital to the Kivotos Plan.\Over.\Understood.\I'll put the flower in her vase. response:	Uncle...
context: Useful tools will be treated well.\I want you to prove that you're useful.\I think you understand this,\but her presence is vital to the Kivotos Plan.\Over.\Understood.\I'll put the flower in her vase.\Uncle... response:	Hana!
context: I want you to prove that you're useful.\I think you understand this,\but her presence is vital to the Kivotos Plan.\Over.\Understood.\I'll put the flower in her vase.\Uncle...\Hana! response:	Nishikubo-san, I told you to send Daichi home immediately.
context: I think you understand this,\but her presence is vital to the Kivotos Plan.\Over.\Understood.\I'll put the flower in her vase.\Uncle...\Hana!\Nishikubo-san, I told you to send Daichi home immediately. response:	And you assured me you would.
context: but her presence is vital to the Kivotos Plan.\Over.\Understood.\I'll put the flower in her vase.\Uncle...\Hana!\Nishikubo-san, I told you to send Daichi home immediately.\And you assured me you would. response:	Commander...
context: Over.\Understood.\I'll put the flower in her vase.\Uncle...\Hana!\Nishikubo-san, I told you to send Daichi home immediately.\And you assured me you would.\Commander... response:	Please let me explain things to my uncle.
context: Understood.\I'll put the flower in her vase.\Uncle...\Hana!\Nishikubo-san, I told you to send Daichi home immediately.\And you assured me you would.\Commander...\Please let me explain things to my uncle. response:	Commander?
context: I'll put the flower in her vase.\Uncle...\Hana!\Nishikubo-san, I told you to send Daichi home immediately.\And you assured me you would.\Commander...\Please let me explain things to my uncle.\Commander? response:	That's my job.
context: Uncle...\Hana!\Nishikubo-san, I told you to send Daichi home immediately.\And you assured me you would.\Commander...\Please let me explain things to my uncle.\Commander?\That's my job. response:	What does he mean by Commander?!
context: Hana!\Nishikubo-san, I told you to send Daichi home immediately.\And you assured me you would.\Commander...\Please let me explain things to my uncle.\Commander?\That's my job.\What does he mean by Commander?! response:	Toshiaki-san...
context: Nishikubo-san, I told you to send Daichi home immediately.\And you assured me you would.\Commander...\Please let me explain things to my uncle.\Commander?\That's my job.\What does he mean by Commander?!\Toshiaki-san... response:	He's a minor!
context: And you assured me you would.\Commander...\Please let me explain things to my uncle.\Commander?\That's my job.\What does he mean by Commander?!\Toshiaki-san...\He's a minor! response:	What are you having him do, without his guardian's permission?
context: Commander...\Please let me explain things to my uncle.\Commander?\That's my job.\What does he mean by Commander?!\Toshiaki-san...\He's a minor!\What are you having him do, without his guardian's permission? response:	Please, Commander...
context: Please let me explain things to my uncle.\Commander?\That's my job.\What does he mean by Commander?!\Toshiaki-san...\He's a minor!\What are you having him do, without his guardian's permission?\Please, Commander... response:	Leave me alone with my uncle for a while.
context: Commander?\That's my job.\What does he mean by Commander?!\Toshiaki-san...\He's a minor!\What are you having him do, without his guardian's permission?\Please, Commander...\Leave me alone with my uncle for a while. response:	All right.
context: That's my job.\What does he mean by Commander?!\Toshiaki-san...\He's a minor!\What are you having him do, without his guardian's permission?\Please, Commander...\Leave me alone with my uncle for a while.\All right. response:	Even when your grades fell a bit, I wasn't concerned.
context: What does he mean by Commander?!\Toshiaki-san...\He's a minor!\What are you having him do, without his guardian's permission?\Please, Commander...\Leave me alone with my uncle for a while.\All right.\Even when your grades fell a bit, I wasn't concerned. response:	You've always been a good kid.
context: Toshiaki-san...\He's a minor!\What are you having him do, without his guardian's permission?\Please, Commander...\Leave me alone with my uncle for a while.\All right.\Even when your grades fell a bit, I wasn't concerned.\You've always been a good kid. response:	So I don't think it's a bad idea for you to get out and travel
context: He's a minor!\What are you having him do, without his guardian's permission?\Please, Commander...\Leave me alone with my uncle for a while.\All right.\Even when your grades fell a bit, I wasn't concerned.\You've always been a good kid.\So I don't think it's a bad idea for you to get out and travel response:	on your own over summer vacation.
context: What are you having him do, without his guardian's permission?\Please, Commander...\Leave me alone with my uncle for a while.\All right.\Even when your grades fell a bit, I wasn't concerned.\You've always been a good kid.\So I don't think it's a bad idea for you to get out and travel\on your own over summer vacation. response:	If it's just a vacation, there's nothing to worry about.
context: Please, Commander...\Leave me alone with my uncle for a while.\All right.\Even when your grades fell a bit, I wasn't concerned.\You've always been a good kid.\So I don't think it's a bad idea for you to get out and travel\on your own over summer vacation.\If it's just a vacation, there's nothing to worry about. response:	But if you're staying on Tanegashima, that's different.
context: Leave me alone with my uncle for a while.\All right.\Even when your grades fell a bit, I wasn't concerned.\You've always been a good kid.\So I don't think it's a bad idea for you to get out and travel\on your own over summer vacation.\If it's just a vacation, there's nothing to worry about.\But if you're staying on Tanegashima, that's different. response:	Umi and my brother left me in charge of you, and you're precious to me.
context: All right.\Even when your grades fell a bit, I wasn't concerned.\You've always been a good kid.\So I don't think it's a bad idea for you to get out and travel\on your own over summer vacation.\If it's just a vacation, there's nothing to worry about.\But if you're staying on Tanegashima, that's different.\Umi and my brother left me in charge of you, and you're precious to me. response:	And above all, you're my family!
context: Even when your grades fell a bit, I wasn't concerned.\You've always been a good kid.\So I don't think it's a bad idea for you to get out and travel\on your own over summer vacation.\If it's just a vacation, there's nothing to worry about.\But if you're staying on Tanegashima, that's different.\Umi and my brother left me in charge of you, and you're precious to me.\And above all, you're my family! response:	What you're doing here puts you in danger, doesn't it?
context: You've always been a good kid.\So I don't think it's a bad idea for you to get out and travel\on your own over summer vacation.\If it's just a vacation, there's nothing to worry about.\But if you're staying on Tanegashima, that's different.\Umi and my brother left me in charge of you, and you're precious to me.\And above all, you're my family!\What you're doing here puts you in danger, doesn't it? response:	Uncle...
context: So I don't think it's a bad idea for you to get out and travel\on your own over summer vacation.\If it's just a vacation, there's nothing to worry about.\But if you're staying on Tanegashima, that's different.\Umi and my brother left me in charge of you, and you're precious to me.\And above all, you're my family!\What you're doing here puts you in danger, doesn't it?\Uncle... response:	I'm really grateful for what you've done.
context: on your own over summer vacation.\If it's just a vacation, there's nothing to worry about.\But if you're staying on Tanegashima, that's different.\Umi and my brother left me in charge of you, and you're precious to me.\And above all, you're my family!\What you're doing here puts you in danger, doesn't it?\Uncle...\I'm really grateful for what you've done. response:	You've always looked out for me.
context: If it's just a vacation, there's nothing to worry about.\But if you're staying on Tanegashima, that's different.\Umi and my brother left me in charge of you, and you're precious to me.\And above all, you're my family!\What you're doing here puts you in danger, doesn't it?\Uncle...\I'm really grateful for what you've done.\You've always looked out for me. response:	But I...
context: But if you're staying on Tanegashima, that's different.\Umi and my brother left me in charge of you, and you're precious to me.\And above all, you're my family!\What you're doing here puts you in danger, doesn't it?\Uncle...\I'm really grateful for what you've done.\You've always looked out for me.\But I... response:	I was in a world where everything was veiled by darkness.
context: Umi and my brother left me in charge of you, and you're precious to me.\And above all, you're my family!\What you're doing here puts you in danger, doesn't it?\Uncle...\I'm really grateful for what you've done.\You've always looked out for me.\But I...\I was in a world where everything was veiled by darkness. response:	I felt trapped living in that city, too.
context: And above all, you're my family!\What you're doing here puts you in danger, doesn't it?\Uncle...\I'm really grateful for what you've done.\You've always looked out for me.\But I...\I was in a world where everything was veiled by darkness.\I felt trapped living in that city, too. response:	It always seemed as though it wasn't where I belonged.
context: What you're doing here puts you in danger, doesn't it?\Uncle...\I'm really grateful for what you've done.\You've always looked out for me.\But I...\I was in a world where everything was veiled by darkness.\I felt trapped living in that city, too.\It always seemed as though it wasn't where I belonged. response:	Pitz?
context: Uncle...\I'm really grateful for what you've done.\You've always looked out for me.\But I...\I was in a world where everything was veiled by darkness.\I felt trapped living in that city, too.\It always seemed as though it wasn't where I belonged.\Pitz? response:	What's dangerous?
context: I'm really grateful for what you've done.\You've always looked out for me.\But I...\I was in a world where everything was veiled by darkness.\I felt trapped living in that city, too.\It always seemed as though it wasn't where I belonged.\Pitz?\What's dangerous? response:	You seem to be enjoying your freedom.
context: You've always looked out for me.\But I...\I was in a world where everything was veiled by darkness.\I felt trapped living in that city, too.\It always seemed as though it wasn't where I belonged.\Pitz?\What's dangerous?\You seem to be enjoying your freedom. response:	This is the kind of thing that happens when you go outside on your own.
context: But I...\I was in a world where everything was veiled by darkness.\I felt trapped living in that city, too.\It always seemed as though it wasn't where I belonged.\Pitz?\What's dangerous?\You seem to be enjoying your freedom.\This is the kind of thing that happens when you go outside on your own. response:	I know you aren't certain about what to do with your life.
context: I was in a world where everything was veiled by darkness.\I felt trapped living in that city, too.\It always seemed as though it wasn't where I belonged.\Pitz?\What's dangerous?\You seem to be enjoying your freedom.\This is the kind of thing that happens when you go outside on your own.\I know you aren't certain about what to do with your life. response:	What's wrong, Pitz?
context: I felt trapped living in that city, too.\It always seemed as though it wasn't where I belonged.\Pitz?\What's dangerous?\You seem to be enjoying your freedom.\This is the kind of thing that happens when you go outside on your own.\I know you aren't certain about what to do with your life.\What's wrong, Pitz? response:	Ow!
context: It always seemed as though it wasn't where I belonged.\Pitz?\What's dangerous?\You seem to be enjoying your freedom.\This is the kind of thing that happens when you go outside on your own.\I know you aren't certain about what to do with your life.\What's wrong, Pitz?\Ow! response:	What'd you do that for?
context: Pitz?\What's dangerous?\You seem to be enjoying your freedom.\This is the kind of thing that happens when you go outside on your own.\I know you aren't certain about what to do with your life.\What's wrong, Pitz?\Ow!\What'd you do that for? response:	Did something happen to Hana?
context: What's dangerous?\You seem to be enjoying your freedom.\This is the kind of thing that happens when you go outside on your own.\I know you aren't certain about what to do with your life.\What's wrong, Pitz?\Ow!\What'd you do that for?\Did something happen to Hana? response:	Hana!
context: You seem to be enjoying your freedom.\This is the kind of thing that happens when you go outside on your own.\I know you aren't certain about what to do with your life.\What's wrong, Pitz?\Ow!\What'd you do that for?\Did something happen to Hana?\Hana! response:	Daichi!
context: This is the kind of thing that happens when you go outside on your own.\I know you aren't certain about what to do with your life.\What's wrong, Pitz?\Ow!\What'd you do that for?\Did something happen to Hana?\Hana!\Daichi! response:	Ah, so the Earth Driver has arrived?
context: I know you aren't certain about what to do with your life.\What's wrong, Pitz?\Ow!\What'd you do that for?\Did something happen to Hana?\Hana!\Daichi!\Ah, so the Earth Driver has arrived? response:	Daichi!
context: What's wrong, Pitz?\Ow!\What'd you do that for?\Did something happen to Hana?\Hana!\Daichi!\Ah, so the Earth Driver has arrived?\Daichi! response:	D-Daichi!
context: Ow!\What'd you do that for?\Did something happen to Hana?\Hana!\Daichi!\Ah, so the Earth Driver has arrived?\Daichi!\D-Daichi! response:	Uncle!
context: What'd you do that for?\Did something happen to Hana?\Hana!\Daichi!\Ah, so the Earth Driver has arrived?\Daichi!\D-Daichi!\Uncle! response:	Get back!
context: Did something happen to Hana?\Hana!\Daichi!\Ah, so the Earth Driver has arrived?\Daichi!\D-Daichi!\Uncle!\Get back! response:	But...
context: Hana!\Daichi!\Ah, so the Earth Driver has arrived?\Daichi!\D-Daichi!\Uncle!\Get back!\But... response:	Get back!
context: Daichi!\Ah, so the Earth Driver has arrived?\Daichi!\D-Daichi!\Uncle!\Get back!\But...\Get back! response:	I'm sorry, Uncle.
context: Ah, so the Earth Driver has arrived?\Daichi!\D-Daichi!\Uncle!\Get back!\But...\Get back!\I'm sorry, Uncle. response:	This is my problem.
