context: Once upon a time, there was a man who died. response:	The man's work was to write and tell stories, but he could not defy death.
context: He saved me when I tripped and...\What are you doing, you idiot? Doing pointless things like that.\So like I said, he was protecting me...\That's why I said it was pointless.\Stand up. We're going back to the dormitory.\You don't have to be so rough with him!\Shut up!\Pointless... well, sure, maybe, but he didn't have to say it so bluntly. response:	Huh? The bell again?
context: What are you doing, you idiot? Doing pointless things like that.\So like I said, he was protecting me...\That's why I said it was pointless.\Stand up. We're going back to the dormitory.\You don't have to be so rough with him!\Shut up!\Pointless... well, sure, maybe, but he didn't have to say it so bluntly.\Huh? The bell again? response:	What the?
context: So like I said, he was protecting me...\That's why I said it was pointless.\Stand up. We're going back to the dormitory.\You don't have to be so rough with him!\Shut up!\Pointless... well, sure, maybe, but he didn't have to say it so bluntly.\Huh? The bell again?\What the? response:	What the?
context: That's why I said it was pointless.\Stand up. We're going back to the dormitory.\You don't have to be so rough with him!\Shut up!\Pointless... well, sure, maybe, but he didn't have to say it so bluntly.\Huh? The bell again?\What the?\What the? response:	My butt. You'd know if you looked at the clock.
context: Stand up. We're going back to the dormitory.\You don't have to be so rough with him!\Shut up!\Pointless... well, sure, maybe, but he didn't have to say it so bluntly.\Huh? The bell again?\What the?\What the?\My butt. You'd know if you looked at the clock. response:	I panicked, okay?
context: You don't have to be so rough with him!\Shut up!\Pointless... well, sure, maybe, but he didn't have to say it so bluntly.\Huh? The bell again?\What the?\What the?\My butt. You'd know if you looked at the clock.\I panicked, okay? response:	That's what makes you so cute.
context: Shut up!\Pointless... well, sure, maybe, but he didn't have to say it so bluntly.\Huh? The bell again?\What the?\What the?\My butt. You'd know if you looked at the clock.\I panicked, okay?\That's what makes you so cute. response:	Always be our clumsy and scatterbrained Duck, okay?
context: Pointless... well, sure, maybe, but he didn't have to say it so bluntly.\Huh? The bell again?\What the?\What the?\My butt. You'd know if you looked at the clock.\I panicked, okay?\That's what makes you so cute.\Always be our clumsy and scatterbrained Duck, okay? response:	But well, you had the honor of talking to Fakir, so it's okay.
context: Huh? The bell again?\What the?\What the?\My butt. You'd know if you looked at the clock.\I panicked, okay?\That's what makes you so cute.\Always be our clumsy and scatterbrained Duck, okay?\But well, you had the honor of talking to Fakir, so it's okay. response:	He didn't seem like a very nice person.
context: What the?\What the?\My butt. You'd know if you looked at the clock.\I panicked, okay?\That's what makes you so cute.\Always be our clumsy and scatterbrained Duck, okay?\But well, you had the honor of talking to Fakir, so it's okay.\He didn't seem like a very nice person. response:	What did you say?! Fakir is the best!
context: What the?\My butt. You'd know if you looked at the clock.\I panicked, okay?\That's what makes you so cute.\Always be our clumsy and scatterbrained Duck, okay?\But well, you had the honor of talking to Fakir, so it's okay.\He didn't seem like a very nice person.\What did you say?! Fakir is the best! response:	Mytho-senpai is the best!
context: My butt. You'd know if you looked at the clock.\I panicked, okay?\That's what makes you so cute.\Always be our clumsy and scatterbrained Duck, okay?\But well, you had the honor of talking to Fakir, so it's okay.\He didn't seem like a very nice person.\What did you say?! Fakir is the best!\Mytho-senpai is the best! response:	Oh, Ahiru, Mytho-sama has Rue.
context: I panicked, okay?\That's what makes you so cute.\Always be our clumsy and scatterbrained Duck, okay?\But well, you had the honor of talking to Fakir, so it's okay.\He didn't seem like a very nice person.\What did you say?! Fakir is the best!\Mytho-senpai is the best!\Oh, Ahiru, Mytho-sama has Rue. response:	An impossible love. And Ahiru to be disappointed in love.
context: That's what makes you so cute.\Always be our clumsy and scatterbrained Duck, okay?\But well, you had the honor of talking to Fakir, so it's okay.\He didn't seem like a very nice person.\What did you say?! Fakir is the best!\Mytho-senpai is the best!\Oh, Ahiru, Mytho-sama has Rue.\An impossible love. And Ahiru to be disappointed in love. response:	How cute!
context: Always be our clumsy and scatterbrained Duck, okay?\But well, you had the honor of talking to Fakir, so it's okay.\He didn't seem like a very nice person.\What did you say?! Fakir is the best!\Mytho-senpai is the best!\Oh, Ahiru, Mytho-sama has Rue.\An impossible love. And Ahiru to be disappointed in love.\How cute! response:	The teacher's here.
context: But well, you had the honor of talking to Fakir, so it's okay.\He didn't seem like a very nice person.\What did you say?! Fakir is the best!\Mytho-senpai is the best!\Oh, Ahiru, Mytho-sama has Rue.\An impossible love. And Ahiru to be disappointed in love.\How cute!\The teacher's here. response:	Yes!
context: He didn't seem like a very nice person.\What did you say?! Fakir is the best!\Mytho-senpai is the best!\Oh, Ahiru, Mytho-sama has Rue.\An impossible love. And Ahiru to be disappointed in love.\How cute!\The teacher's here.\Yes! response:	Cat?!
context: What did you say?! Fakir is the best!\Mytho-senpai is the best!\Oh, Ahiru, Mytho-sama has Rue.\An impossible love. And Ahiru to be disappointed in love.\How cute!\The teacher's here.\Yes!\Cat?! response:	You mean, Cat-sensei.
context: Mytho-senpai is the best!\Oh, Ahiru, Mytho-sama has Rue.\An impossible love. And Ahiru to be disappointed in love.\How cute!\The teacher's here.\Yes!\Cat?!\You mean, Cat-sensei. response:	Cat-sense...
context: Oh, Ahiru, Mytho-sama has Rue.\An impossible love. And Ahiru to be disappointed in love.\How cute!\The teacher's here.\Yes!\Cat?!\You mean, Cat-sensei.\Cat-sense... response:	What's the matter?
context: An impossible love. And Ahiru to be disappointed in love.\How cute!\The teacher's here.\Yes!\Cat?!\You mean, Cat-sensei.\Cat-sense...\What's the matter? response:	A cat for a teacher? Um, is that how it was?
context: How cute!\The teacher's here.\Yes!\Cat?!\You mean, Cat-sensei.\Cat-sense...\What's the matter?\A cat for a teacher? Um, is that how it was? response:	All right, quiet now.
context: The teacher's here.\Yes!\Cat?!\You mean, Cat-sensei.\Cat-sense...\What's the matter?\A cat for a teacher? Um, is that how it was?\All right, quiet now. response:	lf you do not quiet down,
context: Yes!\Cat?!\You mean, Cat-sensei.\Cat-sense...\What's the matter?\A cat for a teacher? Um, is that how it was?\All right, quiet now.\lf you do not quiet down, response:	I will have you marry me.
context: Cat?!\You mean, Cat-sensei.\Cat-sense...\What's the matter?\A cat for a teacher? Um, is that how it was?\All right, quiet now.\lf you do not quiet down,\I will have you marry me. response:	Start in the first position.
context: You mean, Cat-sensei.\Cat-sense...\What's the matter?\A cat for a teacher? Um, is that how it was?\All right, quiet now.\lf you do not quiet down,\I will have you marry me.\Start in the first position. response:	Now, as you releve, move your arms to the second position.
context: Cat-sense...\What's the matter?\A cat for a teacher? Um, is that how it was?\All right, quiet now.\lf you do not quiet down,\I will have you marry me.\Start in the first position.\Now, as you releve, move your arms to the second position. response:	Remember to keep your legs straight.
context: What's the matter?\A cat for a teacher? Um, is that how it was?\All right, quiet now.\lf you do not quiet down,\I will have you marry me.\Start in the first position.\Now, as you releve, move your arms to the second position.\Remember to keep your legs straight. response:	And now, the third position, arms en haut.
context: A cat for a teacher? Um, is that how it was?\All right, quiet now.\lf you do not quiet down,\I will have you marry me.\Start in the first position.\Now, as you releve, move your arms to the second position.\Remember to keep your legs straight.\And now, the third position, arms en haut. response:	Don't stick your butts out!
context: All right, quiet now.\lf you do not quiet down,\I will have you marry me.\Start in the first position.\Now, as you releve, move your arms to the second position.\Remember to keep your legs straight.\And now, the third position, arms en haut.\Don't stick your butts out! response:	Mytho-senpai...
context: lf you do not quiet down,\I will have you marry me.\Start in the first position.\Now, as you releve, move your arms to the second position.\Remember to keep your legs straight.\And now, the third position, arms en haut.\Don't stick your butts out!\Mytho-senpai... response:	Why did his eyes look so lonely?
context: I will have you marry me.\Start in the first position.\Now, as you releve, move your arms to the second position.\Remember to keep your legs straight.\And now, the third position, arms en haut.\Don't stick your butts out!\Mytho-senpai...\Why did his eyes look so lonely? response:	Oh...
context: Start in the first position.\Now, as you releve, move your arms to the second position.\Remember to keep your legs straight.\And now, the third position, arms en haut.\Don't stick your butts out!\Mytho-senpai...\Why did his eyes look so lonely?\Oh... response:	Your butt.
context: Now, as you releve, move your arms to the second position.\Remember to keep your legs straight.\And now, the third position, arms en haut.\Don't stick your butts out!\Mytho-senpai...\Why did his eyes look so lonely?\Oh...\Your butt. response:	Yes, sir!
context: Remember to keep your legs straight.\And now, the third position, arms en haut.\Don't stick your butts out!\Mytho-senpai...\Why did his eyes look so lonely?\Oh...\Your butt.\Yes, sir! response:	You were thinking about something else, weren't you?
context: And now, the third position, arms en haut.\Don't stick your butts out!\Mytho-senpai...\Why did his eyes look so lonely?\Oh...\Your butt.\Yes, sir!\You were thinking about something else, weren't you? response:	lf you don't practice seriously,
context: Don't stick your butts out!\Mytho-senpai...\Why did his eyes look so lonely?\Oh...\Your butt.\Yes, sir!\You were thinking about something else, weren't you?\lf you don't practice seriously, response:	I will have you marry me.
context: Mytho-senpai...\Why did his eyes look so lonely?\Oh...\Your butt.\Yes, sir!\You were thinking about something else, weren't you?\lf you don't practice seriously,\I will have you marry me. response:	Yes, sir! I'm sorry!
context: Why did his eyes look so lonely?\Oh...\Your butt.\Yes, sir!\You were thinking about something else, weren't you?\lf you don't practice seriously,\I will have you marry me.\Yes, sir! I'm sorry! response:	All right now, we'll be observing a performance by the special class.
context: Oh...\Your butt.\Yes, sir!\You were thinking about something else, weren't you?\lf you don't practice seriously,\I will have you marry me.\Yes, sir! I'm sorry!\All right now, we'll be observing a performance by the special class. response:	Members of the special class, please come in!
context: Your butt.\Yes, sir!\You were thinking about something else, weren't you?\lf you don't practice seriously,\I will have you marry me.\Yes, sir! I'm sorry!\All right now, we'll be observing a performance by the special class.\Members of the special class, please come in! response:	Rue-chan!
context: Yes, sir!\You were thinking about something else, weren't you?\lf you don't practice seriously,\I will have you marry me.\Yes, sir! I'm sorry!\All right now, we'll be observing a performance by the special class.\Members of the special class, please come in!\Rue-chan! response:	Wow, it's so pretty.
context: You were thinking about something else, weren't you?\lf you don't practice seriously,\I will have you marry me.\Yes, sir! I'm sorry!\All right now, we'll be observing a performance by the special class.\Members of the special class, please come in!\Rue-chan!\Wow, it's so pretty. response:	Totally unlike Ahiru.
context: lf you don't practice seriously,\I will have you marry me.\Yes, sir! I'm sorry!\All right now, we'll be observing a performance by the special class.\Members of the special class, please come in!\Rue-chan!\Wow, it's so pretty.\Totally unlike Ahiru. response:	Oh, she got depressed.
context: I will have you marry me.\Yes, sir! I'm sorry!\All right now, we'll be observing a performance by the special class.\Members of the special class, please come in!\Rue-chan!\Wow, it's so pretty.\Totally unlike Ahiru.\Oh, she got depressed. response:	Oh, no, did she really get depressed? How cute!
context: Yes, sir! I'm sorry!\All right now, we'll be observing a performance by the special class.\Members of the special class, please come in!\Rue-chan!\Wow, it's so pretty.\Totally unlike Ahiru.\Oh, she got depressed.\Oh, no, did she really get depressed? How cute! response:	ln the end, for Mytho-senpai, it'd have to be someone like Rue to make a good match, wouldn't it?
context: All right now, we'll be observing a performance by the special class.\Members of the special class, please come in!\Rue-chan!\Wow, it's so pretty.\Totally unlike Ahiru.\Oh, she got depressed.\Oh, no, did she really get depressed? How cute!\ln the end, for Mytho-senpai, it'd have to be someone like Rue to make a good match, wouldn't it? response:	Sad...
context: Members of the special class, please come in!\Rue-chan!\Wow, it's so pretty.\Totally unlike Ahiru.\Oh, she got depressed.\Oh, no, did she really get depressed? How cute!\ln the end, for Mytho-senpai, it'd have to be someone like Rue to make a good match, wouldn't it?\Sad... response:	What'll I do?
context: Rue-chan!\Wow, it's so pretty.\Totally unlike Ahiru.\Oh, she got depressed.\Oh, no, did she really get depressed? How cute!\ln the end, for Mytho-senpai, it'd have to be someone like Rue to make a good match, wouldn't it?\Sad...\What'll I do? response:	I will not tolerate this any longer! This time, I WlLL have you marry...
context: Wow, it's so pretty.\Totally unlike Ahiru.\Oh, she got depressed.\Oh, no, did she really get depressed? How cute!\ln the end, for Mytho-senpai, it'd have to be someone like Rue to make a good match, wouldn't it?\Sad...\What'll I do?\I will not tolerate this any longer! This time, I WlLL have you marry... response:	Oh, I'm so sorry.
context: Totally unlike Ahiru.\Oh, she got depressed.\Oh, no, did she really get depressed? How cute!\ln the end, for Mytho-senpai, it'd have to be someone like Rue to make a good match, wouldn't it?\Sad...\What'll I do?\I will not tolerate this any longer! This time, I WlLL have you marry...\Oh, I'm so sorry. response:	Ahiru couldn't help but cry out because she was so moved.
context: Oh, she got depressed.\Oh, no, did she really get depressed? How cute!\ln the end, for Mytho-senpai, it'd have to be someone like Rue to make a good match, wouldn't it?\Sad...\What'll I do?\I will not tolerate this any longer! This time, I WlLL have you marry...\Oh, I'm so sorry.\Ahiru couldn't help but cry out because she was so moved. response:	She's a troublesome child, but she's cute, so please forgive her.
context: Oh, no, did she really get depressed? How cute!\ln the end, for Mytho-senpai, it'd have to be someone like Rue to make a good match, wouldn't it?\Sad...\What'll I do?\I will not tolerate this any longer! This time, I WlLL have you marry...\Oh, I'm so sorry.\Ahiru couldn't help but cry out because she was so moved.\She's a troublesome child, but she's cute, so please forgive her. response:	I still haven't apologized properly to Mytho-senpai for getting him hurt.
context: ln the end, for Mytho-senpai, it'd have to be someone like Rue to make a good match, wouldn't it?\Sad...\What'll I do?\I will not tolerate this any longer! This time, I WlLL have you marry...\Oh, I'm so sorry.\Ahiru couldn't help but cry out because she was so moved.\She's a troublesome child, but she's cute, so please forgive her.\I still haven't apologized properly to Mytho-senpai for getting him hurt. response:	I have to apologize.
context: Sad...\What'll I do?\I will not tolerate this any longer! This time, I WlLL have you marry...\Oh, I'm so sorry.\Ahiru couldn't help but cry out because she was so moved.\She's a troublesome child, but she's cute, so please forgive her.\I still haven't apologized properly to Mytho-senpai for getting him hurt.\I have to apologize. response:	Be grateful to us.
context: What'll I do?\I will not tolerate this any longer! This time, I WlLL have you marry...\Oh, I'm so sorry.\Ahiru couldn't help but cry out because she was so moved.\She's a troublesome child, but she's cute, so please forgive her.\I still haven't apologized properly to Mytho-senpai for getting him hurt.\I have to apologize.\Be grateful to us. response:	You were this close to being forced to marry Cat-sensei.
context: I will not tolerate this any longer! This time, I WlLL have you marry...\Oh, I'm so sorry.\Ahiru couldn't help but cry out because she was so moved.\She's a troublesome child, but she's cute, so please forgive her.\I still haven't apologized properly to Mytho-senpai for getting him hurt.\I have to apologize.\Be grateful to us.\You were this close to being forced to marry Cat-sensei. response:	Thank you.
context: Oh, I'm so sorry.\Ahiru couldn't help but cry out because she was so moved.\She's a troublesome child, but she's cute, so please forgive her.\I still haven't apologized properly to Mytho-senpai for getting him hurt.\I have to apologize.\Be grateful to us.\You were this close to being forced to marry Cat-sensei.\Thank you. response:	What's wrong, Ahiru? You're acting weird.
context: Ahiru couldn't help but cry out because she was so moved.\She's a troublesome child, but she's cute, so please forgive her.\I still haven't apologized properly to Mytho-senpai for getting him hurt.\I have to apologize.\Be grateful to us.\You were this close to being forced to marry Cat-sensei.\Thank you.\What's wrong, Ahiru? You're acting weird. response:	Weird?
context: She's a troublesome child, but she's cute, so please forgive her.\I still haven't apologized properly to Mytho-senpai for getting him hurt.\I have to apologize.\Be grateful to us.\You were this close to being forced to marry Cat-sensei.\Thank you.\What's wrong, Ahiru? You're acting weird.\Weird? response:	Weird, would it be weird to suddenly show up after all?
context: I still haven't apologized properly to Mytho-senpai for getting him hurt.\I have to apologize.\Be grateful to us.\You were this close to being forced to marry Cat-sensei.\Thank you.\What's wrong, Ahiru? You're acting weird.\Weird?\Weird, would it be weird to suddenly show up after all? response:	Show up where?
context: I have to apologize.\Be grateful to us.\You were this close to being forced to marry Cat-sensei.\Thank you.\What's wrong, Ahiru? You're acting weird.\Weird?\Weird, would it be weird to suddenly show up after all?\Show up where? response:	But I don't have any choice except to suddenly show up, so it's not weird, right?
context: Be grateful to us.\You were this close to being forced to marry Cat-sensei.\Thank you.\What's wrong, Ahiru? You're acting weird.\Weird?\Weird, would it be weird to suddenly show up after all?\Show up where?\But I don't have any choice except to suddenly show up, so it's not weird, right? response:	Yes, yes!
context: You were this close to being forced to marry Cat-sensei.\Thank you.\What's wrong, Ahiru? You're acting weird.\Weird?\Weird, would it be weird to suddenly show up after all?\Show up where?\But I don't have any choice except to suddenly show up, so it's not weird, right?\Yes, yes! response:	So, where?
context: Thank you.\What's wrong, Ahiru? You're acting weird.\Weird?\Weird, would it be weird to suddenly show up after all?\Show up where?\But I don't have any choice except to suddenly show up, so it's not weird, right?\Yes, yes!\So, where? response:	Even if it is weird...
context: What's wrong, Ahiru? You're acting weird.\Weird?\Weird, would it be weird to suddenly show up after all?\Show up where?\But I don't have any choice except to suddenly show up, so it's not weird, right?\Yes, yes!\So, where?\Even if it is weird... response:	It's normal for you!
context: Weird?\Weird, would it be weird to suddenly show up after all?\Show up where?\But I don't have any choice except to suddenly show up, so it's not weird, right?\Yes, yes!\So, where?\Even if it is weird...\It's normal for you! response:	I have to just go, right?!
context: Weird, would it be weird to suddenly show up after all?\Show up where?\But I don't have any choice except to suddenly show up, so it's not weird, right?\Yes, yes!\So, where?\Even if it is weird...\It's normal for you!\I have to just go, right?! response:	So, go where?!
context: Show up where?\But I don't have any choice except to suddenly show up, so it's not weird, right?\Yes, yes!\So, where?\Even if it is weird...\It's normal for you!\I have to just go, right?!\So, go where?! response:	I'm going!
context: But I don't have any choice except to suddenly show up, so it's not weird, right?\Yes, yes!\So, where?\Even if it is weird...\It's normal for you!\I have to just go, right?!\So, go where?!\I'm going! response:	Let's go!
context: Yes, yes!\So, where?\Even if it is weird...\It's normal for you!\I have to just go, right?!\So, go where?!\I'm going!\Let's go! response:	See you later!
context: So, where?\Even if it is weird...\It's normal for you!\I have to just go, right?!\So, go where?!\I'm going!\Let's go!\See you later! response:	So where are you going?!
context: Even if it is weird...\It's normal for you!\I have to just go, right?!\So, go where?!\I'm going!\Let's go!\See you later!\So where are you going?! response:	So cute!
context: It's normal for you!\I have to just go, right?!\So, go where?!\I'm going!\Let's go!\See you later!\So where are you going?!\So cute! response:	I'm not supposed to go into the boys' dormitory, but I'm just going to apologize, so...
context: I have to just go, right?!\So, go where?!\I'm going!\Let's go!\See you later!\So where are you going?!\So cute!\I'm not supposed to go into the boys' dormitory, but I'm just going to apologize, so... response:	I have to apologize, so...
context: So, go where?!\I'm going!\Let's go!\See you later!\So where are you going?!\So cute!\I'm not supposed to go into the boys' dormitory, but I'm just going to apologize, so...\I have to apologize, so... response:	And I can't apologize unless I go inside...
context: I'm going!\Let's go!\See you later!\So where are you going?!\So cute!\I'm not supposed to go into the boys' dormitory, but I'm just going to apologize, so...\I have to apologize, so...\And I can't apologize unless I go inside... response:	Oh, you stupid, stupid, stupid, stupid, stupid, stupid coward!
context: Let's go!\See you later!\So where are you going?!\So cute!\I'm not supposed to go into the boys' dormitory, but I'm just going to apologize, so...\I have to apologize, so...\And I can't apologize unless I go inside...\Oh, you stupid, stupid, stupid, stupid, stupid, stupid coward! response:	You're in my way.
context: See you later!\So where are you going?!\So cute!\I'm not supposed to go into the boys' dormitory, but I'm just going to apologize, so...\I have to apologize, so...\And I can't apologize unless I go inside...\Oh, you stupid, stupid, stupid, stupid, stupid, stupid coward!\You're in my way. response:	Oh, um, is Mytho-senpai...
context: So where are you going?!\So cute!\I'm not supposed to go into the boys' dormitory, but I'm just going to apologize, so...\I have to apologize, so...\And I can't apologize unless I go inside...\Oh, you stupid, stupid, stupid, stupid, stupid, stupid coward!\You're in my way.\Oh, um, is Mytho-senpai... response:	He's not here.
context: So cute!\I'm not supposed to go into the boys' dormitory, but I'm just going to apologize, so...\I have to apologize, so...\And I can't apologize unless I go inside...\Oh, you stupid, stupid, stupid, stupid, stupid, stupid coward!\You're in my way.\Oh, um, is Mytho-senpai...\He's not here. response:	Then, um... where...
context: I'm not supposed to go into the boys' dormitory, but I'm just going to apologize, so...\I have to apologize, so...\And I can't apologize unless I go inside...\Oh, you stupid, stupid, stupid, stupid, stupid, stupid coward!\You're in my way.\Oh, um, is Mytho-senpai...\He's not here.\Then, um... where... response:	Go home!
context: I have to apologize, so...\And I can't apologize unless I go inside...\Oh, you stupid, stupid, stupid, stupid, stupid, stupid coward!\You're in my way.\Oh, um, is Mytho-senpai...\He's not here.\Then, um... where...\Go home! response:	Ouch.
context: And I can't apologize unless I go inside...\Oh, you stupid, stupid, stupid, stupid, stupid, stupid coward!\You're in my way.\Oh, um, is Mytho-senpai...\He's not here.\Then, um... where...\Go home!\Ouch. response:	How is his injury?
context: Oh, you stupid, stupid, stupid, stupid, stupid, stupid coward!\You're in my way.\Oh, um, is Mytho-senpai...\He's not here.\Then, um... where...\Go home!\Ouch.\How is his injury? response:	It's not serious.
context: You're in my way.\Oh, um, is Mytho-senpai...\He's not here.\Then, um... where...\Go home!\Ouch.\How is his injury?\It's not serious. response:	I'd like to apologize to him...
context: Oh, um, is Mytho-senpai...\He's not here.\Then, um... where...\Go home!\Ouch.\How is his injury?\It's not serious.\I'd like to apologize to him... response:	No need.
context: He's not here.\Then, um... where...\Go home!\Ouch.\How is his injury?\It's not serious.\I'd like to apologize to him...\No need. response:	Do you always act like that, no matter who you're talking to?
context: Then, um... where...\Go home!\Ouch.\How is his injury?\It's not serious.\I'd like to apologize to him...\No need.\Do you always act like that, no matter who you're talking to? response:	Oh, he pisses me off!
context: Go home!\Ouch.\How is his injury?\It's not serious.\I'd like to apologize to him...\No need.\Do you always act like that, no matter who you're talking to?\Oh, he pisses me off! response:	Mytho.
context: Ouch.\How is his injury?\It's not serious.\I'd like to apologize to him...\No need.\Do you always act like that, no matter who you're talking to?\Oh, he pisses me off!\Mytho. response:	Fakir.
context: How is his injury?\It's not serious.\I'd like to apologize to him...\No need.\Do you always act like that, no matter who you're talking to?\Oh, he pisses me off!\Mytho.\Fakir. response:	I told you to stay in bed, didn't l?
context: It's not serious.\I'd like to apologize to him...\No need.\Do you always act like that, no matter who you're talking to?\Oh, he pisses me off!\Mytho.\Fakir.\I told you to stay in bed, didn't l? response:	Sorry.
context: I'd like to apologize to him...\No need.\Do you always act like that, no matter who you're talking to?\Oh, he pisses me off!\Mytho.\Fakir.\I told you to stay in bed, didn't l?\Sorry. response:	Does your foot hurt?
context: No need.\Do you always act like that, no matter who you're talking to?\Oh, he pisses me off!\Mytho.\Fakir.\I told you to stay in bed, didn't l?\Sorry.\Does your foot hurt? response:	I don't know.
context: Do you always act like that, no matter who you're talking to?\Oh, he pisses me off!\Mytho.\Fakir.\I told you to stay in bed, didn't l?\Sorry.\Does your foot hurt?\I don't know. response:	What a wretch you are.
context: Oh, he pisses me off!\Mytho.\Fakir.\I told you to stay in bed, didn't l?\Sorry.\Does your foot hurt?\I don't know.\What a wretch you are. response:	You're slow and utterly useless.
context: Mytho.\Fakir.\I told you to stay in bed, didn't l?\Sorry.\Does your foot hurt?\I don't know.\What a wretch you are.\You're slow and utterly useless. response:	Don't get any silly ideas like trying to help someone.
context: Fakir.\I told you to stay in bed, didn't l?\Sorry.\Does your foot hurt?\I don't know.\What a wretch you are.\You're slow and utterly useless.\Don't get any silly ideas like trying to help someone. response:	Okay.
context: I told you to stay in bed, didn't l?\Sorry.\Does your foot hurt?\I don't know.\What a wretch you are.\You're slow and utterly useless.\Don't get any silly ideas like trying to help someone.\Okay. response:	All you have to do is listen to what I say.
context: Sorry.\Does your foot hurt?\I don't know.\What a wretch you are.\You're slow and utterly useless.\Don't get any silly ideas like trying to help someone.\Okay.\All you have to do is listen to what I say. response:	Okay.
context: Does your foot hurt?\I don't know.\What a wretch you are.\You're slow and utterly useless.\Don't get any silly ideas like trying to help someone.\Okay.\All you have to do is listen to what I say.\Okay. response:	Man, I didn't get to apologize to Mytho-senpai in the end. I suck.
context: I don't know.\What a wretch you are.\You're slow and utterly useless.\Don't get any silly ideas like trying to help someone.\Okay.\All you have to do is listen to what I say.\Okay.\Man, I didn't get to apologize to Mytho-senpai in the end. I suck. response:	I wonder if his injury's okay?
context: What a wretch you are.\You're slow and utterly useless.\Don't get any silly ideas like trying to help someone.\Okay.\All you have to do is listen to what I say.\Okay.\Man, I didn't get to apologize to Mytho-senpai in the end. I suck.\I wonder if his injury's okay? response:	Such lonely looking eyes.
context: You're slow and utterly useless.\Don't get any silly ideas like trying to help someone.\Okay.\All you have to do is listen to what I say.\Okay.\Man, I didn't get to apologize to Mytho-senpai in the end. I suck.\I wonder if his injury's okay?\Such lonely looking eyes. response:	I bet there's some reason for it.
context: Don't get any silly ideas like trying to help someone.\Okay.\All you have to do is listen to what I say.\Okay.\Man, I didn't get to apologize to Mytho-senpai in the end. I suck.\I wonder if his injury's okay?\Such lonely looking eyes.\I bet there's some reason for it. response:	There's nothing I can do, but...
context: Okay.\All you have to do is listen to what I say.\Okay.\Man, I didn't get to apologize to Mytho-senpai in the end. I suck.\I wonder if his injury's okay?\Such lonely looking eyes.\I bet there's some reason for it.\There's nothing I can do, but... response:	But if there were some way for me to help him out.
context: All you have to do is listen to what I say.\Okay.\Man, I didn't get to apologize to Mytho-senpai in the end. I suck.\I wonder if his injury's okay?\Such lonely looking eyes.\I bet there's some reason for it.\There's nothing I can do, but...\But if there were some way for me to help him out. response:	lf I were to be able to do something for him...
context: Okay.\Man, I didn't get to apologize to Mytho-senpai in the end. I suck.\I wonder if his injury's okay?\Such lonely looking eyes.\I bet there's some reason for it.\There's nothing I can do, but...\But if there were some way for me to help him out.\lf I were to be able to do something for him... response:	I'd give my life for that.
context: Man, I didn't get to apologize to Mytho-senpai in the end. I suck.\I wonder if his injury's okay?\Such lonely looking eyes.\I bet there's some reason for it.\There's nothing I can do, but...\But if there were some way for me to help him out.\lf I were to be able to do something for him...\I'd give my life for that. response:	Huh?
context: I wonder if his injury's okay?\Such lonely looking eyes.\I bet there's some reason for it.\There's nothing I can do, but...\But if there were some way for me to help him out.\lf I were to be able to do something for him...\I'd give my life for that.\Huh? response:	What?
context: Such lonely looking eyes.\I bet there's some reason for it.\There's nothing I can do, but...\But if there were some way for me to help him out.\lf I were to be able to do something for him...\I'd give my life for that.\Huh?\What? response:	That person...
context: I bet there's some reason for it.\There's nothing I can do, but...\But if there were some way for me to help him out.\lf I were to be able to do something for him...\I'd give my life for that.\Huh?\What?\That person... response:	He's not here.
context: There's nothing I can do, but...\But if there were some way for me to help him out.\lf I were to be able to do something for him...\I'd give my life for that.\Huh?\What?\That person...\He's not here. response:	Yes, I am.
context: But if there were some way for me to help him out.\lf I were to be able to do something for him...\I'd give my life for that.\Huh?\What?\That person...\He's not here.\Yes, I am. response:	I wonder who he was?
context: lf I were to be able to do something for him...\I'd give my life for that.\Huh?\What?\That person...\He's not here.\Yes, I am.\I wonder who he was? response:	Have you forgotten about me?
context: I'd give my life for that.\Huh?\What?\That person...\He's not here.\Yes, I am.\I wonder who he was?\Have you forgotten about me? response:	It feels strange, somehow.
context: Huh?\What?\That person...\He's not here.\Yes, I am.\I wonder who he was?\Have you forgotten about me?\It feels strange, somehow. response:	Do you want to know? Do you really want to know?
context: What?\That person...\He's not here.\Yes, I am.\I wonder who he was?\Have you forgotten about me?\It feels strange, somehow.\Do you want to know? Do you really want to know? response:	Little Duck.
context: That person...\He's not here.\Yes, I am.\I wonder who he was?\Have you forgotten about me?\It feels strange, somehow.\Do you want to know? Do you really want to know?\Little Duck. response:	What?
context: He's not here.\Yes, I am.\I wonder who he was?\Have you forgotten about me?\It feels strange, somehow.\Do you want to know? Do you really want to know?\Little Duck.\What? response:	The water has begun to flow. The time has begun to pass.
context: Yes, I am.\I wonder who he was?\Have you forgotten about me?\It feels strange, somehow.\Do you want to know? Do you really want to know?\Little Duck.\What?\The water has begun to flow. The time has begun to pass. response:	Now, tell me a story.
context: I wonder who he was?\Have you forgotten about me?\It feels strange, somehow.\Do you want to know? Do you really want to know?\Little Duck.\What?\The water has begun to flow. The time has begun to pass.\Now, tell me a story. response:	I'm going.
context: Have you forgotten about me?\It feels strange, somehow.\Do you want to know? Do you really want to know?\Little Duck.\What?\The water has begun to flow. The time has begun to pass.\Now, tell me a story.\I'm going. response:	On the way back, I'll borrow some books for you from the library.
