context: There's nothing in there. Both pockets are empty. response:	Other than this piece of paper...
context: Burn the pictures, okay?\July 15th (Thurs) 12:47 PM\Josuke!\H-He wasn't shot.\Y-You asshole!\Shining Diamond, eh?\Well, looks like it's just as I heard,\and a bullet from a gun won't do much... response:	That was scary, right? Bite it, Josuke Higashikata.
context: July 15th (Thurs) 12:47 PM\Josuke!\H-He wasn't shot.\Y-You asshole!\Shining Diamond, eh?\Well, looks like it's just as I heard,\and a bullet from a gun won't do much...\That was scary, right? Bite it, Josuke Higashikata. response:	Bite your lower lip.
context: Josuke!\H-He wasn't shot.\Y-You asshole!\Shining Diamond, eh?\Well, looks like it's just as I heard,\and a bullet from a gun won't do much...\That was scary, right? Bite it, Josuke Higashikata.\Bite your lower lip. response:	Are you gonna bite it?!
context: H-He wasn't shot.\Y-You asshole!\Shining Diamond, eh?\Well, looks like it's just as I heard,\and a bullet from a gun won't do much...\That was scary, right? Bite it, Josuke Higashikata.\Bite your lower lip.\Are you gonna bite it?! response:	Bite it! Come on, just bite it and show me your sign!
context: Y-You asshole!\Shining Diamond, eh?\Well, looks like it's just as I heard,\and a bullet from a gun won't do much...\That was scary, right? Bite it, Josuke Higashikata.\Bite your lower lip.\Are you gonna bite it?!\Bite it! Come on, just bite it and show me your sign! response:	So this is his Stand?
context: Shining Diamond, eh?\Well, looks like it's just as I heard,\and a bullet from a gun won't do much...\That was scary, right? Bite it, Josuke Higashikata.\Bite your lower lip.\Are you gonna bite it?!\Bite it! Come on, just bite it and show me your sign!\So this is his Stand? response:	Pretty crappy-looking Stand, just like the old man in the picture!
context: Well, looks like it's just as I heard,\and a bullet from a gun won't do much...\That was scary, right? Bite it, Josuke Higashikata.\Bite your lower lip.\Are you gonna bite it?!\Bite it! Come on, just bite it and show me your sign!\So this is his Stand?\Pretty crappy-looking Stand, just like the old man in the picture! response:	Not going to bite it yet, I see...
context: and a bullet from a gun won't do much...\That was scary, right? Bite it, Josuke Higashikata.\Bite your lower lip.\Are you gonna bite it?!\Bite it! Come on, just bite it and show me your sign!\So this is his Stand?\Pretty crappy-looking Stand, just like the old man in the picture!\Not going to bite it yet, I see... response:	Looks like he's covering up his fear with anger.
context: That was scary, right? Bite it, Josuke Higashikata.\Bite your lower lip.\Are you gonna bite it?!\Bite it! Come on, just bite it and show me your sign!\So this is his Stand?\Pretty crappy-looking Stand, just like the old man in the picture!\Not going to bite it yet, I see...\Looks like he's covering up his fear with anger. response:	I guess I have no choice. I'll have to show myself.
context: Bite your lower lip.\Are you gonna bite it?!\Bite it! Come on, just bite it and show me your sign!\So this is his Stand?\Pretty crappy-looking Stand, just like the old man in the picture!\Not going to bite it yet, I see...\Looks like he's covering up his fear with anger.\I guess I have no choice. I'll have to show myself. response:	You've got some nerve, you asshole!
context: Are you gonna bite it?!\Bite it! Come on, just bite it and show me your sign!\So this is his Stand?\Pretty crappy-looking Stand, just like the old man in the picture!\Not going to bite it yet, I see...\Looks like he's covering up his fear with anger.\I guess I have no choice. I'll have to show myself.\You've got some nerve, you asshole! response:	This is it... This creepiness.
context: Bite it! Come on, just bite it and show me your sign!\So this is his Stand?\Pretty crappy-looking Stand, just like the old man in the picture!\Not going to bite it yet, I see...\Looks like he's covering up his fear with anger.\I guess I have no choice. I'll have to show myself.\You've got some nerve, you asshole!\This is it... This creepiness. response:	He's been hiding all this time, so why is he coming out now?
context: So this is his Stand?\Pretty crappy-looking Stand, just like the old man in the picture!\Not going to bite it yet, I see...\Looks like he's covering up his fear with anger.\I guess I have no choice. I'll have to show myself.\You've got some nerve, you asshole!\This is it... This creepiness.\He's been hiding all this time, so why is he coming out now? response:	He showed up on purpose.
context: Pretty crappy-looking Stand, just like the old man in the picture!\Not going to bite it yet, I see...\Looks like he's covering up his fear with anger.\I guess I have no choice. I'll have to show myself.\You've got some nerve, you asshole!\This is it... This creepiness.\He's been hiding all this time, so why is he coming out now?\He showed up on purpose. response:	He showed up on purpose so you would attack him!
context: Not going to bite it yet, I see...\Looks like he's covering up his fear with anger.\I guess I have no choice. I'll have to show myself.\You've got some nerve, you asshole!\This is it... This creepiness.\He's been hiding all this time, so why is he coming out now?\He showed up on purpose.\He showed up on purpose so you would attack him! response:	He's dangerous... He's too dangerous, Josuke!
context: Looks like he's covering up his fear with anger.\I guess I have no choice. I'll have to show myself.\You've got some nerve, you asshole!\This is it... This creepiness.\He's been hiding all this time, so why is he coming out now?\He showed up on purpose.\He showed up on purpose so you would attack him!\He's dangerous... He's too dangerous, Josuke! response:	True... My Stand's ability might be a crappy one.
context: I guess I have no choice. I'll have to show myself.\You've got some nerve, you asshole!\This is it... This creepiness.\He's been hiding all this time, so why is he coming out now?\He showed up on purpose.\He showed up on purpose so you would attack him!\He's dangerous... He's too dangerous, Josuke!\True... My Stand's ability might be a crappy one. response:	But if I were to explain my ability to you...
context: You've got some nerve, you asshole!\This is it... This creepiness.\He's been hiding all this time, so why is he coming out now?\He showed up on purpose.\He showed up on purpose so you would attack him!\He's dangerous... He's too dangerous, Josuke!\True... My Stand's ability might be a crappy one.\But if I were to explain my ability to you... response:	I can make various things
context: This is it... This creepiness.\He's been hiding all this time, so why is he coming out now?\He showed up on purpose.\He showed up on purpose so you would attack him!\He's dangerous... He's too dangerous, Josuke!\True... My Stand's ability might be a crappy one.\But if I were to explain my ability to you...\I can make various things response:	into paper and file them away, and it's extremely useful.
context: He's been hiding all this time, so why is he coming out now?\He showed up on purpose.\He showed up on purpose so you would attack him!\He's dangerous... He's too dangerous, Josuke!\True... My Stand's ability might be a crappy one.\But if I were to explain my ability to you...\I can make various things\into paper and file them away, and it's extremely useful. response:	And this paper is Koichi Hirose.
context: He showed up on purpose.\He showed up on purpose so you would attack him!\He's dangerous... He's too dangerous, Josuke!\True... My Stand's ability might be a crappy one.\But if I were to explain my ability to you...\I can make various things\into paper and file them away, and it's extremely useful.\And this paper is Koichi Hirose. response:	You bastard... So that's where you were hiding Koichi!
context: He showed up on purpose so you would attack him!\He's dangerous... He's too dangerous, Josuke!\True... My Stand's ability might be a crappy one.\But if I were to explain my ability to you...\I can make various things\into paper and file them away, and it's extremely useful.\And this paper is Koichi Hirose.\You bastard... So that's where you were hiding Koichi! response:	That's Koichi's scent.
context: He's dangerous... He's too dangerous, Josuke!\True... My Stand's ability might be a crappy one.\But if I were to explain my ability to you...\I can make various things\into paper and file them away, and it's extremely useful.\And this paper is Koichi Hirose.\You bastard... So that's where you were hiding Koichi!\That's Koichi's scent. response:	He didn't have something of Koichi's... He had Koichi himself!
context: True... My Stand's ability might be a crappy one.\But if I were to explain my ability to you...\I can make various things\into paper and file them away, and it's extremely useful.\And this paper is Koichi Hirose.\You bastard... So that's where you were hiding Koichi!\That's Koichi's scent.\He didn't have something of Koichi's... He had Koichi himself! response:	He's alive, of course, because my Stand ability is a crappy one.
context: But if I were to explain my ability to you...\I can make various things\into paper and file them away, and it's extremely useful.\And this paper is Koichi Hirose.\You bastard... So that's where you were hiding Koichi!\That's Koichi's scent.\He didn't have something of Koichi's... He had Koichi himself!\He's alive, of course, because my Stand ability is a crappy one. response:	I don't have the power or ability to kill someone.
context: I can make various things\into paper and file them away, and it's extremely useful.\And this paper is Koichi Hirose.\You bastard... So that's where you were hiding Koichi!\That's Koichi's scent.\He didn't have something of Koichi's... He had Koichi himself!\He's alive, of course, because my Stand ability is a crappy one.\I don't have the power or ability to kill someone. response:	Though that's not the case if someone rips it up, like I did just now.
context: into paper and file them away, and it's extremely useful.\And this paper is Koichi Hirose.\You bastard... So that's where you were hiding Koichi!\That's Koichi's scent.\He didn't have something of Koichi's... He had Koichi himself!\He's alive, of course, because my Stand ability is a crappy one.\I don't have the power or ability to kill someone.\Though that's not the case if someone rips it up, like I did just now. response:	I'll let you off the hook with just an ass-kicking
context: And this paper is Koichi Hirose.\You bastard... So that's where you were hiding Koichi!\That's Koichi's scent.\He didn't have something of Koichi's... He had Koichi himself!\He's alive, of course, because my Stand ability is a crappy one.\I don't have the power or ability to kill someone.\Though that's not the case if someone rips it up, like I did just now.\I'll let you off the hook with just an ass-kicking response:	if you bring Koichi back here right now.
context: You bastard... So that's where you were hiding Koichi!\That's Koichi's scent.\He didn't have something of Koichi's... He had Koichi himself!\He's alive, of course, because my Stand ability is a crappy one.\I don't have the power or ability to kill someone.\Though that's not the case if someone rips it up, like I did just now.\I'll let you off the hook with just an ass-kicking\if you bring Koichi back here right now. response:	Just try and get him...
context: That's Koichi's scent.\He didn't have something of Koichi's... He had Koichi himself!\He's alive, of course, because my Stand ability is a crappy one.\I don't have the power or ability to kill someone.\Though that's not the case if someone rips it up, like I did just now.\I'll let you off the hook with just an ass-kicking\if you bring Koichi back here right now.\Just try and get him... response:	If you can.
context: He didn't have something of Koichi's... He had Koichi himself!\He's alive, of course, because my Stand ability is a crappy one.\I don't have the power or ability to kill someone.\Though that's not the case if someone rips it up, like I did just now.\I'll let you off the hook with just an ass-kicking\if you bring Koichi back here right now.\Just try and get him...\If you can. response:	Koichi Hirose
context: He's alive, of course, because my Stand ability is a crappy one.\I don't have the power or ability to kill someone.\Though that's not the case if someone rips it up, like I did just now.\I'll let you off the hook with just an ass-kicking\if you bring Koichi back here right now.\Just try and get him...\If you can.\Koichi Hirose response:	Koichi!
context: I don't have the power or ability to kill someone.\Though that's not the case if someone rips it up, like I did just now.\I'll let you off the hook with just an ass-kicking\if you bring Koichi back here right now.\Just try and get him...\If you can.\Koichi Hirose\Koichi! response:	Because my Stand ability is a crappy one.
context: Though that's not the case if someone rips it up, like I did just now.\I'll let you off the hook with just an ass-kicking\if you bring Koichi back here right now.\Just try and get him...\If you can.\Koichi Hirose\Koichi!\Because my Stand ability is a crappy one. response:	I don't have the power or ability to kill someone.
context: I'll let you off the hook with just an ass-kicking\if you bring Koichi back here right now.\Just try and get him...\If you can.\Koichi Hirose\Koichi!\Because my Stand ability is a crappy one.\I don't have the power or ability to kill someone. response:	Though that's not the case if someone rips it up.
context: if you bring Koichi back here right now.\Just try and get him...\If you can.\Koichi Hirose\Koichi!\Because my Stand ability is a crappy one.\I don't have the power or ability to kill someone.\Though that's not the case if someone rips it up. response:	That's the trap!
context: Just try and get him...\If you can.\Koichi Hirose\Koichi!\Because my Stand ability is a crappy one.\I don't have the power or ability to kill someone.\Though that's not the case if someone rips it up.\That's the trap! response:	If it were me, I wouldn't go after that paper.
context: If you can.\Koichi Hirose\Koichi!\Because my Stand ability is a crappy one.\I don't have the power or ability to kill someone.\Though that's not the case if someone rips it up.\That's the trap!\If it were me, I wouldn't go after that paper. response:	Josuke, ignore it.
context: Koichi Hirose\Koichi!\Because my Stand ability is a crappy one.\I don't have the power or ability to kill someone.\Though that's not the case if someone rips it up.\That's the trap!\If it were me, I wouldn't go after that paper.\Josuke, ignore it. response:	You bit it! You finally bit it!
context: Koichi!\Because my Stand ability is a crappy one.\I don't have the power or ability to kill someone.\Though that's not the case if someone rips it up.\That's the trap!\If it were me, I wouldn't go after that paper.\Josuke, ignore it.\You bit it! You finally bit it! response:	Misterioso was waiting for this moment, Josuke Higashikata!
context: Because my Stand ability is a crappy one.\I don't have the power or ability to kill someone.\Though that's not the case if someone rips it up.\That's the trap!\If it were me, I wouldn't go after that paper.\Josuke, ignore it.\You bit it! You finally bit it!\Misterioso was waiting for this moment, Josuke Higashikata! response:	It was waiting for the moment you bit your lip!
context: I don't have the power or ability to kill someone.\Though that's not the case if someone rips it up.\That's the trap!\If it were me, I wouldn't go after that paper.\Josuke, ignore it.\You bit it! You finally bit it!\Misterioso was waiting for this moment, Josuke Higashikata!\It was waiting for the moment you bit your lip! response:	You bastard...
context: Though that's not the case if someone rips it up.\That's the trap!\If it were me, I wouldn't go after that paper.\Josuke, ignore it.\You bit it! You finally bit it!\Misterioso was waiting for this moment, Josuke Higashikata!\It was waiting for the moment you bit your lip!\You bastard... response:	You showed your sign of fear!
context: That's the trap!\If it were me, I wouldn't go after that paper.\Josuke, ignore it.\You bit it! You finally bit it!\Misterioso was waiting for this moment, Josuke Higashikata!\It was waiting for the moment you bit your lip!\You bastard...\You showed your sign of fear! response:	No matter how you resist, once you've shown your fear,
context: If it were me, I wouldn't go after that paper.\Josuke, ignore it.\You bit it! You finally bit it!\Misterioso was waiting for this moment, Josuke Higashikata!\It was waiting for the moment you bit your lip!\You bastard...\You showed your sign of fear!\No matter how you resist, once you've shown your fear, response:	you're powerless before Misterioso.
context: Josuke, ignore it.\You bit it! You finally bit it!\Misterioso was waiting for this moment, Josuke Higashikata!\It was waiting for the moment you bit your lip!\You bastard...\You showed your sign of fear!\No matter how you resist, once you've shown your fear,\you're powerless before Misterioso. response:	Thud
context: You bit it! You finally bit it!\Misterioso was waiting for this moment, Josuke Higashikata!\It was waiting for the moment you bit your lip!\You bastard...\You showed your sign of fear!\No matter how you resist, once you've shown your fear,\you're powerless before Misterioso.\Thud response:	I feel bad for Josuke, but I'm glad I didn't help him.
context: Misterioso was waiting for this moment, Josuke Higashikata!\It was waiting for the moment you bit your lip!\You bastard...\You showed your sign of fear!\No matter how you resist, once you've shown your fear,\you're powerless before Misterioso.\Thud\I feel bad for Josuke, but I'm glad I didn't help him. response:	If I had helped him, that guy would have probably
context: It was waiting for the moment you bit your lip!\You bastard...\You showed your sign of fear!\No matter how you resist, once you've shown your fear,\you're powerless before Misterioso.\Thud\I feel bad for Josuke, but I'm glad I didn't help him.\If I had helped him, that guy would have probably response:	gotten rid of me first, since I can find scents.
context: You bastard...\You showed your sign of fear!\No matter how you resist, once you've shown your fear,\you're powerless before Misterioso.\Thud\I feel bad for Josuke, but I'm glad I didn't help him.\If I had helped him, that guy would have probably\gotten rid of me first, since I can find scents. response:	Do you understand now that there's no power
context: You showed your sign of fear!\No matter how you resist, once you've shown your fear,\you're powerless before Misterioso.\Thud\I feel bad for Josuke, but I'm glad I didn't help him.\If I had helped him, that guy would have probably\gotten rid of me first, since I can find scents.\Do you understand now that there's no power response:	in the world that can stop Misterioso?
context: No matter how you resist, once you've shown your fear,\you're powerless before Misterioso.\Thud\I feel bad for Josuke, but I'm glad I didn't help him.\If I had helped him, that guy would have probably\gotten rid of me first, since I can find scents.\Do you understand now that there's no power\in the world that can stop Misterioso? response:	Wh-What?
context: you're powerless before Misterioso.\Thud\I feel bad for Josuke, but I'm glad I didn't help him.\If I had helped him, that guy would have probably\gotten rid of me first, since I can find scents.\Do you understand now that there's no power\in the world that can stop Misterioso?\Wh-What? response:	That metal rod is fixed...
context: Thud\I feel bad for Josuke, but I'm glad I didn't help him.\If I had helped him, that guy would have probably\gotten rid of me first, since I can find scents.\Do you understand now that there's no power\in the world that can stop Misterioso?\Wh-What?\That metal rod is fixed... response:	He's trying to use that power to get out.
context: I feel bad for Josuke, but I'm glad I didn't help him.\If I had helped him, that guy would have probably\gotten rid of me first, since I can find scents.\Do you understand now that there's no power\in the world that can stop Misterioso?\Wh-What?\That metal rod is fixed...\He's trying to use that power to get out. response:	That paper there
context: If I had helped him, that guy would have probably\gotten rid of me first, since I can find scents.\Do you understand now that there's no power\in the world that can stop Misterioso?\Wh-What?\That metal rod is fixed...\He's trying to use that power to get out.\That paper there response:	is probably not the paper that Koichi's trapped in.
context: gotten rid of me first, since I can find scents.\Do you understand now that there's no power\in the world that can stop Misterioso?\Wh-What?\That metal rod is fixed...\He's trying to use that power to get out.\That paper there\is probably not the paper that Koichi's trapped in. response:	I knew it was just bait with the name Koichi Hirose written on it.
context: Do you understand now that there's no power\in the world that can stop Misterioso?\Wh-What?\That metal rod is fixed...\He's trying to use that power to get out.\That paper there\is probably not the paper that Koichi's trapped in.\I knew it was just bait with the name Koichi Hirose written on it. response:	That's because the only reason you were confident enough to show yourself
context: in the world that can stop Misterioso?\Wh-What?\That metal rod is fixed...\He's trying to use that power to get out.\That paper there\is probably not the paper that Koichi's trapped in.\I knew it was just bait with the name Koichi Hirose written on it.\That's because the only reason you were confident enough to show yourself response:	was because you were holding Koichi as a hostage,
context: Wh-What?\That metal rod is fixed...\He's trying to use that power to get out.\That paper there\is probably not the paper that Koichi's trapped in.\I knew it was just bait with the name Koichi Hirose written on it.\That's because the only reason you were confident enough to show yourself\was because you were holding Koichi as a hostage, response:	and it's because he's alive that you can threaten me.
context: That metal rod is fixed...\He's trying to use that power to get out.\That paper there\is probably not the paper that Koichi's trapped in.\I knew it was just bait with the name Koichi Hirose written on it.\That's because the only reason you were confident enough to show yourself\was because you were holding Koichi as a hostage,\and it's because he's alive that you can threaten me. response:	I knew that piece of paper was a trap...
context: He's trying to use that power to get out.\That paper there\is probably not the paper that Koichi's trapped in.\I knew it was just bait with the name Koichi Hirose written on it.\That's because the only reason you were confident enough to show yourself\was because you were holding Koichi as a hostage,\and it's because he's alive that you can threaten me.\I knew that piece of paper was a trap... response:	It was, wasn't it?
context: That paper there\is probably not the paper that Koichi's trapped in.\I knew it was just bait with the name Koichi Hirose written on it.\That's because the only reason you were confident enough to show yourself\was because you were holding Koichi as a hostage,\and it's because he's alive that you can threaten me.\I knew that piece of paper was a trap...\It was, wasn't it? response:	But the reason I still tried to save that piece of paper
context: is probably not the paper that Koichi's trapped in.\I knew it was just bait with the name Koichi Hirose written on it.\That's because the only reason you were confident enough to show yourself\was because you were holding Koichi as a hostage,\and it's because he's alive that you can threaten me.\I knew that piece of paper was a trap...\It was, wasn't it?\But the reason I still tried to save that piece of paper response:	was because there was still a possibility that it was Koichi.
context: I knew it was just bait with the name Koichi Hirose written on it.\That's because the only reason you were confident enough to show yourself\was because you were holding Koichi as a hostage,\and it's because he's alive that you can threaten me.\I knew that piece of paper was a trap...\It was, wasn't it?\But the reason I still tried to save that piece of paper\was because there was still a possibility that it was Koichi. response:	If there's even a 1 chance that it's Koichi,
context: That's because the only reason you were confident enough to show yourself\was because you were holding Koichi as a hostage,\and it's because he's alive that you can threaten me.\I knew that piece of paper was a trap...\It was, wasn't it?\But the reason I still tried to save that piece of paper\was because there was still a possibility that it was Koichi.\If there's even a 1 chance that it's Koichi, response:	then my only choice is to try to save him!
context: was because you were holding Koichi as a hostage,\and it's because he's alive that you can threaten me.\I knew that piece of paper was a trap...\It was, wasn't it?\But the reason I still tried to save that piece of paper\was because there was still a possibility that it was Koichi.\If there's even a 1 chance that it's Koichi,\then my only choice is to try to save him! response:	Misterioso, you win.
context: and it's because he's alive that you can threaten me.\I knew that piece of paper was a trap...\It was, wasn't it?\But the reason I still tried to save that piece of paper\was because there was still a possibility that it was Koichi.\If there's even a 1 chance that it's Koichi,\then my only choice is to try to save him!\Misterioso, you win. response:	Looks like this is as far as Shining Diamond's powers go.
context: I knew that piece of paper was a trap...\It was, wasn't it?\But the reason I still tried to save that piece of paper\was because there was still a possibility that it was Koichi.\If there's even a 1 chance that it's Koichi,\then my only choice is to try to save him!\Misterioso, you win.\Looks like this is as far as Shining Diamond's powers go. response:	However, let me just warn you of one thing...
context: It was, wasn't it?\But the reason I still tried to save that piece of paper\was because there was still a possibility that it was Koichi.\If there's even a 1 chance that it's Koichi,\then my only choice is to try to save him!\Misterioso, you win.\Looks like this is as far as Shining Diamond's powers go.\However, let me just warn you of one thing... response:	If you turn me into paper,
context: But the reason I still tried to save that piece of paper\was because there was still a possibility that it was Koichi.\If there's even a 1 chance that it's Koichi,\then my only choice is to try to save him!\Misterioso, you win.\Looks like this is as far as Shining Diamond's powers go.\However, let me just warn you of one thing...\If you turn me into paper, response:	you should immediately rip me up and get rid of me.
context: was because there was still a possibility that it was Koichi.\If there's even a 1 chance that it's Koichi,\then my only choice is to try to save him!\Misterioso, you win.\Looks like this is as far as Shining Diamond's powers go.\However, let me just warn you of one thing...\If you turn me into paper,\you should immediately rip me up and get rid of me. response:	If I'm able to come back from this, I will kill you!
context: If there's even a 1 chance that it's Koichi,\then my only choice is to try to save him!\Misterioso, you win.\Looks like this is as far as Shining Diamond's powers go.\However, let me just warn you of one thing...\If you turn me into paper,\you should immediately rip me up and get rid of me.\If I'm able to come back from this, I will kill you! response:	L-Look at you, talking big...
context: then my only choice is to try to save him!\Misterioso, you win.\Looks like this is as far as Shining Diamond's powers go.\However, let me just warn you of one thing...\If you turn me into paper,\you should immediately rip me up and get rid of me.\If I'm able to come back from this, I will kill you!\L-Look at you, talking big... response:	You weren't a big deal at all.
context: Misterioso, you win.\Looks like this is as far as Shining Diamond's powers go.\However, let me just warn you of one thing...\If you turn me into paper,\you should immediately rip me up and get rid of me.\If I'm able to come back from this, I will kill you!\L-Look at you, talking big...\You weren't a big deal at all. response:	Koichi Hirose
context: Looks like this is as far as Shining Diamond's powers go.\However, let me just warn you of one thing...\If you turn me into paper,\you should immediately rip me up and get rid of me.\If I'm able to come back from this, I will kill you!\L-Look at you, talking big...\You weren't a big deal at all.\Koichi Hirose response:	Yuya Fungami, huh?
context: However, let me just warn you of one thing...\If you turn me into paper,\you should immediately rip me up and get rid of me.\If I'm able to come back from this, I will kill you!\L-Look at you, talking big...\You weren't a big deal at all.\Koichi Hirose\Yuya Fungami, huh? response:	Not helping out Josuke was a very smart thing to do.
context: If you turn me into paper,\you should immediately rip me up and get rid of me.\If I'm able to come back from this, I will kill you!\L-Look at you, talking big...\You weren't a big deal at all.\Koichi Hirose\Yuya Fungami, huh?\Not helping out Josuke was a very smart thing to do. response:	I could have gotten rid of you easily.
context: you should immediately rip me up and get rid of me.\If I'm able to come back from this, I will kill you!\L-Look at you, talking big...\You weren't a big deal at all.\Koichi Hirose\Yuya Fungami, huh?\Not helping out Josuke was a very smart thing to do.\I could have gotten rid of you easily. response:	Your sign of fear is to poke at your chin with your fingers.
context: If I'm able to come back from this, I will kill you!\L-Look at you, talking big...\You weren't a big deal at all.\Koichi Hirose\Yuya Fungami, huh?\Not helping out Josuke was a very smart thing to do.\I could have gotten rid of you easily.\Your sign of fear is to poke at your chin with your fingers. response:	But the old man in the picture didn't tell me to get rid of you,
context: L-Look at you, talking big...\You weren't a big deal at all.\Koichi Hirose\Yuya Fungami, huh?\Not helping out Josuke was a very smart thing to do.\I could have gotten rid of you easily.\Your sign of fear is to poke at your chin with your fingers.\But the old man in the picture didn't tell me to get rid of you, response:	so I guess you get to stay alive.
context: You weren't a big deal at all.\Koichi Hirose\Yuya Fungami, huh?\Not helping out Josuke was a very smart thing to do.\I could have gotten rid of you easily.\Your sign of fear is to poke at your chin with your fingers.\But the old man in the picture didn't tell me to get rid of you,\so I guess you get to stay alive. response:	That's the smart thing to do.
context: Koichi Hirose\Yuya Fungami, huh?\Not helping out Josuke was a very smart thing to do.\I could have gotten rid of you easily.\Your sign of fear is to poke at your chin with your fingers.\But the old man in the picture didn't tell me to get rid of you,\so I guess you get to stay alive.\That's the smart thing to do. response:	Want to hear something interesting about this paper?
context: Yuya Fungami, huh?\Not helping out Josuke was a very smart thing to do.\I could have gotten rid of you easily.\Your sign of fear is to poke at your chin with your fingers.\But the old man in the picture didn't tell me to get rid of you,\so I guess you get to stay alive.\That's the smart thing to do.\Want to hear something interesting about this paper? response:	Anyone can take out what's inside if they open it.
context: Not helping out Josuke was a very smart thing to do.\I could have gotten rid of you easily.\Your sign of fear is to poke at your chin with your fingers.\But the old man in the picture didn't tell me to get rid of you,\so I guess you get to stay alive.\That's the smart thing to do.\Want to hear something interesting about this paper?\Anyone can take out what's inside if they open it. response:	It's a very simple thing to do, but it's quite hard for someone who's in fear.
context: I could have gotten rid of you easily.\Your sign of fear is to poke at your chin with your fingers.\But the old man in the picture didn't tell me to get rid of you,\so I guess you get to stay alive.\That's the smart thing to do.\Want to hear something interesting about this paper?\Anyone can take out what's inside if they open it.\It's a very simple thing to do, but it's quite hard for someone who's in fear. response:	To Morioh Grand Hotel.
context: Your sign of fear is to poke at your chin with your fingers.\But the old man in the picture didn't tell me to get rid of you,\so I guess you get to stay alive.\That's the smart thing to do.\Want to hear something interesting about this paper?\Anyone can take out what's inside if they open it.\It's a very simple thing to do, but it's quite hard for someone who's in fear.\To Morioh Grand Hotel. response:	All right! We got rid of Koichi Hirose and Josuke Higashikata!
context: But the old man in the picture didn't tell me to get rid of you,\so I guess you get to stay alive.\That's the smart thing to do.\Want to hear something interesting about this paper?\Anyone can take out what's inside if they open it.\It's a very simple thing to do, but it's quite hard for someone who's in fear.\To Morioh Grand Hotel.\All right! We got rid of Koichi Hirose and Josuke Higashikata! response:	Right about now, Rohan Kishibe should also be...
context: so I guess you get to stay alive.\That's the smart thing to do.\Want to hear something interesting about this paper?\Anyone can take out what's inside if they open it.\It's a very simple thing to do, but it's quite hard for someone who's in fear.\To Morioh Grand Hotel.\All right! We got rid of Koichi Hirose and Josuke Higashikata!\Right about now, Rohan Kishibe should also be... response:	July 15th (Thurs) 2:21 PM
context: That's the smart thing to do.\Want to hear something interesting about this paper?\Anyone can take out what's inside if they open it.\It's a very simple thing to do, but it's quite hard for someone who's in fear.\To Morioh Grand Hotel.\All right! We got rid of Koichi Hirose and Josuke Higashikata!\Right about now, Rohan Kishibe should also be...\July 15th (Thurs) 2:21 PM response:	Which is it?
context: Want to hear something interesting about this paper?\Anyone can take out what's inside if they open it.\It's a very simple thing to do, but it's quite hard for someone who's in fear.\To Morioh Grand Hotel.\All right! We got rid of Koichi Hirose and Josuke Higashikata!\Right about now, Rohan Kishibe should also be...\July 15th (Thurs) 2:21 PM\Which is it? response:	Which picture has something to do with Yoshikage Kira?
context: Anyone can take out what's inside if they open it.\It's a very simple thing to do, but it's quite hard for someone who's in fear.\To Morioh Grand Hotel.\All right! We got rid of Koichi Hirose and Josuke Higashikata!\Right about now, Rohan Kishibe should also be...\July 15th (Thurs) 2:21 PM\Which is it?\Which picture has something to do with Yoshikage Kira? response:	Which picture is the old man in the photo trying to get rid of?
context: It's a very simple thing to do, but it's quite hard for someone who's in fear.\To Morioh Grand Hotel.\All right! We got rid of Koichi Hirose and Josuke Higashikata!\Right about now, Rohan Kishibe should also be...\July 15th (Thurs) 2:21 PM\Which is it?\Which picture has something to do with Yoshikage Kira?\Which picture is the old man in the photo trying to get rid of? response:	Burn them, okay? Burn them.
context: To Morioh Grand Hotel.\All right! We got rid of Koichi Hirose and Josuke Higashikata!\Right about now, Rohan Kishibe should also be...\July 15th (Thurs) 2:21 PM\Which is it?\Which picture has something to do with Yoshikage Kira?\Which picture is the old man in the photo trying to get rid of?\Burn them, okay? Burn them. response:	It's no use...
context: All right! We got rid of Koichi Hirose and Josuke Higashikata!\Right about now, Rohan Kishibe should also be...\July 15th (Thurs) 2:21 PM\Which is it?\Which picture has something to do with Yoshikage Kira?\Which picture is the old man in the photo trying to get rid of?\Burn them, okay? Burn them.\It's no use... response:	Right now, there aren't enough clues.
context: Right about now, Rohan Kishibe should also be...\July 15th (Thurs) 2:21 PM\Which is it?\Which picture has something to do with Yoshikage Kira?\Which picture is the old man in the photo trying to get rid of?\Burn them, okay? Burn them.\It's no use...\Right now, there aren't enough clues. response:	So let's burn the pictures, okay?
context: July 15th (Thurs) 2:21 PM\Which is it?\Which picture has something to do with Yoshikage Kira?\Which picture is the old man in the photo trying to get rid of?\Burn them, okay? Burn them.\It's no use...\Right now, there aren't enough clues.\So let's burn the pictures, okay? response:	Shut up! You're annoying!
context: Which is it?\Which picture has something to do with Yoshikage Kira?\Which picture is the old man in the photo trying to get rid of?\Burn them, okay? Burn them.\It's no use...\Right now, there aren't enough clues.\So let's burn the pictures, okay?\Shut up! You're annoying! response:	Damn it! I have to let them know...
context: Which picture has something to do with Yoshikage Kira?\Which picture is the old man in the photo trying to get rid of?\Burn them, okay? Burn them.\It's no use...\Right now, there aren't enough clues.\So let's burn the pictures, okay?\Shut up! You're annoying!\Damn it! I have to let them know... response:	I have to let someone know about this thing.
