context: During the battle surrounding Nirvana with Oracion Seis, Erza fell. response:	And then we lost Lyon...
context: Was it the alliance? Or Oracion Seis?\Hibiki, what's happening?\Answer me, Hibiki!\That magical power must be blocking communications.\Damn it.\I'll keep searching for Wendy!\Understood. I'll head toward that light.\Be careful! response:	Damn it... What in the world is happening?
context: Hibiki, what's happening?\Answer me, Hibiki!\That magical power must be blocking communications.\Damn it.\I'll keep searching for Wendy!\Understood. I'll head toward that light.\Be careful!\Damn it... What in the world is happening? response:	Whose fault was it that Lyon-sama...
context: Answer me, Hibiki!\That magical power must be blocking communications.\Damn it.\I'll keep searching for Wendy!\Understood. I'll head toward that light.\Be careful!\Damn it... What in the world is happening?\Whose fault was it that Lyon-sama... response:	Lyon!
context: That magical power must be blocking communications.\Damn it.\I'll keep searching for Wendy!\Understood. I'll head toward that light.\Be careful!\Damn it... What in the world is happening?\Whose fault was it that Lyon-sama...\Lyon! response:	Answer me, Lyon!
context: Damn it.\I'll keep searching for Wendy!\Understood. I'll head toward that light.\Be careful!\Damn it... What in the world is happening?\Whose fault was it that Lyon-sama...\Lyon!\Answer me, Lyon! response:	Hey!
context: I'll keep searching for Wendy!\Understood. I'll head toward that light.\Be careful!\Damn it... What in the world is happening?\Whose fault was it that Lyon-sama...\Lyon!\Answer me, Lyon!\Hey! response:	Lyon!
context: Understood. I'll head toward that light.\Be careful!\Damn it... What in the world is happening?\Whose fault was it that Lyon-sama...\Lyon!\Answer me, Lyon!\Hey!\Lyon! response:	His fault?
context: Be careful!\Damn it... What in the world is happening?\Whose fault was it that Lyon-sama...\Lyon!\Answer me, Lyon!\Hey!\Lyon!\His fault? response:	What in the world is that?
context: Damn it... What in the world is happening?\Whose fault was it that Lyon-sama...\Lyon!\Answer me, Lyon!\Hey!\Lyon!\His fault?\What in the world is that? response:	Nirvana.
context: Whose fault was it that Lyon-sama...\Lyon!\Answer me, Lyon!\Hey!\Lyon!\His fault?\What in the world is that?\Nirvana. response:	Yes!
context: Lyon!\Answer me, Lyon!\Hey!\Lyon!\His fault?\What in the world is that?\Nirvana.\Yes! response:	Please, do not worry.
context: Answer me, Lyon!\Hey!\Lyon!\His fault?\What in the world is that?\Nirvana.\Yes!\Please, do not worry. response:	The main body has not yet started up.
context: Hey!\Lyon!\His fault?\What in the world is that?\Nirvana.\Yes!\Please, do not worry.\The main body has not yet started up. response:	That is only the seal being released.
context: Lyon!\His fault?\What in the world is that?\Nirvana.\Yes!\Please, do not worry.\The main body has not yet started up.\That is only the seal being released. response:	However, this definitely smells like money to me!
context: His fault?\What in the world is that?\Nirvana.\Yes!\Please, do not worry.\The main body has not yet started up.\That is only the seal being released.\However, this definitely smells like money to me! response:	Yes!
context: What in the world is that?\Nirvana.\Yes!\Please, do not worry.\The main body has not yet started up.\That is only the seal being released.\However, this definitely smells like money to me!\Yes! response:	There is no time to fight this guy, but...
context: Nirvana.\Yes!\Please, do not worry.\The main body has not yet started up.\That is only the seal being released.\However, this definitely smells like money to me!\Yes!\There is no time to fight this guy, but... response:	But the mission is to suppress Oracion Seis...
context: Yes!\Please, do not worry.\The main body has not yet started up.\That is only the seal being released.\However, this definitely smells like money to me!\Yes!\There is no time to fight this guy, but...\But the mission is to suppress Oracion Seis... response:	Fight? Or stop Nirvana?
context: Please, do not worry.\The main body has not yet started up.\That is only the seal being released.\However, this definitely smells like money to me!\Yes!\There is no time to fight this guy, but...\But the mission is to suppress Oracion Seis...\Fight? Or stop Nirvana? response:	Money! Money!
context: The main body has not yet started up.\That is only the seal being released.\However, this definitely smells like money to me!\Yes!\There is no time to fight this guy, but...\But the mission is to suppress Oracion Seis...\Fight? Or stop Nirvana?\Money! Money! response:	Now, we will become rich!
context: That is only the seal being released.\However, this definitely smells like money to me!\Yes!\There is no time to fight this guy, but...\But the mission is to suppress Oracion Seis...\Fight? Or stop Nirvana?\Money! Money!\Now, we will become rich! response:	Now what?!
context: However, this definitely smells like money to me!\Yes!\There is no time to fight this guy, but...\But the mission is to suppress Oracion Seis...\Fight? Or stop Nirvana?\Money! Money!\Now, we will become rich!\Now what?! response:	We have to go after Natsu-kun!
context: Yes!\There is no time to fight this guy, but...\But the mission is to suppress Oracion Seis...\Fight? Or stop Nirvana?\Money! Money!\Now, we will become rich!\Now what?!\We have to go after Natsu-kun! response:	Natsu...
context: There is no time to fight this guy, but...\But the mission is to suppress Oracion Seis...\Fight? Or stop Nirvana?\Money! Money!\Now, we will become rich!\Now what?!\We have to go after Natsu-kun!\Natsu... response:	Did he say something about Jellal?
context: But the mission is to suppress Oracion Seis...\Fight? Or stop Nirvana?\Money! Money!\Now, we will become rich!\Now what?!\We have to go after Natsu-kun!\Natsu...\Did he say something about Jellal? response:	I'll explain later! We have to go after Natsu!
context: Fight? Or stop Nirvana?\Money! Money!\Now, we will become rich!\Now what?!\We have to go after Natsu-kun!\Natsu...\Did he say something about Jellal?\I'll explain later! We have to go after Natsu! response:	Erza is gone!
context: Money! Money!\Now, we will become rich!\Now what?!\We have to go after Natsu-kun!\Natsu...\Did he say something about Jellal?\I'll explain later! We have to go after Natsu!\Erza is gone! response:	What is with that girl?
context: Now, we will become rich!\Now what?!\We have to go after Natsu-kun!\Natsu...\Did he say something about Jellal?\I'll explain later! We have to go after Natsu!\Erza is gone!\What is with that girl? response:	She didn't even thank Wendy!
context: Now what?!\We have to go after Natsu-kun!\Natsu...\Did he say something about Jellal?\I'll explain later! We have to go after Natsu!\Erza is gone!\What is with that girl?\She didn't even thank Wendy! response:	Erza... Maybe she heard the name Jellal, and...
context: We have to go after Natsu-kun!\Natsu...\Did he say something about Jellal?\I'll explain later! We have to go after Natsu!\Erza is gone!\What is with that girl?\She didn't even thank Wendy!\Erza... Maybe she heard the name Jellal, and... response:	What'll we do?
context: Natsu...\Did he say something about Jellal?\I'll explain later! We have to go after Natsu!\Erza is gone!\What is with that girl?\She didn't even thank Wendy!\Erza... Maybe she heard the name Jellal, and...\What'll we do? response:	This is all my fault...
context: Did he say something about Jellal?\I'll explain later! We have to go after Natsu!\Erza is gone!\What is with that girl?\She didn't even thank Wendy!\Erza... Maybe she heard the name Jellal, and...\What'll we do?\This is all my fault... response:	Because I healed Jellal, they found Nirvana, and Erza-san and Natsu-san are...
context: I'll explain later! We have to go after Natsu!\Erza is gone!\What is with that girl?\She didn't even thank Wendy!\Erza... Maybe she heard the name Jellal, and...\What'll we do?\This is all my fault...\Because I healed Jellal, they found Nirvana, and Erza-san and Natsu-san are... response:	What do you think you're doing?!
context: Erza is gone!\What is with that girl?\She didn't even thank Wendy!\Erza... Maybe she heard the name Jellal, and...\What'll we do?\This is all my fault...\Because I healed Jellal, they found Nirvana, and Erza-san and Natsu-san are...\What do you think you're doing?! response:	Jellal!
context: What is with that girl?\She didn't even thank Wendy!\Erza... Maybe she heard the name Jellal, and...\What'll we do?\This is all my fault...\Because I healed Jellal, they found Nirvana, and Erza-san and Natsu-san are...\What do you think you're doing?!\Jellal! response:	We'll show you the power of Racer's personal guild, Harpyia!
context: She didn't even thank Wendy!\Erza... Maybe she heard the name Jellal, and...\What'll we do?\This is all my fault...\Because I healed Jellal, they found Nirvana, and Erza-san and Natsu-san are...\What do you think you're doing?!\Jellal!\We'll show you the power of Racer's personal guild, Harpyia! response:	Get'im!
context: Erza... Maybe she heard the name Jellal, and...\What'll we do?\This is all my fault...\Because I healed Jellal, they found Nirvana, and Erza-san and Natsu-san are...\What do you think you're doing?!\Jellal!\We'll show you the power of Racer's personal guild, Harpyia!\Get'im! response:	Outta my way!
context: What'll we do?\This is all my fault...\Because I healed Jellal, they found Nirvana, and Erza-san and Natsu-san are...\What do you think you're doing?!\Jellal!\We'll show you the power of Racer's personal guild, Harpyia!\Get'im!\Outta my way! response:	Move it!
context: This is all my fault...\Because I healed Jellal, they found Nirvana, and Erza-san and Natsu-san are...\What do you think you're doing?!\Jellal!\We'll show you the power of Racer's personal guild, Harpyia!\Get'im!\Outta my way!\Move it! response:	I can't let him get near Erza!
context: Because I healed Jellal, they found Nirvana, and Erza-san and Natsu-san are...\What do you think you're doing?!\Jellal!\We'll show you the power of Racer's personal guild, Harpyia!\Get'im!\Outta my way!\Move it!\I can't let him get near Erza! response:	I can't let'im!
context: What do you think you're doing?!\Jellal!\We'll show you the power of Racer's personal guild, Harpyia!\Get'im!\Outta my way!\Move it!\I can't let him get near Erza!\I can't let'im! response:	Sorry for shocking you.
context: Jellal!\We'll show you the power of Racer's personal guild, Harpyia!\Get'im!\Outta my way!\Move it!\I can't let him get near Erza!\I can't let'im!\Sorry for shocking you. response:	But all I did was knock her out.
context: We'll show you the power of Racer's personal guild, Harpyia!\Get'im!\Outta my way!\Move it!\I can't let him get near Erza!\I can't let'im!\Sorry for shocking you.\But all I did was knock her out. response:	But why? And why are we running?
context: Get'im!\Outta my way!\Move it!\I can't let him get near Erza!\I can't let'im!\Sorry for shocking you.\But all I did was knock her out.\But why? And why are we running? response:	We're heading after Natsu-kun and Erza-san!
context: Outta my way!\Move it!\I can't let him get near Erza!\I can't let'im!\Sorry for shocking you.\But all I did was knock her out.\But why? And why are we running?\We're heading after Natsu-kun and Erza-san! response:	We'll head toward the light as well!
context: Move it!\I can't let him get near Erza!\I can't let'im!\Sorry for shocking you.\But all I did was knock her out.\But why? And why are we running?\We're heading after Natsu-kun and Erza-san!\We'll head toward the light as well! response:	I'm not buying it!
context: I can't let him get near Erza!\I can't let'im!\Sorry for shocking you.\But all I did was knock her out.\But why? And why are we running?\We're heading after Natsu-kun and Erza-san!\We'll head toward the light as well!\I'm not buying it! response:	I know Wendy's a whiner, but that is no reason to treat her so roughly.
context: I can't let'im!\Sorry for shocking you.\But all I did was knock her out.\But why? And why are we running?\We're heading after Natsu-kun and Erza-san!\We'll head toward the light as well!\I'm not buying it!\I know Wendy's a whiner, but that is no reason to treat her so roughly. response:	That's right!
context: Sorry for shocking you.\But all I did was knock her out.\But why? And why are we running?\We're heading after Natsu-kun and Erza-san!\We'll head toward the light as well!\I'm not buying it!\I know Wendy's a whiner, but that is no reason to treat her so roughly.\That's right! response:	I had no other choice.
context: But all I did was knock her out.\But why? And why are we running?\We're heading after Natsu-kun and Erza-san!\We'll head toward the light as well!\I'm not buying it!\I know Wendy's a whiner, but that is no reason to treat her so roughly.\That's right!\I had no other choice. response:	To tell you the truth...
context: But why? And why are we running?\We're heading after Natsu-kun and Erza-san!\We'll head toward the light as well!\I'm not buying it!\I know Wendy's a whiner, but that is no reason to treat her so roughly.\That's right!\I had no other choice.\To tell you the truth... response:	I know about the magic called Nirvana.
context: We're heading after Natsu-kun and Erza-san!\We'll head toward the light as well!\I'm not buying it!\I know Wendy's a whiner, but that is no reason to treat her so roughly.\That's right!\I had no other choice.\To tell you the truth...\I know about the magic called Nirvana. response:	You do?
context: We'll head toward the light as well!\I'm not buying it!\I know Wendy's a whiner, but that is no reason to treat her so roughly.\That's right!\I had no other choice.\To tell you the truth...\I know about the magic called Nirvana.\You do? response:	But I couldn't tell anyone its true nature.
context: I'm not buying it!\I know Wendy's a whiner, but that is no reason to treat her so roughly.\That's right!\I had no other choice.\To tell you the truth...\I know about the magic called Nirvana.\You do?\But I couldn't tell anyone its true nature. response:	This magic is very dangerous when you know about it consciously.
context: I know Wendy's a whiner, but that is no reason to treat her so roughly.\That's right!\I had no other choice.\To tell you the truth...\I know about the magic called Nirvana.\You do?\But I couldn't tell anyone its true nature.\This magic is very dangerous when you know about it consciously. response:	That's why Ichiya-san and even Ren and Eve don't know.
context: That's right!\I had no other choice.\To tell you the truth...\I know about the magic called Nirvana.\You do?\But I couldn't tell anyone its true nature.\This magic is very dangerous when you know about it consciously.\That's why Ichiya-san and even Ren and Eve don't know. response:	Only I was told by the Master.
context: I had no other choice.\To tell you the truth...\I know about the magic called Nirvana.\You do?\But I couldn't tell anyone its true nature.\This magic is very dangerous when you know about it consciously.\That's why Ichiya-san and even Ren and Eve don't know.\Only I was told by the Master. response:	What do you mean?
context: To tell you the truth...\I know about the magic called Nirvana.\You do?\But I couldn't tell anyone its true nature.\This magic is very dangerous when you know about it consciously.\That's why Ichiya-san and even Ren and Eve don't know.\Only I was told by the Master.\What do you mean? response:	It's an extremely fearsome magic.
context: I know about the magic called Nirvana.\You do?\But I couldn't tell anyone its true nature.\This magic is very dangerous when you know about it consciously.\That's why Ichiya-san and even Ren and Eve don't know.\Only I was told by the Master.\What do you mean?\It's an extremely fearsome magic. response:	It switches light for darkness.
context: You do?\But I couldn't tell anyone its true nature.\This magic is very dangerous when you know about it consciously.\That's why Ichiya-san and even Ren and Eve don't know.\Only I was told by the Master.\What do you mean?\It's an extremely fearsome magic.\It switches light for darkness. response:	That's Nirvana...
context: But I couldn't tell anyone its true nature.\This magic is very dangerous when you know about it consciously.\That's why Ichiya-san and even Ren and Eve don't know.\Only I was told by the Master.\What do you mean?\It's an extremely fearsome magic.\It switches light for darkness.\That's Nirvana... response:	Light and darkness?
context: This magic is very dangerous when you know about it consciously.\That's why Ichiya-san and even Ren and Eve don't know.\Only I was told by the Master.\What do you mean?\It's an extremely fearsome magic.\It switches light for darkness.\That's Nirvana...\Light and darkness? response:	It switches them?
context: That's why Ichiya-san and even Ren and Eve don't know.\Only I was told by the Master.\What do you mean?\It's an extremely fearsome magic.\It switches light for darkness.\That's Nirvana...\Light and darkness?\It switches them? response:	That's the final stage.
context: Only I was told by the Master.\What do you mean?\It's an extremely fearsome magic.\It switches light for darkness.\That's Nirvana...\Light and darkness?\It switches them?\That's the final stage. response:	When the seal is first released, black light rises up.
context: What do you mean?\It's an extremely fearsome magic.\It switches light for darkness.\That's Nirvana...\Light and darkness?\It switches them?\That's the final stage.\When the seal is first released, black light rises up. response:	Just like that light.
context: It's an extremely fearsome magic.\It switches light for darkness.\That's Nirvana...\Light and darkness?\It switches them?\That's the final stage.\When the seal is first released, black light rises up.\Just like that light. response:	First there's the black light...
context: It switches light for darkness.\That's Nirvana...\Light and darkness?\It switches them?\That's the final stage.\When the seal is first released, black light rises up.\Just like that light.\First there's the black light... response:	The people in between the light and the darkness switch to the opposite element.
context: That's Nirvana...\Light and darkness?\It switches them?\That's the final stage.\When the seal is first released, black light rises up.\Just like that light.\First there's the black light...\The people in between the light and the darkness switch to the opposite element. response:	The people of light who feel powerful negative emotion...
context: Light and darkness?\It switches them?\That's the final stage.\When the seal is first released, black light rises up.\Just like that light.\First there's the black light...\The people in between the light and the darkness switch to the opposite element.\The people of light who feel powerful negative emotion... response:	Then the reason you put Wendy to sleep was...
context: It switches them?\That's the final stage.\When the seal is first released, black light rises up.\Just like that light.\First there's the black light...\The people in between the light and the darkness switch to the opposite element.\The people of light who feel powerful negative emotion...\Then the reason you put Wendy to sleep was... response:	It's my fault! It's because I healed Jellal!
context: That's the final stage.\When the seal is first released, black light rises up.\Just like that light.\First there's the black light...\The people in between the light and the darkness switch to the opposite element.\The people of light who feel powerful negative emotion...\Then the reason you put Wendy to sleep was...\It's my fault! It's because I healed Jellal! response:	Feeling guilt is a negative emotion, see...
context: When the seal is first released, black light rises up.\Just like that light.\First there's the black light...\The people in between the light and the darkness switch to the opposite element.\The people of light who feel powerful negative emotion...\Then the reason you put Wendy to sleep was...\It's my fault! It's because I healed Jellal!\Feeling guilt is a negative emotion, see... response:	At that rate, Wendy-chan might have fallen into darkness.
context: Just like that light.\First there's the black light...\The people in between the light and the darkness switch to the opposite element.\The people of light who feel powerful negative emotion...\Then the reason you put Wendy to sleep was...\It's my fault! It's because I healed Jellal!\Feeling guilt is a negative emotion, see...\At that rate, Wendy-chan might have fallen into darkness. response:	Wait a moment. Then, what about anger?
context: First there's the black light...\The people in between the light and the darkness switch to the opposite element.\The people of light who feel powerful negative emotion...\Then the reason you put Wendy to sleep was...\It's my fault! It's because I healed Jellal!\Feeling guilt is a negative emotion, see...\At that rate, Wendy-chan might have fallen into darkness.\Wait a moment. Then, what about anger? response:	Natsu's in trouble!
context: The people in between the light and the darkness switch to the opposite element.\The people of light who feel powerful negative emotion...\Then the reason you put Wendy to sleep was...\It's my fault! It's because I healed Jellal!\Feeling guilt is a negative emotion, see...\At that rate, Wendy-chan might have fallen into darkness.\Wait a moment. Then, what about anger?\Natsu's in trouble! response:	I can't really say.
context: The people of light who feel powerful negative emotion...\Then the reason you put Wendy to sleep was...\It's my fault! It's because I healed Jellal!\Feeling guilt is a negative emotion, see...\At that rate, Wendy-chan might have fallen into darkness.\Wait a moment. Then, what about anger?\Natsu's in trouble!\I can't really say. response:	If that anger is for someone else's sake, I wouldn't necessarily call it a negative emotion...
context: Then the reason you put Wendy to sleep was...\It's my fault! It's because I healed Jellal!\Feeling guilt is a negative emotion, see...\At that rate, Wendy-chan might have fallen into darkness.\Wait a moment. Then, what about anger?\Natsu's in trouble!\I can't really say.\If that anger is for someone else's sake, I wouldn't necessarily call it a negative emotion... response:	What'll we do? I don't understand!
context: It's my fault! It's because I healed Jellal!\Feeling guilt is a negative emotion, see...\At that rate, Wendy-chan might have fallen into darkness.\Wait a moment. Then, what about anger?\Natsu's in trouble!\I can't really say.\If that anger is for someone else's sake, I wouldn't necessarily call it a negative emotion...\What'll we do? I don't understand! response:	That's because you're an idiot.
context: Feeling guilt is a negative emotion, see...\At that rate, Wendy-chan might have fallen into darkness.\Wait a moment. Then, what about anger?\Natsu's in trouble!\I can't really say.\If that anger is for someone else's sake, I wouldn't necessarily call it a negative emotion...\What'll we do? I don't understand!\That's because you're an idiot. response:	In other words, when the seal on Nirvana is lifted,
context: At that rate, Wendy-chan might have fallen into darkness.\Wait a moment. Then, what about anger?\Natsu's in trouble!\I can't really say.\If that anger is for someone else's sake, I wouldn't necessarily call it a negative emotion...\What'll we do? I don't understand!\That's because you're an idiot.\In other words, when the seal on Nirvana is lifted, response:	those who are motivated by justice or evil
context: Wait a moment. Then, what about anger?\Natsu's in trouble!\I can't really say.\If that anger is for someone else's sake, I wouldn't necessarily call it a negative emotion...\What'll we do? I don't understand!\That's because you're an idiot.\In other words, when the seal on Nirvana is lifted,\those who are motivated by justice or evil response:	have their personality switched, right?
context: Natsu's in trouble!\I can't really say.\If that anger is for someone else's sake, I wouldn't necessarily call it a negative emotion...\What'll we do? I don't understand!\That's because you're an idiot.\In other words, when the seal on Nirvana is lifted,\those who are motivated by justice or evil\have their personality switched, right? response:	That's why I kept silent about the type of magic it was!
context: I can't really say.\If that anger is for someone else's sake, I wouldn't necessarily call it a negative emotion...\What'll we do? I don't understand!\That's because you're an idiot.\In other words, when the seal on Nirvana is lifted,\those who are motivated by justice or evil\have their personality switched, right?\That's why I kept silent about the type of magic it was! response:	When people become focused on the good and evil of things,
context: If that anger is for someone else's sake, I wouldn't necessarily call it a negative emotion...\What'll we do? I don't understand!\That's because you're an idiot.\In other words, when the seal on Nirvana is lifted,\those who are motivated by justice or evil\have their personality switched, right?\That's why I kept silent about the type of magic it was!\When people become focused on the good and evil of things, response:	it gives rise to unimaginable negative emotions.
context: What'll we do? I don't understand!\That's because you're an idiot.\In other words, when the seal on Nirvana is lifted,\those who are motivated by justice or evil\have their personality switched, right?\That's why I kept silent about the type of magic it was!\When people become focused on the good and evil of things,\it gives rise to unimaginable negative emotions. response:	If it wasn't for him...
context: That's because you're an idiot.\In other words, when the seal on Nirvana is lifted,\those who are motivated by justice or evil\have their personality switched, right?\That's why I kept silent about the type of magic it was!\When people become focused on the good and evil of things,\it gives rise to unimaginable negative emotions.\If it wasn't for him... response:	Whose fault is it that I suffer like this?
context: In other words, when the seal on Nirvana is lifted,\those who are motivated by justice or evil\have their personality switched, right?\That's why I kept silent about the type of magic it was!\When people become focused on the good and evil of things,\it gives rise to unimaginable negative emotions.\If it wasn't for him...\Whose fault is it that I suffer like this? response:	Why is it always me?
context: those who are motivated by justice or evil\have their personality switched, right?\That's why I kept silent about the type of magic it was!\When people become focused on the good and evil of things,\it gives rise to unimaginable negative emotions.\If it wasn't for him...\Whose fault is it that I suffer like this?\Why is it always me? response:	Those thoughts will all be judged by Nirvana.
context: have their personality switched, right?\That's why I kept silent about the type of magic it was!\When people become focused on the good and evil of things,\it gives rise to unimaginable negative emotions.\If it wasn't for him...\Whose fault is it that I suffer like this?\Why is it always me?\Those thoughts will all be judged by Nirvana. response:	What the...
context: That's why I kept silent about the type of magic it was!\When people become focused on the good and evil of things,\it gives rise to unimaginable negative emotions.\If it wasn't for him...\Whose fault is it that I suffer like this?\Why is it always me?\Those thoughts will all be judged by Nirvana.\What the... response:	I have attacked the enemy, Lyon-sama.
context: When people become focused on the good and evil of things,\it gives rise to unimaginable negative emotions.\If it wasn't for him...\Whose fault is it that I suffer like this?\Why is it always me?\Those thoughts will all be judged by Nirvana.\What the...\I have attacked the enemy, Lyon-sama. response:	Who is next?
context: it gives rise to unimaginable negative emotions.\If it wasn't for him...\Whose fault is it that I suffer like this?\Why is it always me?\Those thoughts will all be judged by Nirvana.\What the...\I have attacked the enemy, Lyon-sama.\Who is next? response:	His friends, Fairy Tail?
context: If it wasn't for him...\Whose fault is it that I suffer like this?\Why is it always me?\Those thoughts will all be judged by Nirvana.\What the...\I have attacked the enemy, Lyon-sama.\Who is next?\His friends, Fairy Tail? response:	Money! Money! Money! Money!
context: Whose fault is it that I suffer like this?\Why is it always me?\Those thoughts will all be judged by Nirvana.\What the...\I have attacked the enemy, Lyon-sama.\Who is next?\His friends, Fairy Tail?\Money! Money! Money! Money! response:	What are you saying?
context: Why is it always me?\Those thoughts will all be judged by Nirvana.\What the...\I have attacked the enemy, Lyon-sama.\Who is next?\His friends, Fairy Tail?\Money! Money! Money! Money!\What are you saying? response:	Money!
context: Those thoughts will all be judged by Nirvana.\What the...\I have attacked the enemy, Lyon-sama.\Who is next?\His friends, Fairy Tail?\Money! Money! Money! Money!\What are you saying?\Money! response:	Yes.
context: What the...\I have attacked the enemy, Lyon-sama.\Who is next?\His friends, Fairy Tail?\Money! Money! Money! Money!\What are you saying?\Money!\Yes. response:	I've been all frantic about my long-lost brother!
context: I have attacked the enemy, Lyon-sama.\Who is next?\His friends, Fairy Tail?\Money! Money! Money! Money!\What are you saying?\Money!\Yes.\I've been all frantic about my long-lost brother! response:	I thought... If only I had money, I could find him!
context: Who is next?\His friends, Fairy Tail?\Money! Money! Money! Money!\What are you saying?\Money!\Yes.\I've been all frantic about my long-lost brother!\I thought... If only I had money, I could find him! response:	Yes.
context: His friends, Fairy Tail?\Money! Money! Money! Money!\What are you saying?\Money!\Yes.\I've been all frantic about my long-lost brother!\I thought... If only I had money, I could find him!\Yes. response:	But I have realized, I took it too far!
context: Money! Money! Money! Money!\What are you saying?\Money!\Yes.\I've been all frantic about my long-lost brother!\I thought... If only I had money, I could find him!\Yes.\But I have realized, I took it too far! response:	Yes.
context: What are you saying?\Money!\Yes.\I've been all frantic about my long-lost brother!\I thought... If only I had money, I could find him!\Yes.\But I have realized, I took it too far!\Yes. response:	So, I have decided to no longer fight!
context: Money!\Yes.\I've been all frantic about my long-lost brother!\I thought... If only I had money, I could find him!\Yes.\But I have realized, I took it too far!\Yes.\So, I have decided to no longer fight! response:	Yes.
context: Yes.\I've been all frantic about my long-lost brother!\I thought... If only I had money, I could find him!\Yes.\But I have realized, I took it too far!\Yes.\So, I have decided to no longer fight!\Yes. response:	I will fill the world with love! Yes, love!
context: I've been all frantic about my long-lost brother!\I thought... If only I had money, I could find him!\Yes.\But I have realized, I took it too far!\Yes.\So, I have decided to no longer fight!\Yes.\I will fill the world with love! Yes, love! response:	A word that just overflows with sweetness and compassion!
context: I thought... If only I had money, I could find him!\Yes.\But I have realized, I took it too far!\Yes.\So, I have decided to no longer fight!\Yes.\I will fill the world with love! Yes, love!\A word that just overflows with sweetness and compassion! response:	As long as there is love in this world, nothing is impossible!
context: Yes.\But I have realized, I took it too far!\Yes.\So, I have decided to no longer fight!\Yes.\I will fill the world with love! Yes, love!\A word that just overflows with sweetness and compassion!\As long as there is love in this world, nothing is impossible! response:	Yes.
context: But I have realized, I took it too far!\Yes.\So, I have decided to no longer fight!\Yes.\I will fill the world with love! Yes, love!\A word that just overflows with sweetness and compassion!\As long as there is love in this world, nothing is impossible!\Yes. response:	Now, let us stop the violent acts of my former allies!
context: Yes.\So, I have decided to no longer fight!\Yes.\I will fill the world with love! Yes, love!\A word that just overflows with sweetness and compassion!\As long as there is love in this world, nothing is impossible!\Yes.\Now, let us stop the violent acts of my former allies! response:	I shall teach them the wonders of love!
context: So, I have decided to no longer fight!\Yes.\I will fill the world with love! Yes, love!\A word that just overflows with sweetness and compassion!\As long as there is love in this world, nothing is impossible!\Yes.\Now, let us stop the violent acts of my former allies!\I shall teach them the wonders of love! response:	Yes.
context: Yes.\I will fill the world with love! Yes, love!\A word that just overflows with sweetness and compassion!\As long as there is love in this world, nothing is impossible!\Yes.\Now, let us stop the violent acts of my former allies!\I shall teach them the wonders of love!\Yes. response:	Um...
context: I will fill the world with love! Yes, love!\A word that just overflows with sweetness and compassion!\As long as there is love in this world, nothing is impossible!\Yes.\Now, let us stop the violent acts of my former allies!\I shall teach them the wonders of love!\Yes.\Um... response:	White Fury!
context: A word that just overflows with sweetness and compassion!\As long as there is love in this world, nothing is impossible!\Yes.\Now, let us stop the violent acts of my former allies!\I shall teach them the wonders of love!\Yes.\Um...\White Fury! response:	The hunt has started.
context: As long as there is love in this world, nothing is impossible!\Yes.\Now, let us stop the violent acts of my former allies!\I shall teach them the wonders of love!\Yes.\Um...\White Fury!\The hunt has started. response:	Who the hell is this guy?
context: Yes.\Now, let us stop the violent acts of my former allies!\I shall teach them the wonders of love!\Yes.\Um...\White Fury!\The hunt has started.\Who the hell is this guy? response:	My magic won't hit...
context: Now, let us stop the violent acts of my former allies!\I shall teach them the wonders of love!\Yes.\Um...\White Fury!\The hunt has started.\Who the hell is this guy?\My magic won't hit... response:	Oh? Still alive?
context: I shall teach them the wonders of love!\Yes.\Um...\White Fury!\The hunt has started.\Who the hell is this guy?\My magic won't hit...\Oh? Still alive? response:	I'm not a nice guy.
context: Yes.\Um...\White Fury!\The hunt has started.\Who the hell is this guy?\My magic won't hit...\Oh? Still alive?\I'm not a nice guy. response:	So if Nirvana fully activates, we'll all become bad guys?
context: Um...\White Fury!\The hunt has started.\Who the hell is this guy?\My magic won't hit...\Oh? Still alive?\I'm not a nice guy.\So if Nirvana fully activates, we'll all become bad guys? response:	But in that case, wouldn't the people from the Dark Guilds turn into good guys?
context: White Fury!\The hunt has started.\Who the hell is this guy?\My magic won't hit...\Oh? Still alive?\I'm not a nice guy.\So if Nirvana fully activates, we'll all become bad guys?\But in that case, wouldn't the people from the Dark Guilds turn into good guys? response:	I suppose that is possible.
context: The hunt has started.\Who the hell is this guy?\My magic won't hit...\Oh? Still alive?\I'm not a nice guy.\So if Nirvana fully activates, we'll all become bad guys?\But in that case, wouldn't the people from the Dark Guilds turn into good guys?\I suppose that is possible. response:	But the truly fearsome power of Nirvana lies in the ability to control it that way.
context: Who the hell is this guy?\My magic won't hit...\Oh? Still alive?\I'm not a nice guy.\So if Nirvana fully activates, we'll all become bad guys?\But in that case, wouldn't the people from the Dark Guilds turn into good guys?\I suppose that is possible.\But the truly fearsome power of Nirvana lies in the ability to control it that way. response:	For example, if you used Nirvana against a guild...
context: My magic won't hit...\Oh? Still alive?\I'm not a nice guy.\So if Nirvana fully activates, we'll all become bad guys?\But in that case, wouldn't the people from the Dark Guilds turn into good guys?\I suppose that is possible.\But the truly fearsome power of Nirvana lies in the ability to control it that way.\For example, if you used Nirvana against a guild... response:	The allies could kill each other without hesitation.
