context: Although it's already May, the wind at night still feels very cold. response:	This is no different from my home town in the mountains.
context: Nana's eyes were so clear.\She seemed to fit in better with snowy mountains,\than in this city where you can barely see the stars.\The truth is I am a very cunning woman.\I was no longer the pure woman who would continue waiting for Shoji,\while expecting nothing in return.\But I pretended to be.\Because I didn't want Nana to dislike me. response:	Good night! I'm going on ahead!
context: She seemed to fit in better with snowy mountains,\than in this city where you can barely see the stars.\The truth is I am a very cunning woman.\I was no longer the pure woman who would continue waiting for Shoji,\while expecting nothing in return.\But I pretended to be.\Because I didn't want Nana to dislike me.\Good night! I'm going on ahead! response:	Sachiko... You know, I...
context: than in this city where you can barely see the stars.\The truth is I am a very cunning woman.\I was no longer the pure woman who would continue waiting for Shoji,\while expecting nothing in return.\But I pretended to be.\Because I didn't want Nana to dislike me.\Good night! I'm going on ahead!\Sachiko... You know, I... response:	I'm gonna break up with her.
context: The truth is I am a very cunning woman.\I was no longer the pure woman who would continue waiting for Shoji,\while expecting nothing in return.\But I pretended to be.\Because I didn't want Nana to dislike me.\Good night! I'm going on ahead!\Sachiko... You know, I...\I'm gonna break up with her. response:	Hey!
context: I was no longer the pure woman who would continue waiting for Shoji,\while expecting nothing in return.\But I pretended to be.\Because I didn't want Nana to dislike me.\Good night! I'm going on ahead!\Sachiko... You know, I...\I'm gonna break up with her.\Hey! response:	They're finally finished. Someone's coming out.
context: while expecting nothing in return.\But I pretended to be.\Because I didn't want Nana to dislike me.\Good night! I'm going on ahead!\Sachiko... You know, I...\I'm gonna break up with her.\Hey!\They're finally finished. Someone's coming out. response:	Really?
context: But I pretended to be.\Because I didn't want Nana to dislike me.\Good night! I'm going on ahead!\Sachiko... You know, I...\I'm gonna break up with her.\Hey!\They're finally finished. Someone's coming out.\Really? response:	Sachiko!
context: Because I didn't want Nana to dislike me.\Good night! I'm going on ahead!\Sachiko... You know, I...\I'm gonna break up with her.\Hey!\They're finally finished. Someone's coming out.\Really?\Sachiko! response:	What?
context: Good night! I'm going on ahead!\Sachiko... You know, I...\I'm gonna break up with her.\Hey!\They're finally finished. Someone's coming out.\Really?\Sachiko!\What? response:	This girl...
context: Sachiko... You know, I...\I'm gonna break up with her.\Hey!\They're finally finished. Someone's coming out.\Really?\Sachiko!\What?\This girl... response:	I'm sorry!
context: I'm gonna break up with her.\Hey!\They're finally finished. Someone's coming out.\Really?\Sachiko!\What?\This girl...\I'm sorry! response:	Sachiko? Of all the names...
context: Hey!\They're finally finished. Someone's coming out.\Really?\Sachiko!\What?\This girl...\I'm sorry!\Sachiko? Of all the names... response:	What are you doing? What's with this woman?
context: They're finally finished. Someone's coming out.\Really?\Sachiko!\What?\This girl...\I'm sorry!\Sachiko? Of all the names...\What are you doing? What's with this woman? response:	She's my girlfriend.
context: Really?\Sachiko!\What?\This girl...\I'm sorry!\Sachiko? Of all the names...\What are you doing? What's with this woman?\She's my girlfriend. response:	Huh?!
context: Sachiko!\What?\This girl...\I'm sorry!\Sachiko? Of all the names...\What are you doing? What's with this woman?\She's my girlfriend.\Huh?! response:	You telling me that you have two girlfriends?
context: What?\This girl...\I'm sorry!\Sachiko? Of all the names...\What are you doing? What's with this woman?\She's my girlfriend.\Huh?!\You telling me that you have two girlfriends? response:	You sure have it good!
context: This girl...\I'm sorry!\Sachiko? Of all the names...\What are you doing? What's with this woman?\She's my girlfriend.\Huh?!\You telling me that you have two girlfriends?\You sure have it good! response:	This can't be. This can't be happening.
context: I'm sorry!\Sachiko? Of all the names...\What are you doing? What's with this woman?\She's my girlfriend.\Huh?!\You telling me that you have two girlfriends?\You sure have it good!\This can't be. This can't be happening. response:	I need to talk to you about something.
context: Sachiko? Of all the names...\What are you doing? What's with this woman?\She's my girlfriend.\Huh?!\You telling me that you have two girlfriends?\You sure have it good!\This can't be. This can't be happening.\I need to talk to you about something. response:	There's gotta be some sorta mistake.
context: What are you doing? What's with this woman?\She's my girlfriend.\Huh?!\You telling me that you have two girlfriends?\You sure have it good!\This can't be. This can't be happening.\I need to talk to you about something.\There's gotta be some sorta mistake. response:	I'm sorry!
context: She's my girlfriend.\Huh?!\You telling me that you have two girlfriends?\You sure have it good!\This can't be. This can't be happening.\I need to talk to you about something.\There's gotta be some sorta mistake.\I'm sorry! response:	There's no way Shoji would do something like this.
context: Huh?!\You telling me that you have two girlfriends?\You sure have it good!\This can't be. This can't be happening.\I need to talk to you about something.\There's gotta be some sorta mistake.\I'm sorry!\There's no way Shoji would do something like this. response:	Don't!
context: You telling me that you have two girlfriends?\You sure have it good!\This can't be. This can't be happening.\I need to talk to you about something.\There's gotta be some sorta mistake.\I'm sorry!\There's no way Shoji would do something like this.\Don't! response:	Sachiko! It's okay, stay back!
context: You sure have it good!\This can't be. This can't be happening.\I need to talk to you about something.\There's gotta be some sorta mistake.\I'm sorry!\There's no way Shoji would do something like this.\Don't!\Sachiko! It's okay, stay back! response:	Don't be violent with Shoji!
context: This can't be. This can't be happening.\I need to talk to you about something.\There's gotta be some sorta mistake.\I'm sorry!\There's no way Shoji would do something like this.\Don't!\Sachiko! It's okay, stay back!\Don't be violent with Shoji! response:	Shut up! I won't be satisfied until I beat him up!
context: I need to talk to you about something.\There's gotta be some sorta mistake.\I'm sorry!\There's no way Shoji would do something like this.\Don't!\Sachiko! It's okay, stay back!\Don't be violent with Shoji!\Shut up! I won't be satisfied until I beat him up! response:	Stop it!
context: There's gotta be some sorta mistake.\I'm sorry!\There's no way Shoji would do something like this.\Don't!\Sachiko! It's okay, stay back!\Don't be violent with Shoji!\Shut up! I won't be satisfied until I beat him up!\Stop it! response:	Stay out of this! This has nothing to do with you!
context: I'm sorry!\There's no way Shoji would do something like this.\Don't!\Sachiko! It's okay, stay back!\Don't be violent with Shoji!\Shut up! I won't be satisfied until I beat him up!\Stop it!\Stay out of this! This has nothing to do with you! response:	You're the one who has nothing to do with this!
context: There's no way Shoji would do something like this.\Don't!\Sachiko! It's okay, stay back!\Don't be violent with Shoji!\Shut up! I won't be satisfied until I beat him up!\Stop it!\Stay out of this! This has nothing to do with you!\You're the one who has nothing to do with this! response:	She's right.
context: Don't!\Sachiko! It's okay, stay back!\Don't be violent with Shoji!\Shut up! I won't be satisfied until I beat him up!\Stop it!\Stay out of this! This has nothing to do with you!\You're the one who has nothing to do with this!\She's right. response:	If you want to hit someone, then hit me!
context: Sachiko! It's okay, stay back!\Don't be violent with Shoji!\Shut up! I won't be satisfied until I beat him up!\Stop it!\Stay out of this! This has nothing to do with you!\You're the one who has nothing to do with this!\She's right.\If you want to hit someone, then hit me! response:	H-Hey!
context: Don't be violent with Shoji!\Shut up! I won't be satisfied until I beat him up!\Stop it!\Stay out of this! This has nothing to do with you!\You're the one who has nothing to do with this!\She's right.\If you want to hit someone, then hit me!\H-Hey! response:	I was the one who had a crush on him!
context: Shut up! I won't be satisfied until I beat him up!\Stop it!\Stay out of this! This has nothing to do with you!\You're the one who has nothing to do with this!\She's right.\If you want to hit someone, then hit me!\H-Hey!\I was the one who had a crush on him! response:	I knew he had a girlfriend, and still I could not stop myself!
context: Stop it!\Stay out of this! This has nothing to do with you!\You're the one who has nothing to do with this!\She's right.\If you want to hit someone, then hit me!\H-Hey!\I was the one who had a crush on him!\I knew he had a girlfriend, and still I could not stop myself! response:	I won't hide or run away so hit me to your heart's content!
context: Stay out of this! This has nothing to do with you!\You're the one who has nothing to do with this!\She's right.\If you want to hit someone, then hit me!\H-Hey!\I was the one who had a crush on him!\I knew he had a girlfriend, and still I could not stop myself!\I won't hide or run away so hit me to your heart's content! response:	You sure have guts.
context: You're the one who has nothing to do with this!\She's right.\If you want to hit someone, then hit me!\H-Hey!\I was the one who had a crush on him!\I knew he had a girlfriend, and still I could not stop myself!\I won't hide or run away so hit me to your heart's content!\You sure have guts. response:	Cut it out.
context: She's right.\If you want to hit someone, then hit me!\H-Hey!\I was the one who had a crush on him!\I knew he had a girlfriend, and still I could not stop myself!\I won't hide or run away so hit me to your heart's content!\You sure have guts.\Cut it out. response:	Hachiko!
context: If you want to hit someone, then hit me!\H-Hey!\I was the one who had a crush on him!\I knew he had a girlfriend, and still I could not stop myself!\I won't hide or run away so hit me to your heart's content!\You sure have guts.\Cut it out.\Hachiko! response:	Why are you just standing there?! This is your fight!
context: H-Hey!\I was the one who had a crush on him!\I knew he had a girlfriend, and still I could not stop myself!\I won't hide or run away so hit me to your heart's content!\You sure have guts.\Cut it out.\Hachiko!\Why are you just standing there?! This is your fight! response:	You do something!
context: I was the one who had a crush on him!\I knew he had a girlfriend, and still I could not stop myself!\I won't hide or run away so hit me to your heart's content!\You sure have guts.\Cut it out.\Hachiko!\Why are you just standing there?! This is your fight!\You do something! response:	If you don't fight, you've accepted defeat!
context: I knew he had a girlfriend, and still I could not stop myself!\I won't hide or run away so hit me to your heart's content!\You sure have guts.\Cut it out.\Hachiko!\Why are you just standing there?! This is your fight!\You do something!\If you don't fight, you've accepted defeat! response:	He's your man, isn't he? Fight to get him back!
context: I won't hide or run away so hit me to your heart's content!\You sure have guts.\Cut it out.\Hachiko!\Why are you just standing there?! This is your fight!\You do something!\If you don't fight, you've accepted defeat!\He's your man, isn't he? Fight to get him back! response:	I don't want him.
context: You sure have guts.\Cut it out.\Hachiko!\Why are you just standing there?! This is your fight!\You do something!\If you don't fight, you've accepted defeat!\He's your man, isn't he? Fight to get him back!\I don't want him. response:	I don't even wanna see his face.
context: Cut it out.\Hachiko!\Why are you just standing there?! This is your fight!\You do something!\If you don't fight, you've accepted defeat!\He's your man, isn't he? Fight to get him back!\I don't want him.\I don't even wanna see his face. response:	I wasn't mature enough to forgive his betrayal.
context: Hachiko!\Why are you just standing there?! This is your fight!\You do something!\If you don't fight, you've accepted defeat!\He's your man, isn't he? Fight to get him back!\I don't want him.\I don't even wanna see his face.\I wasn't mature enough to forgive his betrayal. response:	And I had too much pride to cling onto someone who just hurt me.
context: Why are you just standing there?! This is your fight!\You do something!\If you don't fight, you've accepted defeat!\He's your man, isn't he? Fight to get him back!\I don't want him.\I don't even wanna see his face.\I wasn't mature enough to forgive his betrayal.\And I had too much pride to cling onto someone who just hurt me. response:	I lose.
context: You do something!\If you don't fight, you've accepted defeat!\He's your man, isn't he? Fight to get him back!\I don't want him.\I don't even wanna see his face.\I wasn't mature enough to forgive his betrayal.\And I had too much pride to cling onto someone who just hurt me.\I lose. response:	The next day, like a sick person, I spent all day not being able to get outta bed.
context: If you don't fight, you've accepted defeat!\He's your man, isn't he? Fight to get him back!\I don't want him.\I don't even wanna see his face.\I wasn't mature enough to forgive his betrayal.\And I had too much pride to cling onto someone who just hurt me.\I lose.\The next day, like a sick person, I spent all day not being able to get outta bed. response:	I tried not to think about anything.
context: He's your man, isn't he? Fight to get him back!\I don't want him.\I don't even wanna see his face.\I wasn't mature enough to forgive his betrayal.\And I had too much pride to cling onto someone who just hurt me.\I lose.\The next day, like a sick person, I spent all day not being able to get outta bed.\I tried not to think about anything. response:	I wanted to put my mind on something else to distract me,
context: I don't want him.\I don't even wanna see his face.\I wasn't mature enough to forgive his betrayal.\And I had too much pride to cling onto someone who just hurt me.\I lose.\The next day, like a sick person, I spent all day not being able to get outta bed.\I tried not to think about anything.\I wanted to put my mind on something else to distract me, response:	but I didn't feel like doing anything.
context: I don't even wanna see his face.\I wasn't mature enough to forgive his betrayal.\And I had too much pride to cling onto someone who just hurt me.\I lose.\The next day, like a sick person, I spent all day not being able to get outta bed.\I tried not to think about anything.\I wanted to put my mind on something else to distract me,\but I didn't feel like doing anything. response:	I repeatedly dreamt about Shoji.
context: I wasn't mature enough to forgive his betrayal.\And I had too much pride to cling onto someone who just hurt me.\I lose.\The next day, like a sick person, I spent all day not being able to get outta bed.\I tried not to think about anything.\I wanted to put my mind on something else to distract me,\but I didn't feel like doing anything.\I repeatedly dreamt about Shoji. response:	Coming.
context: And I had too much pride to cling onto someone who just hurt me.\I lose.\The next day, like a sick person, I spent all day not being able to get outta bed.\I tried not to think about anything.\I wanted to put my mind on something else to distract me,\but I didn't feel like doing anything.\I repeatedly dreamt about Shoji.\Coming. response:	Who is it?
context: I lose.\The next day, like a sick person, I spent all day not being able to get outta bed.\I tried not to think about anything.\I wanted to put my mind on something else to distract me,\but I didn't feel like doing anything.\I repeatedly dreamt about Shoji.\Coming.\Who is it? response:	Ren?!
context: The next day, like a sick person, I spent all day not being able to get outta bed.\I tried not to think about anything.\I wanted to put my mind on something else to distract me,\but I didn't feel like doing anything.\I repeatedly dreamt about Shoji.\Coming.\Who is it?\Ren?! response:	What a surprise. It was a dream. What is it with me,
context: I tried not to think about anything.\I wanted to put my mind on something else to distract me,\but I didn't feel like doing anything.\I repeatedly dreamt about Shoji.\Coming.\Who is it?\Ren?!\What a surprise. It was a dream. What is it with me, response:	dreaming of celebrities at times like this when I'm supposed to be heartbroken?
context: I wanted to put my mind on something else to distract me,\but I didn't feel like doing anything.\I repeatedly dreamt about Shoji.\Coming.\Who is it?\Ren?!\What a surprise. It was a dream. What is it with me,\dreaming of celebrities at times like this when I'm supposed to be heartbroken? response:	But why Ren?
context: but I didn't feel like doing anything.\I repeatedly dreamt about Shoji.\Coming.\Who is it?\Ren?!\What a surprise. It was a dream. What is it with me,\dreaming of celebrities at times like this when I'm supposed to be heartbroken?\But why Ren? response:	Could this have had something to do with it?
context: I repeatedly dreamt about Shoji.\Coming.\Who is it?\Ren?!\What a surprise. It was a dream. What is it with me,\dreaming of celebrities at times like this when I'm supposed to be heartbroken?\But why Ren?\Could this have had something to do with it? response:	But I'd rather dream of Takumi...
context: Coming.\Who is it?\Ren?!\What a surprise. It was a dream. What is it with me,\dreaming of celebrities at times like this when I'm supposed to be heartbroken?\But why Ren?\Could this have had something to do with it?\But I'd rather dream of Takumi... response:	It really is the doorbell! Is it Takumi? Or could it be Naoki? Maybe Reira?
context: Who is it?\Ren?!\What a surprise. It was a dream. What is it with me,\dreaming of celebrities at times like this when I'm supposed to be heartbroken?\But why Ren?\Could this have had something to do with it?\But I'd rather dream of Takumi...\It really is the doorbell! Is it Takumi? Or could it be Naoki? Maybe Reira? response:	Yes, coming!
context: Ren?!\What a surprise. It was a dream. What is it with me,\dreaming of celebrities at times like this when I'm supposed to be heartbroken?\But why Ren?\Could this have had something to do with it?\But I'd rather dream of Takumi...\It really is the doorbell! Is it Takumi? Or could it be Naoki? Maybe Reira?\Yes, coming! response:	Thank goodness! You're alive!
context: What a surprise. It was a dream. What is it with me,\dreaming of celebrities at times like this when I'm supposed to be heartbroken?\But why Ren?\Could this have had something to do with it?\But I'd rather dream of Takumi...\It really is the doorbell! Is it Takumi? Or could it be Naoki? Maybe Reira?\Yes, coming!\Thank goodness! You're alive! response:	Oh. It's only you Jun-chan.
context: dreaming of celebrities at times like this when I'm supposed to be heartbroken?\But why Ren?\Could this have had something to do with it?\But I'd rather dream of Takumi...\It really is the doorbell! Is it Takumi? Or could it be Naoki? Maybe Reira?\Yes, coming!\Thank goodness! You're alive!\Oh. It's only you Jun-chan. response:	Come on! How many times must I ring the doorbell?
context: But why Ren?\Could this have had something to do with it?\But I'd rather dream of Takumi...\It really is the doorbell! Is it Takumi? Or could it be Naoki? Maybe Reira?\Yes, coming!\Thank goodness! You're alive!\Oh. It's only you Jun-chan.\Come on! How many times must I ring the doorbell? response:	You had me worried that you slit your wrists or something.
context: Could this have had something to do with it?\But I'd rather dream of Takumi...\It really is the doorbell! Is it Takumi? Or could it be Naoki? Maybe Reira?\Yes, coming!\Thank goodness! You're alive!\Oh. It's only you Jun-chan.\Come on! How many times must I ring the doorbell?\You had me worried that you slit your wrists or something. response:	Give me a break.
context: But I'd rather dream of Takumi...\It really is the doorbell! Is it Takumi? Or could it be Naoki? Maybe Reira?\Yes, coming!\Thank goodness! You're alive!\Oh. It's only you Jun-chan.\Come on! How many times must I ring the doorbell?\You had me worried that you slit your wrists or something.\Give me a break. response:	My wrists?
context: It really is the doorbell! Is it Takumi? Or could it be Naoki? Maybe Reira?\Yes, coming!\Thank goodness! You're alive!\Oh. It's only you Jun-chan.\Come on! How many times must I ring the doorbell?\You had me worried that you slit your wrists or something.\Give me a break.\My wrists? response:	I see. So you heard about last night. Slitting my wrists...
context: Yes, coming!\Thank goodness! You're alive!\Oh. It's only you Jun-chan.\Come on! How many times must I ring the doorbell?\You had me worried that you slit your wrists or something.\Give me a break.\My wrists?\I see. So you heard about last night. Slitting my wrists... response:	That may be better than jumping off a bridge.
context: Thank goodness! You're alive!\Oh. It's only you Jun-chan.\Come on! How many times must I ring the doorbell?\You had me worried that you slit your wrists or something.\Give me a break.\My wrists?\I see. So you heard about last night. Slitting my wrists...\That may be better than jumping off a bridge. response:	Oh, Nana must've called you.
context: Oh. It's only you Jun-chan.\Come on! How many times must I ring the doorbell?\You had me worried that you slit your wrists or something.\Give me a break.\My wrists?\I see. So you heard about last night. Slitting my wrists...\That may be better than jumping off a bridge.\Oh, Nana must've called you. response:	Huh?
context: Come on! How many times must I ring the doorbell?\You had me worried that you slit your wrists or something.\Give me a break.\My wrists?\I see. So you heard about last night. Slitting my wrists...\That may be better than jumping off a bridge.\Oh, Nana must've called you.\Huh? response:	She's working today so she's worried about leaving me here alone all day.
context: You had me worried that you slit your wrists or something.\Give me a break.\My wrists?\I see. So you heard about last night. Slitting my wrists...\That may be better than jumping off a bridge.\Oh, Nana must've called you.\Huh?\She's working today so she's worried about leaving me here alone all day. response:	No. Your roommate isn't the type to think of doing such a thing.
context: Give me a break.\My wrists?\I see. So you heard about last night. Slitting my wrists...\That may be better than jumping off a bridge.\Oh, Nana must've called you.\Huh?\She's working today so she's worried about leaving me here alone all day.\No. Your roommate isn't the type to think of doing such a thing. response:	Huh?
context: My wrists?\I see. So you heard about last night. Slitting my wrists...\That may be better than jumping off a bridge.\Oh, Nana must've called you.\Huh?\She's working today so she's worried about leaving me here alone all day.\No. Your roommate isn't the type to think of doing such a thing.\Huh? response:	Shoji called me a short while ago.
context: I see. So you heard about last night. Slitting my wrists...\That may be better than jumping off a bridge.\Oh, Nana must've called you.\Huh?\She's working today so she's worried about leaving me here alone all day.\No. Your roommate isn't the type to think of doing such a thing.\Huh?\Shoji called me a short while ago. response:	He's worried about you.
context: That may be better than jumping off a bridge.\Oh, Nana must've called you.\Huh?\She's working today so she's worried about leaving me here alone all day.\No. Your roommate isn't the type to think of doing such a thing.\Huh?\Shoji called me a short while ago.\He's worried about you. response:	The hell with him.
context: Oh, Nana must've called you.\Huh?\She's working today so she's worried about leaving me here alone all day.\No. Your roommate isn't the type to think of doing such a thing.\Huh?\Shoji called me a short while ago.\He's worried about you.\The hell with him. response:	If he cannot come himself I don't want him worrying about me!
context: Huh?\She's working today so she's worried about leaving me here alone all day.\No. Your roommate isn't the type to think of doing such a thing.\Huh?\Shoji called me a short while ago.\He's worried about you.\The hell with him.\If he cannot come himself I don't want him worrying about me! response:	You're right. Sorry, it was stupid of me to tell you.
context: She's working today so she's worried about leaving me here alone all day.\No. Your roommate isn't the type to think of doing such a thing.\Huh?\Shoji called me a short while ago.\He's worried about you.\The hell with him.\If he cannot come himself I don't want him worrying about me!\You're right. Sorry, it was stupid of me to tell you. response:	But you know, Nana, this is hard on Shoji too.
context: No. Your roommate isn't the type to think of doing such a thing.\Huh?\Shoji called me a short while ago.\He's worried about you.\The hell with him.\If he cannot come himself I don't want him worrying about me!\You're right. Sorry, it was stupid of me to tell you.\But you know, Nana, this is hard on Shoji too. response:	You know very well the type of guy he is.
context: Huh?\Shoji called me a short while ago.\He's worried about you.\The hell with him.\If he cannot come himself I don't want him worrying about me!\You're right. Sorry, it was stupid of me to tell you.\But you know, Nana, this is hard on Shoji too.\You know very well the type of guy he is. response:	Are you taking his side, Jun-chan?!
context: Shoji called me a short while ago.\He's worried about you.\The hell with him.\If he cannot come himself I don't want him worrying about me!\You're right. Sorry, it was stupid of me to tell you.\But you know, Nana, this is hard on Shoji too.\You know very well the type of guy he is.\Are you taking his side, Jun-chan?! response:	No, this isn't about taking sides.
context: He's worried about you.\The hell with him.\If he cannot come himself I don't want him worrying about me!\You're right. Sorry, it was stupid of me to tell you.\But you know, Nana, this is hard on Shoji too.\You know very well the type of guy he is.\Are you taking his side, Jun-chan?!\No, this isn't about taking sides. response:	He was cheating on me all along!
context: The hell with him.\If he cannot come himself I don't want him worrying about me!\You're right. Sorry, it was stupid of me to tell you.\But you know, Nana, this is hard on Shoji too.\You know very well the type of guy he is.\Are you taking his side, Jun-chan?!\No, this isn't about taking sides.\He was cheating on me all along! response:	It wasn't the whole time! And don't say that he cheated on you.
context: If he cannot come himself I don't want him worrying about me!\You're right. Sorry, it was stupid of me to tell you.\But you know, Nana, this is hard on Shoji too.\You know very well the type of guy he is.\Are you taking his side, Jun-chan?!\No, this isn't about taking sides.\He was cheating on me all along!\It wasn't the whole time! And don't say that he cheated on you. response:	There you go again! You are taking his side!
context: You're right. Sorry, it was stupid of me to tell you.\But you know, Nana, this is hard on Shoji too.\You know very well the type of guy he is.\Are you taking his side, Jun-chan?!\No, this isn't about taking sides.\He was cheating on me all along!\It wasn't the whole time! And don't say that he cheated on you.\There you go again! You are taking his side! response:	Maybe I am.
context: But you know, Nana, this is hard on Shoji too.\You know very well the type of guy he is.\Are you taking his side, Jun-chan?!\No, this isn't about taking sides.\He was cheating on me all along!\It wasn't the whole time! And don't say that he cheated on you.\There you go again! You are taking his side!\Maybe I am. response:	To me, Shoji is a good friend just as important as you, Nana.
context: You know very well the type of guy he is.\Are you taking his side, Jun-chan?!\No, this isn't about taking sides.\He was cheating on me all along!\It wasn't the whole time! And don't say that he cheated on you.\There you go again! You are taking his side!\Maybe I am.\To me, Shoji is a good friend just as important as you, Nana. response:	I can't always be taking your side about everything.
context: Are you taking his side, Jun-chan?!\No, this isn't about taking sides.\He was cheating on me all along!\It wasn't the whole time! And don't say that he cheated on you.\There you go again! You are taking his side!\Maybe I am.\To me, Shoji is a good friend just as important as you, Nana.\I can't always be taking your side about everything. response:	Honestly, I have a problem with
context: No, this isn't about taking sides.\He was cheating on me all along!\It wasn't the whole time! And don't say that he cheated on you.\There you go again! You are taking his side!\Maybe I am.\To me, Shoji is a good friend just as important as you, Nana.\I can't always be taking your side about everything.\Honestly, I have a problem with response:	your tendency to be quick to play the victim.
context: He was cheating on me all along!\It wasn't the whole time! And don't say that he cheated on you.\There you go again! You are taking his side!\Maybe I am.\To me, Shoji is a good friend just as important as you, Nana.\I can't always be taking your side about everything.\Honestly, I have a problem with\your tendency to be quick to play the victim. response:	It's true. Shoji is at fault
context: It wasn't the whole time! And don't say that he cheated on you.\There you go again! You are taking his side!\Maybe I am.\To me, Shoji is a good friend just as important as you, Nana.\I can't always be taking your side about everything.\Honestly, I have a problem with\your tendency to be quick to play the victim.\It's true. Shoji is at fault response:	for going after another woman before clearing things with you first.
context: There you go again! You are taking his side!\Maybe I am.\To me, Shoji is a good friend just as important as you, Nana.\I can't always be taking your side about everything.\Honestly, I have a problem with\your tendency to be quick to play the victim.\It's true. Shoji is at fault\for going after another woman before clearing things with you first. response:	But before we focus on that,
context: Maybe I am.\To me, Shoji is a good friend just as important as you, Nana.\I can't always be taking your side about everything.\Honestly, I have a problem with\your tendency to be quick to play the victim.\It's true. Shoji is at fault\for going after another woman before clearing things with you first.\But before we focus on that, response:	you've gotta acknowledge you're also to blame for this, Nana.
context: To me, Shoji is a good friend just as important as you, Nana.\I can't always be taking your side about everything.\Honestly, I have a problem with\your tendency to be quick to play the victim.\It's true. Shoji is at fault\for going after another woman before clearing things with you first.\But before we focus on that,\you've gotta acknowledge you're also to blame for this, Nana. response:	I know that.
context: I can't always be taking your side about everything.\Honestly, I have a problem with\your tendency to be quick to play the victim.\It's true. Shoji is at fault\for going after another woman before clearing things with you first.\But before we focus on that,\you've gotta acknowledge you're also to blame for this, Nana.\I know that. response:	But I did the best I could, Jun-chan.
context: Honestly, I have a problem with\your tendency to be quick to play the victim.\It's true. Shoji is at fault\for going after another woman before clearing things with you first.\But before we focus on that,\you've gotta acknowledge you're also to blame for this, Nana.\I know that.\But I did the best I could, Jun-chan. response:	I even found a job, so that I could make it on my own.
context: your tendency to be quick to play the victim.\It's true. Shoji is at fault\for going after another woman before clearing things with you first.\But before we focus on that,\you've gotta acknowledge you're also to blame for this, Nana.\I know that.\But I did the best I could, Jun-chan.\I even found a job, so that I could make it on my own. response:	But that's something you did for your own sake.
context: It's true. Shoji is at fault\for going after another woman before clearing things with you first.\But before we focus on that,\you've gotta acknowledge you're also to blame for this, Nana.\I know that.\But I did the best I could, Jun-chan.\I even found a job, so that I could make it on my own.\But that's something you did for your own sake. response:	From long ago, you would always think about just yourself.
context: for going after another woman before clearing things with you first.\But before we focus on that,\you've gotta acknowledge you're also to blame for this, Nana.\I know that.\But I did the best I could, Jun-chan.\I even found a job, so that I could make it on my own.\But that's something you did for your own sake.\From long ago, you would always think about just yourself. response:	You showed very little care for Shoji.
context: But before we focus on that,\you've gotta acknowledge you're also to blame for this, Nana.\I know that.\But I did the best I could, Jun-chan.\I even found a job, so that I could make it on my own.\But that's something you did for your own sake.\From long ago, you would always think about just yourself.\You showed very little care for Shoji. response:	Love is all about a relationship two people build for each other.
context: you've gotta acknowledge you're also to blame for this, Nana.\I know that.\But I did the best I could, Jun-chan.\I even found a job, so that I could make it on my own.\But that's something you did for your own sake.\From long ago, you would always think about just yourself.\You showed very little care for Shoji.\Love is all about a relationship two people build for each other. response:	If you cannot care for your partner, the relationship isn't gonna work out.
context: I know that.\But I did the best I could, Jun-chan.\I even found a job, so that I could make it on my own.\But that's something you did for your own sake.\From long ago, you would always think about just yourself.\You showed very little care for Shoji.\Love is all about a relationship two people build for each other.\If you cannot care for your partner, the relationship isn't gonna work out. response:	I'm back.
context: But I did the best I could, Jun-chan.\I even found a job, so that I could make it on my own.\But that's something you did for your own sake.\From long ago, you would always think about just yourself.\You showed very little care for Shoji.\Love is all about a relationship two people build for each other.\If you cannot care for your partner, the relationship isn't gonna work out.\I'm back. response:	You could at least turn on the light. I know you're depressed, but come on.
context: I even found a job, so that I could make it on my own.\But that's something you did for your own sake.\From long ago, you would always think about just yourself.\You showed very little care for Shoji.\Love is all about a relationship two people build for each other.\If you cannot care for your partner, the relationship isn't gonna work out.\I'm back.\You could at least turn on the light. I know you're depressed, but come on. response:	You must be hungry. I'm sorry. I didn't prepare dinner tonight.
context: But that's something you did for your own sake.\From long ago, you would always think about just yourself.\You showed very little care for Shoji.\Love is all about a relationship two people build for each other.\If you cannot care for your partner, the relationship isn't gonna work out.\I'm back.\You could at least turn on the light. I know you're depressed, but come on.\You must be hungry. I'm sorry. I didn't prepare dinner tonight. response:	I expected as much, so I bought us some dinner on the way home.
context: From long ago, you would always think about just yourself.\You showed very little care for Shoji.\Love is all about a relationship two people build for each other.\If you cannot care for your partner, the relationship isn't gonna work out.\I'm back.\You could at least turn on the light. I know you're depressed, but come on.\You must be hungry. I'm sorry. I didn't prepare dinner tonight.\I expected as much, so I bought us some dinner on the way home. response:	Let's eat.
context: You showed very little care for Shoji.\Love is all about a relationship two people build for each other.\If you cannot care for your partner, the relationship isn't gonna work out.\I'm back.\You could at least turn on the light. I know you're depressed, but come on.\You must be hungry. I'm sorry. I didn't prepare dinner tonight.\I expected as much, so I bought us some dinner on the way home.\Let's eat. response:	Are these tears of joy?
context: Love is all about a relationship two people build for each other.\If you cannot care for your partner, the relationship isn't gonna work out.\I'm back.\You could at least turn on the light. I know you're depressed, but come on.\You must be hungry. I'm sorry. I didn't prepare dinner tonight.\I expected as much, so I bought us some dinner on the way home.\Let's eat.\Are these tears of joy? response:	I've always thought this. You always put yourself first,
