context: Yes, this is Control. response:	Yeah, it's Marude! Give me a situation report!
context: in order to overthrow us ghouls in the 11th Ward.\They are strong.\By now, all the doves in the 11th Ward have likely been hunted down.\As of now, I'm one of their minor runners,\but this bunch is looking for Miss Rize. I don't know why.\But I'm sure it can't be anything good.\Miss Rize?\They'll come after the 20th Ward, too, in time. response:	Nobody's gonna blame you. You should get running, too. Otherwise...
context: They are strong.\By now, all the doves in the 11th Ward have likely been hunted down.\As of now, I'm one of their minor runners,\but this bunch is looking for Miss Rize. I don't know why.\But I'm sure it can't be anything good.\Miss Rize?\They'll come after the 20th Ward, too, in time.\Nobody's gonna blame you. You should get running, too. Otherwise... response:	Mr. Banjo!
context: By now, all the doves in the 11th Ward have likely been hunted down.\As of now, I'm one of their minor runners,\but this bunch is looking for Miss Rize. I don't know why.\But I'm sure it can't be anything good.\Miss Rize?\They'll come after the 20th Ward, too, in time.\Nobody's gonna blame you. You should get running, too. Otherwise...\Mr. Banjo! response:	What are you screwing around here for, Banjo?
context: As of now, I'm one of their minor runners,\but this bunch is looking for Miss Rize. I don't know why.\But I'm sure it can't be anything good.\Miss Rize?\They'll come after the 20th Ward, too, in time.\Nobody's gonna blame you. You should get running, too. Otherwise...\Mr. Banjo!\What are you screwing around here for, Banjo? response:	You want another beating until you can't spit up any more blood? Huh?
context: but this bunch is looking for Miss Rize. I don't know why.\But I'm sure it can't be anything good.\Miss Rize?\They'll come after the 20th Ward, too, in time.\Nobody's gonna blame you. You should get running, too. Otherwise...\Mr. Banjo!\What are you screwing around here for, Banjo?\You want another beating until you can't spit up any more blood? Huh? response:	A-Ayato...
context: But I'm sure it can't be anything good.\Miss Rize?\They'll come after the 20th Ward, too, in time.\Nobody's gonna blame you. You should get running, too. Otherwise...\Mr. Banjo!\What are you screwing around here for, Banjo?\You want another beating until you can't spit up any more blood? Huh?\A-Ayato... response:	H-Hey!
context: Miss Rize?\They'll come after the 20th Ward, too, in time.\Nobody's gonna blame you. You should get running, too. Otherwise...\Mr. Banjo!\What are you screwing around here for, Banjo?\You want another beating until you can't spit up any more blood? Huh?\A-Ayato...\H-Hey! response:	Touka!
context: They'll come after the 20th Ward, too, in time.\Nobody's gonna blame you. You should get running, too. Otherwise...\Mr. Banjo!\What are you screwing around here for, Banjo?\You want another beating until you can't spit up any more blood? Huh?\A-Ayato...\H-Hey!\Touka! response:	Ayato...
context: Nobody's gonna blame you. You should get running, too. Otherwise...\Mr. Banjo!\What are you screwing around here for, Banjo?\You want another beating until you can't spit up any more blood? Huh?\A-Ayato...\H-Hey!\Touka!\Ayato... response:	So then, that is Touka's...
context: Mr. Banjo!\What are you screwing around here for, Banjo?\You want another beating until you can't spit up any more blood? Huh?\A-Ayato...\H-Hey!\Touka!\Ayato...\So then, that is Touka's... response:	Yo. Long time no see, my dumb sister.
context: What are you screwing around here for, Banjo?\You want another beating until you can't spit up any more blood? Huh?\A-Ayato...\H-Hey!\Touka!\Ayato...\So then, that is Touka's...\Yo. Long time no see, my dumb sister. response:	Where have you been wandering around, you idiot?
context: You want another beating until you can't spit up any more blood? Huh?\A-Ayato...\H-Hey!\Touka!\Ayato...\So then, that is Touka's...\Yo. Long time no see, my dumb sister.\Where have you been wandering around, you idiot? response:	I've been out learning about society.
context: A-Ayato...\H-Hey!\Touka!\Ayato...\So then, that is Touka's...\Yo. Long time no see, my dumb sister.\Where have you been wandering around, you idiot?\I've been out learning about society. response:	Unlike you, who are complacent in your peace.
context: H-Hey!\Touka!\Ayato...\So then, that is Touka's...\Yo. Long time no see, my dumb sister.\Where have you been wandering around, you idiot?\I've been out learning about society.\Unlike you, who are complacent in your peace. response:	You self-important little brat!
context: Touka!\Ayato...\So then, that is Touka's...\Yo. Long time no see, my dumb sister.\Where have you been wandering around, you idiot?\I've been out learning about society.\Unlike you, who are complacent in your peace.\You self-important little brat! response:	You're the brat. Look around you, dummy.
context: Ayato...\So then, that is Touka's...\Yo. Long time no see, my dumb sister.\Where have you been wandering around, you idiot?\I've been out learning about society.\Unlike you, who are complacent in your peace.\You self-important little brat!\You're the brat. Look around you, dummy. response:	Is that long enough, Ayato? Can we come in now?
context: So then, that is Touka's...\Yo. Long time no see, my dumb sister.\Where have you been wandering around, you idiot?\I've been out learning about society.\Unlike you, who are complacent in your peace.\You self-important little brat!\You're the brat. Look around you, dummy.\Is that long enough, Ayato? Can we come in now? response:	Why are those two here, too?!
context: Yo. Long time no see, my dumb sister.\Where have you been wandering around, you idiot?\I've been out learning about society.\Unlike you, who are complacent in your peace.\You self-important little brat!\You're the brat. Look around you, dummy.\Is that long enough, Ayato? Can we come in now?\Why are those two here, too?! response:	Forgive the intrusion.
context: Where have you been wandering around, you idiot?\I've been out learning about society.\Unlike you, who are complacent in your peace.\You self-important little brat!\You're the brat. Look around you, dummy.\Is that long enough, Ayato? Can we come in now?\Why are those two here, too?!\Forgive the intrusion. response:	Oh, now what do I do? Where could I be?
context: I've been out learning about society.\Unlike you, who are complacent in your peace.\You self-important little brat!\You're the brat. Look around you, dummy.\Is that long enough, Ayato? Can we come in now?\Why are those two here, too?!\Forgive the intrusion.\Oh, now what do I do? Where could I be? response:	O-ho, I've located a police box!
context: Unlike you, who are complacent in your peace.\You self-important little brat!\You're the brat. Look around you, dummy.\Is that long enough, Ayato? Can we come in now?\Why are those two here, too?!\Forgive the intrusion.\Oh, now what do I do? Where could I be?\O-ho, I've located a police box! response:	How lucky for me!
context: You self-important little brat!\You're the brat. Look around you, dummy.\Is that long enough, Ayato? Can we come in now?\Why are those two here, too?!\Forgive the intrusion.\Oh, now what do I do? Where could I be?\O-ho, I've located a police box!\How lucky for me! response:	The group's name is Aogiri Tree.
context: You're the brat. Look around you, dummy.\Is that long enough, Ayato? Can we come in now?\Why are those two here, too?!\Forgive the intrusion.\Oh, now what do I do? Where could I be?\O-ho, I've located a police box!\How lucky for me!\The group's name is Aogiri Tree. response:	They have over two hundred members that we know about.
context: Is that long enough, Ayato? Can we come in now?\Why are those two here, too?!\Forgive the intrusion.\Oh, now what do I do? Where could I be?\O-ho, I've located a police box!\How lucky for me!\The group's name is Aogiri Tree.\They have over two hundred members that we know about. response:	There has never been an incidence of this many ghouls
context: Why are those two here, too?!\Forgive the intrusion.\Oh, now what do I do? Where could I be?\O-ho, I've located a police box!\How lucky for me!\The group's name is Aogiri Tree.\They have over two hundred members that we know about.\There has never been an incidence of this many ghouls response:	banding together before.
context: Forgive the intrusion.\Oh, now what do I do? Where could I be?\O-ho, I've located a police box!\How lucky for me!\The group's name is Aogiri Tree.\They have over two hundred members that we know about.\There has never been an incidence of this many ghouls\banding together before. response:	What could their objective be?
context: Oh, now what do I do? Where could I be?\O-ho, I've located a police box!\How lucky for me!\The group's name is Aogiri Tree.\They have over two hundred members that we know about.\There has never been an incidence of this many ghouls\banding together before.\What could their objective be? response:	Who ever knows what ghouls are thinking? However,
context: O-ho, I've located a police box!\How lucky for me!\The group's name is Aogiri Tree.\They have over two hundred members that we know about.\There has never been an incidence of this many ghouls\banding together before.\What could their objective be?\Who ever knows what ghouls are thinking? However, response:	the 11th Ward has been taken from us. That much is certain.
context: How lucky for me!\The group's name is Aogiri Tree.\They have over two hundred members that we know about.\There has never been an incidence of this many ghouls\banding together before.\What could their objective be?\Who ever knows what ghouls are thinking? However,\the 11th Ward has been taken from us. That much is certain. response:	Once this fact gets around,
context: The group's name is Aogiri Tree.\They have over two hundred members that we know about.\There has never been an incidence of this many ghouls\banding together before.\What could their objective be?\Who ever knows what ghouls are thinking? However,\the 11th Ward has been taken from us. That much is certain.\Once this fact gets around, response:	it is expected most of the ghouls who have been acting on their own
context: They have over two hundred members that we know about.\There has never been an incidence of this many ghouls\banding together before.\What could their objective be?\Who ever knows what ghouls are thinking? However,\the 11th Ward has been taken from us. That much is certain.\Once this fact gets around,\it is expected most of the ghouls who have been acting on their own response:	will now join up with Aogiri Tree.
context: There has never been an incidence of this many ghouls\banding together before.\What could their objective be?\Who ever knows what ghouls are thinking? However,\the 11th Ward has been taken from us. That much is certain.\Once this fact gets around,\it is expected most of the ghouls who have been acting on their own\will now join up with Aogiri Tree. response:	This will be a war between humans and ghouls.
context: banding together before.\What could their objective be?\Who ever knows what ghouls are thinking? However,\the 11th Ward has been taken from us. That much is certain.\Once this fact gets around,\it is expected most of the ghouls who have been acting on their own\will now join up with Aogiri Tree.\This will be a war between humans and ghouls. response:	That's why you must turn over your lives to me!
context: What could their objective be?\Who ever knows what ghouls are thinking? However,\the 11th Ward has been taken from us. That much is certain.\Once this fact gets around,\it is expected most of the ghouls who have been acting on their own\will now join up with Aogiri Tree.\This will be a war between humans and ghouls.\That's why you must turn over your lives to me! response:	That is an order, by the way! You have no right to refuse me!
context: Who ever knows what ghouls are thinking? However,\the 11th Ward has been taken from us. That much is certain.\Once this fact gets around,\it is expected most of the ghouls who have been acting on their own\will now join up with Aogiri Tree.\This will be a war between humans and ghouls.\That's why you must turn over your lives to me!\That is an order, by the way! You have no right to refuse me! response:	From here on, the 11th Ward special task force-
context: the 11th Ward has been taken from us. That much is certain.\Once this fact gets around,\it is expected most of the ghouls who have been acting on their own\will now join up with Aogiri Tree.\This will be a war between humans and ghouls.\That's why you must turn over your lives to me!\That is an order, by the way! You have no right to refuse me!\From here on, the 11th Ward special task force- response:	Excuse me!
context: Once this fact gets around,\it is expected most of the ghouls who have been acting on their own\will now join up with Aogiri Tree.\This will be a war between humans and ghouls.\That's why you must turn over your lives to me!\That is an order, by the way! You have no right to refuse me!\From here on, the 11th Ward special task force-\Excuse me! response:	I'm Mr. Shinohara's underling, Suzuya Juzo!
context: it is expected most of the ghouls who have been acting on their own\will now join up with Aogiri Tree.\This will be a war between humans and ghouls.\That's why you must turn over your lives to me!\That is an order, by the way! You have no right to refuse me!\From here on, the 11th Ward special task force-\Excuse me!\I'm Mr. Shinohara's underling, Suzuya Juzo! response:	Sorry I'm late, but I got lost.
context: will now join up with Aogiri Tree.\This will be a war between humans and ghouls.\That's why you must turn over your lives to me!\That is an order, by the way! You have no right to refuse me!\From here on, the 11th Ward special task force-\Excuse me!\I'm Mr. Shinohara's underling, Suzuya Juzo!\Sorry I'm late, but I got lost. response:	Ah, geez...
context: This will be a war between humans and ghouls.\That's why you must turn over your lives to me!\That is an order, by the way! You have no right to refuse me!\From here on, the 11th Ward special task force-\Excuse me!\I'm Mr. Shinohara's underling, Suzuya Juzo!\Sorry I'm late, but I got lost.\Ah, geez... response:	Please accept my regards.
context: That's why you must turn over your lives to me!\That is an order, by the way! You have no right to refuse me!\From here on, the 11th Ward special task force-\Excuse me!\I'm Mr. Shinohara's underling, Suzuya Juzo!\Sorry I'm late, but I got lost.\Ah, geez...\Please accept my regards. response:	Hey, Ayato...
context: That is an order, by the way! You have no right to refuse me!\From here on, the 11th Ward special task force-\Excuse me!\I'm Mr. Shinohara's underling, Suzuya Juzo!\Sorry I'm late, but I got lost.\Ah, geez...\Please accept my regards.\Hey, Ayato... response:	Oh, my...
context: From here on, the 11th Ward special task force-\Excuse me!\I'm Mr. Shinohara's underling, Suzuya Juzo!\Sorry I'm late, but I got lost.\Ah, geez...\Please accept my regards.\Hey, Ayato...\Oh, my... response:	I'd heard that your older sister was here.
context: Excuse me!\I'm Mr. Shinohara's underling, Suzuya Juzo!\Sorry I'm late, but I got lost.\Ah, geez...\Please accept my regards.\Hey, Ayato...\Oh, my...\I'd heard that your older sister was here. response:	Aren't you both just gorgeous!
context: I'm Mr. Shinohara's underling, Suzuya Juzo!\Sorry I'm late, but I got lost.\Ah, geez...\Please accept my regards.\Hey, Ayato...\Oh, my...\I'd heard that your older sister was here.\Aren't you both just gorgeous! response:	I'm so jealous.
context: Sorry I'm late, but I got lost.\Ah, geez...\Please accept my regards.\Hey, Ayato...\Oh, my...\I'd heard that your older sister was here.\Aren't you both just gorgeous!\I'm so jealous. response:	I'm impressed that you found me, Yamori.
context: Ah, geez...\Please accept my regards.\Hey, Ayato...\Oh, my...\I'd heard that your older sister was here.\Aren't you both just gorgeous!\I'm so jealous.\I'm impressed that you found me, Yamori. response:	I was following Banjo. The men you have under you are first-rate, huh?
context: Please accept my regards.\Hey, Ayato...\Oh, my...\I'd heard that your older sister was here.\Aren't you both just gorgeous!\I'm so jealous.\I'm impressed that you found me, Yamori.\I was following Banjo. The men you have under you are first-rate, huh? response:	M-Miss Rize isn't here!
context: Hey, Ayato...\Oh, my...\I'd heard that your older sister was here.\Aren't you both just gorgeous!\I'm so jealous.\I'm impressed that you found me, Yamori.\I was following Banjo. The men you have under you are first-rate, huh?\M-Miss Rize isn't here! response:	It stinks in here.
context: Oh, my...\I'd heard that your older sister was here.\Aren't you both just gorgeous!\I'm so jealous.\I'm impressed that you found me, Yamori.\I was following Banjo. The men you have under you are first-rate, huh?\M-Miss Rize isn't here!\It stinks in here. response:	It reeks of an odor I despise.
context: I'd heard that your older sister was here.\Aren't you both just gorgeous!\I'm so jealous.\I'm impressed that you found me, Yamori.\I was following Banjo. The men you have under you are first-rate, huh?\M-Miss Rize isn't here!\It stinks in here.\It reeks of an odor I despise. response:	Hey, Nico, will this one do?
context: Aren't you both just gorgeous!\I'm so jealous.\I'm impressed that you found me, Yamori.\I was following Banjo. The men you have under you are first-rate, huh?\M-Miss Rize isn't here!\It stinks in here.\It reeks of an odor I despise.\Hey, Nico, will this one do? response:	Sure, why not? Let's hurry up and kidnap him.
context: I'm so jealous.\I'm impressed that you found me, Yamori.\I was following Banjo. The men you have under you are first-rate, huh?\M-Miss Rize isn't here!\It stinks in here.\It reeks of an odor I despise.\Hey, Nico, will this one do?\Sure, why not? Let's hurry up and kidnap him. response:	Yeah, right.
context: I'm impressed that you found me, Yamori.\I was following Banjo. The men you have under you are first-rate, huh?\M-Miss Rize isn't here!\It stinks in here.\It reeks of an odor I despise.\Hey, Nico, will this one do?\Sure, why not? Let's hurry up and kidnap him.\Yeah, right. response:	Kidnap? What kind of ego trip are you on?!
context: I was following Banjo. The men you have under you are first-rate, huh?\M-Miss Rize isn't here!\It stinks in here.\It reeks of an odor I despise.\Hey, Nico, will this one do?\Sure, why not? Let's hurry up and kidnap him.\Yeah, right.\Kidnap? What kind of ego trip are you on?! response:	Ego trip?
context: M-Miss Rize isn't here!\It stinks in here.\It reeks of an odor I despise.\Hey, Nico, will this one do?\Sure, why not? Let's hurry up and kidnap him.\Yeah, right.\Kidnap? What kind of ego trip are you on?!\Ego trip? response:	Going on ego trips are the right of the powerful.
context: It stinks in here.\It reeks of an odor I despise.\Hey, Nico, will this one do?\Sure, why not? Let's hurry up and kidnap him.\Yeah, right.\Kidnap? What kind of ego trip are you on?!\Ego trip?\Going on ego trips are the right of the powerful. response:	Kaneki!
context: It reeks of an odor I despise.\Hey, Nico, will this one do?\Sure, why not? Let's hurry up and kidnap him.\Yeah, right.\Kidnap? What kind of ego trip are you on?!\Ego trip?\Going on ego trips are the right of the powerful.\Kaneki! response:	Get up or stay down? Which will it be?
context: Hey, Nico, will this one do?\Sure, why not? Let's hurry up and kidnap him.\Yeah, right.\Kidnap? What kind of ego trip are you on?!\Ego trip?\Going on ego trips are the right of the powerful.\Kaneki!\Get up or stay down? Which will it be? response:	If you behave yourself, you'll get through this without getting hurt.
context: Sure, why not? Let's hurry up and kidnap him.\Yeah, right.\Kidnap? What kind of ego trip are you on?!\Ego trip?\Going on ego trips are the right of the powerful.\Kaneki!\Get up or stay down? Which will it be?\If you behave yourself, you'll get through this without getting hurt. response:	But right now...
context: Yeah, right.\Kidnap? What kind of ego trip are you on?!\Ego trip?\Going on ego trips are the right of the powerful.\Kaneki!\Get up or stay down? Which will it be?\If you behave yourself, you'll get through this without getting hurt.\But right now... response:	Oh, my...
context: Kidnap? What kind of ego trip are you on?!\Ego trip?\Going on ego trips are the right of the powerful.\Kaneki!\Get up or stay down? Which will it be?\If you behave yourself, you'll get through this without getting hurt.\But right now...\Oh, my... response:	Oh, one eye, huh?
context: Ego trip?\Going on ego trips are the right of the powerful.\Kaneki!\Get up or stay down? Which will it be?\If you behave yourself, you'll get through this without getting hurt.\But right now...\Oh, my...\Oh, one eye, huh? response:	Why, you...!
context: Going on ego trips are the right of the powerful.\Kaneki!\Get up or stay down? Which will it be?\If you behave yourself, you'll get through this without getting hurt.\But right now...\Oh, my...\Oh, one eye, huh?\Why, you...! response:	You're weak, Touka.
context: Kaneki!\Get up or stay down? Which will it be?\If you behave yourself, you'll get through this without getting hurt.\But right now...\Oh, my...\Oh, one eye, huh?\Why, you...!\You're weak, Touka. response:	A carbon copy of Pop.
context: Get up or stay down? Which will it be?\If you behave yourself, you'll get through this without getting hurt.\But right now...\Oh, my...\Oh, one eye, huh?\Why, you...!\You're weak, Touka.\A carbon copy of Pop. response:	Dad... fought for our sake.
context: If you behave yourself, you'll get through this without getting hurt.\But right now...\Oh, my...\Oh, one eye, huh?\Why, you...!\You're weak, Touka.\A carbon copy of Pop.\Dad... fought for our sake. response:	What do you even know?!
context: But right now...\Oh, my...\Oh, one eye, huh?\Why, you...!\You're weak, Touka.\A carbon copy of Pop.\Dad... fought for our sake.\What do you even know?! response:	You're the one who doesn't understand, Touka.
context: Oh, my...\Oh, one eye, huh?\Why, you...!\You're weak, Touka.\A carbon copy of Pop.\Dad... fought for our sake.\What do you even know?!\You're the one who doesn't understand, Touka. response:	Both Mom and Pop are dead.
context: Oh, one eye, huh?\Why, you...!\You're weak, Touka.\A carbon copy of Pop.\Dad... fought for our sake.\What do you even know?!\You're the one who doesn't understand, Touka.\Both Mom and Pop are dead. response:	They protected nothing; they were just taken. But I'm different!
context: Why, you...!\You're weak, Touka.\A carbon copy of Pop.\Dad... fought for our sake.\What do you even know?!\You're the one who doesn't understand, Touka.\Both Mom and Pop are dead.\They protected nothing; they were just taken. But I'm different! response:	I'm going to show that trash that ghouls are above humans!
context: You're weak, Touka.\A carbon copy of Pop.\Dad... fought for our sake.\What do you even know?!\You're the one who doesn't understand, Touka.\Both Mom and Pop are dead.\They protected nothing; they were just taken. But I'm different!\I'm going to show that trash that ghouls are above humans! response:	You can't fly anywhere on that wing of yours.
context: A carbon copy of Pop.\Dad... fought for our sake.\What do you even know?!\You're the one who doesn't understand, Touka.\Both Mom and Pop are dead.\They protected nothing; they were just taken. But I'm different!\I'm going to show that trash that ghouls are above humans!\You can't fly anywhere on that wing of yours. response:	Go ahead and crawl along the ground.
context: Dad... fought for our sake.\What do you even know?!\You're the one who doesn't understand, Touka.\Both Mom and Pop are dead.\They protected nothing; they were just taken. But I'm different!\I'm going to show that trash that ghouls are above humans!\You can't fly anywhere on that wing of yours.\Go ahead and crawl along the ground. response:	Ayato, that was cool.
context: What do you even know?!\You're the one who doesn't understand, Touka.\Both Mom and Pop are dead.\They protected nothing; they were just taken. But I'm different!\I'm going to show that trash that ghouls are above humans!\You can't fly anywhere on that wing of yours.\Go ahead and crawl along the ground.\Ayato, that was cool. response:	Touka...!
context: You're the one who doesn't understand, Touka.\Both Mom and Pop are dead.\They protected nothing; they were just taken. But I'm different!\I'm going to show that trash that ghouls are above humans!\You can't fly anywhere on that wing of yours.\Go ahead and crawl along the ground.\Ayato, that was cool.\Touka...! response:	This one still has some spunk left, huh?
context: Both Mom and Pop are dead.\They protected nothing; they were just taken. But I'm different!\I'm going to show that trash that ghouls are above humans!\You can't fly anywhere on that wing of yours.\Go ahead and crawl along the ground.\Ayato, that was cool.\Touka...!\This one still has some spunk left, huh? response:	That really does remind me of her.
context: They protected nothing; they were just taken. But I'm different!\I'm going to show that trash that ghouls are above humans!\You can't fly anywhere on that wing of yours.\Go ahead and crawl along the ground.\Ayato, that was cool.\Touka...!\This one still has some spunk left, huh?\That really does remind me of her. response:	I'm getting a little jealous.
context: I'm going to show that trash that ghouls are above humans!\You can't fly anywhere on that wing of yours.\Go ahead and crawl along the ground.\Ayato, that was cool.\Touka...!\This one still has some spunk left, huh?\That really does remind me of her.\I'm getting a little jealous. response:	You really are a tough one. In that case, how do you like this?!
context: You can't fly anywhere on that wing of yours.\Go ahead and crawl along the ground.\Ayato, that was cool.\Touka...!\This one still has some spunk left, huh?\That really does remind me of her.\I'm getting a little jealous.\You really are a tough one. In that case, how do you like this?! response:	How do you like this?! How do you like this?!
context: Go ahead and crawl along the ground.\Ayato, that was cool.\Touka...!\This one still has some spunk left, huh?\That really does remind me of her.\I'm getting a little jealous.\You really are a tough one. In that case, how do you like this?!\How do you like this?! How do you like this?! response:	All right, how do you like... this?!
context: Ayato, that was cool.\Touka...!\This one still has some spunk left, huh?\That really does remind me of her.\I'm getting a little jealous.\You really are a tough one. In that case, how do you like this?!\How do you like this?! How do you like this?!\All right, how do you like... this?! response:	How do you like this?!
context: Touka...!\This one still has some spunk left, huh?\That really does remind me of her.\I'm getting a little jealous.\You really are a tough one. In that case, how do you like this?!\How do you like this?! How do you like this?!\All right, how do you like... this?!\How do you like this?! response:	How about this?!
context: This one still has some spunk left, huh?\That really does remind me of her.\I'm getting a little jealous.\You really are a tough one. In that case, how do you like this?!\How do you like this?! How do you like this?!\All right, how do you like... this?!\How do you like this?!\How about this?! response:	How do you like this?!
context: That really does remind me of her.\I'm getting a little jealous.\You really are a tough one. In that case, how do you like this?!\How do you like this?! How do you like this?!\All right, how do you like... this?!\How do you like this?!\How about this?!\How do you like this?! response:	-K-Kaneki... -How about this?!
context: I'm getting a little jealous.\You really are a tough one. In that case, how do you like this?!\How do you like this?! How do you like this?!\All right, how do you like... this?!\How do you like this?!\How about this?!\How do you like this?!\-K-Kaneki... -How about this?! response:	How do you like this?! How do you like this?!
context: You really are a tough one. In that case, how do you like this?!\How do you like this?! How do you like this?!\All right, how do you like... this?!\How do you like this?!\How about this?!\How do you like this?!\-K-Kaneki... -How about this?!\How do you like this?! How do you like this?! response:	How about this?! How do you like this?!
context: How do you like this?! How do you like this?!\All right, how do you like... this?!\How do you like this?!\How about this?!\How do you like this?!\-K-Kaneki... -How about this?!\How do you like this?! How do you like this?!\How about this?! How do you like this?! response:	Awesome! I can't break him one bit!
context: All right, how do you like... this?!\How do you like this?!\How about this?!\How do you like this?!\-K-Kaneki... -How about this?!\How do you like this?! How do you like this?!\How about this?! How do you like this?!\Awesome! I can't break him one bit! response:	M-Mr. Yamori! W-We should be on our way-
context: How do you like this?!\How about this?!\How do you like this?!\-K-Kaneki... -How about this?!\How do you like this?! How do you like this?!\How about this?! How do you like this?!\Awesome! I can't break him one bit!\M-Mr. Yamori! W-We should be on our way- response:	Huh?!
context: How about this?!\How do you like this?!\-K-Kaneki... -How about this?!\How do you like this?! How do you like this?!\How about this?! How do you like this?!\Awesome! I can't break him one bit!\M-Mr. Yamori! W-We should be on our way-\Huh?! response:	Macho-beard is right.
context: How do you like this?!\-K-Kaneki... -How about this?!\How do you like this?! How do you like this?!\How about this?! How do you like this?!\Awesome! I can't break him one bit!\M-Mr. Yamori! W-We should be on our way-\Huh?!\Macho-beard is right. response:	Nico...
context: -K-Kaneki... -How about this?!\How do you like this?! How do you like this?!\How about this?! How do you like this?!\Awesome! I can't break him one bit!\M-Mr. Yamori! W-We should be on our way-\Huh?!\Macho-beard is right.\Nico... response:	Ooh, splat! Very nice!
context: How do you like this?! How do you like this?!\How about this?! How do you like this?!\Awesome! I can't break him one bit!\M-Mr. Yamori! W-We should be on our way-\Huh?!\Macho-beard is right.\Nico...\Ooh, splat! Very nice! response:	Let's leave the rest for after we get home, Yamori.
context: How about this?! How do you like this?!\Awesome! I can't break him one bit!\M-Mr. Yamori! W-We should be on our way-\Huh?!\Macho-beard is right.\Nico...\Ooh, splat! Very nice!\Let's leave the rest for after we get home, Yamori. response:	Thank you, Nico.
context: Awesome! I can't break him one bit!\M-Mr. Yamori! W-We should be on our way-\Huh?!\Macho-beard is right.\Nico...\Ooh, splat! Very nice!\Let's leave the rest for after we get home, Yamori.\Thank you, Nico. response:	No problem.
context: M-Mr. Yamori! W-We should be on our way-\Huh?!\Macho-beard is right.\Nico...\Ooh, splat! Very nice!\Let's leave the rest for after we get home, Yamori.\Thank you, Nico.\No problem. response:	Banjo, stuff the one-eyed guy in the bag. We're going back soon.
context: Huh?!\Macho-beard is right.\Nico...\Ooh, splat! Very nice!\Let's leave the rest for after we get home, Yamori.\Thank you, Nico.\No problem.\Banjo, stuff the one-eyed guy in the bag. We're going back soon. response:	Are you all right?
context: Macho-beard is right.\Nico...\Ooh, splat! Very nice!\Let's leave the rest for after we get home, Yamori.\Thank you, Nico.\No problem.\Banjo, stuff the one-eyed guy in the bag. We're going back soon.\Are you all right? response:	They took him away, didn't they?
context: Nico...\Ooh, splat! Very nice!\Let's leave the rest for after we get home, Yamori.\Thank you, Nico.\No problem.\Banjo, stuff the one-eyed guy in the bag. We're going back soon.\Are you all right?\They took him away, didn't they? response:	Yomo, round everyone up for me.
context: Ooh, splat! Very nice!\Let's leave the rest for after we get home, Yamori.\Thank you, Nico.\No problem.\Banjo, stuff the one-eyed guy in the bag. We're going back soon.\Are you all right?\They took him away, didn't they?\Yomo, round everyone up for me. response:	Anteiku will be closing up shop for a little while.
context: Let's leave the rest for after we get home, Yamori.\Thank you, Nico.\No problem.\Banjo, stuff the one-eyed guy in the bag. We're going back soon.\Are you all right?\They took him away, didn't they?\Yomo, round everyone up for me.\Anteiku will be closing up shop for a little while. response:	They are clearly starting to show signs of an organized movement.
context: Thank you, Nico.\No problem.\Banjo, stuff the one-eyed guy in the bag. We're going back soon.\Are you all right?\They took him away, didn't they?\Yomo, round everyone up for me.\Anteiku will be closing up shop for a little while.\They are clearly starting to show signs of an organized movement. response:	That is all we know about Aogiri Tree.
context: No problem.\Banjo, stuff the one-eyed guy in the bag. We're going back soon.\Are you all right?\They took him away, didn't they?\Yomo, round everyone up for me.\Anteiku will be closing up shop for a little while.\They are clearly starting to show signs of an organized movement.\That is all we know about Aogiri Tree. response:	I'd like to charge after them right now,
context: Banjo, stuff the one-eyed guy in the bag. We're going back soon.\Are you all right?\They took him away, didn't they?\Yomo, round everyone up for me.\Anteiku will be closing up shop for a little while.\They are clearly starting to show signs of an organized movement.\That is all we know about Aogiri Tree.\I'd like to charge after them right now, response:	but for the time being, we have to be patient.
context: Are you all right?\They took him away, didn't they?\Yomo, round everyone up for me.\Anteiku will be closing up shop for a little while.\They are clearly starting to show signs of an organized movement.\That is all we know about Aogiri Tree.\I'd like to charge after them right now,\but for the time being, we have to be patient. response:	We engage them in one week. Until then, citizens of the 11th Ward
context: They took him away, didn't they?\Yomo, round everyone up for me.\Anteiku will be closing up shop for a little while.\They are clearly starting to show signs of an organized movement.\That is all we know about Aogiri Tree.\I'd like to charge after them right now,\but for the time being, we have to be patient.\We engage them in one week. Until then, citizens of the 11th Ward response:	are under a mandatory evacuation. Utilize the police.
context: Yomo, round everyone up for me.\Anteiku will be closing up shop for a little while.\They are clearly starting to show signs of an organized movement.\That is all we know about Aogiri Tree.\I'd like to charge after them right now,\but for the time being, we have to be patient.\We engage them in one week. Until then, citizens of the 11th Ward\are under a mandatory evacuation. Utilize the police. response:	I will deal with the media. That is all.
context: Anteiku will be closing up shop for a little while.\They are clearly starting to show signs of an organized movement.\That is all we know about Aogiri Tree.\I'd like to charge after them right now,\but for the time being, we have to be patient.\We engage them in one week. Until then, citizens of the 11th Ward\are under a mandatory evacuation. Utilize the police.\I will deal with the media. That is all. response:	Dismissed!
context: They are clearly starting to show signs of an organized movement.\That is all we know about Aogiri Tree.\I'd like to charge after them right now,\but for the time being, we have to be patient.\We engage them in one week. Until then, citizens of the 11th Ward\are under a mandatory evacuation. Utilize the police.\I will deal with the media. That is all.\Dismissed! response:	Yes, sir!
