context: It's a person! response:	There's- there's a person coming out of it!
context: -Spaceships!? -Spaceships!? -Spaceships!?\T- they couldn't be!\So check'em out!\Hey, crime lab!\-Yes? -Yes?\Examine- examine those things.\-Right! -Right!\I'm from AHO TV. C- come over here a second... response:	I'd like to hear all the details.
context: T- they couldn't be!\So check'em out!\Hey, crime lab!\-Yes? -Yes?\Examine- examine those things.\-Right! -Right!\I'm from AHO TV. C- come over here a second...\I'd like to hear all the details. response:	I tell ya, I sure am gettin' hungry, here...
context: So check'em out!\Hey, crime lab!\-Yes? -Yes?\Examine- examine those things.\-Right! -Right!\I'm from AHO TV. C- come over here a second...\I'd like to hear all the details.\I tell ya, I sure am gettin' hungry, here... response:	Y- you want an appearance fee?
context: Hey, crime lab!\-Yes? -Yes?\Examine- examine those things.\-Right! -Right!\I'm from AHO TV. C- come over here a second...\I'd like to hear all the details.\I tell ya, I sure am gettin' hungry, here...\Y- you want an appearance fee? response:	C- Chief!
context: -Yes? -Yes?\Examine- examine those things.\-Right! -Right!\I'm from AHO TV. C- come over here a second...\I'd like to hear all the details.\I tell ya, I sure am gettin' hungry, here...\Y- you want an appearance fee?\C- Chief! response:	T- this definitely is not of this earth!
context: Examine- examine those things.\-Right! -Right!\I'm from AHO TV. C- come over here a second...\I'd like to hear all the details.\I tell ya, I sure am gettin' hungry, here...\Y- you want an appearance fee?\C- Chief!\T- this definitely is not of this earth! response:	W- what!?
context: -Right! -Right!\I'm from AHO TV. C- come over here a second...\I'd like to hear all the details.\I tell ya, I sure am gettin' hungry, here...\Y- you want an appearance fee?\C- Chief!\T- this definitely is not of this earth!\W- what!? response:	I'll pay you whatever money you ask! So, where are these Saiyan guys now?
context: I'm from AHO TV. C- come over here a second...\I'd like to hear all the details.\I tell ya, I sure am gettin' hungry, here...\Y- you want an appearance fee?\C- Chief!\T- this definitely is not of this earth!\W- what!?\I'll pay you whatever money you ask! So, where are these Saiyan guys now? response:	AHO TV- san, you're not getting the scoop on us!
context: I'd like to hear all the details.\I tell ya, I sure am gettin' hungry, here...\Y- you want an appearance fee?\C- Chief!\T- this definitely is not of this earth!\W- what!?\I'll pay you whatever money you ask! So, where are these Saiyan guys now?\AHO TV- san, you're not getting the scoop on us! response:	We'll pay as much as you like, too.
context: I tell ya, I sure am gettin' hungry, here...\Y- you want an appearance fee?\C- Chief!\T- this definitely is not of this earth!\W- what!?\I'll pay you whatever money you ask! So, where are these Saiyan guys now?\AHO TV- san, you're not getting the scoop on us!\We'll pay as much as you like, too. response:	Us, too!
context: Y- you want an appearance fee?\C- Chief!\T- this definitely is not of this earth!\W- what!?\I'll pay you whatever money you ask! So, where are these Saiyan guys now?\AHO TV- san, you're not getting the scoop on us!\We'll pay as much as you like, too.\Us, too! response:	Us, as well!
context: C- Chief!\T- this definitely is not of this earth!\W- what!?\I'll pay you whatever money you ask! So, where are these Saiyan guys now?\AHO TV- san, you're not getting the scoop on us!\We'll pay as much as you like, too.\Us, too!\Us, as well! response:	Us, too!
context: T- this definitely is not of this earth!\W- what!?\I'll pay you whatever money you ask! So, where are these Saiyan guys now?\AHO TV- san, you're not getting the scoop on us!\We'll pay as much as you like, too.\Us, too!\Us, as well!\Us, too! response:	Me, too!
context: W- what!?\I'll pay you whatever money you ask! So, where are these Saiyan guys now?\AHO TV- san, you're not getting the scoop on us!\We'll pay as much as you like, too.\Us, too!\Us, as well!\Us, too!\Me, too! response:	In that case, to keep ya all from fightin', I'll tell ya all!
context: I'll pay you whatever money you ask! So, where are these Saiyan guys now?\AHO TV- san, you're not getting the scoop on us!\We'll pay as much as you like, too.\Us, too!\Us, as well!\Us, too!\Me, too!\In that case, to keep ya all from fightin', I'll tell ya all! response:	You can stick your wads of bills in here.
context: AHO TV- san, you're not getting the scoop on us!\We'll pay as much as you like, too.\Us, too!\Us, as well!\Us, too!\Me, too!\In that case, to keep ya all from fightin', I'll tell ya all!\You can stick your wads of bills in here. response:	How's that?
context: We'll pay as much as you like, too.\Us, too!\Us, as well!\Us, too!\Me, too!\In that case, to keep ya all from fightin', I'll tell ya all!\You can stick your wads of bills in here.\How's that? response:	I got it!
context: Us, too!\Us, as well!\Us, too!\Me, too!\In that case, to keep ya all from fightin', I'll tell ya all!\You can stick your wads of bills in here.\How's that?\I got it! response:	They're that way!
context: Us, as well!\Us, too!\Me, too!\In that case, to keep ya all from fightin', I'll tell ya all!\You can stick your wads of bills in here.\How's that?\I got it!\They're that way! response:	No, this way, this way!
context: Us, too!\Me, too!\In that case, to keep ya all from fightin', I'll tell ya all!\You can stick your wads of bills in here.\How's that?\I got it!\They're that way!\No, this way, this way! response:	Lessee...
context: Me, too!\In that case, to keep ya all from fightin', I'll tell ya all!\You can stick your wads of bills in here.\How's that?\I got it!\They're that way!\No, this way, this way!\Lessee... response:	About 6000 kilometers in that direction.
context: In that case, to keep ya all from fightin', I'll tell ya all!\You can stick your wads of bills in here.\How's that?\I got it!\They're that way!\No, this way, this way!\Lessee...\About 6000 kilometers in that direction. response:	6000 kilos?
context: You can stick your wads of bills in here.\How's that?\I got it!\They're that way!\No, this way, this way!\Lessee...\About 6000 kilometers in that direction.\6000 kilos? response:	South, huh?
context: How's that?\I got it!\They're that way!\No, this way, this way!\Lessee...\About 6000 kilometers in that direction.\6000 kilos?\South, huh? response:	I won't steer ya wrong, though. You'd best not get too close to'em.
context: I got it!\They're that way!\No, this way, this way!\Lessee...\About 6000 kilometers in that direction.\6000 kilos?\South, huh?\I won't steer ya wrong, though. You'd best not get too close to'em. response:	These're some pretty horrific guys, after all.
context: They're that way!\No, this way, this way!\Lessee...\About 6000 kilometers in that direction.\6000 kilos?\South, huh?\I won't steer ya wrong, though. You'd best not get too close to'em.\These're some pretty horrific guys, after all. response:	We're going to be the first ones there, for sure!
context: No, this way, this way!\Lessee...\About 6000 kilometers in that direction.\6000 kilos?\South, huh?\I won't steer ya wrong, though. You'd best not get too close to'em.\These're some pretty horrific guys, after all.\We're going to be the first ones there, for sure! response:	No, we are!
context: Lessee...\About 6000 kilometers in that direction.\6000 kilos?\South, huh?\I won't steer ya wrong, though. You'd best not get too close to'em.\These're some pretty horrific guys, after all.\We're going to be the first ones there, for sure!\No, we are! response:	We're leaving, too!
context: About 6000 kilometers in that direction.\6000 kilos?\South, huh?\I won't steer ya wrong, though. You'd best not get too close to'em.\These're some pretty horrific guys, after all.\We're going to be the first ones there, for sure!\No, we are!\We're leaving, too! response:	We're going to capture the aliens!
context: 6000 kilos?\South, huh?\I won't steer ya wrong, though. You'd best not get too close to'em.\These're some pretty horrific guys, after all.\We're going to be the first ones there, for sure!\No, we are!\We're leaving, too!\We're going to capture the aliens! response:	Hunh, no hope for'em.
context: South, huh?\I won't steer ya wrong, though. You'd best not get too close to'em.\These're some pretty horrific guys, after all.\We're going to be the first ones there, for sure!\No, we are!\We're leaving, too!\We're going to capture the aliens!\Hunh, no hope for'em. response:	All right... I'm gonna eat my fill with this!
context: I won't steer ya wrong, though. You'd best not get too close to'em.\These're some pretty horrific guys, after all.\We're going to be the first ones there, for sure!\No, we are!\We're leaving, too!\We're going to capture the aliens!\Hunh, no hope for'em.\All right... I'm gonna eat my fill with this! response:	Could be the last meal I ever eat in this world...
context: These're some pretty horrific guys, after all.\We're going to be the first ones there, for sure!\No, we are!\We're leaving, too!\We're going to capture the aliens!\Hunh, no hope for'em.\All right... I'm gonna eat my fill with this!\Could be the last meal I ever eat in this world... response:	Prob'ly...
context: We're going to be the first ones there, for sure!\No, we are!\We're leaving, too!\We're going to capture the aliens!\Hunh, no hope for'em.\All right... I'm gonna eat my fill with this!\Could be the last meal I ever eat in this world...\Prob'ly... response:	The time was 12:20 p.m. The birds and animals
context: No, we are!\We're leaving, too!\We're going to capture the aliens!\Hunh, no hope for'em.\All right... I'm gonna eat my fill with this!\Could be the last meal I ever eat in this world...\Prob'ly...\The time was 12:20 p.m. The birds and animals response:	sensed a presence out of the ordinary, and had begun leaving the area.
context: We're leaving, too!\We're going to capture the aliens!\Hunh, no hope for'em.\All right... I'm gonna eat my fill with this!\Could be the last meal I ever eat in this world...\Prob'ly...\The time was 12:20 p.m. The birds and animals\sensed a presence out of the ordinary, and had begun leaving the area. response:	There's nothing to be afraid of. We've become so strong,
context: We're going to capture the aliens!\Hunh, no hope for'em.\All right... I'm gonna eat my fill with this!\Could be the last meal I ever eat in this world...\Prob'ly...\The time was 12:20 p.m. The birds and animals\sensed a presence out of the ordinary, and had begun leaving the area.\There's nothing to be afraid of. We've become so strong, response:	it's incomparable to what we were a year ago.
context: Hunh, no hope for'em.\All right... I'm gonna eat my fill with this!\Could be the last meal I ever eat in this world...\Prob'ly...\The time was 12:20 p.m. The birds and animals\sensed a presence out of the ordinary, and had begun leaving the area.\There's nothing to be afraid of. We've become so strong,\it's incomparable to what we were a year ago. response:	R- right!
context: All right... I'm gonna eat my fill with this!\Could be the last meal I ever eat in this world...\Prob'ly...\The time was 12:20 p.m. The birds and animals\sensed a presence out of the ordinary, and had begun leaving the area.\There's nothing to be afraid of. We've become so strong,\it's incomparable to what we were a year ago.\R- right! response:	Something is coming this way from that direction, too!
context: Could be the last meal I ever eat in this world...\Prob'ly...\The time was 12:20 p.m. The birds and animals\sensed a presence out of the ordinary, and had begun leaving the area.\There's nothing to be afraid of. We've become so strong,\it's incomparable to what we were a year ago.\R- right!\Something is coming this way from that direction, too! response:	And someone is coming from over here, as well!
context: Prob'ly...\The time was 12:20 p.m. The birds and animals\sensed a presence out of the ordinary, and had begun leaving the area.\There's nothing to be afraid of. We've become so strong,\it's incomparable to what we were a year ago.\R- right!\Something is coming this way from that direction, too!\And someone is coming from over here, as well! response:	W- weren't there only going to be two Saiyans?
context: The time was 12:20 p.m. The birds and animals\sensed a presence out of the ordinary, and had begun leaving the area.\There's nothing to be afraid of. We've become so strong,\it's incomparable to what we were a year ago.\R- right!\Something is coming this way from that direction, too!\And someone is coming from over here, as well!\W- weren't there only going to be two Saiyans? response:	A Saiyan!?
context: sensed a presence out of the ordinary, and had begun leaving the area.\There's nothing to be afraid of. We've become so strong,\it's incomparable to what we were a year ago.\R- right!\Something is coming this way from that direction, too!\And someone is coming from over here, as well!\W- weren't there only going to be two Saiyans?\A Saiyan!? response:	Hey, long time no see, Piccolo.
context: There's nothing to be afraid of. We've become so strong,\it's incomparable to what we were a year ago.\R- right!\Something is coming this way from that direction, too!\And someone is coming from over here, as well!\W- weren't there only going to be two Saiyans?\A Saiyan!?\Hey, long time no see, Piccolo. response:	Oh, it's you, huh?
context: it's incomparable to what we were a year ago.\R- right!\Something is coming this way from that direction, too!\And someone is coming from over here, as well!\W- weren't there only going to be two Saiyans?\A Saiyan!?\Hey, long time no see, Piccolo.\Oh, it's you, huh? response:	What business do you have here? Did you come to get in our way?
context: R- right!\Something is coming this way from that direction, too!\And someone is coming from over here, as well!\W- weren't there only going to be two Saiyans?\A Saiyan!?\Hey, long time no see, Piccolo.\Oh, it's you, huh?\What business do you have here? Did you come to get in our way? response:	Don't talk like that. I've improved a little, myself.
context: Something is coming this way from that direction, too!\And someone is coming from over here, as well!\W- weren't there only going to be two Saiyans?\A Saiyan!?\Hey, long time no see, Piccolo.\Oh, it's you, huh?\What business do you have here? Did you come to get in our way?\Don't talk like that. I've improved a little, myself. response:	So it appears. Looks like there are some other fools who mean to come here.
context: And someone is coming from over here, as well!\W- weren't there only going to be two Saiyans?\A Saiyan!?\Hey, long time no see, Piccolo.\Oh, it's you, huh?\What business do you have here? Did you come to get in our way?\Don't talk like that. I've improved a little, myself.\So it appears. Looks like there are some other fools who mean to come here. response:	Yeah, I'm sure everyone is coming. I guess I was just the closest one.
context: W- weren't there only going to be two Saiyans?\A Saiyan!?\Hey, long time no see, Piccolo.\Oh, it's you, huh?\What business do you have here? Did you come to get in our way?\Don't talk like that. I've improved a little, myself.\So it appears. Looks like there are some other fools who mean to come here.\Yeah, I'm sure everyone is coming. I guess I was just the closest one. response:	I remember! You're one of the people that was at the Turtle Hermit- sama's place.
context: A Saiyan!?\Hey, long time no see, Piccolo.\Oh, it's you, huh?\What business do you have here? Did you come to get in our way?\Don't talk like that. I've improved a little, myself.\So it appears. Looks like there are some other fools who mean to come here.\Yeah, I'm sure everyone is coming. I guess I was just the closest one.\I remember! You're one of the people that was at the Turtle Hermit- sama's place. response:	Yeah, Kuririn. You've beefed up quite a bit, haven't you?
context: Hey, long time no see, Piccolo.\Oh, it's you, huh?\What business do you have here? Did you come to get in our way?\Don't talk like that. I've improved a little, myself.\So it appears. Looks like there are some other fools who mean to come here.\Yeah, I'm sure everyone is coming. I guess I was just the closest one.\I remember! You're one of the people that was at the Turtle Hermit- sama's place.\Yeah, Kuririn. You've beefed up quite a bit, haven't you? response:	You're just like Goku was, when he was a kid.
context: Oh, it's you, huh?\What business do you have here? Did you come to get in our way?\Don't talk like that. I've improved a little, myself.\So it appears. Looks like there are some other fools who mean to come here.\Yeah, I'm sure everyone is coming. I guess I was just the closest one.\I remember! You're one of the people that was at the Turtle Hermit- sama's place.\Yeah, Kuririn. You've beefed up quite a bit, haven't you?\You're just like Goku was, when he was a kid. response:	You're small, but strong, right? Father said that about you a lot.
context: What business do you have here? Did you come to get in our way?\Don't talk like that. I've improved a little, myself.\So it appears. Looks like there are some other fools who mean to come here.\Yeah, I'm sure everyone is coming. I guess I was just the closest one.\I remember! You're one of the people that was at the Turtle Hermit- sama's place.\Yeah, Kuririn. You've beefed up quite a bit, haven't you?\You're just like Goku was, when he was a kid.\You're small, but strong, right? Father said that about you a lot. response:	You're going to fight alongside us, right?
context: Don't talk like that. I've improved a little, myself.\So it appears. Looks like there are some other fools who mean to come here.\Yeah, I'm sure everyone is coming. I guess I was just the closest one.\I remember! You're one of the people that was at the Turtle Hermit- sama's place.\Yeah, Kuririn. You've beefed up quite a bit, haven't you?\You're just like Goku was, when he was a kid.\You're small, but strong, right? Father said that about you a lot.\You're going to fight alongside us, right? response:	He didn't have to include that small part.
context: So it appears. Looks like there are some other fools who mean to come here.\Yeah, I'm sure everyone is coming. I guess I was just the closest one.\I remember! You're one of the people that was at the Turtle Hermit- sama's place.\Yeah, Kuririn. You've beefed up quite a bit, haven't you?\You're just like Goku was, when he was a kid.\You're small, but strong, right? Father said that about you a lot.\You're going to fight alongside us, right?\He didn't have to include that small part. response:	That jerk- he grows a little bit taller, and thinks he's so big...
context: Yeah, I'm sure everyone is coming. I guess I was just the closest one.\I remember! You're one of the people that was at the Turtle Hermit- sama's place.\Yeah, Kuririn. You've beefed up quite a bit, haven't you?\You're just like Goku was, when he was a kid.\You're small, but strong, right? Father said that about you a lot.\You're going to fight alongside us, right?\He didn't have to include that small part.\That jerk- he grows a little bit taller, and thinks he's so big... response:	Still, it must have been rough, having Piccolo train you like this, right?
context: I remember! You're one of the people that was at the Turtle Hermit- sama's place.\Yeah, Kuririn. You've beefed up quite a bit, haven't you?\You're just like Goku was, when he was a kid.\You're small, but strong, right? Father said that about you a lot.\You're going to fight alongside us, right?\He didn't have to include that small part.\That jerk- he grows a little bit taller, and thinks he's so big...\Still, it must have been rough, having Piccolo train you like this, right? response:	Mm-hmm. But Piccolo- san is a much better person than I thought.
context: Yeah, Kuririn. You've beefed up quite a bit, haven't you?\You're just like Goku was, when he was a kid.\You're small, but strong, right? Father said that about you a lot.\You're going to fight alongside us, right?\He didn't have to include that small part.\That jerk- he grows a little bit taller, and thinks he's so big...\Still, it must have been rough, having Piccolo train you like this, right?\Mm-hmm. But Piccolo- san is a much better person than I thought. response:	Enough chit-chat! They're here!
context: You're just like Goku was, when he was a kid.\You're small, but strong, right? Father said that about you a lot.\You're going to fight alongside us, right?\He didn't have to include that small part.\That jerk- he grows a little bit taller, and thinks he's so big...\Still, it must have been rough, having Piccolo train you like this, right?\Mm-hmm. But Piccolo- san is a much better person than I thought.\Enough chit-chat! They're here! response:	There they are, there they are!
context: You're small, but strong, right? Father said that about you a lot.\You're going to fight alongside us, right?\He didn't have to include that small part.\That jerk- he grows a little bit taller, and thinks he's so big...\Still, it must have been rough, having Piccolo train you like this, right?\Mm-hmm. But Piccolo- san is a much better person than I thought.\Enough chit-chat! They're here!\There they are, there they are! response:	There's one more of them now, making three tough guys.
context: You're going to fight alongside us, right?\He didn't have to include that small part.\That jerk- he grows a little bit taller, and thinks he's so big...\Still, it must have been rough, having Piccolo train you like this, right?\Mm-hmm. But Piccolo- san is a much better person than I thought.\Enough chit-chat! They're here!\There they are, there they are!\There's one more of them now, making three tough guys. response:	It appears that they know all about us.
context: He didn't have to include that small part.\That jerk- he grows a little bit taller, and thinks he's so big...\Still, it must have been rough, having Piccolo train you like this, right?\Mm-hmm. But Piccolo- san is a much better person than I thought.\Enough chit-chat! They're here!\There they are, there they are!\There's one more of them now, making three tough guys.\It appears that they know all about us. response:	T- those are the Saiyans, huh?
context: That jerk- he grows a little bit taller, and thinks he's so big...\Still, it must have been rough, having Piccolo train you like this, right?\Mm-hmm. But Piccolo- san is a much better person than I thought.\Enough chit-chat! They're here!\There they are, there they are!\There's one more of them now, making three tough guys.\It appears that they know all about us.\T- those are the Saiyans, huh? response:	Indeed, I can sense an incredible Ki from them.
context: Still, it must have been rough, having Piccolo train you like this, right?\Mm-hmm. But Piccolo- san is a much better person than I thought.\Enough chit-chat! They're here!\There they are, there they are!\There's one more of them now, making three tough guys.\It appears that they know all about us.\T- those are the Saiyans, huh?\Indeed, I can sense an incredible Ki from them. response:	D- danger truly is closing in on us!
context: Mm-hmm. But Piccolo- san is a much better person than I thought.\Enough chit-chat! They're here!\There they are, there they are!\There's one more of them now, making three tough guys.\It appears that they know all about us.\T- those are the Saiyans, huh?\Indeed, I can sense an incredible Ki from them.\D- danger truly is closing in on us! response:	It looks as though you've been waiting anxiously for us.
context: Enough chit-chat! They're here!\There they are, there they are!\There's one more of them now, making three tough guys.\It appears that they know all about us.\T- those are the Saiyans, huh?\Indeed, I can sense an incredible Ki from them.\D- danger truly is closing in on us!\It looks as though you've been waiting anxiously for us. response:	You've got that right.
context: There they are, there they are!\There's one more of them now, making three tough guys.\It appears that they know all about us.\T- those are the Saiyans, huh?\Indeed, I can sense an incredible Ki from them.\D- danger truly is closing in on us!\It looks as though you've been waiting anxiously for us.\You've got that right. response:	Just for the record, let me ask you,
context: There's one more of them now, making three tough guys.\It appears that they know all about us.\T- those are the Saiyans, huh?\Indeed, I can sense an incredible Ki from them.\D- danger truly is closing in on us!\It looks as though you've been waiting anxiously for us.\You've got that right.\Just for the record, let me ask you, response:	what the hell have you come here for?
context: It appears that they know all about us.\T- those are the Saiyans, huh?\Indeed, I can sense an incredible Ki from them.\D- danger truly is closing in on us!\It looks as though you've been waiting anxiously for us.\You've got that right.\Just for the record, let me ask you,\what the hell have you come here for? response:	That voice...
context: T- those are the Saiyans, huh?\Indeed, I can sense an incredible Ki from them.\D- danger truly is closing in on us!\It looks as though you've been waiting anxiously for us.\You've got that right.\Just for the record, let me ask you,\what the hell have you come here for?\That voice... response:	So, you're the one who defeated Raditz, right?
context: Indeed, I can sense an incredible Ki from them.\D- danger truly is closing in on us!\It looks as though you've been waiting anxiously for us.\You've got that right.\Just for the record, let me ask you,\what the hell have you come here for?\That voice...\So, you're the one who defeated Raditz, right? response:	Voice?
context: D- danger truly is closing in on us!\It looks as though you've been waiting anxiously for us.\You've got that right.\Just for the record, let me ask you,\what the hell have you come here for?\That voice...\So, you're the one who defeated Raditz, right?\Voice? response:	Didn't Raditz tell you?
context: It looks as though you've been waiting anxiously for us.\You've got that right.\Just for the record, let me ask you,\what the hell have you come here for?\That voice...\So, you're the one who defeated Raditz, right?\Voice?\Didn't Raditz tell you? response:	This acts as a communicator, too.
context: You've got that right.\Just for the record, let me ask you,\what the hell have you come here for?\That voice...\So, you're the one who defeated Raditz, right?\Voice?\Didn't Raditz tell you?\This acts as a communicator, too. response:	He's a Namekian!
context: Just for the record, let me ask you,\what the hell have you come here for?\That voice...\So, you're the one who defeated Raditz, right?\Voice?\Didn't Raditz tell you?\This acts as a communicator, too.\He's a Namekian! response:	So it would seem. I guess it's not that surprising that Raditz was done in.
context: what the hell have you come here for?\That voice...\So, you're the one who defeated Raditz, right?\Voice?\Didn't Raditz tell you?\This acts as a communicator, too.\He's a Namekian!\So it would seem. I guess it's not that surprising that Raditz was done in. response:	Namekian?
context: That voice...\So, you're the one who defeated Raditz, right?\Voice?\Didn't Raditz tell you?\This acts as a communicator, too.\He's a Namekian!\So it would seem. I guess it's not that surprising that Raditz was done in.\Namekian? response:	Piccolo! Y- you're an alien, too? That would explain...
context: So, you're the one who defeated Raditz, right?\Voice?\Didn't Raditz tell you?\This acts as a communicator, too.\He's a Namekian!\So it would seem. I guess it's not that surprising that Raditz was done in.\Namekian?\Piccolo! Y- you're an alien, too? That would explain... response:	I- is that right, Piccolo- san?
context: Voice?\Didn't Raditz tell you?\This acts as a communicator, too.\He's a Namekian!\So it would seem. I guess it's not that surprising that Raditz was done in.\Namekian?\Piccolo! Y- you're an alien, too? That would explain...\I- is that right, Piccolo- san? response:	I get it. In addition to having an unusually high battle power,
context: Didn't Raditz tell you?\This acts as a communicator, too.\He's a Namekian!\So it would seem. I guess it's not that surprising that Raditz was done in.\Namekian?\Piccolo! Y- you're an alien, too? That would explain...\I- is that right, Piccolo- san?\I get it. In addition to having an unusually high battle power, response:	I've heard that Namekians have certain remarkable abilities.
context: This acts as a communicator, too.\He's a Namekian!\So it would seem. I guess it's not that surprising that Raditz was done in.\Namekian?\Piccolo! Y- you're an alien, too? That would explain...\I- is that right, Piccolo- san?\I get it. In addition to having an unusually high battle power,\I've heard that Namekians have certain remarkable abilities. response:	l'm a Namekian?
context: He's a Namekian!\So it would seem. I guess it's not that surprising that Raditz was done in.\Namekian?\Piccolo! Y- you're an alien, too? That would explain...\I- is that right, Piccolo- san?\I get it. In addition to having an unusually high battle power,\I've heard that Namekians have certain remarkable abilities.\l'm a Namekian? response:	I've also heard that there are some of them that can perform magician-like feats.
context: So it would seem. I guess it's not that surprising that Raditz was done in.\Namekian?\Piccolo! Y- you're an alien, too? That would explain...\I- is that right, Piccolo- san?\I get it. In addition to having an unusually high battle power,\I've heard that Namekians have certain remarkable abilities.\l'm a Namekian?\I've also heard that there are some of them that can perform magician-like feats. response:	You must be the one who created these Dragon Ball things.
context: Namekian?\Piccolo! Y- you're an alien, too? That would explain...\I- is that right, Piccolo- san?\I get it. In addition to having an unusually high battle power,\I've heard that Namekians have certain remarkable abilities.\l'm a Namekian?\I've also heard that there are some of them that can perform magician-like feats.\You must be the one who created these Dragon Ball things. response:	Y- you even know about the Dragon Balls!?
context: Piccolo! Y- you're an alien, too? That would explain...\I- is that right, Piccolo- san?\I get it. In addition to having an unusually high battle power,\I've heard that Namekians have certain remarkable abilities.\l'm a Namekian?\I've also heard that there are some of them that can perform magician-like feats.\You must be the one who created these Dragon Ball things.\Y- you even know about the Dragon Balls!? response:	The Dragon Balls are our first objective.
context: I- is that right, Piccolo- san?\I get it. In addition to having an unusually high battle power,\I've heard that Namekians have certain remarkable abilities.\l'm a Namekian?\I've also heard that there are some of them that can perform magician-like feats.\You must be the one who created these Dragon Ball things.\Y- you even know about the Dragon Balls!?\The Dragon Balls are our first objective. response:	Hand them over to us without making any trouble.
context: I get it. In addition to having an unusually high battle power,\I've heard that Namekians have certain remarkable abilities.\l'm a Namekian?\I've also heard that there are some of them that can perform magician-like feats.\You must be the one who created these Dragon Ball things.\Y- you even know about the Dragon Balls!?\The Dragon Balls are our first objective.\Hand them over to us without making any trouble. response:	Even if you are Namekian, by yourself, you're no more than a housefly to us.
context: I've heard that Namekians have certain remarkable abilities.\l'm a Namekian?\I've also heard that there are some of them that can perform magician-like feats.\You must be the one who created these Dragon Ball things.\Y- you even know about the Dragon Balls!?\The Dragon Balls are our first objective.\Hand them over to us without making any trouble.\Even if you are Namekian, by yourself, you're no more than a housefly to us. response:	Thanks. Because of you, I'm more-or-less starting to understand my heritage.
context: l'm a Namekian?\I've also heard that there are some of them that can perform magician-like feats.\You must be the one who created these Dragon Ball things.\Y- you even know about the Dragon Balls!?\The Dragon Balls are our first objective.\Hand them over to us without making any trouble.\Even if you are Namekian, by yourself, you're no more than a housefly to us.\Thanks. Because of you, I'm more-or-less starting to understand my heritage. response:	But, unfortunately for you,
context: I've also heard that there are some of them that can perform magician-like feats.\You must be the one who created these Dragon Ball things.\Y- you even know about the Dragon Balls!?\The Dragon Balls are our first objective.\Hand them over to us without making any trouble.\Even if you are Namekian, by yourself, you're no more than a housefly to us.\Thanks. Because of you, I'm more-or-less starting to understand my heritage.\But, unfortunately for you, response:	I'm not the one who created the Dragon Balls.
context: You must be the one who created these Dragon Ball things.\Y- you even know about the Dragon Balls!?\The Dragon Balls are our first objective.\Hand them over to us without making any trouble.\Even if you are Namekian, by yourself, you're no more than a housefly to us.\Thanks. Because of you, I'm more-or-less starting to understand my heritage.\But, unfortunately for you,\I'm not the one who created the Dragon Balls. response:	I'm the kind that specializes in fighting, you see.
context: Y- you even know about the Dragon Balls!?\The Dragon Balls are our first objective.\Hand them over to us without making any trouble.\Even if you are Namekian, by yourself, you're no more than a housefly to us.\Thanks. Because of you, I'm more-or-less starting to understand my heritage.\But, unfortunately for you,\I'm not the one who created the Dragon Balls.\I'm the kind that specializes in fighting, you see. response:	Come try me, and we'll see whether or not I'm a housefly!
context: The Dragon Balls are our first objective.\Hand them over to us without making any trouble.\Even if you are Namekian, by yourself, you're no more than a housefly to us.\Thanks. Because of you, I'm more-or-less starting to understand my heritage.\But, unfortunately for you,\I'm not the one who created the Dragon Balls.\I'm the kind that specializes in fighting, you see.\Come try me, and we'll see whether or not I'm a housefly! response:	Kami- sama...
context: Hand them over to us without making any trouble.\Even if you are Namekian, by yourself, you're no more than a housefly to us.\Thanks. Because of you, I'm more-or-less starting to understand my heritage.\But, unfortunately for you,\I'm not the one who created the Dragon Balls.\I'm the kind that specializes in fighting, you see.\Come try me, and we'll see whether or not I'm a housefly!\Kami- sama... response:	I- I didn't know. To think that I am an alien...
context: Even if you are Namekian, by yourself, you're no more than a housefly to us.\Thanks. Because of you, I'm more-or-less starting to understand my heritage.\But, unfortunately for you,\I'm not the one who created the Dragon Balls.\I'm the kind that specializes in fighting, you see.\Come try me, and we'll see whether or not I'm a housefly!\Kami- sama...\I- I didn't know. To think that I am an alien... response:	No wonder I always felt so different from everyone else.
context: Thanks. Because of you, I'm more-or-less starting to understand my heritage.\But, unfortunately for you,\I'm not the one who created the Dragon Balls.\I'm the kind that specializes in fighting, you see.\Come try me, and we'll see whether or not I'm a housefly!\Kami- sama...\I- I didn't know. To think that I am an alien...\No wonder I always felt so different from everyone else. response:	I am definitely the one who created the Dragon Balls long ago.
context: But, unfortunately for you,\I'm not the one who created the Dragon Balls.\I'm the kind that specializes in fighting, you see.\Come try me, and we'll see whether or not I'm a housefly!\Kami- sama...\I- I didn't know. To think that I am an alien...\No wonder I always felt so different from everyone else.\I am definitely the one who created the Dragon Balls long ago. response:	Even though it was the first time I had ever made any,
context: I'm not the one who created the Dragon Balls.\I'm the kind that specializes in fighting, you see.\Come try me, and we'll see whether or not I'm a housefly!\Kami- sama...\I- I didn't know. To think that I am an alien...\No wonder I always felt so different from everyone else.\I am definitely the one who created the Dragon Balls long ago.\Even though it was the first time I had ever made any, response:	they seemed strangely familiar.
context: I'm the kind that specializes in fighting, you see.\Come try me, and we'll see whether or not I'm a housefly!\Kami- sama...\I- I didn't know. To think that I am an alien...\No wonder I always felt so different from everyone else.\I am definitely the one who created the Dragon Balls long ago.\Even though it was the first time I had ever made any,\they seemed strangely familiar. response:	There was probably someone on Planet Namek
