context: Hey! What are you looking for today? response:	Non-player characters...
context: Thank you.\And, Shiroe, thank you...\Thank you so much!\Uh, no... I didn't do anything special.\Shiroe's always been easily embarrassed.\Let me guess, Serara.\You've always been told you're the third cutest in class,\but you get more love letters than anyone! response:	H-Huh?
context: And, Shiroe, thank you...\Thank you so much!\Uh, no... I didn't do anything special.\Shiroe's always been easily embarrassed.\Let me guess, Serara.\You've always been told you're the third cutest in class,\but you get more love letters than anyone!\H-Huh? response:	My lord, I kneed that rude man in the face.
context: Thank you so much!\Uh, no... I didn't do anything special.\Shiroe's always been easily embarrassed.\Let me guess, Serara.\You've always been told you're the third cutest in class,\but you get more love letters than anyone!\H-Huh?\My lord, I kneed that rude man in the face. response:	Enough with the knees, and enough after-action reports!
context: Uh, no... I didn't do anything special.\Shiroe's always been easily embarrassed.\Let me guess, Serara.\You've always been told you're the third cutest in class,\but you get more love letters than anyone!\H-Huh?\My lord, I kneed that rude man in the face.\Enough with the knees, and enough after-action reports! response:	While I was at it, I confiscated his meat.
context: Shiroe's always been easily embarrassed.\Let me guess, Serara.\You've always been told you're the third cutest in class,\but you get more love letters than anyone!\H-Huh?\My lord, I kneed that rude man in the face.\Enough with the knees, and enough after-action reports!\While I was at it, I confiscated his meat. response:	I can't move...
context: Let me guess, Serara.\You've always been told you're the third cutest in class,\but you get more love letters than anyone!\H-Huh?\My lord, I kneed that rude man in the face.\Enough with the knees, and enough after-action reports!\While I was at it, I confiscated his meat.\I can't move... response:	You ate too much, Pigtsugu.
context: You've always been told you're the third cutest in class,\but you get more love letters than anyone!\H-Huh?\My lord, I kneed that rude man in the face.\Enough with the knees, and enough after-action reports!\While I was at it, I confiscated his meat.\I can't move...\You ate too much, Pigtsugu. response:	So you two have known each other a long time.
context: but you get more love letters than anyone!\H-Huh?\My lord, I kneed that rude man in the face.\Enough with the knees, and enough after-action reports!\While I was at it, I confiscated his meat.\I can't move...\You ate too much, Pigtsugu.\So you two have known each other a long time. response:	Right, Nyanta and Shiroe?
context: H-Huh?\My lord, I kneed that rude man in the face.\Enough with the knees, and enough after-action reports!\While I was at it, I confiscated his meat.\I can't move...\You ate too much, Pigtsugu.\So you two have known each other a long time.\Right, Nyanta and Shiroe? response:	Naotsugu, too.
context: My lord, I kneed that rude man in the face.\Enough with the knees, and enough after-action reports!\While I was at it, I confiscated his meat.\I can't move...\You ate too much, Pigtsugu.\So you two have known each other a long time.\Right, Nyanta and Shiroe?\Naotsugu, too. response:	When this was a game, we were all in the same group.
context: Enough with the knees, and enough after-action reports!\While I was at it, I confiscated his meat.\I can't move...\You ate too much, Pigtsugu.\So you two have known each other a long time.\Right, Nyanta and Shiroe?\Naotsugu, too.\When this was a game, we were all in the same group. response:	It was called the Debauchery Tea Party.
context: While I was at it, I confiscated his meat.\I can't move...\You ate too much, Pigtsugu.\So you two have known each other a long time.\Right, Nyanta and Shiroe?\Naotsugu, too.\When this was a game, we were all in the same group.\It was called the Debauchery Tea Party. response:	That's right...
context: I can't move...\You ate too much, Pigtsugu.\So you two have known each other a long time.\Right, Nyanta and Shiroe?\Naotsugu, too.\When this was a game, we were all in the same group.\It was called the Debauchery Tea Party.\That's right... response:	I heard about a legendary party that completed many difficult quests.
context: You ate too much, Pigtsugu.\So you two have known each other a long time.\Right, Nyanta and Shiroe?\Naotsugu, too.\When this was a game, we were all in the same group.\It was called the Debauchery Tea Party.\That's right...\I heard about a legendary party that completed many difficult quests. response:	That was my lord and Master Nyanta?
context: So you two have known each other a long time.\Right, Nyanta and Shiroe?\Naotsugu, too.\When this was a game, we were all in the same group.\It was called the Debauchery Tea Party.\That's right...\I heard about a legendary party that completed many difficult quests.\That was my lord and Master Nyanta? response:	And me, too!
context: Right, Nyanta and Shiroe?\Naotsugu, too.\When this was a game, we were all in the same group.\It was called the Debauchery Tea Party.\That's right...\I heard about a legendary party that completed many difficult quests.\That was my lord and Master Nyanta?\And me, too! response:	Then you were all in the same guild?
context: Naotsugu, too.\When this was a game, we were all in the same group.\It was called the Debauchery Tea Party.\That's right...\I heard about a legendary party that completed many difficult quests.\That was my lord and Master Nyanta?\And me, too!\Then you were all in the same guild? response:	It wasn't a guild. More like a hangout.
context: When this was a game, we were all in the same group.\It was called the Debauchery Tea Party.\That's right...\I heard about a legendary party that completed many difficult quests.\That was my lord and Master Nyanta?\And me, too!\Then you were all in the same guild?\It wasn't a guild. More like a hangout. response:	Each of us was in a different guild, and was quite different than the others.
context: It was called the Debauchery Tea Party.\That's right...\I heard about a legendary party that completed many difficult quests.\That was my lord and Master Nyanta?\And me, too!\Then you were all in the same guild?\It wasn't a guild. More like a hangout.\Each of us was in a different guild, and was quite different than the others. response:	We had nothing in common.
context: That's right...\I heard about a legendary party that completed many difficult quests.\That was my lord and Master Nyanta?\And me, too!\Then you were all in the same guild?\It wasn't a guild. More like a hangout.\Each of us was in a different guild, and was quite different than the others.\We had nothing in common. response:	We just happened to enjoy adventuring together.
context: I heard about a legendary party that completed many difficult quests.\That was my lord and Master Nyanta?\And me, too!\Then you were all in the same guild?\It wasn't a guild. More like a hangout.\Each of us was in a different guild, and was quite different than the others.\We had nothing in common.\We just happened to enjoy adventuring together. response:	That explains it...
context: That was my lord and Master Nyanta?\And me, too!\Then you were all in the same guild?\It wasn't a guild. More like a hangout.\Each of us was in a different guild, and was quite different than the others.\We had nothing in common.\We just happened to enjoy adventuring together.\That explains it... response:	How my master and his friends have griffons,
context: And me, too!\Then you were all in the same guild?\It wasn't a guild. More like a hangout.\Each of us was in a different guild, and was quite different than the others.\We had nothing in common.\We just happened to enjoy adventuring together.\That explains it...\How my master and his friends have griffons, response:	a high-level quest reward.
context: Then you were all in the same guild?\It wasn't a guild. More like a hangout.\Each of us was in a different guild, and was quite different than the others.\We had nothing in common.\We just happened to enjoy adventuring together.\That explains it...\How my master and his friends have griffons,\a high-level quest reward. response:	And the way they work so well together.
context: It wasn't a guild. More like a hangout.\Each of us was in a different guild, and was quite different than the others.\We had nothing in common.\We just happened to enjoy adventuring together.\That explains it...\How my master and his friends have griffons,\a high-level quest reward.\And the way they work so well together. response:	I've fought with my lord several times.
context: Each of us was in a different guild, and was quite different than the others.\We had nothing in common.\We just happened to enjoy adventuring together.\That explains it...\How my master and his friends have griffons,\a high-level quest reward.\And the way they work so well together.\I've fought with my lord several times. response:	But I couldn't even approach that...
context: We had nothing in common.\We just happened to enjoy adventuring together.\That explains it...\How my master and his friends have griffons,\a high-level quest reward.\And the way they work so well together.\I've fought with my lord several times.\But I couldn't even approach that... response:	I must practice more.
context: We just happened to enjoy adventuring together.\That explains it...\How my master and his friends have griffons,\a high-level quest reward.\And the way they work so well together.\I've fought with my lord several times.\But I couldn't even approach that...\I must practice more. response:	Akatsuki?
context: That explains it...\How my master and his friends have griffons,\a high-level quest reward.\And the way they work so well together.\I've fought with my lord several times.\But I couldn't even approach that...\I must practice more.\Akatsuki? response:	Did you eat too much?
context: How my master and his friends have griffons,\a high-level quest reward.\And the way they work so well together.\I've fought with my lord several times.\But I couldn't even approach that...\I must practice more.\Akatsuki?\Did you eat too much? response:	No...
context: a high-level quest reward.\And the way they work so well together.\I've fought with my lord several times.\But I couldn't even approach that...\I must practice more.\Akatsuki?\Did you eat too much?\No... response:	But just now, you told a lie.
context: And the way they work so well together.\I've fought with my lord several times.\But I couldn't even approach that...\I must practice more.\Akatsuki?\Did you eat too much?\No...\But just now, you told a lie. response:	Naotsugu couldn't possibly have been a member of such a legendary party.
context: I've fought with my lord several times.\But I couldn't even approach that...\I must practice more.\Akatsuki?\Did you eat too much?\No...\But just now, you told a lie.\Naotsugu couldn't possibly have been a member of such a legendary party. response:	It's true!
context: But I couldn't even approach that...\I must practice more.\Akatsuki?\Did you eat too much?\No...\But just now, you told a lie.\Naotsugu couldn't possibly have been a member of such a legendary party.\It's true! response:	That said, we went many different places.
context: I must practice more.\Akatsuki?\Did you eat too much?\No...\But just now, you told a lie.\Naotsugu couldn't possibly have been a member of such a legendary party.\It's true!\That said, we went many different places. response:	We also had many friends. It was fun!
context: Akatsuki?\Did you eat too much?\No...\But just now, you told a lie.\Naotsugu couldn't possibly have been a member of such a legendary party.\It's true!\That said, we went many different places.\We also had many friends. It was fun! response:	Meow.
context: Did you eat too much?\No...\But just now, you told a lie.\Naotsugu couldn't possibly have been a member of such a legendary party.\It's true!\That said, we went many different places.\We also had many friends. It was fun!\Meow. response:	Nyanta is so cool!
context: No...\But just now, you told a lie.\Naotsugu couldn't possibly have been a member of such a legendary party.\It's true!\That said, we went many different places.\We also had many friends. It was fun!\Meow.\Nyanta is so cool! response:	A handsome young man, kind and always willing to help!
context: But just now, you told a lie.\Naotsugu couldn't possibly have been a member of such a legendary party.\It's true!\That said, we went many different places.\We also had many friends. It was fun!\Meow.\Nyanta is so cool!\A handsome young man, kind and always willing to help! response:	No, I think he's older... A handsome middle-aged man?
context: Naotsugu couldn't possibly have been a member of such a legendary party.\It's true!\That said, we went many different places.\We also had many friends. It was fun!\Meow.\Nyanta is so cool!\A handsome young man, kind and always willing to help!\No, I think he's older... A handsome middle-aged man? response:	But he's so in shape!
context: It's true!\That said, we went many different places.\We also had many friends. It was fun!\Meow.\Nyanta is so cool!\A handsome young man, kind and always willing to help!\No, I think he's older... A handsome middle-aged man?\But he's so in shape! response:	Next to him, I look kind of fat!
context: That said, we went many different places.\We also had many friends. It was fun!\Meow.\Nyanta is so cool!\A handsome young man, kind and always willing to help!\No, I think he's older... A handsome middle-aged man?\But he's so in shape!\Next to him, I look kind of fat! response:	I am a little overweight.
context: We also had many friends. It was fun!\Meow.\Nyanta is so cool!\A handsome young man, kind and always willing to help!\No, I think he's older... A handsome middle-aged man?\But he's so in shape!\Next to him, I look kind of fat!\I am a little overweight. response:	But! But!
context: Meow.\Nyanta is so cool!\A handsome young man, kind and always willing to help!\No, I think he's older... A handsome middle-aged man?\But he's so in shape!\Next to him, I look kind of fat!\I am a little overweight.\But! But! response:	So obvious...
context: Nyanta is so cool!\A handsome young man, kind and always willing to help!\No, I think he's older... A handsome middle-aged man?\But he's so in shape!\Next to him, I look kind of fat!\I am a little overweight.\But! But!\So obvious... response:	Meow.
context: A handsome young man, kind and always willing to help!\No, I think he's older... A handsome middle-aged man?\But he's so in shape!\Next to him, I look kind of fat!\I am a little overweight.\But! But!\So obvious...\Meow. response:	So she's after middle-aged guys?
context: No, I think he's older... A handsome middle-aged man?\But he's so in shape!\Next to him, I look kind of fat!\I am a little overweight.\But! But!\So obvious...\Meow.\So she's after middle-aged guys? response:	He just seems like an adult.
context: But he's so in shape!\Next to him, I look kind of fat!\I am a little overweight.\But! But!\So obvious...\Meow.\So she's after middle-aged guys?\He just seems like an adult. response:	All that meowing is annoying, though.
context: Next to him, I look kind of fat!\I am a little overweight.\But! But!\So obvious...\Meow.\So she's after middle-aged guys?\He just seems like an adult.\All that meowing is annoying, though. response:	Serara has good taste.
context: I am a little overweight.\But! But!\So obvious...\Meow.\So she's after middle-aged guys?\He just seems like an adult.\All that meowing is annoying, though.\Serara has good taste. response:	You feel the same way about him?
context: But! But!\So obvious...\Meow.\So she's after middle-aged guys?\He just seems like an adult.\All that meowing is annoying, though.\Serara has good taste.\You feel the same way about him? response:	The master is a first-class swordsman.
context: So obvious...\Meow.\So she's after middle-aged guys?\He just seems like an adult.\All that meowing is annoying, though.\Serara has good taste.\You feel the same way about him?\The master is a first-class swordsman. response:	That said...
context: Meow.\So she's after middle-aged guys?\He just seems like an adult.\All that meowing is annoying, though.\Serara has good taste.\You feel the same way about him?\The master is a first-class swordsman.\That said... response:	Chief Nyanta is all right with them?
context: So she's after middle-aged guys?\He just seems like an adult.\All that meowing is annoying, though.\Serara has good taste.\You feel the same way about him?\The master is a first-class swordsman.\That said...\Chief Nyanta is all right with them? response:	My lord, my lord.
context: He just seems like an adult.\All that meowing is annoying, though.\Serara has good taste.\You feel the same way about him?\The master is a first-class swordsman.\That said...\Chief Nyanta is all right with them?\My lord, my lord. response:	You aren't a swordsman, but you are very talented, as well.
context: All that meowing is annoying, though.\Serara has good taste.\You feel the same way about him?\The master is a first-class swordsman.\That said...\Chief Nyanta is all right with them?\My lord, my lord.\You aren't a swordsman, but you are very talented, as well. response:	Oh... Are you trying to console me?
context: Serara has good taste.\You feel the same way about him?\The master is a first-class swordsman.\That said...\Chief Nyanta is all right with them?\My lord, my lord.\You aren't a swordsman, but you are very talented, as well.\Oh... Are you trying to console me? response:	Nope.
context: You feel the same way about him?\The master is a first-class swordsman.\That said...\Chief Nyanta is all right with them?\My lord, my lord.\You aren't a swordsman, but you are very talented, as well.\Oh... Are you trying to console me?\Nope. response:	When you see her like this, she really does look young.
context: The master is a first-class swordsman.\That said...\Chief Nyanta is all right with them?\My lord, my lord.\You aren't a swordsman, but you are very talented, as well.\Oh... Are you trying to console me?\Nope.\When you see her like this, she really does look young. response:	How old do you suppose she is?
context: That said...\Chief Nyanta is all right with them?\My lord, my lord.\You aren't a swordsman, but you are very talented, as well.\Oh... Are you trying to console me?\Nope.\When you see her like this, she really does look young.\How old do you suppose she is? response:	In this world, you can't tell by looking at them.
context: Chief Nyanta is all right with them?\My lord, my lord.\You aren't a swordsman, but you are very talented, as well.\Oh... Are you trying to console me?\Nope.\When you see her like this, she really does look young.\How old do you suppose she is?\In this world, you can't tell by looking at them. response:	Just based on looks, you'd say Akatsuki was in elemen
context: My lord, my lord.\You aren't a swordsman, but you are very talented, as well.\Oh... Are you trying to console me?\Nope.\When you see her like this, she really does look young.\How old do you suppose she is?\In this world, you can't tell by looking at them.\Just based on looks, you'd say Akatsuki was in elemen response:	Middle school, maybe?
context: You aren't a swordsman, but you are very talented, as well.\Oh... Are you trying to console me?\Nope.\When you see her like this, she really does look young.\How old do you suppose she is?\In this world, you can't tell by looking at them.\Just based on looks, you'd say Akatsuki was in elemen\Middle school, maybe? response:	Which would make her the same age as those twins.
context: Oh... Are you trying to console me?\Nope.\When you see her like this, she really does look young.\How old do you suppose she is?\In this world, you can't tell by looking at them.\Just based on looks, you'd say Akatsuki was in elemen\Middle school, maybe?\Which would make her the same age as those twins. response:	Twins?
context: Nope.\When you see her like this, she really does look young.\How old do you suppose she is?\In this world, you can't tell by looking at them.\Just based on looks, you'd say Akatsuki was in elemen\Middle school, maybe?\Which would make her the same age as those twins.\Twins? response:	I ran into them when this was a game.
context: When you see her like this, she really does look young.\How old do you suppose she is?\In this world, you can't tell by looking at them.\Just based on looks, you'd say Akatsuki was in elemen\Middle school, maybe?\Which would make her the same age as those twins.\Twins?\I ran into them when this was a game. response:	The girl was a shrine maiden, and the boy was a samurai.
context: How old do you suppose she is?\In this world, you can't tell by looking at them.\Just based on looks, you'd say Akatsuki was in elemen\Middle school, maybe?\Which would make her the same age as those twins.\Twins?\I ran into them when this was a game.\The girl was a shrine maiden, and the boy was a samurai. response:	Mister! Mister! Hey, stop!
context: In this world, you can't tell by looking at them.\Just based on looks, you'd say Akatsuki was in elemen\Middle school, maybe?\Which would make her the same age as those twins.\Twins?\I ran into them when this was a game.\The girl was a shrine maiden, and the boy was a samurai.\Mister! Mister! Hey, stop! response:	Um, may we ask something?
context: Just based on looks, you'd say Akatsuki was in elemen\Middle school, maybe?\Which would make her the same age as those twins.\Twins?\I ran into them when this was a game.\The girl was a shrine maiden, and the boy was a samurai.\Mister! Mister! Hey, stop!\Um, may we ask something? response:	Question!
context: Middle school, maybe?\Which would make her the same age as those twins.\Twins?\I ran into them when this was a game.\The girl was a shrine maiden, and the boy was a samurai.\Mister! Mister! Hey, stop!\Um, may we ask something?\Question! response:	My magic is too weak to heal my little brother's wounds.
context: Which would make her the same age as those twins.\Twins?\I ran into them when this was a game.\The girl was a shrine maiden, and the boy was a samurai.\Mister! Mister! Hey, stop!\Um, may we ask something?\Question!\My magic is too weak to heal my little brother's wounds. response:	Supposedly, we should buy items.
context: Twins?\I ran into them when this was a game.\The girl was a shrine maiden, and the boy was a samurai.\Mister! Mister! Hey, stop!\Um, may we ask something?\Question!\My magic is too weak to heal my little brother's wounds.\Supposedly, we should buy items. response:	But we don't know where they're sold...
context: I ran into them when this was a game.\The girl was a shrine maiden, and the boy was a samurai.\Mister! Mister! Hey, stop!\Um, may we ask something?\Question!\My magic is too weak to heal my little brother's wounds.\Supposedly, we should buy items.\But we don't know where they're sold... response:	I want skills, too.
context: The girl was a shrine maiden, and the boy was a samurai.\Mister! Mister! Hey, stop!\Um, may we ask something?\Question!\My magic is too weak to heal my little brother's wounds.\Supposedly, we should buy items.\But we don't know where they're sold...\I want skills, too. response:	If you know where to get them, tell us!
context: Mister! Mister! Hey, stop!\Um, may we ask something?\Question!\My magic is too weak to heal my little brother's wounds.\Supposedly, we should buy items.\But we don't know where they're sold...\I want skills, too.\If you know where to get them, tell us! response:	Is this your first day?
context: Um, may we ask something?\Question!\My magic is too weak to heal my little brother's wounds.\Supposedly, we should buy items.\But we don't know where they're sold...\I want skills, too.\If you know where to get them, tell us!\Is this your first day? response:	Yes.
context: Question!\My magic is too weak to heal my little brother's wounds.\Supposedly, we should buy items.\But we don't know where they're sold...\I want skills, too.\If you know where to get them, tell us!\Is this your first day?\Yes. response:	That's right!
context: My magic is too weak to heal my little brother's wounds.\Supposedly, we should buy items.\But we don't know where they're sold...\I want skills, too.\If you know where to get them, tell us!\Is this your first day?\Yes.\That's right! response:	Have you always been that nice?
context: Supposedly, we should buy items.\But we don't know where they're sold...\I want skills, too.\If you know where to get them, tell us!\Is this your first day?\Yes.\That's right!\Have you always been that nice? response:	I don't like it when people come to me because they want something...
context: But we don't know where they're sold...\I want skills, too.\If you know where to get them, tell us!\Is this your first day?\Yes.\That's right!\Have you always been that nice?\I don't like it when people come to me because they want something... response:	Meow...
context: I want skills, too.\If you know where to get them, tell us!\Is this your first day?\Yes.\That's right!\Have you always been that nice?\I don't like it when people come to me because they want something...\Meow... response:	But those two were beginners.
context: If you know where to get them, tell us!\Is this your first day?\Yes.\That's right!\Have you always been that nice?\I don't like it when people come to me because they want something...\Meow...\But those two were beginners. response:	They seemed to be having a great time adventuring.
context: Is this your first day?\Yes.\That's right!\Have you always been that nice?\I don't like it when people come to me because they want something...\Meow...\But those two were beginners.\They seemed to be having a great time adventuring. response:	So I showed them the ropes for a while, using the Teacher System.
context: Yes.\That's right!\Have you always been that nice?\I don't like it when people come to me because they want something...\Meow...\But those two were beginners.\They seemed to be having a great time adventuring.\So I showed them the ropes for a while, using the Teacher System. response:	Teacher System?
context: That's right!\Have you always been that nice?\I don't like it when people come to me because they want something...\Meow...\But those two were beginners.\They seemed to be having a great time adventuring.\So I showed them the ropes for a while, using the Teacher System.\Teacher System? response:	A system that lets high-level players lower their levels
context: Have you always been that nice?\I don't like it when people come to me because they want something...\Meow...\But those two were beginners.\They seemed to be having a great time adventuring.\So I showed them the ropes for a while, using the Teacher System.\Teacher System?\A system that lets high-level players lower their levels response:	to play with lower-leveled characters.
context: I don't like it when people come to me because they want something...\Meow...\But those two were beginners.\They seemed to be having a great time adventuring.\So I showed them the ropes for a while, using the Teacher System.\Teacher System?\A system that lets high-level players lower their levels\to play with lower-leveled characters. response:	Teacher System
context: Meow...\But those two were beginners.\They seemed to be having a great time adventuring.\So I showed them the ropes for a while, using the Teacher System.\Teacher System?\A system that lets high-level players lower their levels\to play with lower-leveled characters.\Teacher System response:	Hardly anyone used it.
context: But those two were beginners.\They seemed to be having a great time adventuring.\So I showed them the ropes for a while, using the Teacher System.\Teacher System?\A system that lets high-level players lower their levels\to play with lower-leveled characters.\Teacher System\Hardly anyone used it. response:	It was risky.
context: They seemed to be having a great time adventuring.\So I showed them the ropes for a while, using the Teacher System.\Teacher System?\A system that lets high-level players lower their levels\to play with lower-leveled characters.\Teacher System\Hardly anyone used it.\It was risky. response:	All your stats took a huge hit, even if only temporarily...
context: So I showed them the ropes for a while, using the Teacher System.\Teacher System?\A system that lets high-level players lower their levels\to play with lower-leveled characters.\Teacher System\Hardly anyone used it.\It was risky.\All your stats took a huge hit, even if only temporarily... response:	Why would you drop your level?
context: Teacher System?\A system that lets high-level players lower their levels\to play with lower-leveled characters.\Teacher System\Hardly anyone used it.\It was risky.\All your stats took a huge hit, even if only temporarily...\Why would you drop your level? response:	Wait, I see.
context: A system that lets high-level players lower their levels\to play with lower-leveled characters.\Teacher System\Hardly anyone used it.\It was risky.\All your stats took a huge hit, even if only temporarily...\Why would you drop your level?\Wait, I see. response:	You're pretty smart, Akatsuki.
context: to play with lower-leveled characters.\Teacher System\Hardly anyone used it.\It was risky.\All your stats took a huge hit, even if only temporarily...\Why would you drop your level?\Wait, I see.\You're pretty smart, Akatsuki. response:	And where are those two now?
context: Teacher System\Hardly anyone used it.\It was risky.\All your stats took a huge hit, even if only temporarily...\Why would you drop your level?\Wait, I see.\You're pretty smart, Akatsuki.\And where are those two now? response:	On my Friend List.
context: Hardly anyone used it.\It was risky.\All your stats took a huge hit, even if only temporarily...\Why would you drop your level?\Wait, I see.\You're pretty smart, Akatsuki.\And where are those two now?\On my Friend List. response:	Tohya Minori Shigeru Crusty
context: It was risky.\All your stats took a huge hit, even if only temporarily...\Why would you drop your level?\Wait, I see.\You're pretty smart, Akatsuki.\And where are those two now?\On my Friend List.\Tohya Minori Shigeru Crusty response:	The sister is Minori, and her younger brother is Tohya.
context: All your stats took a huge hit, even if only temporarily...\Why would you drop your level?\Wait, I see.\You're pretty smart, Akatsuki.\And where are those two now?\On my Friend List.\Tohya Minori Shigeru Crusty\The sister is Minori, and her younger brother is Tohya. response:	I saw them after the Apocalypse.
context: Why would you drop your level?\Wait, I see.\You're pretty smart, Akatsuki.\And where are those two now?\On my Friend List.\Tohya Minori Shigeru Crusty\The sister is Minori, and her younger brother is Tohya.\I saw them after the Apocalypse. response:	Then they were caught up in it.
context: Wait, I see.\You're pretty smart, Akatsuki.\And where are those two now?\On my Friend List.\Tohya Minori Shigeru Crusty\The sister is Minori, and her younger brother is Tohya.\I saw them after the Apocalypse.\Then they were caught up in it. response:	I was with them right up until it happened.
context: You're pretty smart, Akatsuki.\And where are those two now?\On my Friend List.\Tohya Minori Shigeru Crusty\The sister is Minori, and her younger brother is Tohya.\I saw them after the Apocalypse.\Then they were caught up in it.\I was with them right up until it happened. response:	Then, the next thing I knew, I was back in Akihabara.
context: And where are those two now?\On my Friend List.\Tohya Minori Shigeru Crusty\The sister is Minori, and her younger brother is Tohya.\I saw them after the Apocalypse.\Then they were caught up in it.\I was with them right up until it happened.\Then, the next thing I knew, I was back in Akihabara. response:	And they were gone.
context: On my Friend List.\Tohya Minori Shigeru Crusty\The sister is Minori, and her younger brother is Tohya.\I saw them after the Apocalypse.\Then they were caught up in it.\I was with them right up until it happened.\Then, the next thing I knew, I was back in Akihabara.\And they were gone. response:	I was also teleported, into an abandoned building.
context: Tohya Minori Shigeru Crusty\The sister is Minori, and her younger brother is Tohya.\I saw them after the Apocalypse.\Then they were caught up in it.\I was with them right up until it happened.\Then, the next thing I knew, I was back in Akihabara.\And they were gone.\I was also teleported, into an abandoned building. response:	You should have said something to them.
context: The sister is Minori, and her younger brother is Tohya.\I saw them after the Apocalypse.\Then they were caught up in it.\I was with them right up until it happened.\Then, the next thing I knew, I was back in Akihabara.\And they were gone.\I was also teleported, into an abandoned building.\You should have said something to them. response:	I'm sure they've been having a hard time.
context: I saw them after the Apocalypse.\Then they were caught up in it.\I was with them right up until it happened.\Then, the next thing I knew, I was back in Akihabara.\And they were gone.\I was also teleported, into an abandoned building.\You should have said something to them.\I'm sure they've been having a hard time. response:	Yeah.
context: Then they were caught up in it.\I was with them right up until it happened.\Then, the next thing I knew, I was back in Akihabara.\And they were gone.\I was also teleported, into an abandoned building.\You should have said something to them.\I'm sure they've been having a hard time.\Yeah. response:	Well, I'm sure he had his reasons.
context: I was with them right up until it happened.\Then, the next thing I knew, I was back in Akihabara.\And they were gone.\I was also teleported, into an abandoned building.\You should have said something to them.\I'm sure they've been having a hard time.\Yeah.\Well, I'm sure he had his reasons. response:	We had our hands full.
context: Then, the next thing I knew, I was back in Akihabara.\And they were gone.\I was also teleported, into an abandoned building.\You should have said something to them.\I'm sure they've been having a hard time.\Yeah.\Well, I'm sure he had his reasons.\We had our hands full. response:	I doubt we had the energy to spare...
context: And they were gone.\I was also teleported, into an abandoned building.\You should have said something to them.\I'm sure they've been having a hard time.\Yeah.\Well, I'm sure he had his reasons.\We had our hands full.\I doubt we had the energy to spare... response:	And when I saw them, they were both in a guild.
context: I was also teleported, into an abandoned building.\You should have said something to them.\I'm sure they've been having a hard time.\Yeah.\Well, I'm sure he had his reasons.\We had our hands full.\I doubt we had the energy to spare...\And when I saw them, they were both in a guild. response:	Yeah?
context: You should have said something to them.\I'm sure they've been having a hard time.\Yeah.\Well, I'm sure he had his reasons.\We had our hands full.\I doubt we had the energy to spare...\And when I saw them, they were both in a guild.\Yeah? response:	At the time, they were level 8.
context: I'm sure they've been having a hard time.\Yeah.\Well, I'm sure he had his reasons.\We had our hands full.\I doubt we had the energy to spare...\And when I saw them, they were both in a guild.\Yeah?\At the time, they were level 8. response:	Now, they might be a little higher.
context: Yeah.\Well, I'm sure he had his reasons.\We had our hands full.\I doubt we had the energy to spare...\And when I saw them, they were both in a guild.\Yeah?\At the time, they were level 8.\Now, they might be a little higher. response:	If they're in a guild, they should be fine.
context: Well, I'm sure he had his reasons.\We had our hands full.\I doubt we had the energy to spare...\And when I saw them, they were both in a guild.\Yeah?\At the time, they were level 8.\Now, they might be a little higher.\If they're in a guild, they should be fine. response:	By the way, Shiroe...
context: We had our hands full.\I doubt we had the energy to spare...\And when I saw them, they were both in a guild.\Yeah?\At the time, they were level 8.\Now, they might be a little higher.\If they're in a guild, they should be fine.\By the way, Shiroe... response:	Was Minori cute?
context: I doubt we had the energy to spare...\And when I saw them, they were both in a guild.\Yeah?\At the time, they were level 8.\Now, they might be a little higher.\If they're in a guild, they should be fine.\By the way, Shiroe...\Was Minori cute? response:	I don't know...
context: And when I saw them, they were both in a guild.\Yeah?\At the time, they were level 8.\Now, they might be a little higher.\If they're in a guild, they should be fine.\By the way, Shiroe...\Was Minori cute?\I don't know... response:	In the real world, all I could hear was her voice.
context: Yeah?\At the time, they were level 8.\Now, they might be a little higher.\If they're in a guild, they should be fine.\By the way, Shiroe...\Was Minori cute?\I don't know...\In the real world, all I could hear was her voice. response:	And when I saw her, I couldn't see her face.
context: At the time, they were level 8.\Now, they might be a little higher.\If they're in a guild, they should be fine.\By the way, Shiroe...\Was Minori cute?\I don't know...\In the real world, all I could hear was her voice.\And when I saw her, I couldn't see her face. response:	No, no, no.
context: Now, they might be a little higher.\If they're in a guild, they should be fine.\By the way, Shiroe...\Was Minori cute?\I don't know...\In the real world, all I could hear was her voice.\And when I saw her, I couldn't see her face.\No, no, no. response:	You can tell some things from the voice...
context: If they're in a guild, they should be fine.\By the way, Shiroe...\Was Minori cute?\I don't know...\In the real world, all I could hear was her voice.\And when I saw her, I couldn't see her face.\No, no, no.\You can tell some things from the voice... response:	Stupid pervert Naotsugu.
context: By the way, Shiroe...\Was Minori cute?\I don't know...\In the real world, all I could hear was her voice.\And when I saw her, I couldn't see her face.\No, no, no.\You can tell some things from the voice...\Stupid pervert Naotsugu. response:	Better than being a closet pervert!
context: Was Minori cute?\I don't know...\In the real world, all I could hear was her voice.\And when I saw her, I couldn't see her face.\No, no, no.\You can tell some things from the voice...\Stupid pervert Naotsugu.\Better than being a closet pervert! response:	Shut up... You're making my tea taste bad.
context: I don't know...\In the real world, all I could hear was her voice.\And when I saw her, I couldn't see her face.\No, no, no.\You can tell some things from the voice...\Stupid pervert Naotsugu.\Better than being a closet pervert!\Shut up... You're making my tea taste bad. response:	So let's talk about which is better, being closeted or open!
