context: Over a hundred years ago, response:	humanity suddenly found itself faced with a new predator.
context: Those blades are for fighting Titans.\Why are they looking at me like that?\What is this?\The Survey Corps (1) Their primary mission consists of reconnoitering outlying areas. Their objectives have changed following the Fall of Wall Maria.\The Survey Corps (2) After the Fall, their new objective is to prepare for the second operation to recapture Wall Maria by establishing supply points and routes for troop movement.\Wall Rose Interior\Trainees, keep your equipment at hand, and stand by!\And then... response:	We managed to get some gas, and retreat from Trost.
context: Why are they looking at me like that?\What is this?\The Survey Corps (1) Their primary mission consists of reconnoitering outlying areas. Their objectives have changed following the Fall of Wall Maria.\The Survey Corps (2) After the Fall, their new objective is to prepare for the second operation to recapture Wall Maria by establishing supply points and routes for troop movement.\Wall Rose Interior\Trainees, keep your equipment at hand, and stand by!\And then...\We managed to get some gas, and retreat from Trost. response:	So that's what happened...
context: What is this?\The Survey Corps (1) Their primary mission consists of reconnoitering outlying areas. Their objectives have changed following the Fall of Wall Maria.\The Survey Corps (2) After the Fall, their new objective is to prepare for the second operation to recapture Wall Maria by establishing supply points and routes for troop movement.\Wall Rose Interior\Trainees, keep your equipment at hand, and stand by!\And then...\We managed to get some gas, and retreat from Trost.\So that's what happened... response:	I'm sorry.
context: The Survey Corps (1) Their primary mission consists of reconnoitering outlying areas. Their objectives have changed following the Fall of Wall Maria.\The Survey Corps (2) After the Fall, their new objective is to prepare for the second operation to recapture Wall Maria by establishing supply points and routes for troop movement.\Wall Rose Interior\Trainees, keep your equipment at hand, and stand by!\And then...\We managed to get some gas, and retreat from Trost.\So that's what happened...\I'm sorry. response:	I requested supplies for everyone many times, but...
context: The Survey Corps (2) After the Fall, their new objective is to prepare for the second operation to recapture Wall Maria by establishing supply points and routes for troop movement.\Wall Rose Interior\Trainees, keep your equipment at hand, and stand by!\And then...\We managed to get some gas, and retreat from Trost.\So that's what happened...\I'm sorry.\I requested supplies for everyone many times, but... response:	And we finally managed to get some gas, too.
context: Wall Rose Interior\Trainees, keep your equipment at hand, and stand by!\And then...\We managed to get some gas, and retreat from Trost.\So that's what happened...\I'm sorry.\I requested supplies for everyone many times, but...\And we finally managed to get some gas, too. response:	Th-Then does that mean that everyone who isn't here...
context: Trainees, keep your equipment at hand, and stand by!\And then...\We managed to get some gas, and retreat from Trost.\So that's what happened...\I'm sorry.\I requested supplies for everyone many times, but...\And we finally managed to get some gas, too.\Th-Then does that mean that everyone who isn't here... response:	Yeah.
context: And then...\We managed to get some gas, and retreat from Trost.\So that's what happened...\I'm sorry.\I requested supplies for everyone many times, but...\And we finally managed to get some gas, too.\Th-Then does that mean that everyone who isn't here...\Yeah. response:	Even Mikasa?
context: We managed to get some gas, and retreat from Trost.\So that's what happened...\I'm sorry.\I requested supplies for everyone many times, but...\And we finally managed to get some gas, too.\Th-Then does that mean that everyone who isn't here...\Yeah.\Even Mikasa? response:	N-No...
context: So that's what happened...\I'm sorry.\I requested supplies for everyone many times, but...\And we finally managed to get some gas, too.\Th-Then does that mean that everyone who isn't here...\Yeah.\Even Mikasa?\N-No... response:	I thought Mikasa came back later with Jean and the rest.
context: I'm sorry.\I requested supplies for everyone many times, but...\And we finally managed to get some gas, too.\Th-Then does that mean that everyone who isn't here...\Yeah.\Even Mikasa?\N-No...\I thought Mikasa came back later with Jean and the rest. response:	Jean, don't tell me Mikasa was injured.
context: I requested supplies for everyone many times, but...\And we finally managed to get some gas, too.\Th-Then does that mean that everyone who isn't here...\Yeah.\Even Mikasa?\N-No...\I thought Mikasa came back later with Jean and the rest.\Jean, don't tell me Mikasa was injured. response:	Hey, what's wrong?
context: And we finally managed to get some gas, too.\Th-Then does that mean that everyone who isn't here...\Yeah.\Even Mikasa?\N-No...\I thought Mikasa came back later with Jean and the rest.\Jean, don't tell me Mikasa was injured.\Hey, what's wrong? response:	We've been ordered to keep it a secret.
context: Th-Then does that mean that everyone who isn't here...\Yeah.\Even Mikasa?\N-No...\I thought Mikasa came back later with Jean and the rest.\Jean, don't tell me Mikasa was injured.\Hey, what's wrong?\We've been ordered to keep it a secret. response:	I can't discuss it.
context: Yeah.\Even Mikasa?\N-No...\I thought Mikasa came back later with Jean and the rest.\Jean, don't tell me Mikasa was injured.\Hey, what's wrong?\We've been ordered to keep it a secret.\I can't discuss it. response:	Keep it a secret?
context: Even Mikasa?\N-No...\I thought Mikasa came back later with Jean and the rest.\Jean, don't tell me Mikasa was injured.\Hey, what's wrong?\We've been ordered to keep it a secret.\I can't discuss it.\Keep it a secret? response:	What?
context: N-No...\I thought Mikasa came back later with Jean and the rest.\Jean, don't tell me Mikasa was injured.\Hey, what's wrong?\We've been ordered to keep it a secret.\I can't discuss it.\Keep it a secret?\What? response:	Of course, it won't stay secret for long...
context: I thought Mikasa came back later with Jean and the rest.\Jean, don't tell me Mikasa was injured.\Hey, what's wrong?\We've been ordered to keep it a secret.\I can't discuss it.\Keep it a secret?\What?\Of course, it won't stay secret for long... response:	Before long, all humanity will know about it.
context: Jean, don't tell me Mikasa was injured.\Hey, what's wrong?\We've been ordered to keep it a secret.\I can't discuss it.\Keep it a secret?\What?\Of course, it won't stay secret for long...\Before long, all humanity will know about it. response:	Assuming humanity lasts that long...
context: Hey, what's wrong?\We've been ordered to keep it a secret.\I can't discuss it.\Keep it a secret?\What?\Of course, it won't stay secret for long...\Before long, all humanity will know about it.\Assuming humanity lasts that long... response:	A fortification of flesh, made from Titans.
context: We've been ordered to keep it a secret.\I can't discuss it.\Keep it a secret?\What?\Of course, it won't stay secret for long...\Before long, all humanity will know about it.\Assuming humanity lasts that long...\A fortification of flesh, made from Titans. response:	The engineers are pretty smart.
context: I can't discuss it.\Keep it a secret?\What?\Of course, it won't stay secret for long...\Before long, all humanity will know about it.\Assuming humanity lasts that long...\A fortification of flesh, made from Titans.\The engineers are pretty smart. response:	But we can't lower our guard.
context: Keep it a secret?\What?\Of course, it won't stay secret for long...\Before long, all humanity will know about it.\Assuming humanity lasts that long...\A fortification of flesh, made from Titans.\The engineers are pretty smart.\But we can't lower our guard. response:	We stand at the front lines of the war between humanity and the Titans...
context: What?\Of course, it won't stay secret for long...\Before long, all humanity will know about it.\Assuming humanity lasts that long...\A fortification of flesh, made from Titans.\The engineers are pretty smart.\But we can't lower our guard.\We stand at the front lines of the war between humanity and the Titans... response:	at the precipice.
context: Of course, it won't stay secret for long...\Before long, all humanity will know about it.\Assuming humanity lasts that long...\A fortification of flesh, made from Titans.\The engineers are pretty smart.\But we can't lower our guard.\We stand at the front lines of the war between humanity and the Titans...\at the precipice. response:	What's wrong?
context: Before long, all humanity will know about it.\Assuming humanity lasts that long...\A fortification of flesh, made from Titans.\The engineers are pretty smart.\But we can't lower our guard.\We stand at the front lines of the war between humanity and the Titans...\at the precipice.\What's wrong? response:	Nothing.
context: Assuming humanity lasts that long...\A fortification of flesh, made from Titans.\The engineers are pretty smart.\But we can't lower our guard.\We stand at the front lines of the war between humanity and the Titans...\at the precipice.\What's wrong?\Nothing. response:	It won't interfere with the mission.
context: A fortification of flesh, made from Titans.\The engineers are pretty smart.\But we can't lower our guard.\We stand at the front lines of the war between humanity and the Titans...\at the precipice.\What's wrong?\Nothing.\It won't interfere with the mission. response:	But I'm worried about my friends in the vanguard.
context: The engineers are pretty smart.\But we can't lower our guard.\We stand at the front lines of the war between humanity and the Titans...\at the precipice.\What's wrong?\Nothing.\It won't interfere with the mission.\But I'm worried about my friends in the vanguard. response:	The messenger I just saw on his way to HQ looked pale.
context: But we can't lower our guard.\We stand at the front lines of the war between humanity and the Titans...\at the precipice.\What's wrong?\Nothing.\It won't interfere with the mission.\But I'm worried about my friends in the vanguard.\The messenger I just saw on his way to HQ looked pale. response:	Yeah,
context: We stand at the front lines of the war between humanity and the Titans...\at the precipice.\What's wrong?\Nothing.\It won't interfere with the mission.\But I'm worried about my friends in the vanguard.\The messenger I just saw on his way to HQ looked pale.\Yeah, response:	but we simply need to fend off the Titans, just as we trained.
context: at the precipice.\What's wrong?\Nothing.\It won't interfere with the mission.\But I'm worried about my friends in the vanguard.\The messenger I just saw on his way to HQ looked pale.\Yeah,\but we simply need to fend off the Titans, just as we trained. response:	Captain Hannes, I heard that the three children who escaped with you
context: What's wrong?\Nothing.\It won't interfere with the mission.\But I'm worried about my friends in the vanguard.\The messenger I just saw on his way to HQ looked pale.\Yeah,\but we simply need to fend off the Titans, just as we trained.\Captain Hannes, I heard that the three children who escaped with you response:	five years ago are trainees now.
context: Nothing.\It won't interfere with the mission.\But I'm worried about my friends in the vanguard.\The messenger I just saw on his way to HQ looked pale.\Yeah,\but we simply need to fend off the Titans, just as we trained.\Captain Hannes, I heard that the three children who escaped with you\five years ago are trainees now. response:	Were they in the vanguard?
context: It won't interfere with the mission.\But I'm worried about my friends in the vanguard.\The messenger I just saw on his way to HQ looked pale.\Yeah,\but we simply need to fend off the Titans, just as we trained.\Captain Hannes, I heard that the three children who escaped with you\five years ago are trainees now.\Were they in the vanguard? response:	Yes.
context: But I'm worried about my friends in the vanguard.\The messenger I just saw on his way to HQ looked pale.\Yeah,\but we simply need to fend off the Titans, just as we trained.\Captain Hannes, I heard that the three children who escaped with you\five years ago are trainees now.\Were they in the vanguard?\Yes. response:	I'm sorry.
context: The messenger I just saw on his way to HQ looked pale.\Yeah,\but we simply need to fend off the Titans, just as we trained.\Captain Hannes, I heard that the three children who escaped with you\five years ago are trainees now.\Were they in the vanguard?\Yes.\I'm sorry. response:	I shouldn't have said anything.
context: Yeah,\but we simply need to fend off the Titans, just as we trained.\Captain Hannes, I heard that the three children who escaped with you\five years ago are trainees now.\Were they in the vanguard?\Yes.\I'm sorry.\I shouldn't have said anything. response:	They're safe.
context: but we simply need to fend off the Titans, just as we trained.\Captain Hannes, I heard that the three children who escaped with you\five years ago are trainees now.\Were they in the vanguard?\Yes.\I'm sorry.\I shouldn't have said anything.\They're safe. response:	They're tough.
context: Captain Hannes, I heard that the three children who escaped with you\five years ago are trainees now.\Were they in the vanguard?\Yes.\I'm sorry.\I shouldn't have said anything.\They're safe.\They're tough. response:	Each possesses a means of survival.
context: five years ago are trainees now.\Were they in the vanguard?\Yes.\I'm sorry.\I shouldn't have said anything.\They're safe.\They're tough.\Each possesses a means of survival. response:	One excels in combat.
context: Were they in the vanguard?\Yes.\I'm sorry.\I shouldn't have said anything.\They're safe.\They're tough.\Each possesses a means of survival.\One excels in combat. response:	One has formidable resolve.
context: Yes.\I'm sorry.\I shouldn't have said anything.\They're safe.\They're tough.\Each possesses a means of survival.\One excels in combat.\One has formidable resolve. response:	And one has a brilliant mind.
context: I'm sorry.\I shouldn't have said anything.\They're safe.\They're tough.\Each possesses a means of survival.\One excels in combat.\One has formidable resolve.\And one has a brilliant mind. response:	They're safe.
context: I shouldn't have said anything.\They're safe.\They're tough.\Each possesses a means of survival.\One excels in combat.\One has formidable resolve.\And one has a brilliant mind.\They're safe. response:	I know they've survived.
context: They're safe.\They're tough.\Each possesses a means of survival.\One excels in combat.\One has formidable resolve.\And one has a brilliant mind.\They're safe.\I know they've survived. response:	Trainee Jaeger!
context: They're tough.\Each possesses a means of survival.\One excels in combat.\One has formidable resolve.\And one has a brilliant mind.\They're safe.\I know they've survived.\Trainee Jaeger! response:	As well as Trainees Ackerman and Arlert...
context: Each possesses a means of survival.\One excels in combat.\One has formidable resolve.\And one has a brilliant mind.\They're safe.\I know they've survived.\Trainee Jaeger!\As well as Trainees Ackerman and Arlert... response:	What you're doing right now is an act of treason!
context: One excels in combat.\One has formidable resolve.\And one has a brilliant mind.\They're safe.\I know they've survived.\Trainee Jaeger!\As well as Trainees Ackerman and Arlert...\What you're doing right now is an act of treason! response:	We may decide to kill you on the spot!
context: One has formidable resolve.\And one has a brilliant mind.\They're safe.\I know they've survived.\Trainee Jaeger!\As well as Trainees Ackerman and Arlert...\What you're doing right now is an act of treason!\We may decide to kill you on the spot! response:	If you attempt to lie to us, or make a single move,
context: And one has a brilliant mind.\They're safe.\I know they've survived.\Trainee Jaeger!\As well as Trainees Ackerman and Arlert...\What you're doing right now is an act of treason!\We may decide to kill you on the spot!\If you attempt to lie to us, or make a single move, response:	we will fire an HE Projectile at you immediately.
context: They're safe.\I know they've survived.\Trainee Jaeger!\As well as Trainees Ackerman and Arlert...\What you're doing right now is an act of treason!\We may decide to kill you on the spot!\If you attempt to lie to us, or make a single move,\we will fire an HE Projectile at you immediately. response:	We will not hesitate!
context: I know they've survived.\Trainee Jaeger!\As well as Trainees Ackerman and Arlert...\What you're doing right now is an act of treason!\We may decide to kill you on the spot!\If you attempt to lie to us, or make a single move,\we will fire an HE Projectile at you immediately.\We will not hesitate! response:	Huh?
context: Trainee Jaeger!\As well as Trainees Ackerman and Arlert...\What you're doing right now is an act of treason!\We may decide to kill you on the spot!\If you attempt to lie to us, or make a single move,\we will fire an HE Projectile at you immediately.\We will not hesitate!\Huh? response:	Answer me at once!
context: As well as Trainees Ackerman and Arlert...\What you're doing right now is an act of treason!\We may decide to kill you on the spot!\If you attempt to lie to us, or make a single move,\we will fire an HE Projectile at you immediately.\We will not hesitate!\Huh?\Answer me at once! response:	What are you?!
context: What you're doing right now is an act of treason!\We may decide to kill you on the spot!\If you attempt to lie to us, or make a single move,\we will fire an HE Projectile at you immediately.\We will not hesitate!\Huh?\Answer me at once!\What are you?! response:	Are you a man? Or a Titan?
context: We may decide to kill you on the spot!\If you attempt to lie to us, or make a single move,\we will fire an HE Projectile at you immediately.\We will not hesitate!\Huh?\Answer me at once!\What are you?!\Are you a man? Or a Titan? response:	What kind of question is that?
context: If you attempt to lie to us, or make a single move,\we will fire an HE Projectile at you immediately.\We will not hesitate!\Huh?\Answer me at once!\What are you?!\Are you a man? Or a Titan?\What kind of question is that? response:	Why look at me like that?
context: we will fire an HE Projectile at you immediately.\We will not hesitate!\Huh?\Answer me at once!\What are you?!\Are you a man? Or a Titan?\What kind of question is that?\Why look at me like that? response:	Looking at me as if I'm a monster...
context: We will not hesitate!\Huh?\Answer me at once!\What are you?!\Are you a man? Or a Titan?\What kind of question is that?\Why look at me like that?\Looking at me as if I'm a monster... response:	Is that what they think I am?
context: Huh?\Answer me at once!\What are you?!\Are you a man? Or a Titan?\What kind of question is that?\Why look at me like that?\Looking at me as if I'm a monster...\Is that what they think I am? response:	I d-don't understand the question!
context: Answer me at once!\What are you?!\Are you a man? Or a Titan?\What kind of question is that?\Why look at me like that?\Looking at me as if I'm a monster...\Is that what they think I am?\I d-don't understand the question! response:	He's pretending to know nothing?
context: What are you?!\Are you a man? Or a Titan?\What kind of question is that?\Why look at me like that?\Looking at me as if I'm a monster...\Is that what they think I am?\I d-don't understand the question!\He's pretending to know nothing? response:	Monster!
context: Are you a man? Or a Titan?\What kind of question is that?\Why look at me like that?\Looking at me as if I'm a monster...\Is that what they think I am?\I d-don't understand the question!\He's pretending to know nothing?\Monster! response:	Try that again, and I'll blow you to pieces.
context: What kind of question is that?\Why look at me like that?\Looking at me as if I'm a monster...\Is that what they think I am?\I d-don't understand the question!\He's pretending to know nothing?\Monster!\Try that again, and I'll blow you to pieces. response:	It just takes an instant!
context: Why look at me like that?\Looking at me as if I'm a monster...\Is that what they think I am?\I d-don't understand the question!\He's pretending to know nothing?\Monster!\Try that again, and I'll blow you to pieces.\It just takes an instant! response:	You won't have time to reveal your true form!
context: Looking at me as if I'm a monster...\Is that what they think I am?\I d-don't understand the question!\He's pretending to know nothing?\Monster!\Try that again, and I'll blow you to pieces.\It just takes an instant!\You won't have time to reveal your true form! response:	True form?
context: Is that what they think I am?\I d-don't understand the question!\He's pretending to know nothing?\Monster!\Try that again, and I'll blow you to pieces.\It just takes an instant!\You won't have time to reveal your true form!\True form? response:	Plenty of people saw you,
context: I d-don't understand the question!\He's pretending to know nothing?\Monster!\Try that again, and I'll blow you to pieces.\It just takes an instant!\You won't have time to reveal your true form!\True form?\Plenty of people saw you, response:	as you emerged from within a Titan!
context: He's pretending to know nothing?\Monster!\Try that again, and I'll blow you to pieces.\It just takes an instant!\You won't have time to reveal your true form!\True form?\Plenty of people saw you,\as you emerged from within a Titan! response:	Humanity has permitted an unknown creature like you to infiltrate Wall Rose!
context: Monster!\Try that again, and I'll blow you to pieces.\It just takes an instant!\You won't have time to reveal your true form!\True form?\Plenty of people saw you,\as you emerged from within a Titan!\Humanity has permitted an unknown creature like you to infiltrate Wall Rose! response:	Even if you are trainees given to us by the King,
context: Try that again, and I'll blow you to pieces.\It just takes an instant!\You won't have time to reveal your true form!\True form?\Plenty of people saw you,\as you emerged from within a Titan!\Humanity has permitted an unknown creature like you to infiltrate Wall Rose!\Even if you are trainees given to us by the King, response:	the safest course is to eliminate the risk immediately!
context: It just takes an instant!\You won't have time to reveal your true form!\True form?\Plenty of people saw you,\as you emerged from within a Titan!\Humanity has permitted an unknown creature like you to infiltrate Wall Rose!\Even if you are trainees given to us by the King,\the safest course is to eliminate the risk immediately! response:	My thinking is correct!
context: You won't have time to reveal your true form!\True form?\Plenty of people saw you,\as you emerged from within a Titan!\Humanity has permitted an unknown creature like you to infiltrate Wall Rose!\Even if you are trainees given to us by the King,\the safest course is to eliminate the risk immediately!\My thinking is correct! response:	The Armored Titan that destroyed Wall Maria could appear at any minute.
context: True form?\Plenty of people saw you,\as you emerged from within a Titan!\Humanity has permitted an unknown creature like you to infiltrate Wall Rose!\Even if you are trainees given to us by the King,\the safest course is to eliminate the risk immediately!\My thinking is correct!\The Armored Titan that destroyed Wall Maria could appear at any minute. response:	Right now, humanity is at risk of annihilation!
context: Plenty of people saw you,\as you emerged from within a Titan!\Humanity has permitted an unknown creature like you to infiltrate Wall Rose!\Even if you are trainees given to us by the King,\the safest course is to eliminate the risk immediately!\My thinking is correct!\The Armored Titan that destroyed Wall Maria could appear at any minute.\Right now, humanity is at risk of annihilation! response:	Do you understand?
context: as you emerged from within a Titan!\Humanity has permitted an unknown creature like you to infiltrate Wall Rose!\Even if you are trainees given to us by the King,\the safest course is to eliminate the risk immediately!\My thinking is correct!\The Armored Titan that destroyed Wall Maria could appear at any minute.\Right now, humanity is at risk of annihilation!\Do you understand? response:	We can't waste more time or troops on you!
context: Humanity has permitted an unknown creature like you to infiltrate Wall Rose!\Even if you are trainees given to us by the King,\the safest course is to eliminate the risk immediately!\My thinking is correct!\The Armored Titan that destroyed Wall Maria could appear at any minute.\Right now, humanity is at risk of annihilation!\Do you understand?\We can't waste more time or troops on you! response:	I will fire an HE Projectile at you without hesitation!
context: Even if you are trainees given to us by the King,\the safest course is to eliminate the risk immediately!\My thinking is correct!\The Armored Titan that destroyed Wall Maria could appear at any minute.\Right now, humanity is at risk of annihilation!\Do you understand?\We can't waste more time or troops on you!\I will fire an HE Projectile at you without hesitation! response:	It's true that they aren't being cooperative.
context: the safest course is to eliminate the risk immediately!\My thinking is correct!\The Armored Titan that destroyed Wall Maria could appear at any minute.\Right now, humanity is at risk of annihilation!\Do you understand?\We can't waste more time or troops on you!\I will fire an HE Projectile at you without hesitation!\It's true that they aren't being cooperative. response:	We aren't likely to get any useful information out of them.
context: My thinking is correct!\The Armored Titan that destroyed Wall Maria could appear at any minute.\Right now, humanity is at risk of annihilation!\Do you understand?\We can't waste more time or troops on you!\I will fire an HE Projectile at you without hesitation!\It's true that they aren't being cooperative.\We aren't likely to get any useful information out of them. response:	You're right, Sir. We're wasting time and troops.
context: The Armored Titan that destroyed Wall Maria could appear at any minute.\Right now, humanity is at risk of annihilation!\Do you understand?\We can't waste more time or troops on you!\I will fire an HE Projectile at you without hesitation!\It's true that they aren't being cooperative.\We aren't likely to get any useful information out of them.\You're right, Sir. We're wasting time and troops. response:	Captain, this is our chance!
context: Right now, humanity is at risk of annihilation!\Do you understand?\We can't waste more time or troops on you!\I will fire an HE Projectile at you without hesitation!\It's true that they aren't being cooperative.\We aren't likely to get any useful information out of them.\You're right, Sir. We're wasting time and troops.\Captain, this is our chance! response:	If we dismember him while he pretends to be human...
context: Do you understand?\We can't waste more time or troops on you!\I will fire an HE Projectile at you without hesitation!\It's true that they aren't being cooperative.\We aren't likely to get any useful information out of them.\You're right, Sir. We're wasting time and troops.\Captain, this is our chance!\If we dismember him while he pretends to be human... response:	My specialty is
context: We can't waste more time or troops on you!\I will fire an HE Projectile at you without hesitation!\It's true that they aren't being cooperative.\We aren't likely to get any useful information out of them.\You're right, Sir. We're wasting time and troops.\Captain, this is our chance!\If we dismember him while he pretends to be human...\My specialty is response:	tearing through flesh.
context: I will fire an HE Projectile at you without hesitation!\It's true that they aren't being cooperative.\We aren't likely to get any useful information out of them.\You're right, Sir. We're wasting time and troops.\Captain, this is our chance!\If we dismember him while he pretends to be human...\My specialty is\tearing through flesh. response:	If necessary, I am willing to demonstrate at any time.
context: It's true that they aren't being cooperative.\We aren't likely to get any useful information out of them.\You're right, Sir. We're wasting time and troops.\Captain, this is our chance!\If we dismember him while he pretends to be human...\My specialty is\tearing through flesh.\If necessary, I am willing to demonstrate at any time. response:	If anyone would like to experience it firsthand,
context: We aren't likely to get any useful information out of them.\You're right, Sir. We're wasting time and troops.\Captain, this is our chance!\If we dismember him while he pretends to be human...\My specialty is\tearing through flesh.\If necessary, I am willing to demonstrate at any time.\If anyone would like to experience it firsthand, response:	I invite them to be the first to approach.
context: You're right, Sir. We're wasting time and troops.\Captain, this is our chance!\If we dismember him while he pretends to be human...\My specialty is\tearing through flesh.\If necessary, I am willing to demonstrate at any time.\If anyone would like to experience it firsthand,\I invite them to be the first to approach. response:	Captain, Mikasa Ackerman was in the rearguard with us.
context: Captain, this is our chance!\If we dismember him while he pretends to be human...\My specialty is\tearing through flesh.\If necessary, I am willing to demonstrate at any time.\If anyone would like to experience it firsthand,\I invite them to be the first to approach.\Captain, Mikasa Ackerman was in the rearguard with us. response:	She is worth a hundred other soldiers.
context: If we dismember him while he pretends to be human...\My specialty is\tearing through flesh.\If necessary, I am willing to demonstrate at any time.\If anyone would like to experience it firsthand,\I invite them to be the first to approach.\Captain, Mikasa Ackerman was in the rearguard with us.\She is worth a hundred other soldiers. response:	Her loss would be a critical blow to humanity.
context: My specialty is\tearing through flesh.\If necessary, I am willing to demonstrate at any time.\If anyone would like to experience it firsthand,\I invite them to be the first to approach.\Captain, Mikasa Ackerman was in the rearguard with us.\She is worth a hundred other soldiers.\Her loss would be a critical blow to humanity. response:	Hey...
context: tearing through flesh.\If necessary, I am willing to demonstrate at any time.\If anyone would like to experience it firsthand,\I invite them to be the first to approach.\Captain, Mikasa Ackerman was in the rearguard with us.\She is worth a hundred other soldiers.\Her loss would be a critical blow to humanity.\Hey... response:	Mikasa... Armin! What's going on here?
context: If necessary, I am willing to demonstrate at any time.\If anyone would like to experience it firsthand,\I invite them to be the first to approach.\Captain, Mikasa Ackerman was in the rearguard with us.\She is worth a hundred other soldiers.\Her loss would be a critical blow to humanity.\Hey...\Mikasa... Armin! What's going on here? response:	Mikasa!
context: If anyone would like to experience it firsthand,\I invite them to be the first to approach.\Captain, Mikasa Ackerman was in the rearguard with us.\She is worth a hundred other soldiers.\Her loss would be a critical blow to humanity.\Hey...\Mikasa... Armin! What's going on here?\Mikasa! response:	You can't fight another human!
context: I invite them to be the first to approach.\Captain, Mikasa Ackerman was in the rearguard with us.\She is worth a hundred other soldiers.\Her loss would be a critical blow to humanity.\Hey...\Mikasa... Armin! What's going on here?\Mikasa!\You can't fight another human! response:	Where could we run within these cramped walls?
context: Captain, Mikasa Ackerman was in the rearguard with us.\She is worth a hundred other soldiers.\Her loss would be a critical blow to humanity.\Hey...\Mikasa... Armin! What's going on here?\Mikasa!\You can't fight another human!\Where could we run within these cramped walls? response:	It doesn't matter who I must fight.
context: She is worth a hundred other soldiers.\Her loss would be a critical blow to humanity.\Hey...\Mikasa... Armin! What's going on here?\Mikasa!\You can't fight another human!\Where could we run within these cramped walls?\It doesn't matter who I must fight. response:	I won't let anyone kill Eren.
context: Her loss would be a critical blow to humanity.\Hey...\Mikasa... Armin! What's going on here?\Mikasa!\You can't fight another human!\Where could we run within these cramped walls?\It doesn't matter who I must fight.\I won't let anyone kill Eren. response:	I don't need any other reason.
context: Hey...\Mikasa... Armin! What's going on here?\Mikasa!\You can't fight another human!\Where could we run within these cramped walls?\It doesn't matter who I must fight.\I won't let anyone kill Eren.\I don't need any other reason. response:	Let's talk this through!
context: Mikasa... Armin! What's going on here?\Mikasa!\You can't fight another human!\Where could we run within these cramped walls?\It doesn't matter who I must fight.\I won't let anyone kill Eren.\I don't need any other reason.\Let's talk this through! response:	No one knows what's going on,
context: Mikasa!\You can't fight another human!\Where could we run within these cramped walls?\It doesn't matter who I must fight.\I won't let anyone kill Eren.\I don't need any other reason.\Let's talk this through!\No one knows what's going on, response:	so they're ruled by fear!
context: You can't fight another human!\Where could we run within these cramped walls?\It doesn't matter who I must fight.\I won't let anyone kill Eren.\I don't need any other reason.\Let's talk this through!\No one knows what's going on,\so they're ruled by fear! response:	Am I the only one who thinks I'm not a Titan?
context: Where could we run within these cramped walls?\It doesn't matter who I must fight.\I won't let anyone kill Eren.\I don't need any other reason.\Let's talk this through!\No one knows what's going on,\so they're ruled by fear!\Am I the only one who thinks I'm not a Titan? response:	Damn it.
context: It doesn't matter who I must fight.\I won't let anyone kill Eren.\I don't need any other reason.\Let's talk this through!\No one knows what's going on,\so they're ruled by fear!\Am I the only one who thinks I'm not a Titan?\Damn it. response:	I don't remember how I got here!
context: I won't let anyone kill Eren.\I don't need any other reason.\Let's talk this through!\No one knows what's going on,\so they're ruled by fear!\Am I the only one who thinks I'm not a Titan?\Damn it.\I don't remember how I got here! response:	I'm too exhausted to move,
context: I don't need any other reason.\Let's talk this through!\No one knows what's going on,\so they're ruled by fear!\Am I the only one who thinks I'm not a Titan?\Damn it.\I don't remember how I got here!\I'm too exhausted to move, response:	and if I say anything, they'll probably kill me.
context: Let's talk this through!\No one knows what's going on,\so they're ruled by fear!\Am I the only one who thinks I'm not a Titan?\Damn it.\I don't remember how I got here!\I'm too exhausted to move,\and if I say anything, they'll probably kill me. response:	Killed by a human?
context: No one knows what's going on,\so they're ruled by fear!\Am I the only one who thinks I'm not a Titan?\Damn it.\I don't remember how I got here!\I'm too exhausted to move,\and if I say anything, they'll probably kill me.\Killed by a human? response:	That's ridiculous!
context: so they're ruled by fear!\Am I the only one who thinks I'm not a Titan?\Damn it.\I don't remember how I got here!\I'm too exhausted to move,\and if I say anything, they'll probably kill me.\Killed by a human?\That's ridiculous! response:	What is this about, anyway?
context: Am I the only one who thinks I'm not a Titan?\Damn it.\I don't remember how I got here!\I'm too exhausted to move,\and if I say anything, they'll probably kill me.\Killed by a human?\That's ridiculous!\What is this about, anyway? response:	I came out of a Titan?
context: Damn it.\I don't remember how I got here!\I'm too exhausted to move,\and if I say anything, they'll probably kill me.\Killed by a human?\That's ridiculous!\What is this about, anyway?\I came out of a Titan? response:	What are they talking about?! What the hell is going on?!
context: I don't remember how I got here!\I'm too exhausted to move,\and if I say anything, they'll probably kill me.\Killed by a human?\That's ridiculous!\What is this about, anyway?\I came out of a Titan?\What are they talking about?! What the hell is going on?! response:	Wasn't that a dream?
context: I'm too exhausted to move,\and if I say anything, they'll probably kill me.\Killed by a human?\That's ridiculous!\What is this about, anyway?\I came out of a Titan?\What are they talking about?! What the hell is going on?!\Wasn't that a dream? response:	If it wasn't...
context: and if I say anything, they'll probably kill me.\Killed by a human?\That's ridiculous!\What is this about, anyway?\I came out of a Titan?\What are they talking about?! What the hell is going on?!\Wasn't that a dream?\If it wasn't... response:	Then my arm regrew where my clothes are missing...
context: Killed by a human?\That's ridiculous!\What is this about, anyway?\I came out of a Titan?\What are they talking about?! What the hell is going on?!\Wasn't that a dream?\If it wasn't...\Then my arm regrew where my clothes are missing... response:	That'd make me just like a Titan!
