context: Captain's log, March 3rd. response:	DRAGONs appeared.
context: This is a bath.\So we all have to wash off our dirt first.\There you go.\Have fun, you kids.\Angelise-sama!\Microboobs!\Shut up, muscle pig!\Do you need to fight in the base, too? response:	This is why I don't like Normas.
context: So we all have to wash off our dirt first.\There you go.\Have fun, you kids.\Angelise-sama!\Microboobs!\Shut up, muscle pig!\Do you need to fight in the base, too?\This is why I don't like Normas. response:	It's unlike you.
context: There you go.\Have fun, you kids.\Angelise-sama!\Microboobs!\Shut up, muscle pig!\Do you need to fight in the base, too?\This is why I don't like Normas.\It's unlike you. response:	Whatever.
context: Have fun, you kids.\Angelise-sama!\Microboobs!\Shut up, muscle pig!\Do you need to fight in the base, too?\This is why I don't like Normas.\It's unlike you.\Whatever. response:	Fifty pages of repentance essays.
context: Angelise-sama!\Microboobs!\Shut up, muscle pig!\Do you need to fight in the base, too?\This is why I don't like Normas.\It's unlike you.\Whatever.\Fifty pages of repentance essays. response:	By tomorrow morning.
context: Microboobs!\Shut up, muscle pig!\Do you need to fight in the base, too?\This is why I don't like Normas.\It's unlike you.\Whatever.\Fifty pages of repentance essays.\By tomorrow morning. response:	Why do I have to?
context: Shut up, muscle pig!\Do you need to fight in the base, too?\This is why I don't like Normas.\It's unlike you.\Whatever.\Fifty pages of repentance essays.\By tomorrow morning.\Why do I have to? response:	Good morning, Angelise-sama.
context: Do you need to fight in the base, too?\This is why I don't like Normas.\It's unlike you.\Whatever.\Fifty pages of repentance essays.\By tomorrow morning.\Why do I have to?\Good morning, Angelise-sama. response:	It's breakfast time.
context: This is why I don't like Normas.\It's unlike you.\Whatever.\Fifty pages of repentance essays.\By tomorrow morning.\Why do I have to?\Good morning, Angelise-sama.\It's breakfast time. response:	I finished your repentance essay last night.
context: It's unlike you.\Whatever.\Fifty pages of repentance essays.\By tomorrow morning.\Why do I have to?\Good morning, Angelise-sama.\It's breakfast time.\I finished your repentance essay last night. response:	Don't worry.
context: Whatever.\Fifty pages of repentance essays.\By tomorrow morning.\Why do I have to?\Good morning, Angelise-sama.\It's breakfast time.\I finished your repentance essay last night.\Don't worry. response:	Angelise-sama.
context: Fifty pages of repentance essays.\By tomorrow morning.\Why do I have to?\Good morning, Angelise-sama.\It's breakfast time.\I finished your repentance essay last night.\Don't worry.\Angelise-sama. response:	A cold?
context: By tomorrow morning.\Why do I have to?\Good morning, Angelise-sama.\It's breakfast time.\I finished your repentance essay last night.\Don't worry.\Angelise-sama.\A cold? response:	She got cold after her bath.
context: Why do I have to?\Good morning, Angelise-sama.\It's breakfast time.\I finished your repentance essay last night.\Don't worry.\Angelise-sama.\A cold?\She got cold after her bath. response:	She'll be on standby until her fever comes down.
context: Good morning, Angelise-sama.\It's breakfast time.\I finished your repentance essay last night.\Don't worry.\Angelise-sama.\A cold?\She got cold after her bath.\She'll be on standby until her fever comes down. response:	Until then, we'll continue our missions without her.
context: It's breakfast time.\I finished your repentance essay last night.\Don't worry.\Angelise-sama.\A cold?\She got cold after her bath.\She'll be on standby until her fever comes down.\Until then, we'll continue our missions without her. response:	How much do you lose on break, again?
context: I finished your repentance essay last night.\Don't worry.\Angelise-sama.\A cold?\She got cold after her bath.\She'll be on standby until her fever comes down.\Until then, we'll continue our missions without her.\How much do you lose on break, again? response:	One million per day.
context: Don't worry.\Angelise-sama.\A cold?\She got cold after her bath.\She'll be on standby until her fever comes down.\Until then, we'll continue our missions without her.\How much do you lose on break, again?\One million per day. response:	Poor her.
context: Angelise-sama.\A cold?\She got cold after her bath.\She'll be on standby until her fever comes down.\Until then, we'll continue our missions without her.\How much do you lose on break, again?\One million per day.\Poor her. response:	Maybe she'll go bankrupt.
context: A cold?\She got cold after her bath.\She'll be on standby until her fever comes down.\Until then, we'll continue our missions without her.\How much do you lose on break, again?\One million per day.\Poor her.\Maybe she'll go bankrupt. response:	We're beginning training.
context: She got cold after her bath.\She'll be on standby until her fever comes down.\Until then, we'll continue our missions without her.\How much do you lose on break, again?\One million per day.\Poor her.\Maybe she'll go bankrupt.\We're beginning training. response:	Captain's log, March 6th.
context: She'll be on standby until her fever comes down.\Until then, we'll continue our missions without her.\How much do you lose on break, again?\One million per day.\Poor her.\Maybe she'll go bankrupt.\We're beginning training.\Captain's log, March 6th. response:	Training continues without problems.
context: Until then, we'll continue our missions without her.\How much do you lose on break, again?\One million per day.\Poor her.\Maybe she'll go bankrupt.\We're beginning training.\Captain's log, March 6th.\Training continues without problems. response:	It seems that without Ange, the squad's discipline is back to normal.
context: How much do you lose on break, again?\One million per day.\Poor her.\Maybe she'll go bankrupt.\We're beginning training.\Captain's log, March 6th.\Training continues without problems.\It seems that without Ange, the squad's discipline is back to normal. response:	I want to handle Ange
context: One million per day.\Poor her.\Maybe she'll go bankrupt.\We're beginning training.\Captain's log, March 6th.\Training continues without problems.\It seems that without Ange, the squad's discipline is back to normal.\I want to handle Ange response:	carefully when she returns, so that we can maintain this state.
context: Poor her.\Maybe she'll go bankrupt.\We're beginning training.\Captain's log, March 6th.\Training continues without problems.\It seems that without Ange, the squad's discipline is back to normal.\I want to handle Ange\carefully when she returns, so that we can maintain this state. response:	Casualties today: zero.
context: Maybe she'll go bankrupt.\We're beginning training.\Captain's log, March 6th.\Training continues without problems.\It seems that without Ange, the squad's discipline is back to normal.\I want to handle Ange\carefully when she returns, so that we can maintain this state.\Casualties today: zero. response:	Good work.
context: We're beginning training.\Captain's log, March 6th.\Training continues without problems.\It seems that without Ange, the squad's discipline is back to normal.\I want to handle Ange\carefully when she returns, so that we can maintain this state.\Casualties today: zero.\Good work. response:	Salia.
context: Captain's log, March 6th.\Training continues without problems.\It seems that without Ange, the squad's discipline is back to normal.\I want to handle Ange\carefully when she returns, so that we can maintain this state.\Casualties today: zero.\Good work.\Salia. response:	How's the Villkiss?
context: Training continues without problems.\It seems that without Ange, the squad's discipline is back to normal.\I want to handle Ange\carefully when she returns, so that we can maintain this state.\Casualties today: zero.\Good work.\Salia.\How's the Villkiss? response:	It's always a wreck when Ange uses it.
context: It seems that without Ange, the squad's discipline is back to normal.\I want to handle Ange\carefully when she returns, so that we can maintain this state.\Casualties today: zero.\Good work.\Salia.\How's the Villkiss?\It's always a wreck when Ange uses it. response:	Maintenance is a pain.
context: I want to handle Ange\carefully when she returns, so that we can maintain this state.\Casualties today: zero.\Good work.\Salia.\How's the Villkiss?\It's always a wreck when Ange uses it.\Maintenance is a pain. response:	It's a precious machine.
context: carefully when she returns, so that we can maintain this state.\Casualties today: zero.\Good work.\Salia.\How's the Villkiss?\It's always a wreck when Ange uses it.\Maintenance is a pain.\It's a precious machine. response:	Dammit.
context: Casualties today: zero.\Good work.\Salia.\How's the Villkiss?\It's always a wreck when Ange uses it.\Maintenance is a pain.\It's a precious machine.\Dammit. response:	Oh, well! She's keeping the money and the risks to herself.
context: Good work.\Salia.\How's the Villkiss?\It's always a wreck when Ange uses it.\Maintenance is a pain.\It's a precious machine.\Dammit.\Oh, well! She's keeping the money and the risks to herself. response:	Risks?
context: Salia.\How's the Villkiss?\It's always a wreck when Ange uses it.\Maintenance is a pain.\It's a precious machine.\Dammit.\Oh, well! She's keeping the money and the risks to herself.\Risks? response:	I can kind of sense the rider's feelings when I'm working on them.
context: How's the Villkiss?\It's always a wreck when Ange uses it.\Maintenance is a pain.\It's a precious machine.\Dammit.\Oh, well! She's keeping the money and the risks to herself.\Risks?\I can kind of sense the rider's feelings when I'm working on them. response:	I won't let anyone die.
context: It's always a wreck when Ange uses it.\Maintenance is a pain.\It's a precious machine.\Dammit.\Oh, well! She's keeping the money and the risks to herself.\Risks?\I can kind of sense the rider's feelings when I'm working on them.\I won't let anyone die. response:	I'm going to take all the DRAGONs' attacks myself.
context: Maintenance is a pain.\It's a precious machine.\Dammit.\Oh, well! She's keeping the money and the risks to herself.\Risks?\I can kind of sense the rider's feelings when I'm working on them.\I won't let anyone die.\I'm going to take all the DRAGONs' attacks myself. response:	Or not.
context: It's a precious machine.\Dammit.\Oh, well! She's keeping the money and the risks to herself.\Risks?\I can kind of sense the rider's feelings when I'm working on them.\I won't let anyone die.\I'm going to take all the DRAGONs' attacks myself.\Or not. response:	You're overthinking it.
context: Dammit.\Oh, well! She's keeping the money and the risks to herself.\Risks?\I can kind of sense the rider's feelings when I'm working on them.\I won't let anyone die.\I'm going to take all the DRAGONs' attacks myself.\Or not.\You're overthinking it. response:	But no one's died, ever since Ange started piloting the Villkiss.
context: Oh, well! She's keeping the money and the risks to herself.\Risks?\I can kind of sense the rider's feelings when I'm working on them.\I won't let anyone die.\I'm going to take all the DRAGONs' attacks myself.\Or not.\You're overthinking it.\But no one's died, ever since Ange started piloting the Villkiss. response:	Not one in our squad.
context: Risks?\I can kind of sense the rider's feelings when I'm working on them.\I won't let anyone die.\I'm going to take all the DRAGONs' attacks myself.\Or not.\You're overthinking it.\But no one's died, ever since Ange started piloting the Villkiss.\Not one in our squad. response:	February 14th.
context: I can kind of sense the rider's feelings when I'm working on them.\I won't let anyone die.\I'm going to take all the DRAGONs' attacks myself.\Or not.\You're overthinking it.\But no one's died, ever since Ange started piloting the Villkiss.\Not one in our squad.\February 14th. response:	Casualties today: zero.
context: I won't let anyone die.\I'm going to take all the DRAGONs' attacks myself.\Or not.\You're overthinking it.\But no one's died, ever since Ange started piloting the Villkiss.\Not one in our squad.\February 14th.\Casualties today: zero. response:	February 18th.
context: I'm going to take all the DRAGONs' attacks myself.\Or not.\You're overthinking it.\But no one's died, ever since Ange started piloting the Villkiss.\Not one in our squad.\February 14th.\Casualties today: zero.\February 18th. response:	Casualties today: zero.
context: Or not.\You're overthinking it.\But no one's died, ever since Ange started piloting the Villkiss.\Not one in our squad.\February 14th.\Casualties today: zero.\February 18th.\Casualties today: zero. response:	I'm overthinking it.
context: You're overthinking it.\But no one's died, ever since Ange started piloting the Villkiss.\Not one in our squad.\February 14th.\Casualties today: zero.\February 18th.\Casualties today: zero.\I'm overthinking it. response:	Soldiers, to your machines.
context: But no one's died, ever since Ange started piloting the Villkiss.\Not one in our squad.\February 14th.\Casualties today: zero.\February 18th.\Casualties today: zero.\I'm overthinking it.\Soldiers, to your machines. response:	Captain to all units.
context: Not one in our squad.\February 14th.\Casualties today: zero.\February 18th.\Casualties today: zero.\I'm overthinking it.\Soldiers, to your machines.\Captain to all units. response:	Ange is away.
context: February 14th.\Casualties today: zero.\February 18th.\Casualties today: zero.\I'm overthinking it.\Soldiers, to your machines.\Captain to all units.\Ange is away. response:	The six of us will engage.
context: Casualties today: zero.\February 18th.\Casualties today: zero.\I'm overthinking it.\Soldiers, to your machines.\Captain to all units.\Ange is away.\The six of us will engage. response:	Great, what a pain in the ass.
context: February 18th.\Casualties today: zero.\I'm overthinking it.\Soldiers, to your machines.\Captain to all units.\Ange is away.\The six of us will engage.\Great, what a pain in the ass. response:	Keep a tight formation once we enter the combat area.
context: Casualties today: zero.\I'm overthinking it.\Soldiers, to your machines.\Captain to all units.\Ange is away.\The six of us will engage.\Great, what a pain in the ass.\Keep a tight formation once we enter the combat area. response:	We'll focus fire to make up for our smaller size.
context: I'm overthinking it.\Soldiers, to your machines.\Captain to all units.\Ange is away.\The six of us will engage.\Great, what a pain in the ass.\Keep a tight formation once we enter the combat area.\We'll focus fire to make up for our smaller size. response:	Yes, ma'am.
context: Soldiers, to your machines.\Captain to all units.\Ange is away.\The six of us will engage.\Great, what a pain in the ass.\Keep a tight formation once we enter the combat area.\We'll focus fire to make up for our smaller size.\Yes, ma'am. response:	All units ready for lift-off.
context: Captain to all units.\Ange is away.\The six of us will engage.\Great, what a pain in the ass.\Keep a tight formation once we enter the combat area.\We'll focus fire to make up for our smaller size.\Yes, ma'am.\All units ready for lift-off. response:	Salia squad, lifting off.
context: Ange is away.\The six of us will engage.\Great, what a pain in the ass.\Keep a tight formation once we enter the combat area.\We'll focus fire to make up for our smaller size.\Yes, ma'am.\All units ready for lift-off.\Salia squad, lifting off. response:	Move. I have to go.
context: The six of us will engage.\Great, what a pain in the ass.\Keep a tight formation once we enter the combat area.\We'll focus fire to make up for our smaller size.\Yes, ma'am.\All units ready for lift-off.\Salia squad, lifting off.\Move. I have to go. response:	No. I won't let you go.
context: Great, what a pain in the ass.\Keep a tight formation once we enter the combat area.\We'll focus fire to make up for our smaller size.\Yes, ma'am.\All units ready for lift-off.\Salia squad, lifting off.\Move. I have to go.\No. I won't let you go. response:	It costs money to feed you.
context: Keep a tight formation once we enter the combat area.\We'll focus fire to make up for our smaller size.\Yes, ma'am.\All units ready for lift-off.\Salia squad, lifting off.\Move. I have to go.\No. I won't let you go.\It costs money to feed you. response:	Angelise-sama.
context: We'll focus fire to make up for our smaller size.\Yes, ma'am.\All units ready for lift-off.\Salia squad, lifting off.\Move. I have to go.\No. I won't let you go.\It costs money to feed you.\Angelise-sama. response:	2800 to Singular point.
context: Yes, ma'am.\All units ready for lift-off.\Salia squad, lifting off.\Move. I have to go.\No. I won't let you go.\It costs money to feed you.\Angelise-sama.\2800 to Singular point. response:	Roger.
context: All units ready for lift-off.\Salia squad, lifting off.\Move. I have to go.\No. I won't let you go.\It costs money to feed you.\Angelise-sama.\2800 to Singular point.\Roger. response:	All units, release safety.
context: Salia squad, lifting off.\Move. I have to go.\No. I won't let you go.\It costs money to feed you.\Angelise-sama.\2800 to Singular point.\Roger.\All units, release safety. response:	The door's opening.
context: Move. I have to go.\No. I won't let you go.\It costs money to feed you.\Angelise-sama.\2800 to Singular point.\Roger.\All units, release safety.\The door's opening. response:	All units, prepare for combat.
context: No. I won't let you go.\It costs money to feed you.\Angelise-sama.\2800 to Singular point.\Roger.\All units, release safety.\The door's opening.\All units, prepare for combat. response:	Yes, ma'am.
context: It costs money to feed you.\Angelise-sama.\2800 to Singular point.\Roger.\All units, release safety.\The door's opening.\All units, prepare for combat.\Yes, ma'am. response:	It's huge.
context: Angelise-sama.\2800 to Singular point.\Roger.\All units, release safety.\The door's opening.\All units, prepare for combat.\Yes, ma'am.\It's huge. response:	Oh, my, it's big.
context: 2800 to Singular point.\Roger.\All units, release safety.\The door's opening.\All units, prepare for combat.\Yes, ma'am.\It's huge.\Oh, my, it's big. response:	Salia, tell me about the big one.
context: Roger.\All units, release safety.\The door's opening.\All units, prepare for combat.\Yes, ma'am.\It's huge.\Oh, my, it's big.\Salia, tell me about the big one. response:	I've never seen such a thing.
context: All units, release safety.\The door's opening.\All units, prepare for combat.\Yes, ma'am.\It's huge.\Oh, my, it's big.\Salia, tell me about the big one.\I've never seen such a thing. response:	Salia's never seen it?
context: The door's opening.\All units, prepare for combat.\Yes, ma'am.\It's huge.\Oh, my, it's big.\Salia, tell me about the big one.\I've never seen such a thing.\Salia's never seen it? response:	Then it might be it's
context: All units, prepare for combat.\Yes, ma'am.\It's huge.\Oh, my, it's big.\Salia, tell me about the big one.\I've never seen such a thing.\Salia's never seen it?\Then it might be it's response:	A virgin.
context: Yes, ma'am.\It's huge.\Oh, my, it's big.\Salia, tell me about the big one.\I've never seen such a thing.\Salia's never seen it?\Then it might be it's\A virgin. response:	A virgin?
context: It's huge.\Oh, my, it's big.\Salia, tell me about the big one.\I've never seen such a thing.\Salia's never seen it?\Then it might be it's\A virgin.\A virgin? response:	No way! This is my first time.
context: Oh, my, it's big.\Salia, tell me about the big one.\I've never seen such a thing.\Salia's never seen it?\Then it might be it's\A virgin.\A virgin?\No way! This is my first time. response:	A virgin?
context: Salia, tell me about the big one.\I've never seen such a thing.\Salia's never seen it?\Then it might be it's\A virgin.\A virgin?\No way! This is my first time.\A virgin? response:	Is this the first time for you, Officer?
context: I've never seen such a thing.\Salia's never seen it?\Then it might be it's\A virgin.\A virgin?\No way! This is my first time.\A virgin?\Is this the first time for you, Officer? response:	It's what we call a DRAGON we've never seen before.
context: Salia's never seen it?\Then it might be it's\A virgin.\A virgin?\No way! This is my first time.\A virgin?\Is this the first time for you, Officer?\It's what we call a DRAGON we've never seen before. response:	We'll be stinking rich just bringing home new information about it.
context: Then it might be it's\A virgin.\A virgin?\No way! This is my first time.\A virgin?\Is this the first time for you, Officer?\It's what we call a DRAGON we've never seen before.\We'll be stinking rich just bringing home new information about it. response:	Let's eat this virgin and go home to celebrate in a bath of money.
context: A virgin.\A virgin?\No way! This is my first time.\A virgin?\Is this the first time for you, Officer?\It's what we call a DRAGON we've never seen before.\We'll be stinking rich just bringing home new information about it.\Let's eat this virgin and go home to celebrate in a bath of money. response:	Sounds good.
context: A virgin?\No way! This is my first time.\A virgin?\Is this the first time for you, Officer?\It's what we call a DRAGON we've never seen before.\We'll be stinking rich just bringing home new information about it.\Let's eat this virgin and go home to celebrate in a bath of money.\Sounds good. response:	Salia to Arzenal. Requesting backup.
context: No way! This is my first time.\A virgin?\Is this the first time for you, Officer?\It's what we call a DRAGON we've never seen before.\We'll be stinking rich just bringing home new information about it.\Let's eat this virgin and go home to celebrate in a bath of money.\Sounds good.\Salia to Arzenal. Requesting backup. response:	What? We'll lose earnings if we call for backup.
context: A virgin?\Is this the first time for you, Officer?\It's what we call a DRAGON we've never seen before.\We'll be stinking rich just bringing home new information about it.\Let's eat this virgin and go home to celebrate in a bath of money.\Sounds good.\Salia to Arzenal. Requesting backup.\What? We'll lose earnings if we call for backup. response:	Zola never freaked out against a virgin.
context: Is this the first time for you, Officer?\It's what we call a DRAGON we've never seen before.\We'll be stinking rich just bringing home new information about it.\Let's eat this virgin and go home to celebrate in a bath of money.\Sounds good.\Salia to Arzenal. Requesting backup.\What? We'll lose earnings if we call for backup.\Zola never freaked out against a virgin. response:	Come with me, Rosalie, Chris.
context: It's what we call a DRAGON we've never seen before.\We'll be stinking rich just bringing home new information about it.\Let's eat this virgin and go home to celebrate in a bath of money.\Sounds good.\Salia to Arzenal. Requesting backup.\What? We'll lose earnings if we call for backup.\Zola never freaked out against a virgin.\Come with me, Rosalie, Chris. response:	Sir.
context: We'll be stinking rich just bringing home new information about it.\Let's eat this virgin and go home to celebrate in a bath of money.\Sounds good.\Salia to Arzenal. Requesting backup.\What? We'll lose earnings if we call for backup.\Zola never freaked out against a virgin.\Come with me, Rosalie, Chris.\Sir. response:	W-Wait.
context: Let's eat this virgin and go home to celebrate in a bath of money.\Sounds good.\Salia to Arzenal. Requesting backup.\What? We'll lose earnings if we call for backup.\Zola never freaked out against a virgin.\Come with me, Rosalie, Chris.\Sir.\W-Wait. response:	We'll take the earnings for ourselves.
context: Sounds good.\Salia to Arzenal. Requesting backup.\What? We'll lose earnings if we call for backup.\Zola never freaked out against a virgin.\Come with me, Rosalie, Chris.\Sir.\W-Wait.\We'll take the earnings for ourselves. response:	My hair's tingling.
context: Salia to Arzenal. Requesting backup.\What? We'll lose earnings if we call for backup.\Zola never freaked out against a virgin.\Come with me, Rosalie, Chris.\Sir.\W-Wait.\We'll take the earnings for ourselves.\My hair's tingling. response:	Fire.
context: What? We'll lose earnings if we call for backup.\Zola never freaked out against a virgin.\Come with me, Rosalie, Chris.\Sir.\W-Wait.\We'll take the earnings for ourselves.\My hair's tingling.\Fire. response:	Fire.
context: Zola never freaked out against a virgin.\Come with me, Rosalie, Chris.\Sir.\W-Wait.\We'll take the earnings for ourselves.\My hair's tingling.\Fire.\Fire. response:	It's not as nimble as I thought.
context: Come with me, Rosalie, Chris.\Sir.\W-Wait.\We'll take the earnings for ourselves.\My hair's tingling.\Fire.\Fire.\It's not as nimble as I thought. response:	Its back is heavily armored.
context: Sir.\W-Wait.\We'll take the earnings for ourselves.\My hair's tingling.\Fire.\Fire.\It's not as nimble as I thought.\Its back is heavily armored. response:	Which means
context: W-Wait.\We'll take the earnings for ourselves.\My hair's tingling.\Fire.\Fire.\It's not as nimble as I thought.\Its back is heavily armored.\Which means response:	Bingo.
context: We'll take the earnings for ourselves.\My hair's tingling.\Fire.\Fire.\It's not as nimble as I thought.\Its back is heavily armored.\Which means\Bingo. response:	It's flabby.
context: My hair's tingling.\Fire.\Fire.\It's not as nimble as I thought.\Its back is heavily armored.\Which means\Bingo.\It's flabby. response:	Aim for its belly.
context: Fire.\Fire.\It's not as nimble as I thought.\Its back is heavily armored.\Which means\Bingo.\It's flabby.\Aim for its belly. response:	Let's finish this quick.
context: Fire.\It's not as nimble as I thought.\Its back is heavily armored.\Which means\Bingo.\It's flabby.\Aim for its belly.\Let's finish this quick. response:	All right.
context: It's not as nimble as I thought.\Its back is heavily armored.\Which means\Bingo.\It's flabby.\Aim for its belly.\Let's finish this quick.\All right. response:	What's wrong?
context: Its back is heavily armored.\Which means\Bingo.\It's flabby.\Aim for its belly.\Let's finish this quick.\All right.\What's wrong? response:	Tingly.
context: Which means\Bingo.\It's flabby.\Aim for its belly.\Let's finish this quick.\All right.\What's wrong?\Tingly. response:	Tingly, tingly...
context: Bingo.\It's flabby.\Aim for its belly.\Let's finish this quick.\All right.\What's wrong?\Tingly.\Tingly, tingly... response:	Mine.
context: It's flabby.\Aim for its belly.\Let's finish this quick.\All right.\What's wrong?\Tingly.\Tingly, tingly...\Mine. response:	Hilda, pull back.
context: Aim for its belly.\Let's finish this quick.\All right.\What's wrong?\Tingly.\Tingly, tingly...\Mine.\Hilda, pull back. response:	I can't move.
context: Let's finish this quick.\All right.\What's wrong?\Tingly.\Tingly, tingly...\Mine.\Hilda, pull back.\I can't move. response:	Wh-What is this?
context: All right.\What's wrong?\Tingly.\Tingly, tingly...\Mine.\Hilda, pull back.\I can't move.\Wh-What is this? response:	Strong gravity signature nearby the new-type DRAGON.
context: What's wrong?\Tingly.\Tingly, tingly...\Mine.\Hilda, pull back.\I can't move.\Wh-What is this?\Strong gravity signature nearby the new-type DRAGON. response:	Gravity?
context: Tingly.\Tingly, tingly...\Mine.\Hilda, pull back.\I can't move.\Wh-What is this?\Strong gravity signature nearby the new-type DRAGON.\Gravity? response:	No.
context: Tingly, tingly...\Mine.\Hilda, pull back.\I can't move.\Wh-What is this?\Strong gravity signature nearby the new-type DRAGON.\Gravity?\No. response:	All units, assume defensive position.
context: Mine.\Hilda, pull back.\I can't move.\Wh-What is this?\Strong gravity signature nearby the new-type DRAGON.\Gravity?\No.\All units, assume defensive position. response:	It's those horns.
context: Hilda, pull back.\I can't move.\Wh-What is this?\Strong gravity signature nearby the new-type DRAGON.\Gravity?\No.\All units, assume defensive position.\It's those horns. response:	Let them go!
context: I can't move.\Wh-What is this?\Strong gravity signature nearby the new-type DRAGON.\Gravity?\No.\All units, assume defensive position.\It's those horns.\Let them go! response:	I can't move.
context: Wh-What is this?\Strong gravity signature nearby the new-type DRAGON.\Gravity?\No.\All units, assume defensive position.\It's those horns.\Let them go!\I can't move. response:	H-Help me, Rosalie, Hilda.
context: Strong gravity signature nearby the new-type DRAGON.\Gravity?\No.\All units, assume defensive position.\It's those horns.\Let them go!\I can't move.\H-Help me, Rosalie, Hilda. response:	Move. How much do you think I spent on you?
context: Gravity?\No.\All units, assume defensive position.\It's those horns.\Let them go!\I can't move.\H-Help me, Rosalie, Hilda.\Move. How much do you think I spent on you? response:	Help me.
context: No.\All units, assume defensive position.\It's those horns.\Let them go!\I can't move.\H-Help me, Rosalie, Hilda.\Move. How much do you think I spent on you?\Help me. response:	Salia!
context: All units, assume defensive position.\It's those horns.\Let them go!\I can't move.\H-Help me, Rosalie, Hilda.\Move. How much do you think I spent on you?\Help me.\Salia! response:	I told them to wait.
context: It's those horns.\Let them go!\I can't move.\H-Help me, Rosalie, Hilda.\Move. How much do you think I spent on you?\Help me.\Salia!\I told them to wait. response:	I have to keep the squad from being destroyed.
context: Let them go!\I can't move.\H-Help me, Rosalie, Hilda.\Move. How much do you think I spent on you?\Help me.\Salia!\I told them to wait.\I have to keep the squad from being destroyed. response:	At worst, we may have to abandon our machines and run.
context: I can't move.\H-Help me, Rosalie, Hilda.\Move. How much do you think I spent on you?\Help me.\Salia!\I told them to wait.\I have to keep the squad from being destroyed.\At worst, we may have to abandon our machines and run. response:	Vivi-chan.
context: H-Help me, Rosalie, Hilda.\Move. How much do you think I spent on you?\Help me.\Salia!\I told them to wait.\I have to keep the squad from being destroyed.\At worst, we may have to abandon our machines and run.\Vivi-chan. response:	Let them go.
context: Move. How much do you think I spent on you?\Help me.\Salia!\I told them to wait.\I have to keep the squad from being destroyed.\At worst, we may have to abandon our machines and run.\Vivi-chan.\Let them go. response:	Let them go!
context: Help me.\Salia!\I told them to wait.\I have to keep the squad from being destroyed.\At worst, we may have to abandon our machines and run.\Vivi-chan.\Let them go.\Let them go! response:	Vivian.
context: Salia!\I told them to wait.\I have to keep the squad from being destroyed.\At worst, we may have to abandon our machines and run.\Vivi-chan.\Let them go.\Let them go!\Vivian. response:	At this rate, those three
context: I told them to wait.\I have to keep the squad from being destroyed.\At worst, we may have to abandon our machines and run.\Vivi-chan.\Let them go.\Let them go!\Vivian.\At this rate, those three response:	Villkiss.
context: I have to keep the squad from being destroyed.\At worst, we may have to abandon our machines and run.\Vivi-chan.\Let them go.\Let them go!\Vivian.\At this rate, those three\Villkiss. response:	Is it you, Ange?
context: At worst, we may have to abandon our machines and run.\Vivi-chan.\Let them go.\Let them go!\Vivian.\At this rate, those three\Villkiss.\Is it you, Ange? response:	If you insist on going, you'll go dressed like this.
context: Vivi-chan.\Let them go.\Let them go!\Vivian.\At this rate, those three\Villkiss.\Is it you, Ange?\If you insist on going, you'll go dressed like this. response:	I'm so dizzy.
context: Let them go.\Let them go!\Vivian.\At this rate, those three\Villkiss.\Is it you, Ange?\If you insist on going, you'll go dressed like this.\I'm so dizzy. response:	Let's get this over with.
context: Let them go!\Vivian.\At this rate, those three\Villkiss.\Is it you, Ange?\If you insist on going, you'll go dressed like this.\I'm so dizzy.\Let's get this over with. response:	Don't come, Ange.
context: Vivian.\At this rate, those three\Villkiss.\Is it you, Ange?\If you insist on going, you'll go dressed like this.\I'm so dizzy.\Let's get this over with.\Don't come, Ange. response:	You'll get caught in its gravity.
context: At this rate, those three\Villkiss.\Is it you, Ange?\If you insist on going, you'll go dressed like this.\I'm so dizzy.\Let's get this over with.\Don't come, Ange.\You'll get caught in its gravity. response:	Don't worry.
context: Villkiss.\Is it you, Ange?\If you insist on going, you'll go dressed like this.\I'm so dizzy.\Let's get this over with.\Don't come, Ange.\You'll get caught in its gravity.\Don't worry. response:	I can handle it myself, as always.
context: Is it you, Ange?\If you insist on going, you'll go dressed like this.\I'm so dizzy.\Let's get this over with.\Don't come, Ange.\You'll get caught in its gravity.\Don't worry.\I can handle it myself, as always. response:	Dammit, all of you!
context: If you insist on going, you'll go dressed like this.\I'm so dizzy.\Let's get this over with.\Don't come, Ange.\You'll get caught in its gravity.\Don't worry.\I can handle it myself, as always.\Dammit, all of you! response:	I've had enough, you stupid bitch!
context: I'm so dizzy.\Let's get this over with.\Don't come, Ange.\You'll get caught in its gravity.\Don't worry.\I can handle it myself, as always.\Dammit, all of you!\I've had enough, you stupid bitch! response:	This DRAGON isn't weak enough for you to handle by yourself.
context: Let's get this over with.\Don't come, Ange.\You'll get caught in its gravity.\Don't worry.\I can handle it myself, as always.\Dammit, all of you!\I've had enough, you stupid bitch!\This DRAGON isn't weak enough for you to handle by yourself. response:	You keep going off by yourself.
context: Don't come, Ange.\You'll get caught in its gravity.\Don't worry.\I can handle it myself, as always.\Dammit, all of you!\I've had enough, you stupid bitch!\This DRAGON isn't weak enough for you to handle by yourself.\You keep going off by yourself. response:	Listen to your commander if you don't want to die.
context: You'll get caught in its gravity.\Don't worry.\I can handle it myself, as always.\Dammit, all of you!\I've had enough, you stupid bitch!\This DRAGON isn't weak enough for you to handle by yourself.\You keep going off by yourself.\Listen to your commander if you don't want to die. response:	Yes.
context: Don't worry.\I can handle it myself, as always.\Dammit, all of you!\I've had enough, you stupid bitch!\This DRAGON isn't weak enough for you to handle by yourself.\You keep going off by yourself.\Listen to your commander if you don't want to die.\Yes. response:	Go straight up.
