context: No! response:	I-I'm sorry...
context: So...\People meeting their demise or going to sleep\supposedly comes down to the Sea God not having enough power, right?\That just means we really have to do it.\The Ofunehiki.\That's how we'll get the Sea God to regain his strength.\But they said it was canceled...\I'll talk to Uroko-sama. response:	Not to mention, it's not like we can
context: People meeting their demise or going to sleep\supposedly comes down to the Sea God not having enough power, right?\That just means we really have to do it.\The Ofunehiki.\That's how we'll get the Sea God to regain his strength.\But they said it was canceled...\I'll talk to Uroko-sama.\Not to mention, it's not like we can response:	hear something this insane and be all, Oh, okay.
context: supposedly comes down to the Sea God not having enough power, right?\That just means we really have to do it.\The Ofunehiki.\That's how we'll get the Sea God to regain his strength.\But they said it was canceled...\I'll talk to Uroko-sama.\Not to mention, it's not like we can\hear something this insane and be all, Oh, okay. response:	We have to do what we can.
context: That just means we really have to do it.\The Ofunehiki.\That's how we'll get the Sea God to regain his strength.\But they said it was canceled...\I'll talk to Uroko-sama.\Not to mention, it's not like we can\hear something this insane and be all, Oh, okay.\We have to do what we can. response:	Hikari!
context: The Ofunehiki.\That's how we'll get the Sea God to regain his strength.\But they said it was canceled...\I'll talk to Uroko-sama.\Not to mention, it's not like we can\hear something this insane and be all, Oh, okay.\We have to do what we can.\Hikari! response:	Wait right here!
context: That's how we'll get the Sea God to regain his strength.\But they said it was canceled...\I'll talk to Uroko-sama.\Not to mention, it's not like we can\hear something this insane and be all, Oh, okay.\We have to do what we can.\Hikari!\Wait right here! response:	It's not happening.
context: But they said it was canceled...\I'll talk to Uroko-sama.\Not to mention, it's not like we can\hear something this insane and be all, Oh, okay.\We have to do what we can.\Hikari!\Wait right here!\It's not happening. response:	At least listen to what I have to say!
context: I'll talk to Uroko-sama.\Not to mention, it's not like we can\hear something this insane and be all, Oh, okay.\We have to do what we can.\Hikari!\Wait right here!\It's not happening.\At least listen to what I have to say! response:	You seem desperate.
context: Not to mention, it's not like we can\hear something this insane and be all, Oh, okay.\We have to do what we can.\Hikari!\Wait right here!\It's not happening.\At least listen to what I have to say!\You seem desperate. response:	Yeah, I am.
context: hear something this insane and be all, Oh, okay.\We have to do what we can.\Hikari!\Wait right here!\It's not happening.\At least listen to what I have to say!\You seem desperate.\Yeah, I am. response:	So what if I am desperate?
context: We have to do what we can.\Hikari!\Wait right here!\It's not happening.\At least listen to what I have to say!\You seem desperate.\Yeah, I am.\So what if I am desperate? response:	Wouldn't you be better off if the sea and the surface drew apart?
context: Hikari!\Wait right here!\It's not happening.\At least listen to what I have to say!\You seem desperate.\Yeah, I am.\So what if I am desperate?\Wouldn't you be better off if the sea and the surface drew apart? response:	What?
context: Wait right here!\It's not happening.\At least listen to what I have to say!\You seem desperate.\Yeah, I am.\So what if I am desperate?\Wouldn't you be better off if the sea and the surface drew apart?\What? response:	Being in love is a difficult situation.
context: It's not happening.\At least listen to what I have to say!\You seem desperate.\Yeah, I am.\So what if I am desperate?\Wouldn't you be better off if the sea and the surface drew apart?\What?\Being in love is a difficult situation. response:	Wha
context: At least listen to what I have to say!\You seem desperate.\Yeah, I am.\So what if I am desperate?\Wouldn't you be better off if the sea and the surface drew apart?\What?\Being in love is a difficult situation.\Wha response:	Too much to bear, you can't help it.
context: You seem desperate.\Yeah, I am.\So what if I am desperate?\Wouldn't you be better off if the sea and the surface drew apart?\What?\Being in love is a difficult situation.\Wha\Too much to bear, you can't help it. response:	You can't control yourself, to the extent
context: Yeah, I am.\So what if I am desperate?\Wouldn't you be better off if the sea and the surface drew apart?\What?\Being in love is a difficult situation.\Wha\Too much to bear, you can't help it.\You can't control yourself, to the extent response:	that you're sad and in pain, and your heart is full...
context: So what if I am desperate?\Wouldn't you be better off if the sea and the surface drew apart?\What?\Being in love is a difficult situation.\Wha\Too much to bear, you can't help it.\You can't control yourself, to the extent\that you're sad and in pain, and your heart is full... response:	Right?
context: Wouldn't you be better off if the sea and the surface drew apart?\What?\Being in love is a difficult situation.\Wha\Too much to bear, you can't help it.\You can't control yourself, to the extent\that you're sad and in pain, and your heart is full...\Right? response:	Shut up!
context: What?\Being in love is a difficult situation.\Wha\Too much to bear, you can't help it.\You can't control yourself, to the extent\that you're sad and in pain, and your heart is full...\Right?\Shut up! response:	It's not like you'd understand how I feel!
context: Being in love is a difficult situation.\Wha\Too much to bear, you can't help it.\You can't control yourself, to the extent\that you're sad and in pain, and your heart is full...\Right?\Shut up!\It's not like you'd understand how I feel! response:	But I do.
context: Wha\Too much to bear, you can't help it.\You can't control yourself, to the extent\that you're sad and in pain, and your heart is full...\Right?\Shut up!\It's not like you'd understand how I feel!\But I do. response:	I am the scale of the Sea God who fell in love with a human girl.
context: Too much to bear, you can't help it.\You can't control yourself, to the extent\that you're sad and in pain, and your heart is full...\Right?\Shut up!\It's not like you'd understand how I feel!\But I do.\I am the scale of the Sea God who fell in love with a human girl. response:	A part of those feelings are within me.
context: You can't control yourself, to the extent\that you're sad and in pain, and your heart is full...\Right?\Shut up!\It's not like you'd understand how I feel!\But I do.\I am the scale of the Sea God who fell in love with a human girl.\A part of those feelings are within me. response:	Not to mention, Hikari,
context: that you're sad and in pain, and your heart is full...\Right?\Shut up!\It's not like you'd understand how I feel!\But I do.\I am the scale of the Sea God who fell in love with a human girl.\A part of those feelings are within me.\Not to mention, Hikari, response:	I don't think you're capable of swaying the feelings of the people of Oshiooshi.
context: Right?\Shut up!\It's not like you'd understand how I feel!\But I do.\I am the scale of the Sea God who fell in love with a human girl.\A part of those feelings are within me.\Not to mention, Hikari,\I don't think you're capable of swaying the feelings of the people of Oshiooshi. response:	Wha?
context: Shut up!\It's not like you'd understand how I feel!\But I do.\I am the scale of the Sea God who fell in love with a human girl.\A part of those feelings are within me.\Not to mention, Hikari,\I don't think you're capable of swaying the feelings of the people of Oshiooshi.\Wha? response:	Going through with the Ofunehiki is not a small task.
context: It's not like you'd understand how I feel!\But I do.\I am the scale of the Sea God who fell in love with a human girl.\A part of those feelings are within me.\Not to mention, Hikari,\I don't think you're capable of swaying the feelings of the people of Oshiooshi.\Wha?\Going through with the Ofunehiki is not a small task. response:	You should just give up.
context: But I do.\I am the scale of the Sea God who fell in love with a human girl.\A part of those feelings are within me.\Not to mention, Hikari,\I don't think you're capable of swaying the feelings of the people of Oshiooshi.\Wha?\Going through with the Ofunehiki is not a small task.\You should just give up. response:	No way!
context: I am the scale of the Sea God who fell in love with a human girl.\A part of those feelings are within me.\Not to mention, Hikari,\I don't think you're capable of swaying the feelings of the people of Oshiooshi.\Wha?\Going through with the Ofunehiki is not a small task.\You should just give up.\No way! response:	I'm going to talk to them again!
context: A part of those feelings are within me.\Not to mention, Hikari,\I don't think you're capable of swaying the feelings of the people of Oshiooshi.\Wha?\Going through with the Ofunehiki is not a small task.\You should just give up.\No way!\I'm going to talk to them again! response:	You don't understand a single thing about me!
context: Not to mention, Hikari,\I don't think you're capable of swaying the feelings of the people of Oshiooshi.\Wha?\Going through with the Ofunehiki is not a small task.\You should just give up.\No way!\I'm going to talk to them again!\You don't understand a single thing about me! response:	It's just till we go into the sleep.
context: I don't think you're capable of swaying the feelings of the people of Oshiooshi.\Wha?\Going through with the Ofunehiki is not a small task.\You should just give up.\No way!\I'm going to talk to them again!\You don't understand a single thing about me!\It's just till we go into the sleep. response:	What harm could it do?
context: Wha?\Going through with the Ofunehiki is not a small task.\You should just give up.\No way!\I'm going to talk to them again!\You don't understand a single thing about me!\It's just till we go into the sleep.\What harm could it do? response:	Why allow them to go to school at a time like this?
context: Going through with the Ofunehiki is not a small task.\You should just give up.\No way!\I'm going to talk to them again!\You don't understand a single thing about me!\It's just till we go into the sleep.\What harm could it do?\Why allow them to go to school at a time like this? response:	Why else?
context: You should just give up.\No way!\I'm going to talk to them again!\You don't understand a single thing about me!\It's just till we go into the sleep.\What harm could it do?\Why allow them to go to school at a time like this?\Why else? response:	It's compulsory education, after all.
context: No way!\I'm going to talk to them again!\You don't understand a single thing about me!\It's just till we go into the sleep.\What harm could it do?\Why allow them to go to school at a time like this?\Why else?\It's compulsory education, after all. response:	Hey, are you listening?
context: I'm going to talk to them again!\You don't understand a single thing about me!\It's just till we go into the sleep.\What harm could it do?\Why allow them to go to school at a time like this?\Why else?\It's compulsory education, after all.\Hey, are you listening? response:	You guys on the surface should do something, too.
context: You don't understand a single thing about me!\It's just till we go into the sleep.\What harm could it do?\Why allow them to go to school at a time like this?\Why else?\It's compulsory education, after all.\Hey, are you listening?\You guys on the surface should do something, too. response:	Do you plan on not doing anything?
context: It's just till we go into the sleep.\What harm could it do?\Why allow them to go to school at a time like this?\Why else?\It's compulsory education, after all.\Hey, are you listening?\You guys on the surface should do something, too.\Do you plan on not doing anything? response:	You and Dad should have talked more.
context: What harm could it do?\Why allow them to go to school at a time like this?\Why else?\It's compulsory education, after all.\Hey, are you listening?\You guys on the surface should do something, too.\Do you plan on not doing anything?\You and Dad should have talked more. response:	Seriously, that's not the point right now!
context: Why allow them to go to school at a time like this?\Why else?\It's compulsory education, after all.\Hey, are you listening?\You guys on the surface should do something, too.\Do you plan on not doing anything?\You and Dad should have talked more.\Seriously, that's not the point right now! response:	Aka-chan, are we going to die?
context: Why else?\It's compulsory education, after all.\Hey, are you listening?\You guys on the surface should do something, too.\Do you plan on not doing anything?\You and Dad should have talked more.\Seriously, that's not the point right now!\Aka-chan, are we going to die? response:	Of course not.
context: It's compulsory education, after all.\Hey, are you listening?\You guys on the surface should do something, too.\Do you plan on not doing anything?\You and Dad should have talked more.\Seriously, that's not the point right now!\Aka-chan, are we going to die?\Of course not. response:	What are you doing, scaring Miuna-chan like that?
context: Hey, are you listening?\You guys on the surface should do something, too.\Do you plan on not doing anything?\You and Dad should have talked more.\Seriously, that's not the point right now!\Aka-chan, are we going to die?\Of course not.\What are you doing, scaring Miuna-chan like that? response:	But you know,
context: You guys on the surface should do something, too.\Do you plan on not doing anything?\You and Dad should have talked more.\Seriously, that's not the point right now!\Aka-chan, are we going to die?\Of course not.\What are you doing, scaring Miuna-chan like that?\But you know, response:	we've been able to catch a lot of golden-eyes lately, and it's been cold...
context: Do you plan on not doing anything?\You and Dad should have talked more.\Seriously, that's not the point right now!\Aka-chan, are we going to die?\Of course not.\What are you doing, scaring Miuna-chan like that?\But you know,\we've been able to catch a lot of golden-eyes lately, and it's been cold... response:	A lot of weird things have been happening.
context: You and Dad should have talked more.\Seriously, that's not the point right now!\Aka-chan, are we going to die?\Of course not.\What are you doing, scaring Miuna-chan like that?\But you know,\we've been able to catch a lot of golden-eyes lately, and it's been cold...\A lot of weird things have been happening. response:	If weird phenomena keep happening the way Hikari-kun's saying...
context: Seriously, that's not the point right now!\Aka-chan, are we going to die?\Of course not.\What are you doing, scaring Miuna-chan like that?\But you know,\we've been able to catch a lot of golden-eyes lately, and it's been cold...\A lot of weird things have been happening.\If weird phenomena keep happening the way Hikari-kun's saying... response:	I'll try to talk to everyone again.
context: Aka-chan, are we going to die?\Of course not.\What are you doing, scaring Miuna-chan like that?\But you know,\we've been able to catch a lot of golden-eyes lately, and it's been cold...\A lot of weird things have been happening.\If weird phenomena keep happening the way Hikari-kun's saying...\I'll try to talk to everyone again. response:	Thanks.
context: Of course not.\What are you doing, scaring Miuna-chan like that?\But you know,\we've been able to catch a lot of golden-eyes lately, and it's been cold...\A lot of weird things have been happening.\If weird phenomena keep happening the way Hikari-kun's saying...\I'll try to talk to everyone again.\Thanks. response:	I don't think the guys from Oshiooshi will listen if it's me telling them.
context: What are you doing, scaring Miuna-chan like that?\But you know,\we've been able to catch a lot of golden-eyes lately, and it's been cold...\A lot of weird things have been happening.\If weird phenomena keep happening the way Hikari-kun's saying...\I'll try to talk to everyone again.\Thanks.\I don't think the guys from Oshiooshi will listen if it's me telling them. response:	We'll be doing the Ofunehiki for sure on our end.
context: But you know,\we've been able to catch a lot of golden-eyes lately, and it's been cold...\A lot of weird things have been happening.\If weird phenomena keep happening the way Hikari-kun's saying...\I'll try to talk to everyone again.\Thanks.\I don't think the guys from Oshiooshi will listen if it's me telling them.\We'll be doing the Ofunehiki for sure on our end. response:	Aka-chan, I...
context: we've been able to catch a lot of golden-eyes lately, and it's been cold...\A lot of weird things have been happening.\If weird phenomena keep happening the way Hikari-kun's saying...\I'll try to talk to everyone again.\Thanks.\I don't think the guys from Oshiooshi will listen if it's me telling them.\We'll be doing the Ofunehiki for sure on our end.\Aka-chan, I... response:	Don't worry, it's okay.
context: A lot of weird things have been happening.\If weird phenomena keep happening the way Hikari-kun's saying...\I'll try to talk to everyone again.\Thanks.\I don't think the guys from Oshiooshi will listen if it's me telling them.\We'll be doing the Ofunehiki for sure on our end.\Aka-chan, I...\Don't worry, it's okay. response:	We'll be together forever.
context: If weird phenomena keep happening the way Hikari-kun's saying...\I'll try to talk to everyone again.\Thanks.\I don't think the guys from Oshiooshi will listen if it's me telling them.\We'll be doing the Ofunehiki for sure on our end.\Aka-chan, I...\Don't worry, it's okay.\We'll be together forever. response:	Seriously?!
context: I'll try to talk to everyone again.\Thanks.\I don't think the guys from Oshiooshi will listen if it's me telling them.\We'll be doing the Ofunehiki for sure on our end.\Aka-chan, I...\Don't worry, it's okay.\We'll be together forever.\Seriously?! response:	That's like super bad.
context: Thanks.\I don't think the guys from Oshiooshi will listen if it's me telling them.\We'll be doing the Ofunehiki for sure on our end.\Aka-chan, I...\Don't worry, it's okay.\We'll be together forever.\Seriously?!\That's like super bad. response:	That sucks.
context: I don't think the guys from Oshiooshi will listen if it's me telling them.\We'll be doing the Ofunehiki for sure on our end.\Aka-chan, I...\Don't worry, it's okay.\We'll be together forever.\Seriously?!\That's like super bad.\That sucks. response:	I still want to go overseas, get a boyfriend,
context: We'll be doing the Ofunehiki for sure on our end.\Aka-chan, I...\Don't worry, it's okay.\We'll be together forever.\Seriously?!\That's like super bad.\That sucks.\I still want to go overseas, get a boyfriend, response:	and do a whole bunch of other things.
context: Aka-chan, I...\Don't worry, it's okay.\We'll be together forever.\Seriously?!\That's like super bad.\That sucks.\I still want to go overseas, get a boyfriend,\and do a whole bunch of other things. response:	I'd confess my feelings!
context: Don't worry, it's okay.\We'll be together forever.\Seriously?!\That's like super bad.\That sucks.\I still want to go overseas, get a boyfriend,\and do a whole bunch of other things.\I'd confess my feelings! response:	To who?!
context: We'll be together forever.\Seriously?!\That's like super bad.\That sucks.\I still want to go overseas, get a boyfriend,\and do a whole bunch of other things.\I'd confess my feelings!\To who?! response:	But you know,
context: Seriously?!\That's like super bad.\That sucks.\I still want to go overseas, get a boyfriend,\and do a whole bunch of other things.\I'd confess my feelings!\To who?!\But you know, response:	if this happens after we die, does it really matter?
context: That's like super bad.\That sucks.\I still want to go overseas, get a boyfriend,\and do a whole bunch of other things.\I'd confess my feelings!\To who?!\But you know,\if this happens after we die, does it really matter? response:	If everything were going to end tomorrow, it'd be pretty big, but...
context: That sucks.\I still want to go overseas, get a boyfriend,\and do a whole bunch of other things.\I'd confess my feelings!\To who?!\But you know,\if this happens after we die, does it really matter?\If everything were going to end tomorrow, it'd be pretty big, but... response:	Listen to me!
context: I still want to go overseas, get a boyfriend,\and do a whole bunch of other things.\I'd confess my feelings!\To who?!\But you know,\if this happens after we die, does it really matter?\If everything were going to end tomorrow, it'd be pretty big, but...\Listen to me! response:	You guys may be okay with it, but what about your grandkids and great-grandkids?
context: and do a whole bunch of other things.\I'd confess my feelings!\To who?!\But you know,\if this happens after we die, does it really matter?\If everything were going to end tomorrow, it'd be pretty big, but...\Listen to me!\You guys may be okay with it, but what about your grandkids and great-grandkids? response:	Grandkids?
context: I'd confess my feelings!\To who?!\But you know,\if this happens after we die, does it really matter?\If everything were going to end tomorrow, it'd be pretty big, but...\Listen to me!\You guys may be okay with it, but what about your grandkids and great-grandkids?\Grandkids? response:	Our last resort is the Ofunehiki.
context: To who?!\But you know,\if this happens after we die, does it really matter?\If everything were going to end tomorrow, it'd be pretty big, but...\Listen to me!\You guys may be okay with it, but what about your grandkids and great-grandkids?\Grandkids?\Our last resort is the Ofunehiki. response:	It's not just some little festival anymore.
context: But you know,\if this happens after we die, does it really matter?\If everything were going to end tomorrow, it'd be pretty big, but...\Listen to me!\You guys may be okay with it, but what about your grandkids and great-grandkids?\Grandkids?\Our last resort is the Ofunehiki.\It's not just some little festival anymore. response:	Kaname-kun, is this true?
context: if this happens after we die, does it really matter?\If everything were going to end tomorrow, it'd be pretty big, but...\Listen to me!\You guys may be okay with it, but what about your grandkids and great-grandkids?\Grandkids?\Our last resort is the Ofunehiki.\It's not just some little festival anymore.\Kaname-kun, is this true? response:	Like everything being destroyed and stuff.
context: If everything were going to end tomorrow, it'd be pretty big, but...\Listen to me!\You guys may be okay with it, but what about your grandkids and great-grandkids?\Grandkids?\Our last resort is the Ofunehiki.\It's not just some little festival anymore.\Kaname-kun, is this true?\Like everything being destroyed and stuff. response:	Do you think he's lying?
context: Listen to me!\You guys may be okay with it, but what about your grandkids and great-grandkids?\Grandkids?\Our last resort is the Ofunehiki.\It's not just some little festival anymore.\Kaname-kun, is this true?\Like everything being destroyed and stuff.\Do you think he's lying? response:	But you know...
context: You guys may be okay with it, but what about your grandkids and great-grandkids?\Grandkids?\Our last resort is the Ofunehiki.\It's not just some little festival anymore.\Kaname-kun, is this true?\Like everything being destroyed and stuff.\Do you think he's lying?\But you know... response:	I think it's true.
context: Grandkids?\Our last resort is the Ofunehiki.\It's not just some little festival anymore.\Kaname-kun, is this true?\Like everything being destroyed and stuff.\Do you think he's lying?\But you know...\I think it's true. response:	Gramps has been saying something's weird for a while now.
context: Our last resort is the Ofunehiki.\It's not just some little festival anymore.\Kaname-kun, is this true?\Like everything being destroyed and stuff.\Do you think he's lying?\But you know...\I think it's true.\Gramps has been saying something's weird for a while now. response:	Like how the sea is completely different from before.
context: It's not just some little festival anymore.\Kaname-kun, is this true?\Like everything being destroyed and stuff.\Do you think he's lying?\But you know...\I think it's true.\Gramps has been saying something's weird for a while now.\Like how the sea is completely different from before. response:	He said the sea probably won't go back to how it used to be.
context: Kaname-kun, is this true?\Like everything being destroyed and stuff.\Do you think he's lying?\But you know...\I think it's true.\Gramps has been saying something's weird for a while now.\Like how the sea is completely different from before.\He said the sea probably won't go back to how it used to be. response:	I'll give the beaded ring to my mommy...
context: Like everything being destroyed and stuff.\Do you think he's lying?\But you know...\I think it's true.\Gramps has been saying something's weird for a while now.\Like how the sea is completely different from before.\He said the sea probably won't go back to how it used to be.\I'll give the beaded ring to my mommy... response:	and I think Nyoppi to my Daddy.
context: Do you think he's lying?\But you know...\I think it's true.\Gramps has been saying something's weird for a while now.\Like how the sea is completely different from before.\He said the sea probably won't go back to how it used to be.\I'll give the beaded ring to my mommy...\and I think Nyoppi to my Daddy. response:	Hey, give me your strawberry pencil, Miuna.
context: But you know...\I think it's true.\Gramps has been saying something's weird for a while now.\Like how the sea is completely different from before.\He said the sea probably won't go back to how it used to be.\I'll give the beaded ring to my mommy...\and I think Nyoppi to my Daddy.\Hey, give me your strawberry pencil, Miuna. response:	I'll give you my stationary with violets on it.
context: I think it's true.\Gramps has been saying something's weird for a while now.\Like how the sea is completely different from before.\He said the sea probably won't go back to how it used to be.\I'll give the beaded ring to my mommy...\and I think Nyoppi to my Daddy.\Hey, give me your strawberry pencil, Miuna.\I'll give you my stationary with violets on it. response:	Sayu, aren't you scared?
context: Gramps has been saying something's weird for a while now.\Like how the sea is completely different from before.\He said the sea probably won't go back to how it used to be.\I'll give the beaded ring to my mommy...\and I think Nyoppi to my Daddy.\Hey, give me your strawberry pencil, Miuna.\I'll give you my stationary with violets on it.\Sayu, aren't you scared? response:	We're going to die.
context: Like how the sea is completely different from before.\He said the sea probably won't go back to how it used to be.\I'll give the beaded ring to my mommy...\and I think Nyoppi to my Daddy.\Hey, give me your strawberry pencil, Miuna.\I'll give you my stationary with violets on it.\Sayu, aren't you scared?\We're going to die. response:	That's why we're distributing mementos right now.
context: He said the sea probably won't go back to how it used to be.\I'll give the beaded ring to my mommy...\and I think Nyoppi to my Daddy.\Hey, give me your strawberry pencil, Miuna.\I'll give you my stationary with violets on it.\Sayu, aren't you scared?\We're going to die.\That's why we're distributing mementos right now. response:	We don't know when we're gonna die.
context: I'll give the beaded ring to my mommy...\and I think Nyoppi to my Daddy.\Hey, give me your strawberry pencil, Miuna.\I'll give you my stationary with violets on it.\Sayu, aren't you scared?\We're going to die.\That's why we're distributing mementos right now.\We don't know when we're gonna die. response:	No!
context: and I think Nyoppi to my Daddy.\Hey, give me your strawberry pencil, Miuna.\I'll give you my stationary with violets on it.\Sayu, aren't you scared?\We're going to die.\That's why we're distributing mementos right now.\We don't know when we're gonna die.\No! response:	I don't want you to die, Sayu.
context: Hey, give me your strawberry pencil, Miuna.\I'll give you my stationary with violets on it.\Sayu, aren't you scared?\We're going to die.\That's why we're distributing mementos right now.\We don't know when we're gonna die.\No!\I don't want you to die, Sayu. response:	I don't want to die either.
context: I'll give you my stationary with violets on it.\Sayu, aren't you scared?\We're going to die.\That's why we're distributing mementos right now.\We don't know when we're gonna die.\No!\I don't want you to die, Sayu.\I don't want to die either. response:	But there's nothing we can do. It's fate.
context: Sayu, aren't you scared?\We're going to die.\That's why we're distributing mementos right now.\We don't know when we're gonna die.\No!\I don't want you to die, Sayu.\I don't want to die either.\But there's nothing we can do. It's fate. response:	But there has to be something!
context: We're going to die.\That's why we're distributing mementos right now.\We don't know when we're gonna die.\No!\I don't want you to die, Sayu.\I don't want to die either.\But there's nothing we can do. It's fate.\But there has to be something! response:	You and Aka-chan and Daddy are all important and precious.
context: That's why we're distributing mementos right now.\We don't know when we're gonna die.\No!\I don't want you to die, Sayu.\I don't want to die either.\But there's nothing we can do. It's fate.\But there has to be something!\You and Aka-chan and Daddy are all important and precious. response:	There has to be something we can do so all of my precious people don't go away!
context: We don't know when we're gonna die.\No!\I don't want you to die, Sayu.\I don't want to die either.\But there's nothing we can do. It's fate.\But there has to be something!\You and Aka-chan and Daddy are all important and precious.\There has to be something we can do so all of my precious people don't go away! response:	But you know...
context: No!\I don't want you to die, Sayu.\I don't want to die either.\But there's nothing we can do. It's fate.\But there has to be something!\You and Aka-chan and Daddy are all important and precious.\There has to be something we can do so all of my precious people don't go away!\But you know... response:	Kaname... the people of the sea just have to sleep and they'll be fine, right?
context: I don't want you to die, Sayu.\I don't want to die either.\But there's nothing we can do. It's fate.\But there has to be something!\You and Aka-chan and Daddy are all important and precious.\There has to be something we can do so all of my precious people don't go away!\But you know...\Kaname... the people of the sea just have to sleep and they'll be fine, right? response:	But Aka-chan said she wasn't going to sleep.
context: I don't want to die either.\But there's nothing we can do. It's fate.\But there has to be something!\You and Aka-chan and Daddy are all important and precious.\There has to be something we can do so all of my precious people don't go away!\But you know...\Kaname... the people of the sea just have to sleep and they'll be fine, right?\But Aka-chan said she wasn't going to sleep. response:	She said she was going to stay awake with us.
context: But there's nothing we can do. It's fate.\But there has to be something!\You and Aka-chan and Daddy are all important and precious.\There has to be something we can do so all of my precious people don't go away!\But you know...\Kaname... the people of the sea just have to sleep and they'll be fine, right?\But Aka-chan said she wasn't going to sleep.\She said she was going to stay awake with us. response:	But then, Aka-chan's going to die.
context: But there has to be something!\You and Aka-chan and Daddy are all important and precious.\There has to be something we can do so all of my precious people don't go away!\But you know...\Kaname... the people of the sea just have to sleep and they'll be fine, right?\But Aka-chan said she wasn't going to sleep.\She said she was going to stay awake with us.\But then, Aka-chan's going to die. response:	We can be together,
context: You and Aka-chan and Daddy are all important and precious.\There has to be something we can do so all of my precious people don't go away!\But you know...\Kaname... the people of the sea just have to sleep and they'll be fine, right?\But Aka-chan said she wasn't going to sleep.\She said she was going to stay awake with us.\But then, Aka-chan's going to die.\We can be together, response:	but we'll be dead so we won't be able to see each other anyway!
context: There has to be something we can do so all of my precious people don't go away!\But you know...\Kaname... the people of the sea just have to sleep and they'll be fine, right?\But Aka-chan said she wasn't going to sleep.\She said she was going to stay awake with us.\But then, Aka-chan's going to die.\We can be together,\but we'll be dead so we won't be able to see each other anyway! response:	Huh?
context: But you know...\Kaname... the people of the sea just have to sleep and they'll be fine, right?\But Aka-chan said she wasn't going to sleep.\She said she was going to stay awake with us.\But then, Aka-chan's going to die.\We can be together,\but we'll be dead so we won't be able to see each other anyway!\Huh? response:	I-I feel sick...
context: Kaname... the people of the sea just have to sleep and they'll be fine, right?\But Aka-chan said she wasn't going to sleep.\She said she was going to stay awake with us.\But then, Aka-chan's going to die.\We can be together,\but we'll be dead so we won't be able to see each other anyway!\Huh?\I-I feel sick... response:	Sayu?
context: But Aka-chan said she wasn't going to sleep.\She said she was going to stay awake with us.\But then, Aka-chan's going to die.\We can be together,\but we'll be dead so we won't be able to see each other anyway!\Huh?\I-I feel sick...\Sayu? response:	Hey, Miuna.
context: She said she was going to stay awake with us.\But then, Aka-chan's going to die.\We can be together,\but we'll be dead so we won't be able to see each other anyway!\Huh?\I-I feel sick...\Sayu?\Hey, Miuna. response:	How do you keep precious things precious?
context: But then, Aka-chan's going to die.\We can be together,\but we'll be dead so we won't be able to see each other anyway!\Huh?\I-I feel sick...\Sayu?\Hey, Miuna.\How do you keep precious things precious? response:	Huh?
context: We can be together,\but we'll be dead so we won't be able to see each other anyway!\Huh?\I-I feel sick...\Sayu?\Hey, Miuna.\How do you keep precious things precious?\Huh? response:	What happens when your precious things go away?
context: but we'll be dead so we won't be able to see each other anyway!\Huh?\I-I feel sick...\Sayu?\Hey, Miuna.\How do you keep precious things precious?\Huh?\What happens when your precious things go away? response:	Mementos Distribution List Kaname: Gloves and the four-leaf clover I found by Miuna's Long Hair: Sea Slug Pendant Boobs: Dolphin Pencil Board
context: Huh?\I-I feel sick...\Sayu?\Hey, Miuna.\How do you keep precious things precious?\Huh?\What happens when your precious things go away?\Mementos Distribution List Kaname: Gloves and the four-leaf clover I found by Miuna's Long Hair: Sea Slug Pendant Boobs: Dolphin Pencil Board response:	This one deserves nothing!!
context: I-I feel sick...\Sayu?\Hey, Miuna.\How do you keep precious things precious?\Huh?\What happens when your precious things go away?\Mementos Distribution List Kaname: Gloves and the four-leaf clover I found by Miuna's Long Hair: Sea Slug Pendant Boobs: Dolphin Pencil Board\This one deserves nothing!! response:	I see...
context: Sayu?\Hey, Miuna.\How do you keep precious things precious?\Huh?\What happens when your precious things go away?\Mementos Distribution List Kaname: Gloves and the four-leaf clover I found by Miuna's Long Hair: Sea Slug Pendant Boobs: Dolphin Pencil Board\This one deserves nothing!!\I see... response:	So that's what Shishio's been saying.
context: Hey, Miuna.\How do you keep precious things precious?\Huh?\What happens when your precious things go away?\Mementos Distribution List Kaname: Gloves and the four-leaf clover I found by Miuna's Long Hair: Sea Slug Pendant Boobs: Dolphin Pencil Board\This one deserves nothing!!\I see...\So that's what Shishio's been saying. response:	Gramps,
context: How do you keep precious things precious?\Huh?\What happens when your precious things go away?\Mementos Distribution List Kaname: Gloves and the four-leaf clover I found by Miuna's Long Hair: Sea Slug Pendant Boobs: Dolphin Pencil Board\This one deserves nothing!!\I see...\So that's what Shishio's been saying.\Gramps, response:	do you think the saltflake snowfall and the cold is just temporary?
context: Huh?\What happens when your precious things go away?\Mementos Distribution List Kaname: Gloves and the four-leaf clover I found by Miuna's Long Hair: Sea Slug Pendant Boobs: Dolphin Pencil Board\This one deserves nothing!!\I see...\So that's what Shishio's been saying.\Gramps,\do you think the saltflake snowfall and the cold is just temporary? response:	Or do you think it's going to stay like this?
context: What happens when your precious things go away?\Mementos Distribution List Kaname: Gloves and the four-leaf clover I found by Miuna's Long Hair: Sea Slug Pendant Boobs: Dolphin Pencil Board\This one deserves nothing!!\I see...\So that's what Shishio's been saying.\Gramps,\do you think the saltflake snowfall and the cold is just temporary?\Or do you think it's going to stay like this? response:	Well...
