context: Reporting... response:	The rebelling human vermin have connected the Dragon Chain Cannon to the giant lacrima
context: N-No!\I have no power to fight the humans.\As you can see, I am one-winged.\For an Exceed, one's wings grow and shrink by one's own magic power.\With both wings, one can display one's true magic power.\My magic power is extremely weak.\I am so sorry I hid all of this...\You are Wendy-san and Carla-san, yes? response:	I must apologize to you as well.
context: I have no power to fight the humans.\As you can see, I am one-winged.\For an Exceed, one's wings grow and shrink by one's own magic power.\With both wings, one can display one's true magic power.\My magic power is extremely weak.\I am so sorry I hid all of this...\You are Wendy-san and Carla-san, yes?\I must apologize to you as well. response:	This is all my fault.
context: As you can see, I am one-winged.\For an Exceed, one's wings grow and shrink by one's own magic power.\With both wings, one can display one's true magic power.\My magic power is extremely weak.\I am so sorry I hid all of this...\You are Wendy-san and Carla-san, yes?\I must apologize to you as well.\This is all my fault. response:	Please, do not hate me, everyone.
context: For an Exceed, one's wings grow and shrink by one's own magic power.\With both wings, one can display one's true magic power.\My magic power is extremely weak.\I am so sorry I hid all of this...\You are Wendy-san and Carla-san, yes?\I must apologize to you as well.\This is all my fault.\Please, do not hate me, everyone. response:	What is going on?
context: With both wings, one can display one's true magic power.\My magic power is extremely weak.\I am so sorry I hid all of this...\You are Wendy-san and Carla-san, yes?\I must apologize to you as well.\This is all my fault.\Please, do not hate me, everyone.\What is going on? response:	The ones who created the Queen were we elders.
context: My magic power is extremely weak.\I am so sorry I hid all of this...\You are Wendy-san and Carla-san, yes?\I must apologize to you as well.\This is all my fault.\Please, do not hate me, everyone.\What is going on?\The ones who created the Queen were we elders. response:	We are a very weak race.
context: I am so sorry I hid all of this...\You are Wendy-san and Carla-san, yes?\I must apologize to you as well.\This is all my fault.\Please, do not hate me, everyone.\What is going on?\The ones who created the Queen were we elders.\We are a very weak race. response:	Since long ago, we have had terrible things done to us by the humans.
context: You are Wendy-san and Carla-san, yes?\I must apologize to you as well.\This is all my fault.\Please, do not hate me, everyone.\What is going on?\The ones who created the Queen were we elders.\We are a very weak race.\Since long ago, we have had terrible things done to us by the humans. response:	Therefore, to protect ourselves, we made the humans believe that we had power.
context: I must apologize to you as well.\This is all my fault.\Please, do not hate me, everyone.\What is going on?\The ones who created the Queen were we elders.\We are a very weak race.\Since long ago, we have had terrible things done to us by the humans.\Therefore, to protect ourselves, we made the humans believe that we had power. response:	Then, for all Exceeds to gain back their self-confidence,
context: This is all my fault.\Please, do not hate me, everyone.\What is going on?\The ones who created the Queen were we elders.\We are a very weak race.\Since long ago, we have had terrible things done to us by the humans.\Therefore, to protect ourselves, we made the humans believe that we had power.\Then, for all Exceeds to gain back their self-confidence, response:	we had everyone in Extalia believe that they were protected by the power of God.
context: Please, do not hate me, everyone.\What is going on?\The ones who created the Queen were we elders.\We are a very weak race.\Since long ago, we have had terrible things done to us by the humans.\Therefore, to protect ourselves, we made the humans believe that we had power.\Then, for all Exceeds to gain back their self-confidence,\we had everyone in Extalia believe that they were protected by the power of God. response:	The power of God was nothing more than a bluff known only to us few Exceeds...
context: What is going on?\The ones who created the Queen were we elders.\We are a very weak race.\Since long ago, we have had terrible things done to us by the humans.\Therefore, to protect ourselves, we made the humans believe that we had power.\Then, for all Exceeds to gain back their self-confidence,\we had everyone in Extalia believe that they were protected by the power of God.\The power of God was nothing more than a bluff known only to us few Exceeds... response:	At first, the humans didn't believe us,
context: The ones who created the Queen were we elders.\We are a very weak race.\Since long ago, we have had terrible things done to us by the humans.\Therefore, to protect ourselves, we made the humans believe that we had power.\Then, for all Exceeds to gain back their self-confidence,\we had everyone in Extalia believe that they were protected by the power of God.\The power of God was nothing more than a bluff known only to us few Exceeds...\At first, the humans didn't believe us, response:	but before long they began to fear the power of God...
context: We are a very weak race.\Since long ago, we have had terrible things done to us by the humans.\Therefore, to protect ourselves, we made the humans believe that we had power.\Then, for all Exceeds to gain back their self-confidence,\we had everyone in Extalia believe that they were protected by the power of God.\The power of God was nothing more than a bluff known only to us few Exceeds...\At first, the humans didn't believe us,\but before long they began to fear the power of God... response:	For example, the Human Control that decides when humans die...
context: Since long ago, we have had terrible things done to us by the humans.\Therefore, to protect ourselves, we made the humans believe that we had power.\Then, for all Exceeds to gain back their self-confidence,\we had everyone in Extalia believe that they were protected by the power of God.\The power of God was nothing more than a bluff known only to us few Exceeds...\At first, the humans didn't believe us,\but before long they began to fear the power of God...\For example, the Human Control that decides when humans die... response:	It's all actually after the fact.
context: Therefore, to protect ourselves, we made the humans believe that we had power.\Then, for all Exceeds to gain back their self-confidence,\we had everyone in Extalia believe that they were protected by the power of God.\The power of God was nothing more than a bluff known only to us few Exceeds...\At first, the humans didn't believe us,\but before long they began to fear the power of God...\For example, the Human Control that decides when humans die...\It's all actually after the fact. response:	We don't decide what humans are killed...
context: Then, for all Exceeds to gain back their self-confidence,\we had everyone in Extalia believe that they were protected by the power of God.\The power of God was nothing more than a bluff known only to us few Exceeds...\At first, the humans didn't believe us,\but before long they began to fear the power of God...\For example, the Human Control that decides when humans die...\It's all actually after the fact.\We don't decide what humans are killed... response:	We don't have such power, of course.
context: we had everyone in Extalia believe that they were protected by the power of God.\The power of God was nothing more than a bluff known only to us few Exceeds...\At first, the humans didn't believe us,\but before long they began to fear the power of God...\For example, the Human Control that decides when humans die...\It's all actually after the fact.\We don't decide what humans are killed...\We don't have such power, of course. response:	The only thing we have is that Chagot can see a little bit into the future.
context: The power of God was nothing more than a bluff known only to us few Exceeds...\At first, the humans didn't believe us,\but before long they began to fear the power of God...\For example, the Human Control that decides when humans die...\It's all actually after the fact.\We don't decide what humans are killed...\We don't have such power, of course.\The only thing we have is that Chagot can see a little bit into the future. response:	She can see people's deaths.
context: At first, the humans didn't believe us,\but before long they began to fear the power of God...\For example, the Human Control that decides when humans die...\It's all actually after the fact.\We don't decide what humans are killed...\We don't have such power, of course.\The only thing we have is that Chagot can see a little bit into the future.\She can see people's deaths. response:	When she was correct, we made people think it was she who killed them.
context: but before long they began to fear the power of God...\For example, the Human Control that decides when humans die...\It's all actually after the fact.\We don't decide what humans are killed...\We don't have such power, of course.\The only thing we have is that Chagot can see a little bit into the future.\She can see people's deaths.\When she was correct, we made people think it was she who killed them. response:	It's a lie!
context: For example, the Human Control that decides when humans die...\It's all actually after the fact.\We don't decide what humans are killed...\We don't have such power, of course.\The only thing we have is that Chagot can see a little bit into the future.\She can see people's deaths.\When she was correct, we made people think it was she who killed them.\It's a lie! response:	Our Queen is God!
context: It's all actually after the fact.\We don't decide what humans are killed...\We don't have such power, of course.\The only thing we have is that Chagot can see a little bit into the future.\She can see people's deaths.\When she was correct, we made people think it was she who killed them.\It's a lie!\Our Queen is God! response:	Chagot-sama, hurry and destroy the humans!
context: We don't decide what humans are killed...\We don't have such power, of course.\The only thing we have is that Chagot can see a little bit into the future.\She can see people's deaths.\When she was correct, we made people think it was she who killed them.\It's a lie!\Our Queen is God!\Chagot-sama, hurry and destroy the humans! response:	We were deceived!
context: We don't have such power, of course.\The only thing we have is that Chagot can see a little bit into the future.\She can see people's deaths.\When she was correct, we made people think it was she who killed them.\It's a lie!\Our Queen is God!\Chagot-sama, hurry and destroy the humans!\We were deceived! response:	Carla?
context: The only thing we have is that Chagot can see a little bit into the future.\She can see people's deaths.\When she was correct, we made people think it was she who killed them.\It's a lie!\Our Queen is God!\Chagot-sama, hurry and destroy the humans!\We were deceived!\Carla? response:	Whether or not you actually have power, you ordered me to kill my friends!
context: She can see people's deaths.\When she was correct, we made people think it was she who killed them.\It's a lie!\Our Queen is God!\Chagot-sama, hurry and destroy the humans!\We were deceived!\Carla?\Whether or not you actually have power, you ordered me to kill my friends! response:	That I know to be the truth!
context: When she was correct, we made people think it was she who killed them.\It's a lie!\Our Queen is God!\Chagot-sama, hurry and destroy the humans!\We were deceived!\Carla?\Whether or not you actually have power, you ordered me to kill my friends!\That I know to be the truth! response:	Chagot never gave such an order!
context: It's a lie!\Our Queen is God!\Chagot-sama, hurry and destroy the humans!\We were deceived!\Carla?\Whether or not you actually have power, you ordered me to kill my friends!\That I know to be the truth!\Chagot never gave such an order! response:	It must have been the humans who used the Queen to...
context: Our Queen is God!\Chagot-sama, hurry and destroy the humans!\We were deceived!\Carla?\Whether or not you actually have power, you ordered me to kill my friends!\That I know to be the truth!\Chagot never gave such an order!\It must have been the humans who used the Queen to... response:	No!
context: Chagot-sama, hurry and destroy the humans!\We were deceived!\Carla?\Whether or not you actually have power, you ordered me to kill my friends!\That I know to be the truth!\Chagot never gave such an order!\It must have been the humans who used the Queen to...\No! response:	You placed strange memories, messing with my head!
context: We were deceived!\Carla?\Whether or not you actually have power, you ordered me to kill my friends!\That I know to be the truth!\Chagot never gave such an order!\It must have been the humans who used the Queen to...\No!\You placed strange memories, messing with my head! response:	You ordered me to eliminate the Dragon Slayers, yes?
context: Carla?\Whether or not you actually have power, you ordered me to kill my friends!\That I know to be the truth!\Chagot never gave such an order!\It must have been the humans who used the Queen to...\No!\You placed strange memories, messing with my head!\You ordered me to eliminate the Dragon Slayers, yes? response:	Since before I even hatched!
context: Whether or not you actually have power, you ordered me to kill my friends!\That I know to be the truth!\Chagot never gave such an order!\It must have been the humans who used the Queen to...\No!\You placed strange memories, messing with my head!\You ordered me to eliminate the Dragon Slayers, yes?\Since before I even hatched! response:	That's...
context: That I know to be the truth!\Chagot never gave such an order!\It must have been the humans who used the Queen to...\No!\You placed strange memories, messing with my head!\You ordered me to eliminate the Dragon Slayers, yes?\Since before I even hatched!\That's... response:	N-N-N-N-No! There's a really long, important reason for that...
context: Chagot never gave such an order!\It must have been the humans who used the Queen to...\No!\You placed strange memories, messing with my head!\You ordered me to eliminate the Dragon Slayers, yes?\Since before I even hatched!\That's...\N-N-N-N-No! There's a really long, important reason for that... response:	Even if there is a reason, I'll never forgive you!
context: It must have been the humans who used the Queen to...\No!\You placed strange memories, messing with my head!\You ordered me to eliminate the Dragon Slayers, yes?\Since before I even hatched!\That's...\N-N-N-N-No! There's a really long, important reason for that...\Even if there is a reason, I'll never forgive you! response:	Carla, now is really not the time...
context: No!\You placed strange memories, messing with my head!\You ordered me to eliminate the Dragon Slayers, yes?\Since before I even hatched!\That's...\N-N-N-N-No! There's a really long, important reason for that...\Even if there is a reason, I'll never forgive you!\Carla, now is really not the time... response:	Carla-san is completely correct.
context: You placed strange memories, messing with my head!\You ordered me to eliminate the Dragon Slayers, yes?\Since before I even hatched!\That's...\N-N-N-N-No! There's a really long, important reason for that...\Even if there is a reason, I'll never forgive you!\Carla, now is really not the time...\Carla-san is completely correct. response:	You had no sin in this.
context: You ordered me to eliminate the Dragon Slayers, yes?\Since before I even hatched!\That's...\N-N-N-N-No! There's a really long, important reason for that...\Even if there is a reason, I'll never forgive you!\Carla, now is really not the time...\Carla-san is completely correct.\You had no sin in this. response:	And yet, I made you bear the most painful feelings of all.
context: Since before I even hatched!\That's...\N-N-N-N-No! There's a really long, important reason for that...\Even if there is a reason, I'll never forgive you!\Carla, now is really not the time...\Carla-san is completely correct.\You had no sin in this.\And yet, I made you bear the most painful feelings of all. response:	Q-Queen!
context: That's...\N-N-N-N-No! There's a really long, important reason for that...\Even if there is a reason, I'll never forgive you!\Carla, now is really not the time...\Carla-san is completely correct.\You had no sin in this.\And yet, I made you bear the most painful feelings of all.\Q-Queen! response:	Please pass judgment on me for my sins by your own hand!
context: N-N-N-N-No! There's a really long, important reason for that...\Even if there is a reason, I'll never forgive you!\Carla, now is really not the time...\Carla-san is completely correct.\You had no sin in this.\And yet, I made you bear the most painful feelings of all.\Q-Queen!\Please pass judgment on me for my sins by your own hand! response:	Pass judgment by your own hands!
context: Even if there is a reason, I'll never forgive you!\Carla, now is really not the time...\Carla-san is completely correct.\You had no sin in this.\And yet, I made you bear the most painful feelings of all.\Q-Queen!\Please pass judgment on me for my sins by your own hand!\Pass judgment by your own hands! response:	You, who love both the Exceed and the Humans, have such a right!
context: Carla, now is really not the time...\Carla-san is completely correct.\You had no sin in this.\And yet, I made you bear the most painful feelings of all.\Q-Queen!\Please pass judgment on me for my sins by your own hand!\Pass judgment by your own hands!\You, who love both the Exceed and the Humans, have such a right! response:	Carla...
context: Carla-san is completely correct.\You had no sin in this.\And yet, I made you bear the most painful feelings of all.\Q-Queen!\Please pass judgment on me for my sins by your own hand!\Pass judgment by your own hands!\You, who love both the Exceed and the Humans, have such a right!\Carla... response:	Queen!
context: You had no sin in this.\And yet, I made you bear the most painful feelings of all.\Q-Queen!\Please pass judgment on me for my sins by your own hand!\Pass judgment by your own hands!\You, who love both the Exceed and the Humans, have such a right!\Carla...\Queen! response:	Queen!
context: And yet, I made you bear the most painful feelings of all.\Q-Queen!\Please pass judgment on me for my sins by your own hand!\Pass judgment by your own hands!\You, who love both the Exceed and the Humans, have such a right!\Carla...\Queen!\Queen! response:	Now everyone, get away from here!
context: Q-Queen!\Please pass judgment on me for my sins by your own hand!\Pass judgment by your own hands!\You, who love both the Exceed and the Humans, have such a right!\Carla...\Queen!\Queen!\Now everyone, get away from here! response:	My fate lies alongside Extalia as it falls to ruin!
context: Please pass judgment on me for my sins by your own hand!\Pass judgment by your own hands!\You, who love both the Exceed and the Humans, have such a right!\Carla...\Queen!\Queen!\Now everyone, get away from here!\My fate lies alongside Extalia as it falls to ruin! response:	Carla...
context: Pass judgment by your own hands!\You, who love both the Exceed and the Humans, have such a right!\Carla...\Queen!\Queen!\Now everyone, get away from here!\My fate lies alongside Extalia as it falls to ruin!\Carla... response:	Stop this!
context: You, who love both the Exceed and the Humans, have such a right!\Carla...\Queen!\Queen!\Now everyone, get away from here!\My fate lies alongside Extalia as it falls to ruin!\Carla...\Stop this! response:	We don't want to leave you...
context: Carla...\Queen!\Queen!\Now everyone, get away from here!\My fate lies alongside Extalia as it falls to ruin!\Carla...\Stop this!\We don't want to leave you... response:	I'll stay here!
context: Queen!\Queen!\Now everyone, get away from here!\My fate lies alongside Extalia as it falls to ruin!\Carla...\Stop this!\We don't want to leave you...\I'll stay here! response:	This is the end of our history...
context: Queen!\Now everyone, get away from here!\My fate lies alongside Extalia as it falls to ruin!\Carla...\Stop this!\We don't want to leave you...\I'll stay here!\This is the end of our history... response:	That's why the Queen felt she had to tell us everything...
context: Now everyone, get away from here!\My fate lies alongside Extalia as it falls to ruin!\Carla...\Stop this!\We don't want to leave you...\I'll stay here!\This is the end of our history...\That's why the Queen felt she had to tell us everything... response:	But I want to be with you, Queen!
context: My fate lies alongside Extalia as it falls to ruin!\Carla...\Stop this!\We don't want to leave you...\I'll stay here!\This is the end of our history...\That's why the Queen felt she had to tell us everything...\But I want to be with you, Queen! response:	I want to stay here, too!
context: Carla...\Stop this!\We don't want to leave you...\I'll stay here!\This is the end of our history...\That's why the Queen felt she had to tell us everything...\But I want to be with you, Queen!\I want to stay here, too! response:	Everyone, you can't! This country is fated for destruction!
context: Stop this!\We don't want to leave you...\I'll stay here!\This is the end of our history...\That's why the Queen felt she had to tell us everything...\But I want to be with you, Queen!\I want to stay here, too!\Everyone, you can't! This country is fated for destruction! response:	Carla!!
context: We don't want to leave you...\I'll stay here!\This is the end of our history...\That's why the Queen felt she had to tell us everything...\But I want to be with you, Queen!\I want to stay here, too!\Everyone, you can't! This country is fated for destruction!\Carla!! response:	How dare...
context: I'll stay here!\This is the end of our history...\That's why the Queen felt she had to tell us everything...\But I want to be with you, Queen!\I want to stay here, too!\Everyone, you can't! This country is fated for destruction!\Carla!!\How dare... response:	How dare you just give up?!
context: This is the end of our history...\That's why the Queen felt she had to tell us everything...\But I want to be with you, Queen!\I want to stay here, too!\Everyone, you can't! This country is fated for destruction!\Carla!!\How dare...\How dare you just give up?! response:	This is your country, right?
context: That's why the Queen felt she had to tell us everything...\But I want to be with you, Queen!\I want to stay here, too!\Everyone, you can't! This country is fated for destruction!\Carla!!\How dare...\How dare you just give up?!\This is your country, right? response:	Can't you do anything without a god or queen?!
context: But I want to be with you, Queen!\I want to stay here, too!\Everyone, you can't! This country is fated for destruction!\Carla!!\How dare...\How dare you just give up?!\This is your country, right?\Can't you do anything without a god or queen?! response:	Didn't you try your best to live on, even if it was a lie?
context: I want to stay here, too!\Everyone, you can't! This country is fated for destruction!\Carla!!\How dare...\How dare you just give up?!\This is your country, right?\Can't you do anything without a god or queen?!\Didn't you try your best to live on, even if it was a lie? response:	So why are you giving up so easily?
context: Everyone, you can't! This country is fated for destruction!\Carla!!\How dare...\How dare you just give up?!\This is your country, right?\Can't you do anything without a god or queen?!\Didn't you try your best to live on, even if it was a lie?\So why are you giving up so easily? response:	So what if you're weak?
context: Carla!!\How dare...\How dare you just give up?!\This is your country, right?\Can't you do anything without a god or queen?!\Didn't you try your best to live on, even if it was a lie?\So why are you giving up so easily?\So what if you're weak? response:	If everyone works together, you can accomplish anything!
context: How dare...\How dare you just give up?!\This is your country, right?\Can't you do anything without a god or queen?!\Didn't you try your best to live on, even if it was a lie?\So why are you giving up so easily?\So what if you're weak?\If everyone works together, you can accomplish anything! response:	This country will not be destroyed!
context: How dare you just give up?!\This is your country, right?\Can't you do anything without a god or queen?!\Didn't you try your best to live on, even if it was a lie?\So why are you giving up so easily?\So what if you're weak?\If everyone works together, you can accomplish anything!\This country will not be destroyed! response:	Because it's my homeland!
context: This is your country, right?\Can't you do anything without a god or queen?!\Didn't you try your best to live on, even if it was a lie?\So why are you giving up so easily?\So what if you're weak?\If everyone works together, you can accomplish anything!\This country will not be destroyed!\Because it's my homeland! response:	It isn't going anywhere!
context: Can't you do anything without a god or queen?!\Didn't you try your best to live on, even if it was a lie?\So why are you giving up so easily?\So what if you're weak?\If everyone works together, you can accomplish anything!\This country will not be destroyed!\Because it's my homeland!\It isn't going anywhere! response:	I won't give up.
context: Didn't you try your best to live on, even if it was a lie?\So why are you giving up so easily?\So what if you're weak?\If everyone works together, you can accomplish anything!\This country will not be destroyed!\Because it's my homeland!\It isn't going anywhere!\I won't give up. response:	I'll stop it, no matter what!
context: So why are you giving up so easily?\So what if you're weak?\If everyone works together, you can accomplish anything!\This country will not be destroyed!\Because it's my homeland!\It isn't going anywhere!\I won't give up.\I'll stop it, no matter what! response:	Carla!
context: So what if you're weak?\If everyone works together, you can accomplish anything!\This country will not be destroyed!\Because it's my homeland!\It isn't going anywhere!\I won't give up.\I'll stop it, no matter what!\Carla! response:	I'll go, too.
context: If everyone works together, you can accomplish anything!\This country will not be destroyed!\Because it's my homeland!\It isn't going anywhere!\I won't give up.\I'll stop it, no matter what!\Carla!\I'll go, too. response:	Nady...
context: This country will not be destroyed!\Because it's my homeland!\It isn't going anywhere!\I won't give up.\I'll stop it, no matter what!\Carla!\I'll go, too.\Nady... response:	After all, I love this country!
context: Because it's my homeland!\It isn't going anywhere!\I won't give up.\I'll stop it, no matter what!\Carla!\I'll go, too.\Nady...\After all, I love this country! response:	I think I'm gonna be crushed!
context: It isn't going anywhere!\I won't give up.\I'll stop it, no matter what!\Carla!\I'll go, too.\Nady...\After all, I love this country!\I think I'm gonna be crushed! response:	Hold on!
context: I won't give up.\I'll stop it, no matter what!\Carla!\I'll go, too.\Nady...\After all, I love this country!\I think I'm gonna be crushed!\Hold on! response:	We have to stop this... We have to!
context: I'll stop it, no matter what!\Carla!\I'll go, too.\Nady...\After all, I love this country!\I think I'm gonna be crushed!\Hold on!\We have to stop this... We have to! response:	It's pointless...
context: Carla!\I'll go, too.\Nady...\After all, I love this country!\I think I'm gonna be crushed!\Hold on!\We have to stop this... We have to!\It's pointless... response:	This isn't something humans can do anything about, no matter how strong they are!
context: I'll go, too.\Nady...\After all, I love this country!\I think I'm gonna be crushed!\Hold on!\We have to stop this... We have to!\It's pointless...\This isn't something humans can do anything about, no matter how strong they are! response:	Carla?
context: Nady...\After all, I love this country!\I think I'm gonna be crushed!\Hold on!\We have to stop this... We have to!\It's pointless...\This isn't something humans can do anything about, no matter how strong they are!\Carla? response:	I'm not going to give up... on Fairy Tail... or on Extalia!
context: After all, I love this country!\I think I'm gonna be crushed!\Hold on!\We have to stop this... We have to!\It's pointless...\This isn't something humans can do anything about, no matter how strong they are!\Carla?\I'm not going to give up... on Fairy Tail... or on Extalia! response:	I'm gonna protect them both!
context: I think I'm gonna be crushed!\Hold on!\We have to stop this... We have to!\It's pointless...\This isn't something humans can do anything about, no matter how strong they are!\Carla?\I'm not going to give up... on Fairy Tail... or on Extalia!\I'm gonna protect them both! response:	You're...
context: Hold on!\We have to stop this... We have to!\It's pointless...\This isn't something humans can do anything about, no matter how strong they are!\Carla?\I'm not going to give up... on Fairy Tail... or on Extalia!\I'm gonna protect them both!\You're... response:	I wanna protect it, too!
context: We have to stop this... We have to!\It's pointless...\This isn't something humans can do anything about, no matter how strong they are!\Carla?\I'm not going to give up... on Fairy Tail... or on Extalia!\I'm gonna protect them both!\You're...\I wanna protect it, too! response:	And I bet everyone else does, too...
context: It's pointless...\This isn't something humans can do anything about, no matter how strong they are!\Carla?\I'm not going to give up... on Fairy Tail... or on Extalia!\I'm gonna protect them both!\You're...\I wanna protect it, too!\And I bet everyone else does, too... response:	This is... What's going on?
context: This isn't something humans can do anything about, no matter how strong they are!\Carla?\I'm not going to give up... on Fairy Tail... or on Extalia!\I'm gonna protect them both!\You're...\I wanna protect it, too!\And I bet everyone else does, too...\This is... What's going on? response:	That light...
context: Carla?\I'm not going to give up... on Fairy Tail... or on Extalia!\I'm gonna protect them both!\You're...\I wanna protect it, too!\And I bet everyone else does, too...\This is... What's going on?\That light... response:	We'll protect our country ourselves!
context: I'm not going to give up... on Fairy Tail... or on Extalia!\I'm gonna protect them both!\You're...\I wanna protect it, too!\And I bet everyone else does, too...\This is... What's going on?\That light...\We'll protect our country ourselves! response:	We came through dangerous times and protected our country and its people!
context: I'm gonna protect them both!\You're...\I wanna protect it, too!\And I bet everyone else does, too...\This is... What's going on?\That light...\We'll protect our country ourselves!\We came through dangerous times and protected our country and its people! response:	For our Queen!
context: You're...\I wanna protect it, too!\And I bet everyone else does, too...\This is... What's going on?\That light...\We'll protect our country ourselves!\We came through dangerous times and protected our country and its people!\For our Queen! response:	Wendy-san, Carla-san... We're sorry about before!
context: I wanna protect it, too!\And I bet everyone else does, too...\This is... What's going on?\That light...\We'll protect our country ourselves!\We came through dangerous times and protected our country and its people!\For our Queen!\Wendy-san, Carla-san... We're sorry about before! response:	Everyone, we've got to do something about this now!
context: And I bet everyone else does, too...\This is... What's going on?\That light...\We'll protect our country ourselves!\We came through dangerous times and protected our country and its people!\For our Queen!\Wendy-san, Carla-san... We're sorry about before!\Everyone, we've got to do something about this now! response:	Chagot, with your wing, you can't...
context: This is... What's going on?\That light...\We'll protect our country ourselves!\We came through dangerous times and protected our country and its people!\For our Queen!\Wendy-san, Carla-san... We're sorry about before!\Everyone, we've got to do something about this now!\Chagot, with your wing, you can't... response:	No, I must!
context: That light...\We'll protect our country ourselves!\We came through dangerous times and protected our country and its people!\For our Queen!\Wendy-san, Carla-san... We're sorry about before!\Everyone, we've got to do something about this now!\Chagot, with your wing, you can't...\No, I must! response:	I must do what I can!
context: We'll protect our country ourselves!\We came through dangerous times and protected our country and its people!\For our Queen!\Wendy-san, Carla-san... We're sorry about before!\Everyone, we've got to do something about this now!\Chagot, with your wing, you can't...\No, I must!\I must do what I can! response:	What dream is this?
context: We came through dangerous times and protected our country and its people!\For our Queen!\Wendy-san, Carla-san... We're sorry about before!\Everyone, we've got to do something about this now!\Chagot, with your wing, you can't...\No, I must!\I must do what I can!\What dream is this? response:	Extalia has joined together as one...
context: For our Queen!\Wendy-san, Carla-san... We're sorry about before!\Everyone, we've got to do something about this now!\Chagot, with your wing, you can't...\No, I must!\I must do what I can!\What dream is this?\Extalia has joined together as one... response:	Lily, why did you save a human?
context: Wendy-san, Carla-san... We're sorry about before!\Everyone, we've got to do something about this now!\Chagot, with your wing, you can't...\No, I must!\I must do what I can!\What dream is this?\Extalia has joined together as one...\Lily, why did you save a human? response:	Because the child was seriously wounded...
context: Everyone, we've got to do something about this now!\Chagot, with your wing, you can't...\No, I must!\I must do what I can!\What dream is this?\Extalia has joined together as one...\Lily, why did you save a human?\Because the child was seriously wounded... response:	Fool! Bringing that thing to Extalia is a grave offense!
context: Chagot, with your wing, you can't...\No, I must!\I must do what I can!\What dream is this?\Extalia has joined together as one...\Lily, why did you save a human?\Because the child was seriously wounded...\Fool! Bringing that thing to Extalia is a grave offense! response:	However, I must help the injured, even if they be human.
context: No, I must!\I must do what I can!\What dream is this?\Extalia has joined together as one...\Lily, why did you save a human?\Because the child was seriously wounded...\Fool! Bringing that thing to Extalia is a grave offense!\However, I must help the injured, even if they be human. response:	You didn't forget the rules, right, Lily?
context: I must do what I can!\What dream is this?\Extalia has joined together as one...\Lily, why did you save a human?\Because the child was seriously wounded...\Fool! Bringing that thing to Extalia is a grave offense!\However, I must help the injured, even if they be human.\You didn't forget the rules, right, Lily? response:	You are now made one of the Fallen, and are banished from Extalia!
context: What dream is this?\Extalia has joined together as one...\Lily, why did you save a human?\Because the child was seriously wounded...\Fool! Bringing that thing to Extalia is a grave offense!\However, I must help the injured, even if they be human.\You didn't forget the rules, right, Lily?\You are now made one of the Fallen, and are banished from Extalia! response:	What?! For this?!
context: Extalia has joined together as one...\Lily, why did you save a human?\Because the child was seriously wounded...\Fool! Bringing that thing to Extalia is a grave offense!\However, I must help the injured, even if they be human.\You didn't forget the rules, right, Lily?\You are now made one of the Fallen, and are banished from Extalia!\What?! For this?! response:	What?
context: Lily, why did you save a human?\Because the child was seriously wounded...\Fool! Bringing that thing to Extalia is a grave offense!\However, I must help the injured, even if they be human.\You didn't forget the rules, right, Lily?\You are now made one of the Fallen, and are banished from Extalia!\What?! For this?!\What? response:	Don't worry... It wasn't your fault I was banished.
context: Because the child was seriously wounded...\Fool! Bringing that thing to Extalia is a grave offense!\However, I must help the injured, even if they be human.\You didn't forget the rules, right, Lily?\You are now made one of the Fallen, and are banished from Extalia!\What?! For this?!\What?\Don't worry... It wasn't your fault I was banished. response:	First thing I must do is escort you home.
context: Fool! Bringing that thing to Extalia is a grave offense!\However, I must help the injured, even if they be human.\You didn't forget the rules, right, Lily?\You are now made one of the Fallen, and are banished from Extalia!\What?! For this?!\What?\Don't worry... It wasn't your fault I was banished.\First thing I must do is escort you home. response:	Queen!
context: However, I must help the injured, even if they be human.\You didn't forget the rules, right, Lily?\You are now made one of the Fallen, and are banished from Extalia!\What?! For this?!\What?\Don't worry... It wasn't your fault I was banished.\First thing I must do is escort you home.\Queen! response:	Lily!
context: You didn't forget the rules, right, Lily?\You are now made one of the Fallen, and are banished from Extalia!\What?! For this?!\What?\Don't worry... It wasn't your fault I was banished.\First thing I must do is escort you home.\Queen!\Lily! response:	My Queen...
context: You are now made one of the Fallen, and are banished from Extalia!\What?! For this?!\What?\Don't worry... It wasn't your fault I was banished.\First thing I must do is escort you home.\Queen!\Lily!\My Queen... response:	Are you tired from lying?
context: What?! For this?!\What?\Don't worry... It wasn't your fault I was banished.\First thing I must do is escort you home.\Queen!\Lily!\My Queen...\Are you tired from lying? response:	I'm sorry... I...
context: What?\Don't worry... It wasn't your fault I was banished.\First thing I must do is escort you home.\Queen!\Lily!\My Queen...\Are you tired from lying?\I'm sorry... I... response:	As am I...
context: Don't worry... It wasn't your fault I was banished.\First thing I must do is escort you home.\Queen!\Lily!\My Queen...\Are you tired from lying?\I'm sorry... I...\As am I... response:	No matter how much I may resent it, Extalia is my country!
context: First thing I must do is escort you home.\Queen!\Lily!\My Queen...\Are you tired from lying?\I'm sorry... I...\As am I...\No matter how much I may resent it, Extalia is my country! response:	Lily...
context: Queen!\Lily!\My Queen...\Are you tired from lying?\I'm sorry... I...\As am I...\No matter how much I may resent it, Extalia is my country!\Lily... response:	But, it's too late.
