context: Richie. I'm sorry for lyin' to you. response:	Be good to Ri'ko.
context: Kit-tens...\No, you've got no swing!\Raindrops on roses and whiskers on kittens\Bright copper kettles and warm woolen mittens\Brown paper packages tied up with strings\These are a few of my favorite things\Cream colored ponies and crisp apple strudels\Doorbells and sleigh bells and schnitzel with noodles response:	Wild geese that fly with the moon on their wings
context: No, you've got no swing!\Raindrops on roses and whiskers on kittens\Bright copper kettles and warm woolen mittens\Brown paper packages tied up with strings\These are a few of my favorite things\Cream colored ponies and crisp apple strudels\Doorbells and sleigh bells and schnitzel with noodles\Wild geese that fly with the moon on their wings response:	These are a few of my favorite things
context: Raindrops on roses and whiskers on kittens\Bright copper kettles and warm woolen mittens\Brown paper packages tied up with strings\These are a few of my favorite things\Cream colored ponies and crisp apple strudels\Doorbells and sleigh bells and schnitzel with noodles\Wild geese that fly with the moon on their wings\These are a few of my favorite things response:	Girls in white dresses with blue satin sashes
context: Bright copper kettles and warm woolen mittens\Brown paper packages tied up with strings\These are a few of my favorite things\Cream colored ponies and crisp apple strudels\Doorbells and sleigh bells and schnitzel with noodles\Wild geese that fly with the moon on their wings\These are a few of my favorite things\Girls in white dresses with blue satin sashes response:	Snowflakes that stay on my nose and eyelashes
context: Brown paper packages tied up with strings\These are a few of my favorite things\Cream colored ponies and crisp apple strudels\Doorbells and sleigh bells and schnitzel with noodles\Wild geese that fly with the moon on their wings\These are a few of my favorite things\Girls in white dresses with blue satin sashes\Snowflakes that stay on my nose and eyelashes response:	Silver white winters that melt into springs
context: These are a few of my favorite things\Cream colored ponies and crisp apple strudels\Doorbells and sleigh bells and schnitzel with noodles\Wild geese that fly with the moon on their wings\These are a few of my favorite things\Girls in white dresses with blue satin sashes\Snowflakes that stay on my nose and eyelashes\Silver white winters that melt into springs response:	These are a few of my favorite things
context: Cream colored ponies and crisp apple strudels\Doorbells and sleigh bells and schnitzel with noodles\Wild geese that fly with the moon on their wings\These are a few of my favorite things\Girls in white dresses with blue satin sashes\Snowflakes that stay on my nose and eyelashes\Silver white winters that melt into springs\These are a few of my favorite things response:	I simply remember my favorite things
context: Doorbells and sleigh bells and schnitzel with noodles\Wild geese that fly with the moon on their wings\These are a few of my favorite things\Girls in white dresses with blue satin sashes\Snowflakes that stay on my nose and eyelashes\Silver white winters that melt into springs\These are a few of my favorite things\I simply remember my favorite things response:	And then I don't feel so bad
context: Wild geese that fly with the moon on their wings\These are a few of my favorite things\Girls in white dresses with blue satin sashes\Snowflakes that stay on my nose and eyelashes\Silver white winters that melt into springs\These are a few of my favorite things\I simply remember my favorite things\And then I don't feel so bad response:	My Favorite Things...
context: These are a few of my favorite things\Girls in white dresses with blue satin sashes\Snowflakes that stay on my nose and eyelashes\Silver white winters that melt into springs\These are a few of my favorite things\I simply remember my favorite things\And then I don't feel so bad\My Favorite Things... response:	My own favorite things are...
context: Girls in white dresses with blue satin sashes\Snowflakes that stay on my nose and eyelashes\Silver white winters that melt into springs\These are a few of my favorite things\I simply remember my favorite things\And then I don't feel so bad\My Favorite Things...\My own favorite things are... response:	The footsteps of a certain person heading towards the house...
context: Snowflakes that stay on my nose and eyelashes\Silver white winters that melt into springs\These are a few of my favorite things\I simply remember my favorite things\And then I don't feel so bad\My Favorite Things...\My own favorite things are...\The footsteps of a certain person heading towards the house... response:	The sound of the piano and drums riffing in the basement...
context: Silver white winters that melt into springs\These are a few of my favorite things\I simply remember my favorite things\And then I don't feel so bad\My Favorite Things...\My own favorite things are...\The footsteps of a certain person heading towards the house...\The sound of the piano and drums riffing in the basement... response:	The laughter of two boys...
context: These are a few of my favorite things\I simply remember my favorite things\And then I don't feel so bad\My Favorite Things...\My own favorite things are...\The footsteps of a certain person heading towards the house...\The sound of the piano and drums riffing in the basement...\The laughter of two boys... response:	Silly, I know...
context: I simply remember my favorite things\And then I don't feel so bad\My Favorite Things...\My own favorite things are...\The footsteps of a certain person heading towards the house...\The sound of the piano and drums riffing in the basement...\The laughter of two boys...\Silly, I know... response:	Drums and watermelon and onigiri...
context: And then I don't feel so bad\My Favorite Things...\My own favorite things are...\The footsteps of a certain person heading towards the house...\The sound of the piano and drums riffing in the basement...\The laughter of two boys...\Silly, I know...\Drums and watermelon and onigiri... response:	Those are a few of my favorite things...
context: My Favorite Things...\My own favorite things are...\The footsteps of a certain person heading towards the house...\The sound of the piano and drums riffing in the basement...\The laughter of two boys...\Silly, I know...\Drums and watermelon and onigiri...\Those are a few of my favorite things... response:	What the heck is that, Sentaro?
context: My own favorite things are...\The footsteps of a certain person heading towards the house...\The sound of the piano and drums riffing in the basement...\The laughter of two boys...\Silly, I know...\Drums and watermelon and onigiri...\Those are a few of my favorite things...\What the heck is that, Sentaro? response:	Go on, Richie. Your turn!
context: The footsteps of a certain person heading towards the house...\The sound of the piano and drums riffing in the basement...\The laughter of two boys...\Silly, I know...\Drums and watermelon and onigiri...\Those are a few of my favorite things...\What the heck is that, Sentaro?\Go on, Richie. Your turn! response:	Tell us your favorite things.
context: The sound of the piano and drums riffing in the basement...\The laughter of two boys...\Silly, I know...\Drums and watermelon and onigiri...\Those are a few of my favorite things...\What the heck is that, Sentaro?\Go on, Richie. Your turn!\Tell us your favorite things. response:	I don't have any!
context: The laughter of two boys...\Silly, I know...\Drums and watermelon and onigiri...\Those are a few of my favorite things...\What the heck is that, Sentaro?\Go on, Richie. Your turn!\Tell us your favorite things.\I don't have any! response:	Even before Ri-chan said hers, I had something in mind.
context: Silly, I know...\Drums and watermelon and onigiri...\Those are a few of my favorite things...\What the heck is that, Sentaro?\Go on, Richie. Your turn!\Tell us your favorite things.\I don't have any!\Even before Ri-chan said hers, I had something in mind. response:	My favorite thing is this time... right now.
context: Drums and watermelon and onigiri...\Those are a few of my favorite things...\What the heck is that, Sentaro?\Go on, Richie. Your turn!\Tell us your favorite things.\I don't have any!\Even before Ri-chan said hers, I had something in mind.\My favorite thing is this time... right now. response:	Tomorrow's the day...
context: Those are a few of my favorite things...\What the heck is that, Sentaro?\Go on, Richie. Your turn!\Tell us your favorite things.\I don't have any!\Even before Ri-chan said hers, I had something in mind.\My favorite thing is this time... right now.\Tomorrow's the day... response:	All that's left is playing our best at the festival.
context: What the heck is that, Sentaro?\Go on, Richie. Your turn!\Tell us your favorite things.\I don't have any!\Even before Ri-chan said hers, I had something in mind.\My favorite thing is this time... right now.\Tomorrow's the day...\All that's left is playing our best at the festival. response:	Richie... How about playin' Moanin' one more time?
context: Go on, Richie. Your turn!\Tell us your favorite things.\I don't have any!\Even before Ri-chan said hers, I had something in mind.\My favorite thing is this time... right now.\Tomorrow's the day...\All that's left is playing our best at the festival.\Richie... How about playin' Moanin' one more time? response:	Hmm... Nah, let's save it for tomorrow.
context: Tell us your favorite things.\I don't have any!\Even before Ri-chan said hers, I had something in mind.\My favorite thing is this time... right now.\Tomorrow's the day...\All that's left is playing our best at the festival.\Richie... How about playin' Moanin' one more time?\Hmm... Nah, let's save it for tomorrow. response:	If we started jamming now, we wouldn't stop.
context: I don't have any!\Even before Ri-chan said hers, I had something in mind.\My favorite thing is this time... right now.\Tomorrow's the day...\All that's left is playing our best at the festival.\Richie... How about playin' Moanin' one more time?\Hmm... Nah, let's save it for tomorrow.\If we started jamming now, we wouldn't stop. response:	I see. Yeah, you're right.
context: Even before Ri-chan said hers, I had something in mind.\My favorite thing is this time... right now.\Tomorrow's the day...\All that's left is playing our best at the festival.\Richie... How about playin' Moanin' one more time?\Hmm... Nah, let's save it for tomorrow.\If we started jamming now, we wouldn't stop.\I see. Yeah, you're right. response:	Well, see you tomorrow then. Don't be late.
context: My favorite thing is this time... right now.\Tomorrow's the day...\All that's left is playing our best at the festival.\Richie... How about playin' Moanin' one more time?\Hmm... Nah, let's save it for tomorrow.\If we started jamming now, we wouldn't stop.\I see. Yeah, you're right.\Well, see you tomorrow then. Don't be late. response:	Yeah!
context: Tomorrow's the day...\All that's left is playing our best at the festival.\Richie... How about playin' Moanin' one more time?\Hmm... Nah, let's save it for tomorrow.\If we started jamming now, we wouldn't stop.\I see. Yeah, you're right.\Well, see you tomorrow then. Don't be late.\Yeah! response:	He forget to take this...
context: All that's left is playing our best at the festival.\Richie... How about playin' Moanin' one more time?\Hmm... Nah, let's save it for tomorrow.\If we started jamming now, we wouldn't stop.\I see. Yeah, you're right.\Well, see you tomorrow then. Don't be late.\Yeah!\He forget to take this... response:	Ah, well, you don't need a score for jazz.
context: Richie... How about playin' Moanin' one more time?\Hmm... Nah, let's save it for tomorrow.\If we started jamming now, we wouldn't stop.\I see. Yeah, you're right.\Well, see you tomorrow then. Don't be late.\Yeah!\He forget to take this...\Ah, well, you don't need a score for jazz. response:	An' I can just give it to him tomorrow.
context: Hmm... Nah, let's save it for tomorrow.\If we started jamming now, we wouldn't stop.\I see. Yeah, you're right.\Well, see you tomorrow then. Don't be late.\Yeah!\He forget to take this...\Ah, well, you don't need a score for jazz.\An' I can just give it to him tomorrow. response:	Oh. Where are you going?
context: If we started jamming now, we wouldn't stop.\I see. Yeah, you're right.\Well, see you tomorrow then. Don't be late.\Yeah!\He forget to take this...\Ah, well, you don't need a score for jazz.\An' I can just give it to him tomorrow.\Oh. Where are you going? response:	I'm gonna run to deliver something he left behind.
context: I see. Yeah, you're right.\Well, see you tomorrow then. Don't be late.\Yeah!\He forget to take this...\Ah, well, you don't need a score for jazz.\An' I can just give it to him tomorrow.\Oh. Where are you going?\I'm gonna run to deliver something he left behind. response:	Kaoru-san left a while ago.
context: Well, see you tomorrow then. Don't be late.\Yeah!\He forget to take this...\Ah, well, you don't need a score for jazz.\An' I can just give it to him tomorrow.\Oh. Where are you going?\I'm gonna run to deliver something he left behind.\Kaoru-san left a while ago. response:	You might not be able to catch up.
context: Yeah!\He forget to take this...\Ah, well, you don't need a score for jazz.\An' I can just give it to him tomorrow.\Oh. Where are you going?\I'm gonna run to deliver something he left behind.\Kaoru-san left a while ago.\You might not be able to catch up. response:	I know, I know.
context: He forget to take this...\Ah, well, you don't need a score for jazz.\An' I can just give it to him tomorrow.\Oh. Where are you going?\I'm gonna run to deliver something he left behind.\Kaoru-san left a while ago.\You might not be able to catch up.\I know, I know. response:	19th School Festival
context: Ah, well, you don't need a score for jazz.\An' I can just give it to him tomorrow.\Oh. Where are you going?\I'm gonna run to deliver something he left behind.\Kaoru-san left a while ago.\You might not be able to catch up.\I know, I know.\19th School Festival response:	Sen's late...
context: An' I can just give it to him tomorrow.\Oh. Where are you going?\I'm gonna run to deliver something he left behind.\Kaoru-san left a while ago.\You might not be able to catch up.\I know, I know.\19th School Festival\Sen's late... response:	Hey, hey!
context: Oh. Where are you going?\I'm gonna run to deliver something he left behind.\Kaoru-san left a while ago.\You might not be able to catch up.\I know, I know.\19th School Festival\Sen's late...\Hey, hey! response:	It's almost time for our battle.
context: I'm gonna run to deliver something he left behind.\Kaoru-san left a while ago.\You might not be able to catch up.\I know, I know.\19th School Festival\Sen's late...\Hey, hey!\It's almost time for our battle. response:	Huh? Where's your partner? Don't tell me he's late?
context: Kaoru-san left a while ago.\You might not be able to catch up.\I know, I know.\19th School Festival\Sen's late...\Hey, hey!\It's almost time for our battle.\Huh? Where's your partner? Don't tell me he's late? response:	No, uh...
context: You might not be able to catch up.\I know, I know.\19th School Festival\Sen's late...\Hey, hey!\It's almost time for our battle.\Huh? Where's your partner? Don't tell me he's late?\No, uh... response:	Seiji, come on!
context: I know, I know.\19th School Festival\Sen's late...\Hey, hey!\It's almost time for our battle.\Huh? Where's your partner? Don't tell me he's late?\No, uh...\Seiji, come on! response:	Okay! Well, see you later!
context: 19th School Festival\Sen's late...\Hey, hey!\It's almost time for our battle.\Huh? Where's your partner? Don't tell me he's late?\No, uh...\Seiji, come on!\Okay! Well, see you later! response:	Ri-chan...
context: Sen's late...\Hey, hey!\It's almost time for our battle.\Huh? Where's your partner? Don't tell me he's late?\No, uh...\Seiji, come on!\Okay! Well, see you later!\Ri-chan... response:	Sentaro...
context: Hey, hey!\It's almost time for our battle.\Huh? Where's your partner? Don't tell me he's late?\No, uh...\Seiji, come on!\Okay! Well, see you later!\Ri-chan...\Sentaro... response:	He got into an accident on a motorbike last night...
context: It's almost time for our battle.\Huh? Where's your partner? Don't tell me he's late?\No, uh...\Seiji, come on!\Okay! Well, see you later!\Ri-chan...\Sentaro...\He got into an accident on a motorbike last night... response:	S-So... how is he?
context: Huh? Where's your partner? Don't tell me he's late?\No, uh...\Seiji, come on!\Okay! Well, see you later!\Ri-chan...\Sentaro...\He got into an accident on a motorbike last night...\S-So... how is he? response:	I don't know! What should I do?!
context: No, uh...\Seiji, come on!\Okay! Well, see you later!\Ri-chan...\Sentaro...\He got into an accident on a motorbike last night...\S-So... how is he?\I don't know! What should I do?! response:	Kaoru-san...
context: Seiji, come on!\Okay! Well, see you later!\Ri-chan...\Sentaro...\He got into an accident on a motorbike last night...\S-So... how is he?\I don't know! What should I do?!\Kaoru-san... response:	Sentaro is... Sentaro is...
context: Okay! Well, see you later!\Ri-chan...\Sentaro...\He got into an accident on a motorbike last night...\S-So... how is he?\I don't know! What should I do?!\Kaoru-san...\Sentaro is... Sentaro is... response:	Ri-chan, calm down! I'll go to the hospital to see how he is.
context: Ri-chan...\Sentaro...\He got into an accident on a motorbike last night...\S-So... how is he?\I don't know! What should I do?!\Kaoru-san...\Sentaro is... Sentaro is...\Ri-chan, calm down! I'll go to the hospital to see how he is. response:	Stay here until I get back.
context: Sentaro...\He got into an accident on a motorbike last night...\S-So... how is he?\I don't know! What should I do?!\Kaoru-san...\Sentaro is... Sentaro is...\Ri-chan, calm down! I'll go to the hospital to see how he is.\Stay here until I get back. response:	Dammit!
context: He got into an accident on a motorbike last night...\S-So... how is he?\I don't know! What should I do?!\Kaoru-san...\Sentaro is... Sentaro is...\Ri-chan, calm down! I'll go to the hospital to see how he is.\Stay here until I get back.\Dammit! response:	I've dashed down this slope countless times, but it's never felt this long...
context: S-So... how is he?\I don't know! What should I do?!\Kaoru-san...\Sentaro is... Sentaro is...\Ri-chan, calm down! I'll go to the hospital to see how he is.\Stay here until I get back.\Dammit!\I've dashed down this slope countless times, but it's never felt this long... response:	City Hospital
context: I don't know! What should I do?!\Kaoru-san...\Sentaro is... Sentaro is...\Ri-chan, calm down! I'll go to the hospital to see how he is.\Stay here until I get back.\Dammit!\I've dashed down this slope countless times, but it's never felt this long...\City Hospital response:	Um, excuse me!
context: Kaoru-san...\Sentaro is... Sentaro is...\Ri-chan, calm down! I'll go to the hospital to see how he is.\Stay here until I get back.\Dammit!\I've dashed down this slope countless times, but it's never felt this long...\City Hospital\Um, excuse me! response:	I'm looking for...
context: Sentaro is... Sentaro is...\Ri-chan, calm down! I'll go to the hospital to see how he is.\Stay here until I get back.\Dammit!\I've dashed down this slope countless times, but it's never felt this long...\City Hospital\Um, excuse me!\I'm looking for... response:	I'll help you when it's your turn, so please get in line.
context: Ri-chan, calm down! I'll go to the hospital to see how he is.\Stay here until I get back.\Dammit!\I've dashed down this slope countless times, but it's never felt this long...\City Hospital\Um, excuse me!\I'm looking for...\I'll help you when it's your turn, so please get in line. response:	Wait!
context: Stay here until I get back.\Dammit!\I've dashed down this slope countless times, but it's never felt this long...\City Hospital\Um, excuse me!\I'm looking for...\I'll help you when it's your turn, so please get in line.\Wait! response:	U-Um...
context: Dammit!\I've dashed down this slope countless times, but it's never felt this long...\City Hospital\Um, excuse me!\I'm looking for...\I'll help you when it's your turn, so please get in line.\Wait!\U-Um... response:	I heard there was an accident...
context: I've dashed down this slope countless times, but it's never felt this long...\City Hospital\Um, excuse me!\I'm looking for...\I'll help you when it's your turn, so please get in line.\Wait!\U-Um...\I heard there was an accident... response:	They've finished operating... but it's serious head trauma...
context: City Hospital\Um, excuse me!\I'm looking for...\I'll help you when it's your turn, so please get in line.\Wait!\U-Um...\I heard there was an accident...\They've finished operating... but it's serious head trauma... response:	Still hasn't regained consciousness...
context: Um, excuse me!\I'm looking for...\I'll help you when it's your turn, so please get in line.\Wait!\U-Um...\I heard there was an accident...\They've finished operating... but it's serious head trauma...\Still hasn't regained consciousness... response:	No Visitors
context: I'm looking for...\I'll help you when it's your turn, so please get in line.\Wait!\U-Um...\I heard there was an accident...\They've finished operating... but it's serious head trauma...\Still hasn't regained consciousness...\No Visitors response:	Might never wake up again... the doctor said...
context: I'll help you when it's your turn, so please get in line.\Wait!\U-Um...\I heard there was an accident...\They've finished operating... but it's serious head trauma...\Still hasn't regained consciousness...\No Visitors\Might never wake up again... the doctor said... response:	Don't talk like that!
context: Wait!\U-Um...\I heard there was an accident...\They've finished operating... but it's serious head trauma...\Still hasn't regained consciousness...\No Visitors\Might never wake up again... the doctor said...\Don't talk like that! response:	But...
context: U-Um...\I heard there was an accident...\They've finished operating... but it's serious head trauma...\Still hasn't regained consciousness...\No Visitors\Might never wake up again... the doctor said...\Don't talk like that!\But... response:	That's right! Even when Sen is all bloody from a fight, he just laughs it off!
context: I heard there was an accident...\They've finished operating... but it's serious head trauma...\Still hasn't regained consciousness...\No Visitors\Might never wake up again... the doctor said...\Don't talk like that!\But...\That's right! Even when Sen is all bloody from a fight, he just laughs it off! response:	Um... Sachiko is the one who's in there.
context: They've finished operating... but it's serious head trauma...\Still hasn't regained consciousness...\No Visitors\Might never wake up again... the doctor said...\Don't talk like that!\But...\That's right! Even when Sen is all bloody from a fight, he just laughs it off!\Um... Sachiko is the one who's in there. response:	I don't know why... but Sis was riding on the back of Bro's motorbike last night...
context: Still hasn't regained consciousness...\No Visitors\Might never wake up again... the doctor said...\Don't talk like that!\But...\That's right! Even when Sen is all bloody from a fight, he just laughs it off!\Um... Sachiko is the one who's in there.\I don't know why... but Sis was riding on the back of Bro's motorbike last night... response:	They got hit by a car...
context: No Visitors\Might never wake up again... the doctor said...\Don't talk like that!\But...\That's right! Even when Sen is all bloody from a fight, he just laughs it off!\Um... Sachiko is the one who's in there.\I don't know why... but Sis was riding on the back of Bro's motorbike last night...\They got hit by a car... response:	Then how is he?
context: Might never wake up again... the doctor said...\Don't talk like that!\But...\That's right! Even when Sen is all bloody from a fight, he just laughs it off!\Um... Sachiko is the one who's in there.\I don't know why... but Sis was riding on the back of Bro's motorbike last night...\They got hit by a car...\Then how is he? response:	He's hurt, but not too bad.
context: Don't talk like that!\But...\That's right! Even when Sen is all bloody from a fight, he just laughs it off!\Um... Sachiko is the one who's in there.\I don't know why... but Sis was riding on the back of Bro's motorbike last night...\They got hit by a car...\Then how is he?\He's hurt, but not too bad. response:	He was sitting over here just before...
context: But...\That's right! Even when Sen is all bloody from a fight, he just laughs it off!\Um... Sachiko is the one who's in there.\I don't know why... but Sis was riding on the back of Bro's motorbike last night...\They got hit by a car...\Then how is he?\He's hurt, but not too bad.\He was sitting over here just before... response:	I see. Thanks!
context: That's right! Even when Sen is all bloody from a fight, he just laughs it off!\Um... Sachiko is the one who's in there.\I don't know why... but Sis was riding on the back of Bro's motorbike last night...\They got hit by a car...\Then how is he?\He's hurt, but not too bad.\He was sitting over here just before...\I see. Thanks! response:	That's right! The place he's most likely to go is...
context: Um... Sachiko is the one who's in there.\I don't know why... but Sis was riding on the back of Bro's motorbike last night...\They got hit by a car...\Then how is he?\He's hurt, but not too bad.\He was sitting over here just before...\I see. Thanks!\That's right! The place he's most likely to go is... response:	Gotta be...
context: I don't know why... but Sis was riding on the back of Bro's motorbike last night...\They got hit by a car...\Then how is he?\He's hurt, but not too bad.\He was sitting over here just before...\I see. Thanks!\That's right! The place he's most likely to go is...\Gotta be... response:	I've seen this angel before somewhere...
context: They got hit by a car...\Then how is he?\He's hurt, but not too bad.\He was sitting over here just before...\I see. Thanks!\That's right! The place he's most likely to go is...\Gotta be...\I've seen this angel before somewhere... response:	If you're gonna take somebody to Heaven, could you make it me an' not Sachiko, angel?
context: Then how is he?\He's hurt, but not too bad.\He was sitting over here just before...\I see. Thanks!\That's right! The place he's most likely to go is...\Gotta be...\I've seen this angel before somewhere...\If you're gonna take somebody to Heaven, could you make it me an' not Sachiko, angel? response:	Why do I end up hurting the ones I most want to protect?
context: He's hurt, but not too bad.\He was sitting over here just before...\I see. Thanks!\That's right! The place he's most likely to go is...\Gotta be...\I've seen this angel before somewhere...\If you're gonna take somebody to Heaven, could you make it me an' not Sachiko, angel?\Why do I end up hurting the ones I most want to protect? response:	Why... was I even born?
context: He was sitting over here just before...\I see. Thanks!\That's right! The place he's most likely to go is...\Gotta be...\I've seen this angel before somewhere...\If you're gonna take somebody to Heaven, could you make it me an' not Sachiko, angel?\Why do I end up hurting the ones I most want to protect?\Why... was I even born? response:	Richie? What's wrong?
context: I see. Thanks!\That's right! The place he's most likely to go is...\Gotta be...\I've seen this angel before somewhere...\If you're gonna take somebody to Heaven, could you make it me an' not Sachiko, angel?\Why do I end up hurting the ones I most want to protect?\Why... was I even born?\Richie? What's wrong? response:	Hey... What are you cryin' for?
context: That's right! The place he's most likely to go is...\Gotta be...\I've seen this angel before somewhere...\If you're gonna take somebody to Heaven, could you make it me an' not Sachiko, angel?\Why do I end up hurting the ones I most want to protect?\Why... was I even born?\Richie? What's wrong?\Hey... What are you cryin' for? response:	This way, we don't have to see each other cry.
context: Gotta be...\I've seen this angel before somewhere...\If you're gonna take somebody to Heaven, could you make it me an' not Sachiko, angel?\Why do I end up hurting the ones I most want to protect?\Why... was I even born?\Richie? What's wrong?\Hey... What are you cryin' for?\This way, we don't have to see each other cry. response:	What do you mean we? I ain't...
context: I've seen this angel before somewhere...\If you're gonna take somebody to Heaven, could you make it me an' not Sachiko, angel?\Why do I end up hurting the ones I most want to protect?\Why... was I even born?\Richie? What's wrong?\Hey... What are you cryin' for?\This way, we don't have to see each other cry.\What do you mean we? I ain't... response:	It's okay to cry, Sen.
context: If you're gonna take somebody to Heaven, could you make it me an' not Sachiko, angel?\Why do I end up hurting the ones I most want to protect?\Why... was I even born?\Richie? What's wrong?\Hey... What are you cryin' for?\This way, we don't have to see each other cry.\What do you mean we? I ain't...\It's okay to cry, Sen. response:	You've been keeping it bottled up all this time...
context: Why do I end up hurting the ones I most want to protect?\Why... was I even born?\Richie? What's wrong?\Hey... What are you cryin' for?\This way, we don't have to see each other cry.\What do you mean we? I ain't...\It's okay to cry, Sen.\You've been keeping it bottled up all this time... response:	Sa-chan!
context: Why... was I even born?\Richie? What's wrong?\Hey... What are you cryin' for?\This way, we don't have to see each other cry.\What do you mean we? I ain't...\It's okay to cry, Sen.\You've been keeping it bottled up all this time...\Sa-chan! response:	Thank goodness...
context: Richie? What's wrong?\Hey... What are you cryin' for?\This way, we don't have to see each other cry.\What do you mean we? I ain't...\It's okay to cry, Sen.\You've been keeping it bottled up all this time...\Sa-chan!\Thank goodness... response:	Huh? Sen...?
context: Hey... What are you cryin' for?\This way, we don't have to see each other cry.\What do you mean we? I ain't...\It's okay to cry, Sen.\You've been keeping it bottled up all this time...\Sa-chan!\Thank goodness...\Huh? Sen...? response:	At the time, it looked like he was just stepping out...
context: This way, we don't have to see each other cry.\What do you mean we? I ain't...\It's okay to cry, Sen.\You've been keeping it bottled up all this time...\Sa-chan!\Thank goodness...\Huh? Sen...?\At the time, it looked like he was just stepping out... response:	And then...
context: What do you mean we? I ain't...\It's okay to cry, Sen.\You've been keeping it bottled up all this time...\Sa-chan!\Thank goodness...\Huh? Sen...?\At the time, it looked like he was just stepping out...\And then... response:	Richie...
context: It's okay to cry, Sen.\You've been keeping it bottled up all this time...\Sa-chan!\Thank goodness...\Huh? Sen...?\At the time, it looked like he was just stepping out...\And then...\Richie... response:	Kaoru-san...
context: You've been keeping it bottled up all this time...\Sa-chan!\Thank goodness...\Huh? Sen...?\At the time, it looked like he was just stepping out...\And then...\Richie...\Kaoru-san... response:	Um, here. If you're able to eat these...
context: Sa-chan!\Thank goodness...\Huh? Sen...?\At the time, it looked like he was just stepping out...\And then...\Richie...\Kaoru-san...\Um, here. If you're able to eat these... response:	Do you know where my big bro, Sen went?
context: Thank goodness...\Huh? Sen...?\At the time, it looked like he was just stepping out...\And then...\Richie...\Kaoru-san...\Um, here. If you're able to eat these...\Do you know where my big bro, Sen went? response:	He would normally never give me a ride on his bike.
context: Huh? Sen...?\At the time, it looked like he was just stepping out...\And then...\Richie...\Kaoru-san...\Um, here. If you're able to eat these...\Do you know where my big bro, Sen went?\He would normally never give me a ride on his bike. response:	But I had a twisted ankle and kept complaining about it to him.
context: At the time, it looked like he was just stepping out...\And then...\Richie...\Kaoru-san...\Um, here. If you're able to eat these...\Do you know where my big bro, Sen went?\He would normally never give me a ride on his bike.\But I had a twisted ankle and kept complaining about it to him. response:	The accident was my fault...
context: And then...\Richie...\Kaoru-san...\Um, here. If you're able to eat these...\Do you know where my big bro, Sen went?\He would normally never give me a ride on his bike.\But I had a twisted ankle and kept complaining about it to him.\The accident was my fault... response:	I have to apologize to him...
context: Richie...\Kaoru-san...\Um, here. If you're able to eat these...\Do you know where my big bro, Sen went?\He would normally never give me a ride on his bike.\But I had a twisted ankle and kept complaining about it to him.\The accident was my fault...\I have to apologize to him... response:	Sa-chan, right now, if you focus on getting better, Sentaro will come back soon!
context: Kaoru-san...\Um, here. If you're able to eat these...\Do you know where my big bro, Sen went?\He would normally never give me a ride on his bike.\But I had a twisted ankle and kept complaining about it to him.\The accident was my fault...\I have to apologize to him...\Sa-chan, right now, if you focus on getting better, Sentaro will come back soon! response:	You want to show him that you're healthy again, right?
context: Um, here. If you're able to eat these...\Do you know where my big bro, Sen went?\He would normally never give me a ride on his bike.\But I had a twisted ankle and kept complaining about it to him.\The accident was my fault...\I have to apologize to him...\Sa-chan, right now, if you focus on getting better, Sentaro will come back soon!\You want to show him that you're healthy again, right? response:	Yeah.
context: Do you know where my big bro, Sen went?\He would normally never give me a ride on his bike.\But I had a twisted ankle and kept complaining about it to him.\The accident was my fault...\I have to apologize to him...\Sa-chan, right now, if you focus on getting better, Sentaro will come back soon!\You want to show him that you're healthy again, right?\Yeah. response:	I said all that to Sa-chan, but the truth is...
context: He would normally never give me a ride on his bike.\But I had a twisted ankle and kept complaining about it to him.\The accident was my fault...\I have to apologize to him...\Sa-chan, right now, if you focus on getting better, Sentaro will come back soon!\You want to show him that you're healthy again, right?\Yeah.\I said all that to Sa-chan, but the truth is... response:	Kaoru-san, what'll I do if Sentaro never comes back?
context: But I had a twisted ankle and kept complaining about it to him.\The accident was my fault...\I have to apologize to him...\Sa-chan, right now, if you focus on getting better, Sentaro will come back soon!\You want to show him that you're healthy again, right?\Yeah.\I said all that to Sa-chan, but the truth is...\Kaoru-san, what'll I do if Sentaro never comes back? response:	Ri-chan...
context: The accident was my fault...\I have to apologize to him...\Sa-chan, right now, if you focus on getting better, Sentaro will come back soon!\You want to show him that you're healthy again, right?\Yeah.\I said all that to Sa-chan, but the truth is...\Kaoru-san, what'll I do if Sentaro never comes back?\Ri-chan... response:	We're talking about him.
context: I have to apologize to him...\Sa-chan, right now, if you focus on getting better, Sentaro will come back soon!\You want to show him that you're healthy again, right?\Yeah.\I said all that to Sa-chan, but the truth is...\Kaoru-san, what'll I do if Sentaro never comes back?\Ri-chan...\We're talking about him. response:	I bet when we least expect it, he'll suddenly turn up.
context: Sa-chan, right now, if you focus on getting better, Sentaro will come back soon!\You want to show him that you're healthy again, right?\Yeah.\I said all that to Sa-chan, but the truth is...\Kaoru-san, what'll I do if Sentaro never comes back?\Ri-chan...\We're talking about him.\I bet when we least expect it, he'll suddenly turn up. response:	Don't you have that feeling?
context: You want to show him that you're healthy again, right?\Yeah.\I said all that to Sa-chan, but the truth is...\Kaoru-san, what'll I do if Sentaro never comes back?\Ri-chan...\We're talking about him.\I bet when we least expect it, he'll suddenly turn up.\Don't you have that feeling? response:	Yeah. You're right. He will come back, won't he?
