context: How many times do I have to tell you before you can get it in your head?! response:	Shirokawa, don't dye your hair! Earrings aren't allowed, either!
context: We're poor, but Sis definitely needs a cell.\This way, please.\Misa-chan.\Yes?\Sorry for asking you to take over so suddenly.\It's fine.\I've got various expenses to meet this month, so it was actually a good opportunity.\Oh, Misa-chan. response:	Yes?
context: This way, please.\Misa-chan.\Yes?\Sorry for asking you to take over so suddenly.\It's fine.\I've got various expenses to meet this month, so it was actually a good opportunity.\Oh, Misa-chan.\Yes? response:	Can I get one Moe Moe Omelet Rice?
context: Misa-chan.\Yes?\Sorry for asking you to take over so suddenly.\It's fine.\I've got various expenses to meet this month, so it was actually a good opportunity.\Oh, Misa-chan.\Yes?\Can I get one Moe Moe Omelet Rice? response:	One Moe Moe Omelet Rice?
context: Yes?\Sorry for asking you to take over so suddenly.\It's fine.\I've got various expenses to meet this month, so it was actually a good opportunity.\Oh, Misa-chan.\Yes?\Can I get one Moe Moe Omelet Rice?\One Moe Moe Omelet Rice? response:	I'll bring one out right away, Master.
context: Sorry for asking you to take over so suddenly.\It's fine.\I've got various expenses to meet this month, so it was actually a good opportunity.\Oh, Misa-chan.\Yes?\Can I get one Moe Moe Omelet Rice?\One Moe Moe Omelet Rice?\I'll bring one out right away, Master. response:	I've worked here for so long, but I still can't get used to this place.
context: It's fine.\I've got various expenses to meet this month, so it was actually a good opportunity.\Oh, Misa-chan.\Yes?\Can I get one Moe Moe Omelet Rice?\One Moe Moe Omelet Rice?\I'll bring one out right away, Master.\I've worked here for so long, but I still can't get used to this place. response:	I don't have much free time because of student council work,
context: I've got various expenses to meet this month, so it was actually a good opportunity.\Oh, Misa-chan.\Yes?\Can I get one Moe Moe Omelet Rice?\One Moe Moe Omelet Rice?\I'll bring one out right away, Master.\I've worked here for so long, but I still can't get used to this place.\I don't have much free time because of student council work, response:	so I needed a well-paying job like this one, but...
context: Oh, Misa-chan.\Yes?\Can I get one Moe Moe Omelet Rice?\One Moe Moe Omelet Rice?\I'll bring one out right away, Master.\I've worked here for so long, but I still can't get used to this place.\I don't have much free time because of student council work,\so I needed a well-paying job like this one, but... response:	If someone from school were to see me like this...
context: Yes?\Can I get one Moe Moe Omelet Rice?\One Moe Moe Omelet Rice?\I'll bring one out right away, Master.\I've worked here for so long, but I still can't get used to this place.\I don't have much free time because of student council work,\so I needed a well-paying job like this one, but...\If someone from school were to see me like this... response:	Wow.
context: Can I get one Moe Moe Omelet Rice?\One Moe Moe Omelet Rice?\I'll bring one out right away, Master.\I've worked here for so long, but I still can't get used to this place.\I don't have much free time because of student council work,\so I needed a well-paying job like this one, but...\If someone from school were to see me like this...\Wow. response:	What a surprise.
context: One Moe Moe Omelet Rice?\I'll bring one out right away, Master.\I've worked here for so long, but I still can't get used to this place.\I don't have much free time because of student council work,\so I needed a well-paying job like this one, but...\If someone from school were to see me like this...\Wow.\What a surprise. response:	If it isn't the Prez.
context: I'll bring one out right away, Master.\I've worked here for so long, but I still can't get used to this place.\I don't have much free time because of student council work,\so I needed a well-paying job like this one, but...\If someone from school were to see me like this...\Wow.\What a surprise.\If it isn't the Prez. response:	Usui Takumi!!
context: I've worked here for so long, but I still can't get used to this place.\I don't have much free time because of student council work,\so I needed a well-paying job like this one, but...\If someone from school were to see me like this...\Wow.\What a surprise.\If it isn't the Prez.\Usui Takumi!! response:	My life is over.
context: I don't have much free time because of student council work,\so I needed a well-paying job like this one, but...\If someone from school were to see me like this...\Wow.\What a surprise.\If it isn't the Prez.\Usui Takumi!!\My life is over. response:	This is the worst situation imaginable.
context: so I needed a well-paying job like this one, but...\If someone from school were to see me like this...\Wow.\What a surprise.\If it isn't the Prez.\Usui Takumi!!\My life is over.\This is the worst situation imaginable. response:	The whole school will definitely know about it.
context: If someone from school were to see me like this...\Wow.\What a surprise.\If it isn't the Prez.\Usui Takumi!!\My life is over.\This is the worst situation imaginable.\The whole school will definitely know about it. response:	Everything will be harder if they realize that the Student Council President is a maid...
context: Wow.\What a surprise.\If it isn't the Prez.\Usui Takumi!!\My life is over.\This is the worst situation imaginable.\The whole school will definitely know about it.\Everything will be harder if they realize that the Student Council President is a maid... response:	The trust I've been building up until now is on its way down the drain...
context: What a surprise.\If it isn't the Prez.\Usui Takumi!!\My life is over.\This is the worst situation imaginable.\The whole school will definitely know about it.\Everything will be harder if they realize that the Student Council President is a maid...\The trust I've been building up until now is on its way down the drain... response:	Time for a quick break.
context: If it isn't the Prez.\Usui Takumi!!\My life is over.\This is the worst situation imaginable.\The whole school will definitely know about it.\Everything will be harder if they realize that the Student Council President is a maid...\The trust I've been building up until now is on its way down the drain...\Time for a quick break. response:	Chief! Chief!
context: Usui Takumi!!\My life is over.\This is the worst situation imaginable.\The whole school will definitely know about it.\Everything will be harder if they realize that the Student Council President is a maid...\The trust I've been building up until now is on its way down the drain...\Time for a quick break.\Chief! Chief! response:	There's something strange-looking on the ground!
context: My life is over.\This is the worst situation imaginable.\The whole school will definitely know about it.\Everything will be harder if they realize that the Student Council President is a maid...\The trust I've been building up until now is on its way down the drain...\Time for a quick break.\Chief! Chief!\There's something strange-looking on the ground! response:	What? What happened?
context: This is the worst situation imaginable.\The whole school will definitely know about it.\Everything will be harder if they realize that the Student Council President is a maid...\The trust I've been building up until now is on its way down the drain...\Time for a quick break.\Chief! Chief!\There's something strange-looking on the ground!\What? What happened? response:	Misa-chan! Are you all right?!
context: The whole school will definitely know about it.\Everything will be harder if they realize that the Student Council President is a maid...\The trust I've been building up until now is on its way down the drain...\Time for a quick break.\Chief! Chief!\There's something strange-looking on the ground!\What? What happened?\Misa-chan! Are you all right?! response:	Oh, it was Misa-chan...
context: Everything will be harder if they realize that the Student Council President is a maid...\The trust I've been building up until now is on its way down the drain...\Time for a quick break.\Chief! Chief!\There's something strange-looking on the ground!\What? What happened?\Misa-chan! Are you all right?!\Oh, it was Misa-chan... response:	You're excused from work! Go home and rest!
context: The trust I've been building up until now is on its way down the drain...\Time for a quick break.\Chief! Chief!\There's something strange-looking on the ground!\What? What happened?\Misa-chan! Are you all right?!\Oh, it was Misa-chan...\You're excused from work! Go home and rest! response:	No, I'm fine.
context: Time for a quick break.\Chief! Chief!\There's something strange-looking on the ground!\What? What happened?\Misa-chan! Are you all right?!\Oh, it was Misa-chan...\You're excused from work! Go home and rest!\No, I'm fine. response:	Thanks for the hard work!
context: Chief! Chief!\There's something strange-looking on the ground!\What? What happened?\Misa-chan! Are you all right?!\Oh, it was Misa-chan...\You're excused from work! Go home and rest!\No, I'm fine.\Thanks for the hard work! response:	Oh, you're dressed normally now.
context: There's something strange-looking on the ground!\What? What happened?\Misa-chan! Are you all right?!\Oh, it was Misa-chan...\You're excused from work! Go home and rest!\No, I'm fine.\Thanks for the hard work!\Oh, you're dressed normally now. response:	W-What?!
context: What? What happened?\Misa-chan! Are you all right?!\Oh, it was Misa-chan...\You're excused from work! Go home and rest!\No, I'm fine.\Thanks for the hard work!\Oh, you're dressed normally now.\W-What?! response:	What do you want?!
context: Misa-chan! Are you all right?!\Oh, it was Misa-chan...\You're excused from work! Go home and rest!\No, I'm fine.\Thanks for the hard work!\Oh, you're dressed normally now.\W-What?!\What do you want?! response:	Huh?
context: Oh, it was Misa-chan...\You're excused from work! Go home and rest!\No, I'm fine.\Thanks for the hard work!\Oh, you're dressed normally now.\W-What?!\What do you want?!\Huh? response:	Nothing, really. I just wanted to make sure.
context: You're excused from work! Go home and rest!\No, I'm fine.\Thanks for the hard work!\Oh, you're dressed normally now.\W-What?!\What do you want?!\Huh?\Nothing, really. I just wanted to make sure. response:	So that maid really was the Prez...
context: No, I'm fine.\Thanks for the hard work!\Oh, you're dressed normally now.\W-What?!\What do you want?!\Huh?\Nothing, really. I just wanted to make sure.\So that maid really was the Prez... response:	Why are you working at a place like this?
context: Thanks for the hard work!\Oh, you're dressed normally now.\W-What?!\What do you want?!\Huh?\Nothing, really. I just wanted to make sure.\So that maid really was the Prez...\Why are you working at a place like this? response:	I'll be off now, Chief!
context: Oh, you're dressed normally now.\W-What?!\What do you want?!\Huh?\Nothing, really. I just wanted to make sure.\So that maid really was the Prez...\Why are you working at a place like this?\I'll be off now, Chief! response:	Good work today!
context: W-What?!\What do you want?!\Huh?\Nothing, really. I just wanted to make sure.\So that maid really was the Prez...\Why are you working at a place like this?\I'll be off now, Chief!\Good work today! response:	Let's take this somewhere else.
context: What do you want?!\Huh?\Nothing, really. I just wanted to make sure.\So that maid really was the Prez...\Why are you working at a place like this?\I'll be off now, Chief!\Good work today!\Let's take this somewhere else. response:	Huh?
context: Huh?\Nothing, really. I just wanted to make sure.\So that maid really was the Prez...\Why are you working at a place like this?\I'll be off now, Chief!\Good work today!\Let's take this somewhere else.\Huh? response:	Just shut up and follow me!
context: Nothing, really. I just wanted to make sure.\So that maid really was the Prez...\Why are you working at a place like this?\I'll be off now, Chief!\Good work today!\Let's take this somewhere else.\Huh?\Just shut up and follow me! response:	Oh, family reasons.
context: So that maid really was the Prez...\Why are you working at a place like this?\I'll be off now, Chief!\Good work today!\Let's take this somewhere else.\Huh?\Just shut up and follow me!\Oh, family reasons. response:	Are things that rough?
context: Why are you working at a place like this?\I'll be off now, Chief!\Good work today!\Let's take this somewhere else.\Huh?\Just shut up and follow me!\Oh, family reasons.\Are things that rough? response:	Yeah.
context: I'll be off now, Chief!\Good work today!\Let's take this somewhere else.\Huh?\Just shut up and follow me!\Oh, family reasons.\Are things that rough?\Yeah. response:	So, that's why you're working at a maid cafe in a neighboring town.
context: Good work today!\Let's take this somewhere else.\Huh?\Just shut up and follow me!\Oh, family reasons.\Are things that rough?\Yeah.\So, that's why you're working at a maid cafe in a neighboring town. response:	Couldn't you have done some physical labor near home instead?
context: Let's take this somewhere else.\Huh?\Just shut up and follow me!\Oh, family reasons.\Are things that rough?\Yeah.\So, that's why you're working at a maid cafe in a neighboring town.\Couldn't you have done some physical labor near home instead? response:	I didn't have that kind of stamina.
context: Huh?\Just shut up and follow me!\Oh, family reasons.\Are things that rough?\Yeah.\So, that's why you're working at a maid cafe in a neighboring town.\Couldn't you have done some physical labor near home instead?\I didn't have that kind of stamina. response:	Being the President, I can't allow my grades to drop.
context: Just shut up and follow me!\Oh, family reasons.\Are things that rough?\Yeah.\So, that's why you're working at a maid cafe in a neighboring town.\Couldn't you have done some physical labor near home instead?\I didn't have that kind of stamina.\Being the President, I can't allow my grades to drop. response:	I couldn't manage both.
context: Oh, family reasons.\Are things that rough?\Yeah.\So, that's why you're working at a maid cafe in a neighboring town.\Couldn't you have done some physical labor near home instead?\I didn't have that kind of stamina.\Being the President, I can't allow my grades to drop.\I couldn't manage both. response:	Wow, must be tough.
context: Are things that rough?\Yeah.\So, that's why you're working at a maid cafe in a neighboring town.\Couldn't you have done some physical labor near home instead?\I didn't have that kind of stamina.\Being the President, I can't allow my grades to drop.\I couldn't manage both.\Wow, must be tough. response:	Oh, so the reason you attend Seika, a school full of guys, despite hating men...
context: Yeah.\So, that's why you're working at a maid cafe in a neighboring town.\Couldn't you have done some physical labor near home instead?\I didn't have that kind of stamina.\Being the President, I can't allow my grades to drop.\I couldn't manage both.\Wow, must be tough.\Oh, so the reason you attend Seika, a school full of guys, despite hating men... response:	I guess.
context: So, that's why you're working at a maid cafe in a neighboring town.\Couldn't you have done some physical labor near home instead?\I didn't have that kind of stamina.\Being the President, I can't allow my grades to drop.\I couldn't manage both.\Wow, must be tough.\Oh, so the reason you attend Seika, a school full of guys, despite hating men...\I guess. response:	I can't tell what this guy's thinking.
context: Couldn't you have done some physical labor near home instead?\I didn't have that kind of stamina.\Being the President, I can't allow my grades to drop.\I couldn't manage both.\Wow, must be tough.\Oh, so the reason you attend Seika, a school full of guys, despite hating men...\I guess.\I can't tell what this guy's thinking. response:	I see...
context: I didn't have that kind of stamina.\Being the President, I can't allow my grades to drop.\I couldn't manage both.\Wow, must be tough.\Oh, so the reason you attend Seika, a school full of guys, despite hating men...\I guess.\I can't tell what this guy's thinking.\I see... response:	My sympathies.
context: Being the President, I can't allow my grades to drop.\I couldn't manage both.\Wow, must be tough.\Oh, so the reason you attend Seika, a school full of guys, despite hating men...\I guess.\I can't tell what this guy's thinking.\I see...\My sympathies. response:	I refuse to let something like this...
context: I couldn't manage both.\Wow, must be tough.\Oh, so the reason you attend Seika, a school full of guys, despite hating men...\I guess.\I can't tell what this guy's thinking.\I see...\My sympathies.\I refuse to let something like this... response:	I refuse...
context: Wow, must be tough.\Oh, so the reason you attend Seika, a school full of guys, despite hating men...\I guess.\I can't tell what this guy's thinking.\I see...\My sympathies.\I refuse to let something like this...\I refuse... response:	I've got a rough road ahead of me...
context: Oh, so the reason you attend Seika, a school full of guys, despite hating men...\I guess.\I can't tell what this guy's thinking.\I see...\My sympathies.\I refuse to let something like this...\I refuse...\I've got a rough road ahead of me... response:	It's been three days since then...
context: I guess.\I can't tell what this guy's thinking.\I see...\My sympathies.\I refuse to let something like this...\I refuse...\I've got a rough road ahead of me...\It's been three days since then... response:	So, to... maid...
context: I can't tell what this guy's thinking.\I see...\My sympathies.\I refuse to let something like this...\I refuse...\I've got a rough road ahead of me...\It's been three days since then...\So, to... maid... response:	'Maid'?!
context: I see...\My sympathies.\I refuse to let something like this...\I refuse...\I've got a rough road ahead of me...\It's been three days since then...\So, to... maid...\'Maid'?! response:	My grandpa says that before he dies, he wants to have the picture he took with a female high school student made...
context: My sympathies.\I refuse to let something like this...\I refuse...\I've got a rough road ahead of me...\It's been three days since then...\So, to... maid...\'Maid'?!\My grandpa says that before he dies, he wants to have the picture he took with a female high school student made... response:	Oh,'made'.
context: I refuse to let something like this...\I refuse...\I've got a rough road ahead of me...\It's been three days since then...\So, to... maid...\'Maid'?!\My grandpa says that before he dies, he wants to have the picture he took with a female high school student made...\Oh,'made'. response:	Oh yeah, that... maid-
context: I refuse...\I've got a rough road ahead of me...\It's been three days since then...\So, to... maid...\'Maid'?!\My grandpa says that before he dies, he wants to have the picture he took with a female high school student made...\Oh,'made'.\Oh yeah, that... maid- response:	'Maid'?!
context: I've got a rough road ahead of me...\It's been three days since then...\So, to... maid...\'Maid'?!\My grandpa says that before he dies, he wants to have the picture he took with a female high school student made...\Oh,'made'.\Oh yeah, that... maid-\'Maid'?! response:	The t-shirt I bought from Made In Tochigi the other day doesn't really fit me...
context: It's been three days since then...\So, to... maid...\'Maid'?!\My grandpa says that before he dies, he wants to have the picture he took with a female high school student made...\Oh,'made'.\Oh yeah, that... maid-\'Maid'?!\The t-shirt I bought from Made In Tochigi the other day doesn't really fit me... response:	Oh, Made In Tochigi.
context: So, to... maid...\'Maid'?!\My grandpa says that before he dies, he wants to have the picture he took with a female high school student made...\Oh,'made'.\Oh yeah, that... maid-\'Maid'?!\The t-shirt I bought from Made In Tochigi the other day doesn't really fit me...\Oh, Made In Tochigi. response:	Are we doing something wrong?!
context: 'Maid'?!\My grandpa says that before he dies, he wants to have the picture he took with a female high school student made...\Oh,'made'.\Oh yeah, that... maid-\'Maid'?!\The t-shirt I bought from Made In Tochigi the other day doesn't really fit me...\Oh, Made In Tochigi.\Are we doing something wrong?! response:	Wow, this isn't good.
context: My grandpa says that before he dies, he wants to have the picture he took with a female high school student made...\Oh,'made'.\Oh yeah, that... maid-\'Maid'?!\The t-shirt I bought from Made In Tochigi the other day doesn't really fit me...\Oh, Made In Tochigi.\Are we doing something wrong?!\Wow, this isn't good. response:	I can't help but overreact towards anything that sounds like the word'maid'.
context: Oh,'made'.\Oh yeah, that... maid-\'Maid'?!\The t-shirt I bought from Made In Tochigi the other day doesn't really fit me...\Oh, Made In Tochigi.\Are we doing something wrong?!\Wow, this isn't good.\I can't help but overreact towards anything that sounds like the word'maid'. response:	But it's strange that no one has found out about it yet...
context: Oh yeah, that... maid-\'Maid'?!\The t-shirt I bought from Made In Tochigi the other day doesn't really fit me...\Oh, Made In Tochigi.\Are we doing something wrong?!\Wow, this isn't good.\I can't help but overreact towards anything that sounds like the word'maid'.\But it's strange that no one has found out about it yet... response:	Is he planning to blackmail me with that?
context: 'Maid'?!\The t-shirt I bought from Made In Tochigi the other day doesn't really fit me...\Oh, Made In Tochigi.\Are we doing something wrong?!\Wow, this isn't good.\I can't help but overreact towards anything that sounds like the word'maid'.\But it's strange that no one has found out about it yet...\Is he planning to blackmail me with that? response:	Or perhaps, he's feeling sympathetic...
context: The t-shirt I bought from Made In Tochigi the other day doesn't really fit me...\Oh, Made In Tochigi.\Are we doing something wrong?!\Wow, this isn't good.\I can't help but overreact towards anything that sounds like the word'maid'.\But it's strange that no one has found out about it yet...\Is he planning to blackmail me with that?\Or perhaps, he's feeling sympathetic... response:	Irritating, but that would probably be for the best.
context: Oh, Made In Tochigi.\Are we doing something wrong?!\Wow, this isn't good.\I can't help but overreact towards anything that sounds like the word'maid'.\But it's strange that no one has found out about it yet...\Is he planning to blackmail me with that?\Or perhaps, he's feeling sympathetic...\Irritating, but that would probably be for the best. response:	Misaki!
context: Are we doing something wrong?!\Wow, this isn't good.\I can't help but overreact towards anything that sounds like the word'maid'.\But it's strange that no one has found out about it yet...\Is he planning to blackmail me with that?\Or perhaps, he's feeling sympathetic...\Irritating, but that would probably be for the best.\Misaki! response:	Sakura! Shizuko!
context: Wow, this isn't good.\I can't help but overreact towards anything that sounds like the word'maid'.\But it's strange that no one has found out about it yet...\Is he planning to blackmail me with that?\Or perhaps, he's feeling sympathetic...\Irritating, but that would probably be for the best.\Misaki!\Sakura! Shizuko! response:	Are you tired or something?
context: I can't help but overreact towards anything that sounds like the word'maid'.\But it's strange that no one has found out about it yet...\Is he planning to blackmail me with that?\Or perhaps, he's feeling sympathetic...\Irritating, but that would probably be for the best.\Misaki!\Sakura! Shizuko!\Are you tired or something? response:	Sorry, I was just doing some thinking.
context: But it's strange that no one has found out about it yet...\Is he planning to blackmail me with that?\Or perhaps, he's feeling sympathetic...\Irritating, but that would probably be for the best.\Misaki!\Sakura! Shizuko!\Are you tired or something?\Sorry, I was just doing some thinking. response:	Sorry to do this when you have so much to worry about, but...
context: Is he planning to blackmail me with that?\Or perhaps, he's feeling sympathetic...\Irritating, but that would probably be for the best.\Misaki!\Sakura! Shizuko!\Are you tired or something?\Sorry, I was just doing some thinking.\Sorry to do this when you have so much to worry about, but... response:	We actually need a favor from you.
context: Or perhaps, he's feeling sympathetic...\Irritating, but that would probably be for the best.\Misaki!\Sakura! Shizuko!\Are you tired or something?\Sorry, I was just doing some thinking.\Sorry to do this when you have so much to worry about, but...\We actually need a favor from you. response:	This must be...
context: Irritating, but that would probably be for the best.\Misaki!\Sakura! Shizuko!\Are you tired or something?\Sorry, I was just doing some thinking.\Sorry to do this when you have so much to worry about, but...\We actually need a favor from you.\This must be... response:	It's kind of scary...
context: Misaki!\Sakura! Shizuko!\Are you tired or something?\Sorry, I was just doing some thinking.\Sorry to do this when you have so much to worry about, but...\We actually need a favor from you.\This must be...\It's kind of scary... response:	We can't get to the flower arrangement club because this thing's in the way.
context: Sakura! Shizuko!\Are you tired or something?\Sorry, I was just doing some thinking.\Sorry to do this when you have so much to worry about, but...\We actually need a favor from you.\This must be...\It's kind of scary...\We can't get to the flower arrangement club because this thing's in the way. response:	I'll lecture the boxing club members about this later.
context: Are you tired or something?\Sorry, I was just doing some thinking.\Sorry to do this when you have so much to worry about, but...\We actually need a favor from you.\This must be...\It's kind of scary...\We can't get to the flower arrangement club because this thing's in the way.\I'll lecture the boxing club members about this later. response:	Guess we should probably move this first.
context: Sorry, I was just doing some thinking.\Sorry to do this when you have so much to worry about, but...\We actually need a favor from you.\This must be...\It's kind of scary...\We can't get to the flower arrangement club because this thing's in the way.\I'll lecture the boxing club members about this later.\Guess we should probably move this first. response:	Stay back for a second.
context: Sorry to do this when you have so much to worry about, but...\We actually need a favor from you.\This must be...\It's kind of scary...\We can't get to the flower arrangement club because this thing's in the way.\I'll lecture the boxing club members about this later.\Guess we should probably move this first.\Stay back for a second. response:	But this thing smells and it's really really heavy...
context: We actually need a favor from you.\This must be...\It's kind of scary...\We can't get to the flower arrangement club because this thing's in the way.\I'll lecture the boxing club members about this later.\Guess we should probably move this first.\Stay back for a second.\But this thing smells and it's really really heavy... response:	Leave it...
context: This must be...\It's kind of scary...\We can't get to the flower arrangement club because this thing's in the way.\I'll lecture the boxing club members about this later.\Guess we should probably move this first.\Stay back for a second.\But this thing smells and it's really really heavy...\Leave it... response:	We are the Boxing Club!
context: It's kind of scary...\We can't get to the flower arrangement club because this thing's in the way.\I'll lecture the boxing club members about this later.\Guess we should probably move this first.\Stay back for a second.\But this thing smells and it's really really heavy...\Leave it...\We are the Boxing Club! response:	Guys! Hurry up and put this where it belongs!
context: We can't get to the flower arrangement club because this thing's in the way.\I'll lecture the boxing club members about this later.\Guess we should probably move this first.\Stay back for a second.\But this thing smells and it's really really heavy...\Leave it...\We are the Boxing Club!\Guys! Hurry up and put this where it belongs! response:	You're the best, Misaki!
context: I'll lecture the boxing club members about this later.\Guess we should probably move this first.\Stay back for a second.\But this thing smells and it's really really heavy...\Leave it...\We are the Boxing Club!\Guys! Hurry up and put this where it belongs!\You're the best, Misaki! response:	That was awesome!
context: Guess we should probably move this first.\Stay back for a second.\But this thing smells and it's really really heavy...\Leave it...\We are the Boxing Club!\Guys! Hurry up and put this where it belongs!\You're the best, Misaki!\That was awesome! response:	Not really.
context: Stay back for a second.\But this thing smells and it's really really heavy...\Leave it...\We are the Boxing Club!\Guys! Hurry up and put this where it belongs!\You're the best, Misaki!\That was awesome!\Not really. response:	It's a lot easier than throwing somebody.
context: But this thing smells and it's really really heavy...\Leave it...\We are the Boxing Club!\Guys! Hurry up and put this where it belongs!\You're the best, Misaki!\That was awesome!\Not really.\It's a lot easier than throwing somebody. response:	Thank you so much!
context: Leave it...\We are the Boxing Club!\Guys! Hurry up and put this where it belongs!\You're the best, Misaki!\That was awesome!\Not really.\It's a lot easier than throwing somebody.\Thank you so much! response:	I love you!
context: We are the Boxing Club!\Guys! Hurry up and put this where it belongs!\You're the best, Misaki!\That was awesome!\Not really.\It's a lot easier than throwing somebody.\Thank you so much!\I love you! response:	A token of my appreciation.
context: Guys! Hurry up and put this where it belongs!\You're the best, Misaki!\That was awesome!\Not really.\It's a lot easier than throwing somebody.\Thank you so much!\I love you!\A token of my appreciation. response:	Thanks.
context: You're the best, Misaki!\That was awesome!\Not really.\It's a lot easier than throwing somebody.\Thank you so much!\I love you!\A token of my appreciation.\Thanks. response:	Huh? Is that Usui-kun looking this way?
context: That was awesome!\Not really.\It's a lot easier than throwing somebody.\Thank you so much!\I love you!\A token of my appreciation.\Thanks.\Huh? Is that Usui-kun looking this way? response:	W-What are you looking at?!
context: Not really.\It's a lot easier than throwing somebody.\Thank you so much!\I love you!\A token of my appreciation.\Thanks.\Huh? Is that Usui-kun looking this way?\W-What are you looking at?! response:	Smirk.
context: It's a lot easier than throwing somebody.\Thank you so much!\I love you!\A token of my appreciation.\Thanks.\Huh? Is that Usui-kun looking this way?\W-What are you looking at?!\Smirk. response:	What was that supposed to mean?
context: Thank you so much!\I love you!\A token of my appreciation.\Thanks.\Huh? Is that Usui-kun looking this way?\W-What are you looking at?!\Smirk.\What was that supposed to mean? response:	I don't get it.
context: I love you!\A token of my appreciation.\Thanks.\Huh? Is that Usui-kun looking this way?\W-What are you looking at?!\Smirk.\What was that supposed to mean?\I don't get it. response:	Usui-kun is so cool!
context: A token of my appreciation.\Thanks.\Huh? Is that Usui-kun looking this way?\W-What are you looking at?!\Smirk.\What was that supposed to mean?\I don't get it.\Usui-kun is so cool! response:	I heard he was practicing Shorinji Kempo up through middle school, and people say he's really strong!
context: Thanks.\Huh? Is that Usui-kun looking this way?\W-What are you looking at?!\Smirk.\What was that supposed to mean?\I don't get it.\Usui-kun is so cool!\I heard he was practicing Shorinji Kempo up through middle school, and people say he's really strong! response:	All the guys look up to him, and his grades are also consistently excellent.
context: Huh? Is that Usui-kun looking this way?\W-What are you looking at?!\Smirk.\What was that supposed to mean?\I don't get it.\Usui-kun is so cool!\I heard he was practicing Shorinji Kempo up through middle school, and people say he's really strong!\All the guys look up to him, and his grades are also consistently excellent. response:	And in addition, those looks!
context: W-What are you looking at?!\Smirk.\What was that supposed to mean?\I don't get it.\Usui-kun is so cool!\I heard he was practicing Shorinji Kempo up through middle school, and people say he's really strong!\All the guys look up to him, and his grades are also consistently excellent.\And in addition, those looks! response:	He's the ray of light in our school, which is otherwise nothing but filthy boys!
context: Smirk.\What was that supposed to mean?\I don't get it.\Usui-kun is so cool!\I heard he was practicing Shorinji Kempo up through middle school, and people say he's really strong!\All the guys look up to him, and his grades are also consistently excellent.\And in addition, those looks!\He's the ray of light in our school, which is otherwise nothing but filthy boys! response:	But I heard he's not even interested in girls anymore, since he's so popular.
context: What was that supposed to mean?\I don't get it.\Usui-kun is so cool!\I heard he was practicing Shorinji Kempo up through middle school, and people say he's really strong!\All the guys look up to him, and his grades are also consistently excellent.\And in addition, those looks!\He's the ray of light in our school, which is otherwise nothing but filthy boys!\But I heard he's not even interested in girls anymore, since he's so popular. response:	But people still confess to him.
context: I don't get it.\Usui-kun is so cool!\I heard he was practicing Shorinji Kempo up through middle school, and people say he's really strong!\All the guys look up to him, and his grades are also consistently excellent.\And in addition, those looks!\He's the ray of light in our school, which is otherwise nothing but filthy boys!\But I heard he's not even interested in girls anymore, since he's so popular.\But people still confess to him. response:	He was that popular?
context: Usui-kun is so cool!\I heard he was practicing Shorinji Kempo up through middle school, and people say he's really strong!\All the guys look up to him, and his grades are also consistently excellent.\And in addition, those looks!\He's the ray of light in our school, which is otherwise nothing but filthy boys!\But I heard he's not even interested in girls anymore, since he's so popular.\But people still confess to him.\He was that popular? response:	I don't understand how these girls' minds work.
context: I heard he was practicing Shorinji Kempo up through middle school, and people say he's really strong!\All the guys look up to him, and his grades are also consistently excellent.\And in addition, those looks!\He's the ray of light in our school, which is otherwise nothing but filthy boys!\But I heard he's not even interested in girls anymore, since he's so popular.\But people still confess to him.\He was that popular?\I don't understand how these girls' minds work. response:	Oh!
context: All the guys look up to him, and his grades are also consistently excellent.\And in addition, those looks!\He's the ray of light in our school, which is otherwise nothing but filthy boys!\But I heard he's not even interested in girls anymore, since he's so popular.\But people still confess to him.\He was that popular?\I don't understand how these girls' minds work.\Oh! response:	Maybe he doesn't really care about the maid thing because he's uninterested?
context: And in addition, those looks!\He's the ray of light in our school, which is otherwise nothing but filthy boys!\But I heard he's not even interested in girls anymore, since he's so popular.\But people still confess to him.\He was that popular?\I don't understand how these girls' minds work.\Oh!\Maybe he doesn't really care about the maid thing because he's uninterested? response:	Hey...
context: He's the ray of light in our school, which is otherwise nothing but filthy boys!\But I heard he's not even interested in girls anymore, since he's so popular.\But people still confess to him.\He was that popular?\I don't understand how these girls' minds work.\Oh!\Maybe he doesn't really care about the maid thing because he's uninterested?\Hey... response:	Why are you here as a customer?!
context: But I heard he's not even interested in girls anymore, since he's so popular.\But people still confess to him.\He was that popular?\I don't understand how these girls' minds work.\Oh!\Maybe he doesn't really care about the maid thing because he's uninterested?\Hey...\Why are you here as a customer?! response:	I don't get it... what is he up to?
context: But people still confess to him.\He was that popular?\I don't understand how these girls' minds work.\Oh!\Maybe he doesn't really care about the maid thing because he's uninterested?\Hey...\Why are you here as a customer?!\I don't get it... what is he up to? response:	Wow, he's...
context: He was that popular?\I don't understand how these girls' minds work.\Oh!\Maybe he doesn't really care about the maid thing because he's uninterested?\Hey...\Why are you here as a customer?!\I don't get it... what is he up to?\Wow, he's... response:	So cute!
context: I don't understand how these girls' minds work.\Oh!\Maybe he doesn't really care about the maid thing because he's uninterested?\Hey...\Why are you here as a customer?!\I don't get it... what is he up to?\Wow, he's...\So cute! response:	Oh, found ya.
