context: Nirvana has started to move, and it's heading toward Wendy's guild, Caitshelter! response:	Yes...
context: Oh, is that so?\I have you now.\Oh, no!\Dude, behind you!\Dark Capriccio!\The rocks are bending!\It's futile.\Dark Capriccio is a piercing magic. response:	It will cut right through those damn rocks!
context: I have you now.\Oh, no!\Dude, behind you!\Dark Capriccio!\The rocks are bending!\It's futile.\Dark Capriccio is a piercing magic.\It will cut right through those damn rocks! response:	The Rockiron Wall won't work against that!
context: Oh, no!\Dude, behind you!\Dark Capriccio!\The rocks are bending!\It's futile.\Dark Capriccio is a piercing magic.\It will cut right through those damn rocks!\The Rockiron Wall won't work against that! response:	He's got a way to pierce through,
context: Dude, behind you!\Dark Capriccio!\The rocks are bending!\It's futile.\Dark Capriccio is a piercing magic.\It will cut right through those damn rocks!\The Rockiron Wall won't work against that!\He's got a way to pierce through, response:	but being able to dodge it is impressive, too!
context: Dark Capriccio!\The rocks are bending!\It's futile.\Dark Capriccio is a piercing magic.\It will cut right through those damn rocks!\The Rockiron Wall won't work against that!\He's got a way to pierce through,\but being able to dodge it is impressive, too! response:	You should take back what you said before.
context: The rocks are bending!\It's futile.\Dark Capriccio is a piercing magic.\It will cut right through those damn rocks!\The Rockiron Wall won't work against that!\He's got a way to pierce through,\but being able to dodge it is impressive, too!\You should take back what you said before. response:	It is not futile.
context: It's futile.\Dark Capriccio is a piercing magic.\It will cut right through those damn rocks!\The Rockiron Wall won't work against that!\He's got a way to pierce through,\but being able to dodge it is impressive, too!\You should take back what you said before.\It is not futile. response:	Now, what will you do, Wizard Saint?
context: Dark Capriccio is a piercing magic.\It will cut right through those damn rocks!\The Rockiron Wall won't work against that!\He's got a way to pierce through,\but being able to dodge it is impressive, too!\You should take back what you said before.\It is not futile.\Now, what will you do, Wizard Saint? response:	Dark Capriccio!
context: It will cut right through those damn rocks!\The Rockiron Wall won't work against that!\He's got a way to pierce through,\but being able to dodge it is impressive, too!\You should take back what you said before.\It is not futile.\Now, what will you do, Wizard Saint?\Dark Capriccio! response:	Rockiron Wall!
context: The Rockiron Wall won't work against that!\He's got a way to pierce through,\but being able to dodge it is impressive, too!\You should take back what you said before.\It is not futile.\Now, what will you do, Wizard Saint?\Dark Capriccio!\Rockiron Wall! response:	The same thing again?
context: He's got a way to pierce through,\but being able to dodge it is impressive, too!\You should take back what you said before.\It is not futile.\Now, what will you do, Wizard Saint?\Dark Capriccio!\Rockiron Wall!\The same thing again? response:	Perhaps that's what is futile!
context: but being able to dodge it is impressive, too!\You should take back what you said before.\It is not futile.\Now, what will you do, Wizard Saint?\Dark Capriccio!\Rockiron Wall!\The same thing again?\Perhaps that's what is futile! response:	My Dark Capriccio will eventually turn you to dust!
context: You should take back what you said before.\It is not futile.\Now, what will you do, Wizard Saint?\Dark Capriccio!\Rockiron Wall!\The same thing again?\Perhaps that's what is futile!\My Dark Capriccio will eventually turn you to dust! response:	That would be good if it were true.
context: It is not futile.\Now, what will you do, Wizard Saint?\Dark Capriccio!\Rockiron Wall!\The same thing again?\Perhaps that's what is futile!\My Dark Capriccio will eventually turn you to dust!\That would be good if it were true. response:	I will finish this. And in a big way!
context: Now, what will you do, Wizard Saint?\Dark Capriccio!\Rockiron Wall!\The same thing again?\Perhaps that's what is futile!\My Dark Capriccio will eventually turn you to dust!\That would be good if it were true.\I will finish this. And in a big way! response:	Dark Capriccio Scream!
context: Dark Capriccio!\Rockiron Wall!\The same thing again?\Perhaps that's what is futile!\My Dark Capriccio will eventually turn you to dust!\That would be good if it were true.\I will finish this. And in a big way!\Dark Capriccio Scream! response:	Rockiron Wall Continuous Chain!
context: Rockiron Wall!\The same thing again?\Perhaps that's what is futile!\My Dark Capriccio will eventually turn you to dust!\That would be good if it were true.\I will finish this. And in a big way!\Dark Capriccio Scream!\Rockiron Wall Continuous Chain! response:	Jura, run!
context: The same thing again?\Perhaps that's what is futile!\My Dark Capriccio will eventually turn you to dust!\That would be good if it were true.\I will finish this. And in a big way!\Dark Capriccio Scream!\Rockiron Wall Continuous Chain!\Jura, run! response:	He's trapped in rocks.
context: Perhaps that's what is futile!\My Dark Capriccio will eventually turn you to dust!\That would be good if it were true.\I will finish this. And in a big way!\Dark Capriccio Scream!\Rockiron Wall Continuous Chain!\Jura, run!\He's trapped in rocks. response:	Supreme Rock Shatter!
context: My Dark Capriccio will eventually turn you to dust!\That would be good if it were true.\I will finish this. And in a big way!\Dark Capriccio Scream!\Rockiron Wall Continuous Chain!\Jura, run!\He's trapped in rocks.\Supreme Rock Shatter! response:	Even while withstanding such fierce attacks, he noticed he could use the shattered pieces of rocks!
context: That would be good if it were true.\I will finish this. And in a big way!\Dark Capriccio Scream!\Rockiron Wall Continuous Chain!\Jura, run!\He's trapped in rocks.\Supreme Rock Shatter!\Even while withstanding such fierce attacks, he noticed he could use the shattered pieces of rocks! response:	No wonder even Lyon treats him with respect.
context: I will finish this. And in a big way!\Dark Capriccio Scream!\Rockiron Wall Continuous Chain!\Jura, run!\He's trapped in rocks.\Supreme Rock Shatter!\Even while withstanding such fierce attacks, he noticed he could use the shattered pieces of rocks!\No wonder even Lyon treats him with respect. response:	Heck yeah! That guy's the boss of Oracion Seis, right?
context: Dark Capriccio Scream!\Rockiron Wall Continuous Chain!\Jura, run!\He's trapped in rocks.\Supreme Rock Shatter!\Even while withstanding such fierce attacks, he noticed he could use the shattered pieces of rocks!\No wonder even Lyon treats him with respect.\Heck yeah! That guy's the boss of Oracion Seis, right? response:	We won!
context: Rockiron Wall Continuous Chain!\Jura, run!\He's trapped in rocks.\Supreme Rock Shatter!\Even while withstanding such fierce attacks, he noticed he could use the shattered pieces of rocks!\No wonder even Lyon treats him with respect.\Heck yeah! That guy's the boss of Oracion Seis, right?\We won! response:	Now... Tell me the reason you are aiming for Wendy-dono's guild.
context: Jura, run!\He's trapped in rocks.\Supreme Rock Shatter!\Even while withstanding such fierce attacks, he noticed he could use the shattered pieces of rocks!\No wonder even Lyon treats him with respect.\Heck yeah! That guy's the boss of Oracion Seis, right?\We won!\Now... Tell me the reason you are aiming for Wendy-dono's guild. response:	Wait, shouldn't we just stop it?
context: He's trapped in rocks.\Supreme Rock Shatter!\Even while withstanding such fierce attacks, he noticed he could use the shattered pieces of rocks!\No wonder even Lyon treats him with respect.\Heck yeah! That guy's the boss of Oracion Seis, right?\We won!\Now... Tell me the reason you are aiming for Wendy-dono's guild.\Wait, shouldn't we just stop it? response:	Do it for me, please...
context: Supreme Rock Shatter!\Even while withstanding such fierce attacks, he noticed he could use the shattered pieces of rocks!\No wonder even Lyon treats him with respect.\Heck yeah! That guy's the boss of Oracion Seis, right?\We won!\Now... Tell me the reason you are aiming for Wendy-dono's guild.\Wait, shouldn't we just stop it?\Do it for me, please... response:	I cannot believe that I... was... defeated...
context: Even while withstanding such fierce attacks, he noticed he could use the shattered pieces of rocks!\No wonder even Lyon treats him with respect.\Heck yeah! That guy's the boss of Oracion Seis, right?\We won!\Now... Tell me the reason you are aiming for Wendy-dono's guild.\Wait, shouldn't we just stop it?\Do it for me, please...\I cannot believe that I... was... defeated... response:	Midnight... I leave the rest to you.
context: No wonder even Lyon treats him with respect.\Heck yeah! That guy's the boss of Oracion Seis, right?\We won!\Now... Tell me the reason you are aiming for Wendy-dono's guild.\Wait, shouldn't we just stop it?\Do it for me, please...\I cannot believe that I... was... defeated...\Midnight... I leave the rest to you. response:	The Six Generals will never be defeated.
context: Heck yeah! That guy's the boss of Oracion Seis, right?\We won!\Now... Tell me the reason you are aiming for Wendy-dono's guild.\Wait, shouldn't we just stop it?\Do it for me, please...\I cannot believe that I... was... defeated...\Midnight... I leave the rest to you.\The Six Generals will never be defeated. response:	When the six prayers vanish,
context: We won!\Now... Tell me the reason you are aiming for Wendy-dono's guild.\Wait, shouldn't we just stop it?\Do it for me, please...\I cannot believe that I... was... defeated...\Midnight... I leave the rest to you.\The Six Generals will never be defeated.\When the six prayers vanish, response:	he will...
context: Now... Tell me the reason you are aiming for Wendy-dono's guild.\Wait, shouldn't we just stop it?\Do it for me, please...\I cannot believe that I... was... defeated...\Midnight... I leave the rest to you.\The Six Generals will never be defeated.\When the six prayers vanish,\he will... response:	He?
context: Wait, shouldn't we just stop it?\Do it for me, please...\I cannot believe that I... was... defeated...\Midnight... I leave the rest to you.\The Six Generals will never be defeated.\When the six prayers vanish,\he will...\He? response:	And hey, didn't one of those symbols on his face just disappear?
context: Do it for me, please...\I cannot believe that I... was... defeated...\Midnight... I leave the rest to you.\The Six Generals will never be defeated.\When the six prayers vanish,\he will...\He?\And hey, didn't one of those symbols on his face just disappear? response:	Please don't freak me out like that.
context: I cannot believe that I... was... defeated...\Midnight... I leave the rest to you.\The Six Generals will never be defeated.\When the six prayers vanish,\he will...\He?\And hey, didn't one of those symbols on his face just disappear?\Please don't freak me out like that. response:	I'm gonna have nightmares about this now!
context: Midnight... I leave the rest to you.\The Six Generals will never be defeated.\When the six prayers vanish,\he will...\He?\And hey, didn't one of those symbols on his face just disappear?\Please don't freak me out like that.\I'm gonna have nightmares about this now! response:	Everyone!
context: The Six Generals will never be defeated.\When the six prayers vanish,\he will...\He?\And hey, didn't one of those symbols on his face just disappear?\Please don't freak me out like that.\I'm gonna have nightmares about this now!\Everyone! response:	Wendy!
context: When the six prayers vanish,\he will...\He?\And hey, didn't one of those symbols on his face just disappear?\Please don't freak me out like that.\I'm gonna have nightmares about this now!\Everyone!\Wendy! response:	I figured that all that ruckus was you people.
context: he will...\He?\And hey, didn't one of those symbols on his face just disappear?\Please don't freak me out like that.\I'm gonna have nightmares about this now!\Everyone!\Wendy!\I figured that all that ruckus was you people. response:	Carla!
context: He?\And hey, didn't one of those symbols on his face just disappear?\Please don't freak me out like that.\I'm gonna have nightmares about this now!\Everyone!\Wendy!\I figured that all that ruckus was you people.\Carla! response:	This city...
context: And hey, didn't one of those symbols on his face just disappear?\Please don't freak me out like that.\I'm gonna have nightmares about this now!\Everyone!\Wendy!\I figured that all that ruckus was you people.\Carla!\This city... response:	I think it might be heading toward our guild!
context: Please don't freak me out like that.\I'm gonna have nightmares about this now!\Everyone!\Wendy!\I figured that all that ruckus was you people.\Carla!\This city...\I think it might be heading toward our guild! response:	Seems like it. But don't worry now.
context: I'm gonna have nightmares about this now!\Everyone!\Wendy!\I figured that all that ruckus was you people.\Carla!\This city...\I think it might be heading toward our guild!\Seems like it. But don't worry now. response:	The snake charmer's defeated over there.
context: Everyone!\Wendy!\I figured that all that ruckus was you people.\Carla!\This city...\I think it might be heading toward our guild!\Seems like it. But don't worry now.\The snake charmer's defeated over there. response:	Then...
context: Wendy!\I figured that all that ruckus was you people.\Carla!\This city...\I think it might be heading toward our guild!\Seems like it. But don't worry now.\The snake charmer's defeated over there.\Then... response:	It's probably Brain here that was manipulating Nirvana.
context: I figured that all that ruckus was you people.\Carla!\This city...\I think it might be heading toward our guild!\Seems like it. But don't worry now.\The snake charmer's defeated over there.\Then...\It's probably Brain here that was manipulating Nirvana. response:	So since we defeated him, the city should stop, right?
context: Carla!\This city...\I think it might be heading toward our guild!\Seems like it. But don't worry now.\The snake charmer's defeated over there.\Then...\It's probably Brain here that was manipulating Nirvana.\So since we defeated him, the city should stop, right? response:	I don't like this.
context: This city...\I think it might be heading toward our guild!\Seems like it. But don't worry now.\The snake charmer's defeated over there.\Then...\It's probably Brain here that was manipulating Nirvana.\So since we defeated him, the city should stop, right?\I don't like this. response:	In the end, we never found out why he was heading for Caitshelter.
context: I think it might be heading toward our guild!\Seems like it. But don't worry now.\The snake charmer's defeated over there.\Then...\It's probably Brain here that was manipulating Nirvana.\So since we defeated him, the city should stop, right?\I don't like this.\In the end, we never found out why he was heading for Caitshelter. response:	Maybe there wasn't any particular reason for it.
context: Seems like it. But don't worry now.\The snake charmer's defeated over there.\Then...\It's probably Brain here that was manipulating Nirvana.\So since we defeated him, the city should stop, right?\I don't like this.\In the end, we never found out why he was heading for Caitshelter.\Maybe there wasn't any particular reason for it. response:	When the six prayers vanish,
context: The snake charmer's defeated over there.\Then...\It's probably Brain here that was manipulating Nirvana.\So since we defeated him, the city should stop, right?\I don't like this.\In the end, we never found out why he was heading for Caitshelter.\Maybe there wasn't any particular reason for it.\When the six prayers vanish, response:	he will...
context: Then...\It's probably Brain here that was manipulating Nirvana.\So since we defeated him, the city should stop, right?\I don't like this.\In the end, we never found out why he was heading for Caitshelter.\Maybe there wasn't any particular reason for it.\When the six prayers vanish,\he will... response:	There are still some things left unsolved, but it is over now.
context: It's probably Brain here that was manipulating Nirvana.\So since we defeated him, the city should stop, right?\I don't like this.\In the end, we never found out why he was heading for Caitshelter.\Maybe there wasn't any particular reason for it.\When the six prayers vanish,\he will...\There are still some things left unsolved, but it is over now. response:	No, it ain't!
context: So since we defeated him, the city should stop, right?\I don't like this.\In the end, we never found out why he was heading for Caitshelter.\Maybe there wasn't any particular reason for it.\When the six prayers vanish,\he will...\There are still some things left unsolved, but it is over now.\No, it ain't! response:	Hurry up and stop this thing!
context: I don't like this.\In the end, we never found out why he was heading for Caitshelter.\Maybe there wasn't any particular reason for it.\When the six prayers vanish,\he will...\There are still some things left unsolved, but it is over now.\No, it ain't!\Hurry up and stop this thing! response:	Natsu-san!
context: In the end, we never found out why he was heading for Caitshelter.\Maybe there wasn't any particular reason for it.\When the six prayers vanish,\he will...\There are still some things left unsolved, but it is over now.\No, it ain't!\Hurry up and stop this thing!\Natsu-san! response:	Is he poisoned?
context: Maybe there wasn't any particular reason for it.\When the six prayers vanish,\he will...\There are still some things left unsolved, but it is over now.\No, it ain't!\Hurry up and stop this thing!\Natsu-san!\Is he poisoned? response:	The he-cat, too!
context: When the six prayers vanish,\he will...\There are still some things left unsolved, but it is over now.\No, it ain't!\Hurry up and stop this thing!\Natsu-san!\Is he poisoned?\The he-cat, too! response:	You are so pitiful.
context: he will...\There are still some things left unsolved, but it is over now.\No, it ain't!\Hurry up and stop this thing!\Natsu-san!\Is he poisoned?\The he-cat, too!\You are so pitiful. response:	Aye...
context: There are still some things left unsolved, but it is over now.\No, it ain't!\Hurry up and stop this thing!\Natsu-san!\Is he poisoned?\The he-cat, too!\You are so pitiful.\Aye... response:	You are also dreaming.
context: No, it ain't!\Hurry up and stop this thing!\Natsu-san!\Is he poisoned?\The he-cat, too!\You are so pitiful.\Aye...\You are also dreaming. response:	In the dead of night...
context: Hurry up and stop this thing!\Natsu-san!\Is he poisoned?\The he-cat, too!\You are so pitiful.\Aye...\You are also dreaming.\In the dead of night... response:	Magic cannot hit me.
context: Natsu-san!\Is he poisoned?\The he-cat, too!\You are so pitiful.\Aye...\You are also dreaming.\In the dead of night...\Magic cannot hit me. response:	Midnight isn't even injured?
context: Is he poisoned?\The he-cat, too!\You are so pitiful.\Aye...\You are also dreaming.\In the dead of night...\Magic cannot hit me.\Midnight isn't even injured? response:	I've surpassed my father as the strongest wizard.
context: The he-cat, too!\You are so pitiful.\Aye...\You are also dreaming.\In the dead of night...\Magic cannot hit me.\Midnight isn't even injured?\I've surpassed my father as the strongest wizard. response:	My prayer...
context: You are so pitiful.\Aye...\You are also dreaming.\In the dead of night...\Magic cannot hit me.\Midnight isn't even injured?\I've surpassed my father as the strongest wizard.\My prayer... response:	My brother!
context: Aye...\You are also dreaming.\In the dead of night...\Magic cannot hit me.\Midnight isn't even injured?\I've surpassed my father as the strongest wizard.\My prayer...\My brother! response:	I wanted to see your face, one more time...
context: You are also dreaming.\In the dead of night...\Magic cannot hit me.\Midnight isn't even injured?\I've surpassed my father as the strongest wizard.\My prayer...\My brother!\I wanted to see your face, one more time... response:	Five prayers have vanished.
context: In the dead of night...\Magic cannot hit me.\Midnight isn't even injured?\I've surpassed my father as the strongest wizard.\My prayer...\My brother!\I wanted to see your face, one more time...\Five prayers have vanished. response:	Midnight... Do not vanish, no matter what.
context: Magic cannot hit me.\Midnight isn't even injured?\I've surpassed my father as the strongest wizard.\My prayer...\My brother!\I wanted to see your face, one more time...\Five prayers have vanished.\Midnight... Do not vanish, no matter what. response:	That is my prayer.
context: Midnight isn't even injured?\I've surpassed my father as the strongest wizard.\My prayer...\My brother!\I wanted to see your face, one more time...\Five prayers have vanished.\Midnight... Do not vanish, no matter what.\That is my prayer. response:	What the hell?
context: I've surpassed my father as the strongest wizard.\My prayer...\My brother!\I wanted to see your face, one more time...\Five prayers have vanished.\Midnight... Do not vanish, no matter what.\That is my prayer.\What the hell? response:	What in the world...?
context: My prayer...\My brother!\I wanted to see your face, one more time...\Five prayers have vanished.\Midnight... Do not vanish, no matter what.\That is my prayer.\What the hell?\What in the world...? response:	There's nothing that looks like controls at all!
context: My brother!\I wanted to see your face, one more time...\Five prayers have vanished.\Midnight... Do not vanish, no matter what.\That is my prayer.\What the hell?\What in the world...?\There's nothing that looks like controls at all! response:	Then, how can we stop it?
context: I wanted to see your face, one more time...\Five prayers have vanished.\Midnight... Do not vanish, no matter what.\That is my prayer.\What the hell?\What in the world...?\There's nothing that looks like controls at all!\Then, how can we stop it? response:	Damn it!
context: Five prayers have vanished.\Midnight... Do not vanish, no matter what.\That is my prayer.\What the hell?\What in the world...?\There's nothing that looks like controls at all!\Then, how can we stop it?\Damn it! response:	I thought it would stop if we defeated Brain...
context: Midnight... Do not vanish, no matter what.\That is my prayer.\What the hell?\What in the world...?\There's nothing that looks like controls at all!\Then, how can we stop it?\Damn it!\I thought it would stop if we defeated Brain... response:	We were naive! Now we have no idea how to stop it!
context: That is my prayer.\What the hell?\What in the world...?\There's nothing that looks like controls at all!\Then, how can we stop it?\Damn it!\I thought it would stop if we defeated Brain...\We were naive! Now we have no idea how to stop it! response:	What should I do? I cast a spell to cure poison, but he's still...
context: What the hell?\What in the world...?\There's nothing that looks like controls at all!\Then, how can we stop it?\Damn it!\I thought it would stop if we defeated Brain...\We were naive! Now we have no idea how to stop it!\What should I do? I cast a spell to cure poison, but he's still... response:	Natsu can't handle transportation.
context: What in the world...?\There's nothing that looks like controls at all!\Then, how can we stop it?\Damn it!\I thought it would stop if we defeated Brain...\We were naive! Now we have no idea how to stop it!\What should I do? I cast a spell to cure poison, but he's still...\Natsu can't handle transportation. response:	So pitiful!
context: There's nothing that looks like controls at all!\Then, how can we stop it?\Damn it!\I thought it would stop if we defeated Brain...\We were naive! Now we have no idea how to stop it!\What should I do? I cast a spell to cure poison, but he's still...\Natsu can't handle transportation.\So pitiful! response:	I'm gonna hurl...
context: Then, how can we stop it?\Damn it!\I thought it would stop if we defeated Brain...\We were naive! Now we have no idea how to stop it!\What should I do? I cast a spell to cure poison, but he's still...\Natsu can't handle transportation.\So pitiful!\I'm gonna hurl... response:	Motion sickness?
context: Damn it!\I thought it would stop if we defeated Brain...\We were naive! Now we have no idea how to stop it!\What should I do? I cast a spell to cure poison, but he's still...\Natsu can't handle transportation.\So pitiful!\I'm gonna hurl...\Motion sickness? response:	Aye!
context: I thought it would stop if we defeated Brain...\We were naive! Now we have no idea how to stop it!\What should I do? I cast a spell to cure poison, but he's still...\Natsu can't handle transportation.\So pitiful!\I'm gonna hurl...\Motion sickness?\Aye! response:	In that case...
context: We were naive! Now we have no idea how to stop it!\What should I do? I cast a spell to cure poison, but he's still...\Natsu can't handle transportation.\So pitiful!\I'm gonna hurl...\Motion sickness?\Aye!\In that case... response:	Maybe a spell to cure his sense of equilibrium will work.
context: What should I do? I cast a spell to cure poison, but he's still...\Natsu can't handle transportation.\So pitiful!\I'm gonna hurl...\Motion sickness?\Aye!\In that case...\Maybe a spell to cure his sense of equilibrium will work. response:	Troia.
context: Natsu can't handle transportation.\So pitiful!\I'm gonna hurl...\Motion sickness?\Aye!\In that case...\Maybe a spell to cure his sense of equilibrium will work.\Troia. response:	I'm baaack!
context: So pitiful!\I'm gonna hurl...\Motion sickness?\Aye!\In that case...\Maybe a spell to cure his sense of equilibrium will work.\Troia.\I'm baaack! response:	Fine! Totally fine!
context: I'm gonna hurl...\Motion sickness?\Aye!\In that case...\Maybe a spell to cure his sense of equilibrium will work.\Troia.\I'm baaack!\Fine! Totally fine! response:	Thank goodness.
context: Motion sickness?\Aye!\In that case...\Maybe a spell to cure his sense of equilibrium will work.\Troia.\I'm baaack!\Fine! Totally fine!\Thank goodness. response:	I'm glad it worked.
context: Aye!\In that case...\Maybe a spell to cure his sense of equilibrium will work.\Troia.\I'm baaack!\Fine! Totally fine!\Thank goodness.\I'm glad it worked. response:	You rock, Wendy!
context: In that case...\Maybe a spell to cure his sense of equilibrium will work.\Troia.\I'm baaack!\Fine! Totally fine!\Thank goodness.\I'm glad it worked.\You rock, Wendy! response:	Please teach me that magic!
context: Maybe a spell to cure his sense of equilibrium will work.\Troia.\I'm baaack!\Fine! Totally fine!\Thank goodness.\I'm glad it worked.\You rock, Wendy!\Please teach me that magic! response:	It's Sky Magic... That's impossible.
context: Troia.\I'm baaack!\Fine! Totally fine!\Thank goodness.\I'm glad it worked.\You rock, Wendy!\Please teach me that magic!\It's Sky Magic... That's impossible. response:	This doesn't feel like transportation at all!
context: I'm baaack!\Fine! Totally fine!\Thank goodness.\I'm glad it worked.\You rock, Wendy!\Please teach me that magic!\It's Sky Magic... That's impossible.\This doesn't feel like transportation at all! response:	Okay! Lucy, summon a boat or train Spirit!
context: Fine! Totally fine!\Thank goodness.\I'm glad it worked.\You rock, Wendy!\Please teach me that magic!\It's Sky Magic... That's impossible.\This doesn't feel like transportation at all!\Okay! Lucy, summon a boat or train Spirit! response:	I don't have one like that!
context: Thank goodness.\I'm glad it worked.\You rock, Wendy!\Please teach me that magic!\It's Sky Magic... That's impossible.\This doesn't feel like transportation at all!\Okay! Lucy, summon a boat or train Spirit!\I don't have one like that! response:	And anyway, this isn't the time!
context: I'm glad it worked.\You rock, Wendy!\Please teach me that magic!\It's Sky Magic... That's impossible.\This doesn't feel like transportation at all!\Okay! Lucy, summon a boat or train Spirit!\I don't have one like that!\And anyway, this isn't the time! response:	Get with the picture, would ya?
context: You rock, Wendy!\Please teach me that magic!\It's Sky Magic... That's impossible.\This doesn't feel like transportation at all!\Okay! Lucy, summon a boat or train Spirit!\I don't have one like that!\And anyway, this isn't the time!\Get with the picture, would ya? response:	We don't know how to stop it. As you can see, there's nothing here.
context: Please teach me that magic!\It's Sky Magic... That's impossible.\This doesn't feel like transportation at all!\Okay! Lucy, summon a boat or train Spirit!\I don't have one like that!\And anyway, this isn't the time!\Get with the picture, would ya?\We don't know how to stop it. As you can see, there's nothing here. response:	But Hot Eye... I mean, Richard, said that this was the place it was controlled from.
context: It's Sky Magic... That's impossible.\This doesn't feel like transportation at all!\Okay! Lucy, summon a boat or train Spirit!\I don't have one like that!\And anyway, this isn't the time!\Get with the picture, would ya?\We don't know how to stop it. As you can see, there's nothing here.\But Hot Eye... I mean, Richard, said that this was the place it was controlled from. response:	I do not believe that Richard-dono would lie.
context: This doesn't feel like transportation at all!\Okay! Lucy, summon a boat or train Spirit!\I don't have one like that!\And anyway, this isn't the time!\Get with the picture, would ya?\We don't know how to stop it. As you can see, there's nothing here.\But Hot Eye... I mean, Richard, said that this was the place it was controlled from.\I do not believe that Richard-dono would lie. response:	Besides having it stop or not,
context: Okay! Lucy, summon a boat or train Spirit!\I don't have one like that!\And anyway, this isn't the time!\Get with the picture, would ya?\We don't know how to stop it. As you can see, there's nothing here.\But Hot Eye... I mean, Richard, said that this was the place it was controlled from.\I do not believe that Richard-dono would lie.\Besides having it stop or not, response:	hasn't anyone noticed something even more peculiar?
context: I don't have one like that!\And anyway, this isn't the time!\Get with the picture, would ya?\We don't know how to stop it. As you can see, there's nothing here.\But Hot Eye... I mean, Richard, said that this was the place it was controlled from.\I do not believe that Richard-dono would lie.\Besides having it stop or not,\hasn't anyone noticed something even more peculiar? response:	There's no controls, and no one here in the King's Summit.
context: And anyway, this isn't the time!\Get with the picture, would ya?\We don't know how to stop it. As you can see, there's nothing here.\But Hot Eye... I mean, Richard, said that this was the place it was controlled from.\I do not believe that Richard-dono would lie.\Besides having it stop or not,\hasn't anyone noticed something even more peculiar?\There's no controls, and no one here in the King's Summit. response:	Brain has been defeated.
context: Get with the picture, would ya?\We don't know how to stop it. As you can see, there's nothing here.\But Hot Eye... I mean, Richard, said that this was the place it was controlled from.\I do not believe that Richard-dono would lie.\Besides having it stop or not,\hasn't anyone noticed something even more peculiar?\There's no controls, and no one here in the King's Summit.\Brain has been defeated. response:	So why is it still moving?
context: We don't know how to stop it. As you can see, there's nothing here.\But Hot Eye... I mean, Richard, said that this was the place it was controlled from.\I do not believe that Richard-dono would lie.\Besides having it stop or not,\hasn't anyone noticed something even more peculiar?\There's no controls, and no one here in the King's Summit.\Brain has been defeated.\So why is it still moving? response:	Could it be operating on auto-pilot?
context: But Hot Eye... I mean, Richard, said that this was the place it was controlled from.\I do not believe that Richard-dono would lie.\Besides having it stop or not,\hasn't anyone noticed something even more peculiar?\There's no controls, and no one here in the King's Summit.\Brain has been defeated.\So why is it still moving?\Could it be operating on auto-pilot? response:	Nirvana has already been set to fire!
context: I do not believe that Richard-dono would lie.\Besides having it stop or not,\hasn't anyone noticed something even more peculiar?\There's no controls, and no one here in the King's Summit.\Brain has been defeated.\So why is it still moving?\Could it be operating on auto-pilot?\Nirvana has already been set to fire! response:	Our... guild...
context: Besides having it stop or not,\hasn't anyone noticed something even more peculiar?\There's no controls, and no one here in the King's Summit.\Brain has been defeated.\So why is it still moving?\Could it be operating on auto-pilot?\Nirvana has already been set to fire!\Our... guild... response:	Don't worry.
context: hasn't anyone noticed something even more peculiar?\There's no controls, and no one here in the King's Summit.\Brain has been defeated.\So why is it still moving?\Could it be operating on auto-pilot?\Nirvana has already been set to fire!\Our... guild...\Don't worry. response:	Your guild ain't goin' anywhere.
context: There's no controls, and no one here in the King's Summit.\Brain has been defeated.\So why is it still moving?\Could it be operating on auto-pilot?\Nirvana has already been set to fire!\Our... guild...\Don't worry.\Your guild ain't goin' anywhere. response:	Let me do you this favor.
context: Brain has been defeated.\So why is it still moving?\Could it be operating on auto-pilot?\Nirvana has already been set to fire!\Our... guild...\Don't worry.\Your guild ain't goin' anywhere.\Let me do you this favor. response:	I'll stop it, no matter what.
context: So why is it still moving?\Could it be operating on auto-pilot?\Nirvana has already been set to fire!\Our... guild...\Don't worry.\Your guild ain't goin' anywhere.\Let me do you this favor.\I'll stop it, no matter what. response:	Nirvana will not stop.
context: Could it be operating on auto-pilot?\Nirvana has already been set to fire!\Our... guild...\Don't worry.\Your guild ain't goin' anywhere.\Let me do you this favor.\I'll stop it, no matter what.\Nirvana will not stop. response:	As long as I am here.
context: Nirvana has already been set to fire!\Our... guild...\Don't worry.\Your guild ain't goin' anywhere.\Let me do you this favor.\I'll stop it, no matter what.\Nirvana will not stop.\As long as I am here. response:	Natsu, you don't really bring the gravitas when you talk, you know?
context: Our... guild...\Don't worry.\Your guild ain't goin' anywhere.\Let me do you this favor.\I'll stop it, no matter what.\Nirvana will not stop.\As long as I am here.\Natsu, you don't really bring the gravitas when you talk, you know? response:	What? I say cool stuff all the time!
context: Don't worry.\Your guild ain't goin' anywhere.\Let me do you this favor.\I'll stop it, no matter what.\Nirvana will not stop.\As long as I am here.\Natsu, you don't really bring the gravitas when you talk, you know?\What? I say cool stuff all the time! response:	Like what?
context: Your guild ain't goin' anywhere.\Let me do you this favor.\I'll stop it, no matter what.\Nirvana will not stop.\As long as I am here.\Natsu, you don't really bring the gravitas when you talk, you know?\What? I say cool stuff all the time!\Like what? response:	Uh, oh yeah, that!
context: Let me do you this favor.\I'll stop it, no matter what.\Nirvana will not stop.\As long as I am here.\Natsu, you don't really bring the gravitas when you talk, you know?\What? I say cool stuff all the time!\Like what?\Uh, oh yeah, that! response:	Like I'm all fired up! and stuff.
