context: What? response:	A pincer attack!
context: There's a warning on the Catapult Conveyor!\What?!\Vox Lympha has entered into T.O. sequence!\What are you trying to do, my lady?\I already told you.\Even if you go, there is nothing you can do.\Perhaps there's nothing I can do, but there's something I must do.\Because Madoka can't even be scared. response:	I was the one who made her like that.
context: What?!\Vox Lympha has entered into T.O. sequence!\What are you trying to do, my lady?\I already told you.\Even if you go, there is nothing you can do.\Perhaps there's nothing I can do, but there's something I must do.\Because Madoka can't even be scared.\I was the one who made her like that. response:	I can't get Lympha out of its self-select launch mode!
context: Vox Lympha has entered into T.O. sequence!\What are you trying to do, my lady?\I already told you.\Even if you go, there is nothing you can do.\Perhaps there's nothing I can do, but there's something I must do.\Because Madoka can't even be scared.\I was the one who made her like that.\I can't get Lympha out of its self-select launch mode! response:	Fin E Ld Si Laffinty, taking off!
context: What are you trying to do, my lady?\I already told you.\Even if you go, there is nothing you can do.\Perhaps there's nothing I can do, but there's something I must do.\Because Madoka can't even be scared.\I was the one who made her like that.\I can't get Lympha out of its self-select launch mode!\Fin E Ld Si Laffinty, taking off! response:	Enemy unit two has reappeared from underwater.
context: I already told you.\Even if you go, there is nothing you can do.\Perhaps there's nothing I can do, but there's something I must do.\Because Madoka can't even be scared.\I was the one who made her like that.\I can't get Lympha out of its self-select launch mode!\Fin E Ld Si Laffinty, taking off!\Enemy unit two has reappeared from underwater. response:	Another Vox. Sorry, Array.
context: Even if you go, there is nothing you can do.\Perhaps there's nothing I can do, but there's something I must do.\Because Madoka can't even be scared.\I was the one who made her like that.\I can't get Lympha out of its self-select launch mode!\Fin E Ld Si Laffinty, taking off!\Enemy unit two has reappeared from underwater.\Another Vox. Sorry, Array. response:	You'll have to wait a bit longer!
context: Perhaps there's nothing I can do, but there's something I must do.\Because Madoka can't even be scared.\I was the one who made her like that.\I can't get Lympha out of its self-select launch mode!\Fin E Ld Si Laffinty, taking off!\Enemy unit two has reappeared from underwater.\Another Vox. Sorry, Array.\You'll have to wait a bit longer! response:	Damage to the ventral stabilizer!
context: Because Madoka can't even be scared.\I was the one who made her like that.\I can't get Lympha out of its self-select launch mode!\Fin E Ld Si Laffinty, taking off!\Enemy unit two has reappeared from underwater.\Another Vox. Sorry, Array.\You'll have to wait a bit longer!\Damage to the ventral stabilizer! response:	Drag is increasing.
context: I was the one who made her like that.\I can't get Lympha out of its self-select launch mode!\Fin E Ld Si Laffinty, taking off!\Enemy unit two has reappeared from underwater.\Another Vox. Sorry, Array.\You'll have to wait a bit longer!\Damage to the ventral stabilizer!\Drag is increasing. response:	Her speed is dropping.
context: I can't get Lympha out of its self-select launch mode!\Fin E Ld Si Laffinty, taking off!\Enemy unit two has reappeared from underwater.\Another Vox. Sorry, Array.\You'll have to wait a bit longer!\Damage to the ventral stabilizer!\Drag is increasing.\Her speed is dropping. response:	Don't try anything stupid.
context: Fin E Ld Si Laffinty, taking off!\Enemy unit two has reappeared from underwater.\Another Vox. Sorry, Array.\You'll have to wait a bit longer!\Damage to the ventral stabilizer!\Drag is increasing.\Her speed is dropping.\Don't try anything stupid. response:	Kirius is busy playing with your friend over there!
context: Enemy unit two has reappeared from underwater.\Another Vox. Sorry, Array.\You'll have to wait a bit longer!\Damage to the ventral stabilizer!\Drag is increasing.\Her speed is dropping.\Don't try anything stupid.\Kirius is busy playing with your friend over there! response:	Thank goodness!
context: Another Vox. Sorry, Array.\You'll have to wait a bit longer!\Damage to the ventral stabilizer!\Drag is increasing.\Her speed is dropping.\Don't try anything stupid.\Kirius is busy playing with your friend over there!\Thank goodness! response:	There's no need to worry about the customers since this shop went out of business last week.
context: You'll have to wait a bit longer!\Damage to the ventral stabilizer!\Drag is increasing.\Her speed is dropping.\Don't try anything stupid.\Kirius is busy playing with your friend over there!\Thank goodness!\There's no need to worry about the customers since this shop went out of business last week. response:	I don't get it.
context: Damage to the ventral stabilizer!\Drag is increasing.\Her speed is dropping.\Don't try anything stupid.\Kirius is busy playing with your friend over there!\Thank goodness!\There's no need to worry about the customers since this shop went out of business last week.\I don't get it. response:	Why would she do something so reckless twice in a row?
context: Drag is increasing.\Her speed is dropping.\Don't try anything stupid.\Kirius is busy playing with your friend over there!\Thank goodness!\There's no need to worry about the customers since this shop went out of business last week.\I don't get it.\Why would she do something so reckless twice in a row? response:	Is this some kind of ritual required of a pilot
context: Her speed is dropping.\Don't try anything stupid.\Kirius is busy playing with your friend over there!\Thank goodness!\There's no need to worry about the customers since this shop went out of business last week.\I don't get it.\Why would she do something so reckless twice in a row?\Is this some kind of ritual required of a pilot response:	who has made a vow to a Vox?
context: Don't try anything stupid.\Kirius is busy playing with your friend over there!\Thank goodness!\There's no need to worry about the customers since this shop went out of business last week.\I don't get it.\Why would she do something so reckless twice in a row?\Is this some kind of ritual required of a pilot\who has made a vow to a Vox? response:	I thought it would work this time.
context: Kirius is busy playing with your friend over there!\Thank goodness!\There's no need to worry about the customers since this shop went out of business last week.\I don't get it.\Why would she do something so reckless twice in a row?\Is this some kind of ritual required of a pilot\who has made a vow to a Vox?\I thought it would work this time. response:	Let me borrow this for a bit!
context: Thank goodness!\There's no need to worry about the customers since this shop went out of business last week.\I don't get it.\Why would she do something so reckless twice in a row?\Is this some kind of ritual required of a pilot\who has made a vow to a Vox?\I thought it would work this time.\Let me borrow this for a bit! response:	How's this?
context: There's no need to worry about the customers since this shop went out of business last week.\I don't get it.\Why would she do something so reckless twice in a row?\Is this some kind of ritual required of a pilot\who has made a vow to a Vox?\I thought it would work this time.\Let me borrow this for a bit!\How's this? response:	Choking an Ovid that doesn't even breathe?
context: I don't get it.\Why would she do something so reckless twice in a row?\Is this some kind of ritual required of a pilot\who has made a vow to a Vox?\I thought it would work this time.\Let me borrow this for a bit!\How's this?\Choking an Ovid that doesn't even breathe? response:	They didn't teach this at the academy in De Metrio.
context: Why would she do something so reckless twice in a row?\Is this some kind of ritual required of a pilot\who has made a vow to a Vox?\I thought it would work this time.\Let me borrow this for a bit!\How's this?\Choking an Ovid that doesn't even breathe?\They didn't teach this at the academy in De Metrio. response:	Is it a finishing technique unique to this planet?
context: Is this some kind of ritual required of a pilot\who has made a vow to a Vox?\I thought it would work this time.\Let me borrow this for a bit!\How's this?\Choking an Ovid that doesn't even breathe?\They didn't teach this at the academy in De Metrio.\Is it a finishing technique unique to this planet? response:	Tanpopo Children's Park has been destroyed!
context: who has made a vow to a Vox?\I thought it would work this time.\Let me borrow this for a bit!\How's this?\Choking an Ovid that doesn't even breathe?\They didn't teach this at the academy in De Metrio.\Is it a finishing technique unique to this planet?\Tanpopo Children's Park has been destroyed! response:	Why isn't this one transforming?
context: I thought it would work this time.\Let me borrow this for a bit!\How's this?\Choking an Ovid that doesn't even breathe?\They didn't teach this at the academy in De Metrio.\Is it a finishing technique unique to this planet?\Tanpopo Children's Park has been destroyed!\Why isn't this one transforming? response:	Could it be?
context: Let me borrow this for a bit!\How's this?\Choking an Ovid that doesn't even breathe?\They didn't teach this at the academy in De Metrio.\Is it a finishing technique unique to this planet?\Tanpopo Children's Park has been destroyed!\Why isn't this one transforming?\Could it be? response:	I would think it's easier to fight in humanoid form.
context: How's this?\Choking an Ovid that doesn't even breathe?\They didn't teach this at the academy in De Metrio.\Is it a finishing technique unique to this planet?\Tanpopo Children's Park has been destroyed!\Why isn't this one transforming?\Could it be?\I would think it's easier to fight in humanoid form. response:	Why doesn't she?
context: Choking an Ovid that doesn't even breathe?\They didn't teach this at the academy in De Metrio.\Is it a finishing technique unique to this planet?\Tanpopo Children's Park has been destroyed!\Why isn't this one transforming?\Could it be?\I would think it's easier to fight in humanoid form.\Why doesn't she? response:	That is because the pilot cannot transform Lympha into Warrior Mode.
context: They didn't teach this at the academy in De Metrio.\Is it a finishing technique unique to this planet?\Tanpopo Children's Park has been destroyed!\Why isn't this one transforming?\Could it be?\I would think it's easier to fight in humanoid form.\Why doesn't she?\That is because the pilot cannot transform Lympha into Warrior Mode. response:	You are Madoka Kyono's cousin,
context: Is it a finishing technique unique to this planet?\Tanpopo Children's Park has been destroyed!\Why isn't this one transforming?\Could it be?\I would think it's easier to fight in humanoid form.\Why doesn't she?\That is because the pilot cannot transform Lympha into Warrior Mode.\You are Madoka Kyono's cousin, response:	correct?
context: Tanpopo Children's Park has been destroyed!\Why isn't this one transforming?\Could it be?\I would think it's easier to fight in humanoid form.\Why doesn't she?\That is because the pilot cannot transform Lympha into Warrior Mode.\You are Madoka Kyono's cousin,\correct? response:	Yoko!
context: Why isn't this one transforming?\Could it be?\I would think it's easier to fight in humanoid form.\Why doesn't she?\That is because the pilot cannot transform Lympha into Warrior Mode.\You are Madoka Kyono's cousin,\correct?\Yoko! response:	And what if I am?
context: Could it be?\I would think it's easier to fight in humanoid form.\Why doesn't she?\That is because the pilot cannot transform Lympha into Warrior Mode.\You are Madoka Kyono's cousin,\correct?\Yoko!\And what if I am? response:	I have a question.
context: I would think it's easier to fight in humanoid form.\Why doesn't she?\That is because the pilot cannot transform Lympha into Warrior Mode.\You are Madoka Kyono's cousin,\correct?\Yoko!\And what if I am?\I have a question. response:	How did you convince Madoka to get back on her feet?
context: Why doesn't she?\That is because the pilot cannot transform Lympha into Warrior Mode.\You are Madoka Kyono's cousin,\correct?\Yoko!\And what if I am?\I have a question.\How did you convince Madoka to get back on her feet? response:	I just reminded her of something that should come naturally.
context: That is because the pilot cannot transform Lympha into Warrior Mode.\You are Madoka Kyono's cousin,\correct?\Yoko!\And what if I am?\I have a question.\How did you convince Madoka to get back on her feet?\I just reminded her of something that should come naturally. response:	Something that should come naturally?
context: You are Madoka Kyono's cousin,\correct?\Yoko!\And what if I am?\I have a question.\How did you convince Madoka to get back on her feet?\I just reminded her of something that should come naturally.\Something that should come naturally? response:	To finish whatever you start.
context: correct?\Yoko!\And what if I am?\I have a question.\How did you convince Madoka to get back on her feet?\I just reminded her of something that should come naturally.\Something that should come naturally?\To finish whatever you start. response:	I guess you could call it the Sweats Club spirit.
context: Yoko!\And what if I am?\I have a question.\How did you convince Madoka to get back on her feet?\I just reminded her of something that should come naturally.\Something that should come naturally?\To finish whatever you start.\I guess you could call it the Sweats Club spirit. response:	Sweats Club?
context: And what if I am?\I have a question.\How did you convince Madoka to get back on her feet?\I just reminded her of something that should come naturally.\Something that should come naturally?\To finish whatever you start.\I guess you could call it the Sweats Club spirit.\Sweats Club? response:	When I hear a voice that moves my heart,
context: I have a question.\How did you convince Madoka to get back on her feet?\I just reminded her of something that should come naturally.\Something that should come naturally?\To finish whatever you start.\I guess you could call it the Sweats Club spirit.\Sweats Club?\When I hear a voice that moves my heart, response:	I'll put on my sweats and give it my all.
context: How did you convince Madoka to get back on her feet?\I just reminded her of something that should come naturally.\Something that should come naturally?\To finish whatever you start.\I guess you could call it the Sweats Club spirit.\Sweats Club?\When I hear a voice that moves my heart,\I'll put on my sweats and give it my all. response:	The end result alone isn't enough to inspire me.
context: I just reminded her of something that should come naturally.\Something that should come naturally?\To finish whatever you start.\I guess you could call it the Sweats Club spirit.\Sweats Club?\When I hear a voice that moves my heart,\I'll put on my sweats and give it my all.\The end result alone isn't enough to inspire me. response:	I leave it up to my heart to decide,
context: Something that should come naturally?\To finish whatever you start.\I guess you could call it the Sweats Club spirit.\Sweats Club?\When I hear a voice that moves my heart,\I'll put on my sweats and give it my all.\The end result alone isn't enough to inspire me.\I leave it up to my heart to decide, response:	on whether or not to take something on.
context: To finish whatever you start.\I guess you could call it the Sweats Club spirit.\Sweats Club?\When I hear a voice that moves my heart,\I'll put on my sweats and give it my all.\The end result alone isn't enough to inspire me.\I leave it up to my heart to decide,\on whether or not to take something on. response:	Move forward!
context: I guess you could call it the Sweats Club spirit.\Sweats Club?\When I hear a voice that moves my heart,\I'll put on my sweats and give it my all.\The end result alone isn't enough to inspire me.\I leave it up to my heart to decide,\on whether or not to take something on.\Move forward! response:	Run!
context: Sweats Club?\When I hear a voice that moves my heart,\I'll put on my sweats and give it my all.\The end result alone isn't enough to inspire me.\I leave it up to my heart to decide,\on whether or not to take something on.\Move forward!\Run! response:	That's the Sweats Club spirit!
context: When I hear a voice that moves my heart,\I'll put on my sweats and give it my all.\The end result alone isn't enough to inspire me.\I leave it up to my heart to decide,\on whether or not to take something on.\Move forward!\Run!\That's the Sweats Club spirit! response:	When the voice that moves your heart reaches you,
context: I'll put on my sweats and give it my all.\The end result alone isn't enough to inspire me.\I leave it up to my heart to decide,\on whether or not to take something on.\Move forward!\Run!\That's the Sweats Club spirit!\When the voice that moves your heart reaches you, response:	Put on your sweats and get ready!
context: The end result alone isn't enough to inspire me.\I leave it up to my heart to decide,\on whether or not to take something on.\Move forward!\Run!\That's the Sweats Club spirit!\When the voice that moves your heart reaches you,\Put on your sweats and get ready! response:	Duty and justice alone aren't enough to convince me.
context: I leave it up to my heart to decide,\on whether or not to take something on.\Move forward!\Run!\That's the Sweats Club spirit!\When the voice that moves your heart reaches you,\Put on your sweats and get ready!\Duty and justice alone aren't enough to convince me. response:	Thank you...
context: on whether or not to take something on.\Move forward!\Run!\That's the Sweats Club spirit!\When the voice that moves your heart reaches you,\Put on your sweats and get ready!\Duty and justice alone aren't enough to convince me.\Thank you... response:	Perfect!
context: Move forward!\Run!\That's the Sweats Club spirit!\When the voice that moves your heart reaches you,\Put on your sweats and get ready!\Duty and justice alone aren't enough to convince me.\Thank you...\Perfect! response:	What?!
context: Run!\That's the Sweats Club spirit!\When the voice that moves your heart reaches you,\Put on your sweats and get ready!\Duty and justice alone aren't enough to convince me.\Thank you...\Perfect!\What?! response:	I leave it up to my heart to decide,
context: That's the Sweats Club spirit!\When the voice that moves your heart reaches you,\Put on your sweats and get ready!\Duty and justice alone aren't enough to convince me.\Thank you...\Perfect!\What?!\I leave it up to my heart to decide, response:	on whether or not to take on a request.
context: When the voice that moves your heart reaches you,\Put on your sweats and get ready!\Duty and justice alone aren't enough to convince me.\Thank you...\Perfect!\What?!\I leave it up to my heart to decide,\on whether or not to take on a request. response:	Madoka?
context: Put on your sweats and get ready!\Duty and justice alone aren't enough to convince me.\Thank you...\Perfect!\What?!\I leave it up to my heart to decide,\on whether or not to take on a request.\Madoka? response:	Don't run away.
context: Duty and justice alone aren't enough to convince me.\Thank you...\Perfect!\What?!\I leave it up to my heart to decide,\on whether or not to take on a request.\Madoka?\Don't run away. response:	Are you serious?
context: Thank you...\Perfect!\What?!\I leave it up to my heart to decide,\on whether or not to take on a request.\Madoka?\Don't run away.\Are you serious? response:	Keep moving forward.
context: Perfect!\What?!\I leave it up to my heart to decide,\on whether or not to take on a request.\Madoka?\Don't run away.\Are you serious?\Keep moving forward. response:	That's the Sweats Club spirit!
context: What?!\I leave it up to my heart to decide,\on whether or not to take on a request.\Madoka?\Don't run away.\Are you serious?\Keep moving forward.\That's the Sweats Club spirit! response:	I want you to hear that voice too.
context: I leave it up to my heart to decide,\on whether or not to take on a request.\Madoka?\Don't run away.\Are you serious?\Keep moving forward.\That's the Sweats Club spirit!\I want you to hear that voice too. response:	It's a voice that has a passionate spirit...
context: on whether or not to take on a request.\Madoka?\Don't run away.\Are you serious?\Keep moving forward.\That's the Sweats Club spirit!\I want you to hear that voice too.\It's a voice that has a passionate spirit... response:	I'm sorry, Madoka!
context: Madoka?\Don't run away.\Are you serious?\Keep moving forward.\That's the Sweats Club spirit!\I want you to hear that voice too.\It's a voice that has a passionate spirit...\I'm sorry, Madoka! response:	Lan?
context: Don't run away.\Are you serious?\Keep moving forward.\That's the Sweats Club spirit!\I want you to hear that voice too.\It's a voice that has a passionate spirit...\I'm sorry, Madoka!\Lan? response:	I've done such a terrible thing to you.
context: Are you serious?\Keep moving forward.\That's the Sweats Club spirit!\I want you to hear that voice too.\It's a voice that has a passionate spirit...\I'm sorry, Madoka!\Lan?\I've done such a terrible thing to you. response:	Just because I can't do anything,
context: Keep moving forward.\That's the Sweats Club spirit!\I want you to hear that voice too.\It's a voice that has a passionate spirit...\I'm sorry, Madoka!\Lan?\I've done such a terrible thing to you.\Just because I can't do anything, response:	I've pushed everything onto you.
context: That's the Sweats Club spirit!\I want you to hear that voice too.\It's a voice that has a passionate spirit...\I'm sorry, Madoka!\Lan?\I've done such a terrible thing to you.\Just because I can't do anything,\I've pushed everything onto you. response:	I'm sorry, Madoka!
context: I want you to hear that voice too.\It's a voice that has a passionate spirit...\I'm sorry, Madoka!\Lan?\I've done such a terrible thing to you.\Just because I can't do anything,\I've pushed everything onto you.\I'm sorry, Madoka! response:	I'm so sorry.
context: It's a voice that has a passionate spirit...\I'm sorry, Madoka!\Lan?\I've done such a terrible thing to you.\Just because I can't do anything,\I've pushed everything onto you.\I'm sorry, Madoka!\I'm so sorry. response:	Lan, you're totally full of the Sweats Club spirit!
context: I'm sorry, Madoka!\Lan?\I've done such a terrible thing to you.\Just because I can't do anything,\I've pushed everything onto you.\I'm sorry, Madoka!\I'm so sorry.\Lan, you're totally full of the Sweats Club spirit! response:	I mean, you came all the way out here just to tell me that, right?
context: Lan?\I've done such a terrible thing to you.\Just because I can't do anything,\I've pushed everything onto you.\I'm sorry, Madoka!\I'm so sorry.\Lan, you're totally full of the Sweats Club spirit!\I mean, you came all the way out here just to tell me that, right? response:	But you're wrong.
context: I've done such a terrible thing to you.\Just because I can't do anything,\I've pushed everything onto you.\I'm sorry, Madoka!\I'm so sorry.\Lan, you're totally full of the Sweats Club spirit!\I mean, you came all the way out here just to tell me that, right?\But you're wrong. response:	I'm not doing this for your sake.
context: Just because I can't do anything,\I've pushed everything onto you.\I'm sorry, Madoka!\I'm so sorry.\Lan, you're totally full of the Sweats Club spirit!\I mean, you came all the way out here just to tell me that, right?\But you're wrong.\I'm not doing this for your sake. response:	I agreed to take this job on, so I'm just seeing it through!
context: I've pushed everything onto you.\I'm sorry, Madoka!\I'm so sorry.\Lan, you're totally full of the Sweats Club spirit!\I mean, you came all the way out here just to tell me that, right?\But you're wrong.\I'm not doing this for your sake.\I agreed to take this job on, so I'm just seeing it through! response:	You haven't done anything wrong.
context: I'm sorry, Madoka!\I'm so sorry.\Lan, you're totally full of the Sweats Club spirit!\I mean, you came all the way out here just to tell me that, right?\But you're wrong.\I'm not doing this for your sake.\I agreed to take this job on, so I'm just seeing it through!\You haven't done anything wrong. response:	So...
context: I'm so sorry.\Lan, you're totally full of the Sweats Club spirit!\I mean, you came all the way out here just to tell me that, right?\But you're wrong.\I'm not doing this for your sake.\I agreed to take this job on, so I'm just seeing it through!\You haven't done anything wrong.\So... response:	Put on a smile, comrade!
context: Lan, you're totally full of the Sweats Club spirit!\I mean, you came all the way out here just to tell me that, right?\But you're wrong.\I'm not doing this for your sake.\I agreed to take this job on, so I'm just seeing it through!\You haven't done anything wrong.\So...\Put on a smile, comrade! response:	Uh-oh!
context: I mean, you came all the way out here just to tell me that, right?\But you're wrong.\I'm not doing this for your sake.\I agreed to take this job on, so I'm just seeing it through!\You haven't done anything wrong.\So...\Put on a smile, comrade!\Uh-oh! response:	Madoka!
context: But you're wrong.\I'm not doing this for your sake.\I agreed to take this job on, so I'm just seeing it through!\You haven't done anything wrong.\So...\Put on a smile, comrade!\Uh-oh!\Madoka! response:	Dammit!
context: I'm not doing this for your sake.\I agreed to take this job on, so I'm just seeing it through!\You haven't done anything wrong.\So...\Put on a smile, comrade!\Uh-oh!\Madoka!\Dammit! response:	I completely forgot.
context: I agreed to take this job on, so I'm just seeing it through!\You haven't done anything wrong.\So...\Put on a smile, comrade!\Uh-oh!\Madoka!\Dammit!\I completely forgot. response:	I was so focused on reaching you that I forgot my fears.
context: You haven't done anything wrong.\So...\Put on a smile, comrade!\Uh-oh!\Madoka!\Dammit!\I completely forgot.\I was so focused on reaching you that I forgot my fears. response:	I'm okay now,
context: So...\Put on a smile, comrade!\Uh-oh!\Madoka!\Dammit!\I completely forgot.\I was so focused on reaching you that I forgot my fears.\I'm okay now, response:	comrade.
context: Put on a smile, comrade!\Uh-oh!\Madoka!\Dammit!\I completely forgot.\I was so focused on reaching you that I forgot my fears.\I'm okay now,\comrade. response:	Lympha's Vox System has been activated!
context: Uh-oh!\Madoka!\Dammit!\I completely forgot.\I was so focused on reaching you that I forgot my fears.\I'm okay now,\comrade.\Lympha's Vox System has been activated! response:	What?!
context: Madoka!\Dammit!\I completely forgot.\I was so focused on reaching you that I forgot my fears.\I'm okay now,\comrade.\Lympha's Vox System has been activated!\What?! response:	All joint form systematics are in active mode!
context: Dammit!\I completely forgot.\I was so focused on reaching you that I forgot my fears.\I'm okay now,\comrade.\Lympha's Vox System has been activated!\What?!\All joint form systematics are in active mode! response:	CSR Border Line at 70, 80, exceeding 90 percent!
context: I completely forgot.\I was so focused on reaching you that I forgot my fears.\I'm okay now,\comrade.\Lympha's Vox System has been activated!\What?!\All joint form systematics are in active mode!\CSR Border Line at 70, 80, exceeding 90 percent! response:	Link with pilot's Bio Telepathic Control Waves is a success!
context: I was so focused on reaching you that I forgot my fears.\I'm okay now,\comrade.\Lympha's Vox System has been activated!\What?!\All joint form systematics are in active mode!\CSR Border Line at 70, 80, exceeding 90 percent!\Link with pilot's Bio Telepathic Control Waves is a success! response:	Huh? What? What?
context: I'm okay now,\comrade.\Lympha's Vox System has been activated!\What?!\All joint form systematics are in active mode!\CSR Border Line at 70, 80, exceeding 90 percent!\Link with pilot's Bio Telepathic Control Waves is a success!\Huh? What? What? response:	Excuse me!
context: comrade.\Lympha's Vox System has been activated!\What?!\All joint form systematics are in active mode!\CSR Border Line at 70, 80, exceeding 90 percent!\Link with pilot's Bio Telepathic Control Waves is a success!\Huh? What? What?\Excuse me! response:	Fox seems to be slowing down!
context: Lympha's Vox System has been activated!\What?!\All joint form systematics are in active mode!\CSR Border Line at 70, 80, exceeding 90 percent!\Link with pilot's Bio Telepathic Control Waves is a success!\Huh? What? What?\Excuse me!\Fox seems to be slowing down! response:	It's because of the damage received during close-range combat.
context: What?!\All joint form systematics are in active mode!\CSR Border Line at 70, 80, exceeding 90 percent!\Link with pilot's Bio Telepathic Control Waves is a success!\Huh? What? What?\Excuse me!\Fox seems to be slowing down!\It's because of the damage received during close-range combat. response:	If she keeps sustaining direct blows...
context: All joint form systematics are in active mode!\CSR Border Line at 70, 80, exceeding 90 percent!\Link with pilot's Bio Telepathic Control Waves is a success!\Huh? What? What?\Excuse me!\Fox seems to be slowing down!\It's because of the damage received during close-range combat.\If she keeps sustaining direct blows... response:	Did you think my attacks were random?
context: CSR Border Line at 70, 80, exceeding 90 percent!\Link with pilot's Bio Telepathic Control Waves is a success!\Huh? What? What?\Excuse me!\Fox seems to be slowing down!\It's because of the damage received during close-range combat.\If she keeps sustaining direct blows...\Did you think my attacks were random? response:	The Non-Lethal Mode Strike is quite a technique too.
context: Link with pilot's Bio Telepathic Control Waves is a success!\Huh? What? What?\Excuse me!\Fox seems to be slowing down!\It's because of the damage received during close-range combat.\If she keeps sustaining direct blows...\Did you think my attacks were random?\The Non-Lethal Mode Strike is quite a technique too. response:	It's not flashy, but it's very effective.
context: Huh? What? What?\Excuse me!\Fox seems to be slowing down!\It's because of the damage received during close-range combat.\If she keeps sustaining direct blows...\Did you think my attacks were random?\The Non-Lethal Mode Strike is quite a technique too.\It's not flashy, but it's very effective. response:	Let's put an end to this, shall we?!
context: Excuse me!\Fox seems to be slowing down!\It's because of the damage received during close-range combat.\If she keeps sustaining direct blows...\Did you think my attacks were random?\The Non-Lethal Mode Strike is quite a technique too.\It's not flashy, but it's very effective.\Let's put an end to this, shall we?! response:	Woof!
context: Fox seems to be slowing down!\It's because of the damage received during close-range combat.\If she keeps sustaining direct blows...\Did you think my attacks were random?\The Non-Lethal Mode Strike is quite a technique too.\It's not flashy, but it's very effective.\Let's put an end to this, shall we?!\Woof! response:	Sorry to keep you waiting.
context: It's because of the damage received during close-range combat.\If she keeps sustaining direct blows...\Did you think my attacks were random?\The Non-Lethal Mode Strike is quite a technique too.\It's not flashy, but it's very effective.\Let's put an end to this, shall we?!\Woof!\Sorry to keep you waiting. response:	That's...
context: If she keeps sustaining direct blows...\Did you think my attacks were random?\The Non-Lethal Mode Strike is quite a technique too.\It's not flashy, but it's very effective.\Let's put an end to this, shall we?!\Woof!\Sorry to keep you waiting.\That's... response:	the second legendary weapon!
context: Did you think my attacks were random?\The Non-Lethal Mode Strike is quite a technique too.\It's not flashy, but it's very effective.\Let's put an end to this, shall we?!\Woof!\Sorry to keep you waiting.\That's...\the second legendary weapon! response:	Kirius!
context: The Non-Lethal Mode Strike is quite a technique too.\It's not flashy, but it's very effective.\Let's put an end to this, shall we?!\Woof!\Sorry to keep you waiting.\That's...\the second legendary weapon!\Kirius! response:	It's risky to fight against two Vox robots.
context: It's not flashy, but it's very effective.\Let's put an end to this, shall we?!\Woof!\Sorry to keep you waiting.\That's...\the second legendary weapon!\Kirius!\It's risky to fight against two Vox robots. response:	We'll withdraw for now and wait for another opportunity.
context: Let's put an end to this, shall we?!\Woof!\Sorry to keep you waiting.\That's...\the second legendary weapon!\Kirius!\It's risky to fight against two Vox robots.\We'll withdraw for now and wait for another opportunity. response:	Damn it!
context: Woof!\Sorry to keep you waiting.\That's...\the second legendary weapon!\Kirius!\It's risky to fight against two Vox robots.\We'll withdraw for now and wait for another opportunity.\Damn it! response:	Ovid units two and three are retreating!
context: Sorry to keep you waiting.\That's...\the second legendary weapon!\Kirius!\It's risky to fight against two Vox robots.\We'll withdraw for now and wait for another opportunity.\Damn it!\Ovid units two and three are retreating! response:	No other enemy unit presence has been detected in the vicinity!
context: That's...\the second legendary weapon!\Kirius!\It's risky to fight against two Vox robots.\We'll withdraw for now and wait for another opportunity.\Damn it!\Ovid units two and three are retreating!\No other enemy unit presence has been detected in the vicinity! response:	It seems...
context: the second legendary weapon!\Kirius!\It's risky to fight against two Vox robots.\We'll withdraw for now and wait for another opportunity.\Damn it!\Ovid units two and three are retreating!\No other enemy unit presence has been detected in the vicinity!\It seems... response:	You and Madoka
context: Kirius!\It's risky to fight against two Vox robots.\We'll withdraw for now and wait for another opportunity.\Damn it!\Ovid units two and three are retreating!\No other enemy unit presence has been detected in the vicinity!\It seems...\You and Madoka response:	have saved us.
context: It's risky to fight against two Vox robots.\We'll withdraw for now and wait for another opportunity.\Damn it!\Ovid units two and three are retreating!\No other enemy unit presence has been detected in the vicinity!\It seems...\You and Madoka\have saved us. response:	I didn't do anything.
context: We'll withdraw for now and wait for another opportunity.\Damn it!\Ovid units two and three are retreating!\No other enemy unit presence has been detected in the vicinity!\It seems...\You and Madoka\have saved us.\I didn't do anything. response:	Don't be modest.
context: Damn it!\Ovid units two and three are retreating!\No other enemy unit presence has been detected in the vicinity!\It seems...\You and Madoka\have saved us.\I didn't do anything.\Don't be modest. response:	Let's see, how can we thank you?
context: Ovid units two and three are retreating!\No other enemy unit presence has been detected in the vicinity!\It seems...\You and Madoka\have saved us.\I didn't do anything.\Don't be modest.\Let's see, how can we thank you? response:	These are gate passes for this vessel!
context: No other enemy unit presence has been detected in the vicinity!\It seems...\You and Madoka\have saved us.\I didn't do anything.\Don't be modest.\Let's see, how can we thank you?\These are gate passes for this vessel! response:	Say, Lan...
context: It seems...\You and Madoka\have saved us.\I didn't do anything.\Don't be modest.\Let's see, how can we thank you?\These are gate passes for this vessel!\Say, Lan... response:	Hm?
context: You and Madoka\have saved us.\I didn't do anything.\Don't be modest.\Let's see, how can we thank you?\These are gate passes for this vessel!\Say, Lan...\Hm? response:	If I didn't agree to pilot Fox, I might've gone crazy.
context: have saved us.\I didn't do anything.\Don't be modest.\Let's see, how can we thank you?\These are gate passes for this vessel!\Say, Lan...\Hm?\If I didn't agree to pilot Fox, I might've gone crazy. response:	Standing helpless on the sidelines,
