context: We beat Brain, and there's only one of Oracion Seis left! response:	That is just a dream.
context: Hold it down properly, you dolt!\Try dodging it instead, you jerk!\This battle isn't pretty.\Here we go again! The usual...\The usual over self-consciousness?\No!\The usual It's such trouble being so cute!\Natsu, Gray! Lucy broke! response:	Oh, it's just a kid. Such a disappointment...
context: Try dodging it instead, you jerk!\This battle isn't pretty.\Here we go again! The usual...\The usual over self-consciousness?\No!\The usual It's such trouble being so cute!\Natsu, Gray! Lucy broke!\Oh, it's just a kid. Such a disappointment... response:	A kid?!
context: This battle isn't pretty.\Here we go again! The usual...\The usual over self-consciousness?\No!\The usual It's such trouble being so cute!\Natsu, Gray! Lucy broke!\Oh, it's just a kid. Such a disappointment...\A kid?! response:	Now!
context: Here we go again! The usual...\The usual over self-consciousness?\No!\The usual It's such trouble being so cute!\Natsu, Gray! Lucy broke!\Oh, it's just a kid. Such a disappointment...\A kid?!\Now! response:	You brats...
context: The usual over self-consciousness?\No!\The usual It's such trouble being so cute!\Natsu, Gray! Lucy broke!\Oh, it's just a kid. Such a disappointment...\A kid?!\Now!\You brats... response:	Natsu, Gray!
context: No!\The usual It's such trouble being so cute!\Natsu, Gray! Lucy broke!\Oh, it's just a kid. Such a disappointment...\A kid?!\Now!\You brats...\Natsu, Gray! response:	Oh, no! That guy's actually strong!
context: The usual It's such trouble being so cute!\Natsu, Gray! Lucy broke!\Oh, it's just a kid. Such a disappointment...\A kid?!\Now!\You brats...\Natsu, Gray!\Oh, no! That guy's actually strong! response:	What's wrong? Is all you got your youth?
context: Natsu, Gray! Lucy broke!\Oh, it's just a kid. Such a disappointment...\A kid?!\Now!\You brats...\Natsu, Gray!\Oh, no! That guy's actually strong!\What's wrong? Is all you got your youth? response:	Youth alone isn't going to beat me!
context: Oh, it's just a kid. Such a disappointment...\A kid?!\Now!\You brats...\Natsu, Gray!\Oh, no! That guy's actually strong!\What's wrong? Is all you got your youth?\Youth alone isn't going to beat me! response:	You young'ns always showin' off your young selves, you!
context: A kid?!\Now!\You brats...\Natsu, Gray!\Oh, no! That guy's actually strong!\What's wrong? Is all you got your youth?\Youth alone isn't going to beat me!\You young'ns always showin' off your young selves, you! response:	I think he might be a bit self-conscious about his age...
context: Now!\You brats...\Natsu, Gray!\Oh, no! That guy's actually strong!\What's wrong? Is all you got your youth?\Youth alone isn't going to beat me!\You young'ns always showin' off your young selves, you!\I think he might be a bit self-conscious about his age... response:	Aye...
context: You brats...\Natsu, Gray!\Oh, no! That guy's actually strong!\What's wrong? Is all you got your youth?\Youth alone isn't going to beat me!\You young'ns always showin' off your young selves, you!\I think he might be a bit self-conscious about his age...\Aye... response:	And what?
context: Natsu, Gray!\Oh, no! That guy's actually strong!\What's wrong? Is all you got your youth?\Youth alone isn't going to beat me!\You young'ns always showin' off your young selves, you!\I think he might be a bit self-conscious about his age...\Aye...\And what? response:	Right on the mark, huh?
context: Oh, no! That guy's actually strong!\What's wrong? Is all you got your youth?\Youth alone isn't going to beat me!\You young'ns always showin' off your young selves, you!\I think he might be a bit self-conscious about his age...\Aye...\And what?\Right on the mark, huh? response:	No, I think it's something else.
context: What's wrong? Is all you got your youth?\Youth alone isn't going to beat me!\You young'ns always showin' off your young selves, you!\I think he might be a bit self-conscious about his age...\Aye...\And what?\Right on the mark, huh?\No, I think it's something else. response:	Incredible...
context: Youth alone isn't going to beat me!\You young'ns always showin' off your young selves, you!\I think he might be a bit self-conscious about his age...\Aye...\And what?\Right on the mark, huh?\No, I think it's something else.\Incredible... response:	All six... All Six Generals are wiped out!
context: You young'ns always showin' off your young selves, you!\I think he might be a bit self-conscious about his age...\Aye...\And what?\Right on the mark, huh?\No, I think it's something else.\Incredible...\All six... All Six Generals are wiped out! response:	No, this is bad! Very bad!
context: I think he might be a bit self-conscious about his age...\Aye...\And what?\Right on the mark, huh?\No, I think it's something else.\Incredible...\All six... All Six Generals are wiped out!\No, this is bad! Very bad! response:	He is coming!
context: Aye...\And what?\Right on the mark, huh?\No, I think it's something else.\Incredible...\All six... All Six Generals are wiped out!\No, this is bad! Very bad!\He is coming! response:	What's he saying?
context: And what?\Right on the mark, huh?\No, I think it's something else.\Incredible...\All six... All Six Generals are wiped out!\No, this is bad! Very bad!\He is coming!\What's he saying? response:	He?
context: Right on the mark, huh?\No, I think it's something else.\Incredible...\All six... All Six Generals are wiped out!\No, this is bad! Very bad!\He is coming!\What's he saying?\He? response:	There's someone else?
context: No, I think it's something else.\Incredible...\All six... All Six Generals are wiped out!\No, this is bad! Very bad!\He is coming!\What's he saying?\He?\There's someone else? response:	Don't tell me the eighth?
context: Incredible...\All six... All Six Generals are wiped out!\No, this is bad! Very bad!\He is coming!\What's he saying?\He?\There's someone else?\Don't tell me the eighth? response:	What are you talking about?
context: All six... All Six Generals are wiped out!\No, this is bad! Very bad!\He is coming!\What's he saying?\He?\There's someone else?\Don't tell me the eighth?\What are you talking about? response:	He's juicing like crazy!
context: No, this is bad! Very bad!\He is coming!\What's he saying?\He?\There's someone else?\Don't tell me the eighth?\What are you talking about?\He's juicing like crazy! response:	You mean sweat!
context: He is coming!\What's he saying?\He?\There's someone else?\Don't tell me the eighth?\What are you talking about?\He's juicing like crazy!\You mean sweat! response:	Brain...
context: What's he saying?\He?\There's someone else?\Don't tell me the eighth?\What are you talking about?\He's juicing like crazy!\You mean sweat!\Brain... response:	If you're talking about him, Jura beat him.
context: He?\There's someone else?\Don't tell me the eighth?\What are you talking about?\He's juicing like crazy!\You mean sweat!\Brain...\If you're talking about him, Jura beat him. response:	No...
context: There's someone else?\Don't tell me the eighth?\What are you talking about?\He's juicing like crazy!\You mean sweat!\Brain...\If you're talking about him, Jura beat him.\No... response:	Brain has another personality.
context: Don't tell me the eighth?\What are you talking about?\He's juicing like crazy!\You mean sweat!\Brain...\If you're talking about him, Jura beat him.\No...\Brain has another personality. response:	There is the front face, codenamed Brain, who holds so much knowledge.
context: What are you talking about?\He's juicing like crazy!\You mean sweat!\Brain...\If you're talking about him, Jura beat him.\No...\Brain has another personality.\There is the front face, codenamed Brain, who holds so much knowledge. response:	And then there is the back face, codenamed Zero, who loves nothing but destruction.
context: He's juicing like crazy!\You mean sweat!\Brain...\If you're talking about him, Jura beat him.\No...\Brain has another personality.\There is the front face, codenamed Brain, who holds so much knowledge.\And then there is the back face, codenamed Zero, who loves nothing but destruction. response:	Loves destruction?
context: You mean sweat!\Brain...\If you're talking about him, Jura beat him.\No...\Brain has another personality.\There is the front face, codenamed Brain, who holds so much knowledge.\And then there is the back face, codenamed Zero, who loves nothing but destruction.\Loves destruction? response:	Zero?
context: Brain...\If you're talking about him, Jura beat him.\No...\Brain has another personality.\There is the front face, codenamed Brain, who holds so much knowledge.\And then there is the back face, codenamed Zero, who loves nothing but destruction.\Loves destruction?\Zero? response:	Due to his overwhelming, evil magical powers,
context: If you're talking about him, Jura beat him.\No...\Brain has another personality.\There is the front face, codenamed Brain, who holds so much knowledge.\And then there is the back face, codenamed Zero, who loves nothing but destruction.\Loves destruction?\Zero?\Due to his overwhelming, evil magical powers, response:	Brain sealed that existence away himself with six keys.
context: No...\Brain has another personality.\There is the front face, codenamed Brain, who holds so much knowledge.\And then there is the back face, codenamed Zero, who loves nothing but destruction.\Loves destruction?\Zero?\Due to his overwhelming, evil magical powers,\Brain sealed that existence away himself with six keys. response:	And those are... Oracion Seis!
context: Brain has another personality.\There is the front face, codenamed Brain, who holds so much knowledge.\And then there is the back face, codenamed Zero, who loves nothing but destruction.\Loves destruction?\Zero?\Due to his overwhelming, evil magical powers,\Brain sealed that existence away himself with six keys.\And those are... Oracion Seis! response:	Exactly.
context: There is the front face, codenamed Brain, who holds so much knowledge.\And then there is the back face, codenamed Zero, who loves nothing but destruction.\Loves destruction?\Zero?\Due to his overwhelming, evil magical powers,\Brain sealed that existence away himself with six keys.\And those are... Oracion Seis!\Exactly. response:	And when the Six Generals fall, and their Body Link magic is broken,
context: And then there is the back face, codenamed Zero, who loves nothing but destruction.\Loves destruction?\Zero?\Due to his overwhelming, evil magical powers,\Brain sealed that existence away himself with six keys.\And those are... Oracion Seis!\Exactly.\And when the Six Generals fall, and their Body Link magic is broken, response:	the personality of Zero will be reborn once again...
context: Loves destruction?\Zero?\Due to his overwhelming, evil magical powers,\Brain sealed that existence away himself with six keys.\And those are... Oracion Seis!\Exactly.\And when the Six Generals fall, and their Body Link magic is broken,\the personality of Zero will be reborn once again... response:	This sounds like fun!
context: Zero?\Due to his overwhelming, evil magical powers,\Brain sealed that existence away himself with six keys.\And those are... Oracion Seis!\Exactly.\And when the Six Generals fall, and their Body Link magic is broken,\the personality of Zero will be reborn once again...\This sounds like fun! response:	Master?
context: Due to his overwhelming, evil magical powers,\Brain sealed that existence away himself with six keys.\And those are... Oracion Seis!\Exactly.\And when the Six Generals fall, and their Body Link magic is broken,\the personality of Zero will be reborn once again...\This sounds like fun!\Master? response:	Klodoa, it seems things have gotten quite interesting.
context: Brain sealed that existence away himself with six keys.\And those are... Oracion Seis!\Exactly.\And when the Six Generals fall, and their Body Link magic is broken,\the personality of Zero will be reborn once again...\This sounds like fun!\Master?\Klodoa, it seems things have gotten quite interesting. response:	Even that Midnight was beaten?
context: And those are... Oracion Seis!\Exactly.\And when the Six Generals fall, and their Body Link magic is broken,\the personality of Zero will be reborn once again...\This sounds like fun!\Master?\Klodoa, it seems things have gotten quite interesting.\Even that Midnight was beaten? response:	I-I truly apologize!
context: Exactly.\And when the Six Generals fall, and their Body Link magic is broken,\the personality of Zero will be reborn once again...\This sounds like fun!\Master?\Klodoa, it seems things have gotten quite interesting.\Even that Midnight was beaten?\I-I truly apologize! response:	Although, it sure has been a while, to have this feeling...
context: And when the Six Generals fall, and their Body Link magic is broken,\the personality of Zero will be reborn once again...\This sounds like fun!\Master?\Klodoa, it seems things have gotten quite interesting.\Even that Midnight was beaten?\I-I truly apologize!\Although, it sure has been a while, to have this feeling... response:	To have this body... This voice!
context: the personality of Zero will be reborn once again...\This sounds like fun!\Master?\Klodoa, it seems things have gotten quite interesting.\Even that Midnight was beaten?\I-I truly apologize!\Although, it sure has been a while, to have this feeling...\To have this body... This voice! response:	This magic!
context: This sounds like fun!\Master?\Klodoa, it seems things have gotten quite interesting.\Even that Midnight was beaten?\I-I truly apologize!\Although, it sure has been a while, to have this feeling...\To have this body... This voice!\This magic! response:	It all brings me back...
context: Master?\Klodoa, it seems things have gotten quite interesting.\Even that Midnight was beaten?\I-I truly apologize!\Although, it sure has been a while, to have this feeling...\To have this body... This voice!\This magic!\It all brings me back... response:	I'll handle the rest.
context: Klodoa, it seems things have gotten quite interesting.\Even that Midnight was beaten?\I-I truly apologize!\Although, it sure has been a while, to have this feeling...\To have this body... This voice!\This magic!\It all brings me back...\I'll handle the rest. response:	Stand back, Klodoa.
context: Even that Midnight was beaten?\I-I truly apologize!\Although, it sure has been a while, to have this feeling...\To have this body... This voice!\This magic!\It all brings me back...\I'll handle the rest.\Stand back, Klodoa. response:	You little brats...
context: I-I truly apologize!\Although, it sure has been a while, to have this feeling...\To have this body... This voice!\This magic!\It all brings me back...\I'll handle the rest.\Stand back, Klodoa.\You little brats... response:	You sure made a mess out of my guild.
context: Although, it sure has been a while, to have this feeling...\To have this body... This voice!\This magic!\It all brings me back...\I'll handle the rest.\Stand back, Klodoa.\You little brats...\You sure made a mess out of my guild. response:	As its master, I will make you pay for that.
context: To have this body... This voice!\This magic!\It all brings me back...\I'll handle the rest.\Stand back, Klodoa.\You little brats...\You sure made a mess out of my guild.\As its master, I will make you pay for that. response:	He's... the guildmaster of Oracion Seis?
context: This magic!\It all brings me back...\I'll handle the rest.\Stand back, Klodoa.\You little brats...\You sure made a mess out of my guild.\As its master, I will make you pay for that.\He's... the guildmaster of Oracion Seis? response:	Zero!
context: It all brings me back...\I'll handle the rest.\Stand back, Klodoa.\You little brats...\You sure made a mess out of my guild.\As its master, I will make you pay for that.\He's... the guildmaster of Oracion Seis?\Zero! response:	The ground is shaking from his magic power?
context: I'll handle the rest.\Stand back, Klodoa.\You little brats...\You sure made a mess out of my guild.\As its master, I will make you pay for that.\He's... the guildmaster of Oracion Seis?\Zero!\The ground is shaking from his magic power? response:	Gettin' fired up, Natsu?
context: Stand back, Klodoa.\You little brats...\You sure made a mess out of my guild.\As its master, I will make you pay for that.\He's... the guildmaster of Oracion Seis?\Zero!\The ground is shaking from his magic power?\Gettin' fired up, Natsu? response:	I've never felt magic power this nasty!
context: You little brats...\You sure made a mess out of my guild.\As its master, I will make you pay for that.\He's... the guildmaster of Oracion Seis?\Zero!\The ground is shaking from his magic power?\Gettin' fired up, Natsu?\I've never felt magic power this nasty! response:	That's right...
context: You sure made a mess out of my guild.\As its master, I will make you pay for that.\He's... the guildmaster of Oracion Seis?\Zero!\The ground is shaking from his magic power?\Gettin' fired up, Natsu?\I've never felt magic power this nasty!\That's right... response:	I'll start by erasing this baldy who hurt this body's Brain!
context: As its master, I will make you pay for that.\He's... the guildmaster of Oracion Seis?\Zero!\The ground is shaking from his magic power?\Gettin' fired up, Natsu?\I've never felt magic power this nasty!\That's right...\I'll start by erasing this baldy who hurt this body's Brain! response:	You're gonna attack someone who can't even move?
context: He's... the guildmaster of Oracion Seis?\Zero!\The ground is shaking from his magic power?\Gettin' fired up, Natsu?\I've never felt magic power this nasty!\That's right...\I'll start by erasing this baldy who hurt this body's Brain!\You're gonna attack someone who can't even move? response:	What nonsense...
context: Zero!\The ground is shaking from his magic power?\Gettin' fired up, Natsu?\I've never felt magic power this nasty!\That's right...\I'll start by erasing this baldy who hurt this body's Brain!\You're gonna attack someone who can't even move?\What nonsense... response:	My shield is being broken, just like that?
context: The ground is shaking from his magic power?\Gettin' fired up, Natsu?\I've never felt magic power this nasty!\That's right...\I'll start by erasing this baldy who hurt this body's Brain!\You're gonna attack someone who can't even move?\What nonsense...\My shield is being broken, just like that? response:	Old dude!
context: Gettin' fired up, Natsu?\I've never felt magic power this nasty!\That's right...\I'll start by erasing this baldy who hurt this body's Brain!\You're gonna attack someone who can't even move?\What nonsense...\My shield is being broken, just like that?\Old dude! response:	Gray!
context: I've never felt magic power this nasty!\That's right...\I'll start by erasing this baldy who hurt this body's Brain!\You're gonna attack someone who can't even move?\What nonsense...\My shield is being broken, just like that?\Old dude!\Gray! response:	Whether he can move or not isn't much of a difference.
context: That's right...\I'll start by erasing this baldy who hurt this body's Brain!\You're gonna attack someone who can't even move?\What nonsense...\My shield is being broken, just like that?\Old dude!\Gray!\Whether he can move or not isn't much of a difference. response:	As long as it has form, it's just as fun to destroy!
context: I'll start by erasing this baldy who hurt this body's Brain!\You're gonna attack someone who can't even move?\What nonsense...\My shield is being broken, just like that?\Old dude!\Gray!\Whether he can move or not isn't much of a difference.\As long as it has form, it's just as fun to destroy! response:	Why, you...
context: You're gonna attack someone who can't even move?\What nonsense...\My shield is being broken, just like that?\Old dude!\Gray!\Whether he can move or not isn't much of a difference.\As long as it has form, it's just as fun to destroy!\Why, you... response:	Oh, no!
context: What nonsense...\My shield is being broken, just like that?\Old dude!\Gray!\Whether he can move or not isn't much of a difference.\As long as it has form, it's just as fun to destroy!\Why, you...\Oh, no! response:	W-What'll we do?
context: My shield is being broken, just like that?\Old dude!\Gray!\Whether he can move or not isn't much of a difference.\As long as it has form, it's just as fun to destroy!\Why, you...\Oh, no!\W-What'll we do? response:	My body's... frozen stiff...
context: Old dude!\Gray!\Whether he can move or not isn't much of a difference.\As long as it has form, it's just as fun to destroy!\Why, you...\Oh, no!\W-What'll we do?\My body's... frozen stiff... response:	I'm scared!
context: Gray!\Whether he can move or not isn't much of a difference.\As long as it has form, it's just as fun to destroy!\Why, you...\Oh, no!\W-What'll we do?\My body's... frozen stiff...\I'm scared! response:	Impressive, Master Zero! Excellent work as always!
context: Whether he can move or not isn't much of a difference.\As long as it has form, it's just as fun to destroy!\Why, you...\Oh, no!\W-What'll we do?\My body's... frozen stiff...\I'm scared!\Impressive, Master Zero! Excellent work as always! response:	Defeating these annoying brats like they were nothing!
context: As long as it has form, it's just as fun to destroy!\Why, you...\Oh, no!\W-What'll we do?\My body's... frozen stiff...\I'm scared!\Impressive, Master Zero! Excellent work as always!\Defeating these annoying brats like they were nothing! response:	But they still live.
context: Why, you...\Oh, no!\W-What'll we do?\My body's... frozen stiff...\I'm scared!\Impressive, Master Zero! Excellent work as always!\Defeating these annoying brats like they were nothing!\But they still live. response:	You're still alive, aren't you?
context: Oh, no!\W-What'll we do?\My body's... frozen stiff...\I'm scared!\Impressive, Master Zero! Excellent work as always!\Defeating these annoying brats like they were nothing!\But they still live.\You're still alive, aren't you? response:	Stand up.
context: W-What'll we do?\My body's... frozen stiff...\I'm scared!\Impressive, Master Zero! Excellent work as always!\Defeating these annoying brats like they were nothing!\But they still live.\You're still alive, aren't you?\Stand up. response:	You still have form!
context: My body's... frozen stiff...\I'm scared!\Impressive, Master Zero! Excellent work as always!\Defeating these annoying brats like they were nothing!\But they still live.\You're still alive, aren't you?\Stand up.\You still have form! response:	Does it hurt?
context: I'm scared!\Impressive, Master Zero! Excellent work as always!\Defeating these annoying brats like they were nothing!\But they still live.\You're still alive, aren't you?\Stand up.\You still have form!\Does it hurt? response:	No, I'm fine...
context: Impressive, Master Zero! Excellent work as always!\Defeating these annoying brats like they were nothing!\But they still live.\You're still alive, aren't you?\Stand up.\You still have form!\Does it hurt?\No, I'm fine... response:	I apologize.
context: Defeating these annoying brats like they were nothing!\But they still live.\You're still alive, aren't you?\Stand up.\You still have form!\Does it hurt?\No, I'm fine...\I apologize. response:	I was in too much of a hurry to stop Nirvana.
context: But they still live.\You're still alive, aren't you?\Stand up.\You still have form!\Does it hurt?\No, I'm fine...\I apologize.\I was in too much of a hurry to stop Nirvana. response:	That wound... And the fact you'd used up nearly all your magic power...
context: You're still alive, aren't you?\Stand up.\You still have form!\Does it hurt?\No, I'm fine...\I apologize.\I was in too much of a hurry to stop Nirvana.\That wound... And the fact you'd used up nearly all your magic power... response:	You were barely even able to stand, weren't you, Jellal?
context: Stand up.\You still have form!\Does it hurt?\No, I'm fine...\I apologize.\I was in too much of a hurry to stop Nirvana.\That wound... And the fact you'd used up nearly all your magic power...\You were barely even able to stand, weren't you, Jellal? response:	No, it's okay. It doesn't change the fact that it was I who undid the seal on Nirvana.
context: You still have form!\Does it hurt?\No, I'm fine...\I apologize.\I was in too much of a hurry to stop Nirvana.\That wound... And the fact you'd used up nearly all your magic power...\You were barely even able to stand, weren't you, Jellal?\No, it's okay. It doesn't change the fact that it was I who undid the seal on Nirvana. response:	We must hurry and stop it.
context: Does it hurt?\No, I'm fine...\I apologize.\I was in too much of a hurry to stop Nirvana.\That wound... And the fact you'd used up nearly all your magic power...\You were barely even able to stand, weren't you, Jellal?\No, it's okay. It doesn't change the fact that it was I who undid the seal on Nirvana.\We must hurry and stop it. response:	I wonder for how long...
context: No, I'm fine...\I apologize.\I was in too much of a hurry to stop Nirvana.\That wound... And the fact you'd used up nearly all your magic power...\You were barely even able to stand, weren't you, Jellal?\No, it's okay. It doesn't change the fact that it was I who undid the seal on Nirvana.\We must hurry and stop it.\I wonder for how long... response:	How long will I be able to remain anchored at this harbor known as battle?
context: I apologize.\I was in too much of a hurry to stop Nirvana.\That wound... And the fact you'd used up nearly all your magic power...\You were barely even able to stand, weren't you, Jellal?\No, it's okay. It doesn't change the fact that it was I who undid the seal on Nirvana.\We must hurry and stop it.\I wonder for how long...\How long will I be able to remain anchored at this harbor known as battle? response:	He's gone.
context: I was in too much of a hurry to stop Nirvana.\That wound... And the fact you'd used up nearly all your magic power...\You were barely even able to stand, weren't you, Jellal?\No, it's okay. It doesn't change the fact that it was I who undid the seal on Nirvana.\We must hurry and stop it.\I wonder for how long...\How long will I be able to remain anchored at this harbor known as battle?\He's gone. response:	Where are you, Jellal?
context: That wound... And the fact you'd used up nearly all your magic power...\You were barely even able to stand, weren't you, Jellal?\No, it's okay. It doesn't change the fact that it was I who undid the seal on Nirvana.\We must hurry and stop it.\I wonder for how long...\How long will I be able to remain anchored at this harbor known as battle?\He's gone.\Where are you, Jellal? response:	Wendy, I'm at my limit. Let me rest a bit.
context: You were barely even able to stand, weren't you, Jellal?\No, it's okay. It doesn't change the fact that it was I who undid the seal on Nirvana.\We must hurry and stop it.\I wonder for how long...\How long will I be able to remain anchored at this harbor known as battle?\He's gone.\Where are you, Jellal?\Wendy, I'm at my limit. Let me rest a bit. response:	Sure!
context: No, it's okay. It doesn't change the fact that it was I who undid the seal on Nirvana.\We must hurry and stop it.\I wonder for how long...\How long will I be able to remain anchored at this harbor known as battle?\He's gone.\Where are you, Jellal?\Wendy, I'm at my limit. Let me rest a bit.\Sure! response:	I'm sorry for pushing you, Carla.
context: We must hurry and stop it.\I wonder for how long...\How long will I be able to remain anchored at this harbor known as battle?\He's gone.\Where are you, Jellal?\Wendy, I'm at my limit. Let me rest a bit.\Sure!\I'm sorry for pushing you, Carla. response:	It's fine.
context: I wonder for how long...\How long will I be able to remain anchored at this harbor known as battle?\He's gone.\Where are you, Jellal?\Wendy, I'm at my limit. Let me rest a bit.\Sure!\I'm sorry for pushing you, Carla.\It's fine. response:	I remember that mountain.
context: How long will I be able to remain anchored at this harbor known as battle?\He's gone.\Where are you, Jellal?\Wendy, I'm at my limit. Let me rest a bit.\Sure!\I'm sorry for pushing you, Carla.\It's fine.\I remember that mountain. response:	We're almost there.
context: He's gone.\Where are you, Jellal?\Wendy, I'm at my limit. Let me rest a bit.\Sure!\I'm sorry for pushing you, Carla.\It's fine.\I remember that mountain.\We're almost there. response:	Sheesh. But this ancient city is huge!
context: Where are you, Jellal?\Wendy, I'm at my limit. Let me rest a bit.\Sure!\I'm sorry for pushing you, Carla.\It's fine.\I remember that mountain.\We're almost there.\Sheesh. But this ancient city is huge! response:	What'll we do?
context: Wendy, I'm at my limit. Let me rest a bit.\Sure!\I'm sorry for pushing you, Carla.\It's fine.\I remember that mountain.\We're almost there.\Sheesh. But this ancient city is huge!\What'll we do? response:	It's no use... No matter how much we look, we won't find him!
context: Sure!\I'm sorry for pushing you, Carla.\It's fine.\I remember that mountain.\We're almost there.\Sheesh. But this ancient city is huge!\What'll we do?\It's no use... No matter how much we look, we won't find him! response:	You getting weak-knees isn't going to help.
context: I'm sorry for pushing you, Carla.\It's fine.\I remember that mountain.\We're almost there.\Sheesh. But this ancient city is huge!\What'll we do?\It's no use... No matter how much we look, we won't find him!\You getting weak-knees isn't going to help. response:	At this rate, Caitshelter will be...
context: It's fine.\I remember that mountain.\We're almost there.\Sheesh. But this ancient city is huge!\What'll we do?\It's no use... No matter how much we look, we won't find him!\You getting weak-knees isn't going to help.\At this rate, Caitshelter will be... response:	I know that!
context: I remember that mountain.\We're almost there.\Sheesh. But this ancient city is huge!\What'll we do?\It's no use... No matter how much we look, we won't find him!\You getting weak-knees isn't going to help.\At this rate, Caitshelter will be...\I know that! response:	I know, but what should I do?
context: We're almost there.\Sheesh. But this ancient city is huge!\What'll we do?\It's no use... No matter how much we look, we won't find him!\You getting weak-knees isn't going to help.\At this rate, Caitshelter will be...\I know that!\I know, but what should I do? response:	Decide on one thing!
context: Sheesh. But this ancient city is huge!\What'll we do?\It's no use... No matter how much we look, we won't find him!\You getting weak-knees isn't going to help.\At this rate, Caitshelter will be...\I know that!\I know, but what should I do?\Decide on one thing! response:	Do you want to see Jellal?
context: What'll we do?\It's no use... No matter how much we look, we won't find him!\You getting weak-knees isn't going to help.\At this rate, Caitshelter will be...\I know that!\I know, but what should I do?\Decide on one thing!\Do you want to see Jellal? response:	Do you want Jellal to stop this thing?
context: It's no use... No matter how much we look, we won't find him!\You getting weak-knees isn't going to help.\At this rate, Caitshelter will be...\I know that!\I know, but what should I do?\Decide on one thing!\Do you want to see Jellal?\Do you want Jellal to stop this thing? response:	If you chase two rabbits at once, you won't catch either!
context: You getting weak-knees isn't going to help.\At this rate, Caitshelter will be...\I know that!\I know, but what should I do?\Decide on one thing!\Do you want to see Jellal?\Do you want Jellal to stop this thing?\If you chase two rabbits at once, you won't catch either! response:	Right. We have to stop it.
context: At this rate, Caitshelter will be...\I know that!\I know, but what should I do?\Decide on one thing!\Do you want to see Jellal?\Do you want Jellal to stop this thing?\If you chase two rabbits at once, you won't catch either!\Right. We have to stop it. response:	Right now, we have to stop Nirvana!
context: I know that!\I know, but what should I do?\Decide on one thing!\Do you want to see Jellal?\Do you want Jellal to stop this thing?\If you chase two rabbits at once, you won't catch either!\Right. We have to stop it.\Right now, we have to stop Nirvana! response:	Don't think about other things, and keep searching.
context: I know, but what should I do?\Decide on one thing!\Do you want to see Jellal?\Do you want Jellal to stop this thing?\If you chase two rabbits at once, you won't catch either!\Right. We have to stop it.\Right now, we have to stop Nirvana!\Don't think about other things, and keep searching. response:	Right!
context: Decide on one thing!\Do you want to see Jellal?\Do you want Jellal to stop this thing?\If you chase two rabbits at once, you won't catch either!\Right. We have to stop it.\Right now, we have to stop Nirvana!\Don't think about other things, and keep searching.\Right! response:	We have to stop it! Right now, we have to stop it!
context: Do you want to see Jellal?\Do you want Jellal to stop this thing?\If you chase two rabbits at once, you won't catch either!\Right. We have to stop it.\Right now, we have to stop Nirvana!\Don't think about other things, and keep searching.\Right!\We have to stop it! Right now, we have to stop it! response:	I can see it! I can see it! I can see it, Master Zero!
context: Do you want Jellal to stop this thing?\If you chase two rabbits at once, you won't catch either!\Right. We have to stop it.\Right now, we have to stop Nirvana!\Don't think about other things, and keep searching.\Right!\We have to stop it! Right now, we have to stop it!\I can see it! I can see it! I can see it, Master Zero! response:	Thank you for waiting! I can see it!
context: If you chase two rabbits at once, you won't catch either!\Right. We have to stop it.\Right now, we have to stop Nirvana!\Don't think about other things, and keep searching.\Right!\We have to stop it! Right now, we have to stop it!\I can see it! I can see it! I can see it, Master Zero!\Thank you for waiting! I can see it! response:	There is it! I can see Caitshelter!
context: Right. We have to stop it.\Right now, we have to stop Nirvana!\Don't think about other things, and keep searching.\Right!\We have to stop it! Right now, we have to stop it!\I can see it! I can see it! I can see it, Master Zero!\Thank you for waiting! I can see it!\There is it! I can see Caitshelter! response:	That's the guild of the race that has sealed Nirvana for an eternity!
context: Right now, we have to stop Nirvana!\Don't think about other things, and keep searching.\Right!\We have to stop it! Right now, we have to stop it!\I can see it! I can see it! I can see it, Master Zero!\Thank you for waiting! I can see it!\There is it! I can see Caitshelter!\That's the guild of the race that has sealed Nirvana for an eternity! response:	All we have to do is destroy them, and then Nirvana can never be sealed again!
context: Don't think about other things, and keep searching.\Right!\We have to stop it! Right now, we have to stop it!\I can see it! I can see it! I can see it, Master Zero!\Thank you for waiting! I can see it!\There is it! I can see Caitshelter!\That's the guild of the race that has sealed Nirvana for an eternity!\All we have to do is destroy them, and then Nirvana can never be sealed again! response:	Alrighty then!
context: Right!\We have to stop it! Right now, we have to stop it!\I can see it! I can see it! I can see it, Master Zero!\Thank you for waiting! I can see it!\There is it! I can see Caitshelter!\That's the guild of the race that has sealed Nirvana for an eternity!\All we have to do is destroy them, and then Nirvana can never be sealed again!\Alrighty then! response:	This is stupid.
context: We have to stop it! Right now, we have to stop it!\I can see it! I can see it! I can see it, Master Zero!\Thank you for waiting! I can see it!\There is it! I can see Caitshelter!\That's the guild of the race that has sealed Nirvana for an eternity!\All we have to do is destroy them, and then Nirvana can never be sealed again!\Alrighty then!\This is stupid. response:	You heard me, Klodoa.
context: I can see it! I can see it! I can see it, Master Zero!\Thank you for waiting! I can see it!\There is it! I can see Caitshelter!\That's the guild of the race that has sealed Nirvana for an eternity!\All we have to do is destroy them, and then Nirvana can never be sealed again!\Alrighty then!\This is stupid.\You heard me, Klodoa. response:	What, Master Zero?
