context: No! response:	Fate doesn't matter.
context: Damn it! My genes are going nuts!\What am I doing watching this opportunity go by?\Ready, aim, fire!\Andy!\Ow!\Sorry. Are you okay?\I'm fine. It's just a bruise.\It's nothing compared to the pounding pain in my heart! response:	Did you get hit in the chest, too?
context: What am I doing watching this opportunity go by?\Ready, aim, fire!\Andy!\Ow!\Sorry. Are you okay?\I'm fine. It's just a bruise.\It's nothing compared to the pounding pain in my heart!\Did you get hit in the chest, too? response:	That's not what I meant...
context: Ready, aim, fire!\Andy!\Ow!\Sorry. Are you okay?\I'm fine. It's just a bruise.\It's nothing compared to the pounding pain in my heart!\Did you get hit in the chest, too?\That's not what I meant... response:	Well, I'm done.
context: Andy!\Ow!\Sorry. Are you okay?\I'm fine. It's just a bruise.\It's nothing compared to the pounding pain in my heart!\Did you get hit in the chest, too?\That's not what I meant...\Well, I'm done. response:	Huh?
context: Ow!\Sorry. Are you okay?\I'm fine. It's just a bruise.\It's nothing compared to the pounding pain in my heart!\Did you get hit in the chest, too?\That's not what I meant...\Well, I'm done.\Huh? response:	But I'd advise you to rest for a bit.
context: Sorry. Are you okay?\I'm fine. It's just a bruise.\It's nothing compared to the pounding pain in my heart!\Did you get hit in the chest, too?\That's not what I meant...\Well, I'm done.\Huh?\But I'd advise you to rest for a bit. response:	Mix!
context: I'm fine. It's just a bruise.\It's nothing compared to the pounding pain in my heart!\Did you get hit in the chest, too?\That's not what I meant...\Well, I'm done.\Huh?\But I'd advise you to rest for a bit.\Mix! response:	Stay with me just a little longer.
context: It's nothing compared to the pounding pain in my heart!\Did you get hit in the chest, too?\That's not what I meant...\Well, I'm done.\Huh?\But I'd advise you to rest for a bit.\Mix!\Stay with me just a little longer. response:	I want to talk to you... alone.
context: Did you get hit in the chest, too?\That's not what I meant...\Well, I'm done.\Huh?\But I'd advise you to rest for a bit.\Mix!\Stay with me just a little longer.\I want to talk to you... alone. response:	They've been in there for a while.
context: That's not what I meant...\Well, I'm done.\Huh?\But I'd advise you to rest for a bit.\Mix!\Stay with me just a little longer.\I want to talk to you... alone.\They've been in there for a while. response:	What are Andy and Mix doing, anyway?
context: Well, I'm done.\Huh?\But I'd advise you to rest for a bit.\Mix!\Stay with me just a little longer.\I want to talk to you... alone.\They've been in there for a while.\What are Andy and Mix doing, anyway? response:	Let's bring them some of these.
context: Huh?\But I'd advise you to rest for a bit.\Mix!\Stay with me just a little longer.\I want to talk to you... alone.\They've been in there for a while.\What are Andy and Mix doing, anyway?\Let's bring them some of these. response:	I think we should leave them alone.
context: But I'd advise you to rest for a bit.\Mix!\Stay with me just a little longer.\I want to talk to you... alone.\They've been in there for a while.\What are Andy and Mix doing, anyway?\Let's bring them some of these.\I think we should leave them alone. response:	By the way, where's Mikono?
context: Mix!\Stay with me just a little longer.\I want to talk to you... alone.\They've been in there for a while.\What are Andy and Mix doing, anyway?\Let's bring them some of these.\I think we should leave them alone.\By the way, where's Mikono? response:	She...
context: Stay with me just a little longer.\I want to talk to you... alone.\They've been in there for a while.\What are Andy and Mix doing, anyway?\Let's bring them some of these.\I think we should leave them alone.\By the way, where's Mikono?\She... response:	Zessica's missing too.
context: I want to talk to you... alone.\They've been in there for a while.\What are Andy and Mix doing, anyway?\Let's bring them some of these.\I think we should leave them alone.\By the way, where's Mikono?\She...\Zessica's missing too. response:	I'm so stupid.
context: They've been in there for a while.\What are Andy and Mix doing, anyway?\Let's bring them some of these.\I think we should leave them alone.\By the way, where's Mikono?\She...\Zessica's missing too.\I'm so stupid. response:	Mikono!
context: What are Andy and Mix doing, anyway?\Let's bring them some of these.\I think we should leave them alone.\By the way, where's Mikono?\She...\Zessica's missing too.\I'm so stupid.\Mikono! response:	I just wanted to be away from everyone.
context: Let's bring them some of these.\I think we should leave them alone.\By the way, where's Mikono?\She...\Zessica's missing too.\I'm so stupid.\Mikono!\I just wanted to be away from everyone. response:	It looks like we're on the same wavelength today.
context: I think we should leave them alone.\By the way, where's Mikono?\She...\Zessica's missing too.\I'm so stupid.\Mikono!\I just wanted to be away from everyone.\It looks like we're on the same wavelength today. response:	Put this on or you'll catch a cold.
context: By the way, where's Mikono?\She...\Zessica's missing too.\I'm so stupid.\Mikono!\I just wanted to be away from everyone.\It looks like we're on the same wavelength today.\Put this on or you'll catch a cold. response:	So, Mix...
context: She...\Zessica's missing too.\I'm so stupid.\Mikono!\I just wanted to be away from everyone.\It looks like we're on the same wavelength today.\Put this on or you'll catch a cold.\So, Mix... response:	I know there's that love is forbidden thing...
context: Zessica's missing too.\I'm so stupid.\Mikono!\I just wanted to be away from everyone.\It looks like we're on the same wavelength today.\Put this on or you'll catch a cold.\So, Mix...\I know there's that love is forbidden thing... response:	But if I don't say this now, I'll hate myself forever.
context: I'm so stupid.\Mikono!\I just wanted to be away from everyone.\It looks like we're on the same wavelength today.\Put this on or you'll catch a cold.\So, Mix...\I know there's that love is forbidden thing...\But if I don't say this now, I'll hate myself forever. response:	Hate yourself? Whatever for?
context: Mikono!\I just wanted to be away from everyone.\It looks like we're on the same wavelength today.\Put this on or you'll catch a cold.\So, Mix...\I know there's that love is forbidden thing...\But if I don't say this now, I'll hate myself forever.\Hate yourself? Whatever for? response:	Andy?
context: I just wanted to be away from everyone.\It looks like we're on the same wavelength today.\Put this on or you'll catch a cold.\So, Mix...\I know there's that love is forbidden thing...\But if I don't say this now, I'll hate myself forever.\Hate yourself? Whatever for?\Andy? response:	Mix! After the war with the Abductors is over...
context: It looks like we're on the same wavelength today.\Put this on or you'll catch a cold.\So, Mix...\I know there's that love is forbidden thing...\But if I don't say this now, I'll hate myself forever.\Hate yourself? Whatever for?\Andy?\Mix! After the war with the Abductors is over... response:	Damn it, I'll be triggering my own death flag if I say this, huh?
context: Put this on or you'll catch a cold.\So, Mix...\I know there's that love is forbidden thing...\But if I don't say this now, I'll hate myself forever.\Hate yourself? Whatever for?\Andy?\Mix! After the war with the Abductors is over...\Damn it, I'll be triggering my own death flag if I say this, huh? response:	Screw it! I'm not going to die!
context: So, Mix...\I know there's that love is forbidden thing...\But if I don't say this now, I'll hate myself forever.\Hate yourself? Whatever for?\Andy?\Mix! After the war with the Abductors is over...\Damn it, I'll be triggering my own death flag if I say this, huh?\Screw it! I'm not going to die! response:	Please, after this war is all over...
context: I know there's that love is forbidden thing...\But if I don't say this now, I'll hate myself forever.\Hate yourself? Whatever for?\Andy?\Mix! After the war with the Abductors is over...\Damn it, I'll be triggering my own death flag if I say this, huh?\Screw it! I'm not going to die!\Please, after this war is all over... response:	Um...
context: But if I don't say this now, I'll hate myself forever.\Hate yourself? Whatever for?\Andy?\Mix! After the war with the Abductors is over...\Damn it, I'll be triggering my own death flag if I say this, huh?\Screw it! I'm not going to die!\Please, after this war is all over...\Um... response:	Say it! Just say it, Andy!
context: Hate yourself? Whatever for?\Andy?\Mix! After the war with the Abductors is over...\Damn it, I'll be triggering my own death flag if I say this, huh?\Screw it! I'm not going to die!\Please, after this war is all over...\Um...\Say it! Just say it, Andy! response:	Say, I know I'm all about digging holes, but let me fill the hole in your heart!
context: Andy?\Mix! After the war with the Abductors is over...\Damn it, I'll be triggering my own death flag if I say this, huh?\Screw it! I'm not going to die!\Please, after this war is all over...\Um...\Say it! Just say it, Andy!\Say, I know I'm all about digging holes, but let me fill the hole in your heart! response:	Andy...
context: Mix! After the war with the Abductors is over...\Damn it, I'll be triggering my own death flag if I say this, huh?\Screw it! I'm not going to die!\Please, after this war is all over...\Um...\Say it! Just say it, Andy!\Say, I know I'm all about digging holes, but let me fill the hole in your heart!\Andy... response:	Mix!
context: Damn it, I'll be triggering my own death flag if I say this, huh?\Screw it! I'm not going to die!\Please, after this war is all over...\Um...\Say it! Just say it, Andy!\Say, I know I'm all about digging holes, but let me fill the hole in your heart!\Andy...\Mix! response:	Let me fill the hole in your heart!
context: Screw it! I'm not going to die!\Please, after this war is all over...\Um...\Say it! Just say it, Andy!\Say, I know I'm all about digging holes, but let me fill the hole in your heart!\Andy...\Mix!\Let me fill the hole in your heart! response:	Let me... fill the hole...
context: Please, after this war is all over...\Um...\Say it! Just say it, Andy!\Say, I know I'm all about digging holes, but let me fill the hole in your heart!\Andy...\Mix!\Let me fill the hole in your heart!\Let me... fill the hole... response:	Mix!
context: Um...\Say it! Just say it, Andy!\Say, I know I'm all about digging holes, but let me fill the hole in your heart!\Andy...\Mix!\Let me fill the hole in your heart!\Let me... fill the hole...\Mix! response:	Yes!?
context: Say it! Just say it, Andy!\Say, I know I'm all about digging holes, but let me fill the hole in your heart!\Andy...\Mix!\Let me fill the hole in your heart!\Let me... fill the hole...\Mix!\Yes!? response:	Let me fill your hole!
context: Say, I know I'm all about digging holes, but let me fill the hole in your heart!\Andy...\Mix!\Let me fill the hole in your heart!\Let me... fill the hole...\Mix!\Yes!?\Let me fill your hole! response:	My... hole?
context: Andy...\Mix!\Let me fill the hole in your heart!\Let me... fill the hole...\Mix!\Yes!?\Let me fill your hole!\My... hole? response:	Your hole!
context: Mix!\Let me fill the hole in your heart!\Let me... fill the hole...\Mix!\Yes!?\Let me fill your hole!\My... hole?\Your hole! response:	No, wait! Not that hole! The one in your heart! I meant the...
context: Let me fill the hole in your heart!\Let me... fill the hole...\Mix!\Yes!?\Let me fill your hole!\My... hole?\Your hole!\No, wait! Not that hole! The one in your heart! I meant the... response:	Did you guys just hear a really loud sound?
context: Let me... fill the hole...\Mix!\Yes!?\Let me fill your hole!\My... hole?\Your hole!\No, wait! Not that hole! The one in your heart! I meant the...\Did you guys just hear a really loud sound? response:	I hate you!
context: Mix!\Yes!?\Let me fill your hole!\My... hole?\Your hole!\No, wait! Not that hole! The one in your heart! I meant the...\Did you guys just hear a really loud sound?\I hate you! response:	In your heart...
context: Yes!?\Let me fill your hole!\My... hole?\Your hole!\No, wait! Not that hole! The one in your heart! I meant the...\Did you guys just hear a really loud sound?\I hate you!\In your heart... response:	I think I envied you all this time, Zessica.
context: Let me fill your hole!\My... hole?\Your hole!\No, wait! Not that hole! The one in your heart! I meant the...\Did you guys just hear a really loud sound?\I hate you!\In your heart...\I think I envied you all this time, Zessica. response:	What?
context: My... hole?\Your hole!\No, wait! Not that hole! The one in your heart! I meant the...\Did you guys just hear a really loud sound?\I hate you!\In your heart...\I think I envied you all this time, Zessica.\What? response:	You can be open and honest with your feelings all the time.
context: Your hole!\No, wait! Not that hole! The one in your heart! I meant the...\Did you guys just hear a really loud sound?\I hate you!\In your heart...\I think I envied you all this time, Zessica.\What?\You can be open and honest with your feelings all the time. response:	You were able to tell Amata how you felt.
context: No, wait! Not that hole! The one in your heart! I meant the...\Did you guys just hear a really loud sound?\I hate you!\In your heart...\I think I envied you all this time, Zessica.\What?\You can be open and honest with your feelings all the time.\You were able to tell Amata how you felt. response:	A lot happened before I could, though.
context: Did you guys just hear a really loud sound?\I hate you!\In your heart...\I think I envied you all this time, Zessica.\What?\You can be open and honest with your feelings all the time.\You were able to tell Amata how you felt.\A lot happened before I could, though. response:	I envy you too, Mikono.
context: I hate you!\In your heart...\I think I envied you all this time, Zessica.\What?\You can be open and honest with your feelings all the time.\You were able to tell Amata how you felt.\A lot happened before I could, though.\I envy you too, Mikono. response:	You're sweet, and you always do your best.
context: In your heart...\I think I envied you all this time, Zessica.\What?\You can be open and honest with your feelings all the time.\You were able to tell Amata how you felt.\A lot happened before I could, though.\I envy you too, Mikono.\You're sweet, and you always do your best. response:	I'm sure all the boys want girls like you.
context: I think I envied you all this time, Zessica.\What?\You can be open and honest with your feelings all the time.\You were able to tell Amata how you felt.\A lot happened before I could, though.\I envy you too, Mikono.\You're sweet, and you always do your best.\I'm sure all the boys want girls like you. response:	You're wrong!
context: What?\You can be open and honest with your feelings all the time.\You were able to tell Amata how you felt.\A lot happened before I could, though.\I envy you too, Mikono.\You're sweet, and you always do your best.\I'm sure all the boys want girls like you.\You're wrong! response:	Zessica, you're way more popular with the boys!
context: You can be open and honest with your feelings all the time.\You were able to tell Amata how you felt.\A lot happened before I could, though.\I envy you too, Mikono.\You're sweet, and you always do your best.\I'm sure all the boys want girls like you.\You're wrong!\Zessica, you're way more popular with the boys! response:	Nah.
context: You were able to tell Amata how you felt.\A lot happened before I could, though.\I envy you too, Mikono.\You're sweet, and you always do your best.\I'm sure all the boys want girls like you.\You're wrong!\Zessica, you're way more popular with the boys!\Nah. response:	They'll pick girls like you in the end.
context: A lot happened before I could, though.\I envy you too, Mikono.\You're sweet, and you always do your best.\I'm sure all the boys want girls like you.\You're wrong!\Zessica, you're way more popular with the boys!\Nah.\They'll pick girls like you in the end. response:	Girls who they can fight for and protect.
context: I envy you too, Mikono.\You're sweet, and you always do your best.\I'm sure all the boys want girls like you.\You're wrong!\Zessica, you're way more popular with the boys!\Nah.\They'll pick girls like you in the end.\Girls who they can fight for and protect. response:	Zessica?
context: You're sweet, and you always do your best.\I'm sure all the boys want girls like you.\You're wrong!\Zessica, you're way more popular with the boys!\Nah.\They'll pick girls like you in the end.\Girls who they can fight for and protect.\Zessica? response:	The sky!
context: I'm sure all the boys want girls like you.\You're wrong!\Zessica, you're way more popular with the boys!\Nah.\They'll pick girls like you in the end.\Girls who they can fight for and protect.\Zessica?\The sky! response:	Is that a...
context: You're wrong!\Zessica, you're way more popular with the boys!\Nah.\They'll pick girls like you in the end.\Girls who they can fight for and protect.\Zessica?\The sky!\Is that a... response:	It's a Dimensional Gate!
context: Zessica, you're way more popular with the boys!\Nah.\They'll pick girls like you in the end.\Girls who they can fight for and protect.\Zessica?\The sky!\Is that a...\It's a Dimensional Gate! response:	Amata, let's boot up the Vectors!
context: Nah.\They'll pick girls like you in the end.\Girls who they can fight for and protect.\Zessica?\The sky!\Is that a...\It's a Dimensional Gate!\Amata, let's boot up the Vectors! response:	Yeah!
context: They'll pick girls like you in the end.\Girls who they can fight for and protect.\Zessica?\The sky!\Is that a...\It's a Dimensional Gate!\Amata, let's boot up the Vectors!\Yeah! response:	What are the Abductors doing out here?
context: Girls who they can fight for and protect.\Zessica?\The sky!\Is that a...\It's a Dimensional Gate!\Amata, let's boot up the Vectors!\Yeah!\What are the Abductors doing out here? response:	Wait, Andy!
context: Zessica?\The sky!\Is that a...\It's a Dimensional Gate!\Amata, let's boot up the Vectors!\Yeah!\What are the Abductors doing out here?\Wait, Andy! response:	I screwed up.
context: The sky!\Is that a...\It's a Dimensional Gate!\Amata, let's boot up the Vectors!\Yeah!\What are the Abductors doing out here?\Wait, Andy!\I screwed up. response:	She totally hates me now.
context: Is that a...\It's a Dimensional Gate!\Amata, let's boot up the Vectors!\Yeah!\What are the Abductors doing out here?\Wait, Andy!\I screwed up.\She totally hates me now. response:	I'm such a moron.
context: It's a Dimensional Gate!\Amata, let's boot up the Vectors!\Yeah!\What are the Abductors doing out here?\Wait, Andy!\I screwed up.\She totally hates me now.\I'm such a moron. response:	I want to crawl in a hole...
context: Amata, let's boot up the Vectors!\Yeah!\What are the Abductors doing out here?\Wait, Andy!\I screwed up.\She totally hates me now.\I'm such a moron.\I want to crawl in a hole... response:	Dimensional Gate opening at the Lakeside area, zone ANH!
context: Yeah!\What are the Abductors doing out here?\Wait, Andy!\I screwed up.\She totally hates me now.\I'm such a moron.\I want to crawl in a hole...\Dimensional Gate opening at the Lakeside area, zone ANH! response:	The regular Elements are out?
context: What are the Abductors doing out here?\Wait, Andy!\I screwed up.\She totally hates me now.\I'm such a moron.\I want to crawl in a hole...\Dimensional Gate opening at the Lakeside area, zone ANH!\The regular Elements are out? response:	What's going on here?
context: Wait, Andy!\I screwed up.\She totally hates me now.\I'm such a moron.\I want to crawl in a hole...\Dimensional Gate opening at the Lakeside area, zone ANH!\The regular Elements are out?\What's going on here? response:	Relax, Donar.
context: I screwed up.\She totally hates me now.\I'm such a moron.\I want to crawl in a hole...\Dimensional Gate opening at the Lakeside area, zone ANH!\The regular Elements are out?\What's going on here?\Relax, Donar. response:	Chairman Crea! High Commander! What's happening?
context: She totally hates me now.\I'm such a moron.\I want to crawl in a hole...\Dimensional Gate opening at the Lakeside area, zone ANH!\The regular Elements are out?\What's going on here?\Relax, Donar.\Chairman Crea! High Commander! What's happening? response:	What is that Abductor?
context: I'm such a moron.\I want to crawl in a hole...\Dimensional Gate opening at the Lakeside area, zone ANH!\The regular Elements are out?\What's going on here?\Relax, Donar.\Chairman Crea! High Commander! What's happening?\What is that Abductor? response:	Let's get out of here, Mikono!
context: I want to crawl in a hole...\Dimensional Gate opening at the Lakeside area, zone ANH!\The regular Elements are out?\What's going on here?\Relax, Donar.\Chairman Crea! High Commander! What's happening?\What is that Abductor?\Let's get out of here, Mikono! response:	Andy!
context: Dimensional Gate opening at the Lakeside area, zone ANH!\The regular Elements are out?\What's going on here?\Relax, Donar.\Chairman Crea! High Commander! What's happening?\What is that Abductor?\Let's get out of here, Mikono!\Andy! response:	Andy, what are you doing?
context: The regular Elements are out?\What's going on here?\Relax, Donar.\Chairman Crea! High Commander! What's happening?\What is that Abductor?\Let's get out of here, Mikono!\Andy!\Andy, what are you doing? response:	It's dangerous in this weather!
context: What's going on here?\Relax, Donar.\Chairman Crea! High Commander! What's happening?\What is that Abductor?\Let's get out of here, Mikono!\Andy!\Andy, what are you doing?\It's dangerous in this weather! response:	Get out of that hole!
context: Relax, Donar.\Chairman Crea! High Commander! What's happening?\What is that Abductor?\Let's get out of here, Mikono!\Andy!\Andy, what are you doing?\It's dangerous in this weather!\Get out of that hole! response:	Why? Leave me alone.
context: Chairman Crea! High Commander! What's happening?\What is that Abductor?\Let's get out of here, Mikono!\Andy!\Andy, what are you doing?\It's dangerous in this weather!\Get out of that hole!\Why? Leave me alone. response:	What?
context: What is that Abductor?\Let's get out of here, Mikono!\Andy!\Andy, what are you doing?\It's dangerous in this weather!\Get out of that hole!\Why? Leave me alone.\What? response:	Winter Union! Go, Aquarion!
context: Let's get out of here, Mikono!\Andy!\Andy, what are you doing?\It's dangerous in this weather!\Get out of that hole!\Why? Leave me alone.\What?\Winter Union! Go, Aquarion! response:	Aquarion Gepard!
context: Andy!\Andy, what are you doing?\It's dangerous in this weather!\Get out of that hole!\Why? Leave me alone.\What?\Winter Union! Go, Aquarion!\Aquarion Gepard! response:	We'll handle this weird Abductor.
context: Andy, what are you doing?\It's dangerous in this weather!\Get out of that hole!\Why? Leave me alone.\What?\Winter Union! Go, Aquarion!\Aquarion Gepard!\We'll handle this weird Abductor. response:	Shrade, take care of everyone left above ground!
context: It's dangerous in this weather!\Get out of that hole!\Why? Leave me alone.\What?\Winter Union! Go, Aquarion!\Aquarion Gepard!\We'll handle this weird Abductor.\Shrade, take care of everyone left above ground! response:	Of course, my friend!
context: Get out of that hole!\Why? Leave me alone.\What?\Winter Union! Go, Aquarion!\Aquarion Gepard!\We'll handle this weird Abductor.\Shrade, take care of everyone left above ground!\Of course, my friend! response:	It's so cold!
context: Why? Leave me alone.\What?\Winter Union! Go, Aquarion!\Aquarion Gepard!\We'll handle this weird Abductor.\Shrade, take care of everyone left above ground!\Of course, my friend!\It's so cold! response:	I'm from the south, so this cold is extra intense for me!
context: What?\Winter Union! Go, Aquarion!\Aquarion Gepard!\We'll handle this weird Abductor.\Shrade, take care of everyone left above ground!\Of course, my friend!\It's so cold!\I'm from the south, so this cold is extra intense for me! response:	Take shelter in this hole Andy dug!
context: Winter Union! Go, Aquarion!\Aquarion Gepard!\We'll handle this weird Abductor.\Shrade, take care of everyone left above ground!\Of course, my friend!\It's so cold!\I'm from the south, so this cold is extra intense for me!\Take shelter in this hole Andy dug! response:	You'll be protected from the cold underground!
context: Aquarion Gepard!\We'll handle this weird Abductor.\Shrade, take care of everyone left above ground!\Of course, my friend!\It's so cold!\I'm from the south, so this cold is extra intense for me!\Take shelter in this hole Andy dug!\You'll be protected from the cold underground! response:	Did the Abductor cause this blizzard?
context: We'll handle this weird Abductor.\Shrade, take care of everyone left above ground!\Of course, my friend!\It's so cold!\I'm from the south, so this cold is extra intense for me!\Take shelter in this hole Andy dug!\You'll be protected from the cold underground!\Did the Abductor cause this blizzard? response:	We'll be okay. Amata will save us.
context: Shrade, take care of everyone left above ground!\Of course, my friend!\It's so cold!\I'm from the south, so this cold is extra intense for me!\Take shelter in this hole Andy dug!\You'll be protected from the cold underground!\Did the Abductor cause this blizzard?\We'll be okay. Amata will save us. response:	Damn it! Without our Element suits...
context: Of course, my friend!\It's so cold!\I'm from the south, so this cold is extra intense for me!\Take shelter in this hole Andy dug!\You'll be protected from the cold underground!\Did the Abductor cause this blizzard?\We'll be okay. Amata will save us.\Damn it! Without our Element suits... response:	The heat isn't working?
context: It's so cold!\I'm from the south, so this cold is extra intense for me!\Take shelter in this hole Andy dug!\You'll be protected from the cold underground!\Did the Abductor cause this blizzard?\We'll be okay. Amata will save us.\Damn it! Without our Element suits...\The heat isn't working? response:	Cold... so cold...
context: I'm from the south, so this cold is extra intense for me!\Take shelter in this hole Andy dug!\You'll be protected from the cold underground!\Did the Abductor cause this blizzard?\We'll be okay. Amata will save us.\Damn it! Without our Element suits...\The heat isn't working?\Cold... so cold... response:	How deep did Andy dig?
context: Take shelter in this hole Andy dug!\You'll be protected from the cold underground!\Did the Abductor cause this blizzard?\We'll be okay. Amata will save us.\Damn it! Without our Element suits...\The heat isn't working?\Cold... so cold...\How deep did Andy dig? response:	Andy!
context: You'll be protected from the cold underground!\Did the Abductor cause this blizzard?\We'll be okay. Amata will save us.\Damn it! Without our Element suits...\The heat isn't working?\Cold... so cold...\How deep did Andy dig?\Andy! response:	Andy...
context: Did the Abductor cause this blizzard?\We'll be okay. Amata will save us.\Damn it! Without our Element suits...\The heat isn't working?\Cold... so cold...\How deep did Andy dig?\Andy!\Andy... response:	It's over...
context: We'll be okay. Amata will save us.\Damn it! Without our Element suits...\The heat isn't working?\Cold... so cold...\How deep did Andy dig?\Andy!\Andy...\It's over... response:	It's all over for me...
context: Damn it! Without our Element suits...\The heat isn't working?\Cold... so cold...\How deep did Andy dig?\Andy!\Andy...\It's over...\It's all over for me... response:	Andy's aura level is almost at minimum!
context: The heat isn't working?\Cold... so cold...\How deep did Andy dig?\Andy!\Andy...\It's over...\It's all over for me...\Andy's aura level is almost at minimum! response:	Then it's time.
context: Cold... so cold...\How deep did Andy dig?\Andy!\Andy...\It's over...\It's all over for me...\Andy's aura level is almost at minimum!\Then it's time. response:	Time to dig it up!
context: How deep did Andy dig?\Andy!\Andy...\It's over...\It's all over for me...\Andy's aura level is almost at minimum!\Then it's time.\Time to dig it up! response:	Do it, Andy W. Hol!
context: Andy!\Andy...\It's over...\It's all over for me...\Andy's aura level is almost at minimum!\Then it's time.\Time to dig it up!\Do it, Andy W. Hol! response:	What is this?
context: Andy...\It's over...\It's all over for me...\Andy's aura level is almost at minimum!\Then it's time.\Time to dig it up!\Do it, Andy W. Hol!\What is this? response:	This sound...
context: It's over...\It's all over for me...\Andy's aura level is almost at minimum!\Then it's time.\Time to dig it up!\Do it, Andy W. Hol!\What is this?\This sound... response:	is resonating across dimensions.
context: It's all over for me...\Andy's aura level is almost at minimum!\Then it's time.\Time to dig it up!\Do it, Andy W. Hol!\What is this?\This sound...\is resonating across dimensions. response:	What the...
context: Andy's aura level is almost at minimum!\Then it's time.\Time to dig it up!\Do it, Andy W. Hol!\What is this?\This sound...\is resonating across dimensions.\What the... response:	It's finally begun, Fudo.
context: Then it's time.\Time to dig it up!\Do it, Andy W. Hol!\What is this?\This sound...\is resonating across dimensions.\What the...\It's finally begun, Fudo. response:	The seed that fell into the earth is sprouting.
context: Time to dig it up!\Do it, Andy W. Hol!\What is this?\This sound...\is resonating across dimensions.\What the...\It's finally begun, Fudo.\The seed that fell into the earth is sprouting. response:	In time, it bears fruit year after year.
context: Do it, Andy W. Hol!\What is this?\This sound...\is resonating across dimensions.\What the...\It's finally begun, Fudo.\The seed that fell into the earth is sprouting.\In time, it bears fruit year after year. response:	Thus does it bestow life upon the next generation!
context: What is this?\This sound...\is resonating across dimensions.\What the...\It's finally begun, Fudo.\The seed that fell into the earth is sprouting.\In time, it bears fruit year after year.\Thus does it bestow life upon the next generation! response:	It's cold...
context: This sound...\is resonating across dimensions.\What the...\It's finally begun, Fudo.\The seed that fell into the earth is sprouting.\In time, it bears fruit year after year.\Thus does it bestow life upon the next generation!\It's cold... response:	Water? No, wait, is that milk?
context: is resonating across dimensions.\What the...\It's finally begun, Fudo.\The seed that fell into the earth is sprouting.\In time, it bears fruit year after year.\Thus does it bestow life upon the next generation!\It's cold...\Water? No, wait, is that milk? response:	It's warm...
context: What the...\It's finally begun, Fudo.\The seed that fell into the earth is sprouting.\In time, it bears fruit year after year.\Thus does it bestow life upon the next generation!\It's cold...\Water? No, wait, is that milk?\It's warm... response:	This is a hot spring? It smells funny.
context: It's finally begun, Fudo.\The seed that fell into the earth is sprouting.\In time, it bears fruit year after year.\Thus does it bestow life upon the next generation!\It's cold...\Water? No, wait, is that milk?\It's warm...\This is a hot spring? It smells funny. response:	What are you doing here?
context: The seed that fell into the earth is sprouting.\In time, it bears fruit year after year.\Thus does it bestow life upon the next generation!\It's cold...\Water? No, wait, is that milk?\It's warm...\This is a hot spring? It smells funny.\What are you doing here? response:	I'm back!
context: In time, it bears fruit year after year.\Thus does it bestow life upon the next generation!\It's cold...\Water? No, wait, is that milk?\It's warm...\This is a hot spring? It smells funny.\What are you doing here?\I'm back! response:	Sorry!
context: Thus does it bestow life upon the next generation!\It's cold...\Water? No, wait, is that milk?\It's warm...\This is a hot spring? It smells funny.\What are you doing here?\I'm back!\Sorry! response:	Zessica?
context: It's cold...\Water? No, wait, is that milk?\It's warm...\This is a hot spring? It smells funny.\What are you doing here?\I'm back!\Sorry!\Zessica? response:	Mikono?
context: Water? No, wait, is that milk?\It's warm...\This is a hot spring? It smells funny.\What are you doing here?\I'm back!\Sorry!\Zessica?\Mikono? response:	Amata!
context: It's warm...\This is a hot spring? It smells funny.\What are you doing here?\I'm back!\Sorry!\Zessica?\Mikono?\Amata! response:	Mixed Bath Union! Go, Aquarion!
context: This is a hot spring? It smells funny.\What are you doing here?\I'm back!\Sorry!\Zessica?\Mikono?\Amata!\Mixed Bath Union! Go, Aquarion! response:	I can feel it rising up!
context: What are you doing here?\I'm back!\Sorry!\Zessica?\Mikono?\Amata!\Mixed Bath Union! Go, Aquarion!\I can feel it rising up! response:	From the depths of the earth!
context: I'm back!\Sorry!\Zessica?\Mikono?\Amata!\Mixed Bath Union! Go, Aquarion!\I can feel it rising up!\From the depths of the earth! response:	The energy of life itself!
context: Sorry!\Zessica?\Mikono?\Amata!\Mixed Bath Union! Go, Aquarion!\I can feel it rising up!\From the depths of the earth!\The energy of life itself! response:	Aquarion Evol!
context: Zessica?\Mikono?\Amata!\Mixed Bath Union! Go, Aquarion!\I can feel it rising up!\From the depths of the earth!\The energy of life itself!\Aquarion Evol! response:	In ancient alchemy, men and women boiling in one pot
context: Mikono?\Amata!\Mixed Bath Union! Go, Aquarion!\I can feel it rising up!\From the depths of the earth!\The energy of life itself!\Aquarion Evol!\In ancient alchemy, men and women boiling in one pot response:	represented each working together and covering for the weaknesses of the other.
context: Amata!\Mixed Bath Union! Go, Aquarion!\I can feel it rising up!\From the depths of the earth!\The energy of life itself!\Aquarion Evol!\In ancient alchemy, men and women boiling in one pot\represented each working together and covering for the weaknesses of the other. response:	The Elements are coming together in the bath,
context: Mixed Bath Union! Go, Aquarion!\I can feel it rising up!\From the depths of the earth!\The energy of life itself!\Aquarion Evol!\In ancient alchemy, men and women boiling in one pot\represented each working together and covering for the weaknesses of the other.\The Elements are coming together in the bath, response:	fighting as one and covering each others' weaknesses.
