context: To grant my wishes? response:	Yep.
context: Oh, sorry.\How long are we doing this?\Until the saucer goes away.\Seriously?\Of course.\I think we can get rid of it, with everyone's help.\Koharu.\What are you doing, customers? response:	This is, well...
context: How long are we doing this?\Until the saucer goes away.\Seriously?\Of course.\I think we can get rid of it, with everyone's help.\Koharu.\What are you doing, customers?\This is, well... response:	Something important.
context: Until the saucer goes away.\Seriously?\Of course.\I think we can get rid of it, with everyone's help.\Koharu.\What are you doing, customers?\This is, well...\Something important. response:	I think you should apologize.
context: Seriously?\Of course.\I think we can get rid of it, with everyone's help.\Koharu.\What are you doing, customers?\This is, well...\Something important.\I think you should apologize. response:	Plan B.
context: Of course.\I think we can get rid of it, with everyone's help.\Koharu.\What are you doing, customers?\This is, well...\Something important.\I think you should apologize.\Plan B. response:	Why are we running?
context: I think we can get rid of it, with everyone's help.\Koharu.\What are you doing, customers?\This is, well...\Something important.\I think you should apologize.\Plan B.\Why are we running? response:	Because we didn't do anything wrong.
context: Koharu.\What are you doing, customers?\This is, well...\Something important.\I think you should apologize.\Plan B.\Why are we running?\Because we didn't do anything wrong. response:	Then we should explain properly.
context: What are you doing, customers?\This is, well...\Something important.\I think you should apologize.\Plan B.\Why are we running?\Because we didn't do anything wrong.\Then we should explain properly. response:	I can't. We've been friends since we were little.
context: This is, well...\Something important.\I think you should apologize.\Plan B.\Why are we running?\Because we didn't do anything wrong.\Then we should explain properly.\I can't. We've been friends since we were little. response:	I know her really well.
context: Something important.\I think you should apologize.\Plan B.\Why are we running?\Because we didn't do anything wrong.\Then we should explain properly.\I can't. We've been friends since we were little.\I know her really well. response:	Thanks, Nonoka.
context: I think you should apologize.\Plan B.\Why are we running?\Because we didn't do anything wrong.\Then we should explain properly.\I can't. We've been friends since we were little.\I know her really well.\Thanks, Nonoka. response:	For coming.
context: Plan B.\Why are we running?\Because we didn't do anything wrong.\Then we should explain properly.\I can't. We've been friends since we were little.\I know her really well.\Thanks, Nonoka.\For coming. response:	It just kind of happened.
context: Why are we running?\Because we didn't do anything wrong.\Then we should explain properly.\I can't. We've been friends since we were little.\I know her really well.\Thanks, Nonoka.\For coming.\It just kind of happened. response:	I was happy, though.
context: Because we didn't do anything wrong.\Then we should explain properly.\I can't. We've been friends since we were little.\I know her really well.\Thanks, Nonoka.\For coming.\It just kind of happened.\I was happy, though. response:	Thanks.
context: Then we should explain properly.\I can't. We've been friends since we were little.\I know her really well.\Thanks, Nonoka.\For coming.\It just kind of happened.\I was happy, though.\Thanks. response:	Let's go to our next plan.
context: I can't. We've been friends since we were little.\I know her really well.\Thanks, Nonoka.\For coming.\It just kind of happened.\I was happy, though.\Thanks.\Let's go to our next plan. response:	Next?
context: I know her really well.\Thanks, Nonoka.\For coming.\It just kind of happened.\I was happy, though.\Thanks.\Let's go to our next plan.\Next? response:	Saucer Management
context: Thanks, Nonoka.\For coming.\It just kind of happened.\I was happy, though.\Thanks.\Let's go to our next plan.\Next?\Saucer Management response:	Thanks for waiting.
context: For coming.\It just kind of happened.\I was happy, though.\Thanks.\Let's go to our next plan.\Next?\Saucer Management\Thanks for waiting. response:	You're here about the saucer?
context: It just kind of happened.\I was happy, though.\Thanks.\Let's go to our next plan.\Next?\Saucer Management\Thanks for waiting.\You're here about the saucer? response:	Yes.
context: I was happy, though.\Thanks.\Let's go to our next plan.\Next?\Saucer Management\Thanks for waiting.\You're here about the saucer?\Yes. response:	Please fill out this form.
context: Thanks.\Let's go to our next plan.\Next?\Saucer Management\Thanks for waiting.\You're here about the saucer?\Yes.\Please fill out this form. response:	Opinions regarding saucer management.
context: Let's go to our next plan.\Next?\Saucer Management\Thanks for waiting.\You're here about the saucer?\Yes.\Please fill out this form.\Opinions regarding saucer management. response:	No, I want to meet straight with the person in charge of the saucer.
context: Next?\Saucer Management\Thanks for waiting.\You're here about the saucer?\Yes.\Please fill out this form.\Opinions regarding saucer management.\No, I want to meet straight with the person in charge of the saucer. response:	We need to talk to the leaders
context: Saucer Management\Thanks for waiting.\You're here about the saucer?\Yes.\Please fill out this form.\Opinions regarding saucer management.\No, I want to meet straight with the person in charge of the saucer.\We need to talk to the leaders response:	Sorry, never mind.
context: Thanks for waiting.\You're here about the saucer?\Yes.\Please fill out this form.\Opinions regarding saucer management.\No, I want to meet straight with the person in charge of the saucer.\We need to talk to the leaders\Sorry, never mind. response:	Let go, Nonoka.
context: You're here about the saucer?\Yes.\Please fill out this form.\Opinions regarding saucer management.\No, I want to meet straight with the person in charge of the saucer.\We need to talk to the leaders\Sorry, never mind.\Let go, Nonoka. response:	We need to talk straight to the leaders!
context: Yes.\Please fill out this form.\Opinions regarding saucer management.\No, I want to meet straight with the person in charge of the saucer.\We need to talk to the leaders\Sorry, never mind.\Let go, Nonoka.\We need to talk straight to the leaders! response:	Take me to your leader!
context: Please fill out this form.\Opinions regarding saucer management.\No, I want to meet straight with the person in charge of the saucer.\We need to talk to the leaders\Sorry, never mind.\Let go, Nonoka.\We need to talk straight to the leaders!\Take me to your leader! response:	Why did you get in the way?
context: Opinions regarding saucer management.\No, I want to meet straight with the person in charge of the saucer.\We need to talk to the leaders\Sorry, never mind.\Let go, Nonoka.\We need to talk straight to the leaders!\Take me to your leader!\Why did you get in the way? response:	You can't call for the leaders at a reception desk.
context: No, I want to meet straight with the person in charge of the saucer.\We need to talk to the leaders\Sorry, never mind.\Let go, Nonoka.\We need to talk straight to the leaders!\Take me to your leader!\Why did you get in the way?\You can't call for the leaders at a reception desk. response:	How would you know?
context: We need to talk to the leaders\Sorry, never mind.\Let go, Nonoka.\We need to talk straight to the leaders!\Take me to your leader!\Why did you get in the way?\You can't call for the leaders at a reception desk.\How would you know? response:	You used to be able to get to that island on a tour boat, you know?
context: Sorry, never mind.\Let go, Nonoka.\We need to talk straight to the leaders!\Take me to your leader!\Why did you get in the way?\You can't call for the leaders at a reception desk.\How would you know?\You used to be able to get to that island on a tour boat, you know? response:	And now it's off limits, because it's dangerous.
context: Let go, Nonoka.\We need to talk straight to the leaders!\Take me to your leader!\Why did you get in the way?\You can't call for the leaders at a reception desk.\How would you know?\You used to be able to get to that island on a tour boat, you know?\And now it's off limits, because it's dangerous. response:	That's just not right.
context: We need to talk straight to the leaders!\Take me to your leader!\Why did you get in the way?\You can't call for the leaders at a reception desk.\How would you know?\You used to be able to get to that island on a tour boat, you know?\And now it's off limits, because it's dangerous.\That's just not right. response:	We can't just leave it as it is.
context: Take me to your leader!\Why did you get in the way?\You can't call for the leaders at a reception desk.\How would you know?\You used to be able to get to that island on a tour boat, you know?\And now it's off limits, because it's dangerous.\That's just not right.\We can't just leave it as it is. response:	We have to take it back.
context: Why did you get in the way?\You can't call for the leaders at a reception desk.\How would you know?\You used to be able to get to that island on a tour boat, you know?\And now it's off limits, because it's dangerous.\That's just not right.\We can't just leave it as it is.\We have to take it back. response:	It's our town.
context: You can't call for the leaders at a reception desk.\How would you know?\You used to be able to get to that island on a tour boat, you know?\And now it's off limits, because it's dangerous.\That's just not right.\We can't just leave it as it is.\We have to take it back.\It's our town. response:	No Saucer!
context: How would you know?\You used to be able to get to that island on a tour boat, you know?\And now it's off limits, because it's dangerous.\That's just not right.\We can't just leave it as it is.\We have to take it back.\It's our town.\No Saucer! response:	Sorry for causing trouble.
context: You used to be able to get to that island on a tour boat, you know?\And now it's off limits, because it's dangerous.\That's just not right.\We can't just leave it as it is.\We have to take it back.\It's our town.\No Saucer!\Sorry for causing trouble. response:	Please don't get mad at Yuzuki.
context: And now it's off limits, because it's dangerous.\That's just not right.\We can't just leave it as it is.\We have to take it back.\It's our town.\No Saucer!\Sorry for causing trouble.\Please don't get mad at Yuzuki. response:	I know how she feels.
context: That's just not right.\We can't just leave it as it is.\We have to take it back.\It's our town.\No Saucer!\Sorry for causing trouble.\Please don't get mad at Yuzuki.\I know how she feels. response:	Where did it go?
context: We can't just leave it as it is.\We have to take it back.\It's our town.\No Saucer!\Sorry for causing trouble.\Please don't get mad at Yuzuki.\I know how she feels.\Where did it go? response:	What are you looking for?
context: We have to take it back.\It's our town.\No Saucer!\Sorry for causing trouble.\Please don't get mad at Yuzuki.\I know how she feels.\Where did it go?\What are you looking for? response:	A weapon.
context: It's our town.\No Saucer!\Sorry for causing trouble.\Please don't get mad at Yuzuki.\I know how she feels.\Where did it go?\What are you looking for?\A weapon. response:	Nonoka.
context: No Saucer!\Sorry for causing trouble.\Please don't get mad at Yuzuki.\I know how she feels.\Where did it go?\What are you looking for?\A weapon.\Nonoka. response:	I found it!
context: Sorry for causing trouble.\Please don't get mad at Yuzuki.\I know how she feels.\Where did it go?\What are you looking for?\A weapon.\Nonoka.\I found it! response:	All right, we're set.
context: Please don't get mad at Yuzuki.\I know how she feels.\Where did it go?\What are you looking for?\A weapon.\Nonoka.\I found it!\All right, we're set. response:	What are you doing?
context: I know how she feels.\Where did it go?\What are you looking for?\A weapon.\Nonoka.\I found it!\All right, we're set.\What are you doing? response:	It's none of your business, Souta.
context: Where did it go?\What are you looking for?\A weapon.\Nonoka.\I found it!\All right, we're set.\What are you doing?\It's none of your business, Souta. response:	Thanks for having me.
context: What are you looking for?\A weapon.\Nonoka.\I found it!\All right, we're set.\What are you doing?\It's none of your business, Souta.\Thanks for having me. response:	I'm talking about that.
context: A weapon.\Nonoka.\I found it!\All right, we're set.\What are you doing?\It's none of your business, Souta.\Thanks for having me.\I'm talking about that. response:	That's none of your business either.
context: Nonoka.\I found it!\All right, we're set.\What are you doing?\It's none of your business, Souta.\Thanks for having me.\I'm talking about that.\That's none of your business either. response:	I'm telling you not to cause people trouble.
context: I found it!\All right, we're set.\What are you doing?\It's none of your business, Souta.\Thanks for having me.\I'm talking about that.\That's none of your business either.\I'm telling you not to cause people trouble. response:	I bet it's something pointless again.
context: All right, we're set.\What are you doing?\It's none of your business, Souta.\Thanks for having me.\I'm talking about that.\That's none of your business either.\I'm telling you not to cause people trouble.\I bet it's something pointless again. response:	It's not pointless.
context: What are you doing?\It's none of your business, Souta.\Thanks for having me.\I'm talking about that.\That's none of your business either.\I'm telling you not to cause people trouble.\I bet it's something pointless again.\It's not pointless. response:	Why are you doing something so stupid?
context: It's none of your business, Souta.\Thanks for having me.\I'm talking about that.\That's none of your business either.\I'm telling you not to cause people trouble.\I bet it's something pointless again.\It's not pointless.\Why are you doing something so stupid? response:	Why?
context: Thanks for having me.\I'm talking about that.\That's none of your business either.\I'm telling you not to cause people trouble.\I bet it's something pointless again.\It's not pointless.\Why are you doing something so stupid?\Why? response:	I knew it.
context: I'm talking about that.\That's none of your business either.\I'm telling you not to cause people trouble.\I bet it's something pointless again.\It's not pointless.\Why are you doing something so stupid?\Why?\I knew it. response:	Yuzuki?
context: That's none of your business either.\I'm telling you not to cause people trouble.\I bet it's something pointless again.\It's not pointless.\Why are you doing something so stupid?\Why?\I knew it.\Yuzuki? response:	I knew it!
context: I'm telling you not to cause people trouble.\I bet it's something pointless again.\It's not pointless.\Why are you doing something so stupid?\Why?\I knew it.\Yuzuki?\I knew it! response:	It's all the saucer and that girl's fault.
context: I bet it's something pointless again.\It's not pointless.\Why are you doing something so stupid?\Why?\I knew it.\Yuzuki?\I knew it!\It's all the saucer and that girl's fault. response:	What's her problem?
context: It's not pointless.\Why are you doing something so stupid?\Why?\I knew it.\Yuzuki?\I knew it!\It's all the saucer and that girl's fault.\What's her problem? response:	Um, thanks for having me.
context: Why are you doing something so stupid?\Why?\I knew it.\Yuzuki?\I knew it!\It's all the saucer and that girl's fault.\What's her problem?\Um, thanks for having me. response:	Hold it, exchange student.
context: Why?\I knew it.\Yuzuki?\I knew it!\It's all the saucer and that girl's fault.\What's her problem?\Um, thanks for having me.\Hold it, exchange student. response:	I think that's enough.
context: I knew it.\Yuzuki?\I knew it!\It's all the saucer and that girl's fault.\What's her problem?\Um, thanks for having me.\Hold it, exchange student.\I think that's enough. response:	Souta, that idiot.
context: Yuzuki?\I knew it!\It's all the saucer and that girl's fault.\What's her problem?\Um, thanks for having me.\Hold it, exchange student.\I think that's enough.\Souta, that idiot. response:	Stupid Souta.
context: I knew it!\It's all the saucer and that girl's fault.\What's her problem?\Um, thanks for having me.\Hold it, exchange student.\I think that's enough.\Souta, that idiot.\Stupid Souta. response:	Stupid, stupid!
context: It's all the saucer and that girl's fault.\What's her problem?\Um, thanks for having me.\Hold it, exchange student.\I think that's enough.\Souta, that idiot.\Stupid Souta.\Stupid, stupid! response:	What are you doing?
context: What's her problem?\Um, thanks for having me.\Hold it, exchange student.\I think that's enough.\Souta, that idiot.\Stupid Souta.\Stupid, stupid!\What are you doing? response:	Taking action.
context: Um, thanks for having me.\Hold it, exchange student.\I think that's enough.\Souta, that idiot.\Stupid Souta.\Stupid, stupid!\What are you doing?\Taking action. response:	We're going to the island.
context: Hold it, exchange student.\I think that's enough.\Souta, that idiot.\Stupid Souta.\Stupid, stupid!\What are you doing?\Taking action.\We're going to the island. response:	No, you can't do that!
context: I think that's enough.\Souta, that idiot.\Stupid Souta.\Stupid, stupid!\What are you doing?\Taking action.\We're going to the island.\No, you can't do that! response:	We have to.
context: Souta, that idiot.\Stupid Souta.\Stupid, stupid!\What are you doing?\Taking action.\We're going to the island.\No, you can't do that!\We have to. response:	Or nothing will change.
context: Stupid Souta.\Stupid, stupid!\What are you doing?\Taking action.\We're going to the island.\No, you can't do that!\We have to.\Or nothing will change. response:	Get me my backpack.
context: Stupid, stupid!\What are you doing?\Taking action.\We're going to the island.\No, you can't do that!\We have to.\Or nothing will change.\Get me my backpack. response:	Let's go, Nonoka.
context: What are you doing?\Taking action.\We're going to the island.\No, you can't do that!\We have to.\Or nothing will change.\Get me my backpack.\Let's go, Nonoka. response:	Fine.
context: Taking action.\We're going to the island.\No, you can't do that!\We have to.\Or nothing will change.\Get me my backpack.\Let's go, Nonoka.\Fine. response:	I'll go alone.
context: We're going to the island.\No, you can't do that!\We have to.\Or nothing will change.\Get me my backpack.\Let's go, Nonoka.\Fine.\I'll go alone. response:	I've always been alone anyway.
context: No, you can't do that!\We have to.\Or nothing will change.\Get me my backpack.\Let's go, Nonoka.\Fine.\I'll go alone.\I've always been alone anyway. response:	Mizusaka-san!
context: We have to.\Or nothing will change.\Get me my backpack.\Let's go, Nonoka.\Fine.\I'll go alone.\I've always been alone anyway.\Mizusaka-san! response:	You're mad at me, aren't you?
context: Or nothing will change.\Get me my backpack.\Let's go, Nonoka.\Fine.\I'll go alone.\I've always been alone anyway.\Mizusaka-san!\You're mad at me, aren't you? response:	Not really.
context: Get me my backpack.\Let's go, Nonoka.\Fine.\I'll go alone.\I've always been alone anyway.\Mizusaka-san!\You're mad at me, aren't you?\Not really. response:	I'm sorry.
context: Let's go, Nonoka.\Fine.\I'll go alone.\I've always been alone anyway.\Mizusaka-san!\You're mad at me, aren't you?\Not really.\I'm sorry. response:	Can I ask you something?
context: Fine.\I'll go alone.\I've always been alone anyway.\Mizusaka-san!\You're mad at me, aren't you?\Not really.\I'm sorry.\Can I ask you something? response:	Yeah.
context: I'll go alone.\I've always been alone anyway.\Mizusaka-san!\You're mad at me, aren't you?\Not really.\I'm sorry.\Can I ask you something?\Yeah. response:	Why do you want to get rid of the saucer so much?
context: I've always been alone anyway.\Mizusaka-san!\You're mad at me, aren't you?\Not really.\I'm sorry.\Can I ask you something?\Yeah.\Why do you want to get rid of the saucer so much? response:	Seven years ago, the saucer came,
context: Mizusaka-san!\You're mad at me, aren't you?\Not really.\I'm sorry.\Can I ask you something?\Yeah.\Why do you want to get rid of the saucer so much?\Seven years ago, the saucer came, response:	and things changed.
context: You're mad at me, aren't you?\Not really.\I'm sorry.\Can I ask you something?\Yeah.\Why do you want to get rid of the saucer so much?\Seven years ago, the saucer came,\and things changed. response:	There are still some things that haven't gone back to how they were.
context: Not really.\I'm sorry.\Can I ask you something?\Yeah.\Why do you want to get rid of the saucer so much?\Seven years ago, the saucer came,\and things changed.\There are still some things that haven't gone back to how they were. response:	They used to launch fireworks from the lake.
context: I'm sorry.\Can I ask you something?\Yeah.\Why do you want to get rid of the saucer so much?\Seven years ago, the saucer came,\and things changed.\There are still some things that haven't gone back to how they were.\They used to launch fireworks from the lake. response:	Fireworks?
context: Can I ask you something?\Yeah.\Why do you want to get rid of the saucer so much?\Seven years ago, the saucer came,\and things changed.\There are still some things that haven't gone back to how they were.\They used to launch fireworks from the lake.\Fireworks? response:	It wasn't a big deal,
context: Yeah.\Why do you want to get rid of the saucer so much?\Seven years ago, the saucer came,\and things changed.\There are still some things that haven't gone back to how they were.\They used to launch fireworks from the lake.\Fireworks?\It wasn't a big deal, response:	but the fireworks were really pretty shining on the lake.
context: Why do you want to get rid of the saucer so much?\Seven years ago, the saucer came,\and things changed.\There are still some things that haven't gone back to how they were.\They used to launch fireworks from the lake.\Fireworks?\It wasn't a big deal,\but the fireworks were really pretty shining on the lake. response:	But they stopped doing it.
context: Seven years ago, the saucer came,\and things changed.\There are still some things that haven't gone back to how they were.\They used to launch fireworks from the lake.\Fireworks?\It wasn't a big deal,\but the fireworks were really pretty shining on the lake.\But they stopped doing it. response:	Let's launch it.
context: and things changed.\There are still some things that haven't gone back to how they were.\They used to launch fireworks from the lake.\Fireworks?\It wasn't a big deal,\but the fireworks were really pretty shining on the lake.\But they stopped doing it.\Let's launch it. response:	This works, doesn't it?
context: There are still some things that haven't gone back to how they were.\They used to launch fireworks from the lake.\Fireworks?\It wasn't a big deal,\but the fireworks were really pretty shining on the lake.\But they stopped doing it.\Let's launch it.\This works, doesn't it? response:	Let's launch this rocket.
context: They used to launch fireworks from the lake.\Fireworks?\It wasn't a big deal,\but the fireworks were really pretty shining on the lake.\But they stopped doing it.\Let's launch it.\This works, doesn't it?\Let's launch this rocket. response:	Three, two, one!
context: Fireworks?\It wasn't a big deal,\but the fireworks were really pretty shining on the lake.\But they stopped doing it.\Let's launch it.\This works, doesn't it?\Let's launch this rocket.\Three, two, one! response:	Go!
context: It wasn't a big deal,\but the fireworks were really pretty shining on the lake.\But they stopped doing it.\Let's launch it.\This works, doesn't it?\Let's launch this rocket.\Three, two, one!\Go! response:	It didn't even get close.
context: but the fireworks were really pretty shining on the lake.\But they stopped doing it.\Let's launch it.\This works, doesn't it?\Let's launch this rocket.\Three, two, one!\Go!\It didn't even get close. response:	Yuzuki,
context: But they stopped doing it.\Let's launch it.\This works, doesn't it?\Let's launch this rocket.\Three, two, one!\Go!\It didn't even get close.\Yuzuki, response:	I'll help you.
context: Let's launch it.\This works, doesn't it?\Let's launch this rocket.\Three, two, one!\Go!\It didn't even get close.\Yuzuki,\I'll help you. response:	Let's get rid of the saucer.
context: This works, doesn't it?\Let's launch this rocket.\Three, two, one!\Go!\It didn't even get close.\Yuzuki,\I'll help you.\Let's get rid of the saucer. response:	Are you sure?
context: Let's launch this rocket.\Three, two, one!\Go!\It didn't even get close.\Yuzuki,\I'll help you.\Let's get rid of the saucer.\Are you sure? response:	Yeah. But nothing dangerous.
context: Three, two, one!\Go!\It didn't even get close.\Yuzuki,\I'll help you.\Let's get rid of the saucer.\Are you sure?\Yeah. But nothing dangerous. response:	Really?
context: Go!\It didn't even get close.\Yuzuki,\I'll help you.\Let's get rid of the saucer.\Are you sure?\Yeah. But nothing dangerous.\Really? response:	Yeah.
context: It didn't even get close.\Yuzuki,\I'll help you.\Let's get rid of the saucer.\Are you sure?\Yeah. But nothing dangerous.\Really?\Yeah. response:	We'll have to find more people to help us.
context: Yuzuki,\I'll help you.\Let's get rid of the saucer.\Are you sure?\Yeah. But nothing dangerous.\Really?\Yeah.\We'll have to find more people to help us. response:	Nonoka.
context: I'll help you.\Let's get rid of the saucer.\Are you sure?\Yeah. But nothing dangerous.\Really?\Yeah.\We'll have to find more people to help us.\Nonoka. response:	Thanks.
context: Let's get rid of the saucer.\Are you sure?\Yeah. But nothing dangerous.\Really?\Yeah.\We'll have to find more people to help us.\Nonoka.\Thanks. response:	Yeah.
context: Are you sure?\Yeah. But nothing dangerous.\Really?\Yeah.\We'll have to find more people to help us.\Nonoka.\Thanks.\Yeah. response:	It's so pretty!
context: Yeah. But nothing dangerous.\Really?\Yeah.\We'll have to find more people to help us.\Nonoka.\Thanks.\Yeah.\It's so pretty! response:	Dad should have come.
context: Really?\Yeah.\We'll have to find more people to help us.\Nonoka.\Thanks.\Yeah.\It's so pretty!\Dad should have come. response:	You're right.
context: Yeah.\We'll have to find more people to help us.\Nonoka.\Thanks.\Yeah.\It's so pretty!\Dad should have come.\You're right. response:	Nonoka, have you been keeping your promise to me?
context: We'll have to find more people to help us.\Nonoka.\Thanks.\Yeah.\It's so pretty!\Dad should have come.\You're right.\Nonoka, have you been keeping your promise to me? response:	Yep, I have.
context: Nonoka.\Thanks.\Yeah.\It's so pretty!\Dad should have come.\You're right.\Nonoka, have you been keeping your promise to me?\Yep, I have. response:	That's my girl.
context: Thanks.\Yeah.\It's so pretty!\Dad should have come.\You're right.\Nonoka, have you been keeping your promise to me?\Yep, I have.\That's my girl. response:	Mom, I
context: Yeah.\It's so pretty!\Dad should have come.\You're right.\Nonoka, have you been keeping your promise to me?\Yep, I have.\That's my girl.\Mom, I response:	Nonoka.
context: It's so pretty!\Dad should have come.\You're right.\Nonoka, have you been keeping your promise to me?\Yep, I have.\That's my girl.\Mom, I\Nonoka. response:	What's wrong, Nonoka?
context: Dad should have come.\You're right.\Nonoka, have you been keeping your promise to me?\Yep, I have.\That's my girl.\Mom, I\Nonoka.\What's wrong, Nonoka? response:	You look down.
context: You're right.\Nonoka, have you been keeping your promise to me?\Yep, I have.\That's my girl.\Mom, I\Nonoka.\What's wrong, Nonoka?\You look down. response:	Noel.
context: Nonoka, have you been keeping your promise to me?\Yep, I have.\That's my girl.\Mom, I\Nonoka.\What's wrong, Nonoka?\You look down.\Noel. response:	Is something wrong?
context: Yep, I have.\That's my girl.\Mom, I\Nonoka.\What's wrong, Nonoka?\You look down.\Noel.\Is something wrong? response:	Something I can help with?
context: That's my girl.\Mom, I\Nonoka.\What's wrong, Nonoka?\You look down.\Noel.\Is something wrong?\Something I can help with? response:	Can you help, too?
context: Mom, I\Nonoka.\What's wrong, Nonoka?\You look down.\Noel.\Is something wrong?\Something I can help with?\Can you help, too? response:	Sure, leave it to me! What do I have to do?
context: Nonoka.\What's wrong, Nonoka?\You look down.\Noel.\Is something wrong?\Something I can help with?\Can you help, too?\Sure, leave it to me! What do I have to do? response:	We want to make the saucer leave the city.
context: What's wrong, Nonoka?\You look down.\Noel.\Is something wrong?\Something I can help with?\Can you help, too?\Sure, leave it to me! What do I have to do?\We want to make the saucer leave the city. response:	Nonoka, do you hate the saucer?
context: You look down.\Noel.\Is something wrong?\Something I can help with?\Can you help, too?\Sure, leave it to me! What do I have to do?\We want to make the saucer leave the city.\Nonoka, do you hate the saucer? response:	No,
context: Noel.\Is something wrong?\Something I can help with?\Can you help, too?\Sure, leave it to me! What do I have to do?\We want to make the saucer leave the city.\Nonoka, do you hate the saucer?\No, response:	but I want to help my friend somehow.
context: Is something wrong?\Something I can help with?\Can you help, too?\Sure, leave it to me! What do I have to do?\We want to make the saucer leave the city.\Nonoka, do you hate the saucer?\No,\but I want to help my friend somehow. response:	Sure, just wait a little longer.
context: Something I can help with?\Can you help, too?\Sure, leave it to me! What do I have to do?\We want to make the saucer leave the city.\Nonoka, do you hate the saucer?\No,\but I want to help my friend somehow.\Sure, just wait a little longer. response:	I'm glad.
context: Can you help, too?\Sure, leave it to me! What do I have to do?\We want to make the saucer leave the city.\Nonoka, do you hate the saucer?\No,\but I want to help my friend somehow.\Sure, just wait a little longer.\I'm glad. response:	That's three of us.
context: Sure, leave it to me! What do I have to do?\We want to make the saucer leave the city.\Nonoka, do you hate the saucer?\No,\but I want to help my friend somehow.\Sure, just wait a little longer.\I'm glad.\That's three of us. response:	Next episode of Celestial Method : Where Memories Live.
context: We want to make the saucer leave the city.\Nonoka, do you hate the saucer?\No,\but I want to help my friend somehow.\Sure, just wait a little longer.\I'm glad.\That's three of us.\Next episode of Celestial Method : Where Memories Live. response:	Enjoy.
context: Nonoka, do you hate the saucer?\No,\but I want to help my friend somehow.\Sure, just wait a little longer.\I'm glad.\That's three of us.\Next episode of Celestial Method : Where Memories Live.\Enjoy. response:	Where Memories Live
