context: It's such a waste to spoil such a cute face with a furrowed brow. response:	Go on. Smile, okay?
context: Then... 24?\You got it.\When did she...\Don't tell me her new love is Maity-sensei?\Wha?!\Not good! Not good, not good, this is not good!\Mommy will not forgive you!\Mommy? response:	I mean, I've already given it my best.
context: You got it.\When did she...\Don't tell me her new love is Maity-sensei?\Wha?!\Not good! Not good, not good, this is not good!\Mommy will not forgive you!\Mommy?\I mean, I've already given it my best. response:	No matter how hard I tried, nothing changed.
context: When did she...\Don't tell me her new love is Maity-sensei?\Wha?!\Not good! Not good, not good, this is not good!\Mommy will not forgive you!\Mommy?\I mean, I've already given it my best.\No matter how hard I tried, nothing changed. response:	What's wrong? You seem all broody.
context: Don't tell me her new love is Maity-sensei?\Wha?!\Not good! Not good, not good, this is not good!\Mommy will not forgive you!\Mommy?\I mean, I've already given it my best.\No matter how hard I tried, nothing changed.\What's wrong? You seem all broody. response:	Of course I'm broody.
context: Wha?!\Not good! Not good, not good, this is not good!\Mommy will not forgive you!\Mommy?\I mean, I've already given it my best.\No matter how hard I tried, nothing changed.\What's wrong? You seem all broody.\Of course I'm broody. response:	Did something happen?
context: Not good! Not good, not good, this is not good!\Mommy will not forgive you!\Mommy?\I mean, I've already given it my best.\No matter how hard I tried, nothing changed.\What's wrong? You seem all broody.\Of course I'm broody.\Did something happen? response:	Koizumi forced a kiss on me.
context: Mommy will not forgive you!\Mommy?\I mean, I've already given it my best.\No matter how hard I tried, nothing changed.\What's wrong? You seem all broody.\Of course I'm broody.\Did something happen?\Koizumi forced a kiss on me. response:	Oh? This happens to you a lot, huh, Otani?
context: Mommy?\I mean, I've already given it my best.\No matter how hard I tried, nothing changed.\What's wrong? You seem all broody.\Of course I'm broody.\Did something happen?\Koizumi forced a kiss on me.\Oh? This happens to you a lot, huh, Otani? response:	Last time it was Seiko-chan who did it, right?
context: I mean, I've already given it my best.\No matter how hard I tried, nothing changed.\What's wrong? You seem all broody.\Of course I'm broody.\Did something happen?\Koizumi forced a kiss on me.\Oh? This happens to you a lot, huh, Otani?\Last time it was Seiko-chan who did it, right? response:	Just a minute! Can't you see how shocked I am?!
context: No matter how hard I tried, nothing changed.\What's wrong? You seem all broody.\Of course I'm broody.\Did something happen?\Koizumi forced a kiss on me.\Oh? This happens to you a lot, huh, Otani?\Last time it was Seiko-chan who did it, right?\Just a minute! Can't you see how shocked I am?! response:	And then?
context: What's wrong? You seem all broody.\Of course I'm broody.\Did something happen?\Koizumi forced a kiss on me.\Oh? This happens to you a lot, huh, Otani?\Last time it was Seiko-chan who did it, right?\Just a minute! Can't you see how shocked I am?!\And then? response:	How on earth did that happen, anyway?
context: Of course I'm broody.\Did something happen?\Koizumi forced a kiss on me.\Oh? This happens to you a lot, huh, Otani?\Last time it was Seiko-chan who did it, right?\Just a minute! Can't you see how shocked I am?!\And then?\How on earth did that happen, anyway? response:	W-Well... I'm not really sure.
context: Did something happen?\Koizumi forced a kiss on me.\Oh? This happens to you a lot, huh, Otani?\Last time it was Seiko-chan who did it, right?\Just a minute! Can't you see how shocked I am?!\And then?\How on earth did that happen, anyway?\W-Well... I'm not really sure. response:	But I supposedly kissed her before.
context: Koizumi forced a kiss on me.\Oh? This happens to you a lot, huh, Otani?\Last time it was Seiko-chan who did it, right?\Just a minute! Can't you see how shocked I am?!\And then?\How on earth did that happen, anyway?\W-Well... I'm not really sure.\But I supposedly kissed her before. response:	Supposedly?
context: Oh? This happens to you a lot, huh, Otani?\Last time it was Seiko-chan who did it, right?\Just a minute! Can't you see how shocked I am?!\And then?\How on earth did that happen, anyway?\W-Well... I'm not really sure.\But I supposedly kissed her before.\Supposedly? response:	What do you mean by that?
context: Last time it was Seiko-chan who did it, right?\Just a minute! Can't you see how shocked I am?!\And then?\How on earth did that happen, anyway?\W-Well... I'm not really sure.\But I supposedly kissed her before.\Supposedly?\What do you mean by that? response:	It happened while I had a fever, so I don't remember.
context: Just a minute! Can't you see how shocked I am?!\And then?\How on earth did that happen, anyway?\W-Well... I'm not really sure.\But I supposedly kissed her before.\Supposedly?\What do you mean by that?\It happened while I had a fever, so I don't remember. response:	So you violated her and you don't even remember?
context: And then?\How on earth did that happen, anyway?\W-Well... I'm not really sure.\But I supposedly kissed her before.\Supposedly?\What do you mean by that?\It happened while I had a fever, so I don't remember.\So you violated her and you don't even remember? response:	You beast.
context: How on earth did that happen, anyway?\W-Well... I'm not really sure.\But I supposedly kissed her before.\Supposedly?\What do you mean by that?\It happened while I had a fever, so I don't remember.\So you violated her and you don't even remember?\You beast. response:	I am not!
context: W-Well... I'm not really sure.\But I supposedly kissed her before.\Supposedly?\What do you mean by that?\It happened while I had a fever, so I don't remember.\So you violated her and you don't even remember?\You beast.\I am not! response:	And as for who violated who...
context: But I supposedly kissed her before.\Supposedly?\What do you mean by that?\It happened while I had a fever, so I don't remember.\So you violated her and you don't even remember?\You beast.\I am not!\And as for who violated who... response:	Am I really that unattractive?
context: Supposedly?\What do you mean by that?\It happened while I had a fever, so I don't remember.\So you violated her and you don't even remember?\You beast.\I am not!\And as for who violated who...\Am I really that unattractive? response:	I was the one who was violated...
context: What do you mean by that?\It happened while I had a fever, so I don't remember.\So you violated her and you don't even remember?\You beast.\I am not!\And as for who violated who...\Am I really that unattractive?\I was the one who was violated... response:	Koizumi-san sure has been trying hard.
context: It happened while I had a fever, so I don't remember.\So you violated her and you don't even remember?\You beast.\I am not!\And as for who violated who...\Am I really that unattractive?\I was the one who was violated...\Koizumi-san sure has been trying hard. response:	She must really like Otani.
context: So you violated her and you don't even remember?\You beast.\I am not!\And as for who violated who...\Am I really that unattractive?\I was the one who was violated...\Koizumi-san sure has been trying hard.\She must really like Otani. response:	Koizumi-san sure has been trying hard.
context: You beast.\I am not!\And as for who violated who...\Am I really that unattractive?\I was the one who was violated...\Koizumi-san sure has been trying hard.\She must really like Otani.\Koizumi-san sure has been trying hard. response:	She must really like Otani.
context: I am not!\And as for who violated who...\Am I really that unattractive?\I was the one who was violated...\Koizumi-san sure has been trying hard.\She must really like Otani.\Koizumi-san sure has been trying hard.\She must really like Otani. response:	Shut up! I know, okay!
context: And as for who violated who...\Am I really that unattractive?\I was the one who was violated...\Koizumi-san sure has been trying hard.\She must really like Otani.\Koizumi-san sure has been trying hard.\She must really like Otani.\Shut up! I know, okay! response:	So you know, huh? That's a surprise.
context: Am I really that unattractive?\I was the one who was violated...\Koizumi-san sure has been trying hard.\She must really like Otani.\Koizumi-san sure has been trying hard.\She must really like Otani.\Shut up! I know, okay!\So you know, huh? That's a surprise. response:	You said yourself you couldn't remember.
context: I was the one who was violated...\Koizumi-san sure has been trying hard.\She must really like Otani.\Koizumi-san sure has been trying hard.\She must really like Otani.\Shut up! I know, okay!\So you know, huh? That's a surprise.\You said yourself you couldn't remember. response:	I didn't forget that much!
context: Koizumi-san sure has been trying hard.\She must really like Otani.\Koizumi-san sure has been trying hard.\She must really like Otani.\Shut up! I know, okay!\So you know, huh? That's a surprise.\You said yourself you couldn't remember.\I didn't forget that much! response:	But she said she's giving up.
context: She must really like Otani.\Koizumi-san sure has been trying hard.\She must really like Otani.\Shut up! I know, okay!\So you know, huh? That's a surprise.\You said yourself you couldn't remember.\I didn't forget that much!\But she said she's giving up. response:	I give up. I'm done. Good bye!
context: Koizumi-san sure has been trying hard.\She must really like Otani.\Shut up! I know, okay!\So you know, huh? That's a surprise.\You said yourself you couldn't remember.\I didn't forget that much!\But she said she's giving up.\I give up. I'm done. Good bye! response:	Maitake Kunimi Fan Club
context: She must really like Otani.\Shut up! I know, okay!\So you know, huh? That's a surprise.\You said yourself you couldn't remember.\I didn't forget that much!\But she said she's giving up.\I give up. I'm done. Good bye!\Maitake Kunimi Fan Club response:	Maity Club
context: Shut up! I know, okay!\So you know, huh? That's a surprise.\You said yourself you couldn't remember.\I didn't forget that much!\But she said she's giving up.\I give up. I'm done. Good bye!\Maitake Kunimi Fan Club\Maity Club response:	Thank you all for coming!
context: So you know, huh? That's a surprise.\You said yourself you couldn't remember.\I didn't forget that much!\But she said she's giving up.\I give up. I'm done. Good bye!\Maitake Kunimi Fan Club\Maity Club\Thank you all for coming! response:	Maity for Life
context: You said yourself you couldn't remember.\I didn't forget that much!\But she said she's giving up.\I give up. I'm done. Good bye!\Maitake Kunimi Fan Club\Maity Club\Thank you all for coming!\Maity for Life response:	I'm the president of the Maitake Kunimi Fan Club, aka Maity Club.
context: I didn't forget that much!\But she said she's giving up.\I give up. I'm done. Good bye!\Maitake Kunimi Fan Club\Maity Club\Thank you all for coming!\Maity for Life\I'm the president of the Maitake Kunimi Fan Club, aka Maity Club. response:	My name is Koizumi Risa.
context: But she said she's giving up.\I give up. I'm done. Good bye!\Maitake Kunimi Fan Club\Maity Club\Thank you all for coming!\Maity for Life\I'm the president of the Maitake Kunimi Fan Club, aka Maity Club.\My name is Koizumi Risa. response:	Good day to you all.
context: I give up. I'm done. Good bye!\Maitake Kunimi Fan Club\Maity Club\Thank you all for coming!\Maity for Life\I'm the president of the Maitake Kunimi Fan Club, aka Maity Club.\My name is Koizumi Risa.\Good day to you all. response:	To commemorate the formation of our club, we've invited Maity-sensei himself.
context: Maitake Kunimi Fan Club\Maity Club\Thank you all for coming!\Maity for Life\I'm the president of the Maitake Kunimi Fan Club, aka Maity Club.\My name is Koizumi Risa.\Good day to you all.\To commemorate the formation of our club, we've invited Maity-sensei himself. response:	MAITY!
context: Maity Club\Thank you all for coming!\Maity for Life\I'm the president of the Maitake Kunimi Fan Club, aka Maity Club.\My name is Koizumi Risa.\Good day to you all.\To commemorate the formation of our club, we've invited Maity-sensei himself.\MAITY! response:	Hello.
context: Thank you all for coming!\Maity for Life\I'm the president of the Maitake Kunimi Fan Club, aka Maity Club.\My name is Koizumi Risa.\Good day to you all.\To commemorate the formation of our club, we've invited Maity-sensei himself.\MAITY!\Hello. response:	Come, come, come.
context: Maity for Life\I'm the president of the Maitake Kunimi Fan Club, aka Maity Club.\My name is Koizumi Risa.\Good day to you all.\To commemorate the formation of our club, we've invited Maity-sensei himself.\MAITY!\Hello.\Come, come, come. response:	Now, raise your hand if you have a question for Maity-sensei.
context: I'm the president of the Maitake Kunimi Fan Club, aka Maity Club.\My name is Koizumi Risa.\Good day to you all.\To commemorate the formation of our club, we've invited Maity-sensei himself.\MAITY!\Hello.\Come, come, come.\Now, raise your hand if you have a question for Maity-sensei. response:	Yes!
context: My name is Koizumi Risa.\Good day to you all.\To commemorate the formation of our club, we've invited Maity-sensei himself.\MAITY!\Hello.\Come, come, come.\Now, raise your hand if you have a question for Maity-sensei.\Yes! response:	This is amazing.
context: Good day to you all.\To commemorate the formation of our club, we've invited Maity-sensei himself.\MAITY!\Hello.\Come, come, come.\Now, raise your hand if you have a question for Maity-sensei.\Yes!\This is amazing. response:	Sensei are you going out with anyone right now?
context: To commemorate the formation of our club, we've invited Maity-sensei himself.\MAITY!\Hello.\Come, come, come.\Now, raise your hand if you have a question for Maity-sensei.\Yes!\This is amazing.\Sensei are you going out with anyone right now? response:	That's a secret.
context: MAITY!\Hello.\Come, come, come.\Now, raise your hand if you have a question for Maity-sensei.\Yes!\This is amazing.\Sensei are you going out with anyone right now?\That's a secret. response:	Sensei, why are you ***?
context: Hello.\Come, come, come.\Now, raise your hand if you have a question for Maity-sensei.\Yes!\This is amazing.\Sensei are you going out with anyone right now?\That's a secret.\Sensei, why are you ***? response:	That's also a secret.
context: Come, come, come.\Now, raise your hand if you have a question for Maity-sensei.\Yes!\This is amazing.\Sensei are you going out with anyone right now?\That's a secret.\Sensei, why are you ***?\That's also a secret. response:	Sensei, could it be you're *** ***?
context: Now, raise your hand if you have a question for Maity-sensei.\Yes!\This is amazing.\Sensei are you going out with anyone right now?\That's a secret.\Sensei, why are you ***?\That's also a secret.\Sensei, could it be you're *** ***? response:	That's all secret.
context: Yes!\This is amazing.\Sensei are you going out with anyone right now?\That's a secret.\Sensei, why are you ***?\That's also a secret.\Sensei, could it be you're *** ***?\That's all secret. response:	What's that sound?
context: This is amazing.\Sensei are you going out with anyone right now?\That's a secret.\Sensei, why are you ***?\That's also a secret.\Sensei, could it be you're *** ***?\That's all secret.\What's that sound? response:	Hey, where'd Koizumi go?
context: Sensei are you going out with anyone right now?\That's a secret.\Sensei, why are you ***?\That's also a secret.\Sensei, could it be you're *** ***?\That's all secret.\What's that sound?\Hey, where'd Koizumi go? response:	Club.
context: That's a secret.\Sensei, why are you ***?\That's also a secret.\Sensei, could it be you're *** ***?\That's all secret.\What's that sound?\Hey, where'd Koizumi go?\Club. response:	Club?
context: Sensei, why are you ***?\That's also a secret.\Sensei, could it be you're *** ***?\That's all secret.\What's that sound?\Hey, where'd Koizumi go?\Club.\Club? response:	Yeah. The Maity Club.
context: That's also a secret.\Sensei, could it be you're *** ***?\That's all secret.\What's that sound?\Hey, where'd Koizumi go?\Club.\Club?\Yeah. The Maity Club. response:	Maity Club? What's that?
context: Sensei, could it be you're *** ***?\That's all secret.\What's that sound?\Hey, where'd Koizumi go?\Club.\Club?\Yeah. The Maity Club.\Maity Club? What's that? response:	It seems to be a club dedicated to Maity-sensei.
context: That's all secret.\What's that sound?\Hey, where'd Koizumi go?\Club.\Club?\Yeah. The Maity Club.\Maity Club? What's that?\It seems to be a club dedicated to Maity-sensei. response:	Huh?
context: What's that sound?\Hey, where'd Koizumi go?\Club.\Club?\Yeah. The Maity Club.\Maity Club? What's that?\It seems to be a club dedicated to Maity-sensei.\Huh? response:	Don't say huh, you idiot!
context: Hey, where'd Koizumi go?\Club.\Club?\Yeah. The Maity Club.\Maity Club? What's that?\It seems to be a club dedicated to Maity-sensei.\Huh?\Don't say huh, you idiot! response:	Risa-chan has moved on.
context: Club.\Club?\Yeah. The Maity Club.\Maity Club? What's that?\It seems to be a club dedicated to Maity-sensei.\Huh?\Don't say huh, you idiot!\Risa-chan has moved on. response:	Wh-Why are you so angry?
context: Club?\Yeah. The Maity Club.\Maity Club? What's that?\It seems to be a club dedicated to Maity-sensei.\Huh?\Don't say huh, you idiot!\Risa-chan has moved on.\Wh-Why are you so angry? response:	Darling told me everything.
context: Yeah. The Maity Club.\Maity Club? What's that?\It seems to be a club dedicated to Maity-sensei.\Huh?\Don't say huh, you idiot!\Risa-chan has moved on.\Wh-Why are you so angry?\Darling told me everything. response:	This is all your fault, Otani-kun.
context: Maity Club? What's that?\It seems to be a club dedicated to Maity-sensei.\Huh?\Don't say huh, you idiot!\Risa-chan has moved on.\Wh-Why are you so angry?\Darling told me everything.\This is all your fault, Otani-kun. response:	Do something about this Maity Club!
context: It seems to be a club dedicated to Maity-sensei.\Huh?\Don't say huh, you idiot!\Risa-chan has moved on.\Wh-Why are you so angry?\Darling told me everything.\This is all your fault, Otani-kun.\Do something about this Maity Club! response:	Why is it my fault?
context: Huh?\Don't say huh, you idiot!\Risa-chan has moved on.\Wh-Why are you so angry?\Darling told me everything.\This is all your fault, Otani-kun.\Do something about this Maity Club!\Why is it my fault? response:	If you weren't such an idiot, you wouldn't be in this situation wondering whether you'd kissed or not!
context: Don't say huh, you idiot!\Risa-chan has moved on.\Wh-Why are you so angry?\Darling told me everything.\This is all your fault, Otani-kun.\Do something about this Maity Club!\Why is it my fault?\If you weren't such an idiot, you wouldn't be in this situation wondering whether you'd kissed or not! response:	If you just apologized, I'm sure Risa would let it go.
context: Risa-chan has moved on.\Wh-Why are you so angry?\Darling told me everything.\This is all your fault, Otani-kun.\Do something about this Maity Club!\Why is it my fault?\If you weren't such an idiot, you wouldn't be in this situation wondering whether you'd kissed or not!\If you just apologized, I'm sure Risa would let it go. response:	What should I apologize for?
context: Wh-Why are you so angry?\Darling told me everything.\This is all your fault, Otani-kun.\Do something about this Maity Club!\Why is it my fault?\If you weren't such an idiot, you wouldn't be in this situation wondering whether you'd kissed or not!\If you just apologized, I'm sure Risa would let it go.\What should I apologize for? response:	Anything!
context: Darling told me everything.\This is all your fault, Otani-kun.\Do something about this Maity Club!\Why is it my fault?\If you weren't such an idiot, you wouldn't be in this situation wondering whether you'd kissed or not!\If you just apologized, I'm sure Risa would let it go.\What should I apologize for?\Anything! response:	Just get her to quit that stupid club, idiot!
context: This is all your fault, Otani-kun.\Do something about this Maity Club!\Why is it my fault?\If you weren't such an idiot, you wouldn't be in this situation wondering whether you'd kissed or not!\If you just apologized, I'm sure Risa would let it go.\What should I apologize for?\Anything!\Just get her to quit that stupid club, idiot! response:	Nobu-chan...
context: Do something about this Maity Club!\Why is it my fault?\If you weren't such an idiot, you wouldn't be in this situation wondering whether you'd kissed or not!\If you just apologized, I'm sure Risa would let it go.\What should I apologize for?\Anything!\Just get her to quit that stupid club, idiot!\Nobu-chan... response:	Maity! Maity! Maity!
context: Why is it my fault?\If you weren't such an idiot, you wouldn't be in this situation wondering whether you'd kissed or not!\If you just apologized, I'm sure Risa would let it go.\What should I apologize for?\Anything!\Just get her to quit that stupid club, idiot!\Nobu-chan...\Maity! Maity! Maity! response:	What are you doing here? What about basketball club?
context: If you weren't such an idiot, you wouldn't be in this situation wondering whether you'd kissed or not!\If you just apologized, I'm sure Risa would let it go.\What should I apologize for?\Anything!\Just get her to quit that stupid club, idiot!\Nobu-chan...\Maity! Maity! Maity!\What are you doing here? What about basketball club? response:	The coach sprained his hip, so it's canceled for a while.
context: If you just apologized, I'm sure Risa would let it go.\What should I apologize for?\Anything!\Just get her to quit that stupid club, idiot!\Nobu-chan...\Maity! Maity! Maity!\What are you doing here? What about basketball club?\The coach sprained his hip, so it's canceled for a while. response:	Maity for Life
context: What should I apologize for?\Anything!\Just get her to quit that stupid club, idiot!\Nobu-chan...\Maity! Maity! Maity!\What are you doing here? What about basketball club?\The coach sprained his hip, so it's canceled for a while.\Maity for Life response:	Maity for life, huh?
context: Anything!\Just get her to quit that stupid club, idiot!\Nobu-chan...\Maity! Maity! Maity!\What are you doing here? What about basketball club?\The coach sprained his hip, so it's canceled for a while.\Maity for Life\Maity for life, huh? response:	That's going a bit too far...
context: Just get her to quit that stupid club, idiot!\Nobu-chan...\Maity! Maity! Maity!\What are you doing here? What about basketball club?\The coach sprained his hip, so it's canceled for a while.\Maity for Life\Maity for life, huh?\That's going a bit too far... response:	Why do you care?! Leave me alone.
context: Nobu-chan...\Maity! Maity! Maity!\What are you doing here? What about basketball club?\The coach sprained his hip, so it's canceled for a while.\Maity for Life\Maity for life, huh?\That's going a bit too far...\Why do you care?! Leave me alone. response:	This is no good. We can't be alone together,
context: Maity! Maity! Maity!\What are you doing here? What about basketball club?\The coach sprained his hip, so it's canceled for a while.\Maity for Life\Maity for life, huh?\That's going a bit too far...\Why do you care?! Leave me alone.\This is no good. We can't be alone together, response:	Even though it was a spur of the moment thing, the fact that I
context: What are you doing here? What about basketball club?\The coach sprained his hip, so it's canceled for a while.\Maity for Life\Maity for life, huh?\That's going a bit too far...\Why do you care?! Leave me alone.\This is no good. We can't be alone together,\Even though it was a spur of the moment thing, the fact that I response:	About yesterday...
context: The coach sprained his hip, so it's canceled for a while.\Maity for Life\Maity for life, huh?\That's going a bit too far...\Why do you care?! Leave me alone.\This is no good. We can't be alone together,\Even though it was a spur of the moment thing, the fact that I\About yesterday... response:	It's fine! Just let it go!
context: Maity for Life\Maity for life, huh?\That's going a bit too far...\Why do you care?! Leave me alone.\This is no good. We can't be alone together,\Even though it was a spur of the moment thing, the fact that I\About yesterday...\It's fine! Just let it go! response:	Did I really kiss you while I had a cold?
context: Maity for life, huh?\That's going a bit too far...\Why do you care?! Leave me alone.\This is no good. We can't be alone together,\Even though it was a spur of the moment thing, the fact that I\About yesterday...\It's fine! Just let it go!\Did I really kiss you while I had a cold? response:	I just told you to let it go, didn't I?!
context: That's going a bit too far...\Why do you care?! Leave me alone.\This is no good. We can't be alone together,\Even though it was a spur of the moment thing, the fact that I\About yesterday...\It's fine! Just let it go!\Did I really kiss you while I had a cold?\I just told you to let it go, didn't I?! response:	I'm sorry.
context: Why do you care?! Leave me alone.\This is no good. We can't be alone together,\Even though it was a spur of the moment thing, the fact that I\About yesterday...\It's fine! Just let it go!\Did I really kiss you while I had a cold?\I just told you to let it go, didn't I?!\I'm sorry. response:	Sorry... Sorry... Sorry...
context: This is no good. We can't be alone together,\Even though it was a spur of the moment thing, the fact that I\About yesterday...\It's fine! Just let it go!\Did I really kiss you while I had a cold?\I just told you to let it go, didn't I?!\I'm sorry.\Sorry... Sorry... Sorry... response:	Sorry?
context: Even though it was a spur of the moment thing, the fact that I\About yesterday...\It's fine! Just let it go!\Did I really kiss you while I had a cold?\I just told you to let it go, didn't I?!\I'm sorry.\Sorry... Sorry... Sorry...\Sorry? response:	What are you apologizing for?
context: About yesterday...\It's fine! Just let it go!\Did I really kiss you while I had a cold?\I just told you to let it go, didn't I?!\I'm sorry.\Sorry... Sorry... Sorry...\Sorry?\What are you apologizing for? response:	For forgetting that you kissed me?
context: It's fine! Just let it go!\Did I really kiss you while I had a cold?\I just told you to let it go, didn't I?!\I'm sorry.\Sorry... Sorry... Sorry...\Sorry?\What are you apologizing for?\For forgetting that you kissed me? response:	Or for not seeing me as a girl, no matter what I do?
context: Did I really kiss you while I had a cold?\I just told you to let it go, didn't I?!\I'm sorry.\Sorry... Sorry... Sorry...\Sorry?\What are you apologizing for?\For forgetting that you kissed me?\Or for not seeing me as a girl, no matter what I do? response:	You don't have to put on such a confused expression.
context: I just told you to let it go, didn't I?!\I'm sorry.\Sorry... Sorry... Sorry...\Sorry?\What are you apologizing for?\For forgetting that you kissed me?\Or for not seeing me as a girl, no matter what I do?\You don't have to put on such a confused expression. response:	It's fine. I've had enough. I've had enough already.
context: I'm sorry.\Sorry... Sorry... Sorry...\Sorry?\What are you apologizing for?\For forgetting that you kissed me?\Or for not seeing me as a girl, no matter what I do?\You don't have to put on such a confused expression.\It's fine. I've had enough. I've had enough already. response:	I told you. I'm done.
context: Sorry... Sorry... Sorry...\Sorry?\What are you apologizing for?\For forgetting that you kissed me?\Or for not seeing me as a girl, no matter what I do?\You don't have to put on such a confused expression.\It's fine. I've had enough. I've had enough already.\I told you. I'm done. response:	Sorry for bothering you for so long.
context: Sorry?\What are you apologizing for?\For forgetting that you kissed me?\Or for not seeing me as a girl, no matter what I do?\You don't have to put on such a confused expression.\It's fine. I've had enough. I've had enough already.\I told you. I'm done.\Sorry for bothering you for so long. response:	You don't need to worry about me.
context: What are you apologizing for?\For forgetting that you kissed me?\Or for not seeing me as a girl, no matter what I do?\You don't have to put on such a confused expression.\It's fine. I've had enough. I've had enough already.\I told you. I'm done.\Sorry for bothering you for so long.\You don't need to worry about me. response:	Koizumi...
context: For forgetting that you kissed me?\Or for not seeing me as a girl, no matter what I do?\You don't have to put on such a confused expression.\It's fine. I've had enough. I've had enough already.\I told you. I'm done.\Sorry for bothering you for so long.\You don't need to worry about me.\Koizumi... response:	For some reason...
context: Or for not seeing me as a girl, no matter what I do?\You don't have to put on such a confused expression.\It's fine. I've had enough. I've had enough already.\I told you. I'm done.\Sorry for bothering you for so long.\You don't need to worry about me.\Koizumi...\For some reason... response:	Wait! Don't give up on me!
context: You don't have to put on such a confused expression.\It's fine. I've had enough. I've had enough already.\I told you. I'm done.\Sorry for bothering you for so long.\You don't need to worry about me.\Koizumi...\For some reason...\Wait! Don't give up on me! response:	But I guess that's impossible. There's no way that would happen.
context: It's fine. I've had enough. I've had enough already.\I told you. I'm done.\Sorry for bothering you for so long.\You don't need to worry about me.\Koizumi...\For some reason...\Wait! Don't give up on me!\But I guess that's impossible. There's no way that would happen. response:	Oh, are you going home now?
context: I told you. I'm done.\Sorry for bothering you for so long.\You don't need to worry about me.\Koizumi...\For some reason...\Wait! Don't give up on me!\But I guess that's impossible. There's no way that would happen.\Oh, are you going home now? response:	Uh... yes.
context: Sorry for bothering you for so long.\You don't need to worry about me.\Koizumi...\For some reason...\Wait! Don't give up on me!\But I guess that's impossible. There's no way that would happen.\Oh, are you going home now?\Uh... yes. response:	What's the matter? Did something happen?
context: You don't need to worry about me.\Koizumi...\For some reason...\Wait! Don't give up on me!\But I guess that's impossible. There's no way that would happen.\Oh, are you going home now?\Uh... yes.\What's the matter? Did something happen? response:	Koizumi-san sure has been trying hard.
context: Koizumi...\For some reason...\Wait! Don't give up on me!\But I guess that's impossible. There's no way that would happen.\Oh, are you going home now?\Uh... yes.\What's the matter? Did something happen?\Koizumi-san sure has been trying hard. response:	She must really like Otani.
context: For some reason...\Wait! Don't give up on me!\But I guess that's impossible. There's no way that would happen.\Oh, are you going home now?\Uh... yes.\What's the matter? Did something happen?\Koizumi-san sure has been trying hard.\She must really like Otani. response:	But if I go on liking you like this, nothing will change.
context: Wait! Don't give up on me!\But I guess that's impossible. There's no way that would happen.\Oh, are you going home now?\Uh... yes.\What's the matter? Did something happen?\Koizumi-san sure has been trying hard.\She must really like Otani.\But if I go on liking you like this, nothing will change. response:	I'm through with loving you!
context: But I guess that's impossible. There's no way that would happen.\Oh, are you going home now?\Uh... yes.\What's the matter? Did something happen?\Koizumi-san sure has been trying hard.\She must really like Otani.\But if I go on liking you like this, nothing will change.\I'm through with loving you! response:	I've had enough. I've had enough already.
context: Oh, are you going home now?\Uh... yes.\What's the matter? Did something happen?\Koizumi-san sure has been trying hard.\She must really like Otani.\But if I go on liking you like this, nothing will change.\I'm through with loving you!\I've had enough. I've had enough already. response:	Love Maity!
context: Uh... yes.\What's the matter? Did something happen?\Koizumi-san sure has been trying hard.\She must really like Otani.\But if I go on liking you like this, nothing will change.\I'm through with loving you!\I've had enough. I've had enough already.\Love Maity! response:	Go!
context: What's the matter? Did something happen?\Koizumi-san sure has been trying hard.\She must really like Otani.\But if I go on liking you like this, nothing will change.\I'm through with loving you!\I've had enough. I've had enough already.\Love Maity!\Go! response:	Not loud enough. Again!
context: Koizumi-san sure has been trying hard.\She must really like Otani.\But if I go on liking you like this, nothing will change.\I'm through with loving you!\I've had enough. I've had enough already.\Love Maity!\Go!\Not loud enough. Again! response:	I don't think I can be friends with Risa anymore.
context: She must really like Otani.\But if I go on liking you like this, nothing will change.\I'm through with loving you!\I've had enough. I've had enough already.\Love Maity!\Go!\Not loud enough. Again!\I don't think I can be friends with Risa anymore. response:	Is that another Maity Club activity?
context: But if I go on liking you like this, nothing will change.\I'm through with loving you!\I've had enough. I've had enough already.\Love Maity!\Go!\Not loud enough. Again!\I don't think I can be friends with Risa anymore.\Is that another Maity Club activity? response:	I said, starting today, Maity-sensei is going to be the coach for the basketball club.
context: I'm through with loving you!\I've had enough. I've had enough already.\Love Maity!\Go!\Not loud enough. Again!\I don't think I can be friends with Risa anymore.\Is that another Maity Club activity?\I said, starting today, Maity-sensei is going to be the coach for the basketball club. response:	What the heck?
context: I've had enough. I've had enough already.\Love Maity!\Go!\Not loud enough. Again!\I don't think I can be friends with Risa anymore.\Is that another Maity Club activity?\I said, starting today, Maity-sensei is going to be the coach for the basketball club.\What the heck? response:	The coach has sprained his hip, so just bear with it until he gets better.
context: Love Maity!\Go!\Not loud enough. Again!\I don't think I can be friends with Risa anymore.\Is that another Maity Club activity?\I said, starting today, Maity-sensei is going to be the coach for the basketball club.\What the heck?\The coach has sprained his hip, so just bear with it until he gets better. response:	Why the heck does that guy have to be his substitute?!
context: Go!\Not loud enough. Again!\I don't think I can be friends with Risa anymore.\Is that another Maity Club activity?\I said, starting today, Maity-sensei is going to be the coach for the basketball club.\What the heck?\The coach has sprained his hip, so just bear with it until he gets better.\Why the heck does that guy have to be his substitute?! response:	Geez. Otani-kun, you have to do something about this.
context: Not loud enough. Again!\I don't think I can be friends with Risa anymore.\Is that another Maity Club activity?\I said, starting today, Maity-sensei is going to be the coach for the basketball club.\What the heck?\The coach has sprained his hip, so just bear with it until he gets better.\Why the heck does that guy have to be his substitute?!\Geez. Otani-kun, you have to do something about this. response:	At this rate Risa really will fall for that cold guy.
