context: What is going on? response:	Apparently, the Union Lords are gathering.
context: We should return to Nord, and stage a comeback.\I refuse to live in disgrace after being utterly routed like this!\Since it's come to this, I will continue to fight until I die as a warrior!\Gods of Valhalla, watch over me!\My soul shall travel to where you reside, become your warrior, and prepare for the twilight!\Stand your ground! Fight back!\Surround him!\Don't let him get near Sir Alexis! response:	Douce...
context: I refuse to live in disgrace after being utterly routed like this!\Since it's come to this, I will continue to fight until I die as a warrior!\Gods of Valhalla, watch over me!\My soul shall travel to where you reside, become your warrior, and prepare for the twilight!\Stand your ground! Fight back!\Surround him!\Don't let him get near Sir Alexis!\Douce... response:	Sir Alexis, this way!
context: Since it's come to this, I will continue to fight until I die as a warrior!\Gods of Valhalla, watch over me!\My soul shall travel to where you reside, become your warrior, and prepare for the twilight!\Stand your ground! Fight back!\Surround him!\Don't let him get near Sir Alexis!\Douce...\Sir Alexis, this way! response:	Don't let him get near Sir Alexis!
context: Gods of Valhalla, watch over me!\My soul shall travel to where you reside, become your warrior, and prepare for the twilight!\Stand your ground! Fight back!\Surround him!\Don't let him get near Sir Alexis!\Douce...\Sir Alexis, this way!\Don't let him get near Sir Alexis! response:	Don't stop attacking! Bring this monster down!
context: My soul shall travel to where you reside, become your warrior, and prepare for the twilight!\Stand your ground! Fight back!\Surround him!\Don't let him get near Sir Alexis!\Douce...\Sir Alexis, this way!\Don't let him get near Sir Alexis!\Don't stop attacking! Bring this monster down! response:	Now! Finish him off!
context: Stand your ground! Fight back!\Surround him!\Don't let him get near Sir Alexis!\Douce...\Sir Alexis, this way!\Don't let him get near Sir Alexis!\Don't stop attacking! Bring this monster down!\Now! Finish him off! response:	What the hell is he?
context: Surround him!\Don't let him get near Sir Alexis!\Douce...\Sir Alexis, this way!\Don't let him get near Sir Alexis!\Don't stop attacking! Bring this monster down!\Now! Finish him off!\What the hell is he? response:	Is he immortal or something?
context: Don't let him get near Sir Alexis!\Douce...\Sir Alexis, this way!\Don't let him get near Sir Alexis!\Don't stop attacking! Bring this monster down!\Now! Finish him off!\What the hell is he?\Is he immortal or something? response:	That warrior is brimming with insanity and murderous intent.
context: Douce...\Sir Alexis, this way!\Don't let him get near Sir Alexis!\Don't stop attacking! Bring this monster down!\Now! Finish him off!\What the hell is he?\Is he immortal or something?\That warrior is brimming with insanity and murderous intent. response:	How can a human turn into such a thing?
context: Sir Alexis, this way!\Don't let him get near Sir Alexis!\Don't stop attacking! Bring this monster down!\Now! Finish him off!\What the hell is he?\Is he immortal or something?\That warrior is brimming with insanity and murderous intent.\How can a human turn into such a thing? response:	You damned monster!
context: Don't let him get near Sir Alexis!\Don't stop attacking! Bring this monster down!\Now! Finish him off!\What the hell is he?\Is he immortal or something?\That warrior is brimming with insanity and murderous intent.\How can a human turn into such a thing?\You damned monster! response:	Die!
context: Don't stop attacking! Bring this monster down!\Now! Finish him off!\What the hell is he?\Is he immortal or something?\That warrior is brimming with insanity and murderous intent.\How can a human turn into such a thing?\You damned monster!\Die! response:	Chop its head off!
context: Now! Finish him off!\What the hell is he?\Is he immortal or something?\That warrior is brimming with insanity and murderous intent.\How can a human turn into such a thing?\You damned monster!\Die!\Chop its head off! response:	Understood!
context: What the hell is he?\Is he immortal or something?\That warrior is brimming with insanity and murderous intent.\How can a human turn into such a thing?\You damned monster!\Die!\Chop its head off!\Understood! response:	This crazed warrior is...
context: Is he immortal or something?\That warrior is brimming with insanity and murderous intent.\How can a human turn into such a thing?\You damned monster!\Die!\Chop its head off!\Understood!\This crazed warrior is... response:	I believe it's the Sea King Erik.
context: That warrior is brimming with insanity and murderous intent.\How can a human turn into such a thing?\You damned monster!\Die!\Chop its head off!\Understood!\This crazed warrior is...\I believe it's the Sea King Erik. response:	Its massive frame and appearance is unmistakable.
context: How can a human turn into such a thing?\You damned monster!\Die!\Chop its head off!\Understood!\This crazed warrior is...\I believe it's the Sea King Erik.\Its massive frame and appearance is unmistakable. response:	For this to be his end...
context: You damned monster!\Die!\Chop its head off!\Understood!\This crazed warrior is...\I believe it's the Sea King Erik.\Its massive frame and appearance is unmistakable.\For this to be his end... response:	Sir Alexis!
context: Die!\Chop its head off!\Understood!\This crazed warrior is...\I believe it's the Sea King Erik.\Its massive frame and appearance is unmistakable.\For this to be his end...\Sir Alexis! response:	I'm fine.
context: Chop its head off!\Understood!\This crazed warrior is...\I believe it's the Sea King Erik.\Its massive frame and appearance is unmistakable.\For this to be his end...\Sir Alexis!\I'm fine. response:	The Chaos Core is almost ready.
context: Understood!\This crazed warrior is...\I believe it's the Sea King Erik.\Its massive frame and appearance is unmistakable.\For this to be his end...\Sir Alexis!\I'm fine.\The Chaos Core is almost ready. response:	Sir Alexis, please take the Sea King's Crest.
context: This crazed warrior is...\I believe it's the Sea King Erik.\Its massive frame and appearance is unmistakable.\For this to be his end...\Sir Alexis!\I'm fine.\The Chaos Core is almost ready.\Sir Alexis, please take the Sea King's Crest. response:	Yes.
context: I believe it's the Sea King Erik.\Its massive frame and appearance is unmistakable.\For this to be his end...\Sir Alexis!\I'm fine.\The Chaos Core is almost ready.\Sir Alexis, please take the Sea King's Crest.\Yes. response:	Marrine.
context: Its massive frame and appearance is unmistakable.\For this to be his end...\Sir Alexis!\I'm fine.\The Chaos Core is almost ready.\Sir Alexis, please take the Sea King's Crest.\Yes.\Marrine. response:	I will soon be by your side.
context: For this to be his end...\Sir Alexis!\I'm fine.\The Chaos Core is almost ready.\Sir Alexis, please take the Sea King's Crest.\Yes.\Marrine.\I will soon be by your side. response:	After that recent battle at sea,
context: Sir Alexis!\I'm fine.\The Chaos Core is almost ready.\Sir Alexis, please take the Sea King's Crest.\Yes.\Marrine.\I will soon be by your side.\After that recent battle at sea, response:	it's fair to say the three forces, the Alliance, the Union, and the Treaty, are now evenly matched.
context: I'm fine.\The Chaos Core is almost ready.\Sir Alexis, please take the Sea King's Crest.\Yes.\Marrine.\I will soon be by your side.\After that recent battle at sea,\it's fair to say the three forces, the Alliance, the Union, and the Treaty, are now evenly matched. response:	And so we, the Altirk Treaty, propose for the Alliance to call a truce with the Union.
context: The Chaos Core is almost ready.\Sir Alexis, please take the Sea King's Crest.\Yes.\Marrine.\I will soon be by your side.\After that recent battle at sea,\it's fair to say the three forces, the Alliance, the Union, and the Treaty, are now evenly matched.\And so we, the Altirk Treaty, propose for the Alliance to call a truce with the Union. response:	A truce is out of the question.
context: Sir Alexis, please take the Sea King's Crest.\Yes.\Marrine.\I will soon be by your side.\After that recent battle at sea,\it's fair to say the three forces, the Alliance, the Union, and the Treaty, are now evenly matched.\And so we, the Altirk Treaty, propose for the Alliance to call a truce with the Union.\A truce is out of the question. response:	The loss of the Nordic king is a huge blow, but the Alliance still has reserve power.
context: Yes.\Marrine.\I will soon be by your side.\After that recent battle at sea,\it's fair to say the three forces, the Alliance, the Union, and the Treaty, are now evenly matched.\And so we, the Altirk Treaty, propose for the Alliance to call a truce with the Union.\A truce is out of the question.\The loss of the Nordic king is a huge blow, but the Alliance still has reserve power. response:	I'll have to mobilize all my forces, and assault both the Treaty and the Union into oblivion.
context: Marrine.\I will soon be by your side.\After that recent battle at sea,\it's fair to say the three forces, the Alliance, the Union, and the Treaty, are now evenly matched.\And so we, the Altirk Treaty, propose for the Alliance to call a truce with the Union.\A truce is out of the question.\The loss of the Nordic king is a huge blow, but the Alliance still has reserve power.\I'll have to mobilize all my forces, and assault both the Treaty and the Union into oblivion. response:	I see.
context: I will soon be by your side.\After that recent battle at sea,\it's fair to say the three forces, the Alliance, the Union, and the Treaty, are now evenly matched.\And so we, the Altirk Treaty, propose for the Alliance to call a truce with the Union.\A truce is out of the question.\The loss of the Nordic king is a huge blow, but the Alliance still has reserve power.\I'll have to mobilize all my forces, and assault both the Treaty and the Union into oblivion.\I see. response:	Then, we'll be in formation awaiting your arrival
context: After that recent battle at sea,\it's fair to say the three forces, the Alliance, the Union, and the Treaty, are now evenly matched.\And so we, the Altirk Treaty, propose for the Alliance to call a truce with the Union.\A truce is out of the question.\The loss of the Nordic king is a huge blow, but the Alliance still has reserve power.\I'll have to mobilize all my forces, and assault both the Treaty and the Union into oblivion.\I see.\Then, we'll be in formation awaiting your arrival response:	where the Union and the Alliance previously had their final battle.
context: it's fair to say the three forces, the Alliance, the Union, and the Treaty, are now evenly matched.\And so we, the Altirk Treaty, propose for the Alliance to call a truce with the Union.\A truce is out of the question.\The loss of the Nordic king is a huge blow, but the Alliance still has reserve power.\I'll have to mobilize all my forces, and assault both the Treaty and the Union into oblivion.\I see.\Then, we'll be in formation awaiting your arrival\where the Union and the Alliance previously had their final battle. response:	Should the Alliance win, we'll hand over our Crests and territories.
context: And so we, the Altirk Treaty, propose for the Alliance to call a truce with the Union.\A truce is out of the question.\The loss of the Nordic king is a huge blow, but the Alliance still has reserve power.\I'll have to mobilize all my forces, and assault both the Treaty and the Union into oblivion.\I see.\Then, we'll be in formation awaiting your arrival\where the Union and the Alliance previously had their final battle.\Should the Alliance win, we'll hand over our Crests and territories. response:	But in the event that there's no clear winner, we'd like you to accept our proposal.
context: A truce is out of the question.\The loss of the Nordic king is a huge blow, but the Alliance still has reserve power.\I'll have to mobilize all my forces, and assault both the Treaty and the Union into oblivion.\I see.\Then, we'll be in formation awaiting your arrival\where the Union and the Alliance previously had their final battle.\Should the Alliance win, we'll hand over our Crests and territories.\But in the event that there's no clear winner, we'd like you to accept our proposal. response:	Do I really need to give you my promise?
context: The loss of the Nordic king is a huge blow, but the Alliance still has reserve power.\I'll have to mobilize all my forces, and assault both the Treaty and the Union into oblivion.\I see.\Then, we'll be in formation awaiting your arrival\where the Union and the Alliance previously had their final battle.\Should the Alliance win, we'll hand over our Crests and territories.\But in the event that there's no clear winner, we'd like you to accept our proposal.\Do I really need to give you my promise? response:	No. But a three-way struggle between all our forces is far from ideal to you.
context: I'll have to mobilize all my forces, and assault both the Treaty and the Union into oblivion.\I see.\Then, we'll be in formation awaiting your arrival\where the Union and the Alliance previously had their final battle.\Should the Alliance win, we'll hand over our Crests and territories.\But in the event that there's no clear winner, we'd like you to accept our proposal.\Do I really need to give you my promise?\No. But a three-way struggle between all our forces is far from ideal to you. response:	I think we would only be giving the edge to our true enemy.
context: I see.\Then, we'll be in formation awaiting your arrival\where the Union and the Alliance previously had their final battle.\Should the Alliance win, we'll hand over our Crests and territories.\But in the event that there's no clear winner, we'd like you to accept our proposal.\Do I really need to give you my promise?\No. But a three-way struggle between all our forces is far from ideal to you.\I think we would only be giving the edge to our true enemy. response:	The true enemy?
context: Then, we'll be in formation awaiting your arrival\where the Union and the Alliance previously had their final battle.\Should the Alliance win, we'll hand over our Crests and territories.\But in the event that there's no clear winner, we'd like you to accept our proposal.\Do I really need to give you my promise?\No. But a three-way struggle between all our forces is far from ideal to you.\I think we would only be giving the edge to our true enemy.\The true enemy? response:	What do you know?
context: where the Union and the Alliance previously had their final battle.\Should the Alliance win, we'll hand over our Crests and territories.\But in the event that there's no clear winner, we'd like you to accept our proposal.\Do I really need to give you my promise?\No. But a three-way struggle between all our forces is far from ideal to you.\I think we would only be giving the edge to our true enemy.\The true enemy?\What do you know? response:	Not that I have any definitive proof,
context: Should the Alliance win, we'll hand over our Crests and territories.\But in the event that there's no clear winner, we'd like you to accept our proposal.\Do I really need to give you my promise?\No. But a three-way struggle between all our forces is far from ideal to you.\I think we would only be giving the edge to our true enemy.\The true enemy?\What do you know?\Not that I have any definitive proof, response:	but I believe it was the Mage Academy that set off the Great Hall Tragedy.
context: But in the event that there's no clear winner, we'd like you to accept our proposal.\Do I really need to give you my promise?\No. But a three-way struggle between all our forces is far from ideal to you.\I think we would only be giving the edge to our true enemy.\The true enemy?\What do you know?\Not that I have any definitive proof,\but I believe it was the Mage Academy that set off the Great Hall Tragedy. response:	Whether or not your guess is correct,
context: Do I really need to give you my promise?\No. But a three-way struggle between all our forces is far from ideal to you.\I think we would only be giving the edge to our true enemy.\The true enemy?\What do you know?\Not that I have any definitive proof,\but I believe it was the Mage Academy that set off the Great Hall Tragedy.\Whether or not your guess is correct, response:	once this battle is decided, I'm certain it will be revealed.
context: No. But a three-way struggle between all our forces is far from ideal to you.\I think we would only be giving the edge to our true enemy.\The true enemy?\What do you know?\Not that I have any definitive proof,\but I believe it was the Mage Academy that set off the Great Hall Tragedy.\Whether or not your guess is correct,\once this battle is decided, I'm certain it will be revealed. response:	Is that right?
context: I think we would only be giving the edge to our true enemy.\The true enemy?\What do you know?\Not that I have any definitive proof,\but I believe it was the Mage Academy that set off the Great Hall Tragedy.\Whether or not your guess is correct,\once this battle is decided, I'm certain it will be revealed.\Is that right? response:	Would you mind telling me one thing?
context: The true enemy?\What do you know?\Not that I have any definitive proof,\but I believe it was the Mage Academy that set off the Great Hall Tragedy.\Whether or not your guess is correct,\once this battle is decided, I'm certain it will be revealed.\Is that right?\Would you mind telling me one thing? response:	What would that be?
context: What do you know?\Not that I have any definitive proof,\but I believe it was the Mage Academy that set off the Great Hall Tragedy.\Whether or not your guess is correct,\once this battle is decided, I'm certain it will be revealed.\Is that right?\Would you mind telling me one thing?\What would that be? response:	What did you say to Alexis?
context: Not that I have any definitive proof,\but I believe it was the Mage Academy that set off the Great Hall Tragedy.\Whether or not your guess is correct,\once this battle is decided, I'm certain it will be revealed.\Is that right?\Would you mind telling me one thing?\What would that be?\What did you say to Alexis? response:	Why did the Marquis of Jalucia suddenly decide to take action?
context: but I believe it was the Mage Academy that set off the Great Hall Tragedy.\Whether or not your guess is correct,\once this battle is decided, I'm certain it will be revealed.\Is that right?\Would you mind telling me one thing?\What would that be?\What did you say to Alexis?\Why did the Marquis of Jalucia suddenly decide to take action? response:	He must've realized it's what he needed to do for your sake.
context: Whether or not your guess is correct,\once this battle is decided, I'm certain it will be revealed.\Is that right?\Would you mind telling me one thing?\What would that be?\What did you say to Alexis?\Why did the Marquis of Jalucia suddenly decide to take action?\He must've realized it's what he needed to do for your sake. response:	Even if you unified the Crests by military force, it would be you who got hurt in the process.
context: once this battle is decided, I'm certain it will be revealed.\Is that right?\Would you mind telling me one thing?\What would that be?\What did you say to Alexis?\Why did the Marquis of Jalucia suddenly decide to take action?\He must've realized it's what he needed to do for your sake.\Even if you unified the Crests by military force, it would be you who got hurt in the process. response:	Ridiculous!
context: Is that right?\Would you mind telling me one thing?\What would that be?\What did you say to Alexis?\Why did the Marquis of Jalucia suddenly decide to take action?\He must've realized it's what he needed to do for your sake.\Even if you unified the Crests by military force, it would be you who got hurt in the process.\Ridiculous! response:	I've made so many sacrifices in order to walk down this path.
context: Would you mind telling me one thing?\What would that be?\What did you say to Alexis?\Why did the Marquis of Jalucia suddenly decide to take action?\He must've realized it's what he needed to do for your sake.\Even if you unified the Crests by military force, it would be you who got hurt in the process.\Ridiculous!\I've made so many sacrifices in order to walk down this path. response:	I cannot stop in my tracks now!
context: What would that be?\What did you say to Alexis?\Why did the Marquis of Jalucia suddenly decide to take action?\He must've realized it's what he needed to do for your sake.\Even if you unified the Crests by military force, it would be you who got hurt in the process.\Ridiculous!\I've made so many sacrifices in order to walk down this path.\I cannot stop in my tracks now! response:	Sir Theo intends to try to stop you.
context: What did you say to Alexis?\Why did the Marquis of Jalucia suddenly decide to take action?\He must've realized it's what he needed to do for your sake.\Even if you unified the Crests by military force, it would be you who got hurt in the process.\Ridiculous!\I've made so many sacrifices in order to walk down this path.\I cannot stop in my tracks now!\Sir Theo intends to try to stop you. response:	And Sir Alexis must have also steeled his resolve to do so as well.
context: Why did the Marquis of Jalucia suddenly decide to take action?\He must've realized it's what he needed to do for your sake.\Even if you unified the Crests by military force, it would be you who got hurt in the process.\Ridiculous!\I've made so many sacrifices in order to walk down this path.\I cannot stop in my tracks now!\Sir Theo intends to try to stop you.\And Sir Alexis must have also steeled his resolve to do so as well. response:	Aubest!
context: He must've realized it's what he needed to do for your sake.\Even if you unified the Crests by military force, it would be you who got hurt in the process.\Ridiculous!\I've made so many sacrifices in order to walk down this path.\I cannot stop in my tracks now!\Sir Theo intends to try to stop you.\And Sir Alexis must have also steeled his resolve to do so as well.\Aubest! response:	I wish to gather all the Alliance Lords and have a meeting.
context: Even if you unified the Crests by military force, it would be you who got hurt in the process.\Ridiculous!\I've made so many sacrifices in order to walk down this path.\I cannot stop in my tracks now!\Sir Theo intends to try to stop you.\And Sir Alexis must have also steeled his resolve to do so as well.\Aubest!\I wish to gather all the Alliance Lords and have a meeting. response:	I'm going to advocate war against the Treaty and the Union.
context: Ridiculous!\I've made so many sacrifices in order to walk down this path.\I cannot stop in my tracks now!\Sir Theo intends to try to stop you.\And Sir Alexis must have also steeled his resolve to do so as well.\Aubest!\I wish to gather all the Alliance Lords and have a meeting.\I'm going to advocate war against the Treaty and the Union. response:	It sounds somewhat impetuous...
context: I've made so many sacrifices in order to walk down this path.\I cannot stop in my tracks now!\Sir Theo intends to try to stop you.\And Sir Alexis must have also steeled his resolve to do so as well.\Aubest!\I wish to gather all the Alliance Lords and have a meeting.\I'm going to advocate war against the Treaty and the Union.\It sounds somewhat impetuous... response:	It cannot be helped.
context: I cannot stop in my tracks now!\Sir Theo intends to try to stop you.\And Sir Alexis must have also steeled his resolve to do so as well.\Aubest!\I wish to gather all the Alliance Lords and have a meeting.\I'm going to advocate war against the Treaty and the Union.\It sounds somewhat impetuous...\It cannot be helped. response:	The final battle will be held not far from Eramu.
context: Sir Theo intends to try to stop you.\And Sir Alexis must have also steeled his resolve to do so as well.\Aubest!\I wish to gather all the Alliance Lords and have a meeting.\I'm going to advocate war against the Treaty and the Union.\It sounds somewhat impetuous...\It cannot be helped.\The final battle will be held not far from Eramu. response:	All of the Lords will gather there from across the Continent.
context: And Sir Alexis must have also steeled his resolve to do so as well.\Aubest!\I wish to gather all the Alliance Lords and have a meeting.\I'm going to advocate war against the Treaty and the Union.\It sounds somewhat impetuous...\It cannot be helped.\The final battle will be held not far from Eramu.\All of the Lords will gather there from across the Continent. response:	Depending on the outcome of the battle, we might see the creation of the Grancrest.
context: Aubest!\I wish to gather all the Alliance Lords and have a meeting.\I'm going to advocate war against the Treaty and the Union.\It sounds somewhat impetuous...\It cannot be helped.\The final battle will be held not far from Eramu.\All of the Lords will gather there from across the Continent.\Depending on the outcome of the battle, we might see the creation of the Grancrest. response:	We need to know what that might entail.
context: I wish to gather all the Alliance Lords and have a meeting.\I'm going to advocate war against the Treaty and the Union.\It sounds somewhat impetuous...\It cannot be helped.\The final battle will be held not far from Eramu.\All of the Lords will gather there from across the Continent.\Depending on the outcome of the battle, we might see the creation of the Grancrest.\We need to know what that might entail. response:	As you wish.
context: I'm going to advocate war against the Treaty and the Union.\It sounds somewhat impetuous...\It cannot be helped.\The final battle will be held not far from Eramu.\All of the Lords will gather there from across the Continent.\Depending on the outcome of the battle, we might see the creation of the Grancrest.\We need to know what that might entail.\As you wish. response:	This could very well trigger another Great Hall Tragedy.
context: It sounds somewhat impetuous...\It cannot be helped.\The final battle will be held not far from Eramu.\All of the Lords will gather there from across the Continent.\Depending on the outcome of the battle, we might see the creation of the Grancrest.\We need to know what that might entail.\As you wish.\This could very well trigger another Great Hall Tragedy. response:	No, it could be something even more gruesome.
context: It cannot be helped.\The final battle will be held not far from Eramu.\All of the Lords will gather there from across the Continent.\Depending on the outcome of the battle, we might see the creation of the Grancrest.\We need to know what that might entail.\As you wish.\This could very well trigger another Great Hall Tragedy.\No, it could be something even more gruesome. response:	Alexis...
context: The final battle will be held not far from Eramu.\All of the Lords will gather there from across the Continent.\Depending on the outcome of the battle, we might see the creation of the Grancrest.\We need to know what that might entail.\As you wish.\This could very well trigger another Great Hall Tragedy.\No, it could be something even more gruesome.\Alexis... response:	THE AWAKENING OF A NOBLE
context: All of the Lords will gather there from across the Continent.\Depending on the outcome of the battle, we might see the creation of the Grancrest.\We need to know what that might entail.\As you wish.\This could very well trigger another Great Hall Tragedy.\No, it could be something even more gruesome.\Alexis...\THE AWAKENING OF A NOBLE response:	EPISODE 20 PITCHED BATTLE OF THE THREE FORCES
