context: On the night of Christmas Eve, response:	I made up with Shiina,
context: Let's Make a Game Rhythm Battler Vol. 1 Rhythm Action Battle Game Entry No. 06848860 Kanda Sorata\Well, there you have it.\Take care of Misaki for me for a while.\She'll get jealous if I talk to you for too long, so I'm hanging up.\Are you at one of your girlfriends' homes?\I broke up with them all.\I'm staying with my friend, the Student Council President.\Who are you calling your friend?! response:	See you later.
context: Well, there you have it.\Take care of Misaki for me for a while.\She'll get jealous if I talk to you for too long, so I'm hanging up.\Are you at one of your girlfriends' homes?\I broke up with them all.\I'm staying with my friend, the Student Council President.\Who are you calling your friend?!\See you later. response:	What?!
context: Take care of Misaki for me for a while.\She'll get jealous if I talk to you for too long, so I'm hanging up.\Are you at one of your girlfriends' homes?\I broke up with them all.\I'm staying with my friend, the Student Council President.\Who are you calling your friend?!\See you later.\What?! response:	Mitaka, you...
context: She'll get jealous if I talk to you for too long, so I'm hanging up.\Are you at one of your girlfriends' homes?\I broke up with them all.\I'm staying with my friend, the Student Council President.\Who are you calling your friend?!\See you later.\What?!\Mitaka, you... response:	Hey, Student Council President...
context: Are you at one of your girlfriends' homes?\I broke up with them all.\I'm staying with my friend, the Student Council President.\Who are you calling your friend?!\See you later.\What?!\Mitaka, you...\Hey, Student Council President... response:	That's former Student Council President.
context: I broke up with them all.\I'm staying with my friend, the Student Council President.\Who are you calling your friend?!\See you later.\What?!\Mitaka, you...\Hey, Student Council President...\That's former Student Council President. response:	Do you think I'm wrong?
context: I'm staying with my friend, the Student Council President.\Who are you calling your friend?!\See you later.\What?!\Mitaka, you...\Hey, Student Council President...\That's former Student Council President.\Do you think I'm wrong? response:	Yeah, you're wrong.
context: Who are you calling your friend?!\See you later.\What?!\Mitaka, you...\Hey, Student Council President...\That's former Student Council President.\Do you think I'm wrong?\Yeah, you're wrong. response:	I see.
context: See you later.\What?!\Mitaka, you...\Hey, Student Council President...\That's former Student Council President.\Do you think I'm wrong?\Yeah, you're wrong.\I see. response:	But you're also equally right.
context: What?!\Mitaka, you...\Hey, Student Council President...\That's former Student Council President.\Do you think I'm wrong?\Yeah, you're wrong.\I see.\But you're also equally right. response:	I see.
context: Mitaka, you...\Hey, Student Council President...\That's former Student Council President.\Do you think I'm wrong?\Yeah, you're wrong.\I see.\But you're also equally right.\I see. response:	Starting tomorrow, I'll make dinner every night.
context: Hey, Student Council President...\That's former Student Council President.\Do you think I'm wrong?\Yeah, you're wrong.\I see.\But you're also equally right.\I see.\Starting tomorrow, I'll make dinner every night. response:	Every night?!
context: That's former Student Council President.\Do you think I'm wrong?\Yeah, you're wrong.\I see.\But you're also equally right.\I see.\Starting tomorrow, I'll make dinner every night.\Every night?! response:	What do you want to eat?
context: Do you think I'm wrong?\Yeah, you're wrong.\I see.\But you're also equally right.\I see.\Starting tomorrow, I'll make dinner every night.\Every night?!\What do you want to eat? response:	Just get out of my house!
context: Yeah, you're wrong.\I see.\But you're also equally right.\I see.\Starting tomorrow, I'll make dinner every night.\Every night?!\What do you want to eat?\Just get out of my house! response:	I'm stuffed!
context: I see.\But you're also equally right.\I see.\Starting tomorrow, I'll make dinner every night.\Every night?!\What do you want to eat?\Just get out of my house!\I'm stuffed! response:	Motsunabe, chanpon, mentaiko...
context: But you're also equally right.\I see.\Starting tomorrow, I'll make dinner every night.\Every night?!\What do you want to eat?\Just get out of my house!\I'm stuffed!\Motsunabe, chanpon, mentaiko... response:	That's a real Hakata dinner right there.
context: I see.\Starting tomorrow, I'll make dinner every night.\Every night?!\What do you want to eat?\Just get out of my house!\I'm stuffed!\Motsunabe, chanpon, mentaiko...\That's a real Hakata dinner right there. response:	Thank you, Nanami-chan.
context: Starting tomorrow, I'll make dinner every night.\Every night?!\What do you want to eat?\Just get out of my house!\I'm stuffed!\Motsunabe, chanpon, mentaiko...\That's a real Hakata dinner right there.\Thank you, Nanami-chan. response:	It's like Sorata found himself a bride.
context: Every night?!\What do you want to eat?\Just get out of my house!\I'm stuffed!\Motsunabe, chanpon, mentaiko...\That's a real Hakata dinner right there.\Thank you, Nanami-chan.\It's like Sorata found himself a bride. response:	What?!
context: What do you want to eat?\Just get out of my house!\I'm stuffed!\Motsunabe, chanpon, mentaiko...\That's a real Hakata dinner right there.\Thank you, Nanami-chan.\It's like Sorata found himself a bride.\What?! response:	Y-You think I could be Kanda-kun's bride?
context: Just get out of my house!\I'm stuffed!\Motsunabe, chanpon, mentaiko...\That's a real Hakata dinner right there.\Thank you, Nanami-chan.\It's like Sorata found himself a bride.\What?!\Y-You think I could be Kanda-kun's bride? response:	What are you doing, Onii-chan? Hey!
context: I'm stuffed!\Motsunabe, chanpon, mentaiko...\That's a real Hakata dinner right there.\Thank you, Nanami-chan.\It's like Sorata found himself a bride.\What?!\Y-You think I could be Kanda-kun's bride?\What are you doing, Onii-chan? Hey! response:	Sorata, do you want a wife?
context: Motsunabe, chanpon, mentaiko...\That's a real Hakata dinner right there.\Thank you, Nanami-chan.\It's like Sorata found himself a bride.\What?!\Y-You think I could be Kanda-kun's bride?\What are you doing, Onii-chan? Hey!\Sorata, do you want a wife? response:	You'll have to defeat me before you can marry my brother!
context: That's a real Hakata dinner right there.\Thank you, Nanami-chan.\It's like Sorata found himself a bride.\What?!\Y-You think I could be Kanda-kun's bride?\What are you doing, Onii-chan? Hey!\Sorata, do you want a wife?\You'll have to defeat me before you can marry my brother! response:	Get off me.
context: Thank you, Nanami-chan.\It's like Sorata found himself a bride.\What?!\Y-You think I could be Kanda-kun's bride?\What are you doing, Onii-chan? Hey!\Sorata, do you want a wife?\You'll have to defeat me before you can marry my brother!\Get off me. response:	Sorata, you're too close.
context: It's like Sorata found himself a bride.\What?!\Y-You think I could be Kanda-kun's bride?\What are you doing, Onii-chan? Hey!\Sorata, do you want a wife?\You'll have to defeat me before you can marry my brother!\Get off me.\Sorata, you're too close. response:	I can't defeat Yuko like that.
context: What?!\Y-You think I could be Kanda-kun's bride?\What are you doing, Onii-chan? Hey!\Sorata, do you want a wife?\You'll have to defeat me before you can marry my brother!\Get off me.\Sorata, you're too close.\I can't defeat Yuko like that. response:	Don't accept her challenge!
context: Y-You think I could be Kanda-kun's bride?\What are you doing, Onii-chan? Hey!\Sorata, do you want a wife?\You'll have to defeat me before you can marry my brother!\Get off me.\Sorata, you're too close.\I can't defeat Yuko like that.\Don't accept her challenge! response:	She's serious?!
context: What are you doing, Onii-chan? Hey!\Sorata, do you want a wife?\You'll have to defeat me before you can marry my brother!\Get off me.\Sorata, you're too close.\I can't defeat Yuko like that.\Don't accept her challenge!\She's serious?! response:	In that case, I have to get into Suimei...
context: Sorata, do you want a wife?\You'll have to defeat me before you can marry my brother!\Get off me.\Sorata, you're too close.\I can't defeat Yuko like that.\Don't accept her challenge!\She's serious?!\In that case, I have to get into Suimei... response:	and face Mashiro-san in an all-out battle!
context: You'll have to defeat me before you can marry my brother!\Get off me.\Sorata, you're too close.\I can't defeat Yuko like that.\Don't accept her challenge!\She's serious?!\In that case, I have to get into Suimei...\and face Mashiro-san in an all-out battle! response:	I will have to use my Plan C on Yuko.
context: Get off me.\Sorata, you're too close.\I can't defeat Yuko like that.\Don't accept her challenge!\She's serious?!\In that case, I have to get into Suimei...\and face Mashiro-san in an all-out battle!\I will have to use my Plan C on Yuko. response:	No annihilating!
context: Sorata, you're too close.\I can't defeat Yuko like that.\Don't accept her challenge!\She's serious?!\In that case, I have to get into Suimei...\and face Mashiro-san in an all-out battle!\I will have to use my Plan C on Yuko.\No annihilating! response:	But, Yuko, your father is opposed to you taking the Suimei entrance exam.
context: I can't defeat Yuko like that.\Don't accept her challenge!\She's serious?!\In that case, I have to get into Suimei...\and face Mashiro-san in an all-out battle!\I will have to use my Plan C on Yuko.\No annihilating!\But, Yuko, your father is opposed to you taking the Suimei entrance exam. response:	I know! That's why I need Onii-chan to convince
context: Don't accept her challenge!\She's serious?!\In that case, I have to get into Suimei...\and face Mashiro-san in an all-out battle!\I will have to use my Plan C on Yuko.\No annihilating!\But, Yuko, your father is opposed to you taking the Suimei entrance exam.\I know! That's why I need Onii-chan to convince response:	No.
context: She's serious?!\In that case, I have to get into Suimei...\and face Mashiro-san in an all-out battle!\I will have to use my Plan C on Yuko.\No annihilating!\But, Yuko, your father is opposed to you taking the Suimei entrance exam.\I know! That's why I need Onii-chan to convince\No. response:	Instant rejection?!
context: In that case, I have to get into Suimei...\and face Mashiro-san in an all-out battle!\I will have to use my Plan C on Yuko.\No annihilating!\But, Yuko, your father is opposed to you taking the Suimei entrance exam.\I know! That's why I need Onii-chan to convince\No.\Instant rejection?! response:	Convince him yourself.
context: and face Mashiro-san in an all-out battle!\I will have to use my Plan C on Yuko.\No annihilating!\But, Yuko, your father is opposed to you taking the Suimei entrance exam.\I know! That's why I need Onii-chan to convince\No.\Instant rejection?!\Convince him yourself. response:	I'm busy during the break preparing for my presentation.
context: I will have to use my Plan C on Yuko.\No annihilating!\But, Yuko, your father is opposed to you taking the Suimei entrance exam.\I know! That's why I need Onii-chan to convince\No.\Instant rejection?!\Convince him yourself.\I'm busy during the break preparing for my presentation. response:	Presentation? What's that? Does it taste good?
context: No annihilating!\But, Yuko, your father is opposed to you taking the Suimei entrance exam.\I know! That's why I need Onii-chan to convince\No.\Instant rejection?!\Convince him yourself.\I'm busy during the break preparing for my presentation.\Presentation? What's that? Does it taste good? response:	Delicious!
context: But, Yuko, your father is opposed to you taking the Suimei entrance exam.\I know! That's why I need Onii-chan to convince\No.\Instant rejection?!\Convince him yourself.\I'm busy during the break preparing for my presentation.\Presentation? What's that? Does it taste good?\Delicious! response:	I'll never let you take the Suimei entrance exam.
context: I know! That's why I need Onii-chan to convince\No.\Instant rejection?!\Convince him yourself.\I'm busy during the break preparing for my presentation.\Presentation? What's that? Does it taste good?\Delicious!\I'll never let you take the Suimei entrance exam. response:	I absolutely will not allow it!
context: No.\Instant rejection?!\Convince him yourself.\I'm busy during the break preparing for my presentation.\Presentation? What's that? Does it taste good?\Delicious!\I'll never let you take the Suimei entrance exam.\I absolutely will not allow it! response:	That's final.
context: Instant rejection?!\Convince him yourself.\I'm busy during the break preparing for my presentation.\Presentation? What's that? Does it taste good?\Delicious!\I'll never let you take the Suimei entrance exam.\I absolutely will not allow it!\That's final. response:	Oh dear.
context: Convince him yourself.\I'm busy during the break preparing for my presentation.\Presentation? What's that? Does it taste good?\Delicious!\I'll never let you take the Suimei entrance exam.\I absolutely will not allow it!\That's final.\Oh dear. response:	Hey, Yuko-chan.
context: I'm busy during the break preparing for my presentation.\Presentation? What's that? Does it taste good?\Delicious!\I'll never let you take the Suimei entrance exam.\I absolutely will not allow it!\That's final.\Oh dear.\Hey, Yuko-chan. response:	Do you want to start studying together tomorrow?
context: Presentation? What's that? Does it taste good?\Delicious!\I'll never let you take the Suimei entrance exam.\I absolutely will not allow it!\That's final.\Oh dear.\Hey, Yuko-chan.\Do you want to start studying together tomorrow? response:	Huh?
context: Delicious!\I'll never let you take the Suimei entrance exam.\I absolutely will not allow it!\That's final.\Oh dear.\Hey, Yuko-chan.\Do you want to start studying together tomorrow?\Huh? response:	If your father sees you studying hard, he might change his mind.
context: I'll never let you take the Suimei entrance exam.\I absolutely will not allow it!\That's final.\Oh dear.\Hey, Yuko-chan.\Do you want to start studying together tomorrow?\Huh?\If your father sees you studying hard, he might change his mind. response:	Aoyama...
context: I absolutely will not allow it!\That's final.\Oh dear.\Hey, Yuko-chan.\Do you want to start studying together tomorrow?\Huh?\If your father sees you studying hard, he might change his mind.\Aoyama... response:	What am I going to do, Onii-chan?!
context: That's final.\Oh dear.\Hey, Yuko-chan.\Do you want to start studying together tomorrow?\Huh?\If your father sees you studying hard, he might change his mind.\Aoyama...\What am I going to do, Onii-chan?! response:	Nanami-san's such a good person!
context: Oh dear.\Hey, Yuko-chan.\Do you want to start studying together tomorrow?\Huh?\If your father sees you studying hard, he might change his mind.\Aoyama...\What am I going to do, Onii-chan?!\Nanami-san's such a good person! response:	She's totally the one I need to keep my eye on!
context: Hey, Yuko-chan.\Do you want to start studying together tomorrow?\Huh?\If your father sees you studying hard, he might change his mind.\Aoyama...\What am I going to do, Onii-chan?!\Nanami-san's such a good person!\She's totally the one I need to keep my eye on! response:	What are you talking about?
context: Do you want to start studying together tomorrow?\Huh?\If your father sees you studying hard, he might change his mind.\Aoyama...\What am I going to do, Onii-chan?!\Nanami-san's such a good person!\She's totally the one I need to keep my eye on!\What are you talking about? response:	Jin! Did you finish writing the script?
context: Huh?\If your father sees you studying hard, he might change his mind.\Aoyama...\What am I going to do, Onii-chan?!\Nanami-san's such a good person!\She's totally the one I need to keep my eye on!\What are you talking about?\Jin! Did you finish writing the script? response:	Yeah, here.
context: If your father sees you studying hard, he might change his mind.\Aoyama...\What am I going to do, Onii-chan?!\Nanami-san's such a good person!\She's totally the one I need to keep my eye on!\What are you talking about?\Jin! Did you finish writing the script?\Yeah, here. response:	Yeah! Thanks, Jin!
context: Aoyama...\What am I going to do, Onii-chan?!\Nanami-san's such a good person!\She's totally the one I need to keep my eye on!\What are you talking about?\Jin! Did you finish writing the script?\Yeah, here.\Yeah! Thanks, Jin! response:	Okay, I'll start working on some layouts!
context: What am I going to do, Onii-chan?!\Nanami-san's such a good person!\She's totally the one I need to keep my eye on!\What are you talking about?\Jin! Did you finish writing the script?\Yeah, here.\Yeah! Thanks, Jin!\Okay, I'll start working on some layouts! response:	Sure.
context: Nanami-san's such a good person!\She's totally the one I need to keep my eye on!\What are you talking about?\Jin! Did you finish writing the script?\Yeah, here.\Yeah! Thanks, Jin!\Okay, I'll start working on some layouts!\Sure. response:	Misaki?
context: She's totally the one I need to keep my eye on!\What are you talking about?\Jin! Did you finish writing the script?\Yeah, here.\Yeah! Thanks, Jin!\Okay, I'll start working on some layouts!\Sure.\Misaki? response:	In other words, I shouldn't just focus on giving the presentation,
context: What are you talking about?\Jin! Did you finish writing the script?\Yeah, here.\Yeah! Thanks, Jin!\Okay, I'll start working on some layouts!\Sure.\Misaki?\In other words, I shouldn't just focus on giving the presentation, response:	but also put myself in the shoes of the listener...
context: Jin! Did you finish writing the script?\Yeah, here.\Yeah! Thanks, Jin!\Okay, I'll start working on some layouts!\Sure.\Misaki?\In other words, I shouldn't just focus on giving the presentation,\but also put myself in the shoes of the listener... response:	Presentation Techniques Lecture
context: Yeah, here.\Yeah! Thanks, Jin!\Okay, I'll start working on some layouts!\Sure.\Misaki?\In other words, I shouldn't just focus on giving the presentation,\but also put myself in the shoes of the listener...\Presentation Techniques Lecture response:	Grab the attention of your listener!
context: Yeah! Thanks, Jin!\Okay, I'll start working on some layouts!\Sure.\Misaki?\In other words, I shouldn't just focus on giving the presentation,\but also put myself in the shoes of the listener...\Presentation Techniques Lecture\Grab the attention of your listener! response:	That's right.
context: Okay, I'll start working on some layouts!\Sure.\Misaki?\In other words, I shouldn't just focus on giving the presentation,\but also put myself in the shoes of the listener...\Presentation Techniques Lecture\Grab the attention of your listener!\That's right. response:	I believe it's important to include information...
context: Sure.\Misaki?\In other words, I shouldn't just focus on giving the presentation,\but also put myself in the shoes of the listener...\Presentation Techniques Lecture\Grab the attention of your listener!\That's right.\I believe it's important to include information... response:	the screening committee will find interesting.
context: Misaki?\In other words, I shouldn't just focus on giving the presentation,\but also put myself in the shoes of the listener...\Presentation Techniques Lecture\Grab the attention of your listener!\That's right.\I believe it's important to include information...\the screening committee will find interesting. response:	I see. Maid-chan, thanks.
context: In other words, I shouldn't just focus on giving the presentation,\but also put myself in the shoes of the listener...\Presentation Techniques Lecture\Grab the attention of your listener!\That's right.\I believe it's important to include information...\the screening committee will find interesting.\I see. Maid-chan, thanks. response:	If you're truly grateful, why don't you take a quick trip to England...
context: but also put myself in the shoes of the listener...\Presentation Techniques Lecture\Grab the attention of your listener!\That's right.\I believe it's important to include information...\the screening committee will find interesting.\I see. Maid-chan, thanks.\If you're truly grateful, why don't you take a quick trip to England... response:	and take care of someone for me?
context: Presentation Techniques Lecture\Grab the attention of your listener!\That's right.\I believe it's important to include information...\the screening committee will find interesting.\I see. Maid-chan, thanks.\If you're truly grateful, why don't you take a quick trip to England...\and take care of someone for me? response:	Sorry. I don't do those kinds of jobs.
context: Grab the attention of your listener!\That's right.\I believe it's important to include information...\the screening committee will find interesting.\I see. Maid-chan, thanks.\If you're truly grateful, why don't you take a quick trip to England...\and take care of someone for me?\Sorry. I don't do those kinds of jobs. response:	I look forward to hearing the results.
context: That's right.\I believe it's important to include information...\the screening committee will find interesting.\I see. Maid-chan, thanks.\If you're truly grateful, why don't you take a quick trip to England...\and take care of someone for me?\Sorry. I don't do those kinds of jobs.\I look forward to hearing the results. response:	You mean the results of the presentation, right?!
context: I believe it's important to include information...\the screening committee will find interesting.\I see. Maid-chan, thanks.\If you're truly grateful, why don't you take a quick trip to England...\and take care of someone for me?\Sorry. I don't do those kinds of jobs.\I look forward to hearing the results.\You mean the results of the presentation, right?! response:	Genre: Rhythm Action Game
context: the screening committee will find interesting.\I see. Maid-chan, thanks.\If you're truly grateful, why don't you take a quick trip to England...\and take care of someone for me?\Sorry. I don't do those kinds of jobs.\I look forward to hearing the results.\You mean the results of the presentation, right?!\Genre: Rhythm Action Game response:	Something interesting, huh?
context: I see. Maid-chan, thanks.\If you're truly grateful, why don't you take a quick trip to England...\and take care of someone for me?\Sorry. I don't do those kinds of jobs.\I look forward to hearing the results.\You mean the results of the presentation, right?!\Genre: Rhythm Action Game\Something interesting, huh? response:	Now I just have to figure out what that is...
context: If you're truly grateful, why don't you take a quick trip to England...\and take care of someone for me?\Sorry. I don't do those kinds of jobs.\I look forward to hearing the results.\You mean the results of the presentation, right?!\Genre: Rhythm Action Game\Something interesting, huh?\Now I just have to figure out what that is... response:	Game Pitch Contents Fun Target Concept Benefits
context: and take care of someone for me?\Sorry. I don't do those kinds of jobs.\I look forward to hearing the results.\You mean the results of the presentation, right?!\Genre: Rhythm Action Game\Something interesting, huh?\Now I just have to figure out what that is...\Game Pitch Contents Fun Target Concept Benefits response:	Something the listener will find interesting? How to play System Controls Appeal of the product?
context: Sorry. I don't do those kinds of jobs.\I look forward to hearing the results.\You mean the results of the presentation, right?!\Genre: Rhythm Action Game\Something interesting, huh?\Now I just have to figure out what that is...\Game Pitch Contents Fun Target Concept Benefits\Something the listener will find interesting? How to play System Controls Appeal of the product? response:	I've written all the necessary points in my pitch document.
context: I look forward to hearing the results.\You mean the results of the presentation, right?!\Genre: Rhythm Action Game\Something interesting, huh?\Now I just have to figure out what that is...\Game Pitch Contents Fun Target Concept Benefits\Something the listener will find interesting? How to play System Controls Appeal of the product?\I've written all the necessary points in my pitch document. response:	What else would the screening committee want to hear about?
context: You mean the results of the presentation, right?!\Genre: Rhythm Action Game\Something interesting, huh?\Now I just have to figure out what that is...\Game Pitch Contents Fun Target Concept Benefits\Something the listener will find interesting? How to play System Controls Appeal of the product?\I've written all the necessary points in my pitch document.\What else would the screening committee want to hear about? response:	Onii-chan, help me study!
context: Genre: Rhythm Action Game\Something interesting, huh?\Now I just have to figure out what that is...\Game Pitch Contents Fun Target Concept Benefits\Something the listener will find interesting? How to play System Controls Appeal of the product?\I've written all the necessary points in my pitch document.\What else would the screening committee want to hear about?\Onii-chan, help me study! response:	Huh? Where's Aoyama?
context: Something interesting, huh?\Now I just have to figure out what that is...\Game Pitch Contents Fun Target Concept Benefits\Something the listener will find interesting? How to play System Controls Appeal of the product?\I've written all the necessary points in my pitch document.\What else would the screening committee want to hear about?\Onii-chan, help me study!\Huh? Where's Aoyama? response:	She went shopping with Mom.
context: Now I just have to figure out what that is...\Game Pitch Contents Fun Target Concept Benefits\Something the listener will find interesting? How to play System Controls Appeal of the product?\I've written all the necessary points in my pitch document.\What else would the screening committee want to hear about?\Onii-chan, help me study!\Huh? Where's Aoyama?\She went shopping with Mom. response:	So, while she's gone, teach me.
context: Game Pitch Contents Fun Target Concept Benefits\Something the listener will find interesting? How to play System Controls Appeal of the product?\I've written all the necessary points in my pitch document.\What else would the screening committee want to hear about?\Onii-chan, help me study!\Huh? Where's Aoyama?\She went shopping with Mom.\So, while she's gone, teach me. response:	That's a lot of books...
context: Something the listener will find interesting? How to play System Controls Appeal of the product?\I've written all the necessary points in my pitch document.\What else would the screening committee want to hear about?\Onii-chan, help me study!\Huh? Where's Aoyama?\She went shopping with Mom.\So, while she's gone, teach me.\That's a lot of books... response:	This magazine...
context: I've written all the necessary points in my pitch document.\What else would the screening committee want to hear about?\Onii-chan, help me study!\Huh? Where's Aoyama?\She went shopping with Mom.\So, while she's gone, teach me.\That's a lot of books...\This magazine... response:	I was thinking about reading it over my break.
context: What else would the screening committee want to hear about?\Onii-chan, help me study!\Huh? Where's Aoyama?\She went shopping with Mom.\So, while she's gone, teach me.\That's a lot of books...\This magazine...\I was thinking about reading it over my break. response:	You came here planning to take a break?
context: Onii-chan, help me study!\Huh? Where's Aoyama?\She went shopping with Mom.\So, while she's gone, teach me.\That's a lot of books...\This magazine...\I was thinking about reading it over my break.\You came here planning to take a break? response:	This is my oasis.
context: Huh? Where's Aoyama?\She went shopping with Mom.\So, while she's gone, teach me.\That's a lot of books...\This magazine...\I was thinking about reading it over my break.\You came here planning to take a break?\This is my oasis. response:	A manga I like is serialized in here.
context: She went shopping with Mom.\So, while she's gone, teach me.\That's a lot of books...\This magazine...\I was thinking about reading it over my break.\You came here planning to take a break?\This is my oasis.\A manga I like is serialized in here. response:	It's written by someone called Shiina Mashiro-sensei.
context: So, while she's gone, teach me.\That's a lot of books...\This magazine...\I was thinking about reading it over my break.\You came here planning to take a break?\This is my oasis.\A manga I like is serialized in here.\It's written by someone called Shiina Mashiro-sensei. response:	The art's really beautiful.
context: That's a lot of books...\This magazine...\I was thinking about reading it over my break.\You came here planning to take a break?\This is my oasis.\A manga I like is serialized in here.\It's written by someone called Shiina Mashiro-sensei.\The art's really beautiful. response:	Oh, but there are some weird characters.
context: This magazine...\I was thinking about reading it over my break.\You came here planning to take a break?\This is my oasis.\A manga I like is serialized in here.\It's written by someone called Shiina Mashiro-sensei.\The art's really beautiful.\Oh, but there are some weird characters. response:	These two.
context: I was thinking about reading it over my break.\You came here planning to take a break?\This is my oasis.\A manga I like is serialized in here.\It's written by someone called Shiina Mashiro-sensei.\The art's really beautiful.\Oh, but there are some weird characters.\These two. response:	Those are based on Jin-san and Misaki-senpai...
context: You came here planning to take a break?\This is my oasis.\A manga I like is serialized in here.\It's written by someone called Shiina Mashiro-sensei.\The art's really beautiful.\Oh, but there are some weird characters.\These two.\Those are based on Jin-san and Misaki-senpai... response:	Their expressions of emotion leave something to be desired.
context: This is my oasis.\A manga I like is serialized in here.\It's written by someone called Shiina Mashiro-sensei.\The art's really beautiful.\Oh, but there are some weird characters.\These two.\Those are based on Jin-san and Misaki-senpai...\Their expressions of emotion leave something to be desired. response:	They won't get together, but they won't break up either.
context: A manga I like is serialized in here.\It's written by someone called Shiina Mashiro-sensei.\The art's really beautiful.\Oh, but there are some weird characters.\These two.\Those are based on Jin-san and Misaki-senpai...\Their expressions of emotion leave something to be desired.\They won't get together, but they won't break up either. response:	Who knows what they really want? No, no!
context: It's written by someone called Shiina Mashiro-sensei.\The art's really beautiful.\Oh, but there are some weird characters.\These two.\Those are based on Jin-san and Misaki-senpai...\Their expressions of emotion leave something to be desired.\They won't get together, but they won't break up either.\Who knows what they really want? No, no! response:	Honestly, I don't understand it.
context: The art's really beautiful.\Oh, but there are some weird characters.\These two.\Those are based on Jin-san and Misaki-senpai...\Their expressions of emotion leave something to be desired.\They won't get together, but they won't break up either.\Who knows what they really want? No, no!\Honestly, I don't understand it. response:	Don't understand...
context: Oh, but there are some weird characters.\These two.\Those are based on Jin-san and Misaki-senpai...\Their expressions of emotion leave something to be desired.\They won't get together, but they won't break up either.\Who knows what they really want? No, no!\Honestly, I don't understand it.\Don't understand... response:	Now that I think of it, Mashiro-san, you've got the same name.
context: These two.\Those are based on Jin-san and Misaki-senpai...\Their expressions of emotion leave something to be desired.\They won't get together, but they won't break up either.\Who knows what they really want? No, no!\Honestly, I don't understand it.\Don't understand...\Now that I think of it, Mashiro-san, you've got the same name. response:	You're her?!
context: Those are based on Jin-san and Misaki-senpai...\Their expressions of emotion leave something to be desired.\They won't get together, but they won't break up either.\Who knows what they really want? No, no!\Honestly, I don't understand it.\Don't understand...\Now that I think of it, Mashiro-san, you've got the same name.\You're her?! response:	Yeah.
context: Their expressions of emotion leave something to be desired.\They won't get together, but they won't break up either.\Who knows what they really want? No, no!\Honestly, I don't understand it.\Don't understand...\Now that I think of it, Mashiro-san, you've got the same name.\You're her?!\Yeah. response:	That's amazing!
context: They won't get together, but they won't break up either.\Who knows what they really want? No, no!\Honestly, I don't understand it.\Don't understand...\Now that I think of it, Mashiro-san, you've got the same name.\You're her?!\Yeah.\That's amazing! response:	I'm a huge fan! Can I have your autograph?
context: Who knows what they really want? No, no!\Honestly, I don't understand it.\Don't understand...\Now that I think of it, Mashiro-san, you've got the same name.\You're her?!\Yeah.\That's amazing!\I'm a huge fan! Can I have your autograph? response:	That was a major change of heart.
context: Honestly, I don't understand it.\Don't understand...\Now that I think of it, Mashiro-san, you've got the same name.\You're her?!\Yeah.\That's amazing!\I'm a huge fan! Can I have your autograph?\That was a major change of heart. response:	Yuko-chan, there you are!
context: Don't understand...\Now that I think of it, Mashiro-san, you've got the same name.\You're her?!\Yeah.\That's amazing!\I'm a huge fan! Can I have your autograph?\That was a major change of heart.\Yuko-chan, there you are! response:	Sorry for making you wait. Let's work hard together!
context: Now that I think of it, Mashiro-san, you've got the same name.\You're her?!\Yeah.\That's amazing!\I'm a huge fan! Can I have your autograph?\That was a major change of heart.\Yuko-chan, there you are!\Sorry for making you wait. Let's work hard together! response:	Mashiro-sensei, I'm cheering for you.
context: You're her?!\Yeah.\That's amazing!\I'm a huge fan! Can I have your autograph?\That was a major change of heart.\Yuko-chan, there you are!\Sorry for making you wait. Let's work hard together!\Mashiro-sensei, I'm cheering for you. response:	I look forward to next month's volume.
context: Yeah.\That's amazing!\I'm a huge fan! Can I have your autograph?\That was a major change of heart.\Yuko-chan, there you are!\Sorry for making you wait. Let's work hard together!\Mashiro-sensei, I'm cheering for you.\I look forward to next month's volume. response:	By the way, are you going to meet your deadline?
context: That's amazing!\I'm a huge fan! Can I have your autograph?\That was a major change of heart.\Yuko-chan, there you are!\Sorry for making you wait. Let's work hard together!\Mashiro-sensei, I'm cheering for you.\I look forward to next month's volume.\By the way, are you going to meet your deadline? response:	You won't be able to use a computer over the break...
context: I'm a huge fan! Can I have your autograph?\That was a major change of heart.\Yuko-chan, there you are!\Sorry for making you wait. Let's work hard together!\Mashiro-sensei, I'm cheering for you.\I look forward to next month's volume.\By the way, are you going to meet your deadline?\You won't be able to use a computer over the break... response:	I already did it.
context: That was a major change of heart.\Yuko-chan, there you are!\Sorry for making you wait. Let's work hard together!\Mashiro-sensei, I'm cheering for you.\I look forward to next month's volume.\By the way, are you going to meet your deadline?\You won't be able to use a computer over the break...\I already did it. response:	What?
context: Yuko-chan, there you are!\Sorry for making you wait. Let's work hard together!\Mashiro-sensei, I'm cheering for you.\I look forward to next month's volume.\By the way, are you going to meet your deadline?\You won't be able to use a computer over the break...\I already did it.\What? response:	I gave it to Ayano.
context: Sorry for making you wait. Let's work hard together!\Mashiro-sensei, I'm cheering for you.\I look forward to next month's volume.\By the way, are you going to meet your deadline?\You won't be able to use a computer over the break...\I already did it.\What?\I gave it to Ayano. response:	I injured my finger.
context: Mashiro-sensei, I'm cheering for you.\I look forward to next month's volume.\By the way, are you going to meet your deadline?\You won't be able to use a computer over the break...\I already did it.\What?\I gave it to Ayano.\I injured my finger. response:	I did it after it healed.
