context: The black pearl in the right eye... response:	Imagine, the gateway to the tomb was hidden in Inuyasha's right eye.
context: Listen to you, prattling on!\What's happening?!\He's so mean and evil!\We'll see if a half-demon can wield the Tetsusaiga!\I will bear witness!\He transformed!\And just because he coveted this Tetsusaiga...\Does this sword really have such awesome powers? response:	Kagome! Hide nearby.
context: What's happening?!\He's so mean and evil!\We'll see if a half-demon can wield the Tetsusaiga!\I will bear witness!\He transformed!\And just because he coveted this Tetsusaiga...\Does this sword really have such awesome powers?\Kagome! Hide nearby. response:	Nearby? Where?
context: He's so mean and evil!\We'll see if a half-demon can wield the Tetsusaiga!\I will bear witness!\He transformed!\And just because he coveted this Tetsusaiga...\Does this sword really have such awesome powers?\Kagome! Hide nearby.\Nearby? Where? response:	Okay! Now show me, Tetsusaiga, your power!
context: We'll see if a half-demon can wield the Tetsusaiga!\I will bear witness!\He transformed!\And just because he coveted this Tetsusaiga...\Does this sword really have such awesome powers?\Kagome! Hide nearby.\Nearby? Where?\Okay! Now show me, Tetsusaiga, your power! response:	He pushed me back!
context: I will bear witness!\He transformed!\And just because he coveted this Tetsusaiga...\Does this sword really have such awesome powers?\Kagome! Hide nearby.\Nearby? Where?\Okay! Now show me, Tetsusaiga, your power!\He pushed me back! response:	Hey, Myoga! What's going on?!
context: He transformed!\And just because he coveted this Tetsusaiga...\Does this sword really have such awesome powers?\Kagome! Hide nearby.\Nearby? Where?\Okay! Now show me, Tetsusaiga, your power!\He pushed me back!\Hey, Myoga! What's going on?! response:	This sword can't cut! It didn't even leave a lump!
context: And just because he coveted this Tetsusaiga...\Does this sword really have such awesome powers?\Kagome! Hide nearby.\Nearby? Where?\Okay! Now show me, Tetsusaiga, your power!\He pushed me back!\Hey, Myoga! What's going on?!\This sword can't cut! It didn't even leave a lump! response:	Err... well, Master Inuyasha...
context: Does this sword really have such awesome powers?\Kagome! Hide nearby.\Nearby? Where?\Okay! Now show me, Tetsusaiga, your power!\He pushed me back!\Hey, Myoga! What's going on?!\This sword can't cut! It didn't even leave a lump!\Err... well, Master Inuyasha... response:	That sword is your father's heirloom.
context: Kagome! Hide nearby.\Nearby? Where?\Okay! Now show me, Tetsusaiga, your power!\He pushed me back!\Hey, Myoga! What's going on?!\This sword can't cut! It didn't even leave a lump!\Err... well, Master Inuyasha...\That sword is your father's heirloom. response:	You must believe in its power.
context: Nearby? Where?\Okay! Now show me, Tetsusaiga, your power!\He pushed me back!\Hey, Myoga! What's going on?!\This sword can't cut! It didn't even leave a lump!\Err... well, Master Inuyasha...\That sword is your father's heirloom.\You must believe in its power. response:	And by no means must you release it!
context: Okay! Now show me, Tetsusaiga, your power!\He pushed me back!\Hey, Myoga! What's going on?!\This sword can't cut! It didn't even leave a lump!\Err... well, Master Inuyasha...\That sword is your father's heirloom.\You must believe in its power.\And by no means must you release it! response:	Now then, excuse me!
context: He pushed me back!\Hey, Myoga! What's going on?!\This sword can't cut! It didn't even leave a lump!\Err... well, Master Inuyasha...\That sword is your father's heirloom.\You must believe in its power.\And by no means must you release it!\Now then, excuse me! response:	Wh-why you!
context: Hey, Myoga! What's going on?!\This sword can't cut! It didn't even leave a lump!\Err... well, Master Inuyasha...\That sword is your father's heirloom.\You must believe in its power.\And by no means must you release it!\Now then, excuse me!\Wh-why you! response:	Turn Lord Sesshomaru into fodder!
context: This sword can't cut! It didn't even leave a lump!\Err... well, Master Inuyasha...\That sword is your father's heirloom.\You must believe in its power.\And by no means must you release it!\Now then, excuse me!\Wh-why you!\Turn Lord Sesshomaru into fodder! response:	Why!
context: Err... well, Master Inuyasha...\That sword is your father's heirloom.\You must believe in its power.\And by no means must you release it!\Now then, excuse me!\Wh-why you!\Turn Lord Sesshomaru into fodder!\Why! response:	Kagome! A miasma! Don't breathe it in!
context: That sword is your father's heirloom.\You must believe in its power.\And by no means must you release it!\Now then, excuse me!\Wh-why you!\Turn Lord Sesshomaru into fodder!\Why!\Kagome! A miasma! Don't breathe it in! response:	Don't breathe it in?!
context: You must believe in its power.\And by no means must you release it!\Now then, excuse me!\Wh-why you!\Turn Lord Sesshomaru into fodder!\Why!\Kagome! A miasma! Don't breathe it in!\Don't breathe it in?! response:	Inuyasha!
context: And by no means must you release it!\Now then, excuse me!\Wh-why you!\Turn Lord Sesshomaru into fodder!\Why!\Kagome! A miasma! Don't breathe it in!\Don't breathe it in?!\Inuyasha! response:	Never mind, just escape!
context: Now then, excuse me!\Wh-why you!\Turn Lord Sesshomaru into fodder!\Why!\Kagome! A miasma! Don't breathe it in!\Don't breathe it in?!\Inuyasha!\Never mind, just escape! response:	Those toxic fumes can kill any demon in an instant!
context: Wh-why you!\Turn Lord Sesshomaru into fodder!\Why!\Kagome! A miasma! Don't breathe it in!\Don't breathe it in?!\Inuyasha!\Never mind, just escape!\Those toxic fumes can kill any demon in an instant! response:	Lord Sesshomaru!
context: Turn Lord Sesshomaru into fodder!\Why!\Kagome! A miasma! Don't breathe it in!\Don't breathe it in?!\Inuyasha!\Never mind, just escape!\Those toxic fumes can kill any demon in an instant!\Lord Sesshomaru! response:	There!
context: Why!\Kagome! A miasma! Don't breathe it in!\Don't breathe it in?!\Inuyasha!\Never mind, just escape!\Those toxic fumes can kill any demon in an instant!\Lord Sesshomaru!\There! response:	What about Inuyasha?!
context: Kagome! A miasma! Don't breathe it in!\Don't breathe it in?!\Inuyasha!\Never mind, just escape!\Those toxic fumes can kill any demon in an instant!\Lord Sesshomaru!\There!\What about Inuyasha?! response:	Hey! Will Inuyasha be okay?
context: Don't breathe it in?!\Inuyasha!\Never mind, just escape!\Those toxic fumes can kill any demon in an instant!\Lord Sesshomaru!\There!\What about Inuyasha?!\Hey! Will Inuyasha be okay? response:	Huh?
context: Inuyasha!\Never mind, just escape!\Those toxic fumes can kill any demon in an instant!\Lord Sesshomaru!\There!\What about Inuyasha?!\Hey! Will Inuyasha be okay?\Huh? response:	I wonder?
context: Never mind, just escape!\Those toxic fumes can kill any demon in an instant!\Lord Sesshomaru!\There!\What about Inuyasha?!\Hey! Will Inuyasha be okay?\Huh?\I wonder? response:	Huh?!
context: Those toxic fumes can kill any demon in an instant!\Lord Sesshomaru!\There!\What about Inuyasha?!\Hey! Will Inuyasha be okay?\Huh?\I wonder?\Huh?! response:	Just leave things to Master Inuyasha for now!
context: Lord Sesshomaru!\There!\What about Inuyasha?!\Hey! Will Inuyasha be okay?\Huh?\I wonder?\Huh?!\Just leave things to Master Inuyasha for now! response:	We must concentrate on escaping!
context: There!\What about Inuyasha?!\Hey! Will Inuyasha be okay?\Huh?\I wonder?\Huh?!\Just leave things to Master Inuyasha for now!\We must concentrate on escaping! response:	Inuyasha!
context: What about Inuyasha?!\Hey! Will Inuyasha be okay?\Huh?\I wonder?\Huh?!\Just leave things to Master Inuyasha for now!\We must concentrate on escaping!\Inuyasha! response:	Strong poison...
context: Hey! Will Inuyasha be okay?\Huh?\I wonder?\Huh?!\Just leave things to Master Inuyasha for now!\We must concentrate on escaping!\Inuyasha!\Strong poison... response:	I can't linger here much longer.
context: Huh?\I wonder?\Huh?!\Just leave things to Master Inuyasha for now!\We must concentrate on escaping!\Inuyasha!\Strong poison...\I can't linger here much longer. response:	Damn! My arms and legs are becoming numb!
context: I wonder?\Huh?!\Just leave things to Master Inuyasha for now!\We must concentrate on escaping!\Inuyasha!\Strong poison...\I can't linger here much longer.\Damn! My arms and legs are becoming numb! response:	Even a useless sword like this...
context: Huh?!\Just leave things to Master Inuyasha for now!\We must concentrate on escaping!\Inuyasha!\Strong poison...\I can't linger here much longer.\Damn! My arms and legs are becoming numb!\Even a useless sword like this... response:	hasta be more irritating than a mosquito bite!
context: Just leave things to Master Inuyasha for now!\We must concentrate on escaping!\Inuyasha!\Strong poison...\I can't linger here much longer.\Damn! My arms and legs are becoming numb!\Even a useless sword like this...\hasta be more irritating than a mosquito bite! response:	Inuyasha!
context: We must concentrate on escaping!\Inuyasha!\Strong poison...\I can't linger here much longer.\Damn! My arms and legs are becoming numb!\Even a useless sword like this...\hasta be more irritating than a mosquito bite!\Inuyasha! response:	Master Inuyasha, now do you see the power of Tetsusaiga?
context: Inuyasha!\Strong poison...\I can't linger here much longer.\Damn! My arms and legs are becoming numb!\Even a useless sword like this...\hasta be more irritating than a mosquito bite!\Inuyasha!\Master Inuyasha, now do you see the power of Tetsusaiga? response:	Now for the finishing blow!
context: Strong poison...\I can't linger here much longer.\Damn! My arms and legs are becoming numb!\Even a useless sword like this...\hasta be more irritating than a mosquito bite!\Inuyasha!\Master Inuyasha, now do you see the power of Tetsusaiga?\Now for the finishing blow! response:	Fool!
context: I can't linger here much longer.\Damn! My arms and legs are becoming numb!\Even a useless sword like this...\hasta be more irritating than a mosquito bite!\Inuyasha!\Master Inuyasha, now do you see the power of Tetsusaiga?\Now for the finishing blow!\Fool! response:	This sword is as useless as a cane!
context: Damn! My arms and legs are becoming numb!\Even a useless sword like this...\hasta be more irritating than a mosquito bite!\Inuyasha!\Master Inuyasha, now do you see the power of Tetsusaiga?\Now for the finishing blow!\Fool!\This sword is as useless as a cane! response:	Are you saying this isn't the treasured sword of your father?
context: Even a useless sword like this...\hasta be more irritating than a mosquito bite!\Inuyasha!\Master Inuyasha, now do you see the power of Tetsusaiga?\Now for the finishing blow!\Fool!\This sword is as useless as a cane!\Are you saying this isn't the treasured sword of your father? response:	He escaped!
context: hasta be more irritating than a mosquito bite!\Inuyasha!\Master Inuyasha, now do you see the power of Tetsusaiga?\Now for the finishing blow!\Fool!\This sword is as useless as a cane!\Are you saying this isn't the treasured sword of your father?\He escaped! response:	Damn!
context: Inuyasha!\Master Inuyasha, now do you see the power of Tetsusaiga?\Now for the finishing blow!\Fool!\This sword is as useless as a cane!\Are you saying this isn't the treasured sword of your father?\He escaped!\Damn! response:	Does this junk do anything?!
context: Master Inuyasha, now do you see the power of Tetsusaiga?\Now for the finishing blow!\Fool!\This sword is as useless as a cane!\Are you saying this isn't the treasured sword of your father?\He escaped!\Damn!\Does this junk do anything?! response:	Damn!
context: Now for the finishing blow!\Fool!\This sword is as useless as a cane!\Are you saying this isn't the treasured sword of your father?\He escaped!\Damn!\Does this junk do anything?!\Damn! response:	Hang in there, Inuyasha!
context: Fool!\This sword is as useless as a cane!\Are you saying this isn't the treasured sword of your father?\He escaped!\Damn!\Does this junk do anything?!\Damn!\Hang in there, Inuyasha! response:	The first blow worked!
context: This sword is as useless as a cane!\Are you saying this isn't the treasured sword of your father?\He escaped!\Damn!\Does this junk do anything?!\Damn!\Hang in there, Inuyasha!\The first blow worked! response:	But that's YOUR sword!
context: Are you saying this isn't the treasured sword of your father?\He escaped!\Damn!\Does this junk do anything?!\Damn!\Hang in there, Inuyasha!\The first blow worked!\But that's YOUR sword! response:	I have faith in your power!
context: He escaped!\Damn!\Does this junk do anything?!\Damn!\Hang in there, Inuyasha!\The first blow worked!\But that's YOUR sword!\I have faith in your power! response:	How can you keep talking such rubbish?!
context: Damn!\Does this junk do anything?!\Damn!\Hang in there, Inuyasha!\The first blow worked!\But that's YOUR sword!\I have faith in your power!\How can you keep talking such rubbish?! response:	I'm hardy, so I'll survive.
context: Does this junk do anything?!\Damn!\Hang in there, Inuyasha!\The first blow worked!\But that's YOUR sword!\I have faith in your power!\How can you keep talking such rubbish?!\I'm hardy, so I'll survive. response:	But you may end up dead!
context: Damn!\Hang in there, Inuyasha!\The first blow worked!\But that's YOUR sword!\I have faith in your power!\How can you keep talking such rubbish?!\I'm hardy, so I'll survive.\But you may end up dead! response:	Is it really... hopeless?
context: Hang in there, Inuyasha!\The first blow worked!\But that's YOUR sword!\I have faith in your power!\How can you keep talking such rubbish?!\I'm hardy, so I'll survive.\But you may end up dead!\Is it really... hopeless? response:	Well...
context: The first blow worked!\But that's YOUR sword!\I have faith in your power!\How can you keep talking such rubbish?!\I'm hardy, so I'll survive.\But you may end up dead!\Is it really... hopeless?\Well... response:	Hey... Did I... Did I make you cry?
context: But that's YOUR sword!\I have faith in your power!\How can you keep talking such rubbish?!\I'm hardy, so I'll survive.\But you may end up dead!\Is it really... hopeless?\Well...\Hey... Did I... Did I make you cry? response:	Don't cry!
context: I have faith in your power!\How can you keep talking such rubbish?!\I'm hardy, so I'll survive.\But you may end up dead!\Is it really... hopeless?\Well...\Hey... Did I... Did I make you cry?\Don't cry! response:	You expect me to laugh?!
context: How can you keep talking such rubbish?!\I'm hardy, so I'll survive.\But you may end up dead!\Is it really... hopeless?\Well...\Hey... Did I... Did I make you cry?\Don't cry!\You expect me to laugh?! response:	Shut up!
context: I'm hardy, so I'll survive.\But you may end up dead!\Is it really... hopeless?\Well...\Hey... Did I... Did I make you cry?\Don't cry!\You expect me to laugh?!\Shut up! response:	I'm saying I'll protect you!
context: But you may end up dead!\Is it really... hopeless?\Well...\Hey... Did I... Did I make you cry?\Don't cry!\You expect me to laugh?!\Shut up!\I'm saying I'll protect you! response:	Cripes! Just stay there and watch.
context: Is it really... hopeless?\Well...\Hey... Did I... Did I make you cry?\Don't cry!\You expect me to laugh?!\Shut up!\I'm saying I'll protect you!\Cripes! Just stay there and watch. response:	I didn't hear wrong, did I?
context: Well...\Hey... Did I... Did I make you cry?\Don't cry!\You expect me to laugh?!\Shut up!\I'm saying I'll protect you!\Cripes! Just stay there and watch.\I didn't hear wrong, did I? response:	He said he'd protect me...
context: Hey... Did I... Did I make you cry?\Don't cry!\You expect me to laugh?!\Shut up!\I'm saying I'll protect you!\Cripes! Just stay there and watch.\I didn't hear wrong, did I?\He said he'd protect me... response:	Inuyasha is crude...
context: Don't cry!\You expect me to laugh?!\Shut up!\I'm saying I'll protect you!\Cripes! Just stay there and watch.\I didn't hear wrong, did I?\He said he'd protect me...\Inuyasha is crude... response:	but he's different from Sesshomaru.
context: You expect me to laugh?!\Shut up!\I'm saying I'll protect you!\Cripes! Just stay there and watch.\I didn't hear wrong, did I?\He said he'd protect me...\Inuyasha is crude...\but he's different from Sesshomaru. response:	There's something different.
context: Shut up!\I'm saying I'll protect you!\Cripes! Just stay there and watch.\I didn't hear wrong, did I?\He said he'd protect me...\Inuyasha is crude...\but he's different from Sesshomaru.\There's something different. response:	Damn! What the heck anyway?
context: I'm saying I'll protect you!\Cripes! Just stay there and watch.\I didn't hear wrong, did I?\He said he'd protect me...\Inuyasha is crude...\but he's different from Sesshomaru.\There's something different.\Damn! What the heck anyway? response:	Come, beast dog!
context: Cripes! Just stay there and watch.\I didn't hear wrong, did I?\He said he'd protect me...\Inuyasha is crude...\but he's different from Sesshomaru.\There's something different.\Damn! What the heck anyway?\Come, beast dog! response:	Tetsusaiga is pulsing!
context: I didn't hear wrong, did I?\He said he'd protect me...\Inuyasha is crude...\but he's different from Sesshomaru.\There's something different.\Damn! What the heck anyway?\Come, beast dog!\Tetsusaiga is pulsing! response:	I can hear it...
context: He said he'd protect me...\Inuyasha is crude...\but he's different from Sesshomaru.\There's something different.\Damn! What the heck anyway?\Come, beast dog!\Tetsusaiga is pulsing!\I can hear it... response:	Is this the lifebeat of Tetsusaiga?
context: Inuyasha is crude...\but he's different from Sesshomaru.\There's something different.\Damn! What the heck anyway?\Come, beast dog!\Tetsusaiga is pulsing!\I can hear it...\Is this the lifebeat of Tetsusaiga? response:	It's different... something's changed!
context: but he's different from Sesshomaru.\There's something different.\Damn! What the heck anyway?\Come, beast dog!\Tetsusaiga is pulsing!\I can hear it...\Is this the lifebeat of Tetsusaiga?\It's different... something's changed! response:	Lord Sesshomaru!
context: There's something different.\Damn! What the heck anyway?\Come, beast dog!\Tetsusaiga is pulsing!\I can hear it...\Is this the lifebeat of Tetsusaiga?\It's different... something's changed!\Lord Sesshomaru! response:	Get that half-demon Inuyasha and devour him, head first!
context: Damn! What the heck anyway?\Come, beast dog!\Tetsusaiga is pulsing!\I can hear it...\Is this the lifebeat of Tetsusaiga?\It's different... something's changed!\Lord Sesshomaru!\Get that half-demon Inuyasha and devour him, head first! response:	He hasn't lost yet!
context: Come, beast dog!\Tetsusaiga is pulsing!\I can hear it...\Is this the lifebeat of Tetsusaiga?\It's different... something's changed!\Lord Sesshomaru!\Get that half-demon Inuyasha and devour him, head first!\He hasn't lost yet! response:	Do your best, Inuyasha!
context: Tetsusaiga is pulsing!\I can hear it...\Is this the lifebeat of Tetsusaiga?\It's different... something's changed!\Lord Sesshomaru!\Get that half-demon Inuyasha and devour him, head first!\He hasn't lost yet!\Do your best, Inuyasha! response:	I can do it!
context: I can hear it...\Is this the lifebeat of Tetsusaiga?\It's different... something's changed!\Lord Sesshomaru!\Get that half-demon Inuyasha and devour him, head first!\He hasn't lost yet!\Do your best, Inuyasha!\I can do it! response:	This... fang!
context: Is this the lifebeat of Tetsusaiga?\It's different... something's changed!\Lord Sesshomaru!\Get that half-demon Inuyasha and devour him, head first!\He hasn't lost yet!\Do your best, Inuyasha!\I can do it!\This... fang! response:	A fang!
context: It's different... something's changed!\Lord Sesshomaru!\Get that half-demon Inuyasha and devour him, head first!\He hasn't lost yet!\Do your best, Inuyasha!\I can do it!\This... fang!\A fang! response:	What an heirloom the old man left me!
context: Lord Sesshomaru!\Get that half-demon Inuyasha and devour him, head first!\He hasn't lost yet!\Do your best, Inuyasha!\I can do it!\This... fang!\A fang!\What an heirloom the old man left me! response:	Hey, Sesshomaru, listen up!
context: Get that half-demon Inuyasha and devour him, head first!\He hasn't lost yet!\Do your best, Inuyasha!\I can do it!\This... fang!\A fang!\What an heirloom the old man left me!\Hey, Sesshomaru, listen up! response:	Here we are, two brothers, fighting for our father's treasure...
context: He hasn't lost yet!\Do your best, Inuyasha!\I can do it!\This... fang!\A fang!\What an heirloom the old man left me!\Hey, Sesshomaru, listen up!\Here we are, two brothers, fighting for our father's treasure... response:	compared to his magnificence, we're nothing!
context: Do your best, Inuyasha!\I can do it!\This... fang!\A fang!\What an heirloom the old man left me!\Hey, Sesshomaru, listen up!\Here we are, two brothers, fighting for our father's treasure...\compared to his magnificence, we're nothing! response:	Do you understand?
context: I can do it!\This... fang!\A fang!\What an heirloom the old man left me!\Hey, Sesshomaru, listen up!\Here we are, two brothers, fighting for our father's treasure...\compared to his magnificence, we're nothing!\Do you understand? response:	We're battling it out now, on top of our father's body!
context: This... fang!\A fang!\What an heirloom the old man left me!\Hey, Sesshomaru, listen up!\Here we are, two brothers, fighting for our father's treasure...\compared to his magnificence, we're nothing!\Do you understand?\We're battling it out now, on top of our father's body! response:	We're nowhere near his equal.
context: A fang!\What an heirloom the old man left me!\Hey, Sesshomaru, listen up!\Here we are, two brothers, fighting for our father's treasure...\compared to his magnificence, we're nothing!\Do you understand?\We're battling it out now, on top of our father's body!\We're nowhere near his equal. response:	I don't have any memories of being loved by my father!
context: What an heirloom the old man left me!\Hey, Sesshomaru, listen up!\Here we are, two brothers, fighting for our father's treasure...\compared to his magnificence, we're nothing!\Do you understand?\We're battling it out now, on top of our father's body!\We're nowhere near his equal.\I don't have any memories of being loved by my father! response:	But he chose to hide his fang inside my eye!
context: Hey, Sesshomaru, listen up!\Here we are, two brothers, fighting for our father's treasure...\compared to his magnificence, we're nothing!\Do you understand?\We're battling it out now, on top of our father's body!\We're nowhere near his equal.\I don't have any memories of being loved by my father!\But he chose to hide his fang inside my eye! response:	And I ain't giving up this sword! Not to anyone!
context: Here we are, two brothers, fighting for our father's treasure...\compared to his magnificence, we're nothing!\Do you understand?\We're battling it out now, on top of our father's body!\We're nowhere near his equal.\I don't have any memories of being loved by my father!\But he chose to hide his fang inside my eye!\And I ain't giving up this sword! Not to anyone! response:	Not even to my fine older brother!
context: compared to his magnificence, we're nothing!\Do you understand?\We're battling it out now, on top of our father's body!\We're nowhere near his equal.\I don't have any memories of being loved by my father!\But he chose to hide his fang inside my eye!\And I ain't giving up this sword! Not to anyone!\Not even to my fine older brother! response:	Lord Sesshomaru!
context: Do you understand?\We're battling it out now, on top of our father's body!\We're nowhere near his equal.\I don't have any memories of being loved by my father!\But he chose to hide his fang inside my eye!\And I ain't giving up this sword! Not to anyone!\Not even to my fine older brother!\Lord Sesshomaru! response:	Lord Sesshomaru! Please wait!
context: We're battling it out now, on top of our father's body!\We're nowhere near his equal.\I don't have any memories of being loved by my father!\But he chose to hide his fang inside my eye!\And I ain't giving up this sword! Not to anyone!\Not even to my fine older brother!\Lord Sesshomaru!\Lord Sesshomaru! Please wait! response:	Inuyasha!
context: We're nowhere near his equal.\I don't have any memories of being loved by my father!\But he chose to hide his fang inside my eye!\And I ain't giving up this sword! Not to anyone!\Not even to my fine older brother!\Lord Sesshomaru!\Lord Sesshomaru! Please wait!\Inuyasha! response:	Inuyasha, are you all right?!
context: I don't have any memories of being loved by my father!\But he chose to hide his fang inside my eye!\And I ain't giving up this sword! Not to anyone!\Not even to my fine older brother!\Lord Sesshomaru!\Lord Sesshomaru! Please wait!\Inuyasha!\Inuyasha, are you all right?! response:	Thanks, old man...
context: But he chose to hide his fang inside my eye!\And I ain't giving up this sword! Not to anyone!\Not even to my fine older brother!\Lord Sesshomaru!\Lord Sesshomaru! Please wait!\Inuyasha!\Inuyasha, are you all right?!\Thanks, old man... response:	You left me a pretty handy heirloom.
context: And I ain't giving up this sword! Not to anyone!\Not even to my fine older brother!\Lord Sesshomaru!\Lord Sesshomaru! Please wait!\Inuyasha!\Inuyasha, are you all right?!\Thanks, old man...\You left me a pretty handy heirloom. response:	Master Inuyasha, well done!
context: Not even to my fine older brother!\Lord Sesshomaru!\Lord Sesshomaru! Please wait!\Inuyasha!\Inuyasha, are you all right?!\Thanks, old man...\You left me a pretty handy heirloom.\Master Inuyasha, well done! response:	I, Myoga, had faith in you!
context: Lord Sesshomaru!\Lord Sesshomaru! Please wait!\Inuyasha!\Inuyasha, are you all right?!\Thanks, old man...\You left me a pretty handy heirloom.\Master Inuyasha, well done!\I, Myoga, had faith in you! response:	Please wait!
context: Lord Sesshomaru! Please wait!\Inuyasha!\Inuyasha, are you all right?!\Thanks, old man...\You left me a pretty handy heirloom.\Master Inuyasha, well done!\I, Myoga, had faith in you!\Please wait! response:	Look there!
context: Inuyasha!\Inuyasha, are you all right?!\Thanks, old man...\You left me a pretty handy heirloom.\Master Inuyasha, well done!\I, Myoga, had faith in you!\Please wait!\Look there! response:	I was arranging for transportation to go home.
context: Inuyasha, are you all right?!\Thanks, old man...\You left me a pretty handy heirloom.\Master Inuyasha, well done!\I, Myoga, had faith in you!\Please wait!\Look there!\I was arranging for transportation to go home. response:	I certainly did not intend to run away!
context: Thanks, old man...\You left me a pretty handy heirloom.\Master Inuyasha, well done!\I, Myoga, had faith in you!\Please wait!\Look there!\I was arranging for transportation to go home.\I certainly did not intend to run away! response:	You understand?
context: You left me a pretty handy heirloom.\Master Inuyasha, well done!\I, Myoga, had faith in you!\Please wait!\Look there!\I was arranging for transportation to go home.\I certainly did not intend to run away!\You understand? response:	Then you didn't run away?
context: Master Inuyasha, well done!\I, Myoga, had faith in you!\Please wait!\Look there!\I was arranging for transportation to go home.\I certainly did not intend to run away!\You understand?\Then you didn't run away? response:	Huh?
context: I, Myoga, had faith in you!\Please wait!\Look there!\I was arranging for transportation to go home.\I certainly did not intend to run away!\You understand?\Then you didn't run away?\Huh? response:	Well, when you ask me so nicely...
context: Please wait!\Look there!\I was arranging for transportation to go home.\I certainly did not intend to run away!\You understand?\Then you didn't run away?\Huh?\Well, when you ask me so nicely... response:	I'm sorry!
context: Look there!\I was arranging for transportation to go home.\I certainly did not intend to run away!\You understand?\Then you didn't run away?\Huh?\Well, when you ask me so nicely...\I'm sorry! response:	I thought you had no chance in a hundred...
context: I was arranging for transportation to go home.\I certainly did not intend to run away!\You understand?\Then you didn't run away?\Huh?\Well, when you ask me so nicely...\I'm sorry!\I thought you had no chance in a hundred... response:	against Lord Sesshomaru... and I ran away.
context: I certainly did not intend to run away!\You understand?\Then you didn't run away?\Huh?\Well, when you ask me so nicely...\I'm sorry!\I thought you had no chance in a hundred...\against Lord Sesshomaru... and I ran away. response:	I underestimated you, Master Inuyasha.
context: You understand?\Then you didn't run away?\Huh?\Well, when you ask me so nicely...\I'm sorry!\I thought you had no chance in a hundred...\against Lord Sesshomaru... and I ran away.\I underestimated you, Master Inuyasha. response:	I am so terribly ashamed of myself.
context: Then you didn't run away?\Huh?\Well, when you ask me so nicely...\I'm sorry!\I thought you had no chance in a hundred...\against Lord Sesshomaru... and I ran away.\I underestimated you, Master Inuyasha.\I am so terribly ashamed of myself. response:	Myoga...
context: Huh?\Well, when you ask me so nicely...\I'm sorry!\I thought you had no chance in a hundred...\against Lord Sesshomaru... and I ran away.\I underestimated you, Master Inuyasha.\I am so terribly ashamed of myself.\Myoga... response:	Huh?!
context: Well, when you ask me so nicely...\I'm sorry!\I thought you had no chance in a hundred...\against Lord Sesshomaru... and I ran away.\I underestimated you, Master Inuyasha.\I am so terribly ashamed of myself.\Myoga...\Huh?! response:	Oh dear...
context: I'm sorry!\I thought you had no chance in a hundred...\against Lord Sesshomaru... and I ran away.\I underestimated you, Master Inuyasha.\I am so terribly ashamed of myself.\Myoga...\Huh?!\Oh dear... response:	What a happy day!
context: I thought you had no chance in a hundred...\against Lord Sesshomaru... and I ran away.\I underestimated you, Master Inuyasha.\I am so terribly ashamed of myself.\Myoga...\Huh?!\Oh dear...\What a happy day! response:	Are you all right, Inuyasha?
context: against Lord Sesshomaru... and I ran away.\I underestimated you, Master Inuyasha.\I am so terribly ashamed of myself.\Myoga...\Huh?!\Oh dear...\What a happy day!\Are you all right, Inuyasha? response:	I just returned to normal.
context: I underestimated you, Master Inuyasha.\I am so terribly ashamed of myself.\Myoga...\Huh?!\Oh dear...\What a happy day!\Are you all right, Inuyasha?\I just returned to normal. response:	There's no tomb or treasure here anymore.
context: I am so terribly ashamed of myself.\Myoga...\Huh?!\Oh dear...\What a happy day!\Are you all right, Inuyasha?\I just returned to normal.\There's no tomb or treasure here anymore. response:	My old man can finally rest in peace.
context: Myoga...\Huh?!\Oh dear...\What a happy day!\Are you all right, Inuyasha?\I just returned to normal.\There's no tomb or treasure here anymore.\My old man can finally rest in peace. response:	But why were you able to draw out this Tetsusaiga?
context: Huh?!\Oh dear...\What a happy day!\Are you all right, Inuyasha?\I just returned to normal.\There's no tomb or treasure here anymore.\My old man can finally rest in peace.\But why were you able to draw out this Tetsusaiga? response:	I must say, you have some strange powers.
context: Oh dear...\What a happy day!\Are you all right, Inuyasha?\I just returned to normal.\There's no tomb or treasure here anymore.\My old man can finally rest in peace.\But why were you able to draw out this Tetsusaiga?\I must say, you have some strange powers. response:	Uh-huh...
context: What a happy day!\Are you all right, Inuyasha?\I just returned to normal.\There's no tomb or treasure here anymore.\My old man can finally rest in peace.\But why were you able to draw out this Tetsusaiga?\I must say, you have some strange powers.\Uh-huh... response:	I believe that it was because Kagome is a mortal.
context: Are you all right, Inuyasha?\I just returned to normal.\There's no tomb or treasure here anymore.\My old man can finally rest in peace.\But why were you able to draw out this Tetsusaiga?\I must say, you have some strange powers.\Uh-huh...\I believe that it was because Kagome is a mortal. response:	In the first place, Tetsusaiga was forged by Inuyasha's father...
context: I just returned to normal.\There's no tomb or treasure here anymore.\My old man can finally rest in peace.\But why were you able to draw out this Tetsusaiga?\I must say, you have some strange powers.\Uh-huh...\I believe that it was because Kagome is a mortal.\In the first place, Tetsusaiga was forged by Inuyasha's father... response:	in order to protect Inuyasha's human mother.
context: There's no tomb or treasure here anymore.\My old man can finally rest in peace.\But why were you able to draw out this Tetsusaiga?\I must say, you have some strange powers.\Uh-huh...\I believe that it was because Kagome is a mortal.\In the first place, Tetsusaiga was forged by Inuyasha's father...\in order to protect Inuyasha's human mother. response:	It is a supernatural sword that can only be wielded...
