context: I have two important announcements today. response:	First, I need to introduce a transfer student.
context: Skill\That Monster Puppetry skill is a bit concerning.\As for Ms. Elna...\Guess this is all up to us students.\You're all headed to the hot spring, aren't you?\I know a shortcut!\A shortcut? Tell us!\We want to get there fast! response:	This way.
context: That Monster Puppetry skill is a bit concerning.\As for Ms. Elna...\Guess this is all up to us students.\You're all headed to the hot spring, aren't you?\I know a shortcut!\A shortcut? Tell us!\We want to get there fast!\This way. response:	Score!
context: As for Ms. Elna...\Guess this is all up to us students.\You're all headed to the hot spring, aren't you?\I know a shortcut!\A shortcut? Tell us!\We want to get there fast!\This way.\Score! response:	I guess some monsters can be good.
context: Guess this is all up to us students.\You're all headed to the hot spring, aren't you?\I know a shortcut!\A shortcut? Tell us!\We want to get there fast!\This way.\Score!\I guess some monsters can be good. response:	We can finally get in the hot spring!
context: You're all headed to the hot spring, aren't you?\I know a shortcut!\A shortcut? Tell us!\We want to get there fast!\This way.\Score!\I guess some monsters can be good.\We can finally get in the hot spring! response:	It's just about a five-minute walk to the hot spring.
context: I know a shortcut!\A shortcut? Tell us!\We want to get there fast!\This way.\Score!\I guess some monsters can be good.\We can finally get in the hot spring!\It's just about a five-minute walk to the hot spring. response:	It's pretty dark in here, and the formation we came up with is shot now.
context: A shortcut? Tell us!\We want to get there fast!\This way.\Score!\I guess some monsters can be good.\We can finally get in the hot spring!\It's just about a five-minute walk to the hot spring.\It's pretty dark in here, and the formation we came up with is shot now. response:	Oh, we'll be fine.
context: We want to get there fast!\This way.\Score!\I guess some monsters can be good.\We can finally get in the hot spring!\It's just about a five-minute walk to the hot spring.\It's pretty dark in here, and the formation we came up with is shot now.\Oh, we'll be fine. response:	If it seems dangerous, we can turn back.
context: This way.\Score!\I guess some monsters can be good.\We can finally get in the hot spring!\It's just about a five-minute walk to the hot spring.\It's pretty dark in here, and the formation we came up with is shot now.\Oh, we'll be fine.\If it seems dangerous, we can turn back. response:	And I can detect traps, remember?
context: Score!\I guess some monsters can be good.\We can finally get in the hot spring!\It's just about a five-minute walk to the hot spring.\It's pretty dark in here, and the formation we came up with is shot now.\Oh, we'll be fine.\If it seems dangerous, we can turn back.\And I can detect traps, remember? response:	Yeah, but...
context: I guess some monsters can be good.\We can finally get in the hot spring!\It's just about a five-minute walk to the hot spring.\It's pretty dark in here, and the formation we came up with is shot now.\Oh, we'll be fine.\If it seems dangerous, we can turn back.\And I can detect traps, remember?\Yeah, but... response:	Why did you draw your sword?
context: We can finally get in the hot spring!\It's just about a five-minute walk to the hot spring.\It's pretty dark in here, and the formation we came up with is shot now.\Oh, we'll be fine.\If it seems dangerous, we can turn back.\And I can detect traps, remember?\Yeah, but...\Why did you draw your sword? response:	Just in case. I'm a bit of a coward.
context: It's just about a five-minute walk to the hot spring.\It's pretty dark in here, and the formation we came up with is shot now.\Oh, we'll be fine.\If it seems dangerous, we can turn back.\And I can detect traps, remember?\Yeah, but...\Why did you draw your sword?\Just in case. I'm a bit of a coward. response:	But it's scary! Please put it away.
context: It's pretty dark in here, and the formation we came up with is shot now.\Oh, we'll be fine.\If it seems dangerous, we can turn back.\And I can detect traps, remember?\Yeah, but...\Why did you draw your sword?\Just in case. I'm a bit of a coward.\But it's scary! Please put it away. response:	But, I mean...
context: Oh, we'll be fine.\If it seems dangerous, we can turn back.\And I can detect traps, remember?\Yeah, but...\Why did you draw your sword?\Just in case. I'm a bit of a coward.\But it's scary! Please put it away.\But, I mean... response:	Wait!
context: If it seems dangerous, we can turn back.\And I can detect traps, remember?\Yeah, but...\Why did you draw your sword?\Just in case. I'm a bit of a coward.\But it's scary! Please put it away.\But, I mean...\Wait! response:	Those holes... I think something might be hiding in them.
context: And I can detect traps, remember?\Yeah, but...\Why did you draw your sword?\Just in case. I'm a bit of a coward.\But it's scary! Please put it away.\But, I mean...\Wait!\Those holes... I think something might be hiding in them. response:	There's nothing in them.
context: Yeah, but...\Why did you draw your sword?\Just in case. I'm a bit of a coward.\But it's scary! Please put it away.\But, I mean...\Wait!\Those holes... I think something might be hiding in them.\There's nothing in them. response:	If there were any monsters, I'd get attacked.
context: Why did you draw your sword?\Just in case. I'm a bit of a coward.\But it's scary! Please put it away.\But, I mean...\Wait!\Those holes... I think something might be hiding in them.\There's nothing in them.\If there were any monsters, I'd get attacked. response:	True, but you have the Monster Puppetry skill.
context: Just in case. I'm a bit of a coward.\But it's scary! Please put it away.\But, I mean...\Wait!\Those holes... I think something might be hiding in them.\There's nothing in them.\If there were any monsters, I'd get attacked.\True, but you have the Monster Puppetry skill. response:	You're using that skill to control some monsters
context: But it's scary! Please put it away.\But, I mean...\Wait!\Those holes... I think something might be hiding in them.\There's nothing in them.\If there were any monsters, I'd get attacked.\True, but you have the Monster Puppetry skill.\You're using that skill to control some monsters response:	so they'll ambush us, right?
context: But, I mean...\Wait!\Those holes... I think something might be hiding in them.\There's nothing in them.\If there were any monsters, I'd get attacked.\True, but you have the Monster Puppetry skill.\You're using that skill to control some monsters\so they'll ambush us, right? response:	Wait, seriously?
context: Wait!\Those holes... I think something might be hiding in them.\There's nothing in them.\If there were any monsters, I'd get attacked.\True, but you have the Monster Puppetry skill.\You're using that skill to control some monsters\so they'll ambush us, right?\Wait, seriously? response:	I guess there's no point in hiding it anymore!
context: Those holes... I think something might be hiding in them.\There's nothing in them.\If there were any monsters, I'd get attacked.\True, but you have the Monster Puppetry skill.\You're using that skill to control some monsters\so they'll ambush us, right?\Wait, seriously?\I guess there's no point in hiding it anymore! response:	Get them, Lizardmen!
context: There's nothing in them.\If there were any monsters, I'd get attacked.\True, but you have the Monster Puppetry skill.\You're using that skill to control some monsters\so they'll ambush us, right?\Wait, seriously?\I guess there's no point in hiding it anymore!\Get them, Lizardmen! response:	G-Guys!
context: If there were any monsters, I'd get attacked.\True, but you have the Monster Puppetry skill.\You're using that skill to control some monsters\so they'll ambush us, right?\Wait, seriously?\I guess there's no point in hiding it anymore!\Get them, Lizardmen!\G-Guys! response:	We just need to regroup, get back into formation,
context: True, but you have the Monster Puppetry skill.\You're using that skill to control some monsters\so they'll ambush us, right?\Wait, seriously?\I guess there's no point in hiding it anymore!\Get them, Lizardmen!\G-Guys!\We just need to regroup, get back into formation, response:	and deal with them one by
context: You're using that skill to control some monsters\so they'll ambush us, right?\Wait, seriously?\I guess there's no point in hiding it anymore!\Get them, Lizardmen!\G-Guys!\We just need to regroup, get back into formation,\and deal with them one by response:	Get them!
context: so they'll ambush us, right?\Wait, seriously?\I guess there's no point in hiding it anymore!\Get them, Lizardmen!\G-Guys!\We just need to regroup, get back into formation,\and deal with them one by\Get them! response:	We're definitely going to peek...
context: Wait, seriously?\I guess there's no point in hiding it anymore!\Get them, Lizardmen!\G-Guys!\We just need to regroup, get back into formation,\and deal with them one by\Get them!\We're definitely going to peek... response:	Don't get in our way!
context: I guess there's no point in hiding it anymore!\Get them, Lizardmen!\G-Guys!\We just need to regroup, get back into formation,\and deal with them one by\Get them!\We're definitely going to peek...\Don't get in our way! response:	You guys want to peek that badly?!
context: Get them, Lizardmen!\G-Guys!\We just need to regroup, get back into formation,\and deal with them one by\Get them!\We're definitely going to peek...\Don't get in our way!\You guys want to peek that badly?! response:	Crap! The girls!
context: G-Guys!\We just need to regroup, get back into formation,\and deal with them one by\Get them!\We're definitely going to peek...\Don't get in our way!\You guys want to peek that badly?!\Crap! The girls! response:	Demon Fist!
context: We just need to regroup, get back into formation,\and deal with them one by\Get them!\We're definitely going to peek...\Don't get in our way!\You guys want to peek that badly?!\Crap! The girls!\Demon Fist! response:	You're not gonna stand between me and my hot spring!
context: and deal with them one by\Get them!\We're definitely going to peek...\Don't get in our way!\You guys want to peek that badly?!\Crap! The girls!\Demon Fist!\You're not gonna stand between me and my hot spring! response:	This hot spring must be something else...
context: Get them!\We're definitely going to peek...\Don't get in our way!\You guys want to peek that badly?!\Crap! The girls!\Demon Fist!\You're not gonna stand between me and my hot spring!\This hot spring must be something else... response:	Th-This wasn't supposed to happen...
context: We're definitely going to peek...\Don't get in our way!\You guys want to peek that badly?!\Crap! The girls!\Demon Fist!\You're not gonna stand between me and my hot spring!\This hot spring must be something else...\Th-This wasn't supposed to happen... response:	H-Humans are all ugly and stupid!
context: Don't get in our way!\You guys want to peek that badly?!\Crap! The girls!\Demon Fist!\You're not gonna stand between me and my hot spring!\This hot spring must be something else...\Th-This wasn't supposed to happen...\H-Humans are all ugly and stupid! response:	Die! Nyah!
context: You guys want to peek that badly?!\Crap! The girls!\Demon Fist!\You're not gonna stand between me and my hot spring!\This hot spring must be something else...\Th-This wasn't supposed to happen...\H-Humans are all ugly and stupid!\Die! Nyah! response:	Bestowing Weight + 10 Kilograms.
context: Crap! The girls!\Demon Fist!\You're not gonna stand between me and my hot spring!\This hot spring must be something else...\Th-This wasn't supposed to happen...\H-Humans are all ugly and stupid!\Die! Nyah!\Bestowing Weight + 10 Kilograms. response:	Now do you understand?
context: Demon Fist!\You're not gonna stand between me and my hot spring!\This hot spring must be something else...\Th-This wasn't supposed to happen...\H-Humans are all ugly and stupid!\Die! Nyah!\Bestowing Weight + 10 Kilograms.\Now do you understand? response:	There are monsters that try to act innocent to lure you into traps,
context: You're not gonna stand between me and my hot spring!\This hot spring must be something else...\Th-This wasn't supposed to happen...\H-Humans are all ugly and stupid!\Die! Nyah!\Bestowing Weight + 10 Kilograms.\Now do you understand?\There are monsters that try to act innocent to lure you into traps, response:	so you need to be careful
context: This hot spring must be something else...\Th-This wasn't supposed to happen...\H-Humans are all ugly and stupid!\Die! Nyah!\Bestowing Weight + 10 Kilograms.\Now do you understand?\There are monsters that try to act innocent to lure you into traps,\so you need to be careful response:	Hey!
context: Th-This wasn't supposed to happen...\H-Humans are all ugly and stupid!\Die! Nyah!\Bestowing Weight + 10 Kilograms.\Now do you understand?\There are monsters that try to act innocent to lure you into traps,\so you need to be careful\Hey! response:	Look over there! I see it!
context: H-Humans are all ugly and stupid!\Die! Nyah!\Bestowing Weight + 10 Kilograms.\Now do you understand?\There are monsters that try to act innocent to lure you into traps,\so you need to be careful\Hey!\Look over there! I see it! response:	Yeah!
context: Die! Nyah!\Bestowing Weight + 10 Kilograms.\Now do you understand?\There are monsters that try to act innocent to lure you into traps,\so you need to be careful\Hey!\Look over there! I see it!\Yeah! response:	We're here!
context: Bestowing Weight + 10 Kilograms.\Now do you understand?\There are monsters that try to act innocent to lure you into traps,\so you need to be careful\Hey!\Look over there! I see it!\Yeah!\We're here! response:	I'm beat!
context: Now do you understand?\There are monsters that try to act innocent to lure you into traps,\so you need to be careful\Hey!\Look over there! I see it!\Yeah!\We're here!\I'm beat! response:	I want to wash all my sweat off.
context: There are monsters that try to act innocent to lure you into traps,\so you need to be careful\Hey!\Look over there! I see it!\Yeah!\We're here!\I'm beat!\I want to wash all my sweat off. response:	Like any of you are listening.
context: so you need to be careful\Hey!\Look over there! I see it!\Yeah!\We're here!\I'm beat!\I want to wash all my sweat off.\Like any of you are listening. response:	The Hidden Dungeon Only I Can Enter!
context: Hey!\Look over there! I see it!\Yeah!\We're here!\I'm beat!\I want to wash all my sweat off.\Like any of you are listening.\The Hidden Dungeon Only I Can Enter! response:	You must be from the Hero Academy.
context: Look over there! I see it!\Yeah!\We're here!\I'm beat!\I want to wash all my sweat off.\Like any of you are listening.\The Hidden Dungeon Only I Can Enter!\You must be from the Hero Academy. response:	The bathing times are designated and split between the men and the women.
context: Yeah!\We're here!\I'm beat!\I want to wash all my sweat off.\Like any of you are listening.\The Hidden Dungeon Only I Can Enter!\You must be from the Hero Academy.\The bathing times are designated and split between the men and the women. response:	It's currently open only for our lady guests.
context: We're here!\I'm beat!\I want to wash all my sweat off.\Like any of you are listening.\The Hidden Dungeon Only I Can Enter!\You must be from the Hero Academy.\The bathing times are designated and split between the men and the women.\It's currently open only for our lady guests. response:	Hot spring! Hot spring!
context: I'm beat!\I want to wash all my sweat off.\Like any of you are listening.\The Hidden Dungeon Only I Can Enter!\You must be from the Hero Academy.\The bathing times are designated and split between the men and the women.\It's currently open only for our lady guests.\Hot spring! Hot spring! response:	That was rather tiring.
context: I want to wash all my sweat off.\Like any of you are listening.\The Hidden Dungeon Only I Can Enter!\You must be from the Hero Academy.\The bathing times are designated and split between the men and the women.\It's currently open only for our lady guests.\Hot spring! Hot spring!\That was rather tiring. response:	Yes. I'd love to wash off all this sweat immediately, but...
context: Like any of you are listening.\The Hidden Dungeon Only I Can Enter!\You must be from the Hero Academy.\The bathing times are designated and split between the men and the women.\It's currently open only for our lady guests.\Hot spring! Hot spring!\That was rather tiring.\Yes. I'd love to wash off all this sweat immediately, but... response:	Ladies, please. Not to worry.
context: The Hidden Dungeon Only I Can Enter!\You must be from the Hero Academy.\The bathing times are designated and split between the men and the women.\It's currently open only for our lady guests.\Hot spring! Hot spring!\That was rather tiring.\Yes. I'd love to wash off all this sweat immediately, but...\Ladies, please. Not to worry. response:	We may be rotten, but we are still students of the Hero Academy.
context: You must be from the Hero Academy.\The bathing times are designated and split between the men and the women.\It's currently open only for our lady guests.\Hot spring! Hot spring!\That was rather tiring.\Yes. I'd love to wash off all this sweat immediately, but...\Ladies, please. Not to worry.\We may be rotten, but we are still students of the Hero Academy. response:	We are heroes! Therefore, we would never ever do something so wrong
context: The bathing times are designated and split between the men and the women.\It's currently open only for our lady guests.\Hot spring! Hot spring!\That was rather tiring.\Yes. I'd love to wash off all this sweat immediately, but...\Ladies, please. Not to worry.\We may be rotten, but we are still students of the Hero Academy.\We are heroes! Therefore, we would never ever do something so wrong response:	as practice voyeuristic activities!
context: It's currently open only for our lady guests.\Hot spring! Hot spring!\That was rather tiring.\Yes. I'd love to wash off all this sweat immediately, but...\Ladies, please. Not to worry.\We may be rotten, but we are still students of the Hero Academy.\We are heroes! Therefore, we would never ever do something so wrong\as practice voyeuristic activities! response:	We would never!
context: Hot spring! Hot spring!\That was rather tiring.\Yes. I'd love to wash off all this sweat immediately, but...\Ladies, please. Not to worry.\We may be rotten, but we are still students of the Hero Academy.\We are heroes! Therefore, we would never ever do something so wrong\as practice voyeuristic activities!\We would never! response:	W-Well, if you say so...
context: That was rather tiring.\Yes. I'd love to wash off all this sweat immediately, but...\Ladies, please. Not to worry.\We may be rotten, but we are still students of the Hero Academy.\We are heroes! Therefore, we would never ever do something so wrong\as practice voyeuristic activities!\We would never!\W-Well, if you say so... response:	I guess...
context: Yes. I'd love to wash off all this sweat immediately, but...\Ladies, please. Not to worry.\We may be rotten, but we are still students of the Hero Academy.\We are heroes! Therefore, we would never ever do something so wrong\as practice voyeuristic activities!\We would never!\W-Well, if you say so...\I guess... response:	This must be thanks to the fact that we defeated those monsters together!
context: Ladies, please. Not to worry.\We may be rotten, but we are still students of the Hero Academy.\We are heroes! Therefore, we would never ever do something so wrong\as practice voyeuristic activities!\We would never!\W-Well, if you say so...\I guess...\This must be thanks to the fact that we defeated those monsters together! response:	I'm so glad they changed their min
context: We may be rotten, but we are still students of the Hero Academy.\We are heroes! Therefore, we would never ever do something so wrong\as practice voyeuristic activities!\We would never!\W-Well, if you say so...\I guess...\This must be thanks to the fact that we defeated those monsters together!\I'm so glad they changed their min response:	You guys wanna go see some naked girls?!
context: We are heroes! Therefore, we would never ever do something so wrong\as practice voyeuristic activities!\We would never!\W-Well, if you say so...\I guess...\This must be thanks to the fact that we defeated those monsters together!\I'm so glad they changed their min\You guys wanna go see some naked girls?! response:	Yeah!
context: as practice voyeuristic activities!\We would never!\W-Well, if you say so...\I guess...\This must be thanks to the fact that we defeated those monsters together!\I'm so glad they changed their min\You guys wanna go see some naked girls?!\Yeah! response:	I-I was naIve...
context: We would never!\W-Well, if you say so...\I guess...\This must be thanks to the fact that we defeated those monsters together!\I'm so glad they changed their min\You guys wanna go see some naked girls?!\Yeah!\I-I was naIve... response:	The time has come!
context: W-Well, if you say so...\I guess...\This must be thanks to the fact that we defeated those monsters together!\I'm so glad they changed their min\You guys wanna go see some naked girls?!\Yeah!\I-I was naIve...\The time has come! response:	Let's do this!
context: I guess...\This must be thanks to the fact that we defeated those monsters together!\I'm so glad they changed their min\You guys wanna go see some naked girls?!\Yeah!\I-I was naIve...\The time has come!\Let's do this! response:	Burn that sight into your eyes!
context: This must be thanks to the fact that we defeated those monsters together!\I'm so glad they changed their min\You guys wanna go see some naked girls?!\Yeah!\I-I was naIve...\The time has come!\Let's do this!\Burn that sight into your eyes! response:	I am the one who proposed a plan to nurture these young men,
context: I'm so glad they changed their min\You guys wanna go see some naked girls?!\Yeah!\I-I was naIve...\The time has come!\Let's do this!\Burn that sight into your eyes!\I am the one who proposed a plan to nurture these young men, response:	and I shall also act as your leader. My name is Hjorth Boyle.
context: You guys wanna go see some naked girls?!\Yeah!\I-I was naIve...\The time has come!\Let's do this!\Burn that sight into your eyes!\I am the one who proposed a plan to nurture these young men,\and I shall also act as your leader. My name is Hjorth Boyle. response:	Despite our pure, fiery passion,
context: Yeah!\I-I was naIve...\The time has come!\Let's do this!\Burn that sight into your eyes!\I am the one who proposed a plan to nurture these young men,\and I shall also act as your leader. My name is Hjorth Boyle.\Despite our pure, fiery passion, response:	we must do everything we can to avoid being labeled peeping toms!
context: I-I was naIve...\The time has come!\Let's do this!\Burn that sight into your eyes!\I am the one who proposed a plan to nurture these young men,\and I shall also act as your leader. My name is Hjorth Boyle.\Despite our pure, fiery passion,\we must do everything we can to avoid being labeled peeping toms! response:	That's why we're using these!
context: The time has come!\Let's do this!\Burn that sight into your eyes!\I am the one who proposed a plan to nurture these young men,\and I shall also act as your leader. My name is Hjorth Boyle.\Despite our pure, fiery passion,\we must do everything we can to avoid being labeled peeping toms!\That's why we're using these! response:	Hell yeah! This is perfect!
context: Let's do this!\Burn that sight into your eyes!\I am the one who proposed a plan to nurture these young men,\and I shall also act as your leader. My name is Hjorth Boyle.\Despite our pure, fiery passion,\we must do everything we can to avoid being labeled peeping toms!\That's why we're using these!\Hell yeah! This is perfect! response:	Let's do this!
context: Burn that sight into your eyes!\I am the one who proposed a plan to nurture these young men,\and I shall also act as your leader. My name is Hjorth Boyle.\Despite our pure, fiery passion,\we must do everything we can to avoid being labeled peeping toms!\That's why we're using these!\Hell yeah! This is perfect!\Let's do this! response:	I put it on backwards!
context: I am the one who proposed a plan to nurture these young men,\and I shall also act as your leader. My name is Hjorth Boyle.\Despite our pure, fiery passion,\we must do everything we can to avoid being labeled peeping toms!\That's why we're using these!\Hell yeah! This is perfect!\Let's do this!\I put it on backwards! response:	Noir, here's yours.
context: and I shall also act as your leader. My name is Hjorth Boyle.\Despite our pure, fiery passion,\we must do everything we can to avoid being labeled peeping toms!\That's why we're using these!\Hell yeah! This is perfect!\Let's do this!\I put it on backwards!\Noir, here's yours. response:	Oh, uh...
context: Despite our pure, fiery passion,\we must do everything we can to avoid being labeled peeping toms!\That's why we're using these!\Hell yeah! This is perfect!\Let's do this!\I put it on backwards!\Noir, here's yours.\Oh, uh... response:	What's wrong? Hurry up.
context: we must do everything we can to avoid being labeled peeping toms!\That's why we're using these!\Hell yeah! This is perfect!\Let's do this!\I put it on backwards!\Noir, here's yours.\Oh, uh...\What's wrong? Hurry up. response:	I-I don't...
context: That's why we're using these!\Hell yeah! This is perfect!\Let's do this!\I put it on backwards!\Noir, here's yours.\Oh, uh...\What's wrong? Hurry up.\I-I don't... response:	We're counting on you, Noir!
context: Hell yeah! This is perfect!\Let's do this!\I put it on backwards!\Noir, here's yours.\Oh, uh...\What's wrong? Hurry up.\I-I don't...\We're counting on you, Noir! response:	Yeah!
context: Let's do this!\I put it on backwards!\Noir, here's yours.\Oh, uh...\What's wrong? Hurry up.\I-I don't...\We're counting on you, Noir!\Yeah! response:	I can't participate in this.
context: I put it on backwards!\Noir, here's yours.\Oh, uh...\What's wrong? Hurry up.\I-I don't...\We're counting on you, Noir!\Yeah!\I can't participate in this. response:	He's a traitor! Capture him!
context: Noir, here's yours.\Oh, uh...\What's wrong? Hurry up.\I-I don't...\We're counting on you, Noir!\Yeah!\I can't participate in this.\He's a traitor! Capture him! response:	We can finally relax.
context: Oh, uh...\What's wrong? Hurry up.\I-I don't...\We're counting on you, Noir!\Yeah!\I can't participate in this.\He's a traitor! Capture him!\We can finally relax. response:	Yeah!
context: What's wrong? Hurry up.\I-I don't...\We're counting on you, Noir!\Yeah!\I can't participate in this.\He's a traitor! Capture him!\We can finally relax.\Yeah! response:	Hey, did you see the bath?
context: I-I don't...\We're counting on you, Noir!\Yeah!\I can't participate in this.\He's a traitor! Capture him!\We can finally relax.\Yeah!\Hey, did you see the bath? response:	I did. It's so big!
context: We're counting on you, Noir!\Yeah!\I can't participate in this.\He's a traitor! Capture him!\We can finally relax.\Yeah!\Hey, did you see the bath?\I did. It's so big! response:	And the view is lovely.
context: Yeah!\I can't participate in this.\He's a traitor! Capture him!\We can finally relax.\Yeah!\Hey, did you see the bath?\I did. It's so big!\And the view is lovely. response:	Okay! I'm getting in first!
context: I can't participate in this.\He's a traitor! Capture him!\We can finally relax.\Yeah!\Hey, did you see the bath?\I did. It's so big!\And the view is lovely.\Okay! I'm getting in first! response:	Hold it!
context: He's a traitor! Capture him!\We can finally relax.\Yeah!\Hey, did you see the bath?\I did. It's so big!\And the view is lovely.\Okay! I'm getting in first!\Hold it! response:	Traitor!
context: We can finally relax.\Yeah!\Hey, did you see the bath?\I did. It's so big!\And the view is lovely.\Okay! I'm getting in first!\Hold it!\Traitor! response:	Go, go, go! Head right into the women's bath!
context: Yeah!\Hey, did you see the bath?\I did. It's so big!\And the view is lovely.\Okay! I'm getting in first!\Hold it!\Traitor!\Go, go, go! Head right into the women's bath! response:	I-I have to stop them somehow!
context: Hey, did you see the bath?\I did. It's so big!\And the view is lovely.\Okay! I'm getting in first!\Hold it!\Traitor!\Go, go, go! Head right into the women's bath!\I-I have to stop them somehow! response:	There! That's it!
context: I did. It's so big!\And the view is lovely.\Okay! I'm getting in first!\Hold it!\Traitor!\Go, go, go! Head right into the women's bath!\I-I have to stop them somehow!\There! That's it! response:	Oh, no...
context: And the view is lovely.\Okay! I'm getting in first!\Hold it!\Traitor!\Go, go, go! Head right into the women's bath!\I-I have to stop them somehow!\There! That's it!\Oh, no... response:	Earthen Wall.
context: Okay! I'm getting in first!\Hold it!\Traitor!\Go, go, go! Head right into the women's bath!\I-I have to stop them somehow!\There! That's it!\Oh, no...\Earthen Wall. response:	Ow...
context: Hold it!\Traitor!\Go, go, go! Head right into the women's bath!\I-I have to stop them somehow!\There! That's it!\Oh, no...\Earthen Wall.\Ow... response:	Ms. Elna! Perfect timing!
context: Traitor!\Go, go, go! Head right into the women's bath!\I-I have to stop them somehow!\There! That's it!\Oh, no...\Earthen Wall.\Ow...\Ms. Elna! Perfect timing! response:	I never thought you'd be the one, Noir...
context: Go, go, go! Head right into the women's bath!\I-I have to stop them somehow!\There! That's it!\Oh, no...\Earthen Wall.\Ow...\Ms. Elna! Perfect timing!\I never thought you'd be the one, Noir... response:	If you thought you could sneak a peek, you've got another thing coming.
context: I-I have to stop them somehow!\There! That's it!\Oh, no...\Earthen Wall.\Ow...\Ms. Elna! Perfect timing!\I never thought you'd be the one, Noir...\If you thought you could sneak a peek, you've got another thing coming. response:	N-N-No! I'm trying to stop the other boys, too!
context: There! That's it!\Oh, no...\Earthen Wall.\Ow...\Ms. Elna! Perfect timing!\I never thought you'd be the one, Noir...\If you thought you could sneak a peek, you've got another thing coming.\N-N-No! I'm trying to stop the other boys, too! response:	Uh-huh...
context: Oh, no...\Earthen Wall.\Ow...\Ms. Elna! Perfect timing!\I never thought you'd be the one, Noir...\If you thought you could sneak a peek, you've got another thing coming.\N-N-No! I'm trying to stop the other boys, too!\Uh-huh... response:	Do not falter! Advance!
context: Earthen Wall.\Ow...\Ms. Elna! Perfect timing!\I never thought you'd be the one, Noir...\If you thought you could sneak a peek, you've got another thing coming.\N-N-No! I'm trying to stop the other boys, too!\Uh-huh...\Do not falter! Advance! response:	I'm afraid your words aren't enough.
context: Ow...\Ms. Elna! Perfect timing!\I never thought you'd be the one, Noir...\If you thought you could sneak a peek, you've got another thing coming.\N-N-No! I'm trying to stop the other boys, too!\Uh-huh...\Do not falter! Advance!\I'm afraid your words aren't enough. response:	I know...
context: Ms. Elna! Perfect timing!\I never thought you'd be the one, Noir...\If you thought you could sneak a peek, you've got another thing coming.\N-N-No! I'm trying to stop the other boys, too!\Uh-huh...\Do not falter! Advance!\I'm afraid your words aren't enough.\I know... response:	I'm going to rake you across the coals.
context: I never thought you'd be the one, Noir...\If you thought you could sneak a peek, you've got another thing coming.\N-N-No! I'm trying to stop the other boys, too!\Uh-huh...\Do not falter! Advance!\I'm afraid your words aren't enough.\I know...\I'm going to rake you across the coals. response:	Your backs are wide open!
context: If you thought you could sneak a peek, you've got another thing coming.\N-N-No! I'm trying to stop the other boys, too!\Uh-huh...\Do not falter! Advance!\I'm afraid your words aren't enough.\I know...\I'm going to rake you across the coals.\Your backs are wide open! response:	Stone Bullet!
context: N-N-No! I'm trying to stop the other boys, too!\Uh-huh...\Do not falter! Advance!\I'm afraid your words aren't enough.\I know...\I'm going to rake you across the coals.\Your backs are wide open!\Stone Bullet! response:	Earthen Bullet!
context: Uh-huh...\Do not falter! Advance!\I'm afraid your words aren't enough.\I know...\I'm going to rake you across the coals.\Your backs are wide open!\Stone Bullet!\Earthen Bullet! response:	Boobies...
context: Do not falter! Advance!\I'm afraid your words aren't enough.\I know...\I'm going to rake you across the coals.\Your backs are wide open!\Stone Bullet!\Earthen Bullet!\Boobies... response:	Butts...
context: I'm afraid your words aren't enough.\I know...\I'm going to rake you across the coals.\Your backs are wide open!\Stone Bullet!\Earthen Bullet!\Boobies...\Butts... response:	Armpits...
context: I know...\I'm going to rake you across the coals.\Your backs are wide open!\Stone Bullet!\Earthen Bullet!\Boobies...\Butts...\Armpits... response:	Napes...
context: I'm going to rake you across the coals.\Your backs are wide open!\Stone Bullet!\Earthen Bullet!\Boobies...\Butts...\Armpits...\Napes... response:	Th-They're so persistent.
context: Your backs are wide open!\Stone Bullet!\Earthen Bullet!\Boobies...\Butts...\Armpits...\Napes...\Th-They're so persistent. response:	I guess you all want more punishment.
context: Stone Bullet!\Earthen Bullet!\Boobies...\Butts...\Armpits...\Napes...\Th-They're so persistent.\I guess you all want more punishment. response:	I don't want any meaningless bloodshed.
context: Earthen Bullet!\Boobies...\Butts...\Armpits...\Napes...\Th-They're so persistent.\I guess you all want more punishment.\I don't want any meaningless bloodshed. response:	Do not get in the way of the villainous organization Dark Sword.
context: Boobies...\Butts...\Armpits...\Napes...\Th-They're so persistent.\I guess you all want more punishment.\I don't want any meaningless bloodshed.\Do not get in the way of the villainous organization Dark Sword. response:	Didn't you say something about a plan to nurture young men earlier?
context: Butts...\Armpits...\Napes...\Th-They're so persistent.\I guess you all want more punishment.\I don't want any meaningless bloodshed.\Do not get in the way of the villainous organization Dark Sword.\Didn't you say something about a plan to nurture young men earlier? response:	What? I have no idea what you're talking about.
context: Armpits...\Napes...\Th-They're so persistent.\I guess you all want more punishment.\I don't want any meaningless bloodshed.\Do not get in the way of the villainous organization Dark Sword.\Didn't you say something about a plan to nurture young men earlier?\What? I have no idea what you're talking about. response:	That voice... You must be Hjorth.
context: Napes...\Th-They're so persistent.\I guess you all want more punishment.\I don't want any meaningless bloodshed.\Do not get in the way of the villainous organization Dark Sword.\Didn't you say something about a plan to nurture young men earlier?\What? I have no idea what you're talking about.\That voice... You must be Hjorth. response:	I guess it's futile now.
context: Th-They're so persistent.\I guess you all want more punishment.\I don't want any meaningless bloodshed.\Do not get in the way of the villainous organization Dark Sword.\Didn't you say something about a plan to nurture young men earlier?\What? I have no idea what you're talking about.\That voice... You must be Hjorth.\I guess it's futile now. response:	Noir, I'll take care of things here.
