context: Mornin', Hikari! response:	You're up early.
context: So you don't need to worry anymore.\I'm sorry for putting you through so much pain.\Go Aw\Yeah, yeah, yeah.\This is Sakishima...\Can you ask Uroko-sama if there was a small girl that fell into the ocean?!\Huh? Akari?\What are yo response:	Miuna-chan hasn't come home yet!
context: I'm sorry for putting you through so much pain.\Go Aw\Yeah, yeah, yeah.\This is Sakishima...\Can you ask Uroko-sama if there was a small girl that fell into the ocean?!\Huh? Akari?\What are yo\Miuna-chan hasn't come home yet! response:	Miuna?!
context: Go Aw\Yeah, yeah, yeah.\This is Sakishima...\Can you ask Uroko-sama if there was a small girl that fell into the ocean?!\Huh? Akari?\What are yo\Miuna-chan hasn't come home yet!\Miuna?! response:	Her friend hasn't seen her either!
context: Yeah, yeah, yeah.\This is Sakishima...\Can you ask Uroko-sama if there was a small girl that fell into the ocean?!\Huh? Akari?\What are yo\Miuna-chan hasn't come home yet!\Miuna?!\Her friend hasn't seen her either! response:	What am I going to do?!
context: This is Sakishima...\Can you ask Uroko-sama if there was a small girl that fell into the ocean?!\Huh? Akari?\What are yo\Miuna-chan hasn't come home yet!\Miuna?!\Her friend hasn't seen her either!\What am I going to do?! response:	This is all my fault!
context: Can you ask Uroko-sama if there was a small girl that fell into the ocean?!\Huh? Akari?\What are yo\Miuna-chan hasn't come home yet!\Miuna?!\Her friend hasn't seen her either!\What am I going to do?!\This is all my fault! response:	It's my fault that Miuna-chan
context: Huh? Akari?\What are yo\Miuna-chan hasn't come home yet!\Miuna?!\Her friend hasn't seen her either!\What am I going to do?!\This is all my fault!\It's my fault that Miuna-chan response:	Calm down, Akari!
context: What are yo\Miuna-chan hasn't come home yet!\Miuna?!\Her friend hasn't seen her either!\What am I going to do?!\This is all my fault!\It's my fault that Miuna-chan\Calm down, Akari! response:	I'll find Miuna for you!
context: Miuna-chan hasn't come home yet!\Miuna?!\Her friend hasn't seen her either!\What am I going to do?!\This is all my fault!\It's my fault that Miuna-chan\Calm down, Akari!\I'll find Miuna for you! response:	What are you talking about?!
context: Miuna?!\Her friend hasn't seen her either!\What am I going to do?!\This is all my fault!\It's my fault that Miuna-chan\Calm down, Akari!\I'll find Miuna for you!\What are you talking about?! response:	It's already late, so leave the searching to the adults...
context: Her friend hasn't seen her either!\What am I going to do?!\This is all my fault!\It's my fault that Miuna-chan\Calm down, Akari!\I'll find Miuna for you!\What are you talking about?!\It's already late, so leave the searching to the adults... response:	You should be
context: What am I going to do?!\This is all my fault!\It's my fault that Miuna-chan\Calm down, Akari!\I'll find Miuna for you!\What are you talking about?!\It's already late, so leave the searching to the adults...\You should be response:	Don't treat me like a kid!
context: This is all my fault!\It's my fault that Miuna-chan\Calm down, Akari!\I'll find Miuna for you!\What are you talking about?!\It's already late, so leave the searching to the adults...\You should be\Don't treat me like a kid! response:	Huh?
context: It's my fault that Miuna-chan\Calm down, Akari!\I'll find Miuna for you!\What are you talking about?!\It's already late, so leave the searching to the adults...\You should be\Don't treat me like a kid!\Huh? response:	No matter how much you try to act like an adult,
context: Calm down, Akari!\I'll find Miuna for you!\What are you talking about?!\It's already late, so leave the searching to the adults...\You should be\Don't treat me like a kid!\Huh?\No matter how much you try to act like an adult, response:	you'll never be able to replace Mom!
context: I'll find Miuna for you!\What are you talking about?!\It's already late, so leave the searching to the adults...\You should be\Don't treat me like a kid!\Huh?\No matter how much you try to act like an adult,\you'll never be able to replace Mom! response:	Huh?
context: What are you talking about?!\It's already late, so leave the searching to the adults...\You should be\Don't treat me like a kid!\Huh?\No matter how much you try to act like an adult,\you'll never be able to replace Mom!\Huh? response:	So... Hurry up and go be Miuna's new mom!
context: It's already late, so leave the searching to the adults...\You should be\Don't treat me like a kid!\Huh?\No matter how much you try to act like an adult,\you'll never be able to replace Mom!\Huh?\So... Hurry up and go be Miuna's new mom! response:	Hikari...
context: You should be\Don't treat me like a kid!\Huh?\No matter how much you try to act like an adult,\you'll never be able to replace Mom!\Huh?\So... Hurry up and go be Miuna's new mom!\Hikari... response:	I confirmed with Uroko-sama.
context: Don't treat me like a kid!\Huh?\No matter how much you try to act like an adult,\you'll never be able to replace Mom!\Huh?\So... Hurry up and go be Miuna's new mom!\Hikari...\I confirmed with Uroko-sama. response:	She didn't fall into the ocean.
context: Huh?\No matter how much you try to act like an adult,\you'll never be able to replace Mom!\Huh?\So... Hurry up and go be Miuna's new mom!\Hikari...\I confirmed with Uroko-sama.\She didn't fall into the ocean. response:	She's fine.
context: No matter how much you try to act like an adult,\you'll never be able to replace Mom!\Huh?\So... Hurry up and go be Miuna's new mom!\Hikari...\I confirmed with Uroko-sama.\She didn't fall into the ocean.\She's fine. response:	Old man...
context: you'll never be able to replace Mom!\Huh?\So... Hurry up and go be Miuna's new mom!\Hikari...\I confirmed with Uroko-sama.\She didn't fall into the ocean.\She's fine.\Old man... response:	Go.
context: Huh?\So... Hurry up and go be Miuna's new mom!\Hikari...\I confirmed with Uroko-sama.\She didn't fall into the ocean.\She's fine.\Old man...\Go. response:	All right, I'm hanging up.
context: So... Hurry up and go be Miuna's new mom!\Hikari...\I confirmed with Uroko-sama.\She didn't fall into the ocean.\She's fine.\Old man...\Go.\All right, I'm hanging up. response:	Hikari!
context: Hikari...\I confirmed with Uroko-sama.\She didn't fall into the ocean.\She's fine.\Old man...\Go.\All right, I'm hanging up.\Hikari! response:	Where the heck did she go?
context: I confirmed with Uroko-sama.\She didn't fall into the ocean.\She's fine.\Old man...\Go.\All right, I'm hanging up.\Hikari!\Where the heck did she go? response:	I think only the area near the mountain is left.
context: She didn't fall into the ocean.\She's fine.\Old man...\Go.\All right, I'm hanging up.\Hikari!\Where the heck did she go?\I think only the area near the mountain is left. response:	It's been getting chilly at night lately...
context: She's fine.\Old man...\Go.\All right, I'm hanging up.\Hikari!\Where the heck did she go?\I think only the area near the mountain is left.\It's been getting chilly at night lately... response:	I wonder if she's okay.
context: Old man...\Go.\All right, I'm hanging up.\Hikari!\Where the heck did she go?\I think only the area near the mountain is left.\It's been getting chilly at night lately...\I wonder if she's okay. response:	Damn it, talk about a problem child.
context: Go.\All right, I'm hanging up.\Hikari!\Where the heck did she go?\I think only the area near the mountain is left.\It's been getting chilly at night lately...\I wonder if she's okay.\Damn it, talk about a problem child. response:	Nothing less from the daughter of that lecherous old ma
context: All right, I'm hanging up.\Hikari!\Where the heck did she go?\I think only the area near the mountain is left.\It's been getting chilly at night lately...\I wonder if she's okay.\Damn it, talk about a problem child.\Nothing less from the daughter of that lecherous old ma response:	What the hell do you think you're
context: Hikari!\Where the heck did she go?\I think only the area near the mountain is left.\It's been getting chilly at night lately...\I wonder if she's okay.\Damn it, talk about a problem child.\Nothing less from the daughter of that lecherous old ma\What the hell do you think you're response:	Don't say bad things about my dad.
context: Where the heck did she go?\I think only the area near the mountain is left.\It's been getting chilly at night lately...\I wonder if she's okay.\Damn it, talk about a problem child.\Nothing less from the daughter of that lecherous old ma\What the hell do you think you're\Don't say bad things about my dad. response:	Miuna!
context: I think only the area near the mountain is left.\It's been getting chilly at night lately...\I wonder if she's okay.\Damn it, talk about a problem child.\Nothing less from the daughter of that lecherous old ma\What the hell do you think you're\Don't say bad things about my dad.\Miuna! response:	Miuna-chan!
context: It's been getting chilly at night lately...\I wonder if she's okay.\Damn it, talk about a problem child.\Nothing less from the daughter of that lecherous old ma\What the hell do you think you're\Don't say bad things about my dad.\Miuna!\Miuna-chan! response:	I'm not going home.
context: I wonder if she's okay.\Damn it, talk about a problem child.\Nothing less from the daughter of that lecherous old ma\What the hell do you think you're\Don't say bad things about my dad.\Miuna!\Miuna-chan!\I'm not going home. response:	But...
context: Damn it, talk about a problem child.\Nothing less from the daughter of that lecherous old ma\What the hell do you think you're\Don't say bad things about my dad.\Miuna!\Miuna-chan!\I'm not going home.\But... response:	your dad and everyone else are really worried about you.
context: Nothing less from the daughter of that lecherous old ma\What the hell do you think you're\Don't say bad things about my dad.\Miuna!\Miuna-chan!\I'm not going home.\But...\your dad and everyone else are really worried about you. response:	They're not worried.
context: What the hell do you think you're\Don't say bad things about my dad.\Miuna!\Miuna-chan!\I'm not going home.\But...\your dad and everyone else are really worried about you.\They're not worried. response:	Everyone's worried enough to go looking for you!
context: Don't say bad things about my dad.\Miuna!\Miuna-chan!\I'm not going home.\But...\your dad and everyone else are really worried about you.\They're not worried.\Everyone's worried enough to go looking for you! response:	I'm alone.
context: Miuna!\Miuna-chan!\I'm not going home.\But...\your dad and everyone else are really worried about you.\They're not worried.\Everyone's worried enough to go looking for you!\I'm alone. response:	What should we do?
context: Miuna-chan!\I'm not going home.\But...\your dad and everyone else are really worried about you.\They're not worried.\Everyone's worried enough to go looking for you!\I'm alone.\What should we do? response:	Oh, we have a futon for guests!
context: I'm not going home.\But...\your dad and everyone else are really worried about you.\They're not worried.\Everyone's worried enough to go looking for you!\I'm alone.\What should we do?\Oh, we have a futon for guests! response:	Miuna can't go to Shioshishio!
context: But...\your dad and everyone else are really worried about you.\They're not worried.\Everyone's worried enough to go looking for you!\I'm alone.\What should we do?\Oh, we have a futon for guests!\Miuna can't go to Shioshishio! response:	It is chilly at night, but it's summer...
context: your dad and everyone else are really worried about you.\They're not worried.\Everyone's worried enough to go looking for you!\I'm alone.\What should we do?\Oh, we have a futon for guests!\Miuna can't go to Shioshishio!\It is chilly at night, but it's summer... response:	Miuna-chan!
context: They're not worried.\Everyone's worried enough to go looking for you!\I'm alone.\What should we do?\Oh, we have a futon for guests!\Miuna can't go to Shioshishio!\It is chilly at night, but it's summer...\Miuna-chan! response:	Triangle
context: Everyone's worried enough to go looking for you!\I'm alone.\What should we do?\Oh, we have a futon for guests!\Miuna can't go to Shioshishio!\It is chilly at night, but it's summer...\Miuna-chan!\Triangle response:	Akari!
context: I'm alone.\What should we do?\Oh, we have a futon for guests!\Miuna can't go to Shioshishio!\It is chilly at night, but it's summer...\Miuna-chan!\Triangle\Akari! response:	Akari! They said they found Miuna!
context: What should we do?\Oh, we have a futon for guests!\Miuna can't go to Shioshishio!\It is chilly at night, but it's summer...\Miuna-chan!\Triangle\Akari!\Akari! They said they found Miuna! response:	Huh?
context: Oh, we have a futon for guests!\Miuna can't go to Shioshishio!\It is chilly at night, but it's summer...\Miuna-chan!\Triangle\Akari!\Akari! They said they found Miuna!\Huh? response:	The fishery cooperative got a call from Hikari-kun.
context: Miuna can't go to Shioshishio!\It is chilly at night, but it's summer...\Miuna-chan!\Triangle\Akari!\Akari! They said they found Miuna!\Huh?\The fishery cooperative got a call from Hikari-kun. response:	And apparently he wanted us to leave everything to him for tonight.
context: It is chilly at night, but it's summer...\Miuna-chan!\Triangle\Akari!\Akari! They said they found Miuna!\Huh?\The fishery cooperative got a call from Hikari-kun.\And apparently he wanted us to leave everything to him for tonight. response:	He really... found her...
context: Miuna-chan!\Triangle\Akari!\Akari! They said they found Miuna!\Huh?\The fishery cooperative got a call from Hikari-kun.\And apparently he wanted us to leave everything to him for tonight.\He really... found her... response:	Akari? Are you all right?
context: Triangle\Akari!\Akari! They said they found Miuna!\Huh?\The fishery cooperative got a call from Hikari-kun.\And apparently he wanted us to leave everything to him for tonight.\He really... found her...\Akari? Are you all right? response:	I'm in love with you.
context: Akari!\Akari! They said they found Miuna!\Huh?\The fishery cooperative got a call from Hikari-kun.\And apparently he wanted us to leave everything to him for tonight.\He really... found her...\Akari? Are you all right?\I'm in love with you. response:	I love Miuna-chan and Miori-san as well.
context: Akari! They said they found Miuna!\Huh?\The fishery cooperative got a call from Hikari-kun.\And apparently he wanted us to leave everything to him for tonight.\He really... found her...\Akari? Are you all right?\I'm in love with you.\I love Miuna-chan and Miori-san as well. response:	Hikari dumped me, but I love him, too.
context: Huh?\The fishery cooperative got a call from Hikari-kun.\And apparently he wanted us to leave everything to him for tonight.\He really... found her...\Akari? Are you all right?\I'm in love with you.\I love Miuna-chan and Miori-san as well.\Hikari dumped me, but I love him, too. response:	I love you all.
context: The fishery cooperative got a call from Hikari-kun.\And apparently he wanted us to leave everything to him for tonight.\He really... found her...\Akari? Are you all right?\I'm in love with you.\I love Miuna-chan and Miori-san as well.\Hikari dumped me, but I love him, too.\I love you all. response:	Akari?
context: And apparently he wanted us to leave everything to him for tonight.\He really... found her...\Akari? Are you all right?\I'm in love with you.\I love Miuna-chan and Miori-san as well.\Hikari dumped me, but I love him, too.\I love you all.\Akari? response:	It's just as Hikari says.
context: He really... found her...\Akari? Are you all right?\I'm in love with you.\I love Miuna-chan and Miori-san as well.\Hikari dumped me, but I love him, too.\I love you all.\Akari?\It's just as Hikari says. response:	I'm a child.
context: Akari? Are you all right?\I'm in love with you.\I love Miuna-chan and Miori-san as well.\Hikari dumped me, but I love him, too.\I love you all.\Akari?\It's just as Hikari says.\I'm a child. response:	I'm greedy.
context: I'm in love with you.\I love Miuna-chan and Miori-san as well.\Hikari dumped me, but I love him, too.\I love you all.\Akari?\It's just as Hikari says.\I'm a child.\I'm greedy. response:	I want to have everyone that I love.
context: I love Miuna-chan and Miori-san as well.\Hikari dumped me, but I love him, too.\I love you all.\Akari?\It's just as Hikari says.\I'm a child.\I'm greedy.\I want to have everyone that I love. response:	I know what I should have done, but...
context: Hikari dumped me, but I love him, too.\I love you all.\Akari?\It's just as Hikari says.\I'm a child.\I'm greedy.\I want to have everyone that I love.\I know what I should have done, but... response:	I just can't give up!
context: I love you all.\Akari?\It's just as Hikari says.\I'm a child.\I'm greedy.\I want to have everyone that I love.\I know what I should have done, but...\I just can't give up! response:	I don't want to give up!
context: Akari?\It's just as Hikari says.\I'm a child.\I'm greedy.\I want to have everyone that I love.\I know what I should have done, but...\I just can't give up!\I don't want to give up! response:	Yeah...
context: It's just as Hikari says.\I'm a child.\I'm greedy.\I want to have everyone that I love.\I know what I should have done, but...\I just can't give up!\I don't want to give up!\Yeah... response:	I don't want to give up on all of us being happy either.
context: I'm a child.\I'm greedy.\I want to have everyone that I love.\I know what I should have done, but...\I just can't give up!\I don't want to give up!\Yeah...\I don't want to give up on all of us being happy either. response:	Hey, I got some!
context: I'm greedy.\I want to have everyone that I love.\I know what I should have done, but...\I just can't give up!\I don't want to give up!\Yeah...\I don't want to give up on all of us being happy either.\Hey, I got some! response:	Oh, thanks.
context: I want to have everyone that I love.\I know what I should have done, but...\I just can't give up!\I don't want to give up!\Yeah...\I don't want to give up on all of us being happy either.\Hey, I got some!\Oh, thanks. response:	Where'd you get all that?
context: I know what I should have done, but...\I just can't give up!\I don't want to give up!\Yeah...\I don't want to give up on all of us being happy either.\Hey, I got some!\Oh, thanks.\Where'd you get all that? response:	This place was in business until this spring,
context: I just can't give up!\I don't want to give up!\Yeah...\I don't want to give up on all of us being happy either.\Hey, I got some!\Oh, thanks.\Where'd you get all that?\This place was in business until this spring, response:	so the pots and plates were left as is.
context: I don't want to give up!\Yeah...\I don't want to give up on all of us being happy either.\Hey, I got some!\Oh, thanks.\Where'd you get all that?\This place was in business until this spring,\so the pots and plates were left as is. response:	Huh.
context: Yeah...\I don't want to give up on all of us being happy either.\Hey, I got some!\Oh, thanks.\Where'd you get all that?\This place was in business until this spring,\so the pots and plates were left as is.\Huh. response:	Chisaki, you better make a better meal than me.
context: I don't want to give up on all of us being happy either.\Hey, I got some!\Oh, thanks.\Where'd you get all that?\This place was in business until this spring,\so the pots and plates were left as is.\Huh.\Chisaki, you better make a better meal than me. response:	We need to gut these.
context: Hey, I got some!\Oh, thanks.\Where'd you get all that?\This place was in business until this spring,\so the pots and plates were left as is.\Huh.\Chisaki, you better make a better meal than me.\We need to gut these. response:	Chii-chan...
context: Oh, thanks.\Where'd you get all that?\This place was in business until this spring,\so the pots and plates were left as is.\Huh.\Chisaki, you better make a better meal than me.\We need to gut these.\Chii-chan... response:	Kaname and I will work on this,
context: Where'd you get all that?\This place was in business until this spring,\so the pots and plates were left as is.\Huh.\Chisaki, you better make a better meal than me.\We need to gut these.\Chii-chan...\Kaname and I will work on this, response:	so Manaka, could you go get some more fish with Miuna-chan?
context: This place was in business until this spring,\so the pots and plates were left as is.\Huh.\Chisaki, you better make a better meal than me.\We need to gut these.\Chii-chan...\Kaname and I will work on this,\so Manaka, could you go get some more fish with Miuna-chan? response:	You too, Hikari. This isn't nearly enough.
context: so the pots and plates were left as is.\Huh.\Chisaki, you better make a better meal than me.\We need to gut these.\Chii-chan...\Kaname and I will work on this,\so Manaka, could you go get some more fish with Miuna-chan?\You too, Hikari. This isn't nearly enough. response:	Yeah, yeah.
context: Huh.\Chisaki, you better make a better meal than me.\We need to gut these.\Chii-chan...\Kaname and I will work on this,\so Manaka, could you go get some more fish with Miuna-chan?\You too, Hikari. This isn't nearly enough.\Yeah, yeah. response:	Is this edible?
context: Chisaki, you better make a better meal than me.\We need to gut these.\Chii-chan...\Kaname and I will work on this,\so Manaka, could you go get some more fish with Miuna-chan?\You too, Hikari. This isn't nearly enough.\Yeah, yeah.\Is this edible? response:	Oh, a sea slug?
context: We need to gut these.\Chii-chan...\Kaname and I will work on this,\so Manaka, could you go get some more fish with Miuna-chan?\You too, Hikari. This isn't nearly enough.\Yeah, yeah.\Is this edible?\Oh, a sea slug? response:	I guess you could eat them, but...
context: Chii-chan...\Kaname and I will work on this,\so Manaka, could you go get some more fish with Miuna-chan?\You too, Hikari. This isn't nearly enough.\Yeah, yeah.\Is this edible?\Oh, a sea slug?\I guess you could eat them, but... response:	Yeah...
context: Kaname and I will work on this,\so Manaka, could you go get some more fish with Miuna-chan?\You too, Hikari. This isn't nearly enough.\Yeah, yeah.\Is this edible?\Oh, a sea slug?\I guess you could eat them, but...\Yeah... response:	I guess red ones are really rare.
context: so Manaka, could you go get some more fish with Miuna-chan?\You too, Hikari. This isn't nearly enough.\Yeah, yeah.\Is this edible?\Oh, a sea slug?\I guess you could eat them, but...\Yeah...\I guess red ones are really rare. response:	So I guess the one the other day was special.
context: You too, Hikari. This isn't nearly enough.\Yeah, yeah.\Is this edible?\Oh, a sea slug?\I guess you could eat them, but...\Yeah...\I guess red ones are really rare.\So I guess the one the other day was special. response:	Red ones?
context: Yeah, yeah.\Is this edible?\Oh, a sea slug?\I guess you could eat them, but...\Yeah...\I guess red ones are really rare.\So I guess the one the other day was special.\Red ones? response:	You can eat the green ones, but the red ones are for talking to.
context: Is this edible?\Oh, a sea slug?\I guess you could eat them, but...\Yeah...\I guess red ones are really rare.\So I guess the one the other day was special.\Red ones?\You can eat the green ones, but the red ones are for talking to. response:	If you tell it things that you can't tell anyone else,
context: Oh, a sea slug?\I guess you could eat them, but...\Yeah...\I guess red ones are really rare.\So I guess the one the other day was special.\Red ones?\You can eat the green ones, but the red ones are for talking to.\If you tell it things that you can't tell anyone else, response:	it'll tell you things or something...
context: I guess you could eat them, but...\Yeah...\I guess red ones are really rare.\So I guess the one the other day was special.\Red ones?\You can eat the green ones, but the red ones are for talking to.\If you tell it things that you can't tell anyone else,\it'll tell you things or something... response:	Yeah...
context: Yeah...\I guess red ones are really rare.\So I guess the one the other day was special.\Red ones?\You can eat the green ones, but the red ones are for talking to.\If you tell it things that you can't tell anyone else,\it'll tell you things or something...\Yeah... response:	Even if it doesn't,
context: I guess red ones are really rare.\So I guess the one the other day was special.\Red ones?\You can eat the green ones, but the red ones are for talking to.\If you tell it things that you can't tell anyone else,\it'll tell you things or something...\Yeah...\Even if it doesn't, response:	I guess it can make you feel a little better.
context: So I guess the one the other day was special.\Red ones?\You can eat the green ones, but the red ones are for talking to.\If you tell it things that you can't tell anyone else,\it'll tell you things or something...\Yeah...\Even if it doesn't,\I guess it can make you feel a little better. response:	I know about something like that.
context: Red ones?\You can eat the green ones, but the red ones are for talking to.\If you tell it things that you can't tell anyone else,\it'll tell you things or something...\Yeah...\Even if it doesn't,\I guess it can make you feel a little better.\I know about something like that. response:	There's something I was using instead of a sea slug.
context: You can eat the green ones, but the red ones are for talking to.\If you tell it things that you can't tell anyone else,\it'll tell you things or something...\Yeah...\Even if it doesn't,\I guess it can make you feel a little better.\I know about something like that.\There's something I was using instead of a sea slug. response:	Go Aw
context: If you tell it things that you can't tell anyone else,\it'll tell you things or something...\Yeah...\Even if it doesn't,\I guess it can make you feel a little better.\I know about something like that.\There's something I was using instead of a sea slug.\Go Aw response:	Huh?
context: it'll tell you things or something...\Yeah...\Even if it doesn't,\I guess it can make you feel a little better.\I know about something like that.\There's something I was using instead of a sea slug.\Go Aw\Huh? response:	If you find a red one, what will you tell it?
context: Yeah...\Even if it doesn't,\I guess it can make you feel a little better.\I know about something like that.\There's something I was using instead of a sea slug.\Go Aw\Huh?\If you find a red one, what will you tell it? response:	This is my special miso soup, so eat up!
context: Even if it doesn't,\I guess it can make you feel a little better.\I know about something like that.\There's something I was using instead of a sea slug.\Go Aw\Huh?\If you find a red one, what will you tell it?\This is my special miso soup, so eat up! response:	When I find a red sea slug, what should I tell it?
context: I guess it can make you feel a little better.\I know about something like that.\There's something I was using instead of a sea slug.\Go Aw\Huh?\If you find a red one, what will you tell it?\This is my special miso soup, so eat up!\When I find a red sea slug, what should I tell it? response:	You always make this whenever something happens, Hikari.
context: I know about something like that.\There's something I was using instead of a sea slug.\Go Aw\Huh?\If you find a red one, what will you tell it?\This is my special miso soup, so eat up!\When I find a red sea slug, what should I tell it?\You always make this whenever something happens, Hikari. response:	Yeah, I'm starting to wonder if that's all you can make.
context: There's something I was using instead of a sea slug.\Go Aw\Huh?\If you find a red one, what will you tell it?\This is my special miso soup, so eat up!\When I find a red sea slug, what should I tell it?\You always make this whenever something happens, Hikari.\Yeah, I'm starting to wonder if that's all you can make. response:	I wonder... what I want answers to...
context: Go Aw\Huh?\If you find a red one, what will you tell it?\This is my special miso soup, so eat up!\When I find a red sea slug, what should I tell it?\You always make this whenever something happens, Hikari.\Yeah, I'm starting to wonder if that's all you can make.\I wonder... what I want answers to... response:	Then you make something!
context: Huh?\If you find a red one, what will you tell it?\This is my special miso soup, so eat up!\When I find a red sea slug, what should I tell it?\You always make this whenever something happens, Hikari.\Yeah, I'm starting to wonder if that's all you can make.\I wonder... what I want answers to...\Then you make something! response:	Thanks for looking with me.
context: If you find a red one, what will you tell it?\This is my special miso soup, so eat up!\When I find a red sea slug, what should I tell it?\You always make this whenever something happens, Hikari.\Yeah, I'm starting to wonder if that's all you can make.\I wonder... what I want answers to...\Then you make something!\Thanks for looking with me. response:	You sure it'll be okay?
context: This is my special miso soup, so eat up!\When I find a red sea slug, what should I tell it?\You always make this whenever something happens, Hikari.\Yeah, I'm starting to wonder if that's all you can make.\I wonder... what I want answers to...\Then you make something!\Thanks for looking with me.\You sure it'll be okay? response:	Yeah, somehow things will work out.
context: When I find a red sea slug, what should I tell it?\You always make this whenever something happens, Hikari.\Yeah, I'm starting to wonder if that's all you can make.\I wonder... what I want answers to...\Then you make something!\Thanks for looking with me.\You sure it'll be okay?\Yeah, somehow things will work out. response:	See you.
context: You always make this whenever something happens, Hikari.\Yeah, I'm starting to wonder if that's all you can make.\I wonder... what I want answers to...\Then you make something!\Thanks for looking with me.\You sure it'll be okay?\Yeah, somehow things will work out.\See you. response:	Yeah.
context: Yeah, I'm starting to wonder if that's all you can make.\I wonder... what I want answers to...\Then you make something!\Thanks for looking with me.\You sure it'll be okay?\Yeah, somehow things will work out.\See you.\Yeah. response:	Oh. S-See you.
context: I wonder... what I want answers to...\Then you make something!\Thanks for looking with me.\You sure it'll be okay?\Yeah, somehow things will work out.\See you.\Yeah.\Oh. S-See you. response:	They're pretty amazing, aren't they? The stars.
context: Then you make something!\Thanks for looking with me.\You sure it'll be okay?\Yeah, somehow things will work out.\See you.\Yeah.\Oh. S-See you.\They're pretty amazing, aren't they? The stars. response:	So, hey...
context: Thanks for looking with me.\You sure it'll be okay?\Yeah, somehow things will work out.\See you.\Yeah.\Oh. S-See you.\They're pretty amazing, aren't they? The stars.\So, hey... response:	Akari's a good person.
context: You sure it'll be okay?\Yeah, somehow things will work out.\See you.\Yeah.\Oh. S-See you.\They're pretty amazing, aren't they? The stars.\So, hey...\Akari's a good person. response:	I know me saying that might not mean much, but...
context: Yeah, somehow things will work out.\See you.\Yeah.\Oh. S-See you.\They're pretty amazing, aren't they? The stars.\So, hey...\Akari's a good person.\I know me saying that might not mean much, but... response:	So don't hate her.
context: See you.\Yeah.\Oh. S-See you.\They're pretty amazing, aren't they? The stars.\So, hey...\Akari's a good person.\I know me saying that might not mean much, but...\So don't hate her. response:	Nope. I'm going to.
context: Yeah.\Oh. S-See you.\They're pretty amazing, aren't they? The stars.\So, hey...\Akari's a good person.\I know me saying that might not mean much, but...\So don't hate her.\Nope. I'm going to. response:	You say you're alone,
context: Oh. S-See you.\They're pretty amazing, aren't they? The stars.\So, hey...\Akari's a good person.\I know me saying that might not mean much, but...\So don't hate her.\Nope. I'm going to.\You say you're alone, response:	but you have all these people who love you.
context: They're pretty amazing, aren't they? The stars.\So, hey...\Akari's a good person.\I know me saying that might not mean much, but...\So don't hate her.\Nope. I'm going to.\You say you're alone,\but you have all these people who love you. response:	I don't.
context: So, hey...\Akari's a good person.\I know me saying that might not mean much, but...\So don't hate her.\Nope. I'm going to.\You say you're alone,\but you have all these people who love you.\I don't. response:	Yeah, you do. I mean
context: Akari's a good person.\I know me saying that might not mean much, but...\So don't hate her.\Nope. I'm going to.\You say you're alone,\but you have all these people who love you.\I don't.\Yeah, you do. I mean response:	I don't!
context: I know me saying that might not mean much, but...\So don't hate her.\Nope. I'm going to.\You say you're alone,\but you have all these people who love you.\I don't.\Yeah, you do. I mean\I don't! response:	I don't want there to be!
context: So don't hate her.\Nope. I'm going to.\You say you're alone,\but you have all these people who love you.\I don't.\Yeah, you do. I mean\I don't!\I don't want there to be! response:	The way you write Miuna is beautiful ocean.
context: Nope. I'm going to.\You say you're alone,\but you have all these people who love you.\I don't.\Yeah, you do. I mean\I don't!\I don't want there to be!\The way you write Miuna is beautiful ocean. response:	Miuna
context: You say you're alone,\but you have all these people who love you.\I don't.\Yeah, you do. I mean\I don't!\I don't want there to be!\The way you write Miuna is beautiful ocean.\Miuna response:	Mommy loves the ocean.
context: but you have all these people who love you.\I don't.\Yeah, you do. I mean\I don't!\I don't want there to be!\The way you write Miuna is beautiful ocean.\Miuna\Mommy loves the ocean. response:	If you love it, why are you living where there's land?
context: I don't.\Yeah, you do. I mean\I don't!\I don't want there to be!\The way you write Miuna is beautiful ocean.\Miuna\Mommy loves the ocean.\If you love it, why are you living where there's land? response:	Because I love you more, Miuna.
context: Yeah, you do. I mean\I don't!\I don't want there to be!\The way you write Miuna is beautiful ocean.\Miuna\Mommy loves the ocean.\If you love it, why are you living where there's land?\Because I love you more, Miuna. response:	I love you too, Mommy!
context: I don't!\I don't want there to be!\The way you write Miuna is beautiful ocean.\Miuna\Mommy loves the ocean.\If you love it, why are you living where there's land?\Because I love you more, Miuna.\I love you too, Mommy! response:	I love, love, love you!
context: I don't want there to be!\The way you write Miuna is beautiful ocean.\Miuna\Mommy loves the ocean.\If you love it, why are you living where there's land?\Because I love you more, Miuna.\I love you too, Mommy!\I love, love, love you! response:	That tickles!
context: The way you write Miuna is beautiful ocean.\Miuna\Mommy loves the ocean.\If you love it, why are you living where there's land?\Because I love you more, Miuna.\I love you too, Mommy!\I love, love, love you!\That tickles! response:	What the hell do you think you're doing?!
context: Miuna\Mommy loves the ocean.\If you love it, why are you living where there's land?\Because I love you more, Miuna.\I love you too, Mommy!\I love, love, love you!\That tickles!\What the hell do you think you're doing?! response:	I can't swim!
context: Mommy loves the ocean.\If you love it, why are you living where there's land?\Because I love you more, Miuna.\I love you too, Mommy!\I love, love, love you!\That tickles!\What the hell do you think you're doing?!\I can't swim! response:	Why?!
context: If you love it, why are you living where there's land?\Because I love you more, Miuna.\I love you too, Mommy!\I love, love, love you!\That tickles!\What the hell do you think you're doing?!\I can't swim!\Why?! response:	Mommy's from the sea!
