context: Takase! response:	I can't help but follow Sugawara-kun with my eyes these days.
context: It's fine. Just give it a good whack.\Stop, Mom!\What if it gets even worse?\No way!\I'm good with technology.\Thanks, Mom.\I can't give up.\Let me apologize! response:	He hasn't given up yet!
context: Stop, Mom!\What if it gets even worse?\No way!\I'm good with technology.\Thanks, Mom.\I can't give up.\Let me apologize!\He hasn't given up yet! response:	Answer the phone, Kana!
context: What if it gets even worse?\No way!\I'm good with technology.\Thanks, Mom.\I can't give up.\Let me apologize!\He hasn't given up yet!\Answer the phone, Kana! response:	Chiaki!
context: No way!\I'm good with technology.\Thanks, Mom.\I can't give up.\Let me apologize!\He hasn't given up yet!\Answer the phone, Kana!\Chiaki! response:	Hello?!
context: I'm good with technology.\Thanks, Mom.\I can't give up.\Let me apologize!\He hasn't given up yet!\Answer the phone, Kana!\Chiaki!\Hello?! response:	She hung up!
context: Thanks, Mom.\I can't give up.\Let me apologize!\He hasn't given up yet!\Answer the phone, Kana!\Chiaki!\Hello?!\She hung up! response:	What the hell?!
context: I can't give up.\Let me apologize!\He hasn't given up yet!\Answer the phone, Kana!\Chiaki!\Hello?!\She hung up!\What the hell?! response:	Fine, I'm blocking you, too, idiot!
context: Let me apologize!\He hasn't given up yet!\Answer the phone, Kana!\Chiaki!\Hello?!\She hung up!\What the hell?!\Fine, I'm blocking you, too, idiot! response:	What? It broke?
context: He hasn't given up yet!\Answer the phone, Kana!\Chiaki!\Hello?!\She hung up!\What the hell?!\Fine, I'm blocking you, too, idiot!\What? It broke? response:	That's the problem with technology!
context: Answer the phone, Kana!\Chiaki!\Hello?!\She hung up!\What the hell?!\Fine, I'm blocking you, too, idiot!\What? It broke?\That's the problem with technology! response:	Class 2-1
context: Chiaki!\Hello?!\She hung up!\What the hell?!\Fine, I'm blocking you, too, idiot!\What? It broke?\That's the problem with technology!\Class 2-1 response:	Huh? Did I forget my pencil leads?
context: Hello?!\She hung up!\What the hell?!\Fine, I'm blocking you, too, idiot!\What? It broke?\That's the problem with technology!\Class 2-1\Huh? Did I forget my pencil leads? response:	Exam
context: She hung up!\What the hell?!\Fine, I'm blocking you, too, idiot!\What? It broke?\That's the problem with technology!\Class 2-1\Huh? Did I forget my pencil leads?\Exam response:	I thought I brought them.
context: What the hell?!\Fine, I'm blocking you, too, idiot!\What? It broke?\That's the problem with technology!\Class 2-1\Huh? Did I forget my pencil leads?\Exam\I thought I brought them. response:	If...
context: Fine, I'm blocking you, too, idiot!\What? It broke?\That's the problem with technology!\Class 2-1\Huh? Did I forget my pencil leads?\Exam\I thought I brought them.\If... response:	If I gave her my pencil leads, would she think I had ulterior motives?
context: What? It broke?\That's the problem with technology!\Class 2-1\Huh? Did I forget my pencil leads?\Exam\I thought I brought them.\If...\If I gave her my pencil leads, would she think I had ulterior motives? response:	If I asked Takase instead of my girl friends,
context: That's the problem with technology!\Class 2-1\Huh? Did I forget my pencil leads?\Exam\I thought I brought them.\If...\If I gave her my pencil leads, would she think I had ulterior motives?\If I asked Takase instead of my girl friends, response:	for a pencil lead, would he think I had ulterior motives?
context: Class 2-1\Huh? Did I forget my pencil leads?\Exam\I thought I brought them.\If...\If I gave her my pencil leads, would she think I had ulterior motives?\If I asked Takase instead of my girl friends,\for a pencil lead, would he think I had ulterior motives? response:	Well, I mean, I do have an ulterior motive.
context: Huh? Did I forget my pencil leads?\Exam\I thought I brought them.\If...\If I gave her my pencil leads, would she think I had ulterior motives?\If I asked Takase instead of my girl friends,\for a pencil lead, would he think I had ulterior motives?\Well, I mean, I do have an ulterior motive. response:	All right, take your seats.
context: Exam\I thought I brought them.\If...\If I gave her my pencil leads, would she think I had ulterior motives?\If I asked Takase instead of my girl friends,\for a pencil lead, would he think I had ulterior motives?\Well, I mean, I do have an ulterior motive.\All right, take your seats. response:	Yuki-chan, can I have some pencil leads?
context: I thought I brought them.\If...\If I gave her my pencil leads, would she think I had ulterior motives?\If I asked Takase instead of my girl friends,\for a pencil lead, would he think I had ulterior motives?\Well, I mean, I do have an ulterior motive.\All right, take your seats.\Yuki-chan, can I have some pencil leads? response:	Sorry, my pencil leads are 0.4 millimeter.
context: If...\If I gave her my pencil leads, would she think I had ulterior motives?\If I asked Takase instead of my girl friends,\for a pencil lead, would he think I had ulterior motives?\Well, I mean, I do have an ulterior motive.\All right, take your seats.\Yuki-chan, can I have some pencil leads?\Sorry, my pencil leads are 0.4 millimeter. response:	Why don't you ask Takase-kun?
context: If I gave her my pencil leads, would she think I had ulterior motives?\If I asked Takase instead of my girl friends,\for a pencil lead, would he think I had ulterior motives?\Well, I mean, I do have an ulterior motive.\All right, take your seats.\Yuki-chan, can I have some pencil leads?\Sorry, my pencil leads are 0.4 millimeter.\Why don't you ask Takase-kun? response:	You sit next to him.
context: If I asked Takase instead of my girl friends,\for a pencil lead, would he think I had ulterior motives?\Well, I mean, I do have an ulterior motive.\All right, take your seats.\Yuki-chan, can I have some pencil leads?\Sorry, my pencil leads are 0.4 millimeter.\Why don't you ask Takase-kun?\You sit next to him. response:	Um, well...
context: for a pencil lead, would he think I had ulterior motives?\Well, I mean, I do have an ulterior motive.\All right, take your seats.\Yuki-chan, can I have some pencil leads?\Sorry, my pencil leads are 0.4 millimeter.\Why don't you ask Takase-kun?\You sit next to him.\Um, well... response:	It's your chance to get close to him.
context: Well, I mean, I do have an ulterior motive.\All right, take your seats.\Yuki-chan, can I have some pencil leads?\Sorry, my pencil leads are 0.4 millimeter.\Why don't you ask Takase-kun?\You sit next to him.\Um, well...\It's your chance to get close to him. response:	No, don't bring that up!
context: All right, take your seats.\Yuki-chan, can I have some pencil leads?\Sorry, my pencil leads are 0.4 millimeter.\Why don't you ask Takase-kun?\You sit next to him.\Um, well...\It's your chance to get close to him.\No, don't bring that up! response:	Final Exams
context: Yuki-chan, can I have some pencil leads?\Sorry, my pencil leads are 0.4 millimeter.\Why don't you ask Takase-kun?\You sit next to him.\Um, well...\It's your chance to get close to him.\No, don't bring that up!\Final Exams response:	Second-year English Exam Answer Sheet
context: Sorry, my pencil leads are 0.4 millimeter.\Why don't you ask Takase-kun?\You sit next to him.\Um, well...\It's your chance to get close to him.\No, don't bring that up!\Final Exams\Second-year English Exam Answer Sheet response:	Crap, I'm already out of lead.
context: Why don't you ask Takase-kun?\You sit next to him.\Um, well...\It's your chance to get close to him.\No, don't bring that up!\Final Exams\Second-year English Exam Answer Sheet\Crap, I'm already out of lead. response:	I should have asked Takase.
context: You sit next to him.\Um, well...\It's your chance to get close to him.\No, don't bring that up!\Final Exams\Second-year English Exam Answer Sheet\Crap, I'm already out of lead.\I should have asked Takase. response:	Class 2-1
context: Um, well...\It's your chance to get close to him.\No, don't bring that up!\Final Exams\Second-year English Exam Answer Sheet\Crap, I'm already out of lead.\I should have asked Takase.\Class 2-1 response:	Time's up.
context: It's your chance to get close to him.\No, don't bring that up!\Final Exams\Second-year English Exam Answer Sheet\Crap, I'm already out of lead.\I should have asked Takase.\Class 2-1\Time's up. response:	Pass your answer sheets towards the front.
context: No, don't bring that up!\Final Exams\Second-year English Exam Answer Sheet\Crap, I'm already out of lead.\I should have asked Takase.\Class 2-1\Time's up.\Pass your answer sheets towards the front. response:	Thanks for the lead.
context: Final Exams\Second-year English Exam Answer Sheet\Crap, I'm already out of lead.\I should have asked Takase.\Class 2-1\Time's up.\Pass your answer sheets towards the front.\Thanks for the lead. response:	Sure. No problem.
context: Second-year English Exam Answer Sheet\Crap, I'm already out of lead.\I should have asked Takase.\Class 2-1\Time's up.\Pass your answer sheets towards the front.\Thanks for the lead.\Sure. No problem. response:	I'll give you mine sometime.
context: Crap, I'm already out of lead.\I should have asked Takase.\Class 2-1\Time's up.\Pass your answer sheets towards the front.\Thanks for the lead.\Sure. No problem.\I'll give you mine sometime. response:	It's fine.
context: I should have asked Takase.\Class 2-1\Time's up.\Pass your answer sheets towards the front.\Thanks for the lead.\Sure. No problem.\I'll give you mine sometime.\It's fine. response:	Why aren't they going out?
context: Class 2-1\Time's up.\Pass your answer sheets towards the front.\Thanks for the lead.\Sure. No problem.\I'll give you mine sometime.\It's fine.\Why aren't they going out? response:	Um...
context: Time's up.\Pass your answer sheets towards the front.\Thanks for the lead.\Sure. No problem.\I'll give you mine sometime.\It's fine.\Why aren't they going out?\Um... response:	The solution of ax = b is...
context: Pass your answer sheets towards the front.\Thanks for the lead.\Sure. No problem.\I'll give you mine sometime.\It's fine.\Why aren't they going out?\Um...\The solution of ax = b is... response:	x equals...
context: Thanks for the lead.\Sure. No problem.\I'll give you mine sometime.\It's fine.\Why aren't they going out?\Um...\The solution of ax = b is...\x equals... response:	Wait, is this wrong?
context: Sure. No problem.\I'll give you mine sometime.\It's fine.\Why aren't they going out?\Um...\The solution of ax = b is...\x equals...\Wait, is this wrong? response:	You want to go to college?
context: I'll give you mine sometime.\It's fine.\Why aren't they going out?\Um...\The solution of ax = b is...\x equals...\Wait, is this wrong?\You want to go to college? response:	You're already in third year.
context: It's fine.\Why aren't they going out?\Um...\The solution of ax = b is...\x equals...\Wait, is this wrong?\You want to go to college?\You're already in third year. response:	Isn't it too late to start studying now?
context: Why aren't they going out?\Um...\The solution of ax = b is...\x equals...\Wait, is this wrong?\You want to go to college?\You're already in third year.\Isn't it too late to start studying now? response:	Th-That's why I'm studying now!
context: Um...\The solution of ax = b is...\x equals...\Wait, is this wrong?\You want to go to college?\You're already in third year.\Isn't it too late to start studying now?\Th-That's why I'm studying now! response:	We don't have money, though.
context: The solution of ax = b is...\x equals...\Wait, is this wrong?\You want to go to college?\You're already in third year.\Isn't it too late to start studying now?\Th-That's why I'm studying now!\We don't have money, though. response:	Going to college is one thing, but private?
context: x equals...\Wait, is this wrong?\You want to go to college?\You're already in third year.\Isn't it too late to start studying now?\Th-That's why I'm studying now!\We don't have money, though.\Going to college is one thing, but private? response:	I-I know!
context: Wait, is this wrong?\You want to go to college?\You're already in third year.\Isn't it too late to start studying now?\Th-That's why I'm studying now!\We don't have money, though.\Going to college is one thing, but private?\I-I know! response:	That's why...
context: You want to go to college?\You're already in third year.\Isn't it too late to start studying now?\Th-That's why I'm studying now!\We don't have money, though.\Going to college is one thing, but private?\I-I know!\That's why... response:	That's what I said to my mom,
context: You're already in third year.\Isn't it too late to start studying now?\Th-That's why I'm studying now!\We don't have money, though.\Going to college is one thing, but private?\I-I know!\That's why...\That's what I said to my mom, response:	but am I really going to make it into public college, studying now?
context: Isn't it too late to start studying now?\Th-That's why I'm studying now!\We don't have money, though.\Going to college is one thing, but private?\I-I know!\That's why...\That's what I said to my mom,\but am I really going to make it into public college, studying now? response:	Shit.
context: Th-That's why I'm studying now!\We don't have money, though.\Going to college is one thing, but private?\I-I know!\That's why...\That's what I said to my mom,\but am I really going to make it into public college, studying now?\Shit. response:	I skipped or slept through all my exams until now.
context: We don't have money, though.\Going to college is one thing, but private?\I-I know!\That's why...\That's what I said to my mom,\but am I really going to make it into public college, studying now?\Shit.\I skipped or slept through all my exams until now. response:	Now that I'm serious,
context: Going to college is one thing, but private?\I-I know!\That's why...\That's what I said to my mom,\but am I really going to make it into public college, studying now?\Shit.\I skipped or slept through all my exams until now.\Now that I'm serious, response:	everyone else looks better than me.
context: I-I know!\That's why...\That's what I said to my mom,\but am I really going to make it into public college, studying now?\Shit.\I skipped or slept through all my exams until now.\Now that I'm serious,\everyone else looks better than me. response:	I think I really did start too late.
context: That's why...\That's what I said to my mom,\but am I really going to make it into public college, studying now?\Shit.\I skipped or slept through all my exams until now.\Now that I'm serious,\everyone else looks better than me.\I think I really did start too late. response:	Concentrate!
context: That's what I said to my mom,\but am I really going to make it into public college, studying now?\Shit.\I skipped or slept through all my exams until now.\Now that I'm serious,\everyone else looks better than me.\I think I really did start too late.\Concentrate! response:	Concentrate, dammit!
context: but am I really going to make it into public college, studying now?\Shit.\I skipped or slept through all my exams until now.\Now that I'm serious,\everyone else looks better than me.\I think I really did start too late.\Concentrate!\Concentrate, dammit! response:	Was Kaji always so studious?
context: Shit.\I skipped or slept through all my exams until now.\Now that I'm serious,\everyone else looks better than me.\I think I really did start too late.\Concentrate!\Concentrate, dammit!\Was Kaji always so studious? response:	I'm surprised, too.
context: I skipped or slept through all my exams until now.\Now that I'm serious,\everyone else looks better than me.\I think I really did start too late.\Concentrate!\Concentrate, dammit!\Was Kaji always so studious?\I'm surprised, too. response:	She's awoken to the fact that exams are approaching.
context: Now that I'm serious,\everyone else looks better than me.\I think I really did start too late.\Concentrate!\Concentrate, dammit!\Was Kaji always so studious?\I'm surprised, too.\She's awoken to the fact that exams are approaching. response:	You could learn from her, Kyouko-san
context: everyone else looks better than me.\I think I really did start too late.\Concentrate!\Concentrate, dammit!\Was Kaji always so studious?\I'm surprised, too.\She's awoken to the fact that exams are approaching.\You could learn from her, Kyouko-san response:	It's her man.
context: I think I really did start too late.\Concentrate!\Concentrate, dammit!\Was Kaji always so studious?\I'm surprised, too.\She's awoken to the fact that exams are approaching.\You could learn from her, Kyouko-san\It's her man. response:	I mean, isn't she dating the student council president?
context: Concentrate!\Concentrate, dammit!\Was Kaji always so studious?\I'm surprised, too.\She's awoken to the fact that exams are approaching.\You could learn from her, Kyouko-san\It's her man.\I mean, isn't she dating the student council president? response:	Didn't you know?
context: Concentrate, dammit!\Was Kaji always so studious?\I'm surprised, too.\She's awoken to the fact that exams are approaching.\You could learn from her, Kyouko-san\It's her man.\I mean, isn't she dating the student council president?\Didn't you know? response:	Masafumi, your girl looks tense.
context: Was Kaji always so studious?\I'm surprised, too.\She's awoken to the fact that exams are approaching.\You could learn from her, Kyouko-san\It's her man.\I mean, isn't she dating the student council president?\Didn't you know?\Masafumi, your girl looks tense. response:	Aren't you going to talk to her?
context: I'm surprised, too.\She's awoken to the fact that exams are approaching.\You could learn from her, Kyouko-san\It's her man.\I mean, isn't she dating the student council president?\Didn't you know?\Masafumi, your girl looks tense.\Aren't you going to talk to her? response:	It's part of her practice.
context: She's awoken to the fact that exams are approaching.\You could learn from her, Kyouko-san\It's her man.\I mean, isn't she dating the student council president?\Didn't you know?\Masafumi, your girl looks tense.\Aren't you going to talk to her?\It's part of her practice. response:	She'll be alone at the exam.
context: You could learn from her, Kyouko-san\It's her man.\I mean, isn't she dating the student council president?\Didn't you know?\Masafumi, your girl looks tense.\Aren't you going to talk to her?\It's part of her practice.\She'll be alone at the exam. response:	You say that, but you're the one who's trying not to freak out.
context: It's her man.\I mean, isn't she dating the student council president?\Didn't you know?\Masafumi, your girl looks tense.\Aren't you going to talk to her?\It's part of her practice.\She'll be alone at the exam.\You say that, but you're the one who's trying not to freak out. response:	Snap.
context: I mean, isn't she dating the student council president?\Didn't you know?\Masafumi, your girl looks tense.\Aren't you going to talk to her?\It's part of her practice.\She'll be alone at the exam.\You say that, but you're the one who's trying not to freak out.\Snap. response:	I'm handing out exams.
context: Didn't you know?\Masafumi, your girl looks tense.\Aren't you going to talk to her?\It's part of her practice.\She'll be alone at the exam.\You say that, but you're the one who's trying not to freak out.\Snap.\I'm handing out exams. response:	Take your seats.
context: Masafumi, your girl looks tense.\Aren't you going to talk to her?\It's part of her practice.\She'll be alone at the exam.\You say that, but you're the one who's trying not to freak out.\Snap.\I'm handing out exams.\Take your seats. response:	S-Stay calm.
context: Aren't you going to talk to her?\It's part of her practice.\She'll be alone at the exam.\You say that, but you're the one who's trying not to freak out.\Snap.\I'm handing out exams.\Take your seats.\S-Stay calm. response:	Remember what you learned with Akagi!
context: It's part of her practice.\She'll be alone at the exam.\You say that, but you're the one who's trying not to freak out.\Snap.\I'm handing out exams.\Take your seats.\S-Stay calm.\Remember what you learned with Akagi! response:	Ryoko-chan, that question there...
context: She'll be alone at the exam.\You say that, but you're the one who's trying not to freak out.\Snap.\I'm handing out exams.\Take your seats.\S-Stay calm.\Remember what you learned with Akagi!\Ryoko-chan, that question there... response:	Was I wrong?
context: You say that, but you're the one who's trying not to freak out.\Snap.\I'm handing out exams.\Take your seats.\S-Stay calm.\Remember what you learned with Akagi!\Ryoko-chan, that question there...\Was I wrong? response:	Can I kiss you when you're done?
context: Snap.\I'm handing out exams.\Take your seats.\S-Stay calm.\Remember what you learned with Akagi!\Ryoko-chan, that question there...\Was I wrong?\Can I kiss you when you're done? response:	Die.
context: I'm handing out exams.\Take your seats.\S-Stay calm.\Remember what you learned with Akagi!\Ryoko-chan, that question there...\Was I wrong?\Can I kiss you when you're done?\Die. response:	Fundamentals of Exam Problems Mathematics III
context: Take your seats.\S-Stay calm.\Remember what you learned with Akagi!\Ryoko-chan, that question there...\Was I wrong?\Can I kiss you when you're done?\Die.\Fundamentals of Exam Problems Mathematics III response:	No, just forget it.
context: S-Stay calm.\Remember what you learned with Akagi!\Ryoko-chan, that question there...\Was I wrong?\Can I kiss you when you're done?\Die.\Fundamentals of Exam Problems Mathematics III\No, just forget it. response:	Finished.
context: Remember what you learned with Akagi!\Ryoko-chan, that question there...\Was I wrong?\Can I kiss you when you're done?\Die.\Fundamentals of Exam Problems Mathematics III\No, just forget it.\Finished. response:	I-Is this right?
context: Ryoko-chan, that question there...\Was I wrong?\Can I kiss you when you're done?\Die.\Fundamentals of Exam Problems Mathematics III\No, just forget it.\Finished.\I-Is this right? response:	I think I answered it, but...
context: Was I wrong?\Can I kiss you when you're done?\Die.\Fundamentals of Exam Problems Mathematics III\No, just forget it.\Finished.\I-Is this right?\I think I answered it, but... response:	Did I seriously?
context: Can I kiss you when you're done?\Die.\Fundamentals of Exam Problems Mathematics III\No, just forget it.\Finished.\I-Is this right?\I think I answered it, but...\Did I seriously? response:	No, I've got this.
context: Die.\Fundamentals of Exam Problems Mathematics III\No, just forget it.\Finished.\I-Is this right?\I think I answered it, but...\Did I seriously?\No, I've got this. response:	I reviewed it over and over.
context: Fundamentals of Exam Problems Mathematics III\No, just forget it.\Finished.\I-Is this right?\I think I answered it, but...\Did I seriously?\No, I've got this.\I reviewed it over and over. response:	I'm going to get this right and go to college with Akagi.
context: No, just forget it.\Finished.\I-Is this right?\I think I answered it, but...\Did I seriously?\No, I've got this.\I reviewed it over and over.\I'm going to get this right and go to college with Akagi. response:	Uh...
context: Finished.\I-Is this right?\I think I answered it, but...\Did I seriously?\No, I've got this.\I reviewed it over and over.\I'm going to get this right and go to college with Akagi.\Uh... response:	What do you do in these situations again?
context: I-Is this right?\I think I answered it, but...\Did I seriously?\No, I've got this.\I reviewed it over and over.\I'm going to get this right and go to college with Akagi.\Uh...\What do you do in these situations again? response:	Oh yeah, tell the teacher.
context: I think I answered it, but...\Did I seriously?\No, I've got this.\I reviewed it over and over.\I'm going to get this right and go to college with Akagi.\Uh...\What do you do in these situations again?\Oh yeah, tell the teacher. response:	Wouldn't people think
context: Did I seriously?\No, I've got this.\I reviewed it over and over.\I'm going to get this right and go to college with Akagi.\Uh...\What do you do in these situations again?\Oh yeah, tell the teacher.\Wouldn't people think response:	I'm weird if I raise my hand?
context: No, I've got this.\I reviewed it over and over.\I'm going to get this right and go to college with Akagi.\Uh...\What do you do in these situations again?\Oh yeah, tell the teacher.\Wouldn't people think\I'm weird if I raise my hand? response:	There's a delinquent taking the exams.
context: I reviewed it over and over.\I'm going to get this right and go to college with Akagi.\Uh...\What do you do in these situations again?\Oh yeah, tell the teacher.\Wouldn't people think\I'm weird if I raise my hand?\There's a delinquent taking the exams. response:	She's trying to go to college.
context: I'm going to get this right and go to college with Akagi.\Uh...\What do you do in these situations again?\Oh yeah, tell the teacher.\Wouldn't people think\I'm weird if I raise my hand?\There's a delinquent taking the exams.\She's trying to go to college. response:	Of course.
context: Uh...\What do you do in these situations again?\Oh yeah, tell the teacher.\Wouldn't people think\I'm weird if I raise my hand?\There's a delinquent taking the exams.\She's trying to go to college.\Of course. response:	It doesn't matter how hard I try.
context: What do you do in these situations again?\Oh yeah, tell the teacher.\Wouldn't people think\I'm weird if I raise my hand?\There's a delinquent taking the exams.\She's trying to go to college.\Of course.\It doesn't matter how hard I try. response:	Sensei, could you please pick up this eraser?
context: Oh yeah, tell the teacher.\Wouldn't people think\I'm weird if I raise my hand?\There's a delinquent taking the exams.\She's trying to go to college.\Of course.\It doesn't matter how hard I try.\Sensei, could you please pick up this eraser? response:	Oh, sure.
context: Wouldn't people think\I'm weird if I raise my hand?\There's a delinquent taking the exams.\She's trying to go to college.\Of course.\It doesn't matter how hard I try.\Sensei, could you please pick up this eraser?\Oh, sure. response:	Let's see...
context: I'm weird if I raise my hand?\There's a delinquent taking the exams.\She's trying to go to college.\Of course.\It doesn't matter how hard I try.\Sensei, could you please pick up this eraser?\Oh, sure.\Let's see... response:	Oh, not mine.
context: There's a delinquent taking the exams.\She's trying to go to college.\Of course.\It doesn't matter how hard I try.\Sensei, could you please pick up this eraser?\Oh, sure.\Let's see...\Oh, not mine. response:	Kaji-san's.
context: She's trying to go to college.\Of course.\It doesn't matter how hard I try.\Sensei, could you please pick up this eraser?\Oh, sure.\Let's see...\Oh, not mine.\Kaji-san's. response:	Hey, Kaji.
context: Of course.\It doesn't matter how hard I try.\Sensei, could you please pick up this eraser?\Oh, sure.\Let's see...\Oh, not mine.\Kaji-san's.\Hey, Kaji. response:	I see you're working hard this time.
context: It doesn't matter how hard I try.\Sensei, could you please pick up this eraser?\Oh, sure.\Let's see...\Oh, not mine.\Kaji-san's.\Hey, Kaji.\I see you're working hard this time. response:	Break a leg.
context: Sensei, could you please pick up this eraser?\Oh, sure.\Let's see...\Oh, not mine.\Kaji-san's.\Hey, Kaji.\I see you're working hard this time.\Break a leg. response:	Th-Thank you.
context: Oh, sure.\Let's see...\Oh, not mine.\Kaji-san's.\Hey, Kaji.\I see you're working hard this time.\Break a leg.\Th-Thank you. response:	I'm rooting for you, too.
context: Let's see...\Oh, not mine.\Kaji-san's.\Hey, Kaji.\I see you're working hard this time.\Break a leg.\Th-Thank you.\I'm rooting for you, too. response:	What's wrong, Kaji?
context: Oh, not mine.\Kaji-san's.\Hey, Kaji.\I see you're working hard this time.\Break a leg.\Th-Thank you.\I'm rooting for you, too.\What's wrong, Kaji? response:	Are you feeling sick?
context: Kaji-san's.\Hey, Kaji.\I see you're working hard this time.\Break a leg.\Th-Thank you.\I'm rooting for you, too.\What's wrong, Kaji?\Are you feeling sick? response:	No.
context: Hey, Kaji.\I see you're working hard this time.\Break a leg.\Th-Thank you.\I'm rooting for you, too.\What's wrong, Kaji?\Are you feeling sick?\No. response:	It's nothing.
context: I see you're working hard this time.\Break a leg.\Th-Thank you.\I'm rooting for you, too.\What's wrong, Kaji?\Are you feeling sick?\No.\It's nothing. response:	Was it something I said?
context: Break a leg.\Th-Thank you.\I'm rooting for you, too.\What's wrong, Kaji?\Are you feeling sick?\No.\It's nothing.\Was it something I said? response:	N-No!
context: Th-Thank you.\I'm rooting for you, too.\What's wrong, Kaji?\Are you feeling sick?\No.\It's nothing.\Was it something I said?\N-No! response:	Want to go to the nurse's office?
context: I'm rooting for you, too.\What's wrong, Kaji?\Are you feeling sick?\No.\It's nothing.\Was it something I said?\N-No!\Want to go to the nurse's office? response:	I'm fine, dammit!
context: What's wrong, Kaji?\Are you feeling sick?\No.\It's nothing.\Was it something I said?\N-No!\Want to go to the nurse's office?\I'm fine, dammit! response:	I want to nap in the nurse's office, Sensei.
context: Are you feeling sick?\No.\It's nothing.\Was it something I said?\N-No!\Want to go to the nurse's office?\I'm fine, dammit!\I want to nap in the nurse's office, Sensei. response:	Hey, now, Sano.
context: No.\It's nothing.\Was it something I said?\N-No!\Want to go to the nurse's office?\I'm fine, dammit!\I want to nap in the nurse's office, Sensei.\Hey, now, Sano. response:	Get back to the exam.
context: It's nothing.\Was it something I said?\N-No!\Want to go to the nurse's office?\I'm fine, dammit!\I want to nap in the nurse's office, Sensei.\Hey, now, Sano.\Get back to the exam. response:	Next episode: Summer Is Coming.
context: Was it something I said?\N-No!\Want to go to the nurse's office?\I'm fine, dammit!\I want to nap in the nurse's office, Sensei.\Hey, now, Sano.\Get back to the exam.\Next episode: Summer Is Coming. response:	Summer Is Coming
