context: I did it! response:	Kaio- sama, what should I do next?
context: were a race whose bodies were only about half the size of the Saiyans.\However, they had a remarkable,\comparatively advanced level of civilization.\On the other hand, the Saiyans were a race that was very few in numbers,\but their bodies were bigger, not to mention stronger,\and they were an aggressive, primitive race.\The tails the Saiyans had were their greatest distinguishing characteristic.\They were all warrior-like people, as it were. response:	At one point, these warriors bared their fangs,
context: However, they had a remarkable,\comparatively advanced level of civilization.\On the other hand, the Saiyans were a race that was very few in numbers,\but their bodies were bigger, not to mention stronger,\and they were an aggressive, primitive race.\The tails the Saiyans had were their greatest distinguishing characteristic.\They were all warrior-like people, as it were.\At one point, these warriors bared their fangs, response:	and started to overrun the Tsufruians.
context: comparatively advanced level of civilization.\On the other hand, the Saiyans were a race that was very few in numbers,\but their bodies were bigger, not to mention stronger,\and they were an aggressive, primitive race.\The tails the Saiyans had were their greatest distinguishing characteristic.\They were all warrior-like people, as it were.\At one point, these warriors bared their fangs,\and started to overrun the Tsufruians. response:	The Tsufruians greeted them with advanced weaponry of their own making.
context: On the other hand, the Saiyans were a race that was very few in numbers,\but their bodies were bigger, not to mention stronger,\and they were an aggressive, primitive race.\The tails the Saiyans had were their greatest distinguishing characteristic.\They were all warrior-like people, as it were.\At one point, these warriors bared their fangs,\and started to overrun the Tsufruians.\The Tsufruians greeted them with advanced weaponry of their own making. response:	The Saiyans, who should have been utterly outnumbered, were incredibly strong,
context: but their bodies were bigger, not to mention stronger,\and they were an aggressive, primitive race.\The tails the Saiyans had were their greatest distinguishing characteristic.\They were all warrior-like people, as it were.\At one point, these warriors bared their fangs,\and started to overrun the Tsufruians.\The Tsufruians greeted them with advanced weaponry of their own making.\The Saiyans, who should have been utterly outnumbered, were incredibly strong, response:	and gradually, they brought the Tsufruians under their control.
context: and they were an aggressive, primitive race.\The tails the Saiyans had were their greatest distinguishing characteristic.\They were all warrior-like people, as it were.\At one point, these warriors bared their fangs,\and started to overrun the Tsufruians.\The Tsufruians greeted them with advanced weaponry of their own making.\The Saiyans, who should have been utterly outnumbered, were incredibly strong,\and gradually, they brought the Tsufruians under their control. response:	The decisive factor was the full moon,
context: The tails the Saiyans had were their greatest distinguishing characteristic.\They were all warrior-like people, as it were.\At one point, these warriors bared their fangs,\and started to overrun the Tsufruians.\The Tsufruians greeted them with advanced weaponry of their own making.\The Saiyans, who should have been utterly outnumbered, were incredibly strong,\and gradually, they brought the Tsufruians under their control.\The decisive factor was the full moon, response:	which only appeared on Planet Vegeta once every eight years.
context: They were all warrior-like people, as it were.\At one point, these warriors bared their fangs,\and started to overrun the Tsufruians.\The Tsufruians greeted them with advanced weaponry of their own making.\The Saiyans, who should have been utterly outnumbered, were incredibly strong,\and gradually, they brought the Tsufruians under their control.\The decisive factor was the full moon,\which only appeared on Planet Vegeta once every eight years. response:	That's because when Saiyans see the full moon, they transform into monsters.
context: At one point, these warriors bared their fangs,\and started to overrun the Tsufruians.\The Tsufruians greeted them with advanced weaponry of their own making.\The Saiyans, who should have been utterly outnumbered, were incredibly strong,\and gradually, they brought the Tsufruians under their control.\The decisive factor was the full moon,\which only appeared on Planet Vegeta once every eight years.\That's because when Saiyans see the full moon, they transform into monsters. response:	For the Tsufruians, this was their greatest threat,
context: and started to overrun the Tsufruians.\The Tsufruians greeted them with advanced weaponry of their own making.\The Saiyans, who should have been utterly outnumbered, were incredibly strong,\and gradually, they brought the Tsufruians under their control.\The decisive factor was the full moon,\which only appeared on Planet Vegeta once every eight years.\That's because when Saiyans see the full moon, they transform into monsters.\For the Tsufruians, this was their greatest threat, response:	and they suffered the most damage this way.
context: The Tsufruians greeted them with advanced weaponry of their own making.\The Saiyans, who should have been utterly outnumbered, were incredibly strong,\and gradually, they brought the Tsufruians under their control.\The decisive factor was the full moon,\which only appeared on Planet Vegeta once every eight years.\That's because when Saiyans see the full moon, they transform into monsters.\For the Tsufruians, this was their greatest threat,\and they suffered the most damage this way. response:	And so, little by little, as the Tsufruian civilization pulled back,
context: The Saiyans, who should have been utterly outnumbered, were incredibly strong,\and gradually, they brought the Tsufruians under their control.\The decisive factor was the full moon,\which only appeared on Planet Vegeta once every eight years.\That's because when Saiyans see the full moon, they transform into monsters.\For the Tsufruians, this was their greatest threat,\and they suffered the most damage this way.\And so, little by little, as the Tsufruian civilization pulled back, response:	the Saiyans quickly increased their numbers.
context: and gradually, they brought the Tsufruians under their control.\The decisive factor was the full moon,\which only appeared on Planet Vegeta once every eight years.\That's because when Saiyans see the full moon, they transform into monsters.\For the Tsufruians, this was their greatest threat,\and they suffered the most damage this way.\And so, little by little, as the Tsufruian civilization pulled back,\the Saiyans quickly increased their numbers. response:	In time, they completely took over Planet Vegeta.
context: The decisive factor was the full moon,\which only appeared on Planet Vegeta once every eight years.\That's because when Saiyans see the full moon, they transform into monsters.\For the Tsufruians, this was their greatest threat,\and they suffered the most damage this way.\And so, little by little, as the Tsufruian civilization pulled back,\the Saiyans quickly increased their numbers.\In time, they completely took over Planet Vegeta. response:	Then, the Saiyans took off into space, seeking to fight even more.
context: which only appeared on Planet Vegeta once every eight years.\That's because when Saiyans see the full moon, they transform into monsters.\For the Tsufruians, this was their greatest threat,\and they suffered the most damage this way.\And so, little by little, as the Tsufruian civilization pulled back,\the Saiyans quickly increased their numbers.\In time, they completely took over Planet Vegeta.\Then, the Saiyans took off into space, seeking to fight even more. response:	However, since the Tsufruians had been exterminated,
context: That's because when Saiyans see the full moon, they transform into monsters.\For the Tsufruians, this was their greatest threat,\and they suffered the most damage this way.\And so, little by little, as the Tsufruian civilization pulled back,\the Saiyans quickly increased their numbers.\In time, they completely took over Planet Vegeta.\Then, the Saiyans took off into space, seeking to fight even more.\However, since the Tsufruians had been exterminated, response:	further development of their civilization was slow to occur.
context: For the Tsufruians, this was their greatest threat,\and they suffered the most damage this way.\And so, little by little, as the Tsufruian civilization pulled back,\the Saiyans quickly increased their numbers.\In time, they completely took over Planet Vegeta.\Then, the Saiyans took off into space, seeking to fight even more.\However, since the Tsufruians had been exterminated,\further development of their civilization was slow to occur. response:	They realized that even though they wanted to fight,
context: and they suffered the most damage this way.\And so, little by little, as the Tsufruian civilization pulled back,\the Saiyans quickly increased their numbers.\In time, they completely took over Planet Vegeta.\Then, the Saiyans took off into space, seeking to fight even more.\However, since the Tsufruians had been exterminated,\further development of their civilization was slow to occur.\They realized that even though they wanted to fight, response:	they could not go out any farther into space.
context: And so, little by little, as the Tsufruian civilization pulled back,\the Saiyans quickly increased their numbers.\In time, they completely took over Planet Vegeta.\Then, the Saiyans took off into space, seeking to fight even more.\However, since the Tsufruians had been exterminated,\further development of their civilization was slow to occur.\They realized that even though they wanted to fight,\they could not go out any farther into space. response:	So the Saiyans joined forces with rich, advanced alien civilizations,
context: the Saiyans quickly increased their numbers.\In time, they completely took over Planet Vegeta.\Then, the Saiyans took off into space, seeking to fight even more.\However, since the Tsufruians had been exterminated,\further development of their civilization was slow to occur.\They realized that even though they wanted to fight,\they could not go out any farther into space.\So the Saiyans joined forces with rich, advanced alien civilizations, response:	and in exchange for furnishing planets to these aliens
context: In time, they completely took over Planet Vegeta.\Then, the Saiyans took off into space, seeking to fight even more.\However, since the Tsufruians had been exterminated,\further development of their civilization was slow to occur.\They realized that even though they wanted to fight,\they could not go out any farther into space.\So the Saiyans joined forces with rich, advanced alien civilizations,\and in exchange for furnishing planets to these aliens response:	for use in developing vacation estates,
context: Then, the Saiyans took off into space, seeking to fight even more.\However, since the Tsufruians had been exterminated,\further development of their civilization was slow to occur.\They realized that even though they wanted to fight,\they could not go out any farther into space.\So the Saiyans joined forces with rich, advanced alien civilizations,\and in exchange for furnishing planets to these aliens\for use in developing vacation estates, response:	they were able to obtain technology and money.
context: However, since the Tsufruians had been exterminated,\further development of their civilization was slow to occur.\They realized that even though they wanted to fight,\they could not go out any farther into space.\So the Saiyans joined forces with rich, advanced alien civilizations,\and in exchange for furnishing planets to these aliens\for use in developing vacation estates,\they were able to obtain technology and money. response:	For the battle-hungry Saiyans, this was killing two birds with one stone.
context: further development of their civilization was slow to occur.\They realized that even though they wanted to fight,\they could not go out any farther into space.\So the Saiyans joined forces with rich, advanced alien civilizations,\and in exchange for furnishing planets to these aliens\for use in developing vacation estates,\they were able to obtain technology and money.\For the battle-hungry Saiyans, this was killing two birds with one stone. response:	The Saiyans' activities escalated swiftly,
context: They realized that even though they wanted to fight,\they could not go out any farther into space.\So the Saiyans joined forces with rich, advanced alien civilizations,\and in exchange for furnishing planets to these aliens\for use in developing vacation estates,\they were able to obtain technology and money.\For the battle-hungry Saiyans, this was killing two birds with one stone.\The Saiyans' activities escalated swiftly, response:	and they even started sending babies to many other worlds, as was your case.
context: they could not go out any farther into space.\So the Saiyans joined forces with rich, advanced alien civilizations,\and in exchange for furnishing planets to these aliens\for use in developing vacation estates,\they were able to obtain technology and money.\For the battle-hungry Saiyans, this was killing two birds with one stone.\The Saiyans' activities escalated swiftly,\and they even started sending babies to many other worlds, as was your case. response:	They had come up with long-term plans, whereby once the baby grew up,
context: So the Saiyans joined forces with rich, advanced alien civilizations,\and in exchange for furnishing planets to these aliens\for use in developing vacation estates,\they were able to obtain technology and money.\For the battle-hungry Saiyans, this was killing two birds with one stone.\The Saiyans' activities escalated swiftly,\and they even started sending babies to many other worlds, as was your case.\They had come up with long-term plans, whereby once the baby grew up, response:	it would exterminate the planet's population.
context: and in exchange for furnishing planets to these aliens\for use in developing vacation estates,\they were able to obtain technology and money.\For the battle-hungry Saiyans, this was killing two birds with one stone.\The Saiyans' activities escalated swiftly,\and they even started sending babies to many other worlds, as was your case.\They had come up with long-term plans, whereby once the baby grew up,\it would exterminate the planet's population. response:	That's awfully overbearing!
context: for use in developing vacation estates,\they were able to obtain technology and money.\For the battle-hungry Saiyans, this was killing two birds with one stone.\The Saiyans' activities escalated swiftly,\and they even started sending babies to many other worlds, as was your case.\They had come up with long-term plans, whereby once the baby grew up,\it would exterminate the planet's population.\That's awfully overbearing! response:	But Planet Vegeta had its own Kami.
context: they were able to obtain technology and money.\For the battle-hungry Saiyans, this was killing two birds with one stone.\The Saiyans' activities escalated swiftly,\and they even started sending babies to many other worlds, as was your case.\They had come up with long-term plans, whereby once the baby grew up,\it would exterminate the planet's population.\That's awfully overbearing!\But Planet Vegeta had its own Kami. response:	He could not bear the Saiyans' evil deeds,
context: For the battle-hungry Saiyans, this was killing two birds with one stone.\The Saiyans' activities escalated swiftly,\and they even started sending babies to many other worlds, as was your case.\They had come up with long-term plans, whereby once the baby grew up,\it would exterminate the planet's population.\That's awfully overbearing!\But Planet Vegeta had its own Kami.\He could not bear the Saiyans' evil deeds, response:	and using his own powers, he pulled close some giant meteors,
context: The Saiyans' activities escalated swiftly,\and they even started sending babies to many other worlds, as was your case.\They had come up with long-term plans, whereby once the baby grew up,\it would exterminate the planet's population.\That's awfully overbearing!\But Planet Vegeta had its own Kami.\He could not bear the Saiyans' evil deeds,\and using his own powers, he pulled close some giant meteors, response:	which then collided with Planet Vegeta, causing it to explode.
context: and they even started sending babies to many other worlds, as was your case.\They had come up with long-term plans, whereby once the baby grew up,\it would exterminate the planet's population.\That's awfully overbearing!\But Planet Vegeta had its own Kami.\He could not bear the Saiyans' evil deeds,\and using his own powers, he pulled close some giant meteors,\which then collided with Planet Vegeta, causing it to explode. response:	Including yourself, there were only four Saiyans that survived.
context: They had come up with long-term plans, whereby once the baby grew up,\it would exterminate the planet's population.\That's awfully overbearing!\But Planet Vegeta had its own Kami.\He could not bear the Saiyans' evil deeds,\and using his own powers, he pulled close some giant meteors,\which then collided with Planet Vegeta, causing it to explode.\Including yourself, there were only four Saiyans that survived. response:	No!
context: it would exterminate the planet's population.\That's awfully overbearing!\But Planet Vegeta had its own Kami.\He could not bear the Saiyans' evil deeds,\and using his own powers, he pulled close some giant meteors,\which then collided with Planet Vegeta, causing it to explode.\Including yourself, there were only four Saiyans that survived.\No! response:	I ain't the same as those guys!
context: That's awfully overbearing!\But Planet Vegeta had its own Kami.\He could not bear the Saiyans' evil deeds,\and using his own powers, he pulled close some giant meteors,\which then collided with Planet Vegeta, causing it to explode.\Including yourself, there were only four Saiyans that survived.\No!\I ain't the same as those guys! response:	Yes, well...
context: But Planet Vegeta had its own Kami.\He could not bear the Saiyans' evil deeds,\and using his own powers, he pulled close some giant meteors,\which then collided with Planet Vegeta, causing it to explode.\Including yourself, there were only four Saiyans that survived.\No!\I ain't the same as those guys!\Yes, well... response:	One has died, and the other two mightiest,
context: He could not bear the Saiyans' evil deeds,\and using his own powers, he pulled close some giant meteors,\which then collided with Planet Vegeta, causing it to explode.\Including yourself, there were only four Saiyans that survived.\No!\I ain't the same as those guys!\Yes, well...\One has died, and the other two mightiest, response:	most wicked Saiyans now heading to Earth are the only survivors.
context: and using his own powers, he pulled close some giant meteors,\which then collided with Planet Vegeta, causing it to explode.\Including yourself, there were only four Saiyans that survived.\No!\I ain't the same as those guys!\Yes, well...\One has died, and the other two mightiest,\most wicked Saiyans now heading to Earth are the only survivors. response:	l'm going to protect the earth!
context: which then collided with Planet Vegeta, causing it to explode.\Including yourself, there were only four Saiyans that survived.\No!\I ain't the same as those guys!\Yes, well...\One has died, and the other two mightiest,\most wicked Saiyans now heading to Earth are the only survivors.\l'm going to protect the earth! response:	Gregory! We've got training! Help me out, please!
context: Including yourself, there were only four Saiyans that survived.\No!\I ain't the same as those guys!\Yes, well...\One has died, and the other two mightiest,\most wicked Saiyans now heading to Earth are the only survivors.\l'm going to protect the earth!\Gregory! We've got training! Help me out, please! response:	My, my, these are the first respectful words I've heard out of you.
context: No!\I ain't the same as those guys!\Yes, well...\One has died, and the other two mightiest,\most wicked Saiyans now heading to Earth are the only survivors.\l'm going to protect the earth!\Gregory! We've got training! Help me out, please!\My, my, these are the first respectful words I've heard out of you. response:	All right, I'll get you this time!
context: I ain't the same as those guys!\Yes, well...\One has died, and the other two mightiest,\most wicked Saiyans now heading to Earth are the only survivors.\l'm going to protect the earth!\Gregory! We've got training! Help me out, please!\My, my, these are the first respectful words I've heard out of you.\All right, I'll get you this time! response:	We'll see about that.
context: Yes, well...\One has died, and the other two mightiest,\most wicked Saiyans now heading to Earth are the only survivors.\l'm going to protect the earth!\Gregory! We've got training! Help me out, please!\My, my, these are the first respectful words I've heard out of you.\All right, I'll get you this time!\We'll see about that. response:	l won't let the Saiyans have their way!
context: One has died, and the other two mightiest,\most wicked Saiyans now heading to Earth are the only survivors.\l'm going to protect the earth!\Gregory! We've got training! Help me out, please!\My, my, these are the first respectful words I've heard out of you.\All right, I'll get you this time!\We'll see about that.\l won't let the Saiyans have their way! response:	Damn!
context: most wicked Saiyans now heading to Earth are the only survivors.\l'm going to protect the earth!\Gregory! We've got training! Help me out, please!\My, my, these are the first respectful words I've heard out of you.\All right, I'll get you this time!\We'll see about that.\l won't let the Saiyans have their way!\Damn! response:	You have all far surpassed me.
context: l'm going to protect the earth!\Gregory! We've got training! Help me out, please!\My, my, these are the first respectful words I've heard out of you.\All right, I'll get you this time!\We'll see about that.\l won't let the Saiyans have their way!\Damn!\You have all far surpassed me. response:	There is no longer anything that either I or Mister Popo can teach you.
context: Gregory! We've got training! Help me out, please!\My, my, these are the first respectful words I've heard out of you.\All right, I'll get you this time!\We'll see about that.\l won't let the Saiyans have their way!\Damn!\You have all far surpassed me.\There is no longer anything that either I or Mister Popo can teach you. response:	From now until the time of battle arrives,
context: My, my, these are the first respectful words I've heard out of you.\All right, I'll get you this time!\We'll see about that.\l won't let the Saiyans have their way!\Damn!\You have all far surpassed me.\There is no longer anything that either I or Mister Popo can teach you.\From now until the time of battle arrives, response:	you should go down to the surface and polish your techniques.
context: All right, I'll get you this time!\We'll see about that.\l won't let the Saiyans have their way!\Damn!\You have all far surpassed me.\There is no longer anything that either I or Mister Popo can teach you.\From now until the time of battle arrives,\you should go down to the surface and polish your techniques. response:	I leave the future to you.
context: We'll see about that.\l won't let the Saiyans have their way!\Damn!\You have all far surpassed me.\There is no longer anything that either I or Mister Popo can teach you.\From now until the time of battle arrives,\you should go down to the surface and polish your techniques.\I leave the future to you. response:	Right!
context: l won't let the Saiyans have their way!\Damn!\You have all far surpassed me.\There is no longer anything that either I or Mister Popo can teach you.\From now until the time of battle arrives,\you should go down to the surface and polish your techniques.\I leave the future to you.\Right! response:	So, can I take off this heavy shirt, now?
context: Damn!\You have all far surpassed me.\There is no longer anything that either I or Mister Popo can teach you.\From now until the time of battle arrives,\you should go down to the surface and polish your techniques.\I leave the future to you.\Right!\So, can I take off this heavy shirt, now? response:	Do as you wish.
context: You have all far surpassed me.\There is no longer anything that either I or Mister Popo can teach you.\From now until the time of battle arrives,\you should go down to the surface and polish your techniques.\I leave the future to you.\Right!\So, can I take off this heavy shirt, now?\Do as you wish. response:	Guys, let's go down to the surface and get to work!
context: There is no longer anything that either I or Mister Popo can teach you.\From now until the time of battle arrives,\you should go down to the surface and polish your techniques.\I leave the future to you.\Right!\So, can I take off this heavy shirt, now?\Do as you wish.\Guys, let's go down to the surface and get to work! response:	We should still be able to power ourselves up, after all.
context: From now until the time of battle arrives,\you should go down to the surface and polish your techniques.\I leave the future to you.\Right!\So, can I take off this heavy shirt, now?\Do as you wish.\Guys, let's go down to the surface and get to work!\We should still be able to power ourselves up, after all. response:	Everyone, get better!
context: you should go down to the surface and polish your techniques.\I leave the future to you.\Right!\So, can I take off this heavy shirt, now?\Do as you wish.\Guys, let's go down to the surface and get to work!\We should still be able to power ourselves up, after all.\Everyone, get better! response:	Goku, I can't wait to see you again!
context: I leave the future to you.\Right!\So, can I take off this heavy shirt, now?\Do as you wish.\Guys, let's go down to the surface and get to work!\We should still be able to power ourselves up, after all.\Everyone, get better!\Goku, I can't wait to see you again! response:	Hammer in hand, two weeks went by...
context: Right!\So, can I take off this heavy shirt, now?\Do as you wish.\Guys, let's go down to the surface and get to work!\We should still be able to power ourselves up, after all.\Everyone, get better!\Goku, I can't wait to see you again!\Hammer in hand, two weeks went by... response:	Almost there!
context: So, can I take off this heavy shirt, now?\Do as you wish.\Guys, let's go down to the surface and get to work!\We should still be able to power ourselves up, after all.\Everyone, get better!\Goku, I can't wait to see you again!\Hammer in hand, two weeks went by...\Almost there! response:	He's persistent!
context: Do as you wish.\Guys, let's go down to the surface and get to work!\We should still be able to power ourselves up, after all.\Everyone, get better!\Goku, I can't wait to see you again!\Hammer in hand, two weeks went by...\Almost there!\He's persistent! response:	All right!
context: Guys, let's go down to the surface and get to work!\We should still be able to power ourselves up, after all.\Everyone, get better!\Goku, I can't wait to see you again!\Hammer in hand, two weeks went by...\Almost there!\He's persistent!\All right! response:	Oh, no!
context: We should still be able to power ourselves up, after all.\Everyone, get better!\Goku, I can't wait to see you again!\Hammer in hand, two weeks went by...\Almost there!\He's persistent!\All right!\Oh, no! response:	Brace yourself, Gregory!
context: Everyone, get better!\Goku, I can't wait to see you again!\Hammer in hand, two weeks went by...\Almost there!\He's persistent!\All right!\Oh, no!\Brace yourself, Gregory! response:	I did it!
context: Goku, I can't wait to see you again!\Hammer in hand, two weeks went by...\Almost there!\He's persistent!\All right!\Oh, no!\Brace yourself, Gregory!\I did it! response:	It'd hurt if I hit you as hard as I could, after all.
context: Hammer in hand, two weeks went by...\Almost there!\He's persistent!\All right!\Oh, no!\Brace yourself, Gregory!\I did it!\It'd hurt if I hit you as hard as I could, after all. response:	You sure are benign. My body is harder than a rock.
context: Almost there!\He's persistent!\All right!\Oh, no!\Brace yourself, Gregory!\I did it!\It'd hurt if I hit you as hard as I could, after all.\You sure are benign. My body is harder than a rock. response:	You won't be able to beat the Saiyans like that.
context: He's persistent!\All right!\Oh, no!\Brace yourself, Gregory!\I did it!\It'd hurt if I hit you as hard as I could, after all.\You sure are benign. My body is harder than a rock.\You won't be able to beat the Saiyans like that. response:	Is that right? Maybe so, but you've still got a bump growing there.
context: All right!\Oh, no!\Brace yourself, Gregory!\I did it!\It'd hurt if I hit you as hard as I could, after all.\You sure are benign. My body is harder than a rock.\You won't be able to beat the Saiyans like that.\Is that right? Maybe so, but you've still got a bump growing there. response:	There are still 118 days remaining. He just might be able to master it!
context: Oh, no!\Brace yourself, Gregory!\I did it!\It'd hurt if I hit you as hard as I could, after all.\You sure are benign. My body is harder than a rock.\You won't be able to beat the Saiyans like that.\Is that right? Maybe so, but you've still got a bump growing there.\There are still 118 days remaining. He just might be able to master it! response:	The Kaio-ken technique!
context: Brace yourself, Gregory!\I did it!\It'd hurt if I hit you as hard as I could, after all.\You sure are benign. My body is harder than a rock.\You won't be able to beat the Saiyans like that.\Is that right? Maybe so, but you've still got a bump growing there.\There are still 118 days remaining. He just might be able to master it!\The Kaio-ken technique! response:	Kaio-ken, the technique that I could picture in my dreams,
context: I did it!\It'd hurt if I hit you as hard as I could, after all.\You sure are benign. My body is harder than a rock.\You won't be able to beat the Saiyans like that.\Is that right? Maybe so, but you've still got a bump growing there.\There are still 118 days remaining. He just might be able to master it!\The Kaio-ken technique!\Kaio-ken, the technique that I could picture in my dreams, response:	but was ultimately unable to perform myself...
context: It'd hurt if I hit you as hard as I could, after all.\You sure are benign. My body is harder than a rock.\You won't be able to beat the Saiyans like that.\Is that right? Maybe so, but you've still got a bump growing there.\There are still 118 days remaining. He just might be able to master it!\The Kaio-ken technique!\Kaio-ken, the technique that I could picture in my dreams,\but was ultimately unable to perform myself... response:	As well as that finishing move...
context: You sure are benign. My body is harder than a rock.\You won't be able to beat the Saiyans like that.\Is that right? Maybe so, but you've still got a bump growing there.\There are still 118 days remaining. He just might be able to master it!\The Kaio-ken technique!\Kaio-ken, the technique that I could picture in my dreams,\but was ultimately unable to perform myself...\As well as that finishing move... response:	Kaio- sama, like you promised-
context: You won't be able to beat the Saiyans like that.\Is that right? Maybe so, but you've still got a bump growing there.\There are still 118 days remaining. He just might be able to master it!\The Kaio-ken technique!\Kaio-ken, the technique that I could picture in my dreams,\but was ultimately unable to perform myself...\As well as that finishing move...\Kaio- sama, like you promised- response:	I know you're ready for this, but my training is harder than you can imagine!
context: Is that right? Maybe so, but you've still got a bump growing there.\There are still 118 days remaining. He just might be able to master it!\The Kaio-ken technique!\Kaio-ken, the technique that I could picture in my dreams,\but was ultimately unable to perform myself...\As well as that finishing move...\Kaio- sama, like you promised-\I know you're ready for this, but my training is harder than you can imagine! response:	Can you handle it!?
context: There are still 118 days remaining. He just might be able to master it!\The Kaio-ken technique!\Kaio-ken, the technique that I could picture in my dreams,\but was ultimately unable to perform myself...\As well as that finishing move...\Kaio- sama, like you promised-\I know you're ready for this, but my training is harder than you can imagine!\Can you handle it!? response:	Mm-hmm, I'll give it a try!
context: The Kaio-ken technique!\Kaio-ken, the technique that I could picture in my dreams,\but was ultimately unable to perform myself...\As well as that finishing move...\Kaio- sama, like you promised-\I know you're ready for this, but my training is harder than you can imagine!\Can you handle it!?\Mm-hmm, I'll give it a try! response:	You will be striving to be the best in the universe, the greatest in all the world,
context: Kaio-ken, the technique that I could picture in my dreams,\but was ultimately unable to perform myself...\As well as that finishing move...\Kaio- sama, like you promised-\I know you're ready for this, but my training is harder than you can imagine!\Can you handle it!?\Mm-hmm, I'll give it a try!\You will be striving to be the best in the universe, the greatest in all the world, response:	both physically and mentally. Got that!?
context: but was ultimately unable to perform myself...\As well as that finishing move...\Kaio- sama, like you promised-\I know you're ready for this, but my training is harder than you can imagine!\Can you handle it!?\Mm-hmm, I'll give it a try!\You will be striving to be the best in the universe, the greatest in all the world,\both physically and mentally. Got that!? response:	I got it!
context: As well as that finishing move...\Kaio- sama, like you promised-\I know you're ready for this, but my training is harder than you can imagine!\Can you handle it!?\Mm-hmm, I'll give it a try!\You will be striving to be the best in the universe, the greatest in all the world,\both physically and mentally. Got that!?\I got it! response:	All right, before we start... um, care to have some tea?
context: Kaio- sama, like you promised-\I know you're ready for this, but my training is harder than you can imagine!\Can you handle it!?\Mm-hmm, I'll give it a try!\You will be striving to be the best in the universe, the greatest in all the world,\both physically and mentally. Got that!?\I got it!\All right, before we start... um, care to have some tea? response:	Sis, I'd like you to tell the earth's future.
context: I know you're ready for this, but my training is harder than you can imagine!\Can you handle it!?\Mm-hmm, I'll give it a try!\You will be striving to be the best in the universe, the greatest in all the world,\both physically and mentally. Got that!?\I got it!\All right, before we start... um, care to have some tea?\Sis, I'd like you to tell the earth's future. response:	W- what? The earth's future?
context: Can you handle it!?\Mm-hmm, I'll give it a try!\You will be striving to be the best in the universe, the greatest in all the world,\both physically and mentally. Got that!?\I got it!\All right, before we start... um, care to have some tea?\Sis, I'd like you to tell the earth's future.\W- what? The earth's future? response:	I want to know what's going to happen next year.
context: Mm-hmm, I'll give it a try!\You will be striving to be the best in the universe, the greatest in all the world,\both physically and mentally. Got that!?\I got it!\All right, before we start... um, care to have some tea?\Sis, I'd like you to tell the earth's future.\W- what? The earth's future?\I want to know what's going to happen next year. response:	All right, I'll try to read it.
context: You will be striving to be the best in the universe, the greatest in all the world,\both physically and mentally. Got that!?\I got it!\All right, before we start... um, care to have some tea?\Sis, I'd like you to tell the earth's future.\W- what? The earth's future?\I want to know what's going to happen next year.\All right, I'll try to read it. response:	It's no use! Not even I can tell the future this time!
context: both physically and mentally. Got that!?\I got it!\All right, before we start... um, care to have some tea?\Sis, I'd like you to tell the earth's future.\W- what? The earth's future?\I want to know what's going to happen next year.\All right, I'll try to read it.\It's no use! Not even I can tell the future this time! response:	All right, that's it! You're starting to control your Ki!
context: I got it!\All right, before we start... um, care to have some tea?\Sis, I'd like you to tell the earth's future.\W- what? The earth's future?\I want to know what's going to happen next year.\All right, I'll try to read it.\It's no use! Not even I can tell the future this time!\All right, that's it! You're starting to control your Ki! response:	Weak!
context: All right, before we start... um, care to have some tea?\Sis, I'd like you to tell the earth's future.\W- what? The earth's future?\I want to know what's going to happen next year.\All right, I'll try to read it.\It's no use! Not even I can tell the future this time!\All right, that's it! You're starting to control your Ki!\Weak! response:	What kind of technique is this Kaio-ken?
context: Sis, I'd like you to tell the earth's future.\W- what? The earth's future?\I want to know what's going to happen next year.\All right, I'll try to read it.\It's no use! Not even I can tell the future this time!\All right, that's it! You're starting to control your Ki!\Weak!\What kind of technique is this Kaio-ken? response:	And what is this finishing move?
context: W- what? The earth's future?\I want to know what's going to happen next year.\All right, I'll try to read it.\It's no use! Not even I can tell the future this time!\All right, that's it! You're starting to control your Ki!\Weak!\What kind of technique is this Kaio-ken?\And what is this finishing move? response:	The time of battle pitilessly drew ever nearer.
