context: What about these? response:	Miuna, those are weeds.
context: I see.\I heard that the Ofunehiki and the hibernation are on the same day.\It's fine.\Watch me be a bride from the sea along with Mom...\Dad...\Stop.\You don't have to do that.\Let me say it. response:	This is the only chance I'll have.
context: I heard that the Ofunehiki and the hibernation are on the same day.\It's fine.\Watch me be a bride from the sea along with Mom...\Dad...\Stop.\You don't have to do that.\Let me say it.\This is the only chance I'll have. response:	When Mom died, you were the one who had it the hardest.
context: It's fine.\Watch me be a bride from the sea along with Mom...\Dad...\Stop.\You don't have to do that.\Let me say it.\This is the only chance I'll have.\When Mom died, you were the one who had it the hardest. response:	And yet, you never let those emotions show, and you watched over us.
context: Watch me be a bride from the sea along with Mom...\Dad...\Stop.\You don't have to do that.\Let me say it.\This is the only chance I'll have.\When Mom died, you were the one who had it the hardest.\And yet, you never let those emotions show, and you watched over us. response:	After Mom died...
context: Dad...\Stop.\You don't have to do that.\Let me say it.\This is the only chance I'll have.\When Mom died, you were the one who had it the hardest.\And yet, you never let those emotions show, and you watched over us.\After Mom died... response:	The first time you made soup for us...
context: Stop.\You don't have to do that.\Let me say it.\This is the only chance I'll have.\When Mom died, you were the one who had it the hardest.\And yet, you never let those emotions show, and you watched over us.\After Mom died...\The first time you made soup for us... response:	I'll never forget how it tasted.
context: You don't have to do that.\Let me say it.\This is the only chance I'll have.\When Mom died, you were the one who had it the hardest.\And yet, you never let those emotions show, and you watched over us.\After Mom died...\The first time you made soup for us...\I'll never forget how it tasted. response:	The giant and uneven pieces of carrots and daikon...
context: Let me say it.\This is the only chance I'll have.\When Mom died, you were the one who had it the hardest.\And yet, you never let those emotions show, and you watched over us.\After Mom died...\The first time you made soup for us...\I'll never forget how it tasted.\The giant and uneven pieces of carrots and daikon... response:	It was clumsy yet warm and kind...
context: This is the only chance I'll have.\When Mom died, you were the one who had it the hardest.\And yet, you never let those emotions show, and you watched over us.\After Mom died...\The first time you made soup for us...\I'll never forget how it tasted.\The giant and uneven pieces of carrots and daikon...\It was clumsy yet warm and kind... response:	It reminded me of you.
context: When Mom died, you were the one who had it the hardest.\And yet, you never let those emotions show, and you watched over us.\After Mom died...\The first time you made soup for us...\I'll never forget how it tasted.\The giant and uneven pieces of carrots and daikon...\It was clumsy yet warm and kind...\It reminded me of you. response:	The love... that you gave us...
context: And yet, you never let those emotions show, and you watched over us.\After Mom died...\The first time you made soup for us...\I'll never forget how it tasted.\The giant and uneven pieces of carrots and daikon...\It was clumsy yet warm and kind...\It reminded me of you.\The love... that you gave us... response:	I'd like to give that love to Miuna and Itaru-san as well.
context: After Mom died...\The first time you made soup for us...\I'll never forget how it tasted.\The giant and uneven pieces of carrots and daikon...\It was clumsy yet warm and kind...\It reminded me of you.\The love... that you gave us...\I'd like to give that love to Miuna and Itaru-san as well. response:	I'm sorry for being a selfish and difficult daughter to the very end.
context: The first time you made soup for us...\I'll never forget how it tasted.\The giant and uneven pieces of carrots and daikon...\It was clumsy yet warm and kind...\It reminded me of you.\The love... that you gave us...\I'd like to give that love to Miuna and Itaru-san as well.\I'm sorry for being a selfish and difficult daughter to the very end. response:	Thank you for everything you've done for me over the years.
context: I'll never forget how it tasted.\The giant and uneven pieces of carrots and daikon...\It was clumsy yet warm and kind...\It reminded me of you.\The love... that you gave us...\I'd like to give that love to Miuna and Itaru-san as well.\I'm sorry for being a selfish and difficult daughter to the very end.\Thank you for everything you've done for me over the years. response:	So cool!
context: The giant and uneven pieces of carrots and daikon...\It was clumsy yet warm and kind...\It reminded me of you.\The love... that you gave us...\I'd like to give that love to Miuna and Itaru-san as well.\I'm sorry for being a selfish and difficult daughter to the very end.\Thank you for everything you've done for me over the years.\So cool! response:	We're gonna wave this.
context: It was clumsy yet warm and kind...\It reminded me of you.\The love... that you gave us...\I'd like to give that love to Miuna and Itaru-san as well.\I'm sorry for being a selfish and difficult daughter to the very end.\Thank you for everything you've done for me over the years.\So cool!\We're gonna wave this. response:	Right.
context: It reminded me of you.\The love... that you gave us...\I'd like to give that love to Miuna and Itaru-san as well.\I'm sorry for being a selfish and difficult daughter to the very end.\Thank you for everything you've done for me over the years.\So cool!\We're gonna wave this.\Right. response:	So that Ojoshi-sama can head toward the Sea God without getting lost.
context: The love... that you gave us...\I'd like to give that love to Miuna and Itaru-san as well.\I'm sorry for being a selfish and difficult daughter to the very end.\Thank you for everything you've done for me over the years.\So cool!\We're gonna wave this.\Right.\So that Ojoshi-sama can head toward the Sea God without getting lost. response:	So that everything goes where it belongs.
context: I'd like to give that love to Miuna and Itaru-san as well.\I'm sorry for being a selfish and difficult daughter to the very end.\Thank you for everything you've done for me over the years.\So cool!\We're gonna wave this.\Right.\So that Ojoshi-sama can head toward the Sea God without getting lost.\So that everything goes where it belongs. response:	Without getting lost...
context: I'm sorry for being a selfish and difficult daughter to the very end.\Thank you for everything you've done for me over the years.\So cool!\We're gonna wave this.\Right.\So that Ojoshi-sama can head toward the Sea God without getting lost.\So that everything goes where it belongs.\Without getting lost... response:	Everything goes where it belongs...
context: Thank you for everything you've done for me over the years.\So cool!\We're gonna wave this.\Right.\So that Ojoshi-sama can head toward the Sea God without getting lost.\So that everything goes where it belongs.\Without getting lost...\Everything goes where it belongs... response:	Here, hold it.
context: So cool!\We're gonna wave this.\Right.\So that Ojoshi-sama can head toward the Sea God without getting lost.\So that everything goes where it belongs.\Without getting lost...\Everything goes where it belongs...\Here, hold it. response:	Hold it tight now.
context: We're gonna wave this.\Right.\So that Ojoshi-sama can head toward the Sea God without getting lost.\So that everything goes where it belongs.\Without getting lost...\Everything goes where it belongs...\Here, hold it.\Hold it tight now. response:	So... heavy...
context: Right.\So that Ojoshi-sama can head toward the Sea God without getting lost.\So that everything goes where it belongs.\Without getting lost...\Everything goes where it belongs...\Here, hold it.\Hold it tight now.\So... heavy... response:	You can do it!
context: So that Ojoshi-sama can head toward the Sea God without getting lost.\So that everything goes where it belongs.\Without getting lost...\Everything goes where it belongs...\Here, hold it.\Hold it tight now.\So... heavy...\You can do it! response:	Hikari-kun.
context: So that everything goes where it belongs.\Without getting lost...\Everything goes where it belongs...\Here, hold it.\Hold it tight now.\So... heavy...\You can do it!\Hikari-kun. response:	When we do the Ofunehiki, do you want to wave one of the flags?
context: Without getting lost...\Everything goes where it belongs...\Here, hold it.\Hold it tight now.\So... heavy...\You can do it!\Hikari-kun.\When we do the Ofunehiki, do you want to wave one of the flags? response:	Huh? Are you sure?
context: Everything goes where it belongs...\Here, hold it.\Hold it tight now.\So... heavy...\You can do it!\Hikari-kun.\When we do the Ofunehiki, do you want to wave one of the flags?\Huh? Are you sure? response:	Wow!
context: Here, hold it.\Hold it tight now.\So... heavy...\You can do it!\Hikari-kun.\When we do the Ofunehiki, do you want to wave one of the flags?\Huh? Are you sure?\Wow! response:	You don't have any strength in your back.
context: Hold it tight now.\So... heavy...\You can do it!\Hikari-kun.\When we do the Ofunehiki, do you want to wave one of the flags?\Huh? Are you sure?\Wow!\You don't have any strength in your back. response:	I guess it's too much for a kid.
context: So... heavy...\You can do it!\Hikari-kun.\When we do the Ofunehiki, do you want to wave one of the flags?\Huh? Are you sure?\Wow!\You don't have any strength in your back.\I guess it's too much for a kid. response:	No, please let me do it.
context: You can do it!\Hikari-kun.\When we do the Ofunehiki, do you want to wave one of the flags?\Huh? Are you sure?\Wow!\You don't have any strength in your back.\I guess it's too much for a kid.\No, please let me do it. response:	Hey, if you do it like that, you're going to get blisters.
context: Hikari-kun.\When we do the Ofunehiki, do you want to wave one of the flags?\Huh? Are you sure?\Wow!\You don't have any strength in your back.\I guess it's too much for a kid.\No, please let me do it.\Hey, if you do it like that, you're going to get blisters. response:	Hikari sure tries hard.
context: When we do the Ofunehiki, do you want to wave one of the flags?\Huh? Are you sure?\Wow!\You don't have any strength in your back.\I guess it's too much for a kid.\No, please let me do it.\Hey, if you do it like that, you're going to get blisters.\Hikari sure tries hard. response:	She's totally asleep.
context: Huh? Are you sure?\Wow!\You don't have any strength in your back.\I guess it's too much for a kid.\No, please let me do it.\Hey, if you do it like that, you're going to get blisters.\Hikari sure tries hard.\She's totally asleep. response:	Why don't you sleep, too?
context: Wow!\You don't have any strength in your back.\I guess it's too much for a kid.\No, please let me do it.\Hey, if you do it like that, you're going to get blisters.\Hikari sure tries hard.\She's totally asleep.\Why don't you sleep, too? response:	It's hard staying awake because your Ena's gotten so thick, right?
context: You don't have any strength in your back.\I guess it's too much for a kid.\No, please let me do it.\Hey, if you do it like that, you're going to get blisters.\Hikari sure tries hard.\She's totally asleep.\Why don't you sleep, too?\It's hard staying awake because your Ena's gotten so thick, right? response:	Yeah...
context: I guess it's too much for a kid.\No, please let me do it.\Hey, if you do it like that, you're going to get blisters.\Hikari sure tries hard.\She's totally asleep.\Why don't you sleep, too?\It's hard staying awake because your Ena's gotten so thick, right?\Yeah... response:	Hikari's gone as far as stealing other people's lunches,
context: No, please let me do it.\Hey, if you do it like that, you're going to get blisters.\Hikari sure tries hard.\She's totally asleep.\Why don't you sleep, too?\It's hard staying awake because your Ena's gotten so thick, right?\Yeah...\Hikari's gone as far as stealing other people's lunches, response:	but apparently that's still not enough.
context: Hey, if you do it like that, you're going to get blisters.\Hikari sure tries hard.\She's totally asleep.\Why don't you sleep, too?\It's hard staying awake because your Ena's gotten so thick, right?\Yeah...\Hikari's gone as far as stealing other people's lunches,\but apparently that's still not enough. response:	Maybe it doesn't just have to do with food.
context: Hikari sure tries hard.\She's totally asleep.\Why don't you sleep, too?\It's hard staying awake because your Ena's gotten so thick, right?\Yeah...\Hikari's gone as far as stealing other people's lunches,\but apparently that's still not enough.\Maybe it doesn't just have to do with food. response:	Maybe it's something much bigger and periodic.
context: She's totally asleep.\Why don't you sleep, too?\It's hard staying awake because your Ena's gotten so thick, right?\Yeah...\Hikari's gone as far as stealing other people's lunches,\but apparently that's still not enough.\Maybe it doesn't just have to do with food.\Maybe it's something much bigger and periodic. response:	Was that okay with your mom?
context: Why don't you sleep, too?\It's hard staying awake because your Ena's gotten so thick, right?\Yeah...\Hikari's gone as far as stealing other people's lunches,\but apparently that's still not enough.\Maybe it doesn't just have to do with food.\Maybe it's something much bigger and periodic.\Was that okay with your mom? response:	Sorry, I ended up using you guys.
context: It's hard staying awake because your Ena's gotten so thick, right?\Yeah...\Hikari's gone as far as stealing other people's lunches,\but apparently that's still not enough.\Maybe it doesn't just have to do with food.\Maybe it's something much bigger and periodic.\Was that okay with your mom?\Sorry, I ended up using you guys. response:	I don't really want to talk to her.
context: Yeah...\Hikari's gone as far as stealing other people's lunches,\but apparently that's still not enough.\Maybe it doesn't just have to do with food.\Maybe it's something much bigger and periodic.\Was that okay with your mom?\Sorry, I ended up using you guys.\I don't really want to talk to her. response:	I might have thought that I was the only one who was suffering.
context: Hikari's gone as far as stealing other people's lunches,\but apparently that's still not enough.\Maybe it doesn't just have to do with food.\Maybe it's something much bigger and periodic.\Was that okay with your mom?\Sorry, I ended up using you guys.\I don't really want to talk to her.\I might have thought that I was the only one who was suffering. response:	Everyone is going through a lot, and they're all suffering...
context: but apparently that's still not enough.\Maybe it doesn't just have to do with food.\Maybe it's something much bigger and periodic.\Was that okay with your mom?\Sorry, I ended up using you guys.\I don't really want to talk to her.\I might have thought that I was the only one who was suffering.\Everyone is going through a lot, and they're all suffering... response:	And yet, everyone is still trying so hard.
context: Maybe it doesn't just have to do with food.\Maybe it's something much bigger and periodic.\Was that okay with your mom?\Sorry, I ended up using you guys.\I don't really want to talk to her.\I might have thought that I was the only one who was suffering.\Everyone is going through a lot, and they're all suffering...\And yet, everyone is still trying so hard. response:	I even ended up taking it out on you and saying something awful.
context: Maybe it's something much bigger and periodic.\Was that okay with your mom?\Sorry, I ended up using you guys.\I don't really want to talk to her.\I might have thought that I was the only one who was suffering.\Everyone is going through a lot, and they're all suffering...\And yet, everyone is still trying so hard.\I even ended up taking it out on you and saying something awful. response:	I'm sorry.
context: Was that okay with your mom?\Sorry, I ended up using you guys.\I don't really want to talk to her.\I might have thought that I was the only one who was suffering.\Everyone is going through a lot, and they're all suffering...\And yet, everyone is still trying so hard.\I even ended up taking it out on you and saying something awful.\I'm sorry. response:	It was pathetic. Truly.
context: Sorry, I ended up using you guys.\I don't really want to talk to her.\I might have thought that I was the only one who was suffering.\Everyone is going through a lot, and they're all suffering...\And yet, everyone is still trying so hard.\I even ended up taking it out on you and saying something awful.\I'm sorry.\It was pathetic. Truly. response:	Did you decide on something?
context: I don't really want to talk to her.\I might have thought that I was the only one who was suffering.\Everyone is going through a lot, and they're all suffering...\And yet, everyone is still trying so hard.\I even ended up taking it out on you and saying something awful.\I'm sorry.\It was pathetic. Truly.\Did you decide on something? response:	Huh?
context: I might have thought that I was the only one who was suffering.\Everyone is going through a lot, and they're all suffering...\And yet, everyone is still trying so hard.\I even ended up taking it out on you and saying something awful.\I'm sorry.\It was pathetic. Truly.\Did you decide on something?\Huh? response:	I hear it in your voice.
context: Everyone is going through a lot, and they're all suffering...\And yet, everyone is still trying so hard.\I even ended up taking it out on you and saying something awful.\I'm sorry.\It was pathetic. Truly.\Did you decide on something?\Huh?\I hear it in your voice. response:	I don't think boys that are too intuitive are very popular.
context: And yet, everyone is still trying so hard.\I even ended up taking it out on you and saying something awful.\I'm sorry.\It was pathetic. Truly.\Did you decide on something?\Huh?\I hear it in your voice.\I don't think boys that are too intuitive are very popular. response:	All the sudden, we're back.
context: I even ended up taking it out on you and saying something awful.\I'm sorry.\It was pathetic. Truly.\Did you decide on something?\Huh?\I hear it in your voice.\I don't think boys that are too intuitive are very popular.\All the sudden, we're back. response:	I don't remember what happened after we sat down.
context: I'm sorry.\It was pathetic. Truly.\Did you decide on something?\Huh?\I hear it in your voice.\I don't think boys that are too intuitive are very popular.\All the sudden, we're back.\I don't remember what happened after we sat down. response:	Manaka, your drool is sparkling.
context: It was pathetic. Truly.\Did you decide on something?\Huh?\I hear it in your voice.\I don't think boys that are too intuitive are very popular.\All the sudden, we're back.\I don't remember what happened after we sat down.\Manaka, your drool is sparkling. response:	Hey!
context: Did you decide on something?\Huh?\I hear it in your voice.\I don't think boys that are too intuitive are very popular.\All the sudden, we're back.\I don't remember what happened after we sat down.\Manaka, your drool is sparkling.\Hey! response:	Hey! Over here! Over here!
context: Huh?\I hear it in your voice.\I don't think boys that are too intuitive are very popular.\All the sudden, we're back.\I don't remember what happened after we sat down.\Manaka, your drool is sparkling.\Hey!\Hey! Over here! Over here! response:	Hey!
context: I hear it in your voice.\I don't think boys that are too intuitive are very popular.\All the sudden, we're back.\I don't remember what happened after we sat down.\Manaka, your drool is sparkling.\Hey!\Hey! Over here! Over here!\Hey! response:	Wow!
context: I don't think boys that are too intuitive are very popular.\All the sudden, we're back.\I don't remember what happened after we sat down.\Manaka, your drool is sparkling.\Hey!\Hey! Over here! Over here!\Hey!\Wow! response:	Such a big flag.
context: All the sudden, we're back.\I don't remember what happened after we sat down.\Manaka, your drool is sparkling.\Hey!\Hey! Over here! Over here!\Hey!\Wow!\Such a big flag. response:	I wonder when Hii-kun became a guy...
context: I don't remember what happened after we sat down.\Manaka, your drool is sparkling.\Hey!\Hey! Over here! Over here!\Hey!\Wow!\Such a big flag.\I wonder when Hii-kun became a guy... response:	Manaka?
context: Manaka, your drool is sparkling.\Hey!\Hey! Over here! Over here!\Hey!\Wow!\Such a big flag.\I wonder when Hii-kun became a guy...\Manaka? response:	I-It's nothing. Let's go.
context: Hey!\Hey! Over here! Over here!\Hey!\Wow!\Such a big flag.\I wonder when Hii-kun became a guy...\Manaka?\I-It's nothing. Let's go. response:	We've got the kimono now so it's almost done.
context: Hey! Over here! Over here!\Hey!\Wow!\Such a big flag.\I wonder when Hii-kun became a guy...\Manaka?\I-It's nothing. Let's go.\We've got the kimono now so it's almost done. response:	Don't mess things up.
context: Hey!\Wow!\Such a big flag.\I wonder when Hii-kun became a guy...\Manaka?\I-It's nothing. Let's go.\We've got the kimono now so it's almost done.\Don't mess things up. response:	It'll be fine.
context: Wow!\Such a big flag.\I wonder when Hii-kun became a guy...\Manaka?\I-It's nothing. Let's go.\We've got the kimono now so it's almost done.\Don't mess things up.\It'll be fine. response:	Hey, over there...
context: Such a big flag.\I wonder when Hii-kun became a guy...\Manaka?\I-It's nothing. Let's go.\We've got the kimono now so it's almost done.\Don't mess things up.\It'll be fine.\Hey, over there... response:	Huh?
context: I wonder when Hii-kun became a guy...\Manaka?\I-It's nothing. Let's go.\We've got the kimono now so it's almost done.\Don't mess things up.\It'll be fine.\Hey, over there...\Huh? response:	Oh, you're back.
context: Manaka?\I-It's nothing. Let's go.\We've got the kimono now so it's almost done.\Don't mess things up.\It'll be fine.\Hey, over there...\Huh?\Oh, you're back. response:	S-Sir...
context: I-It's nothing. Let's go.\We've got the kimono now so it's almost done.\Don't mess things up.\It'll be fine.\Hey, over there...\Huh?\Oh, you're back.\S-Sir... response:	There's nothing to worry about.
context: We've got the kimono now so it's almost done.\Don't mess things up.\It'll be fine.\Hey, over there...\Huh?\Oh, you're back.\S-Sir...\There's nothing to worry about. response:	Children's cells move a lot faster.
context: Don't mess things up.\It'll be fine.\Hey, over there...\Huh?\Oh, you're back.\S-Sir...\There's nothing to worry about.\Children's cells move a lot faster. response:	Their Ena developed fast,
context: It'll be fine.\Hey, over there...\Huh?\Oh, you're back.\S-Sir...\There's nothing to worry about.\Children's cells move a lot faster.\Their Ena developed fast, response:	so they fell asleep without waiting for the hibernation.
context: Hey, over there...\Huh?\Oh, you're back.\S-Sir...\There's nothing to worry about.\Children's cells move a lot faster.\Their Ena developed fast,\so they fell asleep without waiting for the hibernation. response:	Without waiting for the hibernation...
context: Huh?\Oh, you're back.\S-Sir...\There's nothing to worry about.\Children's cells move a lot faster.\Their Ena developed fast,\so they fell asleep without waiting for the hibernation.\Without waiting for the hibernation... response:	We're about to receive the ritual prayer from Uroko-sama, and she'll go into hibernation.
context: Oh, you're back.\S-Sir...\There's nothing to worry about.\Children's cells move a lot faster.\Their Ena developed fast,\so they fell asleep without waiting for the hibernation.\Without waiting for the hibernation...\We're about to receive the ritual prayer from Uroko-sama, and she'll go into hibernation. response:	You guys'll be hibernating before us...
context: S-Sir...\There's nothing to worry about.\Children's cells move a lot faster.\Their Ena developed fast,\so they fell asleep without waiting for the hibernation.\Without waiting for the hibernation...\We're about to receive the ritual prayer from Uroko-sama, and she'll go into hibernation.\You guys'll be hibernating before us... response:	Hm?
context: There's nothing to worry about.\Children's cells move a lot faster.\Their Ena developed fast,\so they fell asleep without waiting for the hibernation.\Without waiting for the hibernation...\We're about to receive the ritual prayer from Uroko-sama, and she'll go into hibernation.\You guys'll be hibernating before us...\Hm? response:	But it looks like your Ena hasn't developed very much...
context: Children's cells move a lot faster.\Their Ena developed fast,\so they fell asleep without waiting for the hibernation.\Without waiting for the hibernation...\We're about to receive the ritual prayer from Uroko-sama, and she'll go into hibernation.\You guys'll be hibernating before us...\Hm?\But it looks like your Ena hasn't developed very much... response:	W-Well...
context: Their Ena developed fast,\so they fell asleep without waiting for the hibernation.\Without waiting for the hibernation...\We're about to receive the ritual prayer from Uroko-sama, and she'll go into hibernation.\You guys'll be hibernating before us...\Hm?\But it looks like your Ena hasn't developed very much...\W-Well... response:	Oh, there they go.
context: so they fell asleep without waiting for the hibernation.\Without waiting for the hibernation...\We're about to receive the ritual prayer from Uroko-sama, and she'll go into hibernation.\You guys'll be hibernating before us...\Hm?\But it looks like your Ena hasn't developed very much...\W-Well...\Oh, there they go. response:	No matter if it was our turn or the surface's turn to do the Ofunehiki,
context: Without waiting for the hibernation...\We're about to receive the ritual prayer from Uroko-sama, and she'll go into hibernation.\You guys'll be hibernating before us...\Hm?\But it looks like your Ena hasn't developed very much...\W-Well...\Oh, there they go.\No matter if it was our turn or the surface's turn to do the Ofunehiki, response:	the songs were always our duty.
context: We're about to receive the ritual prayer from Uroko-sama, and she'll go into hibernation.\You guys'll be hibernating before us...\Hm?\But it looks like your Ena hasn't developed very much...\W-Well...\Oh, there they go.\No matter if it was our turn or the surface's turn to do the Ofunehiki,\the songs were always our duty. response:	Talk about crappy singing.
context: You guys'll be hibernating before us...\Hm?\But it looks like your Ena hasn't developed very much...\W-Well...\Oh, there they go.\No matter if it was our turn or the surface's turn to do the Ofunehiki,\the songs were always our duty.\Talk about crappy singing. response:	Guess that's what you get from people without Ena.
context: Hm?\But it looks like your Ena hasn't developed very much...\W-Well...\Oh, there they go.\No matter if it was our turn or the surface's turn to do the Ofunehiki,\the songs were always our duty.\Talk about crappy singing.\Guess that's what you get from people without Ena. response:	You guys teach them.
context: But it looks like your Ena hasn't developed very much...\W-Well...\Oh, there they go.\No matter if it was our turn or the surface's turn to do the Ofunehiki,\the songs were always our duty.\Talk about crappy singing.\Guess that's what you get from people without Ena.\You guys teach them. response:	That's what happens when we hibernate?
context: W-Well...\Oh, there they go.\No matter if it was our turn or the surface's turn to do the Ofunehiki,\the songs were always our duty.\Talk about crappy singing.\Guess that's what you get from people without Ena.\You guys teach them.\That's what happens when we hibernate? response:	When you actually look at them...
context: Oh, there they go.\No matter if it was our turn or the surface's turn to do the Ofunehiki,\the songs were always our duty.\Talk about crappy singing.\Guess that's what you get from people without Ena.\You guys teach them.\That's what happens when we hibernate?\When you actually look at them... response:	Kaname!
context: No matter if it was our turn or the surface's turn to do the Ofunehiki,\the songs were always our duty.\Talk about crappy singing.\Guess that's what you get from people without Ena.\You guys teach them.\That's what happens when we hibernate?\When you actually look at them...\Kaname! response:	That's what you wanted to say, right, Manaka?
context: the songs were always our duty.\Talk about crappy singing.\Guess that's what you get from people without Ena.\You guys teach them.\That's what happens when we hibernate?\When you actually look at them...\Kaname!\That's what you wanted to say, right, Manaka? response:	Hey, this is nostalgic.
context: Talk about crappy singing.\Guess that's what you get from people without Ena.\You guys teach them.\That's what happens when we hibernate?\When you actually look at them...\Kaname!\That's what you wanted to say, right, Manaka?\Hey, this is nostalgic. response:	Huh?
context: Guess that's what you get from people without Ena.\You guys teach them.\That's what happens when we hibernate?\When you actually look at them...\Kaname!\That's what you wanted to say, right, Manaka?\Hey, this is nostalgic.\Huh? response:	Oh, our heights!
context: You guys teach them.\That's what happens when we hibernate?\When you actually look at them...\Kaname!\That's what you wanted to say, right, Manaka?\Hey, this is nostalgic.\Huh?\Oh, our heights! response:	157 Hikari 155 Kaname 154 Chisaki Manaka
context: That's what happens when we hibernate?\When you actually look at them...\Kaname!\That's what you wanted to say, right, Manaka?\Hey, this is nostalgic.\Huh?\Oh, our heights!\157 Hikari 155 Kaname 154 Chisaki Manaka response:	That's right.
context: When you actually look at them...\Kaname!\That's what you wanted to say, right, Manaka?\Hey, this is nostalgic.\Huh?\Oh, our heights!\157 Hikari 155 Kaname 154 Chisaki Manaka\That's right. response:	We marked that at the entrance ceremony.
context: Kaname!\That's what you wanted to say, right, Manaka?\Hey, this is nostalgic.\Huh?\Oh, our heights!\157 Hikari 155 Kaname 154 Chisaki Manaka\That's right.\We marked that at the entrance ceremony. response:	Since we did it in grade school, we decided to keep doing it.
context: That's what you wanted to say, right, Manaka?\Hey, this is nostalgic.\Huh?\Oh, our heights!\157 Hikari 155 Kaname 154 Chisaki Manaka\That's right.\We marked that at the entrance ceremony.\Since we did it in grade school, we decided to keep doing it. response:	Hey, let's mark our heights now.
context: Hey, this is nostalgic.\Huh?\Oh, our heights!\157 Hikari 155 Kaname 154 Chisaki Manaka\That's right.\We marked that at the entrance ceremony.\Since we did it in grade school, we decided to keep doing it.\Hey, let's mark our heights now. response:	I'll go look for something to write with!
context: Huh?\Oh, our heights!\157 Hikari 155 Kaname 154 Chisaki Manaka\That's right.\We marked that at the entrance ceremony.\Since we did it in grade school, we decided to keep doing it.\Hey, let's mark our heights now.\I'll go look for something to write with! response:	Right.
context: Oh, our heights!\157 Hikari 155 Kaname 154 Chisaki Manaka\That's right.\We marked that at the entrance ceremony.\Since we did it in grade school, we decided to keep doing it.\Hey, let's mark our heights now.\I'll go look for something to write with!\Right. response:	All right, let's check out the faculty room.
context: 157 Hikari 155 Kaname 154 Chisaki Manaka\That's right.\We marked that at the entrance ceremony.\Since we did it in grade school, we decided to keep doing it.\Hey, let's mark our heights now.\I'll go look for something to write with!\Right.\All right, let's check out the faculty room. response:	Okay.
context: That's right.\We marked that at the entrance ceremony.\Since we did it in grade school, we decided to keep doing it.\Hey, let's mark our heights now.\I'll go look for something to write with!\Right.\All right, let's check out the faculty room.\Okay. response:	We're counting on you.
context: We marked that at the entrance ceremony.\Since we did it in grade school, we decided to keep doing it.\Hey, let's mark our heights now.\I'll go look for something to write with!\Right.\All right, let's check out the faculty room.\Okay.\We're counting on you. response:	You really are amazing, Hikari.
context: Since we did it in grade school, we decided to keep doing it.\Hey, let's mark our heights now.\I'll go look for something to write with!\Right.\All right, let's check out the faculty room.\Okay.\We're counting on you.\You really are amazing, Hikari. response:	Huh?
context: Hey, let's mark our heights now.\I'll go look for something to write with!\Right.\All right, let's check out the faculty room.\Okay.\We're counting on you.\You really are amazing, Hikari.\Huh? response:	Say, Hikari...
context: I'll go look for something to write with!\Right.\All right, let's check out the faculty room.\Okay.\We're counting on you.\You really are amazing, Hikari.\Huh?\Say, Hikari... response:	There's something I want to tell you,
context: Right.\All right, let's check out the faculty room.\Okay.\We're counting on you.\You really are amazing, Hikari.\Huh?\Say, Hikari...\There's something I want to tell you, response:	so maybe after this...
context: All right, let's check out the faculty room.\Okay.\We're counting on you.\You really are amazing, Hikari.\Huh?\Say, Hikari...\There's something I want to tell you,\so maybe after this... response:	Found one.
context: Okay.\We're counting on you.\You really are amazing, Hikari.\Huh?\Say, Hikari...\There's something I want to tell you,\so maybe after this...\Found one. response:	Right! Thanks!
context: We're counting on you.\You really are amazing, Hikari.\Huh?\Say, Hikari...\There's something I want to tell you,\so maybe after this...\Found one.\Right! Thanks! response:	What is it, Chisaki?
context: You really are amazing, Hikari.\Huh?\Say, Hikari...\There's something I want to tell you,\so maybe after this...\Found one.\Right! Thanks!\What is it, Chisaki? response:	N-Nothing...
context: Huh?\Say, Hikari...\There's something I want to tell you,\so maybe after this...\Found one.\Right! Thanks!\What is it, Chisaki?\N-Nothing... response:	I'll tell you later.
context: Say, Hikari...\There's something I want to tell you,\so maybe after this...\Found one.\Right! Thanks!\What is it, Chisaki?\N-Nothing...\I'll tell you later. response:	You sure?
context: There's something I want to tell you,\so maybe after this...\Found one.\Right! Thanks!\What is it, Chisaki?\N-Nothing...\I'll tell you later.\You sure? response:	Hey, did you find any?!
context: so maybe after this...\Found one.\Right! Thanks!\What is it, Chisaki?\N-Nothing...\I'll tell you later.\You sure?\Hey, did you find any?! response:	Quiet down.
context: Found one.\Right! Thanks!\What is it, Chisaki?\N-Nothing...\I'll tell you later.\You sure?\Hey, did you find any?!\Quiet down. response:	All right. This will be on the test.
context: Right! Thanks!\What is it, Chisaki?\N-Nothing...\I'll tell you later.\You sure?\Hey, did you find any?!\Quiet down.\All right. This will be on the test. response:	Thanks, Namiji Junior High
context: What is it, Chisaki?\N-Nothing...\I'll tell you later.\You sure?\Hey, did you find any?!\Quiet down.\All right. This will be on the test.\Thanks, Namiji Junior High response:	Make sure you check your textbooks.
context: N-Nothing...\I'll tell you later.\You sure?\Hey, did you find any?!\Quiet down.\All right. This will be on the test.\Thanks, Namiji Junior High\Make sure you check your textbooks. response:	He's mimicking Sensei!
context: I'll tell you later.\You sure?\Hey, did you find any?!\Quiet down.\All right. This will be on the test.\Thanks, Namiji Junior High\Make sure you check your textbooks.\He's mimicking Sensei! response:	Hii-kun sounds just like him!
context: You sure?\Hey, did you find any?!\Quiet down.\All right. This will be on the test.\Thanks, Namiji Junior High\Make sure you check your textbooks.\He's mimicking Sensei!\Hii-kun sounds just like him! response:	Sensei's strike zone is on the higher side.
