context: Wait! Please just listen to me for now. response:	Not on your life!
context: I haven't done anything, yet! Listen to me first!\Thou...\Thou must take the responsibility.\R-Responsibility?\Don't play dumb! Thou hast said I was thy Sekirei, correct?!\Y-Yes, I did, Ma'am!\Not only wert thou not afraid of me, but thou also protected me with thy own flesh.\Furthermore, thou savedest me from the wicked Ashikabi. response:	Wicked?
context: Thou...\Thou must take the responsibility.\R-Responsibility?\Don't play dumb! Thou hast said I was thy Sekirei, correct?!\Y-Yes, I did, Ma'am!\Not only wert thou not afraid of me, but thou also protected me with thy own flesh.\Furthermore, thou savedest me from the wicked Ashikabi.\Wicked? response:	For a monkey, thou art a man of mettle.
context: Thou must take the responsibility.\R-Responsibility?\Don't play dumb! Thou hast said I was thy Sekirei, correct?!\Y-Yes, I did, Ma'am!\Not only wert thou not afraid of me, but thou also protected me with thy own flesh.\Furthermore, thou savedest me from the wicked Ashikabi.\Wicked?\For a monkey, thou art a man of mettle. response:	Strange...
context: R-Responsibility?\Don't play dumb! Thou hast said I was thy Sekirei, correct?!\Y-Yes, I did, Ma'am!\Not only wert thou not afraid of me, but thou also protected me with thy own flesh.\Furthermore, thou savedest me from the wicked Ashikabi.\Wicked?\For a monkey, thou art a man of mettle.\Strange... response:	My heart, which once clamored so loudly in protest, is surprisingly calm now.
context: Don't play dumb! Thou hast said I was thy Sekirei, correct?!\Y-Yes, I did, Ma'am!\Not only wert thou not afraid of me, but thou also protected me with thy own flesh.\Furthermore, thou savedest me from the wicked Ashikabi.\Wicked?\For a monkey, thou art a man of mettle.\Strange...\My heart, which once clamored so loudly in protest, is surprisingly calm now. response:	What is thy name?
context: Y-Yes, I did, Ma'am!\Not only wert thou not afraid of me, but thou also protected me with thy own flesh.\Furthermore, thou savedest me from the wicked Ashikabi.\Wicked?\For a monkey, thou art a man of mettle.\Strange...\My heart, which once clamored so loudly in protest, is surprisingly calm now.\What is thy name? response:	Minato.
context: Not only wert thou not afraid of me, but thou also protected me with thy own flesh.\Furthermore, thou savedest me from the wicked Ashikabi.\Wicked?\For a monkey, thou art a man of mettle.\Strange...\My heart, which once clamored so loudly in protest, is surprisingly calm now.\What is thy name?\Minato. response:	I'm Minato Sahashi.
context: Furthermore, thou savedest me from the wicked Ashikabi.\Wicked?\For a monkey, thou art a man of mettle.\Strange...\My heart, which once clamored so loudly in protest, is surprisingly calm now.\What is thy name?\Minato.\I'm Minato Sahashi. response:	Minato...
context: Wicked?\For a monkey, thou art a man of mettle.\Strange...\My heart, which once clamored so loudly in protest, is surprisingly calm now.\What is thy name?\Minato.\I'm Minato Sahashi.\Minato... response:	I-I don't know anything about you, but...
context: For a monkey, thou art a man of mettle.\Strange...\My heart, which once clamored so loudly in protest, is surprisingly calm now.\What is thy name?\Minato.\I'm Minato Sahashi.\Minato...\I-I don't know anything about you, but... response:	The reason I met you in my dream must be...
context: Strange...\My heart, which once clamored so loudly in protest, is surprisingly calm now.\What is thy name?\Minato.\I'm Minato Sahashi.\Minato...\I-I don't know anything about you, but...\The reason I met you in my dream must be... response:	because we could definitely grow to understand each other!
context: My heart, which once clamored so loudly in protest, is surprisingly calm now.\What is thy name?\Minato.\I'm Minato Sahashi.\Minato...\I-I don't know anything about you, but...\The reason I met you in my dream must be...\because we could definitely grow to understand each other! response:	So!
context: What is thy name?\Minato.\I'm Minato Sahashi.\Minato...\I-I don't know anything about you, but...\The reason I met you in my dream must be...\because we could definitely grow to understand each other!\So! response:	Thou art a magical man...
context: Minato.\I'm Minato Sahashi.\Minato...\I-I don't know anything about you, but...\The reason I met you in my dream must be...\because we could definitely grow to understand each other!\So!\Thou art a magical man... response:	Very well! I, the Sekirei Tsukiumi, accept thy marriage proposal with good grace!
context: I'm Minato Sahashi.\Minato...\I-I don't know anything about you, but...\The reason I met you in my dream must be...\because we could definitely grow to understand each other!\So!\Thou art a magical man...\Very well! I, the Sekirei Tsukiumi, accept thy marriage proposal with good grace! response:	M-Marriage proposal?
context: Minato...\I-I don't know anything about you, but...\The reason I met you in my dream must be...\because we could definitely grow to understand each other!\So!\Thou art a magical man...\Very well! I, the Sekirei Tsukiumi, accept thy marriage proposal with good grace!\M-Marriage proposal? response:	Thou hast said I'm thy Sekirei!
context: I-I don't know anything about you, but...\The reason I met you in my dream must be...\because we could definitely grow to understand each other!\So!\Thou art a magical man...\Very well! I, the Sekirei Tsukiumi, accept thy marriage proposal with good grace!\M-Marriage proposal?\Thou hast said I'm thy Sekirei! response:	I did, I did! I'm sorry!
context: The reason I met you in my dream must be...\because we could definitely grow to understand each other!\So!\Thou art a magical man...\Very well! I, the Sekirei Tsukiumi, accept thy marriage proposal with good grace!\M-Marriage proposal?\Thou hast said I'm thy Sekirei!\I did, I did! I'm sorry! response:	Minato!
context: because we could definitely grow to understand each other!\So!\Thou art a magical man...\Very well! I, the Sekirei Tsukiumi, accept thy marriage proposal with good grace!\M-Marriage proposal?\Thou hast said I'm thy Sekirei!\I did, I did! I'm sorry!\Minato! response:	Yes?
context: So!\Thou art a magical man...\Very well! I, the Sekirei Tsukiumi, accept thy marriage proposal with good grace!\M-Marriage proposal?\Thou hast said I'm thy Sekirei!\I did, I did! I'm sorry!\Minato!\Yes? response:	From now on, the only one allowed to kill thee is me, Tsukiumi.
context: Thou art a magical man...\Very well! I, the Sekirei Tsukiumi, accept thy marriage proposal with good grace!\M-Marriage proposal?\Thou hast said I'm thy Sekirei!\I did, I did! I'm sorry!\Minato!\Yes?\From now on, the only one allowed to kill thee is me, Tsukiumi. response:	Wh-What is this? The feeling welling up from my heart...
context: Very well! I, the Sekirei Tsukiumi, accept thy marriage proposal with good grace!\M-Marriage proposal?\Thou hast said I'm thy Sekirei!\I did, I did! I'm sorry!\Minato!\Yes?\From now on, the only one allowed to kill thee is me, Tsukiumi.\Wh-What is this? The feeling welling up from my heart... response:	Something warm and strong...
context: M-Marriage proposal?\Thou hast said I'm thy Sekirei!\I did, I did! I'm sorry!\Minato!\Yes?\From now on, the only one allowed to kill thee is me, Tsukiumi.\Wh-What is this? The feeling welling up from my heart...\Something warm and strong... response:	So this is... emergence...
context: Thou hast said I'm thy Sekirei!\I did, I did! I'm sorry!\Minato!\Yes?\From now on, the only one allowed to kill thee is me, Tsukiumi.\Wh-What is this? The feeling welling up from my heart...\Something warm and strong...\So this is... emergence... response:	Tsu-Tsukiumi-san!
context: I did, I did! I'm sorry!\Minato!\Yes?\From now on, the only one allowed to kill thee is me, Tsukiumi.\Wh-What is this? The feeling welling up from my heart...\Something warm and strong...\So this is... emergence...\Tsu-Tsukiumi-san! response:	Tsukiumi is fine. Thou hast become my Ashikabi...
context: Minato!\Yes?\From now on, the only one allowed to kill thee is me, Tsukiumi.\Wh-What is this? The feeling welling up from my heart...\Something warm and strong...\So this is... emergence...\Tsu-Tsukiumi-san!\Tsukiumi is fine. Thou hast become my Ashikabi... response:	with this as a wedding ceremony.
context: Yes?\From now on, the only one allowed to kill thee is me, Tsukiumi.\Wh-What is this? The feeling welling up from my heart...\Something warm and strong...\So this is... emergence...\Tsu-Tsukiumi-san!\Tsukiumi is fine. Thou hast become my Ashikabi...\with this as a wedding ceremony. response:	Many... years to come...
context: From now on, the only one allowed to kill thee is me, Tsukiumi.\Wh-What is this? The feeling welling up from my heart...\Something warm and strong...\So this is... emergence...\Tsu-Tsukiumi-san!\Tsukiumi is fine. Thou hast become my Ashikabi...\with this as a wedding ceremony.\Many... years to come... response:	We... just wasted a fight?
context: Wh-What is this? The feeling welling up from my heart...\Something warm and strong...\So this is... emergence...\Tsu-Tsukiumi-san!\Tsukiumi is fine. Thou hast become my Ashikabi...\with this as a wedding ceremony.\Many... years to come...\We... just wasted a fight? response:	Seems like it.
context: Something warm and strong...\So this is... emergence...\Tsu-Tsukiumi-san!\Tsukiumi is fine. Thou hast become my Ashikabi...\with this as a wedding ceremony.\Many... years to come...\We... just wasted a fight?\Seems like it. response:	Ku-chan!
context: So this is... emergence...\Tsu-Tsukiumi-san!\Tsukiumi is fine. Thou hast become my Ashikabi...\with this as a wedding ceremony.\Many... years to come...\We... just wasted a fight?\Seems like it.\Ku-chan! response:	As I thought... that little child is thy Sekirei...
context: Tsu-Tsukiumi-san!\Tsukiumi is fine. Thou hast become my Ashikabi...\with this as a wedding ceremony.\Many... years to come...\We... just wasted a fight?\Seems like it.\Ku-chan!\As I thought... that little child is thy Sekirei... response:	Well, she's a mere child so I can tolerate it, but...
context: Tsukiumi is fine. Thou hast become my Ashikabi...\with this as a wedding ceremony.\Many... years to come...\We... just wasted a fight?\Seems like it.\Ku-chan!\As I thought... that little child is thy Sekirei...\Well, she's a mere child so I can tolerate it, but... response:	- the real wife is me... - Minato-san!
context: with this as a wedding ceremony.\Many... years to come...\We... just wasted a fight?\Seems like it.\Ku-chan!\As I thought... that little child is thy Sekirei...\Well, she's a mere child so I can tolerate it, but...\- the real wife is me... - Minato-san! response:	Are you all right?
context: Many... years to come...\We... just wasted a fight?\Seems like it.\Ku-chan!\As I thought... that little child is thy Sekirei...\Well, she's a mere child so I can tolerate it, but...\- the real wife is me... - Minato-san!\Are you all right? response:	Musubi-chan!
context: We... just wasted a fight?\Seems like it.\Ku-chan!\As I thought... that little child is thy Sekirei...\Well, she's a mere child so I can tolerate it, but...\- the real wife is me... - Minato-san!\Are you all right?\Musubi-chan! response:	Oh, good! You weren't in danger.
context: Seems like it.\Ku-chan!\As I thought... that little child is thy Sekirei...\Well, she's a mere child so I can tolerate it, but...\- the real wife is me... - Minato-san!\Are you all right?\Musubi-chan!\Oh, good! You weren't in danger. response:	Yes. See, she's Tsukiumi-san. She's joined our group.
context: Ku-chan!\As I thought... that little child is thy Sekirei...\Well, she's a mere child so I can tolerate it, but...\- the real wife is me... - Minato-san!\Are you all right?\Musubi-chan!\Oh, good! You weren't in danger.\Yes. See, she's Tsukiumi-san. She's joined our group. response:	Minato... thou... thou... How many Sekireis dost thee have?
context: As I thought... that little child is thy Sekirei...\Well, she's a mere child so I can tolerate it, but...\- the real wife is me... - Minato-san!\Are you all right?\Musubi-chan!\Oh, good! You weren't in danger.\Yes. See, she's Tsukiumi-san. She's joined our group.\Minato... thou... thou... How many Sekireis dost thee have? response:	Um... you are...
context: Well, she's a mere child so I can tolerate it, but...\- the real wife is me... - Minato-san!\Are you all right?\Musubi-chan!\Oh, good! You weren't in danger.\Yes. See, she's Tsukiumi-san. She's joined our group.\Minato... thou... thou... How many Sekireis dost thee have?\Um... you are... response:	Calling Minato-tan Um... you are...
context: - the real wife is me... - Minato-san!\Are you all right?\Musubi-chan!\Oh, good! You weren't in danger.\Yes. See, she's Tsukiumi-san. She's joined our group.\Minato... thou... thou... How many Sekireis dost thee have?\Um... you are...\Calling Minato-tan Um... you are... response:	Calling Minato-tan Mina-tan! Mina-tan!
context: Are you all right?\Musubi-chan!\Oh, good! You weren't in danger.\Yes. See, she's Tsukiumi-san. She's joined our group.\Minato... thou... thou... How many Sekireis dost thee have?\Um... you are...\Calling Minato-tan Um... you are...\Calling Minato-tan Mina-tan! Mina-tan! response:	Mina-tan! Mina-tan!
context: Musubi-chan!\Oh, good! You weren't in danger.\Yes. See, she's Tsukiumi-san. She's joined our group.\Minato... thou... thou... How many Sekireis dost thee have?\Um... you are...\Calling Minato-tan Um... you are...\Calling Minato-tan Mina-tan! Mina-tan!\Mina-tan! Mina-tan! response:	What happened?! I can't identify the situation. All I can see are trees!
context: Oh, good! You weren't in danger.\Yes. See, she's Tsukiumi-san. She's joined our group.\Minato... thou... thou... How many Sekireis dost thee have?\Um... you are...\Calling Minato-tan Um... you are...\Calling Minato-tan Mina-tan! Mina-tan!\Mina-tan! Mina-tan!\What happened?! I can't identify the situation. All I can see are trees! response:	Wa...
context: Yes. See, she's Tsukiumi-san. She's joined our group.\Minato... thou... thou... How many Sekireis dost thee have?\Um... you are...\Calling Minato-tan Um... you are...\Calling Minato-tan Mina-tan! Mina-tan!\Mina-tan! Mina-tan!\What happened?! I can't identify the situation. All I can see are trees!\Wa... response:	Wa?
context: Minato... thou... thou... How many Sekireis dost thee have?\Um... you are...\Calling Minato-tan Um... you are...\Calling Minato-tan Mina-tan! Mina-tan!\Mina-tan! Mina-tan!\What happened?! I can't identify the situation. All I can see are trees!\Wa...\Wa? response:	Water Celebration!
context: Um... you are...\Calling Minato-tan Um... you are...\Calling Minato-tan Mina-tan! Mina-tan!\Mina-tan! Mina-tan!\What happened?! I can't identify the situation. All I can see are trees!\Wa...\Wa?\Water Celebration! response:	Everyone's so late...
context: Calling Minato-tan Um... you are...\Calling Minato-tan Mina-tan! Mina-tan!\Mina-tan! Mina-tan!\What happened?! I can't identify the situation. All I can see are trees!\Wa...\Wa?\Water Celebration!\Everyone's so late... response:	It'll be dinner time soon.
context: Calling Minato-tan Mina-tan! Mina-tan!\Mina-tan! Mina-tan!\What happened?! I can't identify the situation. All I can see are trees!\Wa...\Wa?\Water Celebration!\Everyone's so late...\It'll be dinner time soon. response:	When you're like that, you look like their mother, Miya.
context: Mina-tan! Mina-tan!\What happened?! I can't identify the situation. All I can see are trees!\Wa...\Wa?\Water Celebration!\Everyone's so late...\It'll be dinner time soon.\When you're like that, you look like their mother, Miya. response:	Did you say... mother?
context: What happened?! I can't identify the situation. All I can see are trees!\Wa...\Wa?\Water Celebration!\Everyone's so late...\It'll be dinner time soon.\When you're like that, you look like their mother, Miya.\Did you say... mother? response:	No! Big sister! You look like a big sister!
context: Wa...\Wa?\Water Celebration!\Everyone's so late...\It'll be dinner time soon.\When you're like that, you look like their mother, Miya.\Did you say... mother?\No! Big sister! You look like a big sister! response:	I guess you're right.
context: Wa?\Water Celebration!\Everyone's so late...\It'll be dinner time soon.\When you're like that, you look like their mother, Miya.\Did you say... mother?\No! Big sister! You look like a big sister!\I guess you're right. response:	From their point of view, I am really kind of their big sister...
context: Water Celebration!\Everyone's so late...\It'll be dinner time soon.\When you're like that, you look like their mother, Miya.\Did you say... mother?\No! Big sister! You look like a big sister!\I guess you're right.\From their point of view, I am really kind of their big sister... response:	We're back!
context: Everyone's so late...\It'll be dinner time soon.\When you're like that, you look like their mother, Miya.\Did you say... mother?\No! Big sister! You look like a big sister!\I guess you're right.\From their point of view, I am really kind of their big sister...\We're back! response:	Ah, they're back.
context: It'll be dinner time soon.\When you're like that, you look like their mother, Miya.\Did you say... mother?\No! Big sister! You look like a big sister!\I guess you're right.\From their point of view, I am really kind of their big sister...\We're back!\Ah, they're back. response:	Oh dear!
context: When you're like that, you look like their mother, Miya.\Did you say... mother?\No! Big sister! You look like a big sister!\I guess you're right.\From their point of view, I am really kind of their big sister...\We're back!\Ah, they're back.\Oh dear! response:	We've just come back.
context: Did you say... mother?\No! Big sister! You look like a big sister!\I guess you're right.\From their point of view, I am really kind of their big sister...\We're back!\Ah, they're back.\Oh dear!\We've just come back. response:	Landlady, we've just come back!
context: No! Big sister! You look like a big sister!\I guess you're right.\From their point of view, I am really kind of their big sister...\We're back!\Ah, they're back.\Oh dear!\We've just come back.\Landlady, we've just come back! response:	Minato, who is this woman?
context: I guess you're right.\From their point of view, I am really kind of their big sister...\We're back!\Ah, they're back.\Oh dear!\We've just come back.\Landlady, we've just come back!\Minato, who is this woman? response:	She's Miya Asama. She's the landlady here...
context: From their point of view, I am really kind of their big sister...\We're back!\Ah, they're back.\Oh dear!\We've just come back.\Landlady, we've just come back!\Minato, who is this woman?\She's Miya Asama. She's the landlady here... response:	Sahashi-san... who is she?
context: We're back!\Ah, they're back.\Oh dear!\We've just come back.\Landlady, we've just come back!\Minato, who is this woman?\She's Miya Asama. She's the landlady here...\Sahashi-san... who is she? response:	Ah, eh, um...
context: Ah, they're back.\Oh dear!\We've just come back.\Landlady, we've just come back!\Minato, who is this woman?\She's Miya Asama. She's the landlady here...\Sahashi-san... who is she?\Ah, eh, um... response:	I'm his wife!
context: Oh dear!\We've just come back.\Landlady, we've just come back!\Minato, who is this woman?\She's Miya Asama. She's the landlady here...\Sahashi-san... who is she?\Ah, eh, um...\I'm his wife! response:	W-Wife?!
context: We've just come back.\Landlady, we've just come back!\Minato, who is this woman?\She's Miya Asama. She's the landlady here...\Sahashi-san... who is she?\Ah, eh, um...\I'm his wife!\W-Wife?! response:	What art thou so surprised at?
context: Landlady, we've just come back!\Minato, who is this woman?\She's Miya Asama. She's the landlady here...\Sahashi-san... who is she?\Ah, eh, um...\I'm his wife!\W-Wife?!\What art thou so surprised at? response:	We have gotten married, so I've become thy wife.
context: Minato, who is this woman?\She's Miya Asama. She's the landlady here...\Sahashi-san... who is she?\Ah, eh, um...\I'm his wife!\W-Wife?!\What art thou so surprised at?\We have gotten married, so I've become thy wife. response:	Wife...
context: She's Miya Asama. She's the landlady here...\Sahashi-san... who is she?\Ah, eh, um...\I'm his wife!\W-Wife?!\What art thou so surprised at?\We have gotten married, so I've become thy wife.\Wife... response:	Wh-What was that? Such tangled-up feelings in my heart...
context: Sahashi-san... who is she?\Ah, eh, um...\I'm his wife!\W-Wife?!\What art thou so surprised at?\We have gotten married, so I've become thy wife.\Wife...\Wh-What was that? Such tangled-up feelings in my heart... response:	What's with this little brat?! Get away from him!
context: Ah, eh, um...\I'm his wife!\W-Wife?!\What art thou so surprised at?\We have gotten married, so I've become thy wife.\Wife...\Wh-What was that? Such tangled-up feelings in my heart...\What's with this little brat?! Get away from him! response:	Musubi-chan, what's wrong?
context: I'm his wife!\W-Wife?!\What art thou so surprised at?\We have gotten married, so I've become thy wife.\Wife...\Wh-What was that? Such tangled-up feelings in my heart...\What's with this little brat?! Get away from him!\Musubi-chan, what's wrong? response:	I am...
context: W-Wife?!\What art thou so surprised at?\We have gotten married, so I've become thy wife.\Wife...\Wh-What was that? Such tangled-up feelings in my heart...\What's with this little brat?! Get away from him!\Musubi-chan, what's wrong?\I am... response:	His wife, too!
context: What art thou so surprised at?\We have gotten married, so I've become thy wife.\Wife...\Wh-What was that? Such tangled-up feelings in my heart...\What's with this little brat?! Get away from him!\Musubi-chan, what's wrong?\I am...\His wife, too! response:	Out of my way! The real wife is me!
context: We have gotten married, so I've become thy wife.\Wife...\Wh-What was that? Such tangled-up feelings in my heart...\What's with this little brat?! Get away from him!\Musubi-chan, what's wrong?\I am...\His wife, too!\Out of my way! The real wife is me! response:	This is a soap opera. Soap opera world!
context: Wife...\Wh-What was that? Such tangled-up feelings in my heart...\What's with this little brat?! Get away from him!\Musubi-chan, what's wrong?\I am...\His wife, too!\Out of my way! The real wife is me!\This is a soap opera. Soap opera world! response:	Don't you need to join them?
context: Wh-What was that? Such tangled-up feelings in my heart...\What's with this little brat?! Get away from him!\Musubi-chan, what's wrong?\I am...\His wife, too!\Out of my way! The real wife is me!\This is a soap opera. Soap opera world!\Don't you need to join them? response:	Even though I'm not participating in the soap opera there, I attack...
context: What's with this little brat?! Get away from him!\Musubi-chan, what's wrong?\I am...\His wife, too!\Out of my way! The real wife is me!\This is a soap opera. Soap opera world!\Don't you need to join them?\Even though I'm not participating in the soap opera there, I attack... response:	no, attract Mina-tan in my own way.
context: Musubi-chan, what's wrong?\I am...\His wife, too!\Out of my way! The real wife is me!\This is a soap opera. Soap opera world!\Don't you need to join them?\Even though I'm not participating in the soap opera there, I attack...\no, attract Mina-tan in my own way. response:	What a lame joke...
context: I am...\His wife, too!\Out of my way! The real wife is me!\This is a soap opera. Soap opera world!\Don't you need to join them?\Even though I'm not participating in the soap opera there, I attack...\no, attract Mina-tan in my own way.\What a lame joke... response:	To think he made Tsukiumi, who hated Ashikabi so much, emerge...
context: His wife, too!\Out of my way! The real wife is me!\This is a soap opera. Soap opera world!\Don't you need to join them?\Even though I'm not participating in the soap opera there, I attack...\no, attract Mina-tan in my own way.\What a lame joke...\To think he made Tsukiumi, who hated Ashikabi so much, emerge... response:	Minato Sahashi... he's a mysterious man.
context: Out of my way! The real wife is me!\This is a soap opera. Soap opera world!\Don't you need to join them?\Even though I'm not participating in the soap opera there, I attack...\no, attract Mina-tan in my own way.\What a lame joke...\To think he made Tsukiumi, who hated Ashikabi so much, emerge...\Minato Sahashi... he's a mysterious man. response:	Now we shall fight!
context: This is a soap opera. Soap opera world!\Don't you need to join them?\Even though I'm not participating in the soap opera there, I attack...\no, attract Mina-tan in my own way.\What a lame joke...\To think he made Tsukiumi, who hated Ashikabi so much, emerge...\Minato Sahashi... he's a mysterious man.\Now we shall fight! response:	That's what I want!
context: Don't you need to join them?\Even though I'm not participating in the soap opera there, I attack...\no, attract Mina-tan in my own way.\What a lame joke...\To think he made Tsukiumi, who hated Ashikabi so much, emerge...\Minato Sahashi... he's a mysterious man.\Now we shall fight!\That's what I want! response:	Enough!
context: Even though I'm not participating in the soap opera there, I attack...\no, attract Mina-tan in my own way.\What a lame joke...\To think he made Tsukiumi, who hated Ashikabi so much, emerge...\Minato Sahashi... he's a mysterious man.\Now we shall fight!\That's what I want!\Enough! response:	I won't allow any violence here in Maison Izumo.
context: no, attract Mina-tan in my own way.\What a lame joke...\To think he made Tsukiumi, who hated Ashikabi so much, emerge...\Minato Sahashi... he's a mysterious man.\Now we shall fight!\That's what I want!\Enough!\I won't allow any violence here in Maison Izumo. response:	She is... good!
context: What a lame joke...\To think he made Tsukiumi, who hated Ashikabi so much, emerge...\Minato Sahashi... he's a mysterious man.\Now we shall fight!\That's what I want!\Enough!\I won't allow any violence here in Maison Izumo.\She is... good! response:	I'm sorry, Landlady.
context: To think he made Tsukiumi, who hated Ashikabi so much, emerge...\Minato Sahashi... he's a mysterious man.\Now we shall fight!\That's what I want!\Enough!\I won't allow any violence here in Maison Izumo.\She is... good!\I'm sorry, Landlady. response:	How about you?
context: Minato Sahashi... he's a mysterious man.\Now we shall fight!\That's what I want!\Enough!\I won't allow any violence here in Maison Izumo.\She is... good!\I'm sorry, Landlady.\How about you? response:	They say when in Rome, do as the Romans do. I shall obey the landlady here...
context: Now we shall fight!\That's what I want!\Enough!\I won't allow any violence here in Maison Izumo.\She is... good!\I'm sorry, Landlady.\How about you?\They say when in Rome, do as the Romans do. I shall obey the landlady here... response:	Landlady... ah, this is...
context: That's what I want!\Enough!\I won't allow any violence here in Maison Izumo.\She is... good!\I'm sorry, Landlady.\How about you?\They say when in Rome, do as the Romans do. I shall obey the landlady here...\Landlady... ah, this is... response:	The Sekirei Plan.
context: Enough!\I won't allow any violence here in Maison Izumo.\She is... good!\I'm sorry, Landlady.\How about you?\They say when in Rome, do as the Romans do. I shall obey the landlady here...\Landlady... ah, this is...\The Sekirei Plan. response:	H-How did you?
context: I won't allow any violence here in Maison Izumo.\She is... good!\I'm sorry, Landlady.\How about you?\They say when in Rome, do as the Romans do. I shall obey the landlady here...\Landlady... ah, this is...\The Sekirei Plan.\H-How did you? response:	I already told you. My husband worked in the MBI's research section.
context: She is... good!\I'm sorry, Landlady.\How about you?\They say when in Rome, do as the Romans do. I shall obey the landlady here...\Landlady... ah, this is...\The Sekirei Plan.\H-How did you?\I already told you. My husband worked in the MBI's research section. response:	Then, when Ku-chan came...
context: I'm sorry, Landlady.\How about you?\They say when in Rome, do as the Romans do. I shall obey the landlady here...\Landlady... ah, this is...\The Sekirei Plan.\H-How did you?\I already told you. My husband worked in the MBI's research section.\Then, when Ku-chan came... response:	Yes, I could guess the situation...
context: How about you?\They say when in Rome, do as the Romans do. I shall obey the landlady here...\Landlady... ah, this is...\The Sekirei Plan.\H-How did you?\I already told you. My husband worked in the MBI's research section.\Then, when Ku-chan came...\Yes, I could guess the situation... response:	You are his Sekirei, right?
context: They say when in Rome, do as the Romans do. I shall obey the landlady here...\Landlady... ah, this is...\The Sekirei Plan.\H-How did you?\I already told you. My husband worked in the MBI's research section.\Then, when Ku-chan came...\Yes, I could guess the situation...\You are his Sekirei, right? response:	I'm his wife, Tsukiumi. Pleased to meet thee, Landlady.
context: Landlady... ah, this is...\The Sekirei Plan.\H-How did you?\I already told you. My husband worked in the MBI's research section.\Then, when Ku-chan came...\Yes, I could guess the situation...\You are his Sekirei, right?\I'm his wife, Tsukiumi. Pleased to meet thee, Landlady. response:	I'm his wife, too!
context: The Sekirei Plan.\H-How did you?\I already told you. My husband worked in the MBI's research section.\Then, when Ku-chan came...\Yes, I could guess the situation...\You are his Sekirei, right?\I'm his wife, Tsukiumi. Pleased to meet thee, Landlady.\I'm his wife, too! response:	Thou... couldst thou be?
context: H-How did you?\I already told you. My husband worked in the MBI's research section.\Then, when Ku-chan came...\Yes, I could guess the situation...\You are his Sekirei, right?\I'm his wife, Tsukiumi. Pleased to meet thee, Landlady.\I'm his wife, too!\Thou... couldst thou be? response:	Hmm, who art thee, again?
context: I already told you. My husband worked in the MBI's research section.\Then, when Ku-chan came...\Yes, I could guess the situation...\You are his Sekirei, right?\I'm his wife, Tsukiumi. Pleased to meet thee, Landlady.\I'm his wife, too!\Thou... couldst thou be?\Hmm, who art thee, again? response:	I feel as if I'm well acquainted with one looking like thee, but...
context: Then, when Ku-chan came...\Yes, I could guess the situation...\You are his Sekirei, right?\I'm his wife, Tsukiumi. Pleased to meet thee, Landlady.\I'm his wife, too!\Thou... couldst thou be?\Hmm, who art thee, again?\I feel as if I'm well acquainted with one looking like thee, but... response:	Maybe it's just a chance resemblance.
context: Yes, I could guess the situation...\You are his Sekirei, right?\I'm his wife, Tsukiumi. Pleased to meet thee, Landlady.\I'm his wife, too!\Thou... couldst thou be?\Hmm, who art thee, again?\I feel as if I'm well acquainted with one looking like thee, but...\Maybe it's just a chance resemblance. response:	I'm Kagari. I look forward to getting to know you.
context: You are his Sekirei, right?\I'm his wife, Tsukiumi. Pleased to meet thee, Landlady.\I'm his wife, too!\Thou... couldst thou be?\Hmm, who art thee, again?\I feel as if I'm well acquainted with one looking like thee, but...\Maybe it's just a chance resemblance.\I'm Kagari. I look forward to getting to know you. response:	I just took off my mask.
context: I'm his wife, Tsukiumi. Pleased to meet thee, Landlady.\I'm his wife, too!\Thou... couldst thou be?\Hmm, who art thee, again?\I feel as if I'm well acquainted with one looking like thee, but...\Maybe it's just a chance resemblance.\I'm Kagari. I look forward to getting to know you.\I just took off my mask. response:	Should I feel relieved or pathetic?
context: I'm his wife, too!\Thou... couldst thou be?\Hmm, who art thee, again?\I feel as if I'm well acquainted with one looking like thee, but...\Maybe it's just a chance resemblance.\I'm Kagari. I look forward to getting to know you.\I just took off my mask.\Should I feel relieved or pathetic? response:	Kagari-tan.
context: Thou... couldst thou be?\Hmm, who art thee, again?\I feel as if I'm well acquainted with one looking like thee, but...\Maybe it's just a chance resemblance.\I'm Kagari. I look forward to getting to know you.\I just took off my mask.\Should I feel relieved or pathetic?\Kagari-tan. response:	What?
context: Hmm, who art thee, again?\I feel as if I'm well acquainted with one looking like thee, but...\Maybe it's just a chance resemblance.\I'm Kagari. I look forward to getting to know you.\I just took off my mask.\Should I feel relieved or pathetic?\Kagari-tan.\What? response:	How are the burns from the other day? You should stabilize your ability soon.
context: I feel as if I'm well acquainted with one looking like thee, but...\Maybe it's just a chance resemblance.\I'm Kagari. I look forward to getting to know you.\I just took off my mask.\Should I feel relieved or pathetic?\Kagari-tan.\What?\How are the burns from the other day? You should stabilize your ability soon. response:	Are you telling me I should get emerged?
context: Maybe it's just a chance resemblance.\I'm Kagari. I look forward to getting to know you.\I just took off my mask.\Should I feel relieved or pathetic?\Kagari-tan.\What?\How are the burns from the other day? You should stabilize your ability soon.\Are you telling me I should get emerged? response:	Yes. Even without the burns, your body is still...
context: I'm Kagari. I look forward to getting to know you.\I just took off my mask.\Should I feel relieved or pathetic?\Kagari-tan.\What?\How are the burns from the other day? You should stabilize your ability soon.\Are you telling me I should get emerged?\Yes. Even without the burns, your body is still... response:	What a thing to say to a defective being like me.
