context: Thanks for treating us to breakfast, too. response:	We are country people so our food is not fancy.
context: I need to find a light.\Is this what I think it is?\Bro!\Our village was in the clutches of hell, too.\The samurai who escaped wars and became brigands\came and raided our peaceful village.\The fields were left unattended and ravaged by wild beasts and insects.\My people were hungry, and stole from one another. response:	It was amidst such hell that I encountered them.
context: Is this what I think it is?\Bro!\Our village was in the clutches of hell, too.\The samurai who escaped wars and became brigands\came and raided our peaceful village.\The fields were left unattended and ravaged by wild beasts and insects.\My people were hungry, and stole from one another.\It was amidst such hell that I encountered them. response:	The ghouls.
context: Bro!\Our village was in the clutches of hell, too.\The samurai who escaped wars and became brigands\came and raided our peaceful village.\The fields were left unattended and ravaged by wild beasts and insects.\My people were hungry, and stole from one another.\It was amidst such hell that I encountered them.\The ghouls. response:	If it is our destiny to live on in this land,
context: Our village was in the clutches of hell, too.\The samurai who escaped wars and became brigands\came and raided our peaceful village.\The fields were left unattended and ravaged by wild beasts and insects.\My people were hungry, and stole from one another.\It was amidst such hell that I encountered them.\The ghouls.\If it is our destiny to live on in this land, response:	I must protect the land and its people.
context: The samurai who escaped wars and became brigands\came and raided our peaceful village.\The fields were left unattended and ravaged by wild beasts and insects.\My people were hungry, and stole from one another.\It was amidst such hell that I encountered them.\The ghouls.\If it is our destiny to live on in this land,\I must protect the land and its people. response:	I didn't care that they were ghouls.
context: came and raided our peaceful village.\The fields were left unattended and ravaged by wild beasts and insects.\My people were hungry, and stole from one another.\It was amidst such hell that I encountered them.\The ghouls.\If it is our destiny to live on in this land,\I must protect the land and its people.\I didn't care that they were ghouls. response:	I was ready to give up my soul if it meant my people could escape this hell.
context: The fields were left unattended and ravaged by wild beasts and insects.\My people were hungry, and stole from one another.\It was amidst such hell that I encountered them.\The ghouls.\If it is our destiny to live on in this land,\I must protect the land and its people.\I didn't care that they were ghouls.\I was ready to give up my soul if it meant my people could escape this hell. response:	The ghouls ate the brigands and killed the beasts.
context: My people were hungry, and stole from one another.\It was amidst such hell that I encountered them.\The ghouls.\If it is our destiny to live on in this land,\I must protect the land and its people.\I didn't care that they were ghouls.\I was ready to give up my soul if it meant my people could escape this hell.\The ghouls ate the brigands and killed the beasts. response:	They kept their promise, and our village prospered again.
context: It was amidst such hell that I encountered them.\The ghouls.\If it is our destiny to live on in this land,\I must protect the land and its people.\I didn't care that they were ghouls.\I was ready to give up my soul if it meant my people could escape this hell.\The ghouls ate the brigands and killed the beasts.\They kept their promise, and our village prospered again. response:	Let me ask you one thing.
context: The ghouls.\If it is our destiny to live on in this land,\I must protect the land and its people.\I didn't care that they were ghouls.\I was ready to give up my soul if it meant my people could escape this hell.\The ghouls ate the brigands and killed the beasts.\They kept their promise, and our village prospered again.\Let me ask you one thing. response:	Why do you kill ghouls?
context: If it is our destiny to live on in this land,\I must protect the land and its people.\I didn't care that they were ghouls.\I was ready to give up my soul if it meant my people could escape this hell.\The ghouls ate the brigands and killed the beasts.\They kept their promise, and our village prospered again.\Let me ask you one thing.\Why do you kill ghouls? response:	Dang it, I'm not dying here to be eaten by you.
context: I must protect the land and its people.\I didn't care that they were ghouls.\I was ready to give up my soul if it meant my people could escape this hell.\The ghouls ate the brigands and killed the beasts.\They kept their promise, and our village prospered again.\Let me ask you one thing.\Why do you kill ghouls?\Dang it, I'm not dying here to be eaten by you. response:	Ouch...
context: I didn't care that they were ghouls.\I was ready to give up my soul if it meant my people could escape this hell.\The ghouls ate the brigands and killed the beasts.\They kept their promise, and our village prospered again.\Let me ask you one thing.\Why do you kill ghouls?\Dang it, I'm not dying here to be eaten by you.\Ouch... response:	Dang it.
context: I was ready to give up my soul if it meant my people could escape this hell.\The ghouls ate the brigands and killed the beasts.\They kept their promise, and our village prospered again.\Let me ask you one thing.\Why do you kill ghouls?\Dang it, I'm not dying here to be eaten by you.\Ouch...\Dang it. response:	Oh no...
context: The ghouls ate the brigands and killed the beasts.\They kept their promise, and our village prospered again.\Let me ask you one thing.\Why do you kill ghouls?\Dang it, I'm not dying here to be eaten by you.\Ouch...\Dang it.\Oh no... response:	Why...?
context: They kept their promise, and our village prospered again.\Let me ask you one thing.\Why do you kill ghouls?\Dang it, I'm not dying here to be eaten by you.\Ouch...\Dang it.\Oh no...\Why...? response:	I don't care what you're trying to protect.
context: Let me ask you one thing.\Why do you kill ghouls?\Dang it, I'm not dying here to be eaten by you.\Ouch...\Dang it.\Oh no...\Why...?\I don't care what you're trying to protect. response:	I will kill the demons.
context: Why do you kill ghouls?\Dang it, I'm not dying here to be eaten by you.\Ouch...\Dang it.\Oh no...\Why...?\I don't care what you're trying to protect.\I will kill the demons. response:	And get it all back.
context: Dang it, I'm not dying here to be eaten by you.\Ouch...\Dang it.\Oh no...\Why...?\I don't care what you're trying to protect.\I will kill the demons.\And get it all back. response:	-You saved me... -Dororo is kind.
context: Ouch...\Dang it.\Oh no...\Why...?\I don't care what you're trying to protect.\I will kill the demons.\And get it all back.\-You saved me... -Dororo is kind. response:	So I save Dororo.
context: Dang it.\Oh no...\Why...?\I don't care what you're trying to protect.\I will kill the demons.\And get it all back.\-You saved me... -Dororo is kind.\So I save Dororo. response:	Oh wow...
context: Oh no...\Why...?\I don't care what you're trying to protect.\I will kill the demons.\And get it all back.\-You saved me... -Dororo is kind.\So I save Dororo.\Oh wow... response:	Don't let the kids escape!
context: Why...?\I don't care what you're trying to protect.\I will kill the demons.\And get it all back.\-You saved me... -Dororo is kind.\So I save Dororo.\Oh wow...\Don't let the kids escape! response:	You're going to be fed to Maimai-onba.
context: I don't care what you're trying to protect.\I will kill the demons.\And get it all back.\-You saved me... -Dororo is kind.\So I save Dororo.\Oh wow...\Don't let the kids escape!\You're going to be fed to Maimai-onba. response:	It's for the village. No hard feelings.
context: I will kill the demons.\And get it all back.\-You saved me... -Dororo is kind.\So I save Dororo.\Oh wow...\Don't let the kids escape!\You're going to be fed to Maimai-onba.\It's for the village. No hard feelings. response:	That's too cruel.
context: And get it all back.\-You saved me... -Dororo is kind.\So I save Dororo.\Oh wow...\Don't let the kids escape!\You're going to be fed to Maimai-onba.\It's for the village. No hard feelings.\That's too cruel. response:	For the village? But...
context: -You saved me... -Dororo is kind.\So I save Dororo.\Oh wow...\Don't let the kids escape!\You're going to be fed to Maimai-onba.\It's for the village. No hard feelings.\That's too cruel.\For the village? But... response:	You're so kind, Dororo. Thank you.
context: So I save Dororo.\Oh wow...\Don't let the kids escape!\You're going to be fed to Maimai-onba.\It's for the village. No hard feelings.\That's too cruel.\For the village? But...\You're so kind, Dororo. Thank you. response:	Don't cry. We must hurry or Maimai-onba's children will awaken.
context: Oh wow...\Don't let the kids escape!\You're going to be fed to Maimai-onba.\It's for the village. No hard feelings.\That's too cruel.\For the village? But...\You're so kind, Dororo. Thank you.\Don't cry. We must hurry or Maimai-onba's children will awaken. response:	Follow me.
context: Don't let the kids escape!\You're going to be fed to Maimai-onba.\It's for the village. No hard feelings.\That's too cruel.\For the village? But...\You're so kind, Dororo. Thank you.\Don't cry. We must hurry or Maimai-onba's children will awaken.\Follow me. response:	A vagabond like you would never understand.
context: You're going to be fed to Maimai-onba.\It's for the village. No hard feelings.\That's too cruel.\For the village? But...\You're so kind, Dororo. Thank you.\Don't cry. We must hurry or Maimai-onba's children will awaken.\Follow me.\A vagabond like you would never understand. response:	Bro!
context: It's for the village. No hard feelings.\That's too cruel.\For the village? But...\You're so kind, Dororo. Thank you.\Don't cry. We must hurry or Maimai-onba's children will awaken.\Follow me.\A vagabond like you would never understand.\Bro! response:	They've finally awakened.
context: That's too cruel.\For the village? But...\You're so kind, Dororo. Thank you.\Don't cry. We must hurry or Maimai-onba's children will awaken.\Follow me.\A vagabond like you would never understand.\Bro!\They've finally awakened. response:	You will fill their empty stomachs.
context: For the village? But...\You're so kind, Dororo. Thank you.\Don't cry. We must hurry or Maimai-onba's children will awaken.\Follow me.\A vagabond like you would never understand.\Bro!\They've finally awakened.\You will fill their empty stomachs. response:	The same... You are the same!
context: You're so kind, Dororo. Thank you.\Don't cry. We must hurry or Maimai-onba's children will awaken.\Follow me.\A vagabond like you would never understand.\Bro!\They've finally awakened.\You will fill their empty stomachs.\The same... You are the same! response:	Out of my way!
context: Don't cry. We must hurry or Maimai-onba's children will awaken.\Follow me.\A vagabond like you would never understand.\Bro!\They've finally awakened.\You will fill their empty stomachs.\The same... You are the same!\Out of my way! response:	Bro!
context: Follow me.\A vagabond like you would never understand.\Bro!\They've finally awakened.\You will fill their empty stomachs.\The same... You are the same!\Out of my way!\Bro! response:	Listen bro, it was the villagers.
context: A vagabond like you would never understand.\Bro!\They've finally awakened.\You will fill their empty stomachs.\The same... You are the same!\Out of my way!\Bro!\Listen bro, it was the villagers. response:	They killed the nun and the kids.
context: Bro!\They've finally awakened.\You will fill their empty stomachs.\The same... You are the same!\Out of my way!\Bro!\Listen bro, it was the villagers.\They killed the nun and the kids. response:	What's that?
context: They've finally awakened.\You will fill their empty stomachs.\The same... You are the same!\Out of my way!\Bro!\Listen bro, it was the villagers.\They killed the nun and the kids.\What's that? response:	The village, it's burning.
context: You will fill their empty stomachs.\The same... You are the same!\Out of my way!\Bro!\Listen bro, it was the villagers.\They killed the nun and the kids.\What's that?\The village, it's burning. response:	I was pushed down a trapdoor in a storehouse.
context: The same... You are the same!\Out of my way!\Bro!\Listen bro, it was the villagers.\They killed the nun and the kids.\What's that?\The village, it's burning.\I was pushed down a trapdoor in a storehouse. response:	Then those huge bugs came at me.
context: Out of my way!\Bro!\Listen bro, it was the villagers.\They killed the nun and the kids.\What's that?\The village, it's burning.\I was pushed down a trapdoor in a storehouse.\Then those huge bugs came at me. response:	They almost ate me up.
context: Bro!\Listen bro, it was the villagers.\They killed the nun and the kids.\What's that?\The village, it's burning.\I was pushed down a trapdoor in a storehouse.\Then those huge bugs came at me.\They almost ate me up. response:	But that big baby thing saved me.
context: Listen bro, it was the villagers.\They killed the nun and the kids.\What's that?\The village, it's burning.\I was pushed down a trapdoor in a storehouse.\Then those huge bugs came at me.\They almost ate me up.\But that big baby thing saved me. response:	And then...
context: They killed the nun and the kids.\What's that?\The village, it's burning.\I was pushed down a trapdoor in a storehouse.\Then those huge bugs came at me.\They almost ate me up.\But that big baby thing saved me.\And then... response:	That baby ghost, it was the murdered kids.
context: What's that?\The village, it's burning.\I was pushed down a trapdoor in a storehouse.\Then those huge bugs came at me.\They almost ate me up.\But that big baby thing saved me.\And then...\That baby ghost, it was the murdered kids. response:	Are you listening to me?
context: The village, it's burning.\I was pushed down a trapdoor in a storehouse.\Then those huge bugs came at me.\They almost ate me up.\But that big baby thing saved me.\And then...\That baby ghost, it was the murdered kids.\Are you listening to me? response:	Yeah.
context: I was pushed down a trapdoor in a storehouse.\Then those huge bugs came at me.\They almost ate me up.\But that big baby thing saved me.\And then...\That baby ghost, it was the murdered kids.\Are you listening to me?\Yeah. response:	I found the oil too. The oil used to burn down the temple.
context: Then those huge bugs came at me.\They almost ate me up.\But that big baby thing saved me.\And then...\That baby ghost, it was the murdered kids.\Are you listening to me?\Yeah.\I found the oil too. The oil used to burn down the temple. response:	I know it. It smelled the same.
context: They almost ate me up.\But that big baby thing saved me.\And then...\That baby ghost, it was the murdered kids.\Are you listening to me?\Yeah.\I found the oil too. The oil used to burn down the temple.\I know it. It smelled the same. response:	I made sure they couldn't do it again.
context: But that big baby thing saved me.\And then...\That baby ghost, it was the murdered kids.\Are you listening to me?\Yeah.\I found the oil too. The oil used to burn down the temple.\I know it. It smelled the same.\I made sure they couldn't do it again. response:	Lord Sabame, all the village's rice has been burned.
context: And then...\That baby ghost, it was the murdered kids.\Are you listening to me?\Yeah.\I found the oil too. The oil used to burn down the temple.\I know it. It smelled the same.\I made sure they couldn't do it again.\Lord Sabame, all the village's rice has been burned. response:	-We won't last through the winter. -Lord Sabame.
context: That baby ghost, it was the murdered kids.\Are you listening to me?\Yeah.\I found the oil too. The oil used to burn down the temple.\I know it. It smelled the same.\I made sure they couldn't do it again.\Lord Sabame, all the village's rice has been burned.\-We won't last through the winter. -Lord Sabame. response:	-What should we do? -How will we survive this winter?
context: Are you listening to me?\Yeah.\I found the oil too. The oil used to burn down the temple.\I know it. It smelled the same.\I made sure they couldn't do it again.\Lord Sabame, all the village's rice has been burned.\-We won't last through the winter. -Lord Sabame.\-What should we do? -How will we survive this winter? response:	Hey, isn't there still a stock of rice at your house, Ishi?
context: Yeah.\I found the oil too. The oil used to burn down the temple.\I know it. It smelled the same.\I made sure they couldn't do it again.\Lord Sabame, all the village's rice has been burned.\-We won't last through the winter. -Lord Sabame.\-What should we do? -How will we survive this winter?\Hey, isn't there still a stock of rice at your house, Ishi? response:	Your home hasn't burned down.
context: I found the oil too. The oil used to burn down the temple.\I know it. It smelled the same.\I made sure they couldn't do it again.\Lord Sabame, all the village's rice has been burned.\-We won't last through the winter. -Lord Sabame.\-What should we do? -How will we survive this winter?\Hey, isn't there still a stock of rice at your house, Ishi?\Your home hasn't burned down. response:	Hands off. That's my rice!
context: I know it. It smelled the same.\I made sure they couldn't do it again.\Lord Sabame, all the village's rice has been burned.\-We won't last through the winter. -Lord Sabame.\-What should we do? -How will we survive this winter?\Hey, isn't there still a stock of rice at your house, Ishi?\Your home hasn't burned down.\Hands off. That's my rice! response:	You're going to hog it all?
context: I made sure they couldn't do it again.\Lord Sabame, all the village's rice has been burned.\-We won't last through the winter. -Lord Sabame.\-What should we do? -How will we survive this winter?\Hey, isn't there still a stock of rice at your house, Ishi?\Your home hasn't burned down.\Hands off. That's my rice!\You're going to hog it all? response:	Sabame, do something!
context: Lord Sabame, all the village's rice has been burned.\-We won't last through the winter. -Lord Sabame.\-What should we do? -How will we survive this winter?\Hey, isn't there still a stock of rice at your house, Ishi?\Your home hasn't burned down.\Hands off. That's my rice!\You're going to hog it all?\Sabame, do something! response:	I heard Lord Sabame's guest started the fire.
context: -We won't last through the winter. -Lord Sabame.\-What should we do? -How will we survive this winter?\Hey, isn't there still a stock of rice at your house, Ishi?\Your home hasn't burned down.\Hands off. That's my rice!\You're going to hog it all?\Sabame, do something!\I heard Lord Sabame's guest started the fire. response:	The lake?
context: -What should we do? -How will we survive this winter?\Hey, isn't there still a stock of rice at your house, Ishi?\Your home hasn't burned down.\Hands off. That's my rice!\You're going to hog it all?\Sabame, do something!\I heard Lord Sabame's guest started the fire.\The lake? response:	The baby ghoul said so.
context: Hey, isn't there still a stock of rice at your house, Ishi?\Your home hasn't burned down.\Hands off. That's my rice!\You're going to hog it all?\Sabame, do something!\I heard Lord Sabame's guest started the fire.\The lake?\The baby ghoul said so. response:	Bro!
context: Your home hasn't burned down.\Hands off. That's my rice!\You're going to hog it all?\Sabame, do something!\I heard Lord Sabame's guest started the fire.\The lake?\The baby ghoul said so.\Bro! response:	Bro.
context: Hands off. That's my rice!\You're going to hog it all?\Sabame, do something!\I heard Lord Sabame's guest started the fire.\The lake?\The baby ghoul said so.\Bro!\Bro. response:	What happened?
context: You're going to hog it all?\Sabame, do something!\I heard Lord Sabame's guest started the fire.\The lake?\The baby ghoul said so.\Bro!\Bro.\What happened? response:	The whole village...
context: Sabame, do something!\I heard Lord Sabame's guest started the fire.\The lake?\The baby ghoul said so.\Bro!\Bro.\What happened?\The whole village... response:	Why?
context: I heard Lord Sabame's guest started the fire.\The lake?\The baby ghoul said so.\Bro!\Bro.\What happened?\The whole village...\Why? response:	Why did this happen?
context: The lake?\The baby ghoul said so.\Bro!\Bro.\What happened?\The whole village...\Why?\Why did this happen? response:	Bro, did we do the wrong thing?
context: The baby ghoul said so.\Bro!\Bro.\What happened?\The whole village...\Why?\Why did this happen?\Bro, did we do the wrong thing? response:	This happened because we came, right?
context: Bro!\Bro.\What happened?\The whole village...\Why?\Why did this happen?\Bro, did we do the wrong thing?\This happened because we came, right? response:	Not my concern.
context: Bro.\What happened?\The whole village...\Why?\Why did this happen?\Bro, did we do the wrong thing?\This happened because we came, right?\Not my concern. response:	Even if you defeat a few demons here and there,
context: What happened?\The whole village...\Why?\Why did this happen?\Bro, did we do the wrong thing?\This happened because we came, right?\Not my concern.\Even if you defeat a few demons here and there, response:	it won't change the world at all.
context: The whole village...\Why?\Why did this happen?\Bro, did we do the wrong thing?\This happened because we came, right?\Not my concern.\Even if you defeat a few demons here and there,\it won't change the world at all. response:	All you think about is killing the demons.
context: Why?\Why did this happen?\Bro, did we do the wrong thing?\This happened because we came, right?\Not my concern.\Even if you defeat a few demons here and there,\it won't change the world at all.\All you think about is killing the demons. response:	Say something.
context: Why did this happen?\Bro, did we do the wrong thing?\This happened because we came, right?\Not my concern.\Even if you defeat a few demons here and there,\it won't change the world at all.\All you think about is killing the demons.\Say something. response:	This isn't right.
context: Bro, did we do the wrong thing?\This happened because we came, right?\Not my concern.\Even if you defeat a few demons here and there,\it won't change the world at all.\All you think about is killing the demons.\Say something.\This isn't right. response:	That'll just make you one of them.
context: This happened because we came, right?\Not my concern.\Even if you defeat a few demons here and there,\it won't change the world at all.\All you think about is killing the demons.\Say something.\This isn't right.\That'll just make you one of them. response:	Can you not perceive distance with just one eye yet?
context: Not my concern.\Even if you defeat a few demons here and there,\it won't change the world at all.\All you think about is killing the demons.\Say something.\This isn't right.\That'll just make you one of them.\Can you not perceive distance with just one eye yet? response:	Not yet. Again!
context: Even if you defeat a few demons here and there,\it won't change the world at all.\All you think about is killing the demons.\Say something.\This isn't right.\That'll just make you one of them.\Can you not perceive distance with just one eye yet?\Not yet. Again! response:	It's not my concern.
context: it won't change the world at all.\All you think about is killing the demons.\Say something.\This isn't right.\That'll just make you one of them.\Can you not perceive distance with just one eye yet?\Not yet. Again!\It's not my concern. response:	Dororo?
context: All you think about is killing the demons.\Say something.\This isn't right.\That'll just make you one of them.\Can you not perceive distance with just one eye yet?\Not yet. Again!\It's not my concern.\Dororo? response:	I wish bro would listen to me more.
context: Say something.\This isn't right.\That'll just make you one of them.\Can you not perceive distance with just one eye yet?\Not yet. Again!\It's not my concern.\Dororo?\I wish bro would listen to me more. response:	Stupid bro.
context: This isn't right.\That'll just make you one of them.\Can you not perceive distance with just one eye yet?\Not yet. Again!\It's not my concern.\Dororo?\I wish bro would listen to me more.\Stupid bro. response:	Hey, Dororo. Long time no see.
context: That'll just make you one of them.\Can you not perceive distance with just one eye yet?\Not yet. Again!\It's not my concern.\Dororo?\I wish bro would listen to me more.\Stupid bro.\Hey, Dororo. Long time no see. response:	Oh, Itachi.
context: Can you not perceive distance with just one eye yet?\Not yet. Again!\It's not my concern.\Dororo?\I wish bro would listen to me more.\Stupid bro.\Hey, Dororo. Long time no see.\Oh, Itachi. response:	Aww, come on. I've been looking everywhere for you.
context: Not yet. Again!\It's not my concern.\Dororo?\I wish bro would listen to me more.\Stupid bro.\Hey, Dororo. Long time no see.\Oh, Itachi.\Aww, come on. I've been looking everywhere for you. response:	Still a midget, eh?
context: It's not my concern.\Dororo?\I wish bro would listen to me more.\Stupid bro.\Hey, Dororo. Long time no see.\Oh, Itachi.\Aww, come on. I've been looking everywhere for you.\Still a midget, eh? response:	Shut up!
context: Dororo?\I wish bro would listen to me more.\Stupid bro.\Hey, Dororo. Long time no see.\Oh, Itachi.\Aww, come on. I've been looking everywhere for you.\Still a midget, eh?\Shut up! response:	Ta-da. Now show me the other half that you have.
context: I wish bro would listen to me more.\Stupid bro.\Hey, Dororo. Long time no see.\Oh, Itachi.\Aww, come on. I've been looking everywhere for you.\Still a midget, eh?\Shut up!\Ta-da. Now show me the other half that you have. response:	Born into this world
context: Stupid bro.\Hey, Dororo. Long time no see.\Oh, Itachi.\Aww, come on. I've been looking everywhere for you.\Still a midget, eh?\Shut up!\Ta-da. Now show me the other half that you have.\Born into this world response:	There is no salvation
context: Hey, Dororo. Long time no see.\Oh, Itachi.\Aww, come on. I've been looking everywhere for you.\Still a midget, eh?\Shut up!\Ta-da. Now show me the other half that you have.\Born into this world\There is no salvation response:	The distorted shape of the heart
context: Oh, Itachi.\Aww, come on. I've been looking everywhere for you.\Still a midget, eh?\Shut up!\Ta-da. Now show me the other half that you have.\Born into this world\There is no salvation\The distorted shape of the heart response:	Yet it beats courageously
context: Aww, come on. I've been looking everywhere for you.\Still a midget, eh?\Shut up!\Ta-da. Now show me the other half that you have.\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously response:	There is no turning back
context: Still a midget, eh?\Shut up!\Ta-da. Now show me the other half that you have.\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back response:	Even from the path of evil
context: Shut up!\Ta-da. Now show me the other half that you have.\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil response:	Witnessing the withering seasons
context: Ta-da. Now show me the other half that you have.\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons response:	We search for the truth
context: Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth response:	In our ugliness
context: There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness response:	We don't even recognize the pain
context: The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain response:	As we peel back the skin
context: Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin response:	We are forever tormented by our stupidity
context: There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity response:	But if the dawn never comes
context: Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes response:	Through the painful night
context: Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night response:	You who distrusts nothing
context: We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing response:	You will be able to love this accursed world
context: In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing\You will be able to love this accursed world response:	Now that we carry the world on our shoulders
context: We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing\You will be able to love this accursed world\Now that we carry the world on our shoulders response:	It's time to take it back
context: As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing\You will be able to love this accursed world\Now that we carry the world on our shoulders\It's time to take it back response:	Maimai-onba
