context: Why did you only choose students within this school for your works of art? response:	This academy is a girls' boarding school.
context: it's estimated that the brain's lifespan is about 150 years at most.\I hear that we're still quite a ways away from complete cyberization of the brain.\If I take my brain to its limits, I can squeeze a bit more life out of it.\So I'm counting on them to find a breakthrough in the meantime.\I see. If that actually happens, then...\That's right.\The era of immortality will have arrived.\It's said that God created man in his own image. response:	Isn't it about time for us humans to become a little more like God?
context: I hear that we're still quite a ways away from complete cyberization of the brain.\If I take my brain to its limits, I can squeeze a bit more life out of it.\So I'm counting on them to find a breakthrough in the meantime.\I see. If that actually happens, then...\That's right.\The era of immortality will have arrived.\It's said that God created man in his own image.\Isn't it about time for us humans to become a little more like God? response:	What do you think about gaining eternal youth and immortality by becoming a cyborg?
context: If I take my brain to its limits, I can squeeze a bit more life out of it.\So I'm counting on them to find a breakthrough in the meantime.\I see. If that actually happens, then...\That's right.\The era of immortality will have arrived.\It's said that God created man in his own image.\Isn't it about time for us humans to become a little more like God?\What do you think about gaining eternal youth and immortality by becoming a cyborg? response:	I'm not interested.
context: So I'm counting on them to find a breakthrough in the meantime.\I see. If that actually happens, then...\That's right.\The era of immortality will have arrived.\It's said that God created man in his own image.\Isn't it about time for us humans to become a little more like God?\What do you think about gaining eternal youth and immortality by becoming a cyborg?\I'm not interested. response:	Life as a latent criminal isn't the sort of thing you'd want to go on forever.
context: I see. If that actually happens, then...\That's right.\The era of immortality will have arrived.\It's said that God created man in his own image.\Isn't it about time for us humans to become a little more like God?\What do you think about gaining eternal youth and immortality by becoming a cyborg?\I'm not interested.\Life as a latent criminal isn't the sort of thing you'd want to go on forever. response:	But... As society progresses, the rights of latent criminals may improve.
context: That's right.\The era of immortality will have arrived.\It's said that God created man in his own image.\Isn't it about time for us humans to become a little more like God?\What do you think about gaining eternal youth and immortality by becoming a cyborg?\I'm not interested.\Life as a latent criminal isn't the sort of thing you'd want to go on forever.\But... As society progresses, the rights of latent criminals may improve. response:	No wonder your Psycho-Pass always manages to stay so clear.
context: The era of immortality will have arrived.\It's said that God created man in his own image.\Isn't it about time for us humans to become a little more like God?\What do you think about gaining eternal youth and immortality by becoming a cyborg?\I'm not interested.\Life as a latent criminal isn't the sort of thing you'd want to go on forever.\But... As society progresses, the rights of latent criminals may improve.\No wonder your Psycho-Pass always manages to stay so clear. response:	According to a survey,
context: It's said that God created man in his own image.\Isn't it about time for us humans to become a little more like God?\What do you think about gaining eternal youth and immortality by becoming a cyborg?\I'm not interested.\Life as a latent criminal isn't the sort of thing you'd want to go on forever.\But... As society progresses, the rights of latent criminals may improve.\No wonder your Psycho-Pass always manages to stay so clear.\According to a survey, response:	it seems that a majority of people have answered that they feel reluctant to be more than 50 cyborg.
context: Isn't it about time for us humans to become a little more like God?\What do you think about gaining eternal youth and immortality by becoming a cyborg?\I'm not interested.\Life as a latent criminal isn't the sort of thing you'd want to go on forever.\But... As society progresses, the rights of latent criminals may improve.\No wonder your Psycho-Pass always manages to stay so clear.\According to a survey,\it seems that a majority of people have answered that they feel reluctant to be more than 50 cyborg. response:	I do understand the reluctance that those people feel.
context: What do you think about gaining eternal youth and immortality by becoming a cyborg?\I'm not interested.\Life as a latent criminal isn't the sort of thing you'd want to go on forever.\But... As society progresses, the rights of latent criminals may improve.\No wonder your Psycho-Pass always manages to stay so clear.\According to a survey,\it seems that a majority of people have answered that they feel reluctant to be more than 50 cyborg.\I do understand the reluctance that those people feel. response:	In the end, it's a matter of degree.
context: I'm not interested.\Life as a latent criminal isn't the sort of thing you'd want to go on forever.\But... As society progresses, the rights of latent criminals may improve.\No wonder your Psycho-Pass always manages to stay so clear.\According to a survey,\it seems that a majority of people have answered that they feel reluctant to be more than 50 cyborg.\I do understand the reluctance that those people feel.\In the end, it's a matter of degree. response:	For example, take yourself.
context: Life as a latent criminal isn't the sort of thing you'd want to go on forever.\But... As society progresses, the rights of latent criminals may improve.\No wonder your Psycho-Pass always manages to stay so clear.\According to a survey,\it seems that a majority of people have answered that they feel reluctant to be more than 50 cyborg.\I do understand the reluctance that those people feel.\In the end, it's a matter of degree.\For example, take yourself. response:	You're quite the cyborg too.
context: But... As society progresses, the rights of latent criminals may improve.\No wonder your Psycho-Pass always manages to stay so clear.\According to a survey,\it seems that a majority of people have answered that they feel reluctant to be more than 50 cyborg.\I do understand the reluctance that those people feel.\In the end, it's a matter of degree.\For example, take yourself.\You're quite the cyborg too. response:	But I don't use artificial arms, legs, or organs.
context: No wonder your Psycho-Pass always manages to stay so clear.\According to a survey,\it seems that a majority of people have answered that they feel reluctant to be more than 50 cyborg.\I do understand the reluctance that those people feel.\In the end, it's a matter of degree.\For example, take yourself.\You're quite the cyborg too.\But I don't use artificial arms, legs, or organs. response:	You do, however, carry some form of portable information terminal, am I right?
context: According to a survey,\it seems that a majority of people have answered that they feel reluctant to be more than 50 cyborg.\I do understand the reluctance that those people feel.\In the end, it's a matter of degree.\For example, take yourself.\You're quite the cyborg too.\But I don't use artificial arms, legs, or organs.\You do, however, carry some form of portable information terminal, am I right? response:	Well, yes... but doesn't everyone?
context: it seems that a majority of people have answered that they feel reluctant to be more than 50 cyborg.\I do understand the reluctance that those people feel.\In the end, it's a matter of degree.\For example, take yourself.\You're quite the cyborg too.\But I don't use artificial arms, legs, or organs.\You do, however, carry some form of portable information terminal, am I right?\Well, yes... but doesn't everyone? response:	A costume device, too?
context: I do understand the reluctance that those people feel.\In the end, it's a matter of degree.\For example, take yourself.\You're quite the cyborg too.\But I don't use artificial arms, legs, or organs.\You do, however, carry some form of portable information terminal, am I right?\Well, yes... but doesn't everyone?\A costume device, too? response:	Of course.
context: In the end, it's a matter of degree.\For example, take yourself.\You're quite the cyborg too.\But I don't use artificial arms, legs, or organs.\You do, however, carry some form of portable information terminal, am I right?\Well, yes... but doesn't everyone?\A costume device, too?\Of course. response:	And at home, you probably have home automation and an AI secretary.
context: For example, take yourself.\You're quite the cyborg too.\But I don't use artificial arms, legs, or organs.\You do, however, carry some form of portable information terminal, am I right?\Well, yes... but doesn't everyone?\A costume device, too?\Of course.\And at home, you probably have home automation and an AI secretary. response:	Yes.
context: You're quite the cyborg too.\But I don't use artificial arms, legs, or organs.\You do, however, carry some form of portable information terminal, am I right?\Well, yes... but doesn't everyone?\A costume device, too?\Of course.\And at home, you probably have home automation and an AI secretary.\Yes. response:	What would happen to you if all the data in those devices was lost due to some kind of disaster or accident?
context: But I don't use artificial arms, legs, or organs.\You do, however, carry some form of portable information terminal, am I right?\Well, yes... but doesn't everyone?\A costume device, too?\Of course.\And at home, you probably have home automation and an AI secretary.\Yes.\What would happen to you if all the data in those devices was lost due to some kind of disaster or accident? response:	Well...
context: You do, however, carry some form of portable information terminal, am I right?\Well, yes... but doesn't everyone?\A costume device, too?\Of course.\And at home, you probably have home automation and an AI secretary.\Yes.\What would happen to you if all the data in those devices was lost due to some kind of disaster or accident?\Well... response:	I wouldn't be able to do any work until it was restored.
context: Well, yes... but doesn't everyone?\A costume device, too?\Of course.\And at home, you probably have home automation and an AI secretary.\Yes.\What would happen to you if all the data in those devices was lost due to some kind of disaster or accident?\Well...\I wouldn't be able to do any work until it was restored. response:	When you entrust so much of your everyday life to those electronic devices,
context: A costume device, too?\Of course.\And at home, you probably have home automation and an AI secretary.\Yes.\What would happen to you if all the data in those devices was lost due to some kind of disaster or accident?\Well...\I wouldn't be able to do any work until it was restored.\When you entrust so much of your everyday life to those electronic devices, response:	the argument that you're not a cyborg isn't very convincing.
context: Of course.\And at home, you probably have home automation and an AI secretary.\Yes.\What would happen to you if all the data in those devices was lost due to some kind of disaster or accident?\Well...\I wouldn't be able to do any work until it was restored.\When you entrust so much of your everyday life to those electronic devices,\the argument that you're not a cyborg isn't very convincing. response:	To you, those portable terminals are already your second brain.
context: And at home, you probably have home automation and an AI secretary.\Yes.\What would happen to you if all the data in those devices was lost due to some kind of disaster or accident?\Well...\I wouldn't be able to do any work until it was restored.\When you entrust so much of your everyday life to those electronic devices,\the argument that you're not a cyborg isn't very convincing.\To you, those portable terminals are already your second brain. response:	Isn't that right?
context: Yes.\What would happen to you if all the data in those devices was lost due to some kind of disaster or accident?\Well...\I wouldn't be able to do any work until it was restored.\When you entrust so much of your everyday life to those electronic devices,\the argument that you're not a cyborg isn't very convincing.\To you, those portable terminals are already your second brain.\Isn't that right? response:	It can be said that the history of science is a history of the expansion of the human body's functionality.
context: What would happen to you if all the data in those devices was lost due to some kind of disaster or accident?\Well...\I wouldn't be able to do any work until it was restored.\When you entrust so much of your everyday life to those electronic devices,\the argument that you're not a cyborg isn't very convincing.\To you, those portable terminals are already your second brain.\Isn't that right?\It can be said that the history of science is a history of the expansion of the human body's functionality. response:	In other words, the history of man's cyberization.
context: Well...\I wouldn't be able to do any work until it was restored.\When you entrust so much of your everyday life to those electronic devices,\the argument that you're not a cyborg isn't very convincing.\To you, those portable terminals are already your second brain.\Isn't that right?\It can be said that the history of science is a history of the expansion of the human body's functionality.\In other words, the history of man's cyberization. response:	That's why it's a matter of degree.
context: I wouldn't be able to do any work until it was restored.\When you entrust so much of your everyday life to those electronic devices,\the argument that you're not a cyborg isn't very convincing.\To you, those portable terminals are already your second brain.\Isn't that right?\It can be said that the history of science is a history of the expansion of the human body's functionality.\In other words, the history of man's cyberization.\That's why it's a matter of degree. response:	Private Property No Trespassing
context: When you entrust so much of your everyday life to those electronic devices,\the argument that you're not a cyborg isn't very convincing.\To you, those portable terminals are already your second brain.\Isn't that right?\It can be said that the history of science is a history of the expansion of the human body's functionality.\In other words, the history of man's cyberization.\That's why it's a matter of degree.\Private Property No Trespassing response:	Yes?
context: the argument that you're not a cyborg isn't very convincing.\To you, those portable terminals are already your second brain.\Isn't that right?\It can be said that the history of science is a history of the expansion of the human body's functionality.\In other words, the history of man's cyberization.\That's why it's a matter of degree.\Private Property No Trespassing\Yes? response:	Hey. It's me, Kougami.
context: To you, those portable terminals are already your second brain.\Isn't that right?\It can be said that the history of science is a history of the expansion of the human body's functionality.\In other words, the history of man's cyberization.\That's why it's a matter of degree.\Private Property No Trespassing\Yes?\Hey. It's me, Kougami. response:	Oh, hold on a sec.
context: Isn't that right?\It can be said that the history of science is a history of the expansion of the human body's functionality.\In other words, the history of man's cyberization.\That's why it's a matter of degree.\Private Property No Trespassing\Yes?\Hey. It's me, Kougami.\Oh, hold on a sec. response:	I don't see much environment Holo in use here.
context: It can be said that the history of science is a history of the expansion of the human body's functionality.\In other words, the history of man's cyberization.\That's why it's a matter of degree.\Private Property No Trespassing\Yes?\Hey. It's me, Kougami.\Oh, hold on a sec.\I don't see much environment Holo in use here. response:	He doesn't like that kind of stuff.
context: In other words, the history of man's cyberization.\That's why it's a matter of degree.\Private Property No Trespassing\Yes?\Hey. It's me, Kougami.\Oh, hold on a sec.\I don't see much environment Holo in use here.\He doesn't like that kind of stuff. response:	It's been a while, Professor Saiga.
context: That's why it's a matter of degree.\Private Property No Trespassing\Yes?\Hey. It's me, Kougami.\Oh, hold on a sec.\I don't see much environment Holo in use here.\He doesn't like that kind of stuff.\It's been a while, Professor Saiga. response:	Stop calling me professor. How many years do you think it's been since I quit?
context: Private Property No Trespassing\Yes?\Hey. It's me, Kougami.\Oh, hold on a sec.\I don't see much environment Holo in use here.\He doesn't like that kind of stuff.\It's been a while, Professor Saiga.\Stop calling me professor. How many years do you think it's been since I quit? response:	Who's this young lady?
context: Yes?\Hey. It's me, Kougami.\Oh, hold on a sec.\I don't see much environment Holo in use here.\He doesn't like that kind of stuff.\It's been a while, Professor Saiga.\Stop calling me professor. How many years do you think it's been since I quit?\Who's this young lady? response:	I'm Tsunemori Akane, an Inspector at the Public Safety Bureau. Thanks for seeing me today.
context: Hey. It's me, Kougami.\Oh, hold on a sec.\I don't see much environment Holo in use here.\He doesn't like that kind of stuff.\It's been a while, Professor Saiga.\Stop calling me professor. How many years do you think it's been since I quit?\Who's this young lady?\I'm Tsunemori Akane, an Inspector at the Public Safety Bureau. Thanks for seeing me today. response:	Clinical Psychology Special Lecture A Sibyl Education Investig ation Research Center
context: Oh, hold on a sec.\I don't see much environment Holo in use here.\He doesn't like that kind of stuff.\It's been a while, Professor Saiga.\Stop calling me professor. How many years do you think it's been since I quit?\Who's this young lady?\I'm Tsunemori Akane, an Inspector at the Public Safety Bureau. Thanks for seeing me today.\Clinical Psychology Special Lecture A Sibyl Education Investig ation Research Center response:	Is coffee okay?
context: I don't see much environment Holo in use here.\He doesn't like that kind of stuff.\It's been a while, Professor Saiga.\Stop calling me professor. How many years do you think it's been since I quit?\Who's this young lady?\I'm Tsunemori Akane, an Inspector at the Public Safety Bureau. Thanks for seeing me today.\Clinical Psychology Special Lecture A Sibyl Education Investig ation Research Center\Is coffee okay? response:	Yes.
context: He doesn't like that kind of stuff.\It's been a while, Professor Saiga.\Stop calling me professor. How many years do you think it's been since I quit?\Who's this young lady?\I'm Tsunemori Akane, an Inspector at the Public Safety Bureau. Thanks for seeing me today.\Clinical Psychology Special Lecture A Sibyl Education Investig ation Research Center\Is coffee okay?\Yes. response:	Ah, yes.
context: It's been a while, Professor Saiga.\Stop calling me professor. How many years do you think it's been since I quit?\Who's this young lady?\I'm Tsunemori Akane, an Inspector at the Public Safety Bureau. Thanks for seeing me today.\Clinical Psychology Special Lecture A Sibyl Education Investig ation Research Center\Is coffee okay?\Yes.\Ah, yes. response:	Just as well, since coffee's all I've got.
context: Stop calling me professor. How many years do you think it's been since I quit?\Who's this young lady?\I'm Tsunemori Akane, an Inspector at the Public Safety Bureau. Thanks for seeing me today.\Clinical Psychology Special Lecture A Sibyl Education Investig ation Research Center\Is coffee okay?\Yes.\Ah, yes.\Just as well, since coffee's all I've got. response:	Inspector Tsunemori Akane...
context: Who's this young lady?\I'm Tsunemori Akane, an Inspector at the Public Safety Bureau. Thanks for seeing me today.\Clinical Psychology Special Lecture A Sibyl Education Investig ation Research Center\Is coffee okay?\Yes.\Ah, yes.\Just as well, since coffee's all I've got.\Inspector Tsunemori Akane... response:	Yes?
context: I'm Tsunemori Akane, an Inspector at the Public Safety Bureau. Thanks for seeing me today.\Clinical Psychology Special Lecture A Sibyl Education Investig ation Research Center\Is coffee okay?\Yes.\Ah, yes.\Just as well, since coffee's all I've got.\Inspector Tsunemori Akane...\Yes? response:	Are you from Chiba prefecture?
context: Clinical Psychology Special Lecture A Sibyl Education Investig ation Research Center\Is coffee okay?\Yes.\Ah, yes.\Just as well, since coffee's all I've got.\Inspector Tsunemori Akane...\Yes?\Are you from Chiba prefecture? response:	Yes, I am.
context: Is coffee okay?\Yes.\Ah, yes.\Just as well, since coffee's all I've got.\Inspector Tsunemori Akane...\Yes?\Are you from Chiba prefecture?\Yes, I am. response:	Your athletic ability isn't bad, and yet...
context: Yes.\Ah, yes.\Just as well, since coffee's all I've got.\Inspector Tsunemori Akane...\Yes?\Are you from Chiba prefecture?\Yes, I am.\Your athletic ability isn't bad, and yet... response:	I wonder why...
context: Ah, yes.\Just as well, since coffee's all I've got.\Inspector Tsunemori Akane...\Yes?\Are you from Chiba prefecture?\Yes, I am.\Your athletic ability isn't bad, and yet...\I wonder why... response:	Yeah...
context: Just as well, since coffee's all I've got.\Inspector Tsunemori Akane...\Yes?\Are you from Chiba prefecture?\Yes, I am.\Your athletic ability isn't bad, and yet...\I wonder why...\Yeah... response:	I wonder why you can't swim.
context: Inspector Tsunemori Akane...\Yes?\Are you from Chiba prefecture?\Yes, I am.\Your athletic ability isn't bad, and yet...\I wonder why...\Yeah...\I wonder why you can't swim. response:	What?!
context: Yes?\Are you from Chiba prefecture?\Yes, I am.\Your athletic ability isn't bad, and yet...\I wonder why...\Yeah...\I wonder why you can't swim.\What?! response:	Both of your parents are still alive.
context: Are you from Chiba prefecture?\Yes, I am.\Your athletic ability isn't bad, and yet...\I wonder why...\Yeah...\I wonder why you can't swim.\What?!\Both of your parents are still alive. response:	They're worried about their only daughter not finding a boyfriend.
context: Yes, I am.\Your athletic ability isn't bad, and yet...\I wonder why...\Yeah...\I wonder why you can't swim.\What?!\Both of your parents are still alive.\They're worried about their only daughter not finding a boyfriend. response:	Umm...
context: Your athletic ability isn't bad, and yet...\I wonder why...\Yeah...\I wonder why you can't swim.\What?!\Both of your parents are still alive.\They're worried about their only daughter not finding a boyfriend.\Umm... response:	They were opposed to you working at the Bureau, too.
context: I wonder why...\Yeah...\I wonder why you can't swim.\What?!\Both of your parents are still alive.\They're worried about their only daughter not finding a boyfriend.\Umm...\They were opposed to you working at the Bureau, too. response:	And, your grandfather or grandmother...
context: Yeah...\I wonder why you can't swim.\What?!\Both of your parents are still alive.\They're worried about their only daughter not finding a boyfriend.\Umm...\They were opposed to you working at the Bureau, too.\And, your grandfather or grandmother... response:	It must be your grandmother.
context: I wonder why you can't swim.\What?!\Both of your parents are still alive.\They're worried about their only daughter not finding a boyfriend.\Umm...\They were opposed to you working at the Bureau, too.\And, your grandfather or grandmother...\It must be your grandmother. response:	She treated you with great affection.
context: What?!\Both of your parents are still alive.\They're worried about their only daughter not finding a boyfriend.\Umm...\They were opposed to you working at the Bureau, too.\And, your grandfather or grandmother...\It must be your grandmother.\She treated you with great affection. response:	It seems that you're quite the grandma's girl.
context: Both of your parents are still alive.\They're worried about their only daughter not finding a boyfriend.\Umm...\They were opposed to you working at the Bureau, too.\And, your grandfather or grandmother...\It must be your grandmother.\She treated you with great affection.\It seems that you're quite the grandma's girl. response:	It's often true that the more time you spend with the elderly during your childhood,
context: They're worried about their only daughter not finding a boyfriend.\Umm...\They were opposed to you working at the Bureau, too.\And, your grandfather or grandmother...\It must be your grandmother.\She treated you with great affection.\It seems that you're quite the grandma's girl.\It's often true that the more time you spend with the elderly during your childhood, response:	the better you can get along with Holo Avatar AIs during your adult life.
context: Umm...\They were opposed to you working at the Bureau, too.\And, your grandfather or grandmother...\It must be your grandmother.\She treated you with great affection.\It seems that you're quite the grandma's girl.\It's often true that the more time you spend with the elderly during your childhood,\the better you can get along with Holo Avatar AIs during your adult life. response:	You fit that pattern, Ms. Tsunemori.
context: They were opposed to you working at the Bureau, too.\And, your grandfather or grandmother...\It must be your grandmother.\She treated you with great affection.\It seems that you're quite the grandma's girl.\It's often true that the more time you spend with the elderly during your childhood,\the better you can get along with Holo Avatar AIs during your adult life.\You fit that pattern, Ms. Tsunemori. response:	Umm...
context: And, your grandfather or grandmother...\It must be your grandmother.\She treated you with great affection.\It seems that you're quite the grandma's girl.\It's often true that the more time you spend with the elderly during your childhood,\the better you can get along with Holo Avatar AIs during your adult life.\You fit that pattern, Ms. Tsunemori.\Umm... response:	You're as sharp as ever, Saiga.
context: It must be your grandmother.\She treated you with great affection.\It seems that you're quite the grandma's girl.\It's often true that the more time you spend with the elderly during your childhood,\the better you can get along with Holo Avatar AIs during your adult life.\You fit that pattern, Ms. Tsunemori.\Umm...\You're as sharp as ever, Saiga. response:	How... did you do that?
context: She treated you with great affection.\It seems that you're quite the grandma's girl.\It's often true that the more time you spend with the elderly during your childhood,\the better you can get along with Holo Avatar AIs during your adult life.\You fit that pattern, Ms. Tsunemori.\Umm...\You're as sharp as ever, Saiga.\How... did you do that? response:	Simple observation.
context: It seems that you're quite the grandma's girl.\It's often true that the more time you spend with the elderly during your childhood,\the better you can get along with Holo Avatar AIs during your adult life.\You fit that pattern, Ms. Tsunemori.\Umm...\You're as sharp as ever, Saiga.\How... did you do that?\Simple observation. response:	People manifest all sorts of signs unconsciously.
context: It's often true that the more time you spend with the elderly during your childhood,\the better you can get along with Holo Avatar AIs during your adult life.\You fit that pattern, Ms. Tsunemori.\Umm...\You're as sharp as ever, Saiga.\How... did you do that?\Simple observation.\People manifest all sorts of signs unconsciously. response:	Once you get the knack of it, you can read those signs pretty easily.
context: the better you can get along with Holo Avatar AIs during your adult life.\You fit that pattern, Ms. Tsunemori.\Umm...\You're as sharp as ever, Saiga.\How... did you do that?\Simple observation.\People manifest all sorts of signs unconsciously.\Once you get the knack of it, you can read those signs pretty easily. response:	Saiga Jouji...
context: You fit that pattern, Ms. Tsunemori.\Umm...\You're as sharp as ever, Saiga.\How... did you do that?\Simple observation.\People manifest all sorts of signs unconsciously.\Once you get the knack of it, you can read those signs pretty easily.\Saiga Jouji... response:	You specialize in clinical psychology.
context: Umm...\You're as sharp as ever, Saiga.\How... did you do that?\Simple observation.\People manifest all sorts of signs unconsciously.\Once you get the knack of it, you can read those signs pretty easily.\Saiga Jouji...\You specialize in clinical psychology. response:	As I worked as a psychiatric examiner and assisted in investigations and such,
context: You're as sharp as ever, Saiga.\How... did you do that?\Simple observation.\People manifest all sorts of signs unconsciously.\Once you get the knack of it, you can read those signs pretty easily.\Saiga Jouji...\You specialize in clinical psychology.\As I worked as a psychiatric examiner and assisted in investigations and such, response:	my main focus shifted to criminal research before I knew it.
context: How... did you do that?\Simple observation.\People manifest all sorts of signs unconsciously.\Once you get the knack of it, you can read those signs pretty easily.\Saiga Jouji...\You specialize in clinical psychology.\As I worked as a psychiatric examiner and assisted in investigations and such,\my main focus shifted to criminal research before I knew it. response:	I have two favors to ask you today.
context: Simple observation.\People manifest all sorts of signs unconsciously.\Once you get the knack of it, you can read those signs pretty easily.\Saiga Jouji...\You specialize in clinical psychology.\As I worked as a psychiatric examiner and assisted in investigations and such,\my main focus shifted to criminal research before I knew it.\I have two favors to ask you today. response:	Ask me anything.
context: People manifest all sorts of signs unconsciously.\Once you get the knack of it, you can read those signs pretty easily.\Saiga Jouji...\You specialize in clinical psychology.\As I worked as a psychiatric examiner and assisted in investigations and such,\my main focus shifted to criminal research before I knew it.\I have two favors to ask you today.\Ask me anything. response:	First, I'd like you to give this Inspector an intensive short course.
context: Once you get the knack of it, you can read those signs pretty easily.\Saiga Jouji...\You specialize in clinical psychology.\As I worked as a psychiatric examiner and assisted in investigations and such,\my main focus shifted to criminal research before I knew it.\I have two favors to ask you today.\Ask me anything.\First, I'd like you to give this Inspector an intensive short course. response:	I'd like to learn about profiling and such.
context: Saiga Jouji...\You specialize in clinical psychology.\As I worked as a psychiatric examiner and assisted in investigations and such,\my main focus shifted to criminal research before I knew it.\I have two favors to ask you today.\Ask me anything.\First, I'd like you to give this Inspector an intensive short course.\I'd like to learn about profiling and such. response:	They say it's an outdated method, but I'm very interested in it.
context: You specialize in clinical psychology.\As I worked as a psychiatric examiner and assisted in investigations and such,\my main focus shifted to criminal research before I knew it.\I have two favors to ask you today.\Ask me anything.\First, I'd like you to give this Inspector an intensive short course.\I'd like to learn about profiling and such.\They say it's an outdated method, but I'm very interested in it. response:	Or rather, I became interested recently.
context: As I worked as a psychiatric examiner and assisted in investigations and such,\my main focus shifted to criminal research before I knew it.\I have two favors to ask you today.\Ask me anything.\First, I'd like you to give this Inspector an intensive short course.\I'd like to learn about profiling and such.\They say it's an outdated method, but I'm very interested in it.\Or rather, I became interested recently. response:	I'm a hermit. I actually feel grateful for the opportunity to teach you.
context: my main focus shifted to criminal research before I knew it.\I have two favors to ask you today.\Ask me anything.\First, I'd like you to give this Inspector an intensive short course.\I'd like to learn about profiling and such.\They say it's an outdated method, but I'm very interested in it.\Or rather, I became interested recently.\I'm a hermit. I actually feel grateful for the opportunity to teach you. response:	So, what's the other one?
context: I have two favors to ask you today.\Ask me anything.\First, I'd like you to give this Inspector an intensive short course.\I'd like to learn about profiling and such.\They say it's an outdated method, but I'm very interested in it.\Or rather, I became interested recently.\I'm a hermit. I actually feel grateful for the opportunity to teach you.\So, what's the other one? response:	I'd like to see the list of past course attendees that you keep with you.
context: Ask me anything.\First, I'd like you to give this Inspector an intensive short course.\I'd like to learn about profiling and such.\They say it's an outdated method, but I'm very interested in it.\Or rather, I became interested recently.\I'm a hermit. I actually feel grateful for the opportunity to teach you.\So, what's the other one?\I'd like to see the list of past course attendees that you keep with you. response:	Is that a request from the Bureau?
context: First, I'd like you to give this Inspector an intensive short course.\I'd like to learn about profiling and such.\They say it's an outdated method, but I'm very interested in it.\Or rather, I became interested recently.\I'm a hermit. I actually feel grateful for the opportunity to teach you.\So, what's the other one?\I'd like to see the list of past course attendees that you keep with you.\Is that a request from the Bureau? response:	No. It's a request from me.
context: I'd like to learn about profiling and such.\They say it's an outdated method, but I'm very interested in it.\Or rather, I became interested recently.\I'm a hermit. I actually feel grateful for the opportunity to teach you.\So, what's the other one?\I'd like to see the list of past course attendees that you keep with you.\Is that a request from the Bureau?\No. It's a request from me. response:	If it was an order, I would've turned it down.
context: They say it's an outdated method, but I'm very interested in it.\Or rather, I became interested recently.\I'm a hermit. I actually feel grateful for the opportunity to teach you.\So, what's the other one?\I'd like to see the list of past course attendees that you keep with you.\Is that a request from the Bureau?\No. It's a request from me.\If it was an order, I would've turned it down. response:	Who are you looking for?
context: Or rather, I became interested recently.\I'm a hermit. I actually feel grateful for the opportunity to teach you.\So, what's the other one?\I'd like to see the list of past course attendees that you keep with you.\Is that a request from the Bureau?\No. It's a request from me.\If it was an order, I would've turned it down.\Who are you looking for? response:	I think this guy must be the worst criminal to have lived since the creation of the Sibyl System.
context: I'm a hermit. I actually feel grateful for the opportunity to teach you.\So, what's the other one?\I'd like to see the list of past course attendees that you keep with you.\Is that a request from the Bureau?\No. It's a request from me.\If it was an order, I would've turned it down.\Who are you looking for?\I think this guy must be the worst criminal to have lived since the creation of the Sibyl System. response:	What do you mean?
context: So, what's the other one?\I'd like to see the list of past course attendees that you keep with you.\Is that a request from the Bureau?\No. It's a request from me.\If it was an order, I would've turned it down.\Who are you looking for?\I think this guy must be the worst criminal to have lived since the creation of the Sibyl System.\What do you mean? response:	He's a high-level white-collar criminal
context: I'd like to see the list of past course attendees that you keep with you.\Is that a request from the Bureau?\No. It's a request from me.\If it was an order, I would've turned it down.\Who are you looking for?\I think this guy must be the worst criminal to have lived since the creation of the Sibyl System.\What do you mean?\He's a high-level white-collar criminal response:	who most likely keeps himself in good health.
context: Is that a request from the Bureau?\No. It's a request from me.\If it was an order, I would've turned it down.\Who are you looking for?\I think this guy must be the worst criminal to have lived since the creation of the Sibyl System.\What do you mean?\He's a high-level white-collar criminal\who most likely keeps himself in good health. response:	Possessing a unique charisma, he rarely kills people with his own hands.
context: No. It's a request from me.\If it was an order, I would've turned it down.\Who are you looking for?\I think this guy must be the worst criminal to have lived since the creation of the Sibyl System.\What do you mean?\He's a high-level white-collar criminal\who most likely keeps himself in good health.\Possessing a unique charisma, he rarely kills people with his own hands. response:	Rather, he chooses to influence the minds of others.
context: If it was an order, I would've turned it down.\Who are you looking for?\I think this guy must be the worst criminal to have lived since the creation of the Sibyl System.\What do you mean?\He's a high-level white-collar criminal\who most likely keeps himself in good health.\Possessing a unique charisma, he rarely kills people with his own hands.\Rather, he chooses to influence the minds of others. response:	Much like a music conductor, he orchestrates one crime after another.
context: Who are you looking for?\I think this guy must be the worst criminal to have lived since the creation of the Sibyl System.\What do you mean?\He's a high-level white-collar criminal\who most likely keeps himself in good health.\Possessing a unique charisma, he rarely kills people with his own hands.\Rather, he chooses to influence the minds of others.\Much like a music conductor, he orchestrates one crime after another. response:	Kougami, please explain what charisma is.
context: I think this guy must be the worst criminal to have lived since the creation of the Sibyl System.\What do you mean?\He's a high-level white-collar criminal\who most likely keeps himself in good health.\Possessing a unique charisma, he rarely kills people with his own hands.\Rather, he chooses to influence the minds of others.\Much like a music conductor, he orchestrates one crime after another.\Kougami, please explain what charisma is. response:	I used it to mean the nature of a hero or a ruler.
context: What do you mean?\He's a high-level white-collar criminal\who most likely keeps himself in good health.\Possessing a unique charisma, he rarely kills people with his own hands.\Rather, he chooses to influence the minds of others.\Much like a music conductor, he orchestrates one crime after another.\Kougami, please explain what charisma is.\I used it to mean the nature of a hero or a ruler. response:	I'd give that answer... twenty points.
