context: You can ask me about anything you'd like. I'll do whatever I can to help. response:	This is the broom you're provided with by the school.
context: mahou kakete\mahou kakete\And start to dance\And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly response:	yaketsuita you ni irodzuita fuukei wa
context: mahou kakete\And start to dance\And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa response:	yaketsuita you ni irodzuita fuukei wa
context: And start to dance\And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa response:	But you can't see it fallen on the ground
context: And start to dance\odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground response:	But you can't see it fallen on the ground
context: odoridasu\odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground response:	koronda kurai ja tokenai kara
context: odoridasu\The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara response:	koronda kurai ja tokenai kara
context: The landscape looks like it's burning brilliantly\The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara response:	The world will keep on turning
context: The landscape looks like it's burning brilliantly\yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning response:	The world will keep on turning
context: yaketsuita you ni irodzuita fuukei wa\yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning response:	sekai wa tsudzuku yo
context: yaketsuita you ni irodzuita fuukei wa\But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo response:	sekai wa tsudzuku yo
context: But you can't see it fallen on the ground\But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo response:	Embrace the moment as if it'll never come again
context: But you can't see it fallen on the ground\koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again response:	Embrace the moment as if it'll never come again
context: koronda kurai ja tokenai kara\koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again response:	hakanai mama no ima wo dakishimete
context: koronda kurai ja tokenai kara\The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete response:	hakanai mama no ima wo dakishimete
context: The world will keep on turning\The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete response:	Let's keep walking as we are with the light in our sights
context: The world will keep on turning\sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights response:	Let's keep walking as we are with the light in our sights
context: sekai wa tsudzuku yo\sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights response:	kawaranai mama jikan to hikari mitsumete aruiteku
context: sekai wa tsudzuku yo\Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku response:	kawaranai mama jikan to hikari mitsumete aruiteku
context: Embrace the moment as if it'll never come again\Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku response:	Little Witch Academia
context: Embrace the moment as if it'll never come again\hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\Little Witch Academia response:	Little Witch Academia
context: hakanai mama no ima wo dakishimete\hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\Little Witch Academia\Little Witch Academia response:	Akko, relax.
context: hakanai mama no ima wo dakishimete\Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\Little Witch Academia\Little Witch Academia\Akko, relax. response:	As if I could!
context: Let's keep walking as we are with the light in our sights\Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\Little Witch Academia\Little Witch Academia\Akko, relax.\As if I could! response:	My first flight magic lesson is about to start!
context: Let's keep walking as we are with the light in our sights\kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\Little Witch Academia\Little Witch Academia\Akko, relax.\As if I could!\My first flight magic lesson is about to start! response:	I'll get to learn how to ride a broom at long last!
context: kawaranai mama jikan to hikari mitsumete aruiteku\kawaranai mama jikan to hikari mitsumete aruiteku\Little Witch Academia\Little Witch Academia\Akko, relax.\As if I could!\My first flight magic lesson is about to start!\I'll get to learn how to ride a broom at long last! response:	Lookie, how do you think I got this scar?
context: kawaranai mama jikan to hikari mitsumete aruiteku\Little Witch Academia\Little Witch Academia\Akko, relax.\As if I could!\My first flight magic lesson is about to start!\I'll get to learn how to ride a broom at long last!\Lookie, how do you think I got this scar? response:	I don't know.
context: Little Witch Academia\Little Witch Academia\Akko, relax.\As if I could!\My first flight magic lesson is about to start!\I'll get to learn how to ride a broom at long last!\Lookie, how do you think I got this scar?\I don't know. response:	I fell out of a tree trying to fly when I was little.
context: Little Witch Academia\Akko, relax.\As if I could!\My first flight magic lesson is about to start!\I'll get to learn how to ride a broom at long last!\Lookie, how do you think I got this scar?\I don't know.\I fell out of a tree trying to fly when I was little. response:	This one is from when I rolled all the way down a hill.
context: Akko, relax.\As if I could!\My first flight magic lesson is about to start!\I'll get to learn how to ride a broom at long last!\Lookie, how do you think I got this scar?\I don't know.\I fell out of a tree trying to fly when I was little.\This one is from when I rolled all the way down a hill. response:	And I got this one falling off a roof.
context: As if I could!\My first flight magic lesson is about to start!\I'll get to learn how to ride a broom at long last!\Lookie, how do you think I got this scar?\I don't know.\I fell out of a tree trying to fly when I was little.\This one is from when I rolled all the way down a hill.\And I got this one falling off a roof. response:	Nobody can fly outside the range of the Sorcerer's Stone.
context: My first flight magic lesson is about to start!\I'll get to learn how to ride a broom at long last!\Lookie, how do you think I got this scar?\I don't know.\I fell out of a tree trying to fly when I was little.\This one is from when I rolled all the way down a hill.\And I got this one falling off a roof.\Nobody can fly outside the range of the Sorcerer's Stone. response:	The only reason we can use magic freely on campus is because the Sorcerer's Stone is here.
context: I'll get to learn how to ride a broom at long last!\Lookie, how do you think I got this scar?\I don't know.\I fell out of a tree trying to fly when I was little.\This one is from when I rolled all the way down a hill.\And I got this one falling off a roof.\Nobody can fly outside the range of the Sorcerer's Stone.\The only reason we can use magic freely on campus is because the Sorcerer's Stone is here. response:	You can't blame little me for not knowing.
context: Lookie, how do you think I got this scar?\I don't know.\I fell out of a tree trying to fly when I was little.\This one is from when I rolled all the way down a hill.\And I got this one falling off a roof.\Nobody can fly outside the range of the Sorcerer's Stone.\The only reason we can use magic freely on campus is because the Sorcerer's Stone is here.\You can't blame little me for not knowing. response:	How could I have guessed that magic energy comes from the Sorcerer's Stone?
context: I don't know.\I fell out of a tree trying to fly when I was little.\This one is from when I rolled all the way down a hill.\And I got this one falling off a roof.\Nobody can fly outside the range of the Sorcerer's Stone.\The only reason we can use magic freely on campus is because the Sorcerer's Stone is here.\You can't blame little me for not knowing.\How could I have guessed that magic energy comes from the Sorcerer's Stone? response:	I just believed I could fly and practiced my heart out!
context: I fell out of a tree trying to fly when I was little.\This one is from when I rolled all the way down a hill.\And I got this one falling off a roof.\Nobody can fly outside the range of the Sorcerer's Stone.\The only reason we can use magic freely on campus is because the Sorcerer's Stone is here.\You can't blame little me for not knowing.\How could I have guessed that magic energy comes from the Sorcerer's Stone?\I just believed I could fly and practiced my heart out! response:	And now I can fly for real!
context: This one is from when I rolled all the way down a hill.\And I got this one falling off a roof.\Nobody can fly outside the range of the Sorcerer's Stone.\The only reason we can use magic freely on campus is because the Sorcerer's Stone is here.\You can't blame little me for not knowing.\How could I have guessed that magic energy comes from the Sorcerer's Stone?\I just believed I could fly and practiced my heart out!\And now I can fly for real! response:	My childhood dream is coming true!
context: And I got this one falling off a roof.\Nobody can fly outside the range of the Sorcerer's Stone.\The only reason we can use magic freely on campus is because the Sorcerer's Stone is here.\You can't blame little me for not knowing.\How could I have guessed that magic energy comes from the Sorcerer's Stone?\I just believed I could fly and practiced my heart out!\And now I can fly for real!\My childhood dream is coming true! response:	I-I get it, just calm down.
context: Nobody can fly outside the range of the Sorcerer's Stone.\The only reason we can use magic freely on campus is because the Sorcerer's Stone is here.\You can't blame little me for not knowing.\How could I have guessed that magic energy comes from the Sorcerer's Stone?\I just believed I could fly and practiced my heart out!\And now I can fly for real!\My childhood dream is coming true!\I-I get it, just calm down. response:	I'll be instructing the class on flight magic.
context: The only reason we can use magic freely on campus is because the Sorcerer's Stone is here.\You can't blame little me for not knowing.\How could I have guessed that magic energy comes from the Sorcerer's Stone?\I just believed I could fly and practiced my heart out!\And now I can fly for real!\My childhood dream is coming true!\I-I get it, just calm down.\I'll be instructing the class on flight magic. response:	The new students are having a special lesson. Everyone else is to practice high-speed flight.
context: You can't blame little me for not knowing.\How could I have guessed that magic energy comes from the Sorcerer's Stone?\I just believed I could fly and practiced my heart out!\And now I can fly for real!\My childhood dream is coming true!\I-I get it, just calm down.\I'll be instructing the class on flight magic.\The new students are having a special lesson. Everyone else is to practice high-speed flight. response:	Hop to it!
context: How could I have guessed that magic energy comes from the Sorcerer's Stone?\I just believed I could fly and practiced my heart out!\And now I can fly for real!\My childhood dream is coming true!\I-I get it, just calm down.\I'll be instructing the class on flight magic.\The new students are having a special lesson. Everyone else is to practice high-speed flight.\Hop to it! response:	Tia Freyre!
context: I just believed I could fly and practiced my heart out!\And now I can fly for real!\My childhood dream is coming true!\I-I get it, just calm down.\I'll be instructing the class on flight magic.\The new students are having a special lesson. Everyone else is to practice high-speed flight.\Hop to it!\Tia Freyre! response:	New students, over here!
context: And now I can fly for real!\My childhood dream is coming true!\I-I get it, just calm down.\I'll be instructing the class on flight magic.\The new students are having a special lesson. Everyone else is to practice high-speed flight.\Hop to it!\Tia Freyre!\New students, over here! response:	Flight magic is the most basic of essentials in a witch's repertoire.
context: My childhood dream is coming true!\I-I get it, just calm down.\I'll be instructing the class on flight magic.\The new students are having a special lesson. Everyone else is to practice high-speed flight.\Hop to it!\Tia Freyre!\New students, over here!\Flight magic is the most basic of essentials in a witch's repertoire. response:	But take it lightly and you'll injure yourself, so be careful.
context: I-I get it, just calm down.\I'll be instructing the class on flight magic.\The new students are having a special lesson. Everyone else is to practice high-speed flight.\Hop to it!\Tia Freyre!\New students, over here!\Flight magic is the most basic of essentials in a witch's repertoire.\But take it lightly and you'll injure yourself, so be careful. response:	Yes!
context: I'll be instructing the class on flight magic.\The new students are having a special lesson. Everyone else is to practice high-speed flight.\Hop to it!\Tia Freyre!\New students, over here!\Flight magic is the most basic of essentials in a witch's repertoire.\But take it lightly and you'll injure yourself, so be careful.\Yes! response:	First, firmly grip your broom.
context: The new students are having a special lesson. Everyone else is to practice high-speed flight.\Hop to it!\Tia Freyre!\New students, over here!\Flight magic is the most basic of essentials in a witch's repertoire.\But take it lightly and you'll injure yourself, so be careful.\Yes!\First, firmly grip your broom. response:	Then, pay your respects to the broom.
context: Hop to it!\Tia Freyre!\New students, over here!\Flight magic is the most basic of essentials in a witch's repertoire.\But take it lightly and you'll injure yourself, so be careful.\Yes!\First, firmly grip your broom.\Then, pay your respects to the broom. response:	Straddle your broom.
context: Tia Freyre!\New students, over here!\Flight magic is the most basic of essentials in a witch's repertoire.\But take it lightly and you'll injure yourself, so be careful.\Yes!\First, firmly grip your broom.\Then, pay your respects to the broom.\Straddle your broom. response:	Imagine yourself taking to the sky, cast the spell, and kick off the ground!
context: New students, over here!\Flight magic is the most basic of essentials in a witch's repertoire.\But take it lightly and you'll injure yourself, so be careful.\Yes!\First, firmly grip your broom.\Then, pay your respects to the broom.\Straddle your broom.\Imagine yourself taking to the sky, cast the spell, and kick off the ground! response:	Tia Freyre!
context: Flight magic is the most basic of essentials in a witch's repertoire.\But take it lightly and you'll injure yourself, so be careful.\Yes!\First, firmly grip your broom.\Then, pay your respects to the broom.\Straddle your broom.\Imagine yourself taking to the sky, cast the spell, and kick off the ground!\Tia Freyre! response:	Huh?
context: But take it lightly and you'll injure yourself, so be careful.\Yes!\First, firmly grip your broom.\Then, pay your respects to the broom.\Straddle your broom.\Imagine yourself taking to the sky, cast the spell, and kick off the ground!\Tia Freyre!\Huh? response:	Tia Freyre!
context: Yes!\First, firmly grip your broom.\Then, pay your respects to the broom.\Straddle your broom.\Imagine yourself taking to the sky, cast the spell, and kick off the ground!\Tia Freyre!\Huh?\Tia Freyre! response:	Tia Freyre! Tia Freyre!
context: First, firmly grip your broom.\Then, pay your respects to the broom.\Straddle your broom.\Imagine yourself taking to the sky, cast the spell, and kick off the ground!\Tia Freyre!\Huh?\Tia Freyre!\Tia Freyre! Tia Freyre! response:	Focus more!
context: Then, pay your respects to the broom.\Straddle your broom.\Imagine yourself taking to the sky, cast the spell, and kick off the ground!\Tia Freyre!\Huh?\Tia Freyre!\Tia Freyre! Tia Freyre!\Focus more! response:	Tia Freyre! Tia Freyre!
context: Straddle your broom.\Imagine yourself taking to the sky, cast the spell, and kick off the ground!\Tia Freyre!\Huh?\Tia Freyre!\Tia Freyre! Tia Freyre!\Focus more!\Tia Freyre! Tia Freyre! response:	Funnel your magic into the broom!
context: Imagine yourself taking to the sky, cast the spell, and kick off the ground!\Tia Freyre!\Huh?\Tia Freyre!\Tia Freyre! Tia Freyre!\Focus more!\Tia Freyre! Tia Freyre!\Funnel your magic into the broom! response:	Tia Freyre! Tia Freyre! Tia Freyre!
context: Tia Freyre!\Huh?\Tia Freyre!\Tia Freyre! Tia Freyre!\Focus more!\Tia Freyre! Tia Freyre!\Funnel your magic into the broom!\Tia Freyre! Tia Freyre! Tia Freyre! response:	Tia Freyre!
context: Huh?\Tia Freyre!\Tia Freyre! Tia Freyre!\Focus more!\Tia Freyre! Tia Freyre!\Funnel your magic into the broom!\Tia Freyre! Tia Freyre! Tia Freyre!\Tia Freyre! response:	You'd have no problem winning a shouting match.
context: Tia Freyre!\Tia Freyre! Tia Freyre!\Focus more!\Tia Freyre! Tia Freyre!\Funnel your magic into the broom!\Tia Freyre! Tia Freyre! Tia Freyre!\Tia Freyre!\You'd have no problem winning a shouting match. response:	I've never seen anyone with your lack of skill before.
context: Tia Freyre! Tia Freyre!\Focus more!\Tia Freyre! Tia Freyre!\Funnel your magic into the broom!\Tia Freyre! Tia Freyre! Tia Freyre!\Tia Freyre!\You'd have no problem winning a shouting match.\I've never seen anyone with your lack of skill before. response:	Yahoo!
context: Focus more!\Tia Freyre! Tia Freyre!\Funnel your magic into the broom!\Tia Freyre! Tia Freyre! Tia Freyre!\Tia Freyre!\You'd have no problem winning a shouting match.\I've never seen anyone with your lack of skill before.\Yahoo! response:	Alley-oop!
context: Tia Freyre! Tia Freyre!\Funnel your magic into the broom!\Tia Freyre! Tia Freyre! Tia Freyre!\Tia Freyre!\You'd have no problem winning a shouting match.\I've never seen anyone with your lack of skill before.\Yahoo!\Alley-oop! response:	Amanda!
context: Funnel your magic into the broom!\Tia Freyre! Tia Freyre! Tia Freyre!\Tia Freyre!\You'd have no problem winning a shouting match.\I've never seen anyone with your lack of skill before.\Yahoo!\Alley-oop!\Amanda! response:	No acrobatics during class! Get that through your thick skull already!
context: Tia Freyre! Tia Freyre! Tia Freyre!\Tia Freyre!\You'd have no problem winning a shouting match.\I've never seen anyone with your lack of skill before.\Yahoo!\Alley-oop!\Amanda!\No acrobatics during class! Get that through your thick skull already! response:	Wow, way to kill my fun.
context: Tia Freyre!\You'd have no problem winning a shouting match.\I've never seen anyone with your lack of skill before.\Yahoo!\Alley-oop!\Amanda!\No acrobatics during class! Get that through your thick skull already!\Wow, way to kill my fun. response:	Hey! No sleeping on your broom!
context: You'd have no problem winning a shouting match.\I've never seen anyone with your lack of skill before.\Yahoo!\Alley-oop!\Amanda!\No acrobatics during class! Get that through your thick skull already!\Wow, way to kill my fun.\Hey! No sleeping on your broom! response:	Such speed! That's a new record, Diana!
context: I've never seen anyone with your lack of skill before.\Yahoo!\Alley-oop!\Amanda!\No acrobatics during class! Get that through your thick skull already!\Wow, way to kill my fun.\Hey! No sleeping on your broom!\Such speed! That's a new record, Diana! response:	Diana's the clear favorite to win this year's broom relay.
context: Yahoo!\Alley-oop!\Amanda!\No acrobatics during class! Get that through your thick skull already!\Wow, way to kill my fun.\Hey! No sleeping on your broom!\Such speed! That's a new record, Diana!\Diana's the clear favorite to win this year's broom relay. response:	Well, if it isn't Akko!
context: Alley-oop!\Amanda!\No acrobatics during class! Get that through your thick skull already!\Wow, way to kill my fun.\Hey! No sleeping on your broom!\Such speed! That's a new record, Diana!\Diana's the clear favorite to win this year's broom relay.\Well, if it isn't Akko! response:	You're still unable to ride a broom?
context: Amanda!\No acrobatics during class! Get that through your thick skull already!\Wow, way to kill my fun.\Hey! No sleeping on your broom!\Such speed! That's a new record, Diana!\Diana's the clear favorite to win this year's broom relay.\Well, if it isn't Akko!\You're still unable to ride a broom? response:	I know just the thing for you.
context: No acrobatics during class! Get that through your thick skull already!\Wow, way to kill my fun.\Hey! No sleeping on your broom!\Such speed! That's a new record, Diana!\Diana's the clear favorite to win this year's broom relay.\Well, if it isn't Akko!\You're still unable to ride a broom?\I know just the thing for you. response:	Oruihon Deance!
context: Wow, way to kill my fun.\Hey! No sleeping on your broom!\Such speed! That's a new record, Diana!\Diana's the clear favorite to win this year's broom relay.\Well, if it isn't Akko!\You're still unable to ride a broom?\I know just the thing for you.\Oruihon Deance! response:	What did you do?!
context: Hey! No sleeping on your broom!\Such speed! That's a new record, Diana!\Diana's the clear favorite to win this year's broom relay.\Well, if it isn't Akko!\You're still unable to ride a broom?\I know just the thing for you.\Oruihon Deance!\What did you do?! response:	You'll be able to fly if you keep practicing.
context: Such speed! That's a new record, Diana!\Diana's the clear favorite to win this year's broom relay.\Well, if it isn't Akko!\You're still unable to ride a broom?\I know just the thing for you.\Oruihon Deance!\What did you do?!\You'll be able to fly if you keep practicing. response:	And here I had confidence in my athletic ability.
context: Diana's the clear favorite to win this year's broom relay.\Well, if it isn't Akko!\You're still unable to ride a broom?\I know just the thing for you.\Oruihon Deance!\What did you do?!\You'll be able to fly if you keep practicing.\And here I had confidence in my athletic ability. response:	What are they doing?
context: Well, if it isn't Akko!\You're still unable to ride a broom?\I know just the thing for you.\Oruihon Deance!\What did you do?!\You'll be able to fly if you keep practicing.\And here I had confidence in my athletic ability.\What are they doing? response:	Oh, they must be practicing their baton passes for the broom relay coming up.
context: You're still unable to ride a broom?\I know just the thing for you.\Oruihon Deance!\What did you do?!\You'll be able to fly if you keep practicing.\And here I had confidence in my athletic ability.\What are they doing?\Oh, they must be practicing their baton passes for the broom relay coming up. response:	Broom relay?
context: I know just the thing for you.\Oruihon Deance!\What did you do?!\You'll be able to fly if you keep practicing.\And here I had confidence in my athletic ability.\What are they doing?\Oh, they must be practicing their baton passes for the broom relay coming up.\Broom relay? response:	The Luna Nova Cup broom relay.
context: Oruihon Deance!\What did you do?!\You'll be able to fly if you keep practicing.\And here I had confidence in my athletic ability.\What are they doing?\Oh, they must be practicing their baton passes for the broom relay coming up.\Broom relay?\The Luna Nova Cup broom relay. response:	It's a long-standing tradition where teams of three race to carry a baton all the way to the goal.
context: What did you do?!\You'll be able to fly if you keep practicing.\And here I had confidence in my athletic ability.\What are they doing?\Oh, they must be practicing their baton passes for the broom relay coming up.\Broom relay?\The Luna Nova Cup broom relay.\It's a long-standing tradition where teams of three race to carry a baton all the way to the goal. response:	Chariot?
context: You'll be able to fly if you keep practicing.\And here I had confidence in my athletic ability.\What are they doing?\Oh, they must be practicing their baton passes for the broom relay coming up.\Broom relay?\The Luna Nova Cup broom relay.\It's a long-standing tradition where teams of three race to carry a baton all the way to the goal.\Chariot? response:	It's Chariot!
context: And here I had confidence in my athletic ability.\What are they doing?\Oh, they must be practicing their baton passes for the broom relay coming up.\Broom relay?\The Luna Nova Cup broom relay.\It's a long-standing tradition where teams of three race to carry a baton all the way to the goal.\Chariot?\It's Chariot! response:	Hey look, this is Chariot!
context: What are they doing?\Oh, they must be practicing their baton passes for the broom relay coming up.\Broom relay?\The Luna Nova Cup broom relay.\It's a long-standing tradition where teams of three race to carry a baton all the way to the goal.\Chariot?\It's Chariot!\Hey look, this is Chariot! response:	That's awesome! Chariot entered too, and she won!
context: Oh, they must be practicing their baton passes for the broom relay coming up.\Broom relay?\The Luna Nova Cup broom relay.\It's a long-standing tradition where teams of three race to carry a baton all the way to the goal.\Chariot?\It's Chariot!\Hey look, this is Chariot!\That's awesome! Chariot entered too, and she won! response:	Awesome, I wanna do it too!
context: Broom relay?\The Luna Nova Cup broom relay.\It's a long-standing tradition where teams of three race to carry a baton all the way to the goal.\Chariot?\It's Chariot!\Hey look, this is Chariot!\That's awesome! Chariot entered too, and she won!\Awesome, I wanna do it too! response:	I'm gonna win and get my picture put next to Chariot's!
context: The Luna Nova Cup broom relay.\It's a long-standing tradition where teams of three race to carry a baton all the way to the goal.\Chariot?\It's Chariot!\Hey look, this is Chariot!\That's awesome! Chariot entered too, and she won!\Awesome, I wanna do it too!\I'm gonna win and get my picture put next to Chariot's! response:	But Akko... you can't fly.
context: It's a long-standing tradition where teams of three race to carry a baton all the way to the goal.\Chariot?\It's Chariot!\Hey look, this is Chariot!\That's awesome! Chariot entered too, and she won!\Awesome, I wanna do it too!\I'm gonna win and get my picture put next to Chariot's!\But Akko... you can't fly. response:	Weren't you the one who just told me I'd be able to fly if I keep practicing?
context: Chariot?\It's Chariot!\Hey look, this is Chariot!\That's awesome! Chariot entered too, and she won!\Awesome, I wanna do it too!\I'm gonna win and get my picture put next to Chariot's!\But Akko... you can't fly.\Weren't you the one who just told me I'd be able to fly if I keep practicing? response:	Y-Yeah... but there's barely any time between now and the broom relay.
context: It's Chariot!\Hey look, this is Chariot!\That's awesome! Chariot entered too, and she won!\Awesome, I wanna do it too!\I'm gonna win and get my picture put next to Chariot's!\But Akko... you can't fly.\Weren't you the one who just told me I'd be able to fly if I keep practicing?\Y-Yeah... but there's barely any time between now and the broom relay. response:	Isn't Chariot just the coolest?
context: Hey look, this is Chariot!\That's awesome! Chariot entered too, and she won!\Awesome, I wanna do it too!\I'm gonna win and get my picture put next to Chariot's!\But Akko... you can't fly.\Weren't you the one who just told me I'd be able to fly if I keep practicing?\Y-Yeah... but there's barely any time between now and the broom relay.\Isn't Chariot just the coolest? response:	Anyway, I need to stop by the magic item cafe to pick up the broom I had them repair.
context: That's awesome! Chariot entered too, and she won!\Awesome, I wanna do it too!\I'm gonna win and get my picture put next to Chariot's!\But Akko... you can't fly.\Weren't you the one who just told me I'd be able to fly if I keep practicing?\Y-Yeah... but there's barely any time between now and the broom relay.\Isn't Chariot just the coolest?\Anyway, I need to stop by the magic item cafe to pick up the broom I had them repair. response:	Magic item cafe?! What's that?
context: Awesome, I wanna do it too!\I'm gonna win and get my picture put next to Chariot's!\But Akko... you can't fly.\Weren't you the one who just told me I'd be able to fly if I keep practicing?\Y-Yeah... but there's barely any time between now and the broom relay.\Isn't Chariot just the coolest?\Anyway, I need to stop by the magic item cafe to pick up the broom I had them repair.\Magic item cafe?! What's that? response:	Akko, wanna come?
context: I'm gonna win and get my picture put next to Chariot's!\But Akko... you can't fly.\Weren't you the one who just told me I'd be able to fly if I keep practicing?\Y-Yeah... but there's barely any time between now and the broom relay.\Isn't Chariot just the coolest?\Anyway, I need to stop by the magic item cafe to pick up the broom I had them repair.\Magic item cafe?! What's that?\Akko, wanna come? response:	We'd already be there if we'd taken a broom.
context: But Akko... you can't fly.\Weren't you the one who just told me I'd be able to fly if I keep practicing?\Y-Yeah... but there's barely any time between now and the broom relay.\Isn't Chariot just the coolest?\Anyway, I need to stop by the magic item cafe to pick up the broom I had them repair.\Magic item cafe?! What's that?\Akko, wanna come?\We'd already be there if we'd taken a broom. response:	The Sorcerer's Stone's power is weak out here in the village, so we can't use all that much magic.
context: Weren't you the one who just told me I'd be able to fly if I keep practicing?\Y-Yeah... but there's barely any time between now and the broom relay.\Isn't Chariot just the coolest?\Anyway, I need to stop by the magic item cafe to pick up the broom I had them repair.\Magic item cafe?! What's that?\Akko, wanna come?\We'd already be there if we'd taken a broom.\The Sorcerer's Stone's power is weak out here in the village, so we can't use all that much magic. response:	Hey, what kinda place is the magic item cafe?
context: Y-Yeah... but there's barely any time between now and the broom relay.\Isn't Chariot just the coolest?\Anyway, I need to stop by the magic item cafe to pick up the broom I had them repair.\Magic item cafe?! What's that?\Akko, wanna come?\We'd already be there if we'd taken a broom.\The Sorcerer's Stone's power is weak out here in the village, so we can't use all that much magic.\Hey, what kinda place is the magic item cafe? response:	They service various magic items, and you're even served tea while you wait.
context: Isn't Chariot just the coolest?\Anyway, I need to stop by the magic item cafe to pick up the broom I had them repair.\Magic item cafe?! What's that?\Akko, wanna come?\We'd already be there if we'd taken a broom.\The Sorcerer's Stone's power is weak out here in the village, so we can't use all that much magic.\Hey, what kinda place is the magic item cafe?\They service various magic items, and you're even served tea while you wait. response:	Cool.
context: Anyway, I need to stop by the magic item cafe to pick up the broom I had them repair.\Magic item cafe?! What's that?\Akko, wanna come?\We'd already be there if we'd taken a broom.\The Sorcerer's Stone's power is weak out here in the village, so we can't use all that much magic.\Hey, what kinda place is the magic item cafe?\They service various magic items, and you're even served tea while you wait.\Cool. response:	We're here.
