context: Father... response:	Father... Father...
context: I'm really sorry I've been a bother to you.\I'll go back to the Kame House for now.\That will be great. Please give Muten Roshi- sama my regards,\and tell him that we are continuing to train as he would expect of us.\Yes, you certainly are. Okay then, take care of yourselves.\-Be careful. -Farewell!\Chaozu, now we can devote ourselves to training.\She's an odd person. response:	Such pretty flowers!
context: I'll go back to the Kame House for now.\That will be great. Please give Muten Roshi- sama my regards,\and tell him that we are continuing to train as he would expect of us.\Yes, you certainly are. Okay then, take care of yourselves.\-Be careful. -Farewell!\Chaozu, now we can devote ourselves to training.\She's an odd person.\Such pretty flowers! response:	They smell nice!
context: That will be great. Please give Muten Roshi- sama my regards,\and tell him that we are continuing to train as he would expect of us.\Yes, you certainly are. Okay then, take care of yourselves.\-Be careful. -Farewell!\Chaozu, now we can devote ourselves to training.\She's an odd person.\Such pretty flowers!\They smell nice! response:	Stupid bastards! I've been looking for you, you know!
context: and tell him that we are continuing to train as he would expect of us.\Yes, you certainly are. Okay then, take care of yourselves.\-Be careful. -Farewell!\Chaozu, now we can devote ourselves to training.\She's an odd person.\Such pretty flowers!\They smell nice!\Stupid bastards! I've been looking for you, you know! response:	You're trying to get rid of me, but I won't have it!
context: Yes, you certainly are. Okay then, take care of yourselves.\-Be careful. -Farewell!\Chaozu, now we can devote ourselves to training.\She's an odd person.\Such pretty flowers!\They smell nice!\Stupid bastards! I've been looking for you, you know!\You're trying to get rid of me, but I won't have it! response:	Now cut out that stuff already, and get over here!
context: -Be careful. -Farewell!\Chaozu, now we can devote ourselves to training.\She's an odd person.\Such pretty flowers!\They smell nice!\Stupid bastards! I've been looking for you, you know!\You're trying to get rid of me, but I won't have it!\Now cut out that stuff already, and get over here! response:	Keep out of this!
context: Chaozu, now we can devote ourselves to training.\She's an odd person.\Such pretty flowers!\They smell nice!\Stupid bastards! I've been looking for you, you know!\You're trying to get rid of me, but I won't have it!\Now cut out that stuff already, and get over here!\Keep out of this! response:	B- bullets!?
context: She's an odd person.\Such pretty flowers!\They smell nice!\Stupid bastards! I've been looking for you, you know!\You're trying to get rid of me, but I won't have it!\Now cut out that stuff already, and get over here!\Keep out of this!\B- bullets!? response:	I- impossible! To think that Son could have died!
context: Such pretty flowers!\They smell nice!\Stupid bastards! I've been looking for you, you know!\You're trying to get rid of me, but I won't have it!\Now cut out that stuff already, and get over here!\Keep out of this!\B- bullets!?\I- impossible! To think that Son could have died! response:	But Goku is training in the Other World.
context: They smell nice!\Stupid bastards! I've been looking for you, you know!\You're trying to get rid of me, but I won't have it!\Now cut out that stuff already, and get over here!\Keep out of this!\B- bullets!?\I- impossible! To think that Son could have died!\But Goku is training in the Other World. response:	And we need to be sure that we can keep up when the two Saiyans get here.
context: Stupid bastards! I've been looking for you, you know!\You're trying to get rid of me, but I won't have it!\Now cut out that stuff already, and get over here!\Keep out of this!\B- bullets!?\I- impossible! To think that Son could have died!\But Goku is training in the Other World.\And we need to be sure that we can keep up when the two Saiyans get here. response:	Kami- sama is going to be training you, after all!
context: You're trying to get rid of me, but I won't have it!\Now cut out that stuff already, and get over here!\Keep out of this!\B- bullets!?\I- impossible! To think that Son could have died!\But Goku is training in the Other World.\And we need to be sure that we can keep up when the two Saiyans get here.\Kami- sama is going to be training you, after all! response:	Ten- san!
context: Now cut out that stuff already, and get over here!\Keep out of this!\B- bullets!?\I- impossible! To think that Son could have died!\But Goku is training in the Other World.\And we need to be sure that we can keep up when the two Saiyans get here.\Kami- sama is going to be training you, after all!\Ten- san! response:	It's something better than I could have hoped for! We'll go immediately!
context: Keep out of this!\B- bullets!?\I- impossible! To think that Son could have died!\But Goku is training in the Other World.\And we need to be sure that we can keep up when the two Saiyans get here.\Kami- sama is going to be training you, after all!\Ten- san!\It's something better than I could have hoped for! We'll go immediately! response:	Ten- san, we can train!
context: B- bullets!?\I- impossible! To think that Son could have died!\But Goku is training in the Other World.\And we need to be sure that we can keep up when the two Saiyans get here.\Kami- sama is going to be training you, after all!\Ten- san!\It's something better than I could have hoped for! We'll go immediately!\Ten- san, we can train! response:	What's more...
context: I- impossible! To think that Son could have died!\But Goku is training in the Other World.\And we need to be sure that we can keep up when the two Saiyans get here.\Kami- sama is going to be training you, after all!\Ten- san!\It's something better than I could have hoped for! We'll go immediately!\Ten- san, we can train!\What's more... response:	What is it, baldy!?
context: But Goku is training in the Other World.\And we need to be sure that we can keep up when the two Saiyans get here.\Kami- sama is going to be training you, after all!\Ten- san!\It's something better than I could have hoped for! We'll go immediately!\Ten- san, we can train!\What's more...\What is it, baldy!? response:	Hey, Tenshinhan...
context: And we need to be sure that we can keep up when the two Saiyans get here.\Kami- sama is going to be training you, after all!\Ten- san!\It's something better than I could have hoped for! We'll go immediately!\Ten- san, we can train!\What's more...\What is it, baldy!?\Hey, Tenshinhan... response:	If you're trying to run away from me, I'm not about to let you.
context: Kami- sama is going to be training you, after all!\Ten- san!\It's something better than I could have hoped for! We'll go immediately!\Ten- san, we can train!\What's more...\What is it, baldy!?\Hey, Tenshinhan...\If you're trying to run away from me, I'm not about to let you. response:	I don't care if you're going to Kami- sama's place or anywhere else,
context: Ten- san!\It's something better than I could have hoped for! We'll go immediately!\Ten- san, we can train!\What's more...\What is it, baldy!?\Hey, Tenshinhan...\If you're trying to run away from me, I'm not about to let you.\I don't care if you're going to Kami- sama's place or anywhere else, response:	I'm going to come with you.
context: It's something better than I could have hoped for! We'll go immediately!\Ten- san, we can train!\What's more...\What is it, baldy!?\Hey, Tenshinhan...\If you're trying to run away from me, I'm not about to let you.\I don't care if you're going to Kami- sama's place or anywhere else,\I'm going to come with you. response:	l'm going to have Kami-sama train me through-and-through!
context: Ten- san, we can train!\What's more...\What is it, baldy!?\Hey, Tenshinhan...\If you're trying to run away from me, I'm not about to let you.\I don't care if you're going to Kami- sama's place or anywhere else,\I'm going to come with you.\l'm going to have Kami-sama train me through-and-through! response:	Son, let's make sure we meet again!
context: What's more...\What is it, baldy!?\Hey, Tenshinhan...\If you're trying to run away from me, I'm not about to let you.\I don't care if you're going to Kami- sama's place or anywhere else,\I'm going to come with you.\l'm going to have Kami-sama train me through-and-through!\Son, let's make sure we meet again! response:	Kaio- sama, I'm Son Goku...
context: What is it, baldy!?\Hey, Tenshinhan...\If you're trying to run away from me, I'm not about to let you.\I don't care if you're going to Kami- sama's place or anywhere else,\I'm going to come with you.\l'm going to have Kami-sama train me through-and-through!\Son, let's make sure we meet again!\Kaio- sama, I'm Son Goku... response:	Oni!
context: Hey, Tenshinhan...\If you're trying to run away from me, I'm not about to let you.\I don't care if you're going to Kami- sama's place or anywhere else,\I'm going to come with you.\l'm going to have Kami-sama train me through-and-through!\Son, let's make sure we meet again!\Kaio- sama, I'm Son Goku...\Oni! response:	Yow! Kaio- sama, you're training is as tough as I expected...
context: If you're trying to run away from me, I'm not about to let you.\I don't care if you're going to Kami- sama's place or anywhere else,\I'm going to come with you.\l'm going to have Kami-sama train me through-and-through!\Son, let's make sure we meet again!\Kaio- sama, I'm Son Goku...\Oni!\Yow! Kaio- sama, you're training is as tough as I expected... response:	Ee-yow!!
context: I don't care if you're going to Kami- sama's place or anywhere else,\I'm going to come with you.\l'm going to have Kami-sama train me through-and-through!\Son, let's make sure we meet again!\Kaio- sama, I'm Son Goku...\Oni!\Yow! Kaio- sama, you're training is as tough as I expected...\Ee-yow!! response:	W- where is this place?
context: I'm going to come with you.\l'm going to have Kami-sama train me through-and-through!\Son, let's make sure we meet again!\Kaio- sama, I'm Son Goku...\Oni!\Yow! Kaio- sama, you're training is as tough as I expected...\Ee-yow!!\W- where is this place? response:	I wonder if I've arrived at Kaio- sama's place without even realizing it.
context: l'm going to have Kami-sama train me through-and-through!\Son, let's make sure we meet again!\Kaio- sama, I'm Son Goku...\Oni!\Yow! Kaio- sama, you're training is as tough as I expected...\Ee-yow!!\W- where is this place?\I wonder if I've arrived at Kaio- sama's place without even realizing it. response:	That smells good!
context: Son, let's make sure we meet again!\Kaio- sama, I'm Son Goku...\Oni!\Yow! Kaio- sama, you're training is as tough as I expected...\Ee-yow!!\W- where is this place?\I wonder if I've arrived at Kaio- sama's place without even realizing it.\That smells good! response:	That fruit looks delicious!
context: Kaio- sama, I'm Son Goku...\Oni!\Yow! Kaio- sama, you're training is as tough as I expected...\Ee-yow!!\W- where is this place?\I wonder if I've arrived at Kaio- sama's place without even realizing it.\That smells good!\That fruit looks delicious! response:	Just where exactly has Goku fallen into?
context: Oni!\Yow! Kaio- sama, you're training is as tough as I expected...\Ee-yow!!\W- where is this place?\I wonder if I've arrived at Kaio- sama's place without even realizing it.\That smells good!\That fruit looks delicious!\Just where exactly has Goku fallen into? response:	And as Umigame was anxious about,
context: Yow! Kaio- sama, you're training is as tough as I expected...\Ee-yow!!\W- where is this place?\I wonder if I've arrived at Kaio- sama's place without even realizing it.\That smells good!\That fruit looks delicious!\Just where exactly has Goku fallen into?\And as Umigame was anxious about, response:	and the Turtle Hermit was unable to offer a reply to,
context: Ee-yow!!\W- where is this place?\I wonder if I've arrived at Kaio- sama's place without even realizing it.\That smells good!\That fruit looks delicious!\Just where exactly has Goku fallen into?\And as Umigame was anxious about,\and the Turtle Hermit was unable to offer a reply to, response:	will Goku and the others be able to defend earth against the Saiyans?
