context: OP response:	OP
context: Look, he likes it!\Chloe, be careful!\Something wrong?\What are you doing, Maev?\But...\Stay still, Maggie!\They're Goldilocks, another IFO team just like us.\Their attitudes are totally different. response:	Isn't the Fukai kid with you?
context: Chloe, be careful!\Something wrong?\What are you doing, Maev?\But...\Stay still, Maggie!\They're Goldilocks, another IFO team just like us.\Their attitudes are totally different.\Isn't the Fukai kid with you? response:	She's in Pied Piper!
context: Something wrong?\What are you doing, Maev?\But...\Stay still, Maggie!\They're Goldilocks, another IFO team just like us.\Their attitudes are totally different.\Isn't the Fukai kid with you?\She's in Pied Piper! response:	Rebecca? Who are they?
context: What are you doing, Maev?\But...\Stay still, Maggie!\They're Goldilocks, another IFO team just like us.\Their attitudes are totally different.\Isn't the Fukai kid with you?\She's in Pied Piper!\Rebecca? Who are they? response:	Stowaways.
context: But...\Stay still, Maggie!\They're Goldilocks, another IFO team just like us.\Their attitudes are totally different.\Isn't the Fukai kid with you?\She's in Pied Piper!\Rebecca? Who are they?\Stowaways. response:	Don't say it like that!
context: Stay still, Maggie!\They're Goldilocks, another IFO team just like us.\Their attitudes are totally different.\Isn't the Fukai kid with you?\She's in Pied Piper!\Rebecca? Who are they?\Stowaways.\Don't say it like that! response:	Later, Fleur.
context: They're Goldilocks, another IFO team just like us.\Their attitudes are totally different.\Isn't the Fukai kid with you?\She's in Pied Piper!\Rebecca? Who are they?\Stowaways.\Don't say it like that!\Later, Fleur. response:	See you.
context: Their attitudes are totally different.\Isn't the Fukai kid with you?\She's in Pied Piper!\Rebecca? Who are they?\Stowaways.\Don't say it like that!\Later, Fleur.\See you. response:	Who was that?
context: Isn't the Fukai kid with you?\She's in Pied Piper!\Rebecca? Who are they?\Stowaways.\Don't say it like that!\Later, Fleur.\See you.\Who was that? response:	Rebecca, huh? And your surname?
context: She's in Pied Piper!\Rebecca? Who are they?\Stowaways.\Don't say it like that!\Later, Fleur.\See you.\Who was that?\Rebecca, huh? And your surname? response:	Do I have to answer?
context: Rebecca? Who are they?\Stowaways.\Don't say it like that!\Later, Fleur.\See you.\Who was that?\Rebecca, huh? And your surname?\Do I have to answer? response:	We'll be colleagues from now on!
context: Stowaways.\Don't say it like that!\Later, Fleur.\See you.\Who was that?\Rebecca, huh? And your surname?\Do I have to answer?\We'll be colleagues from now on! response:	The president has a screw loose.
context: Don't say it like that!\Later, Fleur.\See you.\Who was that?\Rebecca, huh? And your surname?\Do I have to answer?\We'll be colleagues from now on!\The president has a screw loose. response:	What's wrong?
context: Later, Fleur.\See you.\Who was that?\Rebecca, huh? And your surname?\Do I have to answer?\We'll be colleagues from now on!\The president has a screw loose.\What's wrong? response:	Most likely a Scub Burst.
context: See you.\Who was that?\Rebecca, huh? And your surname?\Do I have to answer?\We'll be colleagues from now on!\The president has a screw loose.\What's wrong?\Most likely a Scub Burst. response:	Fukai Ao, huh?
context: Who was that?\Rebecca, huh? And your surname?\Do I have to answer?\We'll be colleagues from now on!\The president has a screw loose.\What's wrong?\Most likely a Scub Burst.\Fukai Ao, huh? response:	I heard you entered the Zone and defeated a Secret.
context: Rebecca, huh? And your surname?\Do I have to answer?\We'll be colleagues from now on!\The president has a screw loose.\What's wrong?\Most likely a Scub Burst.\Fukai Ao, huh?\I heard you entered the Zone and defeated a Secret. response:	No way!
context: Do I have to answer?\We'll be colleagues from now on!\The president has a screw loose.\What's wrong?\Most likely a Scub Burst.\Fukai Ao, huh?\I heard you entered the Zone and defeated a Secret.\No way! response:	Didn't you hear? He piloted the Mark I.
context: We'll be colleagues from now on!\The president has a screw loose.\What's wrong?\Most likely a Scub Burst.\Fukai Ao, huh?\I heard you entered the Zone and defeated a Secret.\No way!\Didn't you hear? He piloted the Mark I. response:	The Mark I?
context: The president has a screw loose.\What's wrong?\Most likely a Scub Burst.\Fukai Ao, huh?\I heard you entered the Zone and defeated a Secret.\No way!\Didn't you hear? He piloted the Mark I.\The Mark I? response:	I didn't know that still worked!
context: What's wrong?\Most likely a Scub Burst.\Fukai Ao, huh?\I heard you entered the Zone and defeated a Secret.\No way!\Didn't you hear? He piloted the Mark I.\The Mark I?\I didn't know that still worked! response:	You can't have any! It's all mine!
context: Most likely a Scub Burst.\Fukai Ao, huh?\I heard you entered the Zone and defeated a Secret.\No way!\Didn't you hear? He piloted the Mark I.\The Mark I?\I didn't know that still worked!\You can't have any! It's all mine! response:	Are you going to eat all that?
context: Fukai Ao, huh?\I heard you entered the Zone and defeated a Secret.\No way!\Didn't you hear? He piloted the Mark I.\The Mark I?\I didn't know that still worked!\You can't have any! It's all mine!\Are you going to eat all that? response:	Yeah.
context: I heard you entered the Zone and defeated a Secret.\No way!\Didn't you hear? He piloted the Mark I.\The Mark I?\I didn't know that still worked!\You can't have any! It's all mine!\Are you going to eat all that?\Yeah. response:	But...
context: No way!\Didn't you hear? He piloted the Mark I.\The Mark I?\I didn't know that still worked!\You can't have any! It's all mine!\Are you going to eat all that?\Yeah.\But... response:	You didn't tell her she's tiny.
context: Didn't you hear? He piloted the Mark I.\The Mark I?\I didn't know that still worked!\You can't have any! It's all mine!\Are you going to eat all that?\Yeah.\But...\You didn't tell her she's tiny. response:	And you shouldn't!
context: The Mark I?\I didn't know that still worked!\You can't have any! It's all mine!\Are you going to eat all that?\Yeah.\But...\You didn't tell her she's tiny.\And you shouldn't! response:	You may be on the ace team, but we are still your superiors!
context: I didn't know that still worked!\You can't have any! It's all mine!\Are you going to eat all that?\Yeah.\But...\You didn't tell her she's tiny.\And you shouldn't!\You may be on the ace team, but we are still your superiors! response:	You've got cream on your nose.
context: You can't have any! It's all mine!\Are you going to eat all that?\Yeah.\But...\You didn't tell her she's tiny.\And you shouldn't!\You may be on the ace team, but we are still your superiors!\You've got cream on your nose. response:	Anyway, nice to meet you, Ao.
context: Are you going to eat all that?\Yeah.\But...\You didn't tell her she's tiny.\And you shouldn't!\You may be on the ace team, but we are still your superiors!\You've got cream on your nose.\Anyway, nice to meet you, Ao. response:	If you've got any questions about life here, feel free to ask.
context: Yeah.\But...\You didn't tell her she's tiny.\And you shouldn't!\You may be on the ace team, but we are still your superiors!\You've got cream on your nose.\Anyway, nice to meet you, Ao.\If you've got any questions about life here, feel free to ask. response:	Thank you!
context: But...\You didn't tell her she's tiny.\And you shouldn't!\You may be on the ace team, but we are still your superiors!\You've got cream on your nose.\Anyway, nice to meet you, Ao.\If you've got any questions about life here, feel free to ask.\Thank you! response:	He's cute for sure,
context: You didn't tell her she's tiny.\And you shouldn't!\You may be on the ace team, but we are still your superiors!\You've got cream on your nose.\Anyway, nice to meet you, Ao.\If you've got any questions about life here, feel free to ask.\Thank you!\He's cute for sure, response:	but the Generation Bleu's fluffy mascot is obviously Bruno! Right?
context: And you shouldn't!\You may be on the ace team, but we are still your superiors!\You've got cream on your nose.\Anyway, nice to meet you, Ao.\If you've got any questions about life here, feel free to ask.\Thank you!\He's cute for sure,\but the Generation Bleu's fluffy mascot is obviously Bruno! Right? response:	Pied Piper guys can't have any!
context: You may be on the ace team, but we are still your superiors!\You've got cream on your nose.\Anyway, nice to meet you, Ao.\If you've got any questions about life here, feel free to ask.\Thank you!\He's cute for sure,\but the Generation Bleu's fluffy mascot is obviously Bruno! Right?\Pied Piper guys can't have any! response:	I could live without it too...
context: You've got cream on your nose.\Anyway, nice to meet you, Ao.\If you've got any questions about life here, feel free to ask.\Thank you!\He's cute for sure,\but the Generation Bleu's fluffy mascot is obviously Bruno! Right?\Pied Piper guys can't have any!\I could live without it too... response:	But you should go back home right now.
context: Anyway, nice to meet you, Ao.\If you've got any questions about life here, feel free to ask.\Thank you!\He's cute for sure,\but the Generation Bleu's fluffy mascot is obviously Bruno! Right?\Pied Piper guys can't have any!\I could live without it too...\But you should go back home right now. response:	If you stay here, you would upset those who care about you.
context: If you've got any questions about life here, feel free to ask.\Thank you!\He's cute for sure,\but the Generation Bleu's fluffy mascot is obviously Bruno! Right?\Pied Piper guys can't have any!\I could live without it too...\But you should go back home right now.\If you stay here, you would upset those who care about you. response:	Now, let's get going.
context: Thank you!\He's cute for sure,\but the Generation Bleu's fluffy mascot is obviously Bruno! Right?\Pied Piper guys can't have any!\I could live without it too...\But you should go back home right now.\If you stay here, you would upset those who care about you.\Now, let's get going. response:	What's up?
context: He's cute for sure,\but the Generation Bleu's fluffy mascot is obviously Bruno! Right?\Pied Piper guys can't have any!\I could live without it too...\But you should go back home right now.\If you stay here, you would upset those who care about you.\Now, let's get going.\What's up? response:	They're mobilized? Shouldn't we...
context: but the Generation Bleu's fluffy mascot is obviously Bruno! Right?\Pied Piper guys can't have any!\I could live without it too...\But you should go back home right now.\If you stay here, you would upset those who care about you.\Now, let's get going.\What's up?\They're mobilized? Shouldn't we... response:	We shouldn't.
context: Pied Piper guys can't have any!\I could live without it too...\But you should go back home right now.\If you stay here, you would upset those who care about you.\Now, let's get going.\What's up?\They're mobilized? Shouldn't we...\We shouldn't. response:	The order was for Goldilocks, not Pied Piper.
context: I could live without it too...\But you should go back home right now.\If you stay here, you would upset those who care about you.\Now, let's get going.\What's up?\They're mobilized? Shouldn't we...\We shouldn't.\The order was for Goldilocks, not Pied Piper. response:	It's huge! Any sign of the G-Monster?
context: But you should go back home right now.\If you stay here, you would upset those who care about you.\Now, let's get going.\What's up?\They're mobilized? Shouldn't we...\We shouldn't.\The order was for Goldilocks, not Pied Piper.\It's huge! Any sign of the G-Monster? response:	You mean Secret.
context: If you stay here, you would upset those who care about you.\Now, let's get going.\What's up?\They're mobilized? Shouldn't we...\We shouldn't.\The order was for Goldilocks, not Pied Piper.\It's huge! Any sign of the G-Monster?\You mean Secret. response:	But none at the moment.
context: Now, let's get going.\What's up?\They're mobilized? Shouldn't we...\We shouldn't.\The order was for Goldilocks, not Pied Piper.\It's huge! Any sign of the G-Monster?\You mean Secret.\But none at the moment. response:	However, there's a mid-sized hurricane closing in on the location.
context: What's up?\They're mobilized? Shouldn't we...\We shouldn't.\The order was for Goldilocks, not Pied Piper.\It's huge! Any sign of the G-Monster?\You mean Secret.\But none at the moment.\However, there's a mid-sized hurricane closing in on the location. response:	A typhoon?
context: They're mobilized? Shouldn't we...\We shouldn't.\The order was for Goldilocks, not Pied Piper.\It's huge! Any sign of the G-Monster?\You mean Secret.\But none at the moment.\However, there's a mid-sized hurricane closing in on the location.\A typhoon? response:	You boys?
context: We shouldn't.\The order was for Goldilocks, not Pied Piper.\It's huge! Any sign of the G-Monster?\You mean Secret.\But none at the moment.\However, there's a mid-sized hurricane closing in on the location.\A typhoon?\You boys? response:	Let me introduce you.
context: The order was for Goldilocks, not Pied Piper.\It's huge! Any sign of the G-Monster?\You mean Secret.\But none at the moment.\However, there's a mid-sized hurricane closing in on the location.\A typhoon?\You boys?\Let me introduce you. response:	They have joined the company.
context: It's huge! Any sign of the G-Monster?\You mean Secret.\But none at the moment.\However, there's a mid-sized hurricane closing in on the location.\A typhoon?\You boys?\Let me introduce you.\They have joined the company. response:	I'm Gazelle. These guys are Pippo and Han.
context: You mean Secret.\But none at the moment.\However, there's a mid-sized hurricane closing in on the location.\A typhoon?\You boys?\Let me introduce you.\They have joined the company.\I'm Gazelle. These guys are Pippo and Han. response:	It's the duty of us elders to give the young ones a chance.
context: But none at the moment.\However, there's a mid-sized hurricane closing in on the location.\A typhoon?\You boys?\Let me introduce you.\They have joined the company.\I'm Gazelle. These guys are Pippo and Han.\It's the duty of us elders to give the young ones a chance. response:	I don't like to involve civilians on a whim.
context: However, there's a mid-sized hurricane closing in on the location.\A typhoon?\You boys?\Let me introduce you.\They have joined the company.\I'm Gazelle. These guys are Pippo and Han.\It's the duty of us elders to give the young ones a chance.\I don't like to involve civilians on a whim. response:	The Medon is now in suborbital flight.
context: A typhoon?\You boys?\Let me introduce you.\They have joined the company.\I'm Gazelle. These guys are Pippo and Han.\It's the duty of us elders to give the young ones a chance.\I don't like to involve civilians on a whim.\The Medon is now in suborbital flight. response:	We're here!
context: You boys?\Let me introduce you.\They have joined the company.\I'm Gazelle. These guys are Pippo and Han.\It's the duty of us elders to give the young ones a chance.\I don't like to involve civilians on a whim.\The Medon is now in suborbital flight.\We're here! response:	I don't have my ID yet. Are you sure this is okay?
context: Let me introduce you.\They have joined the company.\I'm Gazelle. These guys are Pippo and Han.\It's the duty of us elders to give the young ones a chance.\I don't like to involve civilians on a whim.\The Medon is now in suborbital flight.\We're here!\I don't have my ID yet. Are you sure this is okay? response:	Don't worry about it!
context: They have joined the company.\I'm Gazelle. These guys are Pippo and Han.\It's the duty of us elders to give the young ones a chance.\I don't like to involve civilians on a whim.\The Medon is now in suborbital flight.\We're here!\I don't have my ID yet. Are you sure this is okay?\Don't worry about it! response:	Shower, shower, hey!
context: I'm Gazelle. These guys are Pippo and Han.\It's the duty of us elders to give the young ones a chance.\I don't like to involve civilians on a whim.\The Medon is now in suborbital flight.\We're here!\I don't have my ID yet. Are you sure this is okay?\Don't worry about it!\Shower, shower, hey! response:	Here, some fanservice!
context: It's the duty of us elders to give the young ones a chance.\I don't like to involve civilians on a whim.\The Medon is now in suborbital flight.\We're here!\I don't have my ID yet. Are you sure this is okay?\Don't worry about it!\Shower, shower, hey!\Here, some fanservice! response:	He said I'd make people dear to me sad.
context: I don't like to involve civilians on a whim.\The Medon is now in suborbital flight.\We're here!\I don't have my ID yet. Are you sure this is okay?\Don't worry about it!\Shower, shower, hey!\Here, some fanservice!\He said I'd make people dear to me sad. response:	People dear to me...?
context: The Medon is now in suborbital flight.\We're here!\I don't have my ID yet. Are you sure this is okay?\Don't worry about it!\Shower, shower, hey!\Here, some fanservice!\He said I'd make people dear to me sad.\People dear to me...? response:	What are you doing here? This is the girls' dorm.
context: We're here!\I don't have my ID yet. Are you sure this is okay?\Don't worry about it!\Shower, shower, hey!\Here, some fanservice!\He said I'd make people dear to me sad.\People dear to me...?\What are you doing here? This is the girls' dorm. response:	But Elena...
context: I don't have my ID yet. Are you sure this is okay?\Don't worry about it!\Shower, shower, hey!\Here, some fanservice!\He said I'd make people dear to me sad.\People dear to me...?\What are you doing here? This is the girls' dorm.\But Elena... response:	Elena? When did you two become best friends?
context: Don't worry about it!\Shower, shower, hey!\Here, some fanservice!\He said I'd make people dear to me sad.\People dear to me...?\What are you doing here? This is the girls' dorm.\But Elena...\Elena? When did you two become best friends? response:	Ao, why did you come here?
context: Shower, shower, hey!\Here, some fanservice!\He said I'd make people dear to me sad.\People dear to me...?\What are you doing here? This is the girls' dorm.\But Elena...\Elena? When did you two become best friends?\Ao, why did you come here? response:	Sorry, I just...
context: Here, some fanservice!\He said I'd make people dear to me sad.\People dear to me...?\What are you doing here? This is the girls' dorm.\But Elena...\Elena? When did you two become best friends?\Ao, why did you come here?\Sorry, I just... response:	Any Secrets?
context: He said I'd make people dear to me sad.\People dear to me...?\What are you doing here? This is the girls' dorm.\But Elena...\Elena? When did you two become best friends?\Ao, why did you come here?\Sorry, I just...\Any Secrets? response:	Yessir. No reports as of now.
context: People dear to me...?\What are you doing here? This is the girls' dorm.\But Elena...\Elena? When did you two become best friends?\Ao, why did you come here?\Sorry, I just...\Any Secrets?\Yessir. No reports as of now. response:	This is a very rare case. According to the records...
context: What are you doing here? This is the girls' dorm.\But Elena...\Elena? When did you two become best friends?\Ao, why did you come here?\Sorry, I just...\Any Secrets?\Yessir. No reports as of now.\This is a very rare case. According to the records... response:	1952, Tashkent.'67, Quebec.
context: But Elena...\Elena? When did you two become best friends?\Ao, why did you come here?\Sorry, I just...\Any Secrets?\Yessir. No reports as of now.\This is a very rare case. According to the records...\1952, Tashkent.'67, Quebec. response:	'95, the Strait of Malacca.
context: Elena? When did you two become best friends?\Ao, why did you come here?\Sorry, I just...\Any Secrets?\Yessir. No reports as of now.\This is a very rare case. According to the records...\1952, Tashkent.'67, Quebec.\'95, the Strait of Malacca. response:	There are plenty of examples where it took a while for the Secret to emerge.
context: Ao, why did you come here?\Sorry, I just...\Any Secrets?\Yessir. No reports as of now.\This is a very rare case. According to the records...\1952, Tashkent.'67, Quebec.\'95, the Strait of Malacca.\There are plenty of examples where it took a while for the Secret to emerge. response:	Don't let your guard down!
context: Sorry, I just...\Any Secrets?\Yessir. No reports as of now.\This is a very rare case. According to the records...\1952, Tashkent.'67, Quebec.\'95, the Strait of Malacca.\There are plenty of examples where it took a while for the Secret to emerge.\Don't let your guard down! response:	Then shouldn't we just collect the Quartz now?
context: Any Secrets?\Yessir. No reports as of now.\This is a very rare case. According to the records...\1952, Tashkent.'67, Quebec.\'95, the Strait of Malacca.\There are plenty of examples where it took a while for the Secret to emerge.\Don't let your guard down!\Then shouldn't we just collect the Quartz now? response:	Chloe... Girls, don't go too far ahead.
context: Yessir. No reports as of now.\This is a very rare case. According to the records...\1952, Tashkent.'67, Quebec.\'95, the Strait of Malacca.\There are plenty of examples where it took a while for the Secret to emerge.\Don't let your guard down!\Then shouldn't we just collect the Quartz now?\Chloe... Girls, don't go too far ahead. response:	We know.
context: This is a very rare case. According to the records...\1952, Tashkent.'67, Quebec.\'95, the Strait of Malacca.\There are plenty of examples where it took a while for the Secret to emerge.\Don't let your guard down!\Then shouldn't we just collect the Quartz now?\Chloe... Girls, don't go too far ahead.\We know. response:	If there's any danger, we'll contain it.
context: 1952, Tashkent.'67, Quebec.\'95, the Strait of Malacca.\There are plenty of examples where it took a while for the Secret to emerge.\Don't let your guard down!\Then shouldn't we just collect the Quartz now?\Chloe... Girls, don't go too far ahead.\We know.\If there's any danger, we'll contain it. response:	Yep, yep.
context: '95, the Strait of Malacca.\There are plenty of examples where it took a while for the Secret to emerge.\Don't let your guard down!\Then shouldn't we just collect the Quartz now?\Chloe... Girls, don't go too far ahead.\We know.\If there's any danger, we'll contain it.\Yep, yep. response:	Maev and I always keep an eye out for Chloe.
context: There are plenty of examples where it took a while for the Secret to emerge.\Don't let your guard down!\Then shouldn't we just collect the Quartz now?\Chloe... Girls, don't go too far ahead.\We know.\If there's any danger, we'll contain it.\Yep, yep.\Maev and I always keep an eye out for Chloe. response:	Don't worry, Bruno.
context: Don't let your guard down!\Then shouldn't we just collect the Quartz now?\Chloe... Girls, don't go too far ahead.\We know.\If there's any danger, we'll contain it.\Yep, yep.\Maev and I always keep an eye out for Chloe.\Don't worry, Bruno. response:	I'm not a kid!
context: Then shouldn't we just collect the Quartz now?\Chloe... Girls, don't go too far ahead.\We know.\If there's any danger, we'll contain it.\Yep, yep.\Maev and I always keep an eye out for Chloe.\Don't worry, Bruno.\I'm not a kid! response:	My body is small and I'm just 11 years old,
context: Chloe... Girls, don't go too far ahead.\We know.\If there's any danger, we'll contain it.\Yep, yep.\Maev and I always keep an eye out for Chloe.\Don't worry, Bruno.\I'm not a kid!\My body is small and I'm just 11 years old, response:	but I'm not a kid anymore!
context: We know.\If there's any danger, we'll contain it.\Yep, yep.\Maev and I always keep an eye out for Chloe.\Don't worry, Bruno.\I'm not a kid!\My body is small and I'm just 11 years old,\but I'm not a kid anymore! response:	What?
context: If there's any danger, we'll contain it.\Yep, yep.\Maev and I always keep an eye out for Chloe.\Don't worry, Bruno.\I'm not a kid!\My body is small and I'm just 11 years old,\but I'm not a kid anymore!\What? response:	It's an Eisenhower?
context: Yep, yep.\Maev and I always keep an eye out for Chloe.\Don't worry, Bruno.\I'm not a kid!\My body is small and I'm just 11 years old,\but I'm not a kid anymore!\What?\It's an Eisenhower? response:	What are the Allied Forces doing here?
context: Maev and I always keep an eye out for Chloe.\Don't worry, Bruno.\I'm not a kid!\My body is small and I'm just 11 years old,\but I'm not a kid anymore!\What?\It's an Eisenhower?\What are the Allied Forces doing here? response:	This isn't their airspace!
context: Don't worry, Bruno.\I'm not a kid!\My body is small and I'm just 11 years old,\but I'm not a kid anymore!\What?\It's an Eisenhower?\What are the Allied Forces doing here?\This isn't their airspace! response:	Maggie!
context: I'm not a kid!\My body is small and I'm just 11 years old,\but I'm not a kid anymore!\What?\It's an Eisenhower?\What are the Allied Forces doing here?\This isn't their airspace!\Maggie! response:	No way! Secrets?!
context: My body is small and I'm just 11 years old,\but I'm not a kid anymore!\What?\It's an Eisenhower?\What are the Allied Forces doing here?\This isn't their airspace!\Maggie!\No way! Secrets?! response:	What about the Credo?
context: but I'm not a kid anymore!\What?\It's an Eisenhower?\What are the Allied Forces doing here?\This isn't their airspace!\Maggie!\No way! Secrets?!\What about the Credo? response:	It's on the radar, but there's no response!
context: What?\It's an Eisenhower?\What are the Allied Forces doing here?\This isn't their airspace!\Maggie!\No way! Secrets?!\What about the Credo?\It's on the radar, but there's no response! response:	Request reinforcements from HQ!
context: It's an Eisenhower?\What are the Allied Forces doing here?\This isn't their airspace!\Maggie!\No way! Secrets?!\What about the Credo?\It's on the radar, but there's no response!\Request reinforcements from HQ! response:	Emergency!
context: What are the Allied Forces doing here?\This isn't their airspace!\Maggie!\No way! Secrets?!\What about the Credo?\It's on the radar, but there's no response!\Request reinforcements from HQ!\Emergency! response:	The Secrets were hiding inside the hurricane?!
context: This isn't their airspace!\Maggie!\No way! Secrets?!\What about the Credo?\It's on the radar, but there's no response!\Request reinforcements from HQ!\Emergency!\The Secrets were hiding inside the hurricane?! response:	The seawater, lifted by the Secret's high velocity rotation, prevented visual detection.
context: Maggie!\No way! Secrets?!\What about the Credo?\It's on the radar, but there's no response!\Request reinforcements from HQ!\Emergency!\The Secrets were hiding inside the hurricane?!\The seawater, lifted by the Secret's high velocity rotation, prevented visual detection. response:	It's currently within a 100km radius off the coast of Punta Gallinas.
context: No way! Secrets?!\What about the Credo?\It's on the radar, but there's no response!\Request reinforcements from HQ!\Emergency!\The Secrets were hiding inside the hurricane?!\The seawater, lifted by the Secret's high velocity rotation, prevented visual detection.\It's currently within a 100km radius off the coast of Punta Gallinas. response:	Stanley.
context: What about the Credo?\It's on the radar, but there's no response!\Request reinforcements from HQ!\Emergency!\The Secrets were hiding inside the hurricane?!\The seawater, lifted by the Secret's high velocity rotation, prevented visual detection.\It's currently within a 100km radius off the coast of Punta Gallinas.\Stanley. response:	Just to make sure, Pied Piper is to prepare for mobilization!
context: It's on the radar, but there's no response!\Request reinforcements from HQ!\Emergency!\The Secrets were hiding inside the hurricane?!\The seawater, lifted by the Secret's high velocity rotation, prevented visual detection.\It's currently within a 100km radius off the coast of Punta Gallinas.\Stanley.\Just to make sure, Pied Piper is to prepare for mobilization! response:	The children just returned from action!
context: Request reinforcements from HQ!\Emergency!\The Secrets were hiding inside the hurricane?!\The seawater, lifted by the Secret's high velocity rotation, prevented visual detection.\It's currently within a 100km radius off the coast of Punta Gallinas.\Stanley.\Just to make sure, Pied Piper is to prepare for mobilization!\The children just returned from action! response:	So in this case, Kyrie could stand by above the clouds...
context: Emergency!\The Secrets were hiding inside the hurricane?!\The seawater, lifted by the Secret's high velocity rotation, prevented visual detection.\It's currently within a 100km radius off the coast of Punta Gallinas.\Stanley.\Just to make sure, Pied Piper is to prepare for mobilization!\The children just returned from action!\So in this case, Kyrie could stand by above the clouds... response:	Um, what should I do?
context: The Secrets were hiding inside the hurricane?!\The seawater, lifted by the Secret's high velocity rotation, prevented visual detection.\It's currently within a 100km radius off the coast of Punta Gallinas.\Stanley.\Just to make sure, Pied Piper is to prepare for mobilization!\The children just returned from action!\So in this case, Kyrie could stand by above the clouds...\Um, what should I do? response:	Who knows?
context: The seawater, lifted by the Secret's high velocity rotation, prevented visual detection.\It's currently within a 100km radius off the coast of Punta Gallinas.\Stanley.\Just to make sure, Pied Piper is to prepare for mobilization!\The children just returned from action!\So in this case, Kyrie could stand by above the clouds...\Um, what should I do?\Who knows? response:	You think you're gonna fly with us?
context: It's currently within a 100km radius off the coast of Punta Gallinas.\Stanley.\Just to make sure, Pied Piper is to prepare for mobilization!\The children just returned from action!\So in this case, Kyrie could stand by above the clouds...\Um, what should I do?\Who knows?\You think you're gonna fly with us? response:	I'm not?
context: Stanley.\Just to make sure, Pied Piper is to prepare for mobilization!\The children just returned from action!\So in this case, Kyrie could stand by above the clouds...\Um, what should I do?\Who knows?\You think you're gonna fly with us?\I'm not? response:	They just wanted to get the Mark I. It's the old fart president after all.
context: Just to make sure, Pied Piper is to prepare for mobilization!\The children just returned from action!\So in this case, Kyrie could stand by above the clouds...\Um, what should I do?\Who knows?\You think you're gonna fly with us?\I'm not?\They just wanted to get the Mark I. It's the old fart president after all. response:	You're so mean.
context: The children just returned from action!\So in this case, Kyrie could stand by above the clouds...\Um, what should I do?\Who knows?\You think you're gonna fly with us?\I'm not?\They just wanted to get the Mark I. It's the old fart president after all.\You're so mean. response:	That's the way he thinks.
context: So in this case, Kyrie could stand by above the clouds...\Um, what should I do?\Who knows?\You think you're gonna fly with us?\I'm not?\They just wanted to get the Mark I. It's the old fart president after all.\You're so mean.\That's the way he thinks. response:	But... then why did I...
context: Um, what should I do?\Who knows?\You think you're gonna fly with us?\I'm not?\They just wanted to get the Mark I. It's the old fart president after all.\You're so mean.\That's the way he thinks.\But... then why did I... response:	Hey, where are you going?
context: Who knows?\You think you're gonna fly with us?\I'm not?\They just wanted to get the Mark I. It's the old fart president after all.\You're so mean.\That's the way he thinks.\But... then why did I...\Hey, where are you going? response:	I'll ask you again.
context: You think you're gonna fly with us?\I'm not?\They just wanted to get the Mark I. It's the old fart president after all.\You're so mean.\That's the way he thinks.\But... then why did I...\Hey, where are you going?\I'll ask you again. response:	Ao, what have you come here for?
context: I'm not?\They just wanted to get the Mark I. It's the old fart president after all.\You're so mean.\That's the way he thinks.\But... then why did I...\Hey, where are you going?\I'll ask you again.\Ao, what have you come here for? response:	Requiem, Gloria, Credo... none of them are responding.
context: They just wanted to get the Mark I. It's the old fart president after all.\You're so mean.\That's the way he thinks.\But... then why did I...\Hey, where are you going?\I'll ask you again.\Ao, what have you come here for?\Requiem, Gloria, Credo... none of them are responding. response:	Medon!
context: You're so mean.\That's the way he thinks.\But... then why did I...\Hey, where are you going?\I'll ask you again.\Ao, what have you come here for?\Requiem, Gloria, Credo... none of them are responding.\Medon! response:	We are now going to start rescue operations.
context: That's the way he thinks.\But... then why did I...\Hey, where are you going?\I'll ask you again.\Ao, what have you come here for?\Requiem, Gloria, Credo... none of them are responding.\Medon!\We are now going to start rescue operations. response:	We need assistance!
context: But... then why did I...\Hey, where are you going?\I'll ask you again.\Ao, what have you come here for?\Requiem, Gloria, Credo... none of them are responding.\Medon!\We are now going to start rescue operations.\We need assistance! response:	Team Pied Piper, hurry with your preparations!
context: Hey, where are you going?\I'll ask you again.\Ao, what have you come here for?\Requiem, Gloria, Credo... none of them are responding.\Medon!\We are now going to start rescue operations.\We need assistance!\Team Pied Piper, hurry with your preparations! response:	S-Sorry!
context: I'll ask you again.\Ao, what have you come here for?\Requiem, Gloria, Credo... none of them are responding.\Medon!\We are now going to start rescue operations.\We need assistance!\Team Pied Piper, hurry with your preparations!\S-Sorry! response:	Where do you think you're going?
context: Ao, what have you come here for?\Requiem, Gloria, Credo... none of them are responding.\Medon!\We are now going to start rescue operations.\We need assistance!\Team Pied Piper, hurry with your preparations!\S-Sorry!\Where do you think you're going? response:	That's yours and yours only.
context: Requiem, Gloria, Credo... none of them are responding.\Medon!\We are now going to start rescue operations.\We need assistance!\Team Pied Piper, hurry with your preparations!\S-Sorry!\Where do you think you're going?\That's yours and yours only. response:	Change.
context: Medon!\We are now going to start rescue operations.\We need assistance!\Team Pied Piper, hurry with your preparations!\S-Sorry!\Where do you think you're going?\That's yours and yours only.\Change. response:	Hold still.
context: We are now going to start rescue operations.\We need assistance!\Team Pied Piper, hurry with your preparations!\S-Sorry!\Where do you think you're going?\That's yours and yours only.\Change.\Hold still. response:	Hurry.
context: We need assistance!\Team Pied Piper, hurry with your preparations!\S-Sorry!\Where do you think you're going?\That's yours and yours only.\Change.\Hold still.\Hurry. response:	Yes.
