context: The conflict began from a single spark, response:	and has grown into a massive war.
context: What are you doing? Turn back. I thought I ordered you to surrender.\Harklight!\Stygis Squadron! Don't act without orders!\Enemy reinforcements closing in. 10 o'clock. Angle of elevation, -10!\Stand by to engage!\Don't! We no longer have any hope of winning!\Don't throw your lives away!\I made my peace with death long ago, Lord. response:	Please allow me this one selfish act.
context: Harklight!\Stygis Squadron! Don't act without orders!\Enemy reinforcements closing in. 10 o'clock. Angle of elevation, -10!\Stand by to engage!\Don't! We no longer have any hope of winning!\Don't throw your lives away!\I made my peace with death long ago, Lord.\Please allow me this one selfish act. response:	Surrender, Harklight!
context: Stygis Squadron! Don't act without orders!\Enemy reinforcements closing in. 10 o'clock. Angle of elevation, -10!\Stand by to engage!\Don't! We no longer have any hope of winning!\Don't throw your lives away!\I made my peace with death long ago, Lord.\Please allow me this one selfish act.\Surrender, Harklight! response:	I beg your pardon, Milord Slaine...
context: Enemy reinforcements closing in. 10 o'clock. Angle of elevation, -10!\Stand by to engage!\Don't! We no longer have any hope of winning!\Don't throw your lives away!\I made my peace with death long ago, Lord.\Please allow me this one selfish act.\Surrender, Harklight!\I beg your pardon, Milord Slaine... response:	But I cannot comply with that order.
context: Stand by to engage!\Don't! We no longer have any hope of winning!\Don't throw your lives away!\I made my peace with death long ago, Lord.\Please allow me this one selfish act.\Surrender, Harklight!\I beg your pardon, Milord Slaine...\But I cannot comply with that order. response:	Here they come!
context: Don't! We no longer have any hope of winning!\Don't throw your lives away!\I made my peace with death long ago, Lord.\Please allow me this one selfish act.\Surrender, Harklight!\I beg your pardon, Milord Slaine...\But I cannot comply with that order.\Here they come! response:	All units, scatter!
context: Don't throw your lives away!\I made my peace with death long ago, Lord.\Please allow me this one selfish act.\Surrender, Harklight!\I beg your pardon, Milord Slaine...\But I cannot comply with that order.\Here they come!\All units, scatter! response:	Come on!
context: I made my peace with death long ago, Lord.\Please allow me this one selfish act.\Surrender, Harklight!\I beg your pardon, Milord Slaine...\But I cannot comply with that order.\Here they come!\All units, scatter!\Come on! response:	How could they do this? Damn it all!
context: Please allow me this one selfish act.\Surrender, Harklight!\I beg your pardon, Milord Slaine...\But I cannot comply with that order.\Here they come!\All units, scatter!\Come on!\How could they do this? Damn it all! response:	What's that?
context: Surrender, Harklight!\I beg your pardon, Milord Slaine...\But I cannot comply with that order.\Here they come!\All units, scatter!\Come on!\How could they do this? Damn it all!\What's that? response:	Those moves...
context: I beg your pardon, Milord Slaine...\But I cannot comply with that order.\Here they come!\All units, scatter!\Come on!\How could they do this? Damn it all!\What's that?\Those moves... response:	You're right, Harklight.
context: But I cannot comply with that order.\Here they come!\All units, scatter!\Come on!\How could they do this? Damn it all!\What's that?\Those moves...\You're right, Harklight. response:	We can't let it end like this.
context: Here they come!\All units, scatter!\Come on!\How could they do this? Damn it all!\What's that?\Those moves...\You're right, Harklight.\We can't let it end like this. response:	There is still something that I must do!
context: All units, scatter!\Come on!\How could they do this? Damn it all!\What's that?\Those moves...\You're right, Harklight.\We can't let it end like this.\There is still something that I must do! response:	I've come for you, Slaine Troyard.
context: Come on!\How could they do this? Damn it all!\What's that?\Those moves...\You're right, Harklight.\We can't let it end like this.\There is still something that I must do!\I've come for you, Slaine Troyard. response:	Let's settle this once and for all, Inaho Kaizuka!
context: How could they do this? Damn it all!\What's that?\Those moves...\You're right, Harklight.\We can't let it end like this.\There is still something that I must do!\I've come for you, Slaine Troyard.\Let's settle this once and for all, Inaho Kaizuka! response:	No matter how much you predict my attacks, there's no point if you can't escape.
context: What's that?\Those moves...\You're right, Harklight.\We can't let it end like this.\There is still something that I must do!\I've come for you, Slaine Troyard.\Let's settle this once and for all, Inaho Kaizuka!\No matter how much you predict my attacks, there's no point if you can't escape. response:	You're the one who can't escape!
context: Those moves...\You're right, Harklight.\We can't let it end like this.\There is still something that I must do!\I've come for you, Slaine Troyard.\Let's settle this once and for all, Inaho Kaizuka!\No matter how much you predict my attacks, there's no point if you can't escape.\You're the one who can't escape! response:	Opening contact channel. Decrypting protocols.
context: You're right, Harklight.\We can't let it end like this.\There is still something that I must do!\I've come for you, Slaine Troyard.\Let's settle this once and for all, Inaho Kaizuka!\No matter how much you predict my attacks, there's no point if you can't escape.\You're the one who can't escape!\Opening contact channel. Decrypting protocols. response:	I don't think it will do any good, but I'll ask anyway. Surrender, Slaine Troyard.
context: We can't let it end like this.\There is still something that I must do!\I've come for you, Slaine Troyard.\Let's settle this once and for all, Inaho Kaizuka!\No matter how much you predict my attacks, there's no point if you can't escape.\You're the one who can't escape!\Opening contact channel. Decrypting protocols.\I don't think it will do any good, but I'll ask anyway. Surrender, Slaine Troyard. response:	You came all this way to say such a pointless thing to me, Inaho Kaizuka?
context: There is still something that I must do!\I've come for you, Slaine Troyard.\Let's settle this once and for all, Inaho Kaizuka!\No matter how much you predict my attacks, there's no point if you can't escape.\You're the one who can't escape!\Opening contact channel. Decrypting protocols.\I don't think it will do any good, but I'll ask anyway. Surrender, Slaine Troyard.\You came all this way to say such a pointless thing to me, Inaho Kaizuka? response:	No, I have a different objective.
context: I've come for you, Slaine Troyard.\Let's settle this once and for all, Inaho Kaizuka!\No matter how much you predict my attacks, there's no point if you can't escape.\You're the one who can't escape!\Opening contact channel. Decrypting protocols.\I don't think it will do any good, but I'll ask anyway. Surrender, Slaine Troyard.\You came all this way to say such a pointless thing to me, Inaho Kaizuka?\No, I have a different objective. response:	I'm glad to hear that!
context: Let's settle this once and for all, Inaho Kaizuka!\No matter how much you predict my attacks, there's no point if you can't escape.\You're the one who can't escape!\Opening contact channel. Decrypting protocols.\I don't think it will do any good, but I'll ask anyway. Surrender, Slaine Troyard.\You came all this way to say such a pointless thing to me, Inaho Kaizuka?\No, I have a different objective.\I'm glad to hear that! response:	Don't disappoint me!
context: No matter how much you predict my attacks, there's no point if you can't escape.\You're the one who can't escape!\Opening contact channel. Decrypting protocols.\I don't think it will do any good, but I'll ask anyway. Surrender, Slaine Troyard.\You came all this way to say such a pointless thing to me, Inaho Kaizuka?\No, I have a different objective.\I'm glad to hear that!\Don't disappoint me! response:	Damn... My monitors are damaged?
context: You're the one who can't escape!\Opening contact channel. Decrypting protocols.\I don't think it will do any good, but I'll ask anyway. Surrender, Slaine Troyard.\You came all this way to say such a pointless thing to me, Inaho Kaizuka?\No, I have a different objective.\I'm glad to hear that!\Don't disappoint me!\Damn... My monitors are damaged? response:	I know... You can't do any more high-load processing.
context: Opening contact channel. Decrypting protocols.\I don't think it will do any good, but I'll ask anyway. Surrender, Slaine Troyard.\You came all this way to say such a pointless thing to me, Inaho Kaizuka?\No, I have a different objective.\I'm glad to hear that!\Don't disappoint me!\Damn... My monitors are damaged?\I know... You can't do any more high-load processing. response:	Cut all predictive imagers.
context: I don't think it will do any good, but I'll ask anyway. Surrender, Slaine Troyard.\You came all this way to say such a pointless thing to me, Inaho Kaizuka?\No, I have a different objective.\I'm glad to hear that!\Don't disappoint me!\Damn... My monitors are damaged?\I know... You can't do any more high-load processing.\Cut all predictive imagers. response:	I no longer...
context: You came all this way to say such a pointless thing to me, Inaho Kaizuka?\No, I have a different objective.\I'm glad to hear that!\Don't disappoint me!\Damn... My monitors are damaged?\I know... You can't do any more high-load processing.\Cut all predictive imagers.\I no longer... response:	2 o'clock! Angle of elevation, 5! Incoming!
context: No, I have a different objective.\I'm glad to hear that!\Don't disappoint me!\Damn... My monitors are damaged?\I know... You can't do any more high-load processing.\Cut all predictive imagers.\I no longer...\2 o'clock! Angle of elevation, 5! Incoming! response:	All ahead, emergency speed! Come about, 060!
context: I'm glad to hear that!\Don't disappoint me!\Damn... My monitors are damaged?\I know... You can't do any more high-load processing.\Cut all predictive imagers.\I no longer...\2 o'clock! Angle of elevation, 5! Incoming!\All ahead, emergency speed! Come about, 060! response:	Coming about, 060!
context: Don't disappoint me!\Damn... My monitors are damaged?\I know... You can't do any more high-load processing.\Cut all predictive imagers.\I no longer...\2 o'clock! Angle of elevation, 5! Incoming!\All ahead, emergency speed! Come about, 060!\Coming about, 060! response:	Load canister shot! Fire once targets are locked!
context: Damn... My monitors are damaged?\I know... You can't do any more high-load processing.\Cut all predictive imagers.\I no longer...\2 o'clock! Angle of elevation, 5! Incoming!\All ahead, emergency speed! Come about, 060!\Coming about, 060!\Load canister shot! Fire once targets are locked! response:	Wow...
context: I know... You can't do any more high-load processing.\Cut all predictive imagers.\I no longer...\2 o'clock! Angle of elevation, 5! Incoming!\All ahead, emergency speed! Come about, 060!\Coming about, 060!\Load canister shot! Fire once targets are locked!\Wow... response:	Nao's combat data is stored in the tactical data link.
context: Cut all predictive imagers.\I no longer...\2 o'clock! Angle of elevation, 5! Incoming!\All ahead, emergency speed! Come about, 060!\Coming about, 060!\Load canister shot! Fire once targets are locked!\Wow...\Nao's combat data is stored in the tactical data link. response:	All units, refer to that and
context: I no longer...\2 o'clock! Angle of elevation, 5! Incoming!\All ahead, emergency speed! Come about, 060!\Coming about, 060!\Load canister shot! Fire once targets are locked!\Wow...\Nao's combat data is stored in the tactical data link.\All units, refer to that and response:	Yuki!
context: 2 o'clock! Angle of elevation, 5! Incoming!\All ahead, emergency speed! Come about, 060!\Coming about, 060!\Load canister shot! Fire once targets are locked!\Wow...\Nao's combat data is stored in the tactical data link.\All units, refer to that and\Yuki! response:	I'm okay!
context: All ahead, emergency speed! Come about, 060!\Coming about, 060!\Load canister shot! Fire once targets are locked!\Wow...\Nao's combat data is stored in the tactical data link.\All units, refer to that and\Yuki!\I'm okay! response:	Barouhcruz, member of the Orbital Knights 37 Clans!
context: Coming about, 060!\Load canister shot! Fire once targets are locked!\Wow...\Nao's combat data is stored in the tactical data link.\All units, refer to that and\Yuki!\I'm okay!\Barouhcruz, member of the Orbital Knights 37 Clans! response:	Do you mind if I cut in?
context: Load canister shot! Fire once targets are locked!\Wow...\Nao's combat data is stored in the tactical data link.\All units, refer to that and\Yuki!\I'm okay!\Barouhcruz, member of the Orbital Knights 37 Clans!\Do you mind if I cut in? response:	Count Barouhcruz...
context: Wow...\Nao's combat data is stored in the tactical data link.\All units, refer to that and\Yuki!\I'm okay!\Barouhcruz, member of the Orbital Knights 37 Clans!\Do you mind if I cut in?\Count Barouhcruz... response:	8 o'clock! Angle of elevation, -25! Incoming!
context: Nao's combat data is stored in the tactical data link.\All units, refer to that and\Yuki!\I'm okay!\Barouhcruz, member of the Orbital Knights 37 Clans!\Do you mind if I cut in?\Count Barouhcruz...\8 o'clock! Angle of elevation, -25! Incoming! response:	Intercept!
context: All units, refer to that and\Yuki!\I'm okay!\Barouhcruz, member of the Orbital Knights 37 Clans!\Do you mind if I cut in?\Count Barouhcruz...\8 o'clock! Angle of elevation, -25! Incoming!\Intercept! response:	I've got this!
context: Yuki!\I'm okay!\Barouhcruz, member of the Orbital Knights 37 Clans!\Do you mind if I cut in?\Count Barouhcruz...\8 o'clock! Angle of elevation, -25! Incoming!\Intercept!\I've got this! response:	Remaining rounds, 3...
context: I'm okay!\Barouhcruz, member of the Orbital Knights 37 Clans!\Do you mind if I cut in?\Count Barouhcruz...\8 o'clock! Angle of elevation, -25! Incoming!\Intercept!\I've got this!\Remaining rounds, 3... response:	There's nothing to be gained by continuing to fight.
context: Barouhcruz, member of the Orbital Knights 37 Clans!\Do you mind if I cut in?\Count Barouhcruz...\8 o'clock! Angle of elevation, -25! Incoming!\Intercept!\I've got this!\Remaining rounds, 3...\There's nothing to be gained by continuing to fight. response:	Agreed. But there's nothing to be lost by it, either.
context: Do you mind if I cut in?\Count Barouhcruz...\8 o'clock! Angle of elevation, -25! Incoming!\Intercept!\I've got this!\Remaining rounds, 3...\There's nothing to be gained by continuing to fight.\Agreed. But there's nothing to be lost by it, either. response:	Giving in to despair is a foolish choice.
context: Count Barouhcruz...\8 o'clock! Angle of elevation, -25! Incoming!\Intercept!\I've got this!\Remaining rounds, 3...\There's nothing to be gained by continuing to fight.\Agreed. But there's nothing to be lost by it, either.\Giving in to despair is a foolish choice. response:	You just don't get it! This is the choice I wanted the most!
context: 8 o'clock! Angle of elevation, -25! Incoming!\Intercept!\I've got this!\Remaining rounds, 3...\There's nothing to be gained by continuing to fight.\Agreed. But there's nothing to be lost by it, either.\Giving in to despair is a foolish choice.\You just don't get it! This is the choice I wanted the most! response:	Slice them up!
context: Intercept!\I've got this!\Remaining rounds, 3...\There's nothing to be gained by continuing to fight.\Agreed. But there's nothing to be lost by it, either.\Giving in to despair is a foolish choice.\You just don't get it! This is the choice I wanted the most!\Slice them up! response:	Rayet!
context: I've got this!\Remaining rounds, 3...\There's nothing to be gained by continuing to fight.\Agreed. But there's nothing to be lost by it, either.\Giving in to despair is a foolish choice.\You just don't get it! This is the choice I wanted the most!\Slice them up!\Rayet! response:	Fool!
context: Remaining rounds, 3...\There's nothing to be gained by continuing to fight.\Agreed. But there's nothing to be lost by it, either.\Giving in to despair is a foolish choice.\You just don't get it! This is the choice I wanted the most!\Slice them up!\Rayet!\Fool! response:	Radar returns approaching at high speed!
context: There's nothing to be gained by continuing to fight.\Agreed. But there's nothing to be lost by it, either.\Giving in to despair is a foolish choice.\You just don't get it! This is the choice I wanted the most!\Slice them up!\Rayet!\Fool!\Radar returns approaching at high speed! response:	What?
context: Agreed. But there's nothing to be lost by it, either.\Giving in to despair is a foolish choice.\You just don't get it! This is the choice I wanted the most!\Slice them up!\Rayet!\Fool!\Radar returns approaching at high speed!\What? response:	It's the Tharsis... and a UFE Kataphrakt!
context: Giving in to despair is a foolish choice.\You just don't get it! This is the choice I wanted the most!\Slice them up!\Rayet!\Fool!\Radar returns approaching at high speed!\What?\It's the Tharsis... and a UFE Kataphrakt! response:	That's...
context: You just don't get it! This is the choice I wanted the most!\Slice them up!\Rayet!\Fool!\Radar returns approaching at high speed!\What?\It's the Tharsis... and a UFE Kataphrakt!\That's... response:	Rayet!
context: Slice them up!\Rayet!\Fool!\Radar returns approaching at high speed!\What?\It's the Tharsis... and a UFE Kataphrakt!\That's...\Rayet! response:	Three-direction crossfire!
context: Rayet!\Fool!\Radar returns approaching at high speed!\What?\It's the Tharsis... and a UFE Kataphrakt!\That's...\Rayet!\Three-direction crossfire! response:	MRSI, neutralize target, auto fire!
context: Fool!\Radar returns approaching at high speed!\What?\It's the Tharsis... and a UFE Kataphrakt!\That's...\Rayet!\Three-direction crossfire!\MRSI, neutralize target, auto fire! response:	I always...
context: Radar returns approaching at high speed!\What?\It's the Tharsis... and a UFE Kataphrakt!\That's...\Rayet!\Three-direction crossfire!\MRSI, neutralize target, auto fire!\I always... response:	I always hated that color!
context: What?\It's the Tharsis... and a UFE Kataphrakt!\That's...\Rayet!\Three-direction crossfire!\MRSI, neutralize target, auto fire!\I always...\I always hated that color! response:	Sir Harklight!
context: It's the Tharsis... and a UFE Kataphrakt!\That's...\Rayet!\Three-direction crossfire!\MRSI, neutralize target, auto fire!\I always...\I always hated that color!\Sir Harklight! response:	The drones are on autopilot! Use the boulders!
context: That's...\Rayet!\Three-direction crossfire!\MRSI, neutralize target, auto fire!\I always...\I always hated that color!\Sir Harklight!\The drones are on autopilot! Use the boulders! response:	We can limit the direction of their attack!
context: Rayet!\Three-direction crossfire!\MRSI, neutralize target, auto fire!\I always...\I always hated that color!\Sir Harklight!\The drones are on autopilot! Use the boulders!\We can limit the direction of their attack! response:	Are you all right?
context: Three-direction crossfire!\MRSI, neutralize target, auto fire!\I always...\I always hated that color!\Sir Harklight!\The drones are on autopilot! Use the boulders!\We can limit the direction of their attack!\Are you all right? response:	Yes. I only lost an arm.
context: MRSI, neutralize target, auto fire!\I always...\I always hated that color!\Sir Harklight!\The drones are on autopilot! Use the boulders!\We can limit the direction of their attack!\Are you all right?\Yes. I only lost an arm. response:	Sir Harklight.
context: I always...\I always hated that color!\Sir Harklight!\The drones are on autopilot! Use the boulders!\We can limit the direction of their attack!\Are you all right?\Yes. I only lost an arm.\Sir Harklight. response:	Battle status?
context: I always hated that color!\Sir Harklight!\The drones are on autopilot! Use the boulders!\We can limit the direction of their attack!\Are you all right?\Yes. I only lost an arm.\Sir Harklight.\Battle status? response:	Including myself, 3 Stygis Masters remain,
context: Sir Harklight!\The drones are on autopilot! Use the boulders!\We can limit the direction of their attack!\Are you all right?\Yes. I only lost an arm.\Sir Harklight.\Battle status?\Including myself, 3 Stygis Masters remain, response:	as well as some 6 Slaves.
context: The drones are on autopilot! Use the boulders!\We can limit the direction of their attack!\Are you all right?\Yes. I only lost an arm.\Sir Harklight.\Battle status?\Including myself, 3 Stygis Masters remain,\as well as some 6 Slaves. response:	The rest have been downed by the UFE.
context: We can limit the direction of their attack!\Are you all right?\Yes. I only lost an arm.\Sir Harklight.\Battle status?\Including myself, 3 Stygis Masters remain,\as well as some 6 Slaves.\The rest have been downed by the UFE. response:	I have fired most of my bullets as well.
context: Are you all right?\Yes. I only lost an arm.\Sir Harklight.\Battle status?\Including myself, 3 Stygis Masters remain,\as well as some 6 Slaves.\The rest have been downed by the UFE.\I have fired most of my bullets as well. response:	Count Barouhcruz.
context: Yes. I only lost an arm.\Sir Harklight.\Battle status?\Including myself, 3 Stygis Masters remain,\as well as some 6 Slaves.\The rest have been downed by the UFE.\I have fired most of my bullets as well.\Count Barouhcruz. response:	The Octantis' right arm is nonfunctional.
context: Sir Harklight.\Battle status?\Including myself, 3 Stygis Masters remain,\as well as some 6 Slaves.\The rest have been downed by the UFE.\I have fired most of my bullets as well.\Count Barouhcruz.\The Octantis' right arm is nonfunctional. response:	It must have been damaged in that last attack.
context: Battle status?\Including myself, 3 Stygis Masters remain,\as well as some 6 Slaves.\The rest have been downed by the UFE.\I have fired most of my bullets as well.\Count Barouhcruz.\The Octantis' right arm is nonfunctional.\It must have been damaged in that last attack. response:	These Terran warriors are not without skill.
context: Including myself, 3 Stygis Masters remain,\as well as some 6 Slaves.\The rest have been downed by the UFE.\I have fired most of my bullets as well.\Count Barouhcruz.\The Octantis' right arm is nonfunctional.\It must have been damaged in that last attack.\These Terran warriors are not without skill. response:	Yes.
context: as well as some 6 Slaves.\The rest have been downed by the UFE.\I have fired most of my bullets as well.\Count Barouhcruz.\The Octantis' right arm is nonfunctional.\It must have been damaged in that last attack.\These Terran warriors are not without skill.\Yes. response:	It is Lord Slaine's birthplace, after all.
context: The rest have been downed by the UFE.\I have fired most of my bullets as well.\Count Barouhcruz.\The Octantis' right arm is nonfunctional.\It must have been damaged in that last attack.\These Terran warriors are not without skill.\Yes.\It is Lord Slaine's birthplace, after all. response:	Do not try to fight an Olympian sandstorm, eh?
context: I have fired most of my bullets as well.\Count Barouhcruz.\The Octantis' right arm is nonfunctional.\It must have been damaged in that last attack.\These Terran warriors are not without skill.\Yes.\It is Lord Slaine's birthplace, after all.\Do not try to fight an Olympian sandstorm, eh? response:	We seem to have misread the winds.
context: Count Barouhcruz.\The Octantis' right arm is nonfunctional.\It must have been damaged in that last attack.\These Terran warriors are not without skill.\Yes.\It is Lord Slaine's birthplace, after all.\Do not try to fight an Olympian sandstorm, eh?\We seem to have misread the winds. response:	Let's have another go!
context: The Octantis' right arm is nonfunctional.\It must have been damaged in that last attack.\These Terran warriors are not without skill.\Yes.\It is Lord Slaine's birthplace, after all.\Do not try to fight an Olympian sandstorm, eh?\We seem to have misread the winds.\Let's have another go! response:	I shall join you.
context: It must have been damaged in that last attack.\These Terran warriors are not without skill.\Yes.\It is Lord Slaine's birthplace, after all.\Do not try to fight an Olympian sandstorm, eh?\We seem to have misread the winds.\Let's have another go!\I shall join you. response:	9 o'clock! Angle of elevation, 20! Enemy formation closing in!
context: These Terran warriors are not without skill.\Yes.\It is Lord Slaine's birthplace, after all.\Do not try to fight an Olympian sandstorm, eh?\We seem to have misread the winds.\Let's have another go!\I shall join you.\9 o'clock! Angle of elevation, 20! Enemy formation closing in! response:	All guns, take aim!
context: Yes.\It is Lord Slaine's birthplace, after all.\Do not try to fight an Olympian sandstorm, eh?\We seem to have misread the winds.\Let's have another go!\I shall join you.\9 o'clock! Angle of elevation, 20! Enemy formation closing in!\All guns, take aim! response:	Kataphrakt platoons! All units, fire at will!
context: It is Lord Slaine's birthplace, after all.\Do not try to fight an Olympian sandstorm, eh?\We seem to have misread the winds.\Let's have another go!\I shall join you.\9 o'clock! Angle of elevation, 20! Enemy formation closing in!\All guns, take aim!\Kataphrakt platoons! All units, fire at will! response:	I'll act as a drogue chute. It will stabilize you.
context: Do not try to fight an Olympian sandstorm, eh?\We seem to have misread the winds.\Let's have another go!\I shall join you.\9 o'clock! Angle of elevation, 20! Enemy formation closing in!\All guns, take aim!\Kataphrakt platoons! All units, fire at will!\I'll act as a drogue chute. It will stabilize you. response:	You intend to die with me?
context: We seem to have misread the winds.\Let's have another go!\I shall join you.\9 o'clock! Angle of elevation, 20! Enemy formation closing in!\All guns, take aim!\Kataphrakt platoons! All units, fire at will!\I'll act as a drogue chute. It will stabilize you.\You intend to die with me? response:	You'll burn up.
context: Let's have another go!\I shall join you.\9 o'clock! Angle of elevation, 20! Enemy formation closing in!\All guns, take aim!\Kataphrakt platoons! All units, fire at will!\I'll act as a drogue chute. It will stabilize you.\You intend to die with me?\You'll burn up. response:	Kataphrakt frames are high density.
context: I shall join you.\9 o'clock! Angle of elevation, 20! Enemy formation closing in!\All guns, take aim!\Kataphrakt platoons! All units, fire at will!\I'll act as a drogue chute. It will stabilize you.\You intend to die with me?\You'll burn up.\Kataphrakt frames are high density. response:	They'll work well enough as ablative shielding.
context: 9 o'clock! Angle of elevation, 20! Enemy formation closing in!\All guns, take aim!\Kataphrakt platoons! All units, fire at will!\I'll act as a drogue chute. It will stabilize you.\You intend to die with me?\You'll burn up.\Kataphrakt frames are high density.\They'll work well enough as ablative shielding. response:	Impossible... It can't be done.
context: All guns, take aim!\Kataphrakt platoons! All units, fire at will!\I'll act as a drogue chute. It will stabilize you.\You intend to die with me?\You'll burn up.\Kataphrakt frames are high density.\They'll work well enough as ablative shielding.\Impossible... It can't be done. response:	Really? I guess we'll see.
context: Kataphrakt platoons! All units, fire at will!\I'll act as a drogue chute. It will stabilize you.\You intend to die with me?\You'll burn up.\Kataphrakt frames are high density.\They'll work well enough as ablative shielding.\Impossible... It can't be done.\Really? I guess we'll see. response:	Sis, look!
context: I'll act as a drogue chute. It will stabilize you.\You intend to die with me?\You'll burn up.\Kataphrakt frames are high density.\They'll work well enough as ablative shielding.\Impossible... It can't be done.\Really? I guess we'll see.\Sis, look! response:	A shooting star!
context: You intend to die with me?\You'll burn up.\Kataphrakt frames are high density.\They'll work well enough as ablative shielding.\Impossible... It can't be done.\Really? I guess we'll see.\Sis, look!\A shooting star! response:	Look at this.
context: You'll burn up.\Kataphrakt frames are high density.\They'll work well enough as ablative shielding.\Impossible... It can't be done.\Really? I guess we'll see.\Sis, look!\A shooting star!\Look at this. response:	Aldnoah Reactor 1, constructed as a sign of goodwill between Earth and Vers,
context: Kataphrakt frames are high density.\They'll work well enough as ablative shielding.\Impossible... It can't be done.\Really? I guess we'll see.\Sis, look!\A shooting star!\Look at this.\Aldnoah Reactor 1, constructed as a sign of goodwill between Earth and Vers, response:	is scheduled to be activated today.
context: They'll work well enough as ablative shielding.\Impossible... It can't be done.\Really? I guess we'll see.\Sis, look!\A shooting star!\Look at this.\Aldnoah Reactor 1, constructed as a sign of goodwill between Earth and Vers,\is scheduled to be activated today. response:	We're told that Empress Asseylum herself will participate in the activation ceremony.
context: Impossible... It can't be done.\Really? I guess we'll see.\Sis, look!\A shooting star!\Look at this.\Aldnoah Reactor 1, constructed as a sign of goodwill between Earth and Vers,\is scheduled to be activated today.\We're told that Empress Asseylum herself will participate in the activation ceremony. response:	Research into making activation privileges universal so that anyone can do it is still ongoing.
context: Really? I guess we'll see.\Sis, look!\A shooting star!\Look at this.\Aldnoah Reactor 1, constructed as a sign of goodwill between Earth and Vers,\is scheduled to be activated today.\We're told that Empress Asseylum herself will participate in the activation ceremony.\Research into making activation privileges universal so that anyone can do it is still ongoing. response:	When that happens, industries using Aldnoah will develop
context: Sis, look!\A shooting star!\Look at this.\Aldnoah Reactor 1, constructed as a sign of goodwill between Earth and Vers,\is scheduled to be activated today.\We're told that Empress Asseylum herself will participate in the activation ceremony.\Research into making activation privileges universal so that anyone can do it is still ongoing.\When that happens, industries using Aldnoah will develop response:	and will help greatly with Earth's reconstruction.
context: A shooting star!\Look at this.\Aldnoah Reactor 1, constructed as a sign of goodwill between Earth and Vers,\is scheduled to be activated today.\We're told that Empress Asseylum herself will participate in the activation ceremony.\Research into making activation privileges universal so that anyone can do it is still ongoing.\When that happens, industries using Aldnoah will develop\and will help greatly with Earth's reconstruction. response:	And as the nation that produces Aldnoah, it should also prove to be
context: Look at this.\Aldnoah Reactor 1, constructed as a sign of goodwill between Earth and Vers,\is scheduled to be activated today.\We're told that Empress Asseylum herself will participate in the activation ceremony.\Research into making activation privileges universal so that anyone can do it is still ongoing.\When that happens, industries using Aldnoah will develop\and will help greatly with Earth's reconstruction.\And as the nation that produces Aldnoah, it should also prove to be response:	an effective means for the Vers Empire to earn foreign capital.
context: Aldnoah Reactor 1, constructed as a sign of goodwill between Earth and Vers,\is scheduled to be activated today.\We're told that Empress Asseylum herself will participate in the activation ceremony.\Research into making activation privileges universal so that anyone can do it is still ongoing.\When that happens, industries using Aldnoah will develop\and will help greatly with Earth's reconstruction.\And as the nation that produces Aldnoah, it should also prove to be\an effective means for the Vers Empire to earn foreign capital. response:	Dr. Troyard's theories have already been proven,
context: is scheduled to be activated today.\We're told that Empress Asseylum herself will participate in the activation ceremony.\Research into making activation privileges universal so that anyone can do it is still ongoing.\When that happens, industries using Aldnoah will develop\and will help greatly with Earth's reconstruction.\And as the nation that produces Aldnoah, it should also prove to be\an effective means for the Vers Empire to earn foreign capital.\Dr. Troyard's theories have already been proven, response:	so we should see them put into practice in the near future.
context: We're told that Empress Asseylum herself will participate in the activation ceremony.\Research into making activation privileges universal so that anyone can do it is still ongoing.\When that happens, industries using Aldnoah will develop\and will help greatly with Earth's reconstruction.\And as the nation that produces Aldnoah, it should also prove to be\an effective means for the Vers Empire to earn foreign capital.\Dr. Troyard's theories have already been proven,\so we should see them put into practice in the near future. response:	It's ironic that Slaine Troyard,
context: Research into making activation privileges universal so that anyone can do it is still ongoing.\When that happens, industries using Aldnoah will develop\and will help greatly with Earth's reconstruction.\And as the nation that produces Aldnoah, it should also prove to be\an effective means for the Vers Empire to earn foreign capital.\Dr. Troyard's theories have already been proven,\so we should see them put into practice in the near future.\It's ironic that Slaine Troyard, response:	the son of that same Dr. Troyard, plotted the assassination of Empress Asseylum,
context: When that happens, industries using Aldnoah will develop\and will help greatly with Earth's reconstruction.\And as the nation that produces Aldnoah, it should also prove to be\an effective means for the Vers Empire to earn foreign capital.\Dr. Troyard's theories have already been proven,\so we should see them put into practice in the near future.\It's ironic that Slaine Troyard,\the son of that same Dr. Troyard, plotted the assassination of Empress Asseylum, response:	which was the trigger for Interplanetary War II.
context: and will help greatly with Earth's reconstruction.\And as the nation that produces Aldnoah, it should also prove to be\an effective means for the Vers Empire to earn foreign capital.\Dr. Troyard's theories have already been proven,\so we should see them put into practice in the near future.\It's ironic that Slaine Troyard,\the son of that same Dr. Troyard, plotted the assassination of Empress Asseylum,\which was the trigger for Interplanetary War II. response:	Slaine Troyard's death allowed Earth and Vers to conclude a friendship treaty.
context: And as the nation that produces Aldnoah, it should also prove to be\an effective means for the Vers Empire to earn foreign capital.\Dr. Troyard's theories have already been proven,\so we should see them put into practice in the near future.\It's ironic that Slaine Troyard,\the son of that same Dr. Troyard, plotted the assassination of Empress Asseylum,\which was the trigger for Interplanetary War II.\Slaine Troyard's death allowed Earth and Vers to conclude a friendship treaty. response:	Yes, but there are still Mars Knights who occupy territory on Earth.
