context: N-Now this was unexpected! response:	That took all of one minute!
context: Uh, right...\I'll be sure to give her an earful.\All right, let's go, Sister.\Okay, okay...\She called her Sister, so does that mean...\I think there's an entry in the data Claudia sent me.\PRISCILLA URZAIZ LE WOLFE ACADEMY\Priscilla Urzaiz. response:	She's unranked,
context: I'll be sure to give her an earful.\All right, let's go, Sister.\Okay, okay...\She called her Sister, so does that mean...\I think there's an entry in the data Claudia sent me.\PRISCILLA URZAIZ LE WOLFE ACADEMY\Priscilla Urzaiz.\She's unranked, response:	and there isn't a shred of data on her except that she's Irene's partner.
context: All right, let's go, Sister.\Okay, okay...\She called her Sister, so does that mean...\I think there's an entry in the data Claudia sent me.\PRISCILLA URZAIZ LE WOLFE ACADEMY\Priscilla Urzaiz.\She's unranked,\and there isn't a shred of data on her except that she's Irene's partner. response:	By the way, why did you provoke her like that just now?
context: Okay, okay...\She called her Sister, so does that mean...\I think there's an entry in the data Claudia sent me.\PRISCILLA URZAIZ LE WOLFE ACADEMY\Priscilla Urzaiz.\She's unranked,\and there isn't a shred of data on her except that she's Irene's partner.\By the way, why did you provoke her like that just now? response:	Irene said to me, I have no business with you.
context: She called her Sister, so does that mean...\I think there's an entry in the data Claudia sent me.\PRISCILLA URZAIZ LE WOLFE ACADEMY\Priscilla Urzaiz.\She's unranked,\and there isn't a shred of data on her except that she's Irene's partner.\By the way, why did you provoke her like that just now?\Irene said to me, I have no business with you. response:	Even though I was the one who made the complaint against her!
context: I think there's an entry in the data Claudia sent me.\PRISCILLA URZAIZ LE WOLFE ACADEMY\Priscilla Urzaiz.\She's unranked,\and there isn't a shred of data on her except that she's Irene's partner.\By the way, why did you provoke her like that just now?\Irene said to me, I have no business with you.\Even though I was the one who made the complaint against her! response:	Meaning that she had some kind of reason to target you.
context: PRISCILLA URZAIZ LE WOLFE ACADEMY\Priscilla Urzaiz.\She's unranked,\and there isn't a shred of data on her except that she's Irene's partner.\By the way, why did you provoke her like that just now?\Irene said to me, I have no business with you.\Even though I was the one who made the complaint against her!\Meaning that she had some kind of reason to target you. response:	But I don't even know her.
context: Priscilla Urzaiz.\She's unranked,\and there isn't a shred of data on her except that she's Irene's partner.\By the way, why did you provoke her like that just now?\Irene said to me, I have no business with you.\Even though I was the one who made the complaint against her!\Meaning that she had some kind of reason to target you.\But I don't even know her. response:	Knowing Le Wolfe, they could very well have something evil up their sleeve.
context: She's unranked,\and there isn't a shred of data on her except that she's Irene's partner.\By the way, why did you provoke her like that just now?\Irene said to me, I have no business with you.\Even though I was the one who made the complaint against her!\Meaning that she had some kind of reason to target you.\But I don't even know her.\Knowing Le Wolfe, they could very well have something evil up their sleeve. response:	I wanted to fish around for some clues, but...
context: and there isn't a shred of data on her except that she's Irene's partner.\By the way, why did you provoke her like that just now?\Irene said to me, I have no business with you.\Even though I was the one who made the complaint against her!\Meaning that she had some kind of reason to target you.\But I don't even know her.\Knowing Le Wolfe, they could very well have something evil up their sleeve.\I wanted to fish around for some clues, but... response:	Right.
context: By the way, why did you provoke her like that just now?\Irene said to me, I have no business with you.\Even though I was the one who made the complaint against her!\Meaning that she had some kind of reason to target you.\But I don't even know her.\Knowing Le Wolfe, they could very well have something evil up their sleeve.\I wanted to fish around for some clues, but...\Right. response:	What's wrong?
context: Irene said to me, I have no business with you.\Even though I was the one who made the complaint against her!\Meaning that she had some kind of reason to target you.\But I don't even know her.\Knowing Le Wolfe, they could very well have something evil up their sleeve.\I wanted to fish around for some clues, but...\Right.\What's wrong? response:	Saya and Kirin's match... It's already started!
context: Even though I was the one who made the complaint against her!\Meaning that she had some kind of reason to target you.\But I don't even know her.\Knowing Le Wolfe, they could very well have something evil up their sleeve.\I wanted to fish around for some clues, but...\Right.\What's wrong?\Saya and Kirin's match... It's already started! response:	Just listen to the roar of the crowd!
context: Meaning that she had some kind of reason to target you.\But I don't even know her.\Knowing Le Wolfe, they could very well have something evil up their sleeve.\I wanted to fish around for some clues, but...\Right.\What's wrong?\Saya and Kirin's match... It's already started!\Just listen to the roar of the crowd! response:	And no wonder!
context: But I don't even know her.\Knowing Le Wolfe, they could very well have something evil up their sleeve.\I wanted to fish around for some clues, but...\Right.\What's wrong?\Saya and Kirin's match... It's already started!\Just listen to the roar of the crowd!\And no wonder! response:	She might've just lost her title the other day,
context: Knowing Le Wolfe, they could very well have something evil up their sleeve.\I wanted to fish around for some clues, but...\Right.\What's wrong?\Saya and Kirin's match... It's already started!\Just listen to the roar of the crowd!\And no wonder!\She might've just lost her title the other day, response:	but Ms. Toudou of Seidoukan Academy is the Super Rookie
context: I wanted to fish around for some clues, but...\Right.\What's wrong?\Saya and Kirin's match... It's already started!\Just listen to the roar of the crowd!\And no wonder!\She might've just lost her title the other day,\but Ms. Toudou of Seidoukan Academy is the Super Rookie response:	who reached Rank 1 as a junior high student!
context: Right.\What's wrong?\Saya and Kirin's match... It's already started!\Just listen to the roar of the crowd!\And no wonder!\She might've just lost her title the other day,\but Ms. Toudou of Seidoukan Academy is the Super Rookie\who reached Rank 1 as a junior high student! response:	Oh, wow!
context: What's wrong?\Saya and Kirin's match... It's already started!\Just listen to the roar of the crowd!\And no wonder!\She might've just lost her title the other day,\but Ms. Toudou of Seidoukan Academy is the Super Rookie\who reached Rank 1 as a junior high student!\Oh, wow! response:	Apparently, despite her slight stature, she's got an air of perfect composure...
context: Saya and Kirin's match... It's already started!\Just listen to the roar of the crowd!\And no wonder!\She might've just lost her title the other day,\but Ms. Toudou of Seidoukan Academy is the Super Rookie\who reached Rank 1 as a junior high student!\Oh, wow!\Apparently, despite her slight stature, she's got an air of perfect composure... response:	Nanna-yan, Nanna-yan... that one's Ms. Toudou!
context: Just listen to the roar of the crowd!\And no wonder!\She might've just lost her title the other day,\but Ms. Toudou of Seidoukan Academy is the Super Rookie\who reached Rank 1 as a junior high student!\Oh, wow!\Apparently, despite her slight stature, she's got an air of perfect composure...\Nanna-yan, Nanna-yan... that one's Ms. Toudou! response:	The little one is Saya Sasamiya!
context: And no wonder!\She might've just lost her title the other day,\but Ms. Toudou of Seidoukan Academy is the Super Rookie\who reached Rank 1 as a junior high student!\Oh, wow!\Apparently, despite her slight stature, she's got an air of perfect composure...\Nanna-yan, Nanna-yan... that one's Ms. Toudou!\The little one is Saya Sasamiya! response:	For real?
context: She might've just lost her title the other day,\but Ms. Toudou of Seidoukan Academy is the Super Rookie\who reached Rank 1 as a junior high student!\Oh, wow!\Apparently, despite her slight stature, she's got an air of perfect composure...\Nanna-yan, Nanna-yan... that one's Ms. Toudou!\The little one is Saya Sasamiya!\For real? response:	She's in high school? Well, someone's screwed!
context: but Ms. Toudou of Seidoukan Academy is the Super Rookie\who reached Rank 1 as a junior high student!\Oh, wow!\Apparently, despite her slight stature, she's got an air of perfect composure...\Nanna-yan, Nanna-yan... that one's Ms. Toudou!\The little one is Saya Sasamiya!\For real?\She's in high school? Well, someone's screwed! response:	Now that was a huge blunder...
context: who reached Rank 1 as a junior high student!\Oh, wow!\Apparently, despite her slight stature, she's got an air of perfect composure...\Nanna-yan, Nanna-yan... that one's Ms. Toudou!\The little one is Saya Sasamiya!\For real?\She's in high school? Well, someone's screwed!\Now that was a huge blunder... response:	And Ayato isn't here, either.
context: Oh, wow!\Apparently, despite her slight stature, she's got an air of perfect composure...\Nanna-yan, Nanna-yan... that one's Ms. Toudou!\The little one is Saya Sasamiya!\For real?\She's in high school? Well, someone's screwed!\Now that was a huge blunder...\And Ayato isn't here, either. response:	They said they're on their way.
context: Apparently, despite her slight stature, she's got an air of perfect composure...\Nanna-yan, Nanna-yan... that one's Ms. Toudou!\The little one is Saya Sasamiya!\For real?\She's in high school? Well, someone's screwed!\Now that was a huge blunder...\And Ayato isn't here, either.\They said they're on their way. response:	But anyway...
context: Nanna-yan, Nanna-yan... that one's Ms. Toudou!\The little one is Saya Sasamiya!\For real?\She's in high school? Well, someone's screwed!\Now that was a huge blunder...\And Ayato isn't here, either.\They said they're on their way.\But anyway... response:	They look quite competent, don't they?
context: The little one is Saya Sasamiya!\For real?\She's in high school? Well, someone's screwed!\Now that was a huge blunder...\And Ayato isn't here, either.\They said they're on their way.\But anyway...\They look quite competent, don't they? response:	Well, we'll figure it out.
context: For real?\She's in high school? Well, someone's screwed!\Now that was a huge blunder...\And Ayato isn't here, either.\They said they're on their way.\But anyway...\They look quite competent, don't they?\Well, we'll figure it out. response:	34-type Wave Motion Heavy Gun,
context: She's in high school? Well, someone's screwed!\Now that was a huge blunder...\And Ayato isn't here, either.\They said they're on their way.\But anyway...\They look quite competent, don't they?\Well, we'll figure it out.\34-type Wave Motion Heavy Gun, response:	Modified Arcwandels!
context: Now that was a huge blunder...\And Ayato isn't here, either.\They said they're on their way.\But anyway...\They look quite competent, don't they?\Well, we'll figure it out.\34-type Wave Motion Heavy Gun,\Modified Arcwandels! response:	Which do you want to take on?
context: And Ayato isn't here, either.\They said they're on their way.\But anyway...\They look quite competent, don't they?\Well, we'll figure it out.\34-type Wave Motion Heavy Gun,\Modified Arcwandels!\Which do you want to take on? response:	Whichever one, I don't mind.
context: They said they're on their way.\But anyway...\They look quite competent, don't they?\Well, we'll figure it out.\34-type Wave Motion Heavy Gun,\Modified Arcwandels!\Which do you want to take on?\Whichever one, I don't mind. response:	Then I'll take the bigger one.
context: But anyway...\They look quite competent, don't they?\Well, we'll figure it out.\34-type Wave Motion Heavy Gun,\Modified Arcwandels!\Which do you want to take on?\Whichever one, I don't mind.\Then I'll take the bigger one. response:	Roger that.
context: They look quite competent, don't they?\Well, we'll figure it out.\34-type Wave Motion Heavy Gun,\Modified Arcwandels!\Which do you want to take on?\Whichever one, I don't mind.\Then I'll take the bigger one.\Roger that. response:	Phoenix Festa, Block L, Round 1, Match 2...
context: Well, we'll figure it out.\34-type Wave Motion Heavy Gun,\Modified Arcwandels!\Which do you want to take on?\Whichever one, I don't mind.\Then I'll take the bigger one.\Roger that.\Phoenix Festa, Block L, Round 1, Match 2... response:	Let the battle begin!
context: 34-type Wave Motion Heavy Gun,\Modified Arcwandels!\Which do you want to take on?\Whichever one, I don't mind.\Then I'll take the bigger one.\Roger that.\Phoenix Festa, Block L, Round 1, Match 2...\Let the battle begin! response:	Badge broken.
context: Modified Arcwandels!\Which do you want to take on?\Whichever one, I don't mind.\Then I'll take the bigger one.\Roger that.\Phoenix Festa, Block L, Round 1, Match 2...\Let the battle begin!\Badge broken. response:	Well, that was over fast!
context: Which do you want to take on?\Whichever one, I don't mind.\Then I'll take the bigger one.\Roger that.\Phoenix Festa, Block L, Round 1, Match 2...\Let the battle begin!\Badge broken.\Well, that was over fast! response:	The winner of this fleeting battle is Ms. Toudou!
context: Whichever one, I don't mind.\Then I'll take the bigger one.\Roger that.\Phoenix Festa, Block L, Round 1, Match 2...\Let the battle begin!\Badge broken.\Well, that was over fast!\The winner of this fleeting battle is Ms. Toudou! response:	Nanna-yan! The little one's putting on a good show herself!
context: Then I'll take the bigger one.\Roger that.\Phoenix Festa, Block L, Round 1, Match 2...\Let the battle begin!\Badge broken.\Well, that was over fast!\The winner of this fleeting battle is Ms. Toudou!\Nanna-yan! The little one's putting on a good show herself! response:	What's going on here?
context: Roger that.\Phoenix Festa, Block L, Round 1, Match 2...\Let the battle begin!\Badge broken.\Well, that was over fast!\The winner of this fleeting battle is Ms. Toudou!\Nanna-yan! The little one's putting on a good show herself!\What's going on here? response:	Burst.
context: Phoenix Festa, Block L, Round 1, Match 2...\Let the battle begin!\Badge broken.\Well, that was over fast!\The winner of this fleeting battle is Ms. Toudou!\Nanna-yan! The little one's putting on a good show herself!\What's going on here?\Burst. response:	And it's over!
context: Let the battle begin!\Badge broken.\Well, that was over fast!\The winner of this fleeting battle is Ms. Toudou!\Nanna-yan! The little one's putting on a good show herself!\What's going on here?\Burst.\And it's over! response:	Winners, Saya Sasamiya and Kirin Toudou of Seidoukan Academy!
context: Badge broken.\Well, that was over fast!\The winner of this fleeting battle is Ms. Toudou!\Nanna-yan! The little one's putting on a good show herself!\What's going on here?\Burst.\And it's over!\Winners, Saya Sasamiya and Kirin Toudou of Seidoukan Academy! response:	So it's not as if the gun is just hard?
context: Well, that was over fast!\The winner of this fleeting battle is Ms. Toudou!\Nanna-yan! The little one's putting on a good show herself!\What's going on here?\Burst.\And it's over!\Winners, Saya Sasamiya and Kirin Toudou of Seidoukan Academy!\So it's not as if the gun is just hard? response:	Right.
context: The winner of this fleeting battle is Ms. Toudou!\Nanna-yan! The little one's putting on a good show herself!\What's going on here?\Burst.\And it's over!\Winners, Saya Sasamiya and Kirin Toudou of Seidoukan Academy!\So it's not as if the gun is just hard?\Right. response:	I've adapted it to use it as an energy field to suppress some of the output.
context: Nanna-yan! The little one's putting on a good show herself!\What's going on here?\Burst.\And it's over!\Winners, Saya Sasamiya and Kirin Toudou of Seidoukan Academy!\So it's not as if the gun is just hard?\Right.\I've adapted it to use it as an energy field to suppress some of the output. response:	So that's why you were able to withstand all that close combat.
context: What's going on here?\Burst.\And it's over!\Winners, Saya Sasamiya and Kirin Toudou of Seidoukan Academy!\So it's not as if the gun is just hard?\Right.\I've adapted it to use it as an energy field to suppress some of the output.\So that's why you were able to withstand all that close combat. response:	Yeah.
context: Burst.\And it's over!\Winners, Saya Sasamiya and Kirin Toudou of Seidoukan Academy!\So it's not as if the gun is just hard?\Right.\I've adapted it to use it as an energy field to suppress some of the output.\So that's why you were able to withstand all that close combat.\Yeah. response:	But it's not as if you're a student of the Amagiri Shinmei-style, right?
context: And it's over!\Winners, Saya Sasamiya and Kirin Toudou of Seidoukan Academy!\So it's not as if the gun is just hard?\Right.\I've adapted it to use it as an energy field to suppress some of the output.\So that's why you were able to withstand all that close combat.\Yeah.\But it's not as if you're a student of the Amagiri Shinmei-style, right? response:	I watch and learn.
context: Winners, Saya Sasamiya and Kirin Toudou of Seidoukan Academy!\So it's not as if the gun is just hard?\Right.\I've adapted it to use it as an energy field to suppress some of the output.\So that's why you were able to withstand all that close combat.\Yeah.\But it's not as if you're a student of the Amagiri Shinmei-style, right?\I watch and learn. response:	But yeah, Ayato did teach me a little.
context: So it's not as if the gun is just hard?\Right.\I've adapted it to use it as an energy field to suppress some of the output.\So that's why you were able to withstand all that close combat.\Yeah.\But it's not as if you're a student of the Amagiri Shinmei-style, right?\I watch and learn.\But yeah, Ayato did teach me a little. response:	I'm heading out now.
context: Right.\I've adapted it to use it as an energy field to suppress some of the output.\So that's why you were able to withstand all that close combat.\Yeah.\But it's not as if you're a student of the Amagiri Shinmei-style, right?\I watch and learn.\But yeah, Ayato did teach me a little.\I'm heading out now. response:	Oh, wait, you should dry yourself off properly!
context: I've adapted it to use it as an energy field to suppress some of the output.\So that's why you were able to withstand all that close combat.\Yeah.\But it's not as if you're a student of the Amagiri Shinmei-style, right?\I watch and learn.\But yeah, Ayato did teach me a little.\I'm heading out now.\Oh, wait, you should dry yourself off properly! response:	Wh-What is it?
context: So that's why you were able to withstand all that close combat.\Yeah.\But it's not as if you're a student of the Amagiri Shinmei-style, right?\I watch and learn.\But yeah, Ayato did teach me a little.\I'm heading out now.\Oh, wait, you should dry yourself off properly!\Wh-What is it? response:	What... what... what are you doing?
context: Yeah.\But it's not as if you're a student of the Amagiri Shinmei-style, right?\I watch and learn.\But yeah, Ayato did teach me a little.\I'm heading out now.\Oh, wait, you should dry yourself off properly!\Wh-What is it?\What... what... what are you doing? response:	Since ancient times, they say that massaging increasing the size of your breasts.
context: But it's not as if you're a student of the Amagiri Shinmei-style, right?\I watch and learn.\But yeah, Ayato did teach me a little.\I'm heading out now.\Oh, wait, you should dry yourself off properly!\Wh-What is it?\What... what... what are you doing?\Since ancient times, they say that massaging increasing the size of your breasts. response:	That couldn't be more wrong!
context: I watch and learn.\But yeah, Ayato did teach me a little.\I'm heading out now.\Oh, wait, you should dry yourself off properly!\Wh-What is it?\What... what... what are you doing?\Since ancient times, they say that massaging increasing the size of your breasts.\That couldn't be more wrong! response:	No fair.
context: But yeah, Ayato did teach me a little.\I'm heading out now.\Oh, wait, you should dry yourself off properly!\Wh-What is it?\What... what... what are you doing?\Since ancient times, they say that massaging increasing the size of your breasts.\That couldn't be more wrong!\No fair. response:	But what can I do?
context: I'm heading out now.\Oh, wait, you should dry yourself off properly!\Wh-What is it?\What... what... what are you doing?\Since ancient times, they say that massaging increasing the size of your breasts.\That couldn't be more wrong!\No fair.\But what can I do? response:	Sorry we got here late.
context: Oh, wait, you should dry yourself off properly!\Wh-What is it?\What... what... what are you doing?\Since ancient times, they say that massaging increasing the size of your breasts.\That couldn't be more wrong!\No fair.\But what can I do?\Sorry we got here late. response:	W-We're very sorry, but could you please wait just a bit?
context: Wh-What is it?\What... what... what are you doing?\Since ancient times, they say that massaging increasing the size of your breasts.\That couldn't be more wrong!\No fair.\But what can I do?\Sorry we got here late.\W-We're very sorry, but could you please wait just a bit? response:	You're finally here, huh?
context: What... what... what are you doing?\Since ancient times, they say that massaging increasing the size of your breasts.\That couldn't be more wrong!\No fair.\But what can I do?\Sorry we got here late.\W-We're very sorry, but could you please wait just a bit?\You're finally here, huh? response:	We really are sorry, but the match...
context: Since ancient times, they say that massaging increasing the size of your breasts.\That couldn't be more wrong!\No fair.\But what can I do?\Sorry we got here late.\W-We're very sorry, but could you please wait just a bit?\You're finally here, huh?\We really are sorry, but the match... response:	We won.
context: That couldn't be more wrong!\No fair.\But what can I do?\Sorry we got here late.\W-We're very sorry, but could you please wait just a bit?\You're finally here, huh?\We really are sorry, but the match...\We won. response:	DAY 5
context: No fair.\But what can I do?\Sorry we got here late.\W-We're very sorry, but could you please wait just a bit?\You're finally here, huh?\We really are sorry, but the match...\We won.\DAY 5 response:	All righty! Day 5 of the Phoenix Festa!
context: But what can I do?\Sorry we got here late.\W-We're very sorry, but could you please wait just a bit?\You're finally here, huh?\We really are sorry, but the match...\We won.\DAY 5\All righty! Day 5 of the Phoenix Festa! response:	Round 2 starts today!
context: Sorry we got here late.\W-We're very sorry, but could you please wait just a bit?\You're finally here, huh?\We really are sorry, but the match...\We won.\DAY 5\All righty! Day 5 of the Phoenix Festa!\Round 2 starts today! response:	Now, then...
context: W-We're very sorry, but could you please wait just a bit?\You're finally here, huh?\We really are sorry, but the match...\We won.\DAY 5\All righty! Day 5 of the Phoenix Festa!\Round 2 starts today!\Now, then... response:	I left everything to you in Round 1.
context: You're finally here, huh?\We really are sorry, but the match...\We won.\DAY 5\All righty! Day 5 of the Phoenix Festa!\Round 2 starts today!\Now, then...\I left everything to you in Round 1. response:	So now it's my turn!
context: We really are sorry, but the match...\We won.\DAY 5\All righty! Day 5 of the Phoenix Festa!\Round 2 starts today!\Now, then...\I left everything to you in Round 1.\So now it's my turn! response:	Gotcha!
context: We won.\DAY 5\All righty! Day 5 of the Phoenix Festa!\Round 2 starts today!\Now, then...\I left everything to you in Round 1.\So now it's my turn!\Gotcha! response:	Hello, everybody!
context: DAY 5\All righty! Day 5 of the Phoenix Festa!\Round 2 starts today!\Now, then...\I left everything to you in Round 1.\So now it's my turn!\Gotcha!\Hello, everybody! response:	We are from Queenvail, the school for goddesses!
context: All righty! Day 5 of the Phoenix Festa!\Round 2 starts today!\Now, then...\I left everything to you in Round 1.\So now it's my turn!\Gotcha!\Hello, everybody!\We are from Queenvail, the school for goddesses! response:	Ranked 37 and 54!
context: Round 2 starts today!\Now, then...\I left everything to you in Round 1.\So now it's my turn!\Gotcha!\Hello, everybody!\We are from Queenvail, the school for goddesses!\Ranked 37 and 54! response:	They call us Non-sugar!
context: Now, then...\I left everything to you in Round 1.\So now it's my turn!\Gotcha!\Hello, everybody!\We are from Queenvail, the school for goddesses!\Ranked 37 and 54!\They call us Non-sugar! response:	All of you... thank you!
context: I left everything to you in Round 1.\So now it's my turn!\Gotcha!\Hello, everybody!\We are from Queenvail, the school for goddesses!\Ranked 37 and 54!\They call us Non-sugar!\All of you... thank you! response:	We're going to do our best!
context: So now it's my turn!\Gotcha!\Hello, everybody!\We are from Queenvail, the school for goddesses!\Ranked 37 and 54!\They call us Non-sugar!\All of you... thank you!\We're going to do our best! response:	All right, let the battle begin!
context: Gotcha!\Hello, everybody!\We are from Queenvail, the school for goddesses!\Ranked 37 and 54!\They call us Non-sugar!\All of you... thank you!\We're going to do our best!\All right, let the battle begin! response:	Let's go!
context: Hello, everybody!\We are from Queenvail, the school for goddesses!\Ranked 37 and 54!\They call us Non-sugar!\All of you... thank you!\We're going to do our best!\All right, let the battle begin!\Let's go! response:	Flame of Torokia, scale the castle walls...
context: We are from Queenvail, the school for goddesses!\Ranked 37 and 54!\They call us Non-sugar!\All of you... thank you!\We're going to do our best!\All right, let the battle begin!\Let's go!\Flame of Torokia, scale the castle walls... response:	Burn down the Nine Scourges...
context: Ranked 37 and 54!\They call us Non-sugar!\All of you... thank you!\We're going to do our best!\All right, let the battle begin!\Let's go!\Flame of Torokia, scale the castle walls...\Burn down the Nine Scourges... response:	Burst into bloom, Primrose!
context: They call us Non-sugar!\All of you... thank you!\We're going to do our best!\All right, let the battle begin!\Let's go!\Flame of Torokia, scale the castle walls...\Burn down the Nine Scourges...\Burst into bloom, Primrose! response:	Badge broken.
context: All of you... thank you!\We're going to do our best!\All right, let the battle begin!\Let's go!\Flame of Torokia, scale the castle walls...\Burn down the Nine Scourges...\Burst into bloom, Primrose!\Badge broken. response:	Even I'm capable of this much...
context: We're going to do our best!\All right, let the battle begin!\Let's go!\Flame of Torokia, scale the castle walls...\Burn down the Nine Scourges...\Burst into bloom, Primrose!\Badge broken.\Even I'm capable of this much... response:	Come out... Semiserata!
context: All right, let the battle begin!\Let's go!\Flame of Torokia, scale the castle walls...\Burn down the Nine Scourges...\Burst into bloom, Primrose!\Badge broken.\Even I'm capable of this much...\Come out... Semiserata! response:	End of match!
context: Let's go!\Flame of Torokia, scale the castle walls...\Burn down the Nine Scourges...\Burst into bloom, Primrose!\Badge broken.\Even I'm capable of this much...\Come out... Semiserata!\End of match! response:	Ms. Riessfeld has seized victory through her rock-solid tactical game!
context: Flame of Torokia, scale the castle walls...\Burn down the Nine Scourges...\Burst into bloom, Primrose!\Badge broken.\Even I'm capable of this much...\Come out... Semiserata!\End of match!\Ms. Riessfeld has seized victory through her rock-solid tactical game! response:	Even as she attacked,
context: Burn down the Nine Scourges...\Burst into bloom, Primrose!\Badge broken.\Even I'm capable of this much...\Come out... Semiserata!\End of match!\Ms. Riessfeld has seized victory through her rock-solid tactical game!\Even as she attacked, response:	she was luring her opponent into a setting-type trap, huh?
context: Burst into bloom, Primrose!\Badge broken.\Even I'm capable of this much...\Come out... Semiserata!\End of match!\Ms. Riessfeld has seized victory through her rock-solid tactical game!\Even as she attacked,\she was luring her opponent into a setting-type trap, huh? response:	Well, I guess that does it.
context: Badge broken.\Even I'm capable of this much...\Come out... Semiserata!\End of match!\Ms. Riessfeld has seized victory through her rock-solid tactical game!\Even as she attacked,\she was luring her opponent into a setting-type trap, huh?\Well, I guess that does it. response:	Good job, Julis.
context: Even I'm capable of this much...\Come out... Semiserata!\End of match!\Ms. Riessfeld has seized victory through her rock-solid tactical game!\Even as she attacked,\she was luring her opponent into a setting-type trap, huh?\Well, I guess that does it.\Good job, Julis. response:	Well, not that I fought long enough for it to feel like a job.
context: Come out... Semiserata!\End of match!\Ms. Riessfeld has seized victory through her rock-solid tactical game!\Even as she attacked,\she was luring her opponent into a setting-type trap, huh?\Well, I guess that does it.\Good job, Julis.\Well, not that I fought long enough for it to feel like a job. response:	By the way, what are your plans for the rest of the day?
context: End of match!\Ms. Riessfeld has seized victory through her rock-solid tactical game!\Even as she attacked,\she was luring her opponent into a setting-type trap, huh?\Well, I guess that does it.\Good job, Julis.\Well, not that I fought long enough for it to feel like a job.\By the way, what are your plans for the rest of the day? response:	If I could, I'd like to go to Saya and Kirin's match to cheer them on, but...
context: Ms. Riessfeld has seized victory through her rock-solid tactical game!\Even as she attacked,\she was luring her opponent into a setting-type trap, huh?\Well, I guess that does it.\Good job, Julis.\Well, not that I fought long enough for it to feel like a job.\By the way, what are your plans for the rest of the day?\If I could, I'd like to go to Saya and Kirin's match to cheer them on, but... response:	By the time we reach the venue, it will be over, probably.
context: Even as she attacked,\she was luring her opponent into a setting-type trap, huh?\Well, I guess that does it.\Good job, Julis.\Well, not that I fought long enough for it to feel like a job.\By the way, what are your plans for the rest of the day?\If I could, I'd like to go to Saya and Kirin's match to cheer them on, but...\By the time we reach the venue, it will be over, probably. response:	A-And besides, we still haven't had lunch, right?
context: she was luring her opponent into a setting-type trap, huh?\Well, I guess that does it.\Good job, Julis.\Well, not that I fought long enough for it to feel like a job.\By the way, what are your plans for the rest of the day?\If I could, I'd like to go to Saya and Kirin's match to cheer them on, but...\By the time we reach the venue, it will be over, probably.\A-And besides, we still haven't had lunch, right? response:	Okay, then let's get that out of the way real quick...
context: Well, I guess that does it.\Good job, Julis.\Well, not that I fought long enough for it to feel like a job.\By the way, what are your plans for the rest of the day?\If I could, I'd like to go to Saya and Kirin's match to cheer them on, but...\By the time we reach the venue, it will be over, probably.\A-And besides, we still haven't had lunch, right?\Okay, then let's get that out of the way real quick... response:	Julis?
context: Good job, Julis.\Well, not that I fought long enough for it to feel like a job.\By the way, what are your plans for the rest of the day?\If I could, I'd like to go to Saya and Kirin's match to cheer them on, but...\By the time we reach the venue, it will be over, probably.\A-And besides, we still haven't had lunch, right?\Okay, then let's get that out of the way real quick...\Julis? response:	Actually, I... Um...
context: Well, not that I fought long enough for it to feel like a job.\By the way, what are your plans for the rest of the day?\If I could, I'd like to go to Saya and Kirin's match to cheer them on, but...\By the time we reach the venue, it will be over, probably.\A-And besides, we still haven't had lunch, right?\Okay, then let's get that out of the way real quick...\Julis?\Actually, I... Um... response:	Sandwiches, huh?
context: By the way, what are your plans for the rest of the day?\If I could, I'd like to go to Saya and Kirin's match to cheer them on, but...\By the time we reach the venue, it will be over, probably.\A-And besides, we still haven't had lunch, right?\Okay, then let's get that out of the way real quick...\Julis?\Actually, I... Um...\Sandwiches, huh? response:	Th-They're exceedingly simple.
context: If I could, I'd like to go to Saya and Kirin's match to cheer them on, but...\By the time we reach the venue, it will be over, probably.\A-And besides, we still haven't had lunch, right?\Okay, then let's get that out of the way real quick...\Julis?\Actually, I... Um...\Sandwiches, huh?\Th-They're exceedingly simple. response:	Don't get your hopes up too high!
context: By the time we reach the venue, it will be over, probably.\A-And besides, we still haven't had lunch, right?\Okay, then let's get that out of the way real quick...\Julis?\Actually, I... Um...\Sandwiches, huh?\Th-They're exceedingly simple.\Don't get your hopes up too high! response:	W-Well?
context: A-And besides, we still haven't had lunch, right?\Okay, then let's get that out of the way real quick...\Julis?\Actually, I... Um...\Sandwiches, huh?\Th-They're exceedingly simple.\Don't get your hopes up too high!\W-Well? response:	It's really good, Julis!
context: Okay, then let's get that out of the way real quick...\Julis?\Actually, I... Um...\Sandwiches, huh?\Th-They're exceedingly simple.\Don't get your hopes up too high!\W-Well?\It's really good, Julis! response:	You don't say!
context: Julis?\Actually, I... Um...\Sandwiches, huh?\Th-They're exceedingly simple.\Don't get your hopes up too high!\W-Well?\It's really good, Julis!\You don't say! response:	So you cook, too, Julis. I had no idea.
context: Actually, I... Um...\Sandwiches, huh?\Th-They're exceedingly simple.\Don't get your hopes up too high!\W-Well?\It's really good, Julis!\You don't say!\So you cook, too, Julis. I had no idea. response:	W-Well, this much I can handle.
context: Sandwiches, huh?\Th-They're exceedingly simple.\Don't get your hopes up too high!\W-Well?\It's really good, Julis!\You don't say!\So you cook, too, Julis. I had no idea.\W-Well, this much I can handle. response:	Aren't you having any, Julis?
context: Th-They're exceedingly simple.\Don't get your hopes up too high!\W-Well?\It's really good, Julis!\You don't say!\So you cook, too, Julis. I had no idea.\W-Well, this much I can handle.\Aren't you having any, Julis? response:	Well, of course I will, but...
