context: Number 18684, Sister Krone. response:	We hereby appoint you to be Mom for Plant Four?
context: Don?\Stay back!\Are you okay?\I'm fine!\Besides that, Ray...\That's right!\Gilda, let's go!\Is inspection canceled? Are we stopping Emma and Norman? response:	We're enforcing the inspection! We have to stop Mom!
context: Stay back!\Are you okay?\I'm fine!\Besides that, Ray...\That's right!\Gilda, let's go!\Is inspection canceled? Are we stopping Emma and Norman?\We're enforcing the inspection! We have to stop Mom! response:	Mom?
context: Are you okay?\I'm fine!\Besides that, Ray...\That's right!\Gilda, let's go!\Is inspection canceled? Are we stopping Emma and Norman?\We're enforcing the inspection! We have to stop Mom!\Mom? response:	This is now our only chance!
context: I'm fine!\Besides that, Ray...\That's right!\Gilda, let's go!\Is inspection canceled? Are we stopping Emma and Norman?\We're enforcing the inspection! We have to stop Mom!\Mom?\This is now our only chance! response:	We need to let them inspect no matter what, before Mom gets to them!
context: Besides that, Ray...\That's right!\Gilda, let's go!\Is inspection canceled? Are we stopping Emma and Norman?\We're enforcing the inspection! We have to stop Mom!\Mom?\This is now our only chance!\We need to let them inspect no matter what, before Mom gets to them! response:	Okay!
context: That's right!\Gilda, let's go!\Is inspection canceled? Are we stopping Emma and Norman?\We're enforcing the inspection! We have to stop Mom!\Mom?\This is now our only chance!\We need to let them inspect no matter what, before Mom gets to them!\Okay! response:	Emma.
context: Gilda, let's go!\Is inspection canceled? Are we stopping Emma and Norman?\We're enforcing the inspection! We have to stop Mom!\Mom?\This is now our only chance!\We need to let them inspect no matter what, before Mom gets to them!\Okay!\Emma. response:	Yeah.
context: Is inspection canceled? Are we stopping Emma and Norman?\We're enforcing the inspection! We have to stop Mom!\Mom?\This is now our only chance!\We need to let them inspect no matter what, before Mom gets to them!\Okay!\Emma.\Yeah. response:	Why...
context: We're enforcing the inspection! We have to stop Mom!\Mom?\This is now our only chance!\We need to let them inspect no matter what, before Mom gets to them!\Okay!\Emma.\Yeah.\Why... response:	Mom.
context: Mom?\This is now our only chance!\We need to let them inspect no matter what, before Mom gets to them!\Okay!\Emma.\Yeah.\Why...\Mom. response:	What's wrong?
context: This is now our only chance!\We need to let them inspect no matter what, before Mom gets to them!\Okay!\Emma.\Yeah.\Why...\Mom.\What's wrong? response:	Ten years.
context: We need to let them inspect no matter what, before Mom gets to them!\Okay!\Emma.\Yeah.\Why...\Mom.\What's wrong?\Ten years. response:	We've been living together for ten years,
context: Okay!\Emma.\Yeah.\Why...\Mom.\What's wrong?\Ten years.\We've been living together for ten years, response:	but this is the first time talking to you without the acting.
context: Emma.\Yeah.\Why...\Mom.\What's wrong?\Ten years.\We've been living together for ten years,\but this is the first time talking to you without the acting. response:	Nice to meet you, Emma. Nice to meet you, Norman.
context: Yeah.\Why...\Mom.\What's wrong?\Ten years.\We've been living together for ten years,\but this is the first time talking to you without the acting.\Nice to meet you, Emma. Nice to meet you, Norman. response:	Come on, please be at ease.
context: Why...\Mom.\What's wrong?\Ten years.\We've been living together for ten years,\but this is the first time talking to you without the acting.\Nice to meet you, Emma. Nice to meet you, Norman.\Come on, please be at ease. response:	Don't worry. It's just us.
context: Mom.\What's wrong?\Ten years.\We've been living together for ten years,\but this is the first time talking to you without the acting.\Nice to meet you, Emma. Nice to meet you, Norman.\Come on, please be at ease.\Don't worry. It's just us. response:	No one else is here.
context: What's wrong?\Ten years.\We've been living together for ten years,\but this is the first time talking to you without the acting.\Nice to meet you, Emma. Nice to meet you, Norman.\Come on, please be at ease.\Don't worry. It's just us.\No one else is here. response:	You don't have to pretend to be good kids who don't know anything.
context: Ten years.\We've been living together for ten years,\but this is the first time talking to you without the acting.\Nice to meet you, Emma. Nice to meet you, Norman.\Come on, please be at ease.\Don't worry. It's just us.\No one else is here.\You don't have to pretend to be good kids who don't know anything. response:	Right now, it's just the caretaker and the children meant to be food.
context: We've been living together for ten years,\but this is the first time talking to you without the acting.\Nice to meet you, Emma. Nice to meet you, Norman.\Come on, please be at ease.\Don't worry. It's just us.\No one else is here.\You don't have to pretend to be good kids who don't know anything.\Right now, it's just the caretaker and the children meant to be food. response:	But please don't misunderstand.
context: but this is the first time talking to you without the acting.\Nice to meet you, Emma. Nice to meet you, Norman.\Come on, please be at ease.\Don't worry. It's just us.\No one else is here.\You don't have to pretend to be good kids who don't know anything.\Right now, it's just the caretaker and the children meant to be food.\But please don't misunderstand. response:	I love you children.
context: Nice to meet you, Emma. Nice to meet you, Norman.\Come on, please be at ease.\Don't worry. It's just us.\No one else is here.\You don't have to pretend to be good kids who don't know anything.\Right now, it's just the caretaker and the children meant to be food.\But please don't misunderstand.\I love you children. response:	I adore you. Truly.
context: Come on, please be at ease.\Don't worry. It's just us.\No one else is here.\You don't have to pretend to be good kids who don't know anything.\Right now, it's just the caretaker and the children meant to be food.\But please don't misunderstand.\I love you children.\I adore you. Truly. response:	I love you as if you were my own children.
context: Don't worry. It's just us.\No one else is here.\You don't have to pretend to be good kids who don't know anything.\Right now, it's just the caretaker and the children meant to be food.\But please don't misunderstand.\I love you children.\I adore you. Truly.\I love you as if you were my own children. response:	And that's why I'm here. I want you to give up.
context: No one else is here.\You don't have to pretend to be good kids who don't know anything.\Right now, it's just the caretaker and the children meant to be food.\But please don't misunderstand.\I love you children.\I adore you. Truly.\I love you as if you were my own children.\And that's why I'm here. I want you to give up. response:	Give up?
context: You don't have to pretend to be good kids who don't know anything.\Right now, it's just the caretaker and the children meant to be food.\But please don't misunderstand.\I love you children.\I adore you. Truly.\I love you as if you were my own children.\And that's why I'm here. I want you to give up.\Give up? response:	Give up what?
context: Right now, it's just the caretaker and the children meant to be food.\But please don't misunderstand.\I love you children.\I adore you. Truly.\I love you as if you were my own children.\And that's why I'm here. I want you to give up.\Give up?\Give up what? response:	Give up resisting.
context: But please don't misunderstand.\I love you children.\I adore you. Truly.\I love you as if you were my own children.\And that's why I'm here. I want you to give up.\Give up?\Give up what?\Give up resisting. response:	Because I love you, I don't want you to suffer.
context: I love you children.\I adore you. Truly.\I love you as if you were my own children.\And that's why I'm here. I want you to give up.\Give up?\Give up what?\Give up resisting.\Because I love you, I don't want you to suffer. response:	I don't want to have to make you all suffer.
context: I adore you. Truly.\I love you as if you were my own children.\And that's why I'm here. I want you to give up.\Give up?\Give up what?\Give up resisting.\Because I love you, I don't want you to suffer.\I don't want to have to make you all suffer. response:	It's a happy life, isn't it?
context: I love you as if you were my own children.\And that's why I'm here. I want you to give up.\Give up?\Give up what?\Give up resisting.\Because I love you, I don't want you to suffer.\I don't want to have to make you all suffer.\It's a happy life, isn't it? response:	A warm home filled with love and delicious food.
context: And that's why I'm here. I want you to give up.\Give up?\Give up what?\Give up resisting.\Because I love you, I don't want you to suffer.\I don't want to have to make you all suffer.\It's a happy life, isn't it?\A warm home filled with love and delicious food. response:	Without knowing hunger, coldness, or the truth, you can die with a satisfied feeling.
context: Give up?\Give up what?\Give up resisting.\Because I love you, I don't want you to suffer.\I don't want to have to make you all suffer.\It's a happy life, isn't it?\A warm home filled with love and delicious food.\Without knowing hunger, coldness, or the truth, you can die with a satisfied feeling. response:	What part of that is unhappy?
context: Give up what?\Give up resisting.\Because I love you, I don't want you to suffer.\I don't want to have to make you all suffer.\It's a happy life, isn't it?\A warm home filled with love and delicious food.\Without knowing hunger, coldness, or the truth, you can die with a satisfied feeling.\What part of that is unhappy? response:	A happy life?
context: Give up resisting.\Because I love you, I don't want you to suffer.\I don't want to have to make you all suffer.\It's a happy life, isn't it?\A warm home filled with love and delicious food.\Without knowing hunger, coldness, or the truth, you can die with a satisfied feeling.\What part of that is unhappy?\A happy life? response:	Is the happiness you speak of similar to the end that Conny met?
context: Because I love you, I don't want you to suffer.\I don't want to have to make you all suffer.\It's a happy life, isn't it?\A warm home filled with love and delicious food.\Without knowing hunger, coldness, or the truth, you can die with a satisfied feeling.\What part of that is unhappy?\A happy life?\Is the happiness you speak of similar to the end that Conny met? response:	Death happens in an instant.
context: I don't want to have to make you all suffer.\It's a happy life, isn't it?\A warm home filled with love and delicious food.\Without knowing hunger, coldness, or the truth, you can die with a satisfied feeling.\What part of that is unhappy?\A happy life?\Is the happiness you speak of similar to the end that Conny met?\Death happens in an instant. response:	Until that moment, Conny lived a rich life full of smiles.
context: It's a happy life, isn't it?\A warm home filled with love and delicious food.\Without knowing hunger, coldness, or the truth, you can die with a satisfied feeling.\What part of that is unhappy?\A happy life?\Is the happiness you speak of similar to the end that Conny met?\Death happens in an instant.\Until that moment, Conny lived a rich life full of smiles. response:	I don't need any fake smiles!
context: A warm home filled with love and delicious food.\Without knowing hunger, coldness, or the truth, you can die with a satisfied feeling.\What part of that is unhappy?\A happy life?\Is the happiness you speak of similar to the end that Conny met?\Death happens in an instant.\Until that moment, Conny lived a rich life full of smiles.\I don't need any fake smiles! response:	Even if I suffer, I will live freely!
context: Without knowing hunger, coldness, or the truth, you can die with a satisfied feeling.\What part of that is unhappy?\A happy life?\Is the happiness you speak of similar to the end that Conny met?\Death happens in an instant.\Until that moment, Conny lived a rich life full of smiles.\I don't need any fake smiles!\Even if I suffer, I will live freely! response:	I will decide for myself what happiness is!
context: What part of that is unhappy?\A happy life?\Is the happiness you speak of similar to the end that Conny met?\Death happens in an instant.\Until that moment, Conny lived a rich life full of smiles.\I don't need any fake smiles!\Even if I suffer, I will live freely!\I will decide for myself what happiness is! response:	Emma.
context: A happy life?\Is the happiness you speak of similar to the end that Conny met?\Death happens in an instant.\Until that moment, Conny lived a rich life full of smiles.\I don't need any fake smiles!\Even if I suffer, I will live freely!\I will decide for myself what happiness is!\Emma. response:	Norman.
context: Is the happiness you speak of similar to the end that Conny met?\Death happens in an instant.\Until that moment, Conny lived a rich life full of smiles.\I don't need any fake smiles!\Even if I suffer, I will live freely!\I will decide for myself what happiness is!\Emma.\Norman. response:	It's impossible to escape.
context: Death happens in an instant.\Until that moment, Conny lived a rich life full of smiles.\I don't need any fake smiles!\Even if I suffer, I will live freely!\I will decide for myself what happiness is!\Emma.\Norman.\It's impossible to escape. response:	It's dangerous outside, too.
context: Until that moment, Conny lived a rich life full of smiles.\I don't need any fake smiles!\Even if I suffer, I will live freely!\I will decide for myself what happiness is!\Emma.\Norman.\It's impossible to escape.\It's dangerous outside, too. response:	It's full of despair.
context: I don't need any fake smiles!\Even if I suffer, I will live freely!\I will decide for myself what happiness is!\Emma.\Norman.\It's impossible to escape.\It's dangerous outside, too.\It's full of despair. response:	Okay? Let's all live together happily inside our home.
context: Even if I suffer, I will live freely!\I will decide for myself what happiness is!\Emma.\Norman.\It's impossible to escape.\It's dangerous outside, too.\It's full of despair.\Okay? Let's all live together happily inside our home. response:	Until the end, when your time runs out.
context: I will decide for myself what happiness is!\Emma.\Norman.\It's impossible to escape.\It's dangerous outside, too.\It's full of despair.\Okay? Let's all live together happily inside our home.\Until the end, when your time runs out. response:	I want the five of you to be happy.
context: Emma.\Norman.\It's impossible to escape.\It's dangerous outside, too.\It's full of despair.\Okay? Let's all live together happily inside our home.\Until the end, when your time runs out.\I want the five of you to be happy. response:	Five? Not three?
context: Norman.\It's impossible to escape.\It's dangerous outside, too.\It's full of despair.\Okay? Let's all live together happily inside our home.\Until the end, when your time runs out.\I want the five of you to be happy.\Five? Not three? response:	Okay, Mom.
context: It's impossible to escape.\It's dangerous outside, too.\It's full of despair.\Okay? Let's all live together happily inside our home.\Until the end, when your time runs out.\I want the five of you to be happy.\Five? Not three?\Okay, Mom. response:	I'll quit being a good boy.
context: It's dangerous outside, too.\It's full of despair.\Okay? Let's all live together happily inside our home.\Until the end, when your time runs out.\I want the five of you to be happy.\Five? Not three?\Okay, Mom.\I'll quit being a good boy. response:	Go, Norman!
context: It's full of despair.\Okay? Let's all live together happily inside our home.\Until the end, when your time runs out.\I want the five of you to be happy.\Five? Not three?\Okay, Mom.\I'll quit being a good boy.\Go, Norman! response:	Emma!
context: Okay? Let's all live together happily inside our home.\Until the end, when your time runs out.\I want the five of you to be happy.\Five? Not three?\Okay, Mom.\I'll quit being a good boy.\Go, Norman!\Emma! response:	There, there. It's okay.
context: Until the end, when your time runs out.\I want the five of you to be happy.\Five? Not three?\Okay, Mom.\I'll quit being a good boy.\Go, Norman!\Emma!\There, there. It's okay. response:	It doesn't hurt. It doesn't hurt.
context: I want the five of you to be happy.\Five? Not three?\Okay, Mom.\I'll quit being a good boy.\Go, Norman!\Emma!\There, there. It's okay.\It doesn't hurt. It doesn't hurt. response:	You poor thing. My adorable Emma.
context: Five? Not three?\Okay, Mom.\I'll quit being a good boy.\Go, Norman!\Emma!\There, there. It's okay.\It doesn't hurt. It doesn't hurt.\You poor thing. My adorable Emma. response:	That's why I said to give up.
context: Okay, Mom.\I'll quit being a good boy.\Go, Norman!\Emma!\There, there. It's okay.\It doesn't hurt. It doesn't hurt.\You poor thing. My adorable Emma.\That's why I said to give up. response:	But you haven't hugged me in a while, so that made me happy.
context: I'll quit being a good boy.\Go, Norman!\Emma!\There, there. It's okay.\It doesn't hurt. It doesn't hurt.\You poor thing. My adorable Emma.\That's why I said to give up.\But you haven't hugged me in a while, so that made me happy. response:	Norman, you realized it too. That's wonderful.
context: Go, Norman!\Emma!\There, there. It's okay.\It doesn't hurt. It doesn't hurt.\You poor thing. My adorable Emma.\That's why I said to give up.\But you haven't hugged me in a while, so that made me happy.\Norman, you realized it too. That's wonderful. response:	That's right. I'll control you until the end.
context: Emma!\There, there. It's okay.\It doesn't hurt. It doesn't hurt.\You poor thing. My adorable Emma.\That's why I said to give up.\But you haven't hugged me in a while, so that made me happy.\Norman, you realized it too. That's wonderful.\That's right. I'll control you until the end. response:	That's how special you are.
context: There, there. It's okay.\It doesn't hurt. It doesn't hurt.\You poor thing. My adorable Emma.\That's why I said to give up.\But you haven't hugged me in a while, so that made me happy.\Norman, you realized it too. That's wonderful.\That's right. I'll control you until the end.\That's how special you are. response:	A special meal that only a special One can eat.
context: It doesn't hurt. It doesn't hurt.\You poor thing. My adorable Emma.\That's why I said to give up.\But you haven't hugged me in a while, so that made me happy.\Norman, you realized it too. That's wonderful.\That's right. I'll control you until the end.\That's how special you are.\A special meal that only a special One can eat. response:	The highest quality children that I have raised.
context: You poor thing. My adorable Emma.\That's why I said to give up.\But you haven't hugged me in a while, so that made me happy.\Norman, you realized it too. That's wonderful.\That's right. I'll control you until the end.\That's how special you are.\A special meal that only a special One can eat.\The highest quality children that I have raised. response:	Then...
context: That's why I said to give up.\But you haven't hugged me in a while, so that made me happy.\Norman, you realized it too. That's wonderful.\That's right. I'll control you until the end.\That's how special you are.\A special meal that only a special One can eat.\The highest quality children that I have raised.\Then... response:	That's why I have to protect you. No matter what.
context: But you haven't hugged me in a while, so that made me happy.\Norman, you realized it too. That's wonderful.\That's right. I'll control you until the end.\That's how special you are.\A special meal that only a special One can eat.\The highest quality children that I have raised.\Then...\That's why I have to protect you. No matter what. response:	I had to do this because you weren't going to give up.
context: Norman, you realized it too. That's wonderful.\That's right. I'll control you until the end.\That's how special you are.\A special meal that only a special One can eat.\The highest quality children that I have raised.\Then...\That's why I have to protect you. No matter what.\I had to do this because you weren't going to give up. response:	Mom!
context: That's right. I'll control you until the end.\That's how special you are.\A special meal that only a special One can eat.\The highest quality children that I have raised.\Then...\That's why I have to protect you. No matter what.\I had to do this because you weren't going to give up.\Mom! response:	Mom, what happened to Emma?
context: That's how special you are.\A special meal that only a special One can eat.\The highest quality children that I have raised.\Then...\That's why I have to protect you. No matter what.\I had to do this because you weren't going to give up.\Mom!\Mom, what happened to Emma? response:	Did she get hurt?
context: A special meal that only a special One can eat.\The highest quality children that I have raised.\Then...\That's why I have to protect you. No matter what.\I had to do this because you weren't going to give up.\Mom!\Mom, what happened to Emma?\Did she get hurt? response:	Hey.
context: The highest quality children that I have raised.\Then...\That's why I have to protect you. No matter what.\I had to do this because you weren't going to give up.\Mom!\Mom, what happened to Emma?\Did she get hurt?\Hey. response:	You can't move for a while now.
context: Then...\That's why I have to protect you. No matter what.\I had to do this because you weren't going to give up.\Mom!\Mom, what happened to Emma?\Did she get hurt?\Hey.\You can't move for a while now. response:	Tomorrow?
context: That's why I have to protect you. No matter what.\I had to do this because you weren't going to give up.\Mom!\Mom, what happened to Emma?\Did she get hurt?\Hey.\You can't move for a while now.\Tomorrow? response:	Yes, tomorrow.
context: I had to do this because you weren't going to give up.\Mom!\Mom, what happened to Emma?\Did she get hurt?\Hey.\You can't move for a while now.\Tomorrow?\Yes, tomorrow. response:	Stay put and celebrate, Emma.
context: Mom!\Mom, what happened to Emma?\Did she get hurt?\Hey.\You can't move for a while now.\Tomorrow?\Yes, tomorrow.\Stay put and celebrate, Emma. response:	I got a notice from the higher-ups.
context: Mom, what happened to Emma?\Did she get hurt?\Hey.\You can't move for a while now.\Tomorrow?\Yes, tomorrow.\Stay put and celebrate, Emma.\I got a notice from the higher-ups. response:	Congratulations, Norman.
context: Did she get hurt?\Hey.\You can't move for a while now.\Tomorrow?\Yes, tomorrow.\Stay put and celebrate, Emma.\I got a notice from the higher-ups.\Congratulations, Norman. response:	Your shipment date has been set.
