context: After an utterly impartial drawing, response:	it has been decided that the role of Romeo will go to Raku, while Onodera-san will be Juliet!
context: Damn it! Oh, forget her! I don't care about her!\I've got Onodera already.\You can't just shame her, can you?\All right, I'm gonna break a leg if I have to!\O Juliet! I love no one but you!\No, Onodera...\The next line is, And I you, Romeo!\R-Right, that's my line! Sorry! response:	What am I going to do? The second I found out that I was wrong about the photo,
context: I've got Onodera already.\You can't just shame her, can you?\All right, I'm gonna break a leg if I have to!\O Juliet! I love no one but you!\No, Onodera...\The next line is, And I you, Romeo!\R-Right, that's my line! Sorry!\What am I going to do? The second I found out that I was wrong about the photo, response:	I couldn't help but feel really self-conscious.
context: You can't just shame her, can you?\All right, I'm gonna break a leg if I have to!\O Juliet! I love no one but you!\No, Onodera...\The next line is, And I you, Romeo!\R-Right, that's my line! Sorry!\What am I going to do? The second I found out that I was wrong about the photo,\I couldn't help but feel really self-conscious. response:	An idiot among idiots...
context: All right, I'm gonna break a leg if I have to!\O Juliet! I love no one but you!\No, Onodera...\The next line is, And I you, Romeo!\R-Right, that's my line! Sorry!\What am I going to do? The second I found out that I was wrong about the photo,\I couldn't help but feel really self-conscious.\An idiot among idiots... response:	All right, then, let's take it from the top!
context: O Juliet! I love no one but you!\No, Onodera...\The next line is, And I you, Romeo!\R-Right, that's my line! Sorry!\What am I going to do? The second I found out that I was wrong about the photo,\I couldn't help but feel really self-conscious.\An idiot among idiots...\All right, then, let's take it from the top! response:	O Juliet, there is no longer anyone in my eyes but you.
context: No, Onodera...\The next line is, And I you, Romeo!\R-Right, that's my line! Sorry!\What am I going to do? The second I found out that I was wrong about the photo,\I couldn't help but feel really self-conscious.\An idiot among idiots...\All right, then, let's take it from the top!\O Juliet, there is no longer anyone in my eyes but you. response:	My, I'm overjoyed to hear that!
context: The next line is, And I you, Romeo!\R-Right, that's my line! Sorry!\What am I going to do? The second I found out that I was wrong about the photo,\I couldn't help but feel really self-conscious.\An idiot among idiots...\All right, then, let's take it from the top!\O Juliet, there is no longer anyone in my eyes but you.\My, I'm overjoyed to hear that! response:	Likewise, Romeo-sama. Let us marry without further delay!
context: R-Right, that's my line! Sorry!\What am I going to do? The second I found out that I was wrong about the photo,\I couldn't help but feel really self-conscious.\An idiot among idiots...\All right, then, let's take it from the top!\O Juliet, there is no longer anyone in my eyes but you.\My, I'm overjoyed to hear that!\Likewise, Romeo-sama. Let us marry without further delay! response:	Argh! Damn it, Tachibana, how many times are you going to interrupt?
context: What am I going to do? The second I found out that I was wrong about the photo,\I couldn't help but feel really self-conscious.\An idiot among idiots...\All right, then, let's take it from the top!\O Juliet, there is no longer anyone in my eyes but you.\My, I'm overjoyed to hear that!\Likewise, Romeo-sama. Let us marry without further delay!\Argh! Damn it, Tachibana, how many times are you going to interrupt? response:	Oh, my. I'm disrupting you? Far from it!
context: I couldn't help but feel really self-conscious.\An idiot among idiots...\All right, then, let's take it from the top!\O Juliet, there is no longer anyone in my eyes but you.\My, I'm overjoyed to hear that!\Likewise, Romeo-sama. Let us marry without further delay!\Argh! Damn it, Tachibana, how many times are you going to interrupt?\Oh, my. I'm disrupting you? Far from it! response:	Recall that I'm Juliet's understudy. As such, I must get my practice in!
context: An idiot among idiots...\All right, then, let's take it from the top!\O Juliet, there is no longer anyone in my eyes but you.\My, I'm overjoyed to hear that!\Likewise, Romeo-sama. Let us marry without further delay!\Argh! Damn it, Tachibana, how many times are you going to interrupt?\Oh, my. I'm disrupting you? Far from it!\Recall that I'm Juliet's understudy. As such, I must get my practice in! response:	That doesn't give you the right to butt into Onodera's rehearsals.
context: All right, then, let's take it from the top!\O Juliet, there is no longer anyone in my eyes but you.\My, I'm overjoyed to hear that!\Likewise, Romeo-sama. Let us marry without further delay!\Argh! Damn it, Tachibana, how many times are you going to interrupt?\Oh, my. I'm disrupting you? Far from it!\Recall that I'm Juliet's understudy. As such, I must get my practice in!\That doesn't give you the right to butt into Onodera's rehearsals. response:	Not to mention, all the lines you're spewing are wrong.
context: O Juliet, there is no longer anyone in my eyes but you.\My, I'm overjoyed to hear that!\Likewise, Romeo-sama. Let us marry without further delay!\Argh! Damn it, Tachibana, how many times are you going to interrupt?\Oh, my. I'm disrupting you? Far from it!\Recall that I'm Juliet's understudy. As such, I must get my practice in!\That doesn't give you the right to butt into Onodera's rehearsals.\Not to mention, all the lines you're spewing are wrong. response:	This is a tragedy about two hostile families whose respective heirs fall in love,
context: My, I'm overjoyed to hear that!\Likewise, Romeo-sama. Let us marry without further delay!\Argh! Damn it, Tachibana, how many times are you going to interrupt?\Oh, my. I'm disrupting you? Far from it!\Recall that I'm Juliet's understudy. As such, I must get my practice in!\That doesn't give you the right to butt into Onodera's rehearsals.\Not to mention, all the lines you're spewing are wrong.\This is a tragedy about two hostile families whose respective heirs fall in love, response:	but aren't allowed to get married, you know!
context: Likewise, Romeo-sama. Let us marry without further delay!\Argh! Damn it, Tachibana, how many times are you going to interrupt?\Oh, my. I'm disrupting you? Far from it!\Recall that I'm Juliet's understudy. As such, I must get my practice in!\That doesn't give you the right to butt into Onodera's rehearsals.\Not to mention, all the lines you're spewing are wrong.\This is a tragedy about two hostile families whose respective heirs fall in love,\but aren't allowed to get married, you know! response:	Well! That's exactly like our own situation!
context: Argh! Damn it, Tachibana, how many times are you going to interrupt?\Oh, my. I'm disrupting you? Far from it!\Recall that I'm Juliet's understudy. As such, I must get my practice in!\That doesn't give you the right to butt into Onodera's rehearsals.\Not to mention, all the lines you're spewing are wrong.\This is a tragedy about two hostile families whose respective heirs fall in love,\but aren't allowed to get married, you know!\Well! That's exactly like our own situation! response:	But worry not, Raku-sama!
context: Oh, my. I'm disrupting you? Far from it!\Recall that I'm Juliet's understudy. As such, I must get my practice in!\That doesn't give you the right to butt into Onodera's rehearsals.\Not to mention, all the lines you're spewing are wrong.\This is a tragedy about two hostile families whose respective heirs fall in love,\but aren't allowed to get married, you know!\Well! That's exactly like our own situation!\But worry not, Raku-sama! response:	Our families both approve of our union,
context: Recall that I'm Juliet's understudy. As such, I must get my practice in!\That doesn't give you the right to butt into Onodera's rehearsals.\Not to mention, all the lines you're spewing are wrong.\This is a tragedy about two hostile families whose respective heirs fall in love,\but aren't allowed to get married, you know!\Well! That's exactly like our own situation!\But worry not, Raku-sama!\Our families both approve of our union, response:	so if you were only willing to...
context: That doesn't give you the right to butt into Onodera's rehearsals.\Not to mention, all the lines you're spewing are wrong.\This is a tragedy about two hostile families whose respective heirs fall in love,\but aren't allowed to get married, you know!\Well! That's exactly like our own situation!\But worry not, Raku-sama!\Our families both approve of our union,\so if you were only willing to... response:	I told you not to make such bold declarations in public!
context: Not to mention, all the lines you're spewing are wrong.\This is a tragedy about two hostile families whose respective heirs fall in love,\but aren't allowed to get married, you know!\Well! That's exactly like our own situation!\But worry not, Raku-sama!\Our families both approve of our union,\so if you were only willing to...\I told you not to make such bold declarations in public! response:	You'll cause trouble for me!
context: This is a tragedy about two hostile families whose respective heirs fall in love,\but aren't allowed to get married, you know!\Well! That's exactly like our own situation!\But worry not, Raku-sama!\Our families both approve of our union,\so if you were only willing to...\I told you not to make such bold declarations in public!\You'll cause trouble for me! response:	You vixen! You better back off!
context: but aren't allowed to get married, you know!\Well! That's exactly like our own situation!\But worry not, Raku-sama!\Our families both approve of our union,\so if you were only willing to...\I told you not to make such bold declarations in public!\You'll cause trouble for me!\You vixen! You better back off! response:	I've told you repeatedly that he's Mistress's boyfriend!
context: Well! That's exactly like our own situation!\But worry not, Raku-sama!\Our families both approve of our union,\so if you were only willing to...\I told you not to make such bold declarations in public!\You'll cause trouble for me!\You vixen! You better back off!\I've told you repeatedly that he's Mistress's boyfriend! response:	Oh, but that hardly matters now, does it?
context: But worry not, Raku-sama!\Our families both approve of our union,\so if you were only willing to...\I told you not to make such bold declarations in public!\You'll cause trouble for me!\You vixen! You better back off!\I've told you repeatedly that he's Mistress's boyfriend!\Oh, but that hardly matters now, does it? response:	After all, she's not playing Juliet.
context: Our families both approve of our union,\so if you were only willing to...\I told you not to make such bold declarations in public!\You'll cause trouble for me!\You vixen! You better back off!\I've told you repeatedly that he's Mistress's boyfriend!\Oh, but that hardly matters now, does it?\After all, she's not playing Juliet. response:	All we need now is...
context: so if you were only willing to...\I told you not to make such bold declarations in public!\You'll cause trouble for me!\You vixen! You better back off!\I've told you repeatedly that he's Mistress's boyfriend!\Oh, but that hardly matters now, does it?\After all, she's not playing Juliet.\All we need now is... response:	Did we have enough cloth?
context: I told you not to make such bold declarations in public!\You'll cause trouble for me!\You vixen! You better back off!\I've told you repeatedly that he's Mistress's boyfriend!\Oh, but that hardly matters now, does it?\After all, she's not playing Juliet.\All we need now is...\Did we have enough cloth? response:	Umm, yeah, I think we're good.
context: You'll cause trouble for me!\You vixen! You better back off!\I've told you repeatedly that he's Mistress's boyfriend!\Oh, but that hardly matters now, does it?\After all, she's not playing Juliet.\All we need now is...\Did we have enough cloth?\Umm, yeah, I think we're good. response:	Hey, we need Scotch tape!
context: You vixen! You better back off!\I've told you repeatedly that he's Mistress's boyfriend!\Oh, but that hardly matters now, does it?\After all, she's not playing Juliet.\All we need now is...\Did we have enough cloth?\Umm, yeah, I think we're good.\Hey, we need Scotch tape! response:	Oh, crap! I made up my mind not to think about her.
context: I've told you repeatedly that he's Mistress's boyfriend!\Oh, but that hardly matters now, does it?\After all, she's not playing Juliet.\All we need now is...\Did we have enough cloth?\Umm, yeah, I think we're good.\Hey, we need Scotch tape!\Oh, crap! I made up my mind not to think about her. response:	Oh, that should be enough!
context: Oh, but that hardly matters now, does it?\After all, she's not playing Juliet.\All we need now is...\Did we have enough cloth?\Umm, yeah, I think we're good.\Hey, we need Scotch tape!\Oh, crap! I made up my mind not to think about her.\Oh, that should be enough! response:	Oh, I guess it should!
context: After all, she's not playing Juliet.\All we need now is...\Did we have enough cloth?\Umm, yeah, I think we're good.\Hey, we need Scotch tape!\Oh, crap! I made up my mind not to think about her.\Oh, that should be enough!\Oh, I guess it should! response:	I'm gonna focus on the play.
context: All we need now is...\Did we have enough cloth?\Umm, yeah, I think we're good.\Hey, we need Scotch tape!\Oh, crap! I made up my mind not to think about her.\Oh, that should be enough!\Oh, I guess it should!\I'm gonna focus on the play. response:	All right, why don't we call it a day!
context: Did we have enough cloth?\Umm, yeah, I think we're good.\Hey, we need Scotch tape!\Oh, crap! I made up my mind not to think about her.\Oh, that should be enough!\Oh, I guess it should!\I'm gonna focus on the play.\All right, why don't we call it a day! response:	Could all the performers gather round?
context: Umm, yeah, I think we're good.\Hey, we need Scotch tape!\Oh, crap! I made up my mind not to think about her.\Oh, that should be enough!\Oh, I guess it should!\I'm gonna focus on the play.\All right, why don't we call it a day!\Could all the performers gather round? response:	What's going on, Shuu? Are we gonna have a meeting or something?
context: Hey, we need Scotch tape!\Oh, crap! I made up my mind not to think about her.\Oh, that should be enough!\Oh, I guess it should!\I'm gonna focus on the play.\All right, why don't we call it a day!\Could all the performers gather round?\What's going on, Shuu? Are we gonna have a meeting or something? response:	No, no, Raku-kun, this is way more important than any meeting.
context: Oh, crap! I made up my mind not to think about her.\Oh, that should be enough!\Oh, I guess it should!\I'm gonna focus on the play.\All right, why don't we call it a day!\Could all the performers gather round?\What's going on, Shuu? Are we gonna have a meeting or something?\No, no, Raku-kun, this is way more important than any meeting. response:	It's the costume-fitting you've all been looking forward to!
context: Oh, that should be enough!\Oh, I guess it should!\I'm gonna focus on the play.\All right, why don't we call it a day!\Could all the performers gather round?\What's going on, Shuu? Are we gonna have a meeting or something?\No, no, Raku-kun, this is way more important than any meeting.\It's the costume-fitting you've all been looking forward to! response:	Holy crap! Are these really hand-made?
context: Oh, I guess it should!\I'm gonna focus on the play.\All right, why don't we call it a day!\Could all the performers gather round?\What's going on, Shuu? Are we gonna have a meeting or something?\No, no, Raku-kun, this is way more important than any meeting.\It's the costume-fitting you've all been looking forward to!\Holy crap! Are these really hand-made? response:	Of course, courtesy of our very own Sewing Club!
context: I'm gonna focus on the play.\All right, why don't we call it a day!\Could all the performers gather round?\What's going on, Shuu? Are we gonna have a meeting or something?\No, no, Raku-kun, this is way more important than any meeting.\It's the costume-fitting you've all been looking forward to!\Holy crap! Are these really hand-made?\Of course, courtesy of our very own Sewing Club! response:	However, I myself played a part in procuring the materials.
context: All right, why don't we call it a day!\Could all the performers gather round?\What's going on, Shuu? Are we gonna have a meeting or something?\No, no, Raku-kun, this is way more important than any meeting.\It's the costume-fitting you've all been looking forward to!\Holy crap! Are these really hand-made?\Of course, courtesy of our very own Sewing Club!\However, I myself played a part in procuring the materials. response:	Girls Changing!!
context: Could all the performers gather round?\What's going on, Shuu? Are we gonna have a meeting or something?\No, no, Raku-kun, this is way more important than any meeting.\It's the costume-fitting you've all been looking forward to!\Holy crap! Are these really hand-made?\Of course, courtesy of our very own Sewing Club!\However, I myself played a part in procuring the materials.\Girls Changing!! response:	Boys don't come in!!
context: What's going on, Shuu? Are we gonna have a meeting or something?\No, no, Raku-kun, this is way more important than any meeting.\It's the costume-fitting you've all been looking forward to!\Holy crap! Are these really hand-made?\Of course, courtesy of our very own Sewing Club!\However, I myself played a part in procuring the materials.\Girls Changing!!\Boys don't come in!! response:	What? Why don't I have a costume?
context: No, no, Raku-kun, this is way more important than any meeting.\It's the costume-fitting you've all been looking forward to!\Holy crap! Are these really hand-made?\Of course, courtesy of our very own Sewing Club!\However, I myself played a part in procuring the materials.\Girls Changing!!\Boys don't come in!!\What? Why don't I have a costume? response:	Boys don't come in!!
context: It's the costume-fitting you've all been looking forward to!\Holy crap! Are these really hand-made?\Of course, courtesy of our very own Sewing Club!\However, I myself played a part in procuring the materials.\Girls Changing!!\Boys don't come in!!\What? Why don't I have a costume?\Boys don't come in!! response:	Girls Changing!!
context: Holy crap! Are these really hand-made?\Of course, courtesy of our very own Sewing Club!\However, I myself played a part in procuring the materials.\Girls Changing!!\Boys don't come in!!\What? Why don't I have a costume?\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Of course, courtesy of our very own Sewing Club!\However, I myself played a part in procuring the materials.\Girls Changing!!\Boys don't come in!!\What? Why don't I have a costume?\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: However, I myself played a part in procuring the materials.\Girls Changing!!\Boys don't come in!!\What? Why don't I have a costume?\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\What? Why don't I have a costume?\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\What? Why don't I have a costume?\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: What? Why don't I have a costume?\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Boys don't come in!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!! response:	Girls Changing!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Boys don't come in!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!! response:	Girls Changing!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Boys don't come in!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!! response:	Girls Changing!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Boys don't come in!!\Girls Changing!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Girls Changing!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Girls Changing!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Girls Changing!! response:	Boys don't come in!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Boys don't come in!!\Girls Changing!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Boys don't come in!!
context: Girls Changing!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!! response:	Girls Changing!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Girls Changing!!\Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Boys don't come in!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!! response:	Girls Changing!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!! response:	Girls Changing!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Girls Changing!! response:	Boys don't come in!!
context: Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Girls Changing!!\Boys don't come in!! response:	Boys don't come in!!
context: Girls Changing!!\Boys don't come in!!\Girls Changing!!\Boys don't come in!!\Girls Changing!!\Girls Changing!!\Boys don't come in!!\Boys don't come in!! response:	Girls Changing!!
