context: That cafe response:	That cafe is on the first floor of the building where our detective agency is.
context: This is the issue.\This remote hijacking chip inside.\This is what tried to take control\of the Moby Dick during the chaos and plunge it into Yokohama.\No!\I haven't even done anything!\Hand it over!\Whoever set this up took advantage of the Guild response:	and plotted to destroy Yokohama.
context: This remote hijacking chip inside.\This is what tried to take control\of the Moby Dick during the chaos and plunge it into Yokohama.\No!\I haven't even done anything!\Hand it over!\Whoever set this up took advantage of the Guild\and plotted to destroy Yokohama. response:	This chip is our only lead.
context: This is what tried to take control\of the Moby Dick during the chaos and plunge it into Yokohama.\No!\I haven't even done anything!\Hand it over!\Whoever set this up took advantage of the Guild\and plotted to destroy Yokohama.\This chip is our only lead. response:	We have to drag the mastermind out of the shadows before they make their next move.
context: of the Moby Dick during the chaos and plunge it into Yokohama.\No!\I haven't even done anything!\Hand it over!\Whoever set this up took advantage of the Guild\and plotted to destroy Yokohama.\This chip is our only lead.\We have to drag the mastermind out of the shadows before they make their next move. response:	Katai! It's me! I'm coming in!
context: No!\I haven't even done anything!\Hand it over!\Whoever set this up took advantage of the Guild\and plotted to destroy Yokohama.\This chip is our only lead.\We have to drag the mastermind out of the shadows before they make their next move.\Katai! It's me! I'm coming in! response:	Why is there so much garbage?
context: I haven't even done anything!\Hand it over!\Whoever set this up took advantage of the Guild\and plotted to destroy Yokohama.\This chip is our only lead.\We have to drag the mastermind out of the shadows before they make their next move.\Katai! It's me! I'm coming in!\Why is there so much garbage? response:	There's not even enough space to walk!
context: Hand it over!\Whoever set this up took advantage of the Guild\and plotted to destroy Yokohama.\This chip is our only lead.\We have to drag the mastermind out of the shadows before they make their next move.\Katai! It's me! I'm coming in!\Why is there so much garbage?\There's not even enough space to walk! response:	Get out of your never-made bed for once and clean up your room!
context: Whoever set this up took advantage of the Guild\and plotted to destroy Yokohama.\This chip is our only lead.\We have to drag the mastermind out of the shadows before they make their next move.\Katai! It's me! I'm coming in!\Why is there so much garbage?\There's not even enough space to walk!\Get out of your never-made bed for once and clean up your room! response:	You damn recluse!
context: and plotted to destroy Yokohama.\This chip is our only lead.\We have to drag the mastermind out of the shadows before they make their next move.\Katai! It's me! I'm coming in!\Why is there so much garbage?\There's not even enough space to walk!\Get out of your never-made bed for once and clean up your room!\You damn recluse! response:	I'm done for.
context: This chip is our only lead.\We have to drag the mastermind out of the shadows before they make their next move.\Katai! It's me! I'm coming in!\Why is there so much garbage?\There's not even enough space to walk!\Get out of your never-made bed for once and clean up your room!\You damn recluse!\I'm done for. response:	Not again.
context: We have to drag the mastermind out of the shadows before they make their next move.\Katai! It's me! I'm coming in!\Why is there so much garbage?\There's not even enough space to walk!\Get out of your never-made bed for once and clean up your room!\You damn recluse!\I'm done for.\Not again. response:	What is it this time?
context: Katai! It's me! I'm coming in!\Why is there so much garbage?\There's not even enough space to walk!\Get out of your never-made bed for once and clean up your room!\You damn recluse!\I'm done for.\Not again.\What is it this time? response:	Outside my bed lies hell.
context: Why is there so much garbage?\There's not even enough space to walk!\Get out of your never-made bed for once and clean up your room!\You damn recluse!\I'm done for.\Not again.\What is it this time?\Outside my bed lies hell. response:	All that is beautiful is above the sky.
context: There's not even enough space to walk!\Get out of your never-made bed for once and clean up your room!\You damn recluse!\I'm done for.\Not again.\What is it this time?\Outside my bed lies hell.\All that is beautiful is above the sky. response:	All that is enjoyable is beneath the sea.
context: Get out of your never-made bed for once and clean up your room!\You damn recluse!\I'm done for.\Not again.\What is it this time?\Outside my bed lies hell.\All that is beautiful is above the sky.\All that is enjoyable is beneath the sea. response:	Kunikida-san, is that him?
context: You damn recluse!\I'm done for.\Not again.\What is it this time?\Outside my bed lies hell.\All that is beautiful is above the sky.\All that is enjoyable is beneath the sea.\Kunikida-san, is that him? response:	Yeah.
context: I'm done for.\Not again.\What is it this time?\Outside my bed lies hell.\All that is beautiful is above the sky.\All that is enjoyable is beneath the sea.\Kunikida-san, is that him?\Yeah. response:	Katai's ability allows him to control machines in his sight without touching them.
context: Not again.\What is it this time?\Outside my bed lies hell.\All that is beautiful is above the sky.\All that is enjoyable is beneath the sea.\Kunikida-san, is that him?\Yeah.\Katai's ability allows him to control machines in his sight without touching them. response:	He can process information several dozen times faster than a normal human.
context: What is it this time?\Outside my bed lies hell.\All that is beautiful is above the sky.\All that is enjoyable is beneath the sea.\Kunikida-san, is that him?\Yeah.\Katai's ability allows him to control machines in his sight without touching them.\He can process information several dozen times faster than a normal human. response:	Former Armed Detective Agency Member: Tayama Katai
context: Outside my bed lies hell.\All that is beautiful is above the sky.\All that is enjoyable is beneath the sea.\Kunikida-san, is that him?\Yeah.\Katai's ability allows him to control machines in his sight without touching them.\He can process information several dozen times faster than a normal human.\Former Armed Detective Agency Member: Tayama Katai response:	Special Ability: Futon
context: All that is beautiful is above the sky.\All that is enjoyable is beneath the sea.\Kunikida-san, is that him?\Yeah.\Katai's ability allows him to control machines in his sight without touching them.\He can process information several dozen times faster than a normal human.\Former Armed Detective Agency Member: Tayama Katai\Special Ability: Futon response:	Several dozen times?
context: All that is enjoyable is beneath the sea.\Kunikida-san, is that him?\Yeah.\Katai's ability allows him to control machines in his sight without touching them.\He can process information several dozen times faster than a normal human.\Former Armed Detective Agency Member: Tayama Katai\Special Ability: Futon\Several dozen times? response:	He controls all this?
context: Kunikida-san, is that him?\Yeah.\Katai's ability allows him to control machines in his sight without touching them.\He can process information several dozen times faster than a normal human.\Former Armed Detective Agency Member: Tayama Katai\Special Ability: Futon\Several dozen times?\He controls all this? response:	It's enough for him to take on military cyberwarfare.
context: Yeah.\Katai's ability allows him to control machines in his sight without touching them.\He can process information several dozen times faster than a normal human.\Former Armed Detective Agency Member: Tayama Katai\Special Ability: Futon\Several dozen times?\He controls all this?\It's enough for him to take on military cyberwarfare. response:	Although, apparently he can't concentrate unless he's where he feels most at home.
context: Katai's ability allows him to control machines in his sight without touching them.\He can process information several dozen times faster than a normal human.\Former Armed Detective Agency Member: Tayama Katai\Special Ability: Futon\Several dozen times?\He controls all this?\It's enough for him to take on military cyberwarfare.\Although, apparently he can't concentrate unless he's where he feels most at home. response:	The only place he can use his ability is from inside that futon.
context: He can process information several dozen times faster than a normal human.\Former Armed Detective Agency Member: Tayama Katai\Special Ability: Futon\Several dozen times?\He controls all this?\It's enough for him to take on military cyberwarfare.\Although, apparently he can't concentrate unless he's where he feels most at home.\The only place he can use his ability is from inside that futon. response:	That, too, was long ago.
context: Former Armed Detective Agency Member: Tayama Katai\Special Ability: Futon\Several dozen times?\He controls all this?\It's enough for him to take on military cyberwarfare.\Although, apparently he can't concentrate unless he's where he feels most at home.\The only place he can use his ability is from inside that futon.\That, too, was long ago. response:	Now, my mind is shaken, and I can no longer use my ability.
context: Special Ability: Futon\Several dozen times?\He controls all this?\It's enough for him to take on military cyberwarfare.\Although, apparently he can't concentrate unless he's where he feels most at home.\The only place he can use his ability is from inside that futon.\That, too, was long ago.\Now, my mind is shaken, and I can no longer use my ability. response:	I'm no more than the largest piece of compostable trash in this room.
context: Several dozen times?\He controls all this?\It's enough for him to take on military cyberwarfare.\Although, apparently he can't concentrate unless he's where he feels most at home.\The only place he can use his ability is from inside that futon.\That, too, was long ago.\Now, my mind is shaken, and I can no longer use my ability.\I'm no more than the largest piece of compostable trash in this room. response:	You can't use your ability?!
context: He controls all this?\It's enough for him to take on military cyberwarfare.\Although, apparently he can't concentrate unless he's where he feels most at home.\The only place he can use his ability is from inside that futon.\That, too, was long ago.\Now, my mind is shaken, and I can no longer use my ability.\I'm no more than the largest piece of compostable trash in this room.\You can't use your ability?! response:	Why not?
context: It's enough for him to take on military cyberwarfare.\Although, apparently he can't concentrate unless he's where he feels most at home.\The only place he can use his ability is from inside that futon.\That, too, was long ago.\Now, my mind is shaken, and I can no longer use my ability.\I'm no more than the largest piece of compostable trash in this room.\You can't use your ability?!\Why not? response:	W-Well...
context: Although, apparently he can't concentrate unless he's where he feels most at home.\The only place he can use his ability is from inside that futon.\That, too, was long ago.\Now, my mind is shaken, and I can no longer use my ability.\I'm no more than the largest piece of compostable trash in this room.\You can't use your ability?!\Why not?\W-Well... response:	Don't make noise in the hall
context: The only place he can use his ability is from inside that futon.\That, too, was long ago.\Now, my mind is shaken, and I can no longer use my ability.\I'm no more than the largest piece of compostable trash in this room.\You can't use your ability?!\Why not?\W-Well...\Don't make noise in the hall response:	You're in love?!
context: That, too, was long ago.\Now, my mind is shaken, and I can no longer use my ability.\I'm no more than the largest piece of compostable trash in this room.\You can't use your ability?!\Why not?\W-Well...\Don't make noise in the hall\You're in love?! response:	Three days ago, I met someone who blew me away.
context: Now, my mind is shaken, and I can no longer use my ability.\I'm no more than the largest piece of compostable trash in this room.\You can't use your ability?!\Why not?\W-Well...\Don't make noise in the hall\You're in love?!\Three days ago, I met someone who blew me away. response:	Her black, elegant hair...
context: I'm no more than the largest piece of compostable trash in this room.\You can't use your ability?!\Why not?\W-Well...\Don't make noise in the hall\You're in love?!\Three days ago, I met someone who blew me away.\Her black, elegant hair... response:	Her standing figure, as graceful as a lily...
context: You can't use your ability?!\Why not?\W-Well...\Don't make noise in the hall\You're in love?!\Three days ago, I met someone who blew me away.\Her black, elegant hair...\Her standing figure, as graceful as a lily... response:	Her aura, as delicate as a dream or illusion...
context: Why not?\W-Well...\Don't make noise in the hall\You're in love?!\Three days ago, I met someone who blew me away.\Her black, elegant hair...\Her standing figure, as graceful as a lily...\Her aura, as delicate as a dream or illusion... response:	She stole my heart, even from five hundred meters away.
context: W-Well...\Don't make noise in the hall\You're in love?!\Three days ago, I met someone who blew me away.\Her black, elegant hair...\Her standing figure, as graceful as a lily...\Her aura, as delicate as a dream or illusion...\She stole my heart, even from five hundred meters away. response:	Five hundred meters?
context: Don't make noise in the hall\You're in love?!\Three days ago, I met someone who blew me away.\Her black, elegant hair...\Her standing figure, as graceful as a lily...\Her aura, as delicate as a dream or illusion...\She stole my heart, even from five hundred meters away.\Five hundred meters? response:	That's pretty far.
context: You're in love?!\Three days ago, I met someone who blew me away.\Her black, elegant hair...\Her standing figure, as graceful as a lily...\Her aura, as delicate as a dream or illusion...\She stole my heart, even from five hundred meters away.\Five hundred meters?\That's pretty far. response:	You've never really met her, then.
context: Three days ago, I met someone who blew me away.\Her black, elegant hair...\Her standing figure, as graceful as a lily...\Her aura, as delicate as a dream or illusion...\She stole my heart, even from five hundred meters away.\Five hundred meters?\That's pretty far.\You've never really met her, then. response:	I was stunned by the sight of her.
context: Her black, elegant hair...\Her standing figure, as graceful as a lily...\Her aura, as delicate as a dream or illusion...\She stole my heart, even from five hundred meters away.\Five hundred meters?\That's pretty far.\You've never really met her, then.\I was stunned by the sight of her. response:	I could only muster the strength to take a picture of her.
context: Her standing figure, as graceful as a lily...\Her aura, as delicate as a dream or illusion...\She stole my heart, even from five hundred meters away.\Five hundred meters?\That's pretty far.\You've never really met her, then.\I was stunned by the sight of her.\I could only muster the strength to take a picture of her. response:	You're right, she's pretty.
context: Her aura, as delicate as a dream or illusion...\She stole my heart, even from five hundred meters away.\Five hundred meters?\That's pretty far.\You've never really met her, then.\I was stunned by the sight of her.\I could only muster the strength to take a picture of her.\You're right, she's pretty. response:	Alas!
context: She stole my heart, even from five hundred meters away.\Five hundred meters?\That's pretty far.\You've never really met her, then.\I was stunned by the sight of her.\I could only muster the strength to take a picture of her.\You're right, she's pretty.\Alas! response:	It is a love never to be!
context: Five hundred meters?\That's pretty far.\You've never really met her, then.\I was stunned by the sight of her.\I could only muster the strength to take a picture of her.\You're right, she's pretty.\Alas!\It is a love never to be! response:	Me, talk to women?
context: That's pretty far.\You've never really met her, then.\I was stunned by the sight of her.\I could only muster the strength to take a picture of her.\You're right, she's pretty.\Alas!\It is a love never to be!\Me, talk to women? response:	I'm better at bantering with moles.
context: You've never really met her, then.\I was stunned by the sight of her.\I could only muster the strength to take a picture of her.\You're right, she's pretty.\Alas!\It is a love never to be!\Me, talk to women?\I'm better at bantering with moles. response:	Yoshiko is my only love!
context: I was stunned by the sight of her.\I could only muster the strength to take a picture of her.\You're right, she's pretty.\Alas!\It is a love never to be!\Me, talk to women?\I'm better at bantering with moles.\Yoshiko is my only love! response:	Yoshiko?
context: I could only muster the strength to take a picture of her.\You're right, she's pretty.\Alas!\It is a love never to be!\Me, talk to women?\I'm better at bantering with moles.\Yoshiko is my only love!\Yoshiko? response:	That's the name of this futon.
context: You're right, she's pretty.\Alas!\It is a love never to be!\Me, talk to women?\I'm better at bantering with moles.\Yoshiko is my only love!\Yoshiko?\That's the name of this futon. response:	Why does his futon have a name?
context: Alas!\It is a love never to be!\Me, talk to women?\I'm better at bantering with moles.\Yoshiko is my only love!\Yoshiko?\That's the name of this futon.\Why does his futon have a name? response:	The investigation isn't going to get anywhere at this rate.
context: It is a love never to be!\Me, talk to women?\I'm better at bantering with moles.\Yoshiko is my only love!\Yoshiko?\That's the name of this futon.\Why does his futon have a name?\The investigation isn't going to get anywhere at this rate. response:	I see.
context: Me, talk to women?\I'm better at bantering with moles.\Yoshiko is my only love!\Yoshiko?\That's the name of this futon.\Why does his futon have a name?\The investigation isn't going to get anywhere at this rate.\I see. response:	I understand, then.
context: I'm better at bantering with moles.\Yoshiko is my only love!\Yoshiko?\That's the name of this futon.\Why does his futon have a name?\The investigation isn't going to get anywhere at this rate.\I see.\I understand, then. response:	How about this...
context: Yoshiko is my only love!\Yoshiko?\That's the name of this futon.\Why does his futon have a name?\The investigation isn't going to get anywhere at this rate.\I see.\I understand, then.\How about this... response:	I ask...
context: Yoshiko?\That's the name of this futon.\Why does his futon have a name?\The investigation isn't going to get anywhere at this rate.\I see.\I understand, then.\How about this...\I ask... response:	the Detective Agency to find the black-haired elegant beauty.
context: That's the name of this futon.\Why does his futon have a name?\The investigation isn't going to get anywhere at this rate.\I see.\I understand, then.\How about this...\I ask...\the Detective Agency to find the black-haired elegant beauty. response:	Akutagawa-senpai!
context: Why does his futon have a name?\The investigation isn't going to get anywhere at this rate.\I see.\I understand, then.\How about this...\I ask...\the Detective Agency to find the black-haired elegant beauty.\Akutagawa-senpai! response:	On his way home from work!
context: The investigation isn't going to get anywhere at this rate.\I see.\I understand, then.\How about this...\I ask...\the Detective Agency to find the black-haired elegant beauty.\Akutagawa-senpai!\On his way home from work! response:	Stay calm.
context: I see.\I understand, then.\How about this...\I ask...\the Detective Agency to find the black-haired elegant beauty.\Akutagawa-senpai!\On his way home from work!\Stay calm. response:	Hold it together, Higuchi.
context: I understand, then.\How about this...\I ask...\the Detective Agency to find the black-haired elegant beauty.\Akutagawa-senpai!\On his way home from work!\Stay calm.\Hold it together, Higuchi. response:	Good work today, Senpai.
context: How about this...\I ask...\the Detective Agency to find the black-haired elegant beauty.\Akutagawa-senpai!\On his way home from work!\Stay calm.\Hold it together, Higuchi.\Good work today, Senpai. response:	Shall I take you home?
context: I ask...\the Detective Agency to find the black-haired elegant beauty.\Akutagawa-senpai!\On his way home from work!\Stay calm.\Hold it together, Higuchi.\Good work today, Senpai.\Shall I take you home? response:	That's it!
context: the Detective Agency to find the black-haired elegant beauty.\Akutagawa-senpai!\On his way home from work!\Stay calm.\Hold it together, Higuchi.\Good work today, Senpai.\Shall I take you home?\That's it! response:	It's so casual!
context: Akutagawa-senpai!\On his way home from work!\Stay calm.\Hold it together, Higuchi.\Good work today, Senpai.\Shall I take you home?\That's it!\It's so casual! response:	He might be like...
context: On his way home from work!\Stay calm.\Hold it together, Higuchi.\Good work today, Senpai.\Shall I take you home?\That's it!\It's so casual!\He might be like... response:	Want some tea?
context: Stay calm.\Hold it together, Higuchi.\Good work today, Senpai.\Shall I take you home?\That's it!\It's so casual!\He might be like...\Want some tea? response:	And let me come in!
context: Hold it together, Higuchi.\Good work today, Senpai.\Shall I take you home?\That's it!\It's so casual!\He might be like...\Want some tea?\And let me come in! response:	Long time no see.
context: Good work today, Senpai.\Shall I take you home?\That's it!\It's so casual!\He might be like...\Want some tea?\And let me come in!\Long time no see. response:	Let's go home.
context: Shall I take you home?\That's it!\It's so casual!\He might be like...\Want some tea?\And let me come in!\Long time no see.\Let's go home. response:	That woman...
context: That's it!\It's so casual!\He might be like...\Want some tea?\And let me come in!\Long time no see.\Let's go home.\That woman... response:	Who is she?
context: It's so casual!\He might be like...\Want some tea?\And let me come in!\Long time no see.\Let's go home.\That woman...\Who is she? response:	Akutagawa-senpai met up with a woman, and they went home together.
context: He might be like...\Want some tea?\And let me come in!\Long time no see.\Let's go home.\That woman...\Who is she?\Akutagawa-senpai met up with a woman, and they went home together. response:	No, there must be a reason for this.
context: Want some tea?\And let me come in!\Long time no see.\Let's go home.\That woman...\Who is she?\Akutagawa-senpai met up with a woman, and they went home together.\No, there must be a reason for this. response:	Yeah.
context: And let me come in!\Long time no see.\Let's go home.\That woman...\Who is she?\Akutagawa-senpai met up with a woman, and they went home together.\No, there must be a reason for this.\Yeah. response:	This is a conspiracy.
context: Long time no see.\Let's go home.\That woman...\Who is she?\Akutagawa-senpai met up with a woman, and they went home together.\No, there must be a reason for this.\Yeah.\This is a conspiracy. response:	An enemy assassin?
context: Let's go home.\That woman...\Who is she?\Akutagawa-senpai met up with a woman, and they went home together.\No, there must be a reason for this.\Yeah.\This is a conspiracy.\An enemy assassin? response:	A secret agent?
context: That woman...\Who is she?\Akutagawa-senpai met up with a woman, and they went home together.\No, there must be a reason for this.\Yeah.\This is a conspiracy.\An enemy assassin?\A secret agent? response:	Either way, I need to expose her and stop the conspiracy against my superior.
context: Who is she?\Akutagawa-senpai met up with a woman, and they went home together.\No, there must be a reason for this.\Yeah.\This is a conspiracy.\An enemy assassin?\A secret agent?\Either way, I need to expose her and stop the conspiracy against my superior. response:	Yeah.
context: Akutagawa-senpai met up with a woman, and they went home together.\No, there must be a reason for this.\Yeah.\This is a conspiracy.\An enemy assassin?\A secret agent?\Either way, I need to expose her and stop the conspiracy against my superior.\Yeah. response:	This isn't a matter of personal interest.
context: No, there must be a reason for this.\Yeah.\This is a conspiracy.\An enemy assassin?\A secret agent?\Either way, I need to expose her and stop the conspiracy against my superior.\Yeah.\This isn't a matter of personal interest. response:	It's a mission.
context: Yeah.\This is a conspiracy.\An enemy assassin?\A secret agent?\Either way, I need to expose her and stop the conspiracy against my superior.\Yeah.\This isn't a matter of personal interest.\It's a mission. response:	I saw them around here yesterday.
context: This is a conspiracy.\An enemy assassin?\A secret agent?\Either way, I need to expose her and stop the conspiracy against my superior.\Yeah.\This isn't a matter of personal interest.\It's a mission.\I saw them around here yesterday. response:	The Armed Detective Agency!
context: An enemy assassin?\A secret agent?\Either way, I need to expose her and stop the conspiracy against my superior.\Yeah.\This isn't a matter of personal interest.\It's a mission.\I saw them around here yesterday.\The Armed Detective Agency! response:	Why are they here?
context: A secret agent?\Either way, I need to expose her and stop the conspiracy against my superior.\Yeah.\This isn't a matter of personal interest.\It's a mission.\I saw them around here yesterday.\The Armed Detective Agency!\Why are they here? response:	That photo the weretiger is holding!
context: Either way, I need to expose her and stop the conspiracy against my superior.\Yeah.\This isn't a matter of personal interest.\It's a mission.\I saw them around here yesterday.\The Armed Detective Agency!\Why are they here?\That photo the weretiger is holding! response:	It's that woman!
context: Yeah.\This isn't a matter of personal interest.\It's a mission.\I saw them around here yesterday.\The Armed Detective Agency!\Why are they here?\That photo the weretiger is holding!\It's that woman! response:	She's connected to the Armed Detective Agency.
context: This isn't a matter of personal interest.\It's a mission.\I saw them around here yesterday.\The Armed Detective Agency!\Why are they here?\That photo the weretiger is holding!\It's that woman!\She's connected to the Armed Detective Agency. response:	But this is no time to confront them.
context: It's a mission.\I saw them around here yesterday.\The Armed Detective Agency!\Why are they here?\That photo the weretiger is holding!\It's that woman!\She's connected to the Armed Detective Agency.\But this is no time to confront them. response:	I forbid any animosity against the Armed Detective Agency for the foreseeable future.
context: I saw them around here yesterday.\The Armed Detective Agency!\Why are they here?\That photo the weretiger is holding!\It's that woman!\She's connected to the Armed Detective Agency.\But this is no time to confront them.\I forbid any animosity against the Armed Detective Agency for the foreseeable future. response:	But the Guild has already been dissolved.
context: The Armed Detective Agency!\Why are they here?\That photo the weretiger is holding!\It's that woman!\She's connected to the Armed Detective Agency.\But this is no time to confront them.\I forbid any animosity against the Armed Detective Agency for the foreseeable future.\But the Guild has already been dissolved. response:	It would seem impossible to avoid further friction with the Detective Agency.
context: Why are they here?\That photo the weretiger is holding!\It's that woman!\She's connected to the Armed Detective Agency.\But this is no time to confront them.\I forbid any animosity against the Armed Detective Agency for the foreseeable future.\But the Guild has already been dissolved.\It would seem impossible to avoid further friction with the Detective Agency. response:	Believe it or not, as the boss, I have my plans.
context: That photo the weretiger is holding!\It's that woman!\She's connected to the Armed Detective Agency.\But this is no time to confront them.\I forbid any animosity against the Armed Detective Agency for the foreseeable future.\But the Guild has already been dissolved.\It would seem impossible to avoid further friction with the Detective Agency.\Believe it or not, as the boss, I have my plans. response:	Trust me.
context: It's that woman!\She's connected to the Armed Detective Agency.\But this is no time to confront them.\I forbid any animosity against the Armed Detective Agency for the foreseeable future.\But the Guild has already been dissolved.\It would seem impossible to avoid further friction with the Detective Agency.\Believe it or not, as the boss, I have my plans.\Trust me. response:	Understood.
context: She's connected to the Armed Detective Agency.\But this is no time to confront them.\I forbid any animosity against the Armed Detective Agency for the foreseeable future.\But the Guild has already been dissolved.\It would seem impossible to avoid further friction with the Detective Agency.\Believe it or not, as the boss, I have my plans.\Trust me.\Understood. response:	The same instruction applies strictly to all members.
context: But this is no time to confront them.\I forbid any animosity against the Armed Detective Agency for the foreseeable future.\But the Guild has already been dissolved.\It would seem impossible to avoid further friction with the Detective Agency.\Believe it or not, as the boss, I have my plans.\Trust me.\Understood.\The same instruction applies strictly to all members. response:	Gin-kun, hand this to all our units.
context: I forbid any animosity against the Armed Detective Agency for the foreseeable future.\But the Guild has already been dissolved.\It would seem impossible to avoid further friction with the Detective Agency.\Believe it or not, as the boss, I have my plans.\Trust me.\Understood.\The same instruction applies strictly to all members.\Gin-kun, hand this to all our units. response:	Why did the boss say such a thing?
context: But the Guild has already been dissolved.\It would seem impossible to avoid further friction with the Detective Agency.\Believe it or not, as the boss, I have my plans.\Trust me.\Understood.\The same instruction applies strictly to all members.\Gin-kun, hand this to all our units.\Why did the boss say such a thing? response:	I don't want that puny Detective Agency looking down on us!
context: It would seem impossible to avoid further friction with the Detective Agency.\Believe it or not, as the boss, I have my plans.\Trust me.\Understood.\The same instruction applies strictly to all members.\Gin-kun, hand this to all our units.\Why did the boss say such a thing?\I don't want that puny Detective Agency looking down on us! response:	Did you need something from us?
context: Believe it or not, as the boss, I have my plans.\Trust me.\Understood.\The same instruction applies strictly to all members.\Gin-kun, hand this to all our units.\Why did the boss say such a thing?\I don't want that puny Detective Agency looking down on us!\Did you need something from us? response:	What does the Port Mafia want?
context: Trust me.\Understood.\The same instruction applies strictly to all members.\Gin-kun, hand this to all our units.\Why did the boss say such a thing?\I don't want that puny Detective Agency looking down on us!\Did you need something from us?\What does the Port Mafia want? response:	Our president has instructed us to avoid conflict with you.
context: Understood.\The same instruction applies strictly to all members.\Gin-kun, hand this to all our units.\Why did the boss say such a thing?\I don't want that puny Detective Agency looking down on us!\Did you need something from us?\What does the Port Mafia want?\Our president has instructed us to avoid conflict with you. response:	But, depending on the circumstances, I'm game.
context: The same instruction applies strictly to all members.\Gin-kun, hand this to all our units.\Why did the boss say such a thing?\I don't want that puny Detective Agency looking down on us!\Did you need something from us?\What does the Port Mafia want?\Our president has instructed us to avoid conflict with you.\But, depending on the circumstances, I'm game. response:	Ideals
context: Gin-kun, hand this to all our units.\Why did the boss say such a thing?\I don't want that puny Detective Agency looking down on us!\Did you need something from us?\What does the Port Mafia want?\Our president has instructed us to avoid conflict with you.\But, depending on the circumstances, I'm game.\Ideals response:	Two against one, and they're experienced in battle.
context: Why did the boss say such a thing?\I don't want that puny Detective Agency looking down on us!\Did you need something from us?\What does the Port Mafia want?\Our president has instructed us to avoid conflict with you.\But, depending on the circumstances, I'm game.\Ideals\Two against one, and they're experienced in battle. response:	The situation couldn't be worse.
context: I don't want that puny Detective Agency looking down on us!\Did you need something from us?\What does the Port Mafia want?\Our president has instructed us to avoid conflict with you.\But, depending on the circumstances, I'm game.\Ideals\Two against one, and they're experienced in battle.\The situation couldn't be worse. response:	But I do this for my senpai.
context: Did you need something from us?\What does the Port Mafia want?\Our president has instructed us to avoid conflict with you.\But, depending on the circumstances, I'm game.\Ideals\Two against one, and they're experienced in battle.\The situation couldn't be worse.\But I do this for my senpai. response:	No matter what it takes, I'm going to get the information out of them!
context: What does the Port Mafia want?\Our president has instructed us to avoid conflict with you.\But, depending on the circumstances, I'm game.\Ideals\Two against one, and they're experienced in battle.\The situation couldn't be worse.\But I do this for my senpai.\No matter what it takes, I'm going to get the information out of them! response:	Please, tell me about the woman in the photo you're holding!
context: Our president has instructed us to avoid conflict with you.\But, depending on the circumstances, I'm game.\Ideals\Two against one, and they're experienced in battle.\The situation couldn't be worse.\But I do this for my senpai.\No matter what it takes, I'm going to get the information out of them!\Please, tell me about the woman in the photo you're holding! response:	What?!
context: But, depending on the circumstances, I'm game.\Ideals\Two against one, and they're experienced in battle.\The situation couldn't be worse.\But I do this for my senpai.\No matter what it takes, I'm going to get the information out of them!\Please, tell me about the woman in the photo you're holding!\What?! response:	I don't know what to tell you.
context: Ideals\Two against one, and they're experienced in battle.\The situation couldn't be worse.\But I do this for my senpai.\No matter what it takes, I'm going to get the information out of them!\Please, tell me about the woman in the photo you're holding!\What?!\I don't know what to tell you. response:	We don't know anything about her, either.
context: Two against one, and they're experienced in battle.\The situation couldn't be worse.\But I do this for my senpai.\No matter what it takes, I'm going to get the information out of them!\Please, tell me about the woman in the photo you're holding!\What?!\I don't know what to tell you.\We don't know anything about her, either. response:	We're trying to find her to deliver a love letter.
context: The situation couldn't be worse.\But I do this for my senpai.\No matter what it takes, I'm going to get the information out of them!\Please, tell me about the woman in the photo you're holding!\What?!\I don't know what to tell you.\We don't know anything about her, either.\We're trying to find her to deliver a love letter. response:	A love letter?
context: But I do this for my senpai.\No matter what it takes, I'm going to get the information out of them!\Please, tell me about the woman in the photo you're holding!\What?!\I don't know what to tell you.\We don't know anything about her, either.\We're trying to find her to deliver a love letter.\A love letter? response:	The weretiger's surprisingly bold.
context: No matter what it takes, I'm going to get the information out of them!\Please, tell me about the woman in the photo you're holding!\What?!\I don't know what to tell you.\We don't know anything about her, either.\We're trying to find her to deliver a love letter.\A love letter?\The weretiger's surprisingly bold. response:	Hold on...
context: Please, tell me about the woman in the photo you're holding!\What?!\I don't know what to tell you.\We don't know anything about her, either.\We're trying to find her to deliver a love letter.\A love letter?\The weretiger's surprisingly bold.\Hold on... response:	The weretiger hands her the love letter
context: What?!\I don't know what to tell you.\We don't know anything about her, either.\We're trying to find her to deliver a love letter.\A love letter?\The weretiger's surprisingly bold.\Hold on...\The weretiger hands her the love letter response:	Akutagawa-senpai breaks up with the woman
context: I don't know what to tell you.\We don't know anything about her, either.\We're trying to find her to deliver a love letter.\A love letter?\The weretiger's surprisingly bold.\Hold on...\The weretiger hands her the love letter\Akutagawa-senpai breaks up with the woman response:	And, somehow or another... profit <3
context: We don't know anything about her, either.\We're trying to find her to deliver a love letter.\A love letter?\The weretiger's surprisingly bold.\Hold on...\The weretiger hands her the love letter\Akutagawa-senpai breaks up with the woman\And, somehow or another... profit <3 response:	Nice!
context: We're trying to find her to deliver a love letter.\A love letter?\The weretiger's surprisingly bold.\Hold on...\The weretiger hands her the love letter\Akutagawa-senpai breaks up with the woman\And, somehow or another... profit <3\Nice! response:	I'm rooting for you.
context: A love letter?\The weretiger's surprisingly bold.\Hold on...\The weretiger hands her the love letter\Akutagawa-senpai breaks up with the woman\And, somehow or another... profit <3\Nice!\I'm rooting for you. response:	Women like to be approached forcefully,
