context: Party is over response:	But I still wanna dance
context: Then take your own life with this sword.\That's an old sword that had been stored away.\It's rusty and dull. Just right for you, don't you think?\Now kill him. Kill him!\That sword is said to become sharper as it soaks in more blood.\Of course, it's only a rumor.\But there's enough blood here to find out.\Nihiru. That is your name. response:	My lord.
context: That's an old sword that had been stored away.\It's rusty and dull. Just right for you, don't you think?\Now kill him. Kill him!\That sword is said to become sharper as it soaks in more blood.\Of course, it's only a rumor.\But there's enough blood here to find out.\Nihiru. That is your name.\My lord. response:	It wants more blood.
context: It's rusty and dull. Just right for you, don't you think?\Now kill him. Kill him!\That sword is said to become sharper as it soaks in more blood.\Of course, it's only a rumor.\But there's enough blood here to find out.\Nihiru. That is your name.\My lord.\It wants more blood. response:	Nihiru says so.
context: Now kill him. Kill him!\That sword is said to become sharper as it soaks in more blood.\Of course, it's only a rumor.\But there's enough blood here to find out.\Nihiru. That is your name.\My lord.\It wants more blood.\Nihiru says so. response:	Do you want more blood?
context: That sword is said to become sharper as it soaks in more blood.\Of course, it's only a rumor.\But there's enough blood here to find out.\Nihiru. That is your name.\My lord.\It wants more blood.\Nihiru says so.\Do you want more blood? response:	Leave it to me.
context: Of course, it's only a rumor.\But there's enough blood here to find out.\Nihiru. That is your name.\My lord.\It wants more blood.\Nihiru says so.\Do you want more blood?\Leave it to me. response:	I'll give you more.
context: But there's enough blood here to find out.\Nihiru. That is your name.\My lord.\It wants more blood.\Nihiru says so.\Do you want more blood?\Leave it to me.\I'll give you more. response:	As much as you wish.
context: Nihiru. That is your name.\My lord.\It wants more blood.\Nihiru says so.\Do you want more blood?\Leave it to me.\I'll give you more.\As much as you wish. response:	It's here.
context: My lord.\It wants more blood.\Nihiru says so.\Do you want more blood?\Leave it to me.\I'll give you more.\As much as you wish.\It's here. response:	Don't go!
context: It wants more blood.\Nihiru says so.\Do you want more blood?\Leave it to me.\I'll give you more.\As much as you wish.\It's here.\Don't go! response:	Brother...
context: Nihiru says so.\Do you want more blood?\Leave it to me.\I'll give you more.\As much as you wish.\It's here.\Don't go!\Brother... response:	Osushi.
context: Do you want more blood?\Leave it to me.\I'll give you more.\As much as you wish.\It's here.\Don't go!\Brother...\Osushi. response:	You dummy, stop!
context: Leave it to me.\I'll give you more.\As much as you wish.\It's here.\Don't go!\Brother...\Osushi.\You dummy, stop! response:	It's me, can't you tell?
context: I'll give you more.\As much as you wish.\It's here.\Don't go!\Brother...\Osushi.\You dummy, stop!\It's me, can't you tell? response:	Damn it.
context: As much as you wish.\It's here.\Don't go!\Brother...\Osushi.\You dummy, stop!\It's me, can't you tell?\Damn it. response:	Let go of me, Osushi.
context: It's here.\Don't go!\Brother...\Osushi.\You dummy, stop!\It's me, can't you tell?\Damn it.\Let go of me, Osushi. response:	Please, Brother.
context: Don't go!\Brother...\Osushi.\You dummy, stop!\It's me, can't you tell?\Damn it.\Let go of me, Osushi.\Please, Brother. response:	Don't go, please.
context: Brother...\Osushi.\You dummy, stop!\It's me, can't you tell?\Damn it.\Let go of me, Osushi.\Please, Brother.\Don't go, please. response:	-Let go. -Brother!
context: Osushi.\You dummy, stop!\It's me, can't you tell?\Damn it.\Let go of me, Osushi.\Please, Brother.\Don't go, please.\-Let go. -Brother! response:	Out of my way.
context: You dummy, stop!\It's me, can't you tell?\Damn it.\Let go of me, Osushi.\Please, Brother.\Don't go, please.\-Let go. -Brother!\Out of my way. response:	Everything has changed.
context: It's me, can't you tell?\Damn it.\Let go of me, Osushi.\Please, Brother.\Don't go, please.\-Let go. -Brother!\Out of my way.\Everything has changed. response:	I couldn't defend the house nor the land on my own.
context: Damn it.\Let go of me, Osushi.\Please, Brother.\Don't go, please.\-Let go. -Brother!\Out of my way.\Everything has changed.\I couldn't defend the house nor the land on my own. response:	It's long gone.
context: Let go of me, Osushi.\Please, Brother.\Don't go, please.\-Let go. -Brother!\Out of my way.\Everything has changed.\I couldn't defend the house nor the land on my own.\It's long gone. response:	But with you here with me, we could live again like before...
context: Please, Brother.\Don't go, please.\-Let go. -Brother!\Out of my way.\Everything has changed.\I couldn't defend the house nor the land on my own.\It's long gone.\But with you here with me, we could live again like before... response:	Please...
context: Don't go, please.\-Let go. -Brother!\Out of my way.\Everything has changed.\I couldn't defend the house nor the land on my own.\It's long gone.\But with you here with me, we could live again like before...\Please... response:	Stay here with me.
context: -Let go. -Brother!\Out of my way.\Everything has changed.\I couldn't defend the house nor the land on my own.\It's long gone.\But with you here with me, we could live again like before...\Please...\Stay here with me. response:	I don't care if you're not the same anymore.
context: Out of my way.\Everything has changed.\I couldn't defend the house nor the land on my own.\It's long gone.\But with you here with me, we could live again like before...\Please...\Stay here with me.\I don't care if you're not the same anymore. response:	Brother.
context: Everything has changed.\I couldn't defend the house nor the land on my own.\It's long gone.\But with you here with me, we could live again like before...\Please...\Stay here with me.\I don't care if you're not the same anymore.\Brother. response:	Brother?
context: I couldn't defend the house nor the land on my own.\It's long gone.\But with you here with me, we could live again like before...\Please...\Stay here with me.\I don't care if you're not the same anymore.\Brother.\Brother? response:	Nihiru is calling for me.
context: It's long gone.\But with you here with me, we could live again like before...\Please...\Stay here with me.\I don't care if you're not the same anymore.\Brother.\Brother?\Nihiru is calling for me. response:	Brother!
context: But with you here with me, we could live again like before...\Please...\Stay here with me.\I don't care if you're not the same anymore.\Brother.\Brother?\Nihiru is calling for me.\Brother! response:	Hyakkimaru, you...
context: Please...\Stay here with me.\I don't care if you're not the same anymore.\Brother.\Brother?\Nihiru is calling for me.\Brother!\Hyakkimaru, you... response:	Thanks, Hyakkimaru.
context: Stay here with me.\I don't care if you're not the same anymore.\Brother.\Brother?\Nihiru is calling for me.\Brother!\Hyakkimaru, you...\Thanks, Hyakkimaru. response:	Thanks...
context: I don't care if you're not the same anymore.\Brother.\Brother?\Nihiru is calling for me.\Brother!\Hyakkimaru, you...\Thanks, Hyakkimaru.\Thanks... response:	This sword is mine.
context: Brother.\Brother?\Nihiru is calling for me.\Brother!\Hyakkimaru, you...\Thanks, Hyakkimaru.\Thanks...\This sword is mine. response:	Mine and only mine.
context: Brother?\Nihiru is calling for me.\Brother!\Hyakkimaru, you...\Thanks, Hyakkimaru.\Thanks...\This sword is mine.\Mine and only mine. response:	Why did you let me live?
context: Nihiru is calling for me.\Brother!\Hyakkimaru, you...\Thanks, Hyakkimaru.\Thanks...\This sword is mine.\Mine and only mine.\Why did you let me live? response:	You should have killed me,
context: Brother!\Hyakkimaru, you...\Thanks, Hyakkimaru.\Thanks...\This sword is mine.\Mine and only mine.\Why did you let me live?\You should have killed me, response:	before I got Nihiru back in my hands.
context: Hyakkimaru, you...\Thanks, Hyakkimaru.\Thanks...\This sword is mine.\Mine and only mine.\Why did you let me live?\You should have killed me,\before I got Nihiru back in my hands. response:	Brother?
context: Thanks, Hyakkimaru.\Thanks...\This sword is mine.\Mine and only mine.\Why did you let me live?\You should have killed me,\before I got Nihiru back in my hands.\Brother? response:	Wait, please!
context: Thanks...\This sword is mine.\Mine and only mine.\Why did you let me live?\You should have killed me,\before I got Nihiru back in my hands.\Brother?\Wait, please! response:	Don't kill my brother!
context: This sword is mine.\Mine and only mine.\Why did you let me live?\You should have killed me,\before I got Nihiru back in my hands.\Brother?\Wait, please!\Don't kill my brother! response:	Brother...
context: Mine and only mine.\Why did you let me live?\You should have killed me,\before I got Nihiru back in my hands.\Brother?\Wait, please!\Don't kill my brother!\Brother... response:	Brother...
context: Why did you let me live?\You should have killed me,\before I got Nihiru back in my hands.\Brother?\Wait, please!\Don't kill my brother!\Brother...\Brother... response:	What...?
context: You should have killed me,\before I got Nihiru back in my hands.\Brother?\Wait, please!\Don't kill my brother!\Brother...\Brother...\What...? response:	We searched everywhere, but couldn't find the midwife.
context: before I got Nihiru back in my hands.\Brother?\Wait, please!\Don't kill my brother!\Brother...\Brother...\What...?\We searched everywhere, but couldn't find the midwife. response:	Nothing about the baby, either.
context: Brother?\Wait, please!\Don't kill my brother!\Brother...\Brother...\What...?\We searched everywhere, but couldn't find the midwife.\Nothing about the baby, either. response:	Sorrow scatters in the wind,
context: Wait, please!\Don't kill my brother!\Brother...\Brother...\What...?\We searched everywhere, but couldn't find the midwife.\Nothing about the baby, either.\Sorrow scatters in the wind, response:	piling up to form shadows
context: Don't kill my brother!\Brother...\Brother...\What...?\We searched everywhere, but couldn't find the midwife.\Nothing about the baby, either.\Sorrow scatters in the wind,\piling up to form shadows response:	Our footsteps admonish indifference in such verbose ways
context: Brother...\Brother...\What...?\We searched everywhere, but couldn't find the midwife.\Nothing about the baby, either.\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways response:	As I peek into your fathomless eyes, I lose my composure
context: Brother...\What...?\We searched everywhere, but couldn't find the midwife.\Nothing about the baby, either.\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure response:	Is there any hope in the place I am heading to?
context: What...?\We searched everywhere, but couldn't find the midwife.\Nothing about the baby, either.\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to? response:	I feign amusement and laugh
context: We searched everywhere, but couldn't find the midwife.\Nothing about the baby, either.\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh response:	because this road is so dark
context: Nothing about the baby, either.\Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark response:	I will be there to shine the light
context: Sorrow scatters in the wind,\piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light response:	I'm used to playing at saying goodbye,
context: piling up to form shadows\Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye, response:	but I cried when I waved to you
context: Our footsteps admonish indifference in such verbose ways\As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you response:	Our fiery woes fade... and fade...
context: As I peek into your fathomless eyes, I lose my composure\Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade... response:	until night falls upon us
context: Is there any hope in the place I am heading to?\I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade...\until night falls upon us response:	If I knew tomorrow would be so mundane,
context: I feign amusement and laugh\because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade...\until night falls upon us\If I knew tomorrow would be so mundane, response:	I wouldn't have said that I wanted to live
context: because this road is so dark\I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade...\until night falls upon us\If I knew tomorrow would be so mundane,\I wouldn't have said that I wanted to live response:	I know it's futile but can't help dreaming of a future... a future... you are to blame
context: I will be there to shine the light\I'm used to playing at saying goodbye,\but I cried when I waved to you\Our fiery woes fade... and fade...\until night falls upon us\If I knew tomorrow would be so mundane,\I wouldn't have said that I wanted to live\I know it's futile but can't help dreaming of a future... a future... you are to blame response:	Nihiru
