context: Kirara... are you in pain? response:	Naraku's toxins are still inside your system.
context: But no matter what, you're just half of one.\Half? I guess that's around here, huh?\You can understand what it's like.\Just because my Jinenji is a half-demon...\how much we have suffered at the hands of those villagers.\You mean, he's bullied?\Sorry Ma... they bully you cuz' of me.\What are you saying? response:	We have done nothing wrong!
context: Half? I guess that's around here, huh?\You can understand what it's like.\Just because my Jinenji is a half-demon...\how much we have suffered at the hands of those villagers.\You mean, he's bullied?\Sorry Ma... they bully you cuz' of me.\What are you saying?\We have done nothing wrong! response:	Your father was a fine, good demon.
context: You can understand what it's like.\Just because my Jinenji is a half-demon...\how much we have suffered at the hands of those villagers.\You mean, he's bullied?\Sorry Ma... they bully you cuz' of me.\What are you saying?\We have done nothing wrong!\Your father was a fine, good demon. response:	Such memories I have...
context: Just because my Jinenji is a half-demon...\how much we have suffered at the hands of those villagers.\You mean, he's bullied?\Sorry Ma... they bully you cuz' of me.\What are you saying?\We have done nothing wrong!\Your father was a fine, good demon.\Such memories I have... response:	I sprained my ankle in the mountain and couldn't walk.
context: how much we have suffered at the hands of those villagers.\You mean, he's bullied?\Sorry Ma... they bully you cuz' of me.\What are you saying?\We have done nothing wrong!\Your father was a fine, good demon.\Such memories I have...\I sprained my ankle in the mountain and couldn't walk. response:	It was your father who saved me.
context: You mean, he's bullied?\Sorry Ma... they bully you cuz' of me.\What are you saying?\We have done nothing wrong!\Your father was a fine, good demon.\Such memories I have...\I sprained my ankle in the mountain and couldn't walk.\It was your father who saved me. response:	He was in the form of a handsome man...
context: Sorry Ma... they bully you cuz' of me.\What are you saying?\We have done nothing wrong!\Your father was a fine, good demon.\Such memories I have...\I sprained my ankle in the mountain and couldn't walk.\It was your father who saved me.\He was in the form of a handsome man... response:	but I knew immediately that he was a demon.
context: What are you saying?\We have done nothing wrong!\Your father was a fine, good demon.\Such memories I have...\I sprained my ankle in the mountain and couldn't walk.\It was your father who saved me.\He was in the form of a handsome man...\but I knew immediately that he was a demon. response:	Because he was bathed in light.
context: We have done nothing wrong!\Your father was a fine, good demon.\Such memories I have...\I sprained my ankle in the mountain and couldn't walk.\It was your father who saved me.\He was in the form of a handsome man...\but I knew immediately that he was a demon.\Because he was bathed in light. response:	And we fell passionately in love.
context: Your father was a fine, good demon.\Such memories I have...\I sprained my ankle in the mountain and couldn't walk.\It was your father who saved me.\He was in the form of a handsome man...\but I knew immediately that he was a demon.\Because he was bathed in light.\And we fell passionately in love. response:	Just a minute, crone...
context: Such memories I have...\I sprained my ankle in the mountain and couldn't walk.\It was your father who saved me.\He was in the form of a handsome man...\but I knew immediately that he was a demon.\Because he was bathed in light.\And we fell passionately in love.\Just a minute, crone... response:	That means you're the human?
context: I sprained my ankle in the mountain and couldn't walk.\It was your father who saved me.\He was in the form of a handsome man...\but I knew immediately that he was a demon.\Because he was bathed in light.\And we fell passionately in love.\Just a minute, crone...\That means you're the human? response:	What did you think I was?
context: It was your father who saved me.\He was in the form of a handsome man...\but I knew immediately that he was a demon.\Because he was bathed in light.\And we fell passionately in love.\Just a minute, crone...\That means you're the human?\What did you think I was? response:	She's not a witch.
context: He was in the form of a handsome man...\but I knew immediately that he was a demon.\Because he was bathed in light.\And we fell passionately in love.\Just a minute, crone...\That means you're the human?\What did you think I was?\She's not a witch. response:	An antidote.
context: but I knew immediately that he was a demon.\Because he was bathed in light.\And we fell passionately in love.\Just a minute, crone...\That means you're the human?\What did you think I was?\She's not a witch.\An antidote. response:	If someone is poisoned, prepare this potion.
context: Because he was bathed in light.\And we fell passionately in love.\Just a minute, crone...\That means you're the human?\What did you think I was?\She's not a witch.\An antidote.\If someone is poisoned, prepare this potion. response:	T-thanks.
context: And we fell passionately in love.\Just a minute, crone...\That means you're the human?\What did you think I was?\She's not a witch.\An antidote.\If someone is poisoned, prepare this potion.\T-thanks. response:	How much do we owe?
context: Just a minute, crone...\That means you're the human?\What did you think I was?\She's not a witch.\An antidote.\If someone is poisoned, prepare this potion.\T-thanks.\How much do we owe? response:	Never mind.
context: That means you're the human?\What did you think I was?\She's not a witch.\An antidote.\If someone is poisoned, prepare this potion.\T-thanks.\How much do we owe?\Never mind. response:	We're even now... for the clubbing I gave him earlier.
context: What did you think I was?\She's not a witch.\An antidote.\If someone is poisoned, prepare this potion.\T-thanks.\How much do we owe?\Never mind.\We're even now... for the clubbing I gave him earlier. response:	Now go.
context: She's not a witch.\An antidote.\If someone is poisoned, prepare this potion.\T-thanks.\How much do we owe?\Never mind.\We're even now... for the clubbing I gave him earlier.\Now go. response:	If you stay, you'll get caught up!
context: An antidote.\If someone is poisoned, prepare this potion.\T-thanks.\How much do we owe?\Never mind.\We're even now... for the clubbing I gave him earlier.\Now go.\If you stay, you'll get caught up! response:	Inuyasha...
context: If someone is poisoned, prepare this potion.\T-thanks.\How much do we owe?\Never mind.\We're even now... for the clubbing I gave him earlier.\Now go.\If you stay, you'll get caught up!\Inuyasha... response:	is it okay to leave them?
context: T-thanks.\How much do we owe?\Never mind.\We're even now... for the clubbing I gave him earlier.\Now go.\If you stay, you'll get caught up!\Inuyasha...\is it okay to leave them? response:	Whaddya mean?
context: How much do we owe?\Never mind.\We're even now... for the clubbing I gave him earlier.\Now go.\If you stay, you'll get caught up!\Inuyasha...\is it okay to leave them?\Whaddya mean? response:	The villagers believe that Jinenji eats people.
context: Never mind.\We're even now... for the clubbing I gave him earlier.\Now go.\If you stay, you'll get caught up!\Inuyasha...\is it okay to leave them?\Whaddya mean?\The villagers believe that Jinenji eats people. response:	Jinenji is big in size, but he seems very gentle.
context: We're even now... for the clubbing I gave him earlier.\Now go.\If you stay, you'll get caught up!\Inuyasha...\is it okay to leave them?\Whaddya mean?\The villagers believe that Jinenji eats people.\Jinenji is big in size, but he seems very gentle. response:	That's why he's picked on.
context: Now go.\If you stay, you'll get caught up!\Inuyasha...\is it okay to leave them?\Whaddya mean?\The villagers believe that Jinenji eats people.\Jinenji is big in size, but he seems very gentle.\That's why he's picked on. response:	When you're born a half-demon...
context: If you stay, you'll get caught up!\Inuyasha...\is it okay to leave them?\Whaddya mean?\The villagers believe that Jinenji eats people.\Jinenji is big in size, but he seems very gentle.\That's why he's picked on.\When you're born a half-demon... response:	you need to be prepared and you need to be tough.
context: Inuyasha...\is it okay to leave them?\Whaddya mean?\The villagers believe that Jinenji eats people.\Jinenji is big in size, but he seems very gentle.\That's why he's picked on.\When you're born a half-demon...\you need to be prepared and you need to be tough. response:	Gather every sword and spear in the village!
context: is it okay to leave them?\Whaddya mean?\The villagers believe that Jinenji eats people.\Jinenji is big in size, but he seems very gentle.\That's why he's picked on.\When you're born a half-demon...\you need to be prepared and you need to be tough.\Gather every sword and spear in the village! response:	This'll do!
context: Whaddya mean?\The villagers believe that Jinenji eats people.\Jinenji is big in size, but he seems very gentle.\That's why he's picked on.\When you're born a half-demon...\you need to be prepared and you need to be tough.\Gather every sword and spear in the village!\This'll do! response:	We can beat Jinenji with these!
context: The villagers believe that Jinenji eats people.\Jinenji is big in size, but he seems very gentle.\That's why he's picked on.\When you're born a half-demon...\you need to be prepared and you need to be tough.\Gather every sword and spear in the village!\This'll do!\We can beat Jinenji with these! response:	We must kill him before he kills us!
context: Jinenji is big in size, but he seems very gentle.\That's why he's picked on.\When you're born a half-demon...\you need to be prepared and you need to be tough.\Gather every sword and spear in the village!\This'll do!\We can beat Jinenji with these!\We must kill him before he kills us! response:	Tonight! We'll settle it tonight!
context: That's why he's picked on.\When you're born a half-demon...\you need to be prepared and you need to be tough.\Gather every sword and spear in the village!\This'll do!\We can beat Jinenji with these!\We must kill him before he kills us!\Tonight! We'll settle it tonight! response:	Just a minute!
context: When you're born a half-demon...\you need to be prepared and you need to be tough.\Gather every sword and spear in the village!\This'll do!\We can beat Jinenji with these!\We must kill him before he kills us!\Tonight! We'll settle it tonight!\Just a minute! response:	What? It's you!
context: you need to be prepared and you need to be tough.\Gather every sword and spear in the village!\This'll do!\We can beat Jinenji with these!\We must kill him before he kills us!\Tonight! We'll settle it tonight!\Just a minute!\What? It's you! response:	You intend to attack Jinenji?
context: Gather every sword and spear in the village!\This'll do!\We can beat Jinenji with these!\We must kill him before he kills us!\Tonight! We'll settle it tonight!\Just a minute!\What? It's you!\You intend to attack Jinenji? response:	Of course!
context: This'll do!\We can beat Jinenji with these!\We must kill him before he kills us!\Tonight! We'll settle it tonight!\Just a minute!\What? It's you!\You intend to attack Jinenji?\Of course! response:	But you have no proof that he killed anyone!
context: We can beat Jinenji with these!\We must kill him before he kills us!\Tonight! We'll settle it tonight!\Just a minute!\What? It's you!\You intend to attack Jinenji?\Of course!\But you have no proof that he killed anyone! response:	It has to be him!
context: We must kill him before he kills us!\Tonight! We'll settle it tonight!\Just a minute!\What? It's you!\You intend to attack Jinenji?\Of course!\But you have no proof that he killed anyone!\It has to be him! response:	That hag and her son resent us!
context: Tonight! We'll settle it tonight!\Just a minute!\What? It's you!\You intend to attack Jinenji?\Of course!\But you have no proof that he killed anyone!\It has to be him!\That hag and her son resent us! response:	They're just getting back at us!
context: Just a minute!\What? It's you!\You intend to attack Jinenji?\Of course!\But you have no proof that he killed anyone!\It has to be him!\That hag and her son resent us!\They're just getting back at us! response:	Hey you...
context: What? It's you!\You intend to attack Jinenji?\Of course!\But you have no proof that he killed anyone!\It has to be him!\That hag and her son resent us!\They're just getting back at us!\Hey you... response:	you've been awfully cruel to Jinenji, haven't you?
context: You intend to attack Jinenji?\Of course!\But you have no proof that he killed anyone!\It has to be him!\That hag and her son resent us!\They're just getting back at us!\Hey you...\you've been awfully cruel to Jinenji, haven't you? response:	Huh?
context: Of course!\But you have no proof that he killed anyone!\It has to be him!\That hag and her son resent us!\They're just getting back at us!\Hey you...\you've been awfully cruel to Jinenji, haven't you?\Huh? response:	Well anyway, unless the real flesh-eating demon is caught...
context: But you have no proof that he killed anyone!\It has to be him!\That hag and her son resent us!\They're just getting back at us!\Hey you...\you've been awfully cruel to Jinenji, haven't you?\Huh?\Well anyway, unless the real flesh-eating demon is caught... response:	this won't be resolved.
context: It has to be him!\That hag and her son resent us!\They're just getting back at us!\Hey you...\you've been awfully cruel to Jinenji, haven't you?\Huh?\Well anyway, unless the real flesh-eating demon is caught...\this won't be resolved. response:	Real flesh-eating demon?
context: That hag and her son resent us!\They're just getting back at us!\Hey you...\you've been awfully cruel to Jinenji, haven't you?\Huh?\Well anyway, unless the real flesh-eating demon is caught...\this won't be resolved.\Real flesh-eating demon? response:	You're gonna capture it?
context: They're just getting back at us!\Hey you...\you've been awfully cruel to Jinenji, haven't you?\Huh?\Well anyway, unless the real flesh-eating demon is caught...\this won't be resolved.\Real flesh-eating demon?\You're gonna capture it? response:	Inuyasha, I'm going back to the farm.
context: Hey you...\you've been awfully cruel to Jinenji, haven't you?\Huh?\Well anyway, unless the real flesh-eating demon is caught...\this won't be resolved.\Real flesh-eating demon?\You're gonna capture it?\Inuyasha, I'm going back to the farm. response:	Kagome!
context: you've been awfully cruel to Jinenji, haven't you?\Huh?\Well anyway, unless the real flesh-eating demon is caught...\this won't be resolved.\Real flesh-eating demon?\You're gonna capture it?\Inuyasha, I'm going back to the farm.\Kagome! response:	So until Inuyasha returns, please don't attack Jinenji.
context: Huh?\Well anyway, unless the real flesh-eating demon is caught...\this won't be resolved.\Real flesh-eating demon?\You're gonna capture it?\Inuyasha, I'm going back to the farm.\Kagome!\So until Inuyasha returns, please don't attack Jinenji. response:	If I should get caught up and hurt...
context: Well anyway, unless the real flesh-eating demon is caught...\this won't be resolved.\Real flesh-eating demon?\You're gonna capture it?\Inuyasha, I'm going back to the farm.\Kagome!\So until Inuyasha returns, please don't attack Jinenji.\If I should get caught up and hurt... response:	this Inuyasha will wreak havoc in the village!
context: this won't be resolved.\Real flesh-eating demon?\You're gonna capture it?\Inuyasha, I'm going back to the farm.\Kagome!\So until Inuyasha returns, please don't attack Jinenji.\If I should get caught up and hurt...\this Inuyasha will wreak havoc in the village! response:	Huh? What?!
context: Real flesh-eating demon?\You're gonna capture it?\Inuyasha, I'm going back to the farm.\Kagome!\So until Inuyasha returns, please don't attack Jinenji.\If I should get caught up and hurt...\this Inuyasha will wreak havoc in the village!\Huh? What?! response:	Why not? You'd better wreak havoc! You have to!
context: You're gonna capture it?\Inuyasha, I'm going back to the farm.\Kagome!\So until Inuyasha returns, please don't attack Jinenji.\If I should get caught up and hurt...\this Inuyasha will wreak havoc in the village!\Huh? What?!\Why not? You'd better wreak havoc! You have to! response:	W-well... I guess I can...
context: Inuyasha, I'm going back to the farm.\Kagome!\So until Inuyasha returns, please don't attack Jinenji.\If I should get caught up and hurt...\this Inuyasha will wreak havoc in the village!\Huh? What?!\Why not? You'd better wreak havoc! You have to!\W-well... I guess I can... response:	What is this kid?
context: Kagome!\So until Inuyasha returns, please don't attack Jinenji.\If I should get caught up and hurt...\this Inuyasha will wreak havoc in the village!\Huh? What?!\Why not? You'd better wreak havoc! You have to!\W-well... I guess I can...\What is this kid? response:	He doesn't seem reliable.
context: So until Inuyasha returns, please don't attack Jinenji.\If I should get caught up and hurt...\this Inuyasha will wreak havoc in the village!\Huh? What?!\Why not? You'd better wreak havoc! You have to!\W-well... I guess I can...\What is this kid?\He doesn't seem reliable. response:	The murdered woman had the smell of a demon on her.
context: If I should get caught up and hurt...\this Inuyasha will wreak havoc in the village!\Huh? What?!\Why not? You'd better wreak havoc! You have to!\W-well... I guess I can...\What is this kid?\He doesn't seem reliable.\The murdered woman had the smell of a demon on her. response:	I can smell it... it's nearby!
context: this Inuyasha will wreak havoc in the village!\Huh? What?!\Why not? You'd better wreak havoc! You have to!\W-well... I guess I can...\What is this kid?\He doesn't seem reliable.\The murdered woman had the smell of a demon on her.\I can smell it... it's nearby! response:	- The villagers did? - Yes.
context: Huh? What?!\Why not? You'd better wreak havoc! You have to!\W-well... I guess I can...\What is this kid?\He doesn't seem reliable.\The murdered woman had the smell of a demon on her.\I can smell it... it's nearby!\- The villagers did? - Yes. response:	So until Jinenji's innocence is proven, I'll help out here.
context: Why not? You'd better wreak havoc! You have to!\W-well... I guess I can...\What is this kid?\He doesn't seem reliable.\The murdered woman had the smell of a demon on her.\I can smell it... it's nearby!\- The villagers did? - Yes.\So until Jinenji's innocence is proven, I'll help out here. response:	As you please.
context: W-well... I guess I can...\What is this kid?\He doesn't seem reliable.\The murdered woman had the smell of a demon on her.\I can smell it... it's nearby!\- The villagers did? - Yes.\So until Jinenji's innocence is proven, I'll help out here.\As you please. response:	I just pull out the weeds?
context: What is this kid?\He doesn't seem reliable.\The murdered woman had the smell of a demon on her.\I can smell it... it's nearby!\- The villagers did? - Yes.\So until Jinenji's innocence is proven, I'll help out here.\As you please.\I just pull out the weeds? response:	Y-yes...
context: He doesn't seem reliable.\The murdered woman had the smell of a demon on her.\I can smell it... it's nearby!\- The villagers did? - Yes.\So until Jinenji's innocence is proven, I'll help out here.\As you please.\I just pull out the weeds?\Y-yes... response:	So many scars...
context: The murdered woman had the smell of a demon on her.\I can smell it... it's nearby!\- The villagers did? - Yes.\So until Jinenji's innocence is proven, I'll help out here.\As you please.\I just pull out the weeds?\Y-yes...\So many scars... response:	The villagers must have inflicted them.
context: I can smell it... it's nearby!\- The villagers did? - Yes.\So until Jinenji's innocence is proven, I'll help out here.\As you please.\I just pull out the weeds?\Y-yes...\So many scars...\The villagers must have inflicted them. response:	Say, didn't you ever think about leaving here?
context: - The villagers did? - Yes.\So until Jinenji's innocence is proven, I'll help out here.\As you please.\I just pull out the weeds?\Y-yes...\So many scars...\The villagers must have inflicted them.\Say, didn't you ever think about leaving here? response:	This place is best... My pa left us this farm.
context: So until Jinenji's innocence is proven, I'll help out here.\As you please.\I just pull out the weeds?\Y-yes...\So many scars...\The villagers must have inflicted them.\Say, didn't you ever think about leaving here?\This place is best... My pa left us this farm. response:	I see...
context: As you please.\I just pull out the weeds?\Y-yes...\So many scars...\The villagers must have inflicted them.\Say, didn't you ever think about leaving here?\This place is best... My pa left us this farm.\I see... response:	l- I'm speaking to her...
context: I just pull out the weeds?\Y-yes...\So many scars...\The villagers must have inflicted them.\Say, didn't you ever think about leaving here?\This place is best... My pa left us this farm.\I see...\l- I'm speaking to her... response:	For the first time in my life, I spoke to a girl!
context: Y-yes...\So many scars...\The villagers must have inflicted them.\Say, didn't you ever think about leaving here?\This place is best... My pa left us this farm.\I see...\l- I'm speaking to her...\For the first time in my life, I spoke to a girl! response:	An earthworm!
context: So many scars...\The villagers must have inflicted them.\Say, didn't you ever think about leaving here?\This place is best... My pa left us this farm.\I see...\l- I'm speaking to her...\For the first time in my life, I spoke to a girl!\An earthworm! response:	Thanks...
context: The villagers must have inflicted them.\Say, didn't you ever think about leaving here?\This place is best... My pa left us this farm.\I see...\l- I'm speaking to her...\For the first time in my life, I spoke to a girl!\An earthworm!\Thanks... response:	She's scared of earthworms, but she's not afraid of Jinenji?
context: Say, didn't you ever think about leaving here?\This place is best... My pa left us this farm.\I see...\l- I'm speaking to her...\For the first time in my life, I spoke to a girl!\An earthworm!\Thanks...\She's scared of earthworms, but she's not afraid of Jinenji? response:	Look!
context: This place is best... My pa left us this farm.\I see...\l- I'm speaking to her...\For the first time in my life, I spoke to a girl!\An earthworm!\Thanks...\She's scared of earthworms, but she's not afraid of Jinenji?\Look! response:	Ahh...is this what it's like to have fun?
context: I see...\l- I'm speaking to her...\For the first time in my life, I spoke to a girl!\An earthworm!\Thanks...\She's scared of earthworms, but she's not afraid of Jinenji?\Look!\Ahh...is this what it's like to have fun? response:	It's around here. I'm sure of it.
context: l- I'm speaking to her...\For the first time in my life, I spoke to a girl!\An earthworm!\Thanks...\She's scared of earthworms, but she's not afraid of Jinenji?\Look!\Ahh...is this what it's like to have fun?\It's around here. I'm sure of it. response:	The earth...
context: For the first time in my life, I spoke to a girl!\An earthworm!\Thanks...\She's scared of earthworms, but she's not afraid of Jinenji?\Look!\Ahh...is this what it's like to have fun?\It's around here. I'm sure of it.\The earth... response:	Are you beneath this?!
context: An earthworm!\Thanks...\She's scared of earthworms, but she's not afraid of Jinenji?\Look!\Ahh...is this what it's like to have fun?\It's around here. I'm sure of it.\The earth...\Are you beneath this?! response:	Aw... Ouch...
context: Thanks...\She's scared of earthworms, but she's not afraid of Jinenji?\Look!\Ahh...is this what it's like to have fun?\It's around here. I'm sure of it.\The earth...\Are you beneath this?!\Aw... Ouch... response:	What is this place?
context: She's scared of earthworms, but she's not afraid of Jinenji?\Look!\Ahh...is this what it's like to have fun?\It's around here. I'm sure of it.\The earth...\Are you beneath this?!\Aw... Ouch...\What is this place? response:	These are eggs!
context: Look!\Ahh...is this what it's like to have fun?\It's around here. I'm sure of it.\The earth...\Are you beneath this?!\Aw... Ouch...\What is this place?\These are eggs! response:	And they've just hatched.
context: Ahh...is this what it's like to have fun?\It's around here. I'm sure of it.\The earth...\Are you beneath this?!\Aw... Ouch...\What is this place?\These are eggs!\And they've just hatched. response:	I see... this is a demon's nest!
context: It's around here. I'm sure of it.\The earth...\Are you beneath this?!\Aw... Ouch...\What is this place?\These are eggs!\And they've just hatched.\I see... this is a demon's nest! response:	No! The parent demon has taken her brood out!
context: The earth...\Are you beneath this?!\Aw... Ouch...\What is this place?\These are eggs!\And they've just hatched.\I see... this is a demon's nest!\No! The parent demon has taken her brood out! response:	What'll they do?
context: Are you beneath this?!\Aw... Ouch...\What is this place?\These are eggs!\And they've just hatched.\I see... this is a demon's nest!\No! The parent demon has taken her brood out!\What'll they do? response:	It's obvious!
context: Aw... Ouch...\What is this place?\These are eggs!\And they've just hatched.\I see... this is a demon's nest!\No! The parent demon has taken her brood out!\What'll they do?\It's obvious! response:	She's taken her newborn to teach them how to hunt humans!
context: What is this place?\These are eggs!\And they've just hatched.\I see... this is a demon's nest!\No! The parent demon has taken her brood out!\What'll they do?\It's obvious!\She's taken her newborn to teach them how to hunt humans! response:	Kagome is in danger!
context: These are eggs!\And they've just hatched.\I see... this is a demon's nest!\No! The parent demon has taken her brood out!\What'll they do?\It's obvious!\She's taken her newborn to teach them how to hunt humans!\Kagome is in danger! response:	Shall we do it?
context: And they've just hatched.\I see... this is a demon's nest!\No! The parent demon has taken her brood out!\What'll they do?\It's obvious!\She's taken her newborn to teach them how to hunt humans!\Kagome is in danger!\Shall we do it? response:	We needn't worry.
context: I see... this is a demon's nest!\No! The parent demon has taken her brood out!\What'll they do?\It's obvious!\She's taken her newborn to teach them how to hunt humans!\Kagome is in danger!\Shall we do it?\We needn't worry. response:	Only Jinenji eats human!
context: No! The parent demon has taken her brood out!\What'll they do?\It's obvious!\She's taken her newborn to teach them how to hunt humans!\Kagome is in danger!\Shall we do it?\We needn't worry.\Only Jinenji eats human! response:	We can't trust that other half-demon kid!
context: What'll they do?\It's obvious!\She's taken her newborn to teach them how to hunt humans!\Kagome is in danger!\Shall we do it?\We needn't worry.\Only Jinenji eats human!\We can't trust that other half-demon kid! response:	What am I feeling?
context: It's obvious!\She's taken her newborn to teach them how to hunt humans!\Kagome is in danger!\Shall we do it?\We needn't worry.\Only Jinenji eats human!\We can't trust that other half-demon kid!\What am I feeling? response:	When I'm with this girl, I feel a warmth in my heart.
context: She's taken her newborn to teach them how to hunt humans!\Kagome is in danger!\Shall we do it?\We needn't worry.\Only Jinenji eats human!\We can't trust that other half-demon kid!\What am I feeling?\When I'm with this girl, I feel a warmth in my heart. response:	Come on out, Jinenji!
context: Kagome is in danger!\Shall we do it?\We needn't worry.\Only Jinenji eats human!\We can't trust that other half-demon kid!\What am I feeling?\When I'm with this girl, I feel a warmth in my heart.\Come on out, Jinenji! response:	We know you're the one who killed our people!
context: Shall we do it?\We needn't worry.\Only Jinenji eats human!\We can't trust that other half-demon kid!\What am I feeling?\When I'm with this girl, I feel a warmth in my heart.\Come on out, Jinenji!\We know you're the one who killed our people! response:	You rotten half-demon!
context: We needn't worry.\Only Jinenji eats human!\We can't trust that other half-demon kid!\What am I feeling?\When I'm with this girl, I feel a warmth in my heart.\Come on out, Jinenji!\We know you're the one who killed our people!\You rotten half-demon! response:	Old woman!
context: Only Jinenji eats human!\We can't trust that other half-demon kid!\What am I feeling?\When I'm with this girl, I feel a warmth in my heart.\Come on out, Jinenji!\We know you're the one who killed our people!\You rotten half-demon!\Old woman! response:	Those men!
context: We can't trust that other half-demon kid!\What am I feeling?\When I'm with this girl, I feel a warmth in my heart.\Come on out, Jinenji!\We know you're the one who killed our people!\You rotten half-demon!\Old woman!\Those men! response:	Don't worry. Stay put!
context: What am I feeling?\When I'm with this girl, I feel a warmth in my heart.\Come on out, Jinenji!\We know you're the one who killed our people!\You rotten half-demon!\Old woman!\Those men!\Don't worry. Stay put! response:	Why you!
context: When I'm with this girl, I feel a warmth in my heart.\Come on out, Jinenji!\We know you're the one who killed our people!\You rotten half-demon!\Old woman!\Those men!\Don't worry. Stay put!\Why you! response:	You ingrate!
context: Come on out, Jinenji!\We know you're the one who killed our people!\You rotten half-demon!\Old woman!\Those men!\Don't worry. Stay put!\Why you!\You ingrate! response:	After we let you live near our village!
context: We know you're the one who killed our people!\You rotten half-demon!\Old woman!\Those men!\Don't worry. Stay put!\Why you!\You ingrate!\After we let you live near our village! response:	Stop!
context: You rotten half-demon!\Old woman!\Those men!\Don't worry. Stay put!\Why you!\You ingrate!\After we let you live near our village!\Stop! response:	Are you all right?
context: Old woman!\Those men!\Don't worry. Stay put!\Why you!\You ingrate!\After we let you live near our village!\Stop!\Are you all right? response:	- Move, girl! - Why try to protect them?!
context: Those men!\Don't worry. Stay put!\Why you!\You ingrate!\After we let you live near our village!\Stop!\Are you all right?\- Move, girl! - Why try to protect them?! response:	Jinenji can't kill anyone!
context: Don't worry. Stay put!\Why you!\You ingrate!\After we let you live near our village!\Stop!\Are you all right?\- Move, girl! - Why try to protect them?!\Jinenji can't kill anyone! response:	If you stayed with him, you'd see that immediately!
context: Why you!\You ingrate!\After we let you live near our village!\Stop!\Are you all right?\- Move, girl! - Why try to protect them?!\Jinenji can't kill anyone!\If you stayed with him, you'd see that immediately! response:	Jinenji is a kind and gentle person!
context: You ingrate!\After we let you live near our village!\Stop!\Are you all right?\- Move, girl! - Why try to protect them?!\Jinenji can't kill anyone!\If you stayed with him, you'd see that immediately!\Jinenji is a kind and gentle person! response:	Never mind! Kill the girl too!
context: After we let you live near our village!\Stop!\Are you all right?\- Move, girl! - Why try to protect them?!\Jinenji can't kill anyone!\If you stayed with him, you'd see that immediately!\Jinenji is a kind and gentle person!\Never mind! Kill the girl too! response:	She was in cahoots with that half-demon boy anyway!
context: Stop!\Are you all right?\- Move, girl! - Why try to protect them?!\Jinenji can't kill anyone!\If you stayed with him, you'd see that immediately!\Jinenji is a kind and gentle person!\Never mind! Kill the girl too!\She was in cahoots with that half-demon boy anyway! response:	She's one of them!
context: Are you all right?\- Move, girl! - Why try to protect them?!\Jinenji can't kill anyone!\If you stayed with him, you'd see that immediately!\Jinenji is a kind and gentle person!\Never mind! Kill the girl too!\She was in cahoots with that half-demon boy anyway!\She's one of them! response:	The hut!
context: - Move, girl! - Why try to protect them?!\Jinenji can't kill anyone!\If you stayed with him, you'd see that immediately!\Jinenji is a kind and gentle person!\Never mind! Kill the girl too!\She was in cahoots with that half-demon boy anyway!\She's one of them!\The hut! response:	Why you...!
context: Jinenji can't kill anyone!\If you stayed with him, you'd see that immediately!\Jinenji is a kind and gentle person!\Never mind! Kill the girl too!\She was in cahoots with that half-demon boy anyway!\She's one of them!\The hut!\Why you...! response:	Tago's been seized by a giant demon!
context: If you stayed with him, you'd see that immediately!\Jinenji is a kind and gentle person!\Never mind! Kill the girl too!\She was in cahoots with that half-demon boy anyway!\She's one of them!\The hut!\Why you...!\Tago's been seized by a giant demon! response:	The larvae are eating Tago!
context: Jinenji is a kind and gentle person!\Never mind! Kill the girl too!\She was in cahoots with that half-demon boy anyway!\She's one of them!\The hut!\Why you...!\Tago's been seized by a giant demon!\The larvae are eating Tago! response:	They're gonna eat us!
context: Never mind! Kill the girl too!\She was in cahoots with that half-demon boy anyway!\She's one of them!\The hut!\Why you...!\Tago's been seized by a giant demon!\The larvae are eating Tago!\They're gonna eat us! response:	You see?! They're the one who ate the villagers!
context: She was in cahoots with that half-demon boy anyway!\She's one of them!\The hut!\Why you...!\Tago's been seized by a giant demon!\The larvae are eating Tago!\They're gonna eat us!\You see?! They're the one who ate the villagers! response:	I have to do something! Anything!
context: She's one of them!\The hut!\Why you...!\Tago's been seized by a giant demon!\The larvae are eating Tago!\They're gonna eat us!\You see?! They're the one who ate the villagers!\I have to do something! Anything! response:	Jinenji, run outside!
context: The hut!\Why you...!\Tago's been seized by a giant demon!\The larvae are eating Tago!\They're gonna eat us!\You see?! They're the one who ate the villagers!\I have to do something! Anything!\Jinenji, run outside! response:	Stay with your mother!
context: Why you...!\Tago's been seized by a giant demon!\The larvae are eating Tago!\They're gonna eat us!\You see?! They're the one who ate the villagers!\I have to do something! Anything!\Jinenji, run outside!\Stay with your mother! response:	I got it!
context: Tago's been seized by a giant demon!\The larvae are eating Tago!\They're gonna eat us!\You see?! They're the one who ate the villagers!\I have to do something! Anything!\Jinenji, run outside!\Stay with your mother!\I got it! response:	Stop!
context: The larvae are eating Tago!\They're gonna eat us!\You see?! They're the one who ate the villagers!\I have to do something! Anything!\Jinenji, run outside!\Stay with your mother!\I got it!\Stop! response:	Jinenji!
context: They're gonna eat us!\You see?! They're the one who ate the villagers!\I have to do something! Anything!\Jinenji, run outside!\Stay with your mother!\I got it!\Stop!\Jinenji! response:	Jinenji!
context: You see?! They're the one who ate the villagers!\I have to do something! Anything!\Jinenji, run outside!\Stay with your mother!\I got it!\Stop!\Jinenji!\Jinenji! response:	Hurry and get away!
