context: I'm back. response:	I spent my summer at a place in the mountains.
context: You're always smiling, and now you...\I-It's not like I'm some sort of smiling expert.\I look gloomy all the time, just like you!\You shouldn't be comparing yourself to me.\How about you try taking the picture?\Come on.\Okay, I'll take your picture, Akane.\O-Okay! response:	It's been a while since I've been in a room without anyone else around.
context: I-It's not like I'm some sort of smiling expert.\I look gloomy all the time, just like you!\You shouldn't be comparing yourself to me.\How about you try taking the picture?\Come on.\Okay, I'll take your picture, Akane.\O-Okay!\It's been a while since I've been in a room without anyone else around. response:	I guess it's not surprising.
context: I look gloomy all the time, just like you!\You shouldn't be comparing yourself to me.\How about you try taking the picture?\Come on.\Okay, I'll take your picture, Akane.\O-Okay!\It's been a while since I've been in a room without anyone else around.\I guess it's not surprising. response:	Everyone's trying their best for this fair business.
context: You shouldn't be comparing yourself to me.\How about you try taking the picture?\Come on.\Okay, I'll take your picture, Akane.\O-Okay!\It's been a while since I've been in a room without anyone else around.\I guess it's not surprising.\Everyone's trying their best for this fair business. response:	I can't enjoy myself, Granny-sama.
context: How about you try taking the picture?\Come on.\Okay, I'll take your picture, Akane.\O-Okay!\It's been a while since I've been in a room without anyone else around.\I guess it's not surprising.\Everyone's trying their best for this fair business.\I can't enjoy myself, Granny-sama. response:	I can't get that fairy tale out of my head.
context: Come on.\Okay, I'll take your picture, Akane.\O-Okay!\It's been a while since I've been in a room without anyone else around.\I guess it's not surprising.\Everyone's trying their best for this fair business.\I can't enjoy myself, Granny-sama.\I can't get that fairy tale out of my head. response:	To Hatate Souta
context: Okay, I'll take your picture, Akane.\O-Okay!\It's been a while since I've been in a room without anyone else around.\I guess it's not surprising.\Everyone's trying their best for this fair business.\I can't enjoy myself, Granny-sama.\I can't get that fairy tale out of my head.\To Hatate Souta response:	I found some stuff I thought were clues.
context: O-Okay!\It's been a while since I've been in a room without anyone else around.\I guess it's not surprising.\Everyone's trying their best for this fair business.\I can't enjoy myself, Granny-sama.\I can't get that fairy tale out of my head.\To Hatate Souta\I found some stuff I thought were clues. response:	I thought everything would work.
context: It's been a while since I've been in a room without anyone else around.\I guess it's not surprising.\Everyone's trying their best for this fair business.\I can't enjoy myself, Granny-sama.\I can't get that fairy tale out of my head.\To Hatate Souta\I found some stuff I thought were clues.\I thought everything would work. response:	But nothing did.
context: I guess it's not surprising.\Everyone's trying their best for this fair business.\I can't enjoy myself, Granny-sama.\I can't get that fairy tale out of my head.\To Hatate Souta\I found some stuff I thought were clues.\I thought everything would work.\But nothing did. response:	No matter how much fun I have,
context: Everyone's trying their best for this fair business.\I can't enjoy myself, Granny-sama.\I can't get that fairy tale out of my head.\To Hatate Souta\I found some stuff I thought were clues.\I thought everything would work.\But nothing did.\No matter how much fun I have, response:	in the end...
context: I can't enjoy myself, Granny-sama.\I can't get that fairy tale out of my head.\To Hatate Souta\I found some stuff I thought were clues.\I thought everything would work.\But nothing did.\No matter how much fun I have,\in the end... response:	Just like that boy that was the flag...
context: I can't get that fairy tale out of my head.\To Hatate Souta\I found some stuff I thought were clues.\I thought everything would work.\But nothing did.\No matter how much fun I have,\in the end...\Just like that boy that was the flag... response:	Oh, you're awake.
context: To Hatate Souta\I found some stuff I thought were clues.\I thought everything would work.\But nothing did.\No matter how much fun I have,\in the end...\Just like that boy that was the flag...\Oh, you're awake. response:	N-Nanami.
context: I found some stuff I thought were clues.\I thought everything would work.\But nothing did.\No matter how much fun I have,\in the end...\Just like that boy that was the flag...\Oh, you're awake.\N-Nanami. response:	Your door was open.
context: I thought everything would work.\But nothing did.\No matter how much fun I have,\in the end...\Just like that boy that was the flag...\Oh, you're awake.\N-Nanami.\Your door was open. response:	O-Oh.
context: But nothing did.\No matter how much fun I have,\in the end...\Just like that boy that was the flag...\Oh, you're awake.\N-Nanami.\Your door was open.\O-Oh. response:	Did something happen?
context: No matter how much fun I have,\in the end...\Just like that boy that was the flag...\Oh, you're awake.\N-Nanami.\Your door was open.\O-Oh.\Did something happen? response:	Huh?
context: in the end...\Just like that boy that was the flag...\Oh, you're awake.\N-Nanami.\Your door was open.\O-Oh.\Did something happen?\Huh? response:	No, nothing.
context: Just like that boy that was the flag...\Oh, you're awake.\N-Nanami.\Your door was open.\O-Oh.\Did something happen?\Huh?\No, nothing. response:	Are you worrying about something on your own again?
context: Oh, you're awake.\N-Nanami.\Your door was open.\O-Oh.\Did something happen?\Huh?\No, nothing.\Are you worrying about something on your own again? response:	Wh-What?
context: N-Nanami.\Your door was open.\O-Oh.\Did something happen?\Huh?\No, nothing.\Are you worrying about something on your own again?\Wh-What? response:	Never mind.
context: Your door was open.\O-Oh.\Did something happen?\Huh?\No, nothing.\Are you worrying about something on your own again?\Wh-What?\Never mind. response:	It's already so late.
context: O-Oh.\Did something happen?\Huh?\No, nothing.\Are you worrying about something on your own again?\Wh-What?\Never mind.\It's already so late. response:	Of course you'd be hungry.
context: Did something happen?\Huh?\No, nothing.\Are you worrying about something on your own again?\Wh-What?\Never mind.\It's already so late.\Of course you'd be hungry. response:	Guess I'll get a late night snack or something.
context: Huh?\No, nothing.\Are you worrying about something on your own again?\Wh-What?\Never mind.\It's already so late.\Of course you'd be hungry.\Guess I'll get a late night snack or something. response:	I want to go, too.
context: No, nothing.\Are you worrying about something on your own again?\Wh-What?\Never mind.\It's already so late.\Of course you'd be hungry.\Guess I'll get a late night snack or something.\I want to go, too. response:	Me, too.
context: Are you worrying about something on your own again?\Wh-What?\Never mind.\It's already so late.\Of course you'd be hungry.\Guess I'll get a late night snack or something.\I want to go, too.\Me, too. response:	Then we should get some people together to go.
context: Wh-What?\Never mind.\It's already so late.\Of course you'd be hungry.\Guess I'll get a late night snack or something.\I want to go, too.\Me, too.\Then we should get some people together to go. response:	Count me in first!
context: Never mind.\It's already so late.\Of course you'd be hungry.\Guess I'll get a late night snack or something.\I want to go, too.\Me, too.\Then we should get some people together to go.\Count me in first! response:	Count me in second!
context: It's already so late.\Of course you'd be hungry.\Guess I'll get a late night snack or something.\I want to go, too.\Me, too.\Then we should get some people together to go.\Count me in first!\Count me in second! response:	What about you guys? Okiku-nee, Hakua.
context: Of course you'd be hungry.\Guess I'll get a late night snack or something.\I want to go, too.\Me, too.\Then we should get some people together to go.\Count me in first!\Count me in second!\What about you guys? Okiku-nee, Hakua. response:	As you can see, Hakua's here, so I can't go.
context: Guess I'll get a late night snack or something.\I want to go, too.\Me, too.\Then we should get some people together to go.\Count me in first!\Count me in second!\What about you guys? Okiku-nee, Hakua.\As you can see, Hakua's here, so I can't go. response:	But it's just a special thing!
context: I want to go, too.\Me, too.\Then we should get some people together to go.\Count me in first!\Count me in second!\What about you guys? Okiku-nee, Hakua.\As you can see, Hakua's here, so I can't go.\But it's just a special thing! response:	A sister is only supposed to let her brother sleep on her lap like this!
context: Me, too.\Then we should get some people together to go.\Count me in first!\Count me in second!\What about you guys? Okiku-nee, Hakua.\As you can see, Hakua's here, so I can't go.\But it's just a special thing!\A sister is only supposed to let her brother sleep on her lap like this! response:	A sister doesn't need any little sisters other than her younger brother's!
context: Then we should get some people together to go.\Count me in first!\Count me in second!\What about you guys? Okiku-nee, Hakua.\As you can see, Hakua's here, so I can't go.\But it's just a special thing!\A sister is only supposed to let her brother sleep on her lap like this!\A sister doesn't need any little sisters other than her younger brother's! response:	You know, she is my little sister, not his, right?
context: Count me in first!\Count me in second!\What about you guys? Okiku-nee, Hakua.\As you can see, Hakua's here, so I can't go.\But it's just a special thing!\A sister is only supposed to let her brother sleep on her lap like this!\A sister doesn't need any little sisters other than her younger brother's!\You know, she is my little sister, not his, right? response:	What about you, Ruri?
context: Count me in second!\What about you guys? Okiku-nee, Hakua.\As you can see, Hakua's here, so I can't go.\But it's just a special thing!\A sister is only supposed to let her brother sleep on her lap like this!\A sister doesn't need any little sisters other than her younger brother's!\You know, she is my little sister, not his, right?\What about you, Ruri? response:	I'm charging, so I cannot go.
context: What about you guys? Okiku-nee, Hakua.\As you can see, Hakua's here, so I can't go.\But it's just a special thing!\A sister is only supposed to let her brother sleep on her lap like this!\A sister doesn't need any little sisters other than her younger brother's!\You know, she is my little sister, not his, right?\What about you, Ruri?\I'm charging, so I cannot go. response:	I-I see.
context: As you can see, Hakua's here, so I can't go.\But it's just a special thing!\A sister is only supposed to let her brother sleep on her lap like this!\A sister doesn't need any little sisters other than her younger brother's!\You know, she is my little sister, not his, right?\What about you, Ruri?\I'm charging, so I cannot go.\I-I see. response:	Oh, well.
context: But it's just a special thing!\A sister is only supposed to let her brother sleep on her lap like this!\A sister doesn't need any little sisters other than her younger brother's!\You know, she is my little sister, not his, right?\What about you, Ruri?\I'm charging, so I cannot go.\I-I see.\Oh, well. response:	I'll go with you guys, then.
context: A sister is only supposed to let her brother sleep on her lap like this!\A sister doesn't need any little sisters other than her younger brother's!\You know, she is my little sister, not his, right?\What about you, Ruri?\I'm charging, so I cannot go.\I-I see.\Oh, well.\I'll go with you guys, then. response:	Maid
context: A sister doesn't need any little sisters other than her younger brother's!\You know, she is my little sister, not his, right?\What about you, Ruri?\I'm charging, so I cannot go.\I-I see.\Oh, well.\I'll go with you guys, then.\Maid response:	Okay, let's go.
context: You know, she is my little sister, not his, right?\What about you, Ruri?\I'm charging, so I cannot go.\I-I see.\Oh, well.\I'll go with you guys, then.\Maid\Okay, let's go. response:	Yeah!
context: What about you, Ruri?\I'm charging, so I cannot go.\I-I see.\Oh, well.\I'll go with you guys, then.\Maid\Okay, let's go.\Yeah! response:	It's kind of strange.
context: I'm charging, so I cannot go.\I-I see.\Oh, well.\I'll go with you guys, then.\Maid\Okay, let's go.\Yeah!\It's kind of strange. response:	Yeah, school at night is kind of exciting.
context: I-I see.\Oh, well.\I'll go with you guys, then.\Maid\Okay, let's go.\Yeah!\It's kind of strange.\Yeah, school at night is kind of exciting. response:	It's almost like we're fairies that have wandered into another land.
context: Oh, well.\I'll go with you guys, then.\Maid\Okay, let's go.\Yeah!\It's kind of strange.\Yeah, school at night is kind of exciting.\It's almost like we're fairies that have wandered into another land. response:	That was a nice poem, Nanami-chan.
context: I'll go with you guys, then.\Maid\Okay, let's go.\Yeah!\It's kind of strange.\Yeah, school at night is kind of exciting.\It's almost like we're fairies that have wandered into another land.\That was a nice poem, Nanami-chan. response:	Don't say poem!
context: Maid\Okay, let's go.\Yeah!\It's kind of strange.\Yeah, school at night is kind of exciting.\It's almost like we're fairies that have wandered into another land.\That was a nice poem, Nanami-chan.\Don't say poem! response:	What is it?
context: Okay, let's go.\Yeah!\It's kind of strange.\Yeah, school at night is kind of exciting.\It's almost like we're fairies that have wandered into another land.\That was a nice poem, Nanami-chan.\Don't say poem!\What is it? response:	It went kyuu.
context: Yeah!\It's kind of strange.\Yeah, school at night is kind of exciting.\It's almost like we're fairies that have wandered into another land.\That was a nice poem, Nanami-chan.\Don't say poem!\What is it?\It went kyuu. response:	Your cute stomach went kyuu.
context: It's kind of strange.\Yeah, school at night is kind of exciting.\It's almost like we're fairies that have wandered into another land.\That was a nice poem, Nanami-chan.\Don't say poem!\What is it?\It went kyuu.\Your cute stomach went kyuu. response:	No. It wasn't me.
context: Yeah, school at night is kind of exciting.\It's almost like we're fairies that have wandered into another land.\That was a nice poem, Nanami-chan.\Don't say poem!\What is it?\It went kyuu.\Your cute stomach went kyuu.\No. It wasn't me. response:	S-Sorry.
context: It's almost like we're fairies that have wandered into another land.\That was a nice poem, Nanami-chan.\Don't say poem!\What is it?\It went kyuu.\Your cute stomach went kyuu.\No. It wasn't me.\S-Sorry. response:	That's the sound that plays when I get a text from my sister.
context: That was a nice poem, Nanami-chan.\Don't say poem!\What is it?\It went kyuu.\Your cute stomach went kyuu.\No. It wasn't me.\S-Sorry.\That's the sound that plays when I get a text from my sister. response:	Why do you have that?!
context: Don't say poem!\What is it?\It went kyuu.\Your cute stomach went kyuu.\No. It wasn't me.\S-Sorry.\That's the sound that plays when I get a text from my sister.\Why do you have that?! response:	Souta-kun, it said kyuu, kyuu!
context: What is it?\It went kyuu.\Your cute stomach went kyuu.\No. It wasn't me.\S-Sorry.\That's the sound that plays when I get a text from my sister.\Why do you have that?!\Souta-kun, it said kyuu, kyuu! response:	Kyuu, kyuu!
context: It went kyuu.\Your cute stomach went kyuu.\No. It wasn't me.\S-Sorry.\That's the sound that plays when I get a text from my sister.\Why do you have that?!\Souta-kun, it said kyuu, kyuu!\Kyuu, kyuu! response:	Hey.
context: Your cute stomach went kyuu.\No. It wasn't me.\S-Sorry.\That's the sound that plays when I get a text from my sister.\Why do you have that?!\Souta-kun, it said kyuu, kyuu!\Kyuu, kyuu!\Hey. response:	Kyuu, kyuu, kyuu!
context: No. It wasn't me.\S-Sorry.\That's the sound that plays when I get a text from my sister.\Why do you have that?!\Souta-kun, it said kyuu, kyuu!\Kyuu, kyuu!\Hey.\Kyuu, kyuu, kyuu! response:	Kyuu, kyuu, kyuu!
context: S-Sorry.\That's the sound that plays when I get a text from my sister.\Why do you have that?!\Souta-kun, it said kyuu, kyuu!\Kyuu, kyuu!\Hey.\Kyuu, kyuu, kyuu!\Kyuu, kyuu, kyuu! response:	Kyuu... Kyuu...
context: That's the sound that plays when I get a text from my sister.\Why do you have that?!\Souta-kun, it said kyuu, kyuu!\Kyuu, kyuu!\Hey.\Kyuu, kyuu, kyuu!\Kyuu, kyuu, kyuu!\Kyuu... Kyuu... response:	Not you, too, Megumu.
context: Why do you have that?!\Souta-kun, it said kyuu, kyuu!\Kyuu, kyuu!\Hey.\Kyuu, kyuu, kyuu!\Kyuu, kyuu, kyuu!\Kyuu... Kyuu...\Not you, too, Megumu. response:	Kyuu!
context: Souta-kun, it said kyuu, kyuu!\Kyuu, kyuu!\Hey.\Kyuu, kyuu, kyuu!\Kyuu, kyuu, kyuu!\Kyuu... Kyuu...\Not you, too, Megumu.\Kyuu! response:	Kyuu... Kyuu... Kyuu...
context: Kyuu, kyuu!\Hey.\Kyuu, kyuu, kyuu!\Kyuu, kyuu, kyuu!\Kyuu... Kyuu...\Not you, too, Megumu.\Kyuu!\Kyuu... Kyuu... Kyuu... response:	You, too, Nanami?!
context: Hey.\Kyuu, kyuu, kyuu!\Kyuu, kyuu, kyuu!\Kyuu... Kyuu...\Not you, too, Megumu.\Kyuu!\Kyuu... Kyuu... Kyuu...\You, too, Nanami?! response:	H-Hey!
context: Kyuu, kyuu, kyuu!\Kyuu, kyuu, kyuu!\Kyuu... Kyuu...\Not you, too, Megumu.\Kyuu!\Kyuu... Kyuu... Kyuu...\You, too, Nanami?!\H-Hey! response:	Why is everyone so excited the night before the fair?
context: Kyuu, kyuu, kyuu!\Kyuu... Kyuu...\Not you, too, Megumu.\Kyuu!\Kyuu... Kyuu... Kyuu...\You, too, Nanami?!\H-Hey!\Why is everyone so excited the night before the fair? response:	Souta-kun, why was that so funny?
context: Kyuu... Kyuu...\Not you, too, Megumu.\Kyuu!\Kyuu... Kyuu... Kyuu...\You, too, Nanami?!\H-Hey!\Why is everyone so excited the night before the fair?\Souta-kun, why was that so funny? response:	You only thought of that now?
context: Not you, too, Megumu.\Kyuu!\Kyuu... Kyuu... Kyuu...\You, too, Nanami?!\H-Hey!\Why is everyone so excited the night before the fair?\Souta-kun, why was that so funny?\You only thought of that now? response:	I don't really get it, but I guess Megu thought that was funny.
context: Kyuu!\Kyuu... Kyuu... Kyuu...\You, too, Nanami?!\H-Hey!\Why is everyone so excited the night before the fair?\Souta-kun, why was that so funny?\You only thought of that now?\I don't really get it, but I guess Megu thought that was funny. response:	Why?
context: Kyuu... Kyuu... Kyuu...\You, too, Nanami?!\H-Hey!\Why is everyone so excited the night before the fair?\Souta-kun, why was that so funny?\You only thought of that now?\I don't really get it, but I guess Megu thought that was funny.\Why? response:	I guess I won't worry about it.
context: You, too, Nanami?!\H-Hey!\Why is everyone so excited the night before the fair?\Souta-kun, why was that so funny?\You only thought of that now?\I don't really get it, but I guess Megu thought that was funny.\Why?\I guess I won't worry about it. response:	I'll do what I can right now.
context: H-Hey!\Why is everyone so excited the night before the fair?\Souta-kun, why was that so funny?\You only thought of that now?\I don't really get it, but I guess Megu thought that was funny.\Why?\I guess I won't worry about it.\I'll do what I can right now. response:	I want everyone to be happy while they can be.
context: Why is everyone so excited the night before the fair?\Souta-kun, why was that so funny?\You only thought of that now?\I don't really get it, but I guess Megu thought that was funny.\Why?\I guess I won't worry about it.\I'll do what I can right now.\I want everyone to be happy while they can be. response:	So it's time to
context: Souta-kun, why was that so funny?\You only thought of that now?\I don't really get it, but I guess Megu thought that was funny.\Why?\I guess I won't worry about it.\I'll do what I can right now.\I want everyone to be happy while they can be.\So it's time to response:	start the Hatagaya Academy school fair!
context: You only thought of that now?\I don't really get it, but I guess Megu thought that was funny.\Why?\I guess I won't worry about it.\I'll do what I can right now.\I want everyone to be happy while they can be.\So it's time to\start the Hatagaya Academy school fair! response:	And we're off!
context: I don't really get it, but I guess Megu thought that was funny.\Why?\I guess I won't worry about it.\I'll do what I can right now.\I want everyone to be happy while they can be.\So it's time to\start the Hatagaya Academy school fair!\And we're off! response:	We get a week long school fair!
context: Why?\I guess I won't worry about it.\I'll do what I can right now.\I want everyone to be happy while they can be.\So it's time to\start the Hatagaya Academy school fair!\And we're off!\We get a week long school fair! response:	And the opening event that everyone must see...
context: I guess I won't worry about it.\I'll do what I can right now.\I want everyone to be happy while they can be.\So it's time to\start the Hatagaya Academy school fair!\And we're off!\We get a week long school fair!\And the opening event that everyone must see... response:	Miss Hatagaya Academy Beauty Contest
context: I'll do what I can right now.\I want everyone to be happy while they can be.\So it's time to\start the Hatagaya Academy school fair!\And we're off!\We get a week long school fair!\And the opening event that everyone must see...\Miss Hatagaya Academy Beauty Contest response:	It's the Miss Hatagaya Academy beauty contest!
context: I want everyone to be happy while they can be.\So it's time to\start the Hatagaya Academy school fair!\And we're off!\We get a week long school fair!\And the opening event that everyone must see...\Miss Hatagaya Academy Beauty Contest\It's the Miss Hatagaya Academy beauty contest! response:	I'll be your host, the ace of the broadcast team,
context: So it's time to\start the Hatagaya Academy school fair!\And we're off!\We get a week long school fair!\And the opening event that everyone must see...\Miss Hatagaya Academy Beauty Contest\It's the Miss Hatagaya Academy beauty contest!\I'll be your host, the ace of the broadcast team, response:	Kondawara Fuu,
context: start the Hatagaya Academy school fair!\And we're off!\We get a week long school fair!\And the opening event that everyone must see...\Miss Hatagaya Academy Beauty Contest\It's the Miss Hatagaya Academy beauty contest!\I'll be your host, the ace of the broadcast team,\Kondawara Fuu, response:	and... Me, Nonomiya Yoshiko!
context: And we're off!\We get a week long school fair!\And the opening event that everyone must see...\Miss Hatagaya Academy Beauty Contest\It's the Miss Hatagaya Academy beauty contest!\I'll be your host, the ace of the broadcast team,\Kondawara Fuu,\and... Me, Nonomiya Yoshiko! response:	Time to introduce our judges.
context: We get a week long school fair!\And the opening event that everyone must see...\Miss Hatagaya Academy Beauty Contest\It's the Miss Hatagaya Academy beauty contest!\I'll be your host, the ace of the broadcast team,\Kondawara Fuu,\and... Me, Nonomiya Yoshiko!\Time to introduce our judges. response:	Ryuukishibara Tsumugi
context: And the opening event that everyone must see...\Miss Hatagaya Academy Beauty Contest\It's the Miss Hatagaya Academy beauty contest!\I'll be your host, the ace of the broadcast team,\Kondawara Fuu,\and... Me, Nonomiya Yoshiko!\Time to introduce our judges.\Ryuukishibara Tsumugi response:	We have a legendary guest with us.
context: Miss Hatagaya Academy Beauty Contest\It's the Miss Hatagaya Academy beauty contest!\I'll be your host, the ace of the broadcast team,\Kondawara Fuu,\and... Me, Nonomiya Yoshiko!\Time to introduce our judges.\Ryuukishibara Tsumugi\We have a legendary guest with us. response:	She once won 10 contests in a row!
context: It's the Miss Hatagaya Academy beauty contest!\I'll be your host, the ace of the broadcast team,\Kondawara Fuu,\and... Me, Nonomiya Yoshiko!\Time to introduce our judges.\Ryuukishibara Tsumugi\We have a legendary guest with us.\She once won 10 contests in a row! response:	Ryuukishibara Tsumugi!
context: I'll be your host, the ace of the broadcast team,\Kondawara Fuu,\and... Me, Nonomiya Yoshiko!\Time to introduce our judges.\Ryuukishibara Tsumugi\We have a legendary guest with us.\She once won 10 contests in a row!\Ryuukishibara Tsumugi! response:	If only I were 50 years younger...
context: Kondawara Fuu,\and... Me, Nonomiya Yoshiko!\Time to introduce our judges.\Ryuukishibara Tsumugi\We have a legendary guest with us.\She once won 10 contests in a row!\Ryuukishibara Tsumugi!\If only I were 50 years younger... response:	And...
context: and... Me, Nonomiya Yoshiko!\Time to introduce our judges.\Ryuukishibara Tsumugi\We have a legendary guest with us.\She once won 10 contests in a row!\Ryuukishibara Tsumugi!\If only I were 50 years younger...\And... response:	Daishikyougawa Kurumiko
context: Time to introduce our judges.\Ryuukishibara Tsumugi\We have a legendary guest with us.\She once won 10 contests in a row!\Ryuukishibara Tsumugi!\If only I were 50 years younger...\And...\Daishikyougawa Kurumiko response:	Daishikyougawa Kurumiko.
context: Ryuukishibara Tsumugi\We have a legendary guest with us.\She once won 10 contests in a row!\Ryuukishibara Tsumugi!\If only I were 50 years younger...\And...\Daishikyougawa Kurumiko\Daishikyougawa Kurumiko. response:	Huh?
context: We have a legendary guest with us.\She once won 10 contests in a row!\Ryuukishibara Tsumugi!\If only I were 50 years younger...\And...\Daishikyougawa Kurumiko\Daishikyougawa Kurumiko.\Huh? response:	Ice cream!
context: She once won 10 contests in a row!\Ryuukishibara Tsumugi!\If only I were 50 years younger...\And...\Daishikyougawa Kurumiko\Daishikyougawa Kurumiko.\Huh?\Ice cream! response:	Get your ice cream here!
context: Ryuukishibara Tsumugi!\If only I were 50 years younger...\And...\Daishikyougawa Kurumiko\Daishikyougawa Kurumiko.\Huh?\Ice cream!\Get your ice cream here! response:	And last we have the person who sponsored all of our entrants.
context: If only I were 50 years younger...\And...\Daishikyougawa Kurumiko\Daishikyougawa Kurumiko.\Huh?\Ice cream!\Get your ice cream here!\And last we have the person who sponsored all of our entrants. response:	Hatate Souta
context: And...\Daishikyougawa Kurumiko\Daishikyougawa Kurumiko.\Huh?\Ice cream!\Get your ice cream here!\And last we have the person who sponsored all of our entrants.\Hatate Souta response:	Hatate Souta-kun.
context: Daishikyougawa Kurumiko\Daishikyougawa Kurumiko.\Huh?\Ice cream!\Get your ice cream here!\And last we have the person who sponsored all of our entrants.\Hatate Souta\Hatate Souta-kun. response:	Why are you making me judge this?!
context: Daishikyougawa Kurumiko.\Huh?\Ice cream!\Get your ice cream here!\And last we have the person who sponsored all of our entrants.\Hatate Souta\Hatate Souta-kun.\Why are you making me judge this?! response:	You had all them do this and you're saying that?
context: Huh?\Ice cream!\Get your ice cream here!\And last we have the person who sponsored all of our entrants.\Hatate Souta\Hatate Souta-kun.\Why are you making me judge this?!\You had all them do this and you're saying that? response:	You suck.
context: Ice cream!\Get your ice cream here!\And last we have the person who sponsored all of our entrants.\Hatate Souta\Hatate Souta-kun.\Why are you making me judge this?!\You had all them do this and you're saying that?\You suck. response:	And all of our participants are from Quest Dorm.
context: Get your ice cream here!\And last we have the person who sponsored all of our entrants.\Hatate Souta\Hatate Souta-kun.\Why are you making me judge this?!\You had all them do this and you're saying that?\You suck.\And all of our participants are from Quest Dorm. response:	I see!
context: And last we have the person who sponsored all of our entrants.\Hatate Souta\Hatate Souta-kun.\Why are you making me judge this?!\You had all them do this and you're saying that?\You suck.\And all of our participants are from Quest Dorm.\I see! response:	If he knows them all personally,
context: Hatate Souta\Hatate Souta-kun.\Why are you making me judge this?!\You had all them do this and you're saying that?\You suck.\And all of our participants are from Quest Dorm.\I see!\If he knows them all personally, response:	he can keep any problems between them from getting out of hand!
context: Hatate Souta-kun.\Why are you making me judge this?!\You had all them do this and you're saying that?\You suck.\And all of our participants are from Quest Dorm.\I see!\If he knows them all personally,\he can keep any problems between them from getting out of hand! response:	So much for doing what you're supposed to do.
context: Why are you making me judge this?!\You had all them do this and you're saying that?\You suck.\And all of our participants are from Quest Dorm.\I see!\If he knows them all personally,\he can keep any problems between them from getting out of hand!\So much for doing what you're supposed to do. response:	Okay, let's get started.
context: You had all them do this and you're saying that?\You suck.\And all of our participants are from Quest Dorm.\I see!\If he knows them all personally,\he can keep any problems between them from getting out of hand!\So much for doing what you're supposed to do.\Okay, let's get started. response:	Miss Hatagaya Academy Contest
context: You suck.\And all of our participants are from Quest Dorm.\I see!\If he knows them all personally,\he can keep any problems between them from getting out of hand!\So much for doing what you're supposed to do.\Okay, let's get started.\Miss Hatagaya Academy Contest response:	Our first entry,
context: And all of our participants are from Quest Dorm.\I see!\If he knows them all personally,\he can keep any problems between them from getting out of hand!\So much for doing what you're supposed to do.\Okay, let's get started.\Miss Hatagaya Academy Contest\Our first entry, response:	Entry 1
context: I see!\If he knows them all personally,\he can keep any problems between them from getting out of hand!\So much for doing what you're supposed to do.\Okay, let's get started.\Miss Hatagaya Academy Contest\Our first entry,\Entry 1 response:	Mahougasawa Akane-san.
context: If he knows them all personally,\he can keep any problems between them from getting out of hand!\So much for doing what you're supposed to do.\Okay, let's get started.\Miss Hatagaya Academy Contest\Our first entry,\Entry 1\Mahougasawa Akane-san. response:	M-Mahougasawa Akane-san here.
context: he can keep any problems between them from getting out of hand!\So much for doing what you're supposed to do.\Okay, let's get started.\Miss Hatagaya Academy Contest\Our first entry,\Entry 1\Mahougasawa Akane-san.\M-Mahougasawa Akane-san here. response:	I like Souta-kun.
context: So much for doing what you're supposed to do.\Okay, let's get started.\Miss Hatagaya Academy Contest\Our first entry,\Entry 1\Mahougasawa Akane-san.\M-Mahougasawa Akane-san here.\I like Souta-kun. response:	Thank you.
context: Okay, let's get started.\Miss Hatagaya Academy Contest\Our first entry,\Entry 1\Mahougasawa Akane-san.\M-Mahougasawa Akane-san here.\I like Souta-kun.\Thank you. response:	I'm Eiyuuzaki Rin.
context: Miss Hatagaya Academy Contest\Our first entry,\Entry 1\Mahougasawa Akane-san.\M-Mahougasawa Akane-san here.\I like Souta-kun.\Thank you.\I'm Eiyuuzaki Rin. response:	I-I also like Souta...
context: Our first entry,\Entry 1\Mahougasawa Akane-san.\M-Mahougasawa Akane-san here.\I like Souta-kun.\Thank you.\I'm Eiyuuzaki Rin.\I-I also like Souta... response:	Wait... What are you making me say?!
context: Entry 1\Mahougasawa Akane-san.\M-Mahougasawa Akane-san here.\I like Souta-kun.\Thank you.\I'm Eiyuuzaki Rin.\I-I also like Souta...\Wait... What are you making me say?! response:	Shoukanji Kikuno here!
context: Mahougasawa Akane-san.\M-Mahougasawa Akane-san here.\I like Souta-kun.\Thank you.\I'm Eiyuuzaki Rin.\I-I also like Souta...\Wait... What are you making me say?!\Shoukanji Kikuno here! response:	I love my little brother and the guy close to my heart,
context: M-Mahougasawa Akane-san here.\I like Souta-kun.\Thank you.\I'm Eiyuuzaki Rin.\I-I also like Souta...\Wait... What are you making me say?!\Shoukanji Kikuno here!\I love my little brother and the guy close to my heart, response:	and they're both Sou-kun!
context: I like Souta-kun.\Thank you.\I'm Eiyuuzaki Rin.\I-I also like Souta...\Wait... What are you making me say?!\Shoukanji Kikuno here!\I love my little brother and the guy close to my heart,\and they're both Sou-kun! response:	S-Souta-kyu I mean Hatate-kun...
context: Thank you.\I'm Eiyuuzaki Rin.\I-I also like Souta...\Wait... What are you making me say?!\Shoukanji Kikuno here!\I love my little brother and the guy close to my heart,\and they're both Sou-kun!\S-Souta-kyu I mean Hatate-kun... response:	Is going to make me happy...
context: I'm Eiyuuzaki Rin.\I-I also like Souta...\Wait... What are you making me say?!\Shoukanji Kikuno here!\I love my little brother and the guy close to my heart,\and they're both Sou-kun!\S-Souta-kyu I mean Hatate-kun...\Is going to make me happy... response:	Peek, peek.
