context: The old woman in Egypt, Enyaba, told me response:	to shoot the arrow at those it desires.
context: Rohan-sensei, just let him have it.\He's just a kid.\Don't make him cry. That's pretty immature of you.\Why don't you sit next to him?\Shut up! All of you, shut you mouths!\Fine! I'll play janken!\Janken's what you want, right?\That's the spirit! H-Here we go! response:	Janken... hoi!
context: He's just a kid.\Don't make him cry. That's pretty immature of you.\Why don't you sit next to him?\Shut up! All of you, shut you mouths!\Fine! I'll play janken!\Janken's what you want, right?\That's the spirit! H-Here we go!\Janken... hoi! response:	Oh? Y-Yes, I won!
context: Don't make him cry. That's pretty immature of you.\Why don't you sit next to him?\Shut up! All of you, shut you mouths!\Fine! I'll play janken!\Janken's what you want, right?\That's the spirit! H-Here we go!\Janken... hoi!\Oh? Y-Yes, I won! response:	Take that!
context: Why don't you sit next to him?\Shut up! All of you, shut you mouths!\Fine! I'll play janken!\Janken's what you want, right?\That's the spirit! H-Here we go!\Janken... hoi!\Oh? Y-Yes, I won!\Take that! response:	I've never been so happy to win at janken in my life.
context: Shut up! All of you, shut you mouths!\Fine! I'll play janken!\Janken's what you want, right?\That's the spirit! H-Here we go!\Janken... hoi!\Oh? Y-Yes, I won!\Take that!\I've never been so happy to win at janken in my life. response:	So immature...
context: Fine! I'll play janken!\Janken's what you want, right?\That's the spirit! H-Here we go!\Janken... hoi!\Oh? Y-Yes, I won!\Take that!\I've never been so happy to win at janken in my life.\So immature... response:	No, winning against a brat is the best feeling there is.
context: Janken's what you want, right?\That's the spirit! H-Here we go!\Janken... hoi!\Oh? Y-Yes, I won!\Take that!\I've never been so happy to win at janken in my life.\So immature...\No, winning against a brat is the best feeling there is. response:	D-Damn it!
context: That's the spirit! H-Here we go!\Janken... hoi!\Oh? Y-Yes, I won!\Take that!\I've never been so happy to win at janken in my life.\So immature...\No, winning against a brat is the best feeling there is.\D-Damn it! response:	I can use this as reference material.
context: Janken... hoi!\Oh? Y-Yes, I won!\Take that!\I've never been so happy to win at janken in my life.\So immature...\No, winning against a brat is the best feeling there is.\D-Damn it!\I can use this as reference material. response:	Who knew a book on such a minor subject was being sold in Morioh?
context: Oh? Y-Yes, I won!\Take that!\I've never been so happy to win at janken in my life.\So immature...\No, winning against a brat is the best feeling there is.\D-Damn it!\I can use this as reference material.\Who knew a book on such a minor subject was being sold in Morioh? response:	7,500 yen, huh...
context: Take that!\I've never been so happy to win at janken in my life.\So immature...\No, winning against a brat is the best feeling there is.\D-Damn it!\I can use this as reference material.\Who knew a book on such a minor subject was being sold in Morioh?\7,500 yen, huh... response:	Do I have that much on me?
context: I've never been so happy to win at janken in my life.\So immature...\No, winning against a brat is the best feeling there is.\D-Damn it!\I can use this as reference material.\Who knew a book on such a minor subject was being sold in Morioh?\7,500 yen, huh...\Do I have that much on me? response:	Excuse me, can I get this book?
context: So immature...\No, winning against a brat is the best feeling there is.\D-Damn it!\I can use this as reference material.\Who knew a book on such a minor subject was being sold in Morioh?\7,500 yen, huh...\Do I have that much on me?\Excuse me, can I get this book? response:	Why, you little...
context: No, winning against a brat is the best feeling there is.\D-Damn it!\I can use this as reference material.\Who knew a book on such a minor subject was being sold in Morioh?\7,500 yen, huh...\Do I have that much on me?\Excuse me, can I get this book?\Why, you little... response:	Wanna decide with janken?
context: D-Damn it!\I can use this as reference material.\Who knew a book on such a minor subject was being sold in Morioh?\7,500 yen, huh...\Do I have that much on me?\Excuse me, can I get this book?\Why, you little...\Wanna decide with janken? response:	Fine!
context: I can use this as reference material.\Who knew a book on such a minor subject was being sold in Morioh?\7,500 yen, huh...\Do I have that much on me?\Excuse me, can I get this book?\Why, you little...\Wanna decide with janken?\Fine! response:	Here we go! Janken...
context: Who knew a book on such a minor subject was being sold in Morioh?\7,500 yen, huh...\Do I have that much on me?\Excuse me, can I get this book?\Why, you little...\Wanna decide with janken?\Fine!\Here we go! Janken... response:	Rock!
context: 7,500 yen, huh...\Do I have that much on me?\Excuse me, can I get this book?\Why, you little...\Wanna decide with janken?\Fine!\Here we go! Janken...\Rock! response:	Stop messing around!
context: Do I have that much on me?\Excuse me, can I get this book?\Why, you little...\Wanna decide with janken?\Fine!\Here we go! Janken...\Rock!\Stop messing around! response:	I won. See?
context: Excuse me, can I get this book?\Why, you little...\Wanna decide with janken?\Fine!\Here we go! Janken...\Rock!\Stop messing around!\I won. See? response:	I finally won!
context: Why, you little...\Wanna decide with janken?\Fine!\Here we go! Janken...\Rock!\Stop messing around!\I won. See?\I finally won! response:	One win, two losses!
context: Wanna decide with janken?\Fine!\Here we go! Janken...\Rock!\Stop messing around!\I won. See?\I finally won!\One win, two losses! response:	What the hell is this?!
context: Fine!\Here we go! Janken...\Rock!\Stop messing around!\I won. See?\I finally won!\One win, two losses!\What the hell is this?! response:	Wh
context: Here we go! Janken...\Rock!\Stop messing around!\I won. See?\I finally won!\One win, two losses!\What the hell is this?!\Wh response:	What?!
context: Rock!\Stop messing around!\I won. See?\I finally won!\One win, two losses!\What the hell is this?!\Wh\What?! response:	I-Impossible! Th-The hole...
context: Stop messing around!\I won. See?\I finally won!\One win, two losses!\What the hell is this?!\Wh\What?!\I-Impossible! Th-The hole... response:	Could he be a Stand user?!
context: I won. See?\I finally won!\One win, two losses!\What the hell is this?!\Wh\What?!\I-Impossible! Th-The hole...\Could he be a Stand user?! response:	What?!
context: I finally won!\One win, two losses!\What the hell is this?!\Wh\What?!\I-Impossible! Th-The hole...\Could he be a Stand user?!\What?! response:	S-So cool!
context: One win, two losses!\What the hell is this?!\Wh\What?!\I-Impossible! Th-The hole...\Could he be a Stand user?!\What?!\S-So cool! response:	I didn't know something so cool would come out!
context: What the hell is this?!\Wh\What?!\I-Impossible! Th-The hole...\Could he be a Stand user?!\What?!\S-So cool!\I didn't know something so cool would come out! response:	Beautiful and magnificent energy is flowing into me!
context: Wh\What?!\I-Impossible! Th-The hole...\Could he be a Stand user?!\What?!\S-So cool!\I didn't know something so cool would come out!\Beautiful and magnificent energy is flowing into me! response:	I'm feeling better!
context: What?!\I-Impossible! Th-The hole...\Could he be a Stand user?!\What?!\S-So cool!\I didn't know something so cool would come out!\Beautiful and magnificent energy is flowing into me!\I'm feeling better! response:	H-Heaven's Door!
context: I-Impossible! Th-The hole...\Could he be a Stand user?!\What?!\S-So cool!\I didn't know something so cool would come out!\Beautiful and magnificent energy is flowing into me!\I'm feeling better!\H-Heaven's Door! response:	Make this kid into a book!
context: Could he be a Stand user?!\What?!\S-So cool!\I didn't know something so cool would come out!\Beautiful and magnificent energy is flowing into me!\I'm feeling better!\H-Heaven's Door!\Make this kid into a book! response:	Open
context: What?!\S-So cool!\I didn't know something so cool would come out!\Beautiful and magnificent energy is flowing into me!\I'm feeling better!\H-Heaven's Door!\Make this kid into a book!\Open response:	Cannot attack Rohan Kishibe.
context: S-So cool!\I didn't know something so cool would come out!\Beautiful and magnificent energy is flowing into me!\I'm feeling better!\H-Heaven's Door!\Make this kid into a book!\Open\Cannot attack Rohan Kishibe. response:	This kid...
context: I didn't know something so cool would come out!\Beautiful and magnificent energy is flowing into me!\I'm feeling better!\H-Heaven's Door!\Make this kid into a book!\Open\Cannot attack Rohan Kishibe.\This kid... response:	seemed to be bringing out his own Stand for the first time.
context: Beautiful and magnificent energy is flowing into me!\I'm feeling better!\H-Heaven's Door!\Make this kid into a book!\Open\Cannot attack Rohan Kishibe.\This kid...\seemed to be bringing out his own Stand for the first time. response:	Could he be on his way to becoming a Stand user?
context: I'm feeling better!\H-Heaven's Door!\Make this kid into a book!\Open\Cannot attack Rohan Kishibe.\This kid...\seemed to be bringing out his own Stand for the first time.\Could he be on his way to becoming a Stand user? response:	Hmph. I want to beat the crap out of Rohan with janken, huh?
context: H-Heaven's Door!\Make this kid into a book!\Open\Cannot attack Rohan Kishibe.\This kid...\seemed to be bringing out his own Stand for the first time.\Could he be on his way to becoming a Stand user?\Hmph. I want to beat the crap out of Rohan with janken, huh? response:	Janken is not about probability.
context: Make this kid into a book!\Open\Cannot attack Rohan Kishibe.\This kid...\seemed to be bringing out his own Stand for the first time.\Could he be on his way to becoming a Stand user?\Hmph. I want to beat the crap out of Rohan with janken, huh?\Janken is not about probability. response:	It's all mental, dependent on how much you want to win.
context: Open\Cannot attack Rohan Kishibe.\This kid...\seemed to be bringing out his own Stand for the first time.\Could he be on his way to becoming a Stand user?\Hmph. I want to beat the crap out of Rohan with janken, huh?\Janken is not about probability.\It's all mental, dependent on how much you want to win. response:	Beating Rohan at janken means you've beaten him mentally.
context: Cannot attack Rohan Kishibe.\This kid...\seemed to be bringing out his own Stand for the first time.\Could he be on his way to becoming a Stand user?\Hmph. I want to beat the crap out of Rohan with janken, huh?\Janken is not about probability.\It's all mental, dependent on how much you want to win.\Beating Rohan at janken means you've beaten him mentally. response:	Rohan Kishibe is only 20 years old, and he's already facing the world alone.
context: This kid...\seemed to be bringing out his own Stand for the first time.\Could he be on his way to becoming a Stand user?\Hmph. I want to beat the crap out of Rohan with janken, huh?\Janken is not about probability.\It's all mental, dependent on how much you want to win.\Beating Rohan at janken means you've beaten him mentally.\Rohan Kishibe is only 20 years old, and he's already facing the world alone. response:	Not to mention, he's awed many people with his works.
context: seemed to be bringing out his own Stand for the first time.\Could he be on his way to becoming a Stand user?\Hmph. I want to beat the crap out of Rohan with janken, huh?\Janken is not about probability.\It's all mental, dependent on how much you want to win.\Beating Rohan at janken means you've beaten him mentally.\Rohan Kishibe is only 20 years old, and he's already facing the world alone.\Not to mention, he's awed many people with his works. response:	If I beat the crap out of someone so widely admired, it means I'd surpass them.
context: Could he be on his way to becoming a Stand user?\Hmph. I want to beat the crap out of Rohan with janken, huh?\Janken is not about probability.\It's all mental, dependent on how much you want to win.\Beating Rohan at janken means you've beaten him mentally.\Rohan Kishibe is only 20 years old, and he's already facing the world alone.\Not to mention, he's awed many people with his works.\If I beat the crap out of someone so widely admired, it means I'd surpass them. response:	I want to grow up to be someone people admire, just like Rohan.
context: Hmph. I want to beat the crap out of Rohan with janken, huh?\Janken is not about probability.\It's all mental, dependent on how much you want to win.\Beating Rohan at janken means you've beaten him mentally.\Rohan Kishibe is only 20 years old, and he's already facing the world alone.\Not to mention, he's awed many people with his works.\If I beat the crap out of someone so widely admired, it means I'd surpass them.\I want to grow up to be someone people admire, just like Rohan. response:	So this kid really is on his way to becoming a Stand user!
context: Janken is not about probability.\It's all mental, dependent on how much you want to win.\Beating Rohan at janken means you've beaten him mentally.\Rohan Kishibe is only 20 years old, and he's already facing the world alone.\Not to mention, he's awed many people with his works.\If I beat the crap out of someone so widely admired, it means I'd surpass them.\I want to grow up to be someone people admire, just like Rohan.\So this kid really is on his way to becoming a Stand user! response:	He must have only just been hit by the arrow.
context: It's all mental, dependent on how much you want to win.\Beating Rohan at janken means you've beaten him mentally.\Rohan Kishibe is only 20 years old, and he's already facing the world alone.\Not to mention, he's awed many people with his works.\If I beat the crap out of someone so widely admired, it means I'd surpass them.\I want to grow up to be someone people admire, just like Rohan.\So this kid really is on his way to becoming a Stand user!\He must have only just been hit by the arrow. response:	Ability... When I beat my opponent in janken, their energy becomes mine.
context: Beating Rohan at janken means you've beaten him mentally.\Rohan Kishibe is only 20 years old, and he's already facing the world alone.\Not to mention, he's awed many people with his works.\If I beat the crap out of someone so widely admired, it means I'd surpass them.\I want to grow up to be someone people admire, just like Rohan.\So this kid really is on his way to becoming a Stand user!\He must have only just been hit by the arrow.\Ability... When I beat my opponent in janken, their energy becomes mine. response:	However, we have to play five times.
context: Rohan Kishibe is only 20 years old, and he's already facing the world alone.\Not to mention, he's awed many people with his works.\If I beat the crap out of someone so widely admired, it means I'd surpass them.\I want to grow up to be someone people admire, just like Rohan.\So this kid really is on his way to becoming a Stand user!\He must have only just been hit by the arrow.\Ability... When I beat my opponent in janken, their energy becomes mine.\However, we have to play five times. response:	If I don't win three times, I can't take all of it.
context: Not to mention, he's awed many people with his works.\If I beat the crap out of someone so widely admired, it means I'd surpass them.\I want to grow up to be someone people admire, just like Rohan.\So this kid really is on his way to becoming a Stand user!\He must have only just been hit by the arrow.\Ability... When I beat my opponent in janken, their energy becomes mine.\However, we have to play five times.\If I don't win three times, I can't take all of it. response:	Play five times?
context: If I beat the crap out of someone so widely admired, it means I'd surpass them.\I want to grow up to be someone people admire, just like Rohan.\So this kid really is on his way to becoming a Stand user!\He must have only just been hit by the arrow.\Ability... When I beat my opponent in janken, their energy becomes mine.\However, we have to play five times.\If I don't win three times, I can't take all of it.\Play five times? response:	Cannot attack Rohan Kishibe.
context: I want to grow up to be someone people admire, just like Rohan.\So this kid really is on his way to becoming a Stand user!\He must have only just been hit by the arrow.\Ability... When I beat my opponent in janken, their energy becomes mine.\However, we have to play five times.\If I don't win three times, I can't take all of it.\Play five times?\Cannot attack Rohan Kishibe. response:	attack Rohan Kishibe.
context: So this kid really is on his way to becoming a Stand user!\He must have only just been hit by the arrow.\Ability... When I beat my opponent in janken, their energy becomes mine.\However, we have to play five times.\If I don't win three times, I can't take all of it.\Play five times?\Cannot attack Rohan Kishibe.\attack Rohan Kishibe. response:	attack Rohan Kishibe.
context: He must have only just been hit by the arrow.\Ability... When I beat my opponent in janken, their energy becomes mine.\However, we have to play five times.\If I don't win three times, I can't take all of it.\Play five times?\Cannot attack Rohan Kishibe.\attack Rohan Kishibe.\attack Rohan Kishibe. response:	Can attack Rohan Kishibe.
context: Ability... When I beat my opponent in janken, their energy becomes mine.\However, we have to play five times.\If I don't win three times, I can't take all of it.\Play five times?\Cannot attack Rohan Kishibe.\attack Rohan Kishibe.\attack Rohan Kishibe.\Can attack Rohan Kishibe. response:	Wh-What?
context: However, we have to play five times.\If I don't win three times, I can't take all of it.\Play five times?\Cannot attack Rohan Kishibe.\attack Rohan Kishibe.\attack Rohan Kishibe.\Can attack Rohan Kishibe.\Wh-What? response:	That's so cool. So this ability is called a Stand?
context: If I don't win three times, I can't take all of it.\Play five times?\Cannot attack Rohan Kishibe.\attack Rohan Kishibe.\attack Rohan Kishibe.\Can attack Rohan Kishibe.\Wh-What?\That's so cool. So this ability is called a Stand? response:	You may have thought you got away,
context: Play five times?\Cannot attack Rohan Kishibe.\attack Rohan Kishibe.\attack Rohan Kishibe.\Can attack Rohan Kishibe.\Wh-What?\That's so cool. So this ability is called a Stand?\You may have thought you got away, response:	but I've already absorbed one third of your Stand.
context: Cannot attack Rohan Kishibe.\attack Rohan Kishibe.\attack Rohan Kishibe.\Can attack Rohan Kishibe.\Wh-What?\That's so cool. So this ability is called a Stand?\You may have thought you got away,\but I've already absorbed one third of your Stand. response:	I-Its right arm is missing!
context: attack Rohan Kishibe.\attack Rohan Kishibe.\Can attack Rohan Kishibe.\Wh-What?\That's so cool. So this ability is called a Stand?\You may have thought you got away,\but I've already absorbed one third of your Stand.\I-Its right arm is missing! response:	I can move one third of Heaven's Door!
context: attack Rohan Kishibe.\Can attack Rohan Kishibe.\Wh-What?\That's so cool. So this ability is called a Stand?\You may have thought you got away,\but I've already absorbed one third of your Stand.\I-Its right arm is missing!\I can move one third of Heaven's Door! response:	I won't let you read my mind anymore.
context: Can attack Rohan Kishibe.\Wh-What?\That's so cool. So this ability is called a Stand?\You may have thought you got away,\but I've already absorbed one third of your Stand.\I-Its right arm is missing!\I can move one third of Heaven's Door!\I won't let you read my mind anymore. response:	You brat...
context: Wh-What?\That's so cool. So this ability is called a Stand?\You may have thought you got away,\but I've already absorbed one third of your Stand.\I-Its right arm is missing!\I can move one third of Heaven's Door!\I won't let you read my mind anymore.\You brat... response:	If I win two more times, all of your ability will be mine!
context: That's so cool. So this ability is called a Stand?\You may have thought you got away,\but I've already absorbed one third of your Stand.\I-Its right arm is missing!\I can move one third of Heaven's Door!\I won't let you read my mind anymore.\You brat...\If I win two more times, all of your ability will be mine! response:	You brat! Who do you think you are?!
context: You may have thought you got away,\but I've already absorbed one third of your Stand.\I-Its right arm is missing!\I can move one third of Heaven's Door!\I won't let you read my mind anymore.\You brat...\If I win two more times, all of your ability will be mine!\You brat! Who do you think you are?! response:	You had some nerve to hit me with your fist earlier.
context: but I've already absorbed one third of your Stand.\I-Its right arm is missing!\I can move one third of Heaven's Door!\I won't let you read my mind anymore.\You brat...\If I win two more times, all of your ability will be mine!\You brat! Who do you think you are?!\You had some nerve to hit me with your fist earlier. response:	That's payback, you moron!
context: I-Its right arm is missing!\I can move one third of Heaven's Door!\I won't let you read my mind anymore.\You brat...\If I win two more times, all of your ability will be mine!\You brat! Who do you think you are?!\You had some nerve to hit me with your fist earlier.\That's payback, you moron! response:	It appears that in order to get Heaven's Door's right arm back,
context: I can move one third of Heaven's Door!\I won't let you read my mind anymore.\You brat...\If I win two more times, all of your ability will be mine!\You brat! Who do you think you are?!\You had some nerve to hit me with your fist earlier.\That's payback, you moron!\It appears that in order to get Heaven's Door's right arm back, response:	I'll have to win at janken...
context: I won't let you read my mind anymore.\You brat...\If I win two more times, all of your ability will be mine!\You brat! Who do you think you are?!\You had some nerve to hit me with your fist earlier.\That's payback, you moron!\It appears that in order to get Heaven's Door's right arm back,\I'll have to win at janken... response:	Very well.
context: You brat...\If I win two more times, all of your ability will be mine!\You brat! Who do you think you are?!\You had some nerve to hit me with your fist earlier.\That's payback, you moron!\It appears that in order to get Heaven's Door's right arm back,\I'll have to win at janken...\Very well. response:	Good!
context: If I win two more times, all of your ability will be mine!\You brat! Who do you think you are?!\You had some nerve to hit me with your fist earlier.\That's payback, you moron!\It appears that in order to get Heaven's Door's right arm back,\I'll have to win at janken...\Very well.\Good! response:	5 Matches
context: You brat! Who do you think you are?!\You had some nerve to hit me with your fist earlier.\That's payback, you moron!\It appears that in order to get Heaven's Door's right arm back,\I'll have to win at janken...\Very well.\Good!\5 Matches response:	Match 1
context: You had some nerve to hit me with your fist earlier.\That's payback, you moron!\It appears that in order to get Heaven's Door's right arm back,\I'll have to win at janken...\Very well.\Good!\5 Matches\Match 1 response:	Match 2
context: That's payback, you moron!\It appears that in order to get Heaven's Door's right arm back,\I'll have to win at janken...\Very well.\Good!\5 Matches\Match 1\Match 2 response:	Match 3
context: It appears that in order to get Heaven's Door's right arm back,\I'll have to win at janken...\Very well.\Good!\5 Matches\Match 1\Match 2\Match 3 response:	Match 4
context: I'll have to win at janken...\Very well.\Good!\5 Matches\Match 1\Match 2\Match 3\Match 4 response:	Match 5
context: Very well.\Good!\5 Matches\Match 1\Match 2\Match 3\Match 4\Match 5 response:	He
context: Good!\5 Matches\Match 1\Match 2\Match 3\Match 4\Match 5\He response:	Heav
context: 5 Matches\Match 1\Match 2\Match 3\Match 4\Match 5\He\Heav response:	Heaven
context: Match 1\Match 2\Match 3\Match 4\Match 5\He\Heav\Heaven response:	Heaven's
context: Match 2\Match 3\Match 4\Match 5\He\Heav\Heaven\Heaven's response:	Heaven's Do
context: Match 3\Match 4\Match 5\He\Heav\Heaven\Heaven's\Heaven's Do response:	Heaven's Doo
context: Match 4\Match 5\He\Heav\Heaven\Heaven's\Heaven's Do\Heaven's Doo response:	Heaven's Door
context: Match 5\He\Heav\Heaven\Heaven's\Heaven's Do\Heaven's Doo\Heaven's Door response:	Ro
context: He\Heav\Heaven\Heaven's\Heaven's Do\Heaven's Doo\Heaven's Door\Ro response:	Rohan
context: Heav\Heaven\Heaven's\Heaven's Do\Heaven's Doo\Heaven's Door\Ro\Rohan response:	Rohan Kishi
context: Heaven\Heaven's\Heaven's Do\Heaven's Doo\Heaven's Door\Ro\Rohan\Rohan Kishi response:	Rohan Kishibe
context: Heaven's\Heaven's Do\Heaven's Doo\Heaven's Door\Ro\Rohan\Rohan Kishi\Rohan Kishibe response:	Do you understand the situation you're in?
context: Heaven's Do\Heaven's Doo\Heaven's Door\Ro\Rohan\Rohan Kishi\Rohan Kishibe\Do you understand the situation you're in? response:	You can't lose again.
context: Heaven's Doo\Heaven's Door\Ro\Rohan\Rohan Kishi\Rohan Kishibe\Do you understand the situation you're in?\You can't lose again. response:	Do you understand that you're cornered?
context: Heaven's Door\Ro\Rohan\Rohan Kishi\Rohan Kishibe\Do you understand the situation you're in?\You can't lose again.\Do you understand that you're cornered? response:	Now that I know you're a Stand user, I won't hold back anymore!
context: Ro\Rohan\Rohan Kishi\Rohan Kishibe\Do you understand the situation you're in?\You can't lose again.\Do you understand that you're cornered?\Now that I know you're a Stand user, I won't hold back anymore! response:	As soon as I get back my right arm,
context: Rohan\Rohan Kishi\Rohan Kishibe\Do you understand the situation you're in?\You can't lose again.\Do you understand that you're cornered?\Now that I know you're a Stand user, I won't hold back anymore!\As soon as I get back my right arm, response:	I'm going to knock you out.
context: Rohan Kishi\Rohan Kishibe\Do you understand the situation you're in?\You can't lose again.\Do you understand that you're cornered?\Now that I know you're a Stand user, I won't hold back anymore!\As soon as I get back my right arm,\I'm going to knock you out. response:	You know that, don't you?
context: Rohan Kishibe\Do you understand the situation you're in?\You can't lose again.\Do you understand that you're cornered?\Now that I know you're a Stand user, I won't hold back anymore!\As soon as I get back my right arm,\I'm going to knock you out.\You know that, don't you? response:	Are you trying to pressure me?
context: Do you understand the situation you're in?\You can't lose again.\Do you understand that you're cornered?\Now that I know you're a Stand user, I won't hold back anymore!\As soon as I get back my right arm,\I'm going to knock you out.\You know that, don't you?\Are you trying to pressure me? response:	All right, let's do this.
context: You can't lose again.\Do you understand that you're cornered?\Now that I know you're a Stand user, I won't hold back anymore!\As soon as I get back my right arm,\I'm going to knock you out.\You know that, don't you?\Are you trying to pressure me?\All right, let's do this. response:	No, we're not doing that yet.
context: Do you understand that you're cornered?\Now that I know you're a Stand user, I won't hold back anymore!\As soon as I get back my right arm,\I'm going to knock you out.\You know that, don't you?\Are you trying to pressure me?\All right, let's do this.\No, we're not doing that yet. response:	Since I just won using paper,
context: Now that I know you're a Stand user, I won't hold back anymore!\As soon as I get back my right arm,\I'm going to knock you out.\You know that, don't you?\Are you trying to pressure me?\All right, let's do this.\No, we're not doing that yet.\Since I just won using paper, response:	I would usually go with rock or scissors next,
context: As soon as I get back my right arm,\I'm going to knock you out.\You know that, don't you?\Are you trying to pressure me?\All right, let's do this.\No, we're not doing that yet.\Since I just won using paper,\I would usually go with rock or scissors next, response:	but I think that might be childish.
context: I'm going to knock you out.\You know that, don't you?\Are you trying to pressure me?\All right, let's do this.\No, we're not doing that yet.\Since I just won using paper,\I would usually go with rock or scissors next,\but I think that might be childish. response:	But you don't seem that simple-minded, Rohan-sensei,
context: You know that, don't you?\Are you trying to pressure me?\All right, let's do this.\No, we're not doing that yet.\Since I just won using paper,\I would usually go with rock or scissors next,\but I think that might be childish.\But you don't seem that simple-minded, Rohan-sensei, response:	so I was thinking about turning that around and going with paper.
context: Are you trying to pressure me?\All right, let's do this.\No, we're not doing that yet.\Since I just won using paper,\I would usually go with rock or scissors next,\but I think that might be childish.\But you don't seem that simple-minded, Rohan-sensei,\so I was thinking about turning that around and going with paper. response:	All right, I've got it.
context: All right, let's do this.\No, we're not doing that yet.\Since I just won using paper,\I would usually go with rock or scissors next,\but I think that might be childish.\But you don't seem that simple-minded, Rohan-sensei,\so I was thinking about turning that around and going with paper.\All right, I've got it. response:	Here we go!
context: No, we're not doing that yet.\Since I just won using paper,\I would usually go with rock or scissors next,\but I think that might be childish.\But you don't seem that simple-minded, Rohan-sensei,\so I was thinking about turning that around and going with paper.\All right, I've got it.\Here we go! response:	Janken... hoi!
context: Since I just won using paper,\I would usually go with rock or scissors next,\but I think that might be childish.\But you don't seem that simple-minded, Rohan-sensei,\so I was thinking about turning that around and going with paper.\All right, I've got it.\Here we go!\Janken... hoi! response:	What?!
context: I would usually go with rock or scissors next,\but I think that might be childish.\But you don't seem that simple-minded, Rohan-sensei,\so I was thinking about turning that around and going with paper.\All right, I've got it.\Here we go!\Janken... hoi!\What?! response:	I did it! I forced my hand against Rohan mentally, and won with paper!
context: but I think that might be childish.\But you don't seem that simple-minded, Rohan-sensei,\so I was thinking about turning that around and going with paper.\All right, I've got it.\Here we go!\Janken... hoi!\What?!\I did it! I forced my hand against Rohan mentally, and won with paper! response:	Rohan
context: But you don't seem that simple-minded, Rohan-sensei,\so I was thinking about turning that around and going with paper.\All right, I've got it.\Here we go!\Janken... hoi!\What?!\I did it! I forced my hand against Rohan mentally, and won with paper!\Rohan response:	Ken
context: so I was thinking about turning that around and going with paper.\All right, I've got it.\Here we go!\Janken... hoi!\What?!\I did it! I forced my hand against Rohan mentally, and won with paper!\Rohan\Ken response:	5 Matches
context: All right, I've got it.\Here we go!\Janken... hoi!\What?!\I did it! I forced my hand against Rohan mentally, and won with paper!\Rohan\Ken\5 Matches response:	Now I've got two wins and two losses.
context: Here we go!\Janken... hoi!\What?!\I did it! I forced my hand against Rohan mentally, and won with paper!\Rohan\Ken\5 Matches\Now I've got two wins and two losses. response:	Now, then...
context: Janken... hoi!\What?!\I did it! I forced my hand against Rohan mentally, and won with paper!\Rohan\Ken\5 Matches\Now I've got two wins and two losses.\Now, then... response:	I took your lower half.
context: What?!\I did it! I forced my hand against Rohan mentally, and won with paper!\Rohan\Ken\5 Matches\Now I've got two wins and two losses.\Now, then...\I took your lower half. response:	If you're tired, should we head over to the bench?
context: I did it! I forced my hand against Rohan mentally, and won with paper!\Rohan\Ken\5 Matches\Now I've got two wins and two losses.\Now, then...\I took your lower half.\If you're tired, should we head over to the bench? response:	No, there's no need.
context: Rohan\Ken\5 Matches\Now I've got two wins and two losses.\Now, then...\I took your lower half.\If you're tired, should we head over to the bench?\No, there's no need. response:	When you win, it's best to be
context: Ken\5 Matches\Now I've got two wins and two losses.\Now, then...\I took your lower half.\If you're tired, should we head over to the bench?\No, there's no need.\When you win, it's best to be response:	looking down on your opponent just like this.
context: 5 Matches\Now I've got two wins and two losses.\Now, then...\I took your lower half.\If you're tired, should we head over to the bench?\No, there's no need.\When you win, it's best to be\looking down on your opponent just like this. response:	I've got two wins and two losses,
context: Now I've got two wins and two losses.\Now, then...\I took your lower half.\If you're tired, should we head over to the bench?\No, there's no need.\When you win, it's best to be\looking down on your opponent just like this.\I've got two wins and two losses, response:	which means we're both on the edge.
context: Now, then...\I took your lower half.\If you're tired, should we head over to the bench?\No, there's no need.\When you win, it's best to be\looking down on your opponent just like this.\I've got two wins and two losses,\which means we're both on the edge. response:	But you know, I really don't feel like I'm going to lose now.
context: I took your lower half.\If you're tired, should we head over to the bench?\No, there's no need.\When you win, it's best to be\looking down on your opponent just like this.\I've got two wins and two losses,\which means we're both on the edge.\But you know, I really don't feel like I'm going to lose now. response:	After I lost twice at first, I won twice in a row.
context: If you're tired, should we head over to the bench?\No, there's no need.\When you win, it's best to be\looking down on your opponent just like this.\I've got two wins and two losses,\which means we're both on the edge.\But you know, I really don't feel like I'm going to lose now.\After I lost twice at first, I won twice in a row. response:	You're the opposite, Rohan-sensei. You've lost twice in a row.
context: No, there's no need.\When you win, it's best to be\looking down on your opponent just like this.\I've got two wins and two losses,\which means we're both on the edge.\But you know, I really don't feel like I'm going to lose now.\After I lost twice at first, I won twice in a row.\You're the opposite, Rohan-sensei. You've lost twice in a row. response:	You're currently on the downhill slope in this match!
context: When you win, it's best to be\looking down on your opponent just like this.\I've got two wins and two losses,\which means we're both on the edge.\But you know, I really don't feel like I'm going to lose now.\After I lost twice at first, I won twice in a row.\You're the opposite, Rohan-sensei. You've lost twice in a row.\You're currently on the downhill slope in this match! response:	This is amazing!
context: looking down on your opponent just like this.\I've got two wins and two losses,\which means we're both on the edge.\But you know, I really don't feel like I'm going to lose now.\After I lost twice at first, I won twice in a row.\You're the opposite, Rohan-sensei. You've lost twice in a row.\You're currently on the downhill slope in this match!\This is amazing! response:	No wonder the arrow picked this kid!
