context: The year 850, in Trost... response:	The sight of Eren Jaeger unleashing
context: E-Excuse me.\I don't mean any disrespect by speaking up to a ranking officer...\No, continue.\Y-Yes, sir.\Titans are typically drawn to pursue the largest number of people.\If we can take advantage of that\to lure them along the walls,\we can draw most of them away from Eren response:	without engaging them in direct combat.
context: I don't mean any disrespect by speaking up to a ranking officer...\No, continue.\Y-Yes, sir.\Titans are typically drawn to pursue the largest number of people.\If we can take advantage of that\to lure them along the walls,\we can draw most of them away from Eren\without engaging them in direct combat. response:	And by using the cannons against those
context: No, continue.\Y-Yes, sir.\Titans are typically drawn to pursue the largest number of people.\If we can take advantage of that\to lure them along the walls,\we can draw most of them away from Eren\without engaging them in direct combat.\And by using the cannons against those response:	lured away, we'll minimize our own losses.
context: Y-Yes, sir.\Titans are typically drawn to pursue the largest number of people.\If we can take advantage of that\to lure them along the walls,\we can draw most of them away from Eren\without engaging them in direct combat.\And by using the cannons against those\lured away, we'll minimize our own losses. response:	But since we can't leave Eren undefended,
context: Titans are typically drawn to pursue the largest number of people.\If we can take advantage of that\to lure them along the walls,\we can draw most of them away from Eren\without engaging them in direct combat.\And by using the cannons against those\lured away, we'll minimize our own losses.\But since we can't leave Eren undefended, response:	a small elite force should protect him.
context: If we can take advantage of that\to lure them along the walls,\we can draw most of them away from Eren\without engaging them in direct combat.\And by using the cannons against those\lured away, we'll minimize our own losses.\But since we can't leave Eren undefended,\a small elite force should protect him. response:	And we can't avoid engaging the Titans that come through the wall.
context: to lure them along the walls,\we can draw most of them away from Eren\without engaging them in direct combat.\And by using the cannons against those\lured away, we'll minimize our own losses.\But since we can't leave Eren undefended,\a small elite force should protect him.\And we can't avoid engaging the Titans that come through the wall. response:	The skills of the elite force will be critical.
context: we can draw most of them away from Eren\without engaging them in direct combat.\And by using the cannons against those\lured away, we'll minimize our own losses.\But since we can't leave Eren undefended,\a small elite force should protect him.\And we can't avoid engaging the Titans that come through the wall.\The skills of the elite force will be critical. response:	All right, understood.
context: without engaging them in direct combat.\And by using the cannons against those\lured away, we'll minimize our own losses.\But since we can't leave Eren undefended,\a small elite force should protect him.\And we can't avoid engaging the Titans that come through the wall.\The skills of the elite force will be critical.\All right, understood. response:	We'll take that into account and revise our plans.
context: And by using the cannons against those\lured away, we'll minimize our own losses.\But since we can't leave Eren undefended,\a small elite force should protect him.\And we can't avoid engaging the Titans that come through the wall.\The skills of the elite force will be critical.\All right, understood.\We'll take that into account and revise our plans. response:	But this will only work if Eren can carry that boulder
context: lured away, we'll minimize our own losses.\But since we can't leave Eren undefended,\a small elite force should protect him.\And we can't avoid engaging the Titans that come through the wall.\The skills of the elite force will be critical.\All right, understood.\We'll take that into account and revise our plans.\But this will only work if Eren can carry that boulder response:	and seal the hole.
context: But since we can't leave Eren undefended,\a small elite force should protect him.\And we can't avoid engaging the Titans that come through the wall.\The skills of the elite force will be critical.\All right, understood.\We'll take that into account and revise our plans.\But this will only work if Eren can carry that boulder\and seal the hole. response:	We are proceeding with the operation without certain proof that he can.
context: a small elite force should protect him.\And we can't avoid engaging the Titans that come through the wall.\The skills of the elite force will be critical.\All right, understood.\We'll take that into account and revise our plans.\But this will only work if Eren can carry that boulder\and seal the hole.\We are proceeding with the operation without certain proof that he can. response:	I cannot help but feel doubt.
context: And we can't avoid engaging the Titans that come through the wall.\The skills of the elite force will be critical.\All right, understood.\We'll take that into account and revise our plans.\But this will only work if Eren can carry that boulder\and seal the hole.\We are proceeding with the operation without certain proof that he can.\I cannot help but feel doubt. response:	Indeed, given the uncertainty of a crucial element,
context: The skills of the elite force will be critical.\All right, understood.\We'll take that into account and revise our plans.\But this will only work if Eren can carry that boulder\and seal the hole.\We are proceeding with the operation without certain proof that he can.\I cannot help but feel doubt.\Indeed, given the uncertainty of a crucial element, response:	I do not relish sending many men to their deaths.
context: All right, understood.\We'll take that into account and revise our plans.\But this will only work if Eren can carry that boulder\and seal the hole.\We are proceeding with the operation without certain proof that he can.\I cannot help but feel doubt.\Indeed, given the uncertainty of a crucial element,\I do not relish sending many men to their deaths. response:	But I do understand what Commander Pixis is thinking.
context: We'll take that into account and revise our plans.\But this will only work if Eren can carry that boulder\and seal the hole.\We are proceeding with the operation without certain proof that he can.\I cannot help but feel doubt.\Indeed, given the uncertainty of a crucial element,\I do not relish sending many men to their deaths.\But I do understand what Commander Pixis is thinking. response:	Yes...
context: But this will only work if Eren can carry that boulder\and seal the hole.\We are proceeding with the operation without certain proof that he can.\I cannot help but feel doubt.\Indeed, given the uncertainty of a crucial element,\I do not relish sending many men to their deaths.\But I do understand what Commander Pixis is thinking.\Yes... response:	The first issue is one of time.
context: and seal the hole.\We are proceeding with the operation without certain proof that he can.\I cannot help but feel doubt.\Indeed, given the uncertainty of a crucial element,\I do not relish sending many men to their deaths.\But I do understand what Commander Pixis is thinking.\Yes...\The first issue is one of time. response:	Even as we speak, Titans continue to enter the town.
context: We are proceeding with the operation without certain proof that he can.\I cannot help but feel doubt.\Indeed, given the uncertainty of a crucial element,\I do not relish sending many men to their deaths.\But I do understand what Commander Pixis is thinking.\Yes...\The first issue is one of time.\Even as we speak, Titans continue to enter the town. response:	The greater their numbers in Trost, the worse our odds of success in retaking it.
context: I cannot help but feel doubt.\Indeed, given the uncertainty of a crucial element,\I do not relish sending many men to their deaths.\But I do understand what Commander Pixis is thinking.\Yes...\The first issue is one of time.\Even as we speak, Titans continue to enter the town.\The greater their numbers in Trost, the worse our odds of success in retaking it. response:	And the higher the chance of Wall Rose falling...
context: Indeed, given the uncertainty of a crucial element,\I do not relish sending many men to their deaths.\But I do understand what Commander Pixis is thinking.\Yes...\The first issue is one of time.\Even as we speak, Titans continue to enter the town.\The greater their numbers in Trost, the worse our odds of success in retaking it.\And the higher the chance of Wall Rose falling... response:	And one more thing.
context: I do not relish sending many men to their deaths.\But I do understand what Commander Pixis is thinking.\Yes...\The first issue is one of time.\Even as we speak, Titans continue to enter the town.\The greater their numbers in Trost, the worse our odds of success in retaking it.\And the higher the chance of Wall Rose falling...\And one more thing. response:	There's a limit to how much one can be motivated by terror.
context: But I do understand what Commander Pixis is thinking.\Yes...\The first issue is one of time.\Even as we speak, Titans continue to enter the town.\The greater their numbers in Trost, the worse our odds of success in retaking it.\And the higher the chance of Wall Rose falling...\And one more thing.\There's a limit to how much one can be motivated by terror. response:	Lift that giant rock?
context: Yes...\The first issue is one of time.\Even as we speak, Titans continue to enter the town.\The greater their numbers in Trost, the worse our odds of success in retaking it.\And the higher the chance of Wall Rose falling...\And one more thing.\There's a limit to how much one can be motivated by terror.\Lift that giant rock? response:	Is it possible?
context: The first issue is one of time.\Even as we speak, Titans continue to enter the town.\The greater their numbers in Trost, the worse our odds of success in retaking it.\And the higher the chance of Wall Rose falling...\And one more thing.\There's a limit to how much one can be motivated by terror.\Lift that giant rock?\Is it possible? response:	Has humanity finally learned to control the Titans?
context: Even as we speak, Titans continue to enter the town.\The greater their numbers in Trost, the worse our odds of success in retaking it.\And the higher the chance of Wall Rose falling...\And one more thing.\There's a limit to how much one can be motivated by terror.\Lift that giant rock?\Is it possible?\Has humanity finally learned to control the Titans? response:	You're lying!
context: The greater their numbers in Trost, the worse our odds of success in retaking it.\And the higher the chance of Wall Rose falling...\And one more thing.\There's a limit to how much one can be motivated by terror.\Lift that giant rock?\Is it possible?\Has humanity finally learned to control the Titans?\You're lying! response:	I won't put my life on the line for a plan I can't even understand!
context: And the higher the chance of Wall Rose falling...\And one more thing.\There's a limit to how much one can be motivated by terror.\Lift that giant rock?\Is it possible?\Has humanity finally learned to control the Titans?\You're lying!\I won't put my life on the line for a plan I can't even understand! response:	What do you think we are?
context: And one more thing.\There's a limit to how much one can be motivated by terror.\Lift that giant rock?\Is it possible?\Has humanity finally learned to control the Titans?\You're lying!\I won't put my life on the line for a plan I can't even understand!\What do you think we are? response:	We aren't...
context: There's a limit to how much one can be motivated by terror.\Lift that giant rock?\Is it possible?\Has humanity finally learned to control the Titans?\You're lying!\I won't put my life on the line for a plan I can't even understand!\What do you think we are?\We aren't... response:	We aren't pawns for you to sacrifice!
context: Lift that giant rock?\Is it possible?\Has humanity finally learned to control the Titans?\You're lying!\I won't put my life on the line for a plan I can't even understand!\What do you think we are?\We aren't...\We aren't pawns for you to sacrifice! response:	A human weapon?
context: Is it possible?\Has humanity finally learned to control the Titans?\You're lying!\I won't put my life on the line for a plan I can't even understand!\What do you think we are?\We aren't...\We aren't pawns for you to sacrifice!\A human weapon? response:	He's lying!
context: Has humanity finally learned to control the Titans?\You're lying!\I won't put my life on the line for a plan I can't even understand!\What do you think we are?\We aren't...\We aren't pawns for you to sacrifice!\A human weapon?\He's lying! response:	He thinks we're fools!
context: You're lying!\I won't put my life on the line for a plan I can't even understand!\What do you think we are?\We aren't...\We aren't pawns for you to sacrifice!\A human weapon?\He's lying!\He thinks we're fools! response:	He's telling us to die here, today!
context: I won't put my life on the line for a plan I can't even understand!\What do you think we are?\We aren't...\We aren't pawns for you to sacrifice!\A human weapon?\He's lying!\He thinks we're fools!\He's telling us to die here, today! response:	I'm leaving!
context: What do you think we are?\We aren't...\We aren't pawns for you to sacrifice!\A human weapon?\He's lying!\He thinks we're fools!\He's telling us to die here, today!\I'm leaving! response:	Me, too.
context: We aren't...\We aren't pawns for you to sacrifice!\A human weapon?\He's lying!\He thinks we're fools!\He's telling us to die here, today!\I'm leaving!\Me, too. response:	And me!
context: We aren't pawns for you to sacrifice!\A human weapon?\He's lying!\He thinks we're fools!\He's telling us to die here, today!\I'm leaving!\Me, too.\And me! response:	I'm out of here, as well!
context: A human weapon?\He's lying!\He thinks we're fools!\He's telling us to die here, today!\I'm leaving!\Me, too.\And me!\I'm out of here, as well! response:	Wait!
context: He's lying!\He thinks we're fools!\He's telling us to die here, today!\I'm leaving!\Me, too.\And me!\I'm out of here, as well!\Wait! response:	You'll get the death penalty for this!
context: He thinks we're fools!\He's telling us to die here, today!\I'm leaving!\Me, too.\And me!\I'm out of here, as well!\Wait!\You'll get the death penalty for this! response:	I'll spend humanity's last hours with my family!
context: He's telling us to die here, today!\I'm leaving!\Me, too.\And me!\I'm out of here, as well!\Wait!\You'll get the death penalty for this!\I'll spend humanity's last hours with my family! response:	This is bad.
context: I'm leaving!\Me, too.\And me!\I'm out of here, as well!\Wait!\You'll get the death penalty for this!\I'll spend humanity's last hours with my family!\This is bad. response:	Yes.
context: Me, too.\And me!\I'm out of here, as well!\Wait!\You'll get the death penalty for this!\I'll spend humanity's last hours with my family!\This is bad.\Yes. response:	If we don't do something, there will be chaos.
context: And me!\I'm out of here, as well!\Wait!\You'll get the death penalty for this!\I'll spend humanity's last hours with my family!\This is bad.\Yes.\If we don't do something, there will be chaos. response:	Ready to die, traitors?!
context: I'm out of here, as well!\Wait!\You'll get the death penalty for this!\I'll spend humanity's last hours with my family!\This is bad.\Yes.\If we don't do something, there will be chaos.\Ready to die, traitors?! response:	I'll kill you right now!
context: Wait!\You'll get the death penalty for this!\I'll spend humanity's last hours with my family!\This is bad.\Yes.\If we don't do something, there will be chaos.\Ready to die, traitors?!\I'll kill you right now! response:	Here is my decision!
context: You'll get the death penalty for this!\I'll spend humanity's last hours with my family!\This is bad.\Yes.\If we don't do something, there will be chaos.\Ready to die, traitors?!\I'll kill you right now!\Here is my decision! response:	I shall pardon anyone who deserts now.
context: I'll spend humanity's last hours with my family!\This is bad.\Yes.\If we don't do something, there will be chaos.\Ready to die, traitors?!\I'll kill you right now!\Here is my decision!\I shall pardon anyone who deserts now. response:	Once you succumb to the Titans' fear,
context: This is bad.\Yes.\If we don't do something, there will be chaos.\Ready to die, traitors?!\I'll kill you right now!\Here is my decision!\I shall pardon anyone who deserts now.\Once you succumb to the Titans' fear, response:	you can never fight them again.
context: Yes.\If we don't do something, there will be chaos.\Ready to die, traitors?!\I'll kill you right now!\Here is my decision!\I shall pardon anyone who deserts now.\Once you succumb to the Titans' fear,\you can never fight them again. response:	Those who have learned that fear should leave.
context: If we don't do something, there will be chaos.\Ready to die, traitors?!\I'll kill you right now!\Here is my decision!\I shall pardon anyone who deserts now.\Once you succumb to the Titans' fear,\you can never fight them again.\Those who have learned that fear should leave. response:	And anyone wishing their parents, siblings,
context: Ready to die, traitors?!\I'll kill you right now!\Here is my decision!\I shall pardon anyone who deserts now.\Once you succumb to the Titans' fear,\you can never fight them again.\Those who have learned that fear should leave.\And anyone wishing their parents, siblings, response:	and loved ones to feel that fear should also leave!
context: I'll kill you right now!\Here is my decision!\I shall pardon anyone who deserts now.\Once you succumb to the Titans' fear,\you can never fight them again.\Those who have learned that fear should leave.\And anyone wishing their parents, siblings,\and loved ones to feel that fear should also leave! response:	Daddy!
context: Here is my decision!\I shall pardon anyone who deserts now.\Once you succumb to the Titans' fear,\you can never fight them again.\Those who have learned that fear should leave.\And anyone wishing their parents, siblings,\and loved ones to feel that fear should also leave!\Daddy! response:	I can't do that...
context: I shall pardon anyone who deserts now.\Once you succumb to the Titans' fear,\you can never fight them again.\Those who have learned that fear should leave.\And anyone wishing their parents, siblings,\and loved ones to feel that fear should also leave!\Daddy!\I can't do that... response:	My daughter is my...
context: Once you succumb to the Titans' fear,\you can never fight them again.\Those who have learned that fear should leave.\And anyone wishing their parents, siblings,\and loved ones to feel that fear should also leave!\Daddy!\I can't do that...\My daughter is my... response:	My last hope.
context: you can never fight them again.\Those who have learned that fear should leave.\And anyone wishing their parents, siblings,\and loved ones to feel that fear should also leave!\Daddy!\I can't do that...\My daughter is my...\My last hope. response:	Let me tell you what happened four years ago.
context: Those who have learned that fear should leave.\And anyone wishing their parents, siblings,\and loved ones to feel that fear should also leave!\Daddy!\I can't do that...\My daughter is my...\My last hope.\Let me tell you what happened four years ago. response:	About our attempt to retake Wall Maria.
context: And anyone wishing their parents, siblings,\and loved ones to feel that fear should also leave!\Daddy!\I can't do that...\My daughter is my...\My last hope.\Let me tell you what happened four years ago.\About our attempt to retake Wall Maria. response:	As I'm sure you're all aware,
context: and loved ones to feel that fear should also leave!\Daddy!\I can't do that...\My daughter is my...\My last hope.\Let me tell you what happened four years ago.\About our attempt to retake Wall Maria.\As I'm sure you're all aware, response:	that operation was no more than the government's way
context: Daddy!\I can't do that...\My daughter is my...\My last hope.\Let me tell you what happened four years ago.\About our attempt to retake Wall Maria.\As I'm sure you're all aware,\that operation was no more than the government's way response:	of dealing with its inability to feed all of the unemployed.
context: I can't do that...\My daughter is my...\My last hope.\Let me tell you what happened four years ago.\About our attempt to retake Wall Maria.\As I'm sure you're all aware,\that operation was no more than the government's way\of dealing with its inability to feed all of the unemployed. response:	It was a culling.
context: My daughter is my...\My last hope.\Let me tell you what happened four years ago.\About our attempt to retake Wall Maria.\As I'm sure you're all aware,\that operation was no more than the government's way\of dealing with its inability to feed all of the unemployed.\It was a culling. response:	The reason no one speaks of it is because
context: My last hope.\Let me tell you what happened four years ago.\About our attempt to retake Wall Maria.\As I'm sure you're all aware,\that operation was no more than the government's way\of dealing with its inability to feed all of the unemployed.\It was a culling.\The reason no one speaks of it is because response:	by sending them outside these cramped walls,
context: Let me tell you what happened four years ago.\About our attempt to retake Wall Maria.\As I'm sure you're all aware,\that operation was no more than the government's way\of dealing with its inability to feed all of the unemployed.\It was a culling.\The reason no one speaks of it is because\by sending them outside these cramped walls, response:	we were able to survive within them.
context: About our attempt to retake Wall Maria.\As I'm sure you're all aware,\that operation was no more than the government's way\of dealing with its inability to feed all of the unemployed.\It was a culling.\The reason no one speaks of it is because\by sending them outside these cramped walls,\we were able to survive within them. response:	All of humanity, including myself, bears the weight of that sin!
context: As I'm sure you're all aware,\that operation was no more than the government's way\of dealing with its inability to feed all of the unemployed.\It was a culling.\The reason no one speaks of it is because\by sending them outside these cramped walls,\we were able to survive within them.\All of humanity, including myself, bears the weight of that sin! response:	Because so few escaped Wall Maria,
context: that operation was no more than the government's way\of dealing with its inability to feed all of the unemployed.\It was a culling.\The reason no one speaks of it is because\by sending them outside these cramped walls,\we were able to survive within them.\All of humanity, including myself, bears the weight of that sin!\Because so few escaped Wall Maria, response:	there was never any open rebellion.
context: of dealing with its inability to feed all of the unemployed.\It was a culling.\The reason no one speaks of it is because\by sending them outside these cramped walls,\we were able to survive within them.\All of humanity, including myself, bears the weight of that sin!\Because so few escaped Wall Maria,\there was never any open rebellion. response:	But what about now?
context: It was a culling.\The reason no one speaks of it is because\by sending them outside these cramped walls,\we were able to survive within them.\All of humanity, including myself, bears the weight of that sin!\Because so few escaped Wall Maria,\there was never any open rebellion.\But what about now? response:	If Wall Rose falls,
context: The reason no one speaks of it is because\by sending them outside these cramped walls,\we were able to survive within them.\All of humanity, including myself, bears the weight of that sin!\Because so few escaped Wall Maria,\there was never any open rebellion.\But what about now?\If Wall Rose falls, response:	the sacrifice will be more than just twenty percent.
context: by sending them outside these cramped walls,\we were able to survive within them.\All of humanity, including myself, bears the weight of that sin!\Because so few escaped Wall Maria,\there was never any open rebellion.\But what about now?\If Wall Rose falls,\the sacrifice will be more than just twenty percent. response:	The territory within Wall Sina
context: we were able to survive within them.\All of humanity, including myself, bears the weight of that sin!\Because so few escaped Wall Maria,\there was never any open rebellion.\But what about now?\If Wall Rose falls,\the sacrifice will be more than just twenty percent.\The territory within Wall Sina response:	won't support even half the remaining population.
context: All of humanity, including myself, bears the weight of that sin!\Because so few escaped Wall Maria,\there was never any open rebellion.\But what about now?\If Wall Rose falls,\the sacrifice will be more than just twenty percent.\The territory within Wall Sina\won't support even half the remaining population. response:	If humanity falls,
context: Because so few escaped Wall Maria,\there was never any open rebellion.\But what about now?\If Wall Rose falls,\the sacrifice will be more than just twenty percent.\The territory within Wall Sina\won't support even half the remaining population.\If humanity falls, response:	it won't be because we were devoured by the Titans.
context: there was never any open rebellion.\But what about now?\If Wall Rose falls,\the sacrifice will be more than just twenty percent.\The territory within Wall Sina\won't support even half the remaining population.\If humanity falls,\it won't be because we were devoured by the Titans. response:	It will be because we killed each other.
context: But what about now?\If Wall Rose falls,\the sacrifice will be more than just twenty percent.\The territory within Wall Sina\won't support even half the remaining population.\If humanity falls,\it won't be because we were devoured by the Titans.\It will be because we killed each other. response:	We must not die even deeper within the walls.
context: If Wall Rose falls,\the sacrifice will be more than just twenty percent.\The territory within Wall Sina\won't support even half the remaining population.\If humanity falls,\it won't be because we were devoured by the Titans.\It will be because we killed each other.\We must not die even deeper within the walls. response:	I beg of you
context: the sacrifice will be more than just twenty percent.\The territory within Wall Sina\won't support even half the remaining population.\If humanity falls,\it won't be because we were devoured by the Titans.\It will be because we killed each other.\We must not die even deeper within the walls.\I beg of you response:	to die right here!
context: The territory within Wall Sina\won't support even half the remaining population.\If humanity falls,\it won't be because we were devoured by the Titans.\It will be because we killed each other.\We must not die even deeper within the walls.\I beg of you\to die right here! response:	I don't know if I can use the Titan's power to lift that boulder.
context: won't support even half the remaining population.\If humanity falls,\it won't be because we were devoured by the Titans.\It will be because we killed each other.\We must not die even deeper within the walls.\I beg of you\to die right here!\I don't know if I can use the Titan's power to lift that boulder. response:	But I understand what I must do...
context: If humanity falls,\it won't be because we were devoured by the Titans.\It will be because we killed each other.\We must not die even deeper within the walls.\I beg of you\to die right here!\I don't know if I can use the Titan's power to lift that boulder.\But I understand what I must do... response:	It may be a lie,
context: it won't be because we were devoured by the Titans.\It will be because we killed each other.\We must not die even deeper within the walls.\I beg of you\to die right here!\I don't know if I can use the Titan's power to lift that boulder.\But I understand what I must do...\It may be a lie, response:	but I must make it happen anyway.
context: It will be because we killed each other.\We must not die even deeper within the walls.\I beg of you\to die right here!\I don't know if I can use the Titan's power to lift that boulder.\But I understand what I must do...\It may be a lie,\but I must make it happen anyway. response:	I must become a symbol
context: We must not die even deeper within the walls.\I beg of you\to die right here!\I don't know if I can use the Titan's power to lift that boulder.\But I understand what I must do...\It may be a lie,\but I must make it happen anyway.\I must become a symbol response:	of hope for everyone!
context: I beg of you\to die right here!\I don't know if I can use the Titan's power to lift that boulder.\But I understand what I must do...\It may be a lie,\but I must make it happen anyway.\I must become a symbol\of hope for everyone! response:	3D Maneuver Gear Weight-Shifting Device (1) To maneuver in 3D space, it's necessary to be able to shift one's weight precisely, using belts strung all over the body.
context: to die right here!\I don't know if I can use the Titan's power to lift that boulder.\But I understand what I must do...\It may be a lie,\but I must make it happen anyway.\I must become a symbol\of hope for everyone!\3D Maneuver Gear Weight-Shifting Device (1) To maneuver in 3D space, it's necessary to be able to shift one's weight precisely, using belts strung all over the body. response:	3D Maneuver Gear Weight-Shifting Device (2) To allow quick maneuvers in 3D space, the equipment has been made as light as possible.
context: I don't know if I can use the Titan's power to lift that boulder.\But I understand what I must do...\It may be a lie,\but I must make it happen anyway.\I must become a symbol\of hope for everyone!\3D Maneuver Gear Weight-Shifting Device (1) To maneuver in 3D space, it's necessary to be able to shift one's weight precisely, using belts strung all over the body.\3D Maneuver Gear Weight-Shifting Device (2) To allow quick maneuvers in 3D space, the equipment has been made as light as possible. response:	I see you're all here...
context: But I understand what I must do...\It may be a lie,\but I must make it happen anyway.\I must become a symbol\of hope for everyone!\3D Maneuver Gear Weight-Shifting Device (1) To maneuver in 3D space, it's necessary to be able to shift one's weight precisely, using belts strung all over the body.\3D Maneuver Gear Weight-Shifting Device (2) To allow quick maneuvers in 3D space, the equipment has been made as light as possible.\I see you're all here... response:	You have one mission.
context: It may be a lie,\but I must make it happen anyway.\I must become a symbol\of hope for everyone!\3D Maneuver Gear Weight-Shifting Device (1) To maneuver in 3D space, it's necessary to be able to shift one's weight precisely, using belts strung all over the body.\3D Maneuver Gear Weight-Shifting Device (2) To allow quick maneuvers in 3D space, the equipment has been made as light as possible.\I see you're all here...\You have one mission. response:	To guard Eren Jaeger,
context: but I must make it happen anyway.\I must become a symbol\of hope for everyone!\3D Maneuver Gear Weight-Shifting Device (1) To maneuver in 3D space, it's necessary to be able to shift one's weight precisely, using belts strung all over the body.\3D Maneuver Gear Weight-Shifting Device (2) To allow quick maneuvers in 3D space, the equipment has been made as light as possible.\I see you're all here...\You have one mission.\To guard Eren Jaeger, response:	eliminating any threat that appears during the operation.
context: I must become a symbol\of hope for everyone!\3D Maneuver Gear Weight-Shifting Device (1) To maneuver in 3D space, it's necessary to be able to shift one's weight precisely, using belts strung all over the body.\3D Maneuver Gear Weight-Shifting Device (2) To allow quick maneuvers in 3D space, the equipment has been made as light as possible.\I see you're all here...\You have one mission.\To guard Eren Jaeger,\eliminating any threat that appears during the operation. response:	It will be the most dangerous and difficult task in the entire operation.
context: of hope for everyone!\3D Maneuver Gear Weight-Shifting Device (1) To maneuver in 3D space, it's necessary to be able to shift one's weight precisely, using belts strung all over the body.\3D Maneuver Gear Weight-Shifting Device (2) To allow quick maneuvers in 3D space, the equipment has been made as light as possible.\I see you're all here...\You have one mission.\To guard Eren Jaeger,\eliminating any threat that appears during the operation.\It will be the most dangerous and difficult task in the entire operation. response:	It's no exaggeration
context: 3D Maneuver Gear Weight-Shifting Device (1) To maneuver in 3D space, it's necessary to be able to shift one's weight precisely, using belts strung all over the body.\3D Maneuver Gear Weight-Shifting Device (2) To allow quick maneuvers in 3D space, the equipment has been made as light as possible.\I see you're all here...\You have one mission.\To guard Eren Jaeger,\eliminating any threat that appears during the operation.\It will be the most dangerous and difficult task in the entire operation.\It's no exaggeration response:	to say that humanity's fate rests on your shoulders.
context: 3D Maneuver Gear Weight-Shifting Device (2) To allow quick maneuvers in 3D space, the equipment has been made as light as possible.\I see you're all here...\You have one mission.\To guard Eren Jaeger,\eliminating any threat that appears during the operation.\It will be the most dangerous and difficult task in the entire operation.\It's no exaggeration\to say that humanity's fate rests on your shoulders. response:	Commander, may I say something?
context: I see you're all here...\You have one mission.\To guard Eren Jaeger,\eliminating any threat that appears during the operation.\It will be the most dangerous and difficult task in the entire operation.\It's no exaggeration\to say that humanity's fate rests on your shoulders.\Commander, may I say something? response:	What is it?
context: You have one mission.\To guard Eren Jaeger,\eliminating any threat that appears during the operation.\It will be the most dangerous and difficult task in the entire operation.\It's no exaggeration\to say that humanity's fate rests on your shoulders.\Commander, may I say something?\What is it? response:	Does this human weapon really work?
context: To guard Eren Jaeger,\eliminating any threat that appears during the operation.\It will be the most dangerous and difficult task in the entire operation.\It's no exaggeration\to say that humanity's fate rests on your shoulders.\Commander, may I say something?\What is it?\Does this human weapon really work? response:	Quiet, Riko!
context: eliminating any threat that appears during the operation.\It will be the most dangerous and difficult task in the entire operation.\It's no exaggeration\to say that humanity's fate rests on your shoulders.\Commander, may I say something?\What is it?\Does this human weapon really work?\Quiet, Riko! response:	You don't believe it, either, do you?
context: It will be the most dangerous and difficult task in the entire operation.\It's no exaggeration\to say that humanity's fate rests on your shoulders.\Commander, may I say something?\What is it?\Does this human weapon really work?\Quiet, Riko!\You don't believe it, either, do you? response:	Commander, this operation depends on Eren Jaeger,
context: It's no exaggeration\to say that humanity's fate rests on your shoulders.\Commander, may I say something?\What is it?\Does this human weapon really work?\Quiet, Riko!\You don't believe it, either, do you?\Commander, this operation depends on Eren Jaeger, response:	and we know nothing about him.
context: to say that humanity's fate rests on your shoulders.\Commander, may I say something?\What is it?\Does this human weapon really work?\Quiet, Riko!\You don't believe it, either, do you?\Commander, this operation depends on Eren Jaeger,\and we know nothing about him. response:	If he cannot function, many soldiers will have died for nothing.
context: Commander, may I say something?\What is it?\Does this human weapon really work?\Quiet, Riko!\You don't believe it, either, do you?\Commander, this operation depends on Eren Jaeger,\and we know nothing about him.\If he cannot function, many soldiers will have died for nothing. response:	Well, then...
context: What is it?\Does this human weapon really work?\Quiet, Riko!\You don't believe it, either, do you?\Commander, this operation depends on Eren Jaeger,\and we know nothing about him.\If he cannot function, many soldiers will have died for nothing.\Well, then... response:	Do you really enjoy losing to the Titans that much?
context: Does this human weapon really work?\Quiet, Riko!\You don't believe it, either, do you?\Commander, this operation depends on Eren Jaeger,\and we know nothing about him.\If he cannot function, many soldiers will have died for nothing.\Well, then...\Do you really enjoy losing to the Titans that much? response:	I don't.
context: Quiet, Riko!\You don't believe it, either, do you?\Commander, this operation depends on Eren Jaeger,\and we know nothing about him.\If he cannot function, many soldiers will have died for nothing.\Well, then...\Do you really enjoy losing to the Titans that much?\I don't. response:	I hate losing more than anything.
context: You don't believe it, either, do you?\Commander, this operation depends on Eren Jaeger,\and we know nothing about him.\If he cannot function, many soldiers will have died for nothing.\Well, then...\Do you really enjoy losing to the Titans that much?\I don't.\I hate losing more than anything. response:	But unfortunately, I've been losing for my entire life.
context: Commander, this operation depends on Eren Jaeger,\and we know nothing about him.\If he cannot function, many soldiers will have died for nothing.\Well, then...\Do you really enjoy losing to the Titans that much?\I don't.\I hate losing more than anything.\But unfortunately, I've been losing for my entire life. response:	I want to win against the Titans...
context: and we know nothing about him.\If he cannot function, many soldiers will have died for nothing.\Well, then...\Do you really enjoy losing to the Titans that much?\I don't.\I hate losing more than anything.\But unfortunately, I've been losing for my entire life.\I want to win against the Titans... response:	I want to beat those giant freaks
context: If he cannot function, many soldiers will have died for nothing.\Well, then...\Do you really enjoy losing to the Titans that much?\I don't.\I hate losing more than anything.\But unfortunately, I've been losing for my entire life.\I want to win against the Titans...\I want to beat those giant freaks response:	more than anything in the world.
context: Well, then...\Do you really enjoy losing to the Titans that much?\I don't.\I hate losing more than anything.\But unfortunately, I've been losing for my entire life.\I want to win against the Titans...\I want to beat those giant freaks\more than anything in the world. response:	S-So do we!
context: Do you really enjoy losing to the Titans that much?\I don't.\I hate losing more than anything.\But unfortunately, I've been losing for my entire life.\I want to win against the Titans...\I want to beat those giant freaks\more than anything in the world.\S-So do we! response:	Then betting on him is our only option.
context: I don't.\I hate losing more than anything.\But unfortunately, I've been losing for my entire life.\I want to win against the Titans...\I want to beat those giant freaks\more than anything in the world.\S-So do we!\Then betting on him is our only option. response:	You're right, we know nothing about him.
