context: Many Future Paths!! The Circumstances Everyone Bears response:	I'm breaking up with you.
context: Matsubara-san will be there too.\I heard that the old lady got really drunk last year and went completely wild.\No way! Are you serious?!\Don't you want to see that?\Kohori-kun?\What's this about the old lady?\Uh... nothing at all!\I'm taking out the trash! response:	Keep up the good work!
context: I heard that the old lady got really drunk last year and went completely wild.\No way! Are you serious?!\Don't you want to see that?\Kohori-kun?\What's this about the old lady?\Uh... nothing at all!\I'm taking out the trash!\Keep up the good work! response:	If you're looking for Koizumi-san, she already left.
context: No way! Are you serious?!\Don't you want to see that?\Kohori-kun?\What's this about the old lady?\Uh... nothing at all!\I'm taking out the trash!\Keep up the good work!\If you're looking for Koizumi-san, she already left. response:	I was just on my way home from prep school.
context: Don't you want to see that?\Kohori-kun?\What's this about the old lady?\Uh... nothing at all!\I'm taking out the trash!\Keep up the good work!\If you're looking for Koizumi-san, she already left.\I was just on my way home from prep school. response:	Of course you are.
context: Kohori-kun?\What's this about the old lady?\Uh... nothing at all!\I'm taking out the trash!\Keep up the good work!\If you're looking for Koizumi-san, she already left.\I was just on my way home from prep school.\Of course you are. response:	You guys already broke up, after all...
context: What's this about the old lady?\Uh... nothing at all!\I'm taking out the trash!\Keep up the good work!\If you're looking for Koizumi-san, she already left.\I was just on my way home from prep school.\Of course you are.\You guys already broke up, after all... response:	You really are short. How tall are you?
context: Uh... nothing at all!\I'm taking out the trash!\Keep up the good work!\If you're looking for Koizumi-san, she already left.\I was just on my way home from prep school.\Of course you are.\You guys already broke up, after all...\You really are short. How tall are you? response:	I'm 158 cm.
context: I'm taking out the trash!\Keep up the good work!\If you're looking for Koizumi-san, she already left.\I was just on my way home from prep school.\Of course you are.\You guys already broke up, after all...\You really are short. How tall are you?\I'm 158 cm. response:	Huh? No way! I'm 2 cm shorter than you?
context: Keep up the good work!\If you're looking for Koizumi-san, she already left.\I was just on my way home from prep school.\Of course you are.\You guys already broke up, after all...\You really are short. How tall are you?\I'm 158 cm.\Huh? No way! I'm 2 cm shorter than you? response:	Oww! What did you do that for?!
context: If you're looking for Koizumi-san, she already left.\I was just on my way home from prep school.\Of course you are.\You guys already broke up, after all...\You really are short. How tall are you?\I'm 158 cm.\Huh? No way! I'm 2 cm shorter than you?\Oww! What did you do that for?! response:	Don't play dumb with me. This is all your fault!
context: I was just on my way home from prep school.\Of course you are.\You guys already broke up, after all...\You really are short. How tall are you?\I'm 158 cm.\Huh? No way! I'm 2 cm shorter than you?\Oww! What did you do that for?!\Don't play dumb with me. This is all your fault! response:	Attacking Koizumi while she was asleep...
context: Of course you are.\You guys already broke up, after all...\You really are short. How tall are you?\I'm 158 cm.\Huh? No way! I'm 2 cm shorter than you?\Oww! What did you do that for?!\Don't play dumb with me. This is all your fault!\Attacking Koizumi while she was asleep... response:	It was only because she looked so beautiful while she was sleeping...
context: You guys already broke up, after all...\You really are short. How tall are you?\I'm 158 cm.\Huh? No way! I'm 2 cm shorter than you?\Oww! What did you do that for?!\Don't play dumb with me. This is all your fault!\Attacking Koizumi while she was asleep...\It was only because she looked so beautiful while she was sleeping... response:	Good lord! Don't say something so embarrassing out loud!
context: You really are short. How tall are you?\I'm 158 cm.\Huh? No way! I'm 2 cm shorter than you?\Oww! What did you do that for?!\Don't play dumb with me. This is all your fault!\Attacking Koizumi while she was asleep...\It was only because she looked so beautiful while she was sleeping...\Good lord! Don't say something so embarrassing out loud! response:	It's not embarrassing! It's true!
context: I'm 158 cm.\Huh? No way! I'm 2 cm shorter than you?\Oww! What did you do that for?!\Don't play dumb with me. This is all your fault!\Attacking Koizumi while she was asleep...\It was only because she looked so beautiful while she was sleeping...\Good lord! Don't say something so embarrassing out loud!\It's not embarrassing! It's true! response:	Shut up! Cram it, you midget!
context: Huh? No way! I'm 2 cm shorter than you?\Oww! What did you do that for?!\Don't play dumb with me. This is all your fault!\Attacking Koizumi while she was asleep...\It was only because she looked so beautiful while she was sleeping...\Good lord! Don't say something so embarrassing out loud!\It's not embarrassing! It's true!\Shut up! Cram it, you midget! response:	I'm 2 cm taller than you, aren't I?!
context: Oww! What did you do that for?!\Don't play dumb with me. This is all your fault!\Attacking Koizumi while she was asleep...\It was only because she looked so beautiful while she was sleeping...\Good lord! Don't say something so embarrassing out loud!\It's not embarrassing! It's true!\Shut up! Cram it, you midget!\I'm 2 cm taller than you, aren't I?! response:	So what?! And besides, just what do you want with Koizumi?!
context: Don't play dumb with me. This is all your fault!\Attacking Koizumi while she was asleep...\It was only because she looked so beautiful while she was sleeping...\Good lord! Don't say something so embarrassing out loud!\It's not embarrassing! It's true!\Shut up! Cram it, you midget!\I'm 2 cm taller than you, aren't I?!\So what?! And besides, just what do you want with Koizumi?! response:	I like her.
context: Attacking Koizumi while she was asleep...\It was only because she looked so beautiful while she was sleeping...\Good lord! Don't say something so embarrassing out loud!\It's not embarrassing! It's true!\Shut up! Cram it, you midget!\I'm 2 cm taller than you, aren't I?!\So what?! And besides, just what do you want with Koizumi?!\I like her. response:	I'm not going to hold back anymore.
context: It was only because she looked so beautiful while she was sleeping...\Good lord! Don't say something so embarrassing out loud!\It's not embarrassing! It's true!\Shut up! Cram it, you midget!\I'm 2 cm taller than you, aren't I?!\So what?! And besides, just what do you want with Koizumi?!\I like her.\I'm not going to hold back anymore. response:	I wonder what he did with the coat?
context: Good lord! Don't say something so embarrassing out loud!\It's not embarrassing! It's true!\Shut up! Cram it, you midget!\I'm 2 cm taller than you, aren't I?!\So what?! And besides, just what do you want with Koizumi?!\I like her.\I'm not going to hold back anymore.\I wonder what he did with the coat? response:	Well, it doesn't matter. As long as he's doing his best.
context: It's not embarrassing! It's true!\Shut up! Cram it, you midget!\I'm 2 cm taller than you, aren't I?!\So what?! And besides, just what do you want with Koizumi?!\I like her.\I'm not going to hold back anymore.\I wonder what he did with the coat?\Well, it doesn't matter. As long as he's doing his best. response:	A Christmas without Otani...
context: Shut up! Cram it, you midget!\I'm 2 cm taller than you, aren't I?!\So what?! And besides, just what do you want with Koizumi?!\I like her.\I'm not going to hold back anymore.\I wonder what he did with the coat?\Well, it doesn't matter. As long as he's doing his best.\A Christmas without Otani... response:	I'm Koizumi Risa, and I'll be singing an Umibouzu song!
context: I'm 2 cm taller than you, aren't I?!\So what?! And besides, just what do you want with Koizumi?!\I like her.\I'm not going to hold back anymore.\I wonder what he did with the coat?\Well, it doesn't matter. As long as he's doing his best.\A Christmas without Otani...\I'm Koizumi Risa, and I'll be singing an Umibouzu song! response:	Can't be helped. Can't be helped. Can't be helped.
context: So what?! And besides, just what do you want with Koizumi?!\I like her.\I'm not going to hold back anymore.\I wonder what he did with the coat?\Well, it doesn't matter. As long as he's doing his best.\A Christmas without Otani...\I'm Koizumi Risa, and I'll be singing an Umibouzu song!\Can't be helped. Can't be helped. Can't be helped. response:	I'm okay.
context: I like her.\I'm not going to hold back anymore.\I wonder what he did with the coat?\Well, it doesn't matter. As long as he's doing his best.\A Christmas without Otani...\I'm Koizumi Risa, and I'll be singing an Umibouzu song!\Can't be helped. Can't be helped. Can't be helped.\I'm okay. response:	I'm going to be fine.
context: I'm not going to hold back anymore.\I wonder what he did with the coat?\Well, it doesn't matter. As long as he's doing his best.\A Christmas without Otani...\I'm Koizumi Risa, and I'll be singing an Umibouzu song!\Can't be helped. Can't be helped. Can't be helped.\I'm okay.\I'm going to be fine. response:	See? I'm having fun.
context: I wonder what he did with the coat?\Well, it doesn't matter. As long as he's doing his best.\A Christmas without Otani...\I'm Koizumi Risa, and I'll be singing an Umibouzu song!\Can't be helped. Can't be helped. Can't be helped.\I'm okay.\I'm going to be fine.\See? I'm having fun. response:	This is where Otani would usually break in and interject.
context: Well, it doesn't matter. As long as he's doing his best.\A Christmas without Otani...\I'm Koizumi Risa, and I'll be singing an Umibouzu song!\Can't be helped. Can't be helped. Can't be helped.\I'm okay.\I'm going to be fine.\See? I'm having fun.\This is where Otani would usually break in and interject. response:	He'd always make a silly face and shout Yeah! right around here.
context: A Christmas without Otani...\I'm Koizumi Risa, and I'll be singing an Umibouzu song!\Can't be helped. Can't be helped. Can't be helped.\I'm okay.\I'm going to be fine.\See? I'm having fun.\This is where Otani would usually break in and interject.\He'd always make a silly face and shout Yeah! right around here. response:	I want to see him...
context: I'm Koizumi Risa, and I'll be singing an Umibouzu song!\Can't be helped. Can't be helped. Can't be helped.\I'm okay.\I'm going to be fine.\See? I'm having fun.\This is where Otani would usually break in and interject.\He'd always make a silly face and shout Yeah! right around here.\I want to see him... response:	I really want to see him.
context: Can't be helped. Can't be helped. Can't be helped.\I'm okay.\I'm going to be fine.\See? I'm having fun.\This is where Otani would usually break in and interject.\He'd always make a silly face and shout Yeah! right around here.\I want to see him...\I really want to see him. response:	A-chan, want some Christmas cake?
context: I'm okay.\I'm going to be fine.\See? I'm having fun.\This is where Otani would usually break in and interject.\He'd always make a silly face and shout Yeah! right around here.\I want to see him...\I really want to see him.\A-chan, want some Christmas cake? response:	You look really tired.
context: I'm going to be fine.\See? I'm having fun.\This is where Otani would usually break in and interject.\He'd always make a silly face and shout Yeah! right around here.\I want to see him...\I really want to see him.\A-chan, want some Christmas cake?\You look really tired. response:	You should take a break once in a while, you know.
context: See? I'm having fun.\This is where Otani would usually break in and interject.\He'd always make a silly face and shout Yeah! right around here.\I want to see him...\I really want to see him.\A-chan, want some Christmas cake?\You look really tired.\You should take a break once in a while, you know. response:	It is Christmas, after all. Why don't you spend it with Risa-chan?
context: This is where Otani would usually break in and interject.\He'd always make a silly face and shout Yeah! right around here.\I want to see him...\I really want to see him.\A-chan, want some Christmas cake?\You look really tired.\You should take a break once in a while, you know.\It is Christmas, after all. Why don't you spend it with Risa-chan? response:	You think?
context: He'd always make a silly face and shout Yeah! right around here.\I want to see him...\I really want to see him.\A-chan, want some Christmas cake?\You look really tired.\You should take a break once in a while, you know.\It is Christmas, after all. Why don't you spend it with Risa-chan?\You think? response:	Yeah.
context: I want to see him...\I really want to see him.\A-chan, want some Christmas cake?\You look really tired.\You should take a break once in a while, you know.\It is Christmas, after all. Why don't you spend it with Risa-chan?\You think?\Yeah. response:	I saw her near the station not long ago.
context: I really want to see him.\A-chan, want some Christmas cake?\You look really tired.\You should take a break once in a while, you know.\It is Christmas, after all. Why don't you spend it with Risa-chan?\You think?\Yeah.\I saw her near the station not long ago. response:	She was with a boy around your height.
context: A-chan, want some Christmas cake?\You look really tired.\You should take a break once in a while, you know.\It is Christmas, after all. Why don't you spend it with Risa-chan?\You think?\Yeah.\I saw her near the station not long ago.\She was with a boy around your height. response:	I'm not going to hold back anymore.
context: You look really tired.\You should take a break once in a while, you know.\It is Christmas, after all. Why don't you spend it with Risa-chan?\You think?\Yeah.\I saw her near the station not long ago.\She was with a boy around your height.\I'm not going to hold back anymore. response:	Koizumi-san!
context: You should take a break once in a while, you know.\It is Christmas, after all. Why don't you spend it with Risa-chan?\You think?\Yeah.\I saw her near the station not long ago.\She was with a boy around your height.\I'm not going to hold back anymore.\Koizumi-san! response:	A-chan!
context: It is Christmas, after all. Why don't you spend it with Risa-chan?\You think?\Yeah.\I saw her near the station not long ago.\She was with a boy around your height.\I'm not going to hold back anymore.\Koizumi-san!\A-chan! response:	I thought I could go on being normal without Otani,
context: You think?\Yeah.\I saw her near the station not long ago.\She was with a boy around your height.\I'm not going to hold back anymore.\Koizumi-san!\A-chan!\I thought I could go on being normal without Otani, response:	I'm just...
context: Yeah.\I saw her near the station not long ago.\She was with a boy around your height.\I'm not going to hold back anymore.\Koizumi-san!\A-chan!\I thought I could go on being normal without Otani,\I'm just... response:	That's dangerous!
context: I saw her near the station not long ago.\She was with a boy around your height.\I'm not going to hold back anymore.\Koizumi-san!\A-chan!\I thought I could go on being normal without Otani,\I'm just...\That's dangerous! response:	That looked painful.
context: She was with a boy around your height.\I'm not going to hold back anymore.\Koizumi-san!\A-chan!\I thought I could go on being normal without Otani,\I'm just...\That's dangerous!\That looked painful. response:	Is she all right?
context: I'm not going to hold back anymore.\Koizumi-san!\A-chan!\I thought I could go on being normal without Otani,\I'm just...\That's dangerous!\That looked painful.\Is she all right? response:	Oww...
context: Koizumi-san!\A-chan!\I thought I could go on being normal without Otani,\I'm just...\That's dangerous!\That looked painful.\Is she all right?\Oww... response:	I'm just no good without Otani.
context: A-chan!\I thought I could go on being normal without Otani,\I'm just...\That's dangerous!\That looked painful.\Is she all right?\Oww...\I'm just no good without Otani. response:	Otani... Why?
context: I thought I could go on being normal without Otani,\I'm just...\That's dangerous!\That looked painful.\Is she all right?\Oww...\I'm just no good without Otani.\Otani... Why? response:	You sure fall over a lot for someone with such a big body.
context: I'm just...\That's dangerous!\That looked painful.\Is she all right?\Oww...\I'm just no good without Otani.\Otani... Why?\You sure fall over a lot for someone with such a big body. response:	That coat...
context: That's dangerous!\That looked painful.\Is she all right?\Oww...\I'm just no good without Otani.\Otani... Why?\You sure fall over a lot for someone with such a big body.\That coat... response:	Yeah...
context: That looked painful.\Is she all right?\Oww...\I'm just no good without Otani.\Otani... Why?\You sure fall over a lot for someone with such a big body.\That coat...\Yeah... response:	I'm not too sure about the recycled aspect of it, but thanks.
context: Is she all right?\Oww...\I'm just no good without Otani.\Otani... Why?\You sure fall over a lot for someone with such a big body.\That coat...\Yeah...\I'm not too sure about the recycled aspect of it, but thanks. response:	Once you finish with your exams, I'm going to ask you out again.
context: Oww...\I'm just no good without Otani.\Otani... Why?\You sure fall over a lot for someone with such a big body.\That coat...\Yeah...\I'm not too sure about the recycled aspect of it, but thanks.\Once you finish with your exams, I'm going to ask you out again. response:	I'm persistent, you know.
context: I'm just no good without Otani.\Otani... Why?\You sure fall over a lot for someone with such a big body.\That coat...\Yeah...\I'm not too sure about the recycled aspect of it, but thanks.\Once you finish with your exams, I'm going to ask you out again.\I'm persistent, you know. response:	Even if you dump me, or say you're breaking up with me, I'm not going to give up.
context: Otani... Why?\You sure fall over a lot for someone with such a big body.\That coat...\Yeah...\I'm not too sure about the recycled aspect of it, but thanks.\Once you finish with your exams, I'm going to ask you out again.\I'm persistent, you know.\Even if you dump me, or say you're breaking up with me, I'm not going to give up. response:	So just focus on the entrance exams for now.
context: You sure fall over a lot for someone with such a big body.\That coat...\Yeah...\I'm not too sure about the recycled aspect of it, but thanks.\Once you finish with your exams, I'm going to ask you out again.\I'm persistent, you know.\Even if you dump me, or say you're breaking up with me, I'm not going to give up.\So just focus on the entrance exams for now. response:	O-Otani...
context: That coat...\Yeah...\I'm not too sure about the recycled aspect of it, but thanks.\Once you finish with your exams, I'm going to ask you out again.\I'm persistent, you know.\Even if you dump me, or say you're breaking up with me, I'm not going to give up.\So just focus on the entrance exams for now.\O-Otani... response:	Sorry.
context: Yeah...\I'm not too sure about the recycled aspect of it, but thanks.\Once you finish with your exams, I'm going to ask you out again.\I'm persistent, you know.\Even if you dump me, or say you're breaking up with me, I'm not going to give up.\So just focus on the entrance exams for now.\O-Otani...\Sorry. response:	Forget that I said we'd break up.
context: I'm not too sure about the recycled aspect of it, but thanks.\Once you finish with your exams, I'm going to ask you out again.\I'm persistent, you know.\Even if you dump me, or say you're breaking up with me, I'm not going to give up.\So just focus on the entrance exams for now.\O-Otani...\Sorry.\Forget that I said we'd break up. response:	I take it back.
context: Once you finish with your exams, I'm going to ask you out again.\I'm persistent, you know.\Even if you dump me, or say you're breaking up with me, I'm not going to give up.\So just focus on the entrance exams for now.\O-Otani...\Sorry.\Forget that I said we'd break up.\I take it back. response:	But... your exams...
context: I'm persistent, you know.\Even if you dump me, or say you're breaking up with me, I'm not going to give up.\So just focus on the entrance exams for now.\O-Otani...\Sorry.\Forget that I said we'd break up.\I take it back.\But... your exams... response:	Oh no. This is bad.
context: Even if you dump me, or say you're breaking up with me, I'm not going to give up.\So just focus on the entrance exams for now.\O-Otani...\Sorry.\Forget that I said we'd break up.\I take it back.\But... your exams...\Oh no. This is bad. response:	What?
context: So just focus on the entrance exams for now.\O-Otani...\Sorry.\Forget that I said we'd break up.\I take it back.\But... your exams...\Oh no. This is bad.\What? response:	I seem to like you more than I thought.
context: O-Otani...\Sorry.\Forget that I said we'd break up.\I take it back.\But... your exams...\Oh no. This is bad.\What?\I seem to like you more than I thought. response:	No way...
context: Sorry.\Forget that I said we'd break up.\I take it back.\But... your exams...\Oh no. This is bad.\What?\I seem to like you more than I thought.\No way... response:	Don't make weird noises.
context: Forget that I said we'd break up.\I take it back.\But... your exams...\Oh no. This is bad.\What?\I seem to like you more than I thought.\No way...\Don't make weird noises. response:	If you're going to say something that nice to me,
context: I take it back.\But... your exams...\Oh no. This is bad.\What?\I seem to like you more than I thought.\No way...\Don't make weird noises.\If you're going to say something that nice to me, response:	Otani...
context: But... your exams...\Oh no. This is bad.\What?\I seem to like you more than I thought.\No way...\Don't make weird noises.\If you're going to say something that nice to me,\Otani... response:	What is it?
context: Oh no. This is bad.\What?\I seem to like you more than I thought.\No way...\Don't make weird noises.\If you're going to say something that nice to me,\Otani...\What is it? response:	Everyone is staring at us.
context: What?\I seem to like you more than I thought.\No way...\Don't make weird noises.\If you're going to say something that nice to me,\Otani...\What is it?\Everyone is staring at us. response:	I know that!
context: I seem to like you more than I thought.\No way...\Don't make weird noises.\If you're going to say something that nice to me,\Otani...\What is it?\Everyone is staring at us.\I know that! response:	Your face might be hidden, but everyone can see mine.
context: No way...\Don't make weird noises.\If you're going to say something that nice to me,\Otani...\What is it?\Everyone is staring at us.\I know that!\Your face might be hidden, but everyone can see mine. response:	Idiot. I've got do your best written on my back, don't I?
context: Don't make weird noises.\If you're going to say something that nice to me,\Otani...\What is it?\Everyone is staring at us.\I know that!\Your face might be hidden, but everyone can see mine.\Idiot. I've got do your best written on my back, don't I? response:	You really should do your best...
context: If you're going to say something that nice to me,\Otani...\What is it?\Everyone is staring at us.\I know that!\Your face might be hidden, but everyone can see mine.\Idiot. I've got do your best written on my back, don't I?\You really should do your best... response:	Let's make a run for it.
context: Otani...\What is it?\Everyone is staring at us.\I know that!\Your face might be hidden, but everyone can see mine.\Idiot. I've got do your best written on my back, don't I?\You really should do your best...\Let's make a run for it. response:	Oh... I didn't get you a Christmas present.
context: What is it?\Everyone is staring at us.\I know that!\Your face might be hidden, but everyone can see mine.\Idiot. I've got do your best written on my back, don't I?\You really should do your best...\Let's make a run for it.\Oh... I didn't get you a Christmas present. response:	But you already gave me something.
context: Everyone is staring at us.\I know that!\Your face might be hidden, but everyone can see mine.\Idiot. I've got do your best written on my back, don't I?\You really should do your best...\Let's make a run for it.\Oh... I didn't get you a Christmas present.\But you already gave me something. response:	Huh? I didn't give you anything.
context: I know that!\Your face might be hidden, but everyone can see mine.\Idiot. I've got do your best written on my back, don't I?\You really should do your best...\Let's make a run for it.\Oh... I didn't get you a Christmas present.\But you already gave me something.\Huh? I didn't give you anything. response:	It was something wonderful.
context: Your face might be hidden, but everyone can see mine.\Idiot. I've got do your best written on my back, don't I?\You really should do your best...\Let's make a run for it.\Oh... I didn't get you a Christmas present.\But you already gave me something.\Huh? I didn't give you anything.\It was something wonderful. response:	I seem to like you more than I thought.
context: Idiot. I've got do your best written on my back, don't I?\You really should do your best...\Let's make a run for it.\Oh... I didn't get you a Christmas present.\But you already gave me something.\Huh? I didn't give you anything.\It was something wonderful.\I seem to like you more than I thought. response:	That was the best present ever.
context: You really should do your best...\Let's make a run for it.\Oh... I didn't get you a Christmas present.\But you already gave me something.\Huh? I didn't give you anything.\It was something wonderful.\I seem to like you more than I thought.\That was the best present ever. response:	I don't need anything else.
context: Let's make a run for it.\Oh... I didn't get you a Christmas present.\But you already gave me something.\Huh? I didn't give you anything.\It was something wonderful.\I seem to like you more than I thought.\That was the best present ever.\I don't need anything else. response:	And so, we overcame that unprecedented crisis and entered the new year.
context: Oh... I didn't get you a Christmas present.\But you already gave me something.\Huh? I didn't give you anything.\It was something wonderful.\I seem to like you more than I thought.\That was the best present ever.\I don't need anything else.\And so, we overcame that unprecedented crisis and entered the new year. response:	This is bad!
context: But you already gave me something.\Huh? I didn't give you anything.\It was something wonderful.\I seem to like you more than I thought.\That was the best present ever.\I don't need anything else.\And so, we overcame that unprecedented crisis and entered the new year.\This is bad! response:	It's New Years Day and we're already late!
context: Huh? I didn't give you anything.\It was something wonderful.\I seem to like you more than I thought.\That was the best present ever.\I don't need anything else.\And so, we overcame that unprecedented crisis and entered the new year.\This is bad!\It's New Years Day and we're already late! response:	I only slept in because you called and woke me up at some odd hour!
context: It was something wonderful.\I seem to like you more than I thought.\That was the best present ever.\I don't need anything else.\And so, we overcame that unprecedented crisis and entered the new year.\This is bad!\It's New Years Day and we're already late!\I only slept in because you called and woke me up at some odd hour! response:	You'd be sad if I hadn't, though.
context: I seem to like you more than I thought.\That was the best present ever.\I don't need anything else.\And so, we overcame that unprecedented crisis and entered the new year.\This is bad!\It's New Years Day and we're already late!\I only slept in because you called and woke me up at some odd hour!\You'd be sad if I hadn't, though. response:	Who says?!
context: That was the best present ever.\I don't need anything else.\And so, we overcame that unprecedented crisis and entered the new year.\This is bad!\It's New Years Day and we're already late!\I only slept in because you called and woke me up at some odd hour!\You'd be sad if I hadn't, though.\Who says?! response:	You guys are both late, as always.
context: I don't need anything else.\And so, we overcame that unprecedented crisis and entered the new year.\This is bad!\It's New Years Day and we're already late!\I only slept in because you called and woke me up at some odd hour!\You'd be sad if I hadn't, though.\Who says?!\You guys are both late, as always. response:	Okay everyone, the lovey-dovey couple is here.
context: And so, we overcame that unprecedented crisis and entered the new year.\This is bad!\It's New Years Day and we're already late!\I only slept in because you called and woke me up at some odd hour!\You'd be sad if I hadn't, though.\Who says?!\You guys are both late, as always.\Okay everyone, the lovey-dovey couple is here. response:	Congratulations on getting back together.
context: This is bad!\It's New Years Day and we're already late!\I only slept in because you called and woke me up at some odd hour!\You'd be sad if I hadn't, though.\Who says?!\You guys are both late, as always.\Okay everyone, the lovey-dovey couple is here.\Congratulations on getting back together. response:	I thought this was my chance...
context: It's New Years Day and we're already late!\I only slept in because you called and woke me up at some odd hour!\You'd be sad if I hadn't, though.\Who says?!\You guys are both late, as always.\Okay everyone, the lovey-dovey couple is here.\Congratulations on getting back together.\I thought this was my chance... response:	I'm going to pray for them to break up again.
context: I only slept in because you called and woke me up at some odd hour!\You'd be sad if I hadn't, though.\Who says?!\You guys are both late, as always.\Okay everyone, the lovey-dovey couple is here.\Congratulations on getting back together.\I thought this was my chance...\I'm going to pray for them to break up again. response:	Haruka-senpai is being petty as always...
context: You'd be sad if I hadn't, though.\Who says?!\You guys are both late, as always.\Okay everyone, the lovey-dovey couple is here.\Congratulations on getting back together.\I thought this was my chance...\I'm going to pray for them to break up again.\Haruka-senpai is being petty as always... response:	Otani and the others started seriously getting into pre-exam study,
context: Who says?!\You guys are both late, as always.\Okay everyone, the lovey-dovey couple is here.\Congratulations on getting back together.\I thought this was my chance...\I'm going to pray for them to break up again.\Haruka-senpai is being petty as always...\Otani and the others started seriously getting into pre-exam study, response:	Time to hit the sales!
context: You guys are both late, as always.\Okay everyone, the lovey-dovey couple is here.\Congratulations on getting back together.\I thought this was my chance...\I'm going to pray for them to break up again.\Haruka-senpai is being petty as always...\Otani and the others started seriously getting into pre-exam study,\Time to hit the sales! response:	Nobu-chan, this'll go really well with that skirt you bought last time.
context: Okay everyone, the lovey-dovey couple is here.\Congratulations on getting back together.\I thought this was my chance...\I'm going to pray for them to break up again.\Haruka-senpai is being petty as always...\Otani and the others started seriously getting into pre-exam study,\Time to hit the sales!\Nobu-chan, this'll go really well with that skirt you bought last time. response:	Oh, this is great!
context: Congratulations on getting back together.\I thought this was my chance...\I'm going to pray for them to break up again.\Haruka-senpai is being petty as always...\Otani and the others started seriously getting into pre-exam study,\Time to hit the sales!\Nobu-chan, this'll go really well with that skirt you bought last time.\Oh, this is great! response:	Everyone else is working so hard. Is it okay for us to be doing stuff like this?
context: I thought this was my chance...\I'm going to pray for them to break up again.\Haruka-senpai is being petty as always...\Otani and the others started seriously getting into pre-exam study,\Time to hit the sales!\Nobu-chan, this'll go really well with that skirt you bought last time.\Oh, this is great!\Everyone else is working so hard. Is it okay for us to be doing stuff like this? response:	Not us. You're the only one who still hasn't decided on any future plans.
context: I'm going to pray for them to break up again.\Haruka-senpai is being petty as always...\Otani and the others started seriously getting into pre-exam study,\Time to hit the sales!\Nobu-chan, this'll go really well with that skirt you bought last time.\Oh, this is great!\Everyone else is working so hard. Is it okay for us to be doing stuff like this?\Not us. You're the only one who still hasn't decided on any future plans. response:	What course are you going to take at technical college?
context: Haruka-senpai is being petty as always...\Otani and the others started seriously getting into pre-exam study,\Time to hit the sales!\Nobu-chan, this'll go really well with that skirt you bought last time.\Oh, this is great!\Everyone else is working so hard. Is it okay for us to be doing stuff like this?\Not us. You're the only one who still hasn't decided on any future plans.\What course are you going to take at technical college? response:	Well, there are so many...
context: Otani and the others started seriously getting into pre-exam study,\Time to hit the sales!\Nobu-chan, this'll go really well with that skirt you bought last time.\Oh, this is great!\Everyone else is working so hard. Is it okay for us to be doing stuff like this?\Not us. You're the only one who still hasn't decided on any future plans.\What course are you going to take at technical college?\Well, there are so many... response:	Say, if Otani is going to be a teacher,
context: Time to hit the sales!\Nobu-chan, this'll go really well with that skirt you bought last time.\Oh, this is great!\Everyone else is working so hard. Is it okay for us to be doing stuff like this?\Not us. You're the only one who still hasn't decided on any future plans.\What course are you going to take at technical college?\Well, there are so many...\Say, if Otani is going to be a teacher, response:	You'll need to take an exam to get into a college specializing in early childhood education.
context: Nobu-chan, this'll go really well with that skirt you bought last time.\Oh, this is great!\Everyone else is working so hard. Is it okay for us to be doing stuff like this?\Not us. You're the only one who still hasn't decided on any future plans.\What course are you going to take at technical college?\Well, there are so many...\Say, if Otani is going to be a teacher,\You'll need to take an exam to get into a college specializing in early childhood education. response:	You're kidding!
context: Oh, this is great!\Everyone else is working so hard. Is it okay for us to be doing stuff like this?\Not us. You're the only one who still hasn't decided on any future plans.\What course are you going to take at technical college?\Well, there are so many...\Say, if Otani is going to be a teacher,\You'll need to take an exam to get into a college specializing in early childhood education.\You're kidding! response:	Say, what about going into fashion design? You've got a good sense of style.
context: Everyone else is working so hard. Is it okay for us to be doing stuff like this?\Not us. You're the only one who still hasn't decided on any future plans.\What course are you going to take at technical college?\Well, there are so many...\Say, if Otani is going to be a teacher,\You'll need to take an exam to get into a college specializing in early childhood education.\You're kidding!\Say, what about going into fashion design? You've got a good sense of style. response:	Well, I do like looking nice... but this and that are...
context: Not us. You're the only one who still hasn't decided on any future plans.\What course are you going to take at technical college?\Well, there are so many...\Say, if Otani is going to be a teacher,\You'll need to take an exam to get into a college specializing in early childhood education.\You're kidding!\Say, what about going into fashion design? You've got a good sense of style.\Well, I do like looking nice... but this and that are... response:	Ah, darling, I'm on my way now.
context: What course are you going to take at technical college?\Well, there are so many...\Say, if Otani is going to be a teacher,\You'll need to take an exam to get into a college specializing in early childhood education.\You're kidding!\Say, what about going into fashion design? You've got a good sense of style.\Well, I do like looking nice... but this and that are...\Ah, darling, I'm on my way now. response:	Sure. See you.
context: Well, there are so many...\Say, if Otani is going to be a teacher,\You'll need to take an exam to get into a college specializing in early childhood education.\You're kidding!\Say, what about going into fashion design? You've got a good sense of style.\Well, I do like looking nice... but this and that are...\Ah, darling, I'm on my way now.\Sure. See you. response:	Chiharu-chan?
context: Say, if Otani is going to be a teacher,\You'll need to take an exam to get into a college specializing in early childhood education.\You're kidding!\Say, what about going into fashion design? You've got a good sense of style.\Well, I do like looking nice... but this and that are...\Ah, darling, I'm on my way now.\Sure. See you.\Chiharu-chan? response:	Suzuki-kun?
