context: Sensei! response:	What's up?
context: and he looks foreign.\That's true.\Guess the police force is pretty broad-minded...\If you'll buy me takoyaki on the way home, I'll do it.\You little...\So broad-minded.\Indeed.\No outside shoes allowed in the school. response:	Put on the slippers.
context: That's true.\Guess the police force is pretty broad-minded...\If you'll buy me takoyaki on the way home, I'll do it.\You little...\So broad-minded.\Indeed.\No outside shoes allowed in the school.\Put on the slippers. response:	Oh, sorry about that.
context: Guess the police force is pretty broad-minded...\If you'll buy me takoyaki on the way home, I'll do it.\You little...\So broad-minded.\Indeed.\No outside shoes allowed in the school.\Put on the slippers.\Oh, sorry about that. response:	It's been a while since I've been in a high school.
context: If you'll buy me takoyaki on the way home, I'll do it.\You little...\So broad-minded.\Indeed.\No outside shoes allowed in the school.\Put on the slippers.\Oh, sorry about that.\It's been a while since I've been in a high school. response:	Why are you here?
context: You little...\So broad-minded.\Indeed.\No outside shoes allowed in the school.\Put on the slippers.\Oh, sorry about that.\It's been a while since I've been in a high school.\Why are you here? response:	We usually meet at a coffee shop.
context: So broad-minded.\Indeed.\No outside shoes allowed in the school.\Put on the slippers.\Oh, sorry about that.\It's been a while since I've been in a high school.\Why are you here?\We usually meet at a coffee shop. response:	Yeah, well...
context: Indeed.\No outside shoes allowed in the school.\Put on the slippers.\Oh, sorry about that.\It's been a while since I've been in a high school.\Why are you here?\We usually meet at a coffee shop.\Yeah, well... response:	When I heard that there were four demis at the same school,
context: No outside shoes allowed in the school.\Put on the slippers.\Oh, sorry about that.\It's been a while since I've been in a high school.\Why are you here?\We usually meet at a coffee shop.\Yeah, well...\When I heard that there were four demis at the same school, response:	I thought I should at least see them, given my line of work.
context: Put on the slippers.\Oh, sorry about that.\It's been a while since I've been in a high school.\Why are you here?\We usually meet at a coffee shop.\Yeah, well...\When I heard that there were four demis at the same school,\I thought I should at least see them, given my line of work. response:	Also, uh...
context: Oh, sorry about that.\It's been a while since I've been in a high school.\Why are you here?\We usually meet at a coffee shop.\Yeah, well...\When I heard that there were four demis at the same school,\I thought I should at least see them, given my line of work.\Also, uh... response:	Kurtz-kun?
context: It's been a while since I've been in a high school.\Why are you here?\We usually meet at a coffee shop.\Yeah, well...\When I heard that there were four demis at the same school,\I thought I should at least see them, given my line of work.\Also, uh...\Kurtz-kun? response:	Oh? Did something happen between you and him?
context: Why are you here?\We usually meet at a coffee shop.\Yeah, well...\When I heard that there were four demis at the same school,\I thought I should at least see them, given my line of work.\Also, uh...\Kurtz-kun?\Oh? Did something happen between you and him? response:	Hmm? Hmm?
context: We usually meet at a coffee shop.\Yeah, well...\When I heard that there were four demis at the same school,\I thought I should at least see them, given my line of work.\Also, uh...\Kurtz-kun?\Oh? Did something happen between you and him?\Hmm? Hmm? response:	Well... Sort of...
context: Yeah, well...\When I heard that there were four demis at the same school,\I thought I should at least see them, given my line of work.\Also, uh...\Kurtz-kun?\Oh? Did something happen between you and him?\Hmm? Hmm?\Well... Sort of... response:	Just the fact that you and he touched makes my coming here worthwhile.
context: When I heard that there were four demis at the same school,\I thought I should at least see them, given my line of work.\Also, uh...\Kurtz-kun?\Oh? Did something happen between you and him?\Hmm? Hmm?\Well... Sort of...\Just the fact that you and he touched makes my coming here worthwhile. response:	Right?
context: I thought I should at least see them, given my line of work.\Also, uh...\Kurtz-kun?\Oh? Did something happen between you and him?\Hmm? Hmm?\Well... Sort of...\Just the fact that you and he touched makes my coming here worthwhile.\Right? response:	You're infuriating!
context: Also, uh...\Kurtz-kun?\Oh? Did something happen between you and him?\Hmm? Hmm?\Well... Sort of...\Just the fact that you and he touched makes my coming here worthwhile.\Right?\You're infuriating! response:	I can't give too many details, but...
context: Kurtz-kun?\Oh? Did something happen between you and him?\Hmm? Hmm?\Well... Sort of...\Just the fact that you and he touched makes my coming here worthwhile.\Right?\You're infuriating!\I can't give too many details, but... response:	Put your name and address here.
context: Oh? Did something happen between you and him?\Hmm? Hmm?\Well... Sort of...\Just the fact that you and he touched makes my coming here worthwhile.\Right?\You're infuriating!\I can't give too many details, but...\Put your name and address here. response:	Okay.
context: Hmm? Hmm?\Well... Sort of...\Just the fact that you and he touched makes my coming here worthwhile.\Right?\You're infuriating!\I can't give too many details, but...\Put your name and address here.\Okay. response:	So, what kind of work do you do?
context: Well... Sort of...\Just the fact that you and he touched makes my coming here worthwhile.\Right?\You're infuriating!\I can't give too many details, but...\Put your name and address here.\Okay.\So, what kind of work do you do? response:	Gulp...
context: Just the fact that you and he touched makes my coming here worthwhile.\Right?\You're infuriating!\I can't give too many details, but...\Put your name and address here.\Okay.\So, what kind of work do you do?\Gulp... response:	I-It has nothing to do with demi-humans!
context: Right?\You're infuriating!\I can't give too many details, but...\Put your name and address here.\Okay.\So, what kind of work do you do?\Gulp...\I-It has nothing to do with demi-humans! response:	Really, it has nothing to do with demi-humans at all!
context: You're infuriating!\I can't give too many details, but...\Put your name and address here.\Okay.\So, what kind of work do you do?\Gulp...\I-It has nothing to do with demi-humans!\Really, it has nothing to do with demi-humans at all! response:	Not demi-humans!
context: I can't give too many details, but...\Put your name and address here.\Okay.\So, what kind of work do you do?\Gulp...\I-It has nothing to do with demi-humans!\Really, it has nothing to do with demi-humans at all!\Not demi-humans! response:	Basically, Kurtz is
context: Put your name and address here.\Okay.\So, what kind of work do you do?\Gulp...\I-It has nothing to do with demi-humans!\Really, it has nothing to do with demi-humans at all!\Not demi-humans!\Basically, Kurtz is response:	our weapon against succubi.
context: Okay.\So, what kind of work do you do?\Gulp...\I-It has nothing to do with demi-humans!\Really, it has nothing to do with demi-humans at all!\Not demi-humans!\Basically, Kurtz is\our weapon against succubi. response:	Something like that.
context: So, what kind of work do you do?\Gulp...\I-It has nothing to do with demi-humans!\Really, it has nothing to do with demi-humans at all!\Not demi-humans!\Basically, Kurtz is\our weapon against succubi.\Something like that. response:	Stop trying to make this sound like some anime.
context: Gulp...\I-It has nothing to do with demi-humans!\Really, it has nothing to do with demi-humans at all!\Not demi-humans!\Basically, Kurtz is\our weapon against succubi.\Something like that.\Stop trying to make this sound like some anime. response:	Sorry.
context: I-It has nothing to do with demi-humans!\Really, it has nothing to do with demi-humans at all!\Not demi-humans!\Basically, Kurtz is\our weapon against succubi.\Something like that.\Stop trying to make this sound like some anime.\Sorry. response:	So, how have things been lately?
context: Really, it has nothing to do with demi-humans at all!\Not demi-humans!\Basically, Kurtz is\our weapon against succubi.\Something like that.\Stop trying to make this sound like some anime.\Sorry.\So, how have things been lately? response:	You doing well?
context: Not demi-humans!\Basically, Kurtz is\our weapon against succubi.\Something like that.\Stop trying to make this sound like some anime.\Sorry.\So, how have things been lately?\You doing well? response:	How have things been?
context: Basically, Kurtz is\our weapon against succubi.\Something like that.\Stop trying to make this sound like some anime.\Sorry.\So, how have things been lately?\You doing well?\How have things been? response:	Just like always. I'm getting by.
context: our weapon against succubi.\Something like that.\Stop trying to make this sound like some anime.\Sorry.\So, how have things been lately?\You doing well?\How have things been?\Just like always. I'm getting by. response:	Honestly, I think you're doing great.
context: Something like that.\Stop trying to make this sound like some anime.\Sorry.\So, how have things been lately?\You doing well?\How have things been?\Just like always. I'm getting by.\Honestly, I think you're doing great. response:	Given the depth of their natures,
context: Stop trying to make this sound like some anime.\Sorry.\So, how have things been lately?\You doing well?\How have things been?\Just like always. I'm getting by.\Honestly, I think you're doing great.\Given the depth of their natures, response:	succubi generally either live apart from society
context: Sorry.\So, how have things been lately?\You doing well?\How have things been?\Just like always. I'm getting by.\Honestly, I think you're doing great.\Given the depth of their natures,\succubi generally either live apart from society response:	or just throw caution to the wind and live boldly.
context: So, how have things been lately?\You doing well?\How have things been?\Just like always. I'm getting by.\Honestly, I think you're doing great.\Given the depth of their natures,\succubi generally either live apart from society\or just throw caution to the wind and live boldly. response:	Usually, we police deal with the troublemakers in the latter category.
context: You doing well?\How have things been?\Just like always. I'm getting by.\Honestly, I think you're doing great.\Given the depth of their natures,\succubi generally either live apart from society\or just throw caution to the wind and live boldly.\Usually, we police deal with the troublemakers in the latter category. response:	Among succubi, upright members of society like you are rare.
context: How have things been?\Just like always. I'm getting by.\Honestly, I think you're doing great.\Given the depth of their natures,\succubi generally either live apart from society\or just throw caution to the wind and live boldly.\Usually, we police deal with the troublemakers in the latter category.\Among succubi, upright members of society like you are rare. response:	Of course, the government is facing the tough situation succubi are currently in
context: Just like always. I'm getting by.\Honestly, I think you're doing great.\Given the depth of their natures,\succubi generally either live apart from society\or just throw caution to the wind and live boldly.\Usually, we police deal with the troublemakers in the latter category.\Among succubi, upright members of society like you are rare.\Of course, the government is facing the tough situation succubi are currently in response:	Smoke in the smoking room!
context: Honestly, I think you're doing great.\Given the depth of their natures,\succubi generally either live apart from society\or just throw caution to the wind and live boldly.\Usually, we police deal with the troublemakers in the latter category.\Among succubi, upright members of society like you are rare.\Of course, the government is facing the tough situation succubi are currently in\Smoke in the smoking room! response:	I fully realize you consciously live as a functional adult.
context: Given the depth of their natures,\succubi generally either live apart from society\or just throw caution to the wind and live boldly.\Usually, we police deal with the troublemakers in the latter category.\Among succubi, upright members of society like you are rare.\Of course, the government is facing the tough situation succubi are currently in\Smoke in the smoking room!\I fully realize you consciously live as a functional adult. response:	But isn't it about time you thought about settling down and starting a family?
context: succubi generally either live apart from society\or just throw caution to the wind and live boldly.\Usually, we police deal with the troublemakers in the latter category.\Among succubi, upright members of society like you are rare.\Of course, the government is facing the tough situation succubi are currently in\Smoke in the smoking room!\I fully realize you consciously live as a functional adult.\But isn't it about time you thought about settling down and starting a family? response:	I can introduce you to some guys.
context: or just throw caution to the wind and live boldly.\Usually, we police deal with the troublemakers in the latter category.\Among succubi, upright members of society like you are rare.\Of course, the government is facing the tough situation succubi are currently in\Smoke in the smoking room!\I fully realize you consciously live as a functional adult.\But isn't it about time you thought about settling down and starting a family?\I can introduce you to some guys. response:	Where's this coming from?
context: Usually, we police deal with the troublemakers in the latter category.\Among succubi, upright members of society like you are rare.\Of course, the government is facing the tough situation succubi are currently in\Smoke in the smoking room!\I fully realize you consciously live as a functional adult.\But isn't it about time you thought about settling down and starting a family?\I can introduce you to some guys.\Where's this coming from? response:	Nowhere special.
context: Among succubi, upright members of society like you are rare.\Of course, the government is facing the tough situation succubi are currently in\Smoke in the smoking room!\I fully realize you consciously live as a functional adult.\But isn't it about time you thought about settling down and starting a family?\I can introduce you to some guys.\Where's this coming from?\Nowhere special. response:	It just makes me worry to see a young woman living all alone.
context: Of course, the government is facing the tough situation succubi are currently in\Smoke in the smoking room!\I fully realize you consciously live as a functional adult.\But isn't it about time you thought about settling down and starting a family?\I can introduce you to some guys.\Where's this coming from?\Nowhere special.\It just makes me worry to see a young woman living all alone. response:	Especially you, having known you since you were little.
context: Smoke in the smoking room!\I fully realize you consciously live as a functional adult.\But isn't it about time you thought about settling down and starting a family?\I can introduce you to some guys.\Where's this coming from?\Nowhere special.\It just makes me worry to see a young woman living all alone.\Especially you, having known you since you were little. response:	You sound like a father, Ugaki-san.
context: I fully realize you consciously live as a functional adult.\But isn't it about time you thought about settling down and starting a family?\I can introduce you to some guys.\Where's this coming from?\Nowhere special.\It just makes me worry to see a young woman living all alone.\Especially you, having known you since you were little.\You sound like a father, Ugaki-san. response:	Who are you calling a father?
context: But isn't it about time you thought about settling down and starting a family?\I can introduce you to some guys.\Where's this coming from?\Nowhere special.\It just makes me worry to see a young woman living all alone.\Especially you, having known you since you were little.\You sound like a father, Ugaki-san.\Who are you calling a father? response:	But you do more fatherly things for me than my actual father.
context: I can introduce you to some guys.\Where's this coming from?\Nowhere special.\It just makes me worry to see a young woman living all alone.\Especially you, having known you since you were little.\You sound like a father, Ugaki-san.\Who are you calling a father?\But you do more fatherly things for me than my actual father. response:	You aren't supposed to say that.
context: Where's this coming from?\Nowhere special.\It just makes me worry to see a young woman living all alone.\Especially you, having known you since you were little.\You sound like a father, Ugaki-san.\Who are you calling a father?\But you do more fatherly things for me than my actual father.\You aren't supposed to say that. response:	I'm sorry.
context: Nowhere special.\It just makes me worry to see a young woman living all alone.\Especially you, having known you since you were little.\You sound like a father, Ugaki-san.\Who are you calling a father?\But you do more fatherly things for me than my actual father.\You aren't supposed to say that.\I'm sorry. response:	Marriage, huh?
context: It just makes me worry to see a young woman living all alone.\Especially you, having known you since you were little.\You sound like a father, Ugaki-san.\Who are you calling a father?\But you do more fatherly things for me than my actual father.\You aren't supposed to say that.\I'm sorry.\Marriage, huh? response:	Actually, there is someone I'm interested in.
context: Especially you, having known you since you were little.\You sound like a father, Ugaki-san.\Who are you calling a father?\But you do more fatherly things for me than my actual father.\You aren't supposed to say that.\I'm sorry.\Marriage, huh?\Actually, there is someone I'm interested in. response:	Seriously?!
context: You sound like a father, Ugaki-san.\Who are you calling a father?\But you do more fatherly things for me than my actual father.\You aren't supposed to say that.\I'm sorry.\Marriage, huh?\Actually, there is someone I'm interested in.\Seriously?! response:	What's with that reaction?
context: Who are you calling a father?\But you do more fatherly things for me than my actual father.\You aren't supposed to say that.\I'm sorry.\Marriage, huh?\Actually, there is someone I'm interested in.\Seriously?!\What's with that reaction? response:	You're the one who brought it up.
context: But you do more fatherly things for me than my actual father.\You aren't supposed to say that.\I'm sorry.\Marriage, huh?\Actually, there is someone I'm interested in.\Seriously?!\What's with that reaction?\You're the one who brought it up. response:	Uh, yeah, sorry.
context: You aren't supposed to say that.\I'm sorry.\Marriage, huh?\Actually, there is someone I'm interested in.\Seriously?!\What's with that reaction?\You're the one who brought it up.\Uh, yeah, sorry. response:	But you always make excuses when this subject comes up.
context: I'm sorry.\Marriage, huh?\Actually, there is someone I'm interested in.\Seriously?!\What's with that reaction?\You're the one who brought it up.\Uh, yeah, sorry.\But you always make excuses when this subject comes up. response:	Like you don't want to use your aphrodisiac effect to get a boyfriend,
context: Marriage, huh?\Actually, there is someone I'm interested in.\Seriously?!\What's with that reaction?\You're the one who brought it up.\Uh, yeah, sorry.\But you always make excuses when this subject comes up.\Like you don't want to use your aphrodisiac effect to get a boyfriend, response:	or you don't know what real love is.
context: Actually, there is someone I'm interested in.\Seriously?!\What's with that reaction?\You're the one who brought it up.\Uh, yeah, sorry.\But you always make excuses when this subject comes up.\Like you don't want to use your aphrodisiac effect to get a boyfriend,\or you don't know what real love is. response:	I never thought you'd find a man yourself!
context: Seriously?!\What's with that reaction?\You're the one who brought it up.\Uh, yeah, sorry.\But you always make excuses when this subject comes up.\Like you don't want to use your aphrodisiac effect to get a boyfriend,\or you don't know what real love is.\I never thought you'd find a man yourself! response:	Don't make me touch you.
context: What's with that reaction?\You're the one who brought it up.\Uh, yeah, sorry.\But you always make excuses when this subject comes up.\Like you don't want to use your aphrodisiac effect to get a boyfriend,\or you don't know what real love is.\I never thought you'd find a man yourself!\Don't make me touch you. response:	Hey, don't!
context: You're the one who brought it up.\Uh, yeah, sorry.\But you always make excuses when this subject comes up.\Like you don't want to use your aphrodisiac effect to get a boyfriend,\or you don't know what real love is.\I never thought you'd find a man yourself!\Don't make me touch you.\Hey, don't! response:	Getting too worked up is hard on a man my age!
context: Uh, yeah, sorry.\But you always make excuses when this subject comes up.\Like you don't want to use your aphrodisiac effect to get a boyfriend,\or you don't know what real love is.\I never thought you'd find a man yourself!\Don't make me touch you.\Hey, don't!\Getting too worked up is hard on a man my age! response:	Hmph. Pathetic.
context: But you always make excuses when this subject comes up.\Like you don't want to use your aphrodisiac effect to get a boyfriend,\or you don't know what real love is.\I never thought you'd find a man yourself!\Don't make me touch you.\Hey, don't!\Getting too worked up is hard on a man my age!\Hmph. Pathetic. response:	The man I'm interested in doesn't have much sexual desire.
context: Like you don't want to use your aphrodisiac effect to get a boyfriend,\or you don't know what real love is.\I never thought you'd find a man yourself!\Don't make me touch you.\Hey, don't!\Getting too worked up is hard on a man my age!\Hmph. Pathetic.\The man I'm interested in doesn't have much sexual desire. response:	My touch doesn't even affect him.
context: or you don't know what real love is.\I never thought you'd find a man yourself!\Don't make me touch you.\Hey, don't!\Getting too worked up is hard on a man my age!\Hmph. Pathetic.\The man I'm interested in doesn't have much sexual desire.\My touch doesn't even affect him. response:	Huh?
context: I never thought you'd find a man yourself!\Don't make me touch you.\Hey, don't!\Getting too worked up is hard on a man my age!\Hmph. Pathetic.\The man I'm interested in doesn't have much sexual desire.\My touch doesn't even affect him.\Huh? response:	There's no way that's possible.
context: Don't make me touch you.\Hey, don't!\Getting too worked up is hard on a man my age!\Hmph. Pathetic.\The man I'm interested in doesn't have much sexual desire.\My touch doesn't even affect him.\Huh?\There's no way that's possible. response:	Other than gays,
context: Hey, don't!\Getting too worked up is hard on a man my age!\Hmph. Pathetic.\The man I'm interested in doesn't have much sexual desire.\My touch doesn't even affect him.\Huh?\There's no way that's possible.\Other than gays, response:	there's no man your aphrodisiac effect wouldn't work on.
context: Getting too worked up is hard on a man my age!\Hmph. Pathetic.\The man I'm interested in doesn't have much sexual desire.\My touch doesn't even affect him.\Huh?\There's no way that's possible.\Other than gays,\there's no man your aphrodisiac effect wouldn't work on. response:	But he... He didn't seem affected at all...
context: Hmph. Pathetic.\The man I'm interested in doesn't have much sexual desire.\My touch doesn't even affect him.\Huh?\There's no way that's possible.\Other than gays,\there's no man your aphrodisiac effect wouldn't work on.\But he... He didn't seem affected at all... response:	That just means he didn't look affected.
context: The man I'm interested in doesn't have much sexual desire.\My touch doesn't even affect him.\Huh?\There's no way that's possible.\Other than gays,\there's no man your aphrodisiac effect wouldn't work on.\But he... He didn't seem affected at all...\That just means he didn't look affected. response:	I bet he knows a lot about demis, right?
context: My touch doesn't even affect him.\Huh?\There's no way that's possible.\Other than gays,\there's no man your aphrodisiac effect wouldn't work on.\But he... He didn't seem affected at all...\That just means he didn't look affected.\I bet he knows a lot about demis, right? response:	Y-Yes...
context: Huh?\There's no way that's possible.\Other than gays,\there's no man your aphrodisiac effect wouldn't work on.\But he... He didn't seem affected at all...\That just means he didn't look affected.\I bet he knows a lot about demis, right?\Y-Yes... response:	Even if your aphrodisiac effect did work on him,
context: There's no way that's possible.\Other than gays,\there's no man your aphrodisiac effect wouldn't work on.\But he... He didn't seem affected at all...\That just means he didn't look affected.\I bet he knows a lot about demis, right?\Y-Yes...\Even if your aphrodisiac effect did work on him, response:	he was probably making an effort not to show it.
context: Other than gays,\there's no man your aphrodisiac effect wouldn't work on.\But he... He didn't seem affected at all...\That just means he didn't look affected.\I bet he knows a lot about demis, right?\Y-Yes...\Even if your aphrodisiac effect did work on him,\he was probably making an effort not to show it. response:	He didn't look affected,
context: there's no man your aphrodisiac effect wouldn't work on.\But he... He didn't seem affected at all...\That just means he didn't look affected.\I bet he knows a lot about demis, right?\Y-Yes...\Even if your aphrodisiac effect did work on him,\he was probably making an effort not to show it.\He didn't look affected, response:	but he really was?
context: But he... He didn't seem affected at all...\That just means he didn't look affected.\I bet he knows a lot about demis, right?\Y-Yes...\Even if your aphrodisiac effect did work on him,\he was probably making an effort not to show it.\He didn't look affected,\but he really was? response:	He really was?
context: That just means he didn't look affected.\I bet he knows a lot about demis, right?\Y-Yes...\Even if your aphrodisiac effect did work on him,\he was probably making an effort not to show it.\He didn't look affected,\but he really was?\He really was? response:	Yes! Your aphrodisiac effect did its job on him!
context: I bet he knows a lot about demis, right?\Y-Yes...\Even if your aphrodisiac effect did work on him,\he was probably making an effort not to show it.\He didn't look affected,\but he really was?\He really was?\Yes! Your aphrodisiac effect did its job on him! response:	He isn't special!
context: Y-Yes...\Even if your aphrodisiac effect did work on him,\he was probably making an effort not to show it.\He didn't look affected,\but he really was?\He really was?\Yes! Your aphrodisiac effect did its job on him!\He isn't special! response:	Are you disappointed?
context: Even if your aphrodisiac effect did work on him,\he was probably making an effort not to show it.\He didn't look affected,\but he really was?\He really was?\Yes! Your aphrodisiac effect did its job on him!\He isn't special!\Are you disappointed? response:	Are your feelings for him real?
context: he was probably making an effort not to show it.\He didn't look affected,\but he really was?\He really was?\Yes! Your aphrodisiac effect did its job on him!\He isn't special!\Are you disappointed?\Are your feelings for him real? response:	Can you still say you like him?
context: He didn't look affected,\but he really was?\He really was?\Yes! Your aphrodisiac effect did its job on him!\He isn't special!\Are you disappointed?\Are your feelings for him real?\Can you still say you like him? response:	When that happened, Takahashi-sensei
context: but he really was?\He really was?\Yes! Your aphrodisiac effect did its job on him!\He isn't special!\Are you disappointed?\Are your feelings for him real?\Can you still say you like him?\When that happened, Takahashi-sensei response:	was affected by my aphrodisiac effect?
context: He really was?\Yes! Your aphrodisiac effect did its job on him!\He isn't special!\Are you disappointed?\Are your feelings for him real?\Can you still say you like him?\When that happened, Takahashi-sensei\was affected by my aphrodisiac effect? response:	He was excited by me?!
context: Yes! Your aphrodisiac effect did its job on him!\He isn't special!\Are you disappointed?\Are your feelings for him real?\Can you still say you like him?\When that happened, Takahashi-sensei\was affected by my aphrodisiac effect?\He was excited by me?! response:	I see, I see.
context: He isn't special!\Are you disappointed?\Are your feelings for him real?\Can you still say you like him?\When that happened, Takahashi-sensei\was affected by my aphrodisiac effect?\He was excited by me?!\I see, I see. response:	If you can believe that it's okay to use your aphrodisiac effect,
context: Are you disappointed?\Are your feelings for him real?\Can you still say you like him?\When that happened, Takahashi-sensei\was affected by my aphrodisiac effect?\He was excited by me?!\I see, I see.\If you can believe that it's okay to use your aphrodisiac effect, response:	that would mean you truly love him.
context: Are your feelings for him real?\Can you still say you like him?\When that happened, Takahashi-sensei\was affected by my aphrodisiac effect?\He was excited by me?!\I see, I see.\If you can believe that it's okay to use your aphrodisiac effect,\that would mean you truly love him. response:	W-Would it really?
context: Can you still say you like him?\When that happened, Takahashi-sensei\was affected by my aphrodisiac effect?\He was excited by me?!\I see, I see.\If you can believe that it's okay to use your aphrodisiac effect,\that would mean you truly love him.\W-Would it really? response:	I only took interest in Taka
context: When that happened, Takahashi-sensei\was affected by my aphrodisiac effect?\He was excited by me?!\I see, I see.\If you can believe that it's okay to use your aphrodisiac effect,\that would mean you truly love him.\W-Would it really?\I only took interest in Taka response:	in him to begin with because when I touched his hand,
context: was affected by my aphrodisiac effect?\He was excited by me?!\I see, I see.\If you can believe that it's okay to use your aphrodisiac effect,\that would mean you truly love him.\W-Would it really?\I only took interest in Taka\in him to begin with because when I touched his hand, response:	there was no indication that he'd felt my aphrodisiac effect.
context: He was excited by me?!\I see, I see.\If you can believe that it's okay to use your aphrodisiac effect,\that would mean you truly love him.\W-Would it really?\I only took interest in Taka\in him to begin with because when I touched his hand,\there was no indication that he'd felt my aphrodisiac effect. response:	Learning that it really had affected him did excite me a little,
context: I see, I see.\If you can believe that it's okay to use your aphrodisiac effect,\that would mean you truly love him.\W-Would it really?\I only took interest in Taka\in him to begin with because when I touched his hand,\there was no indication that he'd felt my aphrodisiac effect.\Learning that it really had affected him did excite me a little, response:	but it contradicts the very reason why I took interest in him...
context: If you can believe that it's okay to use your aphrodisiac effect,\that would mean you truly love him.\W-Would it really?\I only took interest in Taka\in him to begin with because when I touched his hand,\there was no indication that he'd felt my aphrodisiac effect.\Learning that it really had affected him did excite me a little,\but it contradicts the very reason why I took interest in him... response:	Which means my excitement is transient,
context: that would mean you truly love him.\W-Would it really?\I only took interest in Taka\in him to begin with because when I touched his hand,\there was no indication that he'd felt my aphrodisiac effect.\Learning that it really had affected him did excite me a little,\but it contradicts the very reason why I took interest in him...\Which means my excitement is transient, response:	and can't be called the real thing, but...
context: W-Would it really?\I only took interest in Taka\in him to begin with because when I touched his hand,\there was no indication that he'd felt my aphrodisiac effect.\Learning that it really had affected him did excite me a little,\but it contradicts the very reason why I took interest in him...\Which means my excitement is transient,\and can't be called the real thing, but... response:	I'm pretty sure I read in a romance how-to book that
context: I only took interest in Taka\in him to begin with because when I touched his hand,\there was no indication that he'd felt my aphrodisiac effect.\Learning that it really had affected him did excite me a little,\but it contradicts the very reason why I took interest in him...\Which means my excitement is transient,\and can't be called the real thing, but...\I'm pretty sure I read in a romance how-to book that response:	the beginning of love is often mistaken or preconceived...
context: in him to begin with because when I touched his hand,\there was no indication that he'd felt my aphrodisiac effect.\Learning that it really had affected him did excite me a little,\but it contradicts the very reason why I took interest in him...\Which means my excitement is transient,\and can't be called the real thing, but...\I'm pretty sure I read in a romance how-to book that\the beginning of love is often mistaken or preconceived... response:	I mean, as an educator, I feel that love carried by momentum is... is...
context: there was no indication that he'd felt my aphrodisiac effect.\Learning that it really had affected him did excite me a little,\but it contradicts the very reason why I took interest in him...\Which means my excitement is transient,\and can't be called the real thing, but...\I'm pretty sure I read in a romance how-to book that\the beginning of love is often mistaken or preconceived...\I mean, as an educator, I feel that love carried by momentum is... is... response:	But... But if someone seriously pursued me, I'd...
context: Learning that it really had affected him did excite me a little,\but it contradicts the very reason why I took interest in him...\Which means my excitement is transient,\and can't be called the real thing, but...\I'm pretty sure I read in a romance how-to book that\the beginning of love is often mistaken or preconceived...\I mean, as an educator, I feel that love carried by momentum is... is...\But... But if someone seriously pursued me, I'd... response:	If a succubus fell under an aphrodisiac effect...
context: but it contradicts the very reason why I took interest in him...\Which means my excitement is transient,\and can't be called the real thing, but...\I'm pretty sure I read in a romance how-to book that\the beginning of love is often mistaken or preconceived...\I mean, as an educator, I feel that love carried by momentum is... is...\But... But if someone seriously pursued me, I'd...\If a succubus fell under an aphrodisiac effect... response:	I couldn't bear to watch.
context: Which means my excitement is transient,\and can't be called the real thing, but...\I'm pretty sure I read in a romance how-to book that\the beginning of love is often mistaken or preconceived...\I mean, as an educator, I feel that love carried by momentum is... is...\But... But if someone seriously pursued me, I'd...\If a succubus fell under an aphrodisiac effect...\I couldn't bear to watch. response:	Darn it!
context: and can't be called the real thing, but...\I'm pretty sure I read in a romance how-to book that\the beginning of love is often mistaken or preconceived...\I mean, as an educator, I feel that love carried by momentum is... is...\But... But if someone seriously pursued me, I'd...\If a succubus fell under an aphrodisiac effect...\I couldn't bear to watch.\Darn it! response:	Interviews with Monster Girls
context: I'm pretty sure I read in a romance how-to book that\the beginning of love is often mistaken or preconceived...\I mean, as an educator, I feel that love carried by momentum is... is...\But... But if someone seriously pursued me, I'd...\If a succubus fell under an aphrodisiac effect...\I couldn't bear to watch.\Darn it!\Interviews with Monster Girls response:	Maybe I shouldn't have said that...
context: the beginning of love is often mistaken or preconceived...\I mean, as an educator, I feel that love carried by momentum is... is...\But... But if someone seriously pursued me, I'd...\If a succubus fell under an aphrodisiac effect...\I couldn't bear to watch.\Darn it!\Interviews with Monster Girls\Maybe I shouldn't have said that... response:	I hope no one's figured out my connection with demi-humans.
context: I mean, as an educator, I feel that love carried by momentum is... is...\But... But if someone seriously pursued me, I'd...\If a succubus fell under an aphrodisiac effect...\I couldn't bear to watch.\Darn it!\Interviews with Monster Girls\Maybe I shouldn't have said that...\I hope no one's figured out my connection with demi-humans. response:	Someone suspicious?
context: But... But if someone seriously pursued me, I'd...\If a succubus fell under an aphrodisiac effect...\I couldn't bear to watch.\Darn it!\Interviews with Monster Girls\Maybe I shouldn't have said that...\I hope no one's figured out my connection with demi-humans.\Someone suspicious? response:	Yeah.
context: If a succubus fell under an aphrodisiac effect...\I couldn't bear to watch.\Darn it!\Interviews with Monster Girls\Maybe I shouldn't have said that...\I hope no one's figured out my connection with demi-humans.\Someone suspicious?\Yeah. response:	What was he like?
context: I couldn't bear to watch.\Darn it!\Interviews with Monster Girls\Maybe I shouldn't have said that...\I hope no one's figured out my connection with demi-humans.\Someone suspicious?\Yeah.\What was he like? response:	Well, he was huge, like a bear...
context: Darn it!\Interviews with Monster Girls\Maybe I shouldn't have said that...\I hope no one's figured out my connection with demi-humans.\Someone suspicious?\Yeah.\What was he like?\Well, he was huge, like a bear... response:	A bear?
context: Interviews with Monster Girls\Maybe I shouldn't have said that...\I hope no one's figured out my connection with demi-humans.\Someone suspicious?\Yeah.\What was he like?\Well, he was huge, like a bear...\A bear? response:	And he had shaggy hair...
