context: It's been five days since I debuted as a professional hero. response:	There haven't been any serious incidents so far.
context: Even Class C heroes get recognized if they're in the top 10.\So how aEbout it, new guy?\Wanna go a little wild here and make me look good?\Exploding Shuriken.\EXPLODING SHURIKEN\Tank-Top Tiger?!\Is this really happening?\What are you doing, Sonic? response:	He was interfering, so I put him to sleep.
context: So how aEbout it, new guy?\Wanna go a little wild here and make me look good?\Exploding Shuriken.\EXPLODING SHURIKEN\Tank-Top Tiger?!\Is this really happening?\What are you doing, Sonic?\He was interfering, so I put him to sleep. response:	Hey, call a hero!
context: Wanna go a little wild here and make me look good?\Exploding Shuriken.\EXPLODING SHURIKEN\Tank-Top Tiger?!\Is this really happening?\What are you doing, Sonic?\He was interfering, so I put him to sleep.\Hey, call a hero! response:	A hero!
context: Exploding Shuriken.\EXPLODING SHURIKEN\Tank-Top Tiger?!\Is this really happening?\What are you doing, Sonic?\He was interfering, so I put him to sleep.\Hey, call a hero!\A hero! response:	Run!
context: EXPLODING SHURIKEN\Tank-Top Tiger?!\Is this really happening?\What are you doing, Sonic?\He was interfering, so I put him to sleep.\Hey, call a hero!\A hero!\Run! response:	Saitama
context: Tank-Top Tiger?!\Is this really happening?\What are you doing, Sonic?\He was interfering, so I put him to sleep.\Hey, call a hero!\A hero!\Run!\Saitama response:	So you too have become one of these worthless heroes?
context: Is this really happening?\What are you doing, Sonic?\He was interfering, so I put him to sleep.\Hey, call a hero!\A hero!\Run!\Saitama\So you too have become one of these worthless heroes? response:	Then all I have to do is create a situation
context: What are you doing, Sonic?\He was interfering, so I put him to sleep.\Hey, call a hero!\A hero!\Run!\Saitama\So you too have become one of these worthless heroes?\Then all I have to do is create a situation response:	where you have no choice but to fight me, Saitama the Hero!
context: He was interfering, so I put him to sleep.\Hey, call a hero!\A hero!\Run!\Saitama\So you too have become one of these worthless heroes?\Then all I have to do is create a situation\where you have no choice but to fight me, Saitama the Hero! response:	Hail of Carnage!
context: Hey, call a hero!\A hero!\Run!\Saitama\So you too have become one of these worthless heroes?\Then all I have to do is create a situation\where you have no choice but to fight me, Saitama the Hero!\Hail of Carnage! response:	Huh?
context: A hero!\Run!\Saitama\So you too have become one of these worthless heroes?\Then all I have to do is create a situation\where you have no choice but to fight me, Saitama the Hero!\Hail of Carnage!\Huh? response:	Hey! Cut it out!
context: Run!\Saitama\So you too have become one of these worthless heroes?\Then all I have to do is create a situation\where you have no choice but to fight me, Saitama the Hero!\Hail of Carnage!\Huh?\Hey! Cut it out! response:	Saitama, come stop me!
context: Saitama\So you too have become one of these worthless heroes?\Then all I have to do is create a situation\where you have no choice but to fight me, Saitama the Hero!\Hail of Carnage!\Huh?\Hey! Cut it out!\Saitama, come stop me! response:	You're a hero!
context: So you too have become one of these worthless heroes?\Then all I have to do is create a situation\where you have no choice but to fight me, Saitama the Hero!\Hail of Carnage!\Huh?\Hey! Cut it out!\Saitama, come stop me!\You're a hero! response:	I'll kill them all!
context: Then all I have to do is create a situation\where you have no choice but to fight me, Saitama the Hero!\Hail of Carnage!\Huh?\Hey! Cut it out!\Saitama, come stop me!\You're a hero!\I'll kill them all! response:	Damn it.
context: where you have no choice but to fight me, Saitama the Hero!\Hail of Carnage!\Huh?\Hey! Cut it out!\Saitama, come stop me!\You're a hero!\I'll kill them all!\Damn it. response:	Can't everyone just let me do my job?
context: Hail of Carnage!\Huh?\Hey! Cut it out!\Saitama, come stop me!\You're a hero!\I'll kill them all!\Damn it.\Can't everyone just let me do my job? response:	I don't have time for this!
context: Huh?\Hey! Cut it out!\Saitama, come stop me!\You're a hero!\I'll kill them all!\Damn it.\Can't everyone just let me do my job?\I don't have time for this! response:	I gotta find a bad guy to take down.
context: Hey! Cut it out!\Saitama, come stop me!\You're a hero!\I'll kill them all!\Damn it.\Can't everyone just let me do my job?\I don't have time for this!\I gotta find a bad guy to take down. response:	A bad guy?
context: Saitama, come stop me!\You're a hero!\I'll kill them all!\Damn it.\Can't everyone just let me do my job?\I don't have time for this!\I gotta find a bad guy to take down.\A bad guy? response:	If you're not coming, I'll go to you!
context: You're a hero!\I'll kill them all!\Damn it.\Can't everyone just let me do my job?\I don't have time for this!\I gotta find a bad guy to take down.\A bad guy?\If you're not coming, I'll go to you! response:	I'm right here.
context: I'll kill them all!\Damn it.\Can't everyone just let me do my job?\I don't have time for this!\I gotta find a bad guy to take down.\A bad guy?\If you're not coming, I'll go to you!\I'm right here. response:	I wonder if this will count as work?
context: Damn it.\Can't everyone just let me do my job?\I don't have time for this!\I gotta find a bad guy to take down.\A bad guy?\If you're not coming, I'll go to you!\I'm right here.\I wonder if this will count as work? response:	The man apprehended in City Z by the Class C hero
context: Can't everyone just let me do my job?\I don't have time for this!\I gotta find a bad guy to take down.\A bad guy?\If you're not coming, I'll go to you!\I'm right here.\I wonder if this will count as work?\The man apprehended in City Z by the Class C hero response:	is suspected of being involved in several heinous crimes,
context: I don't have time for this!\I gotta find a bad guy to take down.\A bad guy?\If you're not coming, I'll go to you!\I'm right here.\I wonder if this will count as work?\The man apprehended in City Z by the Class C hero\is suspected of being involved in several heinous crimes, response:	including assassination.
context: I gotta find a bad guy to take down.\A bad guy?\If you're not coming, I'll go to you!\I'm right here.\I wonder if this will count as work?\The man apprehended in City Z by the Class C hero\is suspected of being involved in several heinous crimes,\including assassination. response:	City Z
context: A bad guy?\If you're not coming, I'll go to you!\I'm right here.\I wonder if this will count as work?\The man apprehended in City Z by the Class C hero\is suspected of being involved in several heinous crimes,\including assassination.\City Z response:	What's the status of the investigation I requested?
context: If you're not coming, I'll go to you!\I'm right here.\I wonder if this will count as work?\The man apprehended in City Z by the Class C hero\is suspected of being involved in several heinous crimes,\including assassination.\City Z\What's the status of the investigation I requested? response:	The one for the ghost town?
context: I'm right here.\I wonder if this will count as work?\The man apprehended in City Z by the Class C hero\is suspected of being involved in several heinous crimes,\including assassination.\City Z\What's the status of the investigation I requested?\The one for the ghost town? response:	Yes.
context: I wonder if this will count as work?\The man apprehended in City Z by the Class C hero\is suspected of being involved in several heinous crimes,\including assassination.\City Z\What's the status of the investigation I requested?\The one for the ghost town?\Yes. response:	Let's see
context: The man apprehended in City Z by the Class C hero\is suspected of being involved in several heinous crimes,\including assassination.\City Z\What's the status of the investigation I requested?\The one for the ghost town?\Yes.\Let's see response:	We've submitted an official request.
context: is suspected of being involved in several heinous crimes,\including assassination.\City Z\What's the status of the investigation I requested?\The one for the ghost town?\Yes.\Let's see\We've submitted an official request. response:	Well now, doesn't that sound interesting.
context: including assassination.\City Z\What's the status of the investigation I requested?\The one for the ghost town?\Yes.\Let's see\We've submitted an official request.\Well now, doesn't that sound interesting. response:	Want me to go?
context: City Z\What's the status of the investigation I requested?\The one for the ghost town?\Yes.\Let's see\We've submitted an official request.\Well now, doesn't that sound interesting.\Want me to go? response:	Tornado?
context: What's the status of the investigation I requested?\The one for the ghost town?\Yes.\Let's see\We've submitted an official request.\Well now, doesn't that sound interesting.\Want me to go?\Tornado? response:	Where'd you come from?
context: The one for the ghost town?\Yes.\Let's see\We've submitted an official request.\Well now, doesn't that sound interesting.\Want me to go?\Tornado?\Where'd you come from? response:	Why? Aren't I allowed in here?
context: Yes.\Let's see\We've submitted an official request.\Well now, doesn't that sound interesting.\Want me to go?\Tornado?\Where'd you come from?\Why? Aren't I allowed in here? response:	Of course.
context: Let's see\We've submitted an official request.\Well now, doesn't that sound interesting.\Want me to go?\Tornado?\Where'd you come from?\Why? Aren't I allowed in here?\Of course. response:	But for City Z, the investigation is just a formality.
context: We've submitted an official request.\Well now, doesn't that sound interesting.\Want me to go?\Tornado?\Where'd you come from?\Why? Aren't I allowed in here?\Of course.\But for City Z, the investigation is just a formality. response:	What?
context: Well now, doesn't that sound interesting.\Want me to go?\Tornado?\Where'd you come from?\Why? Aren't I allowed in here?\Of course.\But for City Z, the investigation is just a formality.\What? response:	You think I'm not good enough?
context: Want me to go?\Tornado?\Where'd you come from?\Why? Aren't I allowed in here?\Of course.\But for City Z, the investigation is just a formality.\What?\You think I'm not good enough? response:	Not at all.
context: Tornado?\Where'd you come from?\Why? Aren't I allowed in here?\Of course.\But for City Z, the investigation is just a formality.\What?\You think I'm not good enough?\Not at all. response:	The Association decided that this was not a Class S matter.
context: Where'd you come from?\Why? Aren't I allowed in here?\Of course.\But for City Z, the investigation is just a formality.\What?\You think I'm not good enough?\Not at all.\The Association decided that this was not a Class S matter. response:	Yes, exactly right.
context: Why? Aren't I allowed in here?\Of course.\But for City Z, the investigation is just a formality.\What?\You think I'm not good enough?\Not at all.\The Association decided that this was not a Class S matter.\Yes, exactly right. response:	You'd better tell me if you find anything that looks like it can fight.
context: Of course.\But for City Z, the investigation is just a formality.\What?\You think I'm not good enough?\Not at all.\The Association decided that this was not a Class S matter.\Yes, exactly right.\You'd better tell me if you find anything that looks like it can fight. response:	It'd be so much faster if I just went myself.
context: But for City Z, the investigation is just a formality.\What?\You think I'm not good enough?\Not at all.\The Association decided that this was not a Class S matter.\Yes, exactly right.\You'd better tell me if you find anything that looks like it can fight.\It'd be so much faster if I just went myself. response:	You're such an idiot.
context: What?\You think I'm not good enough?\Not at all.\The Association decided that this was not a Class S matter.\Yes, exactly right.\You'd better tell me if you find anything that looks like it can fight.\It'd be so much faster if I just went myself.\You're such an idiot. response:	CITY A HERO ASSOCIATION HQ
context: You think I'm not good enough?\Not at all.\The Association decided that this was not a Class S matter.\Yes, exactly right.\You'd better tell me if you find anything that looks like it can fight.\It'd be so much faster if I just went myself.\You're such an idiot.\CITY A HERO ASSOCIATION HQ response:	CITY A HERO ASSOCIATION HQ Reports have come in from each location being investigated.
context: Not at all.\The Association decided that this was not a Class S matter.\Yes, exactly right.\You'd better tell me if you find anything that looks like it can fight.\It'd be so much faster if I just went myself.\You're such an idiot.\CITY A HERO ASSOCIATION HQ\CITY A HERO ASSOCIATION HQ Reports have come in from each location being investigated. response:	Reports have come in from each location being investigated.
context: The Association decided that this was not a Class S matter.\Yes, exactly right.\You'd better tell me if you find anything that looks like it can fight.\It'd be so much faster if I just went myself.\You're such an idiot.\CITY A HERO ASSOCIATION HQ\CITY A HERO ASSOCIATION HQ Reports have come in from each location being investigated.\Reports have come in from each location being investigated. response:	First is Watchdog Man, Class S hero, investigating City Q.
context: Yes, exactly right.\You'd better tell me if you find anything that looks like it can fight.\It'd be so much faster if I just went myself.\You're such an idiot.\CITY A HERO ASSOCIATION HQ\CITY A HERO ASSOCIATION HQ Reports have come in from each location being investigated.\Reports have come in from each location being investigated.\First is Watchdog Man, Class S hero, investigating City Q. response:	Nothing unusual.
context: You'd better tell me if you find anything that looks like it can fight.\It'd be so much faster if I just went myself.\You're such an idiot.\CITY A HERO ASSOCIATION HQ\CITY A HERO ASSOCIATION HQ Reports have come in from each location being investigated.\Reports have come in from each location being investigated.\First is Watchdog Man, Class S hero, investigating City Q.\Nothing unusual. response:	Nothing unusual?
context: It'd be so much faster if I just went myself.\You're such an idiot.\CITY A HERO ASSOCIATION HQ\CITY A HERO ASSOCIATION HQ Reports have come in from each location being investigated.\Reports have come in from each location being investigated.\First is Watchdog Man, Class S hero, investigating City Q.\Nothing unusual.\Nothing unusual? response:	That's right. That's hard to believe.
context: You're such an idiot.\CITY A HERO ASSOCIATION HQ\CITY A HERO ASSOCIATION HQ Reports have come in from each location being investigated.\Reports have come in from each location being investigated.\First is Watchdog Man, Class S hero, investigating City Q.\Nothing unusual.\Nothing unusual?\That's right. That's hard to believe. response:	We all know City Q is a hot zone
context: CITY A HERO ASSOCIATION HQ\CITY A HERO ASSOCIATION HQ Reports have come in from each location being investigated.\Reports have come in from each location being investigated.\First is Watchdog Man, Class S hero, investigating City Q.\Nothing unusual.\Nothing unusual?\That's right. That's hard to believe.\We all know City Q is a hot zone response:	with more casualties and monsters than any other area.
context: CITY A HERO ASSOCIATION HQ Reports have come in from each location being investigated.\Reports have come in from each location being investigated.\First is Watchdog Man, Class S hero, investigating City Q.\Nothing unusual.\Nothing unusual?\That's right. That's hard to believe.\We all know City Q is a hot zone\with more casualties and monsters than any other area. response:	Knowing him, I'm sure he's implying that,
context: Reports have come in from each location being investigated.\First is Watchdog Man, Class S hero, investigating City Q.\Nothing unusual.\Nothing unusual?\That's right. That's hard to believe.\We all know City Q is a hot zone\with more casualties and monsters than any other area.\Knowing him, I'm sure he's implying that, response:	Whatever occurs, I'll be able to take care of it.
context: First is Watchdog Man, Class S hero, investigating City Q.\Nothing unusual.\Nothing unusual?\That's right. That's hard to believe.\We all know City Q is a hot zone\with more casualties and monsters than any other area.\Knowing him, I'm sure he's implying that,\Whatever occurs, I'll be able to take care of it. response:	Though he has focused his efforts on City Q,
context: Nothing unusual.\Nothing unusual?\That's right. That's hard to believe.\We all know City Q is a hot zone\with more casualties and monsters than any other area.\Knowing him, I'm sure he's implying that,\Whatever occurs, I'll be able to take care of it.\Though he has focused his efforts on City Q, response:	his track record at monster elimination is top-notch.
context: Nothing unusual?\That's right. That's hard to believe.\We all know City Q is a hot zone\with more casualties and monsters than any other area.\Knowing him, I'm sure he's implying that,\Whatever occurs, I'll be able to take care of it.\Though he has focused his efforts on City Q,\his track record at monster elimination is top-notch. response:	Class S heroes don't pay much attention to details.
context: That's right. That's hard to believe.\We all know City Q is a hot zone\with more casualties and monsters than any other area.\Knowing him, I'm sure he's implying that,\Whatever occurs, I'll be able to take care of it.\Though he has focused his efforts on City Q,\his track record at monster elimination is top-notch.\Class S heroes don't pay much attention to details. response:	They're not cut out for writing reports.
context: We all know City Q is a hot zone\with more casualties and monsters than any other area.\Knowing him, I'm sure he's implying that,\Whatever occurs, I'll be able to take care of it.\Though he has focused his efforts on City Q,\his track record at monster elimination is top-notch.\Class S heroes don't pay much attention to details.\They're not cut out for writing reports. response:	Next, City W.
context: with more casualties and monsters than any other area.\Knowing him, I'm sure he's implying that,\Whatever occurs, I'll be able to take care of it.\Though he has focused his efforts on City Q,\his track record at monster elimination is top-notch.\Class S heroes don't pay much attention to details.\They're not cut out for writing reports.\Next, City W. response:	Class A hero Heavy Kong reports: Nothing unusual.
context: Knowing him, I'm sure he's implying that,\Whatever occurs, I'll be able to take care of it.\Though he has focused his efforts on City Q,\his track record at monster elimination is top-notch.\Class S heroes don't pay much attention to details.\They're not cut out for writing reports.\Next, City W.\Class A hero Heavy Kong reports: Nothing unusual. response:	Nothing unusual.
context: Whatever occurs, I'll be able to take care of it.\Though he has focused his efforts on City Q,\his track record at monster elimination is top-notch.\Class S heroes don't pay much attention to details.\They're not cut out for writing reports.\Next, City W.\Class A hero Heavy Kong reports: Nothing unusual.\Nothing unusual. response:	Slow restoration after the devastation caused by
context: Though he has focused his efforts on City Q,\his track record at monster elimination is top-notch.\Class S heroes don't pay much attention to details.\They're not cut out for writing reports.\Next, City W.\Class A hero Heavy Kong reports: Nothing unusual.\Nothing unusual.\Slow restoration after the devastation caused by response:	the gigantic creature aside, nothing unusual.
context: his track record at monster elimination is top-notch.\Class S heroes don't pay much attention to details.\They're not cut out for writing reports.\Next, City W.\Class A hero Heavy Kong reports: Nothing unusual.\Nothing unusual.\Slow restoration after the devastation caused by\the gigantic creature aside, nothing unusual. response:	Cities B and D both sustained extensive damage.
context: Class S heroes don't pay much attention to details.\They're not cut out for writing reports.\Next, City W.\Class A hero Heavy Kong reports: Nothing unusual.\Nothing unusual.\Slow restoration after the devastation caused by\the gigantic creature aside, nothing unusual.\Cities B and D both sustained extensive damage. response:	The Association took a lot of heat for that.
context: They're not cut out for writing reports.\Next, City W.\Class A hero Heavy Kong reports: Nothing unusual.\Nothing unusual.\Slow restoration after the devastation caused by\the gigantic creature aside, nothing unusual.\Cities B and D both sustained extensive damage.\The Association took a lot of heat for that. response:	In order to prevent more such disasters,
context: Next, City W.\Class A hero Heavy Kong reports: Nothing unusual.\Nothing unusual.\Slow restoration after the devastation caused by\the gigantic creature aside, nothing unusual.\Cities B and D both sustained extensive damage.\The Association took a lot of heat for that.\In order to prevent more such disasters, response:	we must detect any covert activity that could threaten the community.
context: Class A hero Heavy Kong reports: Nothing unusual.\Nothing unusual.\Slow restoration after the devastation caused by\the gigantic creature aside, nothing unusual.\Cities B and D both sustained extensive damage.\The Association took a lot of heat for that.\In order to prevent more such disasters,\we must detect any covert activity that could threaten the community. response:	Well, this investigation was requested for that express purpose.
context: Nothing unusual.\Slow restoration after the devastation caused by\the gigantic creature aside, nothing unusual.\Cities B and D both sustained extensive damage.\The Association took a lot of heat for that.\In order to prevent more such disasters,\we must detect any covert activity that could threaten the community.\Well, this investigation was requested for that express purpose. response:	But early detection of monsters is proving difficult.
context: Slow restoration after the devastation caused by\the gigantic creature aside, nothing unusual.\Cities B and D both sustained extensive damage.\The Association took a lot of heat for that.\In order to prevent more such disasters,\we must detect any covert activity that could threaten the community.\Well, this investigation was requested for that express purpose.\But early detection of monsters is proving difficult. response:	City F, Class A hero, Snakebite Snek.
context: the gigantic creature aside, nothing unusual.\Cities B and D both sustained extensive damage.\The Association took a lot of heat for that.\In order to prevent more such disasters,\we must detect any covert activity that could threaten the community.\Well, this investigation was requested for that express purpose.\But early detection of monsters is proving difficult.\City F, Class A hero, Snakebite Snek. response:	Hammerhead, former leader of the Paradiser terrorist group,
context: Cities B and D both sustained extensive damage.\The Association took a lot of heat for that.\In order to prevent more such disasters,\we must detect any covert activity that could threaten the community.\Well, this investigation was requested for that express purpose.\But early detection of monsters is proving difficult.\City F, Class A hero, Snakebite Snek.\Hammerhead, former leader of the Paradiser terrorist group, response:	has been spotted in a suit and tie.
context: The Association took a lot of heat for that.\In order to prevent more such disasters,\we must detect any covert activity that could threaten the community.\Well, this investigation was requested for that express purpose.\But early detection of monsters is proving difficult.\City F, Class A hero, Snakebite Snek.\Hammerhead, former leader of the Paradiser terrorist group,\has been spotted in a suit and tie. response:	Further investigation is being conducted.
context: In order to prevent more such disasters,\we must detect any covert activity that could threaten the community.\Well, this investigation was requested for that express purpose.\But early detection of monsters is proving difficult.\City F, Class A hero, Snakebite Snek.\Hammerhead, former leader of the Paradiser terrorist group,\has been spotted in a suit and tie.\Further investigation is being conducted. response:	No other reports.
context: we must detect any covert activity that could threaten the community.\Well, this investigation was requested for that express purpose.\But early detection of monsters is proving difficult.\City F, Class A hero, Snakebite Snek.\Hammerhead, former leader of the Paradiser terrorist group,\has been spotted in a suit and tie.\Further investigation is being conducted.\No other reports. response:	What of City Z?
context: Well, this investigation was requested for that express purpose.\But early detection of monsters is proving difficult.\City F, Class A hero, Snakebite Snek.\Hammerhead, former leader of the Paradiser terrorist group,\has been spotted in a suit and tie.\Further investigation is being conducted.\No other reports.\What of City Z? response:	I hear rumblings of a potential disaster brewing
context: But early detection of monsters is proving difficult.\City F, Class A hero, Snakebite Snek.\Hammerhead, former leader of the Paradiser terrorist group,\has been spotted in a suit and tie.\Further investigation is being conducted.\No other reports.\What of City Z?\I hear rumblings of a potential disaster brewing response:	in the abandoned area there.
context: City F, Class A hero, Snakebite Snek.\Hammerhead, former leader of the Paradiser terrorist group,\has been spotted in a suit and tie.\Further investigation is being conducted.\No other reports.\What of City Z?\I hear rumblings of a potential disaster brewing\in the abandoned area there. response:	No reports available.
context: Hammerhead, former leader of the Paradiser terrorist group,\has been spotted in a suit and tie.\Further investigation is being conducted.\No other reports.\What of City Z?\I hear rumblings of a potential disaster brewing\in the abandoned area there.\No reports available. response:	However, two highly capable Class A heroes
context: has been spotted in a suit and tie.\Further investigation is being conducted.\No other reports.\What of City Z?\I hear rumblings of a potential disaster brewing\in the abandoned area there.\No reports available.\However, two highly capable Class A heroes response:	have been sent to the area to investigate.
context: Further investigation is being conducted.\No other reports.\What of City Z?\I hear rumblings of a potential disaster brewing\in the abandoned area there.\No reports available.\However, two highly capable Class A heroes\have been sent to the area to investigate. response:	Here we are in City Z.
context: No other reports.\What of City Z?\I hear rumblings of a potential disaster brewing\in the abandoned area there.\No reports available.\However, two highly capable Class A heroes\have been sent to the area to investigate.\Here we are in City Z. response:	CLASS A, RANK 33 SPRING MUSTACHIO Shall we begin our little inquiry?
context: What of City Z?\I hear rumblings of a potential disaster brewing\in the abandoned area there.\No reports available.\However, two highly capable Class A heroes\have been sent to the area to investigate.\Here we are in City Z.\CLASS A, RANK 33 SPRING MUSTACHIO Shall we begin our little inquiry? response:	CLASS A, RANK 29 GOLDEN BALL Yeah, let's get on with it.
context: I hear rumblings of a potential disaster brewing\in the abandoned area there.\No reports available.\However, two highly capable Class A heroes\have been sent to the area to investigate.\Here we are in City Z.\CLASS A, RANK 33 SPRING MUSTACHIO Shall we begin our little inquiry?\CLASS A, RANK 29 GOLDEN BALL Yeah, let's get on with it. response:	City Z is quite expansive, but further ahead lies
context: in the abandoned area there.\No reports available.\However, two highly capable Class A heroes\have been sent to the area to investigate.\Here we are in City Z.\CLASS A, RANK 33 SPRING MUSTACHIO Shall we begin our little inquiry?\CLASS A, RANK 29 GOLDEN BALL Yeah, let's get on with it.\City Z is quite expansive, but further ahead lies response:	the uninhabited area we were told about.
context: No reports available.\However, two highly capable Class A heroes\have been sent to the area to investigate.\Here we are in City Z.\CLASS A, RANK 33 SPRING MUSTACHIO Shall we begin our little inquiry?\CLASS A, RANK 29 GOLDEN BALL Yeah, let's get on with it.\City Z is quite expansive, but further ahead lies\the uninhabited area we were told about. response:	Compared with other areas,
context: However, two highly capable Class A heroes\have been sent to the area to investigate.\Here we are in City Z.\CLASS A, RANK 33 SPRING MUSTACHIO Shall we begin our little inquiry?\CLASS A, RANK 29 GOLDEN BALL Yeah, let's get on with it.\City Z is quite expansive, but further ahead lies\the uninhabited area we were told about.\Compared with other areas, response:	BEWARE OF MONSTERS!! City Z has an abnormally high rate of monster-related incidents.
context: have been sent to the area to investigate.\Here we are in City Z.\CLASS A, RANK 33 SPRING MUSTACHIO Shall we begin our little inquiry?\CLASS A, RANK 29 GOLDEN BALL Yeah, let's get on with it.\City Z is quite expansive, but further ahead lies\the uninhabited area we were told about.\Compared with other areas,\BEWARE OF MONSTERS!! City Z has an abnormally high rate of monster-related incidents. response:	The frequency has been gradually increasing over the past 10 years,
context: Here we are in City Z.\CLASS A, RANK 33 SPRING MUSTACHIO Shall we begin our little inquiry?\CLASS A, RANK 29 GOLDEN BALL Yeah, let's get on with it.\City Z is quite expansive, but further ahead lies\the uninhabited area we were told about.\Compared with other areas,\BEWARE OF MONSTERS!! City Z has an abnormally high rate of monster-related incidents.\The frequency has been gradually increasing over the past 10 years, response:	while the last few have seen more and more
context: CLASS A, RANK 33 SPRING MUSTACHIO Shall we begin our little inquiry?\CLASS A, RANK 29 GOLDEN BALL Yeah, let's get on with it.\City Z is quite expansive, but further ahead lies\the uninhabited area we were told about.\Compared with other areas,\BEWARE OF MONSTERS!! City Z has an abnormally high rate of monster-related incidents.\The frequency has been gradually increasing over the past 10 years,\while the last few have seen more and more response:	highly advanced monsters appearing.
context: CLASS A, RANK 29 GOLDEN BALL Yeah, let's get on with it.\City Z is quite expansive, but further ahead lies\the uninhabited area we were told about.\Compared with other areas,\BEWARE OF MONSTERS!! City Z has an abnormally high rate of monster-related incidents.\The frequency has been gradually increasing over the past 10 years,\while the last few have seen more and more\highly advanced monsters appearing. response:	The residents have entirely fled for the city center.
context: City Z is quite expansive, but further ahead lies\the uninhabited area we were told about.\Compared with other areas,\BEWARE OF MONSTERS!! City Z has an abnormally high rate of monster-related incidents.\The frequency has been gradually increasing over the past 10 years,\while the last few have seen more and more\highly advanced monsters appearing.\The residents have entirely fled for the city center. response:	I know all that.
context: the uninhabited area we were told about.\Compared with other areas,\BEWARE OF MONSTERS!! City Z has an abnormally high rate of monster-related incidents.\The frequency has been gradually increasing over the past 10 years,\while the last few have seen more and more\highly advanced monsters appearing.\The residents have entirely fled for the city center.\I know all that. response:	The place is a real ghost town,
context: Compared with other areas,\BEWARE OF MONSTERS!! City Z has an abnormally high rate of monster-related incidents.\The frequency has been gradually increasing over the past 10 years,\while the last few have seen more and more\highly advanced monsters appearing.\The residents have entirely fled for the city center.\I know all that.\The place is a real ghost town, response:	just with the water and electricity still intact, yeah?
context: BEWARE OF MONSTERS!! City Z has an abnormally high rate of monster-related incidents.\The frequency has been gradually increasing over the past 10 years,\while the last few have seen more and more\highly advanced monsters appearing.\The residents have entirely fled for the city center.\I know all that.\The place is a real ghost town,\just with the water and electricity still intact, yeah? response:	On the lookout for a cheap house?
context: The frequency has been gradually increasing over the past 10 years,\while the last few have seen more and more\highly advanced monsters appearing.\The residents have entirely fled for the city center.\I know all that.\The place is a real ghost town,\just with the water and electricity still intact, yeah?\On the lookout for a cheap house? response:	Come off it.
context: while the last few have seen more and more\highly advanced monsters appearing.\The residents have entirely fled for the city center.\I know all that.\The place is a real ghost town,\just with the water and electricity still intact, yeah?\On the lookout for a cheap house?\Come off it. response:	People say something real nasty's living'round here.
context: highly advanced monsters appearing.\The residents have entirely fled for the city center.\I know all that.\The place is a real ghost town,\just with the water and electricity still intact, yeah?\On the lookout for a cheap house?\Come off it.\People say something real nasty's living'round here. response:	Even you must've heard.
context: The residents have entirely fled for the city center.\I know all that.\The place is a real ghost town,\just with the water and electricity still intact, yeah?\On the lookout for a cheap house?\Come off it.\People say something real nasty's living'round here.\Even you must've heard. response:	But of course.
context: I know all that.\The place is a real ghost town,\just with the water and electricity still intact, yeah?\On the lookout for a cheap house?\Come off it.\People say something real nasty's living'round here.\Even you must've heard.\But of course. response:	I assume that's why we have been assigned this investigation.
context: The place is a real ghost town,\just with the water and electricity still intact, yeah?\On the lookout for a cheap house?\Come off it.\People say something real nasty's living'round here.\Even you must've heard.\But of course.\I assume that's why we have been assigned this investigation. response:	Once we hit the abandoned area, we better be ready to fight.
context: just with the water and electricity still intact, yeah?\On the lookout for a cheap house?\Come off it.\People say something real nasty's living'round here.\Even you must've heard.\But of course.\I assume that's why we have been assigned this investigation.\Once we hit the abandoned area, we better be ready to fight. response:	Indeed, we mustn't let our guard down.
context: On the lookout for a cheap house?\Come off it.\People say something real nasty's living'round here.\Even you must've heard.\But of course.\I assume that's why we have been assigned this investigation.\Once we hit the abandoned area, we better be ready to fight.\Indeed, we mustn't let our guard down. response:	But, why here? Why the increase in monsters here?
context: Come off it.\People say something real nasty's living'round here.\Even you must've heard.\But of course.\I assume that's why we have been assigned this investigation.\Once we hit the abandoned area, we better be ready to fight.\Indeed, we mustn't let our guard down.\But, why here? Why the increase in monsters here? response:	That's the mystery.
context: People say something real nasty's living'round here.\Even you must've heard.\But of course.\I assume that's why we have been assigned this investigation.\Once we hit the abandoned area, we better be ready to fight.\Indeed, we mustn't let our guard down.\But, why here? Why the increase in monsters here?\That's the mystery. response:	A colony of monsters here is naturally producing more of them.
context: Even you must've heard.\But of course.\I assume that's why we have been assigned this investigation.\Once we hit the abandoned area, we better be ready to fight.\Indeed, we mustn't let our guard down.\But, why here? Why the increase in monsters here?\That's the mystery.\A colony of monsters here is naturally producing more of them. response:	Or perhaps a queen exists, birthing more of her kind.
context: But of course.\I assume that's why we have been assigned this investigation.\Once we hit the abandoned area, we better be ready to fight.\Indeed, we mustn't let our guard down.\But, why here? Why the increase in monsters here?\That's the mystery.\A colony of monsters here is naturally producing more of them.\Or perhaps a queen exists, birthing more of her kind. response:	Of course I have no proof yet,
context: I assume that's why we have been assigned this investigation.\Once we hit the abandoned area, we better be ready to fight.\Indeed, we mustn't let our guard down.\But, why here? Why the increase in monsters here?\That's the mystery.\A colony of monsters here is naturally producing more of them.\Or perhaps a queen exists, birthing more of her kind.\Of course I have no proof yet, response:	but there is something to this ghost town
context: Once we hit the abandoned area, we better be ready to fight.\Indeed, we mustn't let our guard down.\But, why here? Why the increase in monsters here?\That's the mystery.\A colony of monsters here is naturally producing more of them.\Or perhaps a queen exists, birthing more of her kind.\Of course I have no proof yet,\but there is something to this ghost town response:	Or rather, something in it.
