context: Am I gonna die? response:	You did die...
context: intend to arrest him, no matter what.\If that happens, then we'll also...\Kanou Nobuzane\President of Kanou Group General Trading Company\Kanou Atsuko\Nobuzane's Wife and Group's Corporate President\Kanou-san! Thank you for the invitation...\Kanou-kun! response:	Arresting you would be runaway abuse of the prosecutor's power!
context: If that happens, then we'll also...\Kanou Nobuzane\President of Kanou Group General Trading Company\Kanou Atsuko\Nobuzane's Wife and Group's Corporate President\Kanou-san! Thank you for the invitation...\Kanou-kun!\Arresting you would be runaway abuse of the prosecutor's power! response:	I'll use tonight's party to again clear you of all suspicion!
context: Kanou Nobuzane\President of Kanou Group General Trading Company\Kanou Atsuko\Nobuzane's Wife and Group's Corporate President\Kanou-san! Thank you for the invitation...\Kanou-kun!\Arresting you would be runaway abuse of the prosecutor's power!\I'll use tonight's party to again clear you of all suspicion! response:	I'm afraid I'm going to cause you two undue trouble.
context: President of Kanou Group General Trading Company\Kanou Atsuko\Nobuzane's Wife and Group's Corporate President\Kanou-san! Thank you for the invitation...\Kanou-kun!\Arresting you would be runaway abuse of the prosecutor's power!\I'll use tonight's party to again clear you of all suspicion!\I'm afraid I'm going to cause you two undue trouble. response:	It must be hard on you too, Madam.
context: Kanou Atsuko\Nobuzane's Wife and Group's Corporate President\Kanou-san! Thank you for the invitation...\Kanou-kun!\Arresting you would be runaway abuse of the prosecutor's power!\I'll use tonight's party to again clear you of all suspicion!\I'm afraid I'm going to cause you two undue trouble.\It must be hard on you too, Madam. response:	Why, having to hold a party in your own building...
context: Nobuzane's Wife and Group's Corporate President\Kanou-san! Thank you for the invitation...\Kanou-kun!\Arresting you would be runaway abuse of the prosecutor's power!\I'll use tonight's party to again clear you of all suspicion!\I'm afraid I'm going to cause you two undue trouble.\It must be hard on you too, Madam.\Why, having to hold a party in your own building... response:	I'm afraid to even leave here.
context: Kanou-san! Thank you for the invitation...\Kanou-kun!\Arresting you would be runaway abuse of the prosecutor's power!\I'll use tonight's party to again clear you of all suspicion!\I'm afraid I'm going to cause you two undue trouble.\It must be hard on you too, Madam.\Why, having to hold a party in your own building...\I'm afraid to even leave here. response:	Well, let's go.
context: Kanou-kun!\Arresting you would be runaway abuse of the prosecutor's power!\I'll use tonight's party to again clear you of all suspicion!\I'm afraid I'm going to cause you two undue trouble.\It must be hard on you too, Madam.\Why, having to hold a party in your own building...\I'm afraid to even leave here.\Well, let's go. response:	No matter how many times we're stepped on, Japan will always rise Party Sponsor: Kanou Group General Trading Company
context: Arresting you would be runaway abuse of the prosecutor's power!\I'll use tonight's party to again clear you of all suspicion!\I'm afraid I'm going to cause you two undue trouble.\It must be hard on you too, Madam.\Why, having to hold a party in your own building...\I'm afraid to even leave here.\Well, let's go.\No matter how many times we're stepped on, Japan will always rise Party Sponsor: Kanou Group General Trading Company response:	I've come as Kaishou Rinroku's proxy.
context: I'll use tonight's party to again clear you of all suspicion!\I'm afraid I'm going to cause you two undue trouble.\It must be hard on you too, Madam.\Why, having to hold a party in your own building...\I'm afraid to even leave here.\Well, let's go.\No matter how many times we're stepped on, Japan will always rise Party Sponsor: Kanou Group General Trading Company\I've come as Kaishou Rinroku's proxy. response:	My name is Rie.
context: I'm afraid I'm going to cause you two undue trouble.\It must be hard on you too, Madam.\Why, having to hold a party in your own building...\I'm afraid to even leave here.\Well, let's go.\No matter how many times we're stepped on, Japan will always rise Party Sponsor: Kanou Group General Trading Company\I've come as Kaishou Rinroku's proxy.\My name is Rie. response:	We appreciate your coming.
context: It must be hard on you too, Madam.\Why, having to hold a party in your own building...\I'm afraid to even leave here.\Well, let's go.\No matter how many times we're stepped on, Japan will always rise Party Sponsor: Kanou Group General Trading Company\I've come as Kaishou Rinroku's proxy.\My name is Rie.\We appreciate your coming. response:	Thank you.
context: Why, having to hold a party in your own building...\I'm afraid to even leave here.\Well, let's go.\No matter how many times we're stepped on, Japan will always rise Party Sponsor: Kanou Group General Trading Company\I've come as Kaishou Rinroku's proxy.\My name is Rie.\We appreciate your coming.\Thank you. response:	Professor Kaishou's daughter...
context: I'm afraid to even leave here.\Well, let's go.\No matter how many times we're stepped on, Japan will always rise Party Sponsor: Kanou Group General Trading Company\I've come as Kaishou Rinroku's proxy.\My name is Rie.\We appreciate your coming.\Thank you.\Professor Kaishou's daughter... response:	Well, well!
context: Well, let's go.\No matter how many times we're stepped on, Japan will always rise Party Sponsor: Kanou Group General Trading Company\I've come as Kaishou Rinroku's proxy.\My name is Rie.\We appreciate your coming.\Thank you.\Professor Kaishou's daughter...\Well, well! response:	I've never had the opportunity to meet Mr. Kaishou,
context: No matter how many times we're stepped on, Japan will always rise Party Sponsor: Kanou Group General Trading Company\I've come as Kaishou Rinroku's proxy.\My name is Rie.\We appreciate your coming.\Thank you.\Professor Kaishou's daughter...\Well, well!\I've never had the opportunity to meet Mr. Kaishou, response:	but let me take this occasion to greet his daughter.
context: I've come as Kaishou Rinroku's proxy.\My name is Rie.\We appreciate your coming.\Thank you.\Professor Kaishou's daughter...\Well, well!\I've never had the opportunity to meet Mr. Kaishou,\but let me take this occasion to greet his daughter. response:	Then Professor Kaishou actually exists...
context: My name is Rie.\We appreciate your coming.\Thank you.\Professor Kaishou's daughter...\Well, well!\I've never had the opportunity to meet Mr. Kaishou,\but let me take this occasion to greet his daughter.\Then Professor Kaishou actually exists... response:	Is the Chairman here?
context: We appreciate your coming.\Thank you.\Professor Kaishou's daughter...\Well, well!\I've never had the opportunity to meet Mr. Kaishou,\but let me take this occasion to greet his daughter.\Then Professor Kaishou actually exists...\Is the Chairman here? response:	Chairman Kaishou!
context: Thank you.\Professor Kaishou's daughter...\Well, well!\I've never had the opportunity to meet Mr. Kaishou,\but let me take this occasion to greet his daughter.\Then Professor Kaishou actually exists...\Is the Chairman here?\Chairman Kaishou! response:	Mr. Kaishou!
context: Professor Kaishou's daughter...\Well, well!\I've never had the opportunity to meet Mr. Kaishou,\but let me take this occasion to greet his daughter.\Then Professor Kaishou actually exists...\Is the Chairman here?\Chairman Kaishou!\Mr. Kaishou! response:	Is he here?
context: Well, well!\I've never had the opportunity to meet Mr. Kaishou,\but let me take this occasion to greet his daughter.\Then Professor Kaishou actually exists...\Is the Chairman here?\Chairman Kaishou!\Mr. Kaishou!\Is he here? response:	Professor Kaishou!
context: I've never had the opportunity to meet Mr. Kaishou,\but let me take this occasion to greet his daughter.\Then Professor Kaishou actually exists...\Is the Chairman here?\Chairman Kaishou!\Mr. Kaishou!\Is he here?\Professor Kaishou! response:	Chairman!
context: but let me take this occasion to greet his daughter.\Then Professor Kaishou actually exists...\Is the Chairman here?\Chairman Kaishou!\Mr. Kaishou!\Is he here?\Professor Kaishou!\Chairman! response:	Professor!
context: Then Professor Kaishou actually exists...\Is the Chairman here?\Chairman Kaishou!\Mr. Kaishou!\Is he here?\Professor Kaishou!\Chairman!\Professor! response:	Back off!
context: Is the Chairman here?\Chairman Kaishou!\Mr. Kaishou!\Is he here?\Professor Kaishou!\Chairman!\Professor!\Back off! response:	It's okay.
context: Chairman Kaishou!\Mr. Kaishou!\Is he here?\Professor Kaishou!\Chairman!\Professor!\Back off!\It's okay. response:	Nice to meet you, everyone.
context: Mr. Kaishou!\Is he here?\Professor Kaishou!\Chairman!\Professor!\Back off!\It's okay.\Nice to meet you, everyone. response:	If you're at the party, then...
context: Is he here?\Professor Kaishou!\Chairman!\Professor!\Back off!\It's okay.\Nice to meet you, everyone.\If you're at the party, then... response:	Chairman Kaishou supports President Kanou.
context: Professor Kaishou!\Chairman!\Professor!\Back off!\It's okay.\Nice to meet you, everyone.\If you're at the party, then...\Chairman Kaishou supports President Kanou. response:	It shows that he believes in his innocence, right?
context: Chairman!\Professor!\Back off!\It's okay.\Nice to meet you, everyone.\If you're at the party, then...\Chairman Kaishou supports President Kanou.\It shows that he believes in his innocence, right? response:	Hello, hello, President Kanou!
context: Professor!\Back off!\It's okay.\Nice to meet you, everyone.\If you're at the party, then...\Chairman Kaishou supports President Kanou.\It shows that he believes in his innocence, right?\Hello, hello, President Kanou! response:	Thank you very much for inviting me here tonight.
context: Back off!\It's okay.\Nice to meet you, everyone.\If you're at the party, then...\Chairman Kaishou supports President Kanou.\It shows that he believes in his innocence, right?\Hello, hello, President Kanou!\Thank you very much for inviting me here tonight. response:	Wh-Who are you?!
context: It's okay.\Nice to meet you, everyone.\If you're at the party, then...\Chairman Kaishou supports President Kanou.\It shows that he believes in his innocence, right?\Hello, hello, President Kanou!\Thank you very much for inviting me here tonight.\Wh-Who are you?! response:	In fact!
context: Nice to meet you, everyone.\If you're at the party, then...\Chairman Kaishou supports President Kanou.\It shows that he believes in his innocence, right?\Hello, hello, President Kanou!\Thank you very much for inviting me here tonight.\Wh-Who are you?!\In fact! response:	He is a beacon of light in this chaotic world!
context: If you're at the party, then...\Chairman Kaishou supports President Kanou.\It shows that he believes in his innocence, right?\Hello, hello, President Kanou!\Thank you very much for inviting me here tonight.\Wh-Who are you?!\In fact!\He is a beacon of light in this chaotic world! response:	People call him the Last Great Detective,
context: Chairman Kaishou supports President Kanou.\It shows that he believes in his innocence, right?\Hello, hello, President Kanou!\Thank you very much for inviting me here tonight.\Wh-Who are you?!\In fact!\He is a beacon of light in this chaotic world!\People call him the Last Great Detective, response:	Yuuki Shinjurou!
context: It shows that he believes in his innocence, right?\Hello, hello, President Kanou!\Thank you very much for inviting me here tonight.\Wh-Who are you?!\In fact!\He is a beacon of light in this chaotic world!\People call him the Last Great Detective,\Yuuki Shinjurou! response:	Yuuki? I've heard that name before somewhere.
context: Hello, hello, President Kanou!\Thank you very much for inviting me here tonight.\Wh-Who are you?!\In fact!\He is a beacon of light in this chaotic world!\People call him the Last Great Detective,\Yuuki Shinjurou!\Yuuki? I've heard that name before somewhere. response:	He's the one that always shows up at crime scenes
context: Thank you very much for inviting me here tonight.\Wh-Who are you?!\In fact!\He is a beacon of light in this chaotic world!\People call him the Last Great Detective,\Yuuki Shinjurou!\Yuuki? I've heard that name before somewhere.\He's the one that always shows up at crime scenes response:	to criticize Chairman Kaishou's brilliant deductions!
context: Wh-Who are you?!\In fact!\He is a beacon of light in this chaotic world!\People call him the Last Great Detective,\Yuuki Shinjurou!\Yuuki? I've heard that name before somewhere.\He's the one that always shows up at crime scenes\to criticize Chairman Kaishou's brilliant deductions! response:	That's right. The newspapers have dubbed him, The Defeated Detective.
context: In fact!\He is a beacon of light in this chaotic world!\People call him the Last Great Detective,\Yuuki Shinjurou!\Yuuki? I've heard that name before somewhere.\He's the one that always shows up at crime scenes\to criticize Chairman Kaishou's brilliant deductions!\That's right. The newspapers have dubbed him, The Defeated Detective. response:	So why are you here?
context: He is a beacon of light in this chaotic world!\People call him the Last Great Detective,\Yuuki Shinjurou!\Yuuki? I've heard that name before somewhere.\He's the one that always shows up at crime scenes\to criticize Chairman Kaishou's brilliant deductions!\That's right. The newspapers have dubbed him, The Defeated Detective.\So why are you here? response:	You got me...
context: People call him the Last Great Detective,\Yuuki Shinjurou!\Yuuki? I've heard that name before somewhere.\He's the one that always shows up at crime scenes\to criticize Chairman Kaishou's brilliant deductions!\That's right. The newspapers have dubbed him, The Defeated Detective.\So why are you here?\You got me... response:	However, calling me in means that some crime is going to occur.
context: Yuuki Shinjurou!\Yuuki? I've heard that name before somewhere.\He's the one that always shows up at crime scenes\to criticize Chairman Kaishou's brilliant deductions!\That's right. The newspapers have dubbed him, The Defeated Detective.\So why are you here?\You got me...\However, calling me in means that some crime is going to occur. response:	And a major crime at that.
context: Yuuki? I've heard that name before somewhere.\He's the one that always shows up at crime scenes\to criticize Chairman Kaishou's brilliant deductions!\That's right. The newspapers have dubbed him, The Defeated Detective.\So why are you here?\You got me...\However, calling me in means that some crime is going to occur.\And a major crime at that. response:	First Kanou, then they try to ingratiate themselves with Chairman Kaishou.
context: He's the one that always shows up at crime scenes\to criticize Chairman Kaishou's brilliant deductions!\That's right. The newspapers have dubbed him, The Defeated Detective.\So why are you here?\You got me...\However, calling me in means that some crime is going to occur.\And a major crime at that.\First Kanou, then they try to ingratiate themselves with Chairman Kaishou. response:	They have no principles!
context: to criticize Chairman Kaishou's brilliant deductions!\That's right. The newspapers have dubbed him, The Defeated Detective.\So why are you here?\You got me...\However, calling me in means that some crime is going to occur.\And a major crime at that.\First Kanou, then they try to ingratiate themselves with Chairman Kaishou.\They have no principles! response:	Pardon me, Miss...
context: That's right. The newspapers have dubbed him, The Defeated Detective.\So why are you here?\You got me...\However, calling me in means that some crime is going to occur.\And a major crime at that.\First Kanou, then they try to ingratiate themselves with Chairman Kaishou.\They have no principles!\Pardon me, Miss... response:	That's Yuuki Shinjurou...
context: So why are you here?\You got me...\However, calling me in means that some crime is going to occur.\And a major crime at that.\First Kanou, then they try to ingratiate themselves with Chairman Kaishou.\They have no principles!\Pardon me, Miss...\That's Yuuki Shinjurou... response:	The Defeated Detective...
context: You got me...\However, calling me in means that some crime is going to occur.\And a major crime at that.\First Kanou, then they try to ingratiate themselves with Chairman Kaishou.\They have no principles!\Pardon me, Miss...\That's Yuuki Shinjurou...\The Defeated Detective... response:	No one is a greater patriot than Kanou Nobuzane!
context: However, calling me in means that some crime is going to occur.\And a major crime at that.\First Kanou, then they try to ingratiate themselves with Chairman Kaishou.\They have no principles!\Pardon me, Miss...\That's Yuuki Shinjurou...\The Defeated Detective...\No one is a greater patriot than Kanou Nobuzane! response:	These suspicions against him stem from nothing more than
context: And a major crime at that.\First Kanou, then they try to ingratiate themselves with Chairman Kaishou.\They have no principles!\Pardon me, Miss...\That's Yuuki Shinjurou...\The Defeated Detective...\No one is a greater patriot than Kanou Nobuzane!\These suspicions against him stem from nothing more than response:	the state yielding to pressure from foreign countries!
context: First Kanou, then they try to ingratiate themselves with Chairman Kaishou.\They have no principles!\Pardon me, Miss...\That's Yuuki Shinjurou...\The Defeated Detective...\No one is a greater patriot than Kanou Nobuzane!\These suspicions against him stem from nothing more than\the state yielding to pressure from foreign countries! response:	Kanou-kun, I give you my word that we will protect you!
context: They have no principles!\Pardon me, Miss...\That's Yuuki Shinjurou...\The Defeated Detective...\No one is a greater patriot than Kanou Nobuzane!\These suspicions against him stem from nothing more than\the state yielding to pressure from foreign countries!\Kanou-kun, I give you my word that we will protect you! response:	Thank you.
context: Pardon me, Miss...\That's Yuuki Shinjurou...\The Defeated Detective...\No one is a greater patriot than Kanou Nobuzane!\These suspicions against him stem from nothing more than\the state yielding to pressure from foreign countries!\Kanou-kun, I give you my word that we will protect you!\Thank you. response:	Continuing on, I would be honored to hear a few words from Kanda Masahiko,
context: That's Yuuki Shinjurou...\The Defeated Detective...\No one is a greater patriot than Kanou Nobuzane!\These suspicions against him stem from nothing more than\the state yielding to pressure from foreign countries!\Kanou-kun, I give you my word that we will protect you!\Thank you.\Continuing on, I would be honored to hear a few words from Kanda Masahiko, response:	the Japanese representative for the International Currency Bank.
context: The Defeated Detective...\No one is a greater patriot than Kanou Nobuzane!\These suspicions against him stem from nothing more than\the state yielding to pressure from foreign countries!\Kanou-kun, I give you my word that we will protect you!\Thank you.\Continuing on, I would be honored to hear a few words from Kanda Masahiko,\the Japanese representative for the International Currency Bank. response:	Ono passes on reconstruction work to Kanou
context: No one is a greater patriot than Kanou Nobuzane!\These suspicions against him stem from nothing more than\the state yielding to pressure from foreign countries!\Kanou-kun, I give you my word that we will protect you!\Thank you.\Continuing on, I would be honored to hear a few words from Kanda Masahiko,\the Japanese representative for the International Currency Bank.\Ono passes on reconstruction work to Kanou response:	and Kanda puts up financial backing received from other countries.
context: These suspicions against him stem from nothing more than\the state yielding to pressure from foreign countries!\Kanou-kun, I give you my word that we will protect you!\Thank you.\Continuing on, I would be honored to hear a few words from Kanda Masahiko,\the Japanese representative for the International Currency Bank.\Ono passes on reconstruction work to Kanou\and Kanda puts up financial backing received from other countries. response:	But somewhere in this triangle, the money goes missing.
context: the state yielding to pressure from foreign countries!\Kanou-kun, I give you my word that we will protect you!\Thank you.\Continuing on, I would be honored to hear a few words from Kanda Masahiko,\the Japanese representative for the International Currency Bank.\Ono passes on reconstruction work to Kanou\and Kanda puts up financial backing received from other countries.\But somewhere in this triangle, the money goes missing. response:	Good evening, everyone.
context: Kanou-kun, I give you my word that we will protect you!\Thank you.\Continuing on, I would be honored to hear a few words from Kanda Masahiko,\the Japanese representative for the International Currency Bank.\Ono passes on reconstruction work to Kanou\and Kanda puts up financial backing received from other countries.\But somewhere in this triangle, the money goes missing.\Good evening, everyone. response:	Right now, President Kanou...
context: Thank you.\Continuing on, I would be honored to hear a few words from Kanda Masahiko,\the Japanese representative for the International Currency Bank.\Ono passes on reconstruction work to Kanou\and Kanda puts up financial backing received from other countries.\But somewhere in this triangle, the money goes missing.\Good evening, everyone.\Right now, President Kanou... response:	What do you people want?
context: Continuing on, I would be honored to hear a few words from Kanda Masahiko,\the Japanese representative for the International Currency Bank.\Ono passes on reconstruction work to Kanou\and Kanda puts up financial backing received from other countries.\But somewhere in this triangle, the money goes missing.\Good evening, everyone.\Right now, President Kanou...\What do you people want? response:	I thought you were with the detective.
context: the Japanese representative for the International Currency Bank.\Ono passes on reconstruction work to Kanou\and Kanda puts up financial backing received from other countries.\But somewhere in this triangle, the money goes missing.\Good evening, everyone.\Right now, President Kanou...\What do you people want?\I thought you were with the detective. response:	Don't tell me that business before was an attempt to help me, was it?!
context: Ono passes on reconstruction work to Kanou\and Kanda puts up financial backing received from other countries.\But somewhere in this triangle, the money goes missing.\Good evening, everyone.\Right now, President Kanou...\What do you people want?\I thought you were with the detective.\Don't tell me that business before was an attempt to help me, was it?! response:	I hate the Defeated Detective!
context: and Kanda puts up financial backing received from other countries.\But somewhere in this triangle, the money goes missing.\Good evening, everyone.\Right now, President Kanou...\What do you people want?\I thought you were with the detective.\Don't tell me that business before was an attempt to help me, was it?!\I hate the Defeated Detective! response:	Is there a room above this one?
context: But somewhere in this triangle, the money goes missing.\Good evening, everyone.\Right now, President Kanou...\What do you people want?\I thought you were with the detective.\Don't tell me that business before was an attempt to help me, was it?!\I hate the Defeated Detective!\Is there a room above this one? response:	This whole floor is President Kanou's home.
context: Good evening, everyone.\Right now, President Kanou...\What do you people want?\I thought you were with the detective.\Don't tell me that business before was an attempt to help me, was it?!\I hate the Defeated Detective!\Is there a room above this one?\This whole floor is President Kanou's home. response:	How did you know?!
context: Right now, President Kanou...\What do you people want?\I thought you were with the detective.\Don't tell me that business before was an attempt to help me, was it?!\I hate the Defeated Detective!\Is there a room above this one?\This whole floor is President Kanou's home.\How did you know?! response:	Who are you?
context: What do you people want?\I thought you were with the detective.\Don't tell me that business before was an attempt to help me, was it?!\I hate the Defeated Detective!\Is there a room above this one?\This whole floor is President Kanou's home.\How did you know?!\Who are you? response:	Terada Ryouko
context: I thought you were with the detective.\Don't tell me that business before was an attempt to help me, was it?!\I hate the Defeated Detective!\Is there a room above this one?\This whole floor is President Kanou's home.\How did you know?!\Who are you?\Terada Ryouko response:	Metro Police Department SP
context: Don't tell me that business before was an attempt to help me, was it?!\I hate the Defeated Detective!\Is there a room above this one?\This whole floor is President Kanou's home.\How did you know?!\Who are you?\Terada Ryouko\Metro Police Department SP response:	Miss Kaishou!
context: I hate the Defeated Detective!\Is there a room above this one?\This whole floor is President Kanou's home.\How did you know?!\Who are you?\Terada Ryouko\Metro Police Department SP\Miss Kaishou! response:	Um, you didn't have to go to the trouble of having the SP guard me...
context: Is there a room above this one?\This whole floor is President Kanou's home.\How did you know?!\Who are you?\Terada Ryouko\Metro Police Department SP\Miss Kaishou!\Um, you didn't have to go to the trouble of having the SP guard me... response:	SP?
context: This whole floor is President Kanou's home.\How did you know?!\Who are you?\Terada Ryouko\Metro Police Department SP\Miss Kaishou!\Um, you didn't have to go to the trouble of having the SP guard me...\SP? response:	We can't afford to let anything happen to you, Miss Kaishou.
context: How did you know?!\Who are you?\Terada Ryouko\Metro Police Department SP\Miss Kaishou!\Um, you didn't have to go to the trouble of having the SP guard me...\SP?\We can't afford to let anything happen to you, Miss Kaishou. response:	Please take care of her.
context: Who are you?\Terada Ryouko\Metro Police Department SP\Miss Kaishou!\Um, you didn't have to go to the trouble of having the SP guard me...\SP?\We can't afford to let anything happen to you, Miss Kaishou.\Please take care of her. response:	Now, let's make a toast.
context: Terada Ryouko\Metro Police Department SP\Miss Kaishou!\Um, you didn't have to go to the trouble of having the SP guard me...\SP?\We can't afford to let anything happen to you, Miss Kaishou.\Please take care of her.\Now, let's make a toast. response:	A toast to what?
context: Metro Police Department SP\Miss Kaishou!\Um, you didn't have to go to the trouble of having the SP guard me...\SP?\We can't afford to let anything happen to you, Miss Kaishou.\Please take care of her.\Now, let's make a toast.\A toast to what? response:	Naturally, a toast in the hopes that
context: Miss Kaishou!\Um, you didn't have to go to the trouble of having the SP guard me...\SP?\We can't afford to let anything happen to you, Miss Kaishou.\Please take care of her.\Now, let's make a toast.\A toast to what?\Naturally, a toast in the hopes that response:	the suspicions of you prosecutors are soon dispelled.
context: Um, you didn't have to go to the trouble of having the SP guard me...\SP?\We can't afford to let anything happen to you, Miss Kaishou.\Please take care of her.\Now, let's make a toast.\A toast to what?\Naturally, a toast in the hopes that\the suspicions of you prosecutors are soon dispelled. response:	Miss Kaishou!
context: SP?\We can't afford to let anything happen to you, Miss Kaishou.\Please take care of her.\Now, let's make a toast.\A toast to what?\Naturally, a toast in the hopes that\the suspicions of you prosecutors are soon dispelled.\Miss Kaishou! response:	Are you all right?
context: We can't afford to let anything happen to you, Miss Kaishou.\Please take care of her.\Now, let's make a toast.\A toast to what?\Naturally, a toast in the hopes that\the suspicions of you prosecutors are soon dispelled.\Miss Kaishou!\Are you all right? response:	I-I'm sorry.
context: Please take care of her.\Now, let's make a toast.\A toast to what?\Naturally, a toast in the hopes that\the suspicions of you prosecutors are soon dispelled.\Miss Kaishou!\Are you all right?\I-I'm sorry. response:	Perhaps the alcohol went right to your head...
context: Now, let's make a toast.\A toast to what?\Naturally, a toast in the hopes that\the suspicions of you prosecutors are soon dispelled.\Miss Kaishou!\Are you all right?\I-I'm sorry.\Perhaps the alcohol went right to your head... response:	Miss Kaishou, how do you feel?
context: A toast to what?\Naturally, a toast in the hopes that\the suspicions of you prosecutors are soon dispelled.\Miss Kaishou!\Are you all right?\I-I'm sorry.\Perhaps the alcohol went right to your head...\Miss Kaishou, how do you feel? response:	I'm fine now, Madam.
context: Naturally, a toast in the hopes that\the suspicions of you prosecutors are soon dispelled.\Miss Kaishou!\Are you all right?\I-I'm sorry.\Perhaps the alcohol went right to your head...\Miss Kaishou, how do you feel?\I'm fine now, Madam. response:	Everyone, there is something that I, Kanou Nobuzane,
context: the suspicions of you prosecutors are soon dispelled.\Miss Kaishou!\Are you all right?\I-I'm sorry.\Perhaps the alcohol went right to your head...\Miss Kaishou, how do you feel?\I'm fine now, Madam.\Everyone, there is something that I, Kanou Nobuzane, response:	would like to say regarding the suspicions that are directed at me.
context: Miss Kaishou!\Are you all right?\I-I'm sorry.\Perhaps the alcohol went right to your head...\Miss Kaishou, how do you feel?\I'm fine now, Madam.\Everyone, there is something that I, Kanou Nobuzane,\would like to say regarding the suspicions that are directed at me. response:	Does he mean to insist upon his innocence before a large crowd?
context: Are you all right?\I-I'm sorry.\Perhaps the alcohol went right to your head...\Miss Kaishou, how do you feel?\I'm fine now, Madam.\Everyone, there is something that I, Kanou Nobuzane,\would like to say regarding the suspicions that are directed at me.\Does he mean to insist upon his innocence before a large crowd? response:	That's being a poor loser!
context: I-I'm sorry.\Perhaps the alcohol went right to your head...\Miss Kaishou, how do you feel?\I'm fine now, Madam.\Everyone, there is something that I, Kanou Nobuzane,\would like to say regarding the suspicions that are directed at me.\Does he mean to insist upon his innocence before a large crowd?\That's being a poor loser! response:	Madam?!
context: Perhaps the alcohol went right to your head...\Miss Kaishou, how do you feel?\I'm fine now, Madam.\Everyone, there is something that I, Kanou Nobuzane,\would like to say regarding the suspicions that are directed at me.\Does he mean to insist upon his innocence before a large crowd?\That's being a poor loser!\Madam?! response:	It sounds like something's happened!
context: Miss Kaishou, how do you feel?\I'm fine now, Madam.\Everyone, there is something that I, Kanou Nobuzane,\would like to say regarding the suspicions that are directed at me.\Does he mean to insist upon his innocence before a large crowd?\That's being a poor loser!\Madam?!\It sounds like something's happened! response:	I'm Hayami, with Metro Police.
context: I'm fine now, Madam.\Everyone, there is something that I, Kanou Nobuzane,\would like to say regarding the suspicions that are directed at me.\Does he mean to insist upon his innocence before a large crowd?\That's being a poor loser!\Madam?!\It sounds like something's happened!\I'm Hayami, with Metro Police. response:	The crime squad will be here soon, so preserve the scene...
context: Everyone, there is something that I, Kanou Nobuzane,\would like to say regarding the suspicions that are directed at me.\Does he mean to insist upon his innocence before a large crowd?\That's being a poor loser!\Madam?!\It sounds like something's happened!\I'm Hayami, with Metro Police.\The crime squad will be here soon, so preserve the scene... response:	Hayami Seigen
context: would like to say regarding the suspicions that are directed at me.\Does he mean to insist upon his innocence before a large crowd?\That's being a poor loser!\Madam?!\It sounds like something's happened!\I'm Hayami, with Metro Police.\The crime squad will be here soon, so preserve the scene...\Hayami Seigen response:	Director of the Security Bureau, Metropolitan Police Dept.
context: Does he mean to insist upon his innocence before a large crowd?\That's being a poor loser!\Madam?!\It sounds like something's happened!\I'm Hayami, with Metro Police.\The crime squad will be here soon, so preserve the scene...\Hayami Seigen\Director of the Security Bureau, Metropolitan Police Dept. response:	We in the Joint Coordinating Dept. are allowed to use our own judgment
context: That's being a poor loser!\Madam?!\It sounds like something's happened!\I'm Hayami, with Metro Police.\The crime squad will be here soon, so preserve the scene...\Hayami Seigen\Director of the Security Bureau, Metropolitan Police Dept.\We in the Joint Coordinating Dept. are allowed to use our own judgment response:	on whether to launch an investigation.
context: Madam?!\It sounds like something's happened!\I'm Hayami, with Metro Police.\The crime squad will be here soon, so preserve the scene...\Hayami Seigen\Director of the Security Bureau, Metropolitan Police Dept.\We in the Joint Coordinating Dept. are allowed to use our own judgment\on whether to launch an investigation. response:	The criminal is in this hall!
context: It sounds like something's happened!\I'm Hayami, with Metro Police.\The crime squad will be here soon, so preserve the scene...\Hayami Seigen\Director of the Security Bureau, Metropolitan Police Dept.\We in the Joint Coordinating Dept. are allowed to use our own judgment\on whether to launch an investigation.\The criminal is in this hall! response:	The person who murdered Kanou Nobuzane!
context: I'm Hayami, with Metro Police.\The crime squad will be here soon, so preserve the scene...\Hayami Seigen\Director of the Security Bureau, Metropolitan Police Dept.\We in the Joint Coordinating Dept. are allowed to use our own judgment\on whether to launch an investigation.\The criminal is in this hall!\The person who murdered Kanou Nobuzane! response:	The issue may be not who did it, but rather why...
context: The crime squad will be here soon, so preserve the scene...\Hayami Seigen\Director of the Security Bureau, Metropolitan Police Dept.\We in the Joint Coordinating Dept. are allowed to use our own judgment\on whether to launch an investigation.\The criminal is in this hall!\The person who murdered Kanou Nobuzane!\The issue may be not who did it, but rather why... response:	Darling!
context: Hayami Seigen\Director of the Security Bureau, Metropolitan Police Dept.\We in the Joint Coordinating Dept. are allowed to use our own judgment\on whether to launch an investigation.\The criminal is in this hall!\The person who murdered Kanou Nobuzane!\The issue may be not who did it, but rather why...\Darling! response:	Representative Kanda! Member Ono!
context: Director of the Security Bureau, Metropolitan Police Dept.\We in the Joint Coordinating Dept. are allowed to use our own judgment\on whether to launch an investigation.\The criminal is in this hall!\The person who murdered Kanou Nobuzane!\The issue may be not who did it, but rather why...\Darling!\Representative Kanda! Member Ono! response:	What is it?
context: We in the Joint Coordinating Dept. are allowed to use our own judgment\on whether to launch an investigation.\The criminal is in this hall!\The person who murdered Kanou Nobuzane!\The issue may be not who did it, but rather why...\Darling!\Representative Kanda! Member Ono!\What is it? response:	Where were you two when the lights went out?
