context: Great, great, Issei! Push it, push it, Issei! One more time! response:	Karasuno Wakunan
context: All right!\Yamaguchi!\Nice serve.\What the heck is that serve? That was awesome.\Yamaguchi-kun!\Yamaguchi!\One more!\Bring it! response:	Got it!
context: Yamaguchi!\Nice serve.\What the heck is that serve? That was awesome.\Yamaguchi-kun!\Yamaguchi!\One more!\Bring it!\Got it! response:	You catch jump floats
context: Nice serve.\What the heck is that serve? That was awesome.\Yamaguchi-kun!\Yamaguchi!\One more!\Bring it!\Got it!\You catch jump floats response:	with an over-handed hit!
context: What the heck is that serve? That was awesome.\Yamaguchi-kun!\Yamaguchi!\One more!\Bring it!\Got it!\You catch jump floats\with an over-handed hit! response:	Makki, nice.
context: Yamaguchi-kun!\Yamaguchi!\One more!\Bring it!\Got it!\You catch jump floats\with an over-handed hit!\Makki, nice. response:	He picked it up! They're going to attack.
context: Yamaguchi!\One more!\Bring it!\Got it!\You catch jump floats\with an over-handed hit!\Makki, nice.\He picked it up! They're going to attack. response:	This fear when you change from being the hunter to becoming the hunted...
context: One more!\Bring it!\Got it!\You catch jump floats\with an over-handed hit!\Makki, nice.\He picked it up! They're going to attack.\This fear when you change from being the hunter to becoming the hunted... response:	Iwaizumi!
context: Bring it!\Got it!\You catch jump floats\with an over-handed hit!\Makki, nice.\He picked it up! They're going to attack.\This fear when you change from being the hunter to becoming the hunted...\Iwaizumi! response:	He received it with his body?!
context: Got it!\You catch jump floats\with an over-handed hit!\Makki, nice.\He picked it up! They're going to attack.\This fear when you change from being the hunter to becoming the hunted...\Iwaizumi!\He received it with his body?! response:	Not yet... Not yet.
context: You catch jump floats\with an over-handed hit!\Makki, nice.\He picked it up! They're going to attack.\This fear when you change from being the hunter to becoming the hunted...\Iwaizumi!\He received it with his body?!\Not yet... Not yet. response:	I'm not going to let you serve just yet!
context: with an over-handed hit!\Makki, nice.\He picked it up! They're going to attack.\This fear when you change from being the hunter to becoming the hunted...\Iwaizumi!\He received it with his body?!\Not yet... Not yet.\I'm not going to let you serve just yet! response:	Cover!
context: Makki, nice.\He picked it up! They're going to attack.\This fear when you change from being the hunter to becoming the hunted...\Iwaizumi!\He received it with his body?!\Not yet... Not yet.\I'm not going to let you serve just yet!\Cover! response:	Thanks, Kageyama...
context: He picked it up! They're going to attack.\This fear when you change from being the hunter to becoming the hunted...\Iwaizumi!\He received it with his body?!\Not yet... Not yet.\I'm not going to let you serve just yet!\Cover!\Thanks, Kageyama... response:	Tsukishima, get the last!
context: This fear when you change from being the hunter to becoming the hunted...\Iwaizumi!\He received it with his body?!\Not yet... Not yet.\I'm not going to let you serve just yet!\Cover!\Thanks, Kageyama...\Tsukishima, get the last! response:	All right!
context: Iwaizumi!\He received it with his body?!\Not yet... Not yet.\I'm not going to let you serve just yet!\Cover!\Thanks, Kageyama...\Tsukishima, get the last!\All right! response:	Tsukki...
context: He received it with his body?!\Not yet... Not yet.\I'm not going to let you serve just yet!\Cover!\Thanks, Kageyama...\Tsukishima, get the last!\All right!\Tsukki... response:	A wipe!
context: Not yet... Not yet.\I'm not going to let you serve just yet!\Cover!\Thanks, Kageyama...\Tsukishima, get the last!\All right!\Tsukki...\A wipe! response:	They used that block really well.
context: I'm not going to let you serve just yet!\Cover!\Thanks, Kageyama...\Tsukishima, get the last!\All right!\Tsukki...\A wipe!\They used that block really well. response:	Tsukishima!
context: Cover!\Thanks, Kageyama...\Tsukishima, get the last!\All right!\Tsukki...\A wipe!\They used that block really well.\Tsukishima! response:	Aoba Johsai Karasuno
context: Thanks, Kageyama...\Tsukishima, get the last!\All right!\Tsukki...\A wipe!\They used that block really well.\Tsukishima!\Aoba Johsai Karasuno response:	Now they've gotten three consecutive points.
context: Tsukishima, get the last!\All right!\Tsukki...\A wipe!\They used that block really well.\Tsukishima!\Aoba Johsai Karasuno\Now they've gotten three consecutive points. response:	One more.
context: All right!\Tsukki...\A wipe!\They used that block really well.\Tsukishima!\Aoba Johsai Karasuno\Now they've gotten three consecutive points.\One more. response:	Yeah!
context: Tsukki...\A wipe!\They used that block really well.\Tsukishima!\Aoba Johsai Karasuno\Now they've gotten three consecutive points.\One more.\Yeah! response:	Oh? Seijoh's taking a time out.
context: A wipe!\They used that block really well.\Tsukishima!\Aoba Johsai Karasuno\Now they've gotten three consecutive points.\One more.\Yeah!\Oh? Seijoh's taking a time out. response:	They're physically stopping the momentum.
context: They used that block really well.\Tsukishima!\Aoba Johsai Karasuno\Now they've gotten three consecutive points.\One more.\Yeah!\Oh? Seijoh's taking a time out.\They're physically stopping the momentum. response:	All right!
context: Tsukishima!\Aoba Johsai Karasuno\Now they've gotten three consecutive points.\One more.\Yeah!\Oh? Seijoh's taking a time out.\They're physically stopping the momentum.\All right! response:	Making Seijoh take a time out is amazing, Yamaguchi!
context: Aoba Johsai Karasuno\Now they've gotten three consecutive points.\One more.\Yeah!\Oh? Seijoh's taking a time out.\They're physically stopping the momentum.\All right!\Making Seijoh take a time out is amazing, Yamaguchi! response:	Yamaguchi!
context: Now they've gotten three consecutive points.\One more.\Yeah!\Oh? Seijoh's taking a time out.\They're physically stopping the momentum.\All right!\Making Seijoh take a time out is amazing, Yamaguchi!\Yamaguchi! response:	Th-Thank you...
context: One more.\Yeah!\Oh? Seijoh's taking a time out.\They're physically stopping the momentum.\All right!\Making Seijoh take a time out is amazing, Yamaguchi!\Yamaguchi!\Th-Thank you... response:	That 12... made a really bold receive.
context: Yeah!\Oh? Seijoh's taking a time out.\They're physically stopping the momentum.\All right!\Making Seijoh take a time out is amazing, Yamaguchi!\Yamaguchi!\Th-Thank you...\That 12... made a really bold receive. response:	That was just luck, though.
context: Oh? Seijoh's taking a time out.\They're physically stopping the momentum.\All right!\Making Seijoh take a time out is amazing, Yamaguchi!\Yamaguchi!\Th-Thank you...\That 12... made a really bold receive.\That was just luck, though. response:	Wow...
context: They're physically stopping the momentum.\All right!\Making Seijoh take a time out is amazing, Yamaguchi!\Yamaguchi!\Th-Thank you...\That 12... made a really bold receive.\That was just luck, though.\Wow... response:	It hurts a lot...
context: All right!\Making Seijoh take a time out is amazing, Yamaguchi!\Yamaguchi!\Th-Thank you...\That 12... made a really bold receive.\That was just luck, though.\Wow...\It hurts a lot... response:	All right! Let's win this!
context: Making Seijoh take a time out is amazing, Yamaguchi!\Yamaguchi!\Th-Thank you...\That 12... made a really bold receive.\That was just luck, though.\Wow...\It hurts a lot...\All right! Let's win this! response:	Keep it up!
context: Yamaguchi!\Th-Thank you...\That 12... made a really bold receive.\That was just luck, though.\Wow...\It hurts a lot...\All right! Let's win this!\Keep it up! response:	I want to be able to control my body like the other guys!
context: Th-Thank you...\That 12... made a really bold receive.\That was just luck, though.\Wow...\It hurts a lot...\All right! Let's win this!\Keep it up!\I want to be able to control my body like the other guys! response:	I want to be able to control the ball!
context: That 12... made a really bold receive.\That was just luck, though.\Wow...\It hurts a lot...\All right! Let's win this!\Keep it up!\I want to be able to control my body like the other guys!\I want to be able to control the ball! response:	I want to fight head-on with strong opponents!
context: That was just luck, though.\Wow...\It hurts a lot...\All right! Let's win this!\Keep it up!\I want to be able to control my body like the other guys!\I want to be able to control the ball!\I want to fight head-on with strong opponents! response:	All right!
context: Wow...\It hurts a lot...\All right! Let's win this!\Keep it up!\I want to be able to control my body like the other guys!\I want to be able to control the ball!\I want to fight head-on with strong opponents!\All right! response:	Yamaguchi!
context: It hurts a lot...\All right! Let's win this!\Keep it up!\I want to be able to control my body like the other guys!\I want to be able to control the ball!\I want to fight head-on with strong opponents!\All right!\Yamaguchi! response:	One more!
context: All right! Let's win this!\Keep it up!\I want to be able to control my body like the other guys!\I want to be able to control the ball!\I want to fight head-on with strong opponents!\All right!\Yamaguchi!\One more! response:	Keep your eye on the ball!
context: Keep it up!\I want to be able to control my body like the other guys!\I want to be able to control the ball!\I want to fight head-on with strong opponents!\All right!\Yamaguchi!\One more!\Keep your eye on the ball! response:	Right!
context: I want to be able to control my body like the other guys!\I want to be able to control the ball!\I want to fight head-on with strong opponents!\All right!\Yamaguchi!\One more!\Keep your eye on the ball!\Right! response:	Listen up, Tadashi.
context: I want to be able to control the ball!\I want to fight head-on with strong opponents!\All right!\Yamaguchi!\One more!\Keep your eye on the ball!\Right!\Listen up, Tadashi. response:	You can't give them the chance to take the ball.
context: I want to fight head-on with strong opponents!\All right!\Yamaguchi!\One more!\Keep your eye on the ball!\Right!\Listen up, Tadashi.\You can't give them the chance to take the ball. response:	Aim straight through, as close as you can get to the white...
context: All right!\Yamaguchi!\One more!\Keep your eye on the ball!\Right!\Listen up, Tadashi.\You can't give them the chance to take the ball.\Aim straight through, as close as you can get to the white... response:	my serve.
context: Yamaguchi!\One more!\Keep your eye on the ball!\Right!\Listen up, Tadashi.\You can't give them the chance to take the ball.\Aim straight through, as close as you can get to the white...\my serve. response:	The chance I received is just one service chance.
context: One more!\Keep your eye on the ball!\Right!\Listen up, Tadashi.\You can't give them the chance to take the ball.\Aim straight through, as close as you can get to the white...\my serve.\The chance I received is just one service chance. response:	I'm going to fight putting my pride and the flow of the game into that shot.
context: Keep your eye on the ball!\Right!\Listen up, Tadashi.\You can't give them the chance to take the ball.\Aim straight through, as close as you can get to the white...\my serve.\The chance I received is just one service chance.\I'm going to fight putting my pride and the flow of the game into that shot. response:	I am...
context: Right!\Listen up, Tadashi.\You can't give them the chance to take the ball.\Aim straight through, as close as you can get to the white...\my serve.\The chance I received is just one service chance.\I'm going to fight putting my pride and the flow of the game into that shot.\I am... response:	a pinch server.
context: Listen up, Tadashi.\You can't give them the chance to take the ball.\Aim straight through, as close as you can get to the white...\my serve.\The chance I received is just one service chance.\I'm going to fight putting my pride and the flow of the game into that shot.\I am...\a pinch server. response:	It's in!
context: You can't give them the chance to take the ball.\Aim straight through, as close as you can get to the white...\my serve.\The chance I received is just one service chance.\I'm going to fight putting my pride and the flow of the game into that shot.\I am...\a pinch server.\It's in! response:	Is luck on our side now?
context: Aim straight through, as close as you can get to the white...\my serve.\The chance I received is just one service chance.\I'm going to fight putting my pride and the flow of the game into that shot.\I am...\a pinch server.\It's in!\Is luck on our side now? response:	No, it's not just that.
context: my serve.\The chance I received is just one service chance.\I'm going to fight putting my pride and the flow of the game into that shot.\I am...\a pinch server.\It's in!\Is luck on our side now?\No, it's not just that. response:	Now...
context: The chance I received is just one service chance.\I'm going to fight putting my pride and the flow of the game into that shot.\I am...\a pinch server.\It's in!\Is luck on our side now?\No, it's not just that.\Now... response:	Aoba Johsai Karasuno
context: I'm going to fight putting my pride and the flow of the game into that shot.\I am...\a pinch server.\It's in!\Is luck on our side now?\No, it's not just that.\Now...\Aoba Johsai Karasuno response:	We're tied.
context: I am...\a pinch server.\It's in!\Is luck on our side now?\No, it's not just that.\Now...\Aoba Johsai Karasuno\We're tied. response:	Haikyu!!
context: a pinch server.\It's in!\Is luck on our side now?\No, it's not just that.\Now...\Aoba Johsai Karasuno\We're tied.\Haikyu!! response:	Haikyu!!
context: It's in!\Is luck on our side now?\No, it's not just that.\Now...\Aoba Johsai Karasuno\We're tied.\Haikyu!!\Haikyu!! response:	Aoba Johsai Karasuno
context: Is luck on our side now?\No, it's not just that.\Now...\Aoba Johsai Karasuno\We're tied.\Haikyu!!\Haikyu!!\Aoba Johsai Karasuno response:	Now they're tied!
context: No, it's not just that.\Now...\Aoba Johsai Karasuno\We're tied.\Haikyu!!\Haikyu!!\Aoba Johsai Karasuno\Now they're tied! response:	Karasuno caught up!
context: Now...\Aoba Johsai Karasuno\We're tied.\Haikyu!!\Haikyu!!\Aoba Johsai Karasuno\Now they're tied!\Karasuno caught up! response:	Yamaguchi!
context: Aoba Johsai Karasuno\We're tied.\Haikyu!!\Haikyu!!\Aoba Johsai Karasuno\Now they're tied!\Karasuno caught up!\Yamaguchi! response:	That same net drop happened during the Wakunan match, too, right?
context: We're tied.\Haikyu!!\Haikyu!!\Aoba Johsai Karasuno\Now they're tied!\Karasuno caught up!\Yamaguchi!\That same net drop happened during the Wakunan match, too, right? response:	Tadashi's a lucky boy!
context: Haikyu!!\Haikyu!!\Aoba Johsai Karasuno\Now they're tied!\Karasuno caught up!\Yamaguchi!\That same net drop happened during the Wakunan match, too, right?\Tadashi's a lucky boy! response:	Yup, yup!
context: Haikyu!!\Aoba Johsai Karasuno\Now they're tied!\Karasuno caught up!\Yamaguchi!\That same net drop happened during the Wakunan match, too, right?\Tadashi's a lucky boy!\Yup, yup! response:	It might be a net drop,
context: Aoba Johsai Karasuno\Now they're tied!\Karasuno caught up!\Yamaguchi!\That same net drop happened during the Wakunan match, too, right?\Tadashi's a lucky boy!\Yup, yup!\It might be a net drop, response:	but it's completely different from the one during the Wakunan match.
context: Now they're tied!\Karasuno caught up!\Yamaguchi!\That same net drop happened during the Wakunan match, too, right?\Tadashi's a lucky boy!\Yup, yup!\It might be a net drop,\but it's completely different from the one during the Wakunan match. response:	During the Wakunan match,
context: Karasuno caught up!\Yamaguchi!\That same net drop happened during the Wakunan match, too, right?\Tadashi's a lucky boy!\Yup, yup!\It might be a net drop,\but it's completely different from the one during the Wakunan match.\During the Wakunan match, response:	Yamagauchi, one more!
context: Yamaguchi!\That same net drop happened during the Wakunan match, too, right?\Tadashi's a lucky boy!\Yup, yup!\It might be a net drop,\but it's completely different from the one during the Wakunan match.\During the Wakunan match,\Yamagauchi, one more! response:	Tadashi was thinking about whether or not the ball would go in.
context: That same net drop happened during the Wakunan match, too, right?\Tadashi's a lucky boy!\Yup, yup!\It might be a net drop,\but it's completely different from the one during the Wakunan match.\During the Wakunan match,\Yamagauchi, one more!\Tadashi was thinking about whether or not the ball would go in. response:	Yamaguchi, nice serve!
context: Tadashi's a lucky boy!\Yup, yup!\It might be a net drop,\but it's completely different from the one during the Wakunan match.\During the Wakunan match,\Yamagauchi, one more!\Tadashi was thinking about whether or not the ball would go in.\Yamaguchi, nice serve! response:	Right now, he's thinking about
context: Yup, yup!\It might be a net drop,\but it's completely different from the one during the Wakunan match.\During the Wakunan match,\Yamagauchi, one more!\Tadashi was thinking about whether or not the ball would go in.\Yamaguchi, nice serve!\Right now, he's thinking about response:	where he's going to serve it.
context: It might be a net drop,\but it's completely different from the one during the Wakunan match.\During the Wakunan match,\Yamagauchi, one more!\Tadashi was thinking about whether or not the ball would go in.\Yamaguchi, nice serve!\Right now, he's thinking about\where he's going to serve it. response:	This net drop was a result of switching to offense.
context: but it's completely different from the one during the Wakunan match.\During the Wakunan match,\Yamagauchi, one more!\Tadashi was thinking about whether or not the ball would go in.\Yamaguchi, nice serve!\Right now, he's thinking about\where he's going to serve it.\This net drop was a result of switching to offense. response:	How awesome, Tadashi!
context: During the Wakunan match,\Yamagauchi, one more!\Tadashi was thinking about whether or not the ball would go in.\Yamaguchi, nice serve!\Right now, he's thinking about\where he's going to serve it.\This net drop was a result of switching to offense.\How awesome, Tadashi! response:	Though I'm sure he's entirely comfortable with that.
context: Yamagauchi, one more!\Tadashi was thinking about whether or not the ball would go in.\Yamaguchi, nice serve!\Right now, he's thinking about\where he's going to serve it.\This net drop was a result of switching to offense.\How awesome, Tadashi!\Though I'm sure he's entirely comfortable with that. response:	One more, Yamaguchi!
context: Tadashi was thinking about whether or not the ball would go in.\Yamaguchi, nice serve!\Right now, he's thinking about\where he's going to serve it.\This net drop was a result of switching to offense.\How awesome, Tadashi!\Though I'm sure he's entirely comfortable with that.\One more, Yamaguchi! response:	The serve toss keeps getting really low.
context: Yamaguchi, nice serve!\Right now, he's thinking about\where he's going to serve it.\This net drop was a result of switching to offense.\How awesome, Tadashi!\Though I'm sure he's entirely comfortable with that.\One more, Yamaguchi!\The serve toss keeps getting really low. response:	Right!
context: Right now, he's thinking about\where he's going to serve it.\This net drop was a result of switching to offense.\How awesome, Tadashi!\Though I'm sure he's entirely comfortable with that.\One more, Yamaguchi!\The serve toss keeps getting really low.\Right! response:	Let's calm down, now.
context: where he's going to serve it.\This net drop was a result of switching to offense.\How awesome, Tadashi!\Though I'm sure he's entirely comfortable with that.\One more, Yamaguchi!\The serve toss keeps getting really low.\Right!\Let's calm down, now. response:	I am calm.
context: This net drop was a result of switching to offense.\How awesome, Tadashi!\Though I'm sure he's entirely comfortable with that.\One more, Yamaguchi!\The serve toss keeps getting really low.\Right!\Let's calm down, now.\I am calm. response:	That one couldn't be helped.
context: How awesome, Tadashi!\Though I'm sure he's entirely comfortable with that.\One more, Yamaguchi!\The serve toss keeps getting really low.\Right!\Let's calm down, now.\I am calm.\That one couldn't be helped. response:	We'll get the next one.
context: Though I'm sure he's entirely comfortable with that.\One more, Yamaguchi!\The serve toss keeps getting really low.\Right!\Let's calm down, now.\I am calm.\That one couldn't be helped.\We'll get the next one. response:	That's it, you guys!
context: One more, Yamaguchi!\The serve toss keeps getting really low.\Right!\Let's calm down, now.\I am calm.\That one couldn't be helped.\We'll get the next one.\That's it, you guys! response:	You guys are too great. It makes your captain sad.
context: The serve toss keeps getting really low.\Right!\Let's calm down, now.\I am calm.\That one couldn't be helped.\We'll get the next one.\That's it, you guys!\You guys are too great. It makes your captain sad. response:	It's got a loose spin!
context: Right!\Let's calm down, now.\I am calm.\That one couldn't be helped.\We'll get the next one.\That's it, you guys!\You guys are too great. It makes your captain sad.\It's got a loose spin! response:	It's not changing direction!
context: Let's calm down, now.\I am calm.\That one couldn't be helped.\We'll get the next one.\That's it, you guys!\You guys are too great. It makes your captain sad.\It's got a loose spin!\It's not changing direction! response:	Got it!
context: I am calm.\That one couldn't be helped.\We'll get the next one.\That's it, you guys!\You guys are too great. It makes your captain sad.\It's got a loose spin!\It's not changing direction!\Got it! response:	Nice receive!
context: That one couldn't be helped.\We'll get the next one.\That's it, you guys!\You guys are too great. It makes your captain sad.\It's got a loose spin!\It's not changing direction!\Got it!\Nice receive! response:	One-touch!
context: We'll get the next one.\That's it, you guys!\You guys are too great. It makes your captain sad.\It's got a loose spin!\It's not changing direction!\Got it!\Nice receive!\One-touch! response:	Nice one-touch!
context: That's it, you guys!\You guys are too great. It makes your captain sad.\It's got a loose spin!\It's not changing direction!\Got it!\Nice receive!\One-touch!\Nice one-touch! response:	Azumane-san!
context: You guys are too great. It makes your captain sad.\It's got a loose spin!\It's not changing direction!\Got it!\Nice receive!\One-touch!\Nice one-touch!\Azumane-san! response:	Nice, Kageyama!
context: It's got a loose spin!\It's not changing direction!\Got it!\Nice receive!\One-touch!\Nice one-touch!\Azumane-san!\Nice, Kageyama! response:	Three blockers!
context: It's not changing direction!\Got it!\Nice receive!\One-touch!\Nice one-touch!\Azumane-san!\Nice, Kageyama!\Three blockers! response:	And a very high block...
context: Got it!\Nice receive!\One-touch!\Nice one-touch!\Azumane-san!\Nice, Kageyama!\Three blockers!\And a very high block... response:	Back!
context: Nice receive!\One-touch!\Nice one-touch!\Azumane-san!\Nice, Kageyama!\Three blockers!\And a very high block...\Back! response:	Out!
context: One-touch!\Nice one-touch!\Azumane-san!\Nice, Kageyama!\Three blockers!\And a very high block...\Back!\Out! response:	All right!
context: Nice one-touch!\Azumane-san!\Nice, Kageyama!\Three blockers!\And a very high block...\Back!\Out!\All right! response:	Tanaka, nice call!
context: Azumane-san!\Nice, Kageyama!\Three blockers!\And a very high block...\Back!\Out!\All right!\Tanaka, nice call! response:	H-Hey, seriously?
context: Nice, Kageyama!\Three blockers!\And a very high block...\Back!\Out!\All right!\Tanaka, nice call!\H-Hey, seriously? response:	They...
context: Three blockers!\And a very high block...\Back!\Out!\All right!\Tanaka, nice call!\H-Hey, seriously?\They... response:	Aoba Johsai Karasuno
context: And a very high block...\Back!\Out!\All right!\Tanaka, nice call!\H-Hey, seriously?\They...\Aoba Johsai Karasuno response:	Karasuno's at match point!
context: Back!\Out!\All right!\Tanaka, nice call!\H-Hey, seriously?\They...\Aoba Johsai Karasuno\Karasuno's at match point! response:	One more! Nice serve!
context: Out!\All right!\Tanaka, nice call!\H-Hey, seriously?\They...\Aoba Johsai Karasuno\Karasuno's at match point!\One more! Nice serve! response:	Yamaguchi-kun...
context: All right!\Tanaka, nice call!\H-Hey, seriously?\They...\Aoba Johsai Karasuno\Karasuno's at match point!\One more! Nice serve!\Yamaguchi-kun... response:	Just one more point...
context: Tanaka, nice call!\H-Hey, seriously?\They...\Aoba Johsai Karasuno\Karasuno's at match point!\One more! Nice serve!\Yamaguchi-kun...\Just one more point... response:	Just one more point and we win!
context: H-Hey, seriously?\They...\Aoba Johsai Karasuno\Karasuno's at match point!\One more! Nice serve!\Yamaguchi-kun...\Just one more point...\Just one more point and we win! response:	Get it in! Please, get it in!
context: They...\Aoba Johsai Karasuno\Karasuno's at match point!\One more! Nice serve!\Yamaguchi-kun...\Just one more point...\Just one more point and we win!\Get it in! Please, get it in! response:	Tadashi!
context: Aoba Johsai Karasuno\Karasuno's at match point!\One more! Nice serve!\Yamaguchi-kun...\Just one more point...\Just one more point and we win!\Get it in! Please, get it in!\Tadashi! response:	Yamaguchi! Just one more!
context: Karasuno's at match point!\One more! Nice serve!\Yamaguchi-kun...\Just one more point...\Just one more point and we win!\Get it in! Please, get it in!\Tadashi!\Yamaguchi! Just one more! response:	Get it in there!
context: One more! Nice serve!\Yamaguchi-kun...\Just one more point...\Just one more point and we win!\Get it in! Please, get it in!\Tadashi!\Yamaguchi! Just one more!\Get it in there! response:	Feels good...
context: Yamaguchi-kun...\Just one more point...\Just one more point and we win!\Get it in! Please, get it in!\Tadashi!\Yamaguchi! Just one more!\Get it in there!\Feels good... response:	I'll get it!
context: Just one more point...\Just one more point and we win!\Get it in! Please, get it in!\Tadashi!\Yamaguchi! Just one more!\Get it in there!\Feels good...\I'll get it! response:	Damn it, they're good.
context: Just one more point and we win!\Get it in! Please, get it in!\Tadashi!\Yamaguchi! Just one more!\Get it in there!\Feels good...\I'll get it!\Damn it, they're good. response:	Nice, Watacchi!
context: Get it in! Please, get it in!\Tadashi!\Yamaguchi! Just one more!\Get it in there!\Feels good...\I'll get it!\Damn it, they're good.\Nice, Watacchi! response:	Stop it!
context: Tadashi!\Yamaguchi! Just one more!\Get it in there!\Feels good...\I'll get it!\Damn it, they're good.\Nice, Watacchi!\Stop it! response:	Stop it, please!
context: Yamaguchi! Just one more!\Get it in there!\Feels good...\I'll get it!\Damn it, they're good.\Nice, Watacchi!\Stop it!\Stop it, please! response:	All right!
context: Get it in there!\Feels good...\I'll get it!\Damn it, they're good.\Nice, Watacchi!\Stop it!\Stop it, please!\All right! response:	Nice kill!
context: Feels good...\I'll get it!\Damn it, they're good.\Nice, Watacchi!\Stop it!\Stop it, please!\All right!\Nice kill! response:	Great, great, Hajime! Push it, push it, Hajime! One more time!
context: I'll get it!\Damn it, they're good.\Nice, Watacchi!\Stop it!\Stop it, please!\All right!\Nice kill!\Great, great, Hajime! Push it, push it, Hajime! One more time! response:	We finally cut it off...
context: Damn it, they're good.\Nice, Watacchi!\Stop it!\Stop it, please!\All right!\Nice kill!\Great, great, Hajime! Push it, push it, Hajime! One more time!\We finally cut it off... response:	How many points did he get, anyway?
context: Nice, Watacchi!\Stop it!\Stop it, please!\All right!\Nice kill!\Great, great, Hajime! Push it, push it, Hajime! One more time!\We finally cut it off...\How many points did he get, anyway? response:	That was magnificent!
context: Stop it!\Stop it, please!\All right!\Nice kill!\Great, great, Hajime! Push it, push it, Hajime! One more time!\We finally cut it off...\How many points did he get, anyway?\That was magnificent! response:	Good job!
context: Stop it, please!\All right!\Nice kill!\Great, great, Hajime! Push it, push it, Hajime! One more time!\We finally cut it off...\How many points did he get, anyway?\That was magnificent!\Good job! response:	Thank you.
context: All right!\Nice kill!\Great, great, Hajime! Push it, push it, Hajime! One more time!\We finally cut it off...\How many points did he get, anyway?\That was magnificent!\Good job!\Thank you. response:	You did great, Yamaguchi!
context: Nice kill!\Great, great, Hajime! Push it, push it, Hajime! One more time!\We finally cut it off...\How many points did he get, anyway?\That was magnificent!\Good job!\Thank you.\You did great, Yamaguchi! response:	All right!
context: Great, great, Hajime! Push it, push it, Hajime! One more time!\We finally cut it off...\How many points did he get, anyway?\That was magnificent!\Good job!\Thank you.\You did great, Yamaguchi!\All right! response:	Thanks!
context: We finally cut it off...\How many points did he get, anyway?\That was magnificent!\Good job!\Thank you.\You did great, Yamaguchi!\All right!\Thanks! response:	That was awesome!
context: How many points did he get, anyway?\That was magnificent!\Good job!\Thank you.\You did great, Yamaguchi!\All right!\Thanks!\That was awesome! response:	Concentrate on the one!
context: That was magnificent!\Good job!\Thank you.\You did great, Yamaguchi!\All right!\Thanks!\That was awesome!\Concentrate on the one! response:	Next time,
context: Good job!\Thank you.\You did great, Yamaguchi!\All right!\Thanks!\That was awesome!\Concentrate on the one!\Next time, response:	I'll get 10 points.
context: Thank you.\You did great, Yamaguchi!\All right!\Thanks!\That was awesome!\Concentrate on the one!\Next time,\I'll get 10 points. response:	I'm not gonna lose!
context: You did great, Yamaguchi!\All right!\Thanks!\That was awesome!\Concentrate on the one!\Next time,\I'll get 10 points.\I'm not gonna lose! response:	Hanamaki, nice serve!
context: All right!\Thanks!\That was awesome!\Concentrate on the one!\Next time,\I'll get 10 points.\I'm not gonna lose!\Hanamaki, nice serve! response:	The chance that Yamaguchi gave us...
context: Thanks!\That was awesome!\Concentrate on the one!\Next time,\I'll get 10 points.\I'm not gonna lose!\Hanamaki, nice serve!\The chance that Yamaguchi gave us... response:	Daichi-san!
context: That was awesome!\Concentrate on the one!\Next time,\I'll get 10 points.\I'm not gonna lose!\Hanamaki, nice serve!\The chance that Yamaguchi gave us...\Daichi-san! response:	We're not gonna let it go to waste!
context: Concentrate on the one!\Next time,\I'll get 10 points.\I'm not gonna lose!\Hanamaki, nice serve!\The chance that Yamaguchi gave us...\Daichi-san!\We're not gonna let it go to waste! response:	All right!
context: Next time,\I'll get 10 points.\I'm not gonna lose!\Hanamaki, nice serve!\The chance that Yamaguchi gave us...\Daichi-san!\We're not gonna let it go to waste!\All right! response:	Nice, Azumane!
context: I'll get 10 points.\I'm not gonna lose!\Hanamaki, nice serve!\The chance that Yamaguchi gave us...\Daichi-san!\We're not gonna let it go to waste!\All right!\Nice, Azumane! response:	They're there again!
context: I'm not gonna lose!\Hanamaki, nice serve!\The chance that Yamaguchi gave us...\Daichi-san!\We're not gonna let it go to waste!\All right!\Nice, Azumane!\They're there again! response:	Match point!
context: Hanamaki, nice serve!\The chance that Yamaguchi gave us...\Daichi-san!\We're not gonna let it go to waste!\All right!\Nice, Azumane!\They're there again!\Match point! response:	Go!
context: The chance that Yamaguchi gave us...\Daichi-san!\We're not gonna let it go to waste!\All right!\Nice, Azumane!\They're there again!\Match point!\Go! response:	All right!
context: Daichi-san!\We're not gonna let it go to waste!\All right!\Nice, Azumane!\They're there again!\Match point!\Go!\All right! response:	They got it back so easily.
context: We're not gonna let it go to waste!\All right!\Nice, Azumane!\They're there again!\Match point!\Go!\All right!\They got it back so easily. response:	They managed a quick even though they're being cornered right now.
context: All right!\Nice, Azumane!\They're there again!\Match point!\Go!\All right!\They got it back so easily.\They managed a quick even though they're being cornered right now. response:	Not to mention, right up front.
context: Nice, Azumane!\They're there again!\Match point!\Go!\All right!\They got it back so easily.\They managed a quick even though they're being cornered right now.\Not to mention, right up front. response:	If it were me, I'd be relying on the ace.
context: They're there again!\Match point!\Go!\All right!\They got it back so easily.\They managed a quick even though they're being cornered right now.\Not to mention, right up front.\If it were me, I'd be relying on the ace. response:	Yeah!
context: Match point!\Go!\All right!\They got it back so easily.\They managed a quick even though they're being cornered right now.\Not to mention, right up front.\If it were me, I'd be relying on the ace.\Yeah! response:	Aoba Johsai Karasuno
context: Go!\All right!\They got it back so easily.\They managed a quick even though they're being cornered right now.\Not to mention, right up front.\If it were me, I'd be relying on the ace.\Yeah!\Aoba Johsai Karasuno response:	Nice receive!
