context: I'm going to return to the hometown we lost. response:	That's all I care about now.
context: Annie!\Surrender!\I surrender!\Surrender? Try to learn something first before you surrender.\Learn how to use your strength and the proper way to speak to women!\All right! I promise I'll learn, so let go already!\Yeah? Do you want to learn that badly?\Why the hell did Reiner come flying this way? response:	Hey, Annie.
context: Surrender!\I surrender!\Surrender? Try to learn something first before you surrender.\Learn how to use your strength and the proper way to speak to women!\All right! I promise I'll learn, so let go already!\Yeah? Do you want to learn that badly?\Why the hell did Reiner come flying this way?\Hey, Annie. response:	I wanna learn that move, too.
context: I surrender!\Surrender? Try to learn something first before you surrender.\Learn how to use your strength and the proper way to speak to women!\All right! I promise I'll learn, so let go already!\Yeah? Do you want to learn that badly?\Why the hell did Reiner come flying this way?\Hey, Annie.\I wanna learn that move, too. response:	Show me.
context: Surrender? Try to learn something first before you surrender.\Learn how to use your strength and the proper way to speak to women!\All right! I promise I'll learn, so let go already!\Yeah? Do you want to learn that badly?\Why the hell did Reiner come flying this way?\Hey, Annie.\I wanna learn that move, too.\Show me. response:	I don't know...
context: Learn how to use your strength and the proper way to speak to women!\All right! I promise I'll learn, so let go already!\Yeah? Do you want to learn that badly?\Why the hell did Reiner come flying this way?\Hey, Annie.\I wanna learn that move, too.\Show me.\I don't know... response:	That move is meant to be used against humans, so I don't think you have any use for it.
context: All right! I promise I'll learn, so let go already!\Yeah? Do you want to learn that badly?\Why the hell did Reiner come flying this way?\Hey, Annie.\I wanna learn that move, too.\Show me.\I don't know...\That move is meant to be used against humans, so I don't think you have any use for it. response:	But... I'm interested to see if it works...
context: Yeah? Do you want to learn that badly?\Why the hell did Reiner come flying this way?\Hey, Annie.\I wanna learn that move, too.\Show me.\I don't know...\That move is meant to be used against humans, so I don't think you have any use for it.\But... I'm interested to see if it works... response:	Are you serious? It's happening...
context: Why the hell did Reiner come flying this way?\Hey, Annie.\I wanna learn that move, too.\Show me.\I don't know...\That move is meant to be used against humans, so I don't think you have any use for it.\But... I'm interested to see if it works...\Are you serious? It's happening... response:	Hey, hey!
context: Hey, Annie.\I wanna learn that move, too.\Show me.\I don't know...\That move is meant to be used against humans, so I don't think you have any use for it.\But... I'm interested to see if it works...\Are you serious? It's happening...\Hey, hey! response:	Are they going at it?
context: I wanna learn that move, too.\Show me.\I don't know...\That move is meant to be used against humans, so I don't think you have any use for it.\But... I'm interested to see if it works...\Are you serious? It's happening...\Hey, hey!\Are they going at it? response:	It's the big showdown!
context: Show me.\I don't know...\That move is meant to be used against humans, so I don't think you have any use for it.\But... I'm interested to see if it works...\Are you serious? It's happening...\Hey, hey!\Are they going at it?\It's the big showdown! response:	-Who'll win?!
context: I don't know...\That move is meant to be used against humans, so I don't think you have any use for it.\But... I'm interested to see if it works...\Are you serious? It's happening...\Hey, hey!\Are they going at it?\It's the big showdown!\-Who'll win?! response:	-Annie, you think? -Who'll win?!
context: That move is meant to be used against humans, so I don't think you have any use for it.\But... I'm interested to see if it works...\Are you serious? It's happening...\Hey, hey!\Are they going at it?\It's the big showdown!\-Who'll win?!\-Annie, you think? -Who'll win?! response:	Huh? Are you stupid?!
context: But... I'm interested to see if it works...\Are you serious? It's happening...\Hey, hey!\Are they going at it?\It's the big showdown!\-Who'll win?!\-Annie, you think? -Who'll win?!\Huh? Are you stupid?! response:	I bet my whole dinner on Mikasa!
context: Are you serious? It's happening...\Hey, hey!\Are they going at it?\It's the big showdown!\-Who'll win?!\-Annie, you think? -Who'll win?!\Huh? Are you stupid?!\I bet my whole dinner on Mikasa! response:	What do you think, Eren?
context: Hey, hey!\Are they going at it?\It's the big showdown!\-Who'll win?!\-Annie, you think? -Who'll win?!\Huh? Are you stupid?!\I bet my whole dinner on Mikasa!\What do you think, Eren? response:	Which one, I wonder?
context: Are they going at it?\It's the big showdown!\-Who'll win?!\-Annie, you think? -Who'll win?!\Huh? Are you stupid?!\I bet my whole dinner on Mikasa!\What do you think, Eren?\Which one, I wonder? response:	Huh?
context: It's the big showdown!\-Who'll win?!\-Annie, you think? -Who'll win?!\Huh? Are you stupid?!\I bet my whole dinner on Mikasa!\What do you think, Eren?\Which one, I wonder?\Huh? response:	How did that turn out in the end?
context: -Who'll win?!\-Annie, you think? -Who'll win?!\Huh? Are you stupid?!\I bet my whole dinner on Mikasa!\What do you think, Eren?\Which one, I wonder?\Huh?\How did that turn out in the end? response:	No... Why am I remembering it now?
context: -Annie, you think? -Who'll win?!\Huh? Are you stupid?!\I bet my whole dinner on Mikasa!\What do you think, Eren?\Which one, I wonder?\Huh?\How did that turn out in the end?\No... Why am I remembering it now? response:	Is this what they call having your life flash before your eyes?
context: Huh? Are you stupid?!\I bet my whole dinner on Mikasa!\What do you think, Eren?\Which one, I wonder?\Huh?\How did that turn out in the end?\No... Why am I remembering it now?\Is this what they call having your life flash before your eyes? response:	Actually, who gives a shit anymore?
context: I bet my whole dinner on Mikasa!\What do you think, Eren?\Which one, I wonder?\Huh?\How did that turn out in the end?\No... Why am I remembering it now?\Is this what they call having your life flash before your eyes?\Actually, who gives a shit anymore? response:	I don't think I've felt... this awful in my whole life.
context: What do you think, Eren?\Which one, I wonder?\Huh?\How did that turn out in the end?\No... Why am I remembering it now?\Is this what they call having your life flash before your eyes?\Actually, who gives a shit anymore?\I don't think I've felt... this awful in my whole life. response:	Eren!
context: Which one, I wonder?\Huh?\How did that turn out in the end?\No... Why am I remembering it now?\Is this what they call having your life flash before your eyes?\Actually, who gives a shit anymore?\I don't think I've felt... this awful in my whole life.\Eren! response:	Don't do it! You can't win in a slugfest!
context: Huh?\How did that turn out in the end?\No... Why am I remembering it now?\Is this what they call having your life flash before your eyes?\Actually, who gives a shit anymore?\I don't think I've felt... this awful in my whole life.\Eren!\Don't do it! You can't win in a slugfest! response:	Run this way!
context: How did that turn out in the end?\No... Why am I remembering it now?\Is this what they call having your life flash before your eyes?\Actually, who gives a shit anymore?\I don't think I've felt... this awful in my whole life.\Eren!\Don't do it! You can't win in a slugfest!\Run this way! response:	Eren! Don't try to fight him!
context: No... Why am I remembering it now?\Is this what they call having your life flash before your eyes?\Actually, who gives a shit anymore?\I don't think I've felt... this awful in my whole life.\Eren!\Don't do it! You can't win in a slugfest!\Run this way!\Eren! Don't try to fight him! response:	Eren!
context: Is this what they call having your life flash before your eyes?\Actually, who gives a shit anymore?\I don't think I've felt... this awful in my whole life.\Eren!\Don't do it! You can't win in a slugfest!\Run this way!\Eren! Don't try to fight him!\Eren! response:	This is bad!
context: Actually, who gives a shit anymore?\I don't think I've felt... this awful in my whole life.\Eren!\Don't do it! You can't win in a slugfest!\Run this way!\Eren! Don't try to fight him!\Eren!\This is bad! response:	Did he lose control?!
context: I don't think I've felt... this awful in my whole life.\Eren!\Don't do it! You can't win in a slugfest!\Run this way!\Eren! Don't try to fight him!\Eren!\This is bad!\Did he lose control?! response:	He threw the Armored Titan!
context: Eren!\Don't do it! You can't win in a slugfest!\Run this way!\Eren! Don't try to fight him!\Eren!\This is bad!\Did he lose control?!\He threw the Armored Titan! response:	Wait... Isn't that...
context: Don't do it! You can't win in a slugfest!\Run this way!\Eren! Don't try to fight him!\Eren!\This is bad!\Did he lose control?!\He threw the Armored Titan!\Wait... Isn't that... response:	I don't know what the hell you guys are trying to accomplish by doing all this, but...
context: Run this way!\Eren! Don't try to fight him!\Eren!\This is bad!\Did he lose control?!\He threw the Armored Titan!\Wait... Isn't that...\I don't know what the hell you guys are trying to accomplish by doing all this, but... response:	Now that I think of it, your plan has been full of flaws from the start!
context: Eren! Don't try to fight him!\Eren!\This is bad!\Did he lose control?!\He threw the Armored Titan!\Wait... Isn't that...\I don't know what the hell you guys are trying to accomplish by doing all this, but...\Now that I think of it, your plan has been full of flaws from the start! response:	Your biggest mistake was this!
context: Eren!\This is bad!\Did he lose control?!\He threw the Armored Titan!\Wait... Isn't that...\I don't know what the hell you guys are trying to accomplish by doing all this, but...\Now that I think of it, your plan has been full of flaws from the start!\Your biggest mistake was this! response:	You should've thought twice about teaching me how to fight!
context: This is bad!\Did he lose control?!\He threw the Armored Titan!\Wait... Isn't that...\I don't know what the hell you guys are trying to accomplish by doing all this, but...\Now that I think of it, your plan has been full of flaws from the start!\Your biggest mistake was this!\You should've thought twice about teaching me how to fight! response:	It's working! I've got him now!
context: Did he lose control?!\He threw the Armored Titan!\Wait... Isn't that...\I don't know what the hell you guys are trying to accomplish by doing all this, but...\Now that I think of it, your plan has been full of flaws from the start!\Your biggest mistake was this!\You should've thought twice about teaching me how to fight!\It's working! I've got him now! response:	I still have a chance!
context: He threw the Armored Titan!\Wait... Isn't that...\I don't know what the hell you guys are trying to accomplish by doing all this, but...\Now that I think of it, your plan has been full of flaws from the start!\Your biggest mistake was this!\You should've thought twice about teaching me how to fight!\It's working! I've got him now!\I still have a chance! response:	Think again!
context: Wait... Isn't that...\I don't know what the hell you guys are trying to accomplish by doing all this, but...\Now that I think of it, your plan has been full of flaws from the start!\Your biggest mistake was this!\You should've thought twice about teaching me how to fight!\It's working! I've got him now!\I still have a chance!\Think again! response:	Eren!
context: I don't know what the hell you guys are trying to accomplish by doing all this, but...\Now that I think of it, your plan has been full of flaws from the start!\Your biggest mistake was this!\You should've thought twice about teaching me how to fight!\It's working! I've got him now!\I still have a chance!\Think again!\Eren! response:	You're not getting away from this!
context: Now that I think of it, your plan has been full of flaws from the start!\Your biggest mistake was this!\You should've thought twice about teaching me how to fight!\It's working! I've got him now!\I still have a chance!\Think again!\Eren!\You're not getting away from this! response:	He did it!
context: Your biggest mistake was this!\You should've thought twice about teaching me how to fight!\It's working! I've got him now!\I still have a chance!\Think again!\Eren!\You're not getting away from this!\He did it! response:	Eren! Can you hear me?!
context: You should've thought twice about teaching me how to fight!\It's working! I've got him now!\I still have a chance!\Think again!\Eren!\You're not getting away from this!\He did it!\Eren! Can you hear me?! response:	Run away! Get closer to the wall!
context: It's working! I've got him now!\I still have a chance!\Think again!\Eren!\You're not getting away from this!\He did it!\Eren! Can you hear me?!\Run away! Get closer to the wall! response:	Their goal is to kidnap and take you away!
context: I still have a chance!\Think again!\Eren!\You're not getting away from this!\He did it!\Eren! Can you hear me?!\Run away! Get closer to the wall!\Their goal is to kidnap and take you away! response:	We've gotta escape and prevent that from happening!
context: Think again!\Eren!\You're not getting away from this!\He did it!\Eren! Can you hear me?!\Run away! Get closer to the wall!\Their goal is to kidnap and take you away!\We've gotta escape and prevent that from happening! response:	But, Armin, Reiner isn't going to let us do as we please!
context: Eren!\You're not getting away from this!\He did it!\Eren! Can you hear me?!\Run away! Get closer to the wall!\Their goal is to kidnap and take you away!\We've gotta escape and prevent that from happening!\But, Armin, Reiner isn't going to let us do as we please! response:	It's dangerous here! Get back, you two!
context: You're not getting away from this!\He did it!\Eren! Can you hear me?!\Run away! Get closer to the wall!\Their goal is to kidnap and take you away!\We've gotta escape and prevent that from happening!\But, Armin, Reiner isn't going to let us do as we please!\It's dangerous here! Get back, you two! response:	Huh?
context: He did it!\Eren! Can you hear me?!\Run away! Get closer to the wall!\Their goal is to kidnap and take you away!\We've gotta escape and prevent that from happening!\But, Armin, Reiner isn't going to let us do as we please!\It's dangerous here! Get back, you two!\Huh? response:	Nice, Eren! Good call!
context: Eren! Can you hear me?!\Run away! Get closer to the wall!\Their goal is to kidnap and take you away!\We've gotta escape and prevent that from happening!\But, Armin, Reiner isn't going to let us do as we please!\It's dangerous here! Get back, you two!\Huh?\Nice, Eren! Good call! response:	He's back in control again.
context: Run away! Get closer to the wall!\Their goal is to kidnap and take you away!\We've gotta escape and prevent that from happening!\But, Armin, Reiner isn't going to let us do as we please!\It's dangerous here! Get back, you two!\Huh?\Nice, Eren! Good call!\He's back in control again. response:	Yeah, but like you were saying,
context: Their goal is to kidnap and take you away!\We've gotta escape and prevent that from happening!\But, Armin, Reiner isn't going to let us do as we please!\It's dangerous here! Get back, you two!\Huh?\Nice, Eren! Good call!\He's back in control again.\Yeah, but like you were saying, response:	it'll be almost impossible to escape Reiner.
context: We've gotta escape and prevent that from happening!\But, Armin, Reiner isn't going to let us do as we please!\It's dangerous here! Get back, you two!\Huh?\Nice, Eren! Good call!\He's back in control again.\Yeah, but like you were saying,\it'll be almost impossible to escape Reiner. response:	What the hell?
context: But, Armin, Reiner isn't going to let us do as we please!\It's dangerous here! Get back, you two!\Huh?\Nice, Eren! Good call!\He's back in control again.\Yeah, but like you were saying,\it'll be almost impossible to escape Reiner.\What the hell? response:	I knew it... The Colossal Titan. Why did that bastard show up here?!
context: It's dangerous here! Get back, you two!\Huh?\Nice, Eren! Good call!\He's back in control again.\Yeah, but like you were saying,\it'll be almost impossible to escape Reiner.\What the hell?\I knew it... The Colossal Titan. Why did that bastard show up here?! response:	Where's Eren?
context: Huh?\Nice, Eren! Good call!\He's back in control again.\Yeah, but like you were saying,\it'll be almost impossible to escape Reiner.\What the hell?\I knew it... The Colossal Titan. Why did that bastard show up here?!\Where's Eren? response:	What's the situation?
context: Nice, Eren! Good call!\He's back in control again.\Yeah, but like you were saying,\it'll be almost impossible to escape Reiner.\What the hell?\I knew it... The Colossal Titan. Why did that bastard show up here?!\Where's Eren?\What's the situation? response:	Eren and the others are that way!
context: He's back in control again.\Yeah, but like you were saying,\it'll be almost impossible to escape Reiner.\What the hell?\I knew it... The Colossal Titan. Why did that bastard show up here?!\Where's Eren?\What's the situation?\Eren and the others are that way! response:	Eren?!
context: Yeah, but like you were saying,\it'll be almost impossible to escape Reiner.\What the hell?\I knew it... The Colossal Titan. Why did that bastard show up here?!\Where's Eren?\What's the situation?\Eren and the others are that way!\Eren?! response:	Is that Eren's Titan form?
context: it'll be almost impossible to escape Reiner.\What the hell?\I knew it... The Colossal Titan. Why did that bastard show up here?!\Where's Eren?\What's the situation?\Eren and the others are that way!\Eren?!\Is that Eren's Titan form? response:	Listen up, Eren.
context: What the hell?\I knew it... The Colossal Titan. Why did that bastard show up here?!\Where's Eren?\What's the situation?\Eren and the others are that way!\Eren?!\Is that Eren's Titan form?\Listen up, Eren. response:	If you're gonna escape, we've got to find a way to halt Reiner
context: I knew it... The Colossal Titan. Why did that bastard show up here?!\Where's Eren?\What's the situation?\Eren and the others are that way!\Eren?!\Is that Eren's Titan form?\Listen up, Eren.\If you're gonna escape, we've got to find a way to halt Reiner response:	and buy you some time!
context: Where's Eren?\What's the situation?\Eren and the others are that way!\Eren?!\Is that Eren's Titan form?\Listen up, Eren.\If you're gonna escape, we've got to find a way to halt Reiner\and buy you some time! response:	Can you break his leg with another one of those joint locks?
context: What's the situation?\Eren and the others are that way!\Eren?!\Is that Eren's Titan form?\Listen up, Eren.\If you're gonna escape, we've got to find a way to halt Reiner\and buy you some time!\Can you break his leg with another one of those joint locks? response:	Our blades don't seem to work on him,
context: Eren and the others are that way!\Eren?!\Is that Eren's Titan form?\Listen up, Eren.\If you're gonna escape, we've got to find a way to halt Reiner\and buy you some time!\Can you break his leg with another one of those joint locks?\Our blades don't seem to work on him, response:	so use your head and figure out the best course of action!
context: Eren?!\Is that Eren's Titan form?\Listen up, Eren.\If you're gonna escape, we've got to find a way to halt Reiner\and buy you some time!\Can you break his leg with another one of those joint locks?\Our blades don't seem to work on him,\so use your head and figure out the best course of action! response:	Mikasa!
context: Is that Eren's Titan form?\Listen up, Eren.\If you're gonna escape, we've got to find a way to halt Reiner\and buy you some time!\Can you break his leg with another one of those joint locks?\Our blades don't seem to work on him,\so use your head and figure out the best course of action!\Mikasa! response:	Use these. It's the rest of my blades.
context: Listen up, Eren.\If you're gonna escape, we've got to find a way to halt Reiner\and buy you some time!\Can you break his leg with another one of those joint locks?\Our blades don't seem to work on him,\so use your head and figure out the best course of action!\Mikasa!\Use these. It's the rest of my blades. response:	I'm counting on you!
context: If you're gonna escape, we've got to find a way to halt Reiner\and buy you some time!\Can you break his leg with another one of those joint locks?\Our blades don't seem to work on him,\so use your head and figure out the best course of action!\Mikasa!\Use these. It's the rest of my blades.\I'm counting on you! response:	This time, running away is a guaranteed victory.
context: and buy you some time!\Can you break his leg with another one of those joint locks?\Our blades don't seem to work on him,\so use your head and figure out the best course of action!\Mikasa!\Use these. It's the rest of my blades.\I'm counting on you!\This time, running away is a guaranteed victory. response:	It's you guys that are screwed for revealing what you are.
context: Can you break his leg with another one of those joint locks?\Our blades don't seem to work on him,\so use your head and figure out the best course of action!\Mikasa!\Use these. It's the rest of my blades.\I'm counting on you!\This time, running away is a guaranteed victory.\It's you guys that are screwed for revealing what you are. response:	You're the ones backed into a corner.
context: Our blades don't seem to work on him,\so use your head and figure out the best course of action!\Mikasa!\Use these. It's the rest of my blades.\I'm counting on you!\This time, running away is a guaranteed victory.\It's you guys that are screwed for revealing what you are.\You're the ones backed into a corner. response:	He's fast!
context: so use your head and figure out the best course of action!\Mikasa!\Use these. It's the rest of my blades.\I'm counting on you!\This time, running away is a guaranteed victory.\It's you guys that are screwed for revealing what you are.\You're the ones backed into a corner.\He's fast! response:	Shit!
context: Mikasa!\Use these. It's the rest of my blades.\I'm counting on you!\This time, running away is a guaranteed victory.\It's you guys that are screwed for revealing what you are.\You're the ones backed into a corner.\He's fast!\Shit! response:	Leg! His leg!
context: Use these. It's the rest of my blades.\I'm counting on you!\This time, running away is a guaranteed victory.\It's you guys that are screwed for revealing what you are.\You're the ones backed into a corner.\He's fast!\Shit!\Leg! His leg! response:	Don't stay on the ground! Eren!
context: I'm counting on you!\This time, running away is a guaranteed victory.\It's you guys that are screwed for revealing what you are.\You're the ones backed into a corner.\He's fast!\Shit!\Leg! His leg!\Don't stay on the ground! Eren! response:	Stand up!
context: This time, running away is a guaranteed victory.\It's you guys that are screwed for revealing what you are.\You're the ones backed into a corner.\He's fast!\Shit!\Leg! His leg!\Don't stay on the ground! Eren!\Stand up! response:	Dammit! His tackle is too much to handle!
context: It's you guys that are screwed for revealing what you are.\You're the ones backed into a corner.\He's fast!\Shit!\Leg! His leg!\Don't stay on the ground! Eren!\Stand up!\Dammit! His tackle is too much to handle! response:	Shit... Since when could he move so quick?
context: You're the ones backed into a corner.\He's fast!\Shit!\Leg! His leg!\Don't stay on the ground! Eren!\Stand up!\Dammit! His tackle is too much to handle!\Shit... Since when could he move so quick? response:	Are we completely useless here?!
context: He's fast!\Shit!\Leg! His leg!\Don't stay on the ground! Eren!\Stand up!\Dammit! His tackle is too much to handle!\Shit... Since when could he move so quick?\Are we completely useless here?! response:	No...
context: Shit!\Leg! His leg!\Don't stay on the ground! Eren!\Stand up!\Dammit! His tackle is too much to handle!\Shit... Since when could he move so quick?\Are we completely useless here?!\No... response:	If his entire body was hard like stone, there's no way he could move like that.
context: Leg! His leg!\Don't stay on the ground! Eren!\Stand up!\Dammit! His tackle is too much to handle!\Shit... Since when could he move so quick?\Are we completely useless here?!\No...\If his entire body was hard like stone, there's no way he could move like that. response:	In the armor they used in wars of the past,
context: Don't stay on the ground! Eren!\Stand up!\Dammit! His tackle is too much to handle!\Shit... Since when could he move so quick?\Are we completely useless here?!\No...\If his entire body was hard like stone, there's no way he could move like that.\In the armor they used in wars of the past, response:	it had sections at the joints not covered in metal to allow for movement.
context: Stand up!\Dammit! His tackle is too much to handle!\Shit... Since when could he move so quick?\Are we completely useless here?!\No...\If his entire body was hard like stone, there's no way he could move like that.\In the armor they used in wars of the past,\it had sections at the joints not covered in metal to allow for movement. response:	Like at the armpits and groin...
context: Dammit! His tackle is too much to handle!\Shit... Since when could he move so quick?\Are we completely useless here?!\No...\If his entire body was hard like stone, there's no way he could move like that.\In the armor they used in wars of the past,\it had sections at the joints not covered in metal to allow for movement.\Like at the armpits and groin... response:	And also... the spot behind the knee.
context: Shit... Since when could he move so quick?\Are we completely useless here?!\No...\If his entire body was hard like stone, there's no way he could move like that.\In the armor they used in wars of the past,\it had sections at the joints not covered in metal to allow for movement.\Like at the armpits and groin...\And also... the spot behind the knee. response:	I can't evade it...
context: Are we completely useless here?!\No...\If his entire body was hard like stone, there's no way he could move like that.\In the armor they used in wars of the past,\it had sections at the joints not covered in metal to allow for movement.\Like at the armpits and groin...\And also... the spot behind the knee.\I can't evade it... response:	Since I'll get knocked over anyways...
context: No...\If his entire body was hard like stone, there's no way he could move like that.\In the armor they used in wars of the past,\it had sections at the joints not covered in metal to allow for movement.\Like at the armpits and groin...\And also... the spot behind the knee.\I can't evade it...\Since I'll get knocked over anyways... response:	Bring it!
context: If his entire body was hard like stone, there's no way he could move like that.\In the armor they used in wars of the past,\it had sections at the joints not covered in metal to allow for movement.\Like at the armpits and groin...\And also... the spot behind the knee.\I can't evade it...\Since I'll get knocked over anyways...\Bring it! response:	Gimme that neck!
context: In the armor they used in wars of the past,\it had sections at the joints not covered in metal to allow for movement.\Like at the armpits and groin...\And also... the spot behind the knee.\I can't evade it...\Since I'll get knocked over anyways...\Bring it!\Gimme that neck! response:	You're mine!
context: it had sections at the joints not covered in metal to allow for movement.\Like at the armpits and groin...\And also... the spot behind the knee.\I can't evade it...\Since I'll get knocked over anyways...\Bring it!\Gimme that neck!\You're mine! response:	Yeah! That's it, Eren!
context: Like at the armpits and groin...\And also... the spot behind the knee.\I can't evade it...\Since I'll get knocked over anyways...\Bring it!\Gimme that neck!\You're mine!\Yeah! That's it, Eren! response:	I've got'em! Now it's a battle of strength!
context: And also... the spot behind the knee.\I can't evade it...\Since I'll get knocked over anyways...\Bring it!\Gimme that neck!\You're mine!\Yeah! That's it, Eren!\I've got'em! Now it's a battle of strength! response:	This freak...
context: I can't evade it...\Since I'll get knocked over anyways...\Bring it!\Gimme that neck!\You're mine!\Yeah! That's it, Eren!\I've got'em! Now it's a battle of strength!\This freak... response:	Not enough!
context: Since I'll get knocked over anyways...\Bring it!\Gimme that neck!\You're mine!\Yeah! That's it, Eren!\I've got'em! Now it's a battle of strength!\This freak...\Not enough! response:	Mikasa!
context: Bring it!\Gimme that neck!\You're mine!\Yeah! That's it, Eren!\I've got'em! Now it's a battle of strength!\This freak...\Not enough!\Mikasa! response:	She cut him!
context: Gimme that neck!\You're mine!\Yeah! That's it, Eren!\I've got'em! Now it's a battle of strength!\This freak...\Not enough!\Mikasa!\She cut him! response:	He can't fight back as much anymore!
context: You're mine!\Yeah! That's it, Eren!\I've got'em! Now it's a battle of strength!\This freak...\Not enough!\Mikasa!\She cut him!\He can't fight back as much anymore! response:	You've got this!
context: Yeah! That's it, Eren!\I've got'em! Now it's a battle of strength!\This freak...\Not enough!\Mikasa!\She cut him!\He can't fight back as much anymore!\You've got this! response:	Go for it, Eren!
context: I've got'em! Now it's a battle of strength!\This freak...\Not enough!\Mikasa!\She cut him!\He can't fight back as much anymore!\You've got this!\Go for it, Eren! response:	Tear the head off his neck!
context: This freak...\Not enough!\Mikasa!\She cut him!\He can't fight back as much anymore!\You've got this!\Go for it, Eren!\Tear the head off his neck! response:	Pull the traitor outta there!
context: Not enough!\Mikasa!\She cut him!\He can't fight back as much anymore!\You've got this!\Go for it, Eren!\Tear the head off his neck!\Pull the traitor outta there! response:	I can win!
context: Mikasa!\She cut him!\He can't fight back as much anymore!\You've got this!\Go for it, Eren!\Tear the head off his neck!\Pull the traitor outta there!\I can win! response:	Against Reiner... I can win!
context: She cut him!\He can't fight back as much anymore!\You've got this!\Go for it, Eren!\Tear the head off his neck!\Pull the traitor outta there!\I can win!\Against Reiner... I can win! response:	Wh-What the-?
context: He can't fight back as much anymore!\You've got this!\Go for it, Eren!\Tear the head off his neck!\Pull the traitor outta there!\I can win!\Against Reiner... I can win!\Wh-What the-? response:	Heh, it's useless.
context: You've got this!\Go for it, Eren!\Tear the head off his neck!\Pull the traitor outta there!\I can win!\Against Reiner... I can win!\Wh-What the-?\Heh, it's useless. response:	Keep at it! Don't let up!
context: Go for it, Eren!\Tear the head off his neck!\Pull the traitor outta there!\I can win!\Against Reiner... I can win!\Wh-What the-?\Heh, it's useless.\Keep at it! Don't let up! response:	He stopped...
context: Tear the head off his neck!\Pull the traitor outta there!\I can win!\Against Reiner... I can win!\Wh-What the-?\Heh, it's useless.\Keep at it! Don't let up!\He stopped... response:	But why there?
context: Pull the traitor outta there!\I can win!\Against Reiner... I can win!\Wh-What the-?\Heh, it's useless.\Keep at it! Don't let up!\He stopped...\But why there? response:	Be on your guard!
context: I can win!\Against Reiner... I can win!\Wh-What the-?\Heh, it's useless.\Keep at it! Don't let up!\He stopped...\But why there?\Be on your guard! response:	He's calling in Titans!
context: Against Reiner... I can win!\Wh-What the-?\Heh, it's useless.\Keep at it! Don't let up!\He stopped...\But why there?\Be on your guard!\He's calling in Titans! response:	No other Titans spotted in the area!
context: Wh-What the-?\Heh, it's useless.\Keep at it! Don't let up!\He stopped...\But why there?\Be on your guard!\He's calling in Titans!\No other Titans spotted in the area! response:	What a useless struggle.
context: Heh, it's useless.\Keep at it! Don't let up!\He stopped...\But why there?\Be on your guard!\He's calling in Titans!\No other Titans spotted in the area!\What a useless struggle. response:	Try screaming for help with your head ripped off, you idiot!
context: Keep at it! Don't let up!\He stopped...\But why there?\Be on your guard!\He's calling in Titans!\No other Titans spotted in the area!\What a useless struggle.\Try screaming for help with your head ripped off, you idiot! response:	Look, he's tearing it off!
context: He stopped...\But why there?\Be on your guard!\He's calling in Titans!\No other Titans spotted in the area!\What a useless struggle.\Try screaming for help with your head ripped off, you idiot!\Look, he's tearing it off! response:	What's with the Armored Titan?
context: But why there?\Be on your guard!\He's calling in Titans!\No other Titans spotted in the area!\What a useless struggle.\Try screaming for help with your head ripped off, you idiot!\Look, he's tearing it off!\What's with the Armored Titan? response:	Why'd he scream like that?
context: Be on your guard!\He's calling in Titans!\No other Titans spotted in the area!\What a useless struggle.\Try screaming for help with your head ripped off, you idiot!\Look, he's tearing it off!\What's with the Armored Titan?\Why'd he scream like that? response:	Hey...
context: He's calling in Titans!\No other Titans spotted in the area!\What a useless struggle.\Try screaming for help with your head ripped off, you idiot!\Look, he's tearing it off!\What's with the Armored Titan?\Why'd he scream like that?\Hey... response:	Hey, hey, hey, hey, hey!
context: No other Titans spotted in the area!\What a useless struggle.\Try screaming for help with your head ripped off, you idiot!\Look, he's tearing it off!\What's with the Armored Titan?\Why'd he scream like that?\Hey...\Hey, hey, hey, hey, hey! response:	Above you! Look out!
context: What a useless struggle.\Try screaming for help with your head ripped off, you idiot!\Look, he's tearing it off!\What's with the Armored Titan?\Why'd he scream like that?\Hey...\Hey, hey, hey, hey, hey!\Above you! Look out! response:	The battle between Eren and the Armored Titan comes to an abrupt conclusion.
context: Try screaming for help with your head ripped off, you idiot!\Look, he's tearing it off!\What's with the Armored Titan?\Why'd he scream like that?\Hey...\Hey, hey, hey, hey, hey!\Above you! Look out!\The battle between Eren and the Armored Titan comes to an abrupt conclusion. response:	With its fall from the wall,
context: Look, he's tearing it off!\What's with the Armored Titan?\Why'd he scream like that?\Hey...\Hey, hey, hey, hey, hey!\Above you! Look out!\The battle between Eren and the Armored Titan comes to an abrupt conclusion.\With its fall from the wall, response:	Mikasa is injured by the Colossal Titan and Hannes comes running to her side.
context: What's with the Armored Titan?\Why'd he scream like that?\Hey...\Hey, hey, hey, hey, hey!\Above you! Look out!\The battle between Eren and the Armored Titan comes to an abrupt conclusion.\With its fall from the wall,\Mikasa is injured by the Colossal Titan and Hannes comes running to her side. response:	To protect Eren through his reckless behavior... to stand proudly at his side...
context: Why'd he scream like that?\Hey...\Hey, hey, hey, hey, hey!\Above you! Look out!\The battle between Eren and the Armored Titan comes to an abrupt conclusion.\With its fall from the wall,\Mikasa is injured by the Colossal Titan and Hannes comes running to her side.\To protect Eren through his reckless behavior... to stand proudly at his side... response:	The Hunters
