context: 31st - Gala Concert response:	I thought if I came to the music room, you'd be here...
context: No, on second thought, I'll stand.\You sure are fidgety. Suspicious, much?\I don't like hospitals.\You're gonna be okay, right?\You're not lying about being tested, right?\You're not gonna tell me you're never coming back to school, right?\You're gonna start cussing me out again, right?\We can talk in the music room again, right? response:	You...
context: You sure are fidgety. Suspicious, much?\I don't like hospitals.\You're gonna be okay, right?\You're not lying about being tested, right?\You're not gonna tell me you're never coming back to school, right?\You're gonna start cussing me out again, right?\We can talk in the music room again, right?\You... response:	Watari-kun was just here.
context: I don't like hospitals.\You're gonna be okay, right?\You're not lying about being tested, right?\You're not gonna tell me you're never coming back to school, right?\You're gonna start cussing me out again, right?\We can talk in the music room again, right?\You...\Watari-kun was just here. response:	This is what he brought me.
context: You're gonna be okay, right?\You're not lying about being tested, right?\You're not gonna tell me you're never coming back to school, right?\You're gonna start cussing me out again, right?\We can talk in the music room again, right?\You...\Watari-kun was just here.\This is what he brought me. response:	Watari.
context: You're not lying about being tested, right?\You're not gonna tell me you're never coming back to school, right?\You're gonna start cussing me out again, right?\We can talk in the music room again, right?\You...\Watari-kun was just here.\This is what he brought me.\Watari. response:	I had no idea. I hear you played alone at the gala concert?
context: You're not gonna tell me you're never coming back to school, right?\You're gonna start cussing me out again, right?\We can talk in the music room again, right?\You...\Watari-kun was just here.\This is what he brought me.\Watari.\I had no idea. I hear you played alone at the gala concert? response:	Watari-kun told me about it.
context: You're gonna start cussing me out again, right?\We can talk in the music room again, right?\You...\Watari-kun was just here.\This is what he brought me.\Watari.\I had no idea. I hear you played alone at the gala concert?\Watari-kun told me about it. response:	Uh, yeah...
context: We can talk in the music room again, right?\You...\Watari-kun was just here.\This is what he brought me.\Watari.\I had no idea. I hear you played alone at the gala concert?\Watari-kun told me about it.\Uh, yeah... response:	The accompanist playing a solo? That's unheard of!
context: You...\Watari-kun was just here.\This is what he brought me.\Watari.\I had no idea. I hear you played alone at the gala concert?\Watari-kun told me about it.\Uh, yeah...\The accompanist playing a solo? That's unheard of! response:	What kind of a show-off are you?
context: Watari-kun was just here.\This is what he brought me.\Watari.\I had no idea. I hear you played alone at the gala concert?\Watari-kun told me about it.\Uh, yeah...\The accompanist playing a solo? That's unheard of!\What kind of a show-off are you? response:	It was a gala concert for violinists, so it doesn't make any sense!
context: This is what he brought me.\Watari.\I had no idea. I hear you played alone at the gala concert?\Watari-kun told me about it.\Uh, yeah...\The accompanist playing a solo? That's unheard of!\What kind of a show-off are you?\It was a gala concert for violinists, so it doesn't make any sense! response:	Don't make me laugh! Are you an idiot? My sides are splitting!
context: Watari.\I had no idea. I hear you played alone at the gala concert?\Watari-kun told me about it.\Uh, yeah...\The accompanist playing a solo? That's unheard of!\What kind of a show-off are you?\It was a gala concert for violinists, so it doesn't make any sense!\Don't make me laugh! Are you an idiot? My sides are splitting! response:	Whose fault was it?
context: I had no idea. I hear you played alone at the gala concert?\Watari-kun told me about it.\Uh, yeah...\The accompanist playing a solo? That's unheard of!\What kind of a show-off are you?\It was a gala concert for violinists, so it doesn't make any sense!\Don't make me laugh! Are you an idiot? My sides are splitting!\Whose fault was it? response:	What do you mean? Anyone would've expected you to withdraw.
context: Watari-kun told me about it.\Uh, yeah...\The accompanist playing a solo? That's unheard of!\What kind of a show-off are you?\It was a gala concert for violinists, so it doesn't make any sense!\Don't make me laugh! Are you an idiot? My sides are splitting!\Whose fault was it?\What do you mean? Anyone would've expected you to withdraw. response:	At first... It was because someone insulted you.
context: Uh, yeah...\The accompanist playing a solo? That's unheard of!\What kind of a show-off are you?\It was a gala concert for violinists, so it doesn't make any sense!\Don't make me laugh! Are you an idiot? My sides are splitting!\Whose fault was it?\What do you mean? Anyone would've expected you to withdraw.\At first... It was because someone insulted you. response:	But then midway through, the sound disappeared...
context: The accompanist playing a solo? That's unheard of!\What kind of a show-off are you?\It was a gala concert for violinists, so it doesn't make any sense!\Don't make me laugh! Are you an idiot? My sides are splitting!\Whose fault was it?\What do you mean? Anyone would've expected you to withdraw.\At first... It was because someone insulted you.\But then midway through, the sound disappeared... response:	My mom's words, her gestures, her smell...
context: What kind of a show-off are you?\It was a gala concert for violinists, so it doesn't make any sense!\Don't make me laugh! Are you an idiot? My sides are splitting!\Whose fault was it?\What do you mean? Anyone would've expected you to withdraw.\At first... It was because someone insulted you.\But then midway through, the sound disappeared...\My mom's words, her gestures, her smell... response:	My memories of my mother turned into notes, and flew away into the sky.
context: It was a gala concert for violinists, so it doesn't make any sense!\Don't make me laugh! Are you an idiot? My sides are splitting!\Whose fault was it?\What do you mean? Anyone would've expected you to withdraw.\At first... It was because someone insulted you.\But then midway through, the sound disappeared...\My mom's words, her gestures, her smell...\My memories of my mother turned into notes, and flew away into the sky. response:	I see...
context: Don't make me laugh! Are you an idiot? My sides are splitting!\Whose fault was it?\What do you mean? Anyone would've expected you to withdraw.\At first... It was because someone insulted you.\But then midway through, the sound disappeared...\My mom's words, her gestures, her smell...\My memories of my mother turned into notes, and flew away into the sky.\I see... response:	You're an artist no matter what, aren't you? Kousei Arima...
context: Whose fault was it?\What do you mean? Anyone would've expected you to withdraw.\At first... It was because someone insulted you.\But then midway through, the sound disappeared...\My mom's words, her gestures, her smell...\My memories of my mother turned into notes, and flew away into the sky.\I see...\You're an artist no matter what, aren't you? Kousei Arima... response:	Yeah... Just as I thought...
context: What do you mean? Anyone would've expected you to withdraw.\At first... It was because someone insulted you.\But then midway through, the sound disappeared...\My mom's words, her gestures, her smell...\My memories of my mother turned into notes, and flew away into the sky.\I see...\You're an artist no matter what, aren't you? Kousei Arima...\Yeah... Just as I thought... response:	That song... She chose that song for me.
context: At first... It was because someone insulted you.\But then midway through, the sound disappeared...\My mom's words, her gestures, her smell...\My memories of my mother turned into notes, and flew away into the sky.\I see...\You're an artist no matter what, aren't you? Kousei Arima...\Yeah... Just as I thought...\That song... She chose that song for me. response:	Love's Sorrow. This song reminds me of my mother.
context: But then midway through, the sound disappeared...\My mom's words, her gestures, her smell...\My memories of my mother turned into notes, and flew away into the sky.\I see...\You're an artist no matter what, aren't you? Kousei Arima...\Yeah... Just as I thought...\That song... She chose that song for me.\Love's Sorrow. This song reminds me of my mother. response:	The scent of fabric softener. The sound of the piano as I looked up drowsily.
context: My mom's words, her gestures, her smell...\My memories of my mother turned into notes, and flew away into the sky.\I see...\You're an artist no matter what, aren't you? Kousei Arima...\Yeah... Just as I thought...\That song... She chose that song for me.\Love's Sorrow. This song reminds me of my mother.\The scent of fabric softener. The sound of the piano as I looked up drowsily. response:	A quiet lullaby.
context: My memories of my mother turned into notes, and flew away into the sky.\I see...\You're an artist no matter what, aren't you? Kousei Arima...\Yeah... Just as I thought...\That song... She chose that song for me.\Love's Sorrow. This song reminds me of my mother.\The scent of fabric softener. The sound of the piano as I looked up drowsily.\A quiet lullaby. response:	The smell of antiseptic.
context: I see...\You're an artist no matter what, aren't you? Kousei Arima...\Yeah... Just as I thought...\That song... She chose that song for me.\Love's Sorrow. This song reminds me of my mother.\The scent of fabric softener. The sound of the piano as I looked up drowsily.\A quiet lullaby.\The smell of antiseptic. response:	Footsteps ringing.
context: You're an artist no matter what, aren't you? Kousei Arima...\Yeah... Just as I thought...\That song... She chose that song for me.\Love's Sorrow. This song reminds me of my mother.\The scent of fabric softener. The sound of the piano as I looked up drowsily.\A quiet lullaby.\The smell of antiseptic.\Footsteps ringing. response:	A linoleum floor, cloudy and white.
context: Yeah... Just as I thought...\That song... She chose that song for me.\Love's Sorrow. This song reminds me of my mother.\The scent of fabric softener. The sound of the piano as I looked up drowsily.\A quiet lullaby.\The smell of antiseptic.\Footsteps ringing.\A linoleum floor, cloudy and white. response:	All overlapping with you.
context: That song... She chose that song for me.\Love's Sorrow. This song reminds me of my mother.\The scent of fabric softener. The sound of the piano as I looked up drowsily.\A quiet lullaby.\The smell of antiseptic.\Footsteps ringing.\A linoleum floor, cloudy and white.\All overlapping with you. response:	I wish I could've heard it, your piano.
context: Love's Sorrow. This song reminds me of my mother.\The scent of fabric softener. The sound of the piano as I looked up drowsily.\A quiet lullaby.\The smell of antiseptic.\Footsteps ringing.\A linoleum floor, cloudy and white.\All overlapping with you.\I wish I could've heard it, your piano. response:	You're okay, right?
context: The scent of fabric softener. The sound of the piano as I looked up drowsily.\A quiet lullaby.\The smell of antiseptic.\Footsteps ringing.\A linoleum floor, cloudy and white.\All overlapping with you.\I wish I could've heard it, your piano.\You're okay, right? response:	I wish I could've played with you again.
context: A quiet lullaby.\The smell of antiseptic.\Footsteps ringing.\A linoleum floor, cloudy and white.\All overlapping with you.\I wish I could've heard it, your piano.\You're okay, right?\I wish I could've played with you again. response:	You're gonna be fine, right?
context: The smell of antiseptic.\Footsteps ringing.\A linoleum floor, cloudy and white.\All overlapping with you.\I wish I could've heard it, your piano.\You're okay, right?\I wish I could've played with you again.\You're gonna be fine, right? response:	You're not lying about the tests, right?
context: Footsteps ringing.\A linoleum floor, cloudy and white.\All overlapping with you.\I wish I could've heard it, your piano.\You're okay, right?\I wish I could've played with you again.\You're gonna be fine, right?\You're not lying about the tests, right? response:	You're not gonna tell me you're never coming back to school, right?
context: A linoleum floor, cloudy and white.\All overlapping with you.\I wish I could've heard it, your piano.\You're okay, right?\I wish I could've played with you again.\You're gonna be fine, right?\You're not lying about the tests, right?\You're not gonna tell me you're never coming back to school, right? response:	I can see you again, right?
context: All overlapping with you.\I wish I could've heard it, your piano.\You're okay, right?\I wish I could've played with you again.\You're gonna be fine, right?\You're not lying about the tests, right?\You're not gonna tell me you're never coming back to school, right?\I can see you again, right? response:	That's the second time.
context: I wish I could've heard it, your piano.\You're okay, right?\I wish I could've played with you again.\You're gonna be fine, right?\You're not lying about the tests, right?\You're not gonna tell me you're never coming back to school, right?\I can see you again, right?\That's the second time. response:	What?
context: You're okay, right?\I wish I could've played with you again.\You're gonna be fine, right?\You're not lying about the tests, right?\You're not gonna tell me you're never coming back to school, right?\I can see you again, right?\That's the second time.\What? response:	That you called me by my name.
context: I wish I could've played with you again.\You're gonna be fine, right?\You're not lying about the tests, right?\You're not gonna tell me you're never coming back to school, right?\I can see you again, right?\That's the second time.\What?\That you called me by my name. response:	You...
context: You're gonna be fine, right?\You're not lying about the tests, right?\You're not gonna tell me you're never coming back to school, right?\I can see you again, right?\That's the second time.\What?\That you called me by my name.\You... response:	You won't leave me...
context: You're not lying about the tests, right?\You're not gonna tell me you're never coming back to school, right?\I can see you again, right?\That's the second time.\What?\That you called me by my name.\You...\You won't leave me... response:	The Sumiya Baseball Youth Sports Club special boot camp for sluggers will now begin!
context: You're not gonna tell me you're never coming back to school, right?\I can see you again, right?\That's the second time.\What?\That you called me by my name.\You...\You won't leave me...\The Sumiya Baseball Youth Sports Club special boot camp for sluggers will now begin! response:	Huh?
context: I can see you again, right?\That's the second time.\What?\That you called me by my name.\You...\You won't leave me...\The Sumiya Baseball Youth Sports Club special boot camp for sluggers will now begin!\Huh? response:	I wanna go swimming!
context: That's the second time.\What?\That you called me by my name.\You...\You won't leave me...\The Sumiya Baseball Youth Sports Club special boot camp for sluggers will now begin!\Huh?\I wanna go swimming! response:	I wanna play video games!
context: What?\That you called me by my name.\You...\You won't leave me...\The Sumiya Baseball Youth Sports Club special boot camp for sluggers will now begin!\Huh?\I wanna go swimming!\I wanna play video games! response:	Shut up! Ten sets of ten sprints down the beach! Begin!
context: That you called me by my name.\You...\You won't leave me...\The Sumiya Baseball Youth Sports Club special boot camp for sluggers will now begin!\Huh?\I wanna go swimming!\I wanna play video games!\Shut up! Ten sets of ten sprints down the beach! Begin! response:	But I don't play baseball. So how come?
context: You...\You won't leave me...\The Sumiya Baseball Youth Sports Club special boot camp for sluggers will now begin!\Huh?\I wanna go swimming!\I wanna play video games!\Shut up! Ten sets of ten sprints down the beach! Begin!\But I don't play baseball. So how come? response:	Even people who play the piano need to build up their legs! I think!
context: You won't leave me...\The Sumiya Baseball Youth Sports Club special boot camp for sluggers will now begin!\Huh?\I wanna go swimming!\I wanna play video games!\Shut up! Ten sets of ten sprints down the beach! Begin!\But I don't play baseball. So how come?\Even people who play the piano need to build up their legs! I think! response:	Huh? You said I think!
context: The Sumiya Baseball Youth Sports Club special boot camp for sluggers will now begin!\Huh?\I wanna go swimming!\I wanna play video games!\Shut up! Ten sets of ten sprints down the beach! Begin!\But I don't play baseball. So how come?\Even people who play the piano need to build up their legs! I think!\Huh? You said I think! response:	Tiny footprints.
context: Huh?\I wanna go swimming!\I wanna play video games!\Shut up! Ten sets of ten sprints down the beach! Begin!\But I don't play baseball. So how come?\Even people who play the piano need to build up their legs! I think!\Huh? You said I think!\Tiny footprints. response:	They are not! It's just that your feet are huge.
context: I wanna go swimming!\I wanna play video games!\Shut up! Ten sets of ten sprints down the beach! Begin!\But I don't play baseball. So how come?\Even people who play the piano need to build up their legs! I think!\Huh? You said I think!\Tiny footprints.\They are not! It's just that your feet are huge. response:	What? Is that any way to talk to a maiden?
context: I wanna play video games!\Shut up! Ten sets of ten sprints down the beach! Begin!\But I don't play baseball. So how come?\Even people who play the piano need to build up their legs! I think!\Huh? You said I think!\Tiny footprints.\They are not! It's just that your feet are huge.\What? Is that any way to talk to a maiden? response:	Come back here, you!
context: Shut up! Ten sets of ten sprints down the beach! Begin!\But I don't play baseball. So how come?\Even people who play the piano need to build up their legs! I think!\Huh? You said I think!\Tiny footprints.\They are not! It's just that your feet are huge.\What? Is that any way to talk to a maiden?\Come back here, you! response:	Kousei, let's go to Ouji Park!
context: But I don't play baseball. So how come?\Even people who play the piano need to build up their legs! I think!\Huh? You said I think!\Tiny footprints.\They are not! It's just that your feet are huge.\What? Is that any way to talk to a maiden?\Come back here, you!\Kousei, let's go to Ouji Park! response:	I wish I could, but I've got piano lessons.
context: Even people who play the piano need to build up their legs! I think!\Huh? You said I think!\Tiny footprints.\They are not! It's just that your feet are huge.\What? Is that any way to talk to a maiden?\Come back here, you!\Kousei, let's go to Ouji Park!\I wish I could, but I've got piano lessons. response:	Bah!
context: Huh? You said I think!\Tiny footprints.\They are not! It's just that your feet are huge.\What? Is that any way to talk to a maiden?\Come back here, you!\Kousei, let's go to Ouji Park!\I wish I could, but I've got piano lessons.\Bah! response:	I was gonna show him a mud ball as shiny as a rainbow!
context: Tiny footprints.\They are not! It's just that your feet are huge.\What? Is that any way to talk to a maiden?\Come back here, you!\Kousei, let's go to Ouji Park!\I wish I could, but I've got piano lessons.\Bah!\I was gonna show him a mud ball as shiny as a rainbow! response:	Great job, if I say so myself. It's a masterpiece!
context: They are not! It's just that your feet are huge.\What? Is that any way to talk to a maiden?\Come back here, you!\Kousei, let's go to Ouji Park!\I wish I could, but I've got piano lessons.\Bah!\I was gonna show him a mud ball as shiny as a rainbow!\Great job, if I say so myself. It's a masterpiece! response:	I know! I'll make one for Kousei, too.
context: What? Is that any way to talk to a maiden?\Come back here, you!\Kousei, let's go to Ouji Park!\I wish I could, but I've got piano lessons.\Bah!\I was gonna show him a mud ball as shiny as a rainbow!\Great job, if I say so myself. It's a masterpiece!\I know! I'll make one for Kousei, too. response:	Kousei, let's play catch. I just learned how to throw a sinker.
context: Come back here, you!\Kousei, let's go to Ouji Park!\I wish I could, but I've got piano lessons.\Bah!\I was gonna show him a mud ball as shiny as a rainbow!\Great job, if I say so myself. It's a masterpiece!\I know! I'll make one for Kousei, too.\Kousei, let's play catch. I just learned how to throw a sinker. response:	Kousei-kun's going to be a pianist, so he's busy.
context: Kousei, let's go to Ouji Park!\I wish I could, but I've got piano lessons.\Bah!\I was gonna show him a mud ball as shiny as a rainbow!\Great job, if I say so myself. It's a masterpiece!\I know! I'll make one for Kousei, too.\Kousei, let's play catch. I just learned how to throw a sinker.\Kousei-kun's going to be a pianist, so he's busy. response:	What would he do if he hurt his hands?
context: I wish I could, but I've got piano lessons.\Bah!\I was gonna show him a mud ball as shiny as a rainbow!\Great job, if I say so myself. It's a masterpiece!\I know! I'll make one for Kousei, too.\Kousei, let's play catch. I just learned how to throw a sinker.\Kousei-kun's going to be a pianist, so he's busy.\What would he do if he hurt his hands? response:	Scrub, scrub.
context: Bah!\I was gonna show him a mud ball as shiny as a rainbow!\Great job, if I say so myself. It's a masterpiece!\I know! I'll make one for Kousei, too.\Kousei, let's play catch. I just learned how to throw a sinker.\Kousei-kun's going to be a pianist, so he's busy.\What would he do if he hurt his hands?\Scrub, scrub. response:	Sorry.
context: I was gonna show him a mud ball as shiny as a rainbow!\Great job, if I say so myself. It's a masterpiece!\I know! I'll make one for Kousei, too.\Kousei, let's play catch. I just learned how to throw a sinker.\Kousei-kun's going to be a pianist, so he's busy.\What would he do if he hurt his hands?\Scrub, scrub.\Sorry. response:	Scrub, scrub.
context: Great job, if I say so myself. It's a masterpiece!\I know! I'll make one for Kousei, too.\Kousei, let's play catch. I just learned how to throw a sinker.\Kousei-kun's going to be a pianist, so he's busy.\What would he do if he hurt his hands?\Scrub, scrub.\Sorry.\Scrub, scrub. response:	Scrub, scrub, scrub, scrub.
context: I know! I'll make one for Kousei, too.\Kousei, let's play catch. I just learned how to throw a sinker.\Kousei-kun's going to be a pianist, so he's busy.\What would he do if he hurt his hands?\Scrub, scrub.\Sorry.\Scrub, scrub.\Scrub, scrub, scrub, scrub. response:	I hear Arima-kun's skipping school
context: Kousei, let's play catch. I just learned how to throw a sinker.\Kousei-kun's going to be a pianist, so he's busy.\What would he do if he hurt his hands?\Scrub, scrub.\Sorry.\Scrub, scrub.\Scrub, scrub, scrub, scrub.\I hear Arima-kun's skipping school response:	to practice the piano, because he's got a competition coming up.
context: Kousei-kun's going to be a pianist, so he's busy.\What would he do if he hurt his hands?\Scrub, scrub.\Sorry.\Scrub, scrub.\Scrub, scrub, scrub, scrub.\I hear Arima-kun's skipping school\to practice the piano, because he's got a competition coming up. response:	No fair!
context: What would he do if he hurt his hands?\Scrub, scrub.\Sorry.\Scrub, scrub.\Scrub, scrub, scrub, scrub.\I hear Arima-kun's skipping school\to practice the piano, because he's got a competition coming up.\No fair! response:	Three, two...
context: Scrub, scrub.\Sorry.\Scrub, scrub.\Scrub, scrub, scrub, scrub.\I hear Arima-kun's skipping school\to practice the piano, because he's got a competition coming up.\No fair!\Three, two... response:	O Vreneli, where is your home?
context: Sorry.\Scrub, scrub.\Scrub, scrub, scrub, scrub.\I hear Arima-kun's skipping school\to practice the piano, because he's got a competition coming up.\No fair!\Three, two...\O Vreneli, where is your home? response:	My home is in Switzerland
context: Scrub, scrub.\Scrub, scrub, scrub, scrub.\I hear Arima-kun's skipping school\to practice the piano, because he's got a competition coming up.\No fair!\Three, two...\O Vreneli, where is your home?\My home is in Switzerland response:	It is by the beautiful lake
context: Scrub, scrub, scrub, scrub.\I hear Arima-kun's skipping school\to practice the piano, because he's got a competition coming up.\No fair!\Three, two...\O Vreneli, where is your home?\My home is in Switzerland\It is by the beautiful lake response:	I hate music!
context: I hear Arima-kun's skipping school\to practice the piano, because he's got a competition coming up.\No fair!\Three, two...\O Vreneli, where is your home?\My home is in Switzerland\It is by the beautiful lake\I hate music! response:	Are you practicing hard?
context: to practice the piano, because he's got a competition coming up.\No fair!\Three, two...\O Vreneli, where is your home?\My home is in Switzerland\It is by the beautiful lake\I hate music!\Are you practicing hard? response:	You're slacking off because I'm not watching you, aren't you?
context: No fair!\Three, two...\O Vreneli, where is your home?\My home is in Switzerland\It is by the beautiful lake\I hate music!\Are you practicing hard?\You're slacking off because I'm not watching you, aren't you? response:	You don't have to tell me to practice! Every single day, both Hanon and Czerny!
context: Three, two...\O Vreneli, where is your home?\My home is in Switzerland\It is by the beautiful lake\I hate music!\Are you practicing hard?\You're slacking off because I'm not watching you, aren't you?\You don't have to tell me to practice! Every single day, both Hanon and Czerny! response:	That's not nearly enough! Practice Chopin, too!
context: O Vreneli, where is your home?\My home is in Switzerland\It is by the beautiful lake\I hate music!\Are you practicing hard?\You're slacking off because I'm not watching you, aren't you?\You don't have to tell me to practice! Every single day, both Hanon and Czerny!\That's not nearly enough! Practice Chopin, too! response:	When am I supposed to sleep?
context: My home is in Switzerland\It is by the beautiful lake\I hate music!\Are you practicing hard?\You're slacking off because I'm not watching you, aren't you?\You don't have to tell me to practice! Every single day, both Hanon and Czerny!\That's not nearly enough! Practice Chopin, too!\When am I supposed to sleep? response:	Practice Liszt, too!
context: It is by the beautiful lake\I hate music!\Are you practicing hard?\You're slacking off because I'm not watching you, aren't you?\You don't have to tell me to practice! Every single day, both Hanon and Czerny!\That's not nearly enough! Practice Chopin, too!\When am I supposed to sleep?\Practice Liszt, too! response:	I don't know what this is about, but calm down...
context: I hate music!\Are you practicing hard?\You're slacking off because I'm not watching you, aren't you?\You don't have to tell me to practice! Every single day, both Hanon and Czerny!\That's not nearly enough! Practice Chopin, too!\When am I supposed to sleep?\Practice Liszt, too!\I don't know what this is about, but calm down... response:	Don't talk about stuff we don't understand.
context: Are you practicing hard?\You're slacking off because I'm not watching you, aren't you?\You don't have to tell me to practice! Every single day, both Hanon and Czerny!\That's not nearly enough! Practice Chopin, too!\When am I supposed to sleep?\Practice Liszt, too!\I don't know what this is about, but calm down...\Don't talk about stuff we don't understand. response:	I wonder...
context: You're slacking off because I'm not watching you, aren't you?\You don't have to tell me to practice! Every single day, both Hanon and Czerny!\That's not nearly enough! Practice Chopin, too!\When am I supposed to sleep?\Practice Liszt, too!\I don't know what this is about, but calm down...\Don't talk about stuff we don't understand.\I wonder... response:	Back off, will you?
context: You don't have to tell me to practice! Every single day, both Hanon and Czerny!\That's not nearly enough! Practice Chopin, too!\When am I supposed to sleep?\Practice Liszt, too!\I don't know what this is about, but calm down...\Don't talk about stuff we don't understand.\I wonder...\Back off, will you? response:	I'm turning to you because I can't back off!
context: That's not nearly enough! Practice Chopin, too!\When am I supposed to sleep?\Practice Liszt, too!\I don't know what this is about, but calm down...\Don't talk about stuff we don't understand.\I wonder...\Back off, will you?\I'm turning to you because I can't back off! response:	I'm not interested in girls who aren't in love with me.
context: When am I supposed to sleep?\Practice Liszt, too!\I don't know what this is about, but calm down...\Don't talk about stuff we don't understand.\I wonder...\Back off, will you?\I'm turning to you because I can't back off!\I'm not interested in girls who aren't in love with me. response:	All the more refreshing!
context: Practice Liszt, too!\I don't know what this is about, but calm down...\Don't talk about stuff we don't understand.\I wonder...\Back off, will you?\I'm turning to you because I can't back off!\I'm not interested in girls who aren't in love with me.\All the more refreshing! response:	If someone tells her, You're wrong, you know she's gonna sulk,
context: I don't know what this is about, but calm down...\Don't talk about stuff we don't understand.\I wonder...\Back off, will you?\I'm turning to you because I can't back off!\I'm not interested in girls who aren't in love with me.\All the more refreshing!\If someone tells her, You're wrong, you know she's gonna sulk, response:	and get all stubborn, and then things will get complicated.
context: Don't talk about stuff we don't understand.\I wonder...\Back off, will you?\I'm turning to you because I can't back off!\I'm not interested in girls who aren't in love with me.\All the more refreshing!\If someone tells her, You're wrong, you know she's gonna sulk,\and get all stubborn, and then things will get complicated. response:	Especially when it comes to Kousei.
context: I wonder...\Back off, will you?\I'm turning to you because I can't back off!\I'm not interested in girls who aren't in love with me.\All the more refreshing!\If someone tells her, You're wrong, you know she's gonna sulk,\and get all stubborn, and then things will get complicated.\Especially when it comes to Kousei. response:	Agreed. I don't relish the thought...
context: Back off, will you?\I'm turning to you because I can't back off!\I'm not interested in girls who aren't in love with me.\All the more refreshing!\If someone tells her, You're wrong, you know she's gonna sulk,\and get all stubborn, and then things will get complicated.\Especially when it comes to Kousei.\Agreed. I don't relish the thought... response:	But I... I want Tsubaki to smile again.
context: I'm turning to you because I can't back off!\I'm not interested in girls who aren't in love with me.\All the more refreshing!\If someone tells her, You're wrong, you know she's gonna sulk,\and get all stubborn, and then things will get complicated.\Especially when it comes to Kousei.\Agreed. I don't relish the thought...\But I... I want Tsubaki to smile again. response:	Even if she gets all bruised and battered, Tsubaki's still gonna have to realize it herself.
context: I'm not interested in girls who aren't in love with me.\All the more refreshing!\If someone tells her, You're wrong, you know she's gonna sulk,\and get all stubborn, and then things will get complicated.\Especially when it comes to Kousei.\Agreed. I don't relish the thought...\But I... I want Tsubaki to smile again.\Even if she gets all bruised and battered, Tsubaki's still gonna have to realize it herself. response:	The fact that the guy by her side isn't her kid brother at all.
context: All the more refreshing!\If someone tells her, You're wrong, you know she's gonna sulk,\and get all stubborn, and then things will get complicated.\Especially when it comes to Kousei.\Agreed. I don't relish the thought...\But I... I want Tsubaki to smile again.\Even if she gets all bruised and battered, Tsubaki's still gonna have to realize it herself.\The fact that the guy by her side isn't her kid brother at all. response:	Watari-senpai, the scrimmage is about to start!
context: If someone tells her, You're wrong, you know she's gonna sulk,\and get all stubborn, and then things will get complicated.\Especially when it comes to Kousei.\Agreed. I don't relish the thought...\But I... I want Tsubaki to smile again.\Even if she gets all bruised and battered, Tsubaki's still gonna have to realize it herself.\The fact that the guy by her side isn't her kid brother at all.\Watari-senpai, the scrimmage is about to start! response:	Right!
context: and get all stubborn, and then things will get complicated.\Especially when it comes to Kousei.\Agreed. I don't relish the thought...\But I... I want Tsubaki to smile again.\Even if she gets all bruised and battered, Tsubaki's still gonna have to realize it herself.\The fact that the guy by her side isn't her kid brother at all.\Watari-senpai, the scrimmage is about to start!\Right! response:	Thanks for the juice!
context: Especially when it comes to Kousei.\Agreed. I don't relish the thought...\But I... I want Tsubaki to smile again.\Even if she gets all bruised and battered, Tsubaki's still gonna have to realize it herself.\The fact that the guy by her side isn't her kid brother at all.\Watari-senpai, the scrimmage is about to start!\Right!\Thanks for the juice! response:	Thanks.
context: Agreed. I don't relish the thought...\But I... I want Tsubaki to smile again.\Even if she gets all bruised and battered, Tsubaki's still gonna have to realize it herself.\The fact that the guy by her side isn't her kid brother at all.\Watari-senpai, the scrimmage is about to start!\Right!\Thanks for the juice!\Thanks. response:	But that kind of thing...
context: But I... I want Tsubaki to smile again.\Even if she gets all bruised and battered, Tsubaki's still gonna have to realize it herself.\The fact that the guy by her side isn't her kid brother at all.\Watari-senpai, the scrimmage is about to start!\Right!\Thanks for the juice!\Thanks.\But that kind of thing... response:	Hey, Arima!
context: Even if she gets all bruised and battered, Tsubaki's still gonna have to realize it herself.\The fact that the guy by her side isn't her kid brother at all.\Watari-senpai, the scrimmage is about to start!\Right!\Thanks for the juice!\Thanks.\But that kind of thing...\Hey, Arima! response:	Yes?
context: The fact that the guy by her side isn't her kid brother at all.\Watari-senpai, the scrimmage is about to start!\Right!\Thanks for the juice!\Thanks.\But that kind of thing...\Hey, Arima!\Yes? response:	Have you made up your mind yet? You're the only holdout in my class.
context: Watari-senpai, the scrimmage is about to start!\Right!\Thanks for the juice!\Thanks.\But that kind of thing...\Hey, Arima!\Yes?\Have you made up your mind yet? You're the only holdout in my class. response:	What school you want to go to. High school...
context: Right!\Thanks for the juice!\Thanks.\But that kind of thing...\Hey, Arima!\Yes?\Have you made up your mind yet? You're the only holdout in my class.\What school you want to go to. High school... response:	High school...
context: Thanks for the juice!\Thanks.\But that kind of thing...\Hey, Arima!\Yes?\Have you made up your mind yet? You're the only holdout in my class.\What school you want to go to. High school...\High school... response:	That's what made me think... That I'd like to become a really weird pianist!
context: Thanks.\But that kind of thing...\Hey, Arima!\Yes?\Have you made up your mind yet? You're the only holdout in my class.\What school you want to go to. High school...\High school...\That's what made me think... That I'd like to become a really weird pianist! response:	You should give it some thought. But let me know soon.
context: But that kind of thing...\Hey, Arima!\Yes?\Have you made up your mind yet? You're the only holdout in my class.\What school you want to go to. High school...\High school...\That's what made me think... That I'd like to become a really weird pianist!\You should give it some thought. But let me know soon. response:	All right.
context: Hey, Arima!\Yes?\Have you made up your mind yet? You're the only holdout in my class.\What school you want to go to. High school...\High school...\That's what made me think... That I'd like to become a really weird pianist!\You should give it some thought. But let me know soon.\All right. response:	High school,
