context: Fly response:	I didn't know we had that.
context: H-He's huge!\Dateko\It's Date Kogyo.\He has no eyebrows.\You got a problem?\Hey, hey, hey. Stop that.\I'm sorry. I'm sorry.\No... response:	Futakuchi, help me out.
context: Dateko\It's Date Kogyo.\He has no eyebrows.\You got a problem?\Hey, hey, hey. Stop that.\I'm sorry. I'm sorry.\No...\Futakuchi, help me out. response:	Sure. Sorry about that.
context: It's Date Kogyo.\He has no eyebrows.\You got a problem?\Hey, hey, hey. Stop that.\I'm sorry. I'm sorry.\No...\Futakuchi, help me out.\Sure. Sorry about that. response:	This guy targets our opponent's ace whenever he sees them.
context: He has no eyebrows.\You got a problem?\Hey, hey, hey. Stop that.\I'm sorry. I'm sorry.\No...\Futakuchi, help me out.\Sure. Sorry about that.\This guy targets our opponent's ace whenever he sees them. response:	So...
context: You got a problem?\Hey, hey, hey. Stop that.\I'm sorry. I'm sorry.\No...\Futakuchi, help me out.\Sure. Sorry about that.\This guy targets our opponent's ace whenever he sees them.\So... response:	You guys are too rude.
context: Hey, hey, hey. Stop that.\I'm sorry. I'm sorry.\No...\Futakuchi, help me out.\Sure. Sorry about that.\This guy targets our opponent's ace whenever he sees them.\So...\You guys are too rude. response:	Why must you always do that?
context: I'm sorry. I'm sorry.\No...\Futakuchi, help me out.\Sure. Sorry about that.\This guy targets our opponent's ace whenever he sees them.\So...\You guys are too rude.\Why must you always do that? response:	That was a little jarring.
context: No...\Futakuchi, help me out.\Sure. Sorry about that.\This guy targets our opponent's ace whenever he sees them.\So...\You guys are too rude.\Why must you always do that?\That was a little jarring. response:	Yeah.
context: Futakuchi, help me out.\Sure. Sorry about that.\This guy targets our opponent's ace whenever he sees them.\So...\You guys are too rude.\Why must you always do that?\That was a little jarring.\Yeah. response:	I'm amazed that you stared back at him
context: Sure. Sorry about that.\This guy targets our opponent's ace whenever he sees them.\So...\You guys are too rude.\Why must you always do that?\That was a little jarring.\Yeah.\I'm amazed that you stared back at him response:	Th-That was nerve racking.
context: This guy targets our opponent's ace whenever he sees them.\So...\You guys are too rude.\Why must you always do that?\That was a little jarring.\Yeah.\I'm amazed that you stared back at him\Th-That was nerve racking. response:	Why are you such a wimp off the court?
context: So...\You guys are too rude.\Why must you always do that?\That was a little jarring.\Yeah.\I'm amazed that you stared back at him\Th-That was nerve racking.\Why are you such a wimp off the court? response:	Are you all right?
context: You guys are too rude.\Why must you always do that?\That was a little jarring.\Yeah.\I'm amazed that you stared back at him\Th-That was nerve racking.\Why are you such a wimp off the court?\Are you all right? response:	Sawamura.
context: Why must you always do that?\That was a little jarring.\Yeah.\I'm amazed that you stared back at him\Th-That was nerve racking.\Why are you such a wimp off the court?\Are you all right?\Sawamura. response:	Long time no see.
context: That was a little jarring.\Yeah.\I'm amazed that you stared back at him\Th-That was nerve racking.\Why are you such a wimp off the court?\Are you all right?\Sawamura.\Long time no see. response:	Hey, Ikejiri.
context: Yeah.\I'm amazed that you stared back at him\Th-That was nerve racking.\Why are you such a wimp off the court?\Are you all right?\Sawamura.\Long time no see.\Hey, Ikejiri. response:	Sorry, I'll catch up with you guys in a minute.
context: I'm amazed that you stared back at him\Th-That was nerve racking.\Why are you such a wimp off the court?\Are you all right?\Sawamura.\Long time no see.\Hey, Ikejiri.\Sorry, I'll catch up with you guys in a minute. response:	Yeah.
context: Th-That was nerve racking.\Why are you such a wimp off the court?\Are you all right?\Sawamura.\Long time no see.\Hey, Ikejiri.\Sorry, I'll catch up with you guys in a minute.\Yeah. response:	Sure has been a long time.
context: Why are you such a wimp off the court?\Are you all right?\Sawamura.\Long time no see.\Hey, Ikejiri.\Sorry, I'll catch up with you guys in a minute.\Yeah.\Sure has been a long time. response:	You seem... bigger.
context: Are you all right?\Sawamura.\Long time no see.\Hey, Ikejiri.\Sorry, I'll catch up with you guys in a minute.\Yeah.\Sure has been a long time.\You seem... bigger. response:	Have I? I think I'm about the same height.
context: Sawamura.\Long time no see.\Hey, Ikejiri.\Sorry, I'll catch up with you guys in a minute.\Yeah.\Sure has been a long time.\You seem... bigger.\Have I? I think I'm about the same height. response:	That's not what I mean...
context: Long time no see.\Hey, Ikejiri.\Sorry, I'll catch up with you guys in a minute.\Yeah.\Sure has been a long time.\You seem... bigger.\Have I? I think I'm about the same height.\That's not what I mean... response:	Bigger in front, you mean?
context: Hey, Ikejiri.\Sorry, I'll catch up with you guys in a minute.\Yeah.\Sure has been a long time.\You seem... bigger.\Have I? I think I'm about the same height.\That's not what I mean...\Bigger in front, you mean? response:	No, that's not it.
context: Sorry, I'll catch up with you guys in a minute.\Yeah.\Sure has been a long time.\You seem... bigger.\Have I? I think I'm about the same height.\That's not what I mean...\Bigger in front, you mean?\No, that's not it. response:	His presence has changed. His energy has changed.
context: Yeah.\Sure has been a long time.\You seem... bigger.\Have I? I think I'm about the same height.\That's not what I mean...\Bigger in front, you mean?\No, that's not it.\His presence has changed. His energy has changed. response:	He's probably been training a lot harder.
context: Sure has been a long time.\You seem... bigger.\Have I? I think I'm about the same height.\That's not what I mean...\Bigger in front, you mean?\No, that's not it.\His presence has changed. His energy has changed.\He's probably been training a lot harder. response:	I saw you at the entrance.
context: You seem... bigger.\Have I? I think I'm about the same height.\That's not what I mean...\Bigger in front, you mean?\No, that's not it.\His presence has changed. His energy has changed.\He's probably been training a lot harder.\I saw you at the entrance. response:	You were so intense, I couldn't bring myself to say, hello.
context: Have I? I think I'm about the same height.\That's not what I mean...\Bigger in front, you mean?\No, that's not it.\His presence has changed. His energy has changed.\He's probably been training a lot harder.\I saw you at the entrance.\You were so intense, I couldn't bring myself to say, hello. response:	What's that supposed to mean?
context: That's not what I mean...\Bigger in front, you mean?\No, that's not it.\His presence has changed. His energy has changed.\He's probably been training a lot harder.\I saw you at the entrance.\You were so intense, I couldn't bring myself to say, hello.\What's that supposed to mean? response:	But then again, the guys on our team are intense. That's for sure.
context: Bigger in front, you mean?\No, that's not it.\His presence has changed. His energy has changed.\He's probably been training a lot harder.\I saw you at the entrance.\You were so intense, I couldn't bring myself to say, hello.\What's that supposed to mean?\But then again, the guys on our team are intense. That's for sure. response:	They look really strong.
context: No, that's not it.\His presence has changed. His energy has changed.\He's probably been training a lot harder.\I saw you at the entrance.\You were so intense, I couldn't bring myself to say, hello.\What's that supposed to mean?\But then again, the guys on our team are intense. That's for sure.\They look really strong. response:	You, too, Sawamura.
context: His presence has changed. His energy has changed.\He's probably been training a lot harder.\I saw you at the entrance.\You were so intense, I couldn't bring myself to say, hello.\What's that supposed to mean?\But then again, the guys on our team are intense. That's for sure.\They look really strong.\You, too, Sawamura. response:	You think so?
context: He's probably been training a lot harder.\I saw you at the entrance.\You were so intense, I couldn't bring myself to say, hello.\What's that supposed to mean?\But then again, the guys on our team are intense. That's for sure.\They look really strong.\You, too, Sawamura.\You think so? response:	Our team is puny.
context: I saw you at the entrance.\You were so intense, I couldn't bring myself to say, hello.\What's that supposed to mean?\But then again, the guys on our team are intense. That's for sure.\They look really strong.\You, too, Sawamura.\You think so?\Our team is puny. response:	Ikejiri.
context: You were so intense, I couldn't bring myself to say, hello.\What's that supposed to mean?\But then again, the guys on our team are intense. That's for sure.\They look really strong.\You, too, Sawamura.\You think so?\Our team is puny.\Ikejiri. response:	I take that back.
context: What's that supposed to mean?\But then again, the guys on our team are intense. That's for sure.\They look really strong.\You, too, Sawamura.\You think so?\Our team is puny.\Ikejiri.\I take that back. response:	Puny, powerhouse, fallen rival, all that stuff means nothing.
context: But then again, the guys on our team are intense. That's for sure.\They look really strong.\You, too, Sawamura.\You think so?\Our team is puny.\Ikejiri.\I take that back.\Puny, powerhouse, fallen rival, all that stuff means nothing. response:	We'll smash our opponents to pieces.
context: They look really strong.\You, too, Sawamura.\You think so?\Our team is puny.\Ikejiri.\I take that back.\Puny, powerhouse, fallen rival, all that stuff means nothing.\We'll smash our opponents to pieces. response:	I'm getting nervous.
context: You, too, Sawamura.\You think so?\Our team is puny.\Ikejiri.\I take that back.\Puny, powerhouse, fallen rival, all that stuff means nothing.\We'll smash our opponents to pieces.\I'm getting nervous. response:	I know, right?
context: You think so?\Our team is puny.\Ikejiri.\I take that back.\Puny, powerhouse, fallen rival, all that stuff means nothing.\We'll smash our opponents to pieces.\I'm getting nervous.\I know, right? response:	Did you see our opponents' spikes when they were practicing?
context: Our team is puny.\Ikejiri.\I take that back.\Puny, powerhouse, fallen rival, all that stuff means nothing.\We'll smash our opponents to pieces.\I'm getting nervous.\I know, right?\Did you see our opponents' spikes when they were practicing? response:	They're not in last year's best eight for nothing.
context: Ikejiri.\I take that back.\Puny, powerhouse, fallen rival, all that stuff means nothing.\We'll smash our opponents to pieces.\I'm getting nervous.\I know, right?\Did you see our opponents' spikes when they were practicing?\They're not in last year's best eight for nothing. response:	I'm praying for the ball not to come to me.
context: I take that back.\Puny, powerhouse, fallen rival, all that stuff means nothing.\We'll smash our opponents to pieces.\I'm getting nervous.\I know, right?\Did you see our opponents' spikes when they were practicing?\They're not in last year's best eight for nothing.\I'm praying for the ball not to come to me. response:	I should've shown up for morning practice more often.
context: Puny, powerhouse, fallen rival, all that stuff means nothing.\We'll smash our opponents to pieces.\I'm getting nervous.\I know, right?\Did you see our opponents' spikes when they were practicing?\They're not in last year's best eight for nothing.\I'm praying for the ball not to come to me.\I should've shown up for morning practice more often. response:	No matter how formidable and unbeatable your opponent,
context: We'll smash our opponents to pieces.\I'm getting nervous.\I know, right?\Did you see our opponents' spikes when they were practicing?\They're not in last year's best eight for nothing.\I'm praying for the ball not to come to me.\I should've shown up for morning practice more often.\No matter how formidable and unbeatable your opponent, response:	you'll never win if you don't believe you can.
context: I'm getting nervous.\I know, right?\Did you see our opponents' spikes when they were practicing?\They're not in last year's best eight for nothing.\I'm praying for the ball not to come to me.\I should've shown up for morning practice more often.\No matter how formidable and unbeatable your opponent,\you'll never win if you don't believe you can. response:	We had so much time.
context: I know, right?\Did you see our opponents' spikes when they were practicing?\They're not in last year's best eight for nothing.\I'm praying for the ball not to come to me.\I should've shown up for morning practice more often.\No matter how formidable and unbeatable your opponent,\you'll never win if you don't believe you can.\We had so much time. response:	We could've trained so much more.
context: Did you see our opponents' spikes when they were practicing?\They're not in last year's best eight for nothing.\I'm praying for the ball not to come to me.\I should've shown up for morning practice more often.\No matter how formidable and unbeatable your opponent,\you'll never win if you don't believe you can.\We had so much time.\We could've trained so much more. response:	We could've done so much more.
context: They're not in last year's best eight for nothing.\I'm praying for the ball not to come to me.\I should've shown up for morning practice more often.\No matter how formidable and unbeatable your opponent,\you'll never win if you don't believe you can.\We had so much time.\We could've trained so much more.\We could've done so much more. response:	Yui, it's too late for all that.
context: I'm praying for the ball not to come to me.\I should've shown up for morning practice more often.\No matter how formidable and unbeatable your opponent,\you'll never win if you don't believe you can.\We had so much time.\We could've trained so much more.\We could've done so much more.\Yui, it's too late for all that. response:	But those things don't matter any more.
context: I should've shown up for morning practice more often.\No matter how formidable and unbeatable your opponent,\you'll never win if you don't believe you can.\We had so much time.\We could've trained so much more.\We could've done so much more.\Yui, it's too late for all that.\But those things don't matter any more. response:	The tournament whistle will blow in 45 minutes.
context: No matter how formidable and unbeatable your opponent,\you'll never win if you don't believe you can.\We had so much time.\We could've trained so much more.\We could've done so much more.\Yui, it's too late for all that.\But those things don't matter any more.\The tournament whistle will blow in 45 minutes. response:	All we can do now is get warmed up.
context: you'll never win if you don't believe you can.\We had so much time.\We could've trained so much more.\We could've done so much more.\Yui, it's too late for all that.\But those things don't matter any more.\The tournament whistle will blow in 45 minutes.\All we can do now is get warmed up. response:	We'll fight to the very end with all our might.
context: We had so much time.\We could've trained so much more.\We could've done so much more.\Yui, it's too late for all that.\But those things don't matter any more.\The tournament whistle will blow in 45 minutes.\All we can do now is get warmed up.\We'll fight to the very end with all our might. response:	And...
context: We could've trained so much more.\We could've done so much more.\Yui, it's too late for all that.\But those things don't matter any more.\The tournament whistle will blow in 45 minutes.\All we can do now is get warmed up.\We'll fight to the very end with all our might.\And... response:	Huddle up, everybody.
context: We could've done so much more.\Yui, it's too late for all that.\But those things don't matter any more.\The tournament whistle will blow in 45 minutes.\All we can do now is get warmed up.\We'll fight to the very end with all our might.\And...\Huddle up, everybody. response:	Form a circle!
context: Yui, it's too late for all that.\But those things don't matter any more.\The tournament whistle will blow in 45 minutes.\All we can do now is get warmed up.\We'll fight to the very end with all our might.\And...\Huddle up, everybody.\Form a circle! response:	Come on, everybody.
context: But those things don't matter any more.\The tournament whistle will blow in 45 minutes.\All we can do now is get warmed up.\We'll fight to the very end with all our might.\And...\Huddle up, everybody.\Form a circle!\Come on, everybody. response:	Karasuno, fight!
context: The tournament whistle will blow in 45 minutes.\All we can do now is get warmed up.\We'll fight to the very end with all our might.\And...\Huddle up, everybody.\Form a circle!\Come on, everybody.\Karasuno, fight! response:	Yeah!
context: All we can do now is get warmed up.\We'll fight to the very end with all our might.\And...\Huddle up, everybody.\Form a circle!\Come on, everybody.\Karasuno, fight!\Yeah! response:	Hey. Is your stomach upset again or something?
context: We'll fight to the very end with all our might.\And...\Huddle up, everybody.\Form a circle!\Come on, everybody.\Karasuno, fight!\Yeah!\Hey. Is your stomach upset again or something? response:	Tumbling with excitement.
context: And...\Huddle up, everybody.\Form a circle!\Come on, everybody.\Karasuno, fight!\Yeah!\Hey. Is your stomach upset again or something?\Tumbling with excitement. response:	What?
context: Huddle up, everybody.\Form a circle!\Come on, everybody.\Karasuno, fight!\Yeah!\Hey. Is your stomach upset again or something?\Tumbling with excitement.\What? response:	I think he meant, trembling with excitement.
context: Form a circle!\Come on, everybody.\Karasuno, fight!\Yeah!\Hey. Is your stomach upset again or something?\Tumbling with excitement.\What?\I think he meant, trembling with excitement. response:	No, he's just shaking with fear.
context: Come on, everybody.\Karasuno, fight!\Yeah!\Hey. Is your stomach upset again or something?\Tumbling with excitement.\What?\I think he meant, trembling with excitement.\No, he's just shaking with fear. response:	I know. You got intimidated by Dateko, didn't you?
context: Karasuno, fight!\Yeah!\Hey. Is your stomach upset again or something?\Tumbling with excitement.\What?\I think he meant, trembling with excitement.\No, he's just shaking with fear.\I know. You got intimidated by Dateko, didn't you? response:	O-Of course not.
context: Yeah!\Hey. Is your stomach upset again or something?\Tumbling with excitement.\What?\I think he meant, trembling with excitement.\No, he's just shaking with fear.\I know. You got intimidated by Dateko, didn't you?\O-Of course not. response:	Which is it?
context: Hey. Is your stomach upset again or something?\Tumbling with excitement.\What?\I think he meant, trembling with excitement.\No, he's just shaking with fear.\I know. You got intimidated by Dateko, didn't you?\O-Of course not.\Which is it? response:	Damn. He's overwhelmed again.
context: Tumbling with excitement.\What?\I think he meant, trembling with excitement.\No, he's just shaking with fear.\I know. You got intimidated by Dateko, didn't you?\O-Of course not.\Which is it?\Damn. He's overwhelmed again. response:	I better do something about it quick.
context: What?\I think he meant, trembling with excitement.\No, he's just shaking with fear.\I know. You got intimidated by Dateko, didn't you?\O-Of course not.\Which is it?\Damn. He's overwhelmed again.\I better do something about it quick. response:	He can't do what he did at the Seijoh match.
context: I think he meant, trembling with excitement.\No, he's just shaking with fear.\I know. You got intimidated by Dateko, didn't you?\O-Of course not.\Which is it?\Damn. He's overwhelmed again.\I better do something about it quick.\He can't do what he did at the Seijoh match. response:	Asahi's cowardly too, but he doesn't seem nervous.
context: No, he's just shaking with fear.\I know. You got intimidated by Dateko, didn't you?\O-Of course not.\Which is it?\Damn. He's overwhelmed again.\I better do something about it quick.\He can't do what he did at the Seijoh match.\Asahi's cowardly too, but he doesn't seem nervous. response:	Cowardly?
context: I know. You got intimidated by Dateko, didn't you?\O-Of course not.\Which is it?\Damn. He's overwhelmed again.\I better do something about it quick.\He can't do what he did at the Seijoh match.\Asahi's cowardly too, but he doesn't seem nervous.\Cowardly? response:	I have a trick to calm my nerves.
context: O-Of course not.\Which is it?\Damn. He's overwhelmed again.\I better do something about it quick.\He can't do what he did at the Seijoh match.\Asahi's cowardly too, but he doesn't seem nervous.\Cowardly?\I have a trick to calm my nerves. response:	I try and remember the scariest experiences I've ever had.
context: Which is it?\Damn. He's overwhelmed again.\I better do something about it quick.\He can't do what he did at the Seijoh match.\Asahi's cowardly too, but he doesn't seem nervous.\Cowardly?\I have a trick to calm my nerves.\I try and remember the scariest experiences I've ever had. response:	The scarier the better. Then I think to myself,
context: Damn. He's overwhelmed again.\I better do something about it quick.\He can't do what he did at the Seijoh match.\Asahi's cowardly too, but he doesn't seem nervous.\Cowardly?\I have a trick to calm my nerves.\I try and remember the scariest experiences I've ever had.\The scarier the better. Then I think to myself, response:	Whatever happens, it can never be as scary as that.
context: I better do something about it quick.\He can't do what he did at the Seijoh match.\Asahi's cowardly too, but he doesn't seem nervous.\Cowardly?\I have a trick to calm my nerves.\I try and remember the scariest experiences I've ever had.\The scarier the better. Then I think to myself,\Whatever happens, it can never be as scary as that. response:	It puts me on an even keel.
context: He can't do what he did at the Seijoh match.\Asahi's cowardly too, but he doesn't seem nervous.\Cowardly?\I have a trick to calm my nerves.\I try and remember the scariest experiences I've ever had.\The scarier the better. Then I think to myself,\Whatever happens, it can never be as scary as that.\It puts me on an even keel. response:	The scariest experiences I've ever had...
context: Asahi's cowardly too, but he doesn't seem nervous.\Cowardly?\I have a trick to calm my nerves.\I try and remember the scariest experiences I've ever had.\The scarier the better. Then I think to myself,\Whatever happens, it can never be as scary as that.\It puts me on an even keel.\The scariest experiences I've ever had... response:	Math 4 Hinata Shoyo
context: Cowardly?\I have a trick to calm my nerves.\I try and remember the scariest experiences I've ever had.\The scarier the better. Then I think to myself,\Whatever happens, it can never be as scary as that.\It puts me on an even keel.\The scariest experiences I've ever had...\Math 4 Hinata Shoyo response:	Hinata?
context: I have a trick to calm my nerves.\I try and remember the scariest experiences I've ever had.\The scarier the better. Then I think to myself,\Whatever happens, it can never be as scary as that.\It puts me on an even keel.\The scariest experiences I've ever had...\Math 4 Hinata Shoyo\Hinata? response:	I'm fine now.
context: I try and remember the scariest experiences I've ever had.\The scarier the better. Then I think to myself,\Whatever happens, it can never be as scary as that.\It puts me on an even keel.\The scariest experiences I've ever had...\Math 4 Hinata Shoyo\Hinata?\I'm fine now. response:	Hey, Hinata. What's the matter?
context: The scarier the better. Then I think to myself,\Whatever happens, it can never be as scary as that.\It puts me on an even keel.\The scariest experiences I've ever had...\Math 4 Hinata Shoyo\Hinata?\I'm fine now.\Hey, Hinata. What's the matter? response:	If you know how to calm your nerves,
context: Whatever happens, it can never be as scary as that.\It puts me on an even keel.\The scariest experiences I've ever had...\Math 4 Hinata Shoyo\Hinata?\I'm fine now.\Hey, Hinata. What's the matter?\If you know how to calm your nerves, response:	why did you get so devastated when we battled Dateko?
context: It puts me on an even keel.\The scariest experiences I've ever had...\Math 4 Hinata Shoyo\Hinata?\I'm fine now.\Hey, Hinata. What's the matter?\If you know how to calm your nerves,\why did you get so devastated when we battled Dateko? response:	There you go again, Noya-san! You're rubbing salt in his wound.
context: The scariest experiences I've ever had...\Math 4 Hinata Shoyo\Hinata?\I'm fine now.\Hey, Hinata. What's the matter?\If you know how to calm your nerves,\why did you get so devastated when we battled Dateko?\There you go again, Noya-san! You're rubbing salt in his wound. response:	Because I didn't have enough time to visualize.
context: Math 4 Hinata Shoyo\Hinata?\I'm fine now.\Hey, Hinata. What's the matter?\If you know how to calm your nerves,\why did you get so devastated when we battled Dateko?\There you go again, Noya-san! You're rubbing salt in his wound.\Because I didn't have enough time to visualize. response:	Visualizing requires time and concentration to do be done properly.
context: Hinata?\I'm fine now.\Hey, Hinata. What's the matter?\If you know how to calm your nerves,\why did you get so devastated when we battled Dateko?\There you go again, Noya-san! You're rubbing salt in his wound.\Because I didn't have enough time to visualize.\Visualizing requires time and concentration to do be done properly. response:	Sounds overcomplicated.
context: I'm fine now.\Hey, Hinata. What's the matter?\If you know how to calm your nerves,\why did you get so devastated when we battled Dateko?\There you go again, Noya-san! You're rubbing salt in his wound.\Because I didn't have enough time to visualize.\Visualizing requires time and concentration to do be done properly.\Sounds overcomplicated. response:	All right. Everybody ready?
context: Hey, Hinata. What's the matter?\If you know how to calm your nerves,\why did you get so devastated when we battled Dateko?\There you go again, Noya-san! You're rubbing salt in his wound.\Because I didn't have enough time to visualize.\Visualizing requires time and concentration to do be done properly.\Sounds overcomplicated.\All right. Everybody ready? response:	Let's be the first on the court.
context: If you know how to calm your nerves,\why did you get so devastated when we battled Dateko?\There you go again, Noya-san! You're rubbing salt in his wound.\Because I didn't have enough time to visualize.\Visualizing requires time and concentration to do be done properly.\Sounds overcomplicated.\All right. Everybody ready?\Let's be the first on the court. response:	Yes.
context: why did you get so devastated when we battled Dateko?\There you go again, Noya-san! You're rubbing salt in his wound.\Because I didn't have enough time to visualize.\Visualizing requires time and concentration to do be done properly.\Sounds overcomplicated.\All right. Everybody ready?\Let's be the first on the court.\Yes. response:	Finally, an official match...
context: There you go again, Noya-san! You're rubbing salt in his wound.\Because I didn't have enough time to visualize.\Visualizing requires time and concentration to do be done properly.\Sounds overcomplicated.\All right. Everybody ready?\Let's be the first on the court.\Yes.\Finally, an official match... response:	Hold your ambition in front
context: Because I didn't have enough time to visualize.\Visualizing requires time and concentration to do be done properly.\Sounds overcomplicated.\All right. Everybody ready?\Let's be the first on the court.\Yes.\Finally, an official match...\Hold your ambition in front response:	Wow.
context: Visualizing requires time and concentration to do be done properly.\Sounds overcomplicated.\All right. Everybody ready?\Let's be the first on the court.\Yes.\Finally, an official match...\Hold your ambition in front\Wow. response:	It's spacious. It's huge.
context: Sounds overcomplicated.\All right. Everybody ready?\Let's be the first on the court.\Yes.\Finally, an official match...\Hold your ambition in front\Wow.\It's spacious. It's huge. response:	Hey, don't get intimidated.
context: All right. Everybody ready?\Let's be the first on the court.\Yes.\Finally, an official match...\Hold your ambition in front\Wow.\It's spacious. It's huge.\Hey, don't get intimidated. response:	It's you who's intimidated.
context: Let's be the first on the court.\Yes.\Finally, an official match...\Hold your ambition in front\Wow.\It's spacious. It's huge.\Hey, don't get intimidated.\It's you who's intimidated. response:	By the looks of it, it's you.
context: Yes.\Finally, an official match...\Hold your ambition in front\Wow.\It's spacious. It's huge.\Hey, don't get intimidated.\It's you who's intimidated.\By the looks of it, it's you. response:	Hey, don't get so mad.
context: Finally, an official match...\Hold your ambition in front\Wow.\It's spacious. It's huge.\Hey, don't get intimidated.\It's you who's intimidated.\By the looks of it, it's you.\Hey, don't get so mad. response:	Fly
context: Hold your ambition in front\Wow.\It's spacious. It's huge.\Hey, don't get intimidated.\It's you who's intimidated.\By the looks of it, it's you.\Hey, don't get so mad.\Fly response:	All right. Let's start practicing.
context: Wow.\It's spacious. It's huge.\Hey, don't get intimidated.\It's you who's intimidated.\By the looks of it, it's you.\Hey, don't get so mad.\Fly\All right. Let's start practicing. response:	Yeah.
context: It's spacious. It's huge.\Hey, don't get intimidated.\It's you who's intimidated.\By the looks of it, it's you.\Hey, don't get so mad.\Fly\All right. Let's start practicing.\Yeah. response:	We need to watch them one last time.
context: Hey, don't get intimidated.\It's you who's intimidated.\By the looks of it, it's you.\Hey, don't get so mad.\Fly\All right. Let's start practicing.\Yeah.\We need to watch them one last time. response:	Especially the powerful quick of that first-year duo.
context: It's you who's intimidated.\By the looks of it, it's you.\Hey, don't get so mad.\Fly\All right. Let's start practicing.\Yeah.\We need to watch them one last time.\Especially the powerful quick of that first-year duo. response:	Yes, sir.
context: By the looks of it, it's you.\Hey, don't get so mad.\Fly\All right. Let's start practicing.\Yeah.\We need to watch them one last time.\Especially the powerful quick of that first-year duo.\Yes, sir. response:	It's Aoba Johsai.
context: Hey, don't get so mad.\Fly\All right. Let's start practicing.\Yeah.\We need to watch them one last time.\Especially the powerful quick of that first-year duo.\Yes, sir.\It's Aoba Johsai. response:	They're tall...
context: Fly\All right. Let's start practicing.\Yeah.\We need to watch them one last time.\Especially the powerful quick of that first-year duo.\Yes, sir.\It's Aoba Johsai.\They're tall... response:	They look strong.
context: All right. Let's start practicing.\Yeah.\We need to watch them one last time.\Especially the powerful quick of that first-year duo.\Yes, sir.\It's Aoba Johsai.\They're tall...\They look strong. response:	Speaking of, where's their setter?
context: Yeah.\We need to watch them one last time.\Especially the powerful quick of that first-year duo.\Yes, sir.\It's Aoba Johsai.\They're tall...\They look strong.\Speaking of, where's their setter? response:	He's not here.
context: We need to watch them one last time.\Especially the powerful quick of that first-year duo.\Yes, sir.\It's Aoba Johsai.\They're tall...\They look strong.\Speaking of, where's their setter?\He's not here. response:	Where's Oikawa?
context: Especially the powerful quick of that first-year duo.\Yes, sir.\It's Aoba Johsai.\They're tall...\They look strong.\Speaking of, where's their setter?\He's not here.\Where's Oikawa? response:	Oh. Um...
context: Yes, sir.\It's Aoba Johsai.\They're tall...\They look strong.\Speaking of, where's their setter?\He's not here.\Where's Oikawa?\Oh. Um... response:	What is it? Fess up.
context: It's Aoba Johsai.\They're tall...\They look strong.\Speaking of, where's their setter?\He's not here.\Where's Oikawa?\Oh. Um...\What is it? Fess up. response:	Girls from other schools have him in their clutches.
context: They're tall...\They look strong.\Speaking of, where's their setter?\He's not here.\Where's Oikawa?\Oh. Um...\What is it? Fess up.\Girls from other schools have him in their clutches. response:	Iwaizumi.
context: They look strong.\Speaking of, where's their setter?\He's not here.\Where's Oikawa?\Oh. Um...\What is it? Fess up.\Girls from other schools have him in their clutches.\Iwaizumi. response:	Yes.
context: Speaking of, where's their setter?\He's not here.\Where's Oikawa?\Oh. Um...\What is it? Fess up.\Girls from other schools have him in their clutches.\Iwaizumi.\Yes. response:	This is delicious. You really made this?
context: He's not here.\Where's Oikawa?\Oh. Um...\What is it? Fess up.\Girls from other schools have him in their clutches.\Iwaizumi.\Yes.\This is delicious. You really made this? response:	Yes. I stayed up late last night making it.
context: Where's Oikawa?\Oh. Um...\What is it? Fess up.\Girls from other schools have him in their clutches.\Iwaizumi.\Yes.\This is delicious. You really made this?\Yes. I stayed up late last night making it. response:	That's so nice. Thanks.
context: Oh. Um...\What is it? Fess up.\Girls from other schools have him in their clutches.\Iwaizumi.\Yes.\This is delicious. You really made this?\Yes. I stayed up late last night making it.\That's so nice. Thanks. response:	It's nothing.
context: What is it? Fess up.\Girls from other schools have him in their clutches.\Iwaizumi.\Yes.\This is delicious. You really made this?\Yes. I stayed up late last night making it.\That's so nice. Thanks.\It's nothing. response:	Oikawa-san, can I take a picture with you?
context: Girls from other schools have him in their clutches.\Iwaizumi.\Yes.\This is delicious. You really made this?\Yes. I stayed up late last night making it.\That's so nice. Thanks.\It's nothing.\Oikawa-san, can I take a picture with you? response:	A picture? Sure.
context: Iwaizumi.\Yes.\This is delicious. You really made this?\Yes. I stayed up late last night making it.\That's so nice. Thanks.\It's nothing.\Oikawa-san, can I take a picture with you?\A picture? Sure. response:	Oikawa-san?
context: Yes.\This is delicious. You really made this?\Yes. I stayed up late last night making it.\That's so nice. Thanks.\It's nothing.\Oikawa-san, can I take a picture with you?\A picture? Sure.\Oikawa-san? response:	Ouch. Not even the coach hits me...
context: This is delicious. You really made this?\Yes. I stayed up late last night making it.\That's so nice. Thanks.\It's nothing.\Oikawa-san, can I take a picture with you?\A picture? Sure.\Oikawa-san?\Ouch. Not even the coach hits me... response:	Sorry. Let's do the pictures another time.
context: Yes. I stayed up late last night making it.\That's so nice. Thanks.\It's nothing.\Oikawa-san, can I take a picture with you?\A picture? Sure.\Oikawa-san?\Ouch. Not even the coach hits me...\Sorry. Let's do the pictures another time. response:	Hey, it's turnip head.
context: That's so nice. Thanks.\It's nothing.\Oikawa-san, can I take a picture with you?\A picture? Sure.\Oikawa-san?\Ouch. Not even the coach hits me...\Sorry. Let's do the pictures another time.\Hey, it's turnip head. response:	Turning-head? What's that?
