context: It was difficult to write calligraphy on a boat, response:	so it was a good experience.
context: All right, all right!\Sensei's an honest-to-goodness calligraphy nut.\Yah!\Ain't no way he can get a girlfriend like that.\I don't know...\He could have a long-distance relationship.\Girlfriend?!\Maybe I'll snoop around the room for evidence... response:	Cut it out. That's rude.
context: Sensei's an honest-to-goodness calligraphy nut.\Yah!\Ain't no way he can get a girlfriend like that.\I don't know...\He could have a long-distance relationship.\Girlfriend?!\Maybe I'll snoop around the room for evidence...\Cut it out. That's rude. response:	Kawafuji-san?
context: Yah!\Ain't no way he can get a girlfriend like that.\I don't know...\He could have a long-distance relationship.\Girlfriend?!\Maybe I'll snoop around the room for evidence...\Cut it out. That's rude.\Kawafuji-san? response:	Could be his girlfriend!
context: Ain't no way he can get a girlfriend like that.\I don't know...\He could have a long-distance relationship.\Girlfriend?!\Maybe I'll snoop around the room for evidence...\Cut it out. That's rude.\Kawafuji-san?\Could be his girlfriend! response:	Jeez! Miwa-chan, don't just...
context: I don't know...\He could have a long-distance relationship.\Girlfriend?!\Maybe I'll snoop around the room for evidence...\Cut it out. That's rude.\Kawafuji-san?\Could be his girlfriend!\Jeez! Miwa-chan, don't just... response:	Oh, it's a man.
context: He could have a long-distance relationship.\Girlfriend?!\Maybe I'll snoop around the room for evidence...\Cut it out. That's rude.\Kawafuji-san?\Could be his girlfriend!\Jeez! Miwa-chan, don't just...\Oh, it's a man. response:	What? Let me see!
context: Girlfriend?!\Maybe I'll snoop around the room for evidence...\Cut it out. That's rude.\Kawafuji-san?\Could be his girlfriend!\Jeez! Miwa-chan, don't just...\Oh, it's a man.\What? Let me see! response:	Why're you so interested?
context: Maybe I'll snoop around the room for evidence...\Cut it out. That's rude.\Kawafuji-san?\Could be his girlfriend!\Jeez! Miwa-chan, don't just...\Oh, it's a man.\What? Let me see!\Why're you so interested? response:	A commemorative photo?
context: Cut it out. That's rude.\Kawafuji-san?\Could be his girlfriend!\Jeez! Miwa-chan, don't just...\Oh, it's a man.\What? Let me see!\Why're you so interested?\A commemorative photo? response:	Maybe he's datin' one of'em.
context: Kawafuji-san?\Could be his girlfriend!\Jeez! Miwa-chan, don't just...\Oh, it's a man.\What? Let me see!\Why're you so interested?\A commemorative photo?\Maybe he's datin' one of'em. response:	How'bout her?
context: Could be his girlfriend!\Jeez! Miwa-chan, don't just...\Oh, it's a man.\What? Let me see!\Why're you so interested?\A commemorative photo?\Maybe he's datin' one of'em.\How'bout her? response:	She's pretty, but she's standing kinda far from him.
context: Jeez! Miwa-chan, don't just...\Oh, it's a man.\What? Let me see!\Why're you so interested?\A commemorative photo?\Maybe he's datin' one of'em.\How'bout her?\She's pretty, but she's standing kinda far from him. response:	Maybe this one?
context: Oh, it's a man.\What? Let me see!\Why're you so interested?\A commemorative photo?\Maybe he's datin' one of'em.\How'bout her?\She's pretty, but she's standing kinda far from him.\Maybe this one? response:	Ain't she too plain to be Sensei's girlfriend?
context: What? Let me see!\Why're you so interested?\A commemorative photo?\Maybe he's datin' one of'em.\How'bout her?\She's pretty, but she's standing kinda far from him.\Maybe this one?\Ain't she too plain to be Sensei's girlfriend? response:	Why would her looks matter?
context: Why're you so interested?\A commemorative photo?\Maybe he's datin' one of'em.\How'bout her?\She's pretty, but she's standing kinda far from him.\Maybe this one?\Ain't she too plain to be Sensei's girlfriend?\Why would her looks matter? response:	As long as she can talk about calligraphy, that's enough.
context: A commemorative photo?\Maybe he's datin' one of'em.\How'bout her?\She's pretty, but she's standing kinda far from him.\Maybe this one?\Ain't she too plain to be Sensei's girlfriend?\Why would her looks matter?\As long as she can talk about calligraphy, that's enough. response:	Ya really think there's a woman who'd listen to his delusions?
context: Maybe he's datin' one of'em.\How'bout her?\She's pretty, but she's standing kinda far from him.\Maybe this one?\Ain't she too plain to be Sensei's girlfriend?\Why would her looks matter?\As long as she can talk about calligraphy, that's enough.\Ya really think there's a woman who'd listen to his delusions? response:	By golly!
context: How'bout her?\She's pretty, but she's standing kinda far from him.\Maybe this one?\Ain't she too plain to be Sensei's girlfriend?\Why would her looks matter?\As long as she can talk about calligraphy, that's enough.\Ya really think there's a woman who'd listen to his delusions?\By golly! response:	If it's just listening, even a monkey could do it.
context: She's pretty, but she's standing kinda far from him.\Maybe this one?\Ain't she too plain to be Sensei's girlfriend?\Why would her looks matter?\As long as she can talk about calligraphy, that's enough.\Ya really think there's a woman who'd listen to his delusions?\By golly!\If it's just listening, even a monkey could do it. response:	Here!
context: Maybe this one?\Ain't she too plain to be Sensei's girlfriend?\Why would her looks matter?\As long as she can talk about calligraphy, that's enough.\Ya really think there's a woman who'd listen to his delusions?\By golly!\If it's just listening, even a monkey could do it.\Here! response:	What's wrong, Naru?
context: Ain't she too plain to be Sensei's girlfriend?\Why would her looks matter?\As long as she can talk about calligraphy, that's enough.\Ya really think there's a woman who'd listen to his delusions?\By golly!\If it's just listening, even a monkey could do it.\Here!\What's wrong, Naru? response:	Sensei said this's his treasure.
context: Why would her looks matter?\As long as she can talk about calligraphy, that's enough.\Ya really think there's a woman who'd listen to his delusions?\By golly!\If it's just listening, even a monkey could do it.\Here!\What's wrong, Naru?\Sensei said this's his treasure. response:	What is it?
context: As long as she can talk about calligraphy, that's enough.\Ya really think there's a woman who'd listen to his delusions?\By golly!\If it's just listening, even a monkey could do it.\Here!\What's wrong, Naru?\Sensei said this's his treasure.\What is it? response:	A picture frame?
context: Ya really think there's a woman who'd listen to his delusions?\By golly!\If it's just listening, even a monkey could do it.\Here!\What's wrong, Naru?\Sensei said this's his treasure.\What is it?\A picture frame? response:	I bet there's a picture of his sweetheart in it!
context: By golly!\If it's just listening, even a monkey could do it.\Here!\What's wrong, Naru?\Sensei said this's his treasure.\What is it?\A picture frame?\I bet there's a picture of his sweetheart in it! response:	What's wrong?
context: If it's just listening, even a monkey could do it.\Here!\What's wrong, Naru?\Sensei said this's his treasure.\What is it?\A picture frame?\I bet there's a picture of his sweetheart in it!\What's wrong? response:	I just can't believe Sensei's a married woman!
context: Here!\What's wrong, Naru?\Sensei said this's his treasure.\What is it?\A picture frame?\I bet there's a picture of his sweetheart in it!\What's wrong?\I just can't believe Sensei's a married woman! response:	Naru, that's not how you use that phrase.
context: What's wrong, Naru?\Sensei said this's his treasure.\What is it?\A picture frame?\I bet there's a picture of his sweetheart in it!\What's wrong?\I just can't believe Sensei's a married woman!\Naru, that's not how you use that phrase. response:	Naru sure does love Sensei a lot.
context: Sensei said this's his treasure.\What is it?\A picture frame?\I bet there's a picture of his sweetheart in it!\What's wrong?\I just can't believe Sensei's a married woman!\Naru, that's not how you use that phrase.\Naru sure does love Sensei a lot. response:	C'mon, don't worry.
context: What is it?\A picture frame?\I bet there's a picture of his sweetheart in it!\What's wrong?\I just can't believe Sensei's a married woman!\Naru, that's not how you use that phrase.\Naru sure does love Sensei a lot.\C'mon, don't worry. response:	At his age, it'd be weirder if he'd never dated a woman.
context: A picture frame?\I bet there's a picture of his sweetheart in it!\What's wrong?\I just can't believe Sensei's a married woman!\Naru, that's not how you use that phrase.\Naru sure does love Sensei a lot.\C'mon, don't worry.\At his age, it'd be weirder if he'd never dated a woman. response:	In another ten years, you'll be the beauty, Naru.
context: I bet there's a picture of his sweetheart in it!\What's wrong?\I just can't believe Sensei's a married woman!\Naru, that's not how you use that phrase.\Naru sure does love Sensei a lot.\C'mon, don't worry.\At his age, it'd be weirder if he'd never dated a woman.\In another ten years, you'll be the beauty, Naru. response:	You can appropriate him then.
context: What's wrong?\I just can't believe Sensei's a married woman!\Naru, that's not how you use that phrase.\Naru sure does love Sensei a lot.\C'mon, don't worry.\At his age, it'd be weirder if he'd never dated a woman.\In another ten years, you'll be the beauty, Naru.\You can appropriate him then. response:	Up-rope-ree-ate?
context: I just can't believe Sensei's a married woman!\Naru, that's not how you use that phrase.\Naru sure does love Sensei a lot.\C'mon, don't worry.\At his age, it'd be weirder if he'd never dated a woman.\In another ten years, you'll be the beauty, Naru.\You can appropriate him then.\Up-rope-ree-ate? response:	Now, let's take a look!
context: Naru, that's not how you use that phrase.\Naru sure does love Sensei a lot.\C'mon, don't worry.\At his age, it'd be weirder if he'd never dated a woman.\In another ten years, you'll be the beauty, Naru.\You can appropriate him then.\Up-rope-ree-ate?\Now, let's take a look! response:	At Sensei's girlfriend!
context: Naru sure does love Sensei a lot.\C'mon, don't worry.\At his age, it'd be weirder if he'd never dated a woman.\In another ten years, you'll be the beauty, Naru.\You can appropriate him then.\Up-rope-ree-ate?\Now, let's take a look!\At Sensei's girlfriend! response:	Su Shi
context: C'mon, don't worry.\At his age, it'd be weirder if he'd never dated a woman.\In another ten years, you'll be the beauty, Naru.\You can appropriate him then.\Up-rope-ree-ate?\Now, let's take a look!\At Sensei's girlfriend!\Su Shi response:	I bought your drinks.
context: At his age, it'd be weirder if he'd never dated a woman.\In another ten years, you'll be the beauty, Naru.\You can appropriate him then.\Up-rope-ree-ate?\Now, let's take a look!\At Sensei's girlfriend!\Su Shi\I bought your drinks. response:	Hey, what are you girls doing?!
context: In another ten years, you'll be the beauty, Naru.\You can appropriate him then.\Up-rope-ree-ate?\Now, let's take a look!\At Sensei's girlfriend!\Su Shi\I bought your drinks.\Hey, what are you girls doing?! response:	If you don't straighten up, you won't win anything, much less grand prize!
context: You can appropriate him then.\Up-rope-ree-ate?\Now, let's take a look!\At Sensei's girlfriend!\Su Shi\I bought your drinks.\Hey, what are you girls doing?!\If you don't straighten up, you won't win anything, much less grand prize! response:	You're already 23 years old, Sensei!
context: Up-rope-ree-ate?\Now, let's take a look!\At Sensei's girlfriend!\Su Shi\I bought your drinks.\Hey, what are you girls doing?!\If you don't straighten up, you won't win anything, much less grand prize!\You're already 23 years old, Sensei! response:	Look at other things besides calligraphy!
context: Now, let's take a look!\At Sensei's girlfriend!\Su Shi\I bought your drinks.\Hey, what are you girls doing?!\If you don't straighten up, you won't win anything, much less grand prize!\You're already 23 years old, Sensei!\Look at other things besides calligraphy! response:	What're you thinkin', gettin' turned on by historical figures?!
context: At Sensei's girlfriend!\Su Shi\I bought your drinks.\Hey, what are you girls doing?!\If you don't straighten up, you won't win anything, much less grand prize!\You're already 23 years old, Sensei!\Look at other things besides calligraphy!\What're you thinkin', gettin' turned on by historical figures?! response:	Come back to reality!
context: Su Shi\I bought your drinks.\Hey, what are you girls doing?!\If you don't straighten up, you won't win anything, much less grand prize!\You're already 23 years old, Sensei!\Look at other things besides calligraphy!\What're you thinkin', gettin' turned on by historical figures?!\Come back to reality! response:	Sensei, you should go out with Naru.
context: I bought your drinks.\Hey, what are you girls doing?!\If you don't straighten up, you won't win anything, much less grand prize!\You're already 23 years old, Sensei!\Look at other things besides calligraphy!\What're you thinkin', gettin' turned on by historical figures?!\Come back to reality!\Sensei, you should go out with Naru. response:	By golly!
context: Hey, what are you girls doing?!\If you don't straighten up, you won't win anything, much less grand prize!\You're already 23 years old, Sensei!\Look at other things besides calligraphy!\What're you thinkin', gettin' turned on by historical figures?!\Come back to reality!\Sensei, you should go out with Naru.\By golly! response:	Me, me! I'll up-rope-ree-ate you!
context: If you don't straighten up, you won't win anything, much less grand prize!\You're already 23 years old, Sensei!\Look at other things besides calligraphy!\What're you thinkin', gettin' turned on by historical figures?!\Come back to reality!\Sensei, you should go out with Naru.\By golly!\Me, me! I'll up-rope-ree-ate you! response:	Appropriate?
context: You're already 23 years old, Sensei!\Look at other things besides calligraphy!\What're you thinkin', gettin' turned on by historical figures?!\Come back to reality!\Sensei, you should go out with Naru.\By golly!\Me, me! I'll up-rope-ree-ate you!\Appropriate? response:	Uh, hey!
context: Look at other things besides calligraphy!\What're you thinkin', gettin' turned on by historical figures?!\Come back to reality!\Sensei, you should go out with Naru.\By golly!\Me, me! I'll up-rope-ree-ate you!\Appropriate?\Uh, hey! response:	Sto
context: What're you thinkin', gettin' turned on by historical figures?!\Come back to reality!\Sensei, you should go out with Naru.\By golly!\Me, me! I'll up-rope-ree-ate you!\Appropriate?\Uh, hey!\Sto response:	Yer gonna die alone at this rate!
context: Come back to reality!\Sensei, you should go out with Naru.\By golly!\Me, me! I'll up-rope-ree-ate you!\Appropriate?\Uh, hey!\Sto\Yer gonna die alone at this rate! response:	What do you mean?!
context: Sensei, you should go out with Naru.\By golly!\Me, me! I'll up-rope-ree-ate you!\Appropriate?\Uh, hey!\Sto\Yer gonna die alone at this rate!\What do you mean?! response:	Up-rope-ree-ate!
context: By golly!\Me, me! I'll up-rope-ree-ate you!\Appropriate?\Uh, hey!\Sto\Yer gonna die alone at this rate!\What do you mean?!\Up-rope-ree-ate! response:	And what are you talking about?!
context: Me, me! I'll up-rope-ree-ate you!\Appropriate?\Uh, hey!\Sto\Yer gonna die alone at this rate!\What do you mean?!\Up-rope-ree-ate!\And what are you talking about?! response:	An ocean swim?
context: Appropriate?\Uh, hey!\Sto\Yer gonna die alone at this rate!\What do you mean?!\Up-rope-ree-ate!\And what are you talking about?!\An ocean swim? response:	The kids are going on a trip to the beach, and I'd like you to chaperone.
context: Uh, hey!\Sto\Yer gonna die alone at this rate!\What do you mean?!\Up-rope-ree-ate!\And what are you talking about?!\An ocean swim?\The kids are going on a trip to the beach, and I'd like you to chaperone. response:	I asked their teacher first, but...
context: Sto\Yer gonna die alone at this rate!\What do you mean?!\Up-rope-ree-ate!\And what are you talking about?!\An ocean swim?\The kids are going on a trip to the beach, and I'd like you to chaperone.\I asked their teacher first, but... response:	I'm goin' fishin'!
context: Yer gonna die alone at this rate!\What do you mean?!\Up-rope-ree-ate!\And what are you talking about?!\An ocean swim?\The kids are going on a trip to the beach, and I'd like you to chaperone.\I asked their teacher first, but...\I'm goin' fishin'! response:	Oh...
context: What do you mean?!\Up-rope-ree-ate!\And what are you talking about?!\An ocean swim?\The kids are going on a trip to the beach, and I'd like you to chaperone.\I asked their teacher first, but...\I'm goin' fishin'!\Oh... response:	They all can swim, right?
context: Up-rope-ree-ate!\And what are you talking about?!\An ocean swim?\The kids are going on a trip to the beach, and I'd like you to chaperone.\I asked their teacher first, but...\I'm goin' fishin'!\Oh...\They all can swim, right? response:	If I just have to watch them, that's fine.
context: And what are you talking about?!\An ocean swim?\The kids are going on a trip to the beach, and I'd like you to chaperone.\I asked their teacher first, but...\I'm goin' fishin'!\Oh...\They all can swim, right?\If I just have to watch them, that's fine. response:	Well, actually...
context: An ocean swim?\The kids are going on a trip to the beach, and I'd like you to chaperone.\I asked their teacher first, but...\I'm goin' fishin'!\Oh...\They all can swim, right?\If I just have to watch them, that's fine.\Well, actually... response:	It seems Miwa and Tama are going, too.
context: The kids are going on a trip to the beach, and I'd like you to chaperone.\I asked their teacher first, but...\I'm goin' fishin'!\Oh...\They all can swim, right?\If I just have to watch them, that's fine.\Well, actually...\It seems Miwa and Tama are going, too. response:	Please make sure they don't do anything dangerous.
context: I asked their teacher first, but...\I'm goin' fishin'!\Oh...\They all can swim, right?\If I just have to watch them, that's fine.\Well, actually...\It seems Miwa and Tama are going, too.\Please make sure they don't do anything dangerous. response:	I'm having our Hiroshi go along, too, just in case...
context: I'm goin' fishin'!\Oh...\They all can swim, right?\If I just have to watch them, that's fine.\Well, actually...\It seems Miwa and Tama are going, too.\Please make sure they don't do anything dangerous.\I'm having our Hiroshi go along, too, just in case... response:	This sounds like a real pain.
context: Oh...\They all can swim, right?\If I just have to watch them, that's fine.\Well, actually...\It seems Miwa and Tama are going, too.\Please make sure they don't do anything dangerous.\I'm having our Hiroshi go along, too, just in case...\This sounds like a real pain. response:	Hurry, Sensei!
context: They all can swim, right?\If I just have to watch them, that's fine.\Well, actually...\It seems Miwa and Tama are going, too.\Please make sure they don't do anything dangerous.\I'm having our Hiroshi go along, too, just in case...\This sounds like a real pain.\Hurry, Sensei! response:	Okay.
context: If I just have to watch them, that's fine.\Well, actually...\It seems Miwa and Tama are going, too.\Please make sure they don't do anything dangerous.\I'm having our Hiroshi go along, too, just in case...\This sounds like a real pain.\Hurry, Sensei!\Okay. response:	C'mon, hurry!
context: Well, actually...\It seems Miwa and Tama are going, too.\Please make sure they don't do anything dangerous.\I'm having our Hiroshi go along, too, just in case...\This sounds like a real pain.\Hurry, Sensei!\Okay.\C'mon, hurry! response:	Wait a moment!
context: It seems Miwa and Tama are going, too.\Please make sure they don't do anything dangerous.\I'm having our Hiroshi go along, too, just in case...\This sounds like a real pain.\Hurry, Sensei!\Okay.\C'mon, hurry!\Wait a moment! response:	Sensei, hurry, hurry!
context: Please make sure they don't do anything dangerous.\I'm having our Hiroshi go along, too, just in case...\This sounds like a real pain.\Hurry, Sensei!\Okay.\C'mon, hurry!\Wait a moment!\Sensei, hurry, hurry! response:	Okay, I got it!
context: I'm having our Hiroshi go along, too, just in case...\This sounds like a real pain.\Hurry, Sensei!\Okay.\C'mon, hurry!\Wait a moment!\Sensei, hurry, hurry!\Okay, I got it! response:	Get ready!
context: This sounds like a real pain.\Hurry, Sensei!\Okay.\C'mon, hurry!\Wait a moment!\Sensei, hurry, hurry!\Okay, I got it!\Get ready! response:	Butt j
context: Hurry, Sensei!\Okay.\C'mon, hurry!\Wait a moment!\Sensei, hurry, hurry!\Okay, I got it!\Get ready!\Butt j response:	Don't you dare!
context: Okay.\C'mon, hurry!\Wait a moment!\Sensei, hurry, hurry!\Okay, I got it!\Get ready!\Butt j\Don't you dare! response:	Hey, don't run around!
context: C'mon, hurry!\Wait a moment!\Sensei, hurry, hurry!\Okay, I got it!\Get ready!\Butt j\Don't you dare!\Hey, don't run around! response:	It's Miwa-nee and Tama!
context: Wait a moment!\Sensei, hurry, hurry!\Okay, I got it!\Get ready!\Butt j\Don't you dare!\Hey, don't run around!\It's Miwa-nee and Tama! response:	Mornin', Naru!
context: Sensei, hurry, hurry!\Okay, I got it!\Get ready!\Butt j\Don't you dare!\Hey, don't run around!\It's Miwa-nee and Tama!\Mornin', Naru! response:	Yer late, Sensei!
context: Okay, I got it!\Get ready!\Butt j\Don't you dare!\Hey, don't run around!\It's Miwa-nee and Tama!\Mornin', Naru!\Yer late, Sensei! response:	Thanks for coming today!
context: Get ready!\Butt j\Don't you dare!\Hey, don't run around!\It's Miwa-nee and Tama!\Mornin', Naru!\Yer late, Sensei!\Thanks for coming today! response:	What are you two wearing?
context: Butt j\Don't you dare!\Hey, don't run around!\It's Miwa-nee and Tama!\Mornin', Naru!\Yer late, Sensei!\Thanks for coming today!\What are you two wearing? response:	Those look like gym clothes.
context: Don't you dare!\Hey, don't run around!\It's Miwa-nee and Tama!\Mornin', Naru!\Yer late, Sensei!\Thanks for coming today!\What are you two wearing?\Those look like gym clothes. response:	Not just like 'em. They are gym clothes.
context: Hey, don't run around!\It's Miwa-nee and Tama!\Mornin', Naru!\Yer late, Sensei!\Thanks for coming today!\What are you two wearing?\Those look like gym clothes.\Not just like 'em. They are gym clothes. response:	They're the best for swimmin'.
context: It's Miwa-nee and Tama!\Mornin', Naru!\Yer late, Sensei!\Thanks for coming today!\What are you two wearing?\Those look like gym clothes.\Not just like 'em. They are gym clothes.\They're the best for swimmin'. response:	You're swimming in those?!
context: Mornin', Naru!\Yer late, Sensei!\Thanks for coming today!\What are you two wearing?\Those look like gym clothes.\Not just like 'em. They are gym clothes.\They're the best for swimmin'.\You're swimming in those?! response:	Well, yeah.
context: Yer late, Sensei!\Thanks for coming today!\What are you two wearing?\Those look like gym clothes.\Not just like 'em. They are gym clothes.\They're the best for swimmin'.\You're swimming in those?!\Well, yeah. response:	Isn't it hard to swim in regular clothes?
context: Thanks for coming today!\What are you two wearing?\Those look like gym clothes.\Not just like 'em. They are gym clothes.\They're the best for swimmin'.\You're swimming in those?!\Well, yeah.\Isn't it hard to swim in regular clothes? response:	You strip down if ya like, Sensei.
context: What are you two wearing?\Those look like gym clothes.\Not just like 'em. They are gym clothes.\They're the best for swimmin'.\You're swimming in those?!\Well, yeah.\Isn't it hard to swim in regular clothes?\You strip down if ya like, Sensei. response:	Uh, no, I don't have a swimsuit.
context: Those look like gym clothes.\Not just like 'em. They are gym clothes.\They're the best for swimmin'.\You're swimming in those?!\Well, yeah.\Isn't it hard to swim in regular clothes?\You strip down if ya like, Sensei.\Uh, no, I don't have a swimsuit. response:	C'mon! I said to hurry!
context: Not just like 'em. They are gym clothes.\They're the best for swimmin'.\You're swimming in those?!\Well, yeah.\Isn't it hard to swim in regular clothes?\You strip down if ya like, Sensei.\Uh, no, I don't have a swimsuit.\C'mon! I said to hurry! response:	Hey, wait!
context: They're the best for swimmin'.\You're swimming in those?!\Well, yeah.\Isn't it hard to swim in regular clothes?\You strip down if ya like, Sensei.\Uh, no, I don't have a swimsuit.\C'mon! I said to hurry!\Hey, wait! response:	Hiro isn't here ye
context: You're swimming in those?!\Well, yeah.\Isn't it hard to swim in regular clothes?\You strip down if ya like, Sensei.\Uh, no, I don't have a swimsuit.\C'mon! I said to hurry!\Hey, wait!\Hiro isn't here ye response:	Okay, let's go.
context: Well, yeah.\Isn't it hard to swim in regular clothes?\You strip down if ya like, Sensei.\Uh, no, I don't have a swimsuit.\C'mon! I said to hurry!\Hey, wait!\Hiro isn't here ye\Okay, let's go. response:	Come on, kids, stick with Hiro-nii!
context: Isn't it hard to swim in regular clothes?\You strip down if ya like, Sensei.\Uh, no, I don't have a swimsuit.\C'mon! I said to hurry!\Hey, wait!\Hiro isn't here ye\Okay, let's go.\Come on, kids, stick with Hiro-nii! response:	Okay!
context: You strip down if ya like, Sensei.\Uh, no, I don't have a swimsuit.\C'mon! I said to hurry!\Hey, wait!\Hiro isn't here ye\Okay, let's go.\Come on, kids, stick with Hiro-nii!\Okay! response:	This guy's just coming for fun, isn't he?
context: Uh, no, I don't have a swimsuit.\C'mon! I said to hurry!\Hey, wait!\Hiro isn't here ye\Okay, let's go.\Come on, kids, stick with Hiro-nii!\Okay!\This guy's just coming for fun, isn't he? response:	Let's go, everybody!
context: C'mon! I said to hurry!\Hey, wait!\Hiro isn't here ye\Okay, let's go.\Come on, kids, stick with Hiro-nii!\Okay!\This guy's just coming for fun, isn't he?\Let's go, everybody! response:	Today I'm gonna master the backstroke!
context: Hey, wait!\Hiro isn't here ye\Okay, let's go.\Come on, kids, stick with Hiro-nii!\Okay!\This guy's just coming for fun, isn't he?\Let's go, everybody!\Today I'm gonna master the backstroke! response:	Hey!
context: Hiro isn't here ye\Okay, let's go.\Come on, kids, stick with Hiro-nii!\Okay!\This guy's just coming for fun, isn't he?\Let's go, everybody!\Today I'm gonna master the backstroke!\Hey! response:	Don't race around too much!
context: Okay, let's go.\Come on, kids, stick with Hiro-nii!\Okay!\This guy's just coming for fun, isn't he?\Let's go, everybody!\Today I'm gonna master the backstroke!\Hey!\Don't race around too much! response:	Don't worry.
context: Come on, kids, stick with Hiro-nii!\Okay!\This guy's just coming for fun, isn't he?\Let's go, everybody!\Today I'm gonna master the backstroke!\Hey!\Don't race around too much!\Don't worry. response:	We come to this beach every year.
context: Okay!\This guy's just coming for fun, isn't he?\Let's go, everybody!\Today I'm gonna master the backstroke!\Hey!\Don't race around too much!\Don't worry.\We come to this beach every year. response:	It's too rocky to be a beach.
context: This guy's just coming for fun, isn't he?\Let's go, everybody!\Today I'm gonna master the backstroke!\Hey!\Don't race around too much!\Don't worry.\We come to this beach every year.\It's too rocky to be a beach. response:	Play somewhere safer, like a sandy beach.
context: Let's go, everybody!\Today I'm gonna master the backstroke!\Hey!\Don't race around too much!\Don't worry.\We come to this beach every year.\It's too rocky to be a beach.\Play somewhere safer, like a sandy beach. response:	Sandy beaches are for little kids.
context: Today I'm gonna master the backstroke!\Hey!\Don't race around too much!\Don't worry.\We come to this beach every year.\It's too rocky to be a beach.\Play somewhere safer, like a sandy beach.\Sandy beaches are for little kids. response:	That's the point!
context: Hey!\Don't race around too much!\Don't worry.\We come to this beach every year.\It's too rocky to be a beach.\Play somewhere safer, like a sandy beach.\Sandy beaches are for little kids.\That's the point! response:	The footing... is really bad...
context: Don't race around too much!\Don't worry.\We come to this beach every year.\It's too rocky to be a beach.\Play somewhere safer, like a sandy beach.\Sandy beaches are for little kids.\That's the point!\The footing... is really bad... response:	Sensei, what are you doing?!
context: Don't worry.\We come to this beach every year.\It's too rocky to be a beach.\Play somewhere safer, like a sandy beach.\Sandy beaches are for little kids.\That's the point!\The footing... is really bad...\Sensei, what are you doing?! response:	Man, this is what's wrong with city slickers.
context: We come to this beach every year.\It's too rocky to be a beach.\Play somewhere safer, like a sandy beach.\Sandy beaches are for little kids.\That's the point!\The footing... is really bad...\Sensei, what are you doing?!\Man, this is what's wrong with city slickers. response:	Will he be all right?
context: It's too rocky to be a beach.\Play somewhere safer, like a sandy beach.\Sandy beaches are for little kids.\That's the point!\The footing... is really bad...\Sensei, what are you doing?!\Man, this is what's wrong with city slickers.\Will he be all right? response:	He oughta be fine.
context: Play somewhere safer, like a sandy beach.\Sandy beaches are for little kids.\That's the point!\The footing... is really bad...\Sensei, what are you doing?!\Man, this is what's wrong with city slickers.\Will he be all right?\He oughta be fine. response:	Everyone uses this path.
context: Sandy beaches are for little kids.\That's the point!\The footing... is really bad...\Sensei, what are you doing?!\Man, this is what's wrong with city slickers.\Will he be all right?\He oughta be fine.\Everyone uses this path. response:	All right, dive in!
context: That's the point!\The footing... is really bad...\Sensei, what are you doing?!\Man, this is what's wrong with city slickers.\Will he be all right?\He oughta be fine.\Everyone uses this path.\All right, dive in! response:	Yeah!
context: The footing... is really bad...\Sensei, what are you doing?!\Man, this is what's wrong with city slickers.\Will he be all right?\He oughta be fine.\Everyone uses this path.\All right, dive in!\Yeah! response:	Huh?
context: Sensei, what are you doing?!\Man, this is what's wrong with city slickers.\Will he be all right?\He oughta be fine.\Everyone uses this path.\All right, dive in!\Yeah!\Huh? response:	Woah, those're big!
context: Man, this is what's wrong with city slickers.\Will he be all right?\He oughta be fine.\Everyone uses this path.\All right, dive in!\Yeah!\Huh?\Woah, those're big! response:	Sea urchin!
context: Will he be all right?\He oughta be fine.\Everyone uses this path.\All right, dive in!\Yeah!\Huh?\Woah, those're big!\Sea urchin! response:	Sea urchin!
context: He oughta be fine.\Everyone uses this path.\All right, dive in!\Yeah!\Huh?\Woah, those're big!\Sea urchin!\Sea urchin! response:	Take that!
context: Everyone uses this path.\All right, dive in!\Yeah!\Huh?\Woah, those're big!\Sea urchin!\Sea urchin!\Take that! response:	Cut it out, Naru!
context: All right, dive in!\Yeah!\Huh?\Woah, those're big!\Sea urchin!\Sea urchin!\Take that!\Cut it out, Naru! response:	Hey!
context: Yeah!\Huh?\Woah, those're big!\Sea urchin!\Sea urchin!\Take that!\Cut it out, Naru!\Hey! response:	Find any neat fish, Hina?
context: Huh?\Woah, those're big!\Sea urchin!\Sea urchin!\Take that!\Cut it out, Naru!\Hey!\Find any neat fish, Hina? response:	Yeah, but the goggles keep fogging up and I can't see them.
context: Woah, those're big!\Sea urchin!\Sea urchin!\Take that!\Cut it out, Naru!\Hey!\Find any neat fish, Hina?\Yeah, but the goggles keep fogging up and I can't see them. response:	When that happens, wipe it with mugwort.
context: Sea urchin!\Sea urchin!\Take that!\Cut it out, Naru!\Hey!\Find any neat fish, Hina?\Yeah, but the goggles keep fogging up and I can't see them.\When that happens, wipe it with mugwort. response:	I keep mugwort leaves in here.
context: Sea urchin!\Take that!\Cut it out, Naru!\Hey!\Find any neat fish, Hina?\Yeah, but the goggles keep fogging up and I can't see them.\When that happens, wipe it with mugwort.\I keep mugwort leaves in here. response:	Mugwort extract helps prevent foggin'.
context: Take that!\Cut it out, Naru!\Hey!\Find any neat fish, Hina?\Yeah, but the goggles keep fogging up and I can't see them.\When that happens, wipe it with mugwort.\I keep mugwort leaves in here.\Mugwort extract helps prevent foggin'. response:	Wow!
