context: Subaru, I'm coming in. response:	O-Ojou-sama, please wait one moment.
context: I want to turn into a bug. Turn into a bug!\What was she going to say back then?\What a sight for sore eyes.\It's only the beginning of the semester and I've already seen something great.\A bespectacled man carrying a battle-weary boy holding on for dear life-\Shut up!\Jirou-kun!\If it's about Konoe, I let her sleep in the nurse's office. response:	Oh...
context: What was she going to say back then?\What a sight for sore eyes.\It's only the beginning of the semester and I've already seen something great.\A bespectacled man carrying a battle-weary boy holding on for dear life-\Shut up!\Jirou-kun!\If it's about Konoe, I let her sleep in the nurse's office.\Oh... response:	What's wrong?
context: What a sight for sore eyes.\It's only the beginning of the semester and I've already seen something great.\A bespectacled man carrying a battle-weary boy holding on for dear life-\Shut up!\Jirou-kun!\If it's about Konoe, I let her sleep in the nurse's office.\Oh...\What's wrong? response:	Nothing.
context: It's only the beginning of the semester and I've already seen something great.\A bespectacled man carrying a battle-weary boy holding on for dear life-\Shut up!\Jirou-kun!\If it's about Konoe, I let her sleep in the nurse's office.\Oh...\What's wrong?\Nothing. response:	Nyu!
context: A bespectacled man carrying a battle-weary boy holding on for dear life-\Shut up!\Jirou-kun!\If it's about Konoe, I let her sleep in the nurse's office.\Oh...\What's wrong?\Nothing.\Nyu! response:	Nyu...
context: Shut up!\Jirou-kun!\If it's about Konoe, I let her sleep in the nurse's office.\Oh...\What's wrong?\Nothing.\Nyu!\Nyu... response:	Hey, what was that cute voice?
context: Jirou-kun!\If it's about Konoe, I let her sleep in the nurse's office.\Oh...\What's wrong?\Nothing.\Nyu!\Nyu...\Hey, what was that cute voice? response:	I heard it too.
context: If it's about Konoe, I let her sleep in the nurse's office.\Oh...\What's wrong?\Nothing.\Nyu!\Nyu...\Hey, what was that cute voice?\I heard it too. response:	Hey Suzutsuki?
context: Oh...\What's wrong?\Nothing.\Nyu!\Nyu...\Hey, what was that cute voice?\I heard it too.\Hey Suzutsuki? response:	Are you okay?
context: What's wrong?\Nothing.\Nyu!\Nyu...\Hey, what was that cute voice?\I heard it too.\Hey Suzutsuki?\Are you okay? response:	Are you not feeling well?
context: Nothing.\Nyu!\Nyu...\Hey, what was that cute voice?\I heard it too.\Hey Suzutsuki?\Are you okay?\Are you not feeling well? response:	Why would you ask that?
context: Nyu!\Nyu...\Hey, what was that cute voice?\I heard it too.\Hey Suzutsuki?\Are you okay?\Are you not feeling well?\Why would you ask that? response:	Because you...
context: Nyu...\Hey, what was that cute voice?\I heard it too.\Hey Suzutsuki?\Are you okay?\Are you not feeling well?\Why would you ask that?\Because you... response:	Y-You're just imagining things.
context: Hey, what was that cute voice?\I heard it too.\Hey Suzutsuki?\Are you okay?\Are you not feeling well?\Why would you ask that?\Because you...\Y-You're just imagining things. response:	Think about it.
context: I heard it too.\Hey Suzutsuki?\Are you okay?\Are you not feeling well?\Why would you ask that?\Because you...\Y-You're just imagining things.\Think about it. response:	There's no way I would let out such a voice.
context: Hey Suzutsuki?\Are you okay?\Are you not feeling well?\Why would you ask that?\Because you...\Y-You're just imagining things.\Think about it.\There's no way I would let out such a voice. response:	But...
context: Are you okay?\Are you not feeling well?\Why would you ask that?\Because you...\Y-You're just imagining things.\Think about it.\There's no way I would let out such a voice.\But... response:	Stop being persistent.
context: Are you not feeling well?\Why would you ask that?\Because you...\Y-You're just imagining things.\Think about it.\There's no way I would let out such a voice.\But...\Stop being persistent. response:	I told you it's nothing nyu.
context: Why would you ask that?\Because you...\Y-You're just imagining things.\Think about it.\There's no way I would let out such a voice.\But...\Stop being persistent.\I told you it's nothing nyu. response:	Nyu?
context: Because you...\Y-You're just imagining things.\Think about it.\There's no way I would let out such a voice.\But...\Stop being persistent.\I told you it's nothing nyu.\Nyu? response:	You're wrong nyu.
context: Y-You're just imagining things.\Think about it.\There's no way I would let out such a voice.\But...\Stop being persistent.\I told you it's nothing nyu.\Nyu?\You're wrong nyu. response:	There's a reason for this nyu.
context: Think about it.\There's no way I would let out such a voice.\But...\Stop being persistent.\I told you it's nothing nyu.\Nyu?\You're wrong nyu.\There's a reason for this nyu. response:	Stop looking at me so pitifully.
context: There's no way I would let out such a voice.\But...\Stop being persistent.\I told you it's nothing nyu.\Nyu?\You're wrong nyu.\There's a reason for this nyu.\Stop looking at me so pitifully. response:	Nyu.
context: But...\Stop being persistent.\I told you it's nothing nyu.\Nyu?\You're wrong nyu.\There's a reason for this nyu.\Stop looking at me so pitifully.\Nyu. response:	Nyu.
context: Stop being persistent.\I told you it's nothing nyu.\Nyu?\You're wrong nyu.\There's a reason for this nyu.\Stop looking at me so pitifully.\Nyu.\Nyu. response:	Nyu.
context: I told you it's nothing nyu.\Nyu?\You're wrong nyu.\There's a reason for this nyu.\Stop looking at me so pitifully.\Nyu.\Nyu.\Nyu. response:	It was your voice?
context: Nyu?\You're wrong nyu.\There's a reason for this nyu.\Stop looking at me so pitifully.\Nyu.\Nyu.\Nyu.\It was your voice? response:	What? It's completely different from that other cute voice.
context: You're wrong nyu.\There's a reason for this nyu.\Stop looking at me so pitifully.\Nyu.\Nyu.\Nyu.\It was your voice?\What? It's completely different from that other cute voice. response:	It was my voice nyu.
context: There's a reason for this nyu.\Stop looking at me so pitifully.\Nyu.\Nyu.\Nyu.\It was your voice?\What? It's completely different from that other cute voice.\It was my voice nyu. response:	Don't mess with me!
context: Stop looking at me so pitifully.\Nyu.\Nyu.\Nyu.\It was your voice?\What? It's completely different from that other cute voice.\It was my voice nyu.\Don't mess with me! response:	Nyu.
context: Nyu.\Nyu.\Nyu.\It was your voice?\What? It's completely different from that other cute voice.\It was my voice nyu.\Don't mess with me!\Nyu. response:	Nyu
context: Nyu.\Nyu.\It was your voice?\What? It's completely different from that other cute voice.\It was my voice nyu.\Don't mess with me!\Nyu.\Nyu response:	Something's wrong with my throat.
context: Nyu.\It was your voice?\What? It's completely different from that other cute voice.\It was my voice nyu.\Don't mess with me!\Nyu.\Nyu\Something's wrong with my throat. response:	Are you okay, Jirou-kun?
context: It was your voice?\What? It's completely different from that other cute voice.\It was my voice nyu.\Don't mess with me!\Nyu.\Nyu\Something's wrong with my throat.\Are you okay, Jirou-kun? response:	Let's go to the nurse's office nyu.
context: What? It's completely different from that other cute voice.\It was my voice nyu.\Don't mess with me!\Nyu.\Nyu\Something's wrong with my throat.\Are you okay, Jirou-kun?\Let's go to the nurse's office nyu. response:	Let's hurry.
context: It was my voice nyu.\Don't mess with me!\Nyu.\Nyu\Something's wrong with my throat.\Are you okay, Jirou-kun?\Let's go to the nurse's office nyu.\Let's hurry. response:	Nyu
context: Don't mess with me!\Nyu.\Nyu\Something's wrong with my throat.\Are you okay, Jirou-kun?\Let's go to the nurse's office nyu.\Let's hurry.\Nyu response:	Are you really okay?
context: Nyu.\Nyu\Something's wrong with my throat.\Are you okay, Jirou-kun?\Let's go to the nurse's office nyu.\Let's hurry.\Nyu\Are you really okay? response:	Yes...
context: Nyu\Something's wrong with my throat.\Are you okay, Jirou-kun?\Let's go to the nurse's office nyu.\Let's hurry.\Nyu\Are you really okay?\Yes... response:	The truth is... I have a secret that the school doesn't know.
context: Something's wrong with my throat.\Are you okay, Jirou-kun?\Let's go to the nurse's office nyu.\Let's hurry.\Nyu\Are you really okay?\Yes...\The truth is... I have a secret that the school doesn't know. response:	Secret?
context: Are you okay, Jirou-kun?\Let's go to the nurse's office nyu.\Let's hurry.\Nyu\Are you really okay?\Yes...\The truth is... I have a secret that the school doesn't know.\Secret? response:	Yes nyu.
context: Let's go to the nurse's office nyu.\Let's hurry.\Nyu\Are you really okay?\Yes...\The truth is... I have a secret that the school doesn't know.\Secret?\Yes nyu. response:	Jirou-kun, this is...my...only weak point.
context: Let's hurry.\Nyu\Are you really okay?\Yes...\The truth is... I have a secret that the school doesn't know.\Secret?\Yes nyu.\Jirou-kun, this is...my...only weak point. response:	Menyu.
context: Nyu\Are you really okay?\Yes...\The truth is... I have a secret that the school doesn't know.\Secret?\Yes nyu.\Jirou-kun, this is...my...only weak point.\Menyu. response:	Milking cow.
context: Are you really okay?\Yes...\The truth is... I have a secret that the school doesn't know.\Secret?\Yes nyu.\Jirou-kun, this is...my...only weak point.\Menyu.\Milking cow. response:	What did you do to the nurse?
context: Yes...\The truth is... I have a secret that the school doesn't know.\Secret?\Yes nyu.\Jirou-kun, this is...my...only weak point.\Menyu.\Milking cow.\What did you do to the nurse? response:	After I slapped her cheeks a few times, she left nyu.
context: The truth is... I have a secret that the school doesn't know.\Secret?\Yes nyu.\Jirou-kun, this is...my...only weak point.\Menyu.\Milking cow.\What did you do to the nurse?\After I slapped her cheeks a few times, she left nyu. response:	While crying.
context: Secret?\Yes nyu.\Jirou-kun, this is...my...only weak point.\Menyu.\Milking cow.\What did you do to the nurse?\After I slapped her cheeks a few times, she left nyu.\While crying. response:	With a wad of cash again?
context: Yes nyu.\Jirou-kun, this is...my...only weak point.\Menyu.\Milking cow.\What did you do to the nurse?\After I slapped her cheeks a few times, she left nyu.\While crying.\With a wad of cash again? response:	Sort of.
context: Jirou-kun, this is...my...only weak point.\Menyu.\Milking cow.\What did you do to the nurse?\After I slapped her cheeks a few times, she left nyu.\While crying.\With a wad of cash again?\Sort of. response:	But what was that before?
context: Menyu.\Milking cow.\What did you do to the nurse?\After I slapped her cheeks a few times, she left nyu.\While crying.\With a wad of cash again?\Sort of.\But what was that before? response:	They're hiccups.
context: Milking cow.\What did you do to the nurse?\After I slapped her cheeks a few times, she left nyu.\While crying.\With a wad of cash again?\Sort of.\But what was that before?\They're hiccups. response:	Hiccups?
context: What did you do to the nurse?\After I slapped her cheeks a few times, she left nyu.\While crying.\With a wad of cash again?\Sort of.\But what was that before?\They're hiccups.\Hiccups? response:	Right nyu.
context: After I slapped her cheeks a few times, she left nyu.\While crying.\With a wad of cash again?\Sort of.\But what was that before?\They're hiccups.\Hiccups?\Right nyu. response:	When I get the hiccups, they don't stop nyu.
context: While crying.\With a wad of cash again?\Sort of.\But what was that before?\They're hiccups.\Hiccups?\Right nyu.\When I get the hiccups, they don't stop nyu. response:	See, like this.
context: With a wad of cash again?\Sort of.\But what was that before?\They're hiccups.\Hiccups?\Right nyu.\When I get the hiccups, they don't stop nyu.\See, like this. response:	It just sounds as though you're adding nyu to the end of every sentence.
context: Sort of.\But what was that before?\They're hiccups.\Hiccups?\Right nyu.\When I get the hiccups, they don't stop nyu.\See, like this.\It just sounds as though you're adding nyu to the end of every sentence. response:	My hiccups seem to have a personality nyu.
context: But what was that before?\They're hiccups.\Hiccups?\Right nyu.\When I get the hiccups, they don't stop nyu.\See, like this.\It just sounds as though you're adding nyu to the end of every sentence.\My hiccups seem to have a personality nyu. response:	They mostly occur at the end of the sentence.
context: They're hiccups.\Hiccups?\Right nyu.\When I get the hiccups, they don't stop nyu.\See, like this.\It just sounds as though you're adding nyu to the end of every sentence.\My hiccups seem to have a personality nyu.\They mostly occur at the end of the sentence. response:	But why is that considered your weak point?
context: Hiccups?\Right nyu.\When I get the hiccups, they don't stop nyu.\See, like this.\It just sounds as though you're adding nyu to the end of every sentence.\My hiccups seem to have a personality nyu.\They mostly occur at the end of the sentence.\But why is that considered your weak point? response:	How should I say it...?
context: Right nyu.\When I get the hiccups, they don't stop nyu.\See, like this.\It just sounds as though you're adding nyu to the end of every sentence.\My hiccups seem to have a personality nyu.\They mostly occur at the end of the sentence.\But why is that considered your weak point?\How should I say it...? response:	Because the people around me think I'm cute nyu.
context: When I get the hiccups, they don't stop nyu.\See, like this.\It just sounds as though you're adding nyu to the end of every sentence.\My hiccups seem to have a personality nyu.\They mostly occur at the end of the sentence.\But why is that considered your weak point?\How should I say it...?\Because the people around me think I'm cute nyu. response:	What?
context: See, like this.\It just sounds as though you're adding nyu to the end of every sentence.\My hiccups seem to have a personality nyu.\They mostly occur at the end of the sentence.\But why is that considered your weak point?\How should I say it...?\Because the people around me think I'm cute nyu.\What? response:	You put it so bluntly, but I never thought you'd praise yourself in the process as well.
context: It just sounds as though you're adding nyu to the end of every sentence.\My hiccups seem to have a personality nyu.\They mostly occur at the end of the sentence.\But why is that considered your weak point?\How should I say it...?\Because the people around me think I'm cute nyu.\What?\You put it so bluntly, but I never thought you'd praise yourself in the process as well. response:	Quiet nyu.
context: My hiccups seem to have a personality nyu.\They mostly occur at the end of the sentence.\But why is that considered your weak point?\How should I say it...?\Because the people around me think I'm cute nyu.\What?\You put it so bluntly, but I never thought you'd praise yourself in the process as well.\Quiet nyu. response:	Well, it is cute.
context: They mostly occur at the end of the sentence.\But why is that considered your weak point?\How should I say it...?\Because the people around me think I'm cute nyu.\What?\You put it so bluntly, but I never thought you'd praise yourself in the process as well.\Quiet nyu.\Well, it is cute. response:	Really.
context: But why is that considered your weak point?\How should I say it...?\Because the people around me think I'm cute nyu.\What?\You put it so bluntly, but I never thought you'd praise yourself in the process as well.\Quiet nyu.\Well, it is cute.\Really. response:	Jirou-kun, help me stop these hiccups nyu.
context: How should I say it...?\Because the people around me think I'm cute nyu.\What?\You put it so bluntly, but I never thought you'd praise yourself in the process as well.\Quiet nyu.\Well, it is cute.\Really.\Jirou-kun, help me stop these hiccups nyu. response:	Eh, sure.
context: Because the people around me think I'm cute nyu.\What?\You put it so bluntly, but I never thought you'd praise yourself in the process as well.\Quiet nyu.\Well, it is cute.\Really.\Jirou-kun, help me stop these hiccups nyu.\Eh, sure. response:	Huh?
context: What?\You put it so bluntly, but I never thought you'd praise yourself in the process as well.\Quiet nyu.\Well, it is cute.\Really.\Jirou-kun, help me stop these hiccups nyu.\Eh, sure.\Huh? response:	I tried to hug you?!
context: You put it so bluntly, but I never thought you'd praise yourself in the process as well.\Quiet nyu.\Well, it is cute.\Really.\Jirou-kun, help me stop these hiccups nyu.\Eh, sure.\Huh?\I tried to hug you?! response:	Ojou-sama's hiccups are devilish.
context: Quiet nyu.\Well, it is cute.\Really.\Jirou-kun, help me stop these hiccups nyu.\Eh, sure.\Huh?\I tried to hug you?!\Ojou-sama's hiccups are devilish. response:	Konoe?
context: Well, it is cute.\Really.\Jirou-kun, help me stop these hiccups nyu.\Eh, sure.\Huh?\I tried to hug you?!\Ojou-sama's hiccups are devilish.\Konoe? response:	You may not believe me, but people who hear Ojou-sama's hiccups,
context: Really.\Jirou-kun, help me stop these hiccups nyu.\Eh, sure.\Huh?\I tried to hug you?!\Ojou-sama's hiccups are devilish.\Konoe?\You may not believe me, but people who hear Ojou-sama's hiccups, response:	especially the boys, are attracted to them.
context: Jirou-kun, help me stop these hiccups nyu.\Eh, sure.\Huh?\I tried to hug you?!\Ojou-sama's hiccups are devilish.\Konoe?\You may not believe me, but people who hear Ojou-sama's hiccups,\especially the boys, are attracted to them. response:	That's a lie right?
context: Eh, sure.\Huh?\I tried to hug you?!\Ojou-sama's hiccups are devilish.\Konoe?\You may not believe me, but people who hear Ojou-sama's hiccups,\especially the boys, are attracted to them.\That's a lie right? response:	It's true.
context: Huh?\I tried to hug you?!\Ojou-sama's hiccups are devilish.\Konoe?\You may not believe me, but people who hear Ojou-sama's hiccups,\especially the boys, are attracted to them.\That's a lie right?\It's true. response:	They even caused an incident once.
context: I tried to hug you?!\Ojou-sama's hiccups are devilish.\Konoe?\You may not believe me, but people who hear Ojou-sama's hiccups,\especially the boys, are attracted to them.\That's a lie right?\It's true.\They even caused an incident once. response:	An incident?
context: Ojou-sama's hiccups are devilish.\Konoe?\You may not believe me, but people who hear Ojou-sama's hiccups,\especially the boys, are attracted to them.\That's a lie right?\It's true.\They even caused an incident once.\An incident? response:	Around ten years ago, Ojou-sama was still in grade school,
context: Konoe?\You may not believe me, but people who hear Ojou-sama's hiccups,\especially the boys, are attracted to them.\That's a lie right?\It's true.\They even caused an incident once.\An incident?\Around ten years ago, Ojou-sama was still in grade school, response:	when she was invited to a party.
context: You may not believe me, but people who hear Ojou-sama's hiccups,\especially the boys, are attracted to them.\That's a lie right?\It's true.\They even caused an incident once.\An incident?\Around ten years ago, Ojou-sama was still in grade school,\when she was invited to a party. response:	Please let me stop Ojou-chan's hiccups.
context: especially the boys, are attracted to them.\That's a lie right?\It's true.\They even caused an incident once.\An incident?\Around ten years ago, Ojou-sama was still in grade school,\when she was invited to a party.\Please let me stop Ojou-chan's hiccups. response:	As a last resort, the SP couldn't control the crowd and they had to rely on the
context: That's a lie right?\It's true.\They even caused an incident once.\An incident?\Around ten years ago, Ojou-sama was still in grade school,\when she was invited to a party.\Please let me stop Ojou-chan's hiccups.\As a last resort, the SP couldn't control the crowd and they had to rely on the response:	Tokyo Metropolitan Police.
context: It's true.\They even caused an incident once.\An incident?\Around ten years ago, Ojou-sama was still in grade school,\when she was invited to a party.\Please let me stop Ojou-chan's hiccups.\As a last resort, the SP couldn't control the crowd and they had to rely on the\Tokyo Metropolitan Police. response:	In the Suzutsuki household, this is referred to as the Hiccup War.
context: They even caused an incident once.\An incident?\Around ten years ago, Ojou-sama was still in grade school,\when she was invited to a party.\Please let me stop Ojou-chan's hiccups.\As a last resort, the SP couldn't control the crowd and they had to rely on the\Tokyo Metropolitan Police.\In the Suzutsuki household, this is referred to as the Hiccup War. response:	What an enormously exaggerated and stupid story.
context: An incident?\Around ten years ago, Ojou-sama was still in grade school,\when she was invited to a party.\Please let me stop Ojou-chan's hiccups.\As a last resort, the SP couldn't control the crowd and they had to rely on the\Tokyo Metropolitan Police.\In the Suzutsuki household, this is referred to as the Hiccup War.\What an enormously exaggerated and stupid story. response:	A similar incident happened four years ago but Subaru calmed the war nyu.
context: Around ten years ago, Ojou-sama was still in grade school,\when she was invited to a party.\Please let me stop Ojou-chan's hiccups.\As a last resort, the SP couldn't control the crowd and they had to rely on the\Tokyo Metropolitan Police.\In the Suzutsuki household, this is referred to as the Hiccup War.\What an enormously exaggerated and stupid story.\A similar incident happened four years ago but Subaru calmed the war nyu. response:	Oh... That's just like her.
context: when she was invited to a party.\Please let me stop Ojou-chan's hiccups.\As a last resort, the SP couldn't control the crowd and they had to rely on the\Tokyo Metropolitan Police.\In the Suzutsuki household, this is referred to as the Hiccup War.\What an enormously exaggerated and stupid story.\A similar incident happened four years ago but Subaru calmed the war nyu.\Oh... That's just like her. response:	Yes, Subaru's the best butler nyu.
context: Please let me stop Ojou-chan's hiccups.\As a last resort, the SP couldn't control the crowd and they had to rely on the\Tokyo Metropolitan Police.\In the Suzutsuki household, this is referred to as the Hiccup War.\What an enormously exaggerated and stupid story.\A similar incident happened four years ago but Subaru calmed the war nyu.\Oh... That's just like her.\Yes, Subaru's the best butler nyu. response:	Thank you very much.
context: As a last resort, the SP couldn't control the crowd and they had to rely on the\Tokyo Metropolitan Police.\In the Suzutsuki household, this is referred to as the Hiccup War.\What an enormously exaggerated and stupid story.\A similar incident happened four years ago but Subaru calmed the war nyu.\Oh... That's just like her.\Yes, Subaru's the best butler nyu.\Thank you very much. response:	What are you doing?
context: Tokyo Metropolitan Police.\In the Suzutsuki household, this is referred to as the Hiccup War.\What an enormously exaggerated and stupid story.\A similar incident happened four years ago but Subaru calmed the war nyu.\Oh... That's just like her.\Yes, Subaru's the best butler nyu.\Thank you very much.\What are you doing? response:	How cute...
context: In the Suzutsuki household, this is referred to as the Hiccup War.\What an enormously exaggerated and stupid story.\A similar incident happened four years ago but Subaru calmed the war nyu.\Oh... That's just like her.\Yes, Subaru's the best butler nyu.\Thank you very much.\What are you doing?\How cute... response:	Subaru?
context: What an enormously exaggerated and stupid story.\A similar incident happened four years ago but Subaru calmed the war nyu.\Oh... That's just like her.\Yes, Subaru's the best butler nyu.\Thank you very much.\What are you doing?\How cute...\Subaru? response:	This isn't what you think, Ojou-sama.
context: A similar incident happened four years ago but Subaru calmed the war nyu.\Oh... That's just like her.\Yes, Subaru's the best butler nyu.\Thank you very much.\What are you doing?\How cute...\Subaru?\This isn't what you think, Ojou-sama. response:	It's not that I think the cool Ojou-sama that I know would let out such a cute voice.
context: Oh... That's just like her.\Yes, Subaru's the best butler nyu.\Thank you very much.\What are you doing?\How cute...\Subaru?\This isn't what you think, Ojou-sama.\It's not that I think the cool Ojou-sama that I know would let out such a cute voice. response:	I understand, so let go nyu.
context: Yes, Subaru's the best butler nyu.\Thank you very much.\What are you doing?\How cute...\Subaru?\This isn't what you think, Ojou-sama.\It's not that I think the cool Ojou-sama that I know would let out such a cute voice.\I understand, so let go nyu. response:	It's fine if I hold-
context: Thank you very much.\What are you doing?\How cute...\Subaru?\This isn't what you think, Ojou-sama.\It's not that I think the cool Ojou-sama that I know would let out such a cute voice.\I understand, so let go nyu.\It's fine if I hold- response:	This is wrong.
context: What are you doing?\How cute...\Subaru?\This isn't what you think, Ojou-sama.\It's not that I think the cool Ojou-sama that I know would let out such a cute voice.\I understand, so let go nyu.\It's fine if I hold-\This is wrong. response:	Sorry, I'll let go immediately.
context: How cute...\Subaru?\This isn't what you think, Ojou-sama.\It's not that I think the cool Ojou-sama that I know would let out such a cute voice.\I understand, so let go nyu.\It's fine if I hold-\This is wrong.\Sorry, I'll let go immediately. response:	Konoe, are you alright?
context: Subaru?\This isn't what you think, Ojou-sama.\It's not that I think the cool Ojou-sama that I know would let out such a cute voice.\I understand, so let go nyu.\It's fine if I hold-\This is wrong.\Sorry, I'll let go immediately.\Konoe, are you alright? response:	Jirou, shut up!
context: This isn't what you think, Ojou-sama.\It's not that I think the cool Ojou-sama that I know would let out such a cute voice.\I understand, so let go nyu.\It's fine if I hold-\This is wrong.\Sorry, I'll let go immediately.\Konoe, are you alright?\Jirou, shut up! response:	Or what? Are you trying to take my cute Ojou-sama away from me?!
context: It's not that I think the cool Ojou-sama that I know would let out such a cute voice.\I understand, so let go nyu.\It's fine if I hold-\This is wrong.\Sorry, I'll let go immediately.\Konoe, are you alright?\Jirou, shut up!\Or what? Are you trying to take my cute Ojou-sama away from me?! response:	What are you saying all of a sudden?
context: I understand, so let go nyu.\It's fine if I hold-\This is wrong.\Sorry, I'll let go immediately.\Konoe, are you alright?\Jirou, shut up!\Or what? Are you trying to take my cute Ojou-sama away from me?!\What are you saying all of a sudden? response:	I won't forgive that.
context: It's fine if I hold-\This is wrong.\Sorry, I'll let go immediately.\Konoe, are you alright?\Jirou, shut up!\Or what? Are you trying to take my cute Ojou-sama away from me?!\What are you saying all of a sudden?\I won't forgive that. response:	I'll END you!
context: This is wrong.\Sorry, I'll let go immediately.\Konoe, are you alright?\Jirou, shut up!\Or what? Are you trying to take my cute Ojou-sama away from me?!\What are you saying all of a sudden?\I won't forgive that.\I'll END you! response:	Calm down!
context: Sorry, I'll let go immediately.\Konoe, are you alright?\Jirou, shut up!\Or what? Are you trying to take my cute Ojou-sama away from me?!\What are you saying all of a sudden?\I won't forgive that.\I'll END you!\Calm down! response:	Subaru, go to the mansion and bring the equipment to stop my hiccups nyu.
context: Konoe, are you alright?\Jirou, shut up!\Or what? Are you trying to take my cute Ojou-sama away from me?!\What are you saying all of a sudden?\I won't forgive that.\I'll END you!\Calm down!\Subaru, go to the mansion and bring the equipment to stop my hiccups nyu. response:	You have that kind of equipment?!
context: Jirou, shut up!\Or what? Are you trying to take my cute Ojou-sama away from me?!\What are you saying all of a sudden?\I won't forgive that.\I'll END you!\Calm down!\Subaru, go to the mansion and bring the equipment to stop my hiccups nyu.\You have that kind of equipment?! response:	But leaving your side is...
context: Or what? Are you trying to take my cute Ojou-sama away from me?!\What are you saying all of a sudden?\I won't forgive that.\I'll END you!\Calm down!\Subaru, go to the mansion and bring the equipment to stop my hiccups nyu.\You have that kind of equipment?!\But leaving your side is... response:	Having you suddenly grab me doesn't help either nyu.
context: What are you saying all of a sudden?\I won't forgive that.\I'll END you!\Calm down!\Subaru, go to the mansion and bring the equipment to stop my hiccups nyu.\You have that kind of equipment?!\But leaving your side is...\Having you suddenly grab me doesn't help either nyu. response:	That's true.
context: I won't forgive that.\I'll END you!\Calm down!\Subaru, go to the mansion and bring the equipment to stop my hiccups nyu.\You have that kind of equipment?!\But leaving your side is...\Having you suddenly grab me doesn't help either nyu.\That's true. response:	Then, excuse me.
context: I'll END you!\Calm down!\Subaru, go to the mansion and bring the equipment to stop my hiccups nyu.\You have that kind of equipment?!\But leaving your side is...\Having you suddenly grab me doesn't help either nyu.\That's true.\Then, excuse me. response:	Are you worried about Subaru?
context: Calm down!\Subaru, go to the mansion and bring the equipment to stop my hiccups nyu.\You have that kind of equipment?!\But leaving your side is...\Having you suddenly grab me doesn't help either nyu.\That's true.\Then, excuse me.\Are you worried about Subaru? response:	Was it okay to let her go?
context: Subaru, go to the mansion and bring the equipment to stop my hiccups nyu.\You have that kind of equipment?!\But leaving your side is...\Having you suddenly grab me doesn't help either nyu.\That's true.\Then, excuse me.\Are you worried about Subaru?\Was it okay to let her go? response:	I wanted her to leave nyu.
context: You have that kind of equipment?!\But leaving your side is...\Having you suddenly grab me doesn't help either nyu.\That's true.\Then, excuse me.\Are you worried about Subaru?\Was it okay to let her go?\I wanted her to leave nyu. response:	Think carefully.
context: But leaving your side is...\Having you suddenly grab me doesn't help either nyu.\That's true.\Then, excuse me.\Are you worried about Subaru?\Was it okay to let her go?\I wanted her to leave nyu.\Think carefully. response:	If I called and asked someone to bring it, it would be over too soon.
context: Having you suddenly grab me doesn't help either nyu.\That's true.\Then, excuse me.\Are you worried about Subaru?\Was it okay to let her go?\I wanted her to leave nyu.\Think carefully.\If I called and asked someone to bring it, it would be over too soon. response:	Then why?
context: That's true.\Then, excuse me.\Are you worried about Subaru?\Was it okay to let her go?\I wanted her to leave nyu.\Think carefully.\If I called and asked someone to bring it, it would be over too soon.\Then why? response:	I wanted to be alone with you nyu.
context: Then, excuse me.\Are you worried about Subaru?\Was it okay to let her go?\I wanted her to leave nyu.\Think carefully.\If I called and asked someone to bring it, it would be over too soon.\Then why?\I wanted to be alone with you nyu. response:	Jirou-kun, I want to know nyu.
context: Are you worried about Subaru?\Was it okay to let her go?\I wanted her to leave nyu.\Think carefully.\If I called and asked someone to bring it, it would be over too soon.\Then why?\I wanted to be alone with you nyu.\Jirou-kun, I want to know nyu. response:	What happened between you and Subaru nyu.
context: Was it okay to let her go?\I wanted her to leave nyu.\Think carefully.\If I called and asked someone to bring it, it would be over too soon.\Then why?\I wanted to be alone with you nyu.\Jirou-kun, I want to know nyu.\What happened between you and Subaru nyu. response:	The way Subaru acts toward you...
context: I wanted her to leave nyu.\Think carefully.\If I called and asked someone to bring it, it would be over too soon.\Then why?\I wanted to be alone with you nyu.\Jirou-kun, I want to know nyu.\What happened between you and Subaru nyu.\The way Subaru acts toward you... response:	You should've noticed too nyu.
context: Think carefully.\If I called and asked someone to bring it, it would be over too soon.\Then why?\I wanted to be alone with you nyu.\Jirou-kun, I want to know nyu.\What happened between you and Subaru nyu.\The way Subaru acts toward you...\You should've noticed too nyu. response:	What did you say to Subaru nyu?
context: If I called and asked someone to bring it, it would be over too soon.\Then why?\I wanted to be alone with you nyu.\Jirou-kun, I want to know nyu.\What happened between you and Subaru nyu.\The way Subaru acts toward you...\You should've noticed too nyu.\What did you say to Subaru nyu? response:	I d-d-didn't say anything.
context: Then why?\I wanted to be alone with you nyu.\Jirou-kun, I want to know nyu.\What happened between you and Subaru nyu.\The way Subaru acts toward you...\You should've noticed too nyu.\What did you say to Subaru nyu?\I d-d-didn't say anything. response:	Liar.
context: I wanted to be alone with you nyu.\Jirou-kun, I want to know nyu.\What happened between you and Subaru nyu.\The way Subaru acts toward you...\You should've noticed too nyu.\What did you say to Subaru nyu?\I d-d-didn't say anything.\Liar. response:	If you won't tell me...
context: Jirou-kun, I want to know nyu.\What happened between you and Subaru nyu.\The way Subaru acts toward you...\You should've noticed too nyu.\What did you say to Subaru nyu?\I d-d-didn't say anything.\Liar.\If you won't tell me... response:	Stop!
